renascimento	revival	renascimento	revival	N;MASC;SG	
pietro	pietro	pietro	pietro	N;MASC;SG	PROPN;NOM;MASC;SG
circunstâncias	okoliczność	circunstância	okoliczność	N;FEM;PL	N;NOM;FEM;SG
orange	pomarańczowy	orange	pomarańczowy	N;MASC;SG	ADJ;NOM;MASC;SG
orange	orange	orange	oranga	N;MASC;SG	
orange	pomarańczowe	orange	pomarańczowy	N;MASC;SG	ADJ;NOM;NEUT;SG
orange	pomarańczowa	orange	pomarańczowy	N;MASC;SG	ADJ;NOM;FEM;SG
xxi	xxi	xxi	xxi	N;MASC;SG	
abastecimento	dostaw	abastecimento	dostawa	N;MASC;SG	
residentes	rezydenta	residente	rezydent	N;MASC;PL	N;ACC;MASC;SG
residentes	mieszkaniec	residente	mieszkaniec	N;MASC;PL	N;NOM;MASC;SG
derrotas	klęska	derrota	klęski	N;FEM;PL	N;NOM;FEM;SG
derrotas	przegrana	derrota	przegrać	N;FEM;PL	N;NOM;FEM;SG
derrotas	pokonać	derrota	pokonać	N;FEM;PL	V;PFV;NFIN;ACT
derrotas	porażka	derrota	porażka	N;FEM;PL	N;NOM;FEM;SG
derrotas	pokonuje	derrota	pokonywać	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
tanque	tank	tanque	tank	N;MASC;SG	
tito	tito	tito	tito	N;MASC;SG	
tito	titus	tito	titus	N;MASC;SG	PROPN;NOM;MASC;SG
museus	muzeum	museu	muzeum	N;MASC;PL	N;ACC;NEUT;SG
museus	museum	museu	museum	N;MASC;PL	
ferido	ranni	ferir	ranny	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL
ferido	ranny	ferir	ranny	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG
ferido	ranna	ferir	ranna	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
ferido	ranna	ferir	ranna	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
ferido	ranny	ferir	ranny	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG
ferido	zraniony	ferir	zranić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ferido	ranni	ferir	ranny	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL
ferido	zraniony	ferir	zranić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
dallas	dallas	dalla	dallas	N;MASC;SG	PROPN;NOM;MASC;SG
plástico	tworzyw	plástico	tworzyw	N;MASC;SG	
plástico	plastikowe	plástico	plastikowy	N;MASC;SG	ADJ;NOM;NEUT;SG
malásia	malezja	malásia	malezja	N;FEM;SG	
malásia	malezji	malásia	malezja	N;FEM;SG	
malásia	malezji	malásia	malezja	N;FEM;SG	
positivas	pozytywna	positivo	pozytywny	ADJ;FEM;PL	ADJ;NOM;FEM;SG
positivas	pozytywne	positivo	pozytywny	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
positivas	dodatni	positivo	dodatnić	ADJ;FEM;PL	
positivas	pozytywnie	positivo	pozytywnie	ADJ;FEM;PL	ADV
positivas	pozytywny	positivo	pozytywny	ADJ;FEM;PL	ADJ;NOM;MASC;SG
positivas	plusy	positivo	plusy	ADJ;FEM;PL	N;NOM;MASC;PL
cartão	kartonowe	cartão	kartonowy	N;MASC;SG	ADJ;NOM;NEUT;SG
cartão	karton	cartão	karton	N;MASC;SG	
violação	gwałt	violação	gwałt	N;FEM;SG	
susan	susan	susan	susan	N;FEM;SG	PROPN;NOM;FEM;SG
susan	zuzia	susan	zuzia	N;FEM;SG	PROPN;NOM;FEM;SG
susan	zosia	susan	zosia	N;FEM;SG	PROPN;NOM;FEM;SG
sex	płci	sexta-feira	płzcieć	N;MASC;SG	
sex	sex	sexta-feira	sex	N;MASC;SG	
alcançando	dotarcie	alcançar	dotarcie	V;V.MSDR	
cerâmica	ceramiczne	cerâmica	ceramiczny	N;FEM;SG	ADJ;NOM;NEUT;SG
falsa	fałsz	falso	fałsz	ADJ;FEM;SG	
manifestação	demonstracje	manifestação	demonstracja	N;FEM;SG	N;NOM;FEM;PL
melbourne	melbourne	melbourne	melbourne	N;MASC;SG	PROPN;NOM;MASC;SG
edwards	edwards	edwards	edwards	N;MASC;SG	PROPN;NOM;MASC;SG
prof	prof	prof	prof	N;MASC;SG	
melhorias	poprawa	melhoria	poprawa	N;FEM;PL	V;IPFV;IND;SG;PRS;FIN;ACT
melhorias	udoskonalenia	melhoria	udoskonalenie	N;FEM;PL	N;NOM;NEUT;SG
melhorias	ulepszenia	melhoria	ulepszyć	N;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
melhorias	poprawy	melhoria	poprawa	N;FEM;PL	N;GEN;FEM;SG
melhorias	doskonalenie	melhoria	doskonalenie	N;FEM;PL	N;NOM;NEUT;SG
melhorias	usprawnienia	melhoria	usprawnienie	N;FEM;PL	N;NOM;NEUT;SG
melhorias	ulepszenia	melhoria	ulepszyć	N;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
melhorias	udoskonalenia	melhoria	udoskonalenie	N;FEM;PL	N;NOM;NEUT;SG
melhorias	poprawa	melhoria	poprawa	N;FEM;PL	V;IPFV;IND;SG;PRS;FIN;ACT
melhorias	udoskonalenie	melhoria	udoskonalenie	N;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
melhorias	ulepszenie	melhoria	ulepszyć	N;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
melhorias	poprawy	melhoria	poprawa	N;FEM;PL	N;GEN;FEM;SG
melhorias	doskonalenie	melhoria	doskonalenie	N;FEM;PL	N;NOM;NEUT;SG
referenciado	wymieniona	referenciar	wymienić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
java	java	java	java	N;MASC;SG	
controlo	control	controlo	control	N;MASC;SG	
rebelde	rebeliantów	rebelde	rebeliant	N;MASC;SG	N;ACC;MASC;PL
proibido	zabronione	proibir	zabronić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
proibido	zakazany	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
proibido	zakazane	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
proibido	niedozwolone	proibir	niedozwolony	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP
proibido	zabronione	proibir	zabronić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
proibido	zakazany	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
proibido	zakazane	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
proibido	zakazany	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
proibido	zakazana	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
proibido	zakazane	proibir	zakazać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
auge	pinnacle	auge	pinnacle	N;MASC;SG	
marine	morski	marine	morski	N;MASC;SG	ADJ;NOM;MASC;SG
marine	marine	marine	mariny	N;MASC;SG	
marine	morskie	marine	morski	N;MASC;SG	ADJ;NOM;NEUT;SG
grace	grace	grace	graka	N;FEM;SG	
culinária	kulinarne	culinário	kulinarny	N;FEM;SG	ADJ;NOM;NEUT;SG
arizona	arizona	arizonar	arizona	N;MASC;SG	PROPN;NOM;MASC;SG
arizona	arizony	arizonar	arizon	N;MASC;SG	
charlotte	charlotte	charlotte	charlotty	N;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
mito	mito	mito	mito	N;MASC;SG	
mito	mity	mito	mit	N;MASC;SG	N;NOM;MASC;PL
químicos	chemiczne	químico	chemiczny	N;MASC;PL	ADJ;NOM;NEUT;SG
químicos	chemia	químico	chemia	N;MASC;PL	V;IPFV;IND;SG;2;FIN;ACT
uhf	uhf	uhf	uhfa	N;MASC;SG	
usava	nosił	usar	nosić	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
usava	nosiła	usar	nosić	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
consulta	konsultacje	consulta	konsultacja	N;FEM;SG	N;NOM;FEM;PL
análises	analiza	análise	analiza	N;FEM;PL	N;NOM;FEM;SG
análises	analiz	análise	analiz	N;FEM;PL	
análises	analizy	análise	analiza	N;FEM;PL	
análises	analizy	análise	analiza	N;FEM;PL	
análises	analiza	análise	analiza	N;FEM;PL	N;NOM;FEM;SG
aula	zajęcia	aula	zajęcia	N;FEM;SG	N;NOM;NEUT;PL
aula	klasa	aula	klasa	N;FEM;SG	V;IPFV;IND;SG;2;FIN;ACT
verlag	verlag	verlag	verlag	N;MASC;SG	
dramática	dramatyczne	dramático	dramatyczny	N;FEM;SG	ADJ;NOM;NEUT;SG
dramática	dramatycznie	dramático	dramatycznie	N;FEM;SG	ADV
dramática	dramatyczny	dramático	dramatyczny	N;FEM;SG	ADJ;NOM;MASC;SG
filmado	nakręcony	filmar	nakręcić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
matando	zabijanie	matar	zabijać	V;V.MSDR	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
matando	zabijanie	matar	zabijać	V;V.MSDR	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
matando	zabójstwo	matar	zabójstwo	V;V.MSDR	N;NOM;NEUT;SG
giro	śliczna	giro	śliczny	N;MASC;SG	ADJ;NOM;FEM;SG
giro	słodkie	giro	słodki	N;MASC;SG	ADJ;NOM;NEUT;SG
giro	słodki	giro	słodki	N;MASC;SG	
giro	słodko	giro	słodko	N;MASC;SG	
giro	giro	giro	giro	N;MASC;SG	
padres	księży	padre	ksiądz	N;MASC;PL	
ferrovia	kolejowe	ferrovia	kolejowy	N;FEM;SG	ADJ;NOM;NEUT;SG
fique	zostań	ficar	zostać	V;SBJV;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
elias	elias	elia	elias	N;MASC;SG	PROPN;NOM;MASC;SG
arábia	arabia	arábia	arabia	N;FEM;SG	PROPN;NOM;FEM;SG
arábia	arabii	arábia	arabia	N;FEM;SG	PROPN;GEN;FEM;SG
arábia	arabskie	arábia	arabski	N;FEM;SG	ADJ;NOM;NEUT;SG
arábia	arabski	arábia	arabski	N;FEM;SG	ADJ;NOM;MASC;SG
soberano	państwowego	soberano	państwowy	N;MASC;SG	ADJ;ACC;MASC;SG
colocadas	umieszczone	colocar	umieścić	V;FEM;PL;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
colocadas	umieszczona	colocar	umieścić	V;FEM;PL;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
colocadas	umieszczony	colocar	umieścić	V;FEM;PL;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
judeu	żydowskie	judeu	żydowski	N;MASC;SG	ADJ;NOM;NEUT;SG
judeu	żydowska	judeu	żydowski	N;MASC;SG	ADJ;NOM;FEM;SG
judeu	żydzi	judeu	żydzić	N;MASC;SG	N;NOM;MASC;PL
judeu	żydowski	judeu	żydowski	N;MASC;SG	ADJ;NOM;MASC;SG
bruxelas	bruksela	bruxela	bruksel	N;FEM;PL	N;NOM;FEM;SG
bruxelas	brukseli	bruxela	bruksel	N;FEM;PL	
bank	bankowe	bank	bankowy	N;MASC;SG	ADJ;NOM;NEUT;SG
vegetais	warzywa	vegetal	warzywo	N;MASC;PL	V;IPFV;IND;PL;3;PRS;FIN;ACT
vegetais	warzywo	vegetal	warzywo	N;MASC;PL	N;NOM;NEUT;SG
vegetais	warzyw	vegetal	warzyw	N;MASC;PL	
vegetais	warzywa	vegetal	warzywo	N;MASC;PL	V;IPFV;IND;PL;3;PRS;FIN;ACT
vegetais	warzyw	vegetal	warzyw	N;MASC;PL	
regresso	powrót	regresso	powrót	N;MASC;SG	
regresso	wróć	regresso	wróć	N;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
regresso	zamian	regresso	zamian	N;MASC;SG	
regresso	powrót	regresso	powrót	N;MASC;SG	
automóvel	car	automóvel	car	N;MASC;SG	
automóvel	samochodowe	automóvel	samochodowy	N;MASC;SG	ADJ;NOM;NEUT;SG
cana	reed	cana	reed	N;FEM;SG	PROPN;NOM;MASC;SG
cana	trzciny	cana	trzcin	N;FEM;SG	
cana	rod	cana	rod	N;FEM;SG	V;PFV;IND;SG;2;FIN;ACT
cana	cana	cana	cana	N;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
emma	emma	emma	emma	N;FEM;SG	PROPN;NOM;FEM;SG
asiático	azji	asiático	azjić	ADJ;MASC;SG	PROPN;NOM;FEM;SG
couto	couto	couto	couto	N;MASC;SG	
estética	estetycznej	estética	estetyczny	N;FEM;SG	ADJ;GEN;FEM;SG
dores	ból	dor	ból	N;FEM;PL	N;NOM;MASC;SG
dores	bólu	dor	ból	N;FEM;PL	N;GEN;MASC;SG
dores	cierpienie	dor	cierpienie	N;FEM;PL	N;NOM;NEUT;SG
centre	centre	centre	centry	N;MASC;SG	
augusta	augusta	augusta	augusta	N;FEM;SG	
multi	multi	multi	multa	N;MASC;SG	
repercussão	reperkusje	repercussão	reperkusja	N;FEM;SG	N;NOM;FEM;PL
massas	makaron	massa	makaron	N;FEM;PL	
massas	pasta	massa	past	N;FEM;PL	
massas	masy	massa	masa	N;FEM;PL	N;GEN;FEM;SG
massas	makaron	massa	makaron	N;FEM;PL	
marta	marta	marta	marta	N;FEM;SG	PROPN;NOM;FEM;SG
marta	marta	marta	marta	N;FEM;SG	PROPN;NOM;FEM;SG
marta	martha	marta	martha	N;FEM;SG	PROPN;NOM;FEM;SG
marta	marto	marta	marto	N;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
reduzido	zmniejszone	reduzir	zmniejszyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
reduzido	skrócony	reduzir	skrócić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
reduzido	obniżona	reduzir	obniżyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
reduzido	zmniejszona	reduzir	zmniejszyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
reduzido	zmniejszony	reduzir	zmniejszyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gospel	gospel	gospel	gospel	N;MASC;SG	
lorenzo	lorenzo	lorenzo	lorenzo	N;MASC;SG	PROPN;NOM;MASC;SG
assegurar	zapewnienia	assegurar	zapewnić	V;NFIN	N;GEN;NEUT;SG
assegurar	zapewnienie	assegurar	zapewnić	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
provocou	sprowokowany	provocar	sprowokować	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
legais	legalnie	legal	legalnie	ADJ;MASC;PL	ADV
legais	prawny	legal	prawny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
legais	prawne	legal	prawny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
legais	legalne	legal	legalny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
lúcia	lucy	lúcia	lucy	N;FEM;SG	
lúcia	lucia	lúcia	lucia	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
gustav	gustav	gustav	gustav	N;MASC;SG	PROPN;NOM;MASC;SG
horta	horta	horta	horta	N;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
madrugada	dawn	madrugada	dawny	N;FEM;SG	
amostra	przykładowe	amostra	przykładowy	N;FEM;SG	ADJ;NOM;NEUT;SG
cbs	cbs	cbs	cbs	N;FEM;SG	
vegetal	warzywa	vegetal	warzywo	ADJ;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
vegetal	warzywo	vegetal	warzywo	ADJ;MASC;SG	N;NOM;NEUT;SG
vegetal	warzyw	vegetal	warzyw	ADJ;MASC;SG	
exibidos	wyświetlane	exibir	wyświetlać	V;MASC;PL;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
exibidos	wyświetlony	exibir	wyświetlić	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
exibidos	wyświetlana	exibir	wyświetlać	V;MASC;PL;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
exibidos	wyświetlone	exibir	wyświetlić	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
conteúdos	treść	conteúdo	treść	N;MASC;PL	
conteúdos	zawartość	conteúdo	zawartość	N;MASC;PL	N;NOM;FEM;SG
conteúdos	treści	conteúdo	treść	N;MASC;PL	N;GEN;FEM;SG
conteúdos	treść	conteúdo	treść	N;MASC;PL	
conteúdos	zawartości	conteúdo	zawartość	N;MASC;PL	N;GEN;FEM;SG
conteúdos	zawartość	conteúdo	zawartość	N;MASC;PL	N;NOM;FEM;SG
empregado	zatrudniony	empregado	zatrudnić	N;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
empregado	zatrudniona	empregado	zatrudnić	N;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
empregado	zatrudnieni	empregado	zatrudnieny	N;MASC;SG	ADJ;NOM;MASC;PL
sexuais	seksualna	sexual	seksualny	N;MASC;PL	ADJ;NOM;FEM;SG
sexuais	seksualny	sexual	seksualny	N;MASC;PL	ADJ;NOM;MASC;SG
sexuais	seksualne	sexual	seksualny	N;MASC;PL	ADJ;NOM;NEUT;SG
sexuais	seksualnie	sexual	seksualnie	N;MASC;PL	ADV
reduzida	zmniejszone	reduzir	zmniejszyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
reduzida	skrócony	reduzir	skrócić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
reduzida	obniżona	reduzir	obniżyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
reduzida	zmniejszona	reduzir	zmniejszyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
reduzida	zmniejszony	reduzir	zmniejszyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
keith	keith	keith	keith	N;MASC;SG	PROPN;NOM;MASC;SG
funk	funk	funk	funk	N;MASC;SG	
costume	zazwyczaj	costume	zazwyczaj	N;MASC;SG	
costume	zwykle	costume	zwykle	N;MASC;SG	
costume	niestandardowych	costume	niestandardowy	N;MASC;SG	ADJ;GEN;MASC;PL
costume	niestandardowe	costume	upandardowy	N;MASC;SG	ADJ;NOM;NEUT;SG
costume	własny	costume	własny	N;MASC;SG	ADJ;NOM;MASC;SG
horizontal	poziomy	horizontal	poziom	ADJ;MASC;SG	N;NOM;MASC;PL
horizontal	poziomo	horizontal	poziomo	ADJ;MASC;SG	
horizontal	poziome	horizontal	poziomy	ADJ;MASC;SG	V;IPFV;IND;PRS;FIN;ACT
magic	magiczne	magic	magiczny	N;MASC;SG	ADJ;NOM;NEUT;SG
magic	czary	magic	czar	N;MASC;SG	N;NOM;MASC;PL
magic	magic	magic	magica	N;MASC;SG	
sensação	czucie	sensação	czucie	N;FEM;SG	
sensação	czucie	sensação	czucie	N;FEM;SG	
convidada	zaproszone	convidar	zaprosić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
convidada	zaproszeni	convidar	zaprosić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
convidada	zaproszony	convidar	zaprosić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
convidada	goście	convidar	gość	V;FEM;SG;V.PTCP	N;NOM;MASC;PL
pretendia	zamierzone	pretender	zamierzyć	V;IND;SG;3;IPFV;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pretendia	przeznaczona	pretender	przeznaczyć	V;IND;SG;3;IPFV;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
pretendia	przeznaczony	pretender	przeznaczyć	V;IND;SG;3;IPFV;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
pretendia	przeznaczone	pretender	przeznaczyć	V;IND;SG;3;IPFV;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
sertão	outback	sertão	outback	N;MASC;SG	
ron	rona	ron	rona	N;MASC;SG	
ron	ron	ron	ron	N;MASC;SG	PROPN;NOM;MASC;SG
espectro	widmo	espectro	widmo	N;MASC;SG	
espectro	widma	espectro	widma	N;MASC;SG	
espectro	widmo	espectro	widmo	N;MASC;SG	
espectro	spektrum	espectro	spektrum	N;MASC;SG	
espectro	widmo	espectro	widmo	N;MASC;SG	
anunciada	ogłoszone	anunciar	ogłosić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
anunciada	ogłosili	anunciar	ogłosić	V;FEM;SG;V.PTCP	V;PFV;MASC;IND;PL;PST;FIN;ACT
fósseis	kopalnych	fóssil	kopalny	N;MASC;PL	ADJ;GEN;MASC;PL
catalunha	katalonii	catalunha	katalonia	N;FEM;SG	
puro	czysta	puro	czysty	ADJ;MASC;SG	
iugoslávia	jugosławii	iugoslávia	jugosławia	N;FEM;SG	
lloyd	lloyd	lloyd	lloyd	N;MASC;SG	PROPN;NOM;MASC;SG
currículo	wznowić	currículo	wznowić	N;MASC;SG	V;PFV;NFIN;ACT
currículo	cv	currículo	Cv	N;MASC;SG	
visuais	wizualne	visual	wizualny	N;MASC;PL	ADJ;NOM;NEUT;SG
warren	warren	warren	warren	N;MASC;SG	PROPN;NOM;MASC;SG
cuidados	opieki	cuidado	opieka	N;MASC;PL	
cuidados	opieka	cuidado	opieka	N;MASC;PL	
premio	nagrody	premio	nagroda	N;MASC;SG	N;NOM;FEM;PL
slam	slam	slam	slać	N;MASC;SG	
núcleos	rdzenie	núcleo	rdzen	N;MASC;PL	N;NOM;NEUT;SG
mudando	zmiana	mudar	zmiana	V;V.MSDR	N;NOM;FEM;SG
arsenal	arsenal	arsenal	arsenal	N;MASC;SG	
mirim	mirim	mirim	mirić	N;MASC;SG	
turcos	turecka	turco	turecka	N;MASC;PL	ADJ;NOM;FEM;SG
turcos	tureckie	turco	turecki	N;MASC;PL	ADJ;NOM;NEUT;SG
turcos	turecki	turco	turecka	N;MASC;PL	ADJ;NOM;MASC;SG
colina	hill	colina	hill	N;FEM;SG	
colina	choliny	colina	cholina	N;FEM;SG	
farol	beacon	farol	beacon	N;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
conselhos	rady	conselho	rada	N;MASC;PL	N;GEN;FEM;SG
marítima	morska	marítimo	morski	N;FEM;SG	ADJ;NOM;FEM;SG
marítima	morski	marítimo	morski	N;FEM;SG	ADJ;NOM;MASC;SG
marítima	morskie	marítimo	morski	N;FEM;SG	ADJ;NOM;NEUT;SG
marítima	morskiego	marítimo	morski	N;FEM;SG	ADJ;ACC;MASC;SG
parou	zatrzymany	parar	zatrzymać	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
parou	zatrzymane	parar	zatrzymać	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
bombas	pompy	bomba	pompa	N;FEM;PL	
bombas	bomb	bomba	bomba	N;FEM;PL	V;IPFV;IMP;SG;2;FIN;ACT
bombas	bomby	bomba	bomba	N;FEM;PL	N;ACC;FEM;SG
visa	wizę	visar	wiza	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
visa	wizy	visar	wiza	V;IND;SG;3;PRS;FIN	
visa	visa	visar	visa	V;IND;SG;3;PRS;FIN	
visa	wiza	visar	wiza	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
debates	debaty	debate	debata	N;MASC;PL	N;ACC;FEM;SG
debates	debat	debate	debat	N;MASC;PL	
acusação	oskarżenia	acusação	oskarżenie	N;FEM;SG	N;NOM;NEUT;PL
investigações	śledztwa	investigação	śledztwo	N;FEM;PL	N;NOM;NEUT;SG
investigações	dochodzenia	investigação	dochodzić	N;FEM;PL	N;NOM;NEUT;SG
adequada	odpowiednie	adequado	odpowiedni	ADJ;FEM;SG	V;PFV;IND;SG;FIN;ACT
cerebral	mózgowe	cerebral	mózgowy	N;MASC;SG	ADJ;NOM;NEUT;SG
misericórdia	mercy	misericórdia	merce	N;FEM;SG	
mínimos	minima	mínimo	minima	N;MASC;PL	N;NOM;NEUT;SG
mínimos	minimalna	mínimo	minimalny	N;MASC;PL	ADJ;NOM;FEM;SG
mínimos	minimum	mínimo	minimum	N;MASC;PL	
mínimos	minimalny	mínimo	minimalny	N;MASC;PL	ADJ;NOM;MASC;SG
mínimos	minimalna	mínimo	minimalny	N;MASC;PL	ADJ;NOM;FEM;SG
mínimos	minimalne	mínimo	minimalny	N;MASC;PL	ADJ;NOM;NEUT;SG
mínimos	minimum	mínimo	minimum	N;MASC;PL	
mínimos	minimalny	mínimo	minimalny	N;MASC;PL	ADJ;NOM;MASC;SG
válidos	ważny	válido	ważny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
válidos	ważne	válido	ważny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
válidos	ważność	válido	ważność	ADJ;MASC;PL	N;ACC;FEM;SG
válidos	poprawny	válido	poprawny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
válidos	ważna	válido	ważny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
guiana	gujany	guiana	gujany	N;FEM;SG	
guiana	gujana	guiana	gujać	N;FEM;SG	
make	make	make	maka	N;FEM;SG	
governante	linijki	governante	linijka	N;MASC;SG	N;ACC;FEM;PL
piratas	piraci	pirata	pirat	N;MASC;PL	
piratas	pirata	pirata	pirat	N;MASC;PL	N;ACC;MASC;SG
piratas	pirat	pirata	pirat	N;MASC;PL	N;NOM;MASC;SG
kids	dzieci	kids	dziecko	N;MASC;SG	N;NOM;NEUT;PL
kids	dzieciaki	kids	dzieciak	N;MASC;SG	N;NOM;MASC;PL
corredor	runner	corredor	runner	N;MASC;SG	
vestígios	śladu	vestígio	ślad	N;MASC;PL	N;GEN;MASC;SG
vestígios	ślad	vestígio	ślad	N;MASC;PL	N;NOM;MASC;SG
sandra	sandra	sandra	sandra	N;FEM;SG	PROPN;NOM;FEM;SG
profundo	głęboko	profundo	głęboko	ADJ;MASC;SG	ADV
profundo	deep	profundo	deep	ADJ;MASC;SG	
tanques	zbiornik	tanque	zbiornik	N;MASC;PL	N;NOM;MASC;SG
tanques	czołg	tanque	czołg	N;MASC;PL	N;ACC;MASC;SG
tanques	tank	tanque	tank	N;MASC;PL	
tanques	cysterny	tanque	cysterny	N;MASC;PL	
arnold	arnold	arnold	arnold	N;MASC;SG	PROPN;NOM;MASC;SG
