godine	årevis	godina	årevis	N;GEN;FEM;SG	ADV
ulica	gater	ulica	gater	N;NOM;FEM;SG	N;INDF;FEM;PL
ulica	gatene	ulica	gate	N;NOM;FEM;SG	N;DEF;FEM;PL
udruge	assosiasjoner	udruga	assosiasjon	N;NOM;FEM;PL	N;INDF;MASC;SG
javno	offentleg	javno	offentleg	ADV	ADJ;INDF;NEUT;SG
javno	offentlige	javno	offentlige	ADV	ADJ;PL
javno	offentlig	javno	offentlig	ADV	ADJ;INDF;NEUT;SG
javno	offentlig	javno	offentlig	ADV	ADJ;INDF;NEUT;SG
ploče	records	ploča	record	N;NOM;FEM;PL	N;INDF;NEUT;SG
ploče	rekorder	ploča	rekord	N;NOM;FEM;PL	N;INDF;NEUT;SG
und	und	und	und	ADP	
temelji	foundation	temeljiti	foundation	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
temelji	stiftelse	temeljiti	stiftelse	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
temelji	stiftelsen	temeljiti	stiftelse	V;IND;SG;3;PRS;FIN	N;DEF;MASC;SG
frank	frank	frank	frank	PROPN;NOM;MASC;SG	N;MASC
manja	mindreårig	mali	mindreårig	ADJ;NOM;DEF;CMPR;FEM;SG	ADJ;INDF;NEUT;SG
manja	minor	mali	minor	ADJ;NOM;DEF;CMPR;FEM;SG	N;INDF;MASC;SG
ubijen	myrdet	ubiti	myrde	ADJ;NOM;MASC;SG;V.PTCP;PASS	N;DEF;NEUT;SG
ubijen	drepte	ubiti	drepe	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;PL;V.PTCP
ideje	idéer	ideja	idé	N;NOM;FEM;PL	N;INDF;NEUT;SG
provincije	provinser	provincija	provinser	N;NOM;FEM;PL	N;INDF;MASC;SG
šuma	skogene	šuma	skoge	N;NOM;FEM;SG	N;DEF;FEM;PL
šuma	skoger	šuma	skoge	N;NOM;FEM;SG	N;INDF;FEM;PL
šuma	forest	šuma	forest	N;NOM;FEM;SG	PROPN
tvrdi	påstander	tvrditi	påstand	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
šire	bredere	široko	bredere	ADV;CMPR	N;INDF;MASC;SG
skupa	kostbart	skupa	kostbar	ADV	ADJ;INDF;NEUT;SG
skupa	dyre	skupa	dyr	ADV	ADJ;PL
skupa	dyrt	skupa	dyr	ADV	ADJ;INDF;NEUT;SG
kreće	flytting	kretati	flytting	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
wilson	wilson	wilson	wilson	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
vladao	styrt	vladati	styre	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
vladao	hersket	vladati	herske	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
vladao	styrte	vladati	styrte	V;MASC;SG;PST;V.PTCP;ACT	ADJ;PL;V.PTCP
opisao	beskrives	opisati	beskrives	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
opisao	beskrevet	opisati	beskrev	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
opisao	beskrev	opisati	beskrev	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
jednako	like	jednako	lik	ADV	ADJ;SG
jednako	likestilt	jednako	likestille	ADV	ADJ;INDF;SG;V.PTCP
jednako	like	jednako	lik	ADV	ADJ;SG
jednako	likeverdig	jednako	likeverdig	ADV	ADJ;INDF;NEUT;SG
jednako	likemenn	jednako	likemenn	ADV	N;INDF;MASC;PL
arhitekture	arkitektur	arhitektura	arkitektur	N;NOM;FEM;PL	N;INDF;MASC;SG
prosječna	gjennomsnittet	prosječan	gjennomsnitt	ADJ;NOM;DEF;FEM;SG	N;DEF;NEUT;SG
prosječna	gjennomsnitt	prosječan	gjennomsnitt	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
prosječna	gjennomsnittlige	prosječan	gjennomsnittlig	ADJ;NOM;DEF;FEM;SG	ADJ;PL
prosječna	gjennomsnittlig	prosječan	gjennomsnittlig	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
pokušao	prøvd	pokušati	prøve	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
pokušao	forsøkt	pokušati	forsøkje	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
zapad	vest	zapad	vest	N;NOM;MASC;SG	ADP
stariji	senior	star	senior	ADJ;NOM;DEF;CMPR;MASC;SG	N;INDF;NEUT;SG
hdz	hdz	hdz	hdz	PROPN;NOM;MASC;SG	PROPN
naše	våre	naš	vår	DET;NOM;FEM;SG;1	PRO;PL
naše	vår	naš	vår	DET;NOM;FEM;SG;1	PRO;MASC;SG
naše	vårt	naš	vår	DET;NOM;FEM;SG;1	PRO;NEUT;SG
naše	våre	naš	vår	DET;NOM;FEM;SG;1	PRO;PL
naše	vårt	naš	vår	DET;NOM;FEM;SG;1	PRO;NEUT;SG
art	art	art	art	ADP	N;INDF;MASC;SG
art	kunst	art	kunst	ADP	N;INDF;FEM;SG
odgovara	fyrstikkene	odgovarati	fyrstikke	V;IND;SG;3;PRS;FIN	N;DEF;FEM;PL
odgovara	fyrstikker	odgovarati	fyrstikker	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
odgovara	kamper	odgovarati	kamp	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
odgovara	treff	odgovarati	treff	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
bodova	poeng	bod	poeng	N;GEN;MASC;PL	N;INDF;NEUT;SG
natjecanjima	konkurranser	natjecanje	konkurranse	N;DAT;NEUT;PL	N;INDF;NEUT;SG
super	kjempebra	super	kjempebr	ADV	N;INDF;MASC;SG
super	heftig	super	heftig	ADV	ADJ;INDF;NEUT;SG
super	rått	super	rå	ADV	ADJ;INDF;NEUT;SG
super	flott	super	flott	ADV	ADJ;INDF;NEUT;SG
super	supert	super	super	ADV	ADJ;INDF;NEUT;SG
super	flotte	super	flott	ADV	ADJ;PL
super	kjempefint	super	kjempefint	ADV	ADJ;INDF;NEUT;SG
gori	brannsår	gorjeti	brannså	PROPN;DAT;FEM;SG	N;INDF;NEUT;SG
gori	burns	gorjeti	burns	PROPN;DAT;FEM;SG	N;INDF;MASC;SG
gori	brannskader	gorjeti	brannskade	PROPN;DAT;FEM;SG	N;INDF;MASC;PL
gori	brenner	gorjeti	brenner	PROPN;DAT;FEM;SG	V;IND;PRS;FIN
gori	brenne	gorjeti	brenne	PROPN;DAT;FEM;SG	V;NFIN
gori	burn	gorjeti	burn	PROPN;DAT;FEM;SG	N;INDF;NEUT;SG
gori	brenn	gorjeti	brenne	PROPN;DAT;FEM;SG	V;IND;PRS;FIN
gori	brenner	gorjeti	brenner	PROPN;DAT;FEM;SG	V;IND;PRS;FIN
gori	brennende	gorjeti	brennende	PROPN;DAT;FEM;SG	N;INDF;NEUT;SG
gori	burning	gorjeti	burning	PROPN;DAT;FEM;SG	N;INDF;FEM;SG
gori	brenning	gorjeti	brenning	PROPN;DAT;FEM;SG	N;INDF;FEM;SG
marka	merk	marka	merk	N;NOM;FEM;SG	V;IMP;FIN
struktura	strukturer	struktura	struktur	N;NOM;FEM;SG	N;INDF;MASC;PL
branko	branko	branko	branko	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
snimanje	filmer	snimanje	film	N;NOM;NEUT;SG	N;INDF;FEM;PL
jugoslaviji	jugoslavia	jugoslavija	jugoslavia	ADJ;DAT;DEF;CMPR;FEM;SG	N;DEF;NEUT;SG
afrike	afrika	afrika	afrika	N;NOM;FEM;PL	N;INDF;NEUT;SG
naravno	javisst	naravno	javisst	ADV	ADJ;INDF;NEUT;SG
naravno	sikker	naravno	sikker	ADV	ADJ;INDF;SG
ceste	veien	cesta	vie	N;NOM;FEM;PL	N;DEF;MASC;SG
ceste	road	cesta	road	N;NOM;FEM;PL	N;INDF;MASC;SG
nastavak	oppfølger	nastavak	oppfølge	N;NOM;MASC;SG	N;INDF;FEM;PL
bleeker	bleeker	bleeker	bleek	ADP	N;INDF;FEM;PL
utvrda	fort	utvrda	fort	N;NOM;FEM;SG	ADJ;INDF;NEUT;SG
svrhu	hensikt	svrha	hensikt	N;ACC;FEM;SG	ADJ;INDF;NEUT;SG
prikaz	vise	prikaz	vise	N;NOM;MASC;SG	V;NFIN
uprave	administrasjonen	uprava	administrasjon	N;NOM;FEM;PL	N;DEF;MASC;SG
uprave	administrasjon	uprava	administrasjon	N;NOM;FEM;PL	N;INDF;MASC;SG
priznanja	bekjennelser	priznanje	bekjennelse	N;NOM;NEUT;PL	N;INDF;NEUT;SG
priznanja	tilståelser	priznanje	tilståelser	N;NOM;NEUT;PL	N;INDF;FEM;SG
maria	maria	maria	maria	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
louis	louis	louis	louis	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
nizozemska	nederland	nizozemski	nederland	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
sjevernom	nordlige	sjeveran	nordlig	ADJ;INS;DEF;FEM;SG	ADJ;PL
sjevernom	northern	sjeveran	northern	ADJ;INS;DEF;FEM;SG	N;INDF;NEUT;SG
odgovor	svare	odgovor	svare	N;NOM;MASC;SG	V;IMP;NFIN
izdaje	svik	izdava	svik	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
izdaje	forræderi	izdava	forræderi	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
izdaje	forræderi	izdava	forræderi	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
španjolskoj	spania	španjolski	spanie	ADJ;DAT;DEF;FEM;SG	PROPN
hit	slo	hit	slå	N;NOM;MASC;SG	V;IND;PST;FIN
postojala	eksistert	postojati	eksistere	V;FEM;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
postojala	fantes	postojati	fantes	V;FEM;SG;PST;V.PTCP;ACT	N;INDF;NEUT;SG
izdan	forrådte	izdati	forråde	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;PL;V.PTCP
izdan	forrådet	izdati	forråde	ADJ;NOM;MASC;SG;V.PTCP;PASS	N;DEF;NEUT;SG
kazališta	teatre	kazalište	teatre	N;NOM;NEUT;PL	N;INDF;NEUT;SG
kazališta	kinoer	kazalište	kino	N;NOM;NEUT;PL	N;INDF;MASC;SG
osobno	personlig	osobno	personlig	ADV	ADJ;INDF;NEUT;SG
osobno	personlige	osobno	personlig	ADV	ADJ;PL
osobno	personlig	osobno	personlig	ADV	ADJ;INDF;NEUT;SG
posljednja	sist	posljednji	sist	ADJ;NOM;DEF;FEM;SG	ADV
župe	kommune	župa	kommune	N;NOM;FEM;PL	N;INDF;MASC;SG
župe	prestegjeld	župa	prestegjeld	N;NOM;FEM;PL	N;INDF;NEUT;SG
njena	hennes	njen	hennes	DET;NOM;FEM;SG;3	N;INDF;MASC;SG
hvala	takk	hvati	takk	V;FEM;SG;PST;V.PTCP;ACT	N;INDF;FEM;SG
hvala	takke	hvati	takke	V;FEM;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
pokazao	vist	pokazati	vise	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
pokazao	dukka	pokazati	dukke	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
kćeri	dotter	kći	dotter	N;NOM;FEM;PL	N;INDF;FEM;SG
kćeri	datter	kći	datter	N;NOM;FEM;PL	N;INDF;FEM;SG
kćeri	daughter	kći	daughter	N;NOM;FEM;PL	N;INDF;MASC;SG
kćeri	dattera	kći	datter	N;NOM;FEM;PL	N;DEF;FEM;SG
kćeri	datteren	kći	datter	N;NOM;FEM;PL	N;DEF;MASC;SG
kćeri	døtre	kći	døtter	N;NOM;FEM;PL	N;INDF;NEUT;SG
madrid	madrid	madrid	madrid	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
značajan	betydelig	značajan	betydelig	ADJ;NOM;INDF;MASC;SG	N;INDF;MASC;SG
meksiko	mexico	meksiko	mexico	PROPN;NOM;MASC;SG	PROPN
željko	zeljko	željko	zeljko	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
odluke	avgjørelser	odluka	avgjørelser	N;NOM;FEM;PL	N;INDF;NEUT;SG
visoko	high	visoko	high	ADV	N
visoko	rus	visoko	rus	ADV	N;INDF;MASC;SG
visoko	høy	visoko	høy	ADV	N;INDF;MASC;SG
visoko	høyt	visoko	høyt	ADV	N;INDF;NEUT;SG
visoko	høgt	visoko	høg	ADV	ADJ;INDF;NEUT;SG
brigade	brigaden	brigada	brigad	N;NOM;FEM;PL	N;DEF;MASC;SG
brigade	brigade	brigada	brigade	N;NOM;FEM;PL	N;INDF;MASC;SG
same	sam	sam	sam	ADJ;NOM;DEF;FEM;PL	N;INDF;MASC;SG
gornje	øvre	gornji	øvre	ADJ;NOM;DEF;FEM;PL	ADJ;CMPR
stoji	stående	stajati	stå	V;IND;SG;3;PRS;FIN	ADJ;INDF;SG;V.PTCP
mark	merk	mark	merk	N;NOM;MASC;SG	V;IMP;FIN
united	united	united	unite	N;NOM;MASC;SG	ADJ;INDF;SG
long	lenge	long	lenge	ADP	ADJ
long	lang	long	lang	ADP	ADJ;INDF;SG
long	lange	long	lang	ADP	ADJ;PL
long	lengter	long	lengt	ADP	N;INDF;MASC;SG
long	long	long	long	ADP	N;INDF;NEUT;SG
life	liv	life	liv	ADP	N;INDF;NEUT;SG
life	livet	life	liv	ADP	N;DEF;NEUT;SG
life	life	life	life	ADP	N;INDF;MASC;SG
visoka	high	visok	high	ADJ;NOM;DEF;FEM;SG	N
visoka	rus	visok	rus	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
visoka	høy	visok	høy	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
visoka	høyt	visok	høyt	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
visoka	høgt	visok	høg	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;NEUT;SG
visoka	høy	visok	høy	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
križ	krysse	križ	krysse	N;NOM;MASC;SG	V;NFIN
pretpostavlja	forutsetter	pretpostavljati	forutsetter	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
pretpostavlja	formoder	pretpostavljati	formode	V;IND;SG;3;PRS;FIN	N;INDF;MASC;PL
pretpostavlja	antatt	pretpostavljati	anta	V;IND;SG;3;PRS;FIN	ADJ;INDF;NEUT;SG;V.PTCP
sky	himmel	sky	himmel	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
sky	sky	sky	sky	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
sky	himmelen	sky	himmel	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
kratko	kort	kratko	kort	ADV	N;INDF;NEUT;SG
kratko	short	kratko	shor	ADV	N;INDF;SG
kratko	korte	kratko	kort	ADV	ADJ;PL
kratko	kortfattet	kratko	kortfatt	ADV	N;DEF;NEUT;SG
ista	same	isti	same	ADJ;NOM;DEF;FEM;SG	DET;DEF
ista	samme	isti	samme	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
nijemci	tyskere	nijemac	tyskere	N;NOM;MASC;PL	N;INDF;FEM;SG
divizije	divisjoner	divizija	divisjon	N;NOM;FEM;PL	N;INDF;MASC;SG
grčka	hellas	grčki	hellas	ADJ;NOM;FEM;SG	PROPN
poljska	polsk	poljska	polsk	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
poljska	polen	poljska	pol	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
poljska	poland	poljska	poland	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
gol	nakne	gol	naken	N;NOM;MASC;SG	ADJ;PL
gol	naken	gol	naken	N;NOM;MASC;SG	ADJ;INDF;SG
mix	mix	mix	mix	ADP	N;INDF;MASC;SG
mix	blanding	mix	blanding	ADP	N;INDF;FEM;SG
mix	miks	mix	miks	ADP	N;INDF;MASC;SG
ban	forby	ban	forby	N;NOM;MASC;SG	V;NFIN
fotografije	bilete	fotografija	bilete	N;NOM;FEM;PL	N;INDF;NEUT;SG
pad	fall	pad	falle	N;NOM;MASC;SG	V;IND;PST;FIN
pad	falle	pad	falle	N;NOM;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
williams	williams	williams	williams	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
donio	brakt	donijeti	bryke	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
donio	bragt	donijeti	bringe	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
allen	allen	allen	allen	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
kosti	bones	kost	bones	N;NOM;FEM;PL	N;INDF;NEUT;SG
kosti	bone	kost	bone	N;NOM;FEM;PL	N;INDF;NEUT;SG
zajednički	gjensidige	zajednički	gjensidig	ADV	ADJ;PL
zajednički	gjensidig	zajednički	gjensidig	ADV	ADJ;INDF;NEUT;SG
zajednički	felles	zajednički	felles	ADV	ADJ;INDF;NEUT;SG
zajednički	common	zajednički	common	ADV	N
zajednički	felles	zajednički	felles	ADV	ADJ;INDF;NEUT;SG
zajednički	vanlig	zajednički	vanlig	ADV	ADJ;INDF;NEUT;SG
zadnji	sist	zadnji	sist	ADJ;NOM;DEF;MASC;SG	ADV
japanski	japansk	japanski	japansk	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;SG
taylor	taylor	taylor	taylor	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
slova	brev	slovo	brev	N;NOM;NEUT;PL	N;INDF;NEUT;SG
odbio	avslått	odbiti	avslå	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
odbio	avvist	odbiti	avvise	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
odbio	nektet	odbiti	nekt	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
funkcije	funksjon	funkcija	funksjon	N;NOM;FEM;PL	N;INDF;MASC;SG
funkcije	funksjoner	funkcija	funksjon	N;NOM;FEM;PL	N;INDF;MASC;SG
koristeći	bruke	koristiti	bruke	ADV;RL	V;NFIN
koristeći	bruker	koristiti	bruke	ADV;RL	V;IND;PRS;FIN
chen	chen	chen	chen	PROPN;NOM;MASC;SG	N;INDF;SG
proljeće	spring	proljeće	springe	N;NOM;NEUT;SG	V;IND;PRS;FIN
trg	kvadratisk	trg	kvadratisk	N;NOM;MASC;SG	ADJ;INDF;NEUT;SG
brown	brown	brown	brown	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
brown	brune	brown	brune	PROPN;NOM;MASC;SG	ADJ;PL
brown	brunt	brown	brun	PROPN;NOM;MASC;SG	ADJ;INDF;NEUT;SG
brown	brun	brown	brun	PROPN;NOM;MASC;SG	ADJ;INDF;SG
muslimani	muslimske	musliman	muslimsk	N;NOM;MASC;PL	ADJ;PL
muslimani	muslim	musliman	muslim	N;NOM;MASC;PL	N;INDF;MASC;SG
muslimani	muslimsk	musliman	muslimsk	N;NOM;MASC;PL	ADJ;INDF;NEUT;SG
naslijedio	arva	naslijediti	arve	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
naslijedio	arvet	naslijediti	arv	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
otkriva	avslørende	otkrivati	avslørende	V;IND;SG;3;PRS;FIN	ADJ;INDF;SG;V.PTCP
otkriva	avdekker	otkrivati	avdekke	V;IND;SG;3;PRS;FIN	N;INDF;MASC;PL
središnje	central	središnji	central	ADJ;NOM;DEF;FEM;PL	N;INDF;MASC;SG
središnje	sentral	središnji	sentral	ADJ;NOM;DEF;FEM;PL	ADJ;INDF;SG
središnje	sentralt	središnji	sentral	ADJ;NOM;DEF;FEM;PL	ADJ;INDF;NEUT;SG
poraza	beseirer	poraz	beseire	N;GEN;MASC;SG	N;INDF;FEM;PL
glava	hodene	glava	hode	N;NOM;FEM;SG	N;DEF;FEM;PL
previše	too	previše	too	ADV	N
pogon	drive	pogon	drive	N;NOM;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
latinski	latin	latinski	latin	ADV	N;INDF;MASC;SG
latinski	latinske	latinski	latinsk	ADV	ADJ;PL
latinski	latinsk	latinski	latinsk	ADV	ADJ;INDF;SG
stranicu	siden	stranica	siden	N;ACC;FEM;SG	
planeta	planetene	planet	planet	N;ACC;MASC;SG	N;DEF;FEM;PL
planeta	planeter	planet	planet	N;ACC;MASC;SG	N;INDF;MASC;PL
zadru	zadar	zadar	zadar	PROPN;DAT;MASC;SG	N;INDF;MASC;PL
vii	vii	vii	vii	ADJ	N
jesu	finst	biti	finnast	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
jesu	are	biti	are	V;IND;PL;3;PRS;FIN	PROPN
napraviti	make	napraviti	make	V;NFIN	N;INDF;MASC;SG
napraviti	gjøre	napraviti	gjøre	V;NFIN	
minute	minutter	minuta	minutter	N;NOM;FEM;PL	N;INDF;MASC;SG
net	nett	net	nett	N;NOM;MASC;SG	ADV
koch	koch	koch	koch	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
naročito	især	naročito	især	ADV	N;INDF;NEUT;SG
naročito	spesielt	naročito	spesiell	ADV	ADJ;INDF;NEUT;SG
naročito	spesiellt	naročito	spesiell	ADV	ADJ;INDF;NEUT;SG
naročito	særlig	naročito	særlig	ADV	ADJ;INDF;NEUT;SG
bitno	viktig	bitno	viktig	ADV	ADJ;INDF;NEUT;SG
predmet	fag	predmet	fag	N;NOM;MASC;SG	N;INDF;NEUT;PL
poredak	bestille	poredak	bestille	N;NOM;MASC;SG	V;NFIN
topline	varmekabler	toplina	varmekaber	N;NOM;FEM;PL	N;INDF;MASC;SG
topline	heat	toplina	heat	N;NOM;FEM;PL	N;INDF;NEUT;SG
topline	heten	toplina	hete	N;NOM;FEM;PL	N;INDF;MASC;SG
topline	varme	toplina	varme	N;NOM;FEM;PL	N;INDF;MASC;SG
kamena	stone	kamen	ston	N;NOM;FEM;SG	PROPN
bijeli	hvit	bijel	hvit	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
bijeli	white	bijel	white	ADJ;NOM;DEF;MASC;SG	N;INDF
bijeli	hvitt	bijel	hvi	ADJ;NOM;DEF;MASC;SG	N;INDF;NEUT;SG
bijeli	hvite	bijel	hvite	ADJ;NOM;DEF;MASC;SG	N;INDF;NEUT;SG
glavno	main	glavni	main	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
glavno	hoved	glavni	hoved	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
istodobno	samtidig	istodobno	samtidig	ADV	ADJ;INDF;NEUT;SG
europsko	europeiske	europski	europeisk	ADJ;NOM;NEUT;SG	ADJ;PL
europsko	european	europski	european	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
bijela	hvit	bijel	hvit	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
bijela	white	bijel	white	ADJ;NOM;DEF;FEM;SG	N;INDF
bijela	hvitt	bijel	hvi	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
bijela	hvite	bijel	hvite	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
domaće	hjemmelaget	domaći	hjemmelag	ADJ;NOM;DEF;FEM;PL	N;DEF;NEUT;SG
vidio	sett	vidjeti	setje	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
vidio	sag	vidjeti	sag	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;FEM;SG
vidio	saw	vidjeti	saw	V;MASC;SG;PST;V.PTCP;ACT	N
približno	omtrentlig	približno	omtrentlig	ADV	ADJ;INDF;NEUT;SG
približno	tilnærmet	približno	tilnærm	ADV	N;DEF;NEUT;SG
radnja	handle	radnja	handle	N;NOM;FEM;SG	V;NFIN
vijeku	aldersgrupper	vijek	aldersgruppe	N;DAT;MASC;SG	N;INDF;FEM;PL
vijeku	aldre	vijek	aldre	N;DAT;MASC;SG	N;INDF;NEUT;PL
sovjetski	sovjetiske	sovjetski	sovjetisk	ADV	ADJ;PL
sovjetski	sovjetisk	sovjetski	sovjetisk	ADV	ADJ;INDF;NEUT;SG
klavijature	keyboards	klavijatura	keyboards	N;NOM;FEM;PL	N;INDF;NEUT;SG
klavijature	tastatur	klavijatura	tastatur	N;NOM;FEM;PL	N;INDF;NEUT;SG
klavijature	keyboard	klavijatura	keyboard	N;NOM;FEM;PL	N;INDF;NEUT;SG
prešao	krysset	prešati	kryss	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
turska	tyrkia	turski	tyrki	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
turska	kalkun	turski	kalkun	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
traži	søk	tražiti	søk	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
kini	china	kina	china	PROPN;DAT;FEM;SG	N
kini	kina	kina	Kina	PROPN;DAT;FEM;SG	PROPN
sveta	sveta	svet	sveta	ADJ;NOM;DEF;FEM;SG	N;INDF;NEUT;SG
sveta	fy	svet	fy	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
sveta	hellig	svet	hellig	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
sveta	hellige	svet	hellige	ADJ;NOM;DEF;FEM;SG	ADJ;PL
juan	juan	juan	juan	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
sudjelovali	deltatt	sudjelovati	delta	V;MASC;PL;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
osnovni	grunnleggende	osnovan	grunnleggende	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
osnovni	basic	osnovan	basic	ADJ;NOM;DEF;MASC;SG	N;INDF;NEUT;SG
slobodan	free	slobodan	free	ADJ;NOM;INDF;MASC;SG	N
slobodan	frie	slobodan	fri	ADJ;NOM;INDF;MASC;SG	ADJ;PL
prvaci	mestere	prvak	mestere	N;NOM;MASC;PL	N;INDF;MASC;SG
png	png	png	png	ADP	N;INDF;NEUT;SG
kategorije	kategori	kategorija	kategori	N;NOM;FEM;PL	N;INDF;MASC;SG
kategorije	kategorien	kategorija	kategori	N;NOM;FEM;PL	N;DEF;MASC;SG
mornarice	navy	mornarica	navy	N;NOM;FEM;PL	N;INDF;MASC;SG
mornarice	marine	mornarica	marin	N;NOM;FEM;PL	N;INDF;MASC;SG
mornarice	marinen	mornarica	marin	N;NOM;FEM;PL	N;DEF;MASC;SG
brigada	brigader	brigad	brigad	N;NOM;FEM;SG	N;INDF;MASC;PL
središnja	central	središnji	central	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
središnja	sentral	središnji	sentral	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;SG
središnja	sentralt	središnji	sentral	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;NEUT;SG
azije	asia	azija	asia	N;NOM;FEM;PL	N;INDF;NEUT;SG
karakteristike	kjennetegn	karakteristika	kjennetegn	N;NOM;FEM;PL	N;INDF;NEUT;SG
karakteristike	egenskaper	karakteristika	egenskap	N;NOM;FEM;PL	N;INDF;NEUT;SG
karakteristike	funksjoner	karakteristika	funksjon	N;NOM;FEM;PL	N;INDF;MASC;SG
forster	forster	forster	forster	ADP	N;INDF;MASC;SG
kulturne	kulturell	kulturan	kulturell	ADJ;NOM;DEF;FEM;PL	ADJ;INDF;SG
max	max	max	max	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
