בילה	spesi	בילה	spendere	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
דאלאס	dallas	דאלאס	dallas	PROPN	N;FEM;SG
הרווח	profit	הרווח	profit		N
הרווח	guadagno	הרווח	guadagno		N;MASC;SG
הרווח	profitti	הרווח	profitto		N;MASC;PL
הרווח	profitto	הרווח	profitto		N;MASC;SG
קליבלנד	cleveland	קליבלנד	cleveland	PROPN	N;FEM;SG
כובע	cappelli	כובע	cappello	N;MASC;SG	N;MASC;PL
כובע	cappellini	כובע	cappellino	N;MASC;SG	N;MASC;PL
קורפוס	corpus	קורפוס	corpus	PROPN	N;MASC
סוני	sony	סוני	sony	PROPN	N;MASC
סוני	sonny	סוני	sonny	PROPN	N
סוני	sunnita	סוני	sunnire	PROPN	ADJ;SG
בחינם	libera	בחינם	libero		ADJ;FEM;SG
בחינם	gratis	בחינם	gratis		N
בחינם	liberi	בחינם	libero		ADJ;MASC;PL
בחינם	libero	בחינם	libero		ADJ;MASC;SG
בחינם	free	בחינם	frendere		N
בחינם	gratuito	בחינם	gratuito		ADJ;MASC;SG
לכוון	aim	לכוון	aim	V;NFIN;ACT	N
רחמים	peccato	רחמים	peccato	N;MASC;PL	ADJ;MASC;SG
רחמים	misericordia	רחמים	misericordia	N;MASC;PL	N;FEM;SG
רומני	romeno	רומני	romeno	PROPN	ADJ;MASC;SG
רומני	rumena	רומני	rumeno	PROPN	ADJ;FEM;SG
רומני	rumeni	רומני	rumeno	PROPN	N;MASC;PL
רומני	rumeno	רומני	rumeno	PROPN	ADJ;MASC;SG
רומני	romney	רומני	romney	PROPN	N;MASC
ברטון	burton	ברטון	burton	PROPN	N;MASC;SG
ברטון	barton	ברטון	barton	PROPN	N;MASC;SG
ברטון	bretone	ברטון	bretone	PROPN	N;MASC;SG
ברטון	breton	ברטון	breton	PROPN	N;MASC;SG
נידון	condannati	נידון	condannato	V;MASC;SG;PST;MID	V;MASC;PL;PST;V.PTCP
נידון	condannati	נידון	condannato	V;MASC;SG;PST;MID	V;MASC;PL;PST;V.PTCP
נירנברג	norimberga	נירנברג	norimberga	PROPN	N;FEM;SG
מודרניות	modernità	מודרני	modernità	ADJ;FEM;PL	N;FEM
מודרניות	moderna	מודרני	moderno	ADJ;FEM;PL	ADJ;FEM;SG
מודרניות	modern	מודרני	modern	ADJ;FEM;PL	N
מודרניות	moderno	מודרני	moderno	ADJ;FEM;PL	ADJ;MASC;SG
מודרניות	modernità	מודרני	modernità	ADJ;FEM;PL	N;FEM
בהינתן	dato	בהינתן	dare	ADV	V;MASC;SG;PST;V.PTCP
החזרה	prove	החזרה	prova	N;FEM;SG	N;FEM;PL
פסים	striscia	פס	striscia	N;MASC;PL	N;FEM;SG
חלקיק	particelle	חלקיק	particella	PROPN	N;FEM;PL
חלקיק	particella	חלקיק	particella	PROPN	N;FEM;SG
חלקיק	particelle	חלקיק	particella	PROPN	N;FEM;PL
נזקים	danno	נזק	danno	N;MASC;PL	N;MASC;SG
נזקים	danneggiamento	נזק	danneggiamento	N;MASC;PL	N;MASC;SG
בואנוס	buenos	בואנוס	buenos	PROPN	N;MASC;SG
מני	mani	מן	mano		N;FEM;PL
מני	manny	מן	manny		N;MASC
הכיל	contenute	הכיל	contenere	V;MASC;SG;3;PST;ACT	V;FEM;PL;PST;V.PTCP
מקל	bastone	הקל	bastone		N;MASC;SG
מקל	bastoncino	הקל	bastoncino		N;MASC;SG
מקל	stick	הקל	stick		N;MASC
אטלס	atlas	אטלס	atlas	PROPN	N
אטלס	atlante	אטלס	atlante	PROPN	N;MASC;SG
מיאמי	miami	מיאמי	miame	PROPN	N;MASC
מוסוליני	mussolini	מוסוליני	mussolino	PROPN	N;MASC;PL
ולס	valzer	ולס	valzer	PROPN	N;MASC
ולס	pozzi	ולס	pozzo	PROPN	N;MASC;PL
ולס	wells	ולס	wells	PROPN	N;MASC;SG
יריב	rivali	יריב	rivale	N;MASC;SG	N;PL
יריב	avversari	יריב	avversario	N;MASC;SG	N;MASC;PL
רצופים	consecutivo	רצוף	consecutivo	ADJ;MASC;PL	ADJ;MASC;SG
רצופים	consecutiva	רצוף	consecutivo	ADJ;MASC;PL	ADJ;FEM;SG
בקביעות	regolarmente	בקביעות	regolarmente		ADV
בקביעות	costantemente	בקביעות	costantemente		ADV
בקביעות	continuamente	בקביעות	continuamente		ADV
פיה	pia	פיה	pia		N;FEM;SG
פיה	fata	פיה	fare		N;FEM;SG
פיה	fatina	פיה	fatina		N;FEM;SG
ליון	lione	ליון	lione	PROPN	N;FEM;SG
ליון	lyon	ליון	lyon	PROPN	
ספיידרמן	spiderman	ספיידרמן	spiderman	PROPN	N;MASC;SG
טבלה	grafico	טבלה	grafico	N;FEM;SG	ADJ;MASC;SG
ביתא	beta	ביתא	beta	PROPN	N;FEM;SG
נאפולי	napoli	נאפולי	napola	PROPN	N;MASC;SG
חולי	pazienti	חולי	paziente	PROPN	N;PL
חולי	malattia	חולי	malattia	PROPN	N;FEM;SG
ארגן	organizza	ארגן	organizzare	PROPN	V;IND;SG;3;PRS;FIN
ארגן	organizzare	ארגן	organizzare	PROPN	V;NFIN
ארגן	organizzano	ארגן	organizzare	PROPN	V;IND;PL;3;PRS;FIN
ארגן	organizza	ארגן	organizzare	PROPN	V;IND;SG;3;PRS;FIN
הולם	appropriato	הולם	appropriato		ADJ;MASC;SG
הולם	adeguato	הולם	adeguato		ADJ;MASC;SG
הולם	appropriati	הולם	appropriato		ADJ;MASC;PL
הולם	appropriata	הולם	appropriato		ADJ;FEM;SG
הולם	adeguato	הולם	adeguato		ADJ;MASC;SG
הולם	adeguata	הולם	adeguato		ADJ;FEM;SG
הולם	holm	הולם	holm		N;MASC;SG
מעורר	stimolante	עורר	stimolante	V;MASC;SG;V.PTCP;ACT	ADJ;SG
מעורר	stimolanti	עורר	stimolante	V;MASC;SG;V.PTCP;ACT	ADJ;PL
באפט	buffett	באפט	buffett	PROPN	N;MASC
מסת	messa	מסת	messa	PROPN	N;FEM;SG
מסת	mass	מסת	mass	PROPN	N
מסת	massa	מסת	massa	PROPN	N;FEM;SG
אחיות	infermiere	אח	infermiere	N;FEM;PL	N;FEM;SG
הולנדי	neerlandese	הולנדי	neerlandese	PROPN	ADJ;SG
הולנדי	olandesi	הולנדי	olandese	PROPN	N;PL
הולנדי	olandese	הולנדי	olandese	PROPN	ADJ;SG
הולנדי	dutch	הולנדי	dutch	PROPN	N
יהונתן	jonathan	הונתן	jonathan	PROPN	N
פין	pene	פין	pena		N;FEM;PL
פין	peni	פין	peno		ADJ;SG
פין	pinne	פין	pinno		N;FEM;PL
פין	fin	פין	fino		ADJ;SG
פין	pinna	פין	pinna		N;FEM;SG
פין	finn	פין	finn		N;SG
מאובנים	fossili	מאובן	fossile	V;MASC;PL;V.PTCP;PASS	N;MASC;PL
ריאות	polmoni	ריאות	polmone	N;FEM;SG	N;MASC;PL
ריאות	polmoni	ריאות	polmone	N;FEM;SG	N;MASC;PL
שקר	lie	שקר	lio		N
שקר	mentire	שקר	mentire		V;NFIN
שקר	bugia	שקר	bugia		N;FEM;SG
שקר	menzogna	שקר	menzogna		N;FEM;SG
שקר	falsi	שקר	falso		ADJ;MASC;PL
שקר	falsa	שקר	falso		ADJ;FEM;SG
שקר	false	שקר	falso		ADJ;FEM;PL
שקר	falso	שקר	falso		ADJ;MASC;SG
נפשי	mentali	נפשי	mentale	ADJ;MASC;SG	ADJ;PL
מציינת	indica	ציין	indicare	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
שמקורם	originari	שמקורם	originario	PROPN	ADJ;MASC;PL
שמקורם	originario	שמקורם	originario	PROPN	ADJ;MASC;SG
שמקורם	originarie	שמקורם	originario	PROPN	ADJ;FEM;PL
מכסה	coperchio	כיסה	coperchio	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
מכסה	copertura	כיסה	copertura	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	copertina	כיסה	copertina	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	cover	כיסה	cover	V;FEM;SG;V.PTCP;ACT	N;FEM
מכסה	contingente	כיסה	contingente	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
מכסה	copertine	כיסה	copertina	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
מכסה	coperture	כיסה	copertura	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
שלומי	shlomi	שלום	shloma	PROPN	ADJ;SG
התיאור	descrizione	התיאור	descrizione	PROPN	N;FEM;SG
מסייע	aiutante	סייע	aiutante	V;MASC;SG;V.PTCP;ACT	N;SG
מסייע	facilitatore	סייע	facilitatore	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
מסייע	aiuta	סייע	aiutare	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מסייע	utile	סייע	utile	V;MASC;SG;V.PTCP;ACT	ADJ;SG
בונים	castori	בנה	castore	V;MASC;PL;V.PTCP;ACT	N;MASC;PL
שוחררו	rilasciato	שוחרר	rilasciare	V;PL;3;PST;PASS	V;MASC;SG;PST;V.PTCP
שוחררו	rilasciata	שוחרר	rilasciare	V;PL;3;PST;PASS	V;FEM;SG;PST;V.PTCP
עבאס	abbas	עבאס	abbas	PROPN	N;MASC
ננסי	nancy	ניסה	nancy	PROPN	N;FEM;SG
המולדת	patria	המולד	patria	PROPN	N;FEM;SG
המולדת	madrepatria	המולד	madrepatria	PROPN	N;FEM;SG
המולדת	patria	המולד	patria	PROPN	N;FEM;SG
המולדת	homeland	המולד	homeland	PROPN	N;FEM
ליבה	core	ליבה	cora	PROPN	N;MASC
ליבה	nucleo	ליבה	nucleo	PROPN	N;MASC;SG
בטי	betty	ביט	betty	PROPN	N;FEM
קדומות	pregiudizio	קדום	pregiudizio	N;FEM;PL	N;MASC;SG
פיצוי	compensazioni	פיצוי	compensazione	N;MASC;SG	N;FEM;PL
רכיב	componente	רכיב	componente		N;SG
אורז	imballaggio	אורז	imballaggio	PROPN	N;MASC;SG
אורז	riso	אורז	riso	PROPN	N;MASC;SG
אורז	rice	אורז	rice	PROPN	N;MASC;SG
פלסטין	palestina	פלסטין	palestina	PROPN	N;FEM;SG
לנון	lennon	לנון	lennon	PROPN	N;MASC;SG
מתקבלת	sostenuti	התקבל	sostenere	V;FEM;SG;V.PTCP	V;MASC;PL;PST;V.PTCP
ברוקולי	broccoli	ברוקול	broccolo	PROPN	N;MASC;PL
אלת	dea	אלת	dia		N;FEM;SG
אלת	divinità	אלת	divinità		N;FEM
מתמטי	matematico	מתמיט	matematico	N;MASC;SG	ADJ;MASC;SG
מוקדש	dedicati	הוקדש	dedicare	V;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
מוקדש	dedicate	הוקדש	dedicare	V;MASC;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
לאונרדו	leonardo	לאונרדו	leonardo	PROPN	N;MASC;SG
מבטא	accenti	מבטא	accento	N;MASC;SG	N;MASC;PL
בועז	boaz	בועז	boaz	PROPN	N;MASC;SG
הזמנה	prenotazioni	הזמנה	prenotazione	N;FEM;SG	N;FEM;PL
הזמנה	invita	הזמנה	invitare	N;FEM;SG	V;IND;SG;3;PRS;FIN
הזמנה	inviti	הזמנה	invito	N;FEM;SG	N;MASC;PL
הזמנה	invitano	הזמנה	invitare	N;FEM;SG	V;IND;PL;3;PRS;FIN
הזמנה	invitare	הזמנה	invitare	N;FEM;SG	V;NFIN
הזמנה	ordinare	הזמנה	ordinare	N;FEM;SG	V;NFIN
הזמנה	ordina	הזמנה	ordinare	N;FEM;SG	V;IND;SG;3;PRS;FIN
הזמנה	prenotazioni	הזמנה	prenotazione	N;FEM;SG	N;FEM;PL
מחברות	quaderni	מחברה	quaderno		N;MASC;PL
תורתו	insegnamenti	תורתו	insegnamento		N;MASC;PL
העיקרון	principio	העיקרון	principio	PROPN	N;MASC;SG
העיקרון	principi	העיקרון	principio	PROPN	N;MASC;PL
נחמיה	neemia	נחמייה	neemia	PROPN	N;FEM;SG
פיסול	sculture	פיסול	scultura	N;MASC;SG	N;FEM;PL
נתפסו	catturato	נתפס	catturare	V;PL;3;PST;MID	V;MASC;SG;PST;V.PTCP
נתפסו	catturato	נתפס	catturare	V;PL;3;PST;MID	V;MASC;SG;PST;V.PTCP
נתפסו	catturata	נתפס	catturare	V;PL;3;PST;MID	V;FEM;SG;PST;V.PTCP
מבטיח	promessa	הבטיח	promessa	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
מבטיח	promise	הבטיח	promettere	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
מבטיח	promettenti	הבטיח	promettente	V;MASC;SG;V.PTCP;ACT	ADJ;PL
מבטיח	promette	הבטיח	promettere	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מבטיח	promettente	הבטיח	promettente	V;MASC;SG;V.PTCP;ACT	ADJ;SG
אבירי	galante	אבירי	galante	PROPN	N;SG
הרייך	reich	הרייך	reich	PROPN	N;MASC
קברים	graves	קבר	graves	N;MASC;PL	N;MASC;SG
שהו	sho	שהו	sho	PROPN	N;SG
הכה	colpisci	הכה	colpire	PROPN	V;IND;SG;2;PRS;FIN
הכה	colpito	הכה	colpire	PROPN	V;MASC;SG;PST;V.PTCP
הכה	hit	הכה	hit	PROPN	N;FEM
דמוקרטי	democratiche	דמוקרטי	democratico	N;MASC;SG	ADJ;FEM;PL
דמוקרטי	democratici	דמוקרטי	democratico	N;MASC;SG	N;MASC;PL
דמוקרטי	democratica	דמוקרטי	democratico	N;MASC;SG	ADJ;FEM;SG
דמוקרטי	democratico	דמוקרטי	democratico	N;MASC;SG	ADJ;MASC;SG
דמוקרטי	democratici	דמוקרטי	democratico	N;MASC;SG	N;MASC;PL
דמוקרטי	democratico	דמוקרטי	democratico	N;MASC;SG	ADJ;MASC;SG
מתחרים	concorrenti	התחרה	concorrente	V;MASC;PL;V.PTCP	N;PL
מתחרים	concorrenti	התחרה	concorrente	V;MASC;PL;V.PTCP	N;PL
אסד	assad	אסאד	assad	PROPN	N;MASC
אסד	asad	אסאד	asad	PROPN	N;MASC
ליברמן	lieberman	ליברמן	lieberman	PROPN	N;MASC
ספציפיים	specifica	ספציפיים	specifico	ADJ;MASC;PL	ADJ;FEM;SG
ספציפיים	specifico	ספציפיים	specifico	ADJ;MASC;PL	ADJ;MASC;SG
חוקיים	legale	חוקי	legale	ADJ;MASC;PL	ADJ;SG
חוקיים	giuridico	חוקי	giuridico	ADJ;MASC;PL	ADJ;MASC;SG
האנס	hans	האנס	hans	PROPN	N;MASC;SG
הבלקן	balcani	הבלקן	balcano	PROPN	N;MASC;PL
כומר	reverendo	כומר	revere	PROPN	V;V.MSDR
כומר	sacerdote	כומר	sacerdote	PROPN	N;MASC;SG
כומר	prete	כומר	prete	PROPN	N;MASC;SG
להתפטר	dimettersi	התפטר	dimettere	V;NFIN	N;MASC;SG
ערפאת	arafat	ערפאת	arafat	PROPN	N;MASC
ביו	bio	ביו	bio		V;IND;SG;3;PRS;FIN
הוותיקן	vaticano	הוותיקן	vaticano	PROPN	ADJ;MASC;SG
נמשכת	attirati	נמשך	attirare	V;FEM;SG;V.PTCP;MID	V;MASC;PL;PST;V.PTCP
נמשכת	attratti	נמשך	attratto	V;FEM;SG;V.PTCP;MID	V;MASC;PL;PST;V.PTCP
גרינברג	greenberg	גרינברג	greenberg	PROPN	N;FEM;SG
צלילים	suona	צליל	suonare	N;MASC;PL	V;IND;SG;3;PRS;FIN
היופי	bellezza	היופי	bellezza	PROPN	N;FEM;SG
היופי	bellezze	היופי	bellezza	PROPN	N;FEM;PL
מורי	maury	מורי	maury		N;SG
מורי	mori	מורי	morire		N;MASC;SG
מורי	murray	מורי	murray		N;MASC;SG
פלילי	criminal	פלילי	criminal	ADJ;MASC;SG	N
לייק	lago	לייק	lago	PROPN	N;MASC;SG
המסמך	documentare	המסמך	documentare	PROPN	V;NFIN
המסמך	documento	המסמך	documento	PROPN	N;MASC;SG
שותפה	associata	שותף	associare	N;FEM;SG	V;FEM;SG;PST;V.PTCP
שותפה	associa	שותף	associare	N;FEM;SG	V;IND;SG;3;PRS;FIN
שותפה	associato	שותף	associare	N;FEM;SG	V;MASC;SG;PST;V.PTCP
שותפה	associare	שותף	associare	N;FEM;SG	V;NFIN
במימון	finanziata	במימון	finanziare	PROPN	V;FEM;SG;PST;V.PTCP
במימון	finanziate	במימון	finanziare	PROPN	V;FEM;PL;PST;V.PTCP
במימון	finanziati	במימון	finanziare	PROPN	V;MASC;PL;PST;V.PTCP
במימון	finanziato	במימון	finanziare	PROPN	V;MASC;SG;PST;V.PTCP
נסיגה	ritirata	נסיגה	ritirare	N;FEM;SG	V;FEM;SG;PST;V.PTCP
נסיגה	ritirarsi	נסיגה	ritirare	N;FEM;SG	V;IND;SG;3;PRS;FIN
רפורמה	riformare	רפורמה	riformare	N;FEM;SG	V;NFIN
רפורמה	riforme	רפורמה	riforma	N;FEM;SG	N;FEM;PL
הומו	homo	הומה	homo		N;MASC;SG
הומו	omo	הומה	omo		ADJ;SG
הומו	gay	הומה	gay		N;MASC
רבן	rabban	רבן	rabban	PROPN	N;MASC
אובייקט	oggetti	אובייקט	oggetto	N;MASC;SG	N;MASC;PL
ביג	grosso	ביג	grosso		ADJ;MASC;SG
ביג	grandi	ביג	grande		ADJ;PL
ביג	grande	ביג	grande		ADJ;SG
ביג	big	ביג	big		N
גלן	glen	גלן	gleno	PROPN	N;MASC;SG
גלן	glenn	גלן	glenn	PROPN	N;MASC
הארט	hart	הארט	hart	PROPN	N;MASC
צנחנים	paracadutisti	צנחן	paracadutista	PROPN	N;MASC;PL
תורמים	donatori	תרם	donatore	V;MASC;PL;V.PTCP;ACT	N;MASC;PL
תורמים	collaboratori	תרם	collaboratore	V;MASC;PL;V.PTCP;ACT	N;MASC;PL
תורמים	contribuenti	תרם	contribuente	V;MASC;PL;V.PTCP;ACT	N;PL
תורמים	contributori	תרם	contributore	V;MASC;PL;V.PTCP;ACT	N;MASC;PL
עוקב	segue	עקב	seguire	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
עוקב	follower	עקב	follower	V;MASC;SG;V.PTCP;ACT	N
עוקב	seguace	עקב	seguace	V;MASC;SG;V.PTCP;ACT	N;SG
עוקב	tracciamento	עקב	tracciamento	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
עוקב	tracking	עקב	tracking	V;MASC;SG;V.PTCP;ACT	N;MASC
עוקב	monitoraggio	עקב	monitoraggio	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
מחווה	tributi	מחווה	tributo	N;FEM;SG	N;MASC;PL
מחווה	gesti	מחווה	gesto	N;FEM;SG	N;MASC;PL
מושפע	influenzati	הושפע	influenzare	V;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
מושפע	colpite	הושפע	colpire	V;MASC;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
פיק	pic	פיק	pic	PROPN	N
מוצאת	ritrovamenti	מצא	ritrovamento	V;FEM;SG;V.PTCP	N;MASC;PL
מוצאת	reperti	מצא	reperto	V;FEM;SG;V.PTCP	N;MASC;PL
מוצאת	trova	מצא	trovare	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
גלילי	cilindrico	גלילי	cilindrico	PROPN	ADJ;MASC;SG
גלילי	cilindrica	גלילי	cilindrico	PROPN	ADJ;FEM;SG
לאונרד	leonardo	לאונרד	leonardo	PROPN	N;MASC;SG
לאונרד	leonard	לאונרד	leonard	PROPN	N;MASC;SG
מסורתיים	tradizionale	מסורתי	tradizionale	ADJ;MASC;PL	ADJ;SG
מלאך	angelo	מלאך	angelo	PROPN	N;MASC;SG
מלאך	angel	מלאך	angel	PROPN	N;MASC;SG
מלאך	angeli	מלאך	angelo	PROPN	N;MASC;PL
צוואר	collo	צוואר	collo	PROPN	N;MASC;SG
צוואר	colli	צוואר	collo	PROPN	N;MASC;PL
רול	rotolare	רול	rotolare	PROPN	V;NFIN
רול	rotola	רול	rotola	PROPN	V;IND;SG;3;PRS;FIN
רול	roll	רול	roll	PROPN	N;MASC
רול	rotolo	רול	rotolo	PROPN	N;MASC;SG
חשף	rivelate	חשף	rivelare	V;MASC;SG;3;PST;ACT	V;FEM;PL;PST;V.PTCP
חשף	rivelati	חשף	rivelare	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
מיטשל	mitchell	מיטשל	mitchell	PROPN	N;FEM;SG
אורנה	orna	אורנה	orna	PROPN	V;IND;SG;3;PRS;FIN
קולומבוס	columbus	קולומבוס	columbus	PROPN	N;MASC
קולומבוס	colombo	קולומבוס	colombo	PROPN	N;MASC;SG
אמינות	affidabili	אמינות	affidabile	N;FEM;SG	ADJ;PL
אמינות	affidabile	אמינות	affidabile	N;FEM;SG	ADJ;SG
אמינות	affidabili	אמינות	affidabile	N;FEM;SG	ADJ;PL
אמינות	affidabile	אמינות	affidabile	N;FEM;SG	ADJ;SG
קדושה	sacre	קדוש	sacro	PROPN	ADJ;FEM;PL
קדושה	sacro	קדוש	sacro	PROPN	ADJ;MASC;SG
קדושה	sacra	קדוש	sacro	PROPN	ADJ;FEM;SG
קדושה	sacri	קדוש	sacro	PROPN	ADJ;MASC;PL
קדושה	sacro	קדוש	sacro	PROPN	ADJ;MASC;SG
קדושה	porca	קדוש	porca	PROPN	ADJ;FEM;SG
קדושה	santa	קדוש	santo	PROPN	N;FEM;SG
קדושה	santità	קדוש	santità	PROPN	N;FEM
המלאכה	workshop	המלאכה	workshop	PROPN	N;MASC
המלאכה	officina	המלאכה	officina	PROPN	N;FEM;SG
נעורים	giovinezza	נעורים	giovinezza	N;MASC;PL	N;FEM;SG
לאופולד	leopold	לאופולד	leopold	PROPN	N;MASC;SG
לאופולד	leopoldo	לאופולד	leopoldo	PROPN	N;MASC;SG
ולטר	walther	ולטר	walther	PROPN	N;MASC;SG
ולטר	walter	ולטר	walter	PROPN	N;MASC;SG
השחר	alba	השחר	alba		N;FEM;SG
השחר	dawn	השחר	dawn		N
ליב	liv	ליב	liv	PROPN	
ליב	lib	ליב	lib	PROPN	N;SG
השקעה	investire	השקעה	investire	N;FEM;SG	V;NFIN
השקעה	investendo	השקעה	investire	N;FEM;SG	V;V.MSDR
השקעה	investimenti	השקעה	investimento	N;FEM;SG	N;MASC;PL
יוטיוב	youtube	יוטיוב	youtube	PROPN	N;MASC
בבלי	babilonese	בבלי	babilonese	PROPN	ADJ;SG
ממונה	superior	מונה	superiore	V;MASC;SG;V.PTCP;PASS	N;FEM
ממונה	superiori	מונה	superiore	V;MASC;SG;V.PTCP;PASS	ADJ;CMPR;PL
ממונה	superiore	מונה	superiore	V;MASC;SG;V.PTCP;PASS	ADJ;CMPR;SG
פורה	produttivi	פורה	produttivo		ADJ;MASC;PL
פורה	produttivo	פורה	produttivo		ADJ;MASC;SG
פורה	produttiva	פורה	produttivo		ADJ;FEM;SG
פורה	fertili	פורה	fertile		ADJ;PL
פורה	fertile	פורה	fertile		ADJ;SG
פורה	prolifico	פורה	prolifico		ADJ;MASC;SG
פורה	fruttuosa	פורה	fruttuoso		ADJ;FEM;SG
פורה	fruttuoso	פורה	fruttuoso		ADJ;MASC;SG
פטרוס	pietro	פטרוס	pietro	PROPN	N;MASC;SG
פטרוס	piero	פטרוס	piero	PROPN	N;MASC;SG
הווה	presenti	הווה	presente	PROPN	ADJ;PL
הווה	presente	הווה	presente	PROPN	ADJ;SG
תעודה	attestato	תעודה	attestare	N;FEM;SG	V;MASC;SG;PST;V.PTCP
גולדמן	goldman	גולדמן	goldman	PROPN	N;FEM;SG
אוריאל	uriel	אוריאל	uriel	PROPN	N;SG
המלווה	accompagnatore	המלווה	accompagnatore	PROPN	N;MASC;SG
המלווה	compagna	המלווה	compagna	PROPN	N;FEM;SG
המלווה	compagno	המלווה	compagno	PROPN	N;MASC;SG
טורקית	turco	תורכי	turco	PROPN	ADJ;MASC;SG
טורקית	turche	תורכי	turca	PROPN	ADJ;FEM;PL
טורקית	turca	תורכי	turca	PROPN	ADJ;FEM;SG
טורקית	turchi	תורכי	turco	PROPN	N;MASC;PL
ירה	scatto	ירה	scatto	V;MASC;SG;3;PST;ACT	N;MASC;SG
ירה	shot	ירה	shot	V;MASC;SG;3;PST;ACT	N
ירה	tiro	ירה	tiro	V;MASC;SG;3;PST;ACT	N;MASC;SG
ירה	licenziati	ירה	licenziare	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
גרפי	grafico	גרף	grafico	PROPN	ADJ;MASC;SG
גרפי	grafica	גרף	grafica	PROPN	N;FEM;SG
גולדה	golda	גולדה	golda	PROPN	N;FEM;SG
חוש	sensi	חוש	senso	PROPN	N;MASC;PL
חוש	senso	חוש	senso	PROPN	N;MASC;SG
איירון	iron	איירון	iron	PROPN	N
איירון	ferro	איירון	ferro	PROPN	N;MASC;SG
אנונימי	anonimo	אנונימי	anonimo	ADV	ADJ;MASC;SG
דרווין	darwin	דרווין	darwin	PROPN	N;MASC;SG
שרירים	muscolare	שריר	muscolare	N;MASC;PL	ADJ;SG
שרירים	muscolo	שריר	muscolo	N;MASC;PL	N;MASC;SG
טובי	toby	טוב	toby	PROPN	N
מוג	moog	מוג	moog		N;MASC
היידן	hayden	היידן	hayden	PROPN	N;MASC;SG
היידן	haydn	היידן	haydn	PROPN	N;MASC
כתום	arancio	כתום	arancio		N;MASC;SG
כתום	orange	כתום	orangia		N;FEM;SG
כתום	arancione	כתום	arancione		N;MASC;SG
כתום	arancia	כתום	arancia		N;FEM;SG
הלוואי	augurio	הלוואי	augurio		N;MASC;SG
הלוואי	desiderio	הלוואי	desiderio		N;MASC;SG
הלוואי	desideri	הלוואי	desiderio		V;IND;SG;2;PRS;FIN
פלוס	plus	None	plus		N
האירוויזיון	eurovision	האירוויזיון	eurovision	PROPN	N;MASC;SG
דודה	zia	דוד	zio		N;FEM;SG
דודה	zietta	דוד	zietta		N;FEM;SG
דודה	zietta	דוד	zietta		N;FEM;SG
דודה	zia	דוד	zio		N;FEM;SG
דודה	zia	דוד	zio		N;FEM;SG
בלוג	blog	בלוג	blog		N;MASC
בלוג	blogging	בלוג	blogging		N;MASC
השלם	completa	השלם	completo		ADJ;FEM;SG
השלם	complete	השלם	completo		ADJ;FEM;PL
השלם	completata	השלם	completare		V;FEM;SG;PST;V.PTCP
השלם	completato	השלם	completare		V;MASC;SG;PST;V.PTCP
השלם	completi	השלם	completo		ADJ;MASC;PL
השלם	completo	השלם	completo		ADJ;MASC;SG
להפיץ	spread	הפיץ	spread	V;NFIN;ACT	N;MASC
קה	becca	קה	becca	PROPN	V;IND;SG;3;PRS;FIN
מחליטה	decide	החליט	decidere	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
ולנסיה	valenza	ולנסיה	valenza	PROPN	N;FEM;SG
ולנסיה	valencia	ולנסיה	valencia	PROPN	N;FEM;SG
ניגריה	nigeria	ניגריה	nigeria	PROPN	N;FEM;SG
מסייעת	aiuta	סייע	aiutare	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
טורקי	torquay	תורכי	torquay	PROPN	N;MASC;PL
טורקי	turco	תורכי	turco	PROPN	ADJ;MASC;SG
טורקי	turche	תורכי	turca	PROPN	ADJ;FEM;PL
טורקי	turca	תורכי	turca	PROPN	ADJ;FEM;SG
טורקי	turchi	תורכי	turco	PROPN	N;MASC;PL
ייל	yale	ייל	yale	PROPN	N;MASC
פלישה	invasioni	פלישה	invasione	N;FEM;SG	N;FEM;PL
פתאום	improvvisamente	פתאום	improvvisamente		ADV
טרנר	turner	טרנר	turner	PROPN	N;FEM;SG
