और	και	और	και		CONJ
प्राकृतिक	φυσικός	प्राकृतिक	φυσικός	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
प्राकृतिक	φυσικές	प्राकृतिक	φυσικός	PROPN;NOM;SG;3	ADJ;NOM;FEM;PL
स्थानीय	τοπικά	स्थानीय	τοπικά	ADJ;NOM	ADV
कहानी	αφήγηση	कहानी	αφήγηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वृद्धि	κλιμάκωση	वृद्धि	κλιμάκωση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वृद्धि	ανύψωση	वृद्धि	ανύψωση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वृद्धि	ανάπτυξη	वृद्धि	ανάπτυξη	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वृद्धि	μεγέθυνση	वृद्धि	μεγέθυνση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वृद्धि	προσαύξηση	वृद्धि	προσαύξηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सुरक्षा	ασφαλείας	सुरक्षा	ασφάλεια	N;NOM;FEM;SG;3	N;GEN;FEM;SG
सुरक्षा	προστασία	सुरक्षा	προστασία	N;NOM;FEM;SG;3	N;ACC;FEM;SG
लोकप्रिय	δημοφιλή	लोकप्रिय	δημοφιλός	ADJ	ADV
लोकप्रिय	δημοφιλές	लोकप्रिय	δημοφιλής	ADJ	ADV
कवि	ποιητή	कवि	ποιητής	N;NOM;MASC;SG;3	N;ACC;MASC;SG
पद	θεση	पद	θεση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पद	θέση	पद	θέση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
हाथ	χέρια	हाथ	χέρι	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
जनता	δημόσιες	जनता	δημόσιος	N;NOM;FEM;SG;3	ADJ;NOM;FEM;PL
जनता	δημόσια	जनता	δημόσιος	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
जनता	δημόσιος	जनता	δημόσιος	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
विस्तार	επέκταση	विस्तार	επέκταση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
विस्तार	επεκτάσεις	विस्तार	επέκταση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विस्तार	επέκταση	विस्तार	επέκταση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
विस्तार	παράταση	विस्तार	παράταση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पूरे	ολόκληρα	पूरा	ολόκληρα	ADJ;MASC;PL	ADV
पूरे	ολόκληρη	पूरा	ολόκληρος	ADJ;MASC;PL	ADJ;NOM;FEM;SG
पूरे	ολόκληρο	पूरा	ολόκληρος	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
युग	εποχή	युग	εποχή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
द्वितीय	δεύτερο	द्वितीय	δεύτερος	PROPN;NOM;MASC;SG;3	NUM;NOM;NEUT;SG
द्वितीय	δεύτερος	द्वितीय	δεύτερος	PROPN;NOM;MASC;SG;3	NUM;NOM;MASC;SG
द्वितीय	δεύτερη	द्वितीय	δεύτερος	PROPN;NOM;MASC;SG;3	NUM;NOM;FEM;SG
चुनाव	εκλογές	चुनाव	εκλογή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
चुनाव	επιλογές	चुनाव	επιλογή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
चुनाव	εκλογές	चुनाव	εκλογή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
व्यक्तिगत	προσωπικό	व्यक्तिगत	προσωπικό	ADJ	N;NOM;NEUT;SG
व्यक्तिगत	προσωπικά	व्यक्तिगत	προσωπικά	ADJ	ADV
व्यक्तिगत	μεμονωμένα	व्यक्तिगत	μεμονωμένος	ADJ	ADV
व्यक्तिगत	ατομικά	व्यक्तिगत	ατομικά	ADJ	ADV
व्यक्तिगत	επιμέρους	व्यक्तिगत	επιμέρος	ADJ	N;NOM;FEM;PL
व्यक्तिगत	ατομικισμού	व्यक्तिगत	ατομικισμός	ADJ	N;GEN;MASC;SG
मेल	mail	मेल	mail	N;NOM;FEM;SG;3	
दूसरा	δεύτερο	दूसरा	δεύτερος	ADJ;NOM;MASC;SG	NUM;NOM;NEUT;SG
दूसरा	δεύτερος	दूसरा	δεύτερος	ADJ;NOM;MASC;SG	NUM;NOM;MASC;SG
दूसरा	δεύτερη	दूसरा	δεύτερος	ADJ;NOM;MASC;SG	NUM;NOM;FEM;SG
प्रवेश	είσοδο	प्रवेश	είσοδος	N;NOM;MASC;SG;3	N;ACC;FEM;SG
यूरोप	ευρώπη	यूरोप	ευρώπη	PROPN;NOM;MASC;SG;3	PROPN;ACC;FEM;SG
यूरोप	ευρωπη	यूरोप	ευρωπη	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
दूरी	απόσταση	दूरी	απόσταση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
निर्मित	κατασκευάστηκε	निर्मित	κατασκευάζω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
निर्मित	έχτισε	निर्मित	χτίζω	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
निर्मित	χτίστηκε	निर्मित	χτίζω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
निर्मित	χτισμένο	निर्मित	χτίζω	ADJ	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
निर्मित	δημιουργήθηκε	निर्मित	δημιουργώ	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
निर्मित	δημιούργησε	निर्मित	δημιουργώ	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
निर्मित	δημιουργήθηκαν	निर्मित	δημιουργώ	ADJ	V;PFV;IND;PL;3;PST;FIN;PASS
निर्मित	δημιουργείται	निर्मित	δημιουργώ	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
सामग्री	υλικά	सामग्री	υλικά	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
सामग्री	περιεχόμενα	सामग्री	περιεχόμενο	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
सामग्री	υλικά	सामग्री	υλικά	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
सामग्री	ύλες	सामग्री	ύλος	N;NOM;FEM;SG;3	N;NOM;FEM;PL
ऊर्जा	ενέργειας	ऊर्जा	ενέργεια	N;NOM;FEM;SG;3	N;GEN;FEM;SG
ली	λι	ले	λι	V;PFV;FEM;SG;V.PTCP;ACT	
ली	λη	ले	λος	V;PFV;FEM;SG;V.PTCP;ACT	
वैज्ञानिक	επιστήμων	वैज्ञानिक	επίστημα	N;NOM;MASC;PL;3	N;NOM;MASC;SG
वैज्ञानिक	επιστήμονας	वैज्ञानिक	επιστήμονας	N;NOM;MASC;PL;3	N;NOM;MASC;SG
वैज्ञानिक	επιστήμονα	वैज्ञानिक	επιστήμονας	N;NOM;MASC;PL;3	N;ACC;MASC;SG
वैज्ञानिक	επιστημονική	वैज्ञानिक	επιστημονικός	N;NOM;MASC;PL;3	ADJ;NOM;FEM;SG
वैज्ञानिक	επιστημονικά	वैज्ञानिक	επιστημονικά	N;NOM;MASC;PL;3	ADV
वैज्ञानिक	επιστημονικό	वैज्ञानिक	επιστημονικός	N;NOM;MASC;PL;3	ADJ;NOM;NEUT;SG
कुमार	κουμάρ	कुमार	κουμάρ	PROPN;NOM;MASC;SG;3	N;SG
उद्देश्य	στόχοι	उद्देश्य	στόχος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
उद्देश्य	στόχων	उद्देश्य	στόχος	N;NOM;MASC;SG;3	N;GEN;MASC;PL
उद्देश्य	σκοπό	उद्देश्य	σκοπός	N;NOM;MASC;SG;3	N;ACC;MASC;SG
उद्देश्य	στόχο	उद्देश्य	στόχος	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रस्तुत	παρουσιάστηκαν	प्रस्तुत	παρουσιάζω	ADJ	V;PFV;IND;PL;3;PST;FIN;PASS
प्रस्तुत	παρουσίασε	प्रस्तुत	παρουσιάζω	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
प्रस्तुत	παρουσιάζεται	प्रस्तुत	παρουσιάζω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
प्रस्तुत	παρουσιάστηκε	प्रस्तुत	παρουσιάζω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
ऐतिहासिक	ιστορικά	ऐतिहासिक	ιστορικά	ADJ	ADV
सर्वश्रेष्ठ	καλύτερα	सर्वश्रेष्ठ	καλά	PROPN;NOM;MASC;SG;3	ADV;CMPR
सर्वश्रेष्ठ	καλύτερο	सर्वश्रेष्ठ	καλά	PROPN;NOM;MASC;SG;3	ADJ;NOM;CMPR;NEUT;SG
सर्वश्रेष्ठ	best	सर्वश्रेष्ठ	best	PROPN;NOM;MASC;SG;3	
धार्मिक	θρησκευτικά	धार्मिक	θρησκευτικά	ADJ;NOM	ADV
द्वीप	island	द्वीप	island	N;NOM;MASC;SG;3	
द्वीप	νήσος	द्वीप	νήσος	N;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
केंद्र	κέντρο	केंद्र	κέντρο	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
केंद्र	κεντρο	केंद्र	κεντρο	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
केंद्र	center	केंद्र	center	PROPN;NOM;MASC;SG;3	
केंद्र	κέντρο	केंद्र	κέντρο	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
जनसंख्या	πληθυσμού	जनसंख्या	πληθυσμός	N;NOM;FEM;SG;3	N;GEN;MASC;SG
यही	προηγούμενο	यह	προηγούμενος	PRO;NOM;SG;3	ADJ;NOM;NEUT;SG
सामने	μπροστινό	सामने	μπροστινός	ADV;NOM;MASC;SG;3	N;NOM;NEUT;SG
सामने	μέτωπο	सामने	μέτωπο	ADV;NOM;MASC;SG;3	N;NOM;NEUT;SG
ठीक	εντάξει	ठीक	εντάξει	PART	ADV
ठीक	οκ	ठीक	οκ	PART	N
ठीक	πρόστιμο	ठीक	πρόστιμο	PART	N;NOM;NEUT;SG
रेल	σιδηρόδρομοι	रेल	σιδηρόδρομος	N;NOM;FEM;SG;3	N;NOM;MASC;PL
रेल	σιδηροδρόμων	रेल	σιδηρόδρομα	N;NOM;FEM;SG;3	N;GEN;MASC;PL
रेल	σιδηροδρόμων	रेल	σιδηρόδρομα	N;NOM;FEM;SG;3	N;GEN;MASC;PL
रेल	σιδηροδρομικός	रेल	σιδηροδρομικός	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
रेल	σιδηροδρομικών	रेल	σιδηροδρομικά	N;NOM;FEM;SG;3	ADJ;GEN;FEM;PL
रेल	τραίνα	रेल	τραίνω	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
रेल	τρένα	रेल	τρένος	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
रेल	αμαξοστοιχίες	रेल	αμαξοστοιχία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
दिए	δεδομένο	दे	δεδομένο	V;PFV;MASC;PL;V.PTCP;ACT	N;NOM;NEUT;SG
दिए	δεδομένου	दे	δεδομένο	V;PFV;MASC;PL;V.PTCP;ACT	ADV
पदार्थ	υλικά	पदार्थ	υλικά	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
पदार्थ	υλικά	पदार्थ	υλικά	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
पदार्थ	ύλες	पदार्थ	ύλος	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तथ्य	γεγονότα	तथ्य	γεγονός	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
तथ्य	γεγονοτα	तथ्य	γεγονος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
लाभ	πλεονεκτήματα	लाभ	πλεονέκτημα	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
लाभ	επιδόματα	लाभ	επίδομα	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
लाभ	παροχές	लाभ	παροχή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
लाभ	οφέλη	लाभ	όφελος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
लाभ	κέρδη	लाभ	κέρδος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
लाभ	όφελος	लाभ	όφελος	N;NOM;MASC;SG;3	N;ACC;NEUT;SG
लाभ	πλεονεκτήματα	लाभ	πλεονέκτημα	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
साम्राज्य	empire	साम्राज्य	empire	N;NOM;MASC;SG;3	
सदस्यों	έλη	सदस्य	έλος	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
सदस्यों	μέλη	सदस्य	μέλος	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
सदस्यों	μελη	सदस्य	μέλος	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
देवी	θεά	देवी	θεά	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
देवी	θεα	देवी	θεα	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
देवी	ντέβι	देवी	ντέβι	PROPN;NOM;FEM;SG;3	N
भूमि	ξηρά	भूमि	ξηρά	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
भूमि	land	भूमि	land	N;NOM;FEM;SG;3	
व्यापक	περιεκτικό	व्यापक	περιεκτικός	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
व्यापक	περίτεχνο	व्यापक	περίτεχνο	PROPN;NOM;SG;3	N;NOM;NEUT;SG
व्यापक	πλατύ	व्यापक	πλατύ	PROPN;NOM;SG;3	ADV
व्यापक	ευρύ	व्यापक	ευρύς	PROPN;NOM;SG;3	N;NOM;NEUT;SG
व्यापक	πλατιά	व्यापक	πλατιά	PROPN;NOM;SG;3	ADJ;NOM;FEM;PL
व्यापक	ευρεία	व्यापक	ευρεία	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
किमी	mph	किमी	mph	N;NOM;MASC;SG;3	
प्रबंधन	διοίκηση	प्रबंधन	διοίκηση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रबंधन	διαχείρισης	प्रबंधन	διαχείριση	N;NOM;MASC;SG;3	N;GEN;FEM;SG
परीक्षण	δοκιμασία	परीक्षण	δοκιμασία	N;NOM;MASC;SG;3	N;ACC;FEM;SG
परीक्षण	εξετάσεις	परीक्षण	εξέταση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परीक्षण	δοκιμασίες	परीक्षण	δοκιμασία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परीक्षण	δοκιμές	परीक्षण	δοκιμή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परीक्षण	δοκιμές	परीक्षण	δοκιμή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अनुसंधान	έρευνες	अनुसंधान	έρευνα	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आन्ध्र	andhra	आन्ध्र	andhra	PROPN;NOM;MASC;SG;3	
गीत	στίχους	गीत	στίχος	N;NOM;MASC;PL;3	N;ACC;MASC;PL
गीत	τραγουδι	गीत	τραγουδι	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
गीत	τραγούδι	गीत	τραγούδι	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
गीत	σονγκ	गीत	σονγκ	N;NOM;MASC;PL;3	
गणना	καταμέτρηση	गणना	καταμέτρηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
गणना	κόμη	गणना	κόμη	N;NOM;FEM;SG;3	N;ACC;MASC;SG
गणना	υπολογίζεται	गणना	υπολογίζω	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;PASS
गणना	υπολογιζόμενη	गणना	υπολογιζόμενος	N;NOM;FEM;SG;3	V;PFV;NOM;FEM;SG;V.PTCP;PASS
गणना	υπολογιζόμενο	गणना	υπολογιζόμενος	N;NOM;FEM;SG;3	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
गणना	υπολογίσει	गणना	υπολογίζω	N;NOM;FEM;SG;3	V;PFV;NFIN;ACT
निम्न	χαμηλά	निम्न	χαμηλός		ADV
निम्न	χαμηλό	निम्न	χαμηλός		ADJ;NOM;NEUT;SG
निम्न	χαμηλή	निम्न	χαμηλός		ADJ;NOM;FEM;SG
निम्न	χαμηλός	निम्न	χαμηλός		ADJ;NOM;MASC;SG
खोज	αναζητήσεις	खोज	αναζήτηση	N;NOM;FEM;SG;3	N;NOM;FEM;PL
खोज	αναζητήστε	खोज	αναζητώ	N;NOM;FEM;SG;3	V;PFV;IND;PL;2;PRS;FIN;ACT
खोज	εξερεύνηση	खोज	εξερεύνηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
खोज	ανακάλυψη	खोज	ανακάλυψη	N;NOM;FEM;SG;3	N;ACC;FEM;SG
खोज	ανακαλύψτε	खोज	ανακαλύπτω	N;NOM;FEM;SG;3	V;PFV;IMP;PL;2;FIN;ACT
खोज	ανακάλυψη	खोज	ανακάλυψη	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सांस्कृतिक	πολιτιστικά	सांस्कृतिक	πολιτιστικός	ADJ;NOM	ADV
जाति	αγώνα	जाति	αγώνας	N;NOM;FEM;SG;3	N;ACC;MASC;SG
जाति	race	जाति	race	N;NOM;FEM;SG;3	
व्यवहार	συμπεριφορά	व्यवहार	συμπεριφορά	N;NOM;MASC;SG;3	N;ACC;FEM;SG
व्यवहार	συμπεριφορα	व्यवहार	συμπεριφορα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
व्यवहार	συμπεριφορές	व्यवहार	συμπεριφορά	N;NOM;MASC;SG;3	N;NOM;FEM;PL
व्यवहार	συμπεριφέρονται	व्यवहार	συμπεριφέρω	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN;PASS
व्यवहार	φρόνιμα	व्यवहार	φρόνιμα	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
व्यवहार	συμπεριφορά	व्यवहार	συμπεριφορά	N;NOM;MASC;SG;3	N;ACC;FEM;SG
योगदान	συμβάλει	योगदान	συμβάλλω	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
योगदान	συμβολή	योगदान	συμβολή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
योगदान	συνεισφορά	योगदान	συνεισφορά	N;NOM;MASC;SG;3	N;ACC;FEM;SG
योगदान	εισφορές	योगदान	εισφορά	N;NOM;MASC;SG;3	N;NOM;FEM;PL
योगदान	συνεισφορές	योगदान	συνεισφορά	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रतिशत	ποσοστιαία	प्रतिशत	ποσοστιαίος	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सही	σωστα	सही	σωστα	ADJ	ADV
सही	δεξιά	सही	δεξιά	ADJ	ADV
सही	σωστά	सही	σωστά	ADJ	ADV
सही	αληθές	सही	αληθή	ADJ	N;NOM;NEUT;SG
सही	αληθεια	सही	αληθεια	ADJ	N;NOM;FEM;SG
सही	αλήθεια	सही	αλήθεια	ADJ	N;NOM;FEM;SG
सही	σωστά	सही	σωστά	ADJ	ADV
पुरुष	ανδρες	पुरुष	άντρας	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पुरुष	άντρες	पुरुष	άντρας	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पुरुष	άνδρες	पुरुष	άντρας	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पुरुष	αρσενικό	पुरुष	αρσενικός	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पुरुष	αρσενικά	पुरुष	αρσενικά	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;PL
पुरुष	φίλε	पुरुष	φίλομαι	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
पुरुष	φιλε	पुरुष	φίλομαι	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
मिल	μύλο	मिल	μύλο	V;ACT	N;ACC;NEUT;SG
मिल	μιλ	मिल	ένλς	V;ACT	
संबंधी	συγγενής	संबंधी	συγγενής	ADJ	N;NOM;MASC;SG
अंतर्गत	υπό	अंतर्गत	υπό	CONJ	ADP
उद्योग	βιομηχανίες	उद्योग	βιομηχανία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
छोटी	μικρές	छोटा	μικρός	ADJ;FEM;SG	ADJ;NOM;FEM;PL
छोटी	μικρά	छोटा	μικρός	ADJ;FEM;SG	ADV
छोटी	little	छोटा	little	ADJ;FEM;SG	
छोटी	σύντομο	छोटा	σύντομο	ADJ;FEM;SG	N;NOM;NEUT;SG
छोटी	σύντομη	छोटा	σύντομος	ADJ;FEM;SG	N;NOM;FEM;SG
छोटी	σύντομος	छोटा	σύντομος	ADJ;FEM;SG	N;NOM;MASC;SG
छोटी	μικρότερες	छोटा	μικρός	ADJ;FEM;SG	ADJ;NOM;CMPR;FEM;PL
छोटी	μικρότερα	छोटा	μικρός	ADJ;FEM;SG	ADV;CMPR
मदद	βοηθεια	मदद	βοηθεια	N;NOM;FEM;SG;3	N;ACC;FEM;SG
मदद	βοήθεια	मदद	βοήθεια	N;NOM;FEM;SG;3	N;ACC;FEM;SG
दिशा	κατεύθυνση	दिशा	κατεύθυνση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
दिशा	προσανατολισμό	दिशा	προσανατολισμός	N;NOM;FEM;SG;3	N;ACC;MASC;SG
सूचना	info	सूचना	info	N;NOM;FEM;SG;3	
सूचना	πληροφορίες	सूचना	πληροφορία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सूचना	γνωστοποίηση	सूचना	γνωστοποίηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सूचना	πληροφορίες	सूचना	πληροφορία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सूचना	πληροφορία	सूचना	πληροφορία	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सूचना	πληροφόρηση	सूचना	πληροφόρηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
पत्र	επιστολή	पत्र	επιστολή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
राम	ραμ	राम	ραμ	PROPN;NOM;MASC;SG;3	N
राम	ram	राम	ram	PROPN;NOM;MASC;SG;3	
राम	ράμα	राम	ράμα	PROPN;NOM;MASC;SG;3	
नवम्बर	νοεμβρίου	नवंबर	νόεμβριος	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
नवम्बर	νοέμβριο	नवंबर	νοέμβριος	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
नवम्बर	νοέμβριος	नवंबर	νοέμβριος	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
नवम्बर	νοε	नवंबर	νοε	PROPN;NOM;MASC;SG;3	N
माता	μάτα	माता	μάτα	N;NOM;FEM;SG;3	
पीछे	πλάτη	पीछे	πλάτος	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
पीछे	οπίσθια	पीछे	οπίσθια	ADV;NOM;MASC;SG;3	N;NOM;NEUT;PL
राष्ट्रपति	πρόεδρος	राष्ट्रपति	πρόεδρος	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
राष्ट्रपति	πρόεδρε	राष्ट्रपति	πρόεδρος	PROPN;NOM;MASC;SG;3	N;VOC;MASC;SG
राष्ट्रपति	πρόεδρο	राष्ट्रपति	πρόεδρος	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
दल	κόμματα	दल	κόμμα	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
दल	μέρη	दल	μέρος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
दल	κοόρτεις	दल	κόορ	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दल	party	दल	party	N;NOM;MASC;SG;3	
मीटर	mts	मीटर	mts	N;NOM;MASC;SG;3	
मीटर	μετρητές	मीटर	μετρητός	N;NOM;MASC;SG;3	N;NOM;MASC;PL
क्रिया	δράσης	क्रिया	δράση	N;NOM;FEM;SG;3	N;GEN;FEM;SG
क्रिया	action	क्रिया	action	N;NOM;FEM;SG;3	
क्रिया	πράξεις	क्रिया	πράξη	N;NOM;FEM;SG;3	N;NOM;FEM;PL
क्रिया	δράσεις	क्रिया	δράση	N;NOM;FEM;SG;3	N;NOM;FEM;PL
क्रिया	ενέργειες	क्रिया	ενέργεια	N;NOM;FEM;SG;3	N;NOM;FEM;PL
क्रिया	δραστηριότητα	क्रिया	δραστηριότητα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
क्रिया	δραστικότητα	क्रिया	δραστικότητα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
गूगल	google	गूगल	google	PROPN;NOM;MASC;SG;3	
गूगल	google+	गूगल	google+	PROPN;NOM;MASC;SG;3	
कॉलेज	κολέγια	कॉलेज	κολέγιος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कॉलेज	κολλέγια	कॉलेज	κολλέγιο	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कॉलेज	college	कॉलेज	college	N;NOM;MASC;SG;3	
विवाह	γάμους	विवाह	γάμος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विवाह	γάμοι	विवाह	γάμος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विवाह	γάμους	विवाह	γάμος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विवाह	γάμοι	विवाह	γάμος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मैच	ματς	मैच	ματός	N;NOM;MASC;SG;3	
मैच	αγώνα	मैच	αγώνας	N;NOM;MASC;SG;3	N;ACC;MASC;SG
बनाए	δημιουργήθηκε	बना	δημιουργώ	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
बनाए	δημιούργησε	बना	δημιουργώ	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
बनाए	δημιουργήθηκαν	बना	δημιουργώ	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;PL;3;PST;FIN;PASS
बनाए	δημιουργείται	बना	δημιουργώ	V;PFV;MASC;PL;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
सुधार	βελτιώσεις	सुधार	βελτίωση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सुधार	βελτίωση	सुधार	βελτίωση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
सुधार	διόρθωση	सुधार	διόρθωση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
सुधार	αναμόρφωση	सुधार	αναμόρφωση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
सुधार	μεταρρυθμίσεις	सुधार	μεταρρύθμιση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सुधार	βελτίωση	सुधार	βελτίωση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समाप्त	τελείωμα	समाप्त	τελείωμα	ADJ	N;NOM;NEUT;SG
समाप्त	τελειώσω	समाप्त	τελειώνω	ADJ	V;PFV;IND;SG;1;FIN;ACT
समाप्त	τέλος	समाप्त	τέλος	ADJ	ADV
समाप्त	λήξη	समाप्त	λήξη	ADJ	N;ACC;FEM;SG
समाप्त	ολοκληρώθηκαν	समाप्त	ολοκληρώνω	ADJ	V;PFV;IND;PL;3;PST;FIN;PASS
समाप्त	ολοκληρωθεί	समाप्त	ολοκληρώνω	ADJ	V;PFV;NFIN;PASS
समाप्त	ολοκληρώθηκε	समाप्त	ολοκληρώνω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
समाप्त	ολοκληρωμένα	समाप्त	ολοκληρώνω	ADJ	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
