터치스크린	pekskärm	터치스크린	pekskärm		N;NOM;INDF;MASC+FEM;SG
노리치	norwich	노리치	norwich	PROPN	PROPN;NOM
받았습니다	mottaget	받+았+습니다	mottagen	V	N;NOM;DEF;NEUT;SG
받았습니다	mottagen	받+았+습니다	mottag	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
받았습니다	mottagna	받+았+습니다	motta	V	ADJ;NOM;PL;PST;V.PTCP
아키오	akio	아키+오	akio		N;NOM;INDF;MASC+FEM;SG
블라디보스토크	vladivostok	블라디보스토크	vladivostok	PROPN	PROPN;NOM
켈트	keltiska	켈트	keltisk	N	ADJ;NOM;PL
후지사와	fujisawa	후지사+와	fujisa	CONJ	N;NOM;INDF;MASC+FEM;SG
생태	ekologiska	생태	ekologisk	N	ADJ;NOM;PL
생태	ekologiskt	생태	ekologisk	N	ADJ;NOM;INDF;NEUT;SG
생태	ekologisk	생태	ekologisk	N	ADJ;NOM;INDF;MASC+FEM;SG
증언	vittna	증언	vitten	N	V;IMP;FIN;ACT
증언	vittnar	증언	vittna	N	V;IND;PRS;FIN;ACT
증언	bevittna	증언	bevitten	N	V;IMP;FIN;ACT
트루먼	truman	트루+어	truman		PROPN;NOM
노보루	noboru	노보루	noboru		N;NOM;INDF;MASC+FEM;SG
모하마드	mohammad	모하마드	mohammad	PROPN	N;NOM;INDF;MASC+FEM;SG
오마르	omar	오마르	oma	PROPN	PROPN;NOM
일반인	allmän	일반+이+ㄴ	allmän		ADJ;NOM;INDF;MASC+FEM;SG
일반인	allmänna	일반+이+ㄴ	allmän		ADJ;NOM;PL
일반인	allmänt	일반+이+ㄴ	allmän		ADV
싱어	singer	싱어	singa		PROPN;NOM
싱어	sångare	싱어	sång		N;NOM;INDF;MASC+FEM;SG
싱어	sångerska	싱어	sångerska		N;NOM;INDF;MASC+FEM;SG
바바	baba	바바	baba		N;NOM;INDF;MASC+FEM;SG
벨파스트	belfast	벨파스트	belfast	PROPN	PROPN;NOM
잔혹한	grym	잔혹+하+ㄴ	grym	V	ADJ;NOM;INDF;MASC+FEM;SG
잔혹한	grymma	잔혹+하+ㄴ	grymma	V	ADJ;NOM;PL
얼라이언스	alliance	얼라이언스	alliance		N;NOM;INDF;MASC+FEM;SG
얼라이언스	allians	얼라이언스	allians		N;NOM;INDF;MASC+FEM;SG
얼라이언스	alliansen	얼라이언스	allians		N;NOM;DEF;MASC+FEM;SG
하이드	hyde	하이드	hyde		PROPN;NOM
벨라	bella	벨라	bella		PROPN;NOM
인사이드	inside	인사이드	inside		N;NOM;INDF;MASC+FEM;SG
인사이드	inomhus	인사이드	inomhus		ADV
인사이드	inne	인사이드	inne		ADV
인사이드	insidan	인사이드	insida		N;NOM;DEF;MASC+FEM;SG
인사이드	inuti	인사이드	inuti		N;NOM;INDF;MASC+FEM;SG
네번째	fjärde	네+번+째	fyra	N	ADJ;NOM
제네시스	uppkomst	제네시스	uppkomst		N;NOM;INDF;MASC+FEM;SG
제네시스	genesis	제네시스	genesis		N;NOM;INDF;MASC+FEM;SG
브릿	brit	브릿	brit	PROPN	N;NOM;INDF;MASC+FEM;SG
잉글리시	swedish	잉글리시	swedish		PROPN;NOM
잉글리시	engelska	잉글리시	engelsk		N;NOM;INDF;MASC+FEM;SG
레즈비언	lesbiska	레즈비언	lesbisk	N	ADJ;NOM;PL
레즈비언	flata	레즈비언	flata	N	ADJ;NOM;PL
레즈비언	lesbiska	레즈비언	lesbisk	N	ADJ;NOM;PL
차단되었습니다	blockerade	차단+되+었+습니다	blockera	V	ADJ;NOM;PL;PST;V.PTCP
차단되었습니다	blockerat	차단+되+었+습니다	blockera	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
차단되었습니다	blockerad	차단+되+었+습니다	blockera	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
차단되었습니다	spärrad	차단+되+었+습니다	spärra	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
새크라멘토	sacramento	새크라멘토	sacramento	PROPN	PROPN;NOM
콴타스	qantas	콴타스	qantas	N	PROPN;NOM
힉스	hicks	힉스	hicks	PROPN	PROPN;NOM
힉스	higgs	힉스	higga	PROPN	PROPN;NOM
깨진	bruten	깨+어+지+ㄴ	brut	V	N;NOM;DEF;MASC+FEM;SG
깨진	broken	깨+어+지+ㄴ	brok	V	N;NOM;INDF;MASC+FEM;SG
깨진	brutet	깨+어+지+ㄴ	brut	V	ADJ;NOM;INDF;NEUT;SG
깨진	trasig	깨+어+지+ㄴ	trasig	V	ADJ;NOM;INDF;MASC+FEM;SG
깨진	trasigt	깨+어+지+ㄴ	trasig	V	ADV
풀기	utdraget	풀+기	utdragen	V	N;NOM;DEF;NEUT;SG
풀기	utdrag	풀+기	utdrag	V	N;NOM;INDF;NEUT;SG
풀기	extrakt	풀+기	extrakt	V	N;NOM;INDF;MASC+FEM;SG
풀기	lös	풀+기	lö	V	N;NOM;INDF;MASC+FEM;SG
딜런	dillon	디런	dillon		PROPN;NOM
딜런	dylan	디런	dyla		N;NOM;DEF;MASC+FEM;SG
선샤인	sunshine	선샤인	sunshine		N;NOM;INDF;MASC+FEM;SG
선샤인	solsken	선샤인	solsken		N;NOM;INDF;MASC+FEM;SG
폴란드어	polskt	폴란드어	polsk		ADJ;NOM;INDF;NEUT;SG
폴란드어	polsk	폴란드어	polsk		ADJ;NOM;INDF;MASC+FEM;SG
폴란드어	polska	폴란드어	polsk		N;NOM;INDF;MASC+FEM;SG
보내기	sändande	보내+기	sändande	V	ADJ;NOM;PRS;V.PTCP
위조	smitt	위조	smitt	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
위조	förfalskat	위조	förfalskad	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
위조	förfalskade	위조	förfalskad	N	ADJ;NOM;PL;PST;V.PTCP
위조	förfalskad	위조	förfalskad	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
위조	förfalskade	위조	förfalskad	N	ADJ;NOM;PL;PST;V.PTCP
마사시	masashi	마사시	masashi		N;NOM;INDF;MASC+FEM;SG
게오르기	georgy	게오르+기	georgy	PROPN	N;NOM;INDF;MASC+FEM;SG
고추	chili	고추	chili		N;NOM;INDF;MASC+FEM;SG
고추	pepper	고추	pepper		N;NOM;INDF;MASC+FEM;SG
고추	peppar	고추	peppa		N;NOM;INDF;MASC+FEM;SG
고추	paprika	고추	paprika		N;NOM;INDF;MASC+FEM;SG
고추	chili	고추	chili		N;NOM;INDF;MASC+FEM;SG
가슴이	kista	가슴+이	kista	N	PROPN;NOM
오리엔트	orienten	오리엔트	orient		N;NOM;DEF;MASC+FEM;SG
아나톨리아	anatolien	아나톨리아	anatoli	PROPN	N;NOM;DEF;MASC+FEM;SG
스탠더드	standarden	스탠더드	standard		N;NOM;DEF;MASC+FEM;SG
스탠더드	standard	스탠더드	standard		N;NOM;INDF;MASC+FEM;SG
스토어	lagrar	스토어	lagra		V;IND;PRS;FIN;ACT
스토어	butiker	스토어	butik		N;NOM;INDF;MASC+FEM;PL
스토어	förvaras	스토어	förvara		V;IND;PRS;FIN;PASS
스토어	lagra	스토어	lag		V;IMP;FIN;ACT
스토어	butiken	스토어	butik		N;NOM;DEF;MASC+FEM;SG
스토어	butik	스토어	butik		N;NOM;INDF;MASC+FEM;SG
포트리스	fästningen	포트리스	fästning	PROPN	N;NOM;DEF;MASC+FEM;SG
포트리스	fästning	포트리스	fästning	PROPN	N;NOM;INDF;MASC+FEM;SG
탐험	utforskar	탐험	utforska	N	V;IND;PRS;FIN;ACT
탐험	utforska	탐험	utforsk	N	V;IMP;FIN;ACT
탐험	utforska	탐험	utforsk	N	V;IMP;FIN;ACT
대처	orka	대처	orka		V;IMP;FIN;ACT
대처	klarar	대처	klara		V;IND;PRS;FIN;ACT
대처	thatcher	대처	thatcher		PROPN;NOM
덕이	doug	덕+이	doug		PROPN;NOM
클라리넷	klarinett	클라리넷	klarinett		N;NOM;INDF;NEUT;SG
제레미	jeremy	제레미	jeremy		PROPN;NOM
강아지	valpar	강아지	valpa		N;NOM;INDF;MASC+FEM;PL
강아지	valpen	강아지	valpen		N;NOM;DEF;MASC+FEM;SG
강아지	valp	강아지	valp		N;NOM;INDF;MASC+FEM;SG
버터	smör	버터	smör		N;NOM;INDF;NEUT;SG
캐피탈	huvudstaden	캐피탈	huvudstad		N;NOM;DEF;MASC+FEM;SG
캐피탈	capitol	캐피탈	capitol		PROPN;NOM
캐피탈	huvudstad	캐피탈	huvudstad		N;NOM;INDF;MASC+FEM;SG
캐피탈	kapitalet	캐피탈	kapital		N;NOM;DEF;NEUT;SG
캐피탈	capital	캐피탈	capital		N;NOM;INDF;MASC+FEM;SG
캐피탈	huvudstaden	캐피탈	huvudstad		N;NOM;DEF;MASC+FEM;SG
캐피탈	kapital	캐피탈	kapital		N;NOM;INDF;NEUT;SG
제곱	torg	제곱	torg		N;NOM;INDF;NEUT;SG
제곱	square	제곱	square		N;NOM;INDF;MASC+FEM;SG
제곱	fyrkantig	제곱	fyrkantig		ADJ;NOM;INDF;MASC+FEM;SG
제곱	kvadrat	제곱	kvadrat		N;NOM;INDF;MASC+FEM;SG
제곱	fyrkant	제곱	fyrkant		N;NOM;INDF;MASC+FEM;SG
제곱	torget	제곱	torg		N;NOM;DEF;NEUT;SG
마트	mart	마트	mart		N;NOM;INDF;MASC+FEM;SG
면책	immunitet	면책	immunitet		N;NOM;INDF;MASC+FEM;SG
앨리슨	allison	앨리슨	allison		PROPN;NOM
앨리슨	alison	앨리슨	alison		PROPN;NOM
쇼팽	chopin	쇼팽	chopin	PROPN	PROPN;NOM
애너하임	anaheim	애너하+이+ㄹ	anaheim	PROPN	PROPN;NOM
자동화	automatiska	자동화	automatisk	N	ADJ;NOM;PL
자동화	automatiserade	자동화	automatiserad	N	ADJ;NOM;PL;PST;V.PTCP
자동화	automatiserad	자동화	automatiserad	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
자동화	automatisera	자동화	automatisera	N	V;IMP;FIN;ACT
자동화	automatik	자동화	automatik	N	ADV
나카이	nakai	나카이	nakai		N;NOM;INDF;MASC+FEM;SG
매력적인	charming	매력+적+이+ㄴ	charming	V	N;NOM;INDF;MASC+FEM;SG
매력적인	charmig	매력+적+이+ㄴ	charmig	V	ADJ;NOM;INDF;MASC+FEM;SG
매력적인	charmerande	매력+적+이+ㄴ	charmerande	V	ADJ;NOM;PRS;V.PTCP
샤프	skarp	샤프	skarp		ADJ;NOM;INDF;MASC+FEM;SG
샤프	sharp	샤프	sharp		N;NOM;INDF;MASC+FEM;SG
샤프	vassa	샤프	vass		ADJ;NOM;PL
샤프	skarpa	샤프	skarpa		ADJ;NOM;PL
샤프	skarpt	샤프	skarp		ADV
채워	fylla	채우+어	fylla		V;IMP;FIN;ACT
채워	fyll	채우+어	fyll		V;IMP;FIN;ACT
백조자리	cygnus	백조+자리	cygnus	N	PROPN;NOM
백조자리	cygni	백조+자리	cygni	N	PROPN;NOM
마나	mana	말+나	mana		V;IMP;FIN;ACT
폴로	polo	폴+로	polo		N;NOM;INDF;MASC+FEM;SG
포츠머스	portsmouth	포츠머스	portsmouth	PROPN	PROPN;NOM
기차	träna	기차	träna		V;IMP;FIN;ACT
기차	tåget	기차	tågen		N;NOM;DEF;NEUT;SG
기차	train	기차	train		N;NOM;INDF;MASC+FEM;SG
기차	tåg	기차	tåg		N;NOM;INDF;NEUT;SG
기차	tågen	기차	tågen		N;NOM;DEF;NEUT;PL
기차	tåg	기차	tåg		N;NOM;INDF;NEUT;SG
이오니아	joniska	이오니아	jonisk	PROPN	ADJ;NOM;PL
발명	uppfinna	발명	uppfinna	N	V;IMP;FIN;ACT
발명	uppfinner	발명	uppfinna	N	V;IND;PRS;FIN;ACT
발명	uppfinna	발명	uppfinna	N	V;IMP;FIN;ACT
발명	uppfinner	발명	uppfinna	N	V;IND;PRS;FIN;ACT
발명	uppfann	발명	uppfann	N	V;IMP;FIN;ACT
발명	påhittad	발명	påhittad	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
발명	uppfanns	발명	uppfanna	N	V;IND;FIN;PASS
편견	partisk	편견	partisk	N	ADJ;NOM;INDF;MASC+FEM;SG
조지타운	georgetown	조지럽+ㄴ	georgeton		PROPN;NOM
증인	bevittna	증인	bevitten	N	V;IMP;FIN;ACT
모니카	monica	모니카	monic		N;NOM;INDF;MASC+FEM;SG
클라인	klein	클라인	klei		PROPN;NOM
평화로운	fridfullt	평화+롭+ㄴ	fridfull		ADJ;NOM;INDF;NEUT;SG
평화로운	fredlig	평화+롭+ㄴ	fredlig		ADJ;NOM;INDF;MASC+FEM;SG
평화로운	fredligt	평화+롭+ㄴ	fredlig		ADJ;NOM;INDF;NEUT;SG
평화로운	fridfull	평화+롭+ㄴ	fridfull		ADJ;NOM;INDF;MASC+FEM;SG
평화로운	fredliga	평화+롭+ㄴ	fredlig		ADJ;NOM;PL
끝없는	oändlig	끝없+는	oändlig		ADJ;NOM;INDF;MASC+FEM;SG
끝없는	ändlös	끝없+는	ändlö		ADJ;NOM;INDF;MASC+FEM;SG
끝없는	oändliga	끝없+는	oändlig		ADJ;NOM;PL
끝없는	ändlösa	끝없+는	ändlös		ADJ;NOM;PL
더러운	otäck	더럽+ㄴ	otäck		ADJ;NOM;INDF;MASC+FEM;SG
더러운	smutsig	더럽+ㄴ	smutsig		ADJ;NOM;INDF;MASC+FEM;SG
더러운	smutsiga	더럽+ㄴ	smutsig		ADJ;NOM;PL
더러운	smutsig	더럽+ㄴ	smutsig		ADJ;NOM;INDF;MASC+FEM;SG
더러운	smutsiga	더럽+ㄴ	smutsig		ADJ;NOM;PL
더러운	smutsigt	더럽+ㄴ	smutsig		ADJ;NOM;INDF;NEUT;SG
스프링필드	springfield	스프링필드	springfield	PROPN	PROPN;NOM
바흐	bach	바흐	bach	PROPN	N;NOM;INDF;NEUT;SG
다무라	tamura	다무라	tamur		N;NOM;INDF;MASC+FEM;SG
트라이앵글	triangeln	트라이앵글	triangel		N;NOM;DEF;MASC+FEM;SG
트라이앵글	triangel	트라이앵글	triangel		N;NOM;INDF;MASC+FEM;SG
선포	förklarade	선포	förklara	N	V;IND;PST;FIN;ACT
선포	deklarerat	선포	deklarerad	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
선포	deklarerade	선포	deklarera	N	ADJ;NOM;PL;PST;V.PTCP
선포	deklarera	선포	deklarera	N	V;IMP;FIN;ACT
선포	deklarerar	선포	deklarera	N	V;IND;PRS;FIN;ACT
바벨	babel	바벨	babel		N;NOM;INDF;MASC+FEM;SG
타지키스탄	tadzjikiska	타지키스탄	tadzjikisk	PROPN	ADJ;NOM;PL
타지키스탄	tadzjikistan	타지키스탄	tadzjikistan	PROPN	N;NOM;DEF;MASC+FEM;SG
스웨덴어	svenskt	스웨덴어	svensk		ADJ;NOM;INDF;NEUT;SG
스웨덴어	svensk	스웨덴어	svensk		N;NOM;INDF;MASC+FEM;SG
스웨덴어	svenska	스웨덴어	svensk		ADJ;NOM;PL
잠비아	zambia	잠비아	zambi	PROPN	PROPN;NOM
길거리	gatan	길거리	gata		N;NOM;DEF;MASC+FEM;SG
길거리	street	길거리	stre		PROPN;NOM
길거리	gata	길거리	gata		N;NOM;INDF;MASC+FEM;SG
길거리	gator	길거리	gata		N;NOM;INDF;MASC+FEM;PL
길거리	streets	길거리	stre		N;GEN;DEF;NEUT;SG
길거리	gatorna	길거리	gata		N;NOM;DEF;MASC+FEM;PL
글로리아	gloria	글로리아	glorium		N;NOM;INDF;MASC+FEM;SG
무엇이든	oavsett	무엇+이든	oavsett		N;NOM;INDF;MASC+FEM;SG
레이아웃	layout	레이아웃	layout		N;NOM;INDF;MASC+FEM;SG
스케치	teckna	스케치	tecken	N	V;IMP;FIN;ACT
자극	stimuleras	자극	stimulera	N	V;IND;NFIN;PASS
자극	stimulera	자극	stimulera	N	V;IMP;FIN;ACT
자극	stimulerande	자극	stimulera	N	ADJ;NOM;PRS;V.PTCP
자극	stimulerar	자극	stimulera	N	V;IND;PRS;FIN;ACT
갑옷	rustning	갑옷	rustning		N;NOM;INDF;MASC+FEM;SG
갑옷	pansar	갑옷	pansa		N;NOM;INDF;MASC+FEM;PL
갑옷	rustning	갑옷	rustning		N;NOM;INDF;MASC+FEM;SG
갑옷	pansar	갑옷	pansa		N;NOM;INDF;MASC+FEM;PL
평행	parallella	평행	parallell	N	ADJ;NOM;PL
평행	parallellt	평행	parallell	N	ADV
미드웨이	midway	미드웨이	midway		PROPN;NOM
미드웨이	halvvägs	미드웨이	halvvägs		ADV
슈트	dräkt	슈트	dräkt		N;NOM;INDF;MASC+FEM;SG
슈트	kostym	슈트	kostym		N;NOM;INDF;MASC+FEM;SG
현명한	vist	현명+하+ㄴ	vist	V	N;NOM;INDF;NEUT;SG
현명한	klokt	현명+하+ㄴ	klok	V	ADJ;NOM;INDF;NEUT;SG
현명한	vis	현명+하+ㄴ	vis	V	N;NOM;INDF;NEUT;SG
현명한	klok	현명+하+ㄴ	klok	V	ADJ;NOM;INDF;MASC+FEM;SG
현명한	kloka	현명+하+ㄴ	klok	V	ADJ;NOM;PL
김치	kimchi	김치	kimchi		N;NOM;INDF;MASC+FEM;SG
시온	zion	시온	zion		PROPN;NOM
시온	sion	시온	sion		PROPN;NOM
나카하라	nakahara	나카하+라	nakahara		N;NOM;INDF;MASC+FEM;SG
아스타나	astana	아스타+나	astan	PROPN	PROPN;NOM
노부유키	nobuyuki	노부유키	nobuyuki	PROPN	N;NOM;INDF;MASC+FEM;SG
수잔	susan	수잔	susa		PROPN;NOM
아라키	araki	아라키	araki		N;NOM;INDF;MASC+FEM;SG
프라이부르크	freiburg	프라이부르크	freiburg	PROPN	PROPN;NOM
그리스인	greker	그리스인	grek		N;NOM;INDF;MASC+FEM;PL
그리스인	grekerna	그리스인	grek		N;NOM;DEF;MASC+FEM;PL
열기	öppna	열+기	öppen		ADJ;NOM;PL
열기	open	열+기	open		PROPN;NOM
열기	öppet	열+기	öppen		ADV
열기	öppen	열+기	öppen		ADJ;NOM;INDF;MASC+FEM;SG
열기	öppnas	열+기	öppna		V;NFIN;PASS
열기	öppnar	열+기	öppna		V;IND;PRS;FIN;ACT
피스	frid	피스	frid		N;NOM;INDF;MASC+FEM;SG
피스	freden	피스	fred		N;NOM;DEF;MASC+FEM;SG
피스	peace	피스	peace		N;NOM;INDF;NEUT;SG
피스	fridens	피스	frid		N;GEN;DEF;MASC+FEM;SG
피스	fred	피스	fred		N;NOM;INDF;MASC+FEM;SG
같음	jämlikar	같+ㅁ	jämlik		N;NOM;INDF;MASC+FEM;PL
샌드위치	smörgås	샌드위치	smörgås		N;NOM;INDF;MASC+FEM;SG
샌드위치	sandwich	샌드위치	sandwich		N;NOM;INDF;MASC+FEM;SG
샌드위치	mackan	샌드위치	macka		N;NOM;DEF;MASC+FEM;SG
샌드위치	smörgåsar	샌드위치	smörgås		N;NOM;INDF;MASC+FEM;PL
모의	håna	모의	håna		V;IMP;FIN;ACT
센타우루스자리	centaurus	센타우루스자리	centaurus	PROPN	N;NOM;INDF;NEUT;SG
센타우루스자리	centauri	센타우루스자리	centauri	PROPN	PROPN;NOM
바리	bari	바리	bari		PROPN;NOM
아토스	athos	아토스	athos		PROPN;NOM
떨어지지	hösten	떨어지+지	höst	V	N;NOM;DEF;MASC+FEM;SG
떨어지지	fall	떨어지+지	fall	V	N;NOM;INDF;NEUT;SG
떨어지지	höst	떨어지+지	höst	V	N;NOM;INDF;MASC+FEM;SG
리어	lear	리+어	lea		PROPN;NOM
열정	entusiastisk	열정	entusiastisk	N	ADJ;NOM;INDF;MASC+FEM;SG
열정	entusiastiska	열정	entusiastisk	N	ADJ;NOM;PL
열정	entusiastisk	열정	entusiastisk	N	ADJ;NOM;INDF;MASC+FEM;SG
열정	entusiastiskt	열정	entusiastisk	N	ADJ;NOM;INDF;NEUT;SG
열정	passionerade	열정	passionera	N	ADJ;NOM;PL;PST;V.PTCP
열정	passionerad	열정	passionerad	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
열정	passionerat	열정	passionera	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
이동식	flyttbara	이동식	flyttbara	N	ADJ;NOM;PL
예배	dyrka	예배	dyrka	N	V;IMP;NFIN;ACT
예배	tillbe	예배	tillbe	N	V;IMP;FIN;ACT
수백만	miljontals	수백만	miljontal		N;GEN;INDF;NEUT;PL
수백만	miljoner	수백만	miljon		N;NOM;INDF;MASC+FEM;PL
글로브	globe	글로브	globe		N;NOM;INDF;MASC+FEM;SG
글로브	globen	글로브	glob		N;NOM;DEF;MASC+FEM;SG
기린	giraff	기리+ㄴ	giraff		N;NOM;INDF;MASC+FEM;SG
기린	kirin	기리+ㄴ	kirin		N;NOM;INDF;MASC+FEM;SG
기린	giraffer	기리+ㄴ	giraff		N;NOM;INDF;MASC+FEM;PL
수년	years	수년	years		N;NOM;INDF;MASC+FEM;SG
수년	åratal	수년	åratal		N;NOM;INDF;NEUT;PL
수년	åren	수년	år		N;NOM;DEF;NEUT;PL
수년	år	수년	år		N;NOM;INDF;NEUT;SG
파산	bankrutt	파산	bankrutt		N;NOM;INDF;NEUT;SG
파산	bankrutt	파산	bankrutt		N;NOM;INDF;NEUT;SG
파산	konkurs	파산	konkurs		N;NOM;INDF;MASC+FEM;SG
파산	konkurser	파산	konkurs		N;NOM;INDF;MASC+FEM;PL
버펄로	buffalo	버티+로	buffalo	ADV	PROPN;NOM
버펄로	buffel	버티+로	buffel	ADV	N;NOM;INDF;MASC+FEM;SG
버펄로	bufflar	버티+로	buffla	ADV	N;NOM;INDF;MASC+FEM;PL
무작위로	slumpvis	무작위+로	slumpvis	ADV	N;NOM;INDF;NEUT;SG
무작위로	slumpmässiga	무작위+로	slumpmässig	ADV	ADJ;NOM;PL
무작위로	random	무작위+로	random	ADV	N;NOM;INDF;MASC+FEM;SG
무작위로	slumpvis	무작위+로	slumpvis	ADV	N;NOM;INDF;NEUT;SG
무작위로	slumpmässig	무작위+로	slumpmässig	ADV	ADJ;NOM;INDF;MASC+FEM;SG
이겨	beat	이기+어	bea		N;NOM;INDF;NEUT;SG
이겨	slå	이기+어	slå		V;IMP;FIN;ACT
우울	deprimerad	우울	deprimerad	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
우울	nedtryckt	우울	nedtrycka	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
우울	deprimerade	우울	deprimerad	N	ADJ;NOM;PL;PST;V.PTCP
우울	deprimerande	우울	deprimerande	N	ADJ;NOM;PRS;V.PTCP
낙하산	fallskärm	낙하산	fallskärm		N;NOM;INDF;MASC+FEM;SG
홀로코스트	förintelse	홀로코스트	förintelse	PROPN	N;NOM;INDF;MASC+FEM;SG
홀로코스트	förintelsen	홀로코스트	förintelse	PROPN	N;NOM;DEF;MASC+FEM;SG
디스커버리	upptäckt	디스크리리	upptäcka		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
디스커버리	upptäckter	디스크리리	upptäckt		N;NOM;INDF;MASC+FEM;PL
디스커버리	upptäckten	디스크리리	upptäckt		N;NOM;DEF;MASC+FEM;SG
디스커버리	discovery	디스크리리	discovery		N;NOM;INDF;MASC+FEM;SG
테크	tech	테크	tech		PROPN;NOM
샐리	sally	샐리	sally	N	PROPN;NOM
절약	spara	절약	spara		V;IMP;FIN;ACT
절약	sparande	절약	sparande		N;NOM;INDF;NEUT;SG
절약	sparar	절약	spara		V;IND;PRS;FIN;ACT
알마티	almaty	알마티	almaty	PROPN	PROPN;NOM
곱셈	multiplikation	곱+과	multiplikation		N;NOM;INDF;MASC+FEM;SG
곱셈	förökning	곱+과	förökning		N;NOM;INDF;MASC+FEM;SG
곱셈	multiplicera	곱+과	multiplicera		V;IMP;FIN;ACT
스와	suwa	스+와	suw		V;IMP;FIN;ACT
투르	turer	투르	tur		N;NOM;INDF;MASC+FEM;PL
교정	rättelser	교정	rättelse	N	V;IND;PRS;FIN;ACT
교정	rättade	교정	rätta	N	V;PST;V.PTCP;ACT
교정	korrigerade	교정	korrigera	N	ADJ;NOM;PL;PST;V.PTCP
교정	korrigerat	교정	korrigera	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
교정	rättat	교정	rätta	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
앙투안	antoine	앙투안	antoine	PROPN	PROPN;NOM
리히텐슈타인	liechtenstein	리히+정레타인	liechtenstein	PROPN	PROPN;NOM
리히텐슈타인	lichtenstein	리히+정레타인	lichtenstein	PROPN	PROPN;NOM
오데사	odessa	오데사	odessa	PROPN	PROPN;NOM
사모아	samoa	사모아	samoa		PROPN;NOM
레이먼드	raymond	레이먼드	raymond	PROPN	PROPN;NOM
저널리스트	journalisten	저널리스트	journalist		N;NOM;DEF;MASC+FEM;SG
저널리스트	journalist	저널리스트	journalist		N;NOM;INDF;MASC+FEM;SG
저널리스트	journalister	저널리스트	journalist		N;NOM;INDF;MASC+FEM;PL
차드	tchad	차드	tchad	PROPN	PROPN;NOM
차드	chad	차드	chad	PROPN	PROPN;NOM
무하마드	muhammad	무하마드	muhammad	PROPN	N;NOM;INDF;MASC+FEM;SG
무하마드	muhammed	무하마드	muhammed	PROPN	PROPN;NOM
체르노빌	tjernobyl	체르노빌	tjernobyl	N	PROPN;NOM
강력	kraftfull	강력	kraftfull		ADJ;NOM;INDF;MASC+FEM;SG
강력	mäktiga	강력	mäktig		ADJ;NOM;PL
강력	mäktig	강력	mäktig		ADJ;NOM;INDF;MASC+FEM;SG
강력	mäktigt	강력	mäktig		ADJ;NOM;INDF;NEUT;SG
해석학	analytisk	해석학	analytisk	N	ADJ;NOM;INDF;MASC+FEM;SG
해석학	analytiska	해석학	analytisk	N	ADJ;NOM;PL
해석학	analytiskt	해석학	analytisk	N	ADJ;NOM;INDF;NEUT;SG
카사블랑카	casablanca	카사블랑카	casablanc	PROPN	N;NOM;DEF;MASC+FEM;SG
어디로	var	어디+로	var	ADV	PRO;INDF;MASC+FEM;SG
어디로	vart	어디+로	var	ADV	N;NOM;INDF;NEUT;SG
커먼즈	underhuset	커먼즈	underhus		N;NOM;DEF;NEUT;SG
커먼즈	commons	커먼즈	common		N;NOM;INDF;MASC+FEM;SG
레지던트	hemmahörande	레지던트	hemmahörande		ADJ;NOM;PRS;V.PTCP
레지던트	bosatta	레지던트	bosatt		ADJ;NOM;PL;PST;V.PTCP
레지던트	bosatt	레지던트	bosatt		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
레지던트	invånare	레지던트	invånare		N;NOM;INDF;MASC+FEM;PL
레지던트	boende	레지던트	boende		N;NOM;INDF;NEUT;SG
레지던트	bosatta	레지던트	bosatt		ADJ;NOM;PL;PST;V.PTCP
레지던트	hemvist	레지던트	hemvist		N;NOM;INDF;MASC+FEM;SG
파라오	faraoner	파라오	faraon		N;NOM;INDF;MASC+FEM;PL
파라오	farao	파라오	farao		PROPN;NOM
갇힌	fångad	갇히+ㄴ	fånga	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
갇힌	instängd	갇히+ㄴ	instängd	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
레슬리	lesley	레슬리	lesley		PROPN;NOM
레슬리	leslie	레슬리	leslie		PROPN;NOM
에미레이트	emirates	에미레이트	emirates	N	PROPN;NOM
응원	heja	응원	hej	N	V;IMP;FIN;ACT
응원	pigga	응원	pigg	N	ADJ;NOM;PL
학대	missbruka	학대	missbruka	N	V;IMP;FIN;ACT
올림포스	olympus	올림포스	olympus	PROPN	N;NOM;INDF;MASC+FEM;SG
