the	os	the	o	DET;DEF	PRO;ACC;MASC;PL;3
congress	congresso	congress	congresso	PROPN;SG	N;MASC;SG
congress	congressos	congress	congresso	PROPN;SG	N;MASC;PL
met	met	meet	met	V;PST;V.PTCP	N;MASC;SG
income	receitas	income	receita	N;SG	N;FEM;PL
income	proveitos	income	proveito	N;SG	N;MASC;PL
income	rendimentos	income	rendimento	N;SG	N;MASC;PL
bass	bass	bass	bass	PROPN;SG	N;MASC;SG
bass	baixo	bass	baixo	PROPN;SG	ADV
super	super	super	super	ADV	N;MASC;SG
complex	complexas	complex	complexo	N;SG	ADJ;FEM;PL
complex	complexo	complex	complexo	N;SG	ADJ;MASC;SG
complex	complexos	complex	complexo	N;SG	ADJ;MASC;PL
complex	complexa	complex	complexo	N;SG	ADJ;FEM;SG
academic	acadêmica	academic	acadêmico	ADJ	N;FEM;SG
academic	académico	academic	académico	ADJ	N;MASC;SG
academic	acadêmico	academic	acadêmico	ADJ	N;MASC;SG
academic	académica	academic	académico	ADJ	N;FEM;SG
stars	stars	star	star	N;PL	N;MASC;SG
accounts	contabilidade	account	contabilidade	N;PL	N;FEM;SG
asian	asiáticas	asian	asiático	ADJ	N;FEM;PL
asian	asiática	asian	asiático	ADJ	N;FEM;SG
asian	asiáticos	asian	asiático	ADJ	N;MASC;PL
friends	friends	friend	friend	N;PL	N;MASC;SG
kind	gentil	kind	gentil	N;SG	ADJ;MASC;SG
kind	bondoso	kind	bondoso	N;SG	ADJ;MASC;SG
financial	financeira	financial	financeiro	ADJ	N;FEM;SG
asia	ásia	asia	ásia	PROPN;SG	N;FEM;SG
meaning	significando	meaning	significar	N;SG	V;V.MSDR
intended	pretendia	intend	pretender	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
bishop	bispo	bishop	bispo	PROPN;SG	N;MASC;SG
boston	boston	boston	boston	PROPN;SG	N;MASC;SG
rate	classifique	rate	classificar	N;SG	V;SBJV;SG;3;PRS;FIN
forest	florestas	forest	floresta	N;SG	N;FEM;PL
jack	valete	jack	valete	PROPN;SG	N;MASC;SG
jack	jack	jack	jack	PROPN;SG	N;MASC;SG
pre	pre	pre	pre	PROPN;SG	N;MASC;SG
pre	pré	pre	pré	PROPN;SG	N;MASC;SG
double	duplicar	double	duplicar	ADJ	V;NFIN
double	dupla	double	dupla	ADJ	N;FEM;SG
double	duplo	double	duplo	ADJ	N;MASC;SG
double	dobro	double	dobro	ADJ	N;MASC;SG
polish	polonês	polish	polonês	PROPN;SG	N;MASC;SG
polish	polaco	polish	polaco	PROPN;SG	N;MASC;SG
polish	polonesa	polish	polonesa	PROPN;SG	N;FEM;SG
columbia	colúmbia	columbia	colúmbia	PROPN;SG	N;FEM;SG
columbia	columbia	columbia	columbia	PROPN;SG	N;FEM;SG
columbia	colômbia	columbia	colômbia	PROPN;SG	N;FEM;SG
jones	jones	jone	jone	PROPN;SG	N;MASC;SG
israel	israel	israel	israel	PROPN;SG	N;MASC;SG
nine	nove	nine	nove		NUM
nine	nine	nine	nine		N;MASC;SG
newspaper	jornais	newspaper	jornal	N;SG	N;MASC;PL
unknown	desconhecida	unknown	desconhecer	ADJ	V;FEM;SG;V.PTCP
unknown	desconhecidos	unknown	desconhecer	ADJ	V;MASC;PL;V.PTCP
unknown	desconhecidas	unknown	desconhecer	ADJ	V;FEM;PL;V.PTCP
unknown	desconhecido	unknown	desconhecer	ADJ	V;MASC;SG;V.PTCP
loss	perdas	loss	perda	N;SG	N;FEM;PL
face	face	face	face	N;SG	ADV
spent	gastos	spend	gasto	V;PST;V.PTCP	N;MASC;PL
francisco	francisco	francisco	francisco	PROPN;SG	N;MASC;SG
politics	politica	politics	politica	N;PL	N;FEM;SG
politics	política	politics	política	N;PL	N;FEM;SG
mar	mar	mar	mar	PROPN;SG	N;MASC;SG
cause	cause	cause	cause	N;SG	V;SBJV;SG;3;PRS;FIN
volume	volumes	volume	volume	N;SG	N;MASC;PL
tom	tom	tom	tom	PROPN;SG	N;MASC;SG
candidate	candidatos	candidate	candidato	N;SG	N;MASC;PL
except	exceto	except	exceto	ADV	ADP
oil	óleos	oil	óleos	N;SG	N;MASC;PL
listing	listar	list	listar	N;SG	V;NFIN
allow	permita	allow	permitir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
retired	aposentados	retire	aposentado	V;PST;V.PTCP	N;MASC;PL
train	treinar	train	treinar	N;SG	V;NFIN
train	comboios	train	comboio	N;SG	N;MASC;PL
adding	adição	add	adição	V;V.MSDR	N;FEM;SG
provides	providencia	provide	providenciar	V;IND;SG;3;PRS;FIN	N;FEM;SG
remains	permanece	remains	permanecer	N;PL	V;IND;SG;3;PRS;FIN
victoria	victória	victoria	victória	PROPN;SG	N;FEM;SG
victoria	vitoria	victoria	vitoria	PROPN;SG	N;FEM;SG
victoria	victoria	victoria	victoria	PROPN;SG	N;FEM;SG
victoria	vitória	victoria	vitória	PROPN;SG	N;FEM;SG
metal	metais	metal	metal	N;SG	N;MASC;PL
wrong	errado	wrong	errar	ADJ	V;MASC;SG;V.PTCP
wrong	errada	wrong	errar	ADJ	V;FEM;SG;V.PTCP
direct	directa	direct	directo	ADJ	N;FEM;SG
direct	diretos	direct	direto	ADJ	N;MASC;PL
direct	direct	direct	direct	ADJ	N;MASC;SG
direct	direto	direct	direto	ADJ	N;MASC;SG
frank	frank	frank	frank	PROPN;SG	N;MASC;SG
miles	miles	mile	mile	N;PL	N;MASC;SG
relationship	relacionamentos	relationship	relacionamento	N;SG	N;MASC;PL
knowledge	conhecimentos	knowledge	conhecimento	N;SG	N;MASC;PL
format	formatar	format	formatar	N;SG	V;NFIN
creek	creek	creek	creek	PROPN;SG	N;MASC;SG
creek	riacho	creek	riacho	PROPN;SG	N;MASC;SG
failed	falha	fail	falha	V;PST;V.PTCP	N;FEM;SG
goes	goes	go	goes	V;IND;SG;3;PRS;FIN	N;MASC;SG
fight	luta	fight	luta	V;IMP;FIN	N;FEM;SG
fight	briga	fight	briga	V;IMP;FIN	N;FEM;SG
fight	combate	fight	combate	V;IMP;FIN	N;MASC;SG
fight	lute	fight	lute	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
fight	fight	fight	fight	V;IMP;FIN	N;MASC;SG
figure	figura	figure	figura	V;IMP;FIN	N;FEM;SG
figure	figure	figure	figure	V;IMP;FIN	N;MASC;SG
statistics	estatística	statistic	estatístico	N;PL	N;FEM;SG
heavy	pesado	heavy	pesar	ADJ	V;MASC;SG;V.PTCP
heavy	heavy	heavy	heavy	ADJ	N;MASC;SG
heavy	pesadas	heavy	pesar	ADJ	V;FEM;PL;V.PTCP
heavy	pesados	heavy	pesar	ADJ	V;MASC;PL;V.PTCP
heavy	pesada	heavy	pesar	ADJ	V;FEM;SG;V.PTCP
alexander	alexandre	alexander	alexandre	PROPN;SG	N;MASC;SG
alone	alone	alone	alone	ADV	N;MASC;SG
alone	sozinha	alone	sozinha	ADV	N;FEM;SG
alone	sozinho	alone	sozinho	ADV	ADJ;MASC;SG
alone	sozinhos	alone	sozinho	ADV	ADJ;MASC;PL
understand	entende	understand	entender	V;IMP;FIN	V;IND;SG;3;PRS;FIN
understand	entenda	understand	entender	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
educational	educacionais	educational	educacional	ADJ	N;MASC;PL
educational	educação	educational	educação	ADJ	N;FEM;SG
daily	diários	daily	diário	ADV	ADJ;MASC;PL
daily	diário	daily	diário	ADV	N;MASC;SG
daily	diária	daily	diária	ADV	N;FEM;SG
williams	williams	williams	williar	PROPN;SG	N;FEM;SG
latin	latim	latin	latim	PROPN;SG	N;MASC;SG
latin	latino	latin	latino	PROPN;SG	N;MASC;SG
latin	latinos	latin	latino	PROPN;SG	N;MASC;PL
latin	latina	latin	latino	PROPN;SG	N;FEM;SG
dark	dark	dark	dark	ADJ	N;MASC;SG
religion	religiões	religion	religião	N;SG	N;FEM;PL
von	von	vo	von	PROPN;SG	PROPN;MASC;SG
administrative	administrativa	administrative	administrativo	ADJ	N;FEM;SG
administrative	administrativos	administrative	administrativo	ADJ	N;MASC;PL
administrative	administrativas	administrative	administrativo	ADJ	N;FEM;PL
cut	corta	cut	cortar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
cut	cut	cut	cut	V;IMP;FIN	N;MASC;SG
cut	corte	cut	corte	V;IMP;FIN	N;MASC;SG
scott	scott	scott	scott	PROPN;SG	N;MASC;SG
jean	jean	jean	jean	PROPN;SG	N;MASC;SG
pro	pro	pro	pro	PROPN;SG	N;MASC;SG
pro	pró	pro	pró	PROPN;SG	N;MASC;SG
beach	praias	beach	praia	N;SG	N;FEM;PL
territory	territórios	territory	território	N;SG	N;MASC;PL
write	escreve	write	escrever	V;IMP;FIN	V;IND;SG;3;PRS;FIN
write	escreva	write	escrever	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
joe	joe	joe	joe	PROPN;SG	N;MASC;SG
inside	inside	inside	insidir	ADV	N;MASC;SG
wanted	queria	want	querer	V;IND;PST;FIN	V;IND;SG;3;IPFV;FIN
solid	sólidos	solid	sólido	ADJ	N;MASC;PL
mention	menção	mention	menção	V;IMP;FIN	N;FEM;SG
del	del	del	del	PROPN;SG	N;MASC;SG
continue	continue	continue	continuar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
continue	continuem	continue	continuar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
continue	continua	continue	continuar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
cost	custos	cost	custo	N;SG	N;MASC;PL
vice	vício	vice	vício	PROPN;SG	N;MASC;SG
vice	vice	vice	vice	PROPN;SG	N;MASC;SG
drive	conduza	drive	conduzir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
drive	conduz	drive	conduzir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
drive	drive	drive	drive	V;IMP;FIN	N;MASC;SG
johnson	johnson	johnson	johnson	PROPN;SG	N;MASC;SG
looks	looks	look	looko	V;IND;SG;3;PRS;FIN	N;MASC;PL
looks	olhares	look	olhar	V;IND;SG;3;PRS;FIN	N;MASC;PL
hope	esperança	hope	esperança	V;IND;PRS;FIN	N;FEM;SG
hope	hope	hope	hope	V;IND;PRS;FIN	N;MASC;SG
hope	esperanças	hope	esperança	V;IND;PRS;FIN	N;FEM;PL
mike	mike	mike	mike	PROPN;SG	N;MASC;SG
basic	básicas	basic	básico	ADJ	N;FEM;PL
basic	básica	basic	básico	ADJ	N;FEM;SG
basic	basic	basic	basic	ADJ	N;MASC;SG
basic	básicos	basic	básico	ADJ	N;MASC;PL
scientific	científica	scientific	científico	ADJ	N;FEM;SG
oxford	oxford	oxford	oxford	PROPN;SG	N;MASC;SG
kong	kong	kong	kong	PROPN;SG	N;MASC;SG
opera	opera	opera	operar	N;SG	V;IND;SG;3;PRS;FIN
opera	óperas	opera	óperas	N;SG	N;FEM;PL
critical	críticas	critical	crítica	ADJ	N;FEM;PL
critical	crítico	critical	crítico	ADJ	N;MASC;SG
critical	critica	critical	criticar	ADJ	V;IND;SG;3;PRS;FIN
critical	críticos	critical	crítico	ADJ	N;MASC;PL
critical	crítica	critical	crítico	ADJ	N;FEM;SG
simple	simple	simple	simple	ADJ	N;MASC;SG
hong	hong	hong	hong	PROPN;SG	PROPN;MASC;SG
useful	utilidade	useful	utilidade	ADJ	N;FEM;SG
useful	úteis	useful	útil	ADJ	N;MASC;PL
technical	técnicos	technical	técnico	ADJ	N;MASC;PL
technical	técnico	technical	técnico	ADJ	N;MASC;SG
technical	técnica	technical	técnica	ADJ	N;FEM;SG
necessary	necessario	necessary	necessario	ADJ	N;MASC;SG
believed	acreditavam	believe	acreditar	V;PST;V.PTCP	V;IND;PL;3;IPFV;FIN
believed	acreditava	believe	acreditar	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
girls	girls	girl	girl	N;PL	N;MASC;SG
feb	fev	feb	faver	PROPN;SG	N;MASC;SG
feb	fevereiro	feb	fevereiro	PROPN;SG	N;MASC;SG
ontario	ontário	ontario	ontário	PROPN;SG	N;MASC;SG
champions	champions	champion	champions	N;PL	N;MASC;SG
golden	dourada	golden	dourar	ADJ	V;FEM;SG;V.PTCP
golden	dourados	golden	dourar	ADJ	V;MASC;PL;V.PTCP
golden	golden	golden	golden	ADJ	N;MASC;SG
golden	ouro	golden	ouro	ADJ	N;MASC;SG
golden	dourado	golden	dourar	ADJ	V;MASC;SG;V.PTCP
racing	corridas	racing	corrida	N;SG	N;FEM;PL
auto	automático	auto	automático	N;SG	ADJ;MASC;SG
lives	lives	life	live	N;PL	N;MASC;SG
lives	mora	life	morar	N;PL	V;IND;SG;3;PRS;FIN
lives	vive	life	viver	N;PL	V;IND;SG;3;PRS;FIN
swedish	suecos	swedish	sueco	ADJ	N;MASC;PL
swedish	sueco	swedish	sueco	ADJ	N;MASC;SG
swedish	sueca	swedish	suecar	ADJ	N;FEM;SG
hot	quente	hot	quente	ADJ	N;MASC;SG
hot	gostosa	hot	gostoso	ADJ	N;FEM;SG
net	líquido	net	líquido	N;SG	ADJ;MASC;SG
net	líquidos	net	líquido	N;SG	N;MASC;PL
votes	votação	vote	votação	N;PL	N;FEM;SG
votes	vota	vote	vota	N;PL	V;IND;SG;3;PRS;FIN
contemporary	contemporâneos	contemporary	contemporâneo	ADJ	N;MASC;PL
contemporary	contemporânea	contemporary	contemporâneo	ADJ	N;FEM;SG
focus	focar	focus	focar	N;SG	V;NFIN
naval	naval	naval	naval	ADJ	N;MASC;SG
forward	forward	forward	forward	ADV	N;MASC;SG
forward	encaminhar	forward	encaminhar	ADV	V;NFIN
forward	avante	forward	avante	ADV	N;MASC;SG
memorial	memorial	memorial	memorial	ADJ	N;MASC;SG
iran	irã	iran	irã	PROPN;SG	N;MASC;SG
iran	irão	iran	ir	PROPN;SG	V;IND;PL;3;FUT;FIN
korea	coréia	korea	coréia	PROPN;SG	N;MASC;SG
korea	korea	korea	korea	PROPN;SG	N;MASC;SG
korea	coreia	korea	coreia	PROPN;SG	N;FEM;SG
analysis	análises	analysis	análise	N;SG	N;FEM;PL
poor	coitado	poor	coitado	ADJ	V;MASC;SG;V.PTCP
poor	pobres	poor	pobre	ADJ	N;MASC;PL
judge	julgar	judge	julgar	N;SG	V;NFIN
electric	elétricos	electric	elétrico	ADJ	N;MASC;PL
electric	eléctricos	electric	eléctrico	ADJ	N;MASC;PL
electric	elétrica	electric	elétrico	ADJ	N;FEM;SG
electric	elétrico	electric	elétrico	ADJ	N;MASC;SG
exist	existem	exist	existir	V;IMP;FIN	V;IND;PL;3;PRS;FIN
hold	segure	hold	segure	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
hold	hold	hold	hold	V;IMP;FIN	N;MASC;SG
hold	segura	hold	seguro	V;IMP;FIN	ADJ;FEM;SG
brazil	brazil	brazil	brazil	PROPN;SG	N;MASC;SG
brazil	brasil	brazil	brasil	PROPN;SG	N;MASC;SG
chris	chris	chris	chri	PROPN;SG	N;MASC;SG
chris	cris	chris	cris	PROPN;SG	N;FEM;SG
beyond	beyond	beyond	beyond	ADV	N;MASC;SG
fifth	quinto	fifth	quinto	PROPN;SG	ADJ;MASC;SG
fifth	quinta	fifth	quinta	PROPN;SG	N;FEM;SG
increase	aumente	increase	aumente	N;SG	V;SBJV;SG;3;PRS;FIN
increase	aumentem	increase	aumentar	N;SG	V;SBJV;PL;3;PRS;FIN
increase	aumentar	increase	aumentar	N;SG	V;NFIN
increase	aumenta	increase	aumentar	N;SG	V;IND;SG;3;PRS;FIN
summary	sumário	summary	sumário	N;SG	ADJ;MASC;SG
remaining	remanescente	remain	remanescente	V;V.MSDR	ADJ;MASC;SG
remaining	restante	remain	restante	V;V.MSDR	N;MASC;SG
remaining	restantes	remain	restante	V;V.MSDR	N;MASC;PL
broadcast	difusão	broadcast	difusão	V;PST;V.PTCP	N;FEM;SG
broadcast	emissão	broadcast	emissão	V;PST;V.PTCP	N;FEM;SG
broadcast	radiodifusão	broadcast	radiodifusão	V;PST;V.PTCP	N;FEM;SG
broadcast	transmissão	broadcast	transmissão	V;PST;V.PTCP	N;FEM;SG
des	des	des	des	PROPN;SG	N;MASC;SG
serving	servindo	serving	servir	N;SG	V;V.MSDR
serving	servir	serving	servir	N;SG	V;NFIN
alternative	alternativo	alternative	alternativo	N;SG	ADJ;MASC;SG
alternative	alternativas	alternative	alternativa	N;SG	N;FEM;PL
attacks	ataca	attack	atacar	N;PL	V;IND;SG;3;PRS;FIN
republican	republicana	republican	republicano	PROPN;SG	N;FEM;SG
republican	republicanos	republican	republicano	PROPN;SG	N;MASC;PL
republican	republicano	republican	republicano	PROPN;SG	N;MASC;SG
immediately	imediato	immediately	imediato	ADV	N;MASC;SG
urban	urban	urban	urban	ADJ	N;MASC;SG
urban	urbano	urban	urbano	ADJ	N;MASC;SG
urban	urbana	urban	urbano	ADJ	N;FEM;SG
urban	urbanas	urban	urbano	ADJ	N;FEM;PL
urban	urbanos	urban	urbano	ADJ	N;MASC;PL
pakistan	paquistão	pakistan	paquistão	PROPN;SG	N;MASC;SG
marine	marinhos	marine	marinho	N;SG	N;MASC;PL
physical	física	physical	física	ADJ	N;FEM;SG
physical	físicas	physical	físico	ADJ	N;FEM;PL
physical	fisico	physical	fisico	ADJ	N;MASC;SG
physical	físicos	physical	físico	ADJ	N;MASC;PL
physical	físico	physical	físico	ADJ	N;MASC;SG
dec	dezembro	dec	dezembro	PROPN;SG	N;MASC;SG
dec	dec	dec	dec	PROPN;SG	N;MASC;PL
troops	tropa	troops	tropa	N;PL	N;FEM;SG
semi	semi	semi	semir	PROPN;SG	N;MASC;SG
suggest	sugere	suggest	sugerir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
suggest	sugira	suggest	sugirar	V;IMP;FIN	V;SBJV;SG;3;FUT;FIN
emperor	imperador	emperor	imperador	PROPN;SG	N;MASC;SG
emperor	imperadores	emperor	imperador	PROPN;SG	N;MASC;PL
duke	duque	duke	duque	PROPN;SG	N;MASC;SG
duke	duke	duke	duke	PROPN;SG	N;MASC;SG
tell	conte	tell	conte	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
tell	diz	tell	dizer	V;IMP;FIN	V;IND;SG;3;PRS;FIN
tell	diga	tell	dizer	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
follow	siga	follow	siga	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
follow	segue	follow	seguir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
follow	sigam	follow	seguir	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
follow	follow	follow	follow	V;IMP;FIN	N;MASC;SG
windows	windows	window	window	N;PL	N;MASC;SG
jazz	jazz	jazz	jazz	PROPN;SG	N;MASC;SG
count	conte	count	conte	N;SG	V;SBJV;SG;3;PRS;FIN
classical	clássica	classical	clássico	ADJ	N;FEM;SG
classical	clássicos	classical	clássico	ADJ	N;MASC;PL
classical	clássicas	classical	clássico	ADJ	N;FEM;PL
classical	clássico	classical	clássico	ADJ	N;MASC;SG
netherlands	holanda	netherlands	holandar	N;PL	N;FEM;SG
influence	influencia	influence	influencia	N;SG	V;IND;SG;3;PRS;FIN
influence	influências	influence	influência	N;SG	N;FEM;PL
influence	influenciar	influence	influenciar	N;SG	V;NFIN
linear	linear	linear	linear	ADJ	N;MASC;SG
linear	lineares	linear	lineare	ADJ	N;MASC;PL
consider	considerem	consider	considerar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
consider	considere	consider	considerar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
consider	considera	consider	considerar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
machine	maquinas	machine	maquina	N;SG	N;FEM;PL
minnesota	minnesota	minnesota	minnesota	PROPN;SG	N;FEM;SG
nov	nov	nov	nov	PROPN;SG	N;MASC;SG
serve	sirva	serve	servir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
serve	serve	serve	servir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
sydney	sidney	sydney	sidney	PROPN;SG	N;MASC;SG
sydney	sydney	sydney	sydney	PROPN;SG	N;MASC;SG
distance	distâncias	distance	distância	N;SG	N;FEM;PL
boys	boys	boy	boy	N;PL	N;MASC;SG
boys	rapaziada	boy	rapaziado	N;PL	N;FEM;SG
potential	potencialidades	potential	potencialidade	N;SG	N;FEM;PL
potential	potenciais	potential	potencial	N;SG	N;MASC;PL
toronto	toronto	toronto	toronto	PROPN;SG	N;MASC;SG
jun	jun	jun	jun	PROPN;SG	N;MASC;SG
oct	toc	oct	toc	PROPN;SG	N;MASC;SG
oct	out	oct	out	PROPN;SG	N;MASC;SG
conflict	conflitos	conflict	conflito	N;SG	N;MASC;PL
steve	steve	steve	steve	PROPN;SG	PROPN;MASC;SG
philadelphia	filadélfia	philadelphia	filadélfia	PROPN;SG	N;FEM;SG
philadelphia	philadelphia	philadelphia	philadelphia	PROPN;SG	N;MASC;SG
der	der	der	dar	PROPN;SG	V;SBJV;SG;3;FUT;FIN
dispute	contestar	dispute	contestar	N;SG	V;NFIN
berlin	berlim	berlin	berlim	PROPN;SG	N;MASC;SG
arms	armamento	arm	armamento	N;PL	N;MASC;SG
arms	arms	arm	arms	N;PL	N;MASC;SG
discovered	descoberta	discover	descoberta	V;PST;V.PTCP	N;FEM;SG
iron	ferro	iron	ferro	PROPN;SG	N;MASC;SG
positive	positivos	positive	positivo	ADJ	N;MASC;PL
santa	santa	santa	santo	PROPN;SG	N;FEM;SG
nom	nom	nom	nom	PROPN;SG	N;MASC;SG
longew	longew	longew	longew	PROPN;SG	N;MASC;SG
imperial	imperiais	imperial	imperial	ADJ	N;MASC;PL
imperial	imperial	imperial	imperial	ADJ	N;MASC;SG
latns	latns	latn	latm	N;PL	N;MASC;SG
quickly	rápido	quickly	rápido	ADV	ADJ;MASC;SG
correct	corrija	correct	corrija	ADJ	V;SBJV;SG;3;PRS;FIN
correct	corrigir	correct	corrigir	ADJ	V;NFIN
indiana	indiana	indiana	indiana	PROPN;SG	N;FEM;SG
korean	coreana	korean	coreana	PROPN;SG	N;FEM;SG
korean	coreano	korean	coreano	PROPN;SG	N;MASC;SG
korean	coreanos	korean	coreano	PROPN;SG	N;MASC;PL
fish	peixes	fish	peixe	N;SG	N;MASC;PL
senate	senado	senate	senado	PROPN;SG	N;MASC;SG
check	verifique	check	verificar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
check	confira	check	confirar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
check	verificação	check	verificação	V;IMP;FIN	N;FEM;SG
sign	assine	sign	assine	N;SG	INTJ
sign	assina	sign	assinar	N;SG	V;IND;SG;3;PRS;FIN
sign	assinar	sign	assinar	N;SG	V;NFIN
reporting	relatórios	report	relatório	V;V.MSDR	N;MASC;PL
sweden	suécia	sweden	suécia	PROPN;SG	N;FEM;SG
consists	consiste	consist	consistir	N;PL	V;IND;SG;3;PRS;FIN
tag	marcar	tag	marcar	N;SG	V;NFIN
tag	marque	tag	marque	N;SG	V;SBJV;SG;3;PRS;FIN
inc	inc	inc	inc	PROPN;SG	N;MASC;SG
liberal	liberais	liberal	liberal	ADJ	N;MASC;PL
stand	stand	stand	stand	V;IMP;FIN	N;MASC;SG
bob	bob	bob	bob	PROPN;SG	N;MASC;SG
bob	beto	bob	beto	PROPN;SG	N;MASC;SG
existing	existente	exist	existente	V;V.MSDR	ADJ;MASC;SG
existing	existentes	exist	existente	V;V.MSDR	ADJ;MASC;PL
publishing	publicar	publish	publicar	N;SG	V;NFIN
publishing	publicando	publish	publicar	N;SG	V;V.MSDR
industrial	industriais	industrial	industrial	ADJ	N;MASC;PL
answer	responde	answer	responder	N;SG	V;IND;SG;3;PRS;FIN
answer	responder	answer	responder	N;SG	V;NFIN
answer	responda	answer	responder	N;SG	V;SBJV;SG;3;PRS;FIN
split	split	split	split	V;V.PTCP	N;MASC;SG
apr	abr	apr	abr	PROPN;SG	N;MASC;SG
acting	atuação	act	atuação	V;V.MSDR	N;FEM;SG
personnel	pessoal	personnel	pessoal	N;PL	N;MASC;SG
die	morra	die	morrer	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
die	die	die	dieer	V;IMP;FIN	N;MASC;SG
die	morram	die	morrer	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
die	morre	die	morrer	V;IMP;FIN	V;IND;SG;3;PRS;FIN
wisconsin	wisconsin	wisconsin	wisconsin	PROPN;SG	N;MASC;SG
root	raízes	root	raíz	N;SG	N;FEM;PL
comics	comics	comic	comics	N;PL	N;MASC;SG
miss	saudades	miss	saudade	V;IMP;FIN	N;FEM;PL
miss	menina	miss	menina	V;IMP;FIN	N;FEM;SG
miss	saudade	miss	saudade	V;IMP;FIN	N;FEM;SG
horse	cavalos	horse	cavalo	N;SG	N;MASC;PL
wood	madeiras	wood	madeira	N;SG	N;FEM;PL
initial	iniciais	initial	inicial	ADJ	N;MASC;PL
pretty	bonito	pretty	bonito	ADV	ADJ;MASC;SG
pretty	bonita	pretty	bonito	ADV	ADJ;FEM;SG
pretty	pretty	pretty	pretty	ADV	N;MASC;SG
bus	autocarros	bus	autocarro	N;SG	N;MASC;PL
gas	gases	gas	gase	N;SG	N;MASC;PL
accepted	aceite	accept	aceitar	V;PST;V.PTCP	INTJ
accepted	aceita	accept	aceitar	V;PST;V.PTCP	V;IND;SG;3;PRS;FIN
nor	nor	nor	nor	CONJ	N;MASC;SG
activity	atividades	activity	atividade	N;SG	N;FEM;PL
jim	jim	jim	jim	PROPN;SG	PROPN;MASC;SG
creating	criação	create	criação	V;V.MSDR	N;FEM;SG
cambridge	cambridge	cambridge	cambridgir	PROPN;SG	N;MASC;SG
remove	remova	remove	removo	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
reserve	reserve	reserve	reserver	N;SG	V;SBJV;SG;3;PRS;FIN
reserve	reservar	reserve	reservar	N;SG	V;NFIN
atlantic	atlântica	atlantic	atlântico	PROPN;SG	N;FEM;SG
atlantic	atlântico	atlantic	atlântico	PROPN;SG	N;MASC;SG
supreme	supremo	supreme	supremo	ADJ	N;MASC;SG
supreme	suprema	supreme	supremo	ADJ	N;FEM;SG
ask	pergunte	ask	pergunte	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
ask	pergunta	ask	pergunta	V;IMP;FIN	N;FEM;SG
fighting	lutar	fighting	lutar	N;SG	V;NFIN
fighting	lutando	fighting	lutar	N;SG	V;V.MSDR
jackson	jackson	jackson	jackson	PROPN;SG	N;MASC;SG
rose	rose	rise	rose	PROPN;SG	N;FEM;SG
rose	rosa	rise	rosa	PROPN;SG	N;FEM;SG
operating	operando	operating	operar	N;SG	V;V.MSDR
operating	operar	operating	operar	N;SG	V;NFIN
treatment	tratamentos	treatment	tratamento	N;SG	N;MASC;PL
andrew	andré	andrew	andré	PROPN;SG	N;MASC;SG
andrew	andrew	andrew	andrew	PROPN;SG	N;MASC;SG
daniel	daniel	daniel	daniel	PROPN;SG	N;MASC;SG
info	info	info	info	N;SG	ADJ;FEM;SG
everything	everything	everything	everything	PRO;SG	N;MASC;SG
avenue	avenida	avenue	avenida	PROPN;SG	N;FEM;SG
avenue	avenue	avenue	avenue	PROPN;SG	N;MASC;SG
travel	viajar	travel	viajar	N;SG	V;NFIN
travel	viaje	travel	viaje	N;SG	V;SBJV;SG;3;PRS;FIN
travel	viagens	travel	viagem	N;SG	N;FEM;PL
scale	escalar	scale	escalar	N;SG	V;NFIN
break	quebrar	break	quebrar	N;SG	V;NFIN
oregon	oregon	oregon	oregon	PROPN;SG	N;MASC;SG
produce	produza	produce	produzir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
#efefef	#efefef	#efefef	eefefefr	PROPN;SG	N;MASC;SG
fictional	ficção	fictional	ficção	ADJ	N;FEM;SG
