van	din	van	din		ADP;ACC
switserland	sutherland	switserland	sutherland		PROPN
heeltemal	complet	heeltemal	complet		ADV
verminder	eliminat	verminder	elimina	V;PRS	ADJ;INDF;MASC;SG
verminder	eliminată	verminder	elimina	V;PRS	ADJ;INDF;FEM;SG
verminder	scădere	verminder	scădere	V;PRS	N;INDF;FEM;SG
terugkeer	revenind	terugkeer	reveni	N;SG	V;V.MSDR
blyk	pare	blyk	părea		V;IND;SG;3;PRS;FIN
begrawe	îngropat	begrawe	îngropa	V;PRS	ADJ;INDF;MASC;SG
begrawe	îngropate	begrawe	îngropat	V;PRS	ADJ;INDF;FEM;PL
begrawe	ingropat	begrawe	ingropa	V;PRS	ADJ;INDF;MASC;SG
begrawe	înmormântat	begrawe	înmormânta	V;PRS	ADJ;INDF;MASC;SG
begrawe	îngropată	begrawe	îngropa	V;PRS	ADJ;INDF;FEM;SG
edward	edward	edward	edward	PROPN;SG	PROPN
edward	eduard	edward	eduard	PROPN;SG	PROPN
roux	roux	roux	roux		PROPN
winter	iarnă	winter	iarnă	V;PRS	N;INDF;FEM;SG
winter	iarna	winter	iarnă	V;PRS	N;DEF;FEM;SG
pius	pius	pius	pius		PROPN
behandel	tratat	behandel	tratat	V;PRS	N;INDF;MASC;SG
behandel	tratate	behandel	tratat	V;PRS	ADJ;INDF;FEM;PL
behandel	tratată	behandel	trata	V;PRS	ADJ;INDF;FEM;SG
behandel	trata	behandel	trata	V;PRS	V;IND;SG;3;IPFV;FIN
behandel	trateaza	behandel	tratează	V;PRS	V;IND;SG;3;IPFV;FIN
verleen	subvenție	verleen	subvenție	V;PRS	N;INDF;FEM;SG
verleen	grant	verleen	grant	V;PRS	N;INDF;MASC;SG
israel	israel	israel	israel		PROPN
israel	israelului	israel	israel		N;DEF;MASC;SG
israel	israelul	israel	israel		N;DEF;MASC;SG
etiket	etichetele	etiket	etichetele		N;DEF;FEM;PL
etiket	etichete	etiket	etichetă		N;INDF;FEM;PL
etiket	etichetă	etiket	etichetă		N;INDF;FEM;SG
etiket	eticheta	etiket	etichetă		N;DEF;FEM;SG
belangrik	importante	belangrik	important	ADV	ADJ;INDF;FEM;PL
belangrik	importanta	belangrik	important	ADV	ADJ;DEF;FEM;SG
belangrik	importantă	belangrik	important	ADV	ADJ;INDF;FEM;SG
somer	vara	somer	vară		N;DEF;FEM;SG
somer	vară	somer	vară		N;INDF;FEM;SG
deense	daneză	deens	daneză	ADJ;NOM	ADJ;INDF;FEM;SG
sanger	cântăreață	sank	cântăreață	ADV	N;INDF;FEM;SG
sanger	singer	sank	singer	ADV	N;INDF;MASC;SG
sanger	cântăreț	sank	cântăreț	ADV	N;INDF;MASC;SG
sanger	sanger	sank	sanger	ADV	N;INDF;MASC;SG
moeilik	dificile	moeilik	dificil	ADV	ADJ;INDF;FEM;PL
moeilik	dificilă	moeilik	dificil	ADV	ADJ;INDF;FEM;SG
vra	intreaba	vra	intreba	V;PRS	N;DEF;FEM;SG
sweedse	elvețiană	sweeds	elvețian	N;SG	ADJ;INDF;FEM;SG
sweedse	suedeza	sweeds	suedeză	N;SG	ADJ;DEF;FEM;SG
sweedse	suedezi	sweeds	suedez	N;SG	ADJ;INDF;MASC;PL
sweedse	suedez	sweeds	suedez	N;SG	ADJ;INDF;MASC;SG
heel	toc	heel	toc		N;INDF;MASC;SG
heel	tocul	heel	toc		N;DEF;MASC;SG
heel	călcâiul	heel	călcâi		N;DEF;MASC;SG
vierkante	pătrate	vierkant	pătrat	ADJ;NOM	N;INDF;FEM;PL
erasmus	erasmus	erasmus	erasmus	PRO;NOM;SG;3	N;INDF;MASC;SG
hart	heart	hart	heart	N;SG	
ernstige	serioasă	ernstig	serios	ADJ;NOM	ADJ;INDF;FEM;SG
ernstige	serioasa	ernstig	serios	ADJ;NOM	ADJ;DEF;FEM;SG
ernstige	seriozitate	ernstig	seriozitate	ADJ;NOM	N;INDF;FEM;SG
ernstige	serios	ernstig	serios	ADJ;NOM	ADV
chris	chris	chris	chris	PROPN;SG	PROPN
clemens	clement	clemens	clement		PROPN
getalle	numar	getal	numar	N;PL	N;INDF;MASC;SG
getalle	număr	getal	număr	N;PL	N;INDF;MASC;SG
getalle	numărul	getal	număr	N;PL	N;DEF;MASC;SG
vii	vii	vii	viu		ADJ;INDF;PL
politiek	politică	politiek	politic	N;SG	ADJ;INDF;FEM;SG
klooster	manastirea	klooster	manastire		N;DEF;FEM;SG
klooster	mănăstirea	klooster	mănăstire		N;DEF;FEM;SG
klooster	manastire	klooster	manastire		N;INDF;FEM;SG
klooster	mânăstire	klooster	mânăstire		N;INDF;FEM;SG
klooster	mănăstire	klooster	mănăstire		N;INDF;FEM;SG
kern	nucleul	kern	nucleu		N;DEF;MASC;SG
kern	core	kern	core		N;INDF;MASC;SG
kern	miezul	kern	miez		N;DEF;MASC;SG
kern	miez	kern	miez		N;INDF;MASC;SG
kern	nucleu	kern	nucleu		N;INDF;MASC;SG
joseph	joseph	joseph	joseph		PROPN
joseph	iosif	joseph	iosif		PROPN
verdrag	tratat	verdrag	tratat	V;PRS	N;INDF;MASC;SG
verdrag	tratatul	verdrag	tratat	V;PRS	N;DEF;MASC;SG
somerset	somerset	somerset	somerset		PROPN
brand	focul	brand	foc		N;DEF;MASC;SG
brand	incendiu	brand	incendiu		N;INDF;MASC;SG
brand	foc	brand	foc		N;INDF;MASC;SG
wêreldwyd	global	wêreldwyd	global	ADV	ADJ;INDF;MASC;SG
wêreldwyd	globală	wêreldwyd	global	ADV	ADJ;INDF;FEM;SG
wêreldwyd	globale	wêreldwyd	global	ADV	ADJ;INDF;FEM;PL
australiese	australiană	australies	australian	ADJ;NOM	ADJ;INDF;FEM;SG
volume	volumul	volume	volum		N;DEF;MASC;SG
volume	volum	volume	volum		N;INDF;MASC;SG
tipiese	tipic	tipies	tipic	N;SG	ADV
tipiese	tipice	tipies	tipic	N;SG	ADJ;INDF;FEM;PL
dekades	decade	dekade	decade	N;PL	
wellington	wellington	wellington	wellington		PROPN
relatief	rudă	relatief	rude		N;INDF;FEM;SG
relatief	relativ	relatief	relativ		ADV
relatief	ruda	relatief	ruda		N;DEF;FEM;SG
relatief	relative	relatief	relativ		ADJ;INDF;FEM;PL
relatief	relativă	relatief	relativ		ADJ;INDF;FEM;SG
godsdienstige	religioasa	godsdienstig	religios	ADJ;NOM	ADJ;DEF;FEM;SG
godsdienstige	religioasă	godsdienstig	religios	ADJ;NOM	ADJ;INDF;FEM;SG
pers	purpuriu	pers	purpuriu	N;PL	ADV
pers	mov	pers	mov	N;PL	ADJ
pers	violet	pers	violet	N;PL	N;INDF;MASC;SG
pers	presă	pers	presă	N;PL	N;INDF;FEM;SG
pers	press	pers	press	N;PL	N;INDF;MASC;SG
pers	apasa	pers	apasa	N;PL	V;IND;SG;3;IPFV;FIN
pers	apăsați	pers	apăsa	N;PL	V;IND;PL;2;IPFV;FIN
pers	apasă	pers	apăsa	N;PL	V;IND;3;PRS;FIN
pers	violeta	pers	violeta	N;PL	N;DEF;FEM;SG
pers	violet	pers	violet	N;PL	N;INDF;MASC;SG
koop	cumpără	koop	cumpăra	V;PRS	V;IND;SG;3;PST;FIN
koop	cumpara	koop	cumpară	V;PRS	V;IND;SG;3;IPFV;FIN
koop	cumpăra	koop	cumpăra	V;PRS	V;IND;SG;3;IPFV;FIN
kruis	crucea	kruis	cruce		N;DEF;FEM;SG
kruis	cruce	kruis	cruce		N;INDF;FEM;SG
kruis	cross	kruis	cross		N;INDF;MASC;SG
villiers	villiers	villiers	villiers		PROPN
martin	martin	martin	martin		PROPN
vele	mulți	vele	mult		PRO;MASC;PL;3
vele	multe	vele	mult		PRO;FEM;PL;3
literêre	literară	literêre	literar	ADJ;NOM	ADJ;INDF;FEM;SG
verhuis	mutate	verhuis	muta	V;PRS	ADJ;INDF;FEM;PL
verhuis	mutat	verhuis	muta	V;PRS	ADJ;INDF;MASC;SG
verhuis	mutată	verhuis	muta	V;PRS	ADJ;INDF;FEM;SG
saal	hall	saal	hall	N;SG	PROPN
litaue	lituaniei	litau	lituanie	ADJ;NOM	PROPN;DEF;FEM;SG
litaue	lituania	litau	lituanie	ADJ;NOM	PROPN
brug	bridge	brug	bridge	N;SG	
rand	marginea	rand	margine		N;DEF;FEM;SG
rand	edge	rand	edge		N;INDF;MASC;SG
rand	margine	rand	margine		N;INDF;FEM;SG
rand	muchie	rand	muchie		N;INDF;FEM;SG
gelyk	egali	gelyk	egal		ADJ;INDF;MASC;PL
gelyk	egal	gelyk	egal		ADJ;INDF;MASC;SG
gelyk	egală	gelyk	egal		ADJ;INDF;FEM;SG
gelyk	egale	gelyk	egal		ADJ;INDF;FEM;PL
gelyk	egala	gelyk	egală		ADJ;DEF;FEM;SG
silwer	litru	silwer	litru		N;INDF;MASC;SG
silwer	filtrarea	silwer	filtrare		N;DEF;FEM;SG
silwer	filtrare	silwer	filtrare		N;INDF;FEM;SG
silwer	argint	silwer	argint		N;INDF;MASC;SG
silwer	silver	silwer	silver		N;INDF;MASC;SG
silwer	argintiu	silwer	argintiu		N;INDF;MASC;SG
silwer	umplere	silwer	umplere		N;INDF;FEM;SG
behels	implică	behels	implica	V;PRS	V;IND;SG;3;PST;FIN
stille	liniste	stille	liniste	N;SG	
westerse	occidental	westers	occidental		ADJ;INDF;MASC;SG
westerse	vest	westers	vest		N;INDF;MASC;SG
westerse	western	westers	western		PROPN
belangstelling	dobânzi	belangstelling	dobândă	N;SG	N;INDF;FEM;PL
belangstelling	interese	belangstelling	interes	N;SG	N;INDF;FEM;PL
griekeland	akron	griekeland	akron	N;SG	PROPN
griekeland	alcoa	griekeland	alcoa	N;SG	PROPN
griekeland	grecia	griekeland	grecie	N;SG	PROPN
iran	iran	iran	iran		PROPN
iran	iranul	iran	iran		N;DEF;MASC;SG
vrugte	fructe	vrug	fruct	N;SG	N;INDF;FEM;PL
vrugte	fructele	vrug	fruct	N;SG	N;DEF;FEM;PL
gas	gaze	gas	gaz	N;SG	N;INDF;FEM;PL
gas	invitat	gas	invita	N;SG	ADJ;INDF;MASC;SG
stigter	creatorul	stigter	creator		N;DEF;MASC;SG
stigter	creator	stigter	creator		N;INDF;MASC;SG
verlede	trecut	verlede	trecut	N;SG	ADJ;INDF;MASC;SG
uiters	extrem	uiters	extrem	ADV	ADV;RL
uiters	extremă	uiters	extrem	ADV	ADJ;INDF;FEM;SG
uiters	extrem	uiters	extrem	ADV	ADV;RL
uiters	extrema	uiters	extrema	ADV	
uiters	extreme	uiters	extremă	ADV	
aangewys	desemnate	aanwys	desemna	V;PST;V.PTCP	ADJ;INDF;FEM;PL
aangewys	desemnată	aanwys	desemnat	V;PST;V.PTCP	ADJ;INDF;FEM;SG
aangewys	desemnat	aanwys	desemnat	V;PST;V.PTCP	ADJ;INDF;MASC;SG
gesluit	inchis	sluit	inchis	V;PST;V.PTCP	ADJ;INDF;MASC;SG
gesluit	închisă	sluit	închide	V;PST;V.PTCP	ADJ;INDF;FEM;SG
gesluit	închis	sluit	închis	V;PST;V.PTCP	ADJ;INDF;MASC;SG
eenvoudige	simplu	eenvoudig	simplu	ADJ;NOM	ADV
eenvoudige	simplă	eenvoudig	simplu	ADJ;NOM	ADJ;INDF;FEM;SG
gekoop	cumpărată	koop	cumpăra	V;PST;V.PTCP	ADJ;INDF;FEM;SG
gekoop	cumpărat	koop	cumpărat	V;PST;V.PTCP	ADJ;INDF;MASC;SG
gekoop	achiziționat	koop	achiziționa	V;PST;V.PTCP	ADJ;INDF;MASC;SG
portugese	portugheza	portugees	portugheza	ADJ;NOM	N;DEF;FEM;SG
portugese	portugheză	portugees	portugheză	ADJ;NOM	N;INDF;FEM;SG
royal	regal	royal	regal		ADJ;INDF;MASC;SG
royal	regală	royal	regal		ADJ;INDF;FEM;SG
royal	royal	royal	royal		N;INDF;MASC;SG
egiptiese	egipteană	egipties	egiptean		ADJ;INDF;FEM;SG
egiptiese	egiptean	egipties	egiptean		ADJ;INDF;MASC;SG
egiptiese	egiptene	egipties	egipten		ADJ;INDF;FEM;PL
publiseer	publică	publiseer	publica	V;PRS	V;IND;SG;3;PST;FIN
publiseer	publica	publiseer	publica	V;PRS	V;IND;SG;3;IPFV;FIN
uitgereik	eliberat	uitreik	elibera	V;PST;V.PTCP	ADJ;INDF;MASC;SG
uitgereik	emis	uitreik	emite	V;PST;V.PTCP	ADJ;INDF;MASC;SG
uitgereik	emisă	uitreik	emite	V;PST;V.PTCP	ADJ;INDF;FEM;SG
akademiese	academică	akademies	academic	ADJ;NOM	ADJ;INDF;FEM;SG
baan	urmări	baan	urmări	N;SG	
anglo	anglo	anglo	anglo		N;INDF;MASC;SG
anc	nan	anc	nan	PROPN;SG	
last	ultimele	last	ultim		NUM;DEF;FEM;PL
last	ultima	last	ultim		NUM;DEF;FEM;SG
last	ultimul	last	ultim		NUM;DEF;MASC;SG
last	last	last	last		N;INDF;MASC;SG
skilder	tablou	skilder	tablou		N;INDF;MASC;SG
skilder	vopsire	skilder	vopsire		N;INDF;FEM;SG
skilder	pictura	skilder	pictură		N;DEF;FEM;SG
skilder	pictură	skilder	pictură		N;INDF;FEM;SG
stedelike	urbană	stedelik	urban	ADJ;NOM	ADJ;INDF;FEM;SG
sondag	duminica	sondag	duminică		N;DEF;FEM;SG
sondag	duminică	sondag	duminică		N;INDF;FEM;SG
prix	prix	prix	prix		N;INDF;MASC;SG
geheel	întreg	geheel	întreg	ADV	ADJ;INDF;MASC;SG
geheel	intreg	geheel	intreg	ADV	
geheel	totalitatea	geheel	totalitate	ADV	N;DEF;FEM;SG
viii	viii	viii	viu		N;DEF;FEM;SG
ton	tone	ton	tonă	N;SG	N;INDF;FEM;PL
ton	tone	ton	tonă	N;SG	N;INDF;FEM;PL
nes	cuib	nes	cuib		N;INDF;MASC;SG
nes	cuibul	nes	cuib		N;DEF;MASC;SG
spaans	spaniola	spaans	spaniolă		N;DEF;FEM;SG
spaans	spanioli	spaans	spaniol		ADJ;INDF;MASC;PL
spaans	spaniolă	spaans	spaniolă		N;INDF;FEM;SG
spaans	spaniol	spaans	spaniol		ADJ;INDF;MASC;SG
joubert	joubert	joubert	joubert		N;INDF;MASC;SG
pierre	pierre	pierre	pierre		PROPN
aangekondig	declarată	aankondig	declarat	V;PST;V.PTCP	ADJ;INDF;FEM;SG
aangekondig	declarate	aankondig	declara	V;PST;V.PTCP	ADJ;INDF;FEM;PL
aangekondig	declarat	aankondig	declara	V;PST;V.PTCP	ADJ;INDF;MASC;SG
aangekondig	anunțat	aankondig	anunța	V;PST;V.PTCP	ADJ;INDF;MASC;SG
aangekondig	anuntat	aankondig	anunta	V;PST;V.PTCP	ADJ;INDF;MASC;SG
publiek	publice	publiek	public	N;SG	ADJ;INDF;FEM;PL
publiek	public	publiek	public	N;SG	ADJ;INDF;MASC;SG
publiek	publică	publiek	publica	N;SG	V;IND;SG;3;PST;FIN
turkye	turcia	turky	turcia		PROPN
turkye	curcan	turky	curcan		N;INDF;MASC;SG
golf	undei	golf	undei	N;SG	
natuurlik	cursul	natuurlik	curs		N;DEF;MASC;SG
natuurlik	curs	natuurlik	curs		N;INDF;MASC;SG
mooi	frumoase	mooi	frumos		ADJ;INDF;FEM;PL
mooi	frumoasă	mooi	frumos		ADJ;INDF;FEM;SG
mooi	frumos	mooi	frumos		ADJ;INDF;MASC;SG
mooi	frumoasa	mooi	frumos		ADJ;DEF;FEM;SG
mooi	frumusica	mooi	frumusica		ADJ;DEF;FEM;SG
geboorte	nastere	geboorte	nastere	N;SG	
oorleef	supraviețui	oorleef	supraviețui	V;PRS	
predikante	clerului	predikant	cler	N;PL	N;DEF;MASC;SG
direk	directa	direk	directa		ADJ;DEF;FEM;SG
direk	directe	direk	direct		ADJ;INDF;FEM;PL
direk	directă	direk	direct		ADJ;INDF;FEM;SG
direk	direct	direk	direct		ADV
verwant	legate	verwant	legat		ADJ;INDF;FEM;PL
gregorius	grigore	gregorius	grigore		PROPN
gregorius	gregory	gregorius	gregory		PROPN
ontdekking	descoperiri	ontdekking	descoperire	N;SG	N;INDF;FEM;PL
wilhelm	wilhelm	wilhelm	wilhelm		PROPN
soortgelyk	asemănătoare	soortgelyk	asemănător		ADJ;INDF;FEM
bietjie	mic	bietjie	mic	DET	ADJ;INDF;MASC;SG
bietjie	puțin	bietjie	puțin	DET	ADV
amsterdam	amsterdam	amsterdam	amsterda		PROPN
verwysings	referinte	verwysing	referint	N;PL	
siekte	boli	siekte	boală	N;SG	N;INDF;FEM;PL
afrikaner	afrikaner	afrikaner	afrikaner		N;INDF;MASC;SG
professionele	profesională	professioneel	profesional	ADJ;NOM	ADJ;INDF;FEM;SG
professionele	profesionistă	professioneel	profesionist	ADJ;NOM	ADJ;INDF;FEM;SG
mediese	medicală	medies	medical	ADJ;NOM	ADJ;INDF;FEM;SG
uitvoerende	executivă	uitvoer	executiv	ADJ;NOM	ADJ;INDF;FEM;SG
getrou	căsătorită	trou	căsătorit	ADV	ADJ;INDF;FEM;SG
getrou	măritată	trou	măritată	ADV	ADJ;INDF;FEM;SG
getrou	casatorit	trou	casatori	ADV	ADJ;INDF;MASC;SG
getrou	căsătorit	trou	căsători	ADV	ADJ;INDF;MASC;SG
kolonies	colonizarea	kolonies	colonizare	N;PL	N;DEF;FEM;SG
phil	phil	phil	phil		PROPN
teken	remiză	teken	remiză	V;PRS	N;INDF;FEM;SG
teken	semneaza	teken	semneaza	V;PRS	V;IND;SG;3;IPFV;FIN
teken	semn	teken	semn	V;PRS	N;INDF;MASC;SG
teken	semnul	teken	semn	V;PRS	N;DEF;MASC;SG
skaars	rari	skaars	rar	V;PRS	ADJ;INDF;MASC;PL
skaars	rar	skaars	rar	V;PRS	ADV
skaars	rară	skaars	rar	V;PRS	ADJ;INDF;FEM;SG
skaars	rare	skaars	rar	V;PRS	ADJ;INDF;FEM;PL
skaars	rara	skaars	rar	V;PRS	ADJ;DEF;FEM;SG
gedra	suportat	dra	suporta	V;PST;V.PTCP	ADJ;INDF;MASC;SG
gedra	suportate	dra	suporta	V;PST;V.PTCP	ADJ;INDF;FEM;PL
ierse	irlandezi	ierse	irlandez	DET;DEF	ADJ;INDF;MASC;PL
ierse	irish	ierse	irish	DET;DEF	N;INDF;MASC;SG
ierse	irlandez	ierse	irlandez	DET;DEF	ADJ;INDF;MASC;SG
ierse	irlandeză	ierse	irlandez	DET;DEF	ADJ;INDF;FEM;SG
suster	sora	suster	soră		N;DEF;FEM;SG
suster	soră	suster	soră		N;INDF;FEM;SG
andré	andré	andré	andré	N;SG	PROPN
myl	miles	myl	miles	N;SG	PROPN
myl	mile	myl	milă	N;SG	
myl	kilometri	myl	kilometru	N;SG	N;INDF;MASC;PL
myl	mile	myl	milă	N;SG	
tegnologie	tehnologie	tegnologie	tehnologie		N;INDF;FEM;SG
tegnologie	tehnologii	tegnologie	tehnologie		N;INDF;FEM;PL
tegnologie	tehnologia	tegnologie	tehnologie		N;DEF;FEM;SG
verby	dincolo	verby	dincolo	ADP	ADV
marais	marais	marais	marais		N;INDF;MASC;SG
christus	christos	christus	christos		PROPN
christus	hristos	christus	hristos		PROPN
christus	cristos	christus	cristos		PROPN
christus	hristoase	christus	hristos		N;INDF;FEM;PL
portugal	portugalia	portugal	portugalia		PROPN
afsonderlike	separă	afsonderlik	separa	ADJ;NOM	V;IND;SG;3;PST;FIN
afsonderlike	separată	afsonderlik	separa	ADJ;NOM	ADJ;INDF;FEM;SG
vliegtuig	avioane	vliegtuig	avion	N;SG	N;INDF;FEM;PL
vliegtuig	aeronave	vliegtuig	aeronavă	N;SG	N;INDF;FEM;PL
gauteng	gauteng	gauteng	gauteng		
gode	olimpieni	gode	olimpian	N;PL	ADJ;INDF;MASC;PL
frederik	frederik	frederik	frederik	N;SG	PROPN
genaamd	numit	genaamd	numit		ADJ;INDF;MASC;SG
vas	firma	vas	firmă	ADV	N;DEF;FEM;SG
vas	fermi	vas	ferm	ADV	ADJ;INDF;MASC;PL
vas	firmă	vas	firmă	ADV	N;INDF;FEM;SG
manlike	bărbat	manlik	bărbat	ADJ;NOM	N;INDF;MASC;SG
manlike	mascul	manlik	masc	ADJ;NOM	N;INDF;MASC;SG
manlike	barbat	manlik	barbat	ADJ;NOM	N;INDF;MASC;SG
toegeneem	crescută	toeneem	crescut	V;PST;V.PTCP	ADJ;INDF;FEM;SG
toegeneem	majorat	toeneem	majorat	V;PST;V.PTCP	ADJ;INDF;MASC;SG
mars	mars	mars	mars		N;INDF;MASC;SG
beaufort	beaufort	beaufort	beaufort	PROPN;SG	N;INDF;MASC;SG
privaat	privată	privaat	privat	ADJ;NOM	ADJ;INDF;FEM;SG
aktief	adjectiv	aktief	adjectiv	ADV	N;INDF;MASC;SG
aktief	active	aktief	activ	ADV	ADJ;INDF;FEM;PL
aktief	activi	aktief	activ	ADV	ADJ;INDF;MASC;PL
aktief	activ	aktief	activ	ADV	ADJ;INDF;MASC;SG
aktief	activă	aktief	activ	ADV	ADJ;INDF;FEM;SG
aktief	acuzativ	aktief	acuzativ	ADV	ADJ;INDF;MASC;SG
aktief	activitati	aktief	activitati	ADV	N;INDF;FEM;PL
aktief	activitățile	aktief	activitate	ADV	N;DEF;FEM;PL
aktief	activități	aktief	activitate	ADV	N;INDF;FEM;PL
abraham	avraam	abraham	avraam		PROPN
abraham	abraham	abraham	abraha		PROPN
spyte	ciuda	spyte	ciudă	N;PL	N;DEF;FEM;SG
spyte	ciudă	spyte	ciudă	N;PL	N;INDF;FEM;SG
benedictus	benedict	benedictus	benedict		N;INDF;MASC;SG
tegniese	tehnică	tegnies	tehnică	ADJ;NOM	N;INDF;FEM;SG
nag	noapte	nag	noapte	V;PRS	N;INDF;FEM;SG
nag	noaptea	nag	noaptea	V;PRS	ADV
hans	hans	hans	hans		PROPN
bedek	acoperită	bedek	acoperi	V;PRS	ADJ;INDF;FEM;SG
bedek	acoperite	bedek	acoperit	V;PRS	ADJ;INDF;FEM;PL
koue	frig	koud	frig	V;PRS	N;INDF;MASC;SG
koue	reci	koud	rece	V;PRS	ADJ;INDF;PL
koue	rece	koud	rece	V;PRS	ADV
via	via	via	via	ADP	
frank	frank	frank	frank	N;SG	PROPN
bespreek	cartii	bespreek	carte	V;PRS	N;DEF;FEM;SG
bespreek	cartea	bespreek	carte	V;PRS	N;DEF;FEM;SG
bespreek	carte	bespreek	carte	V;PRS	N;INDF;FEM;SG
bespreek	discută	bespreek	discuta	V;PRS	V;IND;SG;3;PST;FIN
bespreek	rezervă	bespreek	rezerva	V;PRS	V;IND;SG;3;PST;FIN
bespreek	rezerva	bespreek	rezervă	V;PRS	N;DEF;FEM;SG
ben	ben	ben	ben		PROPN
droë	usca	droog	usca	V;PRS	V;IND;SG;3;IPFV;FIN
droë	uscate	droog	uscat	V;PRS	ADJ;INDF;FEM;PL
droë	uscat	droog	uscat	V;PRS	ADJ;INDF;MASC;SG
droë	uscată	droog	uscat	V;PRS	ADJ;INDF;FEM;SG
bestudeer	studii	bestudeer	studiu	V;PRS	N;INDF;FEM;PL
bestudeer	studiul	bestudeer	studiu	V;PRS	N;DEF;MASC;SG
bestudeer	studiu	bestudeer	studiu	V;PRS	N;INDF;MASC;SG
beset	ocupat	beset	ocupa	V;PRS	ADJ;INDF;MASC;SG
beset	ocupate	beset	ocupat	V;PRS	ADJ;INDF;FEM;PL
beset	ocupată	beset	ocupa	V;PRS	ADJ;INDF;FEM;SG
twaalf	twelve	twaalf	twelve	NUM	PROPN
kommersiële	reclamă	kommersieel	reclama	ADJ;NOM	N;INDF;FEM;SG
kommersiële	comercială	kommersieel	comercial	ADJ;NOM	ADJ;INDF;FEM;SG
primêre	primară	primêr	primar	ADJ;NOM	ADJ;INDF;FEM;SG
primêre	primar	primêr	primar	ADJ;NOM	N;INDF;MASC;SG
jode	evreilor	jode	evreu	N;SG	N;DEF;MASC;PL
jode	evreii	jode	evreu	N;SG	N;DEF;MASC;PL
jode	evrei	jode	evreu	N;SG	N;INDF;MASC;PL
persiese	persană	persies	persană	ADJ;NOM	N;INDF;FEM;SG
helder	luminos	helder	luminos		ADJ;INDF;MASC;SG
helder	bright	helder	bright		N;INDF;MASC;SG
rio	rio	rio	ruo	PROPN;SG	N;INDF;MASC;SG
dam	dam	dam	da	N;SG	
toekoms	viitoare	toekoms	viitor	N;SG	ADJ;INDF;FEM
duisende	mii	duisende	mie	PRO	NUM;INDF;FEM;PL
duisende	miile	duisende	mie	PRO	NUM;DEF;FEM;PL
geslag	sexe	geslag	sexe	N;SG	
air	aer	air	aer		N;INDF;MASC;SG
air	aerul	air	aer		N;DEF;MASC;SG
air	air	air	air		N;INDF;MASC;SG
item	element	item	element		N;INDF;MASC;SG
volwasse	matură	volwasse	matur	ADJ;NOM	ADJ;INDF;FEM;SG
volwasse	mature	volwasse	matur	ADJ;NOM	N;INDF;FEM;PL
kies	selectare	kies	selectare	V;PRS	N;INDF;FEM;SG
duitsers	nemti	duitser	neată	N;PL	
korea	coreea	korea	corea	PROPN;SG	PROPN
benodig	nevoie	benodig	nevoie	V;PRS	N;INDF;FEM;SG
benodig	obligatoriu	benodig	obligatoriu	V;PRS	ADV
benodig	necesare	benodig	necesar	V;PRS	ADJ;INDF;FEM;PL
benodig	necesară	benodig	necesar	V;PRS	ADJ;INDF;FEM;SG
benodig	necesar	benodig	necesar	V;PRS	ADV
unesco	unesco	unesco	unesc	ADP	N;INDF;MASC;SG
united	unită	united	unit		ADJ;INDF;FEM;SG
united	united	united	united		N;INDF;MASC;SG
united	unite	united	unit		ADJ;INDF;FEM;PL
united	unit	united	unit		ADJ;INDF;MASC;SG
paulus	paul	paulus	paul		PROPN
paulus	pavel	paulus	pavel		PROPN
house	house	hous	hou	PROPN;SG	N;INDF;MASC;SG
house	casa	hous	casă	PROPN;SG	N;DEF;FEM;SG
house	casă	hous	casă	PROPN;SG	N;INDF;FEM;SG
geskiedkundige	istorică	geskiedkundig	istoric	ADJ;NOM	ADJ;INDF;FEM;SG
gunste	favoare	gun	favoare		N;INDF;FEM;SG
aktiwiteite	eveniment	aktiwiteit	eveniment	N;PL	N;INDF;MASC;SG
aktiwiteite	evenimentul	aktiwiteit	eveniment	N;PL	N;DEF;MASC;SG
konflik	conflicte	konflik	conflict	N;SG	N;INDF;FEM;PL
gemeenskaplike	comună	gemeenskaplik	comun	ADJ;NOM	ADJ;INDF;FEM;SG
gemeenskaplike	comuna	gemeenskaplik	comună	ADJ;NOM	N;DEF;FEM;SG
inkomste	venituri	inkomste	venit	N;SG	N;INDF;FEM;PL
inkomste	veniturile	inkomste	venit	N;SG	N;DEF;FEM;PL
inkomste	veniturile	inkomste	venit	N;SG	N;DEF;FEM;PL
inkomste	venituri	inkomste	venit	N;SG	N;INDF;FEM;PL
ligte	lumină	lig	lumină	ADJ;NOM	N;INDF;FEM;SG
ligte	light	lig	light	ADJ;NOM	
ligte	lumina	lig	lumină	ADJ;NOM	N;DEF;FEM;SG
ligte	ușoară	lig	ușor	ADJ;NOM	ADJ;INDF;FEM;SG
dirk	dirk	dirk	dirk	N;SG	PROPN
andries	andries	andries	andries		PROPN
mosambiek	mozambic	mosambiek	mozambic	PROPN;SG	N;INDF;MASC;SG
geskei	separat	skei	separat	V;PST;V.PTCP	ADJ;INDF;MASC;SG
geskei	separate	skei	separat	V;PST;V.PTCP	ADJ;INDF;FEM;PL
geskei	divorțat	skei	divorțat	V;PST;V.PTCP	ADJ;INDF;MASC;SG
geskei	divortat	skei	divorta	V;PST;V.PTCP	ADJ;INDF;MASC;SG
blomme	florile	blomm	floare	N;SG	N;DEF;FEM;PL
blomme	flori	blomm	floare	N;SG	N;INDF;FEM;PL
tuiste	trăind	tuiste	trăi	N;SG	V;V.MSDR
johann	johann	johann	johann		PROPN
