und	और	und	और	CONJ	
ziel	लक्ष्यों	ziel	लक्ष्य	N;NOM;NEUT;SG	N;ACC;MASC;PL;3
lediglich	सिर्फ	lediglich	सिर्फ	ADV	PART
lediglich	केवल	lediglich	केवल	ADV	PART
lediglich	तभी	lediglich	तभी	ADV	PRO;NOM
per	स्वादानुसार	per	स्वादानुसार	ADP	N;NOM;MASC;SG;3
per	प्रति	per	प्रति	ADP	
grüße	बधाई	grüß	बधाई	PROPN;NOM;SG	N;NOM;FEM;SG;3
grüße	सलाम	grüß	सलाम	PROPN;NOM;SG	
roman	रोमन	roman	रोमन	N;NOM;MASC;SG	
roman	अनोखा	roman	अनोखा	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
liga	liga	liga	liga	N;NOM;FEM;SG	
spiele	मिलान	spiel	मिलान	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
spiele	खेल	spiel	खेल	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
spiele	गेम्स	spiel	गेम्स	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
spiele	गेम	spiel	गेम	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
spiele	खेल	spiel	खेल	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
spiele	गेम	spiel	गेम	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
spiele	गेमिंग	spiel	गेमिंग	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
sachsen	saxe	sachsen	saxe	PROPN;NOM;NEUT;SG	
sachsen	सैक्सन	sachsen	सैक्सन	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG;3
sachsen	सैक्सोनी	sachsen	सैक्सोनी	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
sachsen	sachsen	sachsen	आुठुआ	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG;3
wolfgang	वुल्फगांग	wolfgang	वुल्फगांग	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
folgen	धारावाहिक	folgen	धारावाहिक	V;NFIN	N;NOM;MASC;SG;3
folgen	एपिसोड	folgen	एपिसोड	V;NFIN	N;NOM;MASC;SG;3
folgen	एपीसोड	folgen	एपीसोड	V;NFIN	N;NOM;MASC;SG;3
walter	वाल्टर	walter	वाल्टर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
amerikanische	अमेरिकन	amerikanisch	अमेरिकन	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
amerikanische	अमेरिकी	amerikanisch	अमेरिकी	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
leider	दुर्भाग्य	leider	दुर्भाग्य	ADV	CONJ
uhr	देखिये	uhr	देखिया	N;NOM;FEM;SG	V;IND;SG;3;FIN;ACT
uhr	देखना	uhr	देख	N;NOM;FEM;SG	V;MASC;NFIN;ACT
uhr	देखें	uhr	देख	N;NOM;FEM;SG	V;SBJV;PL;FIN;ACT
uhr	क्लॉक	uhr	क्लॉक	N;NOM;FEM;SG	
einzige	सिर्फ	einzig	सिर्फ	ADJ;NOM;FEM;PL	PART
einzige	केवल	einzig	केवल	ADJ;NOM;FEM;PL	PART
einzige	तभी	einzig	तभी	ADJ;NOM;FEM;PL	PRO;NOM
einzige	एकमात्र	einzig	एकमात्र	ADJ;NOM;FEM;PL	ADP
einzige	अकेला	einzig	अकेला	ADJ;NOM;FEM;PL	V;PFV;MASC;SG;V.PTCP;ACT
einzige	एकल	einzig	एकल	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
einzige	single	einzig	single	ADJ;NOM;FEM;PL	
einzige	सिंगल	einzig	सिंगल	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
liegen	झूट	liegen	झूट	V;NFIN	
liegen	झूठ	liegen	झूठ	V;NFIN	
liegen	तख्तों	liegen	तख्ता	V;NFIN	N;ACC;MASC;PL;3
benannt	नामित	benennen	नामित	V;V.PTCP	ADJ
geben	एंटर	geben	एंटर	V;NFIN	
meinung	राय	meinung	राय	N;NOM;FEM;SG	PROPN;NOM;SG;3
meinung	राय	meinung	राय	N;NOM;FEM;SG	PROPN;NOM;SG;3
kultur	संस्कृति	kultur	संस्कृति		N;NOM;FEM;SG;3
kultur	सभ्यता	kultur	सभ्यता		N;NOM;FEM;SG;3
alexander	अलेक्जेंडर	alexander	अलेक्जेंडर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
alexander	सिकंदर	alexander	सिकंदर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
hab	मिली	haben	मिल	V;IND;SG;3;PRS;FIN	V;PFV;FEM;SG;V.PTCP;ACT
hab	मिला	haben	मिल	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;V.PTCP;ACT
vorhanden	उपलब्धियाँ	vorhanden	उपलब्धि	ADJ	N;NOM;FEM;PL;3
vorhanden	मौजूदा	vorhanden	मौजूदा	ADJ	PROPN;NOM;MASC;SG;3
vorhanden	वर्तमान	vorhanden	वर्तमान	ADJ	N;NOM;MASC;SG;3
genutzt	शोषित	nutzen	शोषित	V;V.PTCP	PROPN;NOM;SG;3
projekt	परियोजना	projekt	परियोजना	V;FIN	N;NOM;FEM;SG;3
projekt	प्रोजेक्ट	projekt	प्रोजेक्ट	V;FIN	N;NOM;MASC;SG;3
maler	चित्रकार	maler	चित्रकार	ADJ	N;NOM;MASC;SG;3
maler	पेंटर	maler	पेंटर	ADJ	N;NOM;MASC;SG;3
maler	चित्रकार	maler	चित्रकार	ADJ	N;NOM;MASC;SG;3
maler	कलाकार	maler	कलाकार	ADJ	N;NOM;MASC;SG;3
paar	जोड़ी	paar	जोड़ी	ADV	V;PFV;FEM;SG;V.PTCP;ACT
paar	जोड़ा	paar	जोड़	ADV	V;PFV;MASC;SG;V.PTCP;ACT
paar	जोड़ी	paar	जोड़ी	ADV	V;PFV;FEM;SG;V.PTCP;ACT
paar	युगल	paar	युगल	ADV	PROPN;NOM;MASC;SG;3
max	अधिकतम	max	अधिकतम	PROPN;NOM;MASC;SG	ADJ
sommer	summer	sommer	summer	ADV	
sommer	ग्रीष्म	sommer	ग्रीष्म	ADV	
sommer	गर्मियों	sommer	गर्मी	ADV	N;ACC;FEM;PL;3
sommer	गर्मी	sommer	गर्मी	ADV	N;NOM;FEM;SG;3
sommer	गर्मियाँ	sommer	गर्मी	ADV	N;NOM;FEM;PL;3
runde	गोद	runde	गोद	ADV	N;NOM;FEM;SG;3
runde	दौर	runde	दौर	ADV	N;NOM;MASC;SG;3
runde	गोल	runde	गोल	ADV	N;NOM;MASC;SG;3
runde	राउंड	runde	राउंड	ADV	N;NOM;MASC;SG;3
runde	गोलाकार	runde	गोलाकार	ADV	N;NOM;MASC;SG;3
william	विलियम	william	विलियम	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
institut	इंस्टीट्यूट	instituen	इंस्टीट्यूट	ADJ	N;NOM;MASC;SG;3
institut	संस्थान	instituen	संस्थान	ADJ	N;NOM;MASC;PL;3
raum	कक्ष	raum	कक्ष	ADV	
raum	कमरा	raum	कमरा	ADV	V;PFV;MASC;SG;V.PTCP;ACT
raum	कमरे	raum	कमरा	ADV	N;NOM;MASC;SG;3
raum	रूम	raum	रूम	ADV	N;NOM;MASC;SG;3
raum	अंतरिक्ष	raum	अंतरिक्ष	ADV	N;NOM;MASC;SG;3
raum	समष्टि	raum	समष्टि	ADV	
raum	जगह	raum	जगह	ADV	N;NOM;FEM;SG;3
raum	स्पेस	raum	स्पेस	ADV	N;NOM;MASC;SG;3
armee	सेनाओं	arme	सेना	N;NOM;FEM;SG	N;ACC;FEM;PL;3
jean	जाँ	jean	जा	PROPN;NOM;MASC;SG	
jean	जां	jean	जा	PROPN;NOM;MASC;SG	V;SG;FIN;ACT
aufgenommen	दर्ज	aufnehmen	दर्ज	V;V.PTCP	ADJ
aufgenommen	अंकित	aufnehmen	अंकित	V;V.PTCP	ADJ
aufgenommen	शामिल	aufnehmen	शामिल	V;V.PTCP	ADJ
tun	tun	tun	tun	V;NFIN	PROPN;NOM;MASC;SG;3
gleichzeitig	समवर्ती	gleichzeitig	समवर्ती	ADJ	PROPN;NOM;MASC;SG;3
gleichzeitig	संयुक्त	gleichzeitig	संयुक्त	ADJ	PROPN;NOM;MASC;SG;3
gleichzeitig	भाषांतरण	gleichzeitig	भाषांतरण	ADJ	N;NOM;MASC;SG;3
gleichzeitig	समानांतर	gleichzeitig	समानांतर	ADJ	CONJ
strecke	ट्रेल	strecken	ट्रेल	N;SG	
ehemalige	पूर्व	ehemalig	पूर्व	ADJ;NOM;FEM;PL	ADV;NOM;MASC;SG;3
vereinigten	यूनाइटेड	vereinigen	यूनाइटेड	ADJ;PL	PROPN;NOM;MASC;SG;3
vereinigten	संयुक्त	vereinigen	संयुक्त	ADJ;PL	PROPN;NOM;MASC;SG;3
bevor	पहले	bevor	पहले	CONJ	ADV;NOM;MASC;SG;3
regel	शासन	regel	शासन	ADV	N;NOM;MASC;SG;3
regel	नियम	regel	नियम	ADV	N;NOM;MASC;SG;3
gefunden	mile	finden	mile	V;V.PTCP	
daten	आँकड़ा	daten	आँकडा	N;NOM;NEUT;PL	
daten	डाटा	daten	डाटा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
daten	डेटा	daten	डेटा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
daten	आंकड़ा	daten	आंकड़ा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
welches	जिससे	welch	जो	PRO;NOM;NEUT;SG	PRO;SG;3
erledigt	सम्पन्न	erledigen	संपन्न	V;V.PTCP	
erledigt	समाप्त	erledigen	समाप्त	V;V.PTCP	ADJ
erledigt	सम्पन्न	erledigen	संपन्न	V;V.PTCP	
wollte	चाही	wollen	चाह	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
dritten	तृतीय	dritt	तृतीय	ADJ;ACC;MASC;SG	PROPN;NOM;MASC;SG;3
dritten	तीसरा	dritt	तीसरा	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;SG
ehe	शादी	ehe	शादी		N;NOM;FEM;SG;3
ehe	मैरिज	ehe	मैरिज		PROPN;NOM;MASC;SG;3
ehe	विवाह	ehe	विवाह		N;NOM;MASC;SG;3
person	व्यक्ति	person	व्यक्ति		N;NOM;MASC;SG;3
mein	mein	mein	ओप	PRO;NOM;MASC;SG	
kloster	मठ	kloster	मठ	ADJ	N;NOM;MASC;SG;3
kloster	ऐबी	kloster	ऐबी	ADJ	
kloster	कान्वेंट	kloster	कान्वेंट	ADJ	N;NOM;FEM;SG;3
europäischen	यूरोपियाई	europäisch	यूरोपियाई	ADJ;NOM;SG	PROPN;NOM;SG;3
europäischen	यूरोपीय	europäisch	यूरोपीय	ADJ;NOM;SG	PROPN;NOM;SG;3
reich	फ्रेम	reich	फ्रेम	ADJ	N;NOM;MASC;SG;3
reich	साम्राज्य	reich	साम्राज्य	ADJ	N;NOM;MASC;SG;3
reich	रिच	reich	रिच	ADJ	PROPN;NOM;MASC;SG;3
reich	अमीर	reich	अमीर	ADJ	N;NOM;MASC;SG;3
reich	समृद्ध	reich	समृद्ध	ADJ	ADP
kamen	आया	kommen	आ	V;IND;PL;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kamen	आये	kommen	आ	V;IND;PL;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kamen	आए	kommen	आ	V;IND;PL;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
dich	आपको	du	आप		PRO;SG;2;FORM
dich	आप	du	आप		PRO;NOM;SG;2;FORM
dich	तुम	du	तुम		PRO;NOM;SG;3
schnell	त्वरित	schnell	त्वरित	ADJ	PROPN;NOM;SG;3
schnell	क्विक	schnell	क्विक	ADJ	
schnell	जल्दी	schnell	जल्दी	ADJ	ADV
schnell	swift	schnell	swift	ADJ	PROPN;NOM;MASC;SG;3
schnell	स्विफ्ट	schnell	स्विफ्ट	ADJ	PROPN;NOM;MASC;SG;3
schnell	तीव्र	schnell	तीव्र	ADJ	
schnell	फास्ट	schnell	फास्ट	ADJ	
schnell	फ़ास्ट	schnell	फाास्ट	ADJ	
schnell	तेज़	schnell	तेज़	ADJ	
schnell	जल्दी	schnell	जल्दी	ADJ	ADV
einzelnen	व्यक्ति	einzeln	व्यक्ति	ADJ	N;NOM;MASC;SG;3
teile	पार्ट्स	teilen	पार्ट्स	ADV	N;NOM;MASC;SG;3
teile	भाग	teilen	भाग	ADV	
teile	टुकड़ो	teilen	टुकडा	ADV	N;NOM;MASC;SG;3
teile	टुकड़े	teilen	टुकडा	ADV	V;PFV;MASC;PL;V.PTCP;ACT
überhaupt	सम	überhaupt	सम	ADV	
überhaupt	भी	überhaupt	भी	ADV	PART
josef	जोसफ	josef	जोसफ	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
josef	यूसुफ	josef	यूसुफ	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
josef	जोसेफ	josef	जोसेफ	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
google	गूगल	google	गूगल	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
google	google	google	google	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
besten	बेस्ट	gut	बेस्ट	ADJ	PROPN;NOM;MASC;SG;3
besten	सर्वश्रेष्ठ	gut	सर्वश्रेष्ठ	ADJ	PROPN;NOM;MASC;SG;3
republik	गणराज्य	republik	गणराज्य	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
italien	इटली	italien	इटली	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
italien	इटालिया	italien	इटालिया	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
fragen	प्रश्न	fragen	प्रश्न	V;NFIN	N;NOM;MASC;SG;3
fragen	सवाल	fragen	सवाल	V;NFIN	N;NOM;MASC;PL;3
fragen	प्रश्न	fragen	प्रश्न	V;NFIN	N;NOM;MASC;SG;3
fragen	सवाल	fragen	सवाल	V;NFIN	N;NOM;MASC;PL;3
hälfte	हाफ़	Hälfte	हाफ़	ADJ	N;NOM;MASC;SG;3
hälfte	आधा	Hälfte	आधा	ADJ	NUM
hälfte	आधी	Hälfte	आधा	ADJ	N;NOM;FEM;SG;3
hälfte	हाफ	Hälfte	हाफ	ADJ	
euro	यूरो	euro	यूरो	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
euro	यूरोपियन	euro	यूरोपियन	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
verbindung	कनेक्शन	verbindung	कनेक्शन	ADJ	N;NOM;MASC;SG;3
verbindung	लिंक	verbindung	लिंक	ADJ	N;NOM;MASC;SG;3
verbindung	जुड़ें	verbindung	जुड़	ADJ	V;SBJV;PL;FIN;ACT
verbindung	कनेक्ट	verbindung	कनेक्ट	ADJ	N;NOM;MASC;SG;3
verbindung	यौगिक	verbindung	यौगिक	ADJ	N;NOM;MASC;SG;3
nähe	निकट	nähe	निकट	N;NOM;FEM;SG	ADV;NOM;MASC;SG;3
nähe	बन्द	nähe	बंद	N;NOM;FEM;SG	
nähe	करीब	nähe	करीब	N;NOM;FEM;SG	PART
nähe	बंद	nähe	बंद	N;NOM;FEM;SG	ADJ
nähe	आसपास	nähe	आसपास	N;NOM;FEM;SG	ADV;NOM;MASC;SG;3
anders	ऐन्डर्स	anders	ऐन्डर	ADV	N;NOM;MASC;PL;3
vertrag	वचन	vertragen	वचन	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
vertrag	अनुबंध	vertragen	अनुबंध	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
vertrag	संविदा	vertragen	संविदा	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
vertrag	अनुबंध	vertragen	अनुबंध	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
vertrag	संधि	vertragen	संधि	V;IND;SG;3;PST;FIN	N;NOM;FEM;SG;3
vertrag	सन्धि	vertragen	सन्धि	V;IND;SG;3;PST;FIN	N;NOM;FEM;SG;3
sonst	वरना	sonst	वरना	ADV	
james	जेम्स	james	जेम्स	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
top	उपर	top	उपर	ADV	
top	टॉप	top	टॉप	ADV	
top	शीर्ष	top	शीर्ष	ADV	N;NOM;MASC;SG;3
bruder	भाई	bruder	भाई	ADJ	N;NOM;MASC;SG;3
bruder	भाई	bruder	भाई	ADJ	N;NOM;MASC;SG;3
bruder	bhai	bruder	bhai	ADJ	
künstler	कलाकार	künstler	कलाकार		N;NOM;MASC;SG;3
künstler	कलाकार	künstler	कलाकार		N;NOM;MASC;SG;3
künstler	कलाकारों	künstler	कलाकार		N;ACC;MASC;PL;3
england	इंग्लैंड	england	इंग्लैंड	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
england	इंग्लैण्ड	england	इंग्लैण्ड	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
dargestellt	चित्रित	darstellen	चित्रित	V;V.PTCP	ADJ
erfolg	सफलताएँ	erfolg	सफलता	ADJ	N;NOM;FEM;PL;3
erfolg	सफलताओं	erfolg	सफलता	ADJ	N;ACC;FEM;PL;3
erfolg	सफलता	erfolg	सफलता	ADJ	N;NOM;FEM;SG;3
erfolg	कामयाबी	erfolg	कामयाबी	ADJ	N;NOM;FEM;SG;3
politische	राजनैतिक	politisch	राजनैतिक	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
früher	जल्दी	früher	जल्दी	ADJ	ADV
früher	पहले	früher	पहले	ADJ	ADV;NOM;MASC;SG;3
wissen	ज्ञान	wissen	ज्ञान	V;NFIN	N;NOM;MASC;SG;3
wissen	जानिये	wissen	जानिया	V;NFIN	PROPN;NOM;MASC;SG;3
wissen	जानिए	wissen	जानिए	V;NFIN	PROPN;NOM;MASC;SG;3
wissen	जान	wissen	जान	V;NFIN	PROPN;NOM;MASC;SG;3
länge	लम्बाई	länge	लम्बाई	ADJ	N;NOM;FEM;SG;3
länge	लंबाई	länge	लंबाई	ADJ	N;NOM;FEM;SG;3
länge	देशांतर	länge	देशांतर	ADJ	N;NOM;MASC;SG;3
groß	बिग	groß	बिग	ADJ	
groß	ग्रेट	groß	ग्रेट	ADJ	
ganze	सम्पूर्ण	ganz	संपूर्ण	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
ganze	संपूर्ण	ganz	संपूर्ण	ADJ;NOM;FEM;PL	
ganze	पूरी	ganz	पूरा	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
ganze	पूरा	ganz	पूरा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
beiträge	योगदान	beitragen	योगदान	ADJ	N;NOM;MASC;SG;3
beiträge	सबमिशन	beitragen	सबमिशन	ADJ	N;NOM;MASC;SG;3
beiträge	पोस्ट	beitragen	पोस्ट	ADJ	N;NOM;FEM;SG;3
beiträge	लेख	beitragen	लेख	ADJ	N;NOM;MASC;SG;3
beiträge	आलेख	beitragen	आलेख	ADJ	N;NOM;MASC;SG;3
abschnitt	धारा	abschneiden	धारा	ADV	N;NOM;FEM;SG;3
abschnitt	खंड	abschneiden	खंड	ADV	N;NOM;MASC;SG;3
abschnitt	अनुभाग	abschneiden	अनुभाग	ADV	N;NOM;MASC;SG;3
abschnitt	खण्ड	abschneiden	खण्ड	ADV	N;NOM;MASC;SG;3
rechts	सही	rechts	सही	ADV	ADJ
trainer	trainer	Trainer	trainer	ADJ	
trainer	ट्रेनर	Trainer	ट्रेनर	ADJ	N;NOM;MASC;SG;3
trainer	प्रशिक्षक	Trainer	प्रशिक्षक	ADJ	N;NOM;MASC;SG;3
trainer	कोच	Trainer	कोच	ADJ	N;NOM;MASC;SG;3
trainer	कोच	Trainer	कोच	ADJ	N;NOM;MASC;SG;3
trainer	प्रशिक्षकों	Trainer	प्रशिक्षक	ADJ	N;ACC;MASC;PL;3
gerne	हैप्पी	gerne	हैप्पी	ADV	
gerne	मुबारक	gerne	मुबारक	ADV	PROPN;NOM;MASC;SG;3
gerne	खुश	gerne	खुश	ADV	ADJ
gerne	प्रसन्न	gerne	प्रसन्न	ADV	PROPN;NOM;MASC;SG;3
see	देख	see	देख		V;ACT
see	देखें	see	देख		V;SBJV;PL;FIN;ACT
see	देखिए	see	देखिया		V;SBJV;SG;FIN;ACT
see	झील	see	झील		N;NOM;FEM;SG;3
französische	फ़्रेंच	französisch	फ़्रेंच	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
französische	फ़्रांसीसी	französisch	फ़्रांसीसी	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
französische	फ्रेंच	französisch	फ्रेंच	ADJ;NOM;FEM;PL	
hohen	हाई	hoch	हाई	ADJ;PL	N;NOM
hohen	आलीशान	hoch	आलीशान	ADJ;PL	N;NOM;MASC;SG;3
hohen	उच्च	hoch	उच्च	ADJ;PL	
hohen	ऊँची	hoch	ऊँचा	ADJ;PL	ADJ;NOM;FEM;SG
südlich	दक्षिणी	südlich	दक्षिणी	ADJ	PROPN;NOM;MASC;SG;3
südlich	साउथ	südlich	साउथ	ADJ	PROPN;NOM;MASC;SG;3
südlich	दक्षिण	südlich	दक्षिण	ADJ	PROPN;NOM;MASC;SG;3
zeitschrift	दैनिकी	zeitschrefen	दैनिकी	ADJ	
zeitschrift	पत्रिका	zeitschrefen	पत्रिका	ADJ	N;NOM;FEM;SG;3
zeitschrift	जर्नल	zeitschrefen	जर्नल	ADJ	N;NOM;MASC;SG;3
zeitschrift	पत्रिका	zeitschrefen	पत्रिका	ADJ	N;NOM;FEM;SG;3
finde	ढूंढें	finden	ढूंढ	V;IND;SG;2;PRS;FIN	V;SBJV;PL;FIN;ACT
finde	ढूँढें	finden	ढूँढ	V;IND;SG;2;PRS;FIN	V;SBJV;PL;FIN;ACT
führen	लीड	führen	लीड	V;NFIN	
führen	सीसा	führen	सीसा	V;NFIN	N;NOM;MASC;SG;3
führen	सीसे	führen	सीसे	V;NFIN	N;NOM;MASC;SG;3
etc	आदि	etc	आदि		PART
etc	etc	etc	etc		
etc	इत्यादि	etc	इत्यादि		
etc	etcetera	etc	etcetera		N;NOM;MASC;SG;3
park	उद्यान	park	उद्यान	PROPN;NOM;SG	N;NOM;MASC;SG;3
park	पार्क	park	पार्क	PROPN;NOM;SG	N;NOM;MASC;SG;3
george	जॉर्ज	george	जॉर्ज	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
george	जार्ज	george	जार्ज	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
wappen	शस्त्र	wappen	शस्त्र		N;NOM;MASC;SG;3
wappen	बाहें	wappen	बाह		N;NOM;FEM;PL;3
zürich	ज़्यूरिख़	zürich	ज़्यूरिख़	PROPN;NOM;MASC;SG	
zürich	ज्यूरिख	zürich	ज्यूरिख	PROPN;NOM;MASC;SG	
landes	landes	land	landes	N;NOM;NEUT;PL	
bahn	ट्रेन	bahnen	ट्रेन		N;NOM;FEM;SG;3
bahn	रेलगाड़ी	bahnen	रेलगाड़ी		N;NOM;FEM;SG;3
bahn	रेलमार्ग	bahnen	रेलमार्ग		N;NOM;MASC;SG;3
bahn	रेलरोड	bahnen	रेलरोड		N;NOM;MASC;SG;3
bahn	रेलवे	bahnen	रेलवे		N;NOM;MASC;SG;3
bahn	रेल	bahnen	रेल		N;NOM;FEM;SG;3
mindestens	न्यूनतम	mindestens	न्यूनतम	ADV	PROPN;NOM;SG;3
award	अवार्ड	award	अवार्ड	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
award	पुरस्कार	award	पुरस्कार	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
zahl	क्रमांक	zahl	क्रमांक	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
internationale	अंतर्राष्ट्रीय	international	अंतर्राष्ट्रीय	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
internationale	अन्तर्राष्ट्रीय	international	अन्तर्राष्ट्रीय	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
internationale	अंतरराष्ट्रीय	international	अंतरराष्ट्रीय	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
internationale	internationale	international	internationale	ADJ;NOM;FEM;PL	V;IPFV;MASC;PL;V.PTCP;ACT
zusätzlich	अतिरिक्त	zusätzlich	अतिरिक्त	ADJ	N;NOM;MASC;SG;3
dresden	ड्रेसडेन	dresden	ड्रेसडेन	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG;3
homepage	होमपेज	homepage	होमपेज		N;NOM;MASC;SG;3
schreiben	लेटर	schreiben	लेटर	V;NFIN	N;NOM;MASC;SG;3
schreiben	पत्र	schreiben	पत्र	V;NFIN	N;NOM;MASC;SG;3
schreiben	अक्षर	schreiben	अक्षर	V;NFIN	N;NOM;MASC;SG;3
schreiben	लेखन	schreiben	लेखन	V;NFIN	
darstellung	प्रदर्शित	darstellung	प्रदर्शित	N;NOM;FEM;SG	ADJ
rudolf	रुडॉल्फ	rudolf	रुडॉल्फ	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
tatsächlich	बेशक	tatsächlich	बेशक	ADJ	CONJ
tatsächlich	दरअसल	tatsächlich	दरअसल	ADJ	ADV
firma	कड़	firma	कड़	N;NOM;FEM;SG	
nahe	करीब	nahe	करीब		PART
nahe	बंद	nahe	बंद		ADJ
nahe	निकट	nahe	निकट		ADV;NOM;MASC;SG;3
nahe	निकटवर्ती	nahe	निकटवर्ती		N;NOM;MASC;SG;3
nahe	आसपास	nahe	आसपास		ADV;NOM;MASC;SG;3
größten	महानतम	groß	महानतम	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
league	लीग	league	लीग	PROPN;SG	N;NOM;FEM;SG;3
tore	द्वारों	tor	द्वार	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
tore	गेट्स	tor	गेट्स	N;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
tore	लक्ष्यों	tor	लक्ष्य	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
tore	लक्ष्य	tor	लक्ष्य	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
politischen	राजनैतिक	politisch	राजनैतिक	ADJ;NOM;MASC;PL	N;NOM;MASC;SG;3
wahl	चुनाव	wahl	चुनाव		N;NOM;MASC;SG;3
wahl	पसंद	wahl	पसंद		N;NOM;FEM;SG;3
wahl	चुनाव	wahl	चुनाव		N;NOM;MASC;SG;3
darf	मई	dürfen	मई	V;IND;SG;3;PRS;FIN	PROPN;NOM;FEM;SG;3
darf	may	dürfen	may	V;IND;SG;3;PRS;FIN	
männer	पुरुष	männer	पुरुष	N;NOM;MASC;PL	N;NOM;MASC;SG;3
männer	पुरुषों	männer	पुरुष	N;NOM;MASC;PL	N;ACC;MASC;PL;3
männer	मर्द	männer	मर्द	N;NOM;MASC;PL	N;NOM;MASC;SG;3
männer	मेन	männer	मेन	N;NOM;MASC;PL	
männer	पुरुष	männer	पुरुष	N;NOM;MASC;PL	N;NOM;MASC;SG;3
männer	नर	männer	नर	N;NOM;MASC;PL	N;NOM;MASC;SG;3
männer	पुरूष	männer	पुरूष	N;NOM;MASC;PL	N;NOM;MASC;SG;3
männer	पुरुषों	männer	पुरुष	N;NOM;MASC;PL	N;ACC;MASC;PL;3
schauspielerin	अदाकारा	schauspielerin	अदाकारा	ADJ	N;NOM;FEM;SG;3
schauspielerin	अभिनेत्री	schauspielerin	अभिनेत्री	ADJ	N;NOM;FEM;SG;3
hannover	हनोवर	hannover	हनोवर	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
