van	from	van	from	ADP	N
nabijgelegen	cercana	nabijgelegen	cercano	ADV	ADJ;FEM;SG
helft	medio	helft	medio	N;MASC+FEM;SG	NUM;MASC;SG
karel	karel	karel	karel	N;MASC+FEM;SG	PROPN
bouw	construcciones	bouw	construcción	N;MASC+FEM;SG	N;FEM;PL
winnaar	ganadora	winnaar	ganador	N;MASC+FEM;SG	ADJ;FEM;SG
natuurlijk	naturalidad	natuurlijk	naturalidad	ADJ	N;FEM;SG
zwarte	black	zwart	black	ADJ	N
zwarte	negros	zwart	negro	ADJ	N;MASC;PL
grand	gran	grand	gran		ADJ;SG
grand	grand	grand	grand		N;MASC;SG
problemen	problemática	probleem	problemática	N;PL	N;FEM;SG
probleem	problemas	probleem	problema	N;NEUT;SG	N;MASC;PL
feit	hecho	feit	hecho	N;NEUT;SG	ADJ;MASC;SG;V.PTCP
bleek	pálido	blijken	pálido	V;SG;PST;FIN	ADJ;MASC;SG
bleek	pálida	blijken	pálido	V;SG;PST;FIN	ADJ;FEM;SG
bleek	lejía	blijken	lejer	V;SG;PST;FIN	N;FEM;SG
heer	señor	heer	señor	N;MASC+FEM;SG	INTJ
volgt	sigan	volgen	seguir	V;SG;PRS;FIN	V;SBJV;PL;3;PRS;FIN
volgt	follow	volgen	follow	V;SG;PRS;FIN	
verkocht	vendida	verkopen	vendido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
verkocht	vendido	verkopen	vender	V;V.PTCP	ADJ;MASC;SG;V.PTCP
verkocht	vendidos	verkopen	vendido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
verkocht	vendidas	verkopen	vendido	V;V.PTCP	ADJ;FEM;PL;V.PTCP
macht	poder	macht	poder	N;MASC+FEM;SG	V;NFIN
denk	piensen	denken	pensar	V;SG;PRS;FIN	V;IMP;PL;3;FIN
denk	think	denken	think	V;SG;PRS;FIN	N
ieder	cada	ieder	cada	PRO	DET;SG
ieder	cada	ieder	cada	PRO	DET;SG
ontdekt	descubierta	ontdekken	descubrir	V;V.PTCP	ADJ;FEM;SG;V.PTCP
ontdekt	descubiertas	ontdekken	descubierto	V;V.PTCP	ADJ;FEM;PL;V.PTCP
ontdekt	descubiertos	ontdekken	descubierto	V;V.PTCP	ADJ;MASC;PL;V.PTCP
ontdekt	detectadas	ontdekken	detectado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
ontdekt	detectada	ontdekken	detectado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
ontdekt	detectado	ontdekken	detectado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
ontdekt	detectados	ontdekken	detectado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
portaal	portales	portaal	portal	N;NEUT;SG	N;MASC;PL
richard	richard	richard	richard	N;MASC+FEM;SG	PROPN
wit	white	wit	white	ADJ	N
wit	blancos	wit	blanco	ADJ	N;MASC;PL
kant	kant	kant	kant	N;MASC+FEM;SG	PROPN
kant	encajes	kant	encaje	N;MASC+FEM;SG	N;MASC;PL
kant	side	kant	sedir	N;MASC+FEM;SG	
kant	costado	kant	costar	N;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
kant	laterales	kant	lateral	N;MASC+FEM;SG	N;PL
rome	roma	rome	roma	PROPN;NEUT;SG	N;SG
romeinse	roman	romeins	romar	ADJ	N
romeinse	romanos	romeins	romano	ADJ	N;MASC;PL
romeinse	román	romeins	román	ADJ	N;MASC;SG
universal	universal	universal	universal	N;MASC+FEM;SG	ADJ;SG
universal	universales	universal	universal	N;MASC+FEM;SG	ADJ;PL
huwelijk	matrimonios	huwelijk	matrimonio	N;NEUT;SG	N;MASC;PL
huwelijk	matrimonial	huwelijk	matrimonial	N;NEUT;SG	ADJ;SG
huwelijk	bodas	huwelijk	boda	N;NEUT;SG	N;FEM;PL
uitgevoerd	ejecutadas	uitvoeren	ejecutado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
uitgevoerd	ejecutada	uitvoeren	ejecutado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgevoerd	ejecutado	uitvoeren	ejecutado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgevoerd	ejecutados	uitvoeren	ejecutado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
uitgevoerd	implementada	uitvoeren	implementado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgevoerd	implementado	uitvoeren	implementar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgevoerd	exportado	uitvoeren	exportado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgevoerd	exportados	uitvoeren	exportado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
uitgevoerd	realizado	uitvoeren	realizado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
aanvankelijk	inicialmente	aanvankelijk	inicialmente	ADJ	ADV
bewerkingen	edita	bewerking	editar	N;PL	V;IND;SG;3;PRS;FIN
werkt	trabajos	werken	trabajo	V;SG;PRS;FIN	N;MASC;PL
werkt	obras	werken	obra	V;SG;PRS;FIN	N;FEM;PL
waarde	valorar	waarde	valorar	N;MASC+FEM;SG	V;NFIN
worm	gusanos	worm	gusano	N;MASC+FEM;SG	N;MASC;PL
zullen	will	zullen	will	V;PL;PRS;FIN	PROPN
zullen	voluntad	zullen	voluntad	V;PL;PRS;FIN	N;FEM;SG
zullen	testamento	zullen	testamento	V;PL;PRS;FIN	N;MASC;SG
brugge	brujas	brug	bruja	N;NEUT;SG	N;FEM;PL
love	amor	love	amor		N;MASC;SG
love	amores	love	amor		N;MASC;PL
love	love	love	love		N
love	amar	love	amar		V;NFIN
ondanks	apesar	ondanks	apesar	ADP	
beroep	apelaciones	beroep	apelación	N;NEUT;SG	N;FEM;PL
beroep	apelar	beroep	apelar	N;NEUT;SG	V;NFIN
beroep	atractivo	beroep	atractivo	N;NEUT;SG	ADJ;MASC;SG
poolse	polonia	pools	polonia	ADJ	PROPN
poolse	polacos	pools	polaco	ADJ	N;MASC;PL
poolse	polaco	pools	polaco	ADJ	N;MASC;SG
hans	hans	hans	haber	PROPN;MASC+FEM;SG	N;MASC;SG
belang	intereses	belang	interés	N;NEUT;SG	N;MASC;PL
koninklijke	royal	koninklijk	royal	ADJ	N;MASC;SG
geopend	inaugurado	openen	inaugurado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
stellen	pareja	stellen	pareja	V;NFIN	N;FEM;SG
stellen	parejas	stellen	pareja	V;NFIN	N;FEM;PL
viel	cayeron	vallen	caer	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
licht	ligera	licht	ligero	N;NEUT;SG	ADJ;FEM;SG
licht	ligero	licht	ligero	N;NEUT;SG	ADJ;MASC;SG
licht	luces	licht	luz	N;NEUT;SG	N;FEM;PL
onze	nuestra	ons	nuestro	PRO;1	DET;FEM;SG;1
onze	nuestras	ons	nuestro	PRO;1	DET;FEM;PL;1
onze	nuestros	ons	nuestro	PRO;1	DET;MASC;PL;1
onze	nuestro	ons	nuestro	PRO;1	DET;MASC;SG;1
onze	nuestra	ons	nuestro	PRO;1	DET;FEM;SG;1
onze	nuestro	ons	nuestro	PRO;1	DET;MASC;SG;1
contract	contractuales	contract	contractual	N;NEUT;SG	ADJ;PL
contract	contractual	contract	contractual	N;NEUT;SG	ADJ;SG
russisch	rusia	russisch	rusia	ADJ	N;FEM;SG
russisch	rusos	russisch	ruso	ADJ	N;MASC;PL
grens	fronterizo	grens	fronterizo	N;MASC+FEM;SG	ADJ;MASC;SG
grens	fronteriza	grens	fronterizo	N;MASC+FEM;SG	ADJ;FEM;SG
grens	fronteras	grens	frontera	N;MASC+FEM;SG	N;FEM;PL
grens	fronterizo	grens	fronterizo	N;MASC+FEM;SG	ADJ;MASC;SG
grens	fronteriza	grens	fronterizo	N;MASC+FEM;SG	ADJ;FEM;SG
kamer	cuarto	kamer	cuarto	N;MASC+FEM;SG	ADJ;MASC;SG
allemaal	todas	allemaal	todo	ADV	PRO;FEM;PL
allemaal	all	allemaal	all	ADV	N
allemaal	todo	allemaal	todo	ADV	PRO;MASC;SG
allemaal	todos	allemaal	todo	ADV	PRO;MASC;PL
june	june	june	june	N;MASC+FEM;SG	PROPN
joseph	josé	joseph	josé	N;MASC+FEM;SG	PROPN
wet	leyes	wet	ley	N;MASC+FEM;SG	N;FEM;PL
johannes	juan	johanne	juan	N;PL	PROPN
johannes	john	johanne	john	N;PL	PROPN
politiek	políticos	politiek	político	N;MASC+FEM;SG	N;MASC;PL
politiek	politicas	politiek	politico	N;MASC+FEM;SG	N;FEM;PL
politiek	políticas	politiek	política	N;MASC+FEM;SG	N;FEM;PL
politiek	políticamente	politiek	políticamente	N;MASC+FEM;SG	ADV
politiek	político	politiek	político	N;MASC+FEM;SG	ADJ;MASC;SG
lag	gal	liggen	gal	V;SG;PST;FIN	
lag	lag	liggen	lag	V;SG;PST;FIN	N;MASC
algemene	generalidades	algemeen	generalidad	ADJ	N;FEM;PL
algemene	generales	algemeen	general	ADJ	N;MASC;PL
algemene	general	algemeen	general	ADJ	N;SG
gebracht	traído	brengen	traer	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gebracht	traída	brengen	traído	V;V.PTCP	ADJ;FEM;SG;V.PTCP
begonnen	iniciada	beginnen	iniciado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
begonnen	iniciado	beginnen	iniciado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
begonnen	iniciado	beginnen	iniciado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
bedoeld	pretendido	bedoelen	pretender	V;V.PTCP	ADJ;MASC;SG;V.PTCP
rest	descansar	rest	descansar	N;MASC+FEM;SG	V;NFIN
rest	reposo	rest	reposo	N;MASC+FEM;SG	
rest	descansen	rest	descansar	N;MASC+FEM;SG	V;IMP;PL;3;FIN
kunst	artes	kunst	arte	N;MASC+FEM;SG	N;PL
strijd	batallas	strijd	batalla	N;MASC+FEM;SG	N;FEM;PL
strijd	luchas	strijd	lucha	N;MASC+FEM;SG	N;FEM;PL
strijd	luchar	strijd	luchar	N;MASC+FEM;SG	V;NFIN
wide	wide	wide	wide		N
wide	amplio	wide	amplio		ADJ;MASC;SG
wide	ancho	wide	ancho		N;MASC;SG
wide	amplia	wide	amplio		ADJ;FEM;SG
druk	prensa	druk	prensa	ADJ	N;FEM;SG
druk	presione	druk	presionar	ADJ	V;SBJV;SG;3;FIN
druk	prensas	druk	prensa	ADJ	N;FEM;PL
druk	presión	druk	presión	ADJ	N;FEM;SG
druk	presiones	druk	presión	ADJ	N;FEM;PL
druk	presion	druk	presionar	ADJ	N;FEM;SG
gevestigd	establecido	vestigen	establecido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gevestigd	establecidos	vestigen	establecido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
gevestigd	establecida	vestigen	establecido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
brits	británico	brits	británico	ADJ	N;MASC;SG
brits	británicos	brits	británico	ADJ	N;MASC;PL
zweden	suecia	zweden	suecia	PROPN;NEUT;SG	N;FEM;SG
alexander	alejandro	alexander	alejandro	N;MASC+FEM;SG	
beschouwd	considerada	beschouwen	considerado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
beschouwd	considerados	beschouwen	considerado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
beschouwd	consideradas	beschouwen	considerar	V;V.PTCP	ADJ;FEM;PL;V.PTCP
beschouwd	considerado	beschouwen	considerado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
europees	europeos	europees	europeo	ADJ	N;MASC;PL
ruimte	espaciales	ruimte	espacial	N;MASC+FEM;SG	ADJ;PL
ruimte	espacial	ruimte	espacial	N;MASC+FEM;SG	ADJ;SG
live	vivir	live	vivir	N;MASC+FEM;SG	V;NFIN
live	vive	live	vivir	N;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
reclame	anuncios	reclame	anuncio	N;MASC+FEM;SG	N;MASC;PL
verbonden	conectada	verbinden	conectado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
verbonden	conectados	verbinden	conectado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
verbonden	conectadas	verbinden	conectado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
verbonden	conectado	verbinden	conectado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
verbonden	afiliados	verbinden	afiliado	V;V.PTCP	N;MASC;PL
verbonden	afiliado	verbinden	afiliado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
verbonden	enlazados	verbinden	enlazado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
verbonden	vinculado	verbinden	vinculado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
verbonden	vinculados	verbinden	vinculado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
verbonden	vinculada	verbinden	vinculado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gevallen	caído	geval	caído	N;PL	ADJ;MASC;SG;V.PTCP
gevallen	caido	geval	caido	N;PL	ADJ;MASC;SG;V.PTCP
gevallen	caídos	geval	caído	N;PL	ADJ;MASC;PL;V.PTCP
straal	haz	straal	hacer	N;MASC+FEM;SG	V;IND;SG;2;PRS;FIN
straal	vigas	straal	viga	N;MASC+FEM;SG	N;FEM;PL
roman	romana	roman	romano	N;MASC+FEM;SG	ADJ;FEM;SG
roman	romanos	roman	romano	N;MASC+FEM;SG	N;MASC;PL
roman	romano	roman	romano	N;MASC+FEM;SG	ADJ;MASC;SG
ons	nuestra	ons	nuestro	PRO;ACC;1	DET;FEM;SG;1
ons	nuestras	ons	nuestro	PRO;ACC;1	DET;FEM;PL;1
ons	nuestros	ons	nuestro	PRO;ACC;1	DET;MASC;PL;1
ons	nuestro	ons	nuestro	PRO;ACC;1	DET;MASC;SG;1
regelmatig	regularmente	regelmatig	regularmente	ADJ	ADV
regelmatig	periódicamente	regelmatig	periódicamente	ADJ	ADV
regelmatig	frecuentemente	regelmatig	frecuentemente	ADJ	ADV
regelmatig	regular	regelmatig	regular	ADJ	V;NFIN
regelmatig	regularidad	regelmatig	regularidad	ADJ	N;FEM;SG
troepen	tropa	troep	tropa	N;PL	N;FEM;SG
troepen	tropa	troep	tropa	N;PL	N;FEM;SG
aarde	terrestre	aarde	terrestre	N;MASC+FEM;SG	ADJ;SG
besloot	decidido	besluiten	decidido	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
nhm	nhm	nhm	nhm	N;MASC+FEM;SG	
frank	franco	frank	franco	N;MASC+FEM;SG	
frank	francos	frank	franco	N;MASC+FEM;SG	N;MASC;PL
bezit	posesión	bezitten	posesión	V;SG;PRS;FIN	N;FEM;SG
bezit	tenencia	bezitten	tenencia	V;SG;PRS;FIN	N;FEM;SG
mens	hombres	mens	hombre	N;MASC+FEM;SG	N;MASC;PL
mens	mens	mens	mens	N;MASC+FEM;SG	PROPN
mens	humano	mens	humano	N;MASC+FEM;SG	ADJ;MASC;SG
mens	humanas	mens	humano	N;MASC+FEM;SG	ADJ;FEM;PL
mens	humana	mens	humano	N;MASC+FEM;SG	ADJ;FEM;SG
del	del	del	del	N;MASC+FEM;SG	ADP;MASC;SG
betrokken	implicado	betrekken	implicado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
betrokken	implicada	betrekken	implicar	V;V.PTCP	ADJ;FEM;SG;V.PTCP
betrokken	involucrado	betrekken	involucrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
betrokken	involucrada	betrekken	involucrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
betrokken	involucrados	betrekken	involucrado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
tropisch	trópico	tropisch	trópico	ADJ	N;MASC;SG
zanger	singer	zanger	singer	N;MASC+FEM;SG	PROPN
berg	montañas	berg	montaña	N;MASC+FEM;SG	N;FEM;PL
berg	berg	berg	berg	N;MASC+FEM;SG	PROPN
uitgegeven	emitidos	uitgeven	emitido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
uitgegeven	expedido	uitgeven	expedir	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgegeven	expedida	uitgeven	expedido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgegeven	emitido	uitgeven	emitido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgegeven	gastados	uitgeven	gastado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
uitgegeven	gastado	uitgeven	gastar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgegeven	publicados	uitgeven	publicado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
uitgegeven	publicadas	uitgeven	publicado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
uitgegeven	publicada	uitgeven	publicado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgegeven	publicado	uitgeven	publicado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
vroeger	anteriormente	vroeger	anteriormente	ADJ;CMPR	ADV
vroeger	previamente	vroeger	previamente	ADJ;CMPR	ADV
vroeger	anteriormente	vroeger	anteriormente	ADJ;CMPR	ADV
vroeger	antiguamente	vroeger	antiguamente	ADJ;CMPR	ADV
stemmen	voto	stem	voto	N;PL	N;MASC;SG
stemmen	votación	stem	votación	N;PL	N;FEM;SG
stemmen	votación	stem	votación	N;PL	N;FEM;SG
stemmen	votando	stem	votar	N;PL	V;V.MSDR
stemmen	votar	stem	votar	N;PL	V;NFIN
paus	pope	paus	pope	N;MASC+FEM;SG	PROPN
verenigd	united	verenigen	united	V;V.PTCP	N;SG
verenigd	unidos	verenigen	unido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
verenigd	unido	verenigen	unido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
verenigd	unida	verenigen	unido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
mogen	may	mogen	maber	V;PL;PRS;FIN	
mogen	mayo	mogen	mayo	V;PL;PRS;FIN	N
japanse	japonés	japans	japonés	ADJ	N;MASC;SG
japanse	japoneses	japans	japonés	ADJ	N;MASC;PL
kennis	conocido	kennis	conocido	N;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
kennis	conocidos	kennis	conocido	N;MASC+FEM;SG	ADJ;MASC;PL;V.PTCP
kennis	conocimientos	kennis	conocimiento	N;MASC+FEM;SG	N;MASC;PL
officieel	formalmente	officieel	formalmente	ADJ	ADV
officieel	funcionario	officieel	funcionario	ADJ	N;MASC;SG
officieel	official	officieel	official	ADJ	N
officieel	funcionaria	officieel	funcionaria	ADJ	N;FEM;SG
officieel	oficialmente	officieel	oficialmente	ADJ	ADV
vallen	caída	vallen	caída	V;NFIN	N;FEM;SG
vallen	caídas	vallen	caído	V;NFIN	ADJ;FEM;PL;V.PTCP
vallen	cascadas	vallen	cascado	V;NFIN	N;FEM;PL
vallen	falls	vallen	falls	V;NFIN	N;MASC;PL
vallen	cataratas	vallen	catarata	V;NFIN	N;FEM;PL
vallen	trampas	vallen	trampa	V;NFIN	N;FEM;PL
vallen	fall	vallen	fall	V;NFIN	PROPN
vallen	otoño	vallen	otoño	V;NFIN	N;MASC;SG
vallen	caída	vallen	caída	V;NFIN	N;FEM;SG
chinese	chinos	chinees	chino	ADJ	N;MASC;PL
chinese	chino	chinees	chino	ADJ	N;MASC;SG
tom	tomás	tom	tomás	N;MASC+FEM;SG	PROPN
tom	tom	tom	tom	N;MASC+FEM;SG	PROPN
vermeld	mencionado	vermelden	mencionado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
vermeld	mencionada	vermelden	mencionado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
vermeld	mencionados	vermelden	mencionado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
voordat	antes	voordat	antes	CONJ	ADV
vragen	preguntas	vraag	pregunta	V;NFIN	N;FEM;PL
vragen	interrogantes	vraag	interrogante	V;NFIN	N;PL
vragen	cuestiones	vraag	cuestión	V;NFIN	N;FEM;PL
com	com	com	com	N;MASC+FEM;SG	
datum	date	datum	date	N;MASC+FEM;SG	V;IND;SG;2;PRS;FIN
verkiezingen	elección	verkiezing	elección	N;PL	N;FEM;SG
verkiezingen	eleccion	verkiezing	eleccion	N;PL	N;FEM;SG
verkiezingen	electorales	verkiezing	electoral	N;PL	ADJ;PL
inhoud	contenidos	inhoud	contenido	N;MASC+FEM;SG	N;MASC;PL
inhoud	contenidos	inhoud	contenido	N;MASC+FEM;SG	N;MASC;PL
polen	polonia	polen	polonia	PROPN;NEUT;SG	PROPN
polen	postes	polen	poste	PROPN;NEUT;SG	N;MASC;PL
polen	polos	polen	polo	PROPN;NEUT;SG	N;MASC;PL
polen	polacos	polen	polaco	PROPN;NEUT;SG	N;MASC;PL
valign	valign	valign	valign	N;SG	
straat	calles	straat	calle	N;MASC+FEM;SG	N;FEM;PL
straat	calles	straat	calle	N;MASC+FEM;SG	N;FEM;PL
straat	estrecho	straat	estrecho	N;MASC+FEM;SG	ADJ;MASC;SG
uitgebreid	extensa	uitbreiden	extenso	V;V.PTCP	ADJ;FEM;SG
uitgebreid	extensos	uitbreiden	extenso	V;V.PTCP	ADJ;MASC;PL
uitgebreid	extenso	uitbreiden	extenso	V;V.PTCP	ADJ;MASC;SG
uitgebreid	extensivo	uitbreiden	extensivo	V;V.PTCP	ADJ;MASC;SG
uitgebreid	extensas	uitbreiden	extenso	V;V.PTCP	ADJ;FEM;PL
uitgebreid	ampliada	uitbreiden	ampliado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgebreid	extendidas	uitbreiden	extendido	V;V.PTCP	ADJ;FEM;PL;V.PTCP
uitgebreid	extendido	uitbreiden	extendido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgebreid	extendida	uitbreiden	extendido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgebreid	ampliado	uitbreiden	ampliar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgebreid	ampliada	uitbreiden	ampliado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgebreid	expandido	uitbreiden	expandido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgebreid	ampliado	uitbreiden	ampliar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
uitgebreid	ampliada	uitbreiden	ampliado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
uitgebreid	ampliados	uitbreiden	ampliado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
uitgebreid	ampliado	uitbreiden	ampliar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
australië	australia	australië	australia	PROPN;NEUT;SG	N;FEM;SG
pierre	pierre	pierre	perre	N;MASC+FEM;SG	PROPN
voldoende	baste	voldoende	bastar	ADJ	V;IND;SG;3;PRS;FIN
voldoende	bastan	voldoende	bastar	ADJ	V;IND;PL;3;PRS;FIN
series	serie	serie	serie	N;PL	N;FEM;SG
gesloten	cerrada	sluiten	cerrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gesloten	cerrado	sluiten	cerrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gesloten	bloqueado	sluiten	bloqueado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gesloten	cerrada	sluiten	cerrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gesloten	cerrado	sluiten	cerrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gesloten	cerrados	sluiten	cerrado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
trad	trad	treden	trad	V;SG;PST;FIN	N
gebruikte	utilizada	gebruiken	utilizado	V;SG;PST;FIN	ADJ;FEM;SG;V.PTCP
gebruikte	usada	gebruiken	usado	V;SG;PST;FIN	ADJ;FEM;SG;V.PTCP
gebruikte	usado	gebruiken	usado	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
gebruikte	utilizado	gebruiken	utilizado	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
gebruikte	utilizados	gebruiken	utilizado	V;SG;PST;FIN	ADJ;MASC;PL;V.PTCP
gebruikte	usados	gebruiken	usado	V;SG;PST;FIN	ADJ;MASC;PL;V.PTCP
publiek	publico	publiek	publico	N;NEUT;SG	ADJ;MASC;SG
publiek	publico	publiek	publico	N;NEUT;SG	ADJ;MASC;SG
publiek	públicas	publiek	público	N;NEUT;SG	ADJ;FEM;PL
publiek	públicos	publiek	público	N;NEUT;SG	ADJ;MASC;PL
internationaal	internacionalmente	internationaal	internacionalmente	ADJ	ADV
mark	mark	mark	mark	N;MASC+FEM;SG	PROPN
mark	marcar	mark	marcar	N;MASC+FEM;SG	V;NFIN
mark	marcos	mark	marco	N;MASC+FEM;SG	N;MASC;PL
model	modelos	model	modelo	N;NEUT;SG	N;MASC;PL
wijze	sabia	wijze	sabio	N;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
wijze	sabios	wijze	sabio	N;MASC+FEM;SG	N;MASC;PL
wijze	sabias	wijze	sabia	N;MASC+FEM;SG	ADJ;FEM;PL
smith	smith	smith	smith	N;MASC+FEM;SG	PROPN
stem	votaciones	stem	votación	N;MASC+FEM;SG	N;FEM;PL
dergelijke	tal	dergelijke	tal	ADJ	N
dergelijke	tales	dergelijke	tal	ADJ	PRO;PL
molen	mill	molen	mill	N;MASC+FEM;SG	
geschat	estimado	schatten	estimado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geschat	estimados	schatten	estimado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
geschat	estimación	schatten	estimación	V;V.PTCP	N;FEM;SG
geschat	estimada	schatten	estimar	V;V.PTCP	ADJ;FEM;SG;V.PTCP
mede	mead	mede	mead	ADV	N;SG
genaamd	nombrada	genaamd	nombrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
genaamd	nombrado	genaamd	nombrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
kans	oportunidades	kans	oportunidad	N;MASC+FEM;SG	N;FEM;PL
bijzonder	special	bijzonder	special	ADJ	N
black	negra	black	negro		ADJ;FEM;SG
black	black	black	black		N
black	negras	black	negro		ADJ;FEM;PL
black	negros	black	negro		N;MASC;PL
black	negro	black	negro		ADJ;MASC;SG
berlijn	berlin	berlijn	berlin	PROPN;NEUT;SG	N;MASC;SG
berlijn	berlín	berlijn	berlín	PROPN;NEUT;SG	N;MASC;SG
mexico	méjico	mexico	méjico	PROPN;NEUT;SG	N;MASC;SG
mexico	méxico	mexico	méxico	PROPN;NEUT;SG	N;MASC;SG
mexico	mexico	mexico	mexico	PROPN;NEUT;SG	
ploeg	arar	ploeg	arar	N;MASC+FEM;SG	V;NFIN
ploeg	arar	ploeg	arar	N;MASC+FEM;SG	V;NFIN
vaste	macizo	vast	macizo	ADJ	N;MASC;SG
hertog	ducado	hertog	ducado	N;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
hertog	duke	hertog	duke	N;MASC+FEM;SG	PROPN
ontwikkeld	desarrollados	ontwikkelen	desarrollado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
ontwikkeld	desarrollado	ontwikkelen	desarrollado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
ontwikkeld	desarrollada	ontwikkelen	desarrollado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
ontwikkeld	desarrolladas	ontwikkelen	desarrollado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
griekse	griego	grieks	griego	ADJ	N;MASC;SG
griekse	griegos	grieks	griego	ADJ	N;MASC;PL
houdt	amores	houden	amor	V;SG;PRS;FIN	N;MASC;PL
oranje	orange	oranje	orange	ADJ	N;SG
oranje	naranja	oranje	naranja	ADJ	N;FEM;SG
behalve	excepto	behalve	excepto	CONJ	ADP
behalve	salvo	behalve	salvo	CONJ	ADP
verzoek	solicitar	verzoek	solicitar	N;NEUT;SG	V;NFIN
