yang	יאנג	yang	אנג	PRO	PROPN
insting	אינסטינקטים	insting	אינסטינקט	N;SG	N;MASC;PL
insting	אינסטינקטים	insting	אינסטינקט	N;SG	N;MASC;PL
right	ימני	right	ימני	PROPN	ADJ;MASC;SG
right	ימין	right	ימין	PROPN	N;MASC;SG
right	צודק	right	צדק	PROPN	V;MASC;SG;V.PTCP;ACT
right	נכון	right	נכון	PROPN	ADJ;MASC;SG
profil	הפרופיל	profil	הפרופיל	N;SG	PROPN
profil	פרופילים	profil	פרופיל	N;SG	N;MASC;PL
system	המערכת	system	המערך	N	
terlibat	מעורבת	terlibat	מעורב	V;SG;PASS	ADJ;FEM;SG
terlibat	מעורב	terlibat	מעורב	V;SG;PASS	ADJ;MASC;SG
terlibat	לעסוק	terlibat	עסק	V;SG;PASS	V;NFIN;ACT
terlibat	הפעל	terlibat	הפעל	V;SG;PASS	PROPN
terlibat	מאורסים	terlibat	מאורס	V;SG;PASS	
terlibat	עוסק	terlibat	עסק	V;SG;PASS	V;MASC;SG;V.PTCP;ACT
pembagian	הדיוויזיה	penbagian	הדיוויזיה	N;SG	PROPN
pembagian	מחלקות	penbagian	מחלקה	N;SG	N;FEM;PL
tindakan	מעשים	tindakan	מעשה	N;SG	N;MASC;PL
tindakan	פעולות	tindakan	פעולה	N;SG	N;FEM;PL
sebab	סיבה	sebab	סיבה	CONJ;SG	N;FEM;SG
sebab	דודן	sebab	דודן	CONJ;SG	PROPN
sekretaris	מזכירות	sekretaris	מזכירות	N;SG	N;FEM;PL
sekretaris	המזכירה	sekretaris	המזכירה	N;SG	V;FEM;SG;3;PST;ACT
sekretaris	המזכיר	sekretaris	המזכיר	N;SG	PROPN
sekretaris	מזכירה	sekretaris	הזכיר	N;SG	V;FEM;SG;V.PTCP;ACT
state	מדינה	state	מדינה	PROPN	N;FEM;SG
state	המדינה	state	המדין	PROPN	V;FEM;SG;3;PST;ACT
biru	כחולה	biru	כחול	N;SG	ADV
biru	בלו	biru	בלו	N;SG	PROPN
biru	כחול	biru	כחול	N;SG	
kesultanan	סולטנות	kesultanan	סולטנות	PROPN	PROPN
gadis	בנות	gadis	בת	N;SG	N;FEM;PL
gadis	נערות	gadis	נערה	N;SG	N;FEM;PL
gadis	ילדות	gadis	ילד	N;SG	N;FEM;PL
fifa	מונדיאל	fifa	מונדיאל	N	PROPN
kecuali	אא	kecuali	אא	CONJ	
kecuali	מלבד	kecuali	מלבד	CONJ	
candi	מקדש	candi	מקדש	PROPN	PROPN
candi	המקדש	candi	המקדש	PROPN	PROPN
candi	מקדשים	candi	קידש	PROPN	V;MASC;PL;V.PTCP;ACT
olimpiade	אולימפי	olimpiade	אולימפי	N;SG	PROPN
olimpiade	האולימפי	olimpiade	האולימפי	N;SG	PROPN
olimpiade	האולימפיים	olimpiade	האולימפיים	N;SG	N;MASC;DU
pondok	בקתות	pondok	בקת	PROPN	N;FEM;PL
pondok	צריף	pondok	צריף	PROPN	N;MASC;SG
pondok	בקתה	pondok	בקתה	PROPN	PROPN
pondok	צריף	pondok	צריף	PROPN	N;MASC;SG
pondok	בקתת	pondok	בקתה	PROPN	N;PSSD;FEM;SG
pondok	אכסניה	pondok	אכסניה	PROPN	N;FEM;SG
pondok	לודג	pondok	לדג	PROPN	PROPN
pondok	בקתה	pondok	בקתה	PROPN	PROPN
pondok	ביתן	pondok	ביתן	PROPN	
penampilan	הופעות	pentampilan	הופעה	N;SG	N;FEM;PL
satuan	יחידות	satuan	יחידה	N;SG	N;FEM;PL
martin	מרטן	martin	מרטן	PROPN	PROPN
martin	מרטין	martin	מרטין	PROPN	PROPN
efek	השפעות	efek	השפעה	N;SG	N;FEM;PL
efek	אפקטים	efek	אפקט	N;SG	N;MASC;PL
calon	מועמדות	calon	הועמד	N;SG	
calon	מועמדים	calon	מועמד	N;SG	N;MASC;PL
calon	המועמד	calon	המועמד	N;SG	PROPN
upaya	ניסיונות	upaya	ניסיון	N;SG	N;MASC;PL
upaya	נסיונות	upaya	ניסיון	N;SG	N;MASC;PL
upaya	המאמצים	upaya	המאמץ	N;SG	PROPN
upaya	מאמצים	upaya	מאמץ	N;SG	N;MASC;PL
pembuatan	היצירה	penbuatan	היצירה	N;SG	ADV
ajaran	תורתו	ajaran	תורתו	N;SG	
uskup	בישופ	uskup	בישופ	N;SG	PROPN
uskup	בישוף	uskup	בישוף	N;SG	PROPN
uskup	בישופים	uskup	בישוף	N;SG	N;MASC;PL
harga	במחירים	harga	במחיר	N;SG	ADV
harga	המחירים	harga	המחיר	N;SG	N;MASC;PL
harga	מחירים	harga	מחיר	N;SG	N;MASC;PL
harga	המחיר	harga	המחיר	N;SG	V;MASC;SG;3;PST;ACT
harga	פרייס	harga	פרייס	N;SG	PROPN
trans	טראנס	trans	טראנס	PROPN	PROPN
trans	טראנס	trans	טראנס	PROPN	PROPN
trans	טרנס	trans	טרנס	PROPN	PROPN
kebutuhan	זקוקה	kebutuhan	זקוק	N;SG	ADJ;FEM;SG
kebutuhan	צריך	kebutuhan	צריך	N;SG	V;MASC;SG
kebutuhan	צריכה	kebutuhan	צריך	N;SG	ADJ;FEM;SG
kebutuhan	זקוק	kebutuhan	None	N;SG	ADJ;MASC;SG
kebutuhan	צרכי	kebutuhan	צורך	N;SG	
kebutuhan	הצרכים	kebutuhan	הצרכים	N;SG	N;MASC;PL
kebutuhan	הכרח	kebutuhan	הכרח	N;SG	
menyediakan	ספקי	mensediakan	ספק	V;SG;ACT	N;MASC;PL
menyediakan	מתן	mensediakan	מתן	V;SG;ACT	N;MASC;SG
remaja	נערים	remaja	נער	N;SG	N;MASC;PL
remaja	מתבגרים	remaja	התבגר	N;SG	V;MASC;PL;V.PTCP
remaja	מתבגר	remaja	התבגר	N;SG	V;MASC;SG;V.PTCP
remaja	מתבגרת	remaja	התבגר	N;SG	V;FEM;SG;V.PTCP
terminal	טרמינל	terminal	טרמינל	N	PROPN
terminal	סופני	terminal	סופני	N	ADJ;MASC;SG
terminal	מסוף	terminal	מסוף	N	
biaya	דמי	biaya	None	N;SG	N;PSSD;MASC;PL
biaya	חיובים	biaya	חיוב	N;SG	N;MASC;PL
biaya	אישומים	biaya	אישום	N;SG	N;MASC;PL
biaya	עלויות	biaya	עלות	N;SG	N;FEM;PL
biaya	העלות	biaya	העלה	N;SG	N;FEM;PL
biaya	עמלות	biaya	עמלה	N;SG	N;FEM;PL
kuning	צהוב	kuning	צהוב	N;SG	
kuning	צהובה	kuning	צהובה	N;SG	PROPN
artis	אומנים	artis	אמן	N;SG	N;MASC;PL
artis	אמנים	artis	אמן	N;SG	N;MASC;PL
artis	אמני	artis	אמן	N;SG	N;PSSD;MASC;PL
artis	אומן	artis	אומן	N;SG	
artis	אמנית	artis	אמני	N;SG	ADV
artis	אמן	artis	אמן	N;SG	
artis	האמן	artis	האמן	N;SG	
flag	דגלים	flag	דגל	PROPN	N;MASC;PL
flag	הדגלים	flag	הדגל	PROPN	N;MASC;PL
flag	דגל	flag	דגל	PROPN	N;MASC;SG
tahap	הבמה	tahap	הבמה	N;SG	
aktivitas	פעילויות	aktivitas	פעילות	PROPN;SG	N;FEM;PL
aktivitas	פעילות	aktivitas	פעילות	PROPN;SG	N;FEM;SG
thailand	תאילנד	thailand	תאילנד	PROPN	PROPN
thailand	תאילנדי	thailand	תאילנדי	PROPN	PROPN
game	המשחק	game	המשחק	N;SG	PROPN
game	משחקים	game	משחק	N;SG	N;MASC;PL
pertemuan	פגישות	pertemuan	פגישה	N;SG	N;FEM;PL
pertemuan	מפגשים	pertemuan	מפגש	N;SG	V;MASC;PL;V.PTCP;ACT
pertemuan	ישיבות	pertemuan	ישיבה	N;SG	N;FEM;PL
colspan	colspan	colspan	colspan	PROPN	PRO;MASC;SG;3
langit	סקיי	langit	סקיי	N;SG	PROPN
langit	שמים	langit	שמיים	N;SG	N;MASC;PL
langit	השמים	langit	השמים	N;SG	ADV
langit	שמים	langit	שמיים	N;SG	N;MASC;PL
indah	יפה	indah	יפה	ADJ;SG	
indah	יפים	indah	יפה	ADJ;SG	ADJ;MASC;PL
indah	יפות	indah	יפה	ADJ;SG	ADJ;FEM;PL
indah	מקסים	indah	מקסים	ADJ;SG	PROPN
indah	מקסימה	indah	מקסים	ADJ;SG	V;FEM;SG;V.PTCP;ACT
indah	נפלאים	indah	נפלא	ADJ;SG	N;MASC;PL
indah	לתפארת	indah	לתפארת	ADJ;SG	ADV
mencakup	כיסויי	mencakup	כיסוי	V;SG;ACT	N;PSSD;MASC;PL
dingin	קולד	dingin	קולד	PROPN;SG	PROPN
dingin	קרים	dingin	קרים	PROPN;SG	PROPN
dingin	קור	dingin	קור	PROPN;SG	
dingin	קר	dingin	קר	PROPN;SG	
north	צפונה	north	צפון	PROPN	ADV
north	הצפון	north	הצפון	PROPN	PROPN
north	צפון	north	צפון	PROPN	N;MASC;SG
dibawah	למטה	dibawah	למטה	ADP;SG;PASS	
dibawah	בהמשך	dibawah	בהמשך	ADP;SG;PASS	
dibawah	להלן	dibawah	להלן	ADP;SG;PASS	ADV
code	קוד	code	קוד	PROPN	
code	צופן	code	צפן	PROPN	N;MASC;SG
perwakilan	לייצוג	perwakilan	לייצוג	N;SG	V;NFIN;ACT
perwakilan	הנציג	perwakilan	הנציג	N;SG	PROPN
perwakilan	נציגים	perwakilan	נציג	N;SG	N;MASC;PL
perwakilan	נציגי	perwakilan	נציג	N;SG	N;PSSD;MASC;PL
academy	אקדמיה	academy	אקדמיה	PROPN	PROPN
site	אתר	site	אתר	PROPN	N;MASC;SG
google	גוגל	google	גוגל	PROPN	PROPN
google	google	google	google	PROPN	
dilihat	נראתה	dilihat	נראה	V;SG;PASS	V;FEM;SG;3;PST;MID
dilihat	נצפה	dilihat	צפה	V;SG;PASS	V;PL;1;PST
dilihat	נצפו	dilihat	נצפה	V;SG;PASS	V;PL;3;PST
dilihat	צפו	dilihat	צפה	V;SG;PASS	PROPN
dilihat	תצוגות	dilihat	תצוגה	V;SG;PASS	N;FEM;PL
dilihat	צפיות	dilihat	צפית	V;SG;PASS	N;FEM;PL
percaya	מאמינים	percaya	האמין	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
percaya	תאמין	percaya	האמין	V;SG;ACT	ADV
percaya	אמון	percaya	אמון	V;SG;ACT	N;MASC;SG
lengkap	השלם	lengkap	השלם	ADJ;SG	
lengkap	הושלם	lengkap	הושלם	ADJ;SG	V;MASC;SG;3;PST;PASS
meski	למרות	meski	למרות	CONJ	ADP
sarana	אמצעים	sarana	אמצעי	N;SG	N;MASC;PL
volume	נפח	volume	נפח	N;SG	
volume	כרך	volume	כרך	N;SG	
volume	כרכים	volume	כרך	N;SG	N;MASC;PL
tari	תרקוד	tari	תרקוד	N;SG	V;MASC;SG;2;FUT;ACT
tari	לרקוד	tari	רקד	N;SG	V;NFIN;ACT
tari	דאנס	tari	דאנס	N;SG	PROPN
tari	מחול	tari	מחול	N;SG	PROPN
bukti	ראיות	bukti	ראייה	N;SG	N;FEM;PL
adipati	דוכס	adipati	דוכס	N	PROPN
www	www	www	www	PROPN	PROPN
king	המלך	king	המלך	PROPN	
king	קינג	king	קינג	PROPN	PROPN
king	מלך	king	מלך	PROPN	N;MASC;SG
sunda	סונדה	sunda	סונדה	PROPN	PROPN
office	המשרד	office	המשרד	PROPN	PROPN
office	משרד	office	משרד	PROPN	N;MASC;SG
diterima	שהתקבלו	diterima	שהתקבל	V;SG;PASS	V;PL;3;PST
diterima	קיבל	diterima	קיבל	V;SG;PASS	V;MASC;SG;3;PST;ACT
diterima	התקבלו	diterima	התקבל	V;SG;PASS	V;PL;3;PST
diterima	מקובלים	diterima	מקובל	V;SG;PASS	N;MASC;PL
diterima	מקובל	diterima	מקובל	V;SG;PASS	ADJ;MASC;SG
diterima	מקובלת	diterima	מקובל	V;SG;PASS	ADJ;FEM;SG
diterima	קיבל	diterima	קיבל	V;SG;PASS	V;MASC;SG;3;PST;ACT
diterima	שהתקבלו	diterima	שהתקבל	V;SG;PASS	V;PL;3;PST
diterima	מקובלת	diterima	מקובל	V;SG;PASS	ADJ;FEM;SG
diterima	מקובל	diterima	מקובל	V;SG;PASS	ADJ;MASC;SG
ibrani	עברית	ibrani	עברית	N	PROPN
ibrani	בעברית	ibrani	בעברית	N	
turun	מטה	turun	מטה	V;SG;ACT	N;MASC;SG
turun	למטה	turun	למטה	V;SG;ACT	
turun	דאון	turun	דאון	V;SG;ACT	PROPN
kompleks	מורכבים	kompleks	מורכב	N;SG	V;MASC;PL;V.PTCP;PASS
kompleks	מורכב	kompleks	מורכב	N;SG	V;MASC;SG;V.PTCP;PASS
kompleks	מורכבת	kompleks	הורכב	N;SG	V;FEM;SG;V.PTCP;PASS
kompleks	מתחם	kompleks	מתחם	N;SG	PROPN
kompleks	תסביך	kompleks	תסביך	N;SG	PROPN
hujan	גשם	hujan	גשם	N;SG	
makam	קברים	makam	קבר	N;SG	N;MASC;PL
makam	קבר	makam	קבר	N;SG	PROPN
makam	קבר	makam	קבר	N;SG	PROPN
makam	המאוזוליאום	makam	המאוזוליאום	N;SG	PROPN
ketinggian	הייטס	ketinggian	הייטס	N;SG	PROPN
ketinggian	גבהים	ketinggian	גבה	N;SG	N;MASC;PL
kejuaraan	אליפויות	kejuaraan	אליפות	N;SG	N;FEM;PL
profesional	מקצוענים	profesional	מקצוענים	ADJ;SG	N;MASC;PL
profesional	מקצועיות	profesional	מקצועיות	ADJ;SG	N;FEM;PL
profesional	מקצוען	profesional	מקצוען	ADJ;SG	PROPN
profesional	מקצועית	profesional	מקצועי	ADJ;SG	ADV
pembentukan	תצורה	penbentukan	תצורה	N;SG	PROPN
pembentukan	מערך	penbentukan	מערך	N;SG	PROPN
mengumumkan	הוכרזה	menumumkan	הוכרז	V;SG;ACT	V;FEM;SG;3;PST;PASS
mengumumkan	הוכרז	menumumkan	הוכרז	V;SG;ACT	V;MASC;SG;3;PST;PASS
dipilih	נבחר	dipilih	נבחר	V;SG;PASS	V;MASC;SG;3;PST;MID
dipilih	נבחרים	dipilih	נבחר	V;SG;PASS	N;MASC;PL
dipilih	הנבחר	dipilih	הנבחר	V;SG;PASS	PROPN
dipilih	נבחרו	dipilih	נבחר	V;SG;PASS	V;PL;3;PST;MID
dipilih	נבחר	dipilih	נבחר	V;SG;PASS	V;MASC;SG;3;PST;MID
dipilih	נבחרים	dipilih	נבחר	V;SG;PASS	N;MASC;PL
dipilih	שנבחר	dipilih	שנבחר	V;SG;PASS	PROPN
dipilih	נבחרו	dipilih	נבחר	V;SG;PASS	V;PL;3;PST;MID
dipilih	נבחרה	dipilih	נבחר	V;SG;PASS	V;FEM;SG;3;PST;MID
konser	קונצרט	konser	קונצרט	N;SG	PROPN
konser	קונצרטים	konser	קונצרט	N;SG	N;MASC;PL
konser	הופעות	konser	הופעה	N;SG	N;FEM;PL
sayap	כנף	sayap	כנף	N;SG	
sayap	כנפי	sayap	כנפי	N;SG	
size	מידה	size	מידה	PROPN	N;FEM;SG
size	גודל	size	גודל	PROPN	N;MASC;SG
suka	אהבו	suka	אהב	V;SG	V;PL;3;PST;ACT
suka	לייקים	suka	לייק	V;SG	PROPN
suka	כמו	suka	כמו	V;SG	ADP
suka	כאילו	suka	כאילו	V;SG	CONJ
channel	ערוץ	channel	ערוץ	N	
parlemen	הפרלמנט	parlemen	הפרלמנט	N;SG	PROPN
penonton	מציג	pentonton	הציג	N;SG	V;MASC;SG;V.PTCP;ACT
penonton	צופה	pentonton	צפה	N;SG	V;MASC;SG;V.PTCP;ACT
penonton	הצופה	pentonton	הצופה	N;SG	
penonton	הקהל	pentonton	הקהל	N;SG	PROPN
penonton	הצופים	pentonton	הצוף	N;SG	N;MASC;PL
penonton	צופים	pentonton	צופה	N;SG	N;MASC;PL
pejabat	פקידים	pejabat	פקיד	N;SG	N;MASC;PL
pejabat	פקידי	pejabat	פקיד	N;SG	N;MASC;PL
pejabat	קצינים	pejabat	קצין	N;SG	N;MASC;PL
pejabat	שוטרים	pejabat	שוטר	N;SG	N;MASC;PL
tema	נושאים	tema	נושא	N;SG	N;MASC;PL
berhubungan	קשורות	berhubungan	קשר	V;SG;ACT	V;FEM;PL;V.PTCP;ACT
berhubungan	קשורים	berhubungan	קשר	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
show	הראה	show	הראה	PROPN	V;MASC;SG;3;PST;ACT
show	הצגה	show	הצגה	PROPN	N;FEM;SG
show	הצג	show	הצג	PROPN	
setuju	מוסכם	setuju	מוסכם	V;SG;ACT	V;MASC;SG;V.PTCP;PASS
setuju	מסכימים	setuju	הסכים	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
komandan	קומנדר	komandan	קומנדר	N;SG	PROPN
bgcolor	bgcolor	bgcolor	bgcolor	N	PRO;MASC;SG;3
pemuda	הנעורים	pemuda	הנעור	N;SG	N;MASC;PL
pemuda	נעורים	pemuda	נעורים	N;SG	N;MASC;PL
pemuda	הנוער	pemuda	הנוער	N;SG	
pemuda	נערים	pemuda	נער	N;SG	N;MASC;PL
pemuda	בחורים	pemuda	בחור	N;SG	N;MASC;PL
golongan	פלג	golongan	פלג	N;SG	
golongan	הסיעה	golongan	הסיע	N;SG	V;FEM;SG;3;PST;ACT
miliar	מיליארד	miliar	מיליארד	N	NUM;MASC;SG
miliar	מיליארדים	miliar	מיליארדים	N	NUM;MASC;PL
diikuti	עוקב	diikuti	עקב	V;SG;PASS	V;MASC;SG;V.PTCP;ACT
diikuti	עקבתי	diikuti	עקבתי	V;SG;PASS	V;SG;1;PST;ACT
diikuti	ואחריו	diikuti	ואחריו	V;SG;PASS	
lulus	חלף	lulus	חלף	V;SG	PROPN
lulus	עבר	lulus	עבר	V;SG	N;MASC;SG
lulus	מסירה	lulus	מסירה	V;SG	N;FEM;SG
pernikahan	חתונות	pernikahan	חתונה	N;SG	N;FEM;PL
pernikahan	החתונות	pernikahan	החתונה	N;SG	
pernikahan	נישואים	pernikahan	נישואין	N;SG	N;MASC;PL
pernikahan	נישואין	pernikahan	נישואין	N;SG	N;MASC;PL
pernikahan	החתונה	pernikahan	החתונה	N;SG	ADV
company	החברה	company	החברה	PROPN	N;FEM;SG
company	חברה	company	חברה	PROPN	N;FEM;SG
company	פלוגה	company	פלוגה	PROPN	N;FEM;SG
memasuki	נכנס	menmasuki	נכנס	V;SG;ACT	V;MASC;SG;V.PTCP;MID
memasuki	נכנסים	menmasuki	נכנס	V;SG;ACT	V;MASC;PL;V.PTCP;MID
melayani	מרצה	menlayani	הרצה	V;SG;ACT	N;MASC;SG
melayani	הגשה	menlayani	הגשה	V;SG;ACT	N;FEM;SG
melayani	הגשה	menlayani	הגשה	V;SG;ACT	N;FEM;SG
melayani	משרת	menlayani	משרה	V;SG;ACT	N;FEM;SG
terbatas	מוגבלות	terbatas	מוגבל	V;SG	N;FEM;SG
terbatas	מוגבלות	terbatas	מוגבל	V;SG	N;FEM;SG
demi	דמי	demi	None	ADP	N;PSSD;MASC;PL
young	צעירה	young	צעיר	PROPN	N;FEM;SG
young	צעירות	young	צעיר	PROPN	N;FEM;PL
young	צעירים	young	צעיר	PROPN	N;MASC;PL
young	יאנג	young	אנג	PROPN	PROPN
young	צעיר	young	צעיר	PROPN	N;MASC;SG
berkaitan	קשורות	berkaitan	קשר	V;SG;ACT	V;FEM;PL;V.PTCP;ACT
berkaitan	קשורים	berkaitan	קשר	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
pemeran	הגבס	penperan	הגבס	N;SG	PROPN
turnamen	הטורניר	turnamen	הטורניר	N;SG	PROPN
turnamen	טורנירים	turnamen	טורניר	N;SG	N;MASC;PL
hindu	הינדו	hindu	הינדו	PROPN	PROPN
hindu	הינדים	hindu	None	PROPN	N
hindu	הינדואיזם	hindu	הינדואיזם	PROPN	PROPN
dokter	רופאה	dokter	רופא	N;SG	PROPN
dokter	רופאים	dokter	רופא	N;SG	N;MASC;PL
dokter	דוקטור	dokter	None	N;SG	PROPN
swedia	שוודי	swedia	שוודי	PROPN;SG	PROPN
swedia	שוודיה	swedia	שוודיה	PROPN;SG	PROPN
swedia	שבדיה	swedia	שבדיה	PROPN;SG	PROPN
menyelesaikan	מסיימים	menselesaikan	סיים	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
kuil	מקדש	kuil	מקדש	N;SG	PROPN
kuil	המקדש	kuil	המקדש	N;SG	PROPN
kuil	מקדשים	kuil	קידש	N;SG	V;MASC;PL;V.PTCP;ACT
kudus	קדושה	kudus	קדוש	PROPN;SG	PROPN
kudus	קודש	kudus	קודש	PROPN;SG	
kudus	קדוש	kudus	קדוש	PROPN;SG	
kudus	קדושים	kudus	קדוש	PROPN;SG	N;MASC;PL
produser	מפיקים	produser	הפיק	N;SG	V;MASC;PL;V.PTCP;ACT
produser	המפיקים	produser	המפיק	N;SG	N;MASC;PL
produser	מפיקה	produser	הפיק	N;SG	V;FEM;SG;V.PTCP;ACT
house	הבית	house	הבית	PROPN	ADV
house	האוס	house	האוס	PROPN	PROPN
house	בית	house	בית	PROPN	N;MASC;SG
league	הליגה	league	הליגה	PROPN	
league	ליגה	league	ליגה	PROPN	N;FEM;SG
day	יום	day	יום	PROPN	N;MASC;SG
day	day	day	day	PROPN	
obat	סמים	obat	סם	N;SG	N;MASC;PL
obat	תרופות	obat	תרופה	N;SG	N;FEM;PL
obat	סמים	obat	סם	N;SG	N;MASC;PL
kristus	ישו	kristus	ישו	PROPN;SG	
kristus	המשיח	kristus	המשיח	PROPN;SG	V;MASC;SG;3;PST;ACT
sederhana	פשוטות	sederhana	פשוט	ADJ;SG	ADJ;FEM;PL
sederhana	פשוט	sederhana	פשוט	ADJ;SG	
sederhana	פשוטים	sederhana	פשוט	ADJ;SG	ADJ;MASC;PL
beroperasi	הפעלה	beroperasi	הפעלה	V;SG;ACT	N;FEM;SG
hulu	hulu	hulu	hulu	PROPN;SG	
dukungan	תומך	dukungan	תמך	N;SG	V;MASC;SG;V.PTCP;ACT
dukungan	התמיכה	dukungan	התמיך	N;SG	V;FEM;SG;3;PST;ACT
dukungan	חסויות	dukungan	חסות	N;SG	N;FEM;PL
teater	תיאטרלי	teater	תיאטרלי	N	ADJ;MASC;SG
referensi	המלצות	referensi	המלצה	N;SG	N;FEM;PL
referensi	הפניות	referensi	הפניה	N;SG	N;FEM;PL
metro	מטרו	metro	מטרה	PROPN	PROPN
menjelaskan	הסבר	menjelaskan	הסבר	V;SG;ACT	N;MASC;SG
lebar	רוחב	lebar	רוחב	ADJ;SG	N;MASC;SG
lebar	רחבה	lebar	רחבה	ADJ;SG	N;FEM;SG
lebar	רחב	lebar	רחב	ADJ;SG	
song	שיר	song	שיר	PROPN	N;MASC;SG
song	השיר	song	השיר	PROPN	ADV
alias	aka	alias	aka	N;SG	
alias	כינויים	alias	כינוי	N;SG	N;MASC;PL
east	מזרחה	east	מזרחה	PROPN	ADV
east	המזרח	east	המזרח	PROPN	PROPN
east	איסט	east	איסט	PROPN	PROPN
east	מזרח	east	מזרח	PROPN	N;MASC;SG
kabar	להאכיל	kabar	האכיל	N;SG	V;NFIN;ACT
kabar	הזנות	kabar	הזנה	N;SG	N;FEM;PL
kabar	מאכיל	kabar	מאכיל	N;SG	V;MASC;SG;V.PTCP;ACT
menara	מגדל	menara	מגדל	N;SG	PROPN
menara	המגדל	menara	המגדל	N;SG	PROPN
benteng	באסטיון	benteng	באסטיון	N	PROPN
benteng	קאסל	benteng	קאסל	N	PROPN
benteng	מבצר	benteng	מבצר	N	PROPN
benteng	פורט	benteng	פורט	N	PROPN
benteng	מבצר	benteng	מבצר	N	PROPN
benteng	מבצר	benteng	מבצר	N	PROPN
logo	לוגו	logo	לוגו	N;SG	PROPN
logo	הלוגו	logo	הלוגו	N;SG	PROPN
logo	לוגו	logo	לוגו	N;SG	PROPN
png	png	png	png	PROPN	PROPN
daging	בשר	daging	בשר	N;SG	
daging	בשר	daging	בשר	N;SG	
swiss	שוויץ	swiss	שווייץ	PROPN	PROPN
swiss	שווייץ	swiss	שווייץ	PROPN	PROPN
swiss	שוויצרי	swiss	שוויצרי	PROPN	PROPN
digantikan	החליף	digantikan	החליף	V;SG;PASS	V;MASC;SG;3;PST;ACT
digantikan	הוחלפו	digantikan	הוחלף	V;SG;PASS	V;PL;3;PST;PASS
der	דר	der	דר	PROPN	PROPN
memainkan	מנגן	menmainkan	מנגן	V;SG;ACT	N;MASC;SG
memainkan	הפעלות	menmainkan	הפעלה	V;SG;ACT	N;FEM;PL
memainkan	מחזות	menmainkan	מחזה	V;SG;ACT	N;MASC;PL
memainkan	משחק	menmainkan	משחק	V;SG;ACT	N;MASC;SG
memainkan	מנגן	menmainkan	מנגן	V;SG;ACT	N;MASC;SG
faktor	גורמים	faktor	גורם	N;SG	N;MASC;PL
faktor	פקטור	faktor	פקטור	N;SG	PROPN
link	קישור	link	קישור	N	
link	לינק	link	לינק	N	PROPN
iran	איראנים	iran	איראן	PROPN	N;MASC;PL
iran	איראן	iran	איראן	PROPN	PROPN
iran	אירן	iran	אירן	PROPN	PROPN
iran	האיראני	iran	האיראני	PROPN	PROPN
will	ויל	will	ויל	PROPN	PROPN
will	וויל	will	וויל	PROPN	PROPN
reaksi	הגיבו	reaksi	הגיב	N;SG	V;PL;3;PST;ACT
reaksi	להגיב	reaksi	הגיב	N;SG	V;NFIN;ACT
reaksi	תגובות	reaksi	תגובה	N;SG	N;FEM;PL
reaksi	רגשות	reaksi	רגש	N;SG	N;MASC;PL
kesempatan	הזדמנויות	kesempatan	הזדמנות	N;SG	N;FEM;PL
mengeluarkan	הוצא	menkeluarkan	הוצא	V;SG;ACT	V;MASC;SG;3;PST;PASS
sebutan	מוזכר	sebutan	הוזכר	N;SG	V;MASC;SG;V.PTCP;PASS
gitar	גיטרות	gitar	גיטרות	N;SG	N;FEM;PL
harry	הארי	harry	הארי	PROPN	PROPN
harry	הרי	harry	הרי	PROPN	CONJ
henry	הנרי	henry	הנרי	PROPN	PROPN
persia	פרסית	persia	פרסי	PROPN	PROPN
persia	פרסי	persia	פרס	PROPN	N;MASC;PL
persia	פרסים	persia	פרס	PROPN	N;MASC;PL
persia	הפרסים	persia	הפרס	PROPN	N;MASC;PL
los	לוס	los	לוס	PROPN	PROPN
templat	תבניות	templat	תבנית	PROPN	N;FEM;PL
templat	התבנית	templat	התבנית	PROPN	N;FEM;SG
templat	תבנית	templat	תבנית	PROPN	N;FEM;SG
santo	סנטו	santo	סנט	PROPN	PROPN
santo	הקדושים	santo	הקדוש	PROPN	N
santo	קדושים	santo	קדוש	PROPN	N;MASC;PL
santo	קדוש	santo	קדוש	PROPN	
santo	הקדוש	santo	הקדוש	PROPN	PROPN
santo	קדושה	santo	קדוש	PROPN	PROPN
white	לבן	white	לבן	PROPN	
white	לבנה	white	לבן	PROPN	
war	מלחמה	war	מלחמה	PROPN	N;FEM;SG
war	המלחמה	war	המלחם	PROPN	PROPN
institute	מכון	institute	מכון	PROPN	N;MASC;SG
institute	מוסד	institute	מוסד	PROPN	N;MASC;SG
institute	המכון	institute	המכון	PROPN	
institute	המוסד	institute	המוסד	PROPN	
ganda	מכפיל	ganda	הכפיל	N;SG	
ganda	כפול	ganda	כפול	N;SG	
ganda	דאבל	ganda	דאבל	N;SG	PROPN
ganda	מכפיל	ganda	הכפיל	N;SG	
japan	יפן	japan	יפן	PROPN	PROPN
peta	מפת	peta	מפה	N;SG	
peta	המפה	peta	המפה	N;SG	
peta	מפות	peta	מפות	N;SG	N;FEM;PL
fisik	גופנית	fisik	גופני	N;SG	ADV
fisik	פיזית	fisik	פיזי	N;SG	ADV
fisik	פיזית	fisik	פיזי	N;SG	ADV
fisik	פיסי	fisik	פיסי	N;SG	ADJ;MASC;SG
injil	בשורות	injil	בשורה	N;SG	
