और	y	और	y		CONJ
शुरुआत	comenzando	शुरुआत	comenzar	N;NOM;FEM;SG;3	V;V.MSDR
दूरी	distancias	दूरी	distancia	N;NOM;FEM;SG;3	N;FEM;PL
निर्मित	creó	निर्मित	crear	ADJ	V;IND;SG;3;PST;FIN
सामग्री	contenidos	सामग्री	contenido	N;NOM;FEM;SG;3	N;MASC;PL
सामग्री	materiales	सामग्री	material	N;NOM;FEM;SG;3	N;MASC;PL
सामग्री	contenidos	सामग्री	contenido	N;NOM;FEM;SG;3	N;MASC;PL
सामग्री	materias	सामग्री	materia	N;NOM;FEM;SG;3	N;FEM;PL
सामग्री	materiales	सामग्री	material	N;NOM;FEM;SG;3	N;MASC;PL
ऊर्जा	energías	ऊर्जा	energía	N;NOM;FEM;SG;3	N;FEM;PL
ऊर्जा	energética	ऊर्जा	energético	N;NOM;FEM;SG;3	ADJ;FEM;SG
वैज्ञानिक	científico	वैज्ञानिक	científico	N;NOM;MASC;PL;3	ADJ;MASC;SG
वैज्ञानिक	científica	वैज्ञानिक	científico	N;NOM;MASC;PL;3	ADJ;FEM;SG
वैज्ञानिक	cientifico	वैज्ञानिक	cientifico	N;NOM;MASC;PL;3	N;MASC;SG
वैज्ञानिक	científicas	वैज्ञानिक	científico	N;NOM;MASC;PL;3	ADJ;FEM;PL
वैज्ञानिक	científico	वैज्ञानिक	científico	N;NOM;MASC;PL;3	ADJ;MASC;SG
वैज्ञानिक	científica	वैज्ञानिक	científico	N;NOM;MASC;PL;3	ADJ;FEM;SG
वैज्ञानिक	científicas	वैज्ञानिक	científico	N;NOM;MASC;PL;3	ADJ;FEM;PL
कुमार	kumar	कुमार	kumar	PROPN;NOM;MASC;SG;3	PROPN
उद्देश्य	objetivos	उद्देश्य	objetivo	N;NOM;MASC;SG;3	N;MASC;PL
उद्देश्य	propósitos	उद्देश्य	propósito	N;NOM;MASC;SG;3	N;MASC;PL
उद्देश्य	apuntar	उद्देश्य	apuntar	N;NOM;MASC;SG;3	V;NFIN
उद्देश्य	apunten	उद्देश्य	apuntar	N;NOM;MASC;SG;3	V;IMP;PL;3;FIN
उद्देश्य	objetivas	उद्देश्य	objetivo	N;NOM;MASC;SG;3	ADJ;FEM;PL
उद्देश्य	objetiva	उद्देश्य	objetivo	N;NOM;MASC;SG;3	ADJ;FEM;SG
सर्वश्रेष्ठ	mejores	सर्वश्रेष्ठ	mejor	PROPN;NOM;MASC;SG;3	ADJ;PL
सर्वश्रेष्ठ	best	सर्वश्रेष्ठ	best	PROPN;NOM;MASC;SG;3	N;MASC;SG
सर्वश्रेष्ठ	mejor	सर्वश्रेष्ठ	mejor	PROPN;NOM;MASC;SG;3	ADV
केंद्र	centrar	केंद्र	centrar	PROPN;NOM;MASC;SG;3	V;NFIN
केंद्र	centro	केंद्र	centro	PROPN;NOM;MASC;SG;3	N;MASC;SG
केंद्र	center	केंद्र	center	PROPN;NOM;MASC;SG;3	N;MASC;SG
केंद्र	centro	केंद्र	centro	PROPN;NOM;MASC;SG;3	N;MASC;SG
केंद्र	centre	केंद्र	centre	PROPN;NOM;MASC;SG;3	N;MASC;SG
यही	precedentes	यह	precedente	PRO;NOM;SG;3	N;MASC;PL
यही	precedente	यह	precedente	PRO;NOM;SG;3	
दर	calificar	दर	calificar	N;NOM;FEM;SG;3	V;NFIN
सामने	fachada	सामने	fachada	ADV;NOM;MASC;SG;3	N;FEM;SG
सामने	frontal	सामने	frontal	ADV;NOM;MASC;SG;3	ADJ;SG
सामने	front	सामने	front	ADV;NOM;MASC;SG;3	N
सामने	frente	सामने	frente	ADV;NOM;MASC;SG;3	N
सामने	delantero	सामने	delantero	ADV;NOM;MASC;SG;3	N;MASC;SG
ठीक	okey	ठीक	okey	PART	INTJ
ठीक	okay	ठीक	okay	PART	N
ठीक	ok	ठीक	ok	PART	INTJ
ठीक	vale	ठीक	valer	PART	V;IND;SG;3;PRS;FIN
ठीक	bien	ठीक	bien	PART	ADV
ठीक	fine	ठीक	fine	PART	N
ठीक	fino	ठीक	fino	PART	ADJ;MASC;SG
रेल	ferrocarriles	रेल	ferrocarril	N;NOM;FEM;SG;3	N;MASC;PL
रेल	ferroviario	रेल	ferroviario	N;NOM;FEM;SG;3	ADJ;MASC;SG
रेल	ferrocarriles	रेल	ferrocarril	N;NOM;FEM;SG;3	N;MASC;PL
रेल	ferroviarios	रेल	ferroviario	N;NOM;FEM;SG;3	N;MASC;PL
रेल	ferroviarios	रेल	ferroviario	N;NOM;FEM;SG;3	N;MASC;PL
रेल	trenes	रेल	tren	N;NOM;FEM;SG;3	N;MASC;PL
दिए	dado	दे	dar	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
दिए	dados	दे	dado	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
पदार्थ	materiales	पदार्थ	material	N;NOM;MASC;SG;3	N;MASC;PL
पदार्थ	materias	पदार्थ	materia	N;NOM;MASC;SG;3	N;FEM;PL
पदार्थ	materiales	पदार्थ	material	N;NOM;MASC;SG;3	N;MASC;PL
तथ्य	hechos	तथ्य	hecho	N;NOM;MASC;SG;3	N;MASC;PL
तथ्य	hecho	तथ्य	hecho	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
लाभ	ventajas	लाभ	ventaja	N;NOM;MASC;SG;3	N;FEM;PL
लाभ	prestaciones	लाभ	prestación	N;NOM;MASC;SG;3	N;FEM;PL
लाभ	beneficios	लाभ	beneficio	N;NOM;MASC;SG;3	N;MASC;PL
लाभ	ganancias	लाभ	ganancia	N;NOM;MASC;SG;3	N;FEM;PL
लाभ	beneficios	लाभ	beneficio	N;NOM;MASC;SG;3	N;MASC;PL
लाभ	ventajas	लाभ	ventaja	N;NOM;MASC;SG;3	N;FEM;PL
देवी	diosa	देवी	diosa	PROPN;NOM;FEM;SG;3	N;FEM;SG
देवी	devi	देवी	devi	PROPN;NOM;FEM;SG;3	N;FEM;SG
भूमि	terrenos	भूमि	terreno	N;NOM;FEM;SG;3	N;MASC;PL
भूमि	tierras	भूमि	tierra	N;NOM;FEM;SG;3	N;FEM;PL
व्यापक	exhaustivo	व्यापक	exhaustivo	PROPN;NOM;SG;3	ADJ;MASC;SG
व्यापक	exhaustiva	व्यापक	exhaustivo	PROPN;NOM;SG;3	ADJ;FEM;SG
व्यापक	elaborado	व्यापक	elaborado	PROPN;NOM;SG;3	ADJ;MASC;SG;V.PTCP
व्यापक	elaborados	व्यापक	elaborado	PROPN;NOM;SG;3	ADJ;MASC;PL;V.PTCP
व्यापक	elaboradas	व्यापक	elaborado	PROPN;NOM;SG;3	ADJ;FEM;PL;V.PTCP
व्यापक	elaborada	व्यापक	elaborado	PROPN;NOM;SG;3	ADJ;FEM;SG;V.PTCP
व्यापक	wide	व्यापक	wide	PROPN;NOM;SG;3	N
व्यापक	amplio	व्यापक	amplio	PROPN;NOM;SG;3	ADJ;MASC;SG
व्यापक	ancho	व्यापक	ancho	PROPN;NOM;SG;3	N;MASC;SG
व्यापक	amplia	व्यापक	amplio	PROPN;NOM;SG;3	ADJ;FEM;SG
व्यापक	amplias	व्यापक	amplio	PROPN;NOM;SG;3	ADJ;FEM;PL
व्यापक	amplia	व्यापक	amplio	PROPN;NOM;SG;3	ADJ;FEM;SG
व्यापक	amplio	व्यापक	amplio	PROPN;NOM;SG;3	ADJ;MASC;SG
किमी	kms	किमी	kms	N;NOM;MASC;SG;3	N;MASC;PL
प्रबंधन	administra	प्रबंधन	administrar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
प्रबंधन	gestionar	प्रबंधन	gestionar	N;NOM;MASC;SG;3	V;NFIN
प्रबंधन	gestione	प्रबंधन	gestionar	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
प्रबंधन	administrar	प्रबंधन	administrar	N;NOM;MASC;SG;3	V;NFIN
परीक्षण	probar	परीक्षण	probar	N;NOM;MASC;SG;3	V;NFIN
परीक्षण	tests	परीक्षण	test	N;NOM;MASC;SG;3	N;MASC;PL
परीक्षण	ensayos	परीक्षण	ensayo	N;NOM;MASC;SG;3	N;MASC;PL
परीक्षण	pruebas	परीक्षण	prueba	N;NOM;MASC;SG;3	N;FEM;PL
परीक्षण	ensayos	परीक्षण	ensayo	N;NOM;MASC;SG;3	N;MASC;PL
परीक्षण	probando	परीक्षण	probar	N;NOM;MASC;SG;3	V;V.MSDR
परीक्षण	pruebas	परीक्षण	prueba	N;NOM;MASC;SG;3	N;FEM;PL
अनुसंधान	investigaciones	अनुसंधान	investigación	N;NOM;MASC;SG;3	N;FEM;PL
आन्ध्र	andhra	आन्ध्र	andhra	PROPN;NOM;MASC;SG;3	N;MASC;SG
गीत	letra	गीत	letra	N;NOM;MASC;PL;3	N;FEM;SG
गीत	canto	गीत	canto	N;NOM;MASC;PL;3	N;MASC;SG
गीत	cancion	गीत	cancionar	N;NOM;MASC;PL;3	N;FEM;SG
गीत	canción	गीत	canción	N;NOM;MASC;PL;3	N;FEM;SG
गीत	song	गीत	song	N;NOM;MASC;PL;3	PROPN
गणना	cuenta	गणना	contar	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
गणना	cálculos	गणना	cálculo	N;NOM;FEM;SG;3	N;MASC;PL
गणना	calculada	गणना	calculado	N;NOM;FEM;SG;3	ADJ;FEM;SG;V.PTCP
गणना	calculados	गणना	calculado	N;NOM;FEM;SG;3	ADJ;MASC;PL;V.PTCP
गणना	calculado	गणना	calculado	N;NOM;FEM;SG;3	ADJ;MASC;SG;V.PTCP
गणना	calcula	गणना	calcular	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
गणना	calcular	गणना	calcular	N;NOM;FEM;SG;3	V;NFIN
गणना	calcule	गणना	calcule	N;NOM;FEM;SG;3	V;IMP;SG;3;FIN
निम्न	baja	निम्न	baja		N;FEM;SG
निम्न	bajos	निम्न	bajo		ADJ;MASC;PL
निम्न	bajas	निम्न	baja		N;FEM;PL
निम्न	bajo	निम्न	bajo		ADP
खोज	búsquedas	खोज	búsqueda	N;NOM;FEM;SG;3	N;FEM;PL
खोज	buscar	खोज	buscar	N;NOM;FEM;SG;3	V;NFIN
खोज	busque	खोज	buscar	N;NOM;FEM;SG;3	V;IMP;SG;3;FIN
खोज	exploraciones	खोज	exploración	N;NOM;FEM;SG;3	N;FEM;PL
खोज	descubrir	खोज	descubrir	N;NOM;FEM;SG;3	V;NFIN
खोज	descubra	खोज	descubrir	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
खोज	descubre	खोज	descubrir	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
खोज	descubren	खोज	descubrir	N;NOM;FEM;SG;3	V;IND;PL;3;PRS;FIN
खोज	descubrimientos	खोज	descubrimiento	N;NOM;FEM;SG;3	N;MASC;PL
सांस्कृतिक	cultura	सांस्कृतिक	cultura	ADJ;NOM	N;FEM;SG
जाति	géneros	जाति	género	N;NOM;FEM;SG;3	N;MASC;PL
जाति	castas	जाति	casta	N;NOM;FEM;SG;3	N;FEM;PL
व्यवहार	comportamientos	व्यवहार	comportamiento	N;NOM;MASC;SG;3	N;MASC;PL
व्यवहार	conductas	व्यवहार	conducta	N;NOM;MASC;SG;3	N;FEM;PL
व्यवहार	comportarse	व्यवहार	comportar	N;NOM;MASC;SG;3	V;SBJV;SG;3;IPFV;FIN
व्यवहार	comportamientos	व्यवहार	comportamiento	N;NOM;MASC;SG;3	N;MASC;PL
योगदान	contribuya	योगदान	contribuir	N;NOM;MASC;SG;3	V;SBJV;SG;3;PRS;FIN
योगदान	contribuir	योगदान	contribuir	N;NOM;MASC;SG;3	V;NFIN
योगदान	contribuye	योगदान	contribuir	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
योगदान	contribuciones	योगदान	contribución	N;NOM;MASC;SG;3	N;FEM;PL
योगदान	aportaciones	योगदान	aportación	N;NOM;MASC;SG;3	N;FEM;PL
योगदान	cotizaciones	योगदान	cotización	N;NOM;MASC;SG;3	N;FEM;PL
योगदान	aportes	योगदान	aporte	N;NOM;MASC;SG;3	N;MASC;PL
प्रतिशत	%	प्रतिशत	%	N;NOM;MASC;SG;3	
इनकी	sus	यह	su	PRO;FEM;PL;3	DET;PL;3
इनकी	su	यह	su	PRO;FEM;PL;3	DET;SG;3
सही	perfect	सही	perfect	ADJ	N
सही	derecho	सही	derecho	ADJ	N;MASC;SG
सही	derecha	सही	derecha	ADJ	N;FEM;SG
सही	true	सही	true	ADJ	N
सही	verdad	सही	verdad	ADJ	N;FEM;SG
सही	corregir	सही	corregir	ADJ	V;NFIN
सही	corrija	सही	corregir	ADJ	V;IMP;SG;3;FIN
पुरुष	hombres	पुरुष	hombre	N;NOM;MASC;SG;3	N;MASC;PL
पुरुष	masculino	पुरुष	masculino	N;NOM;MASC;SG;3	ADJ;MASC;SG
पुरुष	machos	पुरुष	macho	N;NOM;MASC;SG;3	N;MASC;PL
मिल	molino	मिल	molino	V;ACT	N;MASC;SG
मिल	mill	मिल	mill	V;ACT	
जनगणना	censos	जनगणना	censo	N;NOM;FEM;SG;3	N;MASC;PL
संबंधी	pariente	संबंधी	pariente	ADJ	N;SG
अंतर्गत	debajo	अंतर्गत	debajo	CONJ	ADV
अंतर्गत	bajo	अंतर्गत	bajo	CONJ	ADP
अंतर्गत	under	अंतर्गत	under	CONJ	PROPN
उद्योग	industrias	उद्योग	industria	N;NOM;MASC;SG;3	N;FEM;PL
छोटी	small	छोटा	small	ADJ;FEM;SG	N
छोटी	pequeñas	छोटा	pequeño	ADJ;FEM;SG	ADJ;FEM;PL
छोटी	pequeños	छोटा	pequeño	ADJ;FEM;SG	ADJ;MASC;PL
छोटी	poco	छोटा	poco	ADJ;FEM;SG	ADV
छोटी	little	छोटा	little	ADJ;FEM;SG	N
छोटी	short	छोटा	short	ADJ;FEM;SG	N
छोटी	cortos	छोटा	corto	ADJ;FEM;SG	ADJ;MASC;PL
मदद	ayudar	मदद	ayudar	N;NOM;FEM;SG;3	V;NFIN
दिशा	direction	दिशा	direction	N;NOM;FEM;SG;3	N;PL
सूचना	notificaciones	सूचना	notificación	N;NOM;FEM;SG;3	N;FEM;PL
सूचना	informaciones	सूचना	información	N;NOM;FEM;SG;3	N;FEM;PL
राम	ram	राम	ram	PROPN;NOM;MASC;SG;3	N;FEM;SG
राम	rama	राम	rama	PROPN;NOM;MASC;SG;3	N;FEM;SG
राम	carnero	राम	carnero	PROPN;NOM;MASC;SG;3	N;MASC;SG
राम	rama	राम	rama	PROPN;NOM;MASC;SG;3	N;FEM;SG
नवम्बर	noviembre	नवंबर	noviembre	PROPN;NOM;MASC;SG;3	N
नवम्बर	nov	नवंबर	nov	PROPN;NOM;MASC;SG;3	
नवम्बर	noviembre	नवंबर	noviembre	PROPN;NOM;MASC;SG;3	N
माता	mata	माता	matar	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
पीछे	volver	पीछे	volver	ADV;NOM;MASC;SG;3	V;NFIN
पीछे	espalda	पीछे	espalda	ADV;NOM;MASC;SG;3	N;FEM;SG
पीछे	regreso	पीछे	regreso	ADV;NOM;MASC;SG;3	N;MASC;SG
पीछे	back	पीछे	back	ADV;NOM;MASC;SG;3	
पीछे	detras	पीछे	detra	ADV;NOM;MASC;SG;3	N;FEM;SG
पीछे	atrasada	पीछे	atrasado	ADV;NOM;MASC;SG;3	ADJ;FEM;SG;V.PTCP
पीछे	atrasado	पीछे	atrasado	ADV;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
पीछे	trasero	पीछे	trasero	ADV;NOM;MASC;SG;3	N;MASC;SG
पीछे	trasera	पीछे	trasero	ADV;NOM;MASC;SG;3	ADJ;FEM;SG
पीछे	retaguardia	पीछे	retaguardia	ADV;NOM;MASC;SG;3	N;FEM;SG
पीछे	traseros	पीछे	trasero	ADV;NOM;MASC;SG;3	N;MASC;PL
राष्ट्रपति	president	राष्ट्रपति	president	PROPN;NOM;MASC;SG;3	N;MASC;SG
राष्ट्रपति	presidenta	राष्ट्रपति	presidenta	PROPN;NOM;MASC;SG;3	N;FEM;SG
राष्ट्रपति	presidente	राष्ट्रपति	presidente	PROPN;NOM;MASC;SG;3	N;MASC;SG
दल	fiestas	दल	fiesta	N;NOM;MASC;SG;3	N;FEM;PL
दल	cohortes	दल	cohorte	N;NOM;MASC;SG;3	N;FEM;PL
दल	tripulantes	दल	tripulante	N;NOM;MASC;SG;3	N;PL
मीटर	metros	मीटर	metro	N;NOM;MASC;SG;3	N;MASC;PL
मीटर	contadores	मीटर	contador	N;NOM;MASC;SG;3	N;MASC;PL
मीटर	metros	मीटर	metro	N;NOM;MASC;SG;3	N;MASC;PL
मीटर	medidores	मीटर	medidor	N;NOM;MASC;SG;3	N;MASC;PL
मीटर	metros	मीटर	metro	N;NOM;MASC;SG;3	N;MASC;PL
क्रिया	verbos	क्रिया	verbo	N;NOM;FEM;SG;3	N;MASC;PL
क्रिया	acciones	क्रिया	acción	N;NOM;FEM;SG;3	N;FEM;PL
गूगल	google	गूगल	google	PROPN;NOM;MASC;SG;3	N;MASC;SG
गूगल	google+	गूगल	google	PROPN;NOM;MASC;SG;3	PROPN
कॉलेज	colegios	कॉलेज	colegio	N;NOM;MASC;SG;3	N;MASC;PL
कॉलेज	universidades	कॉलेज	universidad	N;NOM;MASC;SG;3	N;FEM;PL
विवाह	bodas	विवाह	boda	N;NOM;MASC;SG;3	N;FEM;PL
विवाह	matrimonios	विवाह	matrimonio	N;NOM;MASC;SG;3	N;MASC;PL
विवाह	matrimonios	विवाह	matrimonio	N;NOM;MASC;SG;3	N;MASC;PL
विवाह	matrimonial	विवाह	matrimonial	N;NOM;MASC;SG;3	ADJ;SG
विवाह	bodas	विवाह	boda	N;NOM;MASC;SG;3	N;FEM;PL
मैच	coincidir	मैच	coincidir	N;NOM;MASC;SG;3	V;NFIN
बनाए	creó	बना	crear	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बनाए	creado	बना	creado	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
बनाए	creados	बना	creado	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
बनाए	creadas	बना	creado	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
बनाए	creada	बना	creado	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
सुधार	mejoras	सुधार	mejora	N;NOM;MASC;SG;3	N;FEM;PL
सुधार	reformar	सुधार	reformar	N;NOM;MASC;SG;3	V;NFIN
सुधार	reformas	सुधार	reforma	N;NOM;MASC;SG;3	N;FEM;PL
सुधार	mejoras	सुधार	mejora	N;NOM;MASC;SG;3	N;FEM;PL
समाप्त	acabar	समाप्त	acabar	ADJ	V;NFIN
समाप्त	terminar	समाप्त	terminar	ADJ	V;NFIN
समाप्त	finalizar	समाप्त	finalizar	ADJ	V;NFIN
समाप्त	end	समाप्त	end	ADJ	N
समाप्त	fin	समाप्त	fin	ADJ	N;MASC;SG
समाप्त	final	समाप्त	final	ADJ	N;MASC;SG
समाप्त	expira	समाप्त	expirar	ADJ	V;IND;SG;3;PRS;FIN
समाप्त	caduca	समाप्त	caduca	ADJ	V;IND;SG;3;PRS;FIN
समाप्त	expiró	समाप्त	expirar	ADJ	V;IND;SG;3;PST;FIN
ब्रिटेन	britania	ब्रिटेन	britania	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
करें	toc	कर	toc	V;SBJV;PL;3;FIN;ACT	
करें	cot	कर	cot	V;SBJV;PL;3;FIN;ACT	
प्रौद्योगिकी	tecnológico	प्रौद्योगिकी	tecnológico	N;NOM;FEM;SG;3	ADJ;MASC;SG
प्रौद्योगिकी	tecnológica	प्रौद्योगिकी	tecnológico	N;NOM;FEM;SG;3	ADJ;FEM;SG
नियम	normas	नियम	norma	N;NOM;MASC;SG;3	N;FEM;PL
नियम	reglas	नियम	regla	N;NOM;MASC;SG;3	N;FEM;PL
जन्मे	nacidos	जन्मा	nacido	V;MASC;IND;SG;3;FIN;ACT	ADJ;MASC;PL;V.PTCP
जन्मे	born	जन्मा	born	V;MASC;IND;SG;3;FIN;ACT	N
जन्मे	nacido	जन्मा	nacido	V;MASC;IND;SG;3;FIN;ACT	ADJ;MASC;SG;V.PTCP
चीनी	chinos	चीनी	chino		N;MASC;PL
चीनी	chino	चीनी	chino		N;MASC;SG
सहायक	auxiliar	सहायक	auxiliar	N;NOM;MASC;SG;3	V;NFIN
सहायक	servicial	सहायक	servicial	N;NOM;MASC;SG;3	ADJ;SG
सहायक	útil	सहायक	útil	N;NOM;MASC;SG;3	ADJ;SG
सहायक	útiles	सहायक	útil	N;NOM;MASC;SG;3	ADJ;PL
प्रयुक्त	utilizada	प्रयुक्त	utilizado	ADP	ADJ;FEM;SG;V.PTCP
प्रयुक्त	usada	प्रयुक्त	usado	ADP	ADJ;FEM;SG;V.PTCP
प्रयुक्त	usado	प्रयुक्त	usado	ADP	ADJ;MASC;SG;V.PTCP
प्रयुक्त	utilizado	प्रयुक्त	utilizado	ADP	ADJ;MASC;SG;V.PTCP
प्रयुक्त	utilizados	प्रयुक्त	utilizado	ADP	ADJ;MASC;PL;V.PTCP
प्रयुक्त	usados	प्रयुक्त	usado	ADP	ADJ;MASC;PL;V.PTCP
प्रयुक्त	pretor	प्रयुक्त	pretor	ADP	ADJ;MASC;SG
उल्लेख	menciona	उल्लेख	mencionar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उल्लेख	mencionar	उल्लेख	mencionar	N;NOM;MASC;SG;3	V;NFIN
उल्लेख	mencione	उल्लेख	mencionar	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
उल्लेख	menciona	उल्लेख	mencionar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उल्लेख	menciones	उल्लेख	mención	N;NOM;MASC;SG;3	N;FEM;PL
बंद	cierra	बंद	cerrar	ADJ	V;IND;SG;3;PRS;FIN
बंद	cerca	बंद	cerca	ADJ	ADV
बंद	cierre	बंद	cierre	ADJ	N;MASC;SG
बंद	cerrar	बंद	cerrar	ADJ	V;NFIN
बंद	off	बंद	off	ADJ	N
किलोमीटर	kilómetros	किलोमीटर	kilómetro	N;NOM;MASC;SG;3	N;MASC;PL
किलोमीटर	kilómetros	किलोमीटर	kilómetro	N;NOM;MASC;SG;3	N;MASC;PL
किलोमीटर	kilometros	किलोमीटर	kilometro	N;NOM;MASC;SG;3	N;MASC;PL
जिसने	oms	जो	oms	PRO;SG;3	N;FEM;SG
जिसने	quiénes	जो	quién	PRO;SG;3	PRO;PL
जिसने	quién	जो	quién	PRO;SG;3	PRO;SG
जिसने	quien	जो	quien	PRO;SG;3	PRO;SG
इंग्लैंड	inglaterra	इंग्लैंड	inglaterra	PROPN;NOM;MASC;SG;3	PROPN
धीरे	despacito	धीरे	despacito	ADV	INTJ
सार्वजनिक	público	सार्वजनिक	público	ADJ	N;MASC;SG
लाख	lakh	लाख	lakh	NUM	
लाख	millones	लाख	millón	NUM	N;MASC;PL
लाख	millón	लाख	millón	NUM	N;MASC;SG
लाख	millon	लाख	millon	NUM	N;MASC;SG
लाख	lacs	लाख	lacs	NUM	N;MASC
लाख	lac	लाख	lac	NUM	
खिलाफ	contra	खिलाफ	contra	ADP	ADP
खिलाफ	against	खिलाफ	against	ADP	N
सफल	éxito	सफल	éxito	ADJ	N;MASC;SG
सफल	prosperar	सफल	prosperar	ADJ	V;NFIN
सफल	prospera	सफल	prosperar	ADJ	V;IND;SG;3;PRS;FIN
सफल	triunfar	सफल	triunfar	ADJ	V;NFIN
सफल	exitos	सफल	exito	ADJ	N;MASC;PL
सफल	exito	सफल	exito	ADJ	N;MASC;SG
सफल	éxitos	सफल	éxito	ADJ	N;MASC;PL
सफल	éxito	सफल	éxito	ADJ	N;MASC;SG
जाए	jaye	जा	jaye	V;SBJV;SG;FIN;ACT	
पहचान	identidades	पहचान	identidad	N;NOM;FEM;SG;3	N;FEM;PL
राष्ट्र	naciones	राष्ट्र	nación	N;NOM;MASC;SG;3	N;FEM;PL
देना	dena	दे	dena	V;MASC;NFIN;ACT	PROPN
संग्रह	cobros	संग्रह	cobro	N;NOM;MASC;SG;3	N;MASC;PL
संग्रह	colecciones	संग्रह	colección	N;NOM;MASC;SG;3	N;FEM;PL
संग्रह	archivar	संग्रह	archivar	N;NOM;MASC;SG;3	V;NFIN
संग्रह	archivos	संग्रह	archivo	N;NOM;MASC;SG;3	N;MASC;PL
संग्रह	archivado	संग्रह	archivar	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
संग्रह	recogida	संग्रह	recogido	N;NOM;MASC;SG;3	ADJ;FEM;SG;V.PTCP
भीतर	adentro	भीतर	adentro	ADV;NOM;MASC;SG;3	
भीतर	inside	भीतर	insidir	ADV;NOM;MASC;SG;3	INTJ
मौजूद	existir	मौजूद	existir	ADJ	V;NFIN
मौजूद	existo	मौजूद	existir	ADJ	V;IND;SG;1;PRS;FIN
मौजूद	existen	मौजूद	existir	ADJ	V;IND;PL;3;PRS;FIN
कांग्रेस	congreso	कांग्रेस	congreso	PROPN;NOM;FEM;SG;3	N;MASC;SG
कांग्रेस	congresos	कांग्रेस	congreso	PROPN;NOM;FEM;SG;3	N;MASC;PL
सम्मान	respeten	सम्मान	respetar	N;NOM;MASC;SG;3	V;IMP;PL;3;FIN
सम्मान	respetar	सम्मान	respetar	N;NOM;MASC;SG;3	V;NFIN
सम्मान	respeta	सम्मान	respetar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
नृत्य	bailes	नृत्य	bail	N;NOM;MASC;SG;3	N;MASC;PL
नृत्य	bailar	नृत्य	bailar	N;NOM;MASC;SG;3	V;NFIN
नृत्य	baila	नृत्य	bailar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
सामूहिक	colectivo	सामूहिक	colectivo	ADJ;NOM	N;MASC;SG
सामूहिक	colectividad	सामूहिक	colectividad	ADJ;NOM	N;FEM;SG
सामूहिक	colectivos	सामूहिक	colectivo	ADJ;NOM	N;MASC;PL
स्रोत	fuentes	स्रोत	fuente	N;NOM;MASC;SG;3	N;FEM;PL
लगे	lage	लग	lager	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC;SG
एकल	sencillo	एकल	sencillo	N;NOM;MASC;SG;3	ADJ;MASC;SG
संकेत	indirecta	संकेत	indirecto	N;NOM;MASC;SG;3	ADJ;FEM;SG
संकेत	indirectas	संकेत	indirecto	N;NOM;MASC;SG;3	ADJ;FEM;PL
मानक	estándar	मानक	estándar		ADJ;SG
मानक	norma	मानक	norma		N;FEM;SG
मानक	estandar	मानक	estandar		V;IND;3;FIN
मानक	standard	मानक	standard		PROPN
बताया	contada	बता	contado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
यौगिक	compuesto	यौगिक	compuesto	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
यौगिक	compuestos	यौगिक	compuesto	N;NOM;MASC;SG;3	N;MASC;PL
यौगिक	compuestas	यौगिक	compuesto	N;NOM;MASC;SG;3	ADJ;FEM;PL;V.PTCP
किन्तु	arrebata	किन्तु	arrebatar		V;IND;SG;3;PRS;FIN
विकि	wiki	विकि	wiki		N;MASC;SG
विद्यालय	escuelas	विद्यालय	escuela	N;NOM;MASC;SG;3	N;FEM;PL
विद्यालय	colegios	विद्यालय	colegio	N;NOM;MASC;SG;3	N;MASC;PL
अंतर्राष्ट्रीय	internacional	अंतर्राष्ट्रीय	internacional	PROPN;NOM;SG;3	ADJ;SG
