sandstein	zandsteen	sandstein	zandsteen		N;MASC+FEM;SG
vorfahren	voorvaders	vorfahren	voorvader		N;PL
vorfahren	voorouderlijke	vorfahren	voorouderlijk		ADJ
vorfahren	voorvader	vorfahren	voorvader		N;MASC+FEM;SG
vorfahren	voorouder	vorfahren	voorouder		N;MASC+FEM;SG
level	niveau	level	niveau		N;NEUT;SG
level	level	level	level		N;NEUT;SG
ressourcen	hulpbron	ressourc	hulpbron	V;NFIN	N;MASC+FEM;SG
ressourcen	resource	ressourc	resource	V;NFIN	N;MASC+FEM;SG
ressourcen	hulpbronnen	ressourc	hulpbron	V;NFIN	N;PL
ressourcen	middelen	ressourc	middel	V;NFIN	N;PL
ressourcen	informatiebronnen	ressourc	informatiebron	V;NFIN	N;PL
ressourcen	bronnen	ressourc	bron	V;NFIN	N;PL
laura	laura	laura	laura	PROPN;NOM;SG	N;MASC+FEM;SG
zeichnen	tekening	zeichnen	tekening	V;NFIN	N;MASC+FEM;SG
essays	essays	essays	essays		N;PL
bürgerschaft	burgerschap	bürgerschaft	burgerschap	ADJ	N;NEUT;SG
bürgerschaft	staatsburgerschap	bürgerschaft	staatsburgerschap	ADJ	N;MASC+FEM;SG
vorträge	lezingen	vortragen	lezing	ADJ;NOM;PL	N;PL
vorträge	speeches	vortragen	speech	ADJ;NOM;PL	N;PL
vorträge	redevoeringen	vortragen	redevoering	ADJ;NOM;PL	N;PL
vorträge	toespraken	vortragen	toespraak	ADJ;NOM;PL	N;PL
vorträge	congressen	vortragen	congres	ADJ;NOM;PL	N;PL
vorträge	conferenties	vortragen	conferentie	ADJ;NOM;PL	N;PL
vorträge	presentaties	vortragen	presentatie	ADJ;NOM;PL	N;PL
vorträge	gesprekken	vortragen	gesprek	ADJ;NOM;PL	N;PL
vorträge	lezing	vortragen	lezing	ADJ;NOM;PL	N;MASC+FEM;SG
vorträge	preek	vortragen	preek	ADJ;NOM;PL	N;MASC+FEM;SG
vorträge	lezingen	vortragen	lezing	ADJ;NOM;PL	N;PL
haushalten	huishoudens	haushalten	huishouden	V;NFIN	N;PL
haushalten	gezinnen	haushalten	gezin	V;NFIN	N;PL
wilde	wild	wilden	wild		ADJ
wilde	wilde	wilden	willen		V;SG;PST;FIN
wilde	wilden	wilden	willen		V;PL;PST;FIN
wilde	wilde	wilden	willen		V;SG;PST;FIN
wilde	savage	wilden	savage		N;MASC+FEM;SG
wilde	barbaars	wilden	barbaar		ADJ
wilde	woeste	wilden	woeten		ADJ
mathias	mathias	mathias	mathias	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
mont	mont	mont	mont	PROPN;NOM;SG	N;MASC+FEM;SG
rumpf	hull	rumpf	hull	ADJ	N;MASC+FEM;SG
rumpf	romp	rumpf	romp	ADJ	N;MASC+FEM;SG
rumpf	torso	rumpf	torso	ADJ	N;MASC+FEM;SG
rumpf	romp	rumpf	romp	ADJ	N;MASC+FEM;SG
rumpf	romp	rumpf	romp	ADJ	N;MASC+FEM;SG
rumpf	kofferbak	rumpf	kofferbak	ADJ	N;MASC+FEM;SG
rumpf	achterbak	rumpf	achterbak	ADJ	N;MASC+FEM;SG
rumpf	slurf	rumpf	slurf	ADJ	N;MASC+FEM;SG
anfangen	begin	anfangen	begin	V;NFIN	N;NEUT;SG
anfangen	begin	anfangen	begin	V;NFIN	N;NEUT;SG
arabische	arabier	arabisch	arabier	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
arabische	arabier	arabisch	arabier	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
lyrik	poëzie	lyrik	poëzie		N;MASC+FEM;SG
lyrik	gedichten	lyrik	gedicht		N;PL
lyrik	teksten	lyrik	tekst		N;PL
wahlbezirk	kiesdistrict	wahlbezirk	kiesdistrict		N;NEUT;SG
belgrad	belgrado	belgrad	belgrado	PROPN;NOM;SG	N;NEUT;SG
maryland	maryland	maryland	maryland	PROPN;NOM;MASC;SG	N;NEUT;SG
abhängigkeit	afhankelijkheid	abhängigkeit	afhankelijkheid	V;SG;FIN	N;MASC+FEM;SG
abhängigkeit	verslaving	abhängigkeit	verslaving	V;SG;FIN	N;MASC+FEM;SG
abhängigkeit	afhankelijkheid	abhängigkeit	afhankelijkheid	V;SG;FIN	N;MASC+FEM;SG
ankunft	aankomen	ankunft	aankomen	N;FEM;SG	V;NFIN
ankunft	aankomsten	ankunft	aankomst	N;FEM;SG	N;PL
gerichte	tribunalen	gericht	tribunaal		N;PL
gerichte	afwas	gericht	afwas		N;MASC+FEM;SG
gerichte	rechtbanken	gericht	rechtbank		N;PL
mörder	moordenaars	mörder	moordenaar	ADJ	N;PL
mörder	moordenaar	mörder	moordenaar	ADJ	N;MASC+FEM;SG
mörder	moordenaar	mörder	moordenaar	ADJ	N;MASC+FEM;SG
mörder	moordenaars	mörder	moordenaar	ADJ	N;PL
mörder	moordenaar	mörder	moordenaar	ADJ	N;MASC+FEM;SG
mörder	huurmoordenaar	mörder	huurmoordenaar	ADJ	N;MASC+FEM;SG
kats	kats	kats	kats		N;MASC+FEM;SG
sofia	sofia	sofia	sofia	PROPN;SG	N;MASC+FEM;SG
verändern	alter	verändern	alter	V;NFIN	N;MASC+FEM;SG
abu	abu	abu	abu	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG	N;NEUT;SG
stürmer	stakers	stürm	staker	ADJ	N;PL
stürmer	spits	stürm	spits	ADJ	N;MASC+FEM;SG
stürmer	striker	stürm	striker	ADJ	N;MASC+FEM;SG
heller	heller	hell	hel	ADJ	N;MASC+FEM;SG
emanuel	emanuel	emanuel	emanuel	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
emanuel	emmanuel	emanuel	emmanuel	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
naturschutz	behoud	naturschutz	behoud	ADJ	N;NEUT;SG
naturschutz	conservering	naturschutz	conservering	ADJ	N;MASC+FEM;SG
naturschutz	instandhouding	naturschutz	instandhouding	ADJ	N;MASC+FEM;SG
naturschutz	natuur	naturschutz	natuur	ADJ	N;MASC+FEM;SG
kohle	steenkool	kohl	steenkool		N;MASC+FEM;SG
kohle	kolen	kohl	kolen		N;PL
kohle	kool	kohl	kool		N;MASC+FEM;SG
kohle	deeg	kohl	deeg		N;NEUT;SG
kohle	poen	kohl	poen		N;MASC+FEM;SG
kohle	houtskool	kohl	houtskool		N;MASC+FEM;SG
graham	graham	graham	graham	PROPN;NOM;SG	N;MASC+FEM;SG
hauptsitz	hoofdkantoor	hauptsitz	hoofdkantoor	V;V.PTCP	N;NEUT;SG
hauptsitz	hoofdkwartier	hauptsitz	hoofdkwartier	V;V.PTCP	N;NEUT;SG
caroline	caroline	caroline	caroline	PROPN;NOM;FEM;SG	N;MASC+FEM;SG
kaiserreich	keizerrijk	kaiserreich	keizerrijk	PROPN	N;NEUT;SG
kaiserreich	rijk	kaiserreich	rijk	PROPN	ADJ
kaiserreich	imperium	kaiserreich	imperium	PROPN	N;NEUT;SG
kaiserreich	empire	kaiserreich	empire	PROPN	N;MASC+FEM;SG
kaiserreich	keizerlijk	kaiserreich	keizerlijk	PROPN	ADJ
kaiserreich	keizerlijke	kaiserreich	keizerlijk	PROPN	ADJ
kaiserreich	imperial	kaiserreich	imperial	PROPN	N;MASC+FEM;SG
konzern	corporate	konzern	corporaat		N;MASC+FEM;SG
konzern	groep	konzern	groep		N;MASC+FEM;SG
konzern	fractie	konzern	fractie		N;MASC+FEM;SG
konzern	geconsolideerde	konzern	consolideren		V;V.PTCP
konzern	geconsolideerd	konzern	consolideren		V;V.PTCP
konzern	corporatie	konzern	corporatie		N;MASC+FEM;SG
konzern	corporation	konzern	corporation		N;MASC+FEM;SG
marokko	marokkaanse	marokko	marokkaans	PROPN	ADJ
marokko	marokko	marokko	marokko	PROPN	N;NEUT;SG
marokko	tanger	marokko	tanger	PROPN	N;MASC+FEM;SG
gebeten	gebed	bitten	gebed	V;V.PTCP	N;NEUT;SG
gebeten	gebeden	bitten	gebeden	V;V.PTCP	N;PL
wrestling	worstel	wrestlingen	worstel	ADJ	V;SG;PRS;FIN
wrestling	worstelen	wrestlingen	worstelen	ADJ	V;NFIN
ryan	ryan	ryan	ryan	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
manga	manga	manga	manga		N;MASC+FEM;SG
demo	demo	demo	demo		N;MASC+FEM;SG
renault	renault	renaulen	renault	PROPN;SG	N;MASC+FEM;SG
turner	turnster	turn	turnster	PROPN;NOM;SG	N;MASC+FEM;SG
turner	turner	turn	turner	PROPN;NOM;SG	N;MASC+FEM;SG
einnahmen	inkomen	einnehmen	inkomen	V;NFIN	N;NEUT;SG
einnahmen	inkomsten	einnehmen	inkomsten	V;NFIN	N;PL
einnahmen	opbrengsten	einnehmen	opbrengst	V;NFIN	N;PL
einnahmen	inkomsten	einnehmen	inkomsten	V;NFIN	N;PL
einnahmen	verdiensten	einnehmen	verdienste	V;NFIN	N;PL
einnahmen	inkomsten	einnehmen	inkomsten	V;NFIN	N;PL
einnahmen	ontvangsten	einnehmen	ontvangst	V;NFIN	N;PL
einnahmen	inkomsten	einnehmen	inkomsten	V;NFIN	N;PL
einnahmen	ontvangsten	einnehmen	ontvangst	V;NFIN	N;PL
kritiken	reviews	kritik	review	ADJ;PL	N;PL
kritiken	beoordelingen	kritik	beoordeling	ADJ;PL	N;PL
kritiken	recensies	kritik	recensie	ADJ;PL	N;PL
kritiken	critici	kritik	criticus	ADJ;PL	N;PL
kritiken	kritiek	kritik	kritiek	ADJ;PL	N;MASC+FEM;SG
kritiken	kritiek	kritik	kritiek	ADJ;PL	N;MASC+FEM;SG
dorothea	dorothea	dorothea	dorothea	PROPN;NOM;FEM;SG	N;MASC+FEM;SG
suhrkamp	suhrkamp	suhrkamp	suhrkamp	PROPN	N;MASC+FEM;SG
kreuzung	oversteken	kreuzung	oversteken		V;NFIN
kreuzung	overschrijden	kreuzung	overschrijden		V;NFIN
kreuzung	oversteek	kreuzung	oversteek		N;MASC+FEM;SG
kreuzung	kruispunt	kreuzung	kruispunt		N;NEUT;SG
kreuzung	kruising	kreuzung	kruising		N;MASC+FEM;SG
kreuzung	junction	kreuzung	junction		N;MASC+FEM;SG
kreuzung	kruispunt	kreuzung	kruispunt		N;NEUT;SG
gilbert	gilbert	gilbern	gilberen	PROPN	N;MASC+FEM;SG
jemals	ever	jemals	ever	ADV	
verschwunden	gone	verschwinden	goon	V;V.PTCP	
aufeinander	opeenvolgende	aufeinander	opeenvolgend	ADV	V;V.PTCP
aufeinander	opeenvolgende	aufeinander	opeenvolgend	ADV	V;V.PTCP
benennung	afspraak	benennung	afspraak	ADJ	N;MASC+FEM;SG
benennung	benoeming	benennung	benoeming	ADJ	N;MASC+FEM;SG
benennung	aanstelling	benennung	aanstelling	ADJ	N;MASC+FEM;SG
benennung	voordracht	benennung	voordracht	ADJ	N;MASC+FEM;SG
benennung	nominatie	benennung	nominatie	ADJ	N;MASC+FEM;SG
benennung	nomineren	benennung	nomineren	ADJ	V;NFIN
benennung	aanwijzing	benennung	aanwijzing	ADJ	N;MASC+FEM;SG
benennung	aanduiding	benennung	aanduiding	ADJ	N;MASC+FEM;SG
benennung	benaming	benennung	benaming	ADJ	N;MASC+FEM;SG
captain	captain	captain	captain	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
captain	kapitein	captain	kapitein	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
captain	gezagvoerder	captain	gezagvoerder	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
ausgang	uitvoer	ausgang	uitvoer		N;MASC+FEM;SG
ausgang	output	ausgang	outputten		N;MASC+FEM;SG
ausgang	uitgaand	ausgang	uitgaand		V;V.PTCP
ausgang	uitgaande	ausgang	uitgaan		V;V.PTCP
ausgang	exit	ausgang	exit		N;MASC+FEM;SG
ausgang	uitgang	ausgang	uitgang		N;MASC+FEM;SG
ausgang	uitgangen	ausgang	uitgang		N;PL
estland	tallinn	estlind	tallinn		N;NEUT;SG
estland	estland	estlind	estland		PROPN;NEUT;SG
estland	litouwen	estlind	litouw		PROPN;NEUT;SG
clara	clara	clara	clara	PROPN;NOM;SG	N;MASC+FEM;SG
erwachsenen	adult	erwachsen	adult	ADJ	
nad	nad	nad	nad	PROPN	N;MASC+FEM;SG
garde	garde	garde	gard		N;MASC+FEM;SG
anzeige	weergave	anzeig	weergave		N;MASC+FEM;SG
anzeige	weergeven	anzeig	weergeven		N;PL
anzeige	display	anzeig	display		N;NEUT;SG
anzeige	reclame	anzeig	reclame		N;MASC+FEM;SG
anzeige	advertentie	anzeig	advertentie		N;MASC+FEM;SG
anzeige	displays	anzeig	displays		N;PL
anzeige	toont	anzeig	tonen		V;SG;PRS;FIN
systemen	systemen	systemen	systeem	V;NFIN	N;PL
sierra	sierra	sierra	sierra	PROPN;NOM;SG	N;MASC+FEM;SG
meißen	meißen	meißen	meißen	PROPN;NOM	N;PL
trennen	scheiding	trennen	scheiding	V;NFIN	N;MASC+FEM;SG
trennen	afscheiding	trennen	afscheiding	V;NFIN	N;MASC+FEM;SG
trennen	aparte	trennen	apart	V;NFIN	ADJ
trennen	apart	trennen	apart	V;NFIN	ADJ
sogn	sogn	sognen	sogn		N;MASC+FEM;SG
entscheidende	beslissend	entscheidend	beslissen	ADJ;NOM;FEM;PL	V;V.PTCP
entscheidende	beslissende	entscheidend	beslissen	ADJ;NOM;FEM;PL	V;V.PTCP
stralsund	stralsund	stralsund	stralsund	PROPN	N;NEUT;SG
zwingend	verplicht	zwingend	verplichten	ADJ	V;V.PTCP
zwingend	verplichte	zwingend	verplichten	ADJ	V;V.PTCP
zwingend	verplicht	zwingend	verplichten	ADJ	V;V.PTCP
zwingend	verplichte	zwingend	verplichten	ADJ	V;V.PTCP
zwingend	verplicht	zwingend	verplichten	ADJ	V;V.PTCP
innenraum	interieur	innenraum	interieur	ADJ	N;NEUT;SG
innenraum	binnenland	innenraum	binnenland	ADJ	N;NEUT;SG
innenraum	interieur	innenraum	interieur	ADJ	N;NEUT;SG
innenraum	binnen	innenraum	binnen	ADJ	ADP
innenraum	indoor	innenraum	indoor	ADJ	N;NEUT;SG
innenraum	overdekte	innenraum	overdekken	ADJ	V;V.PTCP
innenraum	overdekt	innenraum	overdekken	ADJ	V;V.PTCP
innenraum	binnenshuis	innenraum	binnenshuis	ADJ	ADV
kennedy	kennedy	kennedy	kennedy	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
karin	karin	karin	karin	PROPN;NOM;FEM;SG	N;MASC+FEM;SG
händler	dealers	händler	dealer	ADJ	N;PL
händler	handelaren	händler	handelaar	ADJ	N;PL
händler	handelaars	händler	handelaar	ADJ	N;PL
händler	distributeurs	händler	distributeur	ADJ	N;PL
händler	handelaars	händler	handelaar	ADJ	N;PL
händler	handelaren	händler	handelaar	ADJ	N;PL
händler	detailhandel	händler	detailhandel	ADJ	N;MASC+FEM;SG
händler	distributeur	händler	distributeur	ADJ	N;MASC+FEM;SG
händler	verdeler	händler	verdeler	ADJ	N;MASC+FEM;SG
händler	dealer	händler	dealer	ADJ	N;MASC+FEM;SG
händler	handelaar	händler	handelaar	ADJ	N;MASC+FEM;SG
beförderung	rijtuig	beförderung	rijtuig	ADJ	N;NEUT;SG
beförderung	bevordering	beförderung	bevordering	ADJ	N;MASC+FEM;SG
beförderung	promoten	beförderung	promoot	ADJ	V;NFIN
beförderung	promotie	beförderung	promotie	ADJ	N;MASC+FEM;SG
mönchengladbach	mönchengladbach	mönchengladbach	mönchengladbach	ADJ	N;MASC+FEM;SG
germanistik	germaanse	germanistik	germaans	ADJ	V;V.PTCP
durchschnitt	gemiddelde	durchschneiden	gemiddeld		ADJ
durchschnitt	gemiddeld	durchschneiden	gemiddeld		ADJ
durchschnitt	gemiddelden	durchschneiden	gemiddeld		N;PL
singen	gezang	singen	gezang	V;NFIN	N;NEUT;SG
singen	zang	singen	zang	V;NFIN	N;MASC+FEM;SG
camp	kamp	camp	kamp		N;NEUT;SG
minden	minden	minden	minden		ADV
gefecht	battle	fechen	battle		N;MASC+FEM;SG
gefecht	slag	fechen	slag		N;MASC+FEM;SG
gefecht	strijd	fechen	strijd		N;MASC+FEM;SG
gefecht	gevecht	fechen	gevecht		N;NEUT;SG
gefecht	veldslag	fechen	veldslag		N;MASC+FEM;SG
gefecht	schermutseling	fechen	schermutseling		N;MASC+FEM;SG
campbell	campbell	campbell	campbell	PROPN	N;MASC+FEM;SG
mind	mind	mind	mind		
mind	geest	mind	geest		N;MASC+FEM;SG
mind	min	mind	min		ADV
beine	beentjes	bein	been		N;PL
beine	poten	bein	poten		N;PL
beine	benen	bein	been		N;PL
anführer	leider	anführer	leider	ADJ	N;MASC+FEM;SG
anführer	leader	anführer	leader	ADJ	N;MASC+FEM;SG
anführer	leiders	anführer	leider	ADJ	N;PL
techniken	techniek	technik	techniek	V;NFIN	N;MASC+FEM;SG
techniken	technieken	technik	techniek	V;NFIN	N;PL
asteroiden	asteroïde	asteroiden	asteroïde		N;MASC+FEM;SG
asteroiden	asteroïden	asteroiden	asteroïd		N;PL
franco	franco	franco	franco	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
betrachtung	bezinning	betrachtung	bezinning	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
böden	bodems	böden	bodem		N;PL
böden	vloeren	böden	vloeren		N;PL
böden	verdiepingen	böden	verdieping		N;PL
böden	bodem	böden	bodem		N;MASC+FEM;SG
böden	grond	böden	grond		N;MASC+FEM;SG
option	optie	option	optie		N;MASC+FEM;SG
stade	stade	stade	stade		N;MASC+FEM;SG
lukas	luke	lukas	luk	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
lukas	lukas	lukas	lukas	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
lukas	lucas	lukas	lucas	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
morgan	morgan	morgan	morgan	PROPN;NOM;SG	N;MASC+FEM;SG
ständigen	standing	ständig	standing	ADJ	
ständigen	staande	ständig	staan	ADJ	V;V.PTCP
ständigen	staand	ständig	staand	ADJ	V;V.PTCP
ständigen	blijvend	ständig	blijven	ADJ	V;V.PTCP
ständigen	blijvende	ständig	blijven	ADJ	V;V.PTCP
bühnen	podium	bühnen	podium	N;NOM;PL	N;NEUT;SG
bühnen	fase	bühnen	fase	N;NOM;PL	N;MASC+FEM;SG
bühnen	toneel	bühnen	toneel	N;NOM;PL	N;NEUT;SG
bühnen	stadium	bühnen	stadium	N;NOM;PL	N;NEUT;SG
porsche	porsche	porsch	porsche	PROPN;NOM;SG	N;MASC+FEM;SG
beurteilung	oordeel	beurteilung	oordeel	ADJ;NOM;FEM;SG	N;NEUT;SG
beurteilung	evaluatie	beurteilung	evaluatie	ADJ;NOM;FEM;SG	N;MASC+FEM;SG
beurteilung	beoordeling	beurteilung	beoordeling	ADJ;NOM;FEM;SG	N;MASC+FEM;SG
beurteilung	evaluatie	beurteilung	evaluatie	ADJ;NOM;FEM;SG	N;MASC+FEM;SG
beurteilung	beoordeling	beurteilung	beoordeling	ADJ;NOM;FEM;SG	N;MASC+FEM;SG
beurteilung	oordelen	beurteilung	oordelen	ADJ;NOM;FEM;SG	V;NFIN
flecken	vlekken	flecken	vlek	V;NFIN	N;PL
flecken	pleisters	flecken	pleister	V;NFIN	N;PL
flecken	patches	flecken	patche	V;NFIN	N;PL
flecken	vlekken	flecken	vlek	V;NFIN	N;PL
flecken	plekken	flecken	plekken	V;NFIN	N;PL
flecken	spots	flecken	spots	V;NFIN	N;PL
japanisch	japanners	japanisch	japanner	ADJ	N;PL
gewählten	verkozen	gewählt	verkiezen	ADJ;PL	V;V.PTCP
gewählten	gekozen	gewählt	kiezen	ADJ;PL	V;V.PTCP
sat	zat	sat	zitten		V;SG;PST;FIN
sat	sat	sat	sat		N;MASC+FEM;SG
fliehen	ontsnapping	fliehen	ontsnapping	V;NFIN	N;MASC+FEM;SG
fliehen	escape	fliehen	escape	V;NFIN	N;MASC+FEM;SG
erkenntnis	realisering	erkenntnis	realisering	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
erkenntnis	realisatie	erkenntnis	realisatie	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
erkenntnis	waarneming	erkenntnis	waarneming	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
erkenntnis	perceptie	erkenntnis	perceptie	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
erkenntnis	cognitie	erkenntnis	cognitie	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
erkenntnis	inzicht	erkenntnis	inzicht	V;IND;SG;3;PRS;FIN	N;NEUT;SG
steven	steven	steven	steven	PROPN;NOM;SG	N;PL
parker	parker	park	park	PROPN	N;MASC+FEM;SG
bruders	broeder	bruders	broed		N;MASC+FEM;SG
bruders	broer	bruders	broer		N;MASC+FEM;SG
bruders	broertje	bruders	broer		N;NEUT;SG
diff	diff	diff	diff		N;MASC+FEM;SG
diff	verschil	diff	verschil		N;NEUT;SG
pflicht	duty	pflicht	duty	ADJ	N;MASC+FEM;SG
pflicht	plicht	pflicht	plicht	ADJ	N;MASC+FEM;SG
pflicht	verplicht	pflicht	verplichten	ADJ	V;V.PTCP
pflicht	verplichting	pflicht	verplichting	ADJ	N;MASC+FEM;SG
pflicht	verplichte	pflicht	verplichten	ADJ	V;V.PTCP
pflicht	verplicht	pflicht	verplichten	ADJ	V;V.PTCP
pflicht	verplichte	pflicht	verplichten	ADJ	V;V.PTCP
pflicht	verplicht	pflicht	verplichten	ADJ	V;V.PTCP
talent	talenten	talent	talent	ADJ	N;PL
talent	talent	talent	talent	ADJ	N;NEUT;SG
talent	talenten	talent	talent	ADJ	N;PL
fire	brand	fein	brand		N;MASC+FEM;SG
fire	vuren	fein	vuren		V;NFIN
fire	vuur	fein	vuur		N;NEUT;SG
passagiere	passagiers	passagieren	passagier		N;PL
passagiere	reizigers	passagieren	reiziger		N;PL
passagiere	passagier	passagieren	passagier		N;MASC+FEM;SG
passagiere	reiziger	passagieren	reiziger		N;MASC+FEM;SG
generalsekretär	secretaris	generalsekretär	secretaris	ADJ	N;MASC+FEM;SG
generalsekretär	secretaresse	generalsekretär	secretaresse	ADJ	N;MASC+FEM;SG
schnellen	vasten	schnell	vast	ADJ	V;NFIN
schnellen	fast	schnell	fast	ADJ	N;MASC+FEM;SG
wusste	wisten	wissen	weten	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
bahnen	spoorlijnen	bahnen	spoorlijn	V;NFIN	N;PL
bahnen	spoorwegen	bahnen	spoorwegen	V;NFIN	N;PL
bahnen	treinen	bahnen	trein	V;NFIN	N;PL
theologische	theologie	theologisch	theologie	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
hanns	hanns	hanns	hanns	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
thompson	thompson	thompson	thompson	PROPN;NOM;SG	N;MASC+FEM;SG
thompson	janssen	thompson	jans	PROPN;NOM;SG	N;PL
konstantinopel	constantinopel	konstantinopel	constantinopel	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
konstantinopel	istanboel	konstantinopel	istanboel	PROPN;NOM;MASC;SG	N;NEUT;SG
konstantinopel	istanbul	konstantinopel	istanbul	PROPN;NOM;MASC;SG	N;NEUT;SG
henriette	henrietta	henrieten	henrietta	PROPN;NOM;FEM;SG	N;MASC+FEM;SG
henriette	henriette	henrieten	henriette	PROPN;NOM;FEM;SG	N;MASC+FEM;SG
four	four	four	four		
four	vier	four	vier		NUM
dichtung	verzegeling	dichtung	verzegeling		N;MASC+FEM;SG
dichtung	pakking	dichtung	pakking		N;MASC+FEM;SG
dichtung	poëzie	dichtung	poëzie		N;MASC+FEM;SG
dichtung	gedichten	dichtung	gedicht		N;PL
dichtung	verzegelen	dichtung	verzegelen		V;NFIN
dichtung	zegel	dichtung	zegel		N;NEUT;SG
dichtung	zeehond	dichtung	zeehond		N;MASC+FEM;SG
dichtung	verzegeling	dichtung	verzegeling		N;MASC+FEM;SG
hinreichend	toereikend	hinreichend	toereikend	ADJ	V;V.PTCP
theoretisch	theorie	theoretisch	theorie	ADJ	N;MASC+FEM;SG
robinson	robinson	robinson	robinson	PROPN;NOM;SG	N;MASC+FEM;SG
decken	plafonds	decken	plafond	V;NFIN	N;PL
decken	maxima	decken	maxima	V;NFIN	N;MASC+FEM;SG
decken	dekens	decken	deken	V;NFIN	N;PL
decken	cover	decken	cover	V;NFIN	N;MASC+FEM;SG
decken	dekking	decken	dekking	V;NFIN	N;MASC+FEM;SG
decken	omslag	decken	omslag	V;NFIN	N;MASC+FEM;SG
hop	hop	hopen	hop	PROPN;NOM;SG	N;MASC+FEM;SG
legend	legende	legend	legende	ADJ	N;MASC+FEM;SG
legend	legend	legend	legend	ADJ	N;MASC+FEM;SG
wünsche	wish	wünschen	wish	;SG	
wünsche	wensen	wünschen	wens	;SG	N;PL
wünsche	wens	wünschen	wens	;SG	ADJ
wünsche	wensen	wünschen	wens	;SG	N;PL
wünsche	wensen	wünschen	wens	;SG	N;PL
wünsche	wens	wünschen	wens	;SG	ADJ
wünsche	verlangens	wünschen	verlangen	;SG	N;PL
wünsche	begeert	wünschen	begeren	;SG	V;SG;PRS;FIN
dennis	dennis	dennis	dennis	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
nachbarn	buren	nachbarn	buur	ADJ	N;PL
nachbarn	buurvrouw	nachbarn	buurvrouw	ADJ	N;MASC+FEM;SG
nachbarn	buurland	nachbarn	buurland	ADJ	N;NEUT;SG
nachbarn	buur	nachbarn	buur	ADJ	N;MASC+FEM;SG
nachbarn	buurman	nachbarn	buurman	ADJ	N;MASC+FEM;SG
nachbarn	buurlanden	nachbarn	buurland	ADJ	N;PL
nachbarn	buren	nachbarn	buur	ADJ	N;PL
nachbarn	buurvrouw	nachbarn	buurvrouw	ADJ	N;MASC+FEM;SG
nachbarn	buur	nachbarn	buur	ADJ	N;MASC+FEM;SG
nachbarn	buurman	nachbarn	buurman	ADJ	N;MASC+FEM;SG
bologna	bologna	bologna	bologna	PROPN	N;NEUT;SG
vergleichen	vergelijkingen	vergleichen	vergelijking	V;NFIN	N;PL
vergleichen	diff	vergleichen	diff	V;NFIN	N;MASC+FEM;SG
vergleichen	verschil	vergleichen	verschil	V;NFIN	N;NEUT;SG
vergleichen	vergelijking	vergleichen	vergelijking	V;NFIN	N;MASC+FEM;SG
björn	bjorn	björn	bjorn	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
björn	björn	björn	bjorn	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
kolumbien	columbia	kolumbien	columbia	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
kolumbien	colombia	kolumbien	colombia	PROPN;NOM;NEUT;SG	N;NEUT;SG
kolumbien	colombia	kolumbien	colombia	PROPN;NOM;NEUT;SG	N;NEUT;SG
geistliche	priester	geistlich	priester	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
geistliche	priesters	geistlich	priester	ADJ;NOM;FEM;PL	N;PL
download	download	download	download		V;SG;PRS;FIN
download	downloaden	download	download		V;NFIN
dublin	dublin	dublin	dublin	PROPN;NOM;SG	N;NEUT;SG
gabriele	gabriele	gabrielen	gabriel	PROPN;NOM;FEM;SG	N;MASC+FEM;SG
planck	planck	planck	planck	PROPN;NOM;SG	N;MASC+FEM;SG
fantasy	fantasy	fantasy	fantasy	PROPN	N;MASC+FEM;SG
fantasy	fantasie	fantasy	fantasie	PROPN	N;MASC+FEM;SG
anerkannte	erkende	anerkannt	erkennen	ADJ;SG	V;FIN
anerkannte	herkend	anerkannt	herkend	ADJ;SG	V;V.PTCP
anerkannte	erkend	anerkannt	erkend	ADJ;SG	V;V.PTCP
