氟化	фторид	氟化	фторид		N;INAN;NOM;MASC;SG
彈性	гибкие	彈性	гибкий	N	ADJ;NOM;PL
彈性	эластичный	彈性	эластичный	N	ADJ;NOM;MASC;SG
彈性	flex	彈性	flex	N	PROPN
長老	старшая	長老	старший	N	ADJ;NOM;FEM;SG
長老	старший	長老	старший	N	ADJ;NOM;MASC;SG
酒井	сакаи	酒井	сак	PROPN	INTJ
大	резня	大	резня	PART	N;INAN;NOM;FEM;SG
大	бойня	大	бойня	PART	N;INAN;NOM;FEM;SG
大	холокоста	大	холокост	PART	N;INAN;NOM;MASC;SG
大	холокост	大	холокост	PART	N;INAN;NOM;MASC;SG
劫持	похищения	劫持	похищение	V	N;INAN;NOM;NEUT;PL
劫持	похищение	劫持	похищение	V	N;INAN;NOM;NEUT;SG
劫持	угон	劫持	угон	V	N;INAN;NOM;MASC;SG
基	пьедестал	基	пьедестал	V	N;INAN;NOM;MASC;SG
損壞	повреждены	損壞	повредить	N	V;PFV;PL;PST;V.PTCP;PASS
損壞	повреждено	損壞	повредить	N	V;PFV;NEUT;SG;PST;V.PTCP;PASS
損壞	поврежден	損壞	повредить	N	V;PFV;MASC;SG;PST;V.PTCP;PASS
損壞	повреждена	損壞	повредить	N	V;PFV;FEM;SG;PST;V.PTCP;PASS
損壞	повреждены	損壞	повредить	N	V;PFV;PL;PST;V.PTCP;PASS
羅素	расселл	羅素	расселл	PROPN	N;INAN;NOM;MASC;SG
羅素	рассел	羅素	рассел	PROPN	N;ANIM;NOM;MASC;SG
更	исправления	更	исправление	ADV	N;INAN;NOM;NEUT;PL
更	исправление	更	исправление	ADV	N;INAN;NOM;NEUT;SG
更	поправка	更	поправка	ADV	N;INAN;NOM;FEM;SG
更	коррекция	更	коррекция	ADV	N;INAN;NOM;FEM;SG
特種	спецназ	特種	спецназ	ADJ	N;INAN;NOM;MASC;SG
音速	sonic	音速	sonic	N	PROPN
叻	лат	叻	латинский	PROPN	
密西西比	миссисипи	密西西比	миссисипи	PROPN	N;INAN;NOM;MASC;SG
雙	двустороннее	雙	двусторонний	NUM	ADJ;NOM;NEUT;SG
雙	двусторонних	雙	двусторонний	NUM	ADJ;GEN;PL
雙	двусторонний	雙	двусторонний	NUM	ADJ;NOM;MASC;SG
雙	двусторонняя	雙	двусторонний	NUM	ADJ;NOM;FEM;SG
雙	двусторонние	雙	двусторонний	NUM	ADJ;NOM;PL
警務	полицейский	警務	полицейский	N	ADJ;NOM;MASC;SG
橘子	оранжевое	橘子	оранжевый	N	ADJ;NOM;NEUT;SG
橘子	оранжевый	橘子	оранжевый	N	ADJ;NOM;MASC;SG
川口	кавагути	川口	кавагуть	PROPN	N;ANIM;NOM;FEM;PL
死亡	смертность	死亡	смертность	V	N;INAN;NOM;FEM;SG
歌聲	поет	歌聲	петь	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
歌聲	поют	歌聲	петь	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
歌聲	пою	歌聲	пай	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
歌聲	петь	歌聲	петь	N	V;IPFV;NFIN;ACT
散射	рассеяние	散射	рассеяние	V	N;INAN;NOM;NEUT;SG
散射	разброс	散射	разброс	V	N;INAN;NOM;MASC;SG
布加勒斯特	бухаресте	布加勒斯特	бухарест	PROPN	N;INAN;ESS;MASC;SG
存款	вклады	存款	вклад	V	N;INAN;NOM;MASC;PL
獨裁	диктаторского	獨裁	диктаторский	N	ADJ;GEN;MASC;SG
朝倉	асакура	朝倉	асакур	PROPN	N;INAN;NOM;FEM;SG
祈	молитву	祈	молитва	V	N;INAN;ACC;FEM;SG
祈	молитва	祈	молитва	V	N;INAN;NOM;FEM;SG
祈	молитвы	祈	молитва	V	N;INAN;NOM;FEM;PL
祈	молитва	祈	молитва	V	N;INAN;NOM;FEM;SG
相容	совместим	相容	совместимый	N	ADJ;MASC;SG
相容	совместимы	相容	совместимый	N	ADJ;PL
相容	совместимо	相容	совместимый	N	ADJ;NEUT;SG
相容	совместима	相容	совместимый	N	ADJ;FEM;SG
廚師	приготовить	廚師	приготовить	N	V;PFV;NFIN;ACT
廚師	готовить	廚師	готовить	N	V;IPFV;NFIN;ACT
王	короны	王	корона	PROPN	N;INAN;NOM;FEM;PL
王	корону	王	корона	PROPN	N;INAN;ACC;FEM;SG
王	корона	王	корона	PROPN	N;INAN;NOM;FEM;SG
王	короны	王	корона	PROPN	N;INAN;NOM;FEM;PL
王	крон	王	крона	PROPN	N;INAN;NOM;MASC;SG
橡膠	резиновые	橡膠	резиновый	N	ADJ;NOM;PL
探險	экспедиции	探險	экспедиция	V	N;INAN;NOM;FEM;PL
探險	приключения	探險	приключение	V	N;INAN;NOM;NEUT;PL
探險	приключение	探險	приключение	V	N;INAN;NOM;NEUT;SG
探險	экспедиция	探險	экспедиция	V	N;INAN;NOM;FEM;SG
探險	экспедиции	探險	экспедиция	V	N;INAN;NOM;FEM;PL
區塊	заблокировать	區塊	блокировать	N	V;PFV;NFIN;ACT
區塊	блокировать	區塊	блокировать	N	V;IPFV;NFIN;ACT
亞熱帶	субтропических	亞熱帶	субтропический	PROPN	ADJ;GEN;PL
所	соломоновых	所	соломоновый	N	ADJ;GEN;PL
聲援	солидарности	聲援	солидарность	V	N;INAN;NOM;FEM;SG
聲援	солидарность	聲援	солидарность	V	N;INAN;NOM;FEM;SG
核子	ядерная	核子	ядерный	N	ADJ;NOM;FEM;SG
核子	ядерные	核子	ядерный	N	ADJ;NOM;PL
莖	стволовых	莖	стволовый	N	ADJ;GEN;PL
雨林	rainforest	雨林	rainforest	N	PROPN
廢棄	оставления	廢棄	оставление	V	N;INAN;NOM;NEUT;SG
檢視	просмотра	檢視	просмотр	V	N;INAN;GEN;MASC;SG
檢視	просмотр	檢視	просмотр	V	N;INAN;NOM;MASC;SG
檢視	просмотр	檢視	просмотр	V	N;INAN;NOM;MASC;SG
檢視	вид	檢視	вид	V	N;INAN;NOM;MASC;SG
大	виолончели	大	виолончель	PART	N;INAN;NOM;FEM;PL
加熱	тепло	加熱	теплый	V	ADJ;NEUT;SG
加熱	тепла	加熱	тепло	V	N;INAN;GEN;NEUT;SG
加熱	жара	加熱	жар	V	N;INAN;NOM;FEM;SG
加熱	отопление	加熱	отопление	V	N;INAN;NOM;NEUT;SG
加熱	подогревом	加熱	подогрев	V	N;INAN;INS;MASC;SG
還	восстанавливать	還	восстанавливать	ADV	V;IPFV;NFIN;ACT
還	восстановить	還	восстановить	ADV	V;PFV;NFIN;ACT
巴頓	паттон	巴頓	паттон	PROPN	N;ANIM;NOM;MASC;SG
華沙	варшава	華沙	варшав	PROPN	N;INAN;NOM;FEM;SG
華沙	варшаве	華沙	варшав	PROPN	N;INAN;DAT;MASC;SG
掃	сканирование	掃	сканирование	V	N;INAN;NOM;NEUT;SG
掃	сканирования	掃	сканирование	V	N;INAN;NOM;NEUT;PL
掃	сканирование	掃	сканирование	V	N;INAN;NOM;NEUT;SG
電報	telegram	電報	telegram	N	PROPN
升降	лифт	升降	лифт	V	N;INAN;NOM;MASC;SG
機密	конфиденциально	機密	конфиденциально	N	ADV
機密	конфиденциальной	機密	конфиденциальный	N	ADJ;INS;FEM;SG
諾曼	норман	諾曼	норман	PROPN	N;ANIM;NOM;MASC;SG
散布	разброс	散布	разброс	V	N;INAN;NOM;MASC;SG
斐濟	фиджи	斐濟	фидж	PROPN	N;INAN;NOM;FEM;SG
潛在	потенциал	潛在	потенциал	V	N;INAN;NOM;MASC;SG
潛在	потенциальная	潛在	потенциальный	V	ADJ;NOM;FEM;SG
呼叫	звонок	呼叫	звонок	V	N;INAN;NOM;MASC;SG
呼叫	звонок	呼叫	звонок	V	N;INAN;NOM;MASC;SG
呼叫	призвание	呼叫	призвание	V	N;INAN;NOM;NEUT;SG
嵌	вложение	嵌	вложение	V	N;INAN;NOM;NEUT;SG
出血	кровотечение	出血	кровотечение	V	N;INAN;NOM;NEUT;SG
出血	кровотечения	出血	кровотечение	V	N;INAN;NOM;NEUT;PL
出血	кровотечение	出血	кровотечение	V	N;INAN;NOM;NEUT;SG
烤	печь	烤	печь	V	N;INAN;NOM;FEM;SG
烤	жаркое	烤	жаркий	V	ADJ;NOM;NEUT;SG
口腔	устный	口腔	устный	N	ADJ;NOM;MASC;SG
口腔	устно	口腔	устно	N	ADV
口腔	устные	口腔	устный	N	ADJ;NOM;PL
口腔	устное	口腔	устный	N	ADJ;NOM;NEUT;SG
港灣	харбор	港灣	харбор	PROPN	N;INAN;NOM;MASC;SG
港灣	гавань	港灣	гавань	PROPN	N;INAN;NOM;FEM;SG
港灣	гавани	港灣	гавань	PROPN	N;INAN;NOM;FEM;PL
港灣	гаваней	港灣	гавань	PROPN	N;INAN;GEN;MASC;PL
港灣	гавани	港灣	гавань	PROPN	N;INAN;NOM;FEM;PL
港灣	харбор	港灣	харбор	PROPN	N;INAN;NOM;MASC;SG
港灣	гавань	港灣	гавань	PROPN	N;INAN;NOM;FEM;SG
牽引	тяги	牽引	тяга	V	N;INAN;NOM;FEM;PL
菊池	кикути	菊池	кикуть	PROPN	N;INAN;NOM;FEM;SG
左邊	левой	左邊	левый	N	ADJ;INS;FEM;SG
左邊	слева	左邊	слева	N	ADV
左邊	налево	左邊	налево	N	ADV
左邊	осталось	左邊	остаться	N	V;PFV;NEUT;IND;SG;PST;FIN;MID
左邊	оставил	左邊	оставить	N	V;PFV;MASC;IND;SG;PST;FIN;ACT
喵	мяу	喵	мяу	PROPN	INTJ
絕望	отчаянные	絕望	отчаянный	N	ADJ;NOM;PL
摩納哥	монако	摩納哥	монако	PROPN	N;INAN;NOM;MASC;SG
甘肅	ганьсу	甘肅	ганьсу	PROPN	N;INAN;NOM;MASC;SG
敵對	враждебность	敵對	враждебность	V	N;INAN;NOM;FEM;SG
敵對	враждебности	敵對	враждебность	V	N;INAN;NOM;FEM;SG
敵對	враждебность	敵對	враждебность	V	N;INAN;NOM;FEM;SG
敵對	враждебной	敵對	враждебный	V	ADJ;INS;FEM;SG
敵對	противник	敵對	противник	V	N;ANIM;NOM;MASC;SG
敵對	враждебные	敵對	враждебный	V	ADJ;NOM;PL
敵對	враждебно	敵對	враждебно	V	ADV
卡賓	carbine	卡賓	carbine	N	PROPN
出處	происхождение	出處	происхождение	V	N;INAN;NOM;NEUT;SG
出處	происхождения	出處	происхождение	V	N;INAN;NOM;NEUT;SG
出處	происхождение	出處	происхождение	V	N;INAN;NOM;NEUT;SG
電磁	электромагнитной	電磁	электромагнитный	N	ADJ;INS;FEM;SG
瘋	сумасшедшая	瘋	сумасшедший		ADJ;NOM;FEM;SG
瘋	сумасшествие	瘋	сумасшествие		N;INAN;NOM;NEUT;SG
瘋	безумие	瘋	безумие		N;INAN;NOM;NEUT;SG
瘋	безумно	瘋	безумно		ADV
瘋	сумасшедший	瘋	сумасшедший		ADJ;NOM;MASC;SG
金子	золотой	金子	золотой	PROPN	ADJ;NOM;MASC;SG
金子	золотая	金子	золотой	PROPN	ADJ;NOM;FEM;SG
金子	gold	金子	gold	PROPN	PROPN
金子	золото	金子	золото	PROPN	N;INAN;NOM;NEUT;SG
金子	золотые	金子	золотой	PROPN	ADJ;NOM;PL
贏	победа	贏	победа	V	N;INAN;NOM;FEM;SG
開除	увольнения	開除	увольнение	V	N;INAN;NOM;NEUT;PL
開除	увольнение	開除	увольнение	V	N;INAN;NOM;NEUT;SG
持久	прочного	持久	прочный	V	ADJ;GEN;MASC;SG
持久	прочный	持久	прочный	V	ADJ;NOM;MASC;SG
持久	прочного	持久	прочный	V	ADJ;GEN;MASC;SG
永久	постоянство	永久	постоянство	ADJ	N;INAN;NOM;NEUT;SG
捐助	пожертвования	捐助	пожертвование	V	N;INAN;NOM;NEUT;PL
濕地	заболоченных	濕地	заболотить	N	V;PFV;GEN;PL;PST;V.PTCP;PASS
濕地	водно	濕地	водный	N	ADV
東正	православие	東正	православие	PROPN	N;INAN;NOM;NEUT;SG
東正	православной	東正	православный	PROPN	ADJ;INS;FEM;SG
燕子	проглотить	燕子	проглотить	PROPN	V;PFV;NFIN;ACT
燕子	ласточки	燕子	ласточка	PROPN	N;ANIM;NOM;FEM;PL
橢	эллиптические	橢	эллиптический	N	ADJ;NOM;PL
追逐	погоня	追逐	погоня	V	N;INAN;NOM;FEM;SG
追逐	преследование	追逐	преследование	V	N;INAN;NOM;NEUT;SG
追逐	чейз	追逐	чейз	V	N;ANIM;NOM;MASC;SG
追逐	погоня	追逐	погоня	V	N;INAN;NOM;FEM;SG
君士坦丁	константин	君士坦丁	константин	PROPN	N;ANIM;NOM;MASC;SG
天然	газа	天然	газ	ADJ	N;INAN;GEN;MASC;SG
天然	бензин	天然	бензин	ADJ	N;INAN;NOM;MASC;SG
天然	газ	天然	газ	ADJ	N;INAN;NOM;MASC;SG
方塊	квадратный	方塊	квадратный	N	ADJ;NOM;MASC;SG
均衡	сбалансированный	均衡	балансировать	N	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
均衡	сбалансированное	均衡	балансировать	N	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
均衡	сбалансированного	均衡	балансировать	N	V;PFV;GEN;MASC;SG;PST;V.PTCP;PASS
藏	тибетский	藏	тибетский	PROPN	ADJ;NOM;MASC;SG
宣教	дава	宣教	дава	N	
保管	стражей	保管	стража	V	N;INAN;NOM;FEM;SG
粗糙	грубый	粗糙	грубый	N	ADJ;NOM;MASC;SG
激情	страстный	激情	страстный	N	ADJ;NOM;MASC;SG
激情	страстно	激情	страстно	N	ADV
擦音	спирант	擦音	спирант	N	
珍貴	драгоценных	珍貴	драгоценный	N	ADJ;GEN;PL
珍貴	драгоценные	珍貴	драгоценный	N	ADJ;NOM;PL
珍貴	драгоценный	珍貴	драгоценный	N	ADJ;NOM;MASC;SG
嚴厲	суровый	嚴厲	суровый	N	ADJ;NOM;MASC;SG
嚴厲	суровые	嚴厲	суровый	N	ADJ;NOM;PL
嚴厲	суровых	嚴厲	суровый	N	ADJ;GEN;PL
長春	чанчунь	長春	чанчунь	PROPN	N;INAN;NOM;MASC;SG
通航	судоходных	通航	судоходный	V	ADJ;GEN;PL
俄亥俄	огайо	俄亥俄	огато	PROPN	N;INAN;NOM;MASC;SG
輸送	конвейер	輸送	конвейер	V	N;INAN;NOM;MASC;SG
約瑟	джозеф	約瑟	джозеф	PROPN	N;ANIM;NOM;MASC;SG
約瑟	иосиф	約瑟	иосиф	PROPN	N;ANIM;NOM;MASC;SG
約瑟	жозеф	約瑟	жозеф	PROPN	N;ANIM;NOM;MASC;SG
愛心	заботливый	愛心	заботливый	N	ADJ;NOM;MASC;SG
約旦	иордания	約旦	иордание	PROPN	N;INAN;NOM;NEUT;SG
約旦	иордан	約旦	иордан	PROPN	N;INAN;NOM;MASC;SG
約旦	иорданию	約旦	иордание	PROPN	N;INAN;DAT;NEUT;SG
約旦	джордан	約旦	джордан	PROPN	N;ANIM;NOM;MASC;SG
約旦	иордании	約旦	иордание	PROPN	N;INAN;NOM;NEUT;SG
赦	помилование	赦	помилование	V	N;INAN;NOM;NEUT;SG
赦	помилования	赦	помилование	V	N;INAN;NOM;NEUT;PL
昨天	вчера	昨天	вчера	N	ADV
昨天	вчерашний	昨天	вчерашний	N	ADJ;NOM;MASC;SG
生殖	репродуктивного	生殖	репродуктивный	N	ADJ;GEN;MASC;SG
十	десятка	十	десяток	NUM	N;INAN;NOM;MASC;SG
十	ten	十	ten	NUM	PROPN
交配	приятель	交配	приятель	V	N;ANIM;NOM;MASC;SG
交配	мат	交配	мат	V	N;INAN;NOM;MASC;SG
交配	спаривания	交配	спаривание	V	N;INAN;NOM;NEUT;PL
小川	огава	小川	огава	PROPN	
投射	проекция	投射	проекция	V	N;INAN;NOM;FEM;SG
漢	сеуле	漢	сеул	PROPN	N;INAN;NOM;MASC;SG
漢	сеул	漢	сеул	PROPN	N;INAN;NOM;MASC;SG
藥用	лечебные	藥用	лечебный	N	ADJ;NOM;PL
藥用	лекарственных	藥用	лекарственный	N	ADJ;GEN;PL
藥用	лекарственные	藥用	лекарственный	N	ADJ;NOM;PL
酸性	кислой	酸性	кислый	N	ADJ;INS;FEM;SG
多明尼加	доминиканская	多明尼加	доминиканский	PROPN	ADJ;NOM;FEM;SG
多明尼加	доминиканской	多明尼加	доминиканский	PROPN	ADJ;INS;FEM;SG
世系	lineage	世系	lineage	N	PROPN
抬	поднять	抬	поднять	ADP	V;PFV;NFIN;ACT
抬	лифт	抬	лифт	ADP	N;INAN;NOM;MASC;SG
歐文	оуэн	歐文	оуэн	PROPN	N;ANIM;NOM;MASC;SG
歐文	ирвинг	歐文	ирвинг	PROPN	N;ANIM;NOM;MASC;SG
俄	русская	俄	русский	PROPN	ADJ;NOM;FEM;SG
俄	русские	俄	русский	PROPN	N;ANIM;NOM;MASC;PL
俄	российская	俄	российский	PROPN	ADJ;NOM;FEM;SG
俄	русский	俄	русский	PROPN	ADJ;NOM;MASC;SG
反駁	опровержение	反駁	опровержение	V	N;INAN;NOM;NEUT;SG
成年	взрослая	成年	взрослый	V	ADJ;NOM;FEM;SG
成年	взрослый	成年	взрослый	V	ADJ;NOM;MASC;SG
成年	взрослых	成年	взрослый	V	N;ANIM;GEN;MASC;PL
成年	взрослые	成年	взрослый	V	N;ANIM;NOM;MASC;PL
成年	взрослых	成年	взрослый	V	N;ANIM;GEN;MASC;PL
成年	взрослые	成年	взрослый	V	N;ANIM;NOM;MASC;PL
冬青	холли	冬青	холль	PROPN	N;INAN;NOM;FEM;SG
空前	беспрецедентное	空前	беспрецедентный	N	ADJ;NOM;NEUT;SG
空前	беспрецедентный	空前	беспрецедентный	N	ADJ;NOM;MASC;SG
空前	беспрецедентные	空前	беспрецедентный	N	ADJ;NOM;PL
空前	беспрецедентно	空前	беспрецедентно	N	ADV
大炮	артиллерийские	大炮	артиллерийский	N	ADJ;NOM;PL
大炮	артиллерийский	大炮	артиллерийский	N	ADJ;NOM;MASC;SG
明智	мудрый	明智	мудрый	N	ADJ;NOM;MASC;SG
明智	мудро	明智	мудро	N	ADV
明智	мудрое	明智	мудрый	N	ADJ;NOM;NEUT;SG
明智	мудрые	明智	мудрый	N	ADJ;NOM;PL
抽籤	ничья	抽籤	ничья	V	N;INAN;NOM;FEM;SG
聖人	святые	聖人	святой	N	ADJ;NOM;PL
聖人	святой	聖人	святой	N	ADJ;NOM;MASC;SG
聖人	сен	聖人	сен	N	
聖人	святая	聖人	святой	N	ADJ;NOM;FEM;SG
阿瑟	артур	阿瑟	артур	PROPN	N;ANIM;NOM;MASC;SG
阿瑟	артура	阿瑟	артур	PROPN	N;ANIM;ACC;MASC;SG
捕獲	захват	捕獲	захват	V	N;INAN;NOM;MASC;SG
捕獲	захвата	捕獲	захват	V	N;INAN;GEN;MASC;SG
思維	думаю	思維	думать	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
計程	taxi	計程	taxi	N	PROPN
布魯塞爾	брюсселе	布魯塞爾	брюссель	PROPN	N;INAN;ESS;MASC;SG
布魯塞爾	брюссель	布魯塞爾	брюссель	PROPN	N;INAN;NOM;MASC;SG
歸還	реституции	歸還	реституция	V	N;INAN;NOM;FEM;PL
失業	безработный	失業	безработный	V	ADJ;NOM;MASC;SG
失業	безработных	失業	безработный	V	N;ANIM;GEN;MASC;PL
失業	безработные	失業	безработный	V	N;ANIM;NOM;MASC;PL
失業	безработным	失業	безработный	V	ADJ;INS;MASC;SG
失業	безработицы	失業	безработица	V	N;INAN;NOM;FEM;SG
失業	безработица	失業	безработица	V	N;INAN;NOM;FEM;SG
昂貴	дорогое	昂貴	дорогой	N	ADJ;NOM;NEUT;SG
昂貴	дорого	昂貴	дорогой	N	ADJ;NEUT;SG
昂貴	дорогие	昂貴	дорогой	N	ADJ;NOM;PL
大	каннабиса	大	каннабис	PART	N;INAN;GEN;MASC;SG
大	марихуаны	大	марихуана	PART	N;INAN;NOM;FEM;PL
大	трава	大	трава	PART	N;INAN;NOM;FEM;SG
大	траву	大	трава	PART	N;INAN;ACC;FEM;SG
可	подозрительные	可	подозрительный	V	ADJ;NOM;PL
可	подозрительный	可	подозрительный	V	ADJ;NOM;MASC;SG
可	подозрительно	可	подозрительно	V	ADV
可	подозрительных	可	подозрительный	V	ADJ;GEN;PL
抗	антибиотики	抗	антибиотика	V	N;INAN;NOM;MASC;PL
抗	антибиотик	抗	антибиотик	V	N;INAN;NOM;MASC;SG
專營	франшизы	專營	франшиз	V	N;INAN;NOM;FEM;PL
專營	франшиза	專營	франшиз	V	N;INAN;NOM;FEM;SG
字面	буквально	字面	буквально	N	ADV
自轉	вращения	自轉	вращение	V	N;INAN;NOM;NEUT;PL
自轉	ротации	自轉	ротация	V	N;INAN;NOM;FEM;PL
自轉	вращение	自轉	вращение	V	N;INAN;NOM;NEUT;SG
大通	чейз	大通	чейз	PROPN	N;ANIM;NOM;MASC;SG
大通	погоня	大通	погоня	PROPN	N;INAN;NOM;FEM;SG
破碎	сломан	破碎	сломан	N	V;PFV;MASC;SG;PST;V.PTCP;PASS
破碎	сломана	破碎	ломать	N	V;PFV;FEM;SG;PST;V.PTCP;PASS
老年	старше	老年	старший	N	ADJ;CMPR
老年	старшая	老年	старший	N	ADJ;NOM;FEM;SG
隔離	изолированных	隔離	изолировать	N	V;PFV;GEN;PL;PST;V.PTCP;PASS
砸	разбить	砸	разбить	ADP	V;PFV;NFIN;ACT
砸	smashing	砸	smashing	ADP	PROPN
生病	больна	生病	больной	V	ADJ;FEM;SG
生病	болен	生病	больной	V	ADJ;MASC;SG
生病	больная	生病	больной	V	ADJ;NOM;FEM;SG
生病	больным	生病	больной	V	N;ANIM;DAT;MASC;PL
生病	больна	生病	больной	V	ADJ;FEM;SG
生病	больные	生病	больной	V	N;ANIM;NOM;MASC;PL
生病	болен	生病	больной	V	ADJ;MASC;SG
生病	больной	生病	больной	V	N;ANIM;NOM;MASC;SG
中	среднее	中	средний	N	ADJ;NOM;NEUT;SG
摔	бороться	摔	бороться	N	V;IPFV;NFIN;MID
濟南	цзинань	濟南	цзинань	PROPN	N;INAN;NOM;MASC;SG
日產	nissan	日產	nissan	N	PROPN
高	эффективно	高	эффективно	ADJ	ADV
高	эффективно	高	эффективно	ADJ	ADV
探險	исследователь	探險	исследователь	V	N;ANIM;NOM;MASC;SG
探險	explorer	探險	explorer	V	PROPN
探險	исследователи	探險	исследователь	V	N;ANIM;NOM;MASC;PL
拖延	задержки	拖延	задержка	V	N;INAN;NOM;FEM;PL
拖延	задержка	拖延	задержка	V	N;INAN;NOM;FEM;SG
拖延	задержки	拖延	задержка	V	N;INAN;NOM;FEM;PL
拖延	проволочек	拖延	проволочка	V	N;INAN;GEN;FEM;PL
安息	разорвать	安息	разрыть	PROPN	V;PFV;NFIN;ACT
安息	рип	安息	рип	PROPN	N;INAN;NOM;MASC;SG
震撼	потрясли	震撼	потрясти	N	V;PFV;IND;PL;PST;FIN;ACT
商家	торгового	商家	торговый	N	ADJ;GEN;MASC;SG
煩惱	раздражает	煩惱	раздражать	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
鮑威爾	пауэлл	鮑威爾	пауэлл	PROPN	N;ANIM;NOM;MASC;SG
脊椎	позвоночных	脊椎	позвоночный	N	ADJ;GEN;PL
混合	смесь	混合	смесь	V	N;INAN;NOM;FEM;SG
混合	смесей	混合	смесь	V	N;INAN;GEN;FEM;PL
混合	смеси	混合	смесь	V	N;INAN;NOM;FEM;PL
粉紅	pink	粉紅	pink	N	PROPN
粉紅	розовая	粉紅	розовый	N	ADJ;NOM;FEM;SG
粉紅	розовые	粉紅	розовый	N	ADJ;NOM;PL
粉紅	розовое	粉紅	розовый	N	ADJ;NOM;NEUT;SG
粉紅	розовый	粉紅	розовый	N	ADJ;NOM;MASC;SG
脆	хрупкий	脆	хрупкий	N	ADJ;NOM;MASC;SG
脆	хрупкой	脆	хрупкий	N	ADJ;INS;FEM;SG
脆	хрупкая	脆	хрупкий	N	ADJ;NOM;FEM;SG
脆	уязвимые	脆	уязвимый	N	ADJ;NOM;PL
脆	уязвимых	脆	уязвимый	N	ADJ;GEN;PL
定制	индивидуально	定制	индивидуально	V	ADV
定制	обычай	定制	обычай	V	N;INAN;NOM;MASC;SG
協和	согласия	協和	согласие	PROPN	N;INAN;GEN;NEUT;SG
餐	обеденный	餐	обеденный	N	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
亞馬遜	амазонки	亞馬遜	амазонка	PROPN	N;INAN;NOM;FEM;PL
微	слабый	微	слабый	N	ADJ;NOM;MASC;SG
眼淚	слезоточивый	眼淚	слезоточивый	N	ADJ;NOM;MASC;SG
特赦	amnesty	特赦	amnesty	N	PROPN
海牙	гааге	海牙	гаага	PROPN	N;INAN;DAT;MASC;SG
領導	руководитель	領導	руководитель	V	N;ANIM;NOM;MASC;SG
領導	лидер	領導	лидер	V	N;ANIM;NOM;MASC;SG
領導	лидеров	領導	лидер	V	N;ANIM;GEN;MASC;PL
領導	лидеры	領導	лидер	V	N;ANIM;NOM;MASC;PL
領導	руководители	領導	руководитель	V	N;ANIM;NOM;MASC;PL
言	слов	言	слово	V	N;INAN;GEN;NEUT;PL
言	слова	言	слово	V	N;INAN;NOM;NEUT;PL
拆解	демонтаж	拆解	демонтаж	V	N;INAN;NOM;MASC;SG
拆解	демонтажа	拆解	демонтаж	V	N;INAN;GEN;MASC;SG
綏	туй	綏	туй	N	
容忍	допуск	容忍	допуск	V	N;INAN;NOM;MASC;SG
容忍	терпимости	容忍	терпимость	V	N;INAN;GEN;FEM;SG
容忍	терпимость	容忍	терпимость	V	N;INAN;NOM;FEM;SG
容忍	допустимое	容忍	допустимый	V	ADJ;NOM;NEUT;SG
四	квартет	四	квартет	NUM	N;INAN;NOM;MASC;SG
四	четверка	四	четверка	NUM	N;INAN;NOM;FEM;SG
州際	межгосударственного	州際	межгосударственный	N	ADJ;GEN;MASC;SG
偏好	предпочла	偏好	предпочесть	N	V;PFV;FEM;IND;SG;PST;FIN;ACT
利潤	прибыль	利潤	прибыль		N;INAN;NOM;FEM;SG
利潤	прибыли	利潤	прибыть		V;PFV;IND;PL;PST;FIN;ACT
利潤	доходность	利潤	доходность		N;INAN;NOM;FEM;SG
利潤	прибыль	利潤	прибыль		N;INAN;NOM;FEM;SG
利潤	прибыли	利潤	прибыть		V;PFV;IND;PL;PST;FIN;ACT
弊	минусы	弊	минус	V	N;INAN;NOM;MASC;PL
切換	переключатель	切換	переключатель	V	N;INAN;NOM;MASC;SG
切換	переключение	切換	переключение	V	N;INAN;NOM;NEUT;SG
切換	переключение	切換	переключение	V	N;INAN;NOM;NEUT;SG
切換	переключения	切換	переключение	V	N;INAN;NOM;NEUT;PL
琮	цун	琮	цун	PROPN	
奔	бег	奔	бег	V	N;INAN;NOM;MASC;SG
震驚	шокирует	震驚	шокировать	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
震驚	шокирован	震驚	шокировать	N	V;PFV;MASC;SG;PST;V.PTCP;PASS
協作	сотрудничать	協作	сотрудничать	N	V;IPFV;NFIN;ACT
郵件	mail	郵件	mail	N	PROPN
無視	пренебрежение	無視	пренебрежение	V	N;INAN;NOM;NEUT;SG
無視	игнорирование	無視	игнорирование	V	N;INAN;NOM;NEUT;SG
代理	прокси	代理	прокси	V	N;INAN;NOM;MASC;SG
代理	агентов	代理	агент	V	N;ANIM;GEN;MASC;PL
代理	агенты	代理	агент	V	N;ANIM;NOM;MASC;PL
代理	прокси	代理	прокси	V	N;INAN;NOM;MASC;SG
代理	агент	代理	агент	V	N;ANIM;NOM;MASC;SG
呂宋	лусон	呂宋	лусон	PROPN	N;INAN;NOM;MASC;SG
美味	вкусно	美味	вкусный	N	ADJ;NEUT;SG
