von	no	von	no	ADP	
amerikanische	amerikāņu	amerikanisch	amerikānis	ADJ;NOM;FEM;PL	N;GEN;MASC;PL
amerikanische	amerikas	amerikanisch	amerika	ADJ;NOM;FEM;PL	PROPN;NOM;FEM;PL
leider	piedodiet	leider	piedot	ADV	V;IMP;PL;2;POS;FIN;ACT
leider	žēl	leider	žēl	ADV	PART
leider	piedod	leider	piedot	ADV	V;IMP;SG;2;POS;FIN;ACT
leider	atvainojiet	leider	atvainot	ADV	V;IMP;PL;2;POS;FIN;ACT
leider	diemžēl	leider	diemžēl	ADV	PART
leider	diemžēl	leider	diemžēl	ADV	PART
uhr	skatīties	uhr	skatīties	N;NOM;FEM;SG	V;POS;REFL;NFIN
uhr	skaties	uhr	skatīties	N;NOM;FEM;SG	V;IMP;SG;2;POS;REFL;FIN;ACT
uhr	pulksteni	uhr	pulkstenis	N;NOM;FEM;SG	N;ACC;MASC;SG
einzige	tikai	einzig	tikai	ADJ;NOM;FEM;PL	PART
einzige	vienīgais	einzig	vienīgs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
einzige	vienīgā	einzig	vienīga	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
einzige	vienotā	einzig	vienots	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
einzige	vienreizēja	einzig	vienreizēja	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
einzige	vienots	einzig	vienots	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
einzige	vienotais	einzig	vienot	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
liegen	meli	liegen	meli	V;NFIN	N;NOM;MASC
meinung	viedokļi	meinung	viedoklis	N;NOM;FEM;SG	N;NOM;MASC;PL
meinung	atzinumi	meinung	atzinums	N;NOM;FEM;SG	N;NOM;MASC;PL
meinung	atzinumus	meinung	atzinums	N;NOM;FEM;SG	N;ACC;MASC;PL
kultur	kultūra	kultur	kultūra		N;NOM;FEM;SG
kultur	civilizācija	kultur	civilizācija		N;NOM;FEM;SG
alexander	aleksandrs	alexander	aleksandrs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
hab	saņēmu	haben	saņemt	V;IND;SG;3;PRS;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
vorhanden	pieejams	vorhanden	pieiet	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
vorhanden	pieejami	vorhanden	pieejams	ADJ	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
vorhanden	pieejamas	vorhanden	pieejama	ADJ	V;NOM;INDF;FEM;PL;PRS;V.PTCP;PASS
vorhanden	pieejama	vorhanden	pieejama	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
vorhanden	pieejamie	vorhanden	pieiet	ADJ	V;NOM;DEF;MASC;PL;PRS;V.PTCP;PASS
vorhanden	klāt	vorhanden	klāt	ADJ	ADV
vorhanden	tagadni	vorhanden	tagadne	ADJ	N;ACC;FEM;SG
projekt	projekta	projekt	projekts	V;FIN	N;GEN;MASC;SG
projekt	projekts	projekt	projekts	V;FIN	N;NOM;MASC;SG
maler	gleznotājs	maler	gleznotājs	ADJ	N;NOM;MASC;SG
maler	izpildītājs	maler	izpildītājs	ADJ	N;NOM;MASC;SG
maler	māksliniece	maler	māksliniece	ADJ	N;NOM;FEM;SG
maler	mākslinieks	maler	mākslinieks	ADJ	N;NOM;MASC;SG
paar	pāris	paar	pāris	ADV	N;NOM;MASC;SG
paar	pāra	paar	pāra	ADV	N;NOM;FEM;SG
paar	pāris	paar	pāris	ADV	N;NOM;MASC;SG
paar	pāra	paar	pāra	ADV	N;NOM;FEM;SG
paar	pāru	paar	pāris	ADV	N;ACC;MASC;SG
max	max	max	maxēt	PROPN;NOM;MASC;SG	
max	maks	max	maks	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
max	makss	max	makss	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
sommer	vasarai	sommer	vasara	ADV	N;DAT;FEM;SG
sommer	vasara	sommer	vasara	ADV	N;NOM;FEM;SG
sommer	vasarā	sommer	vasara	ADV	N;ESS;FEM;SG
sommer	zommers	sommer	zommers	ADV	N;NOM;MASC;SG
sommer	summertime	sommer	summertime	ADV	N;NOM;FEM;SG
runde	klēpī	runde	klēpis	ADV	N;ESS;MASC;SG
runde	klēpja	runde	klēpja	ADV	N;GEN;MASC;SG
runde	apaļš	runde	apaļš	ADV	ADJ;NOM;MASC;SG
runde	apaļi	runde	apaļi	ADV	ADJ;NOM;MASC;PL
runde	kārta	runde	kārta	ADV	N;NOM;FEM;SG
runde	apaļa	runde	apaļa	ADV	ADJ;NOM;FEM;SG
runde	kārtas	runde	kārta	ADV	N;NOM;FEM;PL
runde	kārtās	runde	kārta	ADV	N;ESS;FEM;PL
william	viljams	william	viljams	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
institut	institūts	instituen	institūts	ADJ	N;NOM;MASC;SG
institut	institūtā	instituen	Institūta	ADJ	N;ESS;MASC;SG
institut	institut	instituen	institus	ADJ	
raum	istaba	raum	istaba	ADV	N;NOM;FEM;SG
raum	istabā	raum	istaba	ADV	N;ESS;FEM;SG
raum	istabas	raum	istaba	ADV	N;NOM;FEM;PL
raum	telpa	raum	telpa	ADV	N;NOM;FEM;SG
raum	istabu	raum	istaba	ADV	N;ACC;FEM;SG
raum	telpa	raum	telpa	ADV	N;NOM;FEM;SG
raum	kosmoss	raum	kosmoss	ADV	N;NOM;MASC;SG
armee	armijas	arme	armija	N;NOM;FEM;SG	N;NOM;FEM;PL
armee	armijas	arme	armija	N;NOM;FEM;SG	N;NOM;FEM;PL
jean	žans	jean	žans	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
jean	džīna	jean	džīna	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
tun	tun	tun	tun	V;NFIN	
gleichzeitig	vienlaikus	gleichzeitig	vienlaikus	ADJ	ADV
gleichzeitig	vienlaikus	gleichzeitig	vienlaikus	ADJ	ADV
gleichzeitig	vienlaicīgi	gleichzeitig	vienlaicīgi	ADJ	ADV
gleichzeitig	paralēli	gleichzeitig	paralēli	ADJ	ADV
gleichzeitig	paralēlas	gleichzeitig	paralēla	ADJ	N;NOM;FEM;PL
strecke	liecības	strecken	liecība	N;SG	N;NOM;FEM;PL
ehemalige	absolventi	ehemalig	absolvents	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
ehemalige	bijusī	ehemalig	būt	ADJ;NOM;FEM;PL	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
ehemalige	bijušie	ehemalig	būt	ADJ;NOM;FEM;PL	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
ehemalige	bijušais	ehemalig	bijušais	ADJ;NOM;FEM;PL	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
vereinigten	united	vereinigen	unitede	ADJ;PL	
vereinigten	apvienotā	vereinigen	apvienot	ADJ;PL	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
vereinigten	apvienoto	vereinigen	apvienot	ADJ;PL	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
vereinigten	vienoti	vereinigen	vienots	ADJ;PL	ADV
bevor	pirms	bevor	pirms	CONJ	ADP
regel	norma	regel	norma	ADV	N;NOM;FEM;SG
regel	norm	regel	norm	ADV	
regel	noteikums	regel	noteikums	ADV	N;NOM;MASC;SG
daten	dati	daten	dati	N;NOM;NEUT;PL	N;NOM;MASC
welches	kuras	welch	kura	PRO;NOM;NEUT;SG	PRO;NOM;FEM;PL
theater	teātri	theat	teātris	N;NOM;SG	N;NOM;MASC;PL
theater	teātru	theat	teātris	N;NOM;SG	N;GEN;MASC;PL
theater	teātrī	theat	teātris	N;NOM;SG	N;ESS;MASC;SG
theater	teātra	theat	teātris	N;NOM;SG	N;GEN;MASC;SG
wollte	gribēju	wollen	gribēt	V;IND;SG;3;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
wollte	gribēja	wollen	gribēt	V;IND;SG;3;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
wollte	vēlējās	wollen	vēlēties	V;IND;SG;3;PST;FIN	V;FH;IND;3;POS;REFL;PST;FIN;ACT
wollte	vēlējās	wollen	vēlēties	V;IND;SG;3;PST;FIN	V;FH;IND;3;POS;REFL;PST;FIN;ACT
dritten	trešā	dritt	trešā	ADJ;ACC;MASC;SG	ADJ;NOM;DEF;FEM;SG
dritten	trešais	dritt	trešais	ADJ;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
ehe	laulība	ehe	laulība		N;NOM;FEM;SG
ehe	laulībā	ehe	laulība		N;ESS;FEM;SG
ehe	laulību	ehe	laulība		N;ACC;FEM;SG
ehe	laulības	ehe	laulība		N;NOM;FEM;PL
völlig	pilnīgi	völlig	pilnīgi	ADJ	ADV
völlig	pilnīgi	völlig	pilnīgi	ADJ	ADV
person	cilvēks	person	cilvēks		N;NOM;MASC;SG
person	persona	person	persona		N;NOM;FEM;SG
mein	mein	mein	mein	PRO;NOM;MASC;SG	
kloster	klostera	kloster	klosteris	ADJ	N;GEN;MASC;SG
kloster	abatija	kloster	abatija	ADJ	N;NOM;FEM;SG
kloster	klosterī	kloster	klosteris	ADJ	N;ESS;MASC;SG
schrieb	uzrakstīju	schreiben	uzrakstīt	V;IND;SG;3;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
com	kom	com	kas		
com	com	com	com		
hilfe	palīgā	helfen	palīgs	N;NOM;FEM;SG	N;ESS;MASC;SG
hilfe	palīdzēt	helfen	palīdzēt	N;NOM;FEM;SG	V;POS;NFIN
hilfe	help	helfen	help	N;NOM;FEM;SG	
europäischen	eiropas	europäisch	eiropa	ADJ;NOM;SG	PROPN;NOM;FEM;SG
europäischen	eiropietis	europäisch	eiropietis	ADJ;NOM;SG	N;NOM;MASC;SG
reich	sfēra	reich	sfēra	ADJ	N;NOM;FEM;SG
reich	impērija	reich	impērija	ADJ	N;NOM;FEM;SG
reich	reiha	reich	reiha	ADJ	N;NOM;MASC;SG
kamen	atnācu	kommen	atnākt	V;IND;PL;3;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
dich	dich	du	dich		
dich	tu	du	tu		PRO;NOM;SG;2
dich	tevi	du	tu		PRO;ACC;SG;2
dich	jums	du	jūs		PRO;DAT;PL;2
dich	tev	du	tu		PRO;DAT;SG;2
dich	jūs	du	jūs		PRO;NOM;PL;2
schnell	ātri	schnell	ātri	ADJ	ADV
schnell	swift	schnell	swift	ADJ	PROPN
schnell	ātri	schnell	ātri	ADJ	ADV
schnell	strauji	schnell	strauji	ADJ	ADV
schnell	fast	schnell	fast	ADJ	
schnell	ātri	schnell	ātri	ADJ	ADV
einzelnen	individuāli	einzeln	individuāls	ADJ	ADV
teile	porcijas	teilen	porcija	ADV	N;NOM;FEM;PL
teile	daļas	teilen	daļa	ADV	N;NOM;FEM;PL
teile	detaļas	teilen	detaļa	ADV	N;NOM;FEM;PL
teile	akcija	teilen	akcija	ADV	N;NOM;FEM;SG
teile	dalies	teilen	dalis	ADV	V;FH;IND;SG;2;POS;REFL;PRS;FIN;ACT
teile	dalīties	teilen	dalīties	ADV	V;POS;REFL;NFIN
teile	share	teilen	share	ADV	
teile	daļa	teilen	daļa	ADV	N;NOM;FEM;SG
teile	gabali	teilen	gabals	ADV	N;NOM;MASC;PL
überhaupt	pat	überhaupt	pat	ADV	PART
machte	made	machen	made	V;IND;SG;3;PST;FIN	
josef	džozefs	josef	džozefs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
josef	joseph	josef	joseph	PROPN;NOM;MASC;SG	
josef	josef	josef	josefis	PROPN;NOM;MASC;SG	
gmbh	gmbh	gmbh	gmbh	N;NOM;FEM;SG	
gmbh	ltd	gmbh	ltd	N;NOM;FEM;SG	
google	google	google	google	PROPN;NOM;MASC;SG	
besten	vislabāk	gut	labi	ADJ	ADV;RL
republik	republikas	republik	republika	N;NOM;FEM;SG	N;NOM;FEM;PL
italien	itālija	italien	itālija	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG
italien	italia	italien	italis	PROPN;NOM;NEUT;SG	
fragen	ask	fragen	ask	V;NFIN	N
fragen	jautājums	fragen	jautājums	V;NFIN	N;NOM;MASC;SG
fragen	jautājumu	fragen	jautājums	V;NFIN	N;ACC;MASC;SG
fragen	jautājumi	fragen	jautājums	V;NFIN	N;NOM;MASC;PL
hälfte	pusi	Hälfte	puse	ADJ	N;ACC;FEM;SG
euro	eiro	euro	eiro	PROPN;NOM;MASC;SG	N
euro	eiro	euro	eiro	PROPN;NOM;MASC;SG	N
euro	euro	euro	euro	PROPN;NOM;MASC;SG	
verbindung	pieslēgums	verbindung	pieslēgums	ADJ	N;NOM;MASC;SG
verbindung	savienojums	verbindung	savienojums	ADJ	N;NOM;MASC;SG
verbindung	saikne	verbindung	saikne	ADJ	N;NOM;FEM;SG
verbindung	saite	verbindung	saite	ADJ	N;NOM;FEM;SG
verbindung	savieno	verbindung	savienot	ADJ	V;IMP;2;POS;FIN;ACT
verbindung	pieslēgties	verbindung	pieslēgties	ADJ	V;POS;REFL;NFIN
verbindung	salikti	verbindung	salikt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
nähe	tuvu	nähe	tuvu	N;NOM;FEM;SG	ADV
nähe	netālu	nähe	netālu	N;NOM;FEM;SG	ADV
nähe	aizvērt	nähe	aizvērt	N;NOM;FEM;SG	V;POS;NFIN
nähe	tuvu	nähe	tuvu	N;NOM;FEM;SG	ADV
nähe	netālu	nähe	netālu	N;NOM;FEM;SG	ADV
nähe	tuvumā	nähe	tuvums	N;NOM;FEM;SG	N;ESS;MASC;SG
anders	anders	anders	anders	ADV	PROPN;NOM;MASC;SG
vertrag	pakts	vertragen	pakts	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG
vertrag	vienošanās	vertragen	vienošanās	V;IND;SG;3;PST;FIN	N;NOM;FEM;SG
vertrag	nolīgumu	vertragen	nolīgums	V;IND;SG;3;PST;FIN	N;ACC;MASC;SG
vertrag	nolīgums	vertragen	nolīgums	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG
vertrag	līgums	vertragen	līgums	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG
vertrag	līguma	vertragen	līgums	V;IND;SG;3;PST;FIN	N;GEN;MASC;SG
vertrag	līgums	vertragen	līgums	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG
james	džeimss	james	džeimss	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
james	džeims	james	džeims	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
top	top	top	tapt	ADV	V;FH;IND;3;POS;PRS;FIN;ACT
top	tops	top	tops	ADV	N;NOM;MASC;SG
top	augšējā	top	augšēja	ADV	ADJ;NOM;FEM;SG
top	augšējais	top	augšējs	ADV	ADJ;NOM;MASC;SG
bruder	brāl	bruder	brāl	ADJ	
bruder	brālim	bruder	brālis	ADJ	N;DAT;MASC;SG
bruder	brālis	bruder	brālis	ADJ	N;NOM;MASC;SG
bruder	brāli	bruder	brālis	ADJ	N;ACC;MASC;SG
künstler	izpildītājs	künstler	izpildītājs		N;NOM;MASC;SG
künstler	māksliniece	künstler	māksliniece		N;NOM;FEM;SG
künstler	mākslinieks	künstler	mākslinieks		N;NOM;MASC;SG
künstler	izpildītāji	künstler	izpildītājs		N;NOM;MASC;PL
künstler	mākslinieku	künstler	mākslinieks		N;ACC;MASC;SG
künstler	māksliniekiem	künstler	mākslinieks		N;DAT;MASC;PL
künstler	izpildītāji	künstler	izpildītājs		N;NOM;MASC;PL
künstler	mākslinieki	künstler	mākslinieks		N;NOM;MASC;PL
england	anglija	england	anglija	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG
england	england	england	england	PROPN;NOM;NEUT;SG	
england	angliju	england	anglija	PROPN;NOM;NEUT;SG	PROPN;ACC;FEM;SG
dargestellt	izpildījumā	darstellen	izpildījums	V;V.PTCP	N;ESS;MASC;SG
erfolg	panākumi	erfolg	panākums	ADJ	N;NOM;MASC;PL
erfolg	veiksme	erfolg	veiksme	ADJ	N;NOM;FEM;SG
erfolg	veiksmes	erfolg	veiksme	ADJ	N;NOM;FEM;PL
erfolg	panākumi	erfolg	panākums	ADJ	N;NOM;MASC;PL
erfolg	veiksmīgi	erfolg	veiksmīgi	ADJ	ADV
erfolg	panākumus	erfolg	panākums	ADJ	N;ACC;MASC;PL
politische	politiskā	politisch	politiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
früher	iepriekš	früher	iepriekš	ADJ	ADV
früher	agrāk	früher	agrāk	ADJ	ADV
früher	agri	früher	agri	ADJ	ADV
früher	agrāk	früher	agrāk	ADJ	ADV
früher	bij	früher	būt	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
wissen	zināšanas	wissen	zināšana	V;NFIN	N;NOM;FEM;PL
länge	garumi	länge	garums	ADJ	N;NOM;MASC;PL
länge	garums	länge	garums	ADJ	N;NOM;MASC;SG
länge	garums	länge	garums	ADJ	N;NOM;MASC;SG
groß	lieliski	groß	lieliski	ADJ	ADV
groß	groß	groß	grot	ADJ	
ganze	vesels	ganz	vesels	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
ganze	vesela	ganz	vesela	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
geschrieben	rakstisks	schreiben	rakstisks	V;V.PTCP	ADJ;NOM;MASC;SG
geschrieben	rakstveida	schreiben	rakstveida	V;V.PTCP	
geschrieben	rakstiska	schreiben	rakstiska	V;V.PTCP	ADJ;NOM;FEM;SG
beiträge	iemaksas	beitragen	iemaksa	ADJ	N;NOM;FEM;PL
beiträge	iesniegumus	beitragen	iesniegums	ADJ	N;ACC;MASC;PL
beiträge	iesniegumi	beitragen	iesniegums	ADJ	N;NOM;MASC;PL
beiträge	amati	beitragen	amats	ADJ	N;NOM;MASC;PL
beiträge	ieraksti	beitragen	ierakste	ADJ	N;NOM;MASC;PL
beiträge	amatu	beitragen	amats	ADJ	N;ACC;MASC;SG
beiträge	raksti	beitragen	raksts	ADJ	INTJ
beiträge	izstrādājumi	beitragen	izstrādājums	ADJ	N;NOM;MASC;PL
beiträge	panti	beitragen	pants	ADJ	N;NOM;MASC;PL
abschnitt	iedaļa	abschneiden	iedaļa	ADV	N;NOM;FEM;SG
abschnitt	sadaļa	abschneiden	sadaļa	ADV	N;NOM;FEM;SG
abschnitt	sekcija	abschneiden	sekcija	ADV	N;NOM;FEM;SG
möchte	grib	mögen	gribēt	V;SBJV;SG;3;PST;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
möchte	vēlas	mögen	vēlēties	V;SBJV;SG;3;PST;FIN	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
rechts	tiesības	rechts	tiesības	ADV	N;NOM;FEM
rechts	labās	rechts	laba	ADV	ADJ;NOM;FEM;PL
trainer	pasniedzējs	Trainer	pasniedzējs	ADJ	N;NOM;MASC;SG
trainer	treneru	Trainer	treneris	ADJ	N;ACC;MASC;SG
trainer	vagoni	Trainer	vagons	ADJ	N;NOM;MASC;PL
trainer	treneris	Trainer	treneris	ADJ	N;NOM;MASC;SG
trainer	treneri	Trainer	treneris	ADJ	N;ACC;MASC;SG
trainer	pasniedzēju	Trainer	pasniedzēja	ADJ	N;ACC;MASC;SG
trainer	pasniedzēji	Trainer	pasniedzējs	ADJ	N;NOM;MASC;PL
gerne	priecīgs	gerne	priecīgs	ADV	ADJ;NOM;MASC;SG
gerne	laimīga	gerne	laimīga	ADV	ADJ;NOM;FEM;SG
gerne	laimīgs	gerne	laimīgs	ADV	ADJ;NOM;MASC;SG
see	redz	see	redzēt		V;FH;IND;3;POS;PRS;FIN;ACT
see	skatīt	see	skatīt		V;POS;NFIN
see	ezera	see	ezers		N;GEN;MASC;SG
see	ezers	see	ezers		N;NOM;MASC;SG
französische	francijas	französisch	francija	ADJ;NOM;FEM;PL	PROPN;NOM;FEM;SG
französische	franču	französisch	francis	ADJ;NOM;FEM;PL	N;GEN;MASC;PL
hohen	augstā	hoch	augsts	ADJ;PL	ADJ;NOM;FEM;SG
hohen	augstu	hoch	augstu	ADJ;PL	ADV
hohen	augsts	hoch	augsts	ADJ;PL	ADJ;NOM;MASC;SG
hohen	augsta	hoch	augsts	ADJ;PL	ADJ;NOM;FEM;SG
hohen	hoher	hoch	hoher	ADJ;PL	
südlich	dienvidu	südlich	dienvidi	ADJ	N;ACC;MASC;SG
südlich	dienvidos	südlich	dienvidi	ADJ	N;ESS;MASC;PL
südlich	dienvidi	südlich	dienvidi	ADJ	N;NOM;MASC;SG
zeitschrift	dienasgrāmata	zeitschrefen	dienasgrāmata	ADJ	N;NOM;FEM;SG
zeitschrift	žurnāls	zeitschrefen	žurnāls	ADJ	N;NOM;MASC;SG
zeitschrift	magazine	zeitschrefen	magazine	ADJ	
finde	atrodi	finden	atrast	V;IND;SG;2;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
führen	svins	führen	svins	V;NFIN	N;NOM;MASC
führen	svina	führen	svināt	V;NFIN	N;NOM;MASC;SG
etc	etc	etc	etc		
etc	utt	etc	utt.		
studium	pētījuma	studium	pētījums	N;NOM;NEUT;SG	N;GEN;MASC;SG
studium	pētījumi	studium	pētījums	N;NOM;NEUT;SG	N;NOM;MASC;PL
ausbildung	apmācības	ausbildung	apmācība	N;FEM;SG	N;NOM;FEM;PL
ausbildung	mācības	ausbildung	mācība	N;FEM;SG	N;NOM;FEM;PL
ausbildung	mācību	ausbildung	mācība	N;FEM;SG	N;ACC;FEM;PL
park	park	park	park	PROPN;NOM;SG	
park	parkā	park	parks	PROPN;NOM;SG	N;ESS;MASC;SG
park	parka	park	parks	PROPN;NOM;SG	N;GEN;MASC;SG
park	parks	park	parks	PROPN;NOM;SG	N;NOM;MASC;SG
george	džordžs	george	džordžs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
wappen	mētelis	wappen	mētelis		N;NOM;MASC;SG
wappen	emblēma	wappen	emblēma		N;NOM;FEM;SG
wappen	ieroču	wappen	ierocis		N;ACC;MASC;SG
wappen	rokām	wappen	roka		N;DAT;FEM;PL
wappen	ieročus	wappen	ierocis		N;ACC;MASC;PL
wappen	rokas	wappen	roka		N;NOM;FEM;PL
wappen	ieroči	wappen	ieroce		N;NOM;MASC;PL
wappen	ģerboni	wappen	ģerbons		N;ACC;MASC;SG
zürich	zürich	zürich	zurich	PROPN;NOM;MASC;SG	
zürich	cīrihe	zürich	cīrihe	PROPN;NOM;MASC;SG	
wort	vārdu	wort	vārds	N;NOM;NEUT;SG	N;ACC;MASC;SG
landes	landes	land	lande	N;NOM;NEUT;PL	
bahn	bahn	bahnen	bahn		N
bahn	vilciena	bahnen	vilciens		N;GEN;MASC;SG
bahn	vilciens	bahnen	vilciens		N;NOM;MASC;SG
bahn	vilcienu	bahnen	vilciens		N;ACC;MASC;SG
bahn	dzelzceļš	bahnen	dzelzceļš		N;NOM;MASC;SG
bahn	dzelzceļš	bahnen	dzelzceļš		N;NOM;MASC;SG
komponist	komponista	komponist	komponists	ADJ	N;GEN;MASC;SG
mindestens	minimālā	mindestens	minimāls	ADV	ADJ;NOM;FEM;SG
mindestens	minimālais	mindestens	minimāls	ADV	ADJ;NOM;MASC;SG
mindestens	minimums	mindestens	minimums	ADV	N;NOM;MASC;SG
award	apbalvošana	award	apbalvošana	PROPN;NOM;MASC;SG	N;NOM;FEM;SG
award	balva	award	balva	PROPN;NOM;MASC;SG	N;NOM;FEM;SG
award	piešķiršana	award	piešķiršana	PROPN;NOM;MASC;SG	N;NOM;FEM;SG
award	piešķiršanas	award	piešķiršana	PROPN;NOM;MASC;SG	N;NOM;FEM;PL
zahl	astes	zahl	aste	N;NOM;FEM;SG	N;NOM;FEM;PL
zahl	numuru	zahl	numurs	N;NOM;FEM;SG	N;ACC;MASC;SG
internationale	international	international	international	ADJ;NOM;FEM;PL	
internationale	starptautiskā	international	starptautiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
internationale	starptautiski	international	starptautiski	ADJ;NOM;FEM;PL	ADV
internationale	internationale	international	internationale	ADJ;NOM;FEM;PL	N;NOM;FEM;SG
zusätzlich	papildu	zusätzlich	papildu	ADJ	N
zusätzlich	papildus	zusätzlich	papildus	ADJ	ADV
dresden	drēzdenes	dresden	drēzdene	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
homepage	mājaslapa	homepage	mājaslaps		N;NOM;FEM;SG
homepage	mājaslapā	homepage	mājaslaps		N;ESS;MASC;SG
schreiben	vēstule	schreiben	vēstule	V;NFIN	N;NOM;FEM;SG
schreiben	burts	schreiben	burts	V;NFIN	N;NOM;MASC;SG
schreiben	rakstīšana	schreiben	rakstīšana	V;NFIN	N;NOM;FEM;SG
darstellung	pārstāvību	darstellung	pārstāvība	N;NOM;FEM;SG	N;ACC;FEM;SG
darstellung	noformējumu	darstellung	noformējums	N;NOM;FEM;SG	N;ACC;MASC;SG
darstellung	prezentācijas	darstellung	prezentācija	N;NOM;FEM;SG	N;NOM;FEM;PL
darstellung	rādīt	darstellung	rādīt	N;NOM;FEM;SG	V;POS;NFIN
darstellung	vizualizācijas	darstellung	vizualizācija	N;NOM;FEM;SG	N;NOM;FEM;PL
rudolf	rūdolfa	rudolf	rūdolfs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
rudolf	rūdolfs	rudolf	rūdolfs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
tatsächlich	patiešām	tatsächlich	patiešām	ADJ	PART
tatsächlich	patiesībā	tatsächlich	patiesība	ADJ	N;ESS;FEM;SG
tatsächlich	faktiski	tatsächlich	faktiski	ADJ	ADV
tatsächlich	īstenībā	tatsächlich	īstenība	ADJ	N;ESS;FEM;SG
nahe	aizvērt	nahe	aizvērt		V;POS;NFIN
nahe	tuvu	nahe	tuvu		ADV
nahe	tuvu	nahe	tuvu		ADV
nahe	netālu	nahe	netālu		ADV
nahe	netālu	nahe	netālu		ADV
nahe	tuvumā	nahe	tuvums		N;ESS;MASC;SG
league	līgas	league	līga	PROPN;SG	N;NOM;FEM;PL
league	līga	league	līga	PROPN;SG	N;NOM;FEM;SG
tore	tore	tor	tore	N;NOM;NEUT;PL	
tore	vārti	tor	vārti	N;NOM;NEUT;PL	N;NOM;MASC
tore	mērķi	tor	mērķis	N;NOM;NEUT;PL	N;ACC;MASC;SG
tore	mērķus	tor	mērķis	N;NOM;NEUT;PL	N;ACC;MASC;PL
politischen	politiskā	politisch	politiska	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
wahl	ievēlēšana	wahl	ievēlēšana		N;NOM;FEM;SG
wahl	vēlēšanās	wahl	vēlēšanās		N;NOM;FEM;SG
wahl	vēlēšanas	wahl	vēlēšanas		N;NOM;FEM;PL
wahl	izvēle	wahl	izvēle		N;NOM;FEM;SG
darf	var	dürfen	varēt	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
darf	drīkst	dürfen	drīkstēt	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
darf	maijs	dürfen	maijs	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
männer	vīriešiem	männer	vīrietis	N;NOM;MASC;PL	N;DAT;MASC;PL
männer	vīrietis	männer	vīrietis	N;NOM;MASC;PL	N;NOM;MASC;SG
männer	vīriešu	männer	vīrietis	N;NOM;MASC;PL	N;GEN;MASC;PL
männer	mens	männer	mens	N;NOM;MASC;PL	
schauspielerin	aktrise	schauspielerin	aktrise	ADJ	N;NOM;FEM;SG
wiener	wiener	wiener	wiener		
