til	لاجل	til	لاجل	ADV	
russisk	روسيا	russisk	رُوسِيَا	ADJ;INDF;SG	
russisk	الروسي	russisk	رُوسِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
grand	جراند	grand	جُرند		
grand	غراند	grand	غراند		
prisen	الاسعار	pris	سِعر	N;DEF;MASC+FEM;SG	N;NOM;DEF;PL
prisen	سعره	pris	سعره	N;DEF;MASC+FEM;SG	PRO;NOM;FEM;SG;3
prisen	سعر	pris	سِعر	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
litteratur	الادب	litteratur	أَدَب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
litteratur	ادب	litteratur	أَدَب	N;INDF;MASC+FEM;SG	
forsøgte	محاولة	forsøge	مُحَاوَلَة	V;IND;PST;FIN;ACT	N;NOM;INDF;SG
forsøgte	محاولات	forsøge	مُحَاوَلَة	V;IND;PST;FIN;ACT	N;NOM;INDF;PL
selskab	شركه	selskab	شركه	N;INDF;NEUT;SG	
selskab	الشركة	selskab	شَرِكَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
slået	ضرب	slå	ضَرب	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
foran	واجهة	foran	وَاجِهَة	ADV	N;NOM;INDF;SG
foran	جبهة	foran	جَبهَة	ADV	N;NOM;INDF;SG
foran	الجبهة	foran	جَبهَة	ADV	N;NOM;DEF;SG
tidsskrift	المجله	tidsskrift	مُجَلِّه	N;INDF;NEUT;SG	
tidsskrift	المجلة	tidsskrift	مَجَلَّة	N;INDF;NEUT;SG	N;NOM;DEF;SG
tidsskrift	يوميات	tidsskrift	يَومِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;PL
tidsskrift	اليوميات	tidsskrift	يَومِيّ	N;INDF;NEUT;SG	N;NOM;DEF;PL
handler	الحرف	handle	حَرف	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
handler	صفقات	handle	صَفقَة	V;IND;PRS;FIN;ACT	N;NOM;INDF;PL
handler	العروض	handle	عَرض	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
handler	الاتفاقات	handle	اِتِّفَاق	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
handler	الصفقات	handle	صَفقَة	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
handler	التمثيل	handle	تَمثِيل	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
handler	بالنيابة	handle	بالنيابة	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
handler	تمثيل	handle	تَمثِيل	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
led	الازاحة	led	إِزَاحَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
led	المفاصل	led	مُفَاصِل	N;INDF;NEUT;SG	N;NOM;DEF;PL
sikre	امان	sikre	أَمَان	V;NFIN;ACT	
sikre	امنة	sikre	امنة	V;NFIN;ACT	ADJ;NOM;INDF;FEM;SG
deltagelse	الحضور	deltagelse	حُضُور	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
deltagelse	المشاركة	deltagelse	مُشَارَكَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
samfund	المجتمعات	samfund	مُجتَمِع	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;PL
samfund	الجاليات	samfund	جَالِي	N;INDF;NEUT;SG	N;NOM;DEF;PL
samfund	المجتمع	samfund	مُجتَمَع	N;INDF;NEUT;SG	N;NOM;DEF;SG
samfund	الجمعية	samfund	جَمعِيَّة	N;INDF;NEUT;SG	N;NOM;DEF;SG
samfund	المجتمعات	samfund	مُجتَمِع	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;PL
samfund	مجتمعات	samfund	مُجتَمَع	N;INDF;NEUT;SG	N;NOM;INDF;PL
samfund	الجمعيات	samfund	جَمعِيَّة	N;INDF;NEUT;SG	N;NOM;DEF;PL
records	السجلات	records	سِجِلّ	N;INDF;NEUT;SG	N;NOM;DEF;PL
records	سجلات	records	سِجِلّ	N;INDF;NEUT;SG	N;NOM;INDF;PL
records	المحاضر	records	مُحَاضِر	N;INDF;NEUT;SG	N;NOM;DEF;SG
klasse	الطبقة	klasse	طَبَقَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
klasse	الفصل	klasse	فَصل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
klasse	الصف	klasse	صَفّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
klasse	الفئة	klasse	فِئَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
økonomisk	اقتصادية	økonomisk	اِقتِصَادِيّ	ADV	ADJ;NOM;INDF;FEM;SG
økonomisk	مالي	økonomisk	مَالِيّ	ADV	
økonomisk	مالية	økonomisk	مَالِيّ	ADV	ADJ;NOM;INDF;FEM;SG
økonomisk	المالية	økonomisk	مَالِيَّة	ADV	N;NOM;DEF;SG
økonomisk	اقتصاديا	økonomisk	اِقتِصَادِيّ	ADV	ADJ;ACC;INDF;MASC;SG
sort	الاسود	sort	أَسوَد	ADJ;INDF;SG	N;NOM;DEF;SG
sort	اسود	sort	أَسوَد	ADJ;INDF;SG	
sort	بلاك	sort	بلَاك	ADJ;INDF;SG	
sort	التنوع	sort	تَنَوُّع	ADJ;INDF;SG	N;NOM;DEF;SG
sort	تنوع	sort	تَنَوُّع	ADJ;INDF;SG	N;NOM;INDF;SG
vilhelm	ويليام	vilhelm	ويليام	N;INDF;MASC+FEM;SG	
vilhelm	وليم	vilhelm	وليم	N;INDF;MASC+FEM;SG	
vilhelm	وليام	vilhelm	وليام	N;INDF;MASC+FEM;SG	
vis	اعرض	vis	أَعرَض	N;INDF;MASC+FEM;SG	
vis	اظهر	vis	أَظهَر	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
vis	العرض	vis	عَرض	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
vis	اعرض	vis	أَعرَض	N;INDF;MASC+FEM;SG	
generelt	عموما	generel	عُمُوم	ADV	N;ACC;INDF;SG
generelt	اجمالا	generel	إِجمَال	ADV	N;ACC;INDF;SG
generelt	عموما	generel	عُمُوم	ADV	N;ACC;INDF;SG
generelt	عام	generel	عَام	ADV	N;NOM;INDF;SG
generelt	لواء	generel	لِوَاء	ADV	N;NOM;INDF;SG
generelt	اللواء	generel	لِوَاء	ADV	N;NOM;DEF;SG
generelt	جنرال	generel	جنرال	ADV	
generelt	عامة	generel	عَامّ	ADV	ADJ;NOM;INDF;FEM;SG
generelt	الجنرال	generel	جِنِرَال	ADV	N;NOM;DEF;SG
romerske	روماني	romersk	رُومَانِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
romerske	رومان	romersk	رُومَان	ADJ;PL	
romerske	الروماني	romersk	رُومَانِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;SG
romerske	الرومانية	romersk	رُومَانِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
skibet	سفينة	skib	سَفِينَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
magt	الطاقة	magt	طَاقَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
magt	القوة	magt	قُوَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
magt	السلطة	magt	سُلطَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
befolkningen	السكان	befolkning	سَاكِن	N;DEF;MASC+FEM;SG	N;NOM;DEF;PL
lod	اللد	lade	اللد	V;IND;PST;FIN;ACT	N;NOM;DEF;SG
olsen	اولسن	olse	أُولِسن	PROPN	
dagen	يوم	dag	يَوم	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
dagen	نهار	dag	نَهَار	N;DEF;MASC+FEM;SG	
skov	الغابات	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
skov	غابات	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
skov	الغابات	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
skov	الغابة	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
skov	غابات	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
skov	الغابات	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
skov	غابات	skov	غَابَة	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
samling	التجميع	samling	تَجمِيع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
samling	الجمعية	samling	جَمعِيَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
samling	جمع	samling	جَمَع	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
samling	المجموعة	samling	مَجمُوعَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
samling	التحصيل	samling	تَحصِيل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forslag	الاقتراحات	forslag	اِقتِرَاح	N;INDF;NEUT;PL	N;NOM;DEF;PL
forslag	المقترحات	forslag	مُقتَرَح	N;INDF;NEUT;PL	N;NOM;DEF;PL
forslag	الاقتراح	forslag	اِقتِرَاح	N;INDF;NEUT;PL	N;NOM;DEF;SG
forslag	اقتراح	forslag	اِقتِرَاح	N;INDF;NEUT;PL	N;NOM;INDF;SG
forslag	مقترح	forslag	مُقتَرَح	N;INDF;NEUT;PL	N;NOM;INDF;SG
forslag	المقترح	forslag	مُقتَرَح	N;INDF;NEUT;PL	ADJ;NOM;DEF;MASC;SG
forslag	الاقتراحات	forslag	اِقتِرَاح	N;INDF;NEUT;PL	N;NOM;DEF;PL
forslag	المقترحات	forslag	مُقتَرَح	N;INDF;NEUT;PL	N;NOM;DEF;PL
forslag	الاقتراح	forslag	اِقتِرَاح	N;INDF;NEUT;PL	N;NOM;DEF;SG
forslag	اقتراح	forslag	اِقتِرَاح	N;INDF;NEUT;PL	N;NOM;INDF;SG
forslag	مقترح	forslag	مُقتَرَح	N;INDF;NEUT;PL	N;NOM;INDF;SG
gud	اللهم	gud	لُهِمّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gud	الله	gud	اَللّٰه	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
grænsen	حدود	grænse	حَدّ	N;DEF;MASC+FEM;SG	N;NOM;INDF;PL
grænsen	الحدود	grænse	حَدّ	N;DEF;MASC+FEM;SG	N;NOM;DEF;PL
kommuner	البلديات	kommune	بَلَدِيَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
stat	الولاية	stat	وِلَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stat	الحالة	stat	حَالَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stat	الدولة	stat	دَولَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stat	ستات	stat	سِتَات	N;INDF;MASC+FEM;SG	
union	النقابة	union	نِقَابَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
union	يونيون	union	يُونِيُون	N;INDF;MASC+FEM;SG	
union	الاتحاد	union	اِتِّحَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ændret	تغير	ændre	تَغَيُّر	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
ændret	المعدل	ændre	مُعَدَّل	V;INDF;SG;PST;V.PTCP	N;NOM;DEF;SG
ændret	معدل	ændre	مُعَدَّل	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
ændret	تعديل	ændre	تَعدِيل	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
ændret	معدلة	ændre	مُعَدَّل	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
bor	مباشر	bo	مُبَاشِر	V;IND;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
bor	عيش	bo	عَيش	V;IND;PRS;FIN;ACT	
bor	العيش	bo	عَيش	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
bor	عش	bo	عَشّ	V;IND;PRS;FIN;ACT	
bor	البورون	bo	بُورُون	V;IND;PRS;FIN;ACT	
arkitekt	معماري	arkitekt	مُعَمَّار	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
allierede	الحلفاء	alliere	حَلِيف	V;PL;PST;V.PTCP	N;NOM;DEF;PL
allierede	حلفاء	alliere	حَلِيف	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;PL
allierede	الحلفاء	alliere	حَلِيف	V;PL;PST;V.PTCP	N;NOM;DEF;PL
allierede	حليف	alliere	حَلِيف	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
vigtig	مهمة	vigtig	مَهَمَّة	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
vigtig	المهم	vigtig	مُهِمّ	ADJ;INDF;MASC+FEM;SG	
faktisk	بالحقيقة	faktisk	بِلحَقِيقَة	ADV	N;NOM;DEF;SG
schweiz	يسرا	schweiz	سَرّ		
schweiz	سويسرا	schweiz	سُوِيسرَا		
schweiz	السويسرية	schweiz	سُوِيسرِيَّة		N;NOM;DEF;SG
schweiz	السويسري	schweiz	سُوِيسرِيّ		N;NOM;DEF;SG
schweiz	سويسرية	schweiz	سُوِيسرِيّ		ADJ;NOM;INDF;FEM;SG
schweiz	سويسري	schweiz	سُوِيسرِيّ		
alder	السن	alder	سِنّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
alder	العمر	alder	عُمر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tilsvarende	مشابه	tilsvarende	مشابه	ADJ	
tilsvarende	مناظر	tilsvarende	مُنَاظِر	ADJ	N;NOM;INDF;PL
spørgsmål	سؤال	spørgsmål	سُؤَال	N;INDF;NEUT;PL	N;NOM;INDF;SG
spørgsmål	السؤال	spørgsmål	سُؤَال	N;INDF;NEUT;PL	N;NOM;DEF;SG
spørgsmål	المسائل	spørgsmål	مَسأَلَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
spørgsmål	القضايا	spørgsmål	قَضِيَّة	N;INDF;NEUT;PL	N;NOM;DEF;PL
spørgsmål	الاسئلة	spørgsmål	سُؤَال	N;INDF;NEUT;PL	N;NOM;DEF;PL
harry	هارى	harry	هارى		
harry	هاري	harry	هاري		
alexander	الكسندر	alexander	أَلِكسَندر	N;INDF;MASC+FEM;SG	
alexander	اليكساندر	alexander	اليكساندر	N;INDF;MASC+FEM;SG	
alexander	الكساندر	alexander	كُسَانُدر	N;INDF;MASC+FEM;SG	
alexander	الاسكندر	alexander	الاسكندر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kristne	المسيحيين	kristen	مَسِيحِيّ	ADJ;PL	N;ACC;DEF;PL
inde	داخل	inde	دَاخِلَ	ADV	ADP;ACC
inde	للداخل	inde	لِ	ADV	N;NOM;DEF;SG
inde	داخلي	inde	دَاخِلِيّ	ADV	ADJ;NOM;INDF;MASC;SG
inde	بالداخل	inde	بِ	ADV	N;GEN;DEF;SG
inde	الداخل	inde	دَاخِل	ADV	N;NOM;DEF;SG
caps	القبعات	caps	قِبعَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
caps	قبعات	caps	قَبعَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
begynder	بداية	begynde	بِدَايَة	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
begynder	البداية	begynde	بِدَايَة	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
begynder	بدء	begynde	بَدء	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
begynder	البدء	begynde	بَدء	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
tab	الخسارة	tab	خَسَارَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
tab	خسائر	tab	خَسَارَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
tab	الخسائر	tab	خَسَارَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
tab	تاب	tab	تَاب	N;INDF;NEUT;SG	
eksempler	الامثلة	eksempel	الامثلة	N;INDF;NEUT;PL	N;NOM;DEF;PL
udviklede	طور	udvikle	طَور	V;PL;PST;V.PTCP	
udviklede	تطورت	udvikle	تَطَوَّر	V;PL;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
højt	عال	høj	عَالِي	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
højt	عال	høj	عَالِي	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
best	اطيب	best	أَطَاب		
best	الافضل	best	أَفضَل		ADJ;NOM;DEF;MASC;SG
best	ضل	best	ضَلّ		V;PFV;MASC;SG;3;ACT
best	افضل	best	أَفضَل		ADJ;NOM;INDF;MASC;SG
nov	نوفمبر	nov	نُوفِمبِر		N;GEN;INDF;SG
provinsen	مقاطعة	provins	مُقَاطَعَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
provinsen	الاقليم	provins	إِقلِيم	N;DEF;MASC+FEM;SG	
provinsen	محافظة	provins	مُحَافَظَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
provinsen	اقليم	provins	اقليم	N;DEF;MASC+FEM;SG	
slag	باتل	slag	باتل	N;INDF;NEUT;SG	
slag	المعركة	slag	مَعرَكَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
slag	اللكمات	slag	لِكمَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
status	الوضع	status	وَضع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
status	الحالة	status	حَالَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
træner	كوتش	træne	كوتش	N;INDF;MASC+FEM;SG	
træner	المدرب	træne	مُدَرِّب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
roller	الادوار	rolle	دَور	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
kontrakt	التعاقد	kontrakt	تَعَاقُد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kontrakt	العقد	kontrakt	عَقد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kontrakt	عقد	kontrakt	عَقَد	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
tom	فارغ	tom	فارغ		ADJ;NOM;INDF;MASC;SG
tom	فارغة	tom	فارغة		ADJ;NOM;INDF;FEM;SG
tom	توم	tom	تَومّ		
udført	معمول	udføre	مَعمُول	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
tildelt	عزو	tildele	عَزو	V;INDF;SG;PST;V.PTCP	
italiensk	الايطالية	italiensk	إِيطَالِيَّة	ADJ;INDF;SG	N;NOM;DEF;SG
italiensk	ايطاليا	italiensk	إِيطَالِيَا	ADJ;INDF;SG	
italiensk	الايطالي	italiensk	إِيطَالِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
kilde	المصدر	kilde	مَصدَر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
græsk	اليوناني	græsk	يُونَانِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
græsk	اليونانية	græsk	يُونَانِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
enheder	الوحدات	enhed	وَحدَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
enheder	الكيانات	enhed	كِيَانَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
enheder	الاجهزة	enhed	جِهَاز	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
regel	القاعدة	regel	قَاعِدَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
goals	اهداف	goals	هَدَف		N;NOM;INDF;PL
goals	الاهداف	goals	هَدَف		N;NOM;DEF;PL
goals	الغايات	goals	غَايَة		N;NOM;DEF;PL
våben	الاسلحة	våben	سِلَاح	N;INDF;NEUT;PL	N;NOM;DEF;PL
våben	سلاح	våben	سِلَاح	N;INDF;NEUT;PL	N;NOM;INDF;SG
våben	السلاح	våben	سِلَاح	N;INDF;NEUT;PL	N;NOM;DEF;SG
våben	الاسلحة	våben	سِلَاح	N;INDF;NEUT;PL	N;NOM;DEF;PL
våben	البنادق	våben	بُندُقِيَّة	N;INDF;NEUT;PL	N;NOM;DEF;PL
våben	مسدس	våben	مُسَدَّس	N;INDF;NEUT;PL	N;NOM;INDF;SG
våben	الاسلحة	våben	سِلَاح	N;INDF;NEUT;PL	N;NOM;DEF;PL
wien	فيينا	wien	فِيِينَّا	PROPN	
spor	المسار	spor	مَسَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
spor	المقطوعة	spor	مَقطُوع	N;INDF;NEUT;SG	
spor	مسارات	spor	مَسَار	N;INDF;NEUT;SG	N;NOM;INDF;PL
spor	المسارات	spor	مَسَار	N;INDF;NEUT;SG	N;NOM;DEF;PL
hertug	ديوك	hertug	دَيك	N;INDF;MASC+FEM;SG	
hertug	دوق	hertug	دَوق	N;INDF;MASC+FEM;SG	
havet	بحر	hav	بَحر	N;DEF;NEUT;SG	N;NOM;INDF;SG
havet	المحيطات	hav	مُحِيط	N;DEF;NEUT;SG	ADJ;NOM;DEF;FEM;PL
havet	محيط	hav	مُحِيط	N;DEF;NEUT;SG	
klar	مستعدون	klar	مُستَعِدّ	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;PL
klar	استعداد	klar	اِستِعدَاد	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
klar	خال	klar	خَالِي	ADJ;INDF;MASC+FEM;SG	
klar	مبين	klar	مبين	ADJ;INDF;MASC+FEM;SG	
venner	الاصدقاء	ven	صَدِيق	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
venner	صديقان	ven	صديقان	N;INDF;MASC+FEM;PL	N;NOM;INDF;DU
west	ويست	west	ويست	N;INDF;MASC+FEM;SG	
west	الغرب	west	غَرب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
west	غربي	west	غَربِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
størrelse	المقاس	størrelse	مَقَاس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
størrelse	الحجم	størrelse	حَجم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rejste	سافر	rejse	سَافَر	V;PL;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
rejste	سافرت	rejse	سَافَر	V;PL;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
penge	فلوس	penge	فِلم	N;INDF;MASC+FEM;PL	
penge	المال	penge	مَال	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
penge	مال	penge	مَال	N;INDF;MASC+FEM;PL	
lys	الشمعة	lys	شُمعَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
lys	خفيف	lys	خفيف	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
lys	الخفيفة	lys	خَفِيف	N;INDF;NEUT;SG	N;NOM;DEF;SG
lys	النور	lys	النور	N;INDF;NEUT;SG	N;NOM;DEF;SG
lys	فاتح	lys	فاتح	N;INDF;NEUT;SG	
lys	نور	lys	نور	N;INDF;NEUT;SG	
lys	اضواء	lys	ضَوء	N;INDF;NEUT;SG	N;NOM;INDF;PL
lys	الاضواء	lys	ضَوء	N;INDF;NEUT;SG	N;NOM;DEF;PL
lys	انوار	lys	نَورَة	N;INDF;NEUT;SG	
lys	الانوار	lys	نَارِي	N;INDF;NEUT;SG	N;NOM;DEF;PL
hvilke	ايهما	hvilken	ايهما	PRO;PL	
hvilke	الذي	hvilken	اَلَّذِي	PRO;PL	DET;NOM;MASC;SG
hvilke	والذي	hvilken	والذي	PRO;PL	N;NOM;DEF;SG
stift	ابرشية	stiv	أَبرَشِيّ	ADJ;INDF;NEUT;SG	
produktion	الناتج	produktion	نَاتِج	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
produktion	الاخراج	produktion	خَرَج	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
produktion	النواتج	produktion	نَاتِج	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
produktion	الانتاج	produktion	إِنتَاج	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tekniske	تقنية	teknisk	تَقنِيَّة	ADJ;PL	N;NOM;INDF;SG
tekniske	تقني	teknisk	تَقنِيّ	ADJ;PL	N;NOM;INDF;SG
tekniske	فني	teknisk	فَنِّيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
tekniske	التقنية	teknisk	تَقنِيَّة	ADJ;PL	N;NOM;DEF;SG
fører	سائقا	føre	سَائِق	V;IND;PRS;FIN;ACT	ADJ;ACC;INDF;MASC;SG
fører	سائق	føre	سَائِق	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
fører	السائق	føre	سَائِق	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
slægt	النسب	slægge	نِسبَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
huset	منزل	hus	مَنزِل	N;DEF;NEUT;SG	N;NOM;INDF;SG
huset	هاوس	hus	هاوس	N;DEF;NEUT;SG	
spanske	الاسبانية	spansk	إِسبَانِيَّة	ADJ;PL	N;NOM;DEF;SG
spanske	اسبانية	spansk	إِسبَانِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
spanske	اسباني	spansk	إِسبَانِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
spanske	اسبانيا	spansk	إِسبَانِيَا	ADJ;PL	
forældre	الاهل	forælder	أَهل	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
forældre	الوالدين	forælder	الدالدين	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
forældre	الوالدان	forælder	وَالِدَان	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
forældre	الاباء	forælder	أَبَاء	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
tabte	ضائع	tabe	ضَائِع	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG
kongens	ملك	konge	مَلِك	N;GEN;DEF;MASC+FEM;SG	
kongens	كينغ	konge	كينغ	N;GEN;DEF;MASC+FEM;SG	
kongens	الملك	konge	مَلِك	N;GEN;DEF;MASC+FEM;SG	N;NOM;DEF;SG
kongens	كينج	konge	كينج	N;GEN;DEF;MASC+FEM;SG	
minutter	الدقائق	minut	دِقَاقَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
adgang	النفاذ	adgang	نَفَاذ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
adgang	الوصول	adgang	وُصُول	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sten	الاحجار	sten	حَجَر	N;INDF;MASC+FEM;SG	
sten	الحجارة	sten	حَجَّارَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sten	احجار	sten	إِحجَار	N;INDF;MASC+FEM;SG	
sten	ستون	sten	ستون	N;INDF;MASC+FEM;SG	
sten	الحجارة	sten	حَجَّارَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sten	الحجر	sten	حَجر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sten	الصخور	sten	صُخُور	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
sten	صخور	sten	صُخُور	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
sten	الصخرة	sten	صُخرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sten	روك	sten	رُوك	N;INDF;MASC+FEM;SG	
sten	الروك	sten	رُوك	N;INDF;MASC+FEM;SG	
folketinget	برلمان	folketing	بَرلَمَان	N;DEF;NEUT;SG	N;NOM;INDF;SG
professionel	المهنية	professionel	مِهنِيّ	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;SG
australien	استراليا	australie	إِستِرَالِيَا	PROPN	
huse	البيوت	hus	بَيت	N;INDF;NEUT;PL	N;NOM;DEF;PL
huse	المنازل	hus	مَنزِل	N;INDF;NEUT;PL	N;NOM;DEF;PL
