august	аугуст	august	аугуст	N;MASC;SG	PROPN;INDF;MASC;SG
virginia	вирджиния	virginia	вирджиния	N;FEM;SG	PROPN;INDF;FEM;SG
fixa	фиксирани	fixo	фиксирам	N;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
fixa	фиксирана	fixo	фиксирам	N;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fixa	поправен	fixo	поправя-(се)	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fixa	фиксиран	fixo	фиксирам	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
adversários	противник	adversário	противник	N;MASC;PL	N;INDF;MASC;SG
reitor	дийн	reitor	дийн	N;MASC;SG	PROPN;INDF;MASC;SG
contemporâneo	съвременни	contemporâneo	съвременен	ADJ;MASC;SG	ADJ;INDF;PL
contemporâneo	съвременно	contemporâneo	съвременно	ADJ;MASC;SG	ADV
noiva	сгодени	noiva	сгодя	N;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
noiva	ангажирани	noiva	ангажирам	N;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
noiva	сгоден	noiva	сгоден	N;FEM;SG	ADJ;INDF;MASC;SG
noiva	сгодена	noiva	сгодя	N;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
emi	еми	eme	еми	N;MASC;SG	PROPN;INDF;MASC;SG
emi	emi	eme	emi	N;MASC;SG	PROPN;INDF;NEUT;SG
associadas	сътрудници	associar	сътрудник	V;FEM;PL;V.PTCP	N;INDF;MASC;PL
associadas	съдружници	associar	съдружник	V;FEM;PL;V.PTCP	N;INDF;MASC;PL
associadas	свързан	associar	свържа	V;FEM;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
coletiva	колективни	coletivo	колективен	N;FEM;SG	ADJ;INDF;PL
coletiva	колективна	coletivo	колективен	N;FEM;SG	ADJ;INDF;FEM;SG
coletiva	колективно	coletivo	колективен	N;FEM;SG	ADV
spin	завърти	spin	завъртя-(се)	N;MASC;SG	V;PFV;IMP;SG;2;FIN
inserir	вмъкване	inserir	вмъкване	V;NFIN	N;INDF;NEUT;SG
wii	wii	wii	wii	N;MASC;SG	PROPN;INDF;MASC;SG
borda	гранична	borda	граничен	N;FEM;SG	ADJ;INDF;FEM;SG
funcionário	официален	funcionário	официален	N;MASC;SG	ADJ;INDF;MASC;SG
funcionário	официално	funcionário	официално	N;MASC;SG	ADV
funcionário	официална	funcionário	официален	N;MASC;SG	ADJ;INDF;FEM;SG
percepção	възприятия	percepção	възприятие	N;FEM;SG	N;INDF;NEUT;PL
loire	loire	loire	loire	N;MASC;SG	PROPN;INDF;MASC;SG
acadêmica	академични	acadêmico	академичен	N;FEM;SG	ADJ;INDF;PL
acadêmica	академична	acadêmico	академичен	N;FEM;SG	ADJ;INDF;FEM;SG
frequentes	обща	frequente	общ	ADJ;MASC;PL	ADJ;INDF;FEM;SG
frequentes	общ	frequente	общ	ADJ;MASC;PL	ADJ;INDF;MASC;SG
frequentes	чести	frequente	честя-(се)	ADJ;MASC;PL	N;INDF;FEM;PL
fechada	затворен	fechar	затворен	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
fechada	затворени	fechar	затворя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
cinza	сив	cinza	сив	N;FEM;SG	PROPN;INDF;MASC;SG
cinza	сиво	cinza	сиво	N;FEM;SG	ADV
cinza	сива	cinza	сив	N;FEM;SG	ADJ;INDF;FEM;SG
cinza	сиви	cinza	сив	N;FEM;SG	ADJ;INDF;PL
cinza	грей	cinza	грей	N;FEM;SG	PROPN;INDF;MASC;SG
cinza	аш	cinza	аш	N;FEM;SG	PROPN;INDF;MASC;SG
cinza	сив	cinza	сив	N;FEM;SG	PROPN;INDF;MASC;SG
cinza	сиво	cinza	сиво	N;FEM;SG	ADV
cinza	сива	cinza	сив	N;FEM;SG	ADJ;INDF;FEM;SG
cinza	сиви	cinza	сив	N;FEM;SG	ADJ;INDF;PL
cinza	грей	cinza	грей	N;FEM;SG	PROPN;INDF;MASC;SG
frequente	общи	frequente	общ	ADJ;MASC;SG	ADJ;INDF;PL
frequente	чести	frequente	честя-(се)	ADJ;MASC;SG	N;INDF;FEM;PL
enviada	изпратени	enviar	изпратя	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
machos	мъжки	macho	мъжки	N;MASC;PL	ADJ;INDF;PL
difíceis	трудно	difícil	трудно	ADJ;MASC;PL	ADV
difíceis	труден	difícil	труден	ADJ;MASC;PL	ADJ;INDF;MASC;SG
difíceis	трудна	difícil	труден	ADJ;MASC;PL	ADJ;INDF;FEM;SG
rachel	рейчъл	rachel	рейчъл	N;FEM;SG	PROPN;INDF;FEM;SG
exclusivo	изключително	exclusivo	изключително	ADJ;MASC;SG	ADV
exclusivo	ексклузивно	exclusivo	ексклузивно	ADJ;MASC;SG	ADV
exclusivo	изключителни	exclusivo	изключителен	ADJ;MASC;SG	ADJ;INDF;PL
crônica	хроничен	crônico	хроничен	N;FEM;SG	ADJ;INDF;MASC;SG
crônica	хронично	crônico	хроничен	N;FEM;SG	ADV
crônica	хронични	crônico	хроничен	N;FEM;SG	ADJ;INDF;PL
crônica	хронична	crônico	хроничен	N;FEM;SG	ADJ;INDF;FEM;SG
apoiado	поддържани	apoiar	поддържам	V;MASC;SG;V.PTCP	V;IPFV;INDF;PL;V.PTCP;PASS
eficaz	ефективни	eficaz	ефективен	ADJ;FEM;SG	ADJ;INDF;PL
eficaz	ефикасно	eficaz	ефикасно	ADJ;FEM;SG	ADV
eficaz	ефективно	eficaz	ефективно	ADJ;FEM;SG	ADV
sweet	сладък	sweet	сладък	N;MASC;SG	ADJ;INDF;MASC;SG
sweet	мило	sweet	мило	N;MASC;SG	ADV
sweet	сладко	sweet	сладко	N;MASC;SG	ADV
sweet	сладки	sweet	сладък	N;MASC;SG	N;INDF;FEM;PL
sweet	сладка	sweet	сладка	N;MASC;SG	ADJ;INDF;FEM;SG
hopkins	хопкинс	hopkins	хопкинс	N;MASC;SG	PROPN;INDF;MASC;SG
prestígio	престижните	prestígio	престижен	N;MASC;SG	ADJ;DEF;PL
prestígio	престижна	prestígio	престижна	N;MASC;SG	ADJ;INDF;FEM;SG
coletivo	колективни	coletivo	колективен	N;MASC;SG	ADJ;INDF;PL
coletivo	колективна	coletivo	колективен	N;MASC;SG	ADJ;INDF;FEM;SG
coletivo	колективно	coletivo	колективен	N;MASC;SG	ADV
centímetros	инча	centímetro	инча	N;MASC;PL	N;INDF;MASC;SG
centímetros	см	centímetro	сантиметър	N;MASC;PL	N;INDF;MASC;SG
centímetros	сантиметра	centímetro	сантиметър	N;MASC;PL	N;DEF;MASC;SG
leipzig	лайпциг	leipzig	лайпциг	N;MASC;SG	PROPN;INDF;MASC;SG
say	кажи	say	кажа	N;MASC;SG	V;PFV;IMP;SG;2;FIN
secundárias	вторична	secundário	вторичен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
secundárias	вторично	secundário	вторично	ADJ;FEM;PL	ADV
secundárias	вторичен	secundário	вторичен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
fenômenos	феномен	fenômeno	феномен	N;MASC;PL	N;INDF;MASC;SG
fenômenos	явление	fenômeno	явление	N;MASC;PL	N;INDF;NEUT;SG
fenômenos	феномен	fenômeno	феномен	N;MASC;PL	N;INDF;MASC;SG
enterrado	заровени	enterrar	заровя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
enterrado	погребани	enterrar	погребан	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
líbia	либийските	líbia	либийски	N;FEM;SG	ADJ;DEF;PL
confrontos	конфронтация	confronto	конфронтация	N;MASC;PL	N;INDF;FEM;SG
marx	маркс	marx	маркс	N;MASC;SG	PROPN;INDF;MASC;SG
tigre	тайгър	tigre	тайгър	N;MASC;SG	PROPN;INDF;MASC;SG
pescoço	нек	pescoço	нек	N;MASC;SG	PROPN;INDF;FEM;SG
competir	конкурентно	competir	конкурентно	V;NFIN	ADV
competir	конкурентни	competir	конкурентен	V;NFIN	ADJ;INDF;PL
operar	оперативни	operar	оперативен	V;NFIN	ADJ;INDF;PL
ring	пръстен	ring	пръстен	N;MASC;SG	ADJ;INDF;MASC;SG
temática	тематичен	temático	тематичен	N;FEM;SG	ADJ;INDF;MASC;SG
derivados	деривати	derivar	дериват	V;MASC;PL;V.PTCP	N;INDF;MASC;PL
derivados	производни	derivar	производен	V;MASC;PL;V.PTCP	ADJ;INDF;PL
estêvão	стивън	estêvão	стивън	N;MASC;SG	PROPN;INDF;MASC;SG
estêvão	стефан	estêvão	стефан	N;MASC;SG	PROPN;INDF;MASC;SG
dinamarquês	датски	dinamarquês	датски	N;MASC;SG	ADJ;INDF;MASC;SG
invenção	измислил	invenção	измисля	N;FEM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
invenção	измислен	invenção	измисля	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
invenção	измислени	invenção	измисля	N;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
invenção	измислена	invenção	измисля	N;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
invenção	изобретил	invenção	изобретя	N;FEM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
perdida	изгубено	perder	изгубя-(се)	V;FEM;SG;V.PTCP	ADV
perdida	изгубени	perder	изгубен	V;FEM;SG;V.PTCP	ADJ;INDF;PL
perdida	изгубена	perder	изгубя-(се)	V;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
perdida	загубен	perder	загубен	V;FEM;SG;V.PTCP	N;INDF;MASC;SG
perdida	загуби	perder	загуба	V;FEM;SG;V.PTCP	N;INDF;FEM;PL
perdida	изгубен	perder	изгубен	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
almas	души	alma	души	N;FEM;PL	N;INDF
hebraico	еврейски	hebraico	еврейски	N;MASC;SG	ADJ;INDF;MASC;SG
adolfo	адолфо	adolfo	адолфо	N;MASC;SG	PROPN;INDF;MASC;SG
bactérias	бактериална	bactéria	бактериален	N;FEM;PL	ADJ;INDF;FEM;SG
bactérias	бактериални	bactéria	бактериален	N;FEM;PL	ADJ;INDF;PL
bactérias	бактерия	bactéria	бактерия	N;FEM;PL	N;INDF;FEM;SG
progressivo	прогресивно	progressivo	прогресивно	ADJ;MASC;SG	ADV
verso	стихове	verso	стих	N;MASC;SG	N;INDF;MASC;PL
harrison	харисън	harrison	харисън	N;MASC;SG	PROPN;INDF;MASC;SG
futuros	бъдеще	futuro	бъдеще	ADJ;MASC;PL	N;INDF;NEUT;SG
futuros	бъдещ	futuro	бъдещ	ADJ;MASC;PL	ADJ;INDF;MASC;SG
futuros	бъдещето	futuro	бъдеще	ADJ;MASC;PL	N;DEF;NEUT;SG
futuros	бъдеща	futuro	бъдещ	ADJ;MASC;PL	ADJ;INDF;FEM;SG
impróprio	неподходящо	impróprio	неподходящ	ADJ;MASC;SG	ADV
impróprio	неподходящи	impróprio	неподходящ	ADJ;MASC;SG	ADJ;INDF;PL
impróprio	неуместно	impróprio	неуместно	ADJ;MASC;SG	ADV
impróprio	неподходящо	impróprio	неподходящ	ADJ;MASC;SG	ADV
impróprio	неподходящи	impróprio	неподходящ	ADJ;MASC;SG	ADJ;INDF;PL
fiéis	вярващи	fiel	вярвам	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
fiéis	вярващите	fiel	вярвам	N;MASC;PL	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
fiéis	вярна	fiel	верен	N;MASC;PL	ADJ;INDF;FEM;SG
fiéis	верен	fiel	верен	N;MASC;PL	ADJ;INDF;MASC;SG
fiéis	верните	fiel	верен	N;MASC;PL	ADJ;DEF;PL
fiéis	верни	fiel	верен	N;MASC;PL	ADJ;INDF;PL
potências	пауърс	potências	пауърс	N;FEM;PL	N;INDF;MASC;SG
toque	пипай	toque	пипай	N;MASC;SG	V;IPFV;IMP;SG;2;FIN
votado	гласували	votar	гласувам	V;MASC;SG;V.PTCP	V;IPFV;INDF;PL;PST;V.PTCP;ACT
votado	гласуваха	votar	гласувам	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;3;PST;FIN;ACT
votado	гласувахме	votar	гласувам	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;1;IPFV;FIN;ACT
viajar	пътувания	viajar	пътуване	V;NFIN	N;INDF;NEUT;PL
viajar	пътуване	viajar	пътуване	V;NFIN	N;INDF;NEUT;SG
viajar	пътешествия	viajar	пътешествие	V;NFIN	N;INDF;NEUT;PL
viajar	пътуване	viajar	пътуване	V;NFIN	N;INDF;NEUT;SG
viajar	пътуващи	viajar	пътувам	V;NFIN	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
viajar	пътуване	viajar	пътуване	V;NFIN	N;INDF;NEUT;SG
turner	търнър	turner	търнър	N;MASC;SG	PROPN;INDF;MASC;SG
cds	дискове	cd	диск	N;MASC;SG	N;INDF;MASC;PL
incorporada	вградена	incorporar	вграда	V;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
incorporada	вградени	incorporar	вграда	V;FEM;SG;V.PTCP	ADJ;INDF;PL
incorporada	вградени	incorporar	вграда	V;FEM;SG;V.PTCP	ADJ;INDF;PL
incorporada	вградена	incorporar	вграда	V;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
incorporada	вграден	incorporar	вграден	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
primárias	първична	primária	първичен	N;FEM;PL	ADJ;INDF;FEM;SG
primárias	първични	primária	първичен	N;FEM;PL	ADJ;INDF;PL
primárias	първичен	primária	първичен	N;FEM;PL	ADJ;INDF;MASC;SG
primárias	първично	primária	първичен	N;FEM;PL	ADV
observado	наблюдавани	observar	наблюдавам	V;MASC;SG;V.PTCP	V;IPFV;INDF;PL;V.PTCP;PASS
hills	хълмове	hills	хълм	N;MASC;SG	N;INDF;MASC;PL
hills	хилс	hills	хилс	N;MASC;SG	PROPN;INDF;MASC;SG
absoluto	абсолютни	absoluto	абсолютен	ADJ;MASC;SG	ADJ;INDF;PL
money	пари	money	пара	N;MASC;SG	N;INDF;FEM;PL
money	парите	money	пара	N;MASC;SG	N;DEF;FEM;PL
compreender	разбирателство	compreender	разбирателство	V;NFIN	N;INDF;NEUT;SG
compreender	разбиране	compreender	разбиране	V;NFIN	N;INDF;NEUT;SG
lobos	лобос	lobo	лобос	N;MASC;PL	N;INDF;MASC;SG
airlines	авиолинии	airline	авиолиния	N;MASC;SG	N;INDF;FEM;PL
airlines	airlines	airline	airlines	N;MASC;SG	PROPN;INDF;MASC;SG
airlines	авиокомпании	airline	авиокомпания	N;MASC;SG	N;INDF;FEM;PL
airlines	авиокомпаниите	airline	авиокомпания	N;MASC;SG	N;DEF;FEM;PL
vermelhas	ред	vermelho	ред	N;FEM;PL	N;INDF;MASC;SG
vermelhas	червена	vermelho	червен	N;FEM;PL	ADJ;INDF;FEM;SG
vermelhas	червен	vermelho	червен	N;FEM;PL	ADJ;INDF;MASC;SG
vermelhas	червени	vermelho	червен	N;FEM;PL	ADJ;INDF;PL
vermelhas	червено	vermelho	червено	N;FEM;PL	ADV
negativa	отрицателен	negativa	отрицателен	N;FEM;SG	ADJ;INDF;MASC;SG
negativa	отрицателно	negativa	отрицателен	N;FEM;SG	ADV
negativa	отрицателни	negativa	отрицателен	N;FEM;SG	ADJ;INDF;PL
negativa	отрицателна	negativa	отрицателен	N;FEM;SG	ADJ;INDF;FEM;SG
julia	юлия	julia	юлия	N;FEM;SG	PROPN;INDF;FEM;SG
julia	хулия	julia	хулия	N;FEM;SG	PROPN;INDF;FEM;SG
orgânica	органични	orgânico	органичен	N;FEM;SG	ADJ;INDF;PL
orgânica	органична	orgânico	органичен	N;FEM;SG	ADJ;INDF;FEM;SG
orgânica	органичен	orgânico	органичен	N;FEM;SG	ADJ;INDF;MASC;SG
orgânica	органично	orgânico	органичен	N;FEM;SG	ADV
realizando	извършване	realizar	извършване	V;V.MSDR	N;INDF;NEUT;SG
raro	рядко	raro	рядко	ADJ;MASC;SG	ADV
raro	редки	raro	редка	ADJ;MASC;SG	N;INDF;FEM;PL
raro	рядкост	raro	рядкост	ADJ;MASC;SG	N;INDF;FEM;SG
caracterizado	препоръчани	caracterizado	препоръчам-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
perfeita	перфектна	perfazer	перфектен	V;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
perfeita	перфектно	perfazer	перфектно	V;FEM;SG;V.PTCP	ADV
perfeita	перфектен	perfazer	перфектен	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
perfeita	съвършен	perfazer	съвършен	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
bush	буш	bush	буш	PROPN;MASC;SG	PROPN;INDF;MASC;SG
bush	храст	bush	храст	PROPN;MASC;SG	N;INDF;MASC;SG
redonda	кръгли	redonda	кръгъл	N;FEM;SG	ADJ;INDF;PL
redonda	кръгло	redonda	кръг	N;FEM;SG	ADV
gótico	гот	gótico	гот	ADJ;MASC;SG	N;INDF;MASC;SG
quadrado	квадратна	quadrado	квадратен	N;MASC;SG	ADJ;INDF;FEM;SG
quadrado	квадратни	quadrado	квадратен	N;MASC;SG	ADJ;INDF;PL
quadrado	квадратен	quadrado	квадратен	N;MASC;SG	ADJ;INDF;MASC;SG
rodríguez	родригес	rodríguez	родригес	N;MASC;SG	PROPN;INDF;MASC;SG
rodríguez	родригез	rodríguez	родригез	N;MASC;SG	PROPN;INDF;MASC;SG
rodríguez	родригес	rodríguez	родригес	N;MASC;SG	PROPN;INDF;MASC;SG
atacou	атакувани	atacar	атакувам	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
atacou	нападната	atacar	нападен	V;IND;SG;3;PST;FIN	ADJ;DEF;FEM;SG
atacou	нападнат	atacar	нападна	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;3;PRS;FIN;ACT
sin	грехове	sin	грях	N;MASC;SG	N;INDF;MASC;PL
normais	нормален	normal	нормален	ADJ;MASC;PL	ADJ;INDF;MASC;SG
normais	нормално	normal	нормално	ADJ;MASC;PL	ADV
normais	нормална	normal	нормален	ADJ;MASC;PL	ADJ;INDF;FEM;SG
amistoso	приятелска	amistoso	приятелски	N;MASC;SG	ADJ;INDF;FEM;SG
amistoso	приятелски	amistoso	приятелски	N;MASC;SG	ADJ;INDF;MASC;SG
amistoso	дружелюбна	amistoso	дружелюбен	N;MASC;SG	ADJ;INDF;FEM;SG
amistoso	приятелско	amistoso	приятелски	N;MASC;SG	ADV
atitudes	отношението	atitude	отношение	N;FEM;PL	N;DEF;NEUT;SG
obtidos	получено	obter	получа	V;MASC;PL;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
obtidos	получена	obter	получа	V;MASC;PL;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
obtidos	получен	obter	получа	V;MASC;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
medeiros	медейрос	medeiro	медейрос	N;MASC;SG	PROPN;INDF;MASC;SG
eyes	очи	eyes	око	N;MASC;SG	N;INDF;NEUT;PL
eyes	очите	eyes	око	N;MASC;SG	N;DEF;NEUT;PL
básicas	основни	básico	основен	N;FEM;PL	ADJ;INDF;PL
básicas	основна	básico	основен	N;FEM;PL	ADJ;INDF;FEM;SG
básicas	основни	básico	основен	N;FEM;PL	ADJ;INDF;PL
básicas	основен	básico	основен	N;FEM;PL	ADJ;INDF;MASC;SG
ilegal	нелегално	ilegal	нелегално	ADJ;MASC;SG	ADV
ilegal	незаконно	ilegal	незаконно	ADJ;MASC;SG	ADV
ilegal	незаконни	ilegal	незаконен	ADJ;MASC;SG	ADJ;INDF;PL
ilegal	незаконно	ilegal	незаконно	ADJ;MASC;SG	ADV
vítor	виктор	vítor	виктор	N;MASC;SG	PROPN;INDF;MASC;SG
vítor	виктор	vítor	виктор	N;MASC;SG	PROPN;INDF;MASC;SG
sugeriu	предложени	sugerir	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
mudado	променени	mudar	променя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
intenso	интензивни	intenso	интензивен	ADJ;MASC;SG	ADJ;INDF;PL
intenso	интензивно	intenso	интензивно	ADJ;MASC;SG	ADV
intenso	интензивни	intenso	интензивен	ADJ;MASC;SG	ADJ;INDF;PL
intenso	напрегнато	intenso	напрегна	ADJ;MASC;SG	ADV
intenso	интензивно	intenso	интензивно	ADJ;MASC;SG	ADV
gerando	генериране	gerar	генериране	V;V.MSDR	N;INDF;NEUT;SG
expandir	разрастване	expandir	разрастване	V;NFIN	N;INDF;NEUT;SG
expandir	разширяване	expandir	разширяване	V;NFIN	N;INDF;NEUT;SG
existiu	съществували	existir	съществувам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;PL;IPFV;V.PTCP;ACT
existiu	съществуваше	existir	съществувам	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;IPFV;FIN;ACT
existiu	съществувало	existir	съществувам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;NEUT;SG;IPFV;V.PTCP;ACT
fritz	фриц	fritz	фриц	N;MASC;SG	PROPN;INDF;MASC;SG
allan	алън	allan	алън	N;MASC;SG	PROPN;INDF;MASC;SG
allan	алан	allan	алан	N;MASC;SG	PROPN;INDF;MASC;SG
assalto	обири	assalto	обир	N;MASC;SG	N;INDF;FEM;PL
favoráveis	благоприятно	favorável	благоприятен	ADJ;MASC;PL	ADV
favoráveis	благоприятен	favorável	благоприятен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
favoráveis	благоприятно	favorável	благоприятен	ADJ;MASC;PL	ADV
favoráveis	благоприятен	favorável	благоприятен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
favoráveis	благоприятна	favorável	благоприятен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
opa	opa	opa	opa	N;MASC;SG	INTJ
opa	опа	opa	опа	N;MASC;SG	INTJ
hardy	харди	hardy	харди	N;MASC;SG	PROPN;INDF;MASC;SG
fêmeas	женските	fêmea	женски	N;FEM;PL	ADJ;DEF;PL
fêmeas	женски	fêmea	женски	N;FEM;PL	ADJ;INDF;MASC;SG
móvel	мобилни	móvel	мобилен	N;MASC;SG	ADJ;INDF;PL
móvel	мобилен	móvel	мобилен	N;MASC;SG	ADJ;INDF;MASC;SG
móvel	мобилно	móvel	мобилно	N;MASC;SG	ADV
móvel	мобилна	móvel	мобилен	N;MASC;SG	ADJ;INDF;FEM;SG
abraço	прегърна	abraço	прегърна-(се)	N;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
vestido	облечени	vestir	облека	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
vestido	рокля	vestir	рокля	V;MASC;SG;V.PTCP	N;INDF;FEM;SG
simão	саймън	simão	саймън	N;MASC;SG	PROPN;INDF;MASC;SG
simão	симон	simão	симон	N;MASC;SG	PROPN;INDF;MASC;SG
identificado	маркирани	identificar	маркирам	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
identificado	отбелязани	identificar	отбележа	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
identificado	идентифицирани	identificar	идентифицирам	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
residencial	жилищна	residencial	жилищен	N;MASC;SG	ADJ;INDF;FEM;SG
residencial	жилищни	residencial	жилищен	N;MASC;SG	ADJ;INDF;PL
residencial	жилищен	residencial	жилищен	N;MASC;SG	ADJ;INDF;MASC;SG
michelle	мишел	michelle	мишел	N;FEM;SG	PROPN;INDF;MASC;SG
simmons	симънс	simmons	симънс	N;MASC;SG	PROPN;INDF;MASC;SG
expresso	експресна	expresso	експресен	V;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
expresso	експрес	expresso	експрес	V;MASC;SG;V.PTCP	N;INDF;MASC;SG
expresso	еспресо	expresso	еспресо	V;MASC;SG;V.PTCP	N;INDF;NEUT;SG
expresso	изразени	expresso	изразя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
human	човешка	human	човешки	N;MASC;SG	ADJ;INDF;FEM;SG
human	човешко	human	човешки	N;MASC;SG	ADV
human	човешки	human	човешки	N;MASC;SG	ADJ;INDF;MASC;SG
jstor	jstor	jstor	jstor	N;MASC;SG	PROPN;INDF;MASC;SG
precipitação	валежи	precipitação	валеж	N;FEM;SG	N;INDF;MASC;PL
khan	кан	khan	кан	N;MASC;SG	PROPN;INDF;MASC;SG
corda	въжета	corda	въжет	N;FEM;SG	N;INDF;NEUT;PL
ritual	ритуално	ritual	ритуален	N;MASC;SG	ADV
mariano	мариано	mariano	мариано	N;MASC;SG	PROPN;INDF;MASC;SG
introduziu	въведени	introduzir	въведа	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
delgada	стройна	delgada	строен	N;FEM;SG	ADJ;INDF;FEM;SG
comer	ядене	comer	ядене	V;NFIN	N;INDF;NEUT;SG
mísseis	ракета	míssil	ракета	N;MASC;PL	N;INDF;FEM;SG
dívida	дългове	dívida	дълг	N;FEM;SG	N;INDF;MASC;PL
complementar	допълващи	complementar	допълвам	ADJ;MASC;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
complementar	допълване	complementar	допълване	ADJ;MASC;SG	N;INDF;NEUT;SG
complementar	допълнение	complementar	допълнение	ADJ;MASC;SG	N;INDF;NEUT;SG
complementar	допълват	complementar	допълвам	ADJ;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
albânia	албански	albânia	албански	N;FEM;SG	ADJ;INDF;MASC;SG
albânia	албанска	albânia	албански	N;FEM;SG	ADJ;INDF;FEM;SG
albânia	албанско	albânia	албански	N;FEM;SG	ADV
second	второ	second	втори	N;MASC;SG	ADV
second	втора	second	втори	N;MASC;SG	ADJ;INDF;FEM;SG
second	втори	second	втори	N;MASC;SG	ADJ;INDF;MASC;SG
únicas	уникално	único	уникално	ADJ;FEM;PL	ADV
únicas	уникален	único	уникален	ADJ;FEM;PL	ADJ;INDF;MASC;SG
únicas	уникална	único	уникален	ADJ;FEM;PL	ADJ;INDF;FEM;SG
luigi	луиджи	luigi	луиджа	PROPN;MASC;SG	PROPN;INDF;MASC;SG
navarra	навара	navarra	навар	N;FEM;SG	PROPN;INDF;FEM;SG
amar	любяща	amar	любящ	V;NFIN	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
amar	любящ	amar	любя	V;NFIN	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
amar	амар	amar	амар	V;NFIN	N;INDF;MASC;SG
fio	жици	fio	жица	N;MASC;SG	N;INDF;FEM;PL
fio	нишки	fio	нишка	N;MASC;SG	ADJ;INDF;PL
fio	конци	fio	конеца	N;MASC;SG	N;INDF;MASC;PL
aparelhos	апарат	aparelho	апарат	N;MASC;PL	N;INDF;MASC;SG
aparelhos	апаратура	aparelho	апаратура	N;MASC;PL	N;INDF;FEM;SG
ideais	идеален	ideal	идеален	N;MASC;PL	ADJ;INDF;MASC;SG
ideais	идеални	ideal	идеален	N;MASC;PL	ADJ;INDF;PL
ideais	идеал	ideal	идея	N;MASC;PL	N;INDF;MASC;SG
move	ходове	mover	ход	V;IMP;SG;3;PRS;FIN	N;INDF;MASC;PL
