فرس	tamma	فَرَس	tamma		N;NOM;SG
شمسية	auringon	شَمسِيّ	aurinko	ADJ;NOM;INDF;FEM;SG	N;GEN;SG
شمسية	aurinko	شَمسِيّ	aurinko	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
النجار	carpenter	نَجَّار	carpenter		PROPN;NOM;SG
النهج	lähestymistavat	نَهج	lähestymis#tapa	N;NOM;DEF;SG	N;NOM;PL
النهج	lähestymistapoja	نَهج	lähestymis#tapa	N;NOM;DEF;SG	N;PRT;PL
النهج	lähestymistavan	نَهج	lähestymis#tapa	N;NOM;DEF;SG	N;GEN;SG
جامايكا	jamaika	جامايكا	jamaika		N;NOM;SG
جامايكا	jamaikalainen	جامايكا	jamaikalainen		ADJ;NOM;SG
روضة	lastentarhan	رَوضَة	lastentarha	N;NOM;INDF;SG	N;GEN;SG
تدمر	tuhota	دَمَّر	tuhota		V;SG;NFIN;ACT
تدمر	tuhoa	دَمَّر	tuho		N;PRT;SG
تدمر	tuhotaan	دَمَّر	tuhota		V;IND;PRS;FIN;PASS
الكثيرون	monet	كَثِير	moni	ADJ;NOM;DEF;MASC;PL	PRO;NOM;PL
الكثيرون	monia	كَثِير	moni	ADJ;NOM;DEF;MASC;PL	PRO;PRT;PL
الكثيرون	monta	كَثِير	moni	ADJ;NOM;DEF;MASC;PL	PRO;PRT;SG
الكثيرون	moni	كَثِير	moni	ADJ;NOM;DEF;MASC;PL	PRO;NOM;SG
التوجهات	suuntauksia	تَوَجُّه	suuntaus	N;NOM;DEF;PL	N;PRT;PL
تقاطع	risteyksessä	تَقَاطُع	risteys	N;NOM;INDF;SG	N;IN+ESS;SG
تاريخيا	historiallisesti	تَارِيخِيّ	historiallisesti	ADJ;ACC;INDF;MASC;SG	ADV
عنف	väkivaltaista	عُنف	väki#valtainen	N;NOM;INDF;SG	ADJ;PRT;SG
عنف	väkivaltainen	عُنف	väki#valtainen	N;NOM;INDF;SG	ADJ;NOM;SG
عنف	väkivaltaa	عُنف	väki#valta	N;NOM;INDF;SG	N;PRT;SG
عنف	väkivaltaisuudet	عُنف	väki#valtaisuus	N;NOM;INDF;SG	N;NOM;PL
المناظر	nähtävyyksiä	مُنَاظِر	nähtävyys	N;NOM;DEF;PL	N;PRT;PL
شيد	vajaan	شَاد	vajaa	V;PFV;MASC;SG;3;PASS	N;GEN;SG
وين	wayne	وين	wayne		PROPN;NOM;SG
وين	wen	وين	wen		PROPN;NOM;SG
تدهور	hajoamista	تَدَهوُر	hajoaminen	N;NOM;INDF;SG	N;PRT;SG
الصراعات	ristiriitoja	صِرَاع	risti#riita	N;NOM;DEF;PL	N;PRT;PL
الصراعات	konfliktien	صِرَاع	konflikti	N;NOM;DEF;PL	N;GEN;PL
الصراعات	konflikteja	صِرَاع	konflikti	N;NOM;DEF;PL	N;PRT;PL
الصراعات	konflikti	صِرَاع	konflikti	N;NOM;DEF;PL	N;NOM;SG
الصراعات	selkkaus	صِرَاع	selkkaus	N;NOM;DEF;PL	N;NOM;SG
الصراعات	konfliktin	صِرَاع	konflikti	N;NOM;DEF;PL	N;GEN;SG
الصراعات	ristiriita	صِرَاع	risti#riita	N;NOM;DEF;PL	N;NOM;SG
بيانو	piano	بيانو	piano		N;NOM;SG
بيانو	pianoa	بيانو	piano		N;PRT;SG
بيانو	pianon	بيانو	piano		N;GEN;SG
تتطور	kehittyvät	تَطَوَّر	kehittyä	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IND;PL;3;PRS;FIN;ACT
اخذ	vietiin	أَخذ	viedä	V;PFV;MASC;SG;3;ACT	V;IND;PST;FIN;PASS
اخذ	viety	أَخذ	viedä	V;PFV;MASC;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
اخذ	otettu	أَخذ	ottaa	V;PFV;MASC;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
اخذ	ottaminen	أَخذ	ottaminen	V;PFV;MASC;SG;3;ACT	N;NOM;SG
اخذ	ota	أَخذ	ottaa	V;PFV;MASC;SG;3;ACT	V;IMP;SG;2;FIN;ACT
اخذ	otetaan	أَخذ	ottaa	V;PFV;MASC;SG;3;ACT	V;IND;PRS;FIN;PASS
سامة	myrkyllisiä	سامة	myrkyllinen	N;NOM;INDF;SG	ADJ;PRT;PL
سامة	myrkyllinen	سامة	myrkyllinen	N;NOM;INDF;SG	ADJ;NOM;SG
سامة	myrkyllistä	سامة	myrkyllinen	N;NOM;INDF;SG	ADJ;PRT;SG
سامة	myrkyllisiä	سامة	myrkyllinen	N;NOM;INDF;SG	ADJ;PRT;PL
سامة	myrkyllinen	سامة	myrkyllinen	N;NOM;INDF;SG	ADJ;NOM;SG
سامة	myrkyllistä	سامة	myrkyllinen	N;NOM;INDF;SG	ADJ;PRT;SG
الفترات	kuukautiset	فَترَة	kuukautinen	N;NOM;DEF;PL	ADJ;NOM;PL
واقعية	realistisia	وَاقِعِيَّة	realistinen	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;PL
واقعية	realistista	وَاقِعِيَّة	realistinen	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;SG
واقعية	realismia	وَاقِعِيَّة	realismi	ADJ;NOM;INDF;FEM;SG	N;PRT;SG
النيتروجين	typpi	النيتروجين	typpi	N;NOM;DEF;DU	N;NOM;SG
النيتروجين	typpeä	النيتروجين	typpeä	N;NOM;DEF;DU	N;PRT;SG
النيتروجين	typen	النيتروجين	typpi	N;NOM;DEF;DU	N;GEN;SG
زرقاء	sininen	زَرِيق	sininen	N;NOM;INDF;PL	ADJ;NOM;SG
زرقاء	siniset	زَرِيق	sininen	N;NOM;INDF;PL	ADJ;NOM;PL
زرقاء	sinistä	زَرِيق	sininen	N;NOM;INDF;PL	ADJ;PRT;SG
زرقاء	sini	زَرِيق	sini	N;NOM;INDF;PL	N;NOM;SG
هياكل	rakenteita	هَيكَل	rakenne	N;NOM;INDF;PL	N;PRT;PL
هياكل	rakenteiden	هَيكَل	rakenne	N;NOM;INDF;PL	N;GEN;PL
الورد	ruusuja	وَرد	ruusu	N;NOM;DEF;SG	N;PRT;PL
الورد	ruusut	وَرد	ruusu	N;NOM;DEF;SG	N;NOM;PL
منطق	looginen	مَنطِق	looginen	N;NOM;INDF;SG	ADJ;NOM;SG
منطق	logiikkaa	مَنطِق	logiikka	N;NOM;INDF;SG	N;PRT;SG
منطق	logiikan	مَنطِق	logiikka	N;NOM;INDF;SG	N;GEN;SG
يرفع	hissit	رَفَع	hissi	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;PL
شحنة	lastia	شَحنَة	lasti	N;NOM;INDF;SG	N;PRT;SG
شحنة	lastin	شَحنَة	lasti	N;NOM;INDF;SG	N;GEN;SG
شحنة	rahtia	شَحنَة	rahti	N;NOM;INDF;SG	N;PRT;SG
شحنة	lähetyksen	شَحنَة	lähetys	N;NOM;INDF;SG	N;GEN;SG
نشطة	aktiivisia	نَشَاط	aktiivinen	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;PL
نشطة	aktiiviset	نَشَاط	aktiivinen	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
نشطة	aktiivisena	نَشَاط	aktiivinen	ADJ;NOM;INDF;FEM;SG	ADJ;FRML;SG
قنابل	pommeja	قنابل	pommi	N;NOM;INDF;PL	N;PRT;PL
الفرص	tilaisuus	فُرصَة	tilaisuus	N;NOM;DEF;PL	N;NOM;SG
الفرص	mahdollisuus	فُرصَة	mahdollisuus	N;NOM;DEF;PL	N;NOM;SG
الفرص	tilaisuuden	فُرصَة	tilaisuus	N;NOM;DEF;PL	N;GEN;SG
الفرص	mahdollisuuksia	فُرصَة	mahdollisuus	N;NOM;DEF;PL	N;PRT;PL
الفرص	mahdollisuuksien	فُرصَة	mahdollisuus	N;NOM;DEF;PL	N;GEN;PL
الفولاذ	steel	فُولَاذ	steel	N;NOM;DEF;SG	
الفولاذ	terästä	فُولَاذ	teräs	N;NOM;DEF;SG	N;PRT;SG
الفولاذ	teräksen	فُولَاذ	teräs	N;NOM;DEF;SG	N;GEN;SG
نشوء	syntymistä	نَشوَء	syntyminen	N;NOM;INDF;SG	N;PRT;SG
السجناء	vankeja	سَجِين	vanki	N;NOM;DEF;PL	N;PRT;PL
السجناء	vankien	سَجِين	vanki	N;NOM;DEF;PL	N;GEN;PL
سلمية	rauhallista	سِلمِيّ	rauhallinen	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;SG
ترميم	palauttamista	تَرمِيم	palauttaminen	N;NOM;INDF;SG	N;PRT;SG
عيوب	haittoja	عَيب	haitta	N;NOM;INDF;SG	N;PRT;PL
عيوب	haitat	عَيب	haitta	N;NOM;INDF;SG	N;NOM;PL
عيوب	vikoja	عَيب	vika	N;NOM;INDF;SG	N;PRT;PL
عيوب	viat	عَيب	vias	N;NOM;INDF;SG	N;NOM;PL
المحافظين	konservatiivien	مُحَافِظ	konservatiivi	N;NOM;DEF;PL	N;GEN;PL
الملاك	angel	مَالِك	angel	N;NOM;DEF;PL	PROPN;NOM;SG
الملاك	enkeli	مَالِك	enkeli	N;NOM;DEF;PL	N;NOM;SG
العروس	morsian	عَرس	morsia	N;NOM;DEF;SG	N;PRT;PL
كابتن	kapteeni	كابتن	kapteeni		N;NOM;SG
كوبنهاغن	kööpenhaminassa	كُوبِنهَاغِن	kööpen#hamina		N;IN+ESS;SG
كوبنهاغن	kööpenhaminan	كُوبِنهَاغِن	kööpen#hamina		N;GEN;SG
كوبنهاغن	kööpenhamina	كُوبِنهَاغِن	kööpenhama		N;NOM;SG
عارض	katsoja	عَارَض	katsoja		N;NOM;SG
عارض	katsojaa	عَارَض	katsoja		N;PRT;SG
عارض	katsojan	عَارَض	katsoja		N;GEN;SG
عارض	mallia	عَارَض	malli		N;PRT;SG
عارض	malli	عَارَض	malli		N;NOM;SG
عارض	mallissa	عَارَض	malli		N;IN+ESS;SG
عارض	vastusti	عَارَض	vastustaa		V;IND;SG;3;PST;FIN;ACT
بيكر	baker	بَيكِر	baker		PROPN;NOM;SG
بيكر	bakerin	بَيكِر	bakeri		N;GEN;SG
فلوريد	fluoridi	فلوريد	fluoridi		N;NOM;SG
ضريبة	veroja	ضَرِيبَة	vero	N;NOM;INDF;SG	N;PRT;PL
ضريبة	verot	ضَرِيبَة	vero	N;NOM;INDF;SG	N;NOM;PL
مطالب	vaatii	مَطلَب	vaatia	N;NOM;INDF;PL	V;IND;SG;3;PRS;FIN;ACT
مطالب	vaatimuksia	مَطلَب	vaatimus	N;NOM;INDF;PL	N;PRT;PL
جاذبية	vetovoimaa	جَاذِبِيَّة	veto#voima	N;NOM;INDF;SG	N;PRT;SG
جاذبية	painovoiman	جَاذِبِيَّة	paino#voima	N;NOM;INDF;SG	N;GEN;SG
غني	laulaa	غَنِّيّ	laulaa		V;IND;SG;3;PRS;FIN;ACT
غني	laula	غَنِّيّ	laulaa		V;IMP;SG;2;FIN;ACT
غني	rikkaita	غَنِّيّ	rikas		ADJ;PRT;PL
غني	rikkaat	غَنِّيّ	rikas		ADJ;NOM;PL
غني	rich	غَنِّيّ	rich		PROPN;NOM;SG
غني	rikas	غَنِّيّ	rikas		ADJ;NOM;SG
سعادة	onnen	سَعَادَة	onni	N;NOM;INDF;SG	N;GEN;SG
سعادة	onnea	سَعَادَة	onni	N;NOM;INDF;SG	N;PRT;SG
العشرات	kymmeniä	عَشَرَة	kymmenen	N;NOM;DEF;PL	NUM;PRT;PL
العشرات	kymmenet	عَشَرَة	kymmenen	N;NOM;DEF;PL	NUM;NOM;PL
شين	chin	شين	chin		N;NOM;SG
شين	leuka	شين	leuka		N;NOM;SG
شين	shin	شين	shin		PROPN;NOM;SG
المبلغ	summaa	مَبلَغ	summa	N;NOM;DEF;SG	N;PRT;SG
وارسو	varsovassa	وارسو	varsova		ADJ;IN+ESS;SG
وارسو	varsovan	وارسو	varsoa		V;GEN;SG;V.PTCP;ACT
الزيارة	vierailun	زِيَارَة	vierailu	N;NOM;DEF;SG	N;GEN;SG
الزيارة	käymään	زِيَارَة	käydä	N;NOM;DEF;SG	V;IN+ALL;SG;NFIN;ACT
الزيارة	käy	زِيَارَة	käydä	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
الزيارة	käymässä	زِيَارَة	käydä	N;NOM;DEF;SG	V;IN+ESS;SG;NFIN;ACT
الزيارة	vierailulla	زِيَارَة	vierailu	N;NOM;DEF;SG	N;AT+ESS
;SG
دوما	aina	دَوم	aina	N;ACC;INDF;SG	ADV
تنزانيا	tansanian	تنزانيا	tansania		N;GEN;SG
ميلر	miller	مِيلِر	miller		PROPN;NOM;SG
ميلر	millerin	مِيلِر	milleri		N;GEN;SG
البوب	pop	بُوب	pop		N;NOM;SG
حاشية	seurueen	حَاشِي	seurue	N;NOM;INDF;SG	N;GEN;SG
بيتي	betty	بِيتِي	betty		N;NOM;SG
دمرت	tuhottu	دَمَّر	tuhota	V;PFV;FEM;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
دمرت	hävitetty	دَمَّر	hävittää	V;PFV;FEM;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
العلاجات	hoitoja	عَلَاجَة	hoito	N;NOM;DEF;PL	N;PRT;PL
العلاجات	hoitojen	عَلَاجَة	hoito	N;NOM;DEF;PL	N;GEN;PL
العلاجات	hoitojen	عَلَاجَة	hoito	N;NOM;DEF;PL	N;GEN;PL
ضروري	tarpeellisia	ضَرُورِيّ	tarpeellinen	ADJ;NOM;INDF;MASC;SG	ADJ;PRT;PL
ضروري	tarpeen	ضَرُورِيّ	tarpeen	ADJ;NOM;INDF;MASC;SG	ADV
ضروري	tarpeellista	ضَرُورِيّ	tarpeellinen	ADJ;NOM;INDF;MASC;SG	ADJ;PRT;SG
ضروري	tarpeelliset	ضَرُورِيّ	tarpeellinen	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;PL
سديم	sumu	سديم	sumu		N;NOM;SG
ليه	leh	ليه	leh		N;NOM;SG
لاوس	laosin	لَاوس	laotaa		N;GEN;SG
التراب	multa	تُرَاب	minä	N;NOM;DEF;SG	PRO;AT+ABL;SG
التراب	likaa	تُرَاب	likaa	N;NOM;DEF;SG	N;PRT;SG
التراب	multaa	تُرَاب	multa	N;NOM;DEF;SG	N;PRT;SG
موثوقة	luotettavaa	مَوثُوق	luotettava	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;SG
تجار	kauppiaiden	تَاجِر	kauppias	N;NOM;INDF;PL	N;GEN;PL
تجار	kauppiaiden	تَاجِر	kauppias	N;NOM;INDF;PL	N;GEN;PL
تجار	kauppiaita	تَاجِر	kauppias	N;NOM;INDF;PL	N;PRT;PL
تجار	jälleenmyyjien	تَاجِر	jälleenmyyjä	N;NOM;INDF;PL	N;GEN;PL
بشري	ihmisen	بشري	ihminen		N;GEN;SG
بشري	ihminen	بشري	ihminen		N;NOM;SG
بشري	inhimillinen	بشري	inhimillinen		ADJ;NOM;SG
الرحالة	matkailijat	رِحَالَة	matkailija	N;NOM;DEF;SG	N;NOM;PL
الرحالة	matkailijoita	رِحَالَة	matkailija	N;NOM;DEF;SG	N;PRT;PL
العلاجية	terapeuttista	عِلَاجِيّ	terapeuttinen	ADJ;NOM;DEF;FEM;SG	ADJ;PRT;SG
ركاب	matkustajia	رَاكِب	matkustaja	N;NOM;INDF;PL	N;PRT;PL
ركاب	matkustajien	رَاكِب	matkustaja	N;NOM;INDF;PL	N;GEN;PL
رينيه	renee	رينيه	rennä		PROPN;NOM;SG
الحارس	vartioi	حَارِس	vartioida	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN;ACT
الحارس	vartioida	حَارِس	vartioida	N;NOM;DEF;SG	V;SG;NFIN;ACT
لينين	lenin	لِينِين	lenin		N;NOM;SG
المطاعم	ravintoloita	مَطعَم	ravintolo	N;NOM;DEF;PL	N;PRT;PL
المطاعم	ravintoloissa	مَطعَم	ravintolo	N;NOM;DEF;PL	N;IN+ESS;PL
حازم	luja	حازم	luja		N;NOM;SG
معماري	arkkitehti	مُعَمَّار	arkkitehti	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
معماري	arkkitehti	مُعَمَّار	arkkitehti	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
الروك	kallio	رُوك	kallio		N;NOM;SG
الروك	kivi	رُوك	kivi		N;NOM;SG
الروك	rokkaa	رُوك	rokka		V;IMP;SG;2;FIN;ACT
الروك	rock	رُوك	rock		
خشبية	puiset	خَشَبِيّ	puinen	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
عانت	kärsineet	عَانَى	kärsiä	V;PFV;FEM;SG;3;ACT	V;NOM;PL;V.PTCP;ACT
الترخيص	lupakirjan	تَرخِيص	lupa#kirja	N;NOM;DEF;SG	N;GEN;SG
الترخيص	valtuudet	تَرخِيص	valtuus	N;NOM;DEF;SG	N;NOM;PL
المعاملات	tapahtuma	مُعَامَلَة	tapahtuma	N;NOM;DEF;PL	N;NOM;SG
بورقيبة	bourguiba	بُورقِيبَة	bourguiba		N;NOM;SG
المختبر	laboratorion	مُختَبَر	laboratorio	N;NOM;DEF;SG	N;GEN;SG
التحرك	siirrä	تَحَرُّك	siirtä	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
التحرك	siirry	تَحَرُّك	siirtyä	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
التحرك	liikkeellä	تَحَرُّك	liike	N;NOM;DEF;SG	N;AT+ESS
;SG
التحرك	liikkuvat	تَحَرُّك	liikkua	N;NOM;DEF;SG	V;IND;PL;3;PRS;FIN;ACT
التحرك	liikkuu	تَحَرُّك	liikkua	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN;ACT
اكتملت	suoritettu	اِكتَمَل	suorittaa	V;PFV;FEM;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
اكتملت	päätökseen	اِكتَمَل	päätös	V;PFV;FEM;SG;3;ACT	N;IN+ALL;SG
سلمى	selma	سلمى	selma		N;NOM;SG
ستيفان	stefan	ستِيفَان	stefan		N;NOM;SG
دينامو	dynamo	دِينَامُو	dynamo		N;NOM;SG
الشريك	kumppania	شَرِيك	kumppani	N;NOM;DEF;SG	N;PRT;SG
كاميرا	kamera	كَامِيرَا	kamera		N;NOM;SG
كاميرا	kameran	كَامِيرَا	kamera		N;GEN;SG
التجريبي	demo	تَجرِيبِيّ	demo	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
التجريبي	esittely	تَجرِيبِيّ	esittely	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
وجبة	aterian	وجبة	ateria	N;NOM;INDF;SG	N;GEN;SG
هوارد	howardin	هوارد	howardi		N;GEN;SG
هوارد	howard	هوارد	howard		PROPN;NOM;SG
دافع	motiivi	دَافَع	motiivi	V;PFV;MASC;SG;3;ACT	N;NOM;SG
دافع	motiivia	دَافَع	motiivi	V;PFV;MASC;SG;3;ACT	N;PRT;SG
دافع	motivaatiota	دَافَع	motivaatio	V;PFV;MASC;SG;3;ACT	N;PRT;SG
دافع	motivaatio	دَافَع	motivaatio	V;PFV;MASC;SG;3;ACT	N;NOM;SG
بارد	kylmä	بَارِد	kylmä		ADJ;NOM;SG
بارد	kylmää	بَارِد	kylmä		ADJ;PRT;SG
بارد	kyl	بَارِد	kyllä		ADV
مسجلة	rekisteröity	مُسَجَّل	rekisteröidä	ADJ;NOM;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
مسجلة	kirjattu	مُسَجَّل	kirjata	ADJ;NOM;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
مسجلة	rekisteröityä	مُسَجَّل	rekisteröityä	ADJ;NOM;INDF;FEM;SG	V;PRT;SG;V.PTCP;PASS
مسجلة	rekisteröidyt	مُسَجَّل	rekisteröidä	ADJ;NOM;INDF;FEM;SG	V;NOM;PL;V.PTCP;PASS
الاشتراك	tilaa	اِشتِرَاك	tila	N;NOM;DEF;SG	N;PRT;SG
الاشتراك	tilausta	اِشتِرَاك	tilaus	N;NOM;DEF;SG	N;PRT;SG
كيلي	kelly	كيلي	kelly		PROPN;NOM;SG
كيلي	kellyn	كيلي	kelly		N;GEN;SG
قمع	sorron	قَمع	sorto	N;NOM;INDF;SG	N;GEN;SG
قمع	suppilon	قَمع	suppilo	N;NOM;INDF;SG	N;GEN;SG
قمع	tukahduttamiseen	قَمع	tukahduttaminen	N;NOM;INDF;SG	N;IN+ALL;SG
الجنسيات	kansallisuuksien	جِنسِيّ	kansallisuus	ADJ;NOM;DEF;FEM;PL	N;GEN;PL
الولاء	uskollisuutta	وَلَاء	uskollisuus	N;NOM;DEF;SG	N;PRT;SG
تنافس	kilpailun	نَافَس	kilpailu	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;GEN;SG
تنافس	kilpailu	نَافَس	kilpailu	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;NOM;SG
مستقرة	talli	مُستَقِرّ	talli	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
مستقرة	vakaat	مُستَقِرّ	vakaa	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
متفرقة	hajallaan	مُتَفَرِّق	hajallaan	ADJ;NOM;INDF;FEM;SG	ADV
ريفر	joen	رِيفِر	joki		N;GEN;SG
ريفر	joki	رِيفِر	joki		N;NOM;SG
ميلا	mila	مِيل	mila		PROPN;NOM;SG
جيرمان	germain	جِيرَمَان	germa		
السند	bondin	سَنَد	bond	N;NOM;DEF;SG	N;GEN;SG
بلانك	planckin	بَلَانِك	planck		N;GEN;SG
بلانك	lankku	بَلَانِك	lankku		N;NOM;SG
الاحتراق	palamisen	اِحتِرَاق	palaminen	N;NOM;DEF;SG	N;GEN;SG
تقاليد	perinteitä	تَقلِيد	perinne	N;NOM;INDF;PL	N;PRT;PL
تقاليد	perinne	تَقلِيد	perinne	N;NOM;INDF;PL	N;NOM;SG
تقاليد	perinteitä	تَقلِيد	perinne	N;NOM;INDF;PL	N;PRT;PL
جيري	jerry	جيري	jerry		PROPN;NOM;SG
مكسيكو	meksikossa	مَكسِيكُو	meksikko		N;IN+ESS;SG
مكسيكو	meksiko	مَكسِيكُو	meksiko		N;NOM;SG
مكسيكو	meksikoon	مَكسِيكُو	meksi#koko		N;IN+ALL;SG
مكسيكو	meksikon	مَكسِيكُو	meksikko		N;GEN;SG
هاوس	house	هاوس	house		N;NOM;SG
هاوس	talo	هاوس	talo		N;NOM;SG
هاوس	talon	هاوس	talo		N;GEN;SG
الشك	epäilykset	شَكّ	epäilys	N;NOM;DEF;SG	N;NOM;PL
الشك	epäile	شَكّ	epäillä	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
الشك	epäilystä	شَكّ	epäily	N;NOM;DEF;SG	N;PRT;SG
المخيم	leirin	مُخَيَّم	leiri	N;NOM;DEF;SG	N;GEN;SG
المخيم	leirillä	مُخَيَّم	leiri	N;NOM;DEF;SG	N;AT+ESS
;SG
كيس	pussi	كَيس	pussi		N;NOM;SG
كيس	säkki	كَيس	säkki		N;NOM;SG
كيس	laukku	كَيس	laukku		N;NOM;SG
كيس	säkki	كَيس	säkki		N;NOM;SG
كيس	säkin	كَيس	säkki		N;GEN;SG
لورنس	lawrence	لُورنس	lawrence		PROPN;NOM;SG
شخصيا	henkilökohtaisesti	شَخصِيّ	henkilö#kohtaisesti	ADJ;ACC;INDF;MASC;SG	ADV
البشير	bashir	البشير	bashir		N;NOM;SG
موثقة	dokumentoitu	موثقة	dokumentoida	ADJ;NOM;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
عصابة	gangin	عِصَابَة	gang	N;NOM;INDF;SG	N;GEN;SG
هلسنكي	helsingissä	هِلسِنكِي	helsinki		PROPN;IN+ESS;SG
هلسنكي	helsinkiin	هِلسِنكِي	helsin		N;IN+ALL;SG
هلسنكي	helsingin	هِلسِنكِي	helsinki		PROPN;GEN;SG
هلسنكي	helsinki	هِلسِنكِي	helsinki		N;NOM;SG
البخار	höyryä	بِخَار	höyry	N;NOM;DEF;SG	N;PRT;SG
مسارات	polkuja	مَسَار	polku	N;NOM;INDF;PL	N;PRT;PL
مسارات	jälkiä	مَسَار	jälki	N;NOM;INDF;PL	N;PRT;PL
مسارات	rataa	مَسَار	rata	N;NOM;INDF;PL	N;PRT;SG
مسارات	kappaleita	مَسَار	kappale	N;NOM;INDF;PL	N;PRT;PL
مسارات	polkuja	مَسَار	polku	N;NOM;INDF;PL	N;PRT;PL
الحفريات	fossiileja	حَفرِيَّات	fossiili		N;PRT;PL
تفجيرات	räjähdyksiä	تَفجِير	räjähdys	N;NOM;INDF;PL	N;PRT;PL
براين	brian	برَايِن	brian		PROPN;NOM;SG
براين	brianin	برَايِن	briani		N;GEN;SG
التحدث	puhua	تَحَدُّث	puhua	N;NOM;DEF;SG	V;SG;NFIN;ACT
التحدث	puhu	تَحَدُّث	puhua	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
التحدث	puhetta	تَحَدُّث	puhe	N;NOM;DEF;SG	N;PRT;SG
وال	ja	وَال	ja	N;NOM;DEF;SG	CONJ
هان	han	هان	han		N;NOM;SG
القطط	kissoja	قُطَّة	kisso	N;NOM;DEF;PL	N;PRT;PL
المرمى	tavoitteen	مَرمَى	tavoite	N;NOM;DEF;SG	N;GEN;SG
مصير	kohtalon	مَصِير	kohtalo	N;NOM;INDF;SG	N;GEN;SG
مصير	kohtaloa	مَصِير	kohtalo	N;NOM;INDF;SG	N;PRT;SG
بون	bonnissa	بون	bont		N;IN+ESS;SG
بون	bonnin	بون	bonn		N;GEN;SG
المرتبط	liitetty	مُرتَبِط	liittää	ADJ;NOM;DEF;MASC;SG	V;NOM;SG;V.PTCP;PASS
المرتبط	liittyvät	مُرتَبِط	liittyä	ADJ;NOM;DEF;MASC;SG	V;NOM;PL;V.PTCP;ACT
بلغراد	belgradin	بلغراد	belgrad		N;GEN;SG
وهب	antanut	وَهَب	antaa		V;NOM;SG;V.PTCP;ACT
وهب	antoi	وَهَب	antaa		V;IND;SG;3;PST;FIN;ACT
صدى	echo	صَدَى	echo	N;NOM;INDF;SG	
المعلوماتية	tietotekniikka	مَعلُومَاتِيَّة	tieto#tekniikka		N;NOM;SG
المعلوماتية	tietotekniikan	مَعلُومَاتِيَّة	tieto#tekniikka		N;GEN;SG
ذهبي	golden	ذهبي	golden	ADJ;NOM;INDF;MASC;SG	
ذهبي	kultaiset	ذهبي	kultainen	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;PL
ذهبي	kultaa	ذهبي	kulta	ADJ;NOM;INDF;MASC;SG	N;PRT;SG
ذهبي	kulta	ذهبي	kulta	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
ذهبي	kullan	ذهبي	kulta	ADJ;NOM;INDF;MASC;SG	N;GEN;SG
ساكسونيا	saksi	ساكسونيا	saksi		N;NOM;SG
ساكسونيا	sachsen	ساكسونيا	sach		N;NOM;SG
مسبق	ennakkoon	مُسبَق	ennakko	N;NOM;INDF;SG	N;IN+ALL;SG
دعاية	propagandaa	دِعَايَة	propaganda	N;NOM;INDF;SG	N;PRT;SG
وزيرة	ministerin	وَزِيرَة	ministeri	N;NOM;INDF;SG	N;GEN;SG
احتفال	juhli	اِحتِفَال	juhlia	N;NOM;INDF;SG	V;IND;SG;2;PST;FIN;ACT
احتفال	juhlii	اِحتِفَال	juhlia	N;NOM;INDF;SG	V;IMP;SG;2;FIN;ACT
احتفال	juhlia	اِحتِفَال	juhlia	N;NOM;INDF;SG	V;SG;NFIN;ACT
احتفال	juhlimassa	اِحتِفَال	juhlia	N;NOM;INDF;SG	V;IN+ESS;SG;NFIN;ACT
احتفال	juhlaa	اِحتِفَال	juhlaa	N;NOM;INDF;SG	N;PRT;SG
