カースト	مقام.	カースト	مقام.	N	PROPN;NOM;MASC;SG;3
イコール	متوازن	イコール	متوازن	PROPN	ADJ
イコール	جسامت	イコール	جسامت	PROPN	N;NOM;MASC;SG;3
イコール	ہمسر	イコール	ہمسر	PROPN	N;NOM;MASC;SG;3
イコール	مرتبے	イコール	مرتبہ	PROPN	N;NOM;MASC;SG;3
イコール	خصوصیت	イコール	خصوصیت	PROPN	N;NOM;MASC;SG;3
イコール	یکساں	イコール	یکساں	PROPN	ADJ
イコール	منصب	イコール	منصب	PROPN	N;NOM;MASC;SG;3
イコール	برابر	イコール	برابر	PROPN	ADJ
イコール	خوبی	イコール	خوبی	PROPN	N;NOM;MASC;SG;3
イコール	درجے	イコール	درجہ	PROPN	
イコール	متوازن	イコール	متوازن	PROPN	ADJ
イコール	جسامت	イコール	جسامت	PROPN	N;NOM;MASC;SG;3
フープ	تاننا.	フープ	تاننا.	N	
ベランダ	برآمدہ	ベランダ	برآمدہ	N	ADJ
タジク	تاجکستانی.	タジク	تاجکستانی.	PROPN	PROPN;NOM;MASC;SG;3
そよ風	out	そよ風	out	N	
居所	کوٹھی	居所	کوٹھی	N	PROPN;NOM;MASC;SG;3
居所	اقامت-	居所	اقامت-	N	PROPN;NOM;MASC;SG;3
グリース	تِلائی	グリース	تِلائی	PROPN	ADJ
グリース	تیل	グリース	تیل	PROPN	N;NOM;MASC;SG;3
グリース	روغن	グリース	روغن	PROPN	N;NOM;MASC;SG;3
グリース	چکنائی	グリース	چکنائی	PROPN	N;NOM;FEM;SG;3
グリース	دُہنیت.	グリース	دُہنیت.	PROPN	ADJ
ろ過	تقطیر	ろ過	تقطیر	V	PROPN;NOM;MASC;SG;3
ろ過	پالائش	ろ過	پالائش	V	PROPN;NOM;MASC;SG;3
ろ過	تقطیر	ろ過	تقطیر	V	PROPN;NOM;MASC;SG;3
ニレ	شجربق	ニレ	شجربق	PROPN	PROPN;NOM;MASC;SG;3
ニレ	دردار	ニレ	دردار	PROPN	PROPN;NOM;MASC;SG;3
モレル	مکو	モレル	مکو	PROPN	PROPN;NOM;MASC;SG;3
コルネット	کرارابسکٹ.	コルネット	کرارابسکٹ.	PROPN	N;NOM;MASC;SG;3
ヴァリアント	بہادر	ヴァリアント	بہادر	PROPN	PROPN;NOM;MASC;SG;3
ロココ	متوازن	ロココ	متوازن	N	ADJ
ロココ	موسیقی	ロココ	موسیقی	N	ADJ
ロココ	(	ロココ	(	N	
価額	دام	価額	دام	N	
価額	ارز	価額	ارز	N	
価額	بدل	価額	بدل	N	V;ACT
ダフ	کھوٹا.	ダフ	کھوٹا.	PROPN	
ダフ	نقلی	ダフ	نقلی	PROPN	ADJ
ダフ	شکستہ-	ダフ	شکستہ-	PROPN	PROPN;NOM;MASC;SG;3
フォロワー	پیرو.	フォロワー	پیرو.	N	PROPN;NOM;MASC;SG;3
フォロワー	مطیع	フォロワー	مطیع	N	ADJ
スティル	خاموش	スティル	خاموش	N	ADJ
スティル	ہنوز.	スティル	ہنوز.	N	ADJ
スティル	خاموش	スティル	خاموش	N	ADJ
スティル	ہنوز.	スティル	ہنوز.	N	ADJ
スティル	تاہم	スティル	تاہم	N	CONJ
日陰	off	日陰	off	N	
日陰	into	日陰	into	N	
日陰	ڈھانپنا	日陰	ڈھانپنا	N	V;MASC;SG;NFIN;ACT
日陰	(	日陰	(	N	
日陰	off	日陰	off	N	
日陰	into	日陰	into	N	
日陰	ڈھانپنا	日陰	ڈھانپنا	N	V;MASC;SG;NFIN;ACT
日陰	سایہ	日陰	سایہ	N	PROPN;NOM;MASC;SG;3
日陰	(	日陰	(	N	
トーキング	ناطق.	トーキング	ناطق.	N	ADJ
ディメンション	متعدد	ディメンション	متعدد	N	ADJ
ディメンション	بعد	ディメンション	بعد	N	ADP;NOM;MASC;SG;3
ディメンション	پہنائی	ディメンション	پہنا	N	ADJ;FEM
ロースト	بھننا	ロースト	بھن	N	V;SG;NFIN;ACT
リスペクト	نسبت.	リスペクト	نسبت.	N	PROPN;NOM;MASC;SG;3
リスペクト	for	リスペクト	for	N	
リスペクト	قدر.	リスペクト	قدر.	N	
リスペクト	نسبت.	リスペクト	نسبت.	N	PROPN;NOM;MASC;SG;3
リスペクト	for	リスペクト	for	N	
リスペクト	قدر.	リスペクト	قدر.	N	
チェイン	سلسلہ	チェイン	سلسلہ	PROPN	N;NOM;MASC;SG;3
チェイン	ترتیب	チェイン	ترتیب	PROPN	N;NOM;FEM;SG;3
チェイン	دکانوں	チェイン	دکان	PROPN	N;NOM;MASC;PL;3
チェイン	ہوٹلوں	チェイン	ہوٹل	PROPN	N;ACC;MASC;PL;3
チェイン	جکڑنا	チェイン	جکڑنا	PROPN	V;MASC;SG;NFIN;ACT
チェイン	چینل	チェイン	چینل	PROPN	N;NOM;MASC;SG;3
チェイン	روک	チェイン	روک	PROPN	V;ACT
チェイン	پابند	チェイン	پابند	PROPN	ADJ
チェイン	قطار	チェイン	قطار	PROPN	N;NOM;MASC;SG;3
コンポジット	مخلوط	コンポジット	مخلوط	N	ADJ
コンポジット	مخلوط.	コンポジット	مخلوط.	N	ADJ
絶妙	حسین	絶妙	حسین	ADJ	PROPN;NOM;MASC;SG;3
絶妙	لطیف.	絶妙	لطیف.	ADJ	PROPN;NOM;MASC;SG;3
絶妙	حسین	絶妙	حسین	ADJ	PROPN;NOM;MASC;SG;3
絶妙	نفیس	絶妙	نفیس	ADJ	
絶妙	لطیف.	絶妙	لطیف.	ADJ	PROPN;NOM;MASC;SG;3
ビートル	موگرا	ビートル	موگرا	PROPN	PROPN;NOM;MASC;SG;3
ビートル	ہتھوڑا	ビートル	ہتھوڑا	PROPN	PROPN;NOM;MASC;SG;3
ビートル	کچلنا	ビートル	کچل	PROPN	V;SG;NFIN;ACT
ビートル	درمٹ	ビートル	درمٹ	PROPN	PROPN;NOM;MASC;SG;3
ビートル	گھن	ビートル	گھن	PROPN	
ビートル	توڑنا	ビートル	توڑ	PROPN	V;MASC;SG;NFIN;ACT
ビートル	ڈراؤنی.	ビートル	ڈراؤنی.	PROPN	PROPN;NOM;MASC;SG;3
ハインド	ہرنی	ハインド	ہرنی	PROPN	N;NOM;FEM;SG;3
ハインド	گنوار	ハインド	گنوار	PROPN	
ハインド	بانگڑو.	ハインド	بانگڑو.	PROPN	PROPN;NOM;MASC;SG;3
ハインド	دیہاتی	ハインド	دیہاتی	PROPN	ADJ
閉包	اِتمام.	閉包	اِتمام.	N	PROPN;NOM;MASC;SG;3
閉包	بندش	閉包	بندش	N	PROPN;NOM;MASC;SG;3
閉包	ڈھانپنے	閉包	ڈھانپ	N	V;ACC;NFIN
コムギ	گیہوں	コムギ	گیہوں	N	
コムギ	گندم.	コムギ	گندم.	N	PROPN;NOM;MASC;SG;3
ホライズン	تجربے	ホライズン	تجربہ	PROPN	N;NOM;MASC;SG;3
ガバナンス	قبضہ	ガバナンス	قبضہ	PROPN	N;NOM;MASC;SG;3
ガバナンス	حاکمی.	ガバナンス	حاکمی.	PROPN	PROPN;NOM;MASC;SG;3
ガバナンス	حاکمیت.	ガバナンス	حاکمیت.	PROPN	PROPN;NOM;MASC;SG;3
ガバナンス	اختیار	ガバナンス	اختیار	PROPN	N;NOM;MASC;SG;3
ガバナンス	قدرت	ガバナンス	قدرت	PROPN	N;NOM;MASC;SG;3
砂州	انبار	砂州	انبار	N	
ダーティ	کمینہ	ダーティ	کمینہ	N	
ダーティ	رکیک	ダーティ	رکیک	N	V;SG;V.PTCP;ACT
ダーティ	میلا	ダーティ	میلا	N	V;ACT
ダーティ	مبتذل	ダーティ	مبتذل	N	ADJ
ダーティ	ناپسندیدہ	ダーティ	ناپسندیدہ	N	ADJ
ダーティ	ذلیل	ダーティ	ذلیل	N	ADJ
ダーティ	مکروہ	ダーティ	مکروہ	N	PROPN;NOM;MASC;SG;3
ダーティ	ناصاف	ダーティ	ناصاف	N	PROPN;NOM;MASC;SG;3
ダーティ	دُھندلا	ダーティ	دُھندلا	N	PROPN;NOM;MASC;SG;3
ダーティ	جھّکڑی	ダーティ	جھّکڑی	N	PROPN;NOM;MASC;SG;3
ダーティ	مٹیالا	ダーティ	مٹیالا	N	V;PFV;MASC;SG;V.PTCP;ACT
ダーティ	کمینہ	ダーティ	کمینہ	N	
ダーティ	رکیک	ダーティ	رکیک	N	V;SG;V.PTCP;ACT
ダーティ	میلا	ダーティ	میلا	N	V;ACT
ダーティ	مبتذل	ダーティ	مبتذل	N	ADJ
ダーティ	ناپسندیدہ	ダーティ	ناپسندیدہ	N	ADJ
ダーティ	ذلیل	ダーティ	ذلیل	N	ADJ
ダーティ	مکروہ	ダーティ	مکروہ	N	PROPN;NOM;MASC;SG;3
ダーティ	ناصاف	ダーティ	ناصاف	N	PROPN;NOM;MASC;SG;3
ダーティ	دُھندلا	ダーティ	دُھندلا	N	PROPN;NOM;MASC;SG;3
ダーティ	جھّکڑی	ダーティ	جھّکڑی	N	PROPN;NOM;MASC;SG;3
ダーティ	گندا	ダーティ	گندا	N	
ダーティ	ناپاک	ダーティ	ناپاک	N	PROPN;NOM;MASC;SG;3
ダーティ	مٹیالا	ダーティ	مٹیالا	N	V;PFV;MASC;SG;V.PTCP;ACT
双生	جوڑا	双生	جوڑ	N	PROPN;NOM;MASC;SG;3
双生	مثنیٰ	双生	مثنیٰ	N	PROPN;NOM;MASC;SG;3
謙虚	رتبہ	謙虚	رتبہ	ADJ	N;NOM;MASC;SG;3
謙虚	وقعت	謙虚	وقعت	ADJ	N;NOM;MASC;SG;3
謙虚	گرانا	謙虚	گرانا	ADJ	V;MASC;SG;NFIN;ACT
謙虚	حقیر	謙虚	حقیر	ADJ	N;NOM;MASC;SG;3
謙虚	کِہین	謙虚	کِہین	ADJ	
謙虚	عاجزی	謙虚	عاجزی	ADJ	PROPN;NOM;MASC;SG;3
謙虚	تحقیر	謙虚	تحقیر	ADJ	N;NOM;MASC;SG;3
ベルベット	مخملی	ベルベット	مخملی	PROPN	PROPN;NOM;MASC;SG;3
ベルベット	مخمل	ベルベット	مخمل	PROPN	PROPN;NOM;MASC;SG;3
ベルベット	مخملی	ベルベット	مخملی	PROPN	PROPN;NOM;MASC;SG;3
ヘール	تندرست	ヘール	تندرست	PROPN	
小便	مگن	小便	مگن	N	
小便	پیشاب.	小便	پیشاب.	N	PROPN;NOM;MASC;SG;3
小便	افسردہ.	小便	افسردہ.	N	PROPN;NOM;MASC;SG;3
小便	ناراض	小便	ناراض	N	ADJ
小便	بسانا.	小便	بسانا.	N	
コルク	کاگ	コルク	کاگ	N	
トリート	تفریح	トリート	تفریح	PROPN	N;NOM;MASC;SG;3
トリート	طعام	トリート	طعام	PROPN	PROPN;NOM;MASC;SG;3
エホバ	یہووا	エホバ	یہووا	PROPN	PROPN;NOM;MASC;SG;3
エニグマ	چیستاں	エニグマ	چیستاں	PROPN	PROPN;NOM;MASC;SG;3
エニグマ	متناقضہ.	エニグマ	متناقضہ.	PROPN	ADJ
退廃	عیّاش.	退廃	عیّاش.	N	ADJ
退廃	خراب.	退廃	خراب.	N	
ハスラー	طوائف.	ハスラー	طوائف.	PROPN	N;NOM;MASC;SG;3
ダディ	باپ	ダディ	باپ	PROPN	N;NOM;MASC;SG;3
ダディ	ابا	ダディ	ابا	PROPN	
ダディ	ابو.	ダディ	ابو.	PROPN	PROPN;NOM;MASC;SG;3
クインテット	پنجہ	クインテット	پنجہ	N	
クインテット	خمسہ	クインテット	خمسہ	N	PROPN;NOM;MASC;SG;3
唾液	رال.	唾液	رال.		PROPN;NOM;MASC;SG;3
ニルヴァーナ	نروان	ニルヴァーナ	نروان	PROPN	N;NOM;MASC;SG;3
リグ	چالبازی.	リグ	چالبازی.	N	PROPN;NOM;MASC;SG;3
リグ	ہتھکنڈے	リグ	ہتھکنڈے	N	V;MASC;PL;V.PTCP;ACT
リグ	out	リグ	out	N	
リグ	(	リグ	(	N	
リグ	کارستانی.	リグ	کارستانی.	N	ADJ;NOM
キメラ	ہّوا	キメラ	ہّوا	PROPN	PROPN;NOM;MASC;SG;3
キリング	تھکاؤ	キリング	تھکاؤ	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
けち	خسیس	けち	خسیس	N	
けち	کنجوس	けち	کنجوس	N	
汚名	بدنام	汚名	بدنام		ADJ;NOM;MASC;SG
ハネムーン	ولولہ.	ハネムーン	ولولہ.	N	PROPN;NOM;MASC;SG;3
サイロ	کھلیان	サイロ	کھلیان	N	PROPN;NOM;MASC;SG;3
サイロ	اٹالا	サイロ	اٹالا	N	PROPN;NOM;MASC;SG;3
ネックレス	مالا	ネックレス	مالا	N	PROPN;NOM;MASC;SG;3
掩蔽	احتجاب	掩蔽	احتجاب		PROPN;NOM;MASC;SG;3
掩蔽	گرہن	掩蔽	گرہن		N;NOM;MASC;SG;3
エキセントリック	انوکھا	エキセントリック	انوکھا	N	ADJ;NOM;MASC;SG
エキセントリック	سنکی.	エキセントリック	سنکی.	N	PROPN;NOM;MASC;SG;3
エキセントリック	عجیب	エキセントリック	عجیب	N	ADJ
心房	کہفی	心房	کہفی	N	
エレガント	اعلٰی	エレガント	اعلٰی	ADJ	N;NOM;MASC;SG;3
エレガント	شائستہ	エレガント	شائستہ	ADJ	PROPN;NOM;MASC;SG;3
エレガント	اعلٰی	エレガント	اعلٰی	ADJ	N;NOM;MASC;SG;3
エレガント	شائستہ	エレガント	شائستہ	ADJ	PROPN;NOM;MASC;SG;3
エレガント	لطیف	エレガント	لطیف	ADJ	PROPN;NOM;MASC;SG;3
抗告	لُبھاوَ	抗告	لُبھاوَ	V	PROPN;NOM;MASC;SG;3
抗告	نالش-	抗告	نالش-	V	PROPN;NOM;MASC;SG;3
抗告	عرضداشت	抗告	عرضداشت	V	N;NOM;MASC;SG;3
抗告	دلچسپ	抗告	دلچسپ	V	ADJ
抗告	گزارش	抗告	گزارش	V	N;NOM;MASC;SG;3
抗告	لُبھاوَ	抗告	لُبھاوَ	V	PROPN;NOM;MASC;SG;3
抗告	نالش-	抗告	نالش-	V	PROPN;NOM;MASC;SG;3
抗告	عرضداشت	抗告	عرضداشت	V	N;NOM;MASC;SG;3
抗告	دلچسپ	抗告	دلچسپ	V	ADJ
抗告	گزارش	抗告	گزارش	V	N;NOM;MASC;SG;3
抗告	درخواست	抗告	درخواست	V	N;NOM;FEM;SG;3
ドレッサー	نگاربند.	ドレッサー	نگاربند.	N	PROPN;NOM;MASC;SG;3
ドレッサー	مشاط	ドレッサー	مشاط	N	
絞殺	اختناق.	絞殺	اختناق.	V	ADJ
チョッパー	دنداں	チョッパー	دنداں	PROPN	PROPN;NOM;MASC;SG;3
チョッパー	چھرا	チョッパー	چھرا	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
ヘッドホン	سرفون.	ヘッドホン	سرفون.	N	PROPN;NOM;MASC;SG;3
アンチモン	سرمہ	アンチモン	سرمہ	PROPN	N;NOM;MASC;SG;3
アンチモン	کحل	アンチモン	کحل	PROPN	
おなじ	بعینہٖ	おなじる	بعینہٖ	V	N
おなじ	that	おなじる	that	V	
おなじ	these	おなじる	these	V	PROPN;NOM;MASC;SG;3
おなじ	یکساں	おなじる	یکساں	V	ADJ
擾乱	ہنگامہ.	擾乱	ہنگامہ.		PROPN;NOM;MASC;SG;3
擾乱	ہلچل	擾乱	ہلچل		V;ACT
擾乱	رکاوٹ	擾乱	رکاوٹ		N;NOM;MASC;SG;3
擾乱	ہیجان	擾乱	ہیجان		N;NOM;MASC;SG;3
擾乱	مزاحمت	擾乱	مزاحمت		N;NOM;MASC;SG;3
セレブリティ	شہرت	セレブリティ	شہرت	PROPN	N;NOM;FEM;SG;3
セレブリティ	دھوم.	セレブリティ	دھوم.	PROPN	PROPN;NOM;MASC;SG;3
触る	امتیاز	触る	امتیاز	V	N;NOM;MASC;SG;3
触る	جانچ	触る	جانچ	V	N;NOM;MASC;SG;3
触る	مشق	触る	مشق	V	N;NOM;MASC;SG;3
触る	امتحان	触る	امتحان	V	N;NOM;MASC;SG;3
触る	ذرا	触る	ذرا	V	
触る	پھٹکی	触る	پھٹک	V	PROPN;NOM;MASC;SG;3
触る	امتیاز	触る	امتیاز	V	N;NOM;MASC;SG;3
触る	لمس	触る	لمس	V	N;NOM;MASC;SG;3
触る	جانچ	触る	جانچ	V	N;NOM;MASC;SG;3
触る	مشق	触る	مشق	V	N;NOM;MASC;SG;3
触る	امتحان	触る	امتحان	V	N;NOM;MASC;SG;3
触る	ذرا	触る	ذرا	V	
触る	پھٹکی	触る	پھٹک	V	PROPN;NOM;MASC;SG;3
新婚	ولولہ.	新婚	ولولہ.	N	PROPN;NOM;MASC;SG;3
静養	بیماری	静養	بیماری	V	N;NOM;FEM;SG;3
賛辞	تعریف	賛辞	تعریف	V	N;NOM;MASC;SG;3
賛辞	توصیف	賛辞	توصیف	V	PROPN;NOM;MASC;SG;3
賛辞	ستائش	賛辞	ستائش	V	ADJ
アンバサダー	مبلّغ	アンバサダー	مبلّغ	PROPN	
アンバサダー	مبلّغ	アンバサダー	مبلّغ	PROPN	
アンバサダー	سفیر	アンバサダー	سفیر	PROPN	N;NOM;MASC;SG;3
トレンチ	(	トレンチ	(	N	
トレンチ	خندق.	トレンチ	خندق.	N	
トレンチ	(	トレンチ	(	N	
トレンチ	کھائی	トレンチ	کھائی	N	V;PFV;FEM;SG;V.PTCP;ACT
トレンチ	خندق.	トレンチ	خندق.	N	
美徳	تاثیر	美徳	تاثیر	N	PROPN;NOM;MASC;SG;3
美徳	راستی.	美徳	راستی.	N	PROPN;NOM;MASC;SG;3
美徳	تاثیر	美徳	تاثیر	N	PROPN;NOM;MASC;SG;3
美徳	راستی.	美徳	راستی.	N	PROPN;NOM;MASC;SG;3
パペット	پُتلی	パペット	پُتلی	N	ADJ
ろうそく	شمع.	ろうそく	شمع.	N	PROPN;NOM;MASC;SG;3
ギャンブラー	جواری	ギャンブラー	جواری	N	PROPN;NOM;MASC;SG;3
クロコダイル	مگرمچھ	クロコダイル	مگرمچھ	PROPN	N;NOM;MASC;SG;3
ペッパー	capcicum	ペッパー	capcicum	N	PROPN;NOM;MASC;SG;3
喉頭	حنجری.	喉頭	حنجری.	N	PROPN;NOM;MASC;SG;3
吉祥	مسعود	吉祥	مسعود	PROPN	PROPN;NOM;MASC;SG;3
吉祥	موافق.	吉祥	موافق.	PROPN	ADJ
吉祥	مبارک	吉祥	مبارک	PROPN	PROPN;NOM;MASC;SG;3
アセトン	ch₃coch₃	アセトン	ch₃coch₃	N	PROPN;NOM;MASC;SG;3
元本	اصلی	元本	اصلی	N	ADJ
元本	نمایاں.	元本	نمایاں.	N	PROPN;NOM;MASC;SG;3
元本	سنگیت	元本	سنگیت	N	PROPN;NOM;MASC;SG;3
元本	فائق	元本	فائق	N	ADJ
元本	کلاں.	元本	کلاں.	N	
元本	حاکم	元本	حاکم	N	PROPN;NOM;MASC;SG;3
元本	اصلی	元本	اصلی	N	ADJ
元本	بڑا	元本	بڑا	N	ADJ;NOM;MASC;SG
元本	نمایاں.	元本	نمایاں.	N	PROPN;NOM;MASC;SG;3
元本	سنگیت	元本	سنگیت	N	PROPN;NOM;MASC;SG;3
元本	خاص	元本	خاص	N	ADJ
元本	فائق	元本	فائق	N	ADJ
元本	کلاں.	元本	کلاں.	N	
元本	حاکم	元本	حاکم	N	PROPN;NOM;MASC;SG;3
ガイダンス	رہبری.	ガイダンス	رہبری.	N	PROPN;NOM;MASC;SG;3
エスコート	رفاقت	エスコート	رفاقت	V	N;NOM;FEM;SG;3
エスコート	گاڑیاں	エスコート	گاڑی	V	N;NOM;MASC;PL;3
アライブ	برقیلا.	アライブ	برقیلا.	N	PROPN;NOM;MASC;SG;3
アライブ	چوکنا.	アライブ	چوکنا.	N	V;SG;FIN;ACT
アライブ	مُملو	アライブ	مُملو	N	PROPN;NOM;MASC;SG;3
アライブ	موجود	アライブ	موجود	N	ADJ
アライブ	خبردار	アライブ	خبردار	N	ADJ
宛先	آخذ.	宛先	آخذ.	N	PROPN;NOM;MASC;SG;3
スタイリッシュ	نفیس.	スタイリッシュ	نفیس.	ADJ	PROPN;NOM;MASC;SG;3
人見	from	人見	from	N	
人見	محتاط	人見	محتاط	N	ADJ
人見	(	人見	(	N	
人見	نامانوس	人見	نامانوس	N	ADJ
無秩序	ناسازی.	無秩序	ناسازی.		PROPN;NOM;MASC;SG;3
無秩序	انتشار	無秩序	انتشار		N;NOM;MASC;SG;3
無秩序	ہنگامہ	無秩序	ہنگامہ		PROPN;NOM;MASC;SG;3
無秩序	ہلچل.	無秩序	ہلچل.		PROPN;NOM;MASC;SG;3
無秩序	ابترکرنا	無秩序	ابترکرنا		V;NFIN;ACT
無秩序	پراگندگی.	無秩序	پراگندگی.		V;MASC;IND;SG;3;FUT;FIN
前置詞	after	前置詞	after	N	
前置詞	on	前置詞	on	N	
首輪	کنٹھ	首輪	کنٹھ	N	PROPN;NOM;MASC;SG;3
首輪	پکڑلینا	首輪	پکڑلینا	N	PROPN;NOM;MASC;SG;3
首輪	ہتھیانا	首輪	ہتھیانا	N	PROPN;NOM;MASC;SG;3
首輪	للکارنا	首輪	للکارنا	N	V;SG;NFIN;ACT
フィドル	اڑانا	フィドル	اڑانا	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
追い越し	تباہی	追い越す	تباہی	V	N;NOM;MASC;SG;3
追い越し	(	追い越す	(	V	
フリース	موُسنا	フリース	موُسنا	N	PROPN;NOM;MASC;SG;3
サンダル	ہلکی	サンダル	ہلکی	N	ADJ;FEM
かばん	پتلون	かばん	پتلون	N	V;MASC;SG;ACT
かばん	تحقیرکرنا	かばん	تحقیرکرنا	N	V;NFIN;ACT
かばん	پاجامہ	かばん	پاجامہ	N	PROPN;NOM;MASC;SG;3
かばん	پھلانا	かばん	پھلانا	N	V;MASC;SG;V.PTCP;ACT
読み込む	کام	読み込む	کام	V	N;NOM;MASC;SG;3
読み込む	لادی	読み込む	لادی	V	PROPN;NOM;MASC;SG;3
読み込む	سامان	読み込む	سامان	V	N;NOM;MASC;SG;3
ディール	لگانا	ディール	لگا	PROPN	V;MASC;SG;NFIN;ACT
ディール	سلوک	ディール	سلوک	PROPN	N;NOM;MASC;SG;3
ディール	برتاؤ	ディール	برتاؤ	PROPN	PROPN;NOM;MASC;SG;3
ディール	پہنچانا	ディール	پہنچ	PROPN	V;MASC;SG;NFIN;ACT
ディール	چھیڑنا	ディール	چھیڑ	PROPN	V;NFIN;ACT
ディール	جڑنا	ディール	جڑ	PROPN	V;MASC;SG;NFIN;ACT
ディール	سودا.	ディール	سودا.	PROPN	PROPN;NOM;MASC;SG;3
ディール	کثرت	ディール	کثرت	PROPN	N;NOM;MASC;SG;3
ディール	بانٹنا.	ディール	بانٹنا.	PROPN	V;SG;NFIN;ACT
ディール	معاملہ	ディール	معاملہ	PROPN	N;NOM;MASC;SG;3
伝聞	گپ.	伝聞	گپ.	N	
伝聞	گپ.	伝聞	گپ.	N	
パージ	جلّاب.	パージ	جلّاب.	PROPN	PROPN;NOM;MASC;SG;3
パージ	تزکیے	パージ	تزکیہ	PROPN	N;NOM;MASC;SG;3
パージ	مٹانا.	パージ	مٹاناؤ	PROPN	PROPN;NOM;MASC;SG;3
ヘルシー	ہمدردانہ.	ヘルシー	ہمدردانہ.	N	ADJ
ヘルシー	مددگار	ヘルシー	مددگار	N	ADJ
求愛	خوشامد	求愛	خوشامد	V	PROPN;NOM;MASC;SG;3
ブート	نیز	ブート	نیز	V	CONJ
投げ	اچھالنا	投げる	اچھال	V	PROPN;NOM;MASC;SG;3
パラソル	ہلکی	パラソル	ہلکی	N	ADJ;FEM
パラソル	سماروغ	パラソル	سماروغ	N	PROPN;NOM;MASC;SG;3
バックル	پیٹی	バックル	پیٹی	N	PROPN;NOM;MASC;SG;3
バックル	باندھنا.	バックル	باندھنا.	N	PROPN;NOM;MASC;SG;3
害	گزند.	害	گزند.	V	PROPN;NOM;MASC;SG;3
害	مطالبے	害	مطالبہ	V	N;NOM;MASC;SG;3
害	جانبداری.	害	جانبداری.	V	PROPN;NOM;MASC;SG;3
害	متعصبانہ.	害	متعصبانہ.	V	ADJ
好感	پسندیدہ	好感	پسندیدہ	N	ADJ
寒気	روکھا	寒気	روکھ	ADJ	PROPN;NOM;MASC;SG;3
寒気	ٹھٹھر	寒気	ٹھٹھر	ADJ	PROPN;NOM;MASC;SG;3
寒気	برودت	寒気	برودت	ADJ	
寒気	نزلہ	寒気	نزلہ	ADJ	N;NOM;MASC;SG;3
寒気	ٹھنڈا	寒気	ٹھنڈا	ADJ	V;PFV;MASC;SG;V.PTCP;ACT
寒気	بخار	寒気	بخار	ADJ	N;NOM;MASC;SG;3
寒気	بارد	寒気	بارد	ADJ	PROPN;NOM;MASC;SG;3
横向き	پھیلواں	横向き	پھیلو	N	PROPN;NOM;MASC;SG;3
デコード	رمزی	デコード	رمزی	N	PROPN;NOM;MASC;SG;3
タウ		タウ		PROPN	PROPN;NOM;MASC;SG;3
プラスティック	مٹّی	プラスティック	مٹّی	N	V;PFV;FEM;SG;V.PTCP;ACT
プラスティック	لچکیلا.	プラスティック	لچکیلا.	N	PROPN;NOM;MASC;SG;3
プラスティック	ملائم	プラスティック	ملائم	N	PROPN;NOM;MASC;SG;3
プラスティック	ملائمہ.	プラスティック	ملائمہ.	N	PROPN;NOM;MASC;SG;3
プラスティック	بناوٹی	プラスティック	بناوٹی	N	V;PFV;FEM;SG;V.PTCP;ACT
花婿	نوشہ	花婿	نوشہ	N	PROPN;NOM;MASC;SG;3
花婿	دولھا	花婿	دولھا	N	PROPN;NOM;MASC;SG;3
花婿	نوشہ	花婿	نوشہ	N	PROPN;NOM;MASC;SG;3
花婿	عریس	花婿	عریس	N	PROPN;NOM;MASC;SG;3
花婿	دولھا	花婿	دولھا	N	PROPN;NOM;MASC;SG;3
花婿	سائیس-	花婿	سائیس-	N	PROPN;NOM;MASC;SG;3
潜る	چھلانگ	潜る	چھلانگ	V	N;NOM;MASC;SG;3
潜る	بٹوے	潜る	بٹوا	V	N;NOM;MASC;SG;3
潜る	چھلانگ	潜る	چھلانگ	V	N;NOM;MASC;SG;3
潜る	بٹوے	潜る	بٹوا	V	N;NOM;MASC;SG;3
潜る	غوطہ	潜る	غوطہ	V	N;NOM;MASC;SG;3
デント	گہرا	デント	گہرا	PROPN	ADJ;NOM;MASC;SG
デント	پچکن	デント	پچکن	PROPN	
デント	دندانہ.	デント	دندانہ.	PROPN	PROPN;NOM;MASC;SG;3
俊敏	لچکیلا.	俊敏	لچکیلا.	ADJ	PROPN;NOM;MASC;SG;3
表側	to	表側	to	N	
表側	سیما.	表側	سیما.	N	PROPN;NOM;MASC;SG;3
表側	اگلا	表側	اگلا	N	
表側	بیشیں.	表側	بیش	N	V;PL;FIN;ACT
表側	صدر	表側	صدر	N	PROPN;NOM;MASC;SG;3
表側	toward	表側	toward	N	PROPN;NOM;MASC;SG;3
表側	to	表側	to	N	
表側	سیما.	表側	سیما.	N	PROPN;NOM;MASC;SG;3
表側	اگلا	表側	اگلا	N	
表側	بیشیں.	表側	بیش	N	V;PL;FIN;ACT
表側	صدر	表側	صدر	N	PROPN;NOM;MASC;SG;3
表側	toward	表側	toward	N	PROPN;NOM;MASC;SG;3
不敬	گستاخ.	不敬	گستاخ.	ADJ	PROPN;NOM;MASC;SG;3
余白	دینا.	余白	دینا.	N	
ルーチン	روایتی	ルーチン	روایتی	N	ADJ
ルーチン	معیاری	ルーチン	معیاری	N	ADJ
メトロポリス	گڑھ.	メトロポリス	گڑھ.	N	
トレーダー	تاجر	トレーダー	تاجر	PROPN	N;NOM;MASC;SG;3
トレーダー	تجارتی	トレーダー	تجارتی	PROPN	ADJ
