de	say	de	say		
gençlik	청소년	gençlik	청소년		N
jackson	잭슨	jackson	잭슨	PROPN;NOM;SG;3	
saldırı	공격	saldırı	공격		N
saldırı	공격	saldırı	공격		N
saldırı	폭행	saldırı	폭행		N
saldırı	공격	saldırı	공격		N
terk	떠나	terk	떠나+아	N;NOM;SG;3	CONJ
terk	떠나기	terk	떠나+기	N;NOM;SG;3	V
terk	dump	terk	dump	N;NOM;SG;3	
play	놀기	play	놀+기		ADJ
play	재생	play	재생		N
play	연주	play	연주		N
sorumlu	책임	sorumlu	책임		N
sorumlu	책임감	sorumlu	책임감		N
kaya	rock	kay	rock		
sivil	민간인	sivil	민간인		N
sivil	민간	sivil	민간		N
sivil	민간인	sivil	민간인		N
kayıt	가입	kayıt	가입		N
kayıt	레지스터	kayıt	레지스터		N
kayıt	등록	kayıt	등록		N
kayıt	녹음	kayıt	녹음		N
kayıt	녹화	kayıt	녹화		N
kayıt	레코드	kayıt	레코드		N
kayıt	녹음	kayıt	녹음		N
kayıt	녹화	kayıt	녹화		N
kayıt	기록	kayıt	기록		N
kayıt	등록	kayıt	등록		N
içerik	콘텐츠	içerik	콘텐츠		N
içerik	컨텐츠	içerik	컨텐츠		N
içerik	내용	içerik	내용		N
içerik	목차	içerik	목차		N
içerik	콘텐츠	içerik	콘텐츠		N
içerik	내용	içerik	내용		N
içerik	맥락	içerik	맥락		N
içerik	문맥	içerik	문맥		N
besteci	작곡가	besteci	작곡가		N
konseyi	협의회	konse	협의회		N
konseyi	평의회	konse	평의회		N
dağ	산악	dağ	산악		N
dağılımı	분포	dağılım	분포		N
dağılımı	분배	dağılım	분배		N
dağılımı	배포	dağılım	배포		N
dağılımı	배포판	dağılım	배포판		N
yan	굽기	yan	굽+기		V
elektronik	일렉트로닉스	elektronik	일렉트로닉스		N
elektronik	전자제품	elektronik	전자제품		N
elektronik	전자공학	elektronik	전자공학		N
elektronik	전자	elektronik	전자		N
sekiz	여덟	sekiz	여덟	NUM	
sekiz	eight	sekiz	eight	NUM	
yemek	도시락	yemek	도시락	N;NOM;SG;3	
yemek	점심	yemek	점심	N;NOM;SG;3	
yemek	푸드	yemek	푸드	N;NOM;SG;3	
yemek	식사	yemek	식사	N;NOM;SG;3	
yemek	식사	yemek	식사	N;NOM;SG;3	
motor	행동	motor	행동		N
motor	활동	motor	활동		N
motor	작업	motor	작업		N
motor	동작	motor	동작		N
motor	액션	motor	액션		N
motor	자전거	motor	자전거		N
motor	오토바이	motor	오토바이		N
motor	모터사이클	motor	모터사이클		PROPN
motor	모터	motor	모터		N
motor	전동기	motor	전동기		N
dans	댄스	dans	댄스	N;NOM;SG;3	
dans	댄스	dans	댄스	N;NOM;SG;3	
dans	댄싱	dans	댄싱	N;NOM;SG;3	
dans	춤추는	dans	춤추+는	N;NOM;SG;3	
yaşar	생명	yaşa	생명		N
international	국제	international	국제	N;NOM;SG;3	
international	인터내셔널	international	인터+내러텔	N;NOM;SG;3	
şimdiki	현재	şimdiki	현재		N
şimdiki	전류	şimdiki	전류		N
şimdiki	현재	şimdiki	현재		N
şimdiki	선물	şimdiki	선물		N
vakfı	재단	vakıf	재단	N;ACC;SG;3	
romanya	루마니아	romanya	루마니아	PROPN;NOM;SG;3	PROPN
romanya	루마니아인	romanya	루마니아인	PROPN;NOM;SG;3	N
romanya	루마니아어	romanya	루마니아어	PROPN;NOM;SG;3	PROPN
yavaş	느려	yavaş	느리+어	ADJ	
yavaş	천천히	yavaş	천천히	ADJ	ADV
yavaş	쉽게	yavaş	쉽+게	ADJ	CONJ
uygulama	구현	uygulama	구현		N
uygulama	프로그램	uygulama	프로그램		N
kurum	기관	kurum	기관		N
ekonomi	경제학	ekonomi	경제학		N
ekonomi	경제	ekonomi	경제		N
danimarka	덴마크	danim	덴마크		PROPN
danimarka	덴마크	danim	덴마크		PROPN
düzenleme	편집	düzenle	편집	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
düzenleme	수정	düzenle	수정	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
düzenleme	편곡	düzenle	편곡	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
düzenleme	편집	düzenle	편집	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
düzenleme	수정	düzenle	수정	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
baskı	인쇄	baskı	인쇄		N
baskı	압력	baskı	압력		N
baskı	압박	baskı	압박		N
baskı	인쇄	baskı	인쇄		N
baskı	프린터	baskı	프린터		N
live	생방송	live	생방송		N
ziyaret	방문	ziyaret	방문	N;NOM;SG;3	
ziyaret	방문하기	ziyaret	방문+하+기	N;NOM;SG;3	V
ziyaret	방문	ziyaret	방문	N;NOM;SG;3	
ziyaret	방문	ziyaret	방문	N;NOM;SG;3	
renk	색깔	renk	색깔		N
zarar	손상	zarar	손상		N
ayrıldı	별거	ayrıl	별거	V;PFV;IND;SG;3;POS;PST	
yıldırım	라이트닝	yıldırım	라이트닝		N
yıldırım	번개	yıldırım	번개		N
arjantin	아르헨티나	arjantin	아르헨티나		PROPN
arjantin	아르헨티나인	arjantin	아르헨티나인		V
arjantin	아르헨티나	arjantin	아르헨티나		PROPN
arjantin	아르헨티나인	arjantin	아르헨티나인		V
kalkınma	개발	kalkın	개발		N
kalkınma	발달	kalkın	발달		N
teşvik	격려	teşvik	격려		N
seri	직렬	seri	직렬		N
kale	포트리스	kale	포트리스		PROPN
olimpiyat	올림피아드	olimpiyat	올림피아드	N;NOM;SG;3	
sen	귀하	sen	귀하	PRO;NOM;SG;2	
manchester	맨체스터	manchester	맨체스터	PROPN;NOM;SG;3	PROPN
geçici	일시적	geçici	일시+적		N
geçici	온도	geçici	온도		N
imza	서명	imza	서명		N
imza	기호	imza	기호		N
imza	서명	imza	서명		N
imza	서명	imza	서명		N
politik	정치	politik	정치		N
politik	정치적	politik	정치+적		N
gereksinim	요구사항	gereksin	요구사항		N
görülen	읽음	gör	읽+ㅁ	V;PFV;IND;POS;PRS;V.PTCP;PASS	
rusça	러시아인	rusça	러시아인	PROPN;NOM;SG;3	N
rusça	러시아어	rusça	러시아어	PROPN;NOM;SG;3	
art	예술	art	예술		N
art	미술	art	미술		N
serisi	시리즈	seri	시리즈	PROPN;NOM;SG;3	
fotoğraf	사진	fotoğraf	사진		N
fotoğraf	사진	fotoğraf	사진		N
fotoğraf	사진술	fotoğraf	사진술		N
fotoğraf	사진	fotoğraf	사진		N
fotoğraf	그림	fotoğraf	그림		N
fotoğraf	사진	fotoğraf	사진		N
fotoğraf	사진들	fotoğraf	사진+들		N
boy	키는	boy	키+는		N
önceden	이전	önceden	이전	ADV	N
edward	에드워드	edward	에드워드		PROPN
türkmen	투르크메니스탄	türkmen	투르크메니스탄		PROPN
müzisyen	음악가	müzisyen	음악가		N
müzisyen	연주자	müzisyen	연주자		N
müzisyen	뮤지션	müzisyen	뮤지션		N
müzisyen	음악가	müzisyen	음악가		N
müzisyen	연주자	müzisyen	연주자		N
müzisyen	뮤지션	müzisyen	뮤지션		N
düzenli	보통	düzenli	보통		N
best	최고	best	최고		N
best	베스트	best	베스트		N
siyasal	정치	siyasal	정치		N
siyasal	정치적	siyasal	정치+적		N
içi	내부	iç	내부		N
hafif	가볍게	hafif	가볍+게	ADJ	CONJ
hafif	라이트	hafif	라이트	ADJ	
hafif	가벼움	hafif	가벼움	ADJ	
teslim	게재	teslim	게재		N
teslim	배송	teslim	배송		N
teslim	배달	teslim	배달		N
teslim	항복	teslim	항복		N
teslim	제출	teslim	제출		N
yoluyla	비아	yol	비+아	N;INS;SG;3	
yoluyla	via	yol	via	N;INS;SG;3	
yoluyla	통해	yol	통하+어	N;INS;SG;3	CONJ
kodu	부호	kodu	부호		N
tahta	나무	tahta	나무		N
tahta	목재	tahta	목재		N
tahta	보드	tahta	보드		N
tahta	게시판	tahta	게시판		N
tahta	이사회	tahta	이사회		N
geçiş	스위치	geçiş	스위치		N
geçiş	switch	geçiş	switch		
geçiş	전환	geçiş	전환		N
geçiş	바꾸기	geçiş	바꾸+기		V
geçiş	환승	geçiş	환승		N
kapalı	끄기	kapalı	끄기		V
kapalı	비공개	kapalı	비공개		N
off	끄기	off	끄기		V
kuruluş	조직	kuruluş	조직		N
kuruluş	기구	kuruluş	기구		N
kuruluş	단체	kuruluş	단체		N
kuruluş	조직	kuruluş	조직		N
kuruluş	기구	kuruluş	기구		N
kuruluş	기관	kuruluş	기관		N
renkli	채색	renkli	채색		N
renkli	화려하다	renkli	화려+하+다		V
kürt	쿠르드어	kürt	쿠르드어		PROPN
kürt	쿠르트	kürt	쿠르트		PROPN
kürt	늑대	kürt	늑대		N
demokrat	민주당	demokrat	민주당		N
latin	라틴어	latin	라틴어		PROPN
dalga	파동	dalga	파동		N
vito	비토	vito	비토	PROPN;NOM;SG;3	
sarayı	궁궐	sara	궁궐	N;ACC;SG;3	
sözleşme	협정	sözleşme	협정		N
sözleşme	합의	sözleşme	합의		N
sözleşme	계약	sözleşme	계약		N
yapım	생산	yapım	생산		N
yapım	제작	yapım	제작		N
dna	dna	dna	dna		
lideri	리더	lider	리더	N;NOM;SG;3	
allah	하나님	allah	하나님		PROPN
toplumsal	사회주의	toplumsal	사회주의	ADJ	N
toplumsal	사회	toplumsal	사회	ADJ	N
toplumsal	사회적	toplumsal	사회+적	ADJ	N
frank	프랑크	frank	프랑크		PROPN
emekli	은퇴	emekli	은퇴		N
emekli	퇴직	emekli	퇴직		N
emekli	은퇴	emekli	은퇴		N
emekli	퇴직	emekli	퇴직		N
emekli	연금	emekli	연금		N
ilişkili	관련	ilişkili	관련		N
sırbistan	세르비아	sırbistan	세르비아	PROPN;NOM;SG;3	PROPN
yazılmış	서면	yaz	서+면	V;PFV;NFH;IND;SG;3;POS;PST;PASS	
ediniz	설명	et	설명	V;PFV;IMP;PL;2;POS;PRS	N
ediniz	묘사	et	묘사	V;PFV;IMP;PL;2;POS;PRS	N
cami	모스크	cami	모스크		N
turizm	관광	turizm	관광		N
turizm	관광객	turizm	관광객		N
federal	연방	federal	연방		N
civarında	부근	civar	부근	N;ESS;SG;3	
ressam	화가	ressam	화+가		N
ressam	음악가	ressam	음악가		N
ressam	예술가	ressam	예술가		N
ressam	아티스트	ressam	아티스트		N
ressam	아티스트가	ressam	아티스트+가		N
uçak	평면	uçak	평면	N;NOM;SG;3	
beşinci	fifth	beşinci	fifth		
beşinci	다섯번째	beşinci	다섯번째		N
cup	cup	cup	cup		
atandı	할당된	atan	할당+되+ㄴ		V
kültürü	문화	kültür	문화		N
williams	윌리암스	williams	윌리암스	PROPN;NOM;SG;3	
williams	윌리엄스	williams	윌리엄스	PROPN;NOM;SG;3	PROPN
ortadan	탈락	orta	탈락	ADJ;AT+ABL;SG;3	N
kurucusu	창시자	kurucu	창시자	N;NOM;SG;3	
kurucusu	창립자	kurucu	창립자	N;NOM;SG;3	
arena	아레나	aren	아레+나	ADJ;DAT;SG;3	
farsça	페르시아	farsça	페르시아		PROPN
farsça	페르시아어	farsça	페르시아어		PROPN
lise	고등학교	lise	고등학교		N
üretilen	제작	üre	제작	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
üretilen	제조	üre	제조	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
bas	누르기	bas	누르+기		V
kar	이익	kar	이익		N
kar	이익	kar	이익		N
kar	수익	kar	수익		N
norveç	노르웨이	norveç	노르웨이		PROPN
sınır	한계	sınır	한계		N
sınır	제한	sınır	제한		N
sınır	경계	sınır	경계		N
sınır	국경	sınır	국경		N
sınır	경계	sınır	경계		N
herkes	everybody	herkes	everybody	N;NOM;SG;3	
herkes	다들	herkes	다+들	N;NOM;SG;3	
herkes	모두	herkes	모두	N;NOM;SG;3	ADV
gemi	선박	gemi	선박		N
gemi	선박	gemi	선박		N
gemi	보트	gemi	보트		N
yalnız	외로운	yalnız	외롭+ㄴ		ADJ
yalnız	홀로	yalnız	홀로		ADV
yalnız	혼자	yalnız	혼자		ADV
mühendisliği	엔지니어링	mühendislik	엔지니어링	N;NOM;SG;3	
gerekçe	동기	gerekçe	동기		N
gerekçe	정당화	gerekçe	정당화		N
program	프로그램	program	프로그램		N
program	일정	program	일정		N
program	예약	program	예약		N
dağları	산맥	dağ	산맥	N;NOM;PL;3	
kilise	교회	kili	교회		N
sebebi	동기	sebep	동기		N
sebebi	이유	sebep	이유		N
sebebi	원인	sebep	원인		N
açılan	개설	aç	개설	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
açılan	오프닝	aç	오프닝	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
açılan	개봉	aç	개봉	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
benzeri	비슷함	benzeri	비슷하+ㅁ		V
benzeri	유사한	benzeri	유사+하+ㄴ		V
benzeri	비슷한	benzeri	비슷+하+ㄴ		V
görüntü	이미지	görüntü	이미지	N;NOM;SG;3	
kullandığı	사용	kullan	사용	V;PFV;IND;POS;PST;V.PTCP	N
viyana	비엔나	viyan	비엔나	PROPN;NOM;SG;3	PROPN
hakim	판사	hakim	판사		N
toplum	사회	toplum	사회		N
toplum	공동체	toplum	공동체		N
hizmetli	수위	hizmetli	수위		N
hacı	십자가	hacı	십자가		N
otomatik	자동	otomatik	자동		N
otomatik	자동	otomatik	자동		N
otomatik	자동	otomatik	자동		N
otomatik	자동화	otomatik	자동화		N
gaz	가스	gaz	가스		N
yugoslavya	유고슬라비아	yugoslavya	유고슬라비아	N;NOM;SG;3	PROPN
solo	solo	solo	solo		
kaynakları	소스	kaynak	소스	N;ACC;PL;3	
gov	정부	gov	정부		N
çalışır	작동	çalış	작동		N
çalışır	작품	çalış	작품		N
engel	장애물	engel	장애물		N
kudüs	예루살렘	kudüs	예루살렘	PROPN;NOM;SG;3	PROPN
albert	알베르트	albert	알베르트		PROPN
png	png	png	png		
kurucu	설립자	kurucu	설립자		N
yayımlandı	게시	yayımla	게시	V;PFV;IND;SG;3;POS;PST;PASS	N
yayımlandı	출판	yayımla	출판	V;PFV;IND;SG;3;POS;PST;PASS	N
istatistikleri	인사이트	ista	인사+이트	N;NOM;PL;3	
komedi	코메디	komedi	코메디	N;NOM;SG;3	
buz	얼음	buz	얼+음		N
gazeteci	언론인	gazeteci	언론인		N
yazılan	서면	yaz	서+면	V;PFV;IND;POS;PRS;V.PTCP;PASS	
hint	인도인	hint	인도+인		V
hint	인도	hint	인도		PROPN
hint	인디아	hint	인디아		PROPN
hint	인도	hint	인도		PROPN
oyuncular	플레이어	oyuncu	플레이어	N;NOM;PL;3	
oyuncular	플레이어스	oyuncu	플레이어스	N;NOM;PL;3	PROPN
oyuncular	공연자	oyuncu	공연자	N;NOM;PL;3	
dile	언어	dile	언어		N
yurt	기숙사	yurt	기숙사		N
yurt	기숙사	yurt	기숙사		N
yurt	기숙사	yurt	기숙사		N
atina	아테네	at	아테네	N;DAT;SG;3	PROPN
şah	확인	şah	확인		N
şah	점검	şah	점검		N
felsefe	철학	felsefe	철학		N
pazar	시장	pazar	시장		N
cevap	대답해	cevap	대답+하+어	N;NOM;SG;3	V
cevap	답장	cevap	답장	N;NOM;SG;3	
cevap	답글	cevap	답글	N;NOM;SG;3	
taslak	초안	taslak	초안		N
taslak	드래프트	taslak	드래프트		N
taslak	윤곽	taslak	윤곽		N
geçerli	유효합니다	geçerli	유효+하+ㅂ니다		V
geçerli	유효한	geçerli	유효+하+ㄴ		V
geçerli	적용	geçerli	적용		N
geçerli	적용하기	geçerli	적용+하+기		V
karl	카를	karl	카+를		PROPN
ikili	듀오	ikili	듀오		N
kimyasal	화학물질	kimyasal	화학+물질		N
kimyasal	화학	kimyasal	화학		N
kimyasal	화학물질	kimyasal	화학+물질		N
kimyasal	화학	kimyasal	화학		N
isa	isa	isa	isa		
isa	그리스도	isa	그리스도		PROPN
isa	크라이스트	isa	크라이스트		PROPN
isa	예수	isa	예수		PROPN
maria	마리아	maria	마리아	PROPN;NOM;SG;3	
finlandiya	핀란드	finlandiya	핀란드	V;PFV;IND;SG;3;POS;PRS;PASS	PROPN
çağ	era	çağ	era		
çağ	시대	çağ	시대		N
kayıp	상실	kayıp	상실	ADJ	N
kayıp	손실	kayıp	손실	ADJ	N
kayıp	분실	kayıp	분실	ADJ	N
kayıp	로스트	kayıp	로스트	ADJ	
kayıp	잃어버린	kayıp	잃+어+버리+ㄴ	ADJ	V
kayıp	실종	kayıp	실종	ADJ	N
kayıp	누락	kayıp	누락	ADJ	
kayıp	missing	kayıp	missing	ADJ	
yunanca	그리스어	yunanca	그리스어	V;PFV;IND;POS;PRS;PASS	
yunanca	그리스	yunanca	그리스	V;PFV;IND;POS;PRS;PASS	PROPN
ip	로프	ip	로프		N
ip	밧줄	ip	밧줄		N
ip	문자열	ip	문자열		N
night	밤에	night	밤+에		ADV
görüş	피드백	görüş	피드백	N;NOM;SG;3	
doğa	자연	doğa	자연		N
coğrafi	지리학	coğrafi	지리학		N
coğrafi	지리	coğrafi	지리		N
inşaat	건물	inşaat	건물		N
inşaat	건축	inşaat	건축		N
inşaat	빌딩	inşaat	빌딩		N
inşaat	공사	inşaat	공사		N
inşaat	건설	inşaat	건설		N
inşaat	건축	inşaat	건축		N
olumsuz	부정적	olumsuz	부정+적		N
olumsuz	음성	olumsuz	음성		N
yönetici	관리자	yönetici	관리자		N
yönetici	관리자	yönetici	관리자		N
yönetici	감독	yönetici	감독		N
yönetici	관리자	yönetici	관리자		N
saray	법정	saray	법정		N
saray	재판소	saray	재판소		N
saray	궁전	saray	궁전		N
kısaca	간략하게	kısaca	간략+하+게		CONJ
katolik	가톨릭주의	katolik	가톨릭주의		N
katolik	가톨릭	katolik	가톨릭		N
katolik	가톨릭교회	katolik	가톨릭+교회		N
katolik	가톨릭주의	katolik	가톨릭주의		N
çağdaş	현대	çağdaş	현대		N
çağdaş	근대	çağdaş	근대		N
çağdaş	현대	çağdaş	현대		N
faaliyet	활동	faaliyet	활동		N
sonu	종료	son	종료		N
sonu	끝내기	son	끝내+기		V
derin	깊은	derin	깊+ㄴ		ADJ
cins	품종	cins	품종		N
vefat	사망	vefat	사망		N
petrol	가솔린	petrol	가솔린		N
petrol	석유	petrol	석유		N
kimi	키미	kimi	키미	PRO;NOM;SG;3	
kuş	조류	kuş	조류		N
alternatif	대안	alternatif	대안		N
alternatif	대체	alternatif	대체		ADV
alternatif	대안	alternatif	대안		N
eşit	평등	eşit	평등		N
teknoloji	기술	teknoloji	기술		N
teknoloji	기술	teknoloji	기술		N
eş	아내	eş	아내		N
imparatorluk	엠파이어	imparatorluk	엠파+이+어	N;NOM;SG;3	
imparatorluk	임페리얼	imparatorluk	임페리얼	N;NOM;SG;3	
ölü	사망	ölü	사망		N
komutan	지휘관	komut	지휘관		N
komutan	사령관	komut	사령관		N
jones	존스	jones	존스		PROPN
öğretmen	교사	öğretmen	교사		N
öğretmen	스승	öğretmen	스승		N
öğretmen	교사들	öğretmen	교사+들		N
öğretmen	교사	öğretmen	교사		N
katı	고체	kat	고체		N
katı	엄격한	kat	엄격+하+ㄴ		V
onur	명예	onur	명예		N
onur	명예	onur	명예		N
olmadan	without	ol	without	V;PFV;IND;NEG;PRS;V.CVB	
kalp	심장	kalp	심장		N
kalp	마음	kalp	마음		N
türleri	유형	tür	유형	ADJ;NOM;PL;3	N
performans	공연	performans	공연		N
performans	성능	performans	성능		N
performans	공연	performans	공연		N
gelişmiş	진화	geliş	진화	V;PFV;NFH;IND;POS;PST;V.PTCP	N
gelişmiş	선진	geliş	선진	V;PFV;NFH;IND;POS;PST;V.PTCP	
gelişmiş	향상	geliş	향상	V;PFV;NFH;IND;POS;PST;V.PTCP	N
gelişmiş	고급	geliş	고급	V;PFV;NFH;IND;POS;PST;V.PTCP	
tokyo	도쿄	tokyo	도쿄	PROPN;NOM;SG;3	PROPN
tokyo	동경	tokyo	동경	PROPN;NOM;SG;3	
millet	국민	millet	국민		N
millet	사람	millet	사람		N
millet	사람들	millet	사람+들		N
hot	뜨거운	hot	뜨겁+ㄴ		ADJ
koyu	어둡게	koyu	어둡+게		ADJ
koyu	어두운	koyu	어둡+ㄴ		ADJ
koyu	어둠	koyu	어둠		N
nokta	dots	nokta	dots		
nokta	기간	nokta	기간		N
nokta	시대	nokta	시대		N
açtı	개설	aç	개설	V;PFV;IND;SG;3;POS;PST	N
cinsel	성적	cinsel	성+적		N
onlar	그들	o	그+들	PRO;NOM;PL;3	N
plan	계획	plan	계획		N
plan	일정	plan	일정		N
plan	예약	plan	예약		N
plan	계획	plan	계획		N
max	최대	max	최대		N
max	max	max	max		
klip	클립	ki	클립		N
akademik	학문	akademik	학문	ADJ	N
akademik	학업	akademik	학업	ADJ	N
akademik	학술	akademik	학술	ADJ	N
hepsi	모두	hepsi	모두	PRO;NOM;PL;3	ADV
hepsi	전체	hepsi	전체	PRO;NOM;PL;3	N
istifa	종료	istifa	종료		N
istifa	끝내기	istifa	끝내+기		V
istifa	사직	istifa	사직		N
istifa	사임	istifa	사임		N
premier	프리미어	premi	프리미어	PROPN;NOM;SG;3	
official	official	official	official	N;NOM;SG;3	
ebu	abu	ebu	abu		
idam	처형	idam	처형		N
idam	실행	idam	실행		N
idam	처형	idam	처형		N
idam	실행	idam	실행		N
halka	반지	halka	반지		N
halka	소환	halka	소환		N
halka	반지	halka	반지		N
çek	체코	çek	체코		PROPN
çek	수표	çek	수표		N
çek	확인	çek	확인		N
çek	점검	çek	점검		N
şarkılar	songs	şarkı	songs	N;NOM;PL;3	
üyeler	멤버	üye	멤버	N;NOM;PL;3	
ihtiyaç	필요함	ihtiyaç	필요함		V
katılıyorum	동의	kat	동의	V;PROG;IND;SG;1;POS;INFM;PRS;PASS	
test	테스트	test	테스트		N
test	시험	test	시험		N
test	테스트	test	테스트		N
test	테스트	test	테스트		N
test	검사	test	검사		N
test	시험	test	시험		N
hitler	히틀러	hit	히틀러	PROPN;NOM;SG;3	
çoğunluğu	다수	çoğunluk	다수	N;ACC;SG;3	
zamanlar	타임스	zaman	타임스	N;NOM;PL;3	
zamanlar	타임즈	zaman	타임즈	N;NOM;PL;3	
akademi	아카데미아	akadem	아카데미아	N;NOM;SG;3	
akademi	아카데미	akadem	아카데미	N;NOM;SG;3	
düz	평평한	düz	평평+하+ㄴ		V
düz	평원	düz	평원		N
uzunluk	길이	uzunluk	길+이	N;NOM;SG;3	
siyaset	정치	siyaset	정치		N
siyaset	정치학	siyaset	정치학		N
barcelona	바르셀로나	barcelon	바르셀로나	N;NOM;SG;3	PROPN
karmaşık	콤플렉스	karmaşık	콤플렉스	ADJ	
karmaşık	복합체	karmaşık	복합체	ADJ	N
karmaşık	복잡한	karmaşık	복잡+하+ㄴ	ADJ	V
football	축구	football	축구		N
football	미식축구	football	미식+축구		N
football	풋볼	football	풋볼		N
balık	물고기자리	balık	물고기+자리		N
balık	물고기	balık	물고기		N
balık	낚시	balık	낚시		N
yaşlı	늙은	yaşlı	늙+ㄴ	ADJ	
yaşlı	오래된	yaşlı	오래+되+ㄴ	ADJ	V
yaşlı	노인	yaşlı	노인	ADJ	N
yaşlı	이전	yaşlı	이전	ADJ	N
alanları	필드	alan	필드	N;ACC;PL;3	
geçersiz	null	geçersiz	null		
geçersiz	오류	geçersiz	오류		N
oluşturulan	생성	oluş	생성	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
oluşturulan	생성	oluş	생성	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
basın	누르기	basın	누르+기		V
basın	미디어	basın	미디어		N
tarihsel	역사	tarihsel	역사		N
çelik	강철	çelik	강철		N
çelik	스틸	çelik	스틸		N
karakteri	캐릭터	karakteri	캐릭터	N;ESS;SG;3	
cilt	볼륨	cilt	볼륨		N
cilt	피부	cilt	피부		N
değerli	소중한	değerli	소중+하+ㄴ		V
değerli	가치	değerli	가치		N
tasarım	디자이너는	tas	디자+이너+는		N
tasarım	설계자	tas	설계자		N
tasarım	설계	tas	설계		N
tasarım	설계	tas	설계		N
maça	스페이드	maça	스페이드	N;DAT;SG;3	
maça	스페이드	maça	스페이드	N;DAT;SG;3	
haçlı	십자군	haçlı	십자군		N
haçlı	십자군	haçlı	십자군		N
makedonya	마케도니아어	makedonya	마케도니아어	PROPN;NOM;SG;3	
makedonya	마케도니아	makedonya	마케도니아	PROPN;NOM;SG;3	PROPN
makedonya	마케도니아인	makedonya	마케도니아인	PROPN;NOM;SG;3	V
makedonya	마케도니아	makedonya	마케도니아	PROPN;NOM;SG;3	PROPN
makedonya	마케도니아인	makedonya	마케도니아인	PROPN;NOM;SG;3	V
bosna	보스니아	bosna	보스니아	PROPN;NOM;SG;3	PROPN
milliyetçi	국민주의	milliyetçi	국민주의		N
hücre	세포	hücre	세포		N
hücre	세포	hücre	세포		N
aslan	사자자리	aslan	사자자리		N
voleybol	배구	voleybol	배구		N
tour	둘러보기	tour	둘러보+기	N;NOM;SG;3	V
açıldı	개설	aç	개설	V;PFV;IND;SG;3;POS;PST;PASS	N
papa	교황	papa	교황		N
davet	초청	davet	초청		N
yerleri	위치	yer	위치	N;ACC;PL;3	
chicago	시카고	chicago	시카고	PROPN;NOM;SG;3	PROPN
olmaz	아님	ol	아니+ㅁ	V;IPFV;IND;SG;3;NEG	
sabah	모닝	sabah	모닝	N;NOM;SG;3	
young	젊은	young	젊+ㄴ		ADJ
emir	순서	imir	순서		N
emir	주문	imir	주문		N
emir	주문	imir	주문		N
gruplar	그룹	grup	그룹	N;NOM;PL;3	
ders	강습	ders	강습		N
ders	레슨	ders	레슨		N
ders	수업	ders	수업		N
ders	강연	ders	강연		N
ders	레슨	ders	레슨		N
ders	교훈	ders	교훈		N
ders	수업	ders	수업		N
ders	학급	ders	학급		N
ders	계급	ders	계급		N
ders	클래스	ders	클래스		N
ders	수업	ders	수업		N
kurt	쿠르트	kurt	쿠르트		PROPN
kurt	늑대	kurt	늑대		N
bölümleri	에피소드	bölüm	에피소드	N;ACC;PL;3	
ağaç	나무	ağaç	나무		N
ağaç	목재	ağaç	목재		N
ağaç	나무	ağaç	나무		N
ağaç	나무들	ağaç	나무+들		N
ağaç	나무	ağaç	나무		N
gürcistan	조지아어	gürcistan	조지아어	PROPN;NOM;SG;3	
gürcistan	조지아	gürcistan	조지아	PROPN;NOM;SG;3	PROPN
hareketler	움직임	hareket	움직이+ㅁ	N;NOM;PL;3	
hareketler	moves	hareket	moves	N;NOM;PL;3	
hareketler	움직임	hareket	움직이+ㅁ	N;NOM;PL;3	
hareketler	움직임	hareket	움직이+ㅁ	N;NOM;PL;3	
birleşmiş	통합	birleş	통합		N
birleşmiş	united	birleş	united		
birleşmiş	유나이티드	birleş	유나이티드		PROPN
state	상태	state	상태		N
state	국가	state	국가		N
başkent	의사당	başkent	의사당		N
başkent	자본	başkent	자본		N
başkent	자본주의	başkent	자본주의		N
tank	탱크	tank	탱크		N
tank	전차	tank	전차		N
kaydı	녹음	kay	녹음		N
kaydı	녹화	kay	녹화		N
alexander	알렉산드르	alerander	알렉산드르	PROPN;NOM;SG;3	PROPN
alexander	알렉산더르	alerander	알렉산더르	PROPN;NOM;SG;3	
alexander	알렉산더	alerander	알렉산더	PROPN;NOM;SG;3	PROPN
ödüller	어워드	ödül	어워드	N;NOM;PL;3	
ödüller	상금	ödül	상금	N;NOM;PL;3	
alma	alma	al	alma		
kelime	word	kelim	word		
kelime	어휘	kelim	어휘		N
kelime	words	kelim	words		
evet	예스	evet	예스	N;NOM;SG;3	
göl	호수	göl	호수		N
antonio	안토니오	antonio	안토니오	PROPN;NOM;SG;3	
filistin	팔레스타인	filistin	팔레스타인		PROPN
filistin	팔레스타인인	filistin	팔레스타인인		V
filistin	팔레스타인	filistin	팔레스타인		PROPN
filistin	팔레스타인인	filistin	팔레스타인인		V
sıcaklık	기온	sıcaklık	기온	N;NOM;SG;3	
