del	del	del	del	ADP;MASC;SG	N;INDF;MASC+FEM;SG
pista	fingerpeg	pista	fingerpeg	N;FEM;SG	N;INDF;MASC+FEM;PL
botánico	botanic	botánico	botanic	N;MASC;SG	
botánico	botanisk	botánico	botanisk	N;MASC;SG	ADV
botánico	botaniske	botánico	botanisk	N;MASC;SG	ADJ;PL
par	pari	par	pari	N;MASC;SG	
viejo	viejo	viejo	viejo	ADJ;MASC;SG	
viejo	old	viejo	old	ADJ;MASC;SG	
viejo	gamle	viejo	gammel	ADJ;MASC;SG	ADJ;PL
especiales	særligt	especial	særligt	ADJ;PL	ADV
especiales	speciel	especial	speciel	ADJ;PL	ADJ;INDF;MASC+FEM;SG
especiales	særlig	especial	særlig	ADJ;PL	ADV
nueve	nine	nueve	nin	NUM;PL	
bosque	woods	bosque	woods	N;MASC;SG	
bosque	skove	bosque	skov	N;MASC;SG	N;INDF;MASC+FEM;PL
bosque	forest	bosque	forest	N;MASC;SG	
bosque	skove	bosque	skov	N;MASC;SG	N;INDF;MASC+FEM;PL
bosque	skovene	bosque	skov	N;MASC;SG	N;DEF;MASC+FEM;PL
bosque	skove	bosque	skov	N;MASC;SG	N;INDF;MASC+FEM;PL
ganado	opnåede	ganado	opnå	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
ganado	fortjent	ganado	fortjene	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ganado	optjente	ganado	optjent	ADJ;MASC;SG;V.PTCP	N;INDF;MASC+FEM;PL
ganado	optjent	ganado	optjent	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ganado	vandt	ganado	vinde	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
ganado	vundet	ganado	vinde	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ganado	husdyrhold	ganado	husdyrhold	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
ganado	husdyr	ganado	husdyr	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
ganado	kvæg	ganado	kvæg	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
ganado	hornkvæg	ganado	hornkvæg	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
ganado	kreaturer	ganado	kreatur	ADJ;MASC;SG;V.PTCP	N;INDF;MASC+FEM;PL
carga	upload	carga	upload	N;FEM;SG	V;IMP
carga	overføre	carga	overføre	N;FEM;SG	V;NFIN;ACT
carga	belastninger	carga	belastning	N;FEM;SG	N;INDF;MASC+FEM;PL
carga	byrder	carga	byrde	N;FEM;SG	N;INDF;MASC+FEM;PL
letra	tekster	letra	tekster	N;FEM;SG	N;INDF;MASC+FEM;PL
diócesis	stiftet	diócesis	stift	N;FEM	V;INDF;SG;PST;V.PTCP
diócesis	stift	diócesis	stiv	N;FEM	ADJ;INDF;NEUT;SG
dejar	orlov	dejar	orlov	V;NFIN	N;INDF;MASC+FEM;SG
registro	registrer	registro	registre	N;MASC;SG	V;IND;PRS;FIN;ACT
registro	register	registro	regist	N;MASC;SG	N;INDF;MASC+FEM;PL
registro	optag	registro	optag	N;MASC;SG	V;IMP
registro	record	registro	record	N;MASC;SG	
registro	register	registro	regist	N;MASC;SG	N;INDF;MASC+FEM;PL
regreso	returnere	regreso	returnere	N;MASC;SG	V;NFIN;ACT
regreso	tilbage	regreso	tilbage	N;MASC;SG	ADV
complejo	komplekse	complejo	komplekse	ADJ;MASC;SG	ADJ;PL
acto	handle	acto	handle	N;MASC;SG	V;NFIN;ACT
life	life	life	life	N	
indica	indica	indicar	indica	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
voto	stem	voto	stem	N;MASC;SG	V;IMP
nicolás	nicolas	nicolás	nicolas	N;MASC;SG	
nicolás	nicolás	nicolás	nicolás	N;MASC;SG	
nicolás	nicholas	nicolás	nicholas	N;MASC;SG	
arquitecto	arkitekter	arquitecto	arkitekt	N;MASC;SG	N;INDF;MASC+FEM;PL
solar	solceller	solar	solcel	N;MASC;SG	N;INDF;NEUT;PL
solar	solenergi	solar	solenergi	N;MASC;SG	
perdió	fortabt	perder	fortabe	V;IND;SG;3;PST;FIN	ADJ;INDF;SG
perdió	lost	perder	lost	V;IND;SG;3;PST;FIN	
playa	beach	playa	beach	N;FEM;SG	
playa	playa	playa	playa	N;FEM;SG	
playa	strande	playa	strand	N;FEM;SG	N;INDF;MASC+FEM;PL
playa	strandene	playa	strand	N;FEM;SG	N;DEF;MASC+FEM;PL
arriba	øverst	arriba	øverst	ADV	ADJ;RL
arriba	øverste	arriba	øvre	ADV	ADJ;DEF;RL
arriba	top	arriba	top	ADV	N;INDF;MASC+FEM;SG
arriba	toppen	arriba	top	ADV	N;DEF;MASC+FEM;SG
arriba	ovenover	arriba	ovenover	ADV	N;INDF;NEUT;SG
latina	latin	latino	latin	ADJ;FEM;SG	
latina	latinske	latino	latinsk	ADJ;FEM;SG	ADJ;PL
latina	latina	latino	latina	ADJ;FEM;SG	
femenino	hunkøn	femenino	hunkøn	ADJ;MASC;SG	N;INDF;NEUT;SG
femenino	feminine	femenino	feminine	ADJ;MASC;SG	ADJ;PL
femenino	hunkøn	femenino	hunkøn	ADJ;MASC;SG	N;INDF;NEUT;SG
femenino	kvinde	femenino	kvinde	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
femenino	kvindelige	femenino	kvindelig	ADJ;MASC;SG	ADJ;PL
femenino	kvinderne	femenino	kvinde	ADJ;MASC;SG	N;DEF;MASC+FEM;PL
femenino	kvinder	femenino	kvinde	ADJ;MASC;SG	N;INDF;MASC+FEM;PL
instalaciones	anlæg	instalación	anlæg	N;FEM;PL	N;INDF;NEUT;SG
vive	vive	vivir	vive	V;IND;SG;3;PRS;FIN	
vive	live	vivir	live	V;IND;SG;3;PRS;FIN	
vive	lev	vivir	lev	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
vive	levende	vivir	levende	V;IND;SG;3;PRS;FIN	ADJ
vive	liv	vivir	liv	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
cosa	ting	cosa	ting	N;FEM;SG	N;INDF;MASC+FEM;PL
derrota	besejrer	derrota	besejre	N;FEM;SG	V;IND;PRS;FIN;ACT
derrota	besejre	derrota	besejre	N;FEM;SG	V;NFIN;ACT
vii	vii	vii	vii		NUM
king	kong	king	kong	N	
king	king	king	king	N	
sola	sola	solo	sola	ADJ;FEM;SG	
sola	alene	solo	alene	ADJ;FEM;SG	ADV
basada	baseret	basado	basere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
césar	caesar	césar	caesar	PROPN	N;INDF;MASC+FEM;SG
césar	cæsar	césar	cæsar	PROPN	N;INDF;MASC+FEM;SG
césar	césar	césar	césar	PROPN	N;INDF;MASC+FEM;SG
castellano	castellano	castellano	castellano	N;MASC;SG	
castellano	spanske	castellano	spansk	N;MASC;SG	ADJ;PL
castellano	spaniere	castellano	spanier	N;MASC;SG	N;INDF;MASC+FEM;PL
urbano	urban	urbano	urban	ADJ;MASC;SG	
international	internationale	international	international	ADJ;SG	ADJ;PL
forman	forman	formar	forman	V;IND;PL;3;PRS;FIN	
oriente	østpå	oriente	østpå	N;MASC;SG	ADV
campeones	champions	campeón	champions	N;MASC;PL	N;INDF;MASC+FEM;SG
campeones	champs	campeón	champs	N;MASC;PL	
leyes	vedtægt	ley	vedtægt	N;FEM;PL	N;INDF;MASC+FEM;SG
leyes	jura	ley	jura	N;FEM;PL	N;INDF;MASC+FEM;SG
leyes	lovgivning	ley	lovgivning	N;FEM;PL	N;INDF;MASC+FEM;SG
leyes	love	ley	love	N;FEM;PL	N;INDF;MASC+FEM;SG
arco	arc	arco	arc	N;MASC;SG	
arco	arch	arco	arch	N;MASC;SG	
arco	arco	arco	arco	N;MASC;SG	
arco	buk	arco	buk	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
justo	justo	justo	justo	ADV	
justo	rimelig	justo	rimelig	ADV	ADJ;INDF;MASC+FEM;SG
justo	rimeligt	justo	rimelig	ADV	ADJ;INDF;NEUT;SG
justo	retfærdig	justo	retfærdig	ADV	ADJ;INDF;MASC+FEM;SG
justo	fair	justo	fair	ADV	ADJ
socialista	socialist	socialista	socialist	N;SG	ADJ;INDF;MASC+FEM;SG
socialista	socialistiske	socialista	socialistisk	N;SG	ADJ;PL
socialista	socialistisk	socialista	socialistisk	N;SG	ADV
administrativa	administrativt	administrativo	administrativt	ADJ;FEM;SG	ADV
difícil	hårde	difícil	hård	ADJ;SG	ADJ;PL
difícil	hard	difícil	hard	ADJ;SG	
difícil	svære	difícil	svær	ADJ;SG	ADJ;PL
one	et	one	en	N	PRO;NEUT;SG
one	en	one	en	N	PRO;MASC+FEM;SG
one	én	one	en	N	PRO;MASC+FEM;SG
conocidos	vidst	conocido	vidst	ADJ;MASC;PL;V.PTCP	ADV
conocidos	kendte	conocido	kende	ADJ;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
conocidos	kendt	conocido	kendt	ADJ;MASC;PL;V.PTCP	ADJ;INDF;SG
conocidos	bekendte	conocido	bekendt	ADJ;MASC;PL;V.PTCP	N;INDF;MASC+FEM;PL
conocidos	bekendtskaber	conocido	bekendtskab	ADJ;MASC;PL;V.PTCP	N;INDF;NEUT;PL
conocidos	bekendt	conocido	bekendt	ADJ;MASC;PL;V.PTCP	ADJ;INDF;SG
conocidos	bekendtskab	conocido	bekendtskab	ADJ;MASC;PL;V.PTCP	N;INDF;NEUT;SG
super	super	super	supe		N;INDF;MASC+FEM;SG
discos	diske	disco	denke	N;MASC;PL	V;NFIN;ACT
discos	records	disco	records	N;MASC;PL	N;INDF;NEUT;SG
discos	diske	disco	denke	N;MASC;PL	V;NFIN;ACT
simple	simple	simple	simpel	ADJ;SG	ADJ;PL
listas	klar	lista	klar	N;FEM;PL	ADJ;INDF;MASC+FEM;SG
listas	parat	lista	parat	N;FEM;PL	ADJ;INDF;SG
sebastián	sebastian	sebastián	sebastian	PROPN	N;INDF;MASC+FEM;SG
sebastián	sebastián	sebastián	sebastián	PROPN	
histórica	historiske	histórico	historisk	ADJ;FEM;SG	ADJ;PL
histórica	historiske	histórico	historisk	ADJ;FEM;SG	ADJ;PL
diputado	assisterende	diputado	assistere	N;MASC;SG	V;PRS;V.PTCP
diputado	vicesherif	diputado	vicesherif	N;MASC;SG	
diputado	stedfortrædende	diputado	stedfortrædende	N;MASC;SG	ADJ
diputado	mep	diputado	mep	N;MASC;SG	
ojos	eyes	ojo	eyes	N;MASC;PL	
continuó	fortsættes	continuar	fortsætte	V;IND;SG;3;PST;FIN	V;IND;PRS;FIN;PASS
continuó	fortsat	continuar	fortsat	V;IND;SG;3;PST;FIN	ADV
destino	destiny	destino	destiny	N;MASC;SG	
vasco	baskere	vasco	basker	N;MASC;SG	N;INDF;MASC+FEM;PL
vasco	vasco	vasco	vasco	N;MASC;SG	
vasco	baskiske	vasco	baskisk	N;MASC;SG	ADJ;PL
reforma	reformer	reforma	reform	N;FEM;SG	N;INDF;MASC+FEM;PL
carreras	løber	carrera	løbe	N;FEM;PL	V;IND;PRS;FIN;ACT
carreras	ræs	carrera	ræs	N;FEM;PL	N;INDF;NEUT;SG
carreras	racerløb	carrera	racerløb	N;FEM;PL	N;INDF;MASC+FEM;SG
carreras	racing	carrera	racing	N;FEM;PL	
carreras	væddeløb	carrera	væddeløb	N;FEM;PL	N;INDF;NEUT;SG
carreras	kapsejlads	carrera	kapsejlads	N;FEM;PL	N;INDF;MASC+FEM;SG
carreras	karriere	carrera	karriere	N;FEM;PL	N;INDF;MASC+FEM;SG
carreras	karriereforløb	carrera	karriereforløb	N;FEM;PL	N;INDF;NEUT;SG
single	enkelt	single	enkelt	N;MASC;SG	ADJ;INDF;SG
single	enlige	single	enlig	N;MASC;SG	ADJ;PL
single	enlig	single	enlig	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
invierno	winter	invierno	winter	N;MASC;SG	
llegaron	ankommet	llegar	ankomme	V;IND;PL;3;PST;FIN	V;INDF;SG;PST;V.PTCP
diferente	forskellige	diferente	forskellig	ADJ;SG	ADJ;PL
diferente	forskelligt	diferente	forskelligt	ADJ;SG	ADV
park	park	park	park	PROPN	N;INDF;MASC+FEM;SG
park	parkere	park	park	PROPN	V;NFIN;ACT
park	parken	park	park	PROPN	N;DEF;MASC+FEM;SG
romana	romerske	romano	romersk	ADJ;FEM;SG	ADJ;PL
romana	roman	romano	roman	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
romana	romer	romano	rome	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
romana	romersk	romano	romersk	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
romana	romana	romano	romana	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
barrios	barrios	barrio	barrio	N;MASC;PL	
barrios	slum	barrio	slum	N;MASC;PL	
barrios	slum	barrio	slum	N;MASC;PL	
cree	cree	creer	cree	V;IND;SG;3;PRS;FIN	
ofrece	tilbuddene	ofrecer	tilbud	V;IND;SG;3;PRS;FIN	N;DEF;NEUT;PL
ofrece	tilbud	ofrecer	tilbud	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;PL
navarra	navarra	navarra	navarra	ADJ;FEM;SG	
navarra	navarra	navarra	navarra	ADJ;FEM;SG	
relevancia	relevant	relevancia	relevant	N;FEM;SG	ADJ;INDF;SG
ancho	bred	ancho	bred	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
ancho	brede	ancho	bred	N;MASC;SG	ADJ;PL
grabación	optager	grabación	optage	N;FEM;SG	V;IND;PRS;FIN;ACT
boca	boca	boca	boca	N;FEM;SG	
panamá	panama	panamá	panama	N;MASC;SG	PROPN
universal	universal	universal	universal	ADJ;SG	
universal	universelle	universal	universel	ADJ;SG	ADJ;PL
completa	udfyldes	completo	udfylde	ADJ;FEM;SG	V;IND;PRS;NFIN;PASS
completa	fuldstændig	completo	fuldstændig	ADJ;FEM;SG	ADV
completa	fuldført	completo	fuldføre	ADJ;FEM;SG	V;INDF;SG;PST;V.PTCP
producido	fremstillede	producido	fremstille	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
producido	fremstillet	producido	fremstille	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
producido	produceret	producido	producere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
producido	producerede	producido	producere	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
negra	black	negro	black	ADJ;FEM;SG	
negra	sorte	negro	sort	ADJ;FEM;SG	ADJ;PL
dando	givende	dar	give	V;V.MSDR	ADJ
variedad	mangfoldige	variedad	mangfoldig	N;FEM;SG	ADJ;PL
variedad	sort	variedad	sort	N;FEM;SG	ADJ;INDF;SG
star	star	star	star	N	
propios	eje	propio	eje	ADJ;MASC;PL	V;NFIN;ACT
propios	egne	propio	egn	ADJ;MASC;PL	N;INDF;MASC+FEM;PL
propios	egen	propio	egen	ADJ;MASC;PL	ADJ;MASC+FEM;SG
propios	eget	propio	egen	ADJ;MASC;PL	ADJ;NEUT;SG
mas	mas	mas	mas	ADV	
mas	flere	mas	mange	ADV	ADJ;CMPR;PL
movimientos	flytter	movimiento	flytte	N;MASC;PL	V;IND;PRS;FIN;ACT
movimientos	moves	movimiento	moves	N;MASC;PL	N;INDF;MASC+FEM;SG
movimientos	bevægelighed	movimiento	bevægelighed	N;MASC;PL	N;INDF;MASC+FEM;SG
movimientos	flytning	movimiento	flytning	N;MASC;PL	N;INDF;MASC+FEM;SG
movimientos	bevægelse	movimiento	bevægelse	N;MASC;PL	N;INDF;MASC+FEM;SG
océano	havene	océano	have	N;MASC;SG	N;DEF;NEUT;PL
océano	oceaner	océano	ocean	N;MASC;SG	N;INDF;MASC+FEM;PL
océano	ocean	océano	ocean	N;MASC;SG	
promedio	gennemsnitlige	promedio	gennemsnitlig	N;MASC;SG	ADJ;PL
promedio	gennemsnitlig	promedio	gennemsnitlig	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
árabe	arabisk	árabe	arabisk	N;SG	ADJ;INDF;SG
famoso	berømte	famoso	berømt	ADJ;MASC;SG	ADJ;PL
famoso	berømtheder	famoso	berømthed	ADJ;MASC;SG	N;INDF;MASC+FEM;PL
famoso	kendis	famoso	kendis	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
famoso	berømthed	famoso	berømthed	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
compuesta	sammensat	compuesto	sammensætte	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
publicada	offentliggjort	publicado	offentliggjort	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
publicada	udkommet	publicado	udkomme	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
publicada	offentliggjorte	publicado	offentliggøre	ADJ;FEM;SG;V.PTCP	ADJ;PL
publicada	udgivet	publicado	udgive	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
publicada	offentliggøres	publicado	offentliggøre	ADJ;FEM;SG;V.PTCP	V;NFIN;PASS
publicada	opslået	publicado	opslå	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
publicada	udstationerede	publicado	udstationere	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
terreno	lander	terreno	land	N;MASC;SG	V;IND;PRS;FIN;ACT
terreno	formalet	terreno	formale	N;MASC;SG	V;INDF;SG;PST;V.PTCP
terreno	ground	terreno	ground	N;MASC;SG	
entró	indtastede	entrar	indtaste	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
similares	lignende	similar	ligne	ADJ;PL	V;PRS;V.PTCP
similares	dobbeltgænger	similar	dobbeltgænge	ADJ;PL	N;INDF;MASC+FEM;SG
construir	build	construir	build	V;NFIN	
toledo	toledo	toledo	toledo	N;MASC;SG	
periódico	periodiske	periódico	periodisk	N;MASC;SG	ADJ;PL
periódico	periodisk	periódico	periodisk	N;MASC;SG	ADV
noticias	nyhed	noticia	nyhed	N;FEM;PL	N;INDF;MASC+FEM;SG
miss	savne	miss	savne	N;FEM;SG	V;NFIN;ACT
miss	savner	miss	savne	N;FEM;SG	V;IND;PRS;FIN;ACT
unió	united	unir	united	V;IND;SG;3;PST;FIN	
unió	forenede	unir	forene	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
chicago	chicago	chicago	chicago	N;MASC;SG	
clásico	klassiker	clásico	klassiker	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
clásico	klassiske	clásico	klassisk	ADJ;MASC;SG	ADJ;PL
clásico	classic	clásico	classic	ADJ;MASC;SG	
debería	sku	deber	sku	V;COND;SG;3;FIN	ADV
debería	skulle	deber	skulle	V;COND;SG;3;FIN	V;IND;PST;FIN;ACT
debería	bør	deber	burde	V;COND;SG;3;FIN	V;IND;PRS;FIN;ACT
debería	skal	deber	skulle	V;COND;SG;3;FIN	V;IND;PRS;FIN;ACT
debería	burde	deber	burde	V;COND;SG;3;FIN	V;IND;PST;FIN;ACT
desarrollado	fremkaldt	desarrollado	fremkalde	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
desarrollado	udviklede	desarrollado	udvikle	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
desarrollado	udviklet	desarrollado	udvikle	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
municipales	kommunalt	municipal	kommunal	ADJ;PL	ADJ;INDF;NEUT;SG
municipales	kommunal	municipal	kommunal	ADJ;PL	ADJ;INDF;MASC+FEM;SG
designado	udpegede	designado	udpege	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
designado	udpeget	designado	udpege	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
designado	udnævnt	designado	udnævne	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
designado	udnævnte	designado	udnævne	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
designado	udpeget	designado	udpege	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
designado	udnævnes	designado	udnævne	ADJ;MASC;SG;V.PTCP	V;IND;PRS;FIN;PASS
activo	aktive	activo	aktiv	ADJ;MASC;SG	ADJ;PL
activo	aktiver	activo	aktiv	ADJ;MASC;SG	N;INDF;NEUT;PL
activo	asset	activo	asset	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
irlanda	irere	irlanda	irer	N;FEM;SG	N;INDF;MASC+FEM;PL
irlanda	irske	irlanda	irsk	N;FEM;SG	ADJ;PL
irlanda	irish	irlanda	irish	N;FEM;SG	
irlanda	irerne	irlanda	ire	N;FEM;SG	N;DEF;MASC+FEM;PL
irlanda	irland	irlanda	irland	N;FEM;SG	PROPN
xii	xii	xii	xii		NUM
aspecto	fremtræden	aspecto	fremtræde	N;MASC;SG	V;V.MSDR
aspecto	ser	aspecto	se	N;MASC;SG	V;IND;PRS;FIN;ACT
solicita	forespørgsler	solicitar	forespørgsel	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
solicita	anmodninger	solicitar	anmodning	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
málaga	malaga	málaga	malaga	N;MASC;SG	PROPN
málaga	málaga	málaga	málaga	N;MASC;SG	PROPN
málaga	malaga	málaga	malaga	N;MASC;SG	PROPN
conciertos	koncert	concierto	koncert	N;MASC;PL	N;INDF;MASC+FEM;SG
conciertos	koncerten	concierto	koncert	N;MASC;PL	N;DEF;MASC+FEM;SG
lorenzo	laurence	lorenzo	laurence	N;MASC;SG	
lorenzo	lorenzo	lorenzo	lorenzo	N;MASC;SG	
lorenzo	lawrence	lorenzo	lawrence	N;MASC;SG	
federico	friedrich	federico	friedrich	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
federico	frederic	federico	frederic	ADJ;MASC;SG	N;INDF;NEUT;SG
federico	frederik	federico	frederik	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
federico	frederick	federico	frederick	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
federico	federico	federico	federico	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
competencia	konkurrenter	competencia	konkurrent	N;FEM;SG	N;INDF;MASC+FEM;PL
competencia	konkurrenterne	competencia	konkurrent	N;FEM;SG	N;DEF;MASC+FEM;PL
sky	sky	sky	sky	N	
punta	punta	punta	punta	N;FEM;SG	
punta	drikkepenge	punta	drikkepenge	N;FEM;SG	N;INDF;MASC+FEM;PL
punta	peg	punta	peg	N;FEM;SG	
núcleo	core	núcleo	core	N;MASC;SG	
illinois	illinois	illinois	illinois	N;MASC;SG	
galería	gallerier	galería	galleri	N;FEM;SG	N;INDF;NEUT;PL
humana	menneskelige	humano	menneskelig	ADJ;FEM;SG	ADJ;PL
humana	menneske	humano	menneske	ADJ;FEM;SG	N;INDF;NEUT;SG
cambiar	skift	cambiar	skift	V;NFIN	N;INDF;NEUT;SG
cambiar	ændring	cambiar	ændring	V;NFIN	N;INDF;MASC+FEM;SG
cambiar	forandring	cambiar	forandring	V;NFIN	N;INDF;MASC+FEM;SG
nelson	nelson	nelson	nelson	PROPN	N;INDF;MASC+FEM;SG
asturias	asturien	asturio	asturi	N;FEM;PL	N;DEF;MASC+FEM;SG
verdad	sandt	verdad	sinde	N;FEM;SG	ADJ;INDF;NEUT;SG
verdad	true	verdad	true	N;FEM;SG	V;NFIN;ACT
verdad	rigtigt	verdad	rigtigt	N;FEM;SG	ADV
une	une	unir	une	V;IND;SG;3;PRS;FIN	
joaquín	joaquin	joaquín	joaquin	PROPN	
joaquín	joaquín	joaquín	joaquín	PROPN	
joaquín	joachim	joaquín	joachim	PROPN	
juventud	unge	juventud	ung	N;FEM;SG	ADJ;PL
avión	luftfartøjer	avión	luftfartøje	N;MASC;SG	N;INDF;NEUT;PL
masa	mass	masa	mass	N;FEM;SG	
masa	masa	masa	masa	N;FEM;SG	
bosques	skovbrug	bosque	skovbrug	N;MASC;PL	N;INDF;NEUT;SG
bosques	skovbruget	bosque	skovbrug	N;MASC;PL	N;DEF;NEUT;SG
bosques	skov	bosque	skov	N;MASC;PL	N;INDF;MASC+FEM;SG
bosques	woods	bosque	woods	N;MASC;PL	
bosques	skoven	bosque	skov	N;MASC;PL	N;DEF;MASC+FEM;SG
bosques	skov	bosque	skov	N;MASC;PL	N;INDF;MASC+FEM;SG
bosques	skov	bosque	skov	N;MASC;PL	N;INDF;MASC+FEM;SG
bosques	forest	bosque	forest	N;MASC;PL	
bosques	skoven	bosque	skov	N;MASC;PL	N;DEF;MASC+FEM;SG
bienes	gods	bien	gods	N;MASC;PL	N;INDF;NEUT;SG
egipto	egypten	egipto	egypt	N;MASC;SG	PROPN
egipto	egyptisk	egipto	egyptisk	N;MASC;SG	ADJ;INDF;SG
egipto	egyptiske	egipto	egyptisk	N;MASC;SG	ADJ;PL
intento	forsøgt	intentar	forsøge	V;IND;SG;1;PRS;FIN	V;INDF;SG;PST;V.PTCP
intento	forsøgte	intentar	forsøge	V;IND;SG;1;PRS;FIN	V;IND;PST;FIN;ACT
muerto	døde	muerto	død	ADJ;MASC;SG;V.PTCP	ADJ;PL
muerto	død	muerto	død	ADJ;MASC;SG;V.PTCP	N;INDF;MASC+FEM;SG
muerto	dead	muerto	dead	ADJ;MASC;SG;V.PTCP	
escribir	skrivning	escribir	skrivning	V;NFIN	N;INDF;MASC+FEM;SG
escribir	skrivning	escribir	skrivning	V;NFIN	N;INDF;MASC+FEM;SG
escribir	brænding	escribir	brænding	V;NFIN	N;INDF;MASC+FEM;SG
históricos	historisk	histórico	historisk	ADJ;MASC;PL	ADJ;INDF;SG
históricos	historisk	histórico	historisk	ADJ;MASC;PL	ADJ;INDF;SG
reserva	reservationer	reserva	reservation	N;FEM;SG	N;INDF;MASC+FEM;PL
públicas	offentlighed	público	offentlighed	ADJ;FEM;PL	N;INDF;MASC+FEM;SG
públicas	offentligt	público	offentligt	ADJ;FEM;PL	ADV
públicas	offentligheden	público	offentlighed	ADJ;FEM;PL	N;DEF;MASC+FEM;SG
públicas	offentlig	público	offentlig	ADJ;FEM;PL	ADJ;INDF;MASC+FEM;SG
live	bor	live	bo	N	V;IND;PRS;FIN;ACT
live	live	live	live	N	
live	leve	live	leve	N	V;NFIN;ACT
live	levende	live	levende	N	ADJ
árboles	tree	árbol	tree	N;MASC;PL	
árboles	træet	árbol	træ	N;MASC;PL	N;DEF;NEUT;SG
árboles	træ	árbol	træ	N;MASC;PL	N;INDF;NEUT;SG
culturales	kulturel	cultural	kulturel	ADJ;PL	ADJ;INDF;MASC+FEM;SG
culturales	kulturelt	cultural	kulturelt	ADJ;PL	ADV
comienzo	starter	comienzo	starte	N;MASC;SG	V;IND;PRS;FIN;ACT
comienzo	begynd	comienzo	begynd	N;MASC;SG	V;IMP
comienzo	begynder	comienzo	begynde	N;MASC;SG	V;IND;PRS;FIN;ACT
denominación	pålydende	denominación	pålydende	N;FEM;SG	ADJ
hábitat	habitater	hábitat	habitat	N;MASC;SG	N;INDF;NEUT;PL
hábitat	levesteder	hábitat	levested	N;MASC;SG	N;INDF;NEUT;PL
judíos	jøde	judío	jøde	N;MASC;PL	N;INDF;MASC+FEM;SG
judíos	jødisk	judío	jødisk	N;MASC;PL	ADJ;INDF;SG
judíos	jødiske	judío	jødisk	N;MASC;PL	ADJ;PL
inicial	oprindeligt	inicial	oprindeligt	ADJ;SG	ADV
inicial	oprindelige	inicial	oprindelig	ADJ;SG	ADJ;PL
inicial	indledende	inicial	indlede	ADJ;SG	V;PRS;V.PTCP
inicial	oprindelig	inicial	oprindelig	ADJ;SG	ADV
