amino	amino	amino	amină		N;INDF;MASC;SG
kaçak	fugară	kaçak	fugar		ADJ;INDF;FEM;SG
çevirmen	translator	çevir	translator		N;INDF;MASC;SG
çevirmen	traducător	çevir	traducător		N;INDF;MASC;SG
çevirmen	interpret	çevir	interpret		N;INDF;MASC;SG
çevirmen	traducere	çevir	traducere		N;INDF;FEM;SG
çevirmen	traducerea	çevir	traducere		N;DEF;FEM;SG
korunma	protecție	korun	protecție		N;INDF;FEM;SG
korunma	protecția	korun	protecție		N;DEF;FEM;SG
korunma	protectie	korun	protectie		N;INDF;FEM;SG
işçiler	muncitorii	işçi	muncitor	N;NOM;PL;3	N;DEF;MASC;PL
işçiler	lucrătorii	işçi	lucrător	N;NOM;PL;3	N;DEF;MASC;PL
işçiler	lucrătorilor	işçi	lucrător	N;NOM;PL;3	N;DEF;MASC;PL
işçiler	angajații	işçi	angajație	N;NOM;PL;3	N;DEF;MASC;PL
işçiler	angajați	işçi	angaja	N;NOM;PL;3	V;IND;PL;2;IPFV;FIN
işçiler	angajati	işçi	angaja	N;NOM;PL;3	ADJ;INDF;MASC;PL
devil	devil	devil	devil		N;INDF;MASC;SG
devil	diavolul	devil	diavol		N;DEF;MASC;SG
devil	diavol	devil	diavol		N;INDF;MASC;SG
devil	drac	devil	drac		N;INDF;MASC;SG
connecticut	connecticut	connecticut	connecticut		N;INDF;MASC;SG
uyku	somn	uyku	somn		N;INDF;MASC;SG
uyku	dormind	uyku	dormi		V;V.MSDR
uyku	doarme	uyku	dormi		V;IND;SG;3;PRS;FIN
uyku	dormit	uyku	dormi		ADJ;INDF;MASC;SG
meksikalı	mexicana	meksikalı	mexicana		ADJ;DEF;FEM;SG
meksikalı	mexicani	meksikalı	mexican		N;INDF;MASC;PL
meksikalı	mexicană	meksikalı	mexican		ADJ;INDF;FEM;SG
meksikalı	mexicane	meksikalı	mexican		ADJ;INDF;FEM;PL
meksikalı	mexican	meksikalı	mexican		ADJ;INDF;MASC;SG
tanıma	recunoașterea	tanım	recunoaștere		N;DEF;FEM;SG
tanıma	recunoastere	tanım	recunoastere		N;INDF;FEM;SG
tanıma	recunoaștere	tanım	recunoaștere		N;INDF;FEM;SG
colin	colin	colin	colin		PROPN
golcü	marcator	golcü	marcator		N;INDF;MASC;SG
kubbe	cupola	kubbe	cupola		N;DEF;FEM;SG
kubbe	domul	kubbe	dom		N;DEF;MASC;SG
kubbe	dom	kubbe	dom		N;INDF;MASC;SG
rakam	cifre	rakam	cifră		N;INDF;FEM;PL
rakam	cifra	rakam	cifră		N;DEF;FEM;SG
rakam	cifră	rakam	cifră		N;INDF;FEM;SG
rakam	numar	rakam	numar		N;INDF;MASC;SG
rakam	număr	rakam	număr		N;INDF;MASC;SG
rakam	numărul	rakam	număr		N;DEF;MASC;SG
jules	jules	jules	jules		PROPN
görüşmeler	interviurile	görüşme	interviu	N;NOM;PL;3	N;DEF;FEM;PL
imal	fabricate	imal	fabrica		ADJ;INDF;FEM;PL
imal	fabricat	imal	fabrica		ADJ;INDF;MASC;SG
imal	fabricată	imal	fabrica		ADJ;INDF;FEM;SG
patrik	patriarhul	patrik	patriarh		N;DEF;MASC;SG
marsilya	marseille	marsilya	marseillă	N;NOM;SG;3	N;DEF;FEM;SG
marsilya	marsilia	marsilya	marsilie	N;NOM;SG;3	PROPN
marsilya	marsilia	marsilya	marsilie	N;NOM;SG;3	PROPN
asil	noble	asil	noble		N;INDF;MASC;SG
asil	nobil	asil	nobil		ADJ;INDF;MASC;SG
asil	nobilă	asil	nobil		ADJ;INDF;FEM;SG
asil	nobili	asil	nobil		N;INDF;MASC;PL
asil	nobile	asil	nobil		ADJ;INDF;FEM;PL
sürpriz	surpriză	sürpriz	surpriză		N;INDF;FEM;SG
sürpriz	surpriza	sürpriz	surpriză		N;DEF;FEM;SG
hotspur	hotspur	hotspur	hotspur	PROPN;NOM;SG;3	PROPN
esnek	flexibile	esnek	flexibil		ADJ;INDF;FEM;PL
esnek	flexibilă	esnek	flexibil		ADJ;INDF;FEM;SG
esnek	flexibil	esnek	flexibil		ADJ;INDF;MASC;SG
esnek	flexibilitate	esnek	flexibilitate		N;INDF;FEM;SG
esnek	flexibilitatea	esnek	flexibilitate		N;DEF;FEM;SG
esnek	elastice	esnek	elastic		ADJ;INDF;FEM;PL
esnek	elastic	esnek	elastic		ADJ;INDF;MASC;SG
esnek	flex	esnek	flex		N;INDF;MASC;SG
cameron	cameron	cameron	cameron	PROPN;NOM;SG;3	PROPN
lopez	lopez	lopez	lopez		PROPN
rıfat	rifat	rıfat	rifat	PROPN;NOM;SG;3	N;INDF;MASC;SG
şikâyet	plângerea	şikâyet	plângere		N;DEF;FEM;SG
şikâyet	plângere	şikâyet	plângere		N;INDF;FEM;SG
kalıntılar	rămâne	kalıntı	rămâne	N;NOM;PL;3	V;IND;SG;3;PRS;FIN
kalıntılar	reziduu	kalıntı	reziduu	N;NOM;PL;3	N;INDF;MASC;SG
kalıntılar	ruinele	kalıntı	ruină	N;NOM;PL;3	N;DEF;FEM;PL
kalıntılar	ruină	kalıntı	ruină	N;NOM;PL;3	N;INDF;FEM;SG
günah	păcatul	günah	păcat		N;DEF;MASC;SG
günah	păcate	günah	păcat		ADJ;INDF;FEM;PL
günah	păcatele	günah	păcat		N;DEF;FEM;PL
mide	stomacului	mide	stomac		N;DEF;MASC;SG
mide	stomacul	mide	stomac		N;DEF;MASC;SG
mide	stomac	mide	stomac		N;INDF;MASC;SG
parma	parma	parma	parmă	PROPN;NOM;SG;3	PROPN
mehdi	mehdi	mehdi	mehdi		N;INDF;MASC;SG
denizci	marinari	denizci	marinar		N;INDF;MASC;PL
denizci	marinarii	denizci	marinar		N;DEF;MASC;PL
denizci	marinarilor	denizci	marinar		N;DEF;MASC;PL
denizci	sailor	denizci	sau		N;INDF;MASC
denizci	marinar	denizci	marinar		N;INDF;MASC;SG
denizci	marin	denizci	marin		N;INDF;MASC;SG
denizci	marină	denizci	marină		N;INDF;FEM;SG
denizci	marine	denizci	marin		N;INDF;FEM;PL
denizci	marinar	denizci	marinar		N;INDF;MASC;SG
denizci	seamăn	denizci	seamăn		N;INDF;MASC;SG
rika	rika	rika	rika	PROPN;NOM;SG;3	N;DEF;FEM;SG
joel	joel	joel	joel		PROPN
elena	elena	elen	elena		N;DEF;FEM;SG
volga	volga	volga	volga		PROPN
kanatlı	înaripat	kanatlı	înaripa		ADJ;INDF;MASC;SG
vestfalya	westfalia	vestfalya	westfalia	PROPN;NOM;SG;3	PROPN
crystal	cristalul	crystal	cristal	PROPN;NOM;SG;3	N;DEF;MASC;SG
crystal	cristal	crystal	cristal	PROPN;NOM;SG;3	N;INDF;MASC;SG
crystal	cristale	crystal	cristale	PROPN;NOM;SG;3	N;INDF;FEM;PL
crystal	crystal	crystal	crystal	PROPN;NOM;SG;3	N;INDF;MASC;SG
julian	julian	julian	julian		N;INDF;MASC;SG
duyarlı	receptiv	duyarlı	receptiv		ADV
duyarlı	sensibile	duyarlı	sensibil		ADJ;INDF;FEM;PL
duyarlı	sensibila	duyarlı	sensibilă		ADJ;DEF;FEM;SG
duyarlı	sensibilă	duyarlı	sensibil		ADJ;INDF;FEM;SG
duyarlı	sensibil	duyarlı	sensibil		ADJ;INDF;MASC;SG
şampiyonları	campionii	şampiyon	campion	N;NOM;PL;3	N;DEF;MASC;PL
şampiyonları	campionilor	şampiyon	campion	N;NOM;PL;3	N;DEF;MASC;PL
fritz	fritz	fritz	fritz	PROPN;NOM;SG;3	PROPN
etken	factorul	etken	factor		N;DEF;MASC;SG
etken	factor	etken	factor		N;INDF;MASC;SG
zincir	lanțuri	zincir	lanț	N;NOM;SG;3	N;INDF;FEM;PL
zincir	lanțul	zincir	lanț	N;NOM;SG;3	N;DEF;MASC;SG
mekaniği	mecanici	mekanik	mecanic	N;NOM;SG;3	ADJ;INDF;MASC;PL
mekaniği	mecanicii	mekanik	mecanic	N;NOM;SG;3	N;DEF;MASC;PL
mekaniği	mecanica	mekanik	mecanică	N;NOM;SG;3	N;DEF;FEM;SG
mekaniği	mecanică	mekanik	mecanic	N;NOM;SG;3	ADJ;INDF;FEM;SG
depo	depozit	depo	depozit		N;INDF;MASC;SG
depo	depozitul	depo	depozit		N;DEF;MASC;SG
depo	antrepozit	depo	antrepozit		N;INDF;MASC;SG
depo	stocare	depo	stocare		N;INDF;FEM;SG
depo	depozitarea	depo	depozitare		N;DEF;FEM;SG
depo	depozit	depo	depozit		N;INDF;MASC;SG
depo	depozitare	depo	depozitare		N;INDF;FEM;SG
depo	depozit	depo	depozit		N;INDF;MASC;SG
nişan	scopul	nişan	scop		N;DEF;MASC;SG
nişan	aprilie	nişan	aprilie		N;INDF;MASC;SG
nişan	angajament	nişan	angajament		N;INDF;MASC;SG
nişan	logodnă	nişan	logodnă		N;INDF;FEM;SG
nişan	logodna	nişan	logodnă		N;DEF;FEM;SG
nişan	interacțiuni	nişan	interacțiune		N;INDF;FEM;PL
nişan	angajamentul	nişan	angajament		N;DEF;MASC;SG
burton	burton	burton	burton		PROPN
stanford	stanford	stanford	stanford	PROPN;NOM;SG;3	PROPN
hac	pelerinaj	hac	pelerinaj		N;INDF;MASC;SG
planlı	programată	planlı	programat		ADJ;INDF;FEM;SG
planlı	programat	planlı	programa		ADJ;INDF;MASC;SG
planlı	programate	planlı	programa		ADJ;INDF;FEM;PL
planlı	planificate	planlı	planificat		ADJ;INDF;FEM;PL
planlı	plănuit	planlı	plănui		ADJ;INDF;MASC;SG
planlı	planificat	planlı	planificat		ADJ;INDF;MASC;SG
planlı	planificată	planlı	planifica		ADJ;INDF;FEM;SG
çerçeve	rame	çerçev	ramă	N;NOM;SG;3	N;INDF;FEM;PL
çerçeve	cadre	çerçev	cadre	N;NOM;SG;3	N;INDF;FEM;PL
çerçeve	cadrul	çerçev	cadru	N;NOM;SG;3	N;DEF;MASC;SG
çerçeve	rama	çerçev	ramă	N;NOM;SG;3	N;DEF;FEM;SG
çerçeve	ramă	çerçev	ramă	N;NOM;SG;3	N;INDF;FEM;SG
çerçeve	încadrare	çerçev	încadrare	N;NOM;SG;3	N;INDF;FEM;SG
çerçeve	încadrarea	çerçev	încadrare	N;NOM;SG;3	N;DEF;FEM;SG
artı	plus	artı	plus		ADV
protokol	protocol	protokol	protocol		N;INDF;MASC;SG
protokol	protocolul	protokol	protocol		N;DEF;MASC;SG
edinburgh	edinburgh	edinburgh	edinburgh	PROPN;NOM;SG;3	N;INDF;MASC;SG
cadde	strada	cadde	stradă	N;NOM;SG;3	N;DEF;FEM;SG
cadde	stradă	cadde	stradă	N;NOM;SG;3	N;INDF;FEM;SG
tanımlama	definiție	tanımla	definiție	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
tanımlama	definirea	tanımla	definire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
tanımlama	definiția	tanımla	definiție	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
tanımlama	definirea	tanımla	definire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
tanımlama	identificarea	tanımla	identificare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
tanımlama	identificare	tanımla	identificare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
tanımlama	descriere	tanımla	descriere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
tanımlama	descrierea	tanımla	descriere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
tanımlama	caracterizarea	tanımla	caracterizare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
rovers	rovers	rovers	rovers		PROPN
disiplin	disciplina	dis	disciplină	N;NOM;SG;3	N;DEF;FEM;SG
disiplin	disciplină	dis	disciplină	N;NOM;SG;3	N;INDF;FEM;SG
disiplin	disciplinare	dis	disciplinar	N;NOM;SG;3	N;INDF;FEM;PL
disiplin	disciplinar	dis	disciplinar	N;NOM;SG;3	ADJ;INDF;MASC;SG
disiplin	disciplinară	dis	disciplinar	N;NOM;SG;3	ADJ;INDF;FEM;SG
tutulması	eclipsele	tut	eclips	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;DEF;FEM;PL
tutulması	eclipsa	tut	eclipsa	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;DEF;FEM;SG
tutulması	eclipsă	tut	eclips	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
jedi	jedi	jedi	jedi		N;INDF;MASC;SG
torres	torres	torres	torres	PROPN;NOM;SG;3	PROPN
genişletilmiş	extinse	genişle	extinde	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	ADJ;INDF;FEM;PL
genişletilmiş	extins	genişle	extins	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	ADJ;INDF;MASC;SG
genişletilmiş	extinsă	genişle	extins	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	ADJ;INDF;FEM;SG
kompleks	complexe	kompleks	complex		ADJ;INDF;FEM;PL
kompleks	complex	kompleks	complex		ADJ;INDF;MASC;SG
kompleks	complexul	kompleks	complex		N;DEF;MASC;SG
kompleks	complexă	kompleks	complex		ADJ;INDF;FEM;SG
lazio	lazio	lazio	lazio	PROPN;NOM;SG;3	PROPN
lazio	lazlo	lazio	lazlo	PROPN;NOM;SG;3	N;INDF;MASC;SG
nevada	nevada	neva	nevada	PROPN;NOM;SG;3	PROPN
eskimo	inuit	eskimo	inuit		ADJ;INDF;MASC;SG
eskimo	iglu	eskimo	iglu		N;INDF;MASC;SG
ekvador	ecuador	ekvador	ecuador	PROPN;NOM;SG;3	PROPN
çeşitlilik	diversitatea	çeşitlilik	diversitate	N;NOM;SG;3	N;DEF;FEM;SG
çeşitlilik	diversitate	çeşitlilik	diversitate	N;NOM;SG;3	N;INDF;FEM;SG
çeşitlilik	varietate	çeşitlilik	varietate	N;NOM;SG;3	N;INDF;FEM;SG
çeşitlilik	varietatea	çeşitlilik	varietate	N;NOM;SG;3	N;DEF;FEM;SG
sankt	sankt	sankt	sankt	PROPN;NOM;SG;3	PROPN
barselona	barcelona	barselon	barcelonă	PROPN;NOM;SG;3	N;DEF;FEM;PL
çekilmesi	retragere	çek	retragere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
çekilmesi	retragerea	çek	retragere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;DEF;FEM;SG
çekilmesi	sevraj	çek	sevraj	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;MASC;SG
honda	honda	hon	hondă	N;NOM;SG;3	PROPN
fosil	fosile	fosil	fosilă		N;INDF;FEM;PL
fosil	fosile	fosil	fosilă		N;INDF;FEM;PL
fosil	fosilă	fosil	fosil		N;INDF;FEM;SG
fosil	fosili	fosil	fosil		N;INDF;MASC;PL
silindir	cilindru	sil	cilindru	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC;SG
silindir	butelie	sil	butelie	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;FEM;SG
silindir	butelii	sil	butel	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;FEM;PL
silindir	cilindri	sil	cilindru	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC;PL
market	băcănie	market	băcănie		N;INDF;FEM;SG
market	piață	market	piață		N;INDF;FEM;SG
market	piața	market	piață		N;DEF;FEM;SG
market	piaţă	market	piaţă		N;INDF;FEM;SG
market	piaţa	market	piagă		N;DEF;FEM;SG
market	piata	market	piată		N;DEF;FEM;SG
market	market	market	market		N;INDF;MASC;SG
milas	milas	milas	milas	PROPN;NOM;SG;3	PROPN
nitelikli	calificată	nitelikli	califica		ADJ;INDF;FEM;SG
nitelikli	calificate	nitelikli	calificat		ADJ;INDF;FEM;PL
nitelikli	calificat	nitelikli	califica		ADJ;INDF;MASC;SG
nbc	nbc	nbc	nbc		N
uzaklık	distanta	uzaklık	distantă	N;NOM;SG;3	N;DEF;FEM;SG
uzaklık	distanţă	uzaklık	distanţă	N;NOM;SG;3	N;INDF;FEM;SG
uzaklık	distanța	uzaklık	distanță	N;NOM;SG;3	N;DEF;FEM;SG
uzaklık	distanță	uzaklık	distanță	N;NOM;SG;3	N;INDF;FEM;SG
yaratmak	crearea	yarat	creare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
yaratmak	creare	yarat	creare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
dâhil	inclusă	dâhil	include		ADJ;INDF;FEM;SG
dâhil	inclus	dâhil	include		ADJ;INDF;MASC;SG
dâhil	incluse	dâhil	inclus		ADJ;INDF;FEM;PL
savcı	procuror	savcı	procuror		N;INDF;MASC;SG
savcı	procurorul	savcı	procuror		N;DEF;MASC;SG
winter	iarnă	winte	iarnă	PROPN;NOM;SG;3	N;INDF;FEM;SG
winter	iarna	winte	iarnă	PROPN;NOM;SG;3	N;DEF;FEM;SG
israilli	israelieni	israilli	israelian		ADJ;INDF;MASC;PL
israilli	israeliene	israilli	israelian		ADJ;INDF;FEM;PL
israilli	israelian	israilli	israelian		ADJ;INDF;MASC;SG
israilli	israeliană	israilli	israelian		ADJ;INDF;FEM;SG
iade	rambursare	iade	rambursare		N;INDF;FEM;SG
iade	restituirea	iade	restituire		N;DEF;FEM;SG
iade	restituire	iade	restituire		N;INDF;FEM;SG
iade	întoarce	iade	întoarce		V;IND;SG;3;PRS;FIN
iade	retur	iade	retur		N;INDF;MASC;SG
iade	întoarcere	iade	întoarcere		N;INDF;FEM;SG
iade	extrădare	iade	extrădare		N;INDF;FEM;SG
iade	extrădarea	iade	extrădare		N;DEF;FEM;SG
sola	stâng	sola	stâng		N;INDF;MASC;SG
sola	stânga	sola	stângă		N;DEF;FEM;SG
sola	stanga	sola	stanga		N;DEF;FEM;SG
sola	stînga	sola	stângă		N;DEF;FEM;SG
maggie	maggie	maggie	maggie		N;INDF;FEM;SG
bıçak	lamă	bıçak	lamă		N;INDF;FEM;SG
bıçak	blade	bıçak	blad		N;INDF;MASC;SG
bıçak	lama	bıçak	lamă		N;DEF;FEM;SG
bıçak	cutit	bıçak	cuti		N;INDF;MASC;SG
bıçak	cuțit	bıçak	cuțit		N;INDF;MASC;SG
nikola	nicola	nikol	nicola		N;DEF;FEM;SG
nikola	nikola	nikol	nikolă		PROPN
kararları	deciziilor	karar	decizie	N;ACC;PL;3	N;DEF;FEM;PL
kararları	deciziile	karar	decizie	N;ACC;PL;3	N;DEF;FEM;PL
kaldırmak	îndepărtarea	kal	îndepărtare	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;DEF;FEM;SG
kaldırmak	ridicare	kal	ridicare	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;INDF;FEM;SG
kaldırmak	ridicarea	kal	ridicare	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;DEF;FEM;SG
desteklenen	susţinut	destekle	sushinut	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
desteklenen	sprijinit	destekle	sprijini	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
desteklenen	susținut	destekle	susține	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
nietzsche	nietzsche	nietzsche	nietzsche		PROPN
ntv	ntv	itv	ntv		N;INDF;MASC;SG
komut	comenzi	komut	comandă		N;INDF;FEM;PL
komut	comanda	komut	comandă		N;DEF;FEM;SG
komut	comandă	komut	comandă		N;INDF;FEM;SG
yöneticiler	managerii	yönetici	manager	N;NOM;PL;3	N;DEF;MASC;PL
yöneticiler	directorii	yönetici	director	N;NOM;PL;3	N;DEF;MASC;PL
yöneticiler	administratorii	yönetici	administrator	N;NOM;PL;3	N;DEF;MASC;PL
yöneticiler	conducătorii	yönetici	conducător	N;NOM;PL;3	N;DEF;MASC;PL
yöneticiler	administratorii	yönetici	administrator	N;NOM;PL;3	N;DEF;MASC;PL
kayalık	rocky	kayalık	rocky		PROPN
görüşme	interviu	görüşme	interviu		N;INDF;MASC;SG
görüşme	interviul	görüşme	interviu		N;DEF;MASC;SG
statik	statice	statik	static		ADJ;INDF;FEM;PL
statik	statică	statik	static		ADJ;INDF;FEM;SG
statik	static	statik	static		ADV
lima	lima	lima	limă	PROPN;NOM;SG;3	N;DEF;FEM;SG
baltimore	baltimore	baltimore	baltimore	PROPN;NOM;SG;3	PROPN
pazarı	piață	pazar	piață	N;ACC;SG;3	N;INDF;FEM;SG
pazarı	piața	pazar	piață	N;ACC;SG;3	N;DEF;FEM;SG
pazarı	piaţă	pazar	piaţă	N;ACC;SG;3	N;INDF;FEM;SG
pazarı	piaţa	pazar	piagă	N;ACC;SG;3	N;DEF;FEM;SG
pazarı	piata	pazar	piată	N;ACC;SG;3	N;DEF;FEM;SG
aydınlık	lumină	aydınlık	lumină	N;NOM;SG;3	N;INDF;FEM;SG
aydınlık	light	aydınlık	light	N;NOM;SG;3	
aydınlık	lumina	aydınlık	lumină	N;NOM;SG;3	N;DEF;FEM;SG
aydınlık	luminos	aydınlık	luminos	N;NOM;SG;3	ADJ;INDF;MASC;SG
aydınlık	strălucire	aydınlık	strălucire	N;NOM;SG;3	N;INDF;FEM;SG
aydınlık	luminozitate	aydınlık	luminozitate	N;NOM;SG;3	N;INDF;FEM;SG
bizanslılar	bizantini	bizanslı	bizantină	N;NOM;PL;3	ADJ;INDF;MASC;PL
felix	felix	felix	felix		PROPN
neolitik	neolitic	neolitik	neolitic		N;INDF;MASC;SG
maryland	maryland	marylan	maryland	PROPN;NOM;SG;3	N;INDF;MASC;SG
glory	glorie	glory	glorie		N;INDF;FEM;SG
glory	glory	glory	glory		N;INDF;MASC;SG
brad	brad	brad	brad		N;INDF;MASC;SG
hakkari	hakkari	hakkari	hakkari	N;NOM;SG;3	
göle	göle	göl	gall	N;DAT;SG;3	
randy	randy	randy	randy		PROPN
kilit	blocare	kilit	blocare		N;INDF;FEM;SG
kilit	lacăt	kilit	lacăt		N;INDF;MASC;SG
kilit	lock	kilit	lock		N;INDF;MASC;SG
kilit	blocare	kilit	blocare		N;INDF;FEM;SG
kilit	lacăte	kilit	lacă		N;INDF;FEM;PL
kilit	încuietori	kilit	încuietor		N;INDF;FEM;PL
kıdemli	vechime	kıdemli	vechime		N;INDF;FEM;SG
kıdemli	senior	kıdemli	senior		N;INDF;MASC;SG
kıdemli	seniori	kıdemli	senior		N;INDF;MASC;PL
kıdemli	seniorul	kıdemli	senior		N;DEF;MASC;SG
fethiye	fethiye	fethi	fethiy	PROPN;NOM;SG;3	N;INDF;MASC;SG
sektörü	sector	sektör	sector		N;INDF;MASC;SG
sektörü	sectorul	sektör	sector		N;DEF;MASC;SG
igor	egor	igor	egor		N;INDF;MASC;SG
igor	igor	igor	igor		PROPN
miles	miles	miles	miles		PROPN
miles	kilometri	miles	kilometru		N;INDF;MASC;PL
hatice	khadija	hatice	khadija		N;DEF;FEM;SG
tecrübeli	experimentat	tecrübeli	experimentat		ADJ;INDF;MASC;SG
borç	datoriile	borç	datorie		N;DEF;FEM;PL
borç	datorii	borç	dator		N;INDF;FEM;PL
borç	împrumut	borç	împrumut		N;INDF;MASC;SG
borç	împrumutul	borç	împrumut		N;DEF;MASC;SG
borç	datorie	borç	datorie		N;INDF;FEM;SG
borç	datorii	borç	dator		N;INDF;FEM;PL
yönetmenlik	regie	yönetmenlik	regie	N;NOM;SG;3	N;INDF;FEM;SG
çekme	remorcare	çek	remorcare		N;INDF;FEM;SG
viktor	viktor	viktor	viktor		PROPN
sincan	xinjiang	sincan	xinjiang	PROPN;NOM;SG;3	N;INDF;MASC;SG
claire	claire	claire	clair		PROPN
étienne	étienne	üt	étienne		PROPN
étienne	etienne	üt	etienne		PROPN
spurs	pinteni	spurs	pinteni	PROPN;NOM;SG;3	N;INDF;MASC;PL
çifti	perechea	çift	pereche	ADJ;NOM;SG;3	N;DEF;FEM;SG
çifti	pereche	çift	pereche	ADJ;NOM;SG;3	N;INDF;FEM;SG
çifti	cuplu	çift	cuplu	ADJ;NOM;SG;3	N;INDF;MASC;SG
çifti	cuplul	çift	cuplu	ADJ;NOM;SG;3	N;DEF;MASC;SG
tanık	martorii	tanık	martor		N;DEF;MASC;PL
tanık	martori	tanık	martor		N;INDF;MASC;PL
tanık	martorul	tanık	martor		N;DEF;MASC;SG
tanık	martoră	tanık	martoră		N;INDF;FEM;SG
tanık	martor	tanık	martor		N;INDF;MASC;SG
tanık	martori	tanık	martor		N;INDF;MASC;PL
belarus	belarus	belarus	belarus	PROPN;NOM;SG;3	PROPN
periyodik	periodic	periyodik	periodic		ADV
periyodik	periodică	periyodik	periodic		ADJ;INDF;FEM;SG
periyodik	periodice	periyodik	periodic		ADJ;INDF;FEM;PL
periyodik	periodic	periyodik	periodic		ADV
periyodik	periodice	periyodik	periodic		ADJ;INDF;FEM;PL
çömlek	ceramica	çömlek	ceramică		N;DEF;FEM;SG
çömlek	ceramică	çömlek	ceramic		N;INDF;FEM;SG
aileleri	familiile	aile	familie	N;ACC;PL;3	N;DEF;FEM;PL
falcon	falcon	falcon	falcon		N;INDF;MASC;SG
jamie	jamie	jamie	jamie		N;INDF;FEM;SG
boğa	taur	boğa	taur		N;INDF;MASC;SG
boğa	taurus	boğa	taurus		N;INDF;MASC;SG
boğa	taur	boğa	taur		N;INDF;MASC;SG
boğa	taurul	boğa	taur		N;DEF;MASC;SG
boğa	bull	boğa	bull		N;INDF;MASC;SG
oranları	ratele	oran	rată	N;ACC;PL;3	N;DEF;FEM;PL
oranları	raporturile	oran	raport	N;ACC;PL;3	N;DEF;FEM;PL
sporcular	sportivii	sporcu	sportiv	N;NOM;PL;3	N;DEF;MASC;PL
norveçli	norvegiană	norveçli	norvegian		ADJ;INDF;FEM;SG
norveçli	norvegiene	norveçli	norvegian		ADJ;INDF;FEM;PL
norveçli	norvegian	norveçli	norvegian		ADJ;INDF;MASC;SG
arıcılık	apicol	arıcılık	apicol	N;NOM;SG;3	ADJ;INDF;MASC;SG
mutfak	bucătărie	mutfak	bucătărie		N;INDF;FEM;SG
mutfak	bucătărie	mutfak	bucătărie		N;INDF;FEM;SG
mutfak	bucataria	mutfak	bucatarie		N;DEF;FEM;SG
mutfak	bucatarie	mutfak	bucatarie		N;INDF;FEM;SG
mutfak	bucătăria	mutfak	bucătărie		N;DEF;FEM;SG
eleştirmen	critic	eleştir	critic		ADJ;INDF;MASC;SG
gilbert	gilbert	gilbert	gilbert		N;INDF;MASC;SG
spartak	spartak	spartak	spartak		PROPN
carolina	carolina	carol	carolina	PROPN;NOM;SG;3	N;DEF;FEM;SG
janet	janet	janet	janet		PROPN
taşıdı	cărat	taşı	căra	V;PFV;IND;SG;3;POS;PST	ADJ;INDF;MASC;SG
okumak	citire	oku	citire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
okumak	citirea	oku	citire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
okumak	citire	oku	citire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
okumak	lectură	oku	lectură	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
ural	ural	ural	ural		N;INDF;MASC;SG
sembol	simbol	sembol	simbol		N;INDF;MASC;SG
sembol	simbolul	sembol	simbol		N;DEF;MASC;SG
christina	christina	christin	christina	PROPN;DAT;SG;3	N;DEF;FEM;SG
uzmanlık	specialitate	uzmanlık	specialitate	N;NOM;SG;3	N;INDF;FEM;SG
