oregon	oregon	oregon	oregon	PROPN;NOM;SG;3	N;MASC;SG
bakteri	bacterianas	bakteri	bacteriano		N;FEM;PL
bakteri	bactérias	bakteri	bactéria		N;FEM;PL
bakteri	bactéria	bakteri	bactéria		N;FEM;SG
bakteri	bactéria	bakteri	bactéria		N;FEM;SG
özlem	saudade	özlem	saudade		N;FEM;SG
tekil	únicos	tekil	único		ADJ;MASC;PL
tekil	único	tekil	único		ADJ;MASC;SG
tekil	única	tekil	único		ADJ;FEM;SG
tekil	únicas	tekil	único		ADJ;FEM;PL
tekil	singulares	tekil	singular		ADJ;MASC;PL
tekil	singular	tekil	singular		ADJ;MASC;SG
abdi	abdi	abdi	abdir		N;MASC;SG
leningrad	leningrado	leningrad	leningrar		V;MASC;SG;V.PTCP
castle	castelo	cast	castelo		N;MASC;SG
rain	xiaoyu	rain	xiaoyu		N;MASC;SG
rain	chuva	rain	chuva		N;FEM;SG
rain	chover	rain	chover		V;NFIN
rain	rain	rain	rain		N;MASC;SG
eugene	eugène	eugen	eugène	PROPN;NOM;SG;3	N;MASC;SG
eugene	eugene	eugen	eugene	PROPN;NOM;SG;3	PROPN;MASC;SG
çakmak	isqueiros	çak	isqueiro		N;MASC;PL
çakmak	isqueiro	çak	isqueiro		N;MASC;SG
evrimsel	evolutiva	evrimsel	evolutivo		ADJ;FEM;SG
evrimsel	evolutivo	evrimsel	evolutivo		ADJ;MASC;SG
spin	spin	spin	spin		N;MASC;SG
spin	girar	spin	girar		V;NFIN
kaldırma	remoção	kaldırma	remoção		N;FEM;SG
kaldırma	removendo	kaldırma	remover		V;V.MSDR
kaldırma	remover	kaldırma	remover		V;NFIN
kaldırma	levantar	kaldırma	levantar		V;NFIN
kaldırma	levante	kaldırma	levante		V;SBJV;SG;3;PRS;FIN
kaldırma	lift	kaldırma	lift		N;MASC;SG
kaldırma	elevador	kaldırma	elevador		N;MASC;SG
kaldırma	elevação	kaldırma	elevação		N;FEM;SG
kaldırma	levantar	kaldırma	levantar		V;NFIN
kaldırma	levantamento	kaldırma	levantamento		N;MASC;SG
kaldırma	levantando	kaldırma	levantar		V;V.MSDR
kaldırma	afastamento	kaldırma	afastamento		N;MASC;SG
kaldırma	remoção	kaldırma	remoção		N;FEM;SG
emmanuel	emanuel	emmanuel	emanuel		N;MASC;SG
emmanuel	emmanuel	emmanuel	emmanuel		N;MASC;SG
gregory	gregory	gregory	gregory		N;MASC;SG
gregory	gregório	gregory	gregório		N;MASC;SG
aşı	vacinas	aş	vacina		N;FEM;PL
aşı	inoculação	aş	inoculação		N;FEM;SG
aşı	vacinas	aş	vacina		N;FEM;PL
aşı	vacina	aş	vacina		N;FEM;SG
emiri	emiri	emir	emirir		N;MASC;SG
feneri	farol	fener	farol		N;MASC;SG
atanan	atribuídos	ata	atribuir		V;MASC;PL;V.PTCP
atanan	atribuído	ata	atribuir		V;MASC;SG;V.PTCP
atanan	atribuída	ata	atribuir		V;FEM;SG;V.PTCP
atanan	atribuídas	ata	atribuir		V;FEM;PL;V.PTCP
atanan	nomeados	ata	nomear		V;MASC;PL;V.PTCP
atanan	nomeado	ata	nomear		V;MASC;SG;V.PTCP
esasen	essencialmente	esasen	essencialmente		ADV
ahlak	morais	ahlak	moral	N;NOM;SG;3	N;MASC;PL
dimitri	dmitry	dimitri	dmitry		N;MASC;SG
dimitri	dmitri	dimitri	dmitri		N;MASC;SG
dimitri	dimitri	dimitri	dimitrir		N;MASC;SG
dimitri	dmitri	dimitri	dmitri		N;MASC;SG
dimitri	dimitri	dimitri	dimitrir		N;MASC;SG
duyuruldu	anunciados	duyur	anunciar	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;PL;V.PTCP
malmö	malmö	malmö	malmö	PROPN;NOM;SG;3	N;MASC;SG
sözde	pretensamente	söz	pretensamente		ADV
sözde	supostamente	söz	supostamente		ADV
sözde	alegado	söz	alegar		V;MASC;SG;V.PTCP
sözde	alegados	söz	alegar		V;MASC;PL;V.PTCP
sözde	alegada	söz	alegar		V;FEM;SG;V.PTCP
sözde	supostamente	söz	supostamente		ADV
sözde	pretensamente	söz	pretensamente		ADV
sözde	alegadamente	söz	alegadamente		ADV
şiddetle	fortemente	şiddet	fortemente	N;INS;SG;3	ADV
şiddetle	violentamente	şiddet	violentamente	N;INS;SG;3	ADV
şiddetle	ferozmente	şiddet	ferozmente	N;INS;SG;3	ADV
ajan	agentes	aj	agente		N;MASC;PL
ajan	agente	aj	agente		N;MASC;SG
harrison	harrison	harrison	harrison	PROPN;NOM;SG;3	N;MASC;SG
logosu	logo	logo	logo	N;NOM;SG;3	ADV
yasin	yasin	yasin	yasin		N;MASC;SG
yasin	yassin	yasin	yassin		N;MASC;SG
kaçak	runner	kaçak	runner		N;MASC;SG
kaçak	corredor	kaçak	corredor		N;MASC;SG
kaçak	fugitiva	kaçak	fugitivo		N;FEM;SG
kaçak	fugitivos	kaçak	fugitivo		N;MASC;PL
kaçak	fugitivo	kaçak	fugitivo		N;MASC;SG
kaçak	fugitiva	kaçak	fugitivo		N;FEM;SG
çevirmen	tradutor	çevir	tradutor		N;MASC;SG
çevirmen	tradutora	çevir	tradutora		N;FEM;SG
çevirmen	interprete	çevir	interpretar		N;MASC;SG
çevirmen	intérprete	çevir	intérprete		N;MASC;SG
çevirmen	traduções	çevir	tradução		N;FEM;PL
çevirmen	tradução	çevir	tradução		N;FEM;SG
korunma	proteção	korun	proteção		N;FEM;SG
korunma	protecção	korun	protecção		N;FEM;SG
işçiler	assalariados	işçi	assalariado	N;NOM;PL;3	V;MASC;PL;V.PTCP
devil	diabo	devil	diabo		N;MASC;SG
devil	devil	devil	devil		N;MASC;SG
devil	demônio	devil	demônio		N;MASC;SG
connecticut	connecticut	connecticut	connecticut		N;MASC;SG
uyku	soneca	uyku	sonecar		N;FEM;SG
uyku	cochilo	uyku	cochilo		N;MASC;SG
uyku	sesta	uyku	sesta		N;FEM;SG
uyku	dormir	uyku	dormir		V;NFIN
uyku	dorme	uyku	dorme		V;IND;SG;3;PRS;FIN
uyku	durma	uyku	dormir		V;SBJV;SG;3;PRS;FIN
uyku	sono	uyku	sono		N;MASC;SG
uyku	dormindo	uyku	dormir		V;V.MSDR
uyku	dormir	uyku	dormir		V;NFIN
meksikalı	mexicanos	meksikalı	mexicano		N;MASC;PL
meksikalı	mexicana	meksikalı	mexicano		N;FEM;SG
meksikalı	mexicanas	meksikalı	mexicano		N;FEM;PL
meksikalı	mexicano	meksikalı	mexicano		N;MASC;SG
tanıma	reconhecimento	tanım	reconhecimento		N;MASC;SG
colin	colin	colin	colin		N;MASC;SG
kubbe	dome	kubbe	domer		N;MASC;SG
kubbe	cúpula	kubbe	cúpula		N;FEM;SG
kubbe	domo	kubbe	domo		N;MASC;SG
rakam	algarismos	rakam	algarismo		N;MASC;PL
rakam	dígitos	rakam	dígito		N;MASC;PL
rakam	dígito	rakam	dígito		N;MASC;SG
rakam	algarismo	rakam	algarismo		N;MASC;SG
rakam	número	rakam	número		N;MASC;SG
rakam	numero	rakam	numero		N;MASC;SG
rakam	numeral	rakam	numeral		ADJ;MASC;SG
jules	jules	jules	jule		N;MASC;SG
imal	fabricados	imal	fabricar		V;MASC;PL;V.PTCP
imal	fabricado	imal	fabricar		V;MASC;SG;V.PTCP
imal	fabricada	imal	fabricar		V;FEM;SG;V.PTCP
imal	fabricadas	imal	fabricar		V;FEM;PL;V.PTCP
patrik	patriarca	patrik	patriarca		N;MASC;SG
asil	noble	asil	noble		N;MASC;SG
asil	nobres	asil	nobre		N;MASC;PL
asil	nobre	asil	nobre		N;MASC;SG
sürpriz	surpresa	sürpriz	surpresa		N;FEM;SG
sürpriz	surpreenda	sürpriz	surpreenda		V;SBJV;SG;3;PRS;FIN
hotspur	hotspur	hotspur	hotspur	PROPN;NOM;SG;3	N;MASC;SG
biter	pontas	bit	ponta	V;IPFV;IND;SG;3;POS	N;FEM;PL
biter	termina	bit	terminar	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
biter	extremidades	bit	extremidade	V;IPFV;IND;SG;3;POS	N;FEM;PL
esnek	flexíveis	esnek	flexível		ADJ;MASC;PL
esnek	flexível	esnek	flexível		ADJ;MASC;SG
esnek	flexibilidade	esnek	flexibilidade		N;FEM;SG
esnek	elástica	esnek	elástica		N;FEM;SG
esnek	elástico	esnek	elástico		N;MASC;SG
esnek	elásticos	esnek	elástico		N;MASC;PL
esnek	flex	esnek	flex		N;MASC;SG
cameron	cameron	cameron	cameron	PROPN;NOM;SG;3	N;MASC;SG
lopez	lópez	lopez	lópez		PROPN;MASC;SG
lopez	lopez	lopez	lopez		N;FEM;SG
şikâyet	reclamação	şikâyet	reclamação		N;FEM;SG
şikâyet	denúncia	şikâyet	denúncia		N;FEM;SG
şikâyet	queixa	şikâyet	queixa		N;FEM;SG
kalıntılar	permanece	kalıntı	permanecer	N;NOM;PL;3	V;IND;SG;3;PRS;FIN
kalıntılar	resíduo	kalıntı	resíduo	N;NOM;PL;3	N;MASC;SG
günah	pecado	günah	pecado		N;MASC;SG
günah	pecar	günah	pecar		V;NFIN
günah	sin	günah	sin		N;MASC;SG
günah	pecados	günah	pecado		N;MASC;PL
mide	estomago	mide	estomago		N;MASC;SG
mide	estômago	mide	estômago		N;MASC;SG
mide	barriga	mide	barriga		N;FEM;SG
parma	parma	parma	parma	PROPN;NOM;SG;3	N;MASC;SG
mehdi	mehdi	mehdi	mehdi		N;MASC;SG
denizci	marinheiros	denizci	marinheiro		N;MASC;PL
denizci	sailor	denizci	sailor		N;MASC;SG
denizci	marujo	denizci	marujo		N;MASC;SG
denizci	marinheiro	denizci	marinheiro		N;MASC;SG
denizci	marinha	denizci	marinho		N;FEM;SG
denizci	marine	denizci	marine		N;MASC;SG
denizci	marinho	denizci	marinho		N;MASC;SG
denizci	marinhos	denizci	marinho		N;MASC;PL
denizci	marinheiro	denizci	marinheiro		N;MASC;SG
rika	rika	rika	rika	PROPN;NOM;SG;3	N;FEM;SG
joel	joel	joel	joel		N;MASC;SG
elena	helena	elen	heleno		N;FEM;SG
elena	elena	elen	elenar		N;FEM;SG
elena	yelena	elen	yelena		N;FEM;SG
volga	volga	volga	volga		N;MASC;SG
kanatlı	alado	kanatlı	alado		N;MASC;SG
vestfalya	vestfália	vestfalya	vestfálio	PROPN;NOM;SG;3	N;FEM;SG
vestfalya	vestefália	vestfalya	vestefália	PROPN;NOM;SG;3	N;FEM;SG
crystal	cristal	crystal	cristal	PROPN;NOM;SG;3	N;MASC;SG
crystal	cristais	crystal	cristal	PROPN;NOM;SG;3	N;MASC;PL
crystal	crystal	crystal	crystal	PROPN;NOM;SG;3	N;MASC;SG
julian	julian	julian	julian		N;MASC;SG
julian	juliano	julian	juliano		N;MASC;SG
julian	julián	julian	julián		N;MASC;SG
beklenmedik	inesperada	bekle	inesperado	V;PFV;POT;PL;1;NEG;PST	ADJ;FEM;SG
beklenmedik	inesperados	bekle	inesperado	V;PFV;POT;PL;1;NEG;PST	ADJ;MASC;PL
beklenmedik	inesperadas	bekle	inesperado	V;PFV;POT;PL;1;NEG;PST	ADJ;FEM;PL
beklenmedik	inesperado	bekle	inesperado	V;PFV;POT;PL;1;NEG;PST	ADJ;MASC;SG
duyarlı	sensíveis	duyarlı	sensível		ADJ;MASC;PL
duyarlı	sensível	duyarlı	sensível		ADJ;MASC;SG
duyarlı	sensibilidade	duyarlı	sensibilidade		N;FEM;SG
şampiyonları	champions	şampiyon	champions	N;NOM;PL;3	N;MASC;SG
fritz	fritz	fritz	fritz	PROPN;NOM;SG;3	N;MASC;SG
etken	factor	etken	factor		N;MASC;SG
etken	fator	etken	fator		N;MASC;SG
zincir	correntes	zincir	corrente	N;NOM;SG;3	N;MASC;PL
zincir	cadeias	zincir	cadeia	N;NOM;SG;3	N;FEM;PL
mekaniği	mecânicos	mekanik	mecânico	N;NOM;SG;3	N;MASC;PL
depo	armazém	depo	armazém		N;MASC;SG
depo	entreposto	depo	entreposto		N;MASC;SG
depo	armazenagem	depo	armazenagem		N;FEM;SG
depo	armazenamento	depo	armazenamento		N;MASC;SG
depo	repositório	depo	repositório		N;MASC;SG
nişan	aim	nişan	aim		N;MASC;SG
nişan	pontaria	nişan	pontaria		N;FEM;SG
nişan	apontar	nişan	apontar		V;NFIN
nişan	april	nişan	april		N;FEM;SG
nişan	abril	nişan	abril		N;MASC;SG
nişan	noivado	nişan	noivado		N;MASC;SG
nişan	interação	nişan	interação		N;FEM;SG
nişan	envolvimento	nişan	envolvimento		N;MASC;SG
burton	burton	burton	burton		N;MASC;SG
stanford	stanford	stanford	stanford	PROPN;NOM;SG;3	N;MASC;SG
hac	peregrinação	hac	peregrinação		N;FEM;SG
hac	hajj	hac	hajj		N;MASC;SG
planlı	regulares	planlı	regular		ADJ;MASC;PL
planlı	programada	planlı	programar		V;FEM;SG;V.PTCP
planlı	agendada	planlı	agendar		V;FEM;SG;V.PTCP
planlı	programados	planlı	programar		V;MASC;PL;V.PTCP
planlı	agendado	planlı	agendar		V;MASC;SG;V.PTCP
planlı	programado	planlı	programar		V;MASC;SG;V.PTCP
planlı	planeado	planlı	planear		V;MASC;SG;V.PTCP
planlı	planejou	planlı	planejar		V;IND;SG;3;PST;FIN
planlı	planejado	planlı	planejar		V;MASC;SG;V.PTCP
planlı	planejada	planlı	planejar		V;FEM;SG;V.PTCP
planlı	planeada	planlı	planear		V;FEM;SG;V.PTCP
çerçeve	molduras	çerçev	moldura	N;NOM;SG;3	N;FEM;PL
çerçeve	armações	çerçev	armação	N;NOM;SG;3	N;FEM;PL
çerçeve	quadros	çerçev	quadro	N;NOM;SG;3	N;MASC;PL
artı	arti	artı	arti		N;MASC;SG
artı	plus	artı	plus		N;MASC;SG
protokol	protocolos	protokol	protocolo		N;MASC;PL
protokol	protocolo	protokol	protocolo		N;MASC;SG
edinburgh	edimburgo	edinburgh	edimburgo	PROPN;NOM;SG;3	N;MASC;SG
tanımlama	definição	tanımla	definição	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
tanımlama	identificação	tanımla	identificação	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
tanımlama	descrição	tanımla	descrição	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
tanımlama	caracterização	tanımla	caracterização	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
rovers	rovers	rovers	rover		N;MASC;PL
disiplin	disciplinares	dis	disciplinar	N;NOM;SG;3	N;MASC;PL
tutulması	eclipses	tut	eclipse	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;PL
tutulması	eclipse	tut	eclipse	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
jedi	jedi	jedi	jedi		N;MASC;SG
torres	torres	torres	torres	PROPN;NOM;SG;3	N;FEM;PL
kompleks	complexas	kompleks	complexo		ADJ;FEM;PL
kompleks	complexo	kompleks	complexo		ADJ;MASC;SG
kompleks	complexos	kompleks	complexo		ADJ;MASC;PL
kompleks	complexa	kompleks	complexo		ADJ;FEM;SG
lazio	lazio	lazio	lazio	PROPN;NOM;SG;3	N;MASC;SG
lazio	lácio	lazio	lácio	PROPN;NOM;SG;3	N;MASC;SG
nevada	nevada	neva	nevar	PROPN;NOM;SG;3	N;FEM;SG
irfan	irfan	irfan	irfan		N;MASC;SG
eskimo	esquimós	eskimo	esquimó		N;MASC;PL
eskimo	esquimós	eskimo	esquimó		N;MASC;PL
eskimo	esquimó	eskimo	esquimó		N;MASC;SG
eskimo	inuit	eskimo	inuit		N;MASC;PL
eskimo	iglu	eskimo	iglu		N;MASC;SG
ekvador	equador	ekvador	equador	PROPN;NOM;SG;3	N;MASC;SG
çeşitlilik	diversidades	çeşitlilik	diversidade	N;NOM;SG;3	N;FEM;PL
sankt	sankt	sankt	sankt	PROPN;NOM;SG;3	N;MASC;SG
barselona	barcelona	barselon	barcelona	PROPN;NOM;SG;3	N;FEM;SG
çekilmesi	retirada	çek	retirada	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;FEM;SG
çekilmesi	abstinência	çek	abstinência	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;FEM;SG
fosil	fósseis	fosil	fóssil		N;MASC;PL
fosil	fóssil	fosil	fóssil		N;MASC;SG
fosil	fósseis	fosil	fóssil		N;MASC;PL
tevrat	torá	tevrat	tor		N;FEM;SG
silindir	cilindro	sil	cilindro	V;PFV;IND;SG;3;POS;PST;PASS	N;MASC;SG
silindir	cilindros	sil	cilindro	V;PFV;IND;SG;3;POS;PST;PASS	N;MASC;PL
silindir	cilindros	sil	cilindro	V;PFV;IND;SG;3;POS;PST;PASS	N;MASC;PL
market	mercearia	market	mercearia		N;FEM;SG
market	mercado	market	mercado		N;MASC;SG
milas	milas	milas	mila	PROPN;NOM;SG;3	N;FEM;PL
chi	chi	chi	chi		N;MASC;SG
nitelikli	qualificadas	nitelikli	qualificar		V;FEM;PL;V.PTCP
nitelikli	qualificada	nitelikli	qualificar		V;FEM;SG;V.PTCP
nitelikli	qualificado	nitelikli	qualificado		V;MASC;SG;V.PTCP
nitelikli	qualificados	nitelikli	qualificar		V;MASC;PL;V.PTCP
şii	xiitas	şii	xiita		N;MASC;PL
şii	xiita	şii	xiita		N;MASC;SG
azalır	diminui	azal	diminuir	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
azalır	diminuições	azal	diminuição	V;IPFV;IND;SG;3;POS	N;FEM;PL
nbc	nbc	nbc	nbc		N;FEM;SG
uzaklık	distâncias	uzaklık	distância	N;NOM;SG;3	N;FEM;PL
milyonlarca	milhões	milyonlarca	milhão	NUM	N;MASC;PL
milyonlarca	milhoes	milyonlarca	milho	NUM	N;MASC;PL
yaratmak	criação	yarat	criação	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
dâhil	incluído	dâhil	incluir		V;MASC;SG;V.PTCP
dâhil	incluídas	dâhil	incluir		V;FEM;PL;V.PTCP
dâhil	incluso	dâhil	incluso		V;MASC;SG;V.PTCP
dâhil	incluido	dâhil	incluir		V;MASC;SG;V.PTCP
dâhil	incluídos	dâhil	incluir		V;MASC;PL;V.PTCP
savcı	promotor	savcı	promotor		N;MASC;SG
savcı	procurador	savcı	procurador		N;MASC;SG
winter	inverno	winte	inverno	PROPN;NOM;SG;3	N;MASC;SG
israilli	israelita	israilli	israelita		N;MASC;SG
israilli	israelense	israilli	israelense		ADJ;MASC;SG
israilli	israelenses	israilli	israelense		N;MASC;PL
israilli	israelitas	israilli	israelita		N;MASC;PL
iade	restituição	iade	restituição		N;FEM;SG
iade	reembolso	iade	reembolso		N;MASC;SG
iade	devoluções	iade	devolução		N;FEM;PL
iade	devolve	iade	devolver		V;IND;SG;3;PRS;FIN
iade	retornos	iade	retorno		N;MASC;PL
iade	retorna	iade	retornar		V;IND;SG;3;PRS;FIN
iade	devolução	iade	devolução		N;FEM;SG
iade	retornar	iade	retornar		V;NFIN
iade	retorno	iade	retorno		N;MASC;SG
iade	regresso	iade	regresso		N;MASC;SG
iade	extradição	iade	extradição		N;FEM;SG
sola	esquerdo	sola	esquerdo		N;MASC;SG
sola	left	sola	left		N;MASC;SG
sola	esquerda	sola	esquerda		N;FEM;SG
sola	partiu	sola	partir		V;IND;SG;3;PST;FIN
maggie	maggie	maggie	maggie		N;FEM;SG
bıçak	lâmina	bıçak	lâmina		N;FEM;SG
bıçak	blade	bıçak	blade		N;MASC;SG
bıçak	facas	bıçak	faca		N;FEM;PL
bıçak	faca	bıçak	facar		N;FEM;SG
nikola	nicola	nikol	nicola		N;MASC;SG
nikola	nikola	nikol	nikola		N;MASC;SG
kaldırmak	remoção	kal	remoção	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;FEM;SG
kaldırmak	elevação	kal	elevação	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;FEM;SG
kaldırmak	levantamento	kal	levantamento	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;MASC;SG
nietzsche	nietzsche	nietzsche	nietzsche		N;MASC;SG
ntv	ntv	itv	ntv		N;MASC;SG
komut	comandos	komut	comando		N;MASC;PL
komut	comando	komut	comando		N;MASC;SG
komut	comandar	komut	comandar		V;NFIN
kayalık	rochoso	kayalık	rochoso		N;MASC;SG
kayalık	rocky	kayalık	rocky		N;MASC;SG
görüşme	entrevista	görüşme	entrevista		N;FEM;SG
statik	estáticos	statik	estático		ADJ;MASC;PL
statik	estático	statik	estático		ADJ;MASC;SG
statik	estática	statik	estático		ADJ;FEM;SG
statik	estáticas	statik	estático		ADJ;FEM;PL
lima	lima	lima	lima	PROPN;NOM;SG;3	N;MASC;SG
baltimore	baltimore	baltimore	baltimore	PROPN;NOM;SG;3	N;MASC;SG
diferansiyel	diferenciais	diferansiyel	diferencial	N;NOM;SG;3	N;MASC;PL
aydınlık	leve	aydınlık	levar	N;NOM;SG;3	V;SBJV;SG;3;PRS;FIN
aydınlık	brilhante	aydınlık	brilhante	N;NOM;SG;3	ADJ;MASC;SG
aydınlık	brilhantes	aydınlık	brilhante	N;NOM;SG;3	N;MASC;PL
ine	ine	in	ine		N;MASC;SG
felix	felix	felix	felix		N;MASC;SG
felix	félix	felix	félix		N;MASC;SG
neolitik	neolítico	neolitik	neolítico		N;MASC;SG
maryland	maryland	marylan	maryland	PROPN;NOM;SG;3	N;MASC;SG
glory	glórias	glory	glória		N;FEM;PL
glory	glória	glory	glória		N;FEM;SG
glory	glory	glory	glory		N;MASC;SG
sorar	pede	sor	pedir		V;IND;SG;3;PRS;FIN
brad	brad	brad	brad		N;MASC;SG
randy	randy	randy	randy		N;MASC;SG
kilit	fechadura	kilit	fechadura		N;FEM;SG
kilit	lock	kilit	lock		N;MASC;SG
kilit	trancar	kilit	trancar		V;NFIN
kilit	cadeado	kilit	cadeado		N;MASC;SG
kilit	bloqueamento	kilit	bloqueamento		N;MASC;SG
kilit	cadeados	kilit	cadeado		N;MASC;PL
kilit	fechaduras	kilit	fechadura		N;FEM;PL
kıdemli	antiguidade	kıdemli	antiguidade		N;FEM;SG
kıdemli	seniores	kıdemli	senior		N;MASC;PL
kıdemli	senior	kıdemli	senior		N;MASC;SG
kıdemli	finalista	kıdemli	finalista		N;MASC;SG
kıdemli	sênior	kıdemli	sênior		N;MASC;SG
kıdemli	sénior	kıdemli	sénior		N;MASC;SG
sektörü	sector	sektör	sector		N;MASC;SG
sektörü	setor	sektör	setor		N;MASC;SG
igor	egor	igor	egor		N;MASC;SG
igor	igor	igor	igor		N;MASC;SG
miles	miles	miles	mile		N;MASC;SG
miles	quilómetros	miles	quilómetro		N;MASC;PL
miles	milhas	miles	milha		N;FEM;PL
hatice	khadija	hatice	khadija		N;FEM;SG
tecrübeli	experiente	tecrübeli	experiente		ADJ;MASC;SG
tecrübeli	experientes	tecrübeli	experiente		N;MASC;PL
tecrübeli	experimentado	tecrübeli	experimentar		V;MASC;SG;V.PTCP
borç	dividas	borç	divida		N;FEM;PL
borç	débitos	borç	débito		N;MASC;PL
borç	dívidas	borç	dívida		N;FEM;PL
borç	empréstimo	borç	empréstimo		N;MASC;SG
borç	dívida	borç	dívida		N;FEM;SG
borç	dívidas	borç	dívida		N;FEM;PL
yönetmenlik	dirigir	yönetmenlik	dirigir	N;NOM;SG;3	V;NFIN
yönetmenlik	orientando	yönetmenlik	orientar	N;NOM;SG;3	V;V.MSDR
çekme	rebocar	çek	rebocar		V;NFIN
çekme	reboque	çek	reboque		N;MASC;SG
viktor	vítor	viktor	vítor		N;MASC;SG
viktor	viktor	viktor	viktor		N;MASC;SG
sincan	xinjiang	sincan	xinjiang	PROPN;NOM;SG;3	N;FEM;SG
claire	claire	claire	claire		N;FEM;SG
étienne	étienne	üt	étienne		N;MASC;SG
étienne	etienne	üt	etienne		N;MASC;SG
spurs	esporas	spurs	espora	PROPN;NOM;SG;3	N;FEM;PL
spurs	spurs	spurs	spur	PROPN;NOM;SG;3	N;MASC;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;MASC;SG
çifti	casal	çift	casal	ADJ;NOM;SG;3	N;MASC;SG
tanık	testemunhas	tanık	testemunha		N;FEM;PL
tanık	testemunha	tanık	testemunha		N;FEM;SG
tanık	testemunhar	tanık	testemunhar		V;NFIN
tanık	testemunhou	tanık	testemunhar		V;IND;SG;3;PST;FIN
tanık	testemunhado	tanık	testemunhar		V;MASC;SG;V.PTCP
hafız	hafiz	hafız	hafiz		N;MASC;SG
belarus	bielorússia	belarus	bielorússia	PROPN;NOM;SG;3	N;FEM;SG
belarus	bielorrusso	belarus	bielorrusso	PROPN;NOM;SG;3	N;MASC;SG
belarus	bielorrússia	belarus	bielorrússia	PROPN;NOM;SG;3	N;FEM;SG
periyodik	periódico	periyodik	periódico		N;MASC;SG
periyodik	periódica	periyodik	periódico		N;FEM;SG
periyodik	periódicos	periyodik	periódico		N;MASC;PL
periyodik	periódico	periyodik	periódico		N;MASC;SG
periyodik	periódica	periyodik	periódico		N;FEM;SG
periyodik	periódicos	periyodik	periódico		N;MASC;PL
çömlek	cerâmica	çömlek	cerâmica		N;FEM;SG
falcon	falcon	falcon	falcon		N;MASC;SG
falcon	falcão	falcon	falcão		N;MASC;SG
jamie	jamie	jamie	jamie		N;MASC;SG
boğa	touro	boğa	touro		N;MASC;SG
boğa	taurus	boğa	tauru		N;MASC;SG
boğa	touro	boğa	touro		N;MASC;SG
boğa	boi	boğa	boi		N;MASC;SG
boğa	bull	boğa	bull		N;MASC;SG
norveçli	noruegueses	norveçli	norueguês		N;MASC;PL
norveçli	norueguesa	norveçli	norueguês		N;FEM;SG
norveçli	norueguês	norveçli	norueguês		N;MASC;SG
mutfak	culinária	mutfak	culinário		N;FEM;SG
mutfak	cozinha	mutfak	cozinha		N;FEM;SG
mutfak	gastronomia	mutfak	gastronomia		N;FEM;SG
mutfak	cozinha	mutfak	cozinha		N;FEM;SG
eleştirmen	crítico	eleştir	crítico		N;MASC;SG
eleştirmen	critico	eleştir	critico		N;MASC;SG
eleştirmen	crítica	eleştir	crítico		N;FEM;SG
gilbert	gilberto	gilbert	gilberto		N;MASC;SG
gilbert	gilbert	gilbert	gilbert		N;MASC;SG
spartak	spartak	spartak	spartak		N;MASC;SG
carolina	carolinas	carol	carolina	PROPN;NOM;SG;3	N;FEM;PL
carolina	carolina	carol	carolina	PROPN;NOM;SG;3	N;FEM;SG
janet	janet	janet	janet		N;FEM;SG
okumak	leia	oku	ler	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SBJV;SG;3;PRS;FIN
okumak	leitura	oku	leitura	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
ural	ural	ural	ural		N;MASC;SG
ural	urais	ural	ural		N;MASC;PL
sembol	símbolo	sembol	símbolo		N;MASC;SG
sembol	simbolo	sembol	simbolo		N;MASC;SG
sembol	símbolos	sembol	símbolo		N;MASC;PL
sembol	chevron	sembol	chevron		N;FEM;SG
hicaz	hejaz	hicaz	hejaz		N;MASC;SG
christina	christina	christin	christina	PROPN;DAT;SG;3	N;FEM;SG
christina	cristina	christin	cristina	PROPN;DAT;SG;3	N;FEM;SG
bildirir	notifica	bil	notificar	V;IPFV;IND;SG;3;POS;CAUS	V;IND;SG;3;PRS;FIN
mesih	messias	mesih	messia		N;MASC;SG
keşfi	descobertas	keşif	descobrir		V;FEM;PL;V.PTCP
keşfi	descoberta	keşif	descoberta		N;FEM;SG
keşfi	discovery	keşif	discovery		N;MASC;SG
chaplin	chaplin	chaplin	chaplin		N;MASC;SG
tay	potro	tay	potro		N;MASC;SG
tay	colt	tay	colt		N;MASC;SG
tay	tay	tay	tay		N;MASC;SG
johan	johan	johan	johan		N;MASC;SG
