til	for	til	for	ADV	ADP
fuld	mett	fuld	mett	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
fuld	fyllik	fuld	fyllik	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
formentlig	trolig	formentlig	trolig	ADV	ADJ;INDF;NEUT;SG
formentlig	sikkert	formentlig	sikker	ADV	ADJ;INDF;NEUT;SG
formentlig	antakelig	formentlig	antakelig	ADV	N;INDF;MASC;SG
formentlig	antagelig	formentlig	antagelig	ADV	ADJ;INDF;NEUT;SG
formentlig	formodentlig	formentlig	formodentlig	ADV	ADJ;INDF;NEUT;SG
formentlig	antakelig	formentlig	antakelig	ADV	N;INDF;MASC;SG
gods	varer	gods	vare	N;INDF;NEUT;SG	N;INDF;FEM;PL
ført	ledet	føre	lede	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
ført	led	føre	led	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
ført	ført	føre	føre	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
billedet	bilde	billede	bilde	N;DEF;NEUT;SG	N;INDF;NEUT;SG
byggede	bygget	bygge	bygg	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
byggede	bygde	bygge	byggje	V;IND;PST;FIN;ACT	ADJ;PL;V.PTCP
byggede	bygd	bygge	byggje	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
indført	introdusert	indføre	introdusere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
indført	introduserte	indføre	introdusere	V;INDF;SG;PST;V.PTCP	ADJ;PL;V.PTCP
indført	innført	indføre	innføre	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
indført	presentert	indføre	presentere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
edward	edvard	edward	edvard		N;INDF;MASC;SG
edward	edward	edward	edward		N;INDF;MASC;SG
slå	beat	slå	beit	V;NFIN;ACT	N;INDF;MASC;SG
slå	sio	slå	sio	V;NFIN;ACT	N;INDF;MASC;SG
slå	treff	slå	treff	V;NFIN;ACT	N;INDF;NEUT;SG
privat	menig	privat	menig	ADJ;INDF;SG	N;INDF;MASC;SG
privat	enerom	privat	enerom	ADJ;INDF;SG	N;INDF;MASC;SG
privat	private	privat	privat	ADJ;INDF;SG	ADJ;PL
white	hvit	white	hvit		N;INDF;MASC;SG
white	white	white	white		N;INDF
white	hvitt	white	hvi		N;INDF;NEUT;SG
white	hvite	white	hvite		N;INDF;NEUT;SG
åbnet	åpnet	åbne	åpn	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
silkeborg	silkeborg	silkeborg	silkeborg		N;INDF;NEUT;SG
arne	arne	arne	arne	PROPN	N;MASC
manglende	lack	mangle	lack	V;PRS;V.PTCP	N
manglende	mangle	mangle	mangle	V;PRS;V.PTCP	N;INDF;MASC;SG
manglende	mangel	mangle	mangel	V;PRS;V.PTCP	N;INDF;MASC;SG
manglende	manglende	mangle	manglende	V;PRS;V.PTCP	N;INDF;NEUT;SG
manglende	savnet	mangle	savn	V;PRS;V.PTCP	N;DEF;NEUT;SG
manglende	forsvunnet	mangle	forsvinne	V;PRS;V.PTCP	N;DEF;NEUT;SG
klassiske	klassisk	klassisk	klassisk	ADJ;PL	ADJ;INDF;NEUT;SG
klassiske	klassiker	klassisk	klassiker	ADJ;PL	N;INDF;MASC;SG
klassiske	classic	klassisk	classic	ADJ;PL	N
stigende	dyrket	stige	dyrke	V;PRS;V.PTCP	N;DEF;NEUT;SG
stigende	vokser	stige	vokse	V;PRS;V.PTCP	N;INDF;NEUT;SG
stigende	voksende	stige	voksende	V;PRS;V.PTCP	N;INDF;MASC;SG
stigende	øker	stige	øker	V;PRS;V.PTCP	N;INDF;MASC;SG
stigende	økende	stige	økende	V;PRS;V.PTCP	N;INDF;MASC;SG
stigende	stigende	stige	stigende	V;PRS;V.PTCP	N;INDF;MASC;SG
stigende	stiger	stige	stige	V;PRS;V.PTCP	N;INDF;MASC;SG
stigende	oppgang	stige	oppgang	V;PRS;V.PTCP	N;INDF;MASC;SG
stigende	stigende	stige	stigende	V;PRS;V.PTCP	N;INDF;MASC;SG
konservative	konservativ	konservativ	konservativ	ADJ;PL	ADJ;INDF;SG
konservative	konservativt	konservativ	konservativ	ADJ;PL	ADJ;INDF;NEUT;SG
vor	våre	vores	vår	DET;MASC+FEM;SG;1	PRO;PL
vor	vår	vores	vår	DET;MASC+FEM;SG;1	PRO;MASC;SG
vor	vårt	vores	vår	DET;MASC+FEM;SG;1	PRO;NEUT;SG
scott	scott	scott	scott		N;INDF;MASC;SG
super	supert	supe	super	N;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
super	super	supe	super	N;INDF;MASC+FEM;SG	ADJ;INDF;SG
føre	lede	føre	lede	V;NFIN;ACT	N;INDF;MASC;SG
føre	bly	føre	bly	V;NFIN;ACT	N;INDF;NEUT;SG
føre	føre	føre	føre	V;NFIN;ACT	ADP
grænse	grensen	grænse	grens	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
forenede	forent	forene	forent	V;PL;PST;V.PTCP	N;INDF;MASC;SG
forenede	united	forene	unite	V;PL;PST;V.PTCP	ADJ;INDF;SG
liga	liga	liga	lige	N;INDF;MASC+FEM;SG	ADJ;INDF;SG;V.PTCP
liga	liga	liga	lige	N;INDF;MASC+FEM;SG	ADJ;INDF;SG;V.PTCP
house	huset	house	hus	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
sport	idretter	sport	idretter	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
henning	henning	henning	henning		N;INDF;FEM;SG
heinrich	heinrich	heinrich	heinrich		N;INDF;MASC;SG
angriber	angriper	angriber	angripe	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
angriber	angrip	angriber	angrip	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
angriber	angriper	angriber	angripe	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
angriber	angrepet	angriber	angrep	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
angriber	overgriperen	angriber	overgriper	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
angriber	angriper	angriber	angripe	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
axel	axel	axel	axel		N;INDF;MASC;SG
værdi	verdien	værdi	verdi	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
lukket	lukka	lukke	lukke	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
lukket	lukket	lukke	lukk	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
lukket	stengt	lukke	stenge	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
fordelt	distribuert	fordele	distribuere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
fordelt	fordelt	fordele	fordele	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
oversættelse	oversettelsen	oversættelse	oversettelse	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
planer	planlegger	plan	planleggje	N;INDF;MASC+FEM;PL	V;IND;PRS;FIN
planer	planene	plan	plan	N;INDF;MASC+FEM;PL	N;DEF;MASC;PL
falder	dropper	falde	droppe	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
falder	fallende	falde	fallende	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
falder	detter	falde	detter	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
falder	falls	falde	falls	V;IND;PRS;FIN;ACT	N;INDF;SG
falder	fallet	falde	fall	V;IND;PRS;FIN;ACT	N;DEF;NEUT;SG
falder	høst	falde	høst	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
falder	fall	falde	falle	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
falder	høsten	falde	høst	V;IND;PRS;FIN;ACT	N;DEF;MASC;SG
falder	falle	falde	falle	V;IND;PRS;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
kender	know	kende	know	V;IND;PRS;FIN;ACT	
kender	kjenn	kende	kjenn	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
major	majoren	major	major		N;DEF;MASC;SG
major	major	major	major		N;INDF;MASC;SG
major	dur	major	dur		N;INDF;MASC;SG
major	avdelingsleder	major	avdelingslede		N;INDF;FEM;PL
natten	night	nat	night	N;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
natten	kveld	nat	kveld	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
natten	natt	nat	natt	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
romersk	romersk	romersk	romersk	N;INDF;MASC+FEM;SG	ADJ;INDF;SG
funktion	fungerer	funktion	fungere	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
funktion	funksjonen	funktion	funksjon	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
madrid	madrid	madrid	madrid	PROPN	N;INDF;MASC;SG
video	videoen	video	video	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
finske	finsk	finsk	finsk	ADJ;PL	N;INDF;MASC;SG
udlandet	utenlands	udland	utenlands	N;DEF;NEUT;SG	N;INDF;MASC;SG
udlandet	utland	udland	utland	N;DEF;NEUT;SG	N;INDF;NEUT;SG
rum	rommet	rum	rom	N;INDF;NEUT;SG	N;DEF;NEUT;SG
rum	verdensrommet	rum	verdensrom	N;INDF;NEUT;SG	N;DEF;NEUT;SG
relativt	relativt	relativt	relativ	ADV	ADJ;INDF;NEUT;SG
omfattede	inkludert	omfatte	inkludere	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
øerne	øyer	øerne	øyer	N;DEF;NEUT;PL	N;INDF;FEM;PL
websted	nettstedet	websted	nettsted	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
sønner	sons	søn	sons	N;INDF;MASC+FEM;PL	N;INDF;SG
sønner	sønner	søn	sønne	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
jesper	jesper	jesp	jespe	PROPN	N;INDF;MASC;SG
parken	park	park	park	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
hitler	hitler	hitle	hitler	N;INDF;MASC+FEM;SG	PROPN
johann	johann	johann	johann		N;INDF;MASC;SG
anvendelse	applikasjonen	anvendelse	applikasjon	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
anvendelse	bruke	anvendelse	bruke	N;INDF;MASC+FEM;SG	V;NFIN
anvendelse	bruken	anvendelse	bruk	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
farver	farge	farve	farge	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
farver	farge	farve	farge	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
stærke	sterk	stærk	sterk	ADJ;PL	ADJ;INDF;SG
stærke	strong	stærk	strong	ADJ;PL	N;INDF;MASC;SG
stærke	sterkt	stærk	sterk	ADJ;PL	ADJ;INDF;NEUT;SG
emil	emil	emil	emil		N;INDF;MASC;SG
ydre	ytre	ydre	ytre	ADJ	ADJ;CMPR
udgjorde	konstituerte	udgjorde	konstituere	V;IND;PST;FIN;ACT	ADJ;PL;V.PTCP
webside	nettstedet	webside	nettsted	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
bredde	bredde	bredde	bredde	N;INDF;MASC+FEM;SG	ADJ;SG
toppen	øverst	top	øver	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
toppen	overdel	top	overdel	N;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
toppen	topp	top	topp	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
indledende	innledende	indlede	innledende	V;PRS;V.PTCP	N;INDF;MASC;SG
indledende	foreløpig	indlede	foreløpig	V;PRS;V.PTCP	ADJ;INDF;NEUT;SG
indledende	foreløpige	indlede	foreløpig	V;PRS;V.PTCP	ADJ;PL
udvalg	utvalget	udvalg	utvalg	N;INDF;NEUT;SG	N;DEF;NEUT;SG
udvalg	komiteene	udvalg	komité	N;INDF;NEUT;SG	N;DEF;FEM;PL
udvalg	komiteen	udvalg	komité	N;INDF;NEUT;SG	N;DEF;MASC;SG
kærlighed	kjærligheten	kærlighed	kjærlighet	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
kærlighed	elsker	kærlighed	elsker	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
internationalt	international	international	international	ADJ;INDF;NEUT;SG	N;INDF;NEUT;SG
internationalt	internasjonale	international	internasjonal	ADJ;INDF;NEUT;SG	ADJ;PL
opfattelse	oppfatninger	opfattelse	oppfatninger	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
ringe	anrop	ringe	anrop	V;NFIN;ACT	N;INDF;MASC;SG
ringe	call	ringe	call	V;NFIN;ACT	N;INDF;MASC;SG
ringe	ring	ringe	ring	V;NFIN;ACT	N;INDF;MASC;SG
ringe	ring	ringe	ring	V;NFIN;ACT	N;INDF;MASC;SG
ringe	ringene	ringe	ringe	V;NFIN;ACT	N;DEF;MASC;PL
portugal	portugal	portugal	portugal		N;INDF;MASC;SG
professionelle	fagfolk	professionel	fagfolk	ADJ;PL	N;INDF;NEUT;PL
professionelle	proffer	professionel	proffer	ADJ;PL	N;INDF;MASC;SG
professionelle	proffe	professionel	proffe	ADJ;PL	N;INDF;MASC;SG
professionelle	proffer	professionel	proffer	ADJ;PL	N;INDF;MASC;SG
professionelle	profesjonell	professionel	profesjonell	ADJ;PL	ADJ;INDF;SG
sikkert	trolig	sikkert	trolig	ADV	ADJ;INDF;NEUT;SG
sikkert	sikkert	sikkert	sikker	ADV	ADJ;INDF;NEUT;SG
sikkert	antakelig	sikkert	antakelig	ADV	N;INDF;MASC;SG
sikkert	antagelig	sikkert	antagelig	ADV	ADJ;INDF;NEUT;SG
koncerter	konserter	koncert	konserter	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
ødelagt	korrupt	ødelægge	korrupt	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG
ødelagt	fordervet	ødelægge	forderv	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
ødelagt	ødelagt	ødelægge	ødeleggje	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
ødelagt	ruinert	ødelægge	ruinere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
ødelagt	ødelagt	ødelægge	ødeleggje	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
ødelagt	ødelegges	ødelægge	ødelegges	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
ødelagt	tilintetgjort	ødelægge	tilintetgjere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG
ødelagt	knust	ødelægge	knuse	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
ødelagt	broken	ødelægge	brok	V;INDF;SG;PST;V.PTCP	N;DEF;MASC;SG
ødelagt	brutt	ødelægge	bru	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
ødelagt	brukket	ødelægge	brukk	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
jøder	jødisk	jøde	jødisk	N;INDF;MASC+FEM;PL	ADJ;INDF;SG
jøder	jødiske	jøde	jødisk	N;INDF;MASC+FEM;PL	ADJ;PL
rasmus	rasmus	rasmus	rasmus		N;INDF;MASC;SG
flertal	flertallet	flertal	flertall	N;INDF;NEUT;SG	N;DEF;NEUT;SG
leje	leier	leje	leie	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
leje	leie	leje	lei	N;INDF;MASC+FEM;SG	ADJ;PL
leje	ansette	leje	ansette	N;INDF;MASC+FEM;SG	ADJ;PL
leje	leie	leje	lei	N;INDF;MASC+FEM;SG	ADJ;PL
leje	leie	leje	lei	N;INDF;MASC+FEM;SG	ADJ;PL
etc	etc	etc	etc.		ADV
etc	osv	etc	osv.		ADV
pladser	spisesteder	plads	spisestede	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
pladser	seter	plads	seter	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
varer	produktene	vare	produkt	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
politiet	politifolk	politi	politifolk	N;DEF;NEUT;SG	N;INDF;NEUT;PL
politiet	politimenn	politi	politimenn.	N;DEF;NEUT;SG	N;INDF;MASC;PL
politiet	politi	politi	politi	N;DEF;NEUT;SG	N;INDF;NEUT;SG
politiet	police	politi	police	N;DEF;NEUT;SG	N;INDF;FEM;SG
grønne	grønn	grøn	grønn	ADJ;PL	N;INDF;MASC;SG
grønne	green	grøn	grenne	ADJ;PL	N;DEF;MASC;SG
grønne	grønt	grøn	grøn	ADJ;PL	ADJ;INDF;NEUT;SG
grønne	greens	grøn	grens	ADJ;PL	N;DEF;MASC;SG
skabelonen	mal	skabelon	mal	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
udstyret	utrustet	udstyre	utrust	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
udstyret	utstyrt	udstyre	utstyre	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
teknisk	tekniske	teknisk	teknisk	ADJ;INDF;SG	ADJ;PL
undersøgelser	undersøkelser	undersøgelse	undersøkelse	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
undersøgelser	henvendelser	undersøgelse	henvendelse	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
burde	bør	burde	burde	V;IND;PST;FIN;ACT	V;IND;PRS;FIN
forbund	alliansen	forbund	allianse	N;INDF;NEUT;SG	N;DEF;MASC;SG
forbund	føderasjonen	forbund	føderasjon	N;INDF;NEUT;SG	N;DEF;MASC;SG
starter	starts	starte	starts	V;IND;PRS;FIN;ACT	N;INDF
starter	forrett	starte	forrett	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
starter	start	starte	start	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
starter	begynn	starte	begynn	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
norges	norske	norgen	norsk	N;GEN;INDF;MASC+FEM;SG	ADJ;PL
norges	norge	norgen	norge	N;GEN;INDF;MASC+FEM;SG	PROPN
masse	massene	masse	masse	N;INDF;MASC+FEM;SG	N;DEF;FEM;PL
masse	lot	masse	la	N;INDF;MASC+FEM;SG	V;IMP;FIN
årtier	tiår	årti	tiår	N;INDF;NEUT;PL	N;INDF;NEUT;SG
årtier	årtier	årti	årti	N;INDF;NEUT;PL	N;INDF;FEM;SG
kongeriget	kingdom	kongerig	kingdom	N;DEF;NEUT;SG	N;INDF;MASC;SG
kongeriget	kongedømme	kongerig	kongedømme	N;DEF;NEUT;SG	N;INDF;NEUT;SG
claus	claus	claus	claus		N;INDF;MASC;SG
aktiviteter	aktivitetene	aktivitet	aktivitet	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
williams	williams	william	williams		N;INDF;MASC;SG
kanoner	skytevåpen	kanon	skytevåp	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
kanoner	pistoler	kanon	pistol	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
kanoner	cannon	kanon	cannon	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
kanoner	kanon	kanon	kanon	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
titler	titler	titel	titler	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
populær	populære	populær	populær	ADJ;INDF;MASC+FEM;SG	ADJ;PL
populær	folkelig	populær	folkelig	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
studerende	studenter	studere	studenter	V;PRS;V.PTCP	N;INDF;FEM;PL
studerende	studentene	studere	student	V;PRS;V.PTCP	N;DEF;FEM;PL
studerende	elever	studere	elev	V;PRS;V.PTCP	N;INDF;NEUT;SG
studerende	elevene	studere	elev	V;PRS;V.PTCP	N;DEF;FEM;PL
studerende	elev	studere	elev	V;PRS;V.PTCP	N;INDF;MASC;SG
studerende	student	studere	student	V;PRS;V.PTCP	N;INDF;MASC;SG
blue	blå	blue	blå		ADJ;INDF;SG
blue	blue	blue	blu		N;INDF;MASC;SG
blue	blått	blue	blå		ADJ;INDF;NEUT;SG
etablerede	etablert	etablere	etablere	V;PL;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
etablerede	fastslått	etablere	fastslå	V;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
asien	asia	asien	asia	PROPN	N;INDF;NEUT;SG
hollandske	nederlandsk	hollandsk	nederlandsk	ADJ;PL	N;INDF;MASC;SG
hollandske	nederlendere	hollandsk	nederlendere	ADJ;PL	V;NFIN
hollandske	hollandsk	hollandsk	hollandsk	ADJ;PL	ADJ;INDF;SG
kinesisk	kinesere	kinesisk	kinesere	ADJ;INDF;SG	N;INDF;FEM;SG
bortset	bortsett	bortset	bortsedd	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG
ens	esa	ens	esa	ADJ	N
trådte	oppgitt	træde	oppgi	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
trådte	angitt	træde	angitt	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
trådte	tråkket	træde	tråkk	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
trådte	tråkka	træde	tråkkje	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
indeholdt	inneholdt	indeholde	innehold	V;PST;V.PTCP	N;INDF;NEUT;SG
war	krigen	war	krig		N;DEF;MASC;SG
war	krig	war	krig		N;INDF;MASC;SG
årligt	årlig	årligt	årlig	ADV	ADJ;INDF;NEUT;SG
årligt	årlig	årligt	årlig	ADV	ADJ;INDF;NEUT;SG
årligt	årlige	årligt	årlig	ADV	ADJ;PL
offentlig	offentlige	offentlig	offentlige	ADJ;INDF;MASC+FEM;SG	ADJ;PL
størstedelen	bulk	størstedel	bulk	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
pige	jenta	pige	jente	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
ramt	sio	ramme	sio	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
ramt	treff	ramme	treff	V;INDF;SG;PST;V.PTCP	N;INDF;NEUT;SG
virginia	virginia	virginia	virgini	N;INDF;MASC+FEM;SG	PROPN
veje	veiene	vej	veie	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
grundlæggende	grunnleggende	grundlæggende	grunnleggende	ADJ	N;INDF;MASC;SG
grundlæggende	basics	grundlæggende	basics	ADJ	N
grundlæggende	grunnleggende	grundlæggende	grunnleggende	ADJ	N;INDF;MASC;SG
grundlæggende	basic	grundlæggende	basic	ADJ	N;INDF;NEUT;SG
lavere	senk	lav	senk	ADJ;CMPR	N;INDF;NEUT;SG
lavere	lavere	lav	lavere	ADJ;CMPR	N;INDF;MASC;SG
efterfølger	oppfølger	efterfølge	oppfølge	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
efterfølger	etterfølger	efterfølge	etterfølg	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
linjer	lines	linje	line	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
linjer	replikker	linje	replikker	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
ønske	ønsker	ønske	ønske	N;INDF;NEUT;SG	V;IND;PRS;FIN
jackson	jackson	jackson	jackson		N;INDF;MASC;SG
oprette	oppretter	oprette	oppretter	V;NFIN;ACT	N;INDF;MASC;SG
oprette	opprett	oprette	opprett	V;NFIN;ACT	N;INDF;MASC;SG
oprette	oppretting	oprette	oppretting	V;NFIN;ACT	N;INDF;FEM;SG
oprette	oppretter	oprette	oppretter	V;NFIN;ACT	N;INDF;MASC;SG
oprettede	opprettes	oprette	opprettes	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
oprettede	opprettet	oprette	opprett	V;IND;PST;FIN;ACT	N;INDF;NEUT;SG
oprettede	skapt	oprette	skape	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
oprettede	laga	oprette	lage	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
mads	mads	mads	mads		N;INDF;MASC;SG
ophold	residens	ophold	residens	N;INDF;NEUT;SG	N;GEN;DEF;MASC;SG
ophold	opphold	ophold	opphold	N;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
ophold	bli	ophold	bli	N;INDF;NEUT;SG	V;IMP;FIN
kinesiske	kinesere	kinesisk	kinesere	ADJ;PL	N;INDF;FEM;SG
kinesiske	kinesisk	kinesisk	kinesisk	ADJ;PL	ADJ;INDF;NEUT;SG
tidlig	early	tidlig	early	ADJ;INDF;MASC+FEM;SG	N
tidlig	tidlige	tidlig	tidlig	ADJ;INDF;MASC+FEM;SG	ADJ;PL
primære	primærvalg	primær	primærvalg	ADJ;PL	N;INDF;NEUT;SG
primære	primær	primær	primær	ADJ;PL	N;INDF;MASC;SG
les	les	les	lese	N;INDF;MASC+FEM;SG	V;IMP;FIN
egenskaber	kjennetegn	egenskab	kjennetegn	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
egenskaber	egenskaper	egenskab	egenskap	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
egenskaber	funksjoner	egenskab	funksjon	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
egenskaber	egenskaper	egenskab	egenskap	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
egenskaber	attributter	egenskab	attributter	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
egenskaber	egenskaper	egenskab	egenskap	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
ankom	ankom	ankomme	ankom	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
ankom	kommet	ankomme	komme	V;IND;PST;FIN;ACT	
ankom	ankommet	ankomme	ankom	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
egypten	egypt	egypt	egypt	PROPN	N;INDF;MASC;SG
kraftigt	sterkt	kraftigt	sterk	ADV	ADJ;INDF;NEUT;SG
kraftigt	sterk	kraftigt	sterk	ADV	ADJ;INDF;SG
kraftigt	strong	kraftigt	strong	ADV	N;INDF;MASC;SG
kraftigt	sterke	kraftigt	sterk	ADV	ADJ;PL
kraftigt	sterkt	kraftigt	sterk	ADV	ADJ;INDF;NEUT;SG
kraftigt	kraftfull	kraftigt	kraftfull	ADV	ADJ;INDF;SG
kraftigt	mektig	kraftigt	mektig	ADV	ADJ;INDF;NEUT;SG
kraftigt	kraftig	kraftigt	kraftig	ADV	ADJ;INDF;NEUT;SG
jødiske	jødisk	jødisk	jødisk	ADJ;PL	ADJ;INDF;SG
holm	holm	holm	holm		N;INDF;FEM;SG
mesterskabet	mesterskap	mesterskab	mesterskap	N;DEF;NEUT;SG	N;INDF;NEUT;SG
mesterskabet	championship	mesterskab	championship	N;DEF;NEUT;SG	N;INDF;MASC;SG
fjernet	fjernet	fjerne	fjern	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
fjernet	fjerna	fjerne	fjerne	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
vokser	dyrket	vokse	dyrke	V;IND;PRS;FIN;ACT	N;DEF;NEUT;SG
vokser	vokser	vokse	vokse	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
vokser	voksende	vokse	voksende	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
vokser	vokser	vokse	vokse	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
vokser	voks	vokse	vekse	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
vokser	vokse	vokse	vokse	V;IND;PRS;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
