hanoi	हनोई	hanol	हनोई	PROPN	PROPN;NOM;MASC;SG;3
desexaría	काश	desexar	काश	V	
quite	बन्द	quite	बंद	V	
quite	बंद	quite	बंद	V	ADJ
louis	लुई	loui	लु	PROPN	PROPN;NOM;MASC;SG;3
miami	मियामी	miami	मियामी	PROPN	PROPN;NOM;MASC;SG;3
descansa	आराम	descansa	आराम	V	PROPN;NOM;MASC;SG;3
descansa	रेस्ट	descansa	रेस्ट	V	N;NOM;FEM;SG;3
descansa	बाकी	descansa	बाकी	V	ADJ
francesas	फ़्रेंच	francesa	फ़्रेंच	ADJ	N;NOM;MASC;SG;3
francesas	फ़्रांसीसी	francesa	फ़्रांसीसी	ADJ	PROPN;NOM;MASC;SG;3
francesas	फ्रेंच	francesa	फ्रेंच	ADJ	
perdes	आपको	perde	आप	V	PRO;SG;2;FORM
perdes	आप	perde	आप	V	PRO;NOM;SG;2;FORM
perdes	तुम	perde	तुम	V	PRO;NOM;SG;3
falaron	उन्होंने	falar	वह	V	PRO;SG;3;FORM
falaron	वे	falar	वह	V	PRO;NOM;SG;3
detente	रोकें	detente	रोक	PROPN	V;SBJV;PL;FIN;ACT
wheeler	व्हीलर	wheeler	व्हीलर	PROPN	PROPN;NOM;MASC;SG;3
fama	शोहरत	facer	शोहरत	N	PROPN;NOM;FEM;SG;3
fama	कीर्ति	facer	कीर्ति	N	PROPN;NOM;MASC;SG;3
duras	हार्ड	duro	हार्ड	ADJ	
duras	कठिन	duro	कठिन	ADJ	ADP
duras	मेहनत	duro	मेहनत	ADJ	N;NOM;FEM;SG;3
duras	मुश्किल	duro	मुश्किल	ADJ	
estouche	आपको	estouche	आप	PROPN	PRO;SG;2;FORM
estouche	आप	estouche	आप	PROPN	PRO;NOM;SG;2;FORM
estouche	तुम	estouche	तुम	PROPN	PRO;NOM;SG;3
della	देला	della	देल	PROPN	PROPN;NOM;MASC;SG;3
trucos	गुर	truco	गुर	N	
trucos	नापाक	truco	नापाक	N	PROPN;NOM;MASC;SG;3
alumnado	विद्यार्थियों	alumnado	विद्यार्थी	V	N;ACC;MASC;PL;3
alumnado	हैं	alumnado	है	V	V;IND;PL;3;PRS;FIN;ACT
alumnado	छात्रों	alumnado	छात्र	V	N;ACC;MASC;PL;3
alumnado	विद्यार्थी	alumnado	विद्यार्थी	V	N;NOM;MASC;SG;3
vera	वेरा	verar	वेरा	N	PROPN;NOM;MASC;SG;3
vera	वीरा	verar	वीरा	N	PROPN;NOM;MASC;SG;3
movédevos	मूव	movédevo	मूव	N	
stan	स्टेन	stan	स्टेन	V	N;NOM;MASC;SG;3
stan	आपको	stan	आप	V	PRO;SG;2;FORM
stan	आप	stan	आप	V	PRO;NOM;SG;2;FORM
stan	तुम	stan	तुम	V	PRO;NOM;SG;3
west	पश्चिम	west	पश्चिम	PROPN	PROPN;NOM;MASC;SG;3
west	वेस्ट	west	वेस्ट	PROPN	PROPN;NOM;MASC;SG;3
bild	bild	bild	bild	PROPN	
marines	मरीन	marine	मरीन	N	
marines	समुद्री	marine	समुद्री	N	ADJ;NOM
cóidate	लें	cóidate	ले	N	V;SBJV;PL;3;FIN;ACT
cóidate	ले	cóidate	ले	N	V;ACT
cóidate	लो	cóidate	ले	N	V;SBJV;SG;FIN;ACT
armenia	अर्मेनिया	armenia	अर्मेनिया	N	PROPN;NOM;MASC;SG;3
correde	चला	correder	चल	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
correde	चलाएँ	correder	चला	PROPN	V;SBJV;PL;FIN;ACT
correde	चलेगी	correder	चल	PROPN	V;FEM;IND;SG;3;FUT;FIN;ACT
correde	चलाएं	correder	चला	PROPN	V;SBJV;PL;FIN;ACT
mann	मन	mann	मन	PROPN	N;NOM;MASC;SG;3
kathy	कैथी	kathy	कैथी	PROPN	
alicia	अनीता	alicia	अनीता	N	PROPN;NOM;FEM;SG;3
alicia	ऐलिस	alicia	ऐलिस	N	
won	जीता	won	जीत	N	V;PFV;MASC;SG;V.PTCP;ACT
won	जीते	won	जीत	N	V;PFV;MASC;SG;V.PTCP;ACT
won	जीती	won	जीत	N	V;PFV;FEM;SG;V.PTCP;ACT
heavy	भारी	heavy	भारी	PROPN	ADJ;NOM
wey	वेई	wey	वेई	PROPN	PROPN;NOM;MASC;SG;3
cora	कोरा	cora	कोरा	PROPN	
doutora	doctor	doutor	doctor	N	
envioume	प्रेषित	envioume	प्रेषित	V	ADJ
procede	से	proceder	से	V	
procede	इससे	proceder	यह	V	PRO;SG;3
vise	आरी	visir	आरी	V	
altar	वेदी	altar	वेदी	N	
refírome	मतलब	refírome	मतलब	V	N;NOM;MASC;SG;3
refírome	औसत	refírome	औसत	V	N;NOM;MASC;SG;3
redes	नेट	rede	नेट	N	
redes	संजाल	rede	संजाल	N	
utilidade	उपयोगी	utilidade	उपयोगी	N	ADJ
entretemento	entertainment	entretemento	entertainment	N	V;IPFV;MASC;SG;V.PTCP;ACT
trampas	फन्दा	trampa	फन्दा	N	
soben	उस	sober	वह	V	DET;ACC;SG;3
soben	कि	sober	कि	V	
vense	हैं	vense	है	PROPN	V;IND;PL;3;PRS;FIN;ACT
decatei	एहसास	decatei	एहसास	V	N;NOM;MASC;SG;3
cometeu	प्रतिबद्ध	cometar	प्रतिबद्ध	V	ADJ
cometeu	वचनबद्ध	cometar	वचनबद्ध	V	PROPN;NOM;MASC;SG;3
volvía	पीछे	volvía	पीछे	V	ADV;NOM;MASC;SG;3
volvía	बैक	volvía	बैक	V	
volvía	वापस	volvía	वापस	V	ADJ
musical	संगीतमय	musical	संगीतमय	ADJ	PROPN;NOM;MASC;SG;3
musical	musical	musical	musical	ADJ	
musical	संगीत	musical	संगीत	ADJ	N;NOM;MASC;SG;3
musical	म्यूज़िक	musical	म्यूज़िक	ADJ	N;NOM;MASC;SG;3
funcionamento	कैसे	funcionamento	कैसे	N	PRO
funcionamento	कैसा	funcionamento	कैसा	N	PRO
illado	पृथक	illar	पृथक	V	
illado	उस	illar	वह	V	DET;ACC;SG;3
illado	कि	illar	कि	V	
fundamental	मूलभूत	fundamental	मूलभूत	ADJ	N;NOM;MASC;SG;3
fundamental	आधारभूत	fundamental	आधारभूत	ADJ	ADP
bate	बीट्स	bate	बीट्स	V	PROPN;NOM;MASC;SG;3
substituír	स्थानापन्न	substituír	स्थानापन्न	V	N;NOM;MASC;SG;3
rostros	face	rostro	face	N	
rostros	फेस	rostro	फेस	N	
aula	कक्ष	aula	कक्ष	N	
aula	कमरा	aula	कमरा	N	V;PFV;MASC;SG;V.PTCP;ACT
aula	क्लास	aula	क्लास	N	
sentirse	महसूस	sentirse	महसूस	N	ADJ
campá	बेल	campá	बेल	N	
saíde	पाएँ	saíde	पा	PROPN	V;SBJV;PL;FIN;ACT
saíde	मिलेंगी	saíde	मिल	PROPN	V;FEM;IND;SG;3;FUT;FIN;ACT
saíde	बाहर	saíde	बाहर	PROPN	ADV;NOM;MASC;SG;3
saíde	आउट	saíde	आउट	PROPN	N;NOM;MASC;SG;3
entras	आईये	entra	आईया	PROPN	PROPN;NOM;MASC;SG;3
entras	आइये	entra	आ	PROPN	V;SBJV;PL;3;FIN;ACT
elo	उस	elo	वह	PROPN	DET;ACC;SG;3
elo	कि	elo	कि	PROPN	
preguntarnos	पूछें	preguntarno	पूछ	N	V;SBJV;PL;FIN;ACT
preguntarnos	पूछो	preguntarno	पूछ	N	V;SBJV;SG;FIN;ACT
entrando	प्रवेश	entrar	प्रवेश	V	N;NOM;MASC;SG;3
prestar	अदा	prestar	अदा	V	ADJ
persoais	पर्सनल	persoal	पर्सनल	ADJ	N;NOM;MASC;SG;3
herdanza	धरोहर	herdanza	धरोहर	N	
eléctrica	विद्युत	eléctrico	विद्युत	ADJ	N;NOM;FEM;SG;3
eléctrica	इलेक्ट्रिक	eléctrico	इलेक्ट्रिक	ADJ	N;NOM
eléctrica	पावर	eléctrico	पावर	ADJ	N;NOM;FEM;SG;3
eléctrica	शक्ति	eléctrico	शक्ति	ADJ	N;NOM;FEM;SG;3
prestado	उधार	prestar	उधार	V	
interiores	भीतरी	interior	भीतरी	ADJ	N;NOM;MASC;SG;3
interiores	इंटीरियर्स	interior	इंटीरियर्स	ADJ	N;NOM;MASC;PL;3
traxes	पूर्वी	traxe	पूर्वी	N	ADJ
limitado	limited	limitado	limited	ADJ	PROPN;NOM
ancián	ओल्ड	ancián	ओल्ड	N	
ancián	पुराने	ancián	पुराना	N	ADJ;MASC;PL
ancián	पुरानी	ancián	पुराना	N	ADJ;FEM;SG
ancián	पुराना	ancián	पुराना	N	ADJ;MASC;SG
ancián	वृद्ध	ancián	वृद्ध	N	PROPN;NOM;MASC;SG;3
ancián	बूढ़ा	ancián	बूढ़ा	N	PROPN;NOM;MASC;SG;3
ancián	मैन	ancián	मैन	N	
ancián	man	ancián	ओे	N	
radicais	रेडिकल	radical	रेडिकल	N	PROPN;NOM;MASC;SG;3
recente	हालिया	recente	हालिया	ADJ	
recente	हाल	recente	हाल	ADJ	N;NOM;MASC;SG;3
italianos	इतालवी	italiano	इतालवी	ADJ	PROPN;NOM;MASC;SG;3
ouviu	आपको	ouviu	आप	V	PRO;SG;2;FORM
ouviu	आप	ouviu	आप	V	PRO;NOM;SG;2;FORM
ouviu	तुम	ouviu	तुम	V	PRO;NOM;SG;3
jamie	जेमी	jamie	जेमी	PROPN	PROPN;NOM;MASC;SG;3
ido	गए	ido	जा	ADV	V;PFV;MASC;PL;V.PTCP;ACT
toquei	छुआ	toquei	छुआ	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
toquei	स्पर्श	toquei	स्पर्श	PROPN	
toquei	छू	toquei	छू	PROPN	V;ACT
toquei	टच	toquei	टच	PROPN	
pecho	बन्द	pecho	बंद	PROPN	
pecho	करीब	pecho	करीब	PROPN	PART
pecho	बंद	pecho	बंद	PROPN	ADJ
extremadamente	बेहद	extremadamente	बेहद	ADV	CONJ
extremadamente	अत्यंत	extremadamente	अत्यन्त	ADV	CONJ
extremadamente	अत्यधिक	extremadamente	अत्यधिक	ADV	
fármacos	ड्रग्स	fármaco	ड्रग्स	N	PROPN;NOM;MASC;SG;3
prácticas	व्यावहारिक	práctica	व्यावहारिक	N	ADJ;NOM
axuden	मदद	axudar	मदद	V	N;NOM;FEM;SG;3
axuden	सहायता	axudar	सहायता	V	N;NOM;FEM;SG;3
hackers	हैकर	hacker	है	PROPN	N;NOM;MASC;SG;3
hackers	हैकर्स	hacker	हैकर्स	PROPN	N;NOM;MASC;PL;3
arrecifes	मूंगा	arrecife	मूंगा	N	PROPN;NOM;MASC;SG;3
arrecifes	कोरल	arrecife	कोरल	N	
arrecifes	मूँगा	arrecife	मूँग	N	PROPN;NOM;MASC;SG;3
éramos	यहूद	éramo	यहूद	V	
acabará	अंत	acabar	अंत	V	N;NOM;MASC;SG;3
acabará	समाप्ति	acabar	समाप्ति	V	N;NOM;FEM;SG;3
acabará	समाप्त	acabar	समाप्त	V	ADJ
ártico	आर्कटिक	ártico	आर्कटिक	ADJ	N;NOM;MASC;SG;3
mortas	मर	morto	मर	N	V;ACT
egoísta	स्वार्थी	egoísta	स्वार्थी	N	PROPN;NOM;MASC;SG;3
crecín	उठी	crecín	उठ	PROPN	V;PFV;FEM;SG;V.PTCP;ACT
crecín	अर्जित	crecín	अर्जित	PROPN	ADJ
crecín	उठाया	crecín	उठा	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
camiñas	चलना	camiña	चल	N	V;MASC;NFIN;ACT
camiñas	आपको	camiña	आप	N	PRO;SG;2;FORM
camiñas	आप	camiña	आप	N	PRO;NOM;SG;2;FORM
camiñas	तुम	camiña	तुम	N	PRO;NOM;SG;3
camiñas	चलना	camiña	चल	N	V;MASC;NFIN;ACT
racismo	नस्लवाद	racismo	नस्लवाद	N	
racismo	जातिवाद	racismo	जातिवाद	N	PROPN;NOM;MASC;SG;3
disposta	तैयार	disposta	तैयार	V	ADJ
grecia	यूनानी	grecio	यूनानी	N	PROPN;NOM;MASC;SG;3
grecia	ग्रीस	grecio	ग्रीस	N	PROPN;NOM;MASC;SG;3
grecia	यूनान	grecio	यूनान	N	PROPN;NOM;MASC;SG;3
xove	यंग	xover	यंग	N	
demáis	अन्य	demáis	अन्य	ADV	N;NOM;MASC;SG;3
xenético	जेनेटिक	xenético	जेनेटिक	ADJ	N;NOM;MASC;SG;3
frecuencia	अक्सर	frecuencia	अक्सर	N	ADV
frecuencia	अकसर	frecuencia	अकसर	N	CONJ
frecuencia	अक्सर	frecuencia	अक्सर	N	ADV
frecuencia	प्रायः	frecuencia	प्रायः	N	ADV
agradecido	आभारी	agradecer	आभारी	V	
aburrida	ऊब	aburrido	ऊब	ADJ	V;ACT
aburrida	बोर	aburrido	बोर	ADJ	
aburrida	उबाऊ	aburrido	उबाऊ	ADJ	
tentan	कोशिश	tentar	कोशिश	V	N;NOM;FEM;SG;3
tentan	उन्होंने	tentar	वह	V	PRO;SG;3;FORM
tentan	वे	tentar	वह	V	PRO;NOM;SG;3
motel	मोटल	motel	मोटल	PROPN	
responsables	ज़िम्मेदार	responsable	ज़िम्मेदार	N	PROPN;NOM;MASC;SG;3
responsables	उत्तरदायी	responsable	उत्तरदायी	N	ADJ
responsables	जिम्मेदार	responsable	जिम्मेदार	N	ADJ
responsables	लिये	responsable	ले	N	V;PFV;MASC;SG;V.PTCP;ACT
responsables	जिसने	responsable	जो	N	PRO;SG;3
responsables	कौन	responsable	कौन	N	PRO
responsables	जो	responsable	जो	N	PRO;NOM;SG;3
nobel	नोबेल	nobel	नोबेल	N	PROPN;NOM;MASC;SG;3
nobel	ईनाम	nobel	ईनाम	N	
sentiu	महसूस	sentiu	महसूस	V	ADJ
sentiu	उन्होंने	sentiu	वह	V	PRO;SG;3;FORM
sentiu	वे	sentiu	वह	V	PRO;NOM;SG;3
industriais	औद्योगिक	industrial	औद्योगिक	N	ADJ;NOM
poderiades	आपको	poderiade	आप	N	PRO;SG;2;FORM
poderiades	आप	poderiade	आप	N	PRO;NOM;SG;2;FORM
poderiades	तुम	poderiade	तुम	N	PRO;NOM;SG;3
curva	मोड़ना	curvar	मोड़	N	V;MASC;NFIN;ACT
curva	फेरे	curvar	फेरा	N	V;PFV;MASC;SG;FIN;ACT
pasas	आपको	pasa	आप	N	PRO;SG;2;FORM
pasas	आप	pasa	आप	N	PRO;NOM;SG;2;FORM
pasas	तुम	pasa	तुम	N	PRO;NOM;SG;3
tratamentos	हैं	tratamento	है	N	V;IND;PL;3;PRS;FIN;ACT
taylor	टेलर	taylor	टेलर	PROPN	PROPN;NOM;MASC;SG;3
quinto	पंचम	quinto	पंचम	ADJ	PROPN;NOM;MASC;SG;3
quinto	जहन्नुम	quinto	जहन्नुम	ADJ	PROPN;NOM;FEM;SG;3
quinto	नर्क	quinto	नर्क	ADJ	
quinto	नरक	quinto	नरक	ADJ	
mandei	प्रेषित	mander	प्रेषित	V	ADJ
divino	दिव्य	divino	दिव्य	N	
divino	परमात्मा	divino	परमात्मा	N	PROPN;NOM;FEM;SG;3
divino	दैवी	divino	दैवी	N	
cambiaron	परिवर्तित	cambiar	परिवर्तित	V	ADJ
encargo	लें	encargo	ले	N	V;SBJV;PL;3;FIN;ACT
encargo	ले	encargo	ले	N	V;ACT
encargo	लो	encargo	ले	N	V;SBJV;SG;FIN;ACT
empece	हड़ताल	empecer	हड़ताल	V	N;NOM;FEM;SG;3
empece	स्ट्राइक	empecer	स्ट्राइक	V	N;NOM;MASC;SG;3
empece	बाहर	empecer	बाहर	V	ADV;NOM;MASC;SG;3
empece	आउट	empecer	आउट	V	N;NOM;MASC;SG;3
asiáticos	एशियाई	asiático	एशियाई	ADJ	PROPN;NOM;SG;3
asiáticos	एशियाइ	asiático	एशियाइ	ADJ	
factor	फ़ैक्टर	factor	फ़ैक्टर	N	
déronlle	उन्होंने	déronle	वह	PROPN	PRO;SG;3;FORM
déronlle	वे	déronle	वह	PROPN	PRO;NOM;SG;3
déronlle	था	déronle	था	PROPN	V;MASC;IND;SG;PST;FIN;ACT
déronlle	थी	déronle	था	PROPN	V;FEM;IND;SG;PST;FIN;ACT
aparencia	देखो	aparencia	देखो	N	V;SBJV;SG;FIN;ACT
aparencia	dekh	aparencia	dekh	N	PROPN;NOM;MASC;SG;3
mesas	टेबल	mesa	टेबल	N	
abraham	अब्राहम	abraham	अब्राहम	PROPN	PROPN;NOM;MASC;SG;3
temer	डर	temer	डर	ADV	
temer	ख़ौफ़	temer	ख़ौफ़	ADV	
temer	भय	temer	भय	ADV	N;NOM;MASC;SG;3
temer	डर	temer	डर	ADV	
temer	भयभीत	temer	भयभीत	ADV	ADJ
cinto	बेल्ट	cinto	बेल्ट	N	
camiñamos	सैर	camiñar	सैर	V	N;NOM;FEM;SG;3
lectura	पढ़ना	lectura	पढ़	N	V;MASC;NFIN;ACT
lectura	पढना	lectura	पढ	N	V;NFIN;ACT
lectura	पढ़ें	lectura	पढ़	N	V;SBJV;PL;FIN;ACT
lectura	पढ़े	lectura	पढ़े	N	V;PFV;MASC;SG;FIN;ACT
lectura	पढ़ा	lectura	पढ	N	V;PFV;MASC;SG;V.PTCP;ACT
bendiga	आपको	bendiga	आप	PROPN	PRO;SG;2;FORM
bendiga	आप	bendiga	आप	PROPN	PRO;NOM;SG;2;FORM
bendiga	तुम	bendiga	तुम	PROPN	PRO;NOM;SG;3
propietaria	स्वामी	propietaria	स्वामी	N	PROPN;NOM;MASC;SG;3
bonitos	सुंदर	bonito	सुन्दर	N	ADJ
bonitos	सूंदर	bonito	सूंदर	N	PROPN;NOM;MASC;SG;3
bonitos	ब्यूटीफुल	bonito	ब्यूटीफुल	N	PROPN;NOM;MASC;SG;3
bonitos	खूबसूरत	bonito	खूबसूरत	N	ADJ
bonitos	नाइस	bonito	नाइस	N	PROPN;NOM;MASC;SG;3
bonitos	nice	bonito	nice	N	PROPN;NOM;FEM;SG;3
esperade	रुको	esperade	रुक	N	V;SBJV;SG;FIN;ACT
esperade	लिये	esperade	ले	N	V;PFV;MASC;SG;V.PTCP;ACT
usaba	प्रयुक्त	usar	प्रयुक्त	V	ADP
matamos	हत्या	matar	हत्या	V	N;NOM;FEM;SG;3
sentou	शनि	sentar	शनि	V	PROPN;NOM;MASC;SG;3
sentou	शनिवार	sentar	शनिवार	V	PROPN;NOM;MASC;SG;3
sentou	सत	sentar	सत	V	
mates	किल	mate	किल	N	PROPN;NOM;MASC;SG;3
mates	मारो	mate	मार	N	V;SG;FIN;ACT
mates	मार	mate	मार	N	V;ACT
mates	गणित	mate	गणित	N	
carl	कार्ल	carl	कार्ल	PROPN	PROPN;NOM;MASC;SG;3
columnas	कालम	columna	कालम	N	
furgoneta	वान	furgonetar	वान	N	PROPN;NOM;MASC;SG;3
numerosos	कई	numeroso	कई	ADJ	DET
numerosos	अनेक	numeroso	अनेक	ADJ	DET
incendio	अग्नि	incendio	अग्नि	N	PROPN;NOM;FEM;SG;3
estuda	अध्ययन	estudar	अध्ययन	V	N;NOM;MASC;SG;3
estuda	पढ़ाई	estudar	पढ़ाई	V	N;NOM;FEM;SG;3
estuda	अध्ययन	estudar	अध्ययन	V	N;NOM;MASC;SG;3
ooh	ऊह	ooh	ऊह	PROPN	
leopardo	चीते	leopardo	चीत	N	V;PFV;MASC;SG;3;V.PTCP;ACT
hola	नमस्कार	hola	नमस्कार	PROPN	PROPN;NOM;MASC;SG;3
hola	हेलो	hola	हेलो	PROPN	PROPN;NOM;MASC;SG;3
hola	hello	hola	hello	PROPN	PROPN;NOM;MASC;SG;3
elvis	एल्विस	elvis	एल्विस	PROPN	PROPN;NOM;MASC;SG;3
europea	यूरोपियाई	europeo	यूरोपियाई	ADJ	PROPN;NOM;SG;3
europea	यूरोपीय	europeo	यूरोपीय	ADJ	PROPN;NOM;SG;3
mona	मोना	mona	मोना	N	PROPN;NOM;FEM;SG;3
mona	mona	mona	mona	N	PROPN;NOM;MASC;SG;3
alzhéimer	अल्जाइमर	alzhéimer	अल्जाइमर	N	PROPN;NOM;MASC;SG;3
viena	वियना	viena	वियना	PROPN	PROPN;NOM;MASC;SG;3
vestíbulo	लॉबी	vestíbulo	लॉबी	N	PROPN;NOM;MASC;SG;3
ave	चिड़िया	ave	चिड़िया	N	PROPN;NOM;FEM;SG;3
ave	बर्ड	ave	बर्ड	N	PROPN;NOM;FEM;SG;3
ave	एव	ave	एव	N	
higgs	हिग्स	higgs	हिग	PROPN	N;NOM;MASC;SG;3
chegado	आईये	chegar	आईया	V	PROPN;NOM;MASC;SG;3
chegado	साथ	chegar	साथ	V	ADV;NOM;MASC;SG;3
brutalidade	क्रूरता	brutalidade	क्रूरता	N	PROPN;NOM;MASC;SG;3
cosmos	ब्रह्मांड	cosmo	ब्रह्मांड	V	N;NOM;MASC;SG;3
usou	प्रयुक्त	usar	प्रयुक्त	V	ADP
actuando	अभिनय	actuar	अभिनय	V	N;NOM;MASC;SG;3
actuando	एक्टिंग	actuar	एक्टिंग	V	N;NOM;FEM;SG;3
paulo	पाउलो	paulo	पाउलो	PROPN	PROPN;NOM;MASC;SG;3
atopaba	था	atopar	था	V	V;MASC;IND;SG;PST;FIN;ACT
atopaba	थी	atopar	था	V	V;FEM;IND;SG;PST;FIN;ACT
permitirei	नही	permitir	नही	V	
permitirei	नहीं	permitir	नहीं	V	PART;NEG
permitirei	उसे	permitir	वह	V	PRO;SG;3
permitirei	उसका	permitir	वह	V	PRO;MASC;SG;3
permitirei	उसकी	permitir	वह	V	PRO;FEM;SG;3
permitirei	उसके	permitir	वह	V	PRO;MASC;SG;3
iii	तृतीय	iii	तृतीय	PROPN	PROPN;NOM;MASC;SG;3
iii	iii	iii	iii	PROPN	
levareite	लें	levareite	ले	PROPN	V;SBJV;PL;3;FIN;ACT
levareite	ले	levareite	ले	PROPN	V;ACT
levareite	लो	levareite	ले	PROPN	V;SBJV;SG;FIN;ACT
levareite	आपको	levareite	आप	PROPN	PRO;SG;2;FORM
levareite	आप	levareite	आप	PROPN	PRO;NOM;SG;2;FORM
levareite	तुम	levareite	तुम	PROPN	PRO;NOM;SG;3
prométocho	आपको	prométocho	आप	N	PRO;SG;2;FORM
prométocho	आप	prométocho	आप	N	PRO;NOM;SG;2;FORM
prométocho	तुम	prométocho	तुम	N	PRO;NOM;SG;3
virei	आईये	virei	आईया	V	PROPN;NOM;MASC;SG;3
choras	हैं	chora	है	N	V;IND;PL;3;PRS;FIN;ACT
choras	आपको	chora	आप	N	PRO;SG;2;FORM
choras	आप	chora	आप	N	PRO;NOM;SG;2;FORM
choras	तुम	chora	तुम	N	PRO;NOM;SG;3
choras	रोना	chora	रोना	N	V;MASC;SG;FIN;ACT
choras	रो	chora	रो	N	
choras	रोता	chora	रो	N	V;IPFV;MASC;SG;V.PTCP;ACT
choras	रोना	chora	रोना	N	V;MASC;SG;FIN;ACT
choras	फरियाद	chora	फरियाद	N	
choras	क्राई	chora	क्राई	N	PROPN;NOM;MASC;SG;3
pagalo	अदा	pagalo	अदा	PROPN	ADJ
pagalo	लिये	pagalo	ले	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
municipal	नगरपालिका	municipal	नगरपालिका	ADJ	N;NOM;FEM;SG;3
peste	प्लेग	peste	प्लेग	PROPN	N;NOM;MASC;SG;3
estrañas	अजीब	estraña	अजीब	ADJ	ADP
vente	आईये	vente	आईया	PROPN	PROPN;NOM;MASC;SG;3
vente	आइये	vente	आ	PROPN	V;SBJV;PL;3;FIN;ACT
mel	हनी	mel	हन	N	PROPN;NOM;MASC;SG;3
mel	मधु	mel	मधु	N	PROPN;NOM;MASC;SG;3
calmo	शांत	calmo	शांत	N	ADJ
afecto	स्नेह	afecto	स्नेह	N	
mineiros	खनिक	mineiro	खनिक	N	
coide	dekh	coidar	dekh	V	PROPN;NOM;MASC;SG;3
coide	केयर	coidar	केयर	V	N;NOM;FEM;SG;3
coide	परवाह	coidar	परवाह	V	N;NOM;FEM;SG;3
culler	चमचा	culler	चमचा	N	
disparan	फायर	disparar	फायर	V	N;NOM;FEM;SG;3
disparan	अग्नि	disparar	अग्नि	V	PROPN;NOM;FEM;SG;3
disparan	आग	disparar	आग	V	N;NOM;FEM;SG;3
entendiches	समझो	entendiches	समझ	N	V;SBJV;SG;FIN;ACT
entendiches	समझ	entendiches	समझ	N	V;ACT
entendiches	समझे	entendiches	समझ	N	V;SG;FIN;ACT
entendiches	मिली	entendiches	मिल	N	V;PFV;FEM;SG;V.PTCP;ACT
entendiches	मिला	entendiches	मिल	N	V;PFV;MASC;SG;V.PTCP;ACT
pálida	पाले	pálida	पाल	ADJ	V;MASC;SG;FIN;ACT
fresca	फ्रेश	frescar	फ्रेश	N	
fresca	ताजा	frescar	ताजा	N	ADJ;NOM;MASC;SG
fresca	ताज़ा	frescar	ताज़ा	N	
fresca	भैस	frescar	भैस	N	
fresca	मस्त	frescar	मस्त	N	PROPN;NOM;MASC;SG;3
fresca	कूल	frescar	कूल	N	
alice	अनीता	alice	अनीता	PROPN	PROPN;NOM;FEM;SG;3
alice	ऐलिस	alice	ऐलिस	PROPN	
volverás	आपको	volver	आप	V	PRO;SG;2;FORM
volverás	आप	volver	आप	V	PRO;NOM;SG;2;FORM
volverás	तुम	volver	तुम	V	PRO;NOM;SG;3
honrado	गौरव	honrar	गौरव	V	PROPN;NOM;MASC;SG;3
honrado	सम्मानित	honrar	सम्मानित	V	ADJ
honrado	इमानदार	honrar	इमानदार	V	PROPN;NOM;MASC;SG;3
honrado	ईमानदार	honrar	ईमानदार	V	ADJ
serpe	सर्प	serpe	सर्प	N	PROPN;NOM;MASC;SG;3
serpe	नाग	serpe	नाग	N	PROPN;NOM;MASC;SG;3
serpe	स्नेक	serpe	स्नेक	N	PROPN;NOM;MASC;SG;3
valen	हैं	valar	है	V	V;IND;PL;3;PRS;FIN;ACT
valen	लायक	valar	लायक	V	ADP
víchelo	देखा	víchelo	देख	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
víchelo	आरी	víchelo	आरी	PROPN	
víchelo	देखी	víchelo	देख	PROPN	V;PFV;FEM;SG;V.PTCP;ACT
víchelo	उससे	víchelo	वह	PROPN	PRO;SG;3
víchelo	उसको	víchelo	वह	PROPN	PRO;SG;3
víchelo	उसे	víchelo	वह	PROPN	PRO;SG;3
víchelo	आपको	víchelo	आप	PROPN	PRO;SG;2;FORM
víchelo	आप	víchelo	आप	PROPN	PRO;NOM;SG;2;FORM
víchelo	तुम	víchelo	तुम	PROPN	PRO;NOM;SG;3
walter	वाल्टर	walter	वाल्टर	PROPN	PROPN;NOM;MASC;SG;3
bebo	पीना	bebo	पी	N	V;MASC;NFIN;ACT
dicides	आपको	dicidir	आप	V	PRO;SG;2;FORM
dicides	आप	dicidir	आप	V	PRO;NOM;SG;2;FORM
dicides	तुम	dicidir	तुम	V	PRO;NOM;SG;3
paras	आपको	para	आप	N	PRO;SG;2;FORM
paras	आप	para	आप	N	PRO;NOM;SG;2;FORM
paras	तुम	para	तुम	N	PRO;NOM;SG;3
paras	रोकें	para	रोक	N	V;SBJV;PL;FIN;ACT
pelota	बॉल	pelota	बॉल	N	PROPN;NOM;MASC;SG;3
pagaron	सशुल्क	pagar	सशुल्क	V	
chamaches	आपको	chamaches	आप	N	PRO;SG;2;FORM
chamaches	आप	chamaches	आप	N	PRO;NOM;SG;2;FORM
chamaches	तुम	chamaches	तुम	N	PRO;NOM;SG;3
chamaches	बुलाया	chamaches	बुला	N	V;PFV;MASC;SG;V.PTCP;ACT
chamaches	पुकारा	chamaches	पुकार	N	V;PFV;MASC;SG;V.PTCP;ACT
cheminea	चिमनी	chemineo	चिमनी	N	
peggy	पैगी	peggy	पैगी	PROPN	
semellas	आपको	semella	आप	N	PRO;SG;2;FORM
