der	az	der	az	DET;NOM;DEF;MASC;SG	
britischen	angol	britisch	angol	ADJ;NOM;MASC;PL	
britischen	brit	britisch	brit	ADJ;NOM;MASC;PL	
werner	werner	wern	werner	PROPN;NOM;MASC;SG	
verwendung	használni	verwendung	használ	N;SG	V;NFIN;ACT
sieg	win	seigen	win	N;NOM;SG	
sieg	nyerni	seigen	nyer	N;NOM;SG	V;NFIN;ACT
sieg	nyerj	seigen	nyerj	N;NOM;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
sieg	sieg	seigen	sieg	N;NOM;SG	
veröffentlichte	kiadatlan	veröffentlichen	kiadatlan	V;IND;SG;3;PST;FIN	
eintrag	belépés	eintrag	belépés	N	
entwickelt	fejlett	entwickeln	fejlett	V;V.PTCP	
entwickelt	kidolgozott	entwickeln	kidolgozott	V;V.PTCP	
china	porcelán	china	porcela	PROPN;NOM;MASC;SG	N;NOM;SG
china	kína	china	kína	PROPN;NOM;MASC;SG	PROPN;NOM;SG
china	china	china	china	PROPN;NOM;MASC;SG	
hohe	high	hoch	high	ADJ;NOM;FEM;PL	
hohe	magas	hoch	magas	ADJ;NOM;FEM;PL	ADJ;NOM;SG
hohe	magasan	hoch	magasan	ADJ;NOM;FEM;PL	
hohe	hohe	hoch	hohe	ADJ;NOM;FEM;PL	
falls	elesik	falls	elesik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
falls	vízesés	falls	vízesés	CONJ	N;NOM;SG
falls	falls	falls	falls	CONJ	
leicht	könnyedén	leicht	könnyed	ADJ	
leicht	enyhe	leicht	enyhe	ADJ	
leicht	fény	leicht	fény	ADJ	N;NOM;SG
leicht	light	leicht	light	ADJ	
leicht	fényt	leicht	fény	ADJ	N;ACC;SG
leicht	könnyű	leicht	könnyű	ADJ	
leicht	enyhén	leicht	enyhén	ADJ	
leicht	kissé	leicht	kissé	ADJ	
leicht	kevéssé	leicht	kevéssé	ADJ	
verbunden	társult	verbinden	társul	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
verbunden	csatolt	verbinden	csatolt	ADJ;V.PTCP	
verbunden	csatolva	verbinden	csatolva	ADJ;V.PTCP	ADV;V.CVB
verbunden	kapcsolódott	verbinden	kapcsolódott	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
verbunden	kapcsolt	verbinden	kapcsolt	ADJ;V.PTCP	
verbunden	összekapcsolt	verbinden	összekapcsolt	ADJ;V.PTCP	
verbunden	kapcsolatban	verbinden	kapcsolat	ADJ;V.PTCP	N;IN+ESS;SG
verbunden	kapcsolt	verbinden	kapcsolt	ADJ;V.PTCP	
verbunden	kapcsolódott	verbinden	kapcsolódott	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
verbunden	összekapcsolt	verbinden	összekapcsolt	ADJ;V.PTCP	
bald	kopasz	bald	kopasz	ADV	
bald	nemsokára	bald	nemsoka	ADV	N;ON+ALL;SG
autoren	írók	autor	író		N;NOM;PL
autoren	író	autor	író		N;NOM;SG
autoren	szerző	autor	szerző		
autoren	írók	autor	író		N;NOM;PL
autoren	szerzői	autor	szerzői		ADJ;NOM;SG
autoren	szerzők	autor	szerző		N;NOM;PL
all	mindegyik	all	mindegyik	ADV	
all	mind	all	mind	ADV	CONJ
all	minden	all	minden	ADV	PRO;NOM;SG;3
tiefe	mélységben	tief	mélység		N;IN+ESS;SG
tiefe	mélység	tief	mélység		N;NOM;SG
gattung	faj	gattung	faj	ADJ	N;NOM;SG
gattung	állatfaj	gattung	állatfaj	ADJ	N;NOM;SG
gattung	fajok	gattung	fajok	ADJ	N;NOM;PL
allein	egyedül	allein	egyedül	ADV	
allein	szóló	allein	szóló	ADV	ADJ;NOM;SG
allein	solo	allein	solo	ADV	
allein	önálló	allein	önálló	ADV	
bürgermeister	polgármester	bürgermeister	polgármester	ADJ	N;NOM;SG
polen	lengyelország	polen	lengyelország		N;NOM;SG
link	link	link	link	N;SG	
link	linket	link	link	N;SG	
nord	észak	nord	észak	ADJ	
nord	északi	nord	északi	ADJ	
nord	északra	nord	észak	ADJ	N;ON+ALL;SG
nord	nord	nord	nord	ADJ	
bestehen	lét	bestehen	lét	V;NFIN	N;NOM;SG
bestehen	létezése	bestehen	létezés	V;NFIN	N;NOM;SG
bestehen	létezés	bestehen	létezés	V;NFIN	N;NOM;SG
zuletzt	last	zuletzt	last	ADV	
zuletzt	utolsó	zuletzt	utolsó	ADV	
verheiratet	házas	verheiraten	házas	ADJ;V.PTCP	
verheiratet	házasok	verheiraten	házas	ADJ;V.PTCP	N;NOM;PL
ernannt	kijelölt	ernennen	kijelölt	V;V.PTCP	
ernannt	jelöltek	ernennen	jelöl	V;V.PTCP	N;NOM;PL
ernannt	jelölt	ernennen	jelöl	V;V.PTCP	
entwickelte	fejlett	entwickeln	fejlett	V;IND;SG;3;PST;FIN	
entwickelte	kidolgozott	entwickeln	kidolgozott	V;IND;SG;3;PST;FIN	
entwickelte	fejlődtek	entwickeln	fejlődik	V;IND;SG;3;PST;FIN	V;INDF;IND;PL;3;PST;FIN;ACT
produktion	kimeneti	produktion	kimeneti		N;NOM;SG
produktion	kibocsátás	produktion	kibocsátás		N;NOM;SG
produktion	kimenő	produktion	kimenő		N;NOM;SG
produktion	előállítás	produktion	előállítás		N;NOM;SG
produktion	gyártás	produktion	gyártás		N;NOM;SG
produktion	termelés	produktion	termelés		N;NOM;SG
produktion	termelési	produktion	termelési		ADJ;NOM;SG
produktion	productions	produktion	productions		N;NOM;SG
produktion	produkció	produktion	produkció		N;NOM;SG
produktion	előállítás	produktion	előállítás		N;NOM;SG
produktion	gyártási	produktion	gyártási		ADJ;NOM;SG
produktion	gyártás	produktion	gyártás		N;NOM;SG
herrschaft	uralma	herrschaft	uralma	ADJ	N;NOM;SG
herrschaft	uralom	herrschaft	uralom	ADJ	N;NOM;SG
herrschaft	dominium	herrschaft	dominium	ADJ	N;NOM;SG
berg	hegyen	berg	hegy	PROPN;NOM;MASC;SG	N;ON+ESS;SG
berg	hegyi	berg	hegyi	PROPN;NOM;MASC;SG	
berg	hegy	berg	hegy	PROPN;NOM;MASC;SG	N;NOM;SG
berg	hegyek	berg	hegy	PROPN;NOM;MASC;SG	N;NOM;PL
berg	berg	berg	berg	PROPN;NOM;MASC;SG	
berg	mount	berg	mount	PROPN;NOM;MASC;SG	N;NOM;SG
berg	hegy	berg	hegy	PROPN;NOM;MASC;SG	N;NOM;SG
berg	dombon	berg	dombon	PROPN;NOM;MASC;SG	N;ON+ESS;SG
berg	domb	berg	domb	PROPN;NOM;MASC;SG	N;NOM;SG
berg	hegy	berg	hegy	PROPN;NOM;MASC;SG	N;NOM;SG
berg	dombra	berg	dombra	PROPN;NOM;MASC;SG	N;ON+ALL;SG
berg	hegyen	berg	hegy	PROPN;NOM;MASC;SG	N;ON+ESS;SG
berg	hill	berg	hill	PROPN;NOM;MASC;SG	
alt	alto	alt	alto	ADJ	
alt	alt	alt	al	ADJ	
alt	idős	alt	idős	ADJ	
alt	régit	alt	régit	ADJ	N;ACC;SG
alt	régi	alt	régi	ADJ	
alt	öreg	alt	öreg	ADJ	
alt	régiek	alt	régiek	ADJ	N;NOM;PL
punkt	tárgy	punken	tárgy		N;NOM;SG
punkt	tétel	punken	tétel		N;NOM;SG
punkt	elem	punken	elem		N;NOM;SG
andreas	andreas	andreas	andreas	PROPN;NOM;MASC;SG	
andreas	andrás	andreas	andrás	PROPN;NOM;MASC;SG	PROPN;NOM;SG
andreas	andrew	andreas	andrew	PROPN;NOM;MASC;SG	
stiftung	alap	stiftung	alap	N;NOM;FEM;SG	
stiftung	stiftung	stiftung	stiftung	N;NOM;FEM;SG	PROPN;NOM;SG
aktiv	aktív	aktiv	aktív	ADJ	
aktiv	aktívak	aktiv	aktív	ADJ	N;NOM;PL
aktiv	aktívan	aktiv	aktívan	ADJ	
familienname	vezetéknév	familiennam	vezeték	ADJ	N;NOM;SG
gute	jó	gut	jó	ADJ;NOM;SG	
österreichischen	osztrák	österreichisch	osztrák	ADJ;NOM;MASC;PL	
österreichischen	ausztria	österreichisch	ausztria	ADJ;NOM;MASC;PL	N;NOM;SG
punkte	pontokat	punken	pont	N;NOM;MASC;PL	N;ACC;PL
punkte	pont	punken	pont	N;NOM;MASC;PL	
welcher	ami	welch	ami	PRO;NOM;MASC;SG	PRO;NOM;SG;3
welcher	melyik	welch	melyik	PRO;NOM;MASC;SG	
welcher	mely	welch	mely	PRO;NOM;MASC;SG	
welcher	amely	welch	amely	PRO;NOM;MASC;SG	PRO;NOM;SG;3
gegensatz	kontrasztok	gegensatz	kontraszt	ADJ	N;NOM;PL
gegensatz	ellentmondás	gegensatz	ellentmondás	ADJ	N;NOM;SG
minuten	perc	minuten	perc	V;NFIN	N;NOM;SG
minuten	jegyzőkönyv	minuten	jegyzőkönyv	V;NFIN	N;NOM;SG
minuten	percek	minuten	perc	V;NFIN	N;NOM;PL
minuten	min	minuten	min	V;NFIN	
frühen	korán	früh	korán	ADJ	
frühen	korai	früh	korai	ADJ	
historischen	történeti	historisch	történeti	ADJ;NOM;MASC;SG	N;NOM;SG
ähnlich	hasonlók	ähnlich	hasonló	ADJ	N;NOM;PL
ähnlich	hasonlóképpen	ähnlich	hasonlóképpen	ADJ	
finale	döntő	final	döntő	N;NOM;NEUT;SG	ADJ;NOM;SG
finale	vizsgák	final	vizsga	N;NOM;NEUT;SG	N;NOM;PL
finale	döntő	final	döntő	N;NOM;NEUT;SG	ADJ;NOM;SG
finale	végleges	final	végleges	N;NOM;NEUT;SG	
finale	utolsó	final	utolsó	N;NOM;NEUT;SG	
finale	végső	final	végső	N;NOM;NEUT;SG	
jeden	minden	jed	minden	PRO;ACC;INDF;MASC;SG	PRO;NOM;SG;3
jeden	mindegyik	jed	mindegyik	PRO;ACC;INDF;MASC;SG	
jeden	bármelyik	jed	bármelyik	PRO;ACC;INDF;MASC;SG	
jeden	bármely	jed	bármely	PRO;ACC;INDF;MASC;SG	
jeden	bármilyen	jed	bármilyen	PRO;ACC;INDF;MASC;SG	
verfahren	eljárás	verfahren	eljárás	V;NFIN	N;NOM;SG
verfahren	folyamat	verfahren	folyamat	V;NFIN	N;NOM;SG
verfahren	eljárás	verfahren	eljárás	V;NFIN	N;NOM;SG
verfahren	eljárások	verfahren	eljárás	V;NFIN	N;NOM;PL
verfahren	módszer	verfahren	módszer	V;NFIN	N;NOM;SG
verfahren	eljárás	verfahren	eljárás	V;NFIN	N;NOM;SG
tour	turné	tour	tur		N;NOM;SG
tour	túra	tour	túra		N;NOM;SG
wollen	akarsz	wollen	akarsz	V;IND;PL;3;PRS;FIN	V;INDF;IND;SG;1;PRS;FIN;ACT
wollen	akar	wollen	akar	V;IND;PL;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
wollen	akarod	wollen	akarod	V;IND;PL;3;PRS;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
wollen	akarom	wollen	akarom	V;IND;PL;3;PRS;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
ergebnis	jövedelem	ergebnis	jövedel	ADJ	N;NOM;SG
ergebnis	kereset	ergebnis	kereset	ADJ	N;NOM;SG
ergebnis	végeredmény	ergebnis	végeredmény	ADJ	N;NOM;SG
ergebnis	eredmény	ergebnis	eredmény	ADJ	N;NOM;SG
ergebnis	eredmény	ergebnis	eredmény	ADJ	N;NOM;SG
ergebnis	eredmények	ergebnis	eredmény	ADJ	N;NOM;PL
ergebnis	eredményei	ergebnis	eredmény	ADJ	N;NOM;PL
mark	mark	mark	mark	PROPN	
leitung	rendező	leitung	rendező	ADJ	N;NOM;SG
leitung	igazgató	leitung	igazgató	ADJ	N;NOM;SG
leitung	vezetői	leitung	vezető	ADJ	N;NOM;PL
leitung	vezetés	leitung	vezetés	ADJ	N;NOM;SG
württemberg	württemberg	württemberg	württemberg	PROPN;NOM;NEUT;SG	N;NOM;SG
falsch	helytelen	falsch	helytelen	ADJ	
falsch	rossz	falsch	rossz	ADJ	
falsch	helytelen	falsch	helytelen	ADJ	
falsch	hamis	falsch	hamis	ADJ	
artikeln	árucikkek	artikeln	árucik	ADJ	N;NOM;PL
artikeln	cikkek	artikeln	cikk	ADJ	N;NOM;PL
weise	bölcsen	weis	bölcsen	ADJ	
weise	bölcsek	weis	bölcs	ADJ	N;NOM;PL
weise	bölcs	weis	bölcs	ADJ	
außer	kivéve	außer	kivév	ADP	
außer	szét	außer	szét	ADP	
heiligen	szentek	heilig	szenik	ADJ	N;NOM;PL
heiligen	saint	heilig	saint	ADJ	
heiligen	szent	heilig	szent	ADJ	
heiligen	szent	heilig	szent	ADJ	
heiligen	szent	heilig	szent	ADJ	
möglichkeit	lehetőséget	möglichkeit	lehetőség	ADJ	N;ACC;SG
möglichkeit	lehetőség	möglichkeit	lehetőség	ADJ	N;NOM;SG
möglichkeit	opció	möglichkeit	opció	ADJ	N;NOM;SG
möglichkeit	lehetőség	möglichkeit	lehetőség	ADJ	N;NOM;SG
möglichkeit	lehetőség	möglichkeit	lehetőség	ADJ	N;NOM;SG
leiter	létra	leiter	lét	ADJ	N;ON+ALL;SG
leiter	fejet	leiter	féj	ADJ	N;ACC;SG
leiter	fej	leiter	fej	ADJ	N;NOM;SG
leiter	fejét	leiter	feje	ADJ	N;ACC;SG
leiter	vezér	leiter	vezér	ADJ	
leiter	leader	leiter	leader	ADJ	
leiter	vezető	leiter	vezető	ADJ	
los	los	los	los	ADV	
river	folyami	river	folyami	PROPN;NOM;SG	N;NOM;SG
river	folyó	river	folyó	PROPN;NOM;SG	
rennen	races	rennen	races	V;NFIN	
rennen	versenyek	rennen	verseny	V;NFIN	N;NOM;PL
rennen	faj	rennen	faj	V;NFIN	N;NOM;SG
rennen	futam	rennen	futa	V;NFIN	N;NOM;SG
rennen	verseny	rennen	verseny	V;NFIN	N;NOM;SG
rennen	racing	rennen	racing	V;NFIN	
del	del	del	del	PROPN;SG	
union	union	union	union	PROPN;NOM;SG	
union	unió	union	unió	PROPN;NOM;SG	PROPN;NOM;SG
union	szakszervezet	union	szakszervezet	PROPN;NOM;SG	N;NOM;SG
union	unión	union	unió	PROPN;NOM;SG	
union	uniós	union	uniós	PROPN;NOM;SG	ADJ;NOM;SG
japan	japán	japan	japán	PROPN;NOM;NEUT;SG	
belegt	elfoglalt	belegen	elfoglalt	ADJ;V.PTCP	
belegt	alátámasztott	belegen	alátámasztott	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
belegt	megalapozott	belegen	megalapozott	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
belegt	bizonyított	belegen	bizonyított	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
belegt	dokumentált	belegen	dokumentált	ADJ;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
belegt	megszállt	belegen	megszállt	ADJ;V.PTCP	
belegt	foglalt	belegen	foglal	ADJ;V.PTCP	
belegt	elfoglalt	belegen	elfoglalt	ADJ;V.PTCP	
knapp	knapp	knapp	knapp	ADJ	
knapp	szoros	knapp	szoros	ADJ	
webseite	weboldal	webseite	weboldal		N;NOM;SG
webseite	honlap	webseite	honlap		N;NOM;SG
webseite	webhely	webseite	webhely		N;NOM;SG
webseite	helyszín	webseite	helyszín		N;NOM;SG
webseite	helyén	webseite	hely		N;ON+ESS;SG
webseite	webhely	webseite	webhely		N;NOM;SG
webseite	weboldalak	webseite	peboldal		N;NOM;PL
webseite	háló	webseite	háló		N;NOM;SG
webseite	webes	webseite	webes		N;NOM;SG
großer	nagyok	groß	nagy	ADJ	N;NOM;PL
müller	müller	müll	müller	PROPN;NOM;MASC;SG	
müller	molnár	müll	molnár	PROPN;NOM;MASC;SG	
müller	miller	müll	miller	PROPN;NOM;MASC;SG	
müller	müller	müll	müller	PROPN;NOM;MASC;SG	
müller	müller	müll	müller	PROPN;NOM;MASC;SG	
müller	mueller	müll	mueller	PROPN;NOM;MASC;SG	
angaben	adatok	angeben	adat	V;NFIN	N;NOM;PL
angaben	adat	angeben	adat	V;NFIN	N;NOM;SG
angaben	adatforgalom	angeben	adatforgalom	V;NFIN	N;NOM;SG
vorsitzender	elnök	vorsitzend	elnök	ADJ	N;NOM;SG
vorsitzender	széket	vorsitzend	szék	ADJ	N;ACC;SG
vorsitzender	szék	vorsitzend	szék	ADJ	N;NOM;SG
vorsitzender	elnök	vorsitzend	elnök	ADJ	N;NOM;SG
albert	albert	albern	albert	PROPN;SG	
fest	tömör	fest	tömör	ADV	
fest	szilárd	fest	szilárd	ADV	
fest	lakoma	fest	lakom	ADV	N;NOM;SG
fest	szoros	fest	szoros	ADV	
fest	szűk	fest	szűk	ADV	ADJ;NOM;SG
fest	szorosan	fest	szoros	ADV	ADJ;FRML;SG
dank	köszönöm	dank	köszönöm	ADV	V;DEF;IND;SG;1;PRS;FIN;ACT
dank	köszi	dank	köszi	ADV	V;DEF;IND;SG;1;PRS;FIN;ACT
dank	koszi	dank	koszi	ADV	N;NOM;SG
kanton	guangzhou	kanton	guangzik	N;NOM;MASC;SG	
kanton	canton	kanton	canton	N;NOM;MASC;SG	
düsseldorf	düsseldorf	düsseldorf	düsseldorf	PROPN;NOM;NEUT;SG	
düsseldorf	düsseldorf	düsseldorf	düsseldorf	PROPN;NOM;NEUT;SG	
genannten	említett	genannt	említett	V;IND;PL;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
genannten	utalt	genannt	utal	V;IND;PL;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
genannten	hivatkozott	genannt	hivatkozik	V;IND;PL;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
erkennen	felismerés	erkennen	felismerés	V;NFIN	N;NOM;SG
erkennen	felismerve	erkennen	felismerve	V;NFIN	
erkennen	felismerése	erkennen	felismerés	V;NFIN	N;NOM;SG
historische	történelmi	historisch	történelmi	ADJ;NOM;FEM;PL	ADJ;NOM;SG
historische	történelmi	historisch	történelmi	ADJ;NOM;FEM;PL	ADJ;NOM;SG
historische	történeti	historisch	történeti	ADJ;NOM;FEM;PL	N;NOM;SG
politik	szabályzat	politik	szabályzat	ADJ	N;NOM;SG
politik	politika	politik	politika	ADJ	N;NOM;SG
politik	politika	politik	politika	ADJ	N;NOM;SG
anna	anne	anna	az	PROPN;NOM;FEM;SG	
anna	anna	anna	az	PROPN;NOM;FEM;SG	
anna	annának	anna	anna	PROPN;NOM;FEM;SG	N;GEN;SG
katholischen	katolikus	katholisch	katolikus	ADJ;NOM;MASC;SG	
katholischen	katolikusok	katholisch	katolikus	ADJ;NOM;MASC;SG	N;NOM;PL
zeitpunkt	időzítés	zeitpunkt	időzítés	ADJ	N;NOM;SG
zeitpunkt	dátum	zeitpunkt	dátum	ADJ	N;NOM;SG
zeitpunkt	időpont	zeitpunkt	időpont	ADJ	N;NOM;SG
zeitpunkt	ideje	zeitpunkt	idő	ADJ	N;NOM;SG
zeitpunkt	időpont	zeitpunkt	időpont	ADJ	N;NOM;SG
zeitpunkt	idő	zeitpunkt	idő	ADJ	N;NOM;SG
hochschule	egyetemek	hochschule	egyetem	N;NOM;FEM;SG	N;NOM;PL
hochschule	university	hochschule	university	N;NOM;FEM;SG	
position	állás	position	állás		N;NOM;SG
position	pozíció	position	pozíció		N;NOM;SG
position	álláspont	position	álláspont		N;NOM;SG
position	irány	position	irány		N;NOM;SG
dennoch	mindamellett	dennoch	mindamellett	ADV	
dennoch	mindazonáltal	dennoch	mindazonáltal	ADV	CONJ
dennoch	mindazonáltal	dennoch	mindazonáltal	ADV	CONJ
dennoch	mégis	dennoch	mégis	ADV	CONJ
dennoch	mindamellett	dennoch	mindamellett	ADV	
dennoch	mindazonáltal	dennoch	mindazonáltal	ADV	CONJ
dennoch	azonban	dennoch	azonban	ADV	CONJ
schwer	heavy	schwer	heavy	ADJ	
schwer	súlyos	schwer	súlyos	ADJ	
schwer	nehéz	schwer	nehéz	ADJ	
schwer	súlyos	schwer	súlyos	ADJ	
schwer	nehéz	schwer	nehéz	ADJ	
schwer	kemény	schwer	kemény	ADJ	
schwer	kemény	schwer	kemény	ADJ	
schwer	nehéz	schwer	nehéz	ADJ	
schwer	bonyolult	schwer	bonyolult	ADJ	
hinweis	megjegyzés	hinweis	megjegyzés	ADV	N;NOM;SG
hinweis	jegyzet	hinweis	jegyzet	ADV	N;NOM;SG
hinweis	hirdetmény	hinweis	hirdetmény	ADV	
hinweis	értesítés	hinweis	értesítés	ADV	N;NOM;SG
hinweis	közlemény	hinweis	közlemény	ADV	N;NOM;SG
hinweis	észre	hinweis	ész	ADV	N;ON+ALL;SG
hinweis	nyom	hinweis	nyom	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
hinweis	tipp	hinweis	tipp	ADV	N;NOM;SG
ausschließlich	kizárólag	ausschließlich	kizárólag	ADJ	
gruppen	csoport	grappen	csoport	N;NOM;FEM;PL	N;NOM;SG
gruppen	csoportban	grappen	csoport	N;NOM;FEM;PL	N;IN+ESS;SG
gruppen	csoportoknak	grappen	csoport	N;NOM;FEM;PL	N;DAT;PL
neues	újdonság	neu	újdonság	ADJ;NOM;NEUT;SG	N;NOM;SG
cup	kupa	cup	kupa	PROPN;NOM;MASC;SG	N;NOM;SG
cup	csésze	cup	csésze	PROPN;NOM;MASC;SG	N;NOM;SG
cup	cup	cup	cup	PROPN;NOM;MASC;SG	
cup	pohár	cup	pohár	PROPN;NOM;MASC;SG	N;NOM;SG
cup	bögre	cup	bögre	PROPN;NOM;MASC;SG	N;NOM;SG
satz	mondat	satz	mondat		N;NOM;SG
satz	kifejezés	satz	kifejezés		N;NOM;SG
satz	mérték	satz	mér		
satz	kamatláb	satz	kamatláb		N;NOM;SG
satz	arány	satz	arány		N;NOM;SG
satz	szett	satz	szett		N;NOM;SG
satz	set	satz	set		
satz	beállítva	satz	beállítva		ADV;V.CVB
satz	forgatás	satz	forgatás		N;NOM;SG
satz	ítélet	satz	ítélet		N;NOM;SG
satz	mondat	satz	mondat		N;NOM;SG
öffentlichen	nyilvános	öffentlich	nyilvános	ADJ;NOM;PL	ADJ;NOM;SG
öffentlichen	nyilvánosság	öffentlich	nyilvánosság	ADJ;NOM;PL	N;NOM;SG
öffentlichen	nyilvánosan	öffentlich	nyilvános	ADJ;NOM;PL	ADJ;FRML;SG
öffentlichen	publikus	öffentlich	publikus	ADJ;NOM;PL	
ersetzt	helyébe	ersetzen	hely	V;V.PTCP	N;IN+ALL;SG
hauptsächlich	leginkább	hauptsächlich	inkább	ADJ	ADV
hauptsächlich	főleg	hauptsächlich	főleg	ADJ	
hauptsächlich	főként	hauptsächlich	főként	ADJ	
hauptsächlich	többnyire	hauptsächlich	többnyir	ADJ	
hauptsächlich	főként	hauptsächlich	főként	ADJ	
hauptsächlich	főleg	hauptsächlich	főleg	ADJ	
hauptsächlich	elsősorban	hauptsächlich	elsősorban	ADJ	ADV
hauptsächlich	túlnyomórészt	hauptsächlich	túlnyomórész	ADJ	
reicht	tartományok	reichen	tartomány	V;IND;SG;3;PRS;FIN	N;NOM;PL
reicht	elég	reichen	elég	V;IND;SG;3;PRS;FIN	
stimmen	szavazz	stimmen	szavazz	V;NFIN	
stimmen	szavazás	stimmen	szavazás	V;NFIN	N;NOM;SG
stimmen	szavazat	stimmen	szavazat	V;NFIN	
stimmen	szavazatok	stimmen	szavazat	V;NFIN	N;NOM;PL
stimmen	szavazat	stimmen	szavazat	V;NFIN	
stimmen	szavazás	stimmen	szavazás	V;NFIN	N;NOM;SG
stimmen	szavazati	stimmen	szavazati	V;NFIN	N;NOM;SG
stimmen	szavazó	stimmen	szavazó	V;NFIN	
stimmen	hangok	stimmen	hang	V;NFIN	N;NOM;PL
stimmen	hangokat	stimmen	hang	V;NFIN	N;ACC;PL
geführt	led	führen	led	V;V.PTCP	N;NOM;SG
stadtteil	külvárosában	stadtteil	külváros	ADJ	N;IN+ESS;SG
stadtteil	borough	stadtteil	borough	ADJ	N;NOM;SG
stadtteil	kerület	stadtteil	kerület	ADJ	
stadtteil	körzet	stadtteil	körzet	ADJ	N;NOM;SG
stadtteil	járás	stadtteil	járás	ADJ	N;NOM;SG
stadtteil	kerület	stadtteil	kerület	ADJ	
wert	megéri	wert	megéri	ADJ	
wert	worth	wert	worth	ADJ	
wert	érték	wert	ők	ADJ	N;NOM;SG
wert	értéke	wert	érték	ADJ	N;NOM;SG
späteren	később	spät	későn	ADJ	ADV
frei	frei	frei	frei	ADJ	
frei	betöltetlen	frei	betöltetlen	ADJ	N;NOM;SG
frei	ingyenes	frei	ingyenes	ADJ	
frei	ingyen	frei	ingyen	ADJ	
frei	free	frei	free	ADJ	
frei	szabad	frei	szabad	ADJ	
frank	feri	frank	feri	PROPN;NOM;MASC;SG	
frank	frank	frank	frank	PROPN;NOM;MASC;SG	
klaus	klaus	klaus	klaus	PROPN;NOM;MASC;SG	
inhalt	tartalma	inhalt	tartalom		N;NOM;SG
inhalt	tartalom	inhalt	tartalom		N;NOM;SG
inhalt	tartalma	inhalt	tartalom		N;NOM;SG
inhalt	tartalmát	inhalt	tartalom		N;ACC;SG
inhalt	tartalom	inhalt	tartalom		N;NOM;SG
ehemaliger	visszavonult	ehemalig	visszavonult	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
ehemaliger	öregdiák	ehemalig	öregdia	ADJ	N;NOM;PL
heinz	heinz	heinz	heinz	PROPN;NOM;MASC;SG	
bekannte	ismeretes	bekannt	ismeretes	ADJ;NOM;PL	
bekannte	ismertek	bekannt	ismer	ADJ;NOM;PL	V;INDF;IND;PL;3;PST;FIN;ACT
bekannte	ismert	bekannt	ismert	ADJ;NOM;PL	
bekannte	ismerős	bekannt	ismerős	ADJ;NOM;PL	
bekannte	ismerősök	bekannt	ismerős	ADJ;NOM;PL	N;NOM;PL
beteiligt	érintett	beteiligen	érintett	ADJ;V.PTCP	
wochen	héten	wech	hét	ADV	N;ON+ESS;SG
wochen	hét	wech	hét	ADV	N;NOM;SG
wochen	hetekig	wech	het	ADV	N;PL
wochen	hetek	wech	het	ADV	N;NOM;SG
wochen	hetente	wech	hetenik	ADV	N;NOM;SG
wochen	heti	wech	heti	ADV	
fritz	fritz	fritz	fritz	PROPN;NOM;MASC;SG	
zahlreichen	számos	zahlreich	számos	ADJ;NOM;PL	
östlich	keletre	östlich	keletr	ADJ	N;ON+ALL;SG
östlich	keleti	östlich	keleti	ADJ	
östlich	kelet	östlich	kelet	ADJ	
kategorien	kategória	kategorien	kategória	N;NOM;FEM;PL	
kategorien	kategória	kategorien	kategória	N;NOM;FEM;PL	
louis	louis	louis	louis	PROPN;NOM;MASC;SG	
louis	lajos	louis	lajos	PROPN;NOM;MASC;SG	
records	feljegyzések	records	feljegyzés	PROPN;NOM;SG	N;NOM;PL
records	records	records	records	PROPN;NOM;SG	N;NOM;SG
records	nyilvántartások	records	nyilvántartás	PROPN;NOM;SG	N;NOM;PL
records	nyilvántartás	records	nyilvántartás	PROPN;NOM;SG	N;NOM;SG
selten	ritkán	selten	ritkán	ADJ	
selten	ritkán	selten	ritkán	ADJ	
selten	ritka	selten	ritka	ADJ	
schüler	diákok	schüler	diák	ADJ	N;NOM;PL
schüler	hallgatók	schüler	hallgató	ADJ	N;NOM;PL
schüler	tanulók	schüler	tanuló	ADJ	N;NOM;PL
schüler	tanulók	schüler	tanuló	ADJ	N;NOM;PL
schüler	hallgató	schüler	hallgató	ADJ	
schüler	tanítvány	schüler	tanítvány	ADJ	N;NOM;SG
schüler	diák	schüler	diák	ADJ	N;NOM;SG
schüler	pupilla	schüler	pupilla	ADJ	N;NOM;SG
schüler	tanítvány	schüler	tanítvány	ADJ	N;NOM;SG
