категория	категории	категория	категория	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
изключително	эксклюзивные	изключително	эксклюзивный	ADV	ADJ;NOM;PL
изключително	исключительной	изключително	исключительный	ADV	ADJ;INS;FEM;SG
жена	женское	жена	женский	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
жена	женщины	жена	женщина	N;INDF;FEM;SG	N;ANIM;NOM;FEM;PL
жена	женский	жена	женский	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
жена	женская	жена	женский	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
жена	жены	жена	жена	N;INDF;FEM;SG	N;ANIM;NOM;FEM;PL
доклад	пожаловаться	доклад	жаловаться	N;INDF;MASC;SG	V;PFV;NFIN;MID
унгария	венгрии	унгария	венгрия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
унгария	венгрия	унгария	венгрия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
димитров	димитров	димитров	димитр	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
изследвания	расследование	изследване	расследование	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;SG
изследвания	исследование	изследване	исследование	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;SG
реката	ривер	река	ривер	N;DEF;FEM;SG	
реката	реки	река	река	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
кирил	кирилл	киря-(се)	кирилл	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
кирил	кирилл	киря-(се)	кирилл	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
египет	египет	египет	египет	PROPN;INDF;MASC;SG	N;INAN;NOM;MASC;SG
формула	formula	формула	formula	N;INDF;FEM;SG	PROPN
формула	формулы	формула	формула	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
обща	общие	общ	общий	ADJ;INDF;FEM;SG	ADJ;NOM;PL
обща	генерал	общ	генерал	ADJ;INDF;FEM;SG	N;ANIM;NOM;MASC;SG
обща	общих	общ	общий	ADJ;INDF;FEM;SG	ADJ;GEN;PL
обща	общие	общ	общий	ADJ;INDF;FEM;SG	ADJ;NOM;PL
обща	всего	общ	все	ADJ;INDF;FEM;SG	PRO;INAN;GEN;NEUT;SG
обща	итого	общ	итого	ADJ;INDF;FEM;SG	ADV
вестник	газеты	вестник	газета	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
животни	животное	животно	животное	N;INDF;NEUT;PL	N;ANIM;NOM;NEUT;SG
разпространение	распределять	разпространение	распределять	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
разпространение	распространить	разпространение	распространить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
разпространение	распределить	разпространение	распределить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
разпространение	распространять	разпространение	распространять	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
разпространение	распределения	разпространение	распределение	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
австрия	австрийская	австрия	австрийский	PROPN;INDF;FEM;SG	ADJ;NOM;FEM;SG
австрия	австрии	австрия	австрия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
австрия	австрийский	австрия	австрийский	PROPN;INDF;FEM;SG	ADJ;NOM;MASC;SG
австрия	австрии	австрия	австрия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
австрия	австрия	австрия	австрия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
художник	artist	художник	artist	N;INDF;MASC;SG	PROPN
търново	тырново	търново	тырново	ADJ;INDF;NEUT;SG	ADV
назначен	назначенные	назнача	назначить	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
назначен	назначенные	назнача	назначить	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
друго	другой	друг	другой	ADV	ADJ;NOM;MASC;SG
друго	другая	друг	другой	ADV	ADJ;NOM;FEM;SG
друго	другое	друг	другой	ADV	ADJ;NOM;NEUT;SG
друго	другие	друг	другой	ADV	ADJ;NOM;PL
друго	прочие	друг	прочий	ADV	ADJ;NOM;PL
победа	победить	победа	победить	N;INDF;FEM;SG	V;PFV;NFIN;ACT
победа	выиграть	победа	выиграть	N;INDF;FEM;SG	V;PFV;NFIN;ACT
победа	победы	победа	победа	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
борис	борис	борис	борис	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
права	прав	право	прав	N;INDF;NEUT;PL	ADJ;MASC;SG
защита	защищать	защита	защищать	N;INDF;FEM;SG	V;IPFV;NFIN;ACT
защита	защитить	защита	защитить	N;INDF;FEM;SG	V;PFV;NFIN;ACT
защита	защитите	защита	защитить	N;INDF;FEM;SG	V;PFV;IMP;PL;2;FIN;ACT
защита	обороны	защита	оборона	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
защита	обороны	защита	оборона	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
гора	леса	гора	лес	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
гора	лесных	гора	лесной	N;INDF;FEM;SG	ADJ;GEN;PL
идва	иду	идвам	идти	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
идва	предстоящие	идвам	предстоять	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
хайнрих	генрих	хайнрих	генрих	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
просто	просто	просто	просто	ADV	PART
просто	только	просто	только	ADV	PART
столицата	capital	столица	capital	N;DEF;FEM;SG	PROPN
официално	официальных	официално	официальный	ADV	ADJ;GEN;PL
официално	официальное	официално	официальный	ADV	ADJ;NOM;NEUT;SG
официално	официальный	официално	официальный	ADV	ADJ;NOM;MASC;SG
официално	официальная	официално	официальный	ADV	ADJ;NOM;FEM;SG
официално	официальные	официално	официальный	ADV	ADJ;NOM;PL
официално	формальный	официално	формальный	ADV	ADJ;NOM;MASC;SG
официално	формальные	официално	формальный	ADV	ADJ;NOM;PL
влияние	последствия	влияние	последствие	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
съд	судна	съд	судно	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
йохан	иоганн	йохан	иоганн	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
йохан	йохан	йохан	йохан	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
йохан	йохен	йохан	йохен	PROPN;INDF;MASC;SG	
портал	врата	портал	врат	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
портал	ворота	портал	ворота	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
купа	cup	купа	cup	N;INDF;FEM;SG	PROPN
мрежа	net	мрежа	net	N;INDF;FEM;SG	PROPN
мрежа	чистый	мрежа	чистый	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
мрежа	сетки	мрежа	сетка	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
мрежа	сети	мрежа	сеть	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
мрежа	network	мрежа	network	N;INDF;FEM;SG	PROPN
проект	project	проект	project	N;INDF;MASC;SG	PROPN
производство	производства	производство	производство	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
създаване	создать	създаване	создать	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
създаване	создайте	създаване	создать	N;INDF;NEUT;SG	V;PFV;IMP;PL;2;FIN;ACT
създаване	создавать	създаване	создавать	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
проф	проф	проф	профент	N;INDF;MASC;SG	
цвят	цвета	цвят	цвет	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
цвят	цвета	цвят	цвет	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
владимир	владимир	владимир	владимир	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
промени	изменение	промяна	изменение	N;INDF;FEM;PL	N;INAN;NOM;NEUT;SG
промени	изменить	промяна	изменить	N;INDF;FEM;PL	V;PFV;NFIN;ACT
промени	сменить	промяна	сменить	N;INDF;FEM;PL	V;PFV;NFIN;ACT
гола	голые	гол	голый	N;INDF;MASC;SG	ADJ;NOM;PL
гола	голая	гол	голый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
гола	голый	гол	голый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
гола	nude	гол	nude	N;INDF;MASC;SG	PROPN
поле	поля	поле	поле	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
области	округа	област	округ	N;INDF;FEM;PL	N;INAN;GEN;MASC;SG
лятото	summer	лято	summer	N;DEF;NEUT;SG	PROPN
лятото	летний	лято	летний	N;DEF;NEUT;SG	ADJ;NOM;MASC;SG
продължение	продолжил	продължение	продолжить	N;INDF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
джеймс	джеймс	джеймс	джеймс	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
родена	родилась	родя-(се)	рождаться	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;MID
родена	родился	родя-(се)	рождаться	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;MID
възможност	возможности	възможност	возможность	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
разположени	расположенных	разположа-(се)	расположенный	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;GEN;PL
разположени	расположенный	разположа-(се)	расположенный	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;MASC;SG
разположени	развернуто	разположа-(се)	развернуть	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
километра	километров	километър	километр	N;DEF;MASC;SG	N;INAN;GEN;MASC;PL
калифорния	калифорния	калифорния	калифорния	ADJ;DEF;MASC;SG	N;INAN;NOM;FEM;SG
калифорния	калифорнии	калифорния	калифорния	ADJ;DEF;MASC;SG	N;INAN;NOM;FEM;PL
зона	зоны	зона	зона	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
планината	горы	планина	гора	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
планината	горный	планина	горный	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
планината	горных	планина	горный	N;DEF;FEM;SG	ADJ;GEN;PL
планината	горы	планина	гора	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
политици	политика	политик	политика	N;INDF;MASC;PL	N;INAN;NOM;FEM;SG
политици	политик	политик	политик	N;INDF;MASC;PL	N;ANIM;NOM;MASC;SG
техните	их	наш	они	DET;DEF;PL;3	PRO;ACC;PL;3
парк	park	парк	park	N;INDF;MASC;SG	PROPN
тялото	body	тяло	body	N;DEF;NEUT;SG	PROPN
тялото	тела	тяло	тело	N;DEF;NEUT;SG	N;INAN;NOM;NEUT;PL
пространство	космической	пространство	космический	N;INDF;NEUT;SG	ADJ;INS;FEM;SG
пространство	space	пространство	space	N;INDF;NEUT;SG	PROPN
песен	song	песен	song	N;INDF;FEM;SG	PROPN
военна	военных	военен	военный	ADJ;INDF;FEM;SG	N;ANIM;GEN;MASC;PL
военна	военные	военен	военный	ADJ;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
швеция	швеции	швеция	швеция	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
швеция	швеция	швеция	швеция	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
йоан	джон	йоан	джон	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
йоан	иоанн	йоан	иоанный	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
златен	золотые	златен	золотой	ADJ;INDF;MASC;SG	ADJ;NOM;PL
златен	golden	златен	golden	ADJ;INDF;MASC;SG	PROPN
златен	gold	златен	gold	ADJ;INDF;MASC;SG	PROPN
златен	золото	златен	золото	ADJ;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
златен	золотые	златен	золотой	ADJ;INDF;MASC;SG	ADJ;NOM;PL
поп	pop	поп	pop	N;INDF;MASC;SG	PROPN
второ	секунда	втори	секунда	ADV	N;INAN;NOM;FEM;SG
второ	второй	втори	второй	ADV	ADJ;NOM;MASC;SG
второ	вторая	втори	второй	ADV	ADJ;NOM;FEM;SG
второ	второе	втори	второй	ADV	ADJ;NOM;NEUT;SG
земя	earth	земя	earth	N;INDF;FEM;SG	PROPN
земя	земли	земя	земля	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
земя	земельный	земя	земельный	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
земя	land	земя	land	N;INDF;FEM;SG	PROPN
земи	земельный	земя	земельный	N;INDF;FEM;PL	ADJ;NOM;MASC;SG
земи	land	земя	land	N;INDF;FEM;PL	PROPN
земи	земля	земя	земля	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
цска	цска	цски	цск	PROPN;INDF;MASC;SG	N;INAN;NOM;MASC;SG
турски	турецкие	турски	турецкий	ADJ;INDF;MASC;SG	ADJ;NOM;PL
турски	турции	турски	турция	ADJ;INDF;MASC;SG	N;INAN;NOM;FEM;SG
проблеми	беда	проблем	беда	N;INDF;MASC;PL	N;INAN;NOM;FEM;SG
пост	post	пост	post	N;INDF;MASC;SG	PROPN
пост	опубликовать	пост	опубликовать	N;INDF;MASC;SG	V;PFV;NFIN;ACT
пътя	дорожной	път	дорожный	N;DEF;MASC;SG	ADJ;INS;FEM;SG
пътя	road	път	road	N;DEF;MASC;SG	PROPN
представител	rep	представител	rep	N;INDF;MASC;SG	PROPN
гай	гай	гай	гай	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
гай	гай	гай	гай	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
гай	ги	гай	ги	PROPN;INDF;MASC;SG	N;INAN;NOM;MASC;SG
гай	парень	гай	парень	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
ново	новые	нов	новый	ADV	ADJ;NOM;PL
ново	новинка	нов	новинка	ADV	N;INAN;NOM;FEM;SG
ново	новая	нов	новый	ADV	ADJ;NOM;FEM;SG
ново	новый	нов	новый	ADV	ADJ;NOM;MASC;SG
ново	новых	нов	новый	ADV	ADJ;GEN;PL
ново	новое	нов	новый	ADV	ADJ;NOM;NEUT;SG
списание	magazine	списание	magazine	N;INDF;NEUT;SG	PROPN
неговия	его	мой	он	DET;DEF;MASC;SG;3	PRO;ACC;MASC;SG;3
битка	боевая	битка	боевой	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
произведения	работает	произведение	работать	N;INDF;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
ниво	level	ниво	level	N;INDF;NEUT;SG	PROPN
разположена	расположенных	разположа-(се)	расположенный	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;GEN;PL
разположена	расположенный	разположа-(се)	расположенный	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;MASC;SG
развива	развивается	развивам-(се)	развиваться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
украйна	ukraine	украйна	ukraine	PROPN;INDF;FEM;SG	PROPN
украйна	украина	украйна	украина	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
украйна	украину	украйна	украина	PROPN;INDF;FEM;SG	N;INAN;ACC;FEM;SG
убит	убил	убия	убить	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
убит	убиты	убия	убить	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
убит	убиты	убия	убить	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
убит	убил	убия	убить	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
създаден	созданные	създам	создать	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
създадена	созданные	създам	создать	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
столица	capital	столица	capital	N;INDF;FEM;SG	PROPN
черно	чёрное	черен	черный	ADV	ADJ;NOM;NEUT;SG
черно	черный	черен	черный	ADV	ADJ;NOM;MASC;SG
черно	black	черен	black	ADV	PROPN
черно	чёрные	черен	черный	ADV	ADJ;NOM;PL
черно	чёрный	черен	чёрный	ADV	ADJ;NOM;MASC;SG
двойки	пар	двойка	пар	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
републикански	республиканцы	републикански	республиканец	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
павел	павел	павел	павел	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
брак	браки	брак	брак	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
компания	company	компания	company	N;INDF;FEM;SG	PROPN
компания	компании	компания	компания	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
съпругата	жены	съпруга	жена	N;DEF;FEM;SG	N;ANIM;NOM;FEM;PL
издаден	изданы	издам-(се)	издать	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
тракия	фракии	трак	фракия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
възможно	возможная	възможно	возможный	ADV	ADJ;NOM;FEM;SG
възможно	возможна	възможно	возможный	ADV	ADJ;FEM;SG
възможно	возможно	възможно	возможный	ADV	ADJ;NEUT;SG
възможно	возможен	възможно	возможный	ADV	ADJ;MASC;SG
висока	high	висок	high	ADJ;INDF;FEM;SG	PROPN
висока	высоко	висок	высоко	ADJ;INDF;FEM;SG	ADV
висока	высокие	висок	высокий	ADJ;INDF;FEM;SG	ADJ;NOM;PL
ширина	широты	ширина	широта	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
загора	загора	загора	загор	N;INDF;FEM;SG	
модел	модели	модел	модель	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
модел	model	модел	model	N;INDF;MASC;SG	PROPN
колев	колев	колев	колево	PROPN;INDF;MASC;SG	
културни	культурный	културен	культурный	ADJ;INDF;PL	ADJ;NOM;MASC;SG
анна	анна	анна	анна	PROPN;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
температура	температуры	температура	температура	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
предлага	предложения	предлагам	предложение	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;NEUT;PL
глава	head	глава	head	N;INDF;FEM;SG	PROPN
водата	воды	вода	вода	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
отношения	взаимосвязь	отношение	взаимосвязь	N;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
дружество	company	дружество	company	N;INDF;NEUT;SG	PROPN
дружество	компании	дружество	компания	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
значително	существенная	значително	существенный	ADV	ADJ;NOM;FEM;SG
значително	значительные	значително	значительный	ADV	ADJ;NOM;PL
значително	существенный	значително	существенный	ADV	ADJ;NOM;MASC;SG
значително	существенные	значително	существенный	ADV	ADJ;NOM;PL
значително	существенное	значително	существенный	ADV	ADJ;NOM;NEUT;SG
значително	значительные	значително	значительный	ADV	ADJ;NOM;PL
значително	значительное	значително	значительный	ADV	ADJ;NOM;NEUT;SG
значително	значительный	значително	значительный	ADV	ADJ;NOM;MASC;SG
значително	существенные	значително	существенный	ADV	ADJ;NOM;PL
определя	комплекты	определям-(се)	комплект	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
определя	наборы	определям-(се)	набор	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
русе	уловка	русе	уловка	PROPN;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
кораб	судна	кораб	судно	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
цялото	целые	цял	целый	ADJ;DEF;NEUT;SG	ADJ;NOM;PL
цялото	целое	цял	целое	ADJ;DEF;NEUT;SG	N;INAN;NOM;NEUT;SG
цялото	целиком	цял	целиком	ADJ;DEF;NEUT;SG	ADV
общество	общества	общество	общество	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
преброяването	переписи	преброяване	перепись	N;DEF;NEUT;SG	N;INAN;NOM;FEM;PL
дълго	длинный	дълго	длинный	ADV	ADJ;NOM;MASC;SG
дълго	длинная	дълго	длинный	ADV	ADJ;NOM;FEM;SG
дълго	длинные	дълго	длинный	ADV	ADJ;NOM;PL
дълго	лонг	дълго	лонг	ADV	
райони	округа	район	округ	N;INDF;MASC;PL	N;INAN;GEN;MASC;SG
основа	foundation	основа	foundation	N;INDF;FEM;SG	PROPN
бивш	бывший	бивш	бывший	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
бивш	прежний	бивш	прежний	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
бивш	бывшей	бивш	бывший	N;INDF;MASC;SG	ADJ;INS;FEM;SG
бивш	бывшие	бивш	бывший	N;INDF;MASC;SG	ADJ;NOM;PL
бивш	бывшая	бивш	бывший	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
дума	word	дума	word	N;INDF;FEM;SG	PROPN
полет	полетт	полет	полетт	N;INDF;MASC;SG	
среда	окрестности	среда	окрестность	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
избори	избрание	избор	избрание	N;INDF;MASC;PL	N;INAN;NOM;NEUT;SG
ясно	очистить	ясно	очистить	ADV	V;PFV;NFIN;ACT
ясно	ясно	ясно	ясный	ADV	ADJ;NEUT;SG
актриси	актриса	актриса	актриса	N;INDF;FEM;PL	N;ANIM;NOM;FEM;SG
губи	проиграть	губя-(се)	проиграть	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NFIN;ACT
губи	теряем	губя-(се)	терять	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;1;PRS;FIN;ACT
губи	потеря	губя-(се)	потеря	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
губи	потерять	губя-(се)	терять	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NFIN;ACT
губи	проиграть	губя-(се)	проиграть	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NFIN;ACT
губи	потерять	губя-(се)	терять	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NFIN;ACT
достатъчно	хватит	достатъчно	хватить	ADV	V;PFV;IND;SG;3;FUT;FIN;ACT
достатъчно	достаточно	достатъчно	достаточный	ADV	ADJ;NEUT;SG
включват	включить	включвам-(се)	включить	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;PFV;NFIN;ACT
включват	включает	включвам-(се)	включать	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
уилям	уильям	уилям	уилье	N;INDF;MASC;SG	N;ANIM;DAT;NEUT;PL
уилям	вильям	уилям	вилье	N;INDF;MASC;SG	N;ANIM;DAT;MASC;PL
белгия	бельгии	белгия	бельгия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
белгия	бельгия	белгия	бельгия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
белгия	бельгию	белгия	бельгия	PROPN;INDF;FEM;SG	N;INAN;ACC;FEM;SG
говори	поговорить	говоря	говорить	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NFIN;ACT
говори	разговор	говоря	разговор	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
говори	разговоры	говоря	разговор	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
говори	говорите	говоря	говорить	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;2;PRS;FIN;ACT
говори	говори	говоря	говорить	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
школа	school	школа	school	N;INDF;FEM;SG	PROPN
школа	школы	школа	школа	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
епархия	епархии	епархия	епархия	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
шест	six	шест	six	NUM;INDF;PL	PROPN
шест	шестой	шест	шестой	NUM;INDF;PL	ADJ;NOM;MASC;SG
гвинея	гвинеи	гвинея	гвинец	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
такъв	такие	такъв	такой	DET;MASC;SG	DET;NOM;PL
горна	верхние	горен	верхний	ADJ;INDF;FEM;SG	ADJ;NOM;PL
отказва	отказывается	отказвам-(се)	отказываться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
отказва	отказались	отказвам-(се)	отказаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;PL;PST;FIN;MID
отказва	отказался	отказвам-(се)	отказаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
ботев	ботев	ботев	ботеть	PROPN;INDF;MASC;SG	N;INAN;NOM;MASC;SG
постепенно	постепенного	постепенно	постепенный	ADV	ADJ;GEN;MASC;SG
постепенно	постепенное	постепенно	постепенный	ADV	ADJ;NOM;NEUT;SG
постепенно	постепенный	постепенно	постепенный	ADV	ADJ;NOM;MASC;SG
построена	построенные	построя-(се)	строить	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
построена	построили	построя-(се)	строить	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN;ACT
контрол	контролирует	контрол	контролировать	N;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
жан	жан	жан	жан	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
жан	джин	жан	джин	PROPN;INDF;MASC;SG	PART
жан	жанна	жан	жанный	PROPN;INDF;MASC;SG	N;ANIM;NOM;FEM;SG
интернет	internet	интернет	internet	N;INDF;MASC;SG	PROPN
американска	американские	американски	американский	ADJ;INDF;FEM;SG	ADJ;NOM;PL
американска	american	американски	american	ADJ;INDF;FEM;SG	PROPN
американска	американских	американски	американский	ADJ;INDF;FEM;SG	ADJ;GEN;PL
американска	американец	американски	американец	ADJ;INDF;FEM;SG	N;ANIM;NOM;MASC;SG
границата	границы	граница	граница	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
римска	роман	римски	роман	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
административно	административные	административен	административный	ADV	ADJ;NOM;PL
административно	административная	административен	административный	ADV	ADJ;NOM;FEM;SG
победи	бит	победа	бит	N;INDF;FEM;PL	
победи	победить	победа	победить	N;INDF;FEM;PL	V;PFV;NFIN;ACT
победи	победить	победа	победить	N;INDF;FEM;PL	V;PFV;NFIN;ACT
победи	выиграть	победа	выиграть	N;INDF;FEM;PL	V;PFV;NFIN;ACT
победи	победа	победа	победа	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
елена	елена	елен	елена	PROPN;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
елена	елены	елен	елены	PROPN;INDF;FEM;SG	N;ANIM;NOM;FEM;PL
елена	хелена	елен	хеленый	PROPN;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
елена	елена	елен	елена	PROPN;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
роли	rolls	рола	rolls	N;INDF;FEM;PL	PROPN
