年	year	年	year	N	PROPN
更多	selengkapnya	更多	selengkap	ADJ	N;SG
更多	lebih	更多	lebih	ADJ	ADV
更多	lainnya	更多	lainnya	ADJ	N
更多	lagi	更多	lagi	ADJ	ADV
藍	blue	藍	blue	N	PROPN
居住	residence	居住	residence	V	N
居住	kediaman	居住	kediaman	V	N;SG
居住	residensi	居住	residensi	V	N
秦	qin	秦	qin	PROPN	PROPN
浙江	zhejiang	浙江	zhejiang	PROPN	PROPN
禁	terlarang	禁	terlarang		PROPN;SG;PASS
禁	dilarang	禁	dilarang		V;SG;PASS
船	ship	船	ship	N	PROPN
船	boat	船	boat	N	PROPN
公主	putri	公主	putri	N	PROPN;SG
公主	princess	公主	princess	N	PROPN
最多	kebanyakan	最多	kebanyakan	ADJ	DET;SG
最多	paling	最多	paling	ADJ	ADV
最多	max	最多	max	ADJ	
最多	maks	最多	maks	ADJ	PROPN
十	ten	十	ten	NUM	PROPN
銀行	banks	銀行	banks	N	PROPN
非洲	africa	非洲	africa	PROPN	PROPN
非洲	afrika	非洲	afrika	PROPN	N;SG
非洲	afrika	非洲	afrika	PROPN	N;SG
支援	dukungan	支援	dukungan	V	N;SG
支援	dukung	支援	dukung	V	N;SG;ACT
支援	support	支援	support	V	PROPN
支援	mendukung	支援	mendukung	V	N;SG;ACT
支援	cadangan	支援	cadangan	V	N;SG
支援	backup	支援	backup	V	PROPN
陵	mausoleum	陵	mausoleum	N	PROPN
第十	tenth	第十	tenth	NUM	PROPN
第十	sepersepuluh	第十	sepersepuluh	NUM	N
拍攝	shoot	拍攝	shoot	V	PROPN
拍攝	tembak	拍攝	tembak	V	N;SG;ACT
拍攝	syuting	拍攝	syuting	V	N
拍攝	penembakan	拍攝	pentembakan	V	N;SG
拍攝	shooting	拍攝	shooting	V	PROPN
拍攝	bidikan	拍攝	bidikan	V	N;SG
還	dan	還	dan	ADV	CONJ
西藏	tibet	西藏	tibet	PROPN	PROPN
俄羅斯	rusia	俄羅斯	rusia	PROPN	PROPN
俄羅斯	russia	俄羅斯	russia	PROPN	PROPN
節	festival	節	festival	PROPN	N
分析	analytical	分析	analytical	V	PROPN
分析	analisa	分析	analisa	V	N;SG
分析	analitik	分析	analitik	V	N
分析	analisis	分析	analisis	V	N;SG
分析	analytics	分析	analytics	V	N
分析	analisa	分析	analisa	V	N;SG
分析	analisis	分析	analisis	V	N;SG
榮	rong	榮	rong	PROPN	PROPN
偉	wai	偉	wai	PROPN	PROPN
旗	flag	旗	flag	N	PROPN
旗	flags	旗	flags	N	PROPN
旗	panji	旗	panji	N	PROPN
北海	hokkaido	北海	hokkaido	PROPN	PROPN
皇家	royal	皇家	royal	N	PROPN
皇家	royals	皇家	royals	N	PROPN
電子	electronic	電子	electronic	N	PROPN
電子	electronics	電子	electronics	N	PROPN
三十	thirty	三十	thirty	NUM	PROPN
倫敦	london	倫敦	london	PROPN	PROPN
倫敦	banjarmasin	倫敦	banjarmasin	PROPN	PROPN
範圍	berkisar	範圍	berkisar	N	V;SG;ACT
範圍	range	範圍	range	N	PROPN
黨	party	黨	party	N	PROPN
黨	berpesta	黨	berpesta	N	V;SG;ACT
缺乏	kurang	缺乏	kurang	V	ADV;SG
微	mikro	微	mikro		N;SG
微	micro	微	micro		PROPN
教堂	church	教堂	church	N	PROPN
警察	police	警察	police	N	PROPN
絲	sutera	絲	sutera	PROPN	N
絲	sutra	絲	sutra	PROPN	N
絲	silk	絲	silk	PROPN	PROPN
趙	zhao	趙	zhao	PROPN	PROPN
趙	cho	趙	cho	PROPN	PROPN
帝國	empire	帝國	empire	N	PROPN
原本	aslinya	原本	asli	ADV	N;SG
娛樂	menghibur	娛樂	menhibur	N	V;SG;ACT
坡	poe	坡	poe	N	PROPN
屋	house	屋	house	N	PROPN
詞	word	詞	word	N	PROPN
詞	firman	詞	firman	N	PROPN;SG
洞	lubang	洞	lubang	PROPN	N;SG
洞	hole	洞	hole	PROPN	PROPN
洞	lobang	洞	lobang	PROPN	N;SG
洞	gua	洞	gua	PROPN	N;SG
洞	cave	洞	cave	PROPN	PROPN
洞	dong	洞	dong	PROPN	PROPN
宮	puput	宮	puput	N	PROPN
宮	keraton	宮	keraton	N	PROPN
影	shadows	影	shadows	N	PROPN
影	bayang	影	bayang	N	PROPN;SG
影	membayangi	影	menbayangi	N	V;SG;ACT
影	shadow	影	shadow	N	PROPN
影	bayang	影	bayang	N	PROPN;SG
速	speed	速	speed	N	PROPN
黎	lai	黎	lai	PROPN	PROPN
會議	conference	會議	conference	N	PROPN
會議	meeting	會議	meeting	N	PROPN
資訊	information	資訊	information	N	PROPN
豐	yutaka	豐	yutaka		PROPN
戰鬥	battle	戰鬥	battle	N	PROPN
戰鬥	berjuang	戰鬥	berjuang	N	V;SG;ACT
戰鬥	berkelahi	戰鬥	berkelahi	N	V;SG;ACT
戰鬥	fighting	戰鬥	fighting	N	PROPN
戰鬥	bertarung	戰鬥	bertarung	N	V;SG;ACT
戰鬥	bertarung	戰鬥	bertarung	N	V;SG;ACT
戰鬥	berkelahi	戰鬥	berkelahi	N	V;SG;ACT
戰鬥	fight	戰鬥	fight	N	PROPN
戰鬥	melawan	戰鬥	menlawan	N	ADP;SG;ACT
戰鬥	berjuang	戰鬥	berjuang	N	V;SG;ACT
項目	project	項目	project	N	PROPN
項目	butir	項目	butir	N	PROPN;SG
項目	butir	項目	butir	N	PROPN;SG
限制	pembatasan	限制	penbatasan	V	N;SG
限制	keterbatasan	限制	keterbatasan	V	N;SG
限制	batasan	限制	batasan	V	N;SG
限制	pembatasan	限制	penbatasan	V	N;SG
限制	pelarangan	限制	penlarangan	V	N;SG
限制	keterbatasan	限制	keterbatasan	V	N;SG
限制	pembatasan	限制	penbatasan	V	N;SG
限制	batas	限制	batas	V	N;SG
限制	limit	限制	limit	V	PROPN
電腦	computer	電腦	computer	N	PROPN
如何	bagaimana	如何	bagaimana		ADV
如何	how	如何	how		PROPN
創作	kreasi	創作	kreasi	V	N;SG;ACT
創作	ciptaannya	創作	ciptaan	V	N;SG
創作	pembuatan	創作	penbuatan	V	N;SG
創作	ciptaan	創作	ciptaan	V	N;SG
創作	penciptaan	創作	penciptaan	V	N;SG
創作	kreasi	創作	kreasi	V	N;SG;ACT
創作	kreatif	創作	kreatif	V	ADJ;SG
執行	eksekusi	執行	eksekusi	V	N;SG
執行	eksekusi	執行	eksekusi	V	N;SG
執行	pelaksanaan	執行	penlaksanaan	V	N;SG
英雄	heroes	英雄	heroes	N	PROPN
英雄	hero	英雄	hero	N	PROPN
透過	through	透過	through	ADP	PROPN
反對	keberatan	反對	keberatan	V	N;SG
反對	oposisi	反對	oposisi	V	N;SG
興	xing	興	xing	N	PROPN
興	hing	興	hing	N	PROPN
昂	ang	昂	ang		PROPN
昂	aung	昂	aung		PROPN
體育	sport	體育	sport	N	PROPN
體育	sports	體育	sports	N	PROPN
洲	chau	洲	chau	N	PROPN
投入	input	投入	input	V	N
投入	masukan	投入	masukan	V	N;SG
投入	input	投入	input	V	N
有些	some	有些	some	V	PROPN
有些	beberapa	有些	beberapa	V	DET
宇	woo	宇	woo	PROPN	PROPN
任命	janji	任命	janji	V	N;SG
解	memecahkan	解	menpecahkan		V;SG;ACT
解	selesaikan	解	selesaikan		V;SG;ACT
解	pecahkan	解	pecahkan		V;SG;ACT
跨	trans	跨	trans		PROPN
王朝	wangsa	王朝	wangsa	N	PROPN
區域	zone	區域	zone	N	PROPN
區域	provinsi	區域	provinsi	N	PROPN;SG
以前	sebelum	以前	sebelum	N	ADP
以前	sebelumnya	以前	sebelumnya	N	ADV
以前	before	以前	before	N	PROPN
孫	mentari	孫	mentari	PROPN	PROPN
孫	matahari	孫	matahari	PROPN	N;SG
孫	sun	孫	sun	PROPN	PROPN
崔	choi	崔	choi	PROPN	PROPN
崔	cui	崔	cui	PROPN	PROPN
禮	rite	禮	rite	N	PROPN
申	shin	申	shin	PROPN	PROPN
湖南	hunan	湖南	hunan	PROPN	PROPN
有效	valid	有效	valid	V	PROPN
有效	sah	有效	sah	V	ADJ;SG
有效	efektif	有效	efektif	V	ADJ;SG
議會	dpr	議會	dpr	N	PROPN;SG
傳統	tradisional	傳統	tradisional	N	ADJ;SG
夏季	summer	夏季	summer	N	PROPN
照片	picture	照片	picture	N	PROPN
照片	foto	照片	foto	N	PROPN;SG
照片	photograph	照片	photograph	N	PROPN
照片	pictures	照片	pictures	N	PROPN
照片	foto	照片	foto	N	PROPN;SG
照片	photo	照片	photo	N	PROPN
照片	foto	照片	foto	N	PROPN;SG
核	inti	核	inti	N	PROPN;SG
停止	stop	停止	stop	V	PROPN
公開	publik	公開	publik	V	N
公開	public	公開	public	V	PROPN
仙	peri	仙	penri	PROPN	N;SG
仙	fairy	仙	fairy	PROPN	PROPN
仙	xian	仙	xian	PROPN	PROPN
劍	sword	劍	sword	N	PROPN
機構	agency	機構	agency	N	PROPN
機構	agen	機構	agen	N	PROPN;SG
帶	belt	帶	belt	V	PROPN
帶	sabuk	帶	sabuk	V	N;SG
操作	operasi	操作	operasi	V	N;SG
取消	batal	取消	batal	V	;SG
取消	pembatalan	取消	penbatalan	V	N
人類	human	人類	human	N	PROPN
飛	fly	飛	fly	N	PROPN
飛	flying	飛	flying	N	PROPN
飛	menerbangkan	飛	menterbangkan	N	V;SG;ACT
軍事	militer	軍事	militer	N	ADJ;SG
協助	bantuan	協助	bantuan	V	N;SG
協助	assist	協助	assist	V	N
橋	bridge	橋	bridge	N	PROPN
橋	bridges	橋	bridges	N	PROPN
調查	survei	調查	survei	V	N;SG
調查	investigasi	調查	investigasi	V	N;SG
調查	penyelidikan	調查	penselidikan	V	N;SG
調查	survey	調查	survey	V	N
調查	survei	調查	survei	V	N;SG
調查	investigasi	調查	investigasi	V	N;SG
調查	penyelidikan	調查	penselidikan	V	N;SG
投	cor	投	cor	N	PROPN
投	dilemparkan	投	dilemparkan	N	V;SG;PASS
投	cast	投	cast	N	PROPN
投	melemparkan	投	menlemparkan	N	V;SG;ACT
投	pitch	投	pitch	N	PROPN
忠	chung	忠	chung	PROPN	PROPN
澳洲	australian	澳洲	australian	PROPN	PROPN
澳洲	australia	澳洲	australia	PROPN	PROPN;SG
主教	bishop	主教	bishop	N	PROPN
孟	meng	孟	meng	PROPN	
紀念	memorial	紀念	menporial	V	PROPN
紀念	suvenir	紀念	suvenir	V	N
紀念	souvenir	紀念	souvenir	V	N
地點	tempatkan	地點	tempatkan	N	V;SG;ACT
地點	place	地點	place	N	PROPN
決賽	finals	決賽	finals	N	PROPN
柳	yoo	柳	yoo	PROPN	PROPN
柳	ryu	柳	ryu	PROPN	PROPN
沈	shen	沈	shen	PROPN	PROPN
人工	artifisial	人工	artifisial	N	ADJ;SG
守	mamoru	守	mamoru		PROPN
移動	move	移動	move	V	PROPN
陸軍	army	陸軍	army	N	PROPN
法院	court	法院	court	N	PROPN
留	tetap	留	tetap	V	ADV;SG
留	stay	留	stay	V	PROPN
電	electric	電	electric	N	PROPN
運動	atlet	運動	atlet	V	N;SG
運動	atlit	運動	atlit	V	N;SG
運動	atlet	運動	atlet	V	N;SG
運動	atlit	運動	atlit	V	N;SG
運動	olahragawan	運動	olahragawan	V	N;SG
夢	dream	夢	dream	N	PROPN
夢	dreams	夢	dreams	N	PROPN
祥	xiang	祥	xiang	PROPN	PROPN
羅馬	rome	羅馬	rome	PROPN	PROPN
羅馬	romawi	羅馬	romawi	PROPN	PROPN;SG
羅馬	roma	羅馬	roma	PROPN	PROPN
科學	ilmiah	科學	ilmiah	N	ADJ;SG
科學	scientific	科學	scientific	N	PROPN
東北	northeastern	東北	northeastern	N	PROPN
東北	northeast	東北	northeast	N	PROPN
烏克蘭	ukraina	烏克蘭	ukraina	PROPN	N;SG
啟用	aktifkan	啟用	aktifkan	V	N;SG;ACT
啟用	aktif	啟用	aktif	V	ADJ;SG
啟用	aktifkan	啟用	aktifkan	V	N;SG;ACT
皇后	maharani	皇后	maharani	N	PROPN
皇后	ratu	皇后	ratu	N	PROPN;SG
皇后	queen	皇后	queen	N	PROPN
肯	ken	肯	ken		PROPN
九龍	kowloon	九龍	kowloon	PROPN	PROPN
動物	animals	動物	animals	N	PROPN
動物	animal	動物	animal	N	PROPN
佛教	budha	佛教	budha	N	PROPN
佛教	buddha	佛教	buddha	N	PROPN
精神	ruh	精神	ruh	N	PROPN;SG
精神	spirit	精神	spirit	N	PROPN
企業	enterprises	企業	enterprises	N	PROPN
企業	business	企業	business	N	PROPN
核心	core	核心	core	N	PROPN
核心	inti	核心	inti	N	PROPN;SG
核心	inti	核心	inti	N	PROPN;SG
核心	kada	核心	kada	N	PROPN
河南	henan	河南	henan	PROPN	PROPN
冰	ice	冰	ice	N	PROPN
冰	es	冰	es	N	PROPN;SG
第七	seventh	第七	seventh	NUM	PROPN
甘	gan	甘	gan	PROPN	PROPN
飛機	aircraft	飛機	aircraft	N	PROPN
飛機	plane	飛機	plane	N	PROPN
詹	zhan	詹	zhan	PROPN	PROPN
應	harus	應	harus	V	ADV;SG;ACT
應	haruskah	應	harus	V	ADV
太陽	mentari	太陽	mentari	N	PROPN
太陽	sun	太陽	sun	N	PROPN
太陽	solar	太陽	solar	N	PROPN
深圳	shenzhen	深圳	shenzhen	PROPN	PROPN
瑞典	swedia	瑞典	swedia	PROPN	PROPN;SG
廳	balai	廳	balai	N	PROPN;SG;ACT
廳	hall	廳	hall	N	PROPN
關	guan	關	guan	PROPN	N;SG
關	nonaktif	關	nonaktif	PROPN	
關	off	關	off	PROPN	PROPN
關	mati	關	mati	PROPN	ADJ;SG
福建	fujian	福建	fujian	PROPN	PROPN
選擇	seleksi	選擇	seleksi	V	N;SG
選擇	pemilihan	選擇	penpilihan	V	N;SG
選擇	pilihan	選擇	pilihan	V	N;SG
選擇	choice	選擇	choice	V	PROPN
陶	tao	陶	tao	PROPN	PROPN
比較	perbandingan	比較	perbandingan	ADV	N;SG
比較	bandingkan	比較	bandingkan	ADV	V;SG;ACT
比較	membandingkan	比較	menbandingkan	ADV	V;SG;ACT
比較	perbandingan	比較	perbandingan	ADV	N;SG
比較	perbandingan	比較	perbandingan	ADV	N;SG
類似	serupa	類似	serupa	V	ADJ;SG
類似	mirip	類似	mirip	V	ADJ;SG
眼	eyes	眼	eyes	N	PROPN
眼	eye	眼	eye	N	PROPN
澤	chak	澤	chak	PROPN	PROPN
妻子	wife	妻子	wife	N	PROPN
秋	autumn	秋	autumn	PROPN	N;SG
雨	rain	雨	rain	N	PROPN
編號	nomer	編號	nomer	N	PROPN;SG
溫	wen	溫	wen	N	PROPN
思想	pikir	思想	pikir	N	
思想	berpikir	思想	berpikir	N	V;SG;ACT
破壞	sabotase	破壞	sabotase	V	N;SG
破壞	penghancuran	破壞	penhancuran	V	N;SG
破壞	pengrusakan	破壞	penrusakan	V	N;SG
破壞	kehancuran	破壞	kehancuran	V	N;SG
重建	rekonstruksi	重建	rekonstruksi	V	N;SG
第六	sixth	第六	sixth	NUM	PROPN
基督	christian	基督	christian	PROPN	PROPN
基督	kristiani	基督	kristiani	PROPN	PROPN;SG
基督	kristen	基督	kristen	PROPN	PROPN;SG
基督	kekristenan	基督	kekristenan	PROPN	N;SG
基督	kristen	基督	kristen	PROPN	PROPN;SG
南方	southern	南方	southern	PROPN	PROPN
南方	selatan	南方	selatan	PROPN	N;SG
南方	selatan	南方	selatan	PROPN	N;SG
南方	south	南方	south	PROPN	PROPN
洋	hiroshi	洋	hiroshi	N	PROPN
洋	samudera	洋	samudera	N	PROPN;SG
洋	samudra	洋	samudra	N	PROPN;SG
洋	ocean	洋	ocean	N	PROPN
公民	sipil	公民	sipil	N	ADJ;SG
公民	civic	公民	civic	N	PROPN
公民	citizen	公民	citizen	N	PROPN
燕	menelan	燕	mentelan	PROPN	V;SG;ACT
燕	swallow	燕	swallow	PROPN	PROPN
燕	telan	燕	telan	PROPN	V;SG;ACT
燕	yan	燕	yan	PROPN	
改善	perbaikan	改善	perbaikan	V	N;SG
改善	penyempurnaan	改善	pensempurnaan	V	N;SG
改善	penyempurnaan	改善	pensempurnaan	V	N;SG
改善	peningkatan	改善	pentingkatan	V	N;SG
改善	perbaikan	改善	perbaikan	V	N;SG
改善	peningkatan	改善	pentingkatan	V	N;SG
鐵道	railway	鐵道	railway	N	PROPN
鐵道	railroad	鐵道	railroad	N	PROPN
蘇聯	soviet	蘇聯	soviet	PROPN	PROPN
烈	yul	烈	yul	PROPN	PROPN
烈	yeol	烈	yeol	PROPN	PROPN
製造	manufaktur	製造	manufaktur	V	N
製造	pabrikasi	製造	pabrikasi	V	N;SG
敏	mnt	敏	mnt	PROPN	PROPN
敏	min	敏	min	PROPN	PROPN
網路	network	網路	network	N	PROPN
網路	networks	網路	networks	N	PROPN
炮	cannon	炮	cannon	N	PROPN
炮	gun	炮	gun	N	PROPN
岩	rocks	岩	rocks	N	PROPN
岩	rock	岩	rock	N	PROPN
排	row	排	row	N	PROPN
朋友	friends	朋友	friends	N	PROPN
朋友	berteman	朋友	berteman	N	V;SG;ACT
朋友	friend	朋友	friend	N	PROPN
十六	xvi	十六	xvi	PROPN	PROPN
十六	sixteen	十六	sixteen	PROPN	PROPN
有	seseorang	有	seseorang	V	N;SG
有	someone	有	someone	V	PROPN
生命	life	生命	life	N	PROPN
十五	fifteen	十五	fifteen	NUM	PROPN
油	oil	油	oil	N	PROPN
調	simak	調	simak		V;SG;ACT
調	tune	調	tune		PROPN
賢	hyun	賢	hyun	PROPN	PROPN
更	diperbaharui	更	diperbaharui	ADV	V;SG;PASS
更	diperbarui	更	diperbarui	ADV	V;SG;PASS
更	pembaruan	更	penbaruan	ADV	N;SG
更	mutakhirkan	更	mutakhirkan	ADV	PROPN
更	update	更	update	ADV	PROPN
更	perbarui	更	perbarui	ADV	V;SG;ACT
更	pemutakhiran	更	penputakhiran	ADV	N;SG
更	memutakhirkan	更	menputakhirkan	ADV	V;SG;ACT
更	memperbarui	更	menperbarui	ADV	V;SG;ACT
更	pembaruan	更	penbaruan	ADV	N;SG
更	update	更	update	ADV	PROPN
更	pemutakhiran	更	penputakhiran	ADV	N;SG
降	menurun	降	menturun		V;SG;ACT
彈	mainkan	彈	mainkan	N	V;SG;ACT
彈	bermain	彈	bermain	N	V;SG;ACT
彈	main	彈	main	N	PROPN
艦	ship	艦	ship	N	PROPN
返回	pengembalian	返回	penkembalian	V	N;SG
返回	return	返回	return	V	PROPN
宇宙	universe	宇宙	universe	N	PROPN
醫院	hospital	醫院	hospital	N	PROPN
醫院	rs	醫院	rs	N	PROPN
平方	square	平方	square	N	PROPN
批准	persetujuan	批准	persetujuan	V	N;SG
批准	persetujuan	批准	persetujuan	V	N;SG
瑞士	swiss	瑞士	swiss	PROPN	PROPN
大道	boulevard	大道	boulevard	N	PROPN
大道	avenue	大道	avenue	N	PROPN
順	shun	順	shun		PROPN
西方	maghrib	西方	maghrib	PROPN	PROPN
西方	barat	西方	barat	PROPN	N;SG
西方	west	西方	west	PROPN	PROPN
西方	barat	西方	barat	PROPN	N;SG
西方	western	西方	western	PROPN	PROPN
現代	modern	現代	modern	N	ADJ;SG
未來	future	未來	future	N	PROPN
未來	mirai	未來	mirai	N	PROPN
營	camp	營	camp	N	PROPN
芳	taring	芳	taring	PROPN	N;SG
芳	fang	芳	fang	PROPN	PROPN
著	tulisannya	著	tulisan	PART;PROG	N;SG
鯉	carp	鯉	carp	N	PROPN
金融	finansial	金融	finansial	N	ADJ;SG
任務	mission	任務	mission	N	PROPN
商業	commerce	商業	commerce	N	PROPN
商業	dagang	商業	dagang	N	PROPN;SG;ACT
商業	komersial	商業	komersial	N	ADJ;SG
商業	business	商業	business	N	PROPN
基金	fund	基金	fund	N	PROPN
空間	space	空間	space	N	PROPN
亮	ryo	亮	ryo	PROPN	PROPN
零	nol	零	nol	NUM	
零	zero	零	zero	NUM	PROPN
慶	kyung	慶	kyung	PROPN	PROPN
慶	kyeong	慶	kyeong	PROPN	PROPN
慶	khanh	慶	khanh	PROPN	PROPN
巨	raksasa	巨	raksasa		N;SG
巨	giant	巨	giant		PROPN
過去	past	過去	past	N	PROPN
董	tung	董	tung	PROPN	PROPN
董	dong	董	dong	PROPN	PROPN
存	deposito	存	deposito	V	N;SG
存	deposit	存	deposit	V	PROPN
存	setoran	存	setoran	V	N;SG
提高	peningkatan	提高	pentingkatan	V	N;SG
嚴重	serious	嚴重	serious	ADJ	PROPN
俊	jun	俊	jun	PROPN	
俊	joon	俊	joon	PROPN	PROPN
母親	mother	母親	mother	N	PROPN
母親	bunda	母親	bunda	N	PROPN
訓練	latihan	訓練	latihan	V	N;SG
訓練	pelatihan	訓練	penlatihan	V	N;SG
熙	hee	熙	hee	PROPN	PROPN
葡萄牙	portugis	葡萄牙	portugis	PROPN	PROPN
葡萄牙	portugal	葡萄牙	portugal	PROPN	N
行為	pimpin	行為	pimpin	N	V;SG;ACT
喬	joe	喬	joe	PROPN	PROPN
朝鮮	joseon	朝鮮	joseon	PROPN	PROPN
朝鮮	korea	朝鮮	korea	PROPN	PROPN;SG
工業	industrial	工業	industrial	N	PROPN
蓋	gai	蓋	gai		PROPN
慧	hye	慧	hye	PROPN	PROPN
舒	shu	舒	shu	PROPN	PROPN
坦克	tanks	坦克	tanks	N	PROPN
劇場	theater	劇場	theater	N	PROPN
劇場	theatre	劇場	theatre	N	PROPN
授予	penghargaan	授予	penhargaan	V	N;SG
授予	award	授予	award	V	N
水域	waters	水域	waters	N	PROPN
茂	mau	茂	mau	PROPN	ADV
茂	shigeru	茂	shigeru	PROPN	PROPN
茂	moo	茂	moo	PROPN	PROPN
參考	acuan	參考	acuan	V	N;SG
參考	referensi	參考	referensi	V	N;SG
參考	rujukan	參考	rujukan	V	N;SG
健	jian	健	jian	PROPN	PROPN
韓	han	韓	han	PROPN	PROPN
台北	taipei	台北	taipei	PROPN	PROPN
收入	income	收入	income	N	PROPN
珍	jane	珍	jane	PROPN	PROPN
珍	yeni	珍	yeni	PROPN	PROPN
成績	berprestasi	成績	berprestasi	N	V;SG;ACT
盛	sheng	盛	sheng	PROPN	PROPN
菜	dish	菜	dish	N	PROPN
古代	kuno	古代	kuno	N	ADJ;SG
灰	gray	灰	gray	N	PROPN
灰	asy	灰	asy	N	PROPN
灰	ash	灰	ash	N	PROPN
灰	abu	灰	abu	N	ADJ;SG
灰	grey	灰	grey	N	PROPN
灰	abu	灰	abu	N	ADJ;SG
寬	lebar	寬	lebar	PART	ADJ;SG
寬	luas	寬	luas	PART	N;SG
寬	lebar	寬	lebar	PART	ADJ;SG
寬	wide	寬	wide	PART	PROPN
寬	luas	寬	luas	PART	N;SG
提升	mutakhirkan	提升	mutakhirkan	V	PROPN
提升	upgrade	提升	upgrade	V	PROPN
提升	upgrade	提升	upgrade	V	PROPN
提升	angkat	提升	angkat	V	N;SG;ACT
提升	lift	提升	lift	V	N
楚	chu	楚	chu	PROPN	PROPN
新疆	xinjiang	新疆	xinjiang	PROPN	PROPN;SG
退	retret	退	retret	V	N
十八	eighteen	十八	eighteen	NUM	PROPN
持續	kontinu	持續	kontinu	V	PROPN;SG
品牌	branding	品牌	branding	N	PROPN
品牌	brand	品牌	brand	N	PROPN
卓	cheuk	卓	cheuk	PROPN	PROPN
卓	zhuo	卓	zhuo	PROPN	PROPN
翻譯	terjemahan	翻譯	terjemahan	V	N;SG
翻譯	penerjemahan	翻譯	penterjemahan	V	N;SG
翻譯	penerjemah	翻譯	penterjemah	V	N;SG
翻譯	translation	翻譯	translation	V	PROPN
翻譯	terjemahan	翻譯	terjemahan	V	N;SG
翻譯	penerjemahan	翻譯	penterjemahan	V	N;SG
翻譯	translate	翻譯	translate	V	N
目標	goal	目標	goal	N	PROPN
目標	objektif	目標	objektif	N	ADJ
目標	obyektif	目標	obyektif	N	ADJ
目標	objektif	目標	objektif	N	ADJ
目標	menargetkan	目標	mentargetkan	N	V;SG;ACT
基礎	dasar	基礎	dasar	N	ADJ;SG
基礎	basis	基礎	basis	N	PROPN;SG
基礎	basis	基礎	basis	N	PROPN;SG
自動	otomatis	自動	otomatis	N	
自動	otomatis	自動	otomatis	N	
自動	otomatis	自動	otomatis	N	
自動	otomatis	自動	otomatis	N	
群島	kepulauan	群島	kepulauan	N	PROPN;SG
群島	kepulauan	群島	kepulauan	N	PROPN;SG
軍隊	army	軍隊	army	N	PROPN
宣	xuan	宣	xuan	PROPN	PROPN
鏡	mirror	鏡	mirror	N	PROPN
鏡	maen	鏡	maen	N	PROPN
注意	perhatian	注意	perhatian	V	N;SG
大樓	building	大樓	building	N	PROPN
大樓	membangun	大樓	menbangun	N	V;SG;ACT
出口	exit	出口	exit	N	PROPN
出口	keluar	出口	keluar	N	V;SG;ACT
關於	ttg	關於	ttg	ADP	
關於	perihal	關於	perihal	ADP	N
高速	expressways	高速	expressways	ADJ	N
高速	autoroute	高速	autoroute	ADJ	N
高速	highway	高速	highway	ADJ	PROPN
產品	product	產品	product	N	PROPN
畫	paint	畫	paint	N	PROPN
畫	cat	畫	cat	N	PROPN
畫	draw	畫	draw	N	PROPN
畫	menggambar	畫	mengambar	N	V;SG;ACT
畫	melukis	畫	menlukis	N	V;SG;ACT
舞	dance	舞	dance	N	PROPN
舞	menari	舞	mentari	N	PROPN;SG
舞	menari	舞	mentari	N	PROPN;SG
舞	dancing	舞	dancing	N	PROPN
荷蘭	belanda	荷蘭	belanda	PROPN	PROPN;SG
獸	beast	獸	beast	N	PROPN
汽車	car	汽車	car	N	PROPN
汽車	cars	汽車	cars	N	PROPN
宏	makro	宏	makro	PROPN	N;SG
宏	macro	宏	macro	PROPN	N
命令	perintah	命令	perintah	V	N;SG
命令	perintah	命令	perintah	V	N;SG
命令	komando	命令	komando	V	PROPN;SG
命令	pesanan	命令	pesanan	V	N;SG
命令	pemesanan	命令	penpesanan	V	N;SG
命令	order	命令	order	V	PROPN
命令	urutan	命令	urutan	V	N;SG
命令	perintah	命令	perintah	V	N;SG
命令	pesanan	命令	pesanan	V	N;SG
遠	far	遠	far		PROPN
遠	jauh	遠	jauh		ADJ;SG
結構	architecture	結構	architecture	N	PROPN
埃及	mesir	埃及	mesir	PROPN	PROPN;SG
字母	letters	字母	letters	N	PROPN
字母	letter	字母	letter	N	PROPN
大陸	continental	大陸	continental	N	PROPN
大陸	mainland	大陸	mainland	N	PROPN
可	coco	可	coco	V	PROPN
可	kakao	可	kakao	V	PROPN
海岸	shore	海岸	shore	N	PROPN
海岸	coast	海岸	coast	N	PROPN
水平	mendatar	水平	mendatar	N	PROPN;SG
水平	mendatar	水平	mendatar	N	PROPN;SG
輝	fai	輝	fai	PROPN	PROPN
輝	huy	輝	huy	PROPN	PROPN
墨西哥	meksiko	墨西哥	meksiko	PROPN	PROPN;SG
墨西哥	mexico	墨西哥	mexico	PROPN	PROPN
學習	kajian	學習	kajian	V	N;SG
學習	studi	學習	studi	V	N;SG
學習	pembelajaran	學習	penbelajaran	V	N;SG
賴	lai	賴	lai	PROPN	PROPN
阮	nguyễn	阮	nguyễn	PROPN	PROPN
阮	nguyen	阮	nguyen	PROPN	PROPN
阮	nguyen	阮	nguyen	PROPN	PROPN
阮	ruan	阮	ruan	PROPN	N;SG
動	move	動	move	N	PROPN
動	pindah	動	pindah	N	V;SG;ACT
動	pindahkan	動	pindahkan	N	V;SG;ACT
動	bergerak	動	bergerak	N	V;SG;ACT
樂團	orchestra	樂團	orchestra	N	PROPN
以後	kemudian	以後	kemudian	N	ADV
以後	nanti	以後	nanti	N	
士兵	soldier	士兵	soldier	N	PROPN
容易	gampang	容易	gampang	ADV	ADJ;SG
容易	mudah	容易	mudah	ADV	ADJ;SG
容易	easy	容易	easy	ADV	PROPN
魔法	ajaib	魔法	ajaib	N	ADJ;SG
魔法	magic	魔法	magic	N	PROPN
