और	un	और	un		CONJ
तकनीकी	tehniskā	तकनीकी	tehniska	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
माँ	māmiņas	माँ	māmiņa		N;NOM;FEM;PL
माँ	mammas	माँ	mamma		N;NOM;FEM;PL
माँ	mammu	माँ	mamma		N;ACC;FEM;SG
माँ	mammai	माँ	mamma		N;DAT;FEM;SG
माँ	mamma	माँ	mamma		N;NOM;FEM;SG
माँ	mammas	माँ	mamma		N;NOM;FEM;PL
माँ	māte	माँ	māte		N;NOM;FEM;SG
माँ	mātes	माँ	māte		N;NOM;FEM;PL
विष्णु	višnu	विष्णु	višna	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
मैदान	līdzenumi	मैदान	līdzenumi	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मैदान	plain	मैदान	plain	N;NOM;MASC;SG;3	
मैदान	vienkārša	मैदान	vienkārša	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मैदान	vienkāršs	मैदान	vienkāršs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मैदान	reljefa	मैदान	reljefa	N;NOM;MASC;SG;3	N;GEN;MASC;SG
मैदान	malti	मैदान	malti	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
मैदान	zemes	मैदान	zeme	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विमान	lidmašīnas	विमान	lidmašīna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विमान	lidaparāti	विमान	lidaparāts	N;NOM;MASC;SG;3	N;NOM;MASC;PL
सक्षम	aktivizēta	सक्षम	aktivizēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
सक्षम	ieslēgts	सक्षम	ieslēgt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
सक्षम	ieslēgti	सक्षम	ieslēgt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
सक्षम	aktivizēts	सक्षम	aktivizēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
सक्षम	ieslēgta	सक्षम	ieslēgt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
सक्षम	ļāva	सक्षम	ļaut	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
सक्षम	spēj	सक्षम	spēt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
वातावरण	atmosfērā	वातावरण	atmosfērs	N;NOM;MASC;SG;3	N;ESS;FEM;SG
वातावरण	atmosfēras	वातावरण	atmosfēra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
लागत	izmaksas	लागत	izmaksa	N;NOM;FEM;SG;3	N;NOM;FEM;PL
लागत	izmaksas	लागत	izmaksa	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सीधे	taisna	सीधे	taisna	ADV	ADJ;NOM;FEM;SG
सीधे	tieši	सीधे	tieši	ADV	PART
प्रेस	spied	प्रेस	spiest	N;NOM;FEM;SG;3	INTJ
प्रेस	nospiest	प्रेस	nospiest	N;NOM;FEM;SG;3	V;POS;NFIN
प्रेस	preses	प्रेस	prese	N;NOM;FEM;SG;3	N;NOM;FEM;PL
प्रेस	nospied	प्रेस	nospiedēt	N;NOM;FEM;SG;3	INTJ
रोमन	romāns	रोमन	romāns		N;NOM;MASC;SG
रोमन	romans	रोमन	romans		PROPN;NOM;MASC;SG
रोमन	romiešu	रोमन	romietis		N;GEN;MASC;PL
मील	jūdžu	मील	jūdžs	N;NOM;MASC;SG;3	N;ACC;MASC;SG
मील	jūdzes	मील	jūdze	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अज्ञात	nezināma	अज्ञात	nezināt	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
अज्ञात	nezināms	अज्ञात	nezināt	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
अज्ञात	anonīmi	अज्ञात	anonīmi	ADJ	ADV
पार	krustu	पार	krustu	N;NOM;MASC;SG;3	N;ACC;MASC;SG
लेखन	rakstīšana	लेखन	rakstīšana		N;NOM;FEM;SG
लेखन	raksta	लेखन	rakstīt		V;FH;IND;3;POS;PRS;FIN;ACT
लेखन	rakstot	लेखन	rakstīt		V;V.CVB
सेंट	centi	सेंट	cents	PROPN;NOM;MASC;SG;3	
बोली	piedāvājumi	बोली	piedāvājums	N;NOM;FEM;SG;3	N;NOM;MASC;PL
नष्ट	iznīcināta	नष्ट	iznīcināt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
नष्ट	iznīcināts	नष्ट	iznīcināt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
नष्ट	iznīcināti	नष्ट	iznīcināt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
नष्ट	iznīcina	नष्ट	iznīcināt	PROPN;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
नष्ट	iznīcina	नष्ट	iznīcināt	PROPN;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
नष्ट	iznīcināt	नष्ट	iznīcināt	PROPN;NOM;MASC;SG;3	V;POS;NFIN
परंपरा	tradīcijas	परंपरा	tradīcija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
परंपरा	tradīciju	परंपरा	tradīcija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
दृष्टिकोण	pieeju	दृष्टिकोण	pieiet	N;NOM;MASC;SG;3	V;FH;IND;SG;1;POS;PRS;FIN;ACT
भाव	emocijām	भाव	emocija	N;NOM;MASC;SG;3	N;DAT;FEM;PL
भाव	emocijas	भाव	emocija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
भाव	žestu	भाव	žests	N;NOM;MASC;SG;3	N;ACC;MASC;SG
हवा	vēju	हवा	vējš	N;NOM;FEM;SG;3	N;ACC;MASC;SG
हवा	vēja	हवा	vējš	N;NOM;FEM;SG;3	N;GEN;MASC;SG
वैदिक	vedic	वैदिक	vedicēt	PROPN;NOM;MASC;SG;3	
गठन	rāmji	गठन	rāmis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
गठन	rāmja	गठन	rāmis	N;NOM;MASC;SG;3	N;GEN;MASC;SG
गठन	rāmi	गठन	rāmi	N;NOM;MASC;SG;3	ADV
गठन	veidošanos	गठन	veidošanās	N;NOM;MASC;SG;3	N;ACC;FEM;SG
गठन	dibināšanas	गठन	dibināšana	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नागरिक	pilsoniskās	नागरिक	pilsoniska	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
अस्तित्व	izdzīvošanu	अस्तित्व	izdzīvošana	N;NOM;MASC;SG;3	N;ACC;FEM;SG
गंभीर	nopietni	गंभीर	nopietni	ADJ	ADV
गंभीर	kritiski	गंभीर	kritiski	ADJ	ADV
समझ	sapratne	समझ	sapratne	V;ACT	N;NOM;FEM;SG
समझ	izpratni	समझ	izpratne	V;ACT	N;ACC;FEM;SG
समझ	izpratne	समझ	izpratne	V;ACT	N;NOM;FEM;SG
समझ	saprašanās	समझ	saprašanās	V;ACT	N;NOM;FEM;SG
किस	buča	कौन	buča	PRO	N;NOM;FEM;SG
किस	skūpsts	कौन	skūpsts	PRO	N;NOM;MASC;SG
आदेश	pilnvaras	आदेश	pilnvara	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आदेश	pasūtīt	आदेश	pasūtīt	N;NOM;MASC;SG;3	V;POS;NFIN
आदेश	rīkojumi	आदेश	rīkojums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आदेश	pasūtījumu	आदेश	pasūtījums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
आदेश	pasūtījumi	आदेश	pasūtījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आदेश	pasūtījumus	आदेश	pasūtījums	N;NOM;MASC;SG;3	N;ACC;MASC;PL
सैन्य	militāra	सैन्य	militāra	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सैन्य	militārie	सैन्य	militārs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
सैन्य	militārā	सैन्य	militāra	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सैन्य	militāri	सैन्य	militāre	N;NOM;MASC;SG;3	ADV
सैन्य	militāro	सैन्य	militāra	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
अंदर	iekšpusē	अंदर	iekšpuse	ADV;NOM;MASC;SG;3	N;ESS;FEM;SG
अंदर	iekštelpu	अंदर	iekštelpa	ADV;NOM;MASC;SG;3	N;ACC;FEM;SG
अंदर	telpās	अंदर	telpa	ADV;NOM;MASC;SG;3	N;ESS;FEM;PL
ग्रन्थ	teksti	ग्रन्थ	teksts	N;NOM;MASC;SG;3	N;NOM;MASC;PL
ग्रन्थ	tekstus	ग्रन्थ	teksts	N;NOM;MASC;SG;3	N;ACC;MASC;PL
भुगतान	maksājumi	भुगतान	maksājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
भुगतान	maksājumus	भुगतान	maksājums	N;NOM;MASC;SG;3	N;ACC;MASC;PL
भुगतान	maksājumi	भुगतान	maksājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
उनसे	viņiem	वह	viņš	PRO;SG;3;FORM	PRO;DAT;MASC;PL;3
ध्वनि	skaņu	ध्वनि	skaņa	N;NOM;FEM;SG;3	N;ACC;FEM;SG
ध्वनि	skaņas	ध्वनि	skaņa	N;NOM;FEM;SG;3	N;NOM;FEM;PL
ध्वनि	izklausās	ध्वनि	izklausīties	N;NOM;FEM;SG;3	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
ध्वनि	skaņas	ध्वनि	skaņa	N;NOM;FEM;SG;3	N;NOM;FEM;PL
ध्वनि	skan	ध्वनि	skanēt	N;NOM;FEM;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
निवास	dzīvesvietu	निवास	dzīvesviete	N;NOM;MASC;SG;3	N;ACC;FEM;SG
निवास	dzīvesvietas	निवास	dzīvesvieta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अरबी	arābu	अरबी	arābs	PROPN;NOM;FEM;SG;3	N;ACC;MASC;SG
हत्या	slepkavības	हत्या	slepkavība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
हत्या	slepkavības	हत्या	slepkavība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
हत्या	slepkavību	हत्या	slepkavība	N;NOM;FEM;SG;3	N;ACC;FEM;SG
हत्या	nogalināšanas	हत्या	nogalināšana	N;NOM;FEM;SG;3	N;NOM;FEM;PL
पवित्र	svēto	पवित्र	svēts	ADJ	N
विभाजित	dalīts	विभाजित	dalīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
विभाजित	dala	विभाजित	dala	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
विभाजित	dalījums	विभाजित	dalījums	ADJ	N;NOM;MASC;SG
विभाजित	sadalīt	विभाजित	sadalīt	ADJ	V;POS;NFIN
इकाई	mērvienības	इकाई	mērvienība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
इकाई	vienības	इकाई	vienība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
अम्ल	skābes	अम्ल	skābe	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रबंधक	vadītāji	प्रबंधक	vadītājs	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रबंधक	pārvaldnieki	प्रबंधक	pārvaldnieks	N;NOM;MASC;SG;3	N;NOM;MASC;PL
वही	pašas	वह	pati	PRO;NOM;SG;3	PRO;NOM;FEM;PL
वही	pašu	वह	pats	PRO;NOM;SG;3	PRO;ACC;MASC;SG
संग्रहालय	muzeji	संग्रहालय	muzejs	N;NOM;MASC;SG;3	N;NOM;MASC;PL
संग्रहालय	muzeju	संग्रहालय	muzejs	N;NOM;MASC;SG;3	N;ACC;MASC;SG
संग्रहालय	muzeja	संग्रहालय	muzejs	N;NOM;MASC;SG;3	N;GEN;MASC;SG
संग्रहालय	muzejā	संग्रहालय	muzejs	N;NOM;MASC;SG;3	N;ESS;MASC;SG
जीता	uzvaras	जीत	uzvara	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;FEM;PL
मुद्रा	naudu	मुद्रा	nauda	N;NOM;FEM;SG;3	N;ACC;FEM;SG
मुद्रा	naudas	मुद्रा	nauda	N;NOM;FEM;SG;3	N;NOM;FEM;PL
मतलब	līdzekļi	मतलब	līdzeklis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मतलब	nozīmē	मतलब	nozīme	N;NOM;MASC;SG;3	N;ESS;FEM;SG
मतलब	vidējais	मतलब	vidējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
युवा	jaunieši	युवा	jaunietis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
युवा	jauni	युवा	jauns	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
शहरों	pilsētu	शहर	pilsēta	N;ACC;MASC;PL;3	N;ACC;FEM;SG
शहरों	pilsētas	शहर	pilsēta	N;ACC;MASC;PL;3	N;NOM;FEM;PL
संचार	komunikācijas	संचार	komunikācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संचार	sakari	संचार	sakars	N;NOM;MASC;SG;3	N;NOM;MASC;PL
संचार	paziņojumi	संचार	paziņojums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
संचार	komunikāciju	संचार	komunikācija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
संचार	komunikācijas	संचार	komunikācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रसारण	pārraida	प्रसारण	pārraidīt	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
प्रसारण	raidījumu	प्रसारण	raidījums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रसारण	apraides	प्रसारण	apraide	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रसारण	raidījumus	प्रसारण	raidījums	N;NOM;MASC;SG;3	N;ACC;MASC;PL
प्रसारण	apraides	प्रसारण	apraide	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नियमित	regulāri	नियमित	regulāri	ADJ;NOM	ADV
व्याख्या	piezīme	व्याख्या	piezīme	N;NOM;FEM;SG;3	
व्याख्या	interpretācijas	व्याख्या	interpretācija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
व्याख्या	interpretāciju	व्याख्या	interpretācija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
व्याख्या	interpretācijā	व्याख्या	interpretācija	N;NOM;FEM;SG;3	N;ESS;FEM;SG
व्याख्या	interpretēt	व्याख्या	interpretēt	N;NOM;FEM;SG;3	V;POS;NFIN
शेष	atlikums	शेष	atlikums	ADJ	N;NOM;MASC;SG
शेष	atlikušās	शेष	atlikt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
शेष	atlikusī	शेष	atlikt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
शेष	atlikušais	शेष	atlikt	ADJ	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
शेष	palicis	शेष	palikt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
शेष	palikusi	शेष	palikt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
दावा	apgalvojumi	दावा	apgalvojums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
दावा	prasības	दावा	prasība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दावा	pieprasījumi	दावा	pieprasījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मोबाइल	mobilo	मोबाइल	mobils	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
मोबाइल	mobilais	मोबाइल	mobils	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
संभावना	iespējas	संभावना	iespēja	N;NOM;FEM;SG;3	N;NOM;FEM;PL
संभावना	izredzes	संभावना	izredzes	N;NOM;FEM;SG;3	N;NOM;FEM;PL
संभावना	visticamāk	संभावना	ticami	N;NOM;FEM;SG;3	ADV;RL
संभावना	varbūtības	संभावना	varbūtība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
संभावना	varbūtību	संभावना	varbūtība	N;NOM;FEM;SG;3	N;ACC;FEM;SG
दिवस	dienu	दिवस	diena	N;NOM;MASC;SG;3	N;ACC;FEM;SG
दिवस	dienā	दिवस	diena	N;NOM;MASC;SG;3	N;ESS;FEM;SG
विधायक	likumdevēju	विधायक	likumdevējs	N;NOM;MASC;PL;3	N;ACC;MASC;SG
विधायक	likumdevējs	विधायक	likumdevējs	N;NOM;MASC;PL;3	N;NOM;MASC;SG
विधायक	likumdevējam	विधायक	likumdevējs	N;NOM;MASC;PL;3	N;DAT;MASC;SG
तर्क	loģiku	तर्क	loģika	N;NOM;MASC;SG;3	N;ACC;FEM;SG
तर्क	loģikas	तर्क	loģika	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आपके	tavas	आप	tava	PRO;MASC;SG;2;FORM	PRO;NOM;FEM;PL;3
आपके	tavu	आप	tava	PRO;MASC;SG;2;FORM	PRO;ACC;SG;3
आपके	tavs	आप	tavs	PRO;MASC;SG;2;FORM	PRO;NOM;MASC;SG;3
आपके	jūsu	आप	jūs	PRO;MASC;SG;2;FORM	PRO;GEN;PL;2
आपके	tava	आप	tava	PRO;MASC;SG;2;FORM	PRO;NOM;FEM;SG;3
परीक्षा	eksāmeni	परीक्षा	eksāmens	N;NOM;FEM;SG;3	N;NOM;MASC;PL
पाई	pīrāgs	पा	pīrāgs	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;MASC;SG
पाई	pīrāgu	पा	pīrāgs	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;ACC;MASC;SG
महाभारत	mahābhārata	महाभारत	mahābhārats	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
खाद्य	ēdami	खाद्य	ēst	N;NOM;MASC;SG;3	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
खाद्य	uzturā	खाद्य	uzturs	N;NOM;MASC;SG;3	N;ESS;MASC;SG
भविष्य	nākotnes	भविष्य	nākotne	N;NOM;MASC;SG;3	N;NOM;FEM;PL
भविष्य	nākotnē	भविष्य	nākotne	N;NOM;MASC;SG;3	N;ESS;FEM;SG
भविष्य	nākotni	भविष्य	Nākotne	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बिक्री	noiets	बिक्री	noiet	N;NOM;FEM;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
इंटरनेट	interneta	इंटरनेट	internets	N;NOM;MASC;SG;3	N;NOM;MASC
इंटरनेट	internets	इंटरनेट	internets	N;NOM;MASC;SG;3	N;NOM;MASC
सम्मेलन	konferencē	सम्मेलन	konference	N;NOM;MASC;SG;3	N;ESS;FEM;SG
सम्मेलन	konvenciju	सम्मेलन	konvencija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
रानी	queen	रानी	queen	N;NOM;FEM;SG;3	
रानी	karalienes	रानी	karaliene	N;NOM;FEM;SG;3	N;NOM;FEM;PL
अच्छे	laba	अच्छा	laba	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
अच्छे	labi	अच्छा	labi	ADJ;NOM;MASC;PL	ADV
अच्छे	labs	अच्छा	labs	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
अच्छे	labais	अच्छा	labs	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
तुम	tu	तुम	tu	PRO;NOM;SG;3	PRO;NOM;SG;2
तुम	tevi	तुम	tu	PRO;NOM;SG;3	PRO;ACC;SG;2
तुम	jums	तुम	jūs	PRO;NOM;SG;3	PRO;DAT;PL;2
तुम	tev	तुम	tu	PRO;NOM;SG;3	PRO;DAT;SG;2
तुम	jūs	तुम	jūs	PRO;NOM;SG;3	PRO;NOM;PL;2
सिर	galvu	सिर	galva	N;NOM;MASC;SG;3	N;ACC;FEM;SG
सिर	galvas	सिर	galva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दबाव	spiediena	दबाव	spiediens	N;NOM;MASC;SG;3	N;GEN;MASC;SG
बोर्ड	padomju	बोर्ड	padome	N;NOM;MASC;SG;3	N;GEN;FEM;PL
बोर्ड	dēļi	बोर्ड	dēļi	N;NOM;MASC;SG;3	N;NOM;MASC;PL
बोर्ड	valdi	बोर्ड	valde	N;NOM;MASC;SG;3	N;ACC;FEM;SG
ख़ान	khan	ख़ान	khan	PROPN;NOM;MASC;SG;3	
नियुक्त	iecelt	नियुक्त	iecelt	ADJ	V;POS;NFIN
नियुक्त	ieceļ	नियुक्त	iecelt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
नियुक्त	nolīga	नियुक्त	nolīgt	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
नियुक्त	iecelti	नियुक्त	iecelt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
नियुक्त	iecelta	नियुक्त	iecelt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
नियुक्त	iecelts	नियुक्त	iecelt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
फरवरी	februārī	फरवरी	februāris	PROPN;NOM;FEM;SG;3	N;ESS;MASC;SG
फरवरी	februāra	फरवरी	februāris	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
फरवरी	februāris	फरवरी	februāris	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
फरवरी	februāra	फरवरी	februāris	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
फरवरी	feb	फरवरी	feb	PROPN;NOM;FEM;SG;3	
नेशनल	nacionālais	नेशनल	nacionāls	PROPN;NOM	ADJ;NOM;MASC;SG
उर्दू	urdu	उर्दू	urds	PROPN;NOM;MASC;SG;3	
संसार	pasaulē	संसार	pasaule	N;NOM;MASC;SG;3	N;ESS;FEM;SG
प्रतिनिधित्व	pārstāvību	प्रतिनिधित्व	pārstāvība	N;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रतिनिधित्व	deleģēta	प्रतिनिधित्व	deleģēt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
प्रतिनिधित्व	deleģēti	प्रतिनिधित्व	deleģētis	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
विचारों	idejas	विचार	ideja	N;ACC;MASC;PL;3	N;NOM;FEM;PL
प्रेरित	iedvesmoja	प्रेरित	iedvesmot	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
प्रेरित	motivēta	प्रेरित	motivēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
प्रेरित	motivēti	प्रेरित	motivēt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
समारोह	ceremonijā	समारोह	ceremonija	N;NOM;MASC;SG;3	N;ESS;FEM;SG
मस्तिष्क	smadzenes	मस्तिष्क	smadzenes	N;NOM;MASC;SG;3	N;NOM;FEM
मस्तिष्क	smadzeņu	मस्तिष्क	smadzenes	N;NOM;MASC;SG;3	N;GEN;FEM
घरेलू	iekšzemes	घरेलू	iekšzeme	ADJ;NOM	N;NOM;FEM;PL
जेम्स	džeimss	जेम्स	džeimss	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जेम्स	džeims	जेम्स	džeims	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मौसम	sezonas	मौसम	sezona	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मौसम	laikapstākļi	मौसम	laikapstāklis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मौसम	laika	मौसम	laiks	N;NOM;MASC;SG;3	N;GEN;MASC;SG
मौसम	sezonai	मौसम	sezona	N;NOM;MASC;SG;3	N;DAT;FEM;SG
मौसम	sezonu	मौसम	sezona	N;NOM;MASC;SG;3	N;ACC;FEM;SG
मौसम	sezonas	मौसम	sezona	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मौसम	sezonā	मौसम	sezona	N;NOM;MASC;SG;3	N;ESS;FEM;SG
अर्थात्	līdzekļi	अर्थात्	līdzeklis		N;NOM;MASC;PL
अर्थात्	nozīmē	अर्थात्	nozīme		N;ESS;FEM;SG
भावना	emociju	भावना	emocija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
भावना	emocijām	भावना	emocija	N;NOM;FEM;SG;3	N;DAT;FEM;PL
भावना	emocijas	भावना	emocija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भावना	noskaņojumu	भावना	noskaņojums	N;NOM;FEM;SG;3	N;ACC;MASC;SG
भावना	sajūtas	भावना	sajūta	N;NOM;FEM;SG;3	N;NOM;FEM;PL
गुणवत्ता	kvalitātes	गुणवत्ता	kvalitāte	N;NOM;FEM;SG;3	N;NOM;FEM;PL
छात्र	students	छात्र	students	N;NOM;MASC;PL;3	N;NOM;MASC;SG
छात्र	studenta	छात्र	students	N;NOM;MASC;PL;3	N;GEN;MASC;SG
छात्र	studentu	छात्र	students	N;NOM;MASC;PL;3	N;ACC;MASC;SG
मिले	atrastas	मिल	atrast	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
मिले	ter	मिल	terēt	V;PFV;MASC;SG;V.PTCP;ACT	
निर्वाचित	ievēlēta	निर्वाचित	ievēlēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
निर्वाचित	ievēlēti	निर्वाचित	ievēlēt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
निर्वाचित	ievēlēts	निर्वाचित	ievēlēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
कैंसर	vēzis	कैंसर	vēzis	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
इटली	itālija	इटली	itālija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
सिद्धान्त	principi	सिद्धान्त	princips	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विरोधी	antagonists	विरोधी	antagonists	ADJ	N;NOM;MASC;SG
संक्रमण	pārejas	संक्रमण	pāreja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संक्रमण	infekcijas	संक्रमण	infekcija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नियंत्रित	kontrolētā	नियंत्रित	kontrolēt	ADJ	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
नियंत्रित	kontrolēta	नियंत्रित	kontrolēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
नियंत्रित	kontrolēts	नियंत्रित	kontrolēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
नियंत्रित	kontrolē	नियंत्रित	kontrolēt	ADJ	V;IMP;SG;2;POS;PRS;FIN;ACT
नियंत्रित	kontrolēti	नियंत्रित	kontrolēt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
विलियम	viljams	विलियम	viljams	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
विविध	daudzveidīga	विविध	daudzveidīga		ADJ;NOM;FEM;SG
विविध	dažādi	विविध	dažāds		ADJ;NOM;MASC;PL
विविध	dažādi	विविध	dažāds		ADJ;NOM;MASC;PL
विविध	dažādas	विविध	dažāda		ADJ;NOM;FEM;PL
विकल्प	alternatīvas	विकल्प	alternatīva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विकल्प	iestatījumi	विकल्प	iestatījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विकल्प	iespējas	विकल्प	iespēja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
