den	the	den	the	PRO;DEF;MASC+FEM;SG	
botten	nederst	botten	nederst	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
botten	bottom	botten	bottom	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
botten	bunn	botten	bunne	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
lilla	lille	liten	lilje	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
lilla	lite	liten	lite	ADJ;NOM;DEF;SG	ADJ;INDF;NEUT;SG
lilla	liten	liten	liten	ADJ;NOM;DEF;SG	ADJ;INDF;MASC;SG
lilla	lilla	liten	lille	ADJ;NOM;DEF;SG	N;DEF;FEM;SG
dog	dødd	dö	dødd	V;IMP;FIN;ACT	ADJ;INDF;NEUT;SG
dog	døde	dö	død	V;IMP;FIN;ACT	ADJ;PL
year	året	yea	år	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
bror	broren	bro	bror	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
washington	washington	washington	washington	PROPN;NOM	N;INDF;NEUT;SG
hög	high	hög	high	ADJ;NOM;INDF;MASC+FEM;SG	N
hög	rus	hög	rus	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hög	høy	hög	høy	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hög	høyt	hög	høyt	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
vuxna	voksne	vuxen	voksne	ADJ;NOM;PL	N;INDF;NEUT;SG
vuxna	voksen	vuxen	voks	ADJ;NOM;PL	ADJ;INDF;SG
vuxna	voksent	vuxen	voksent	ADJ;NOM;PL	N;INDF;MASC;SG
vuxna	voksne	vuxen	voksne	ADJ;NOM;PL	N;INDF;NEUT;SG
internationella	international	internationell	international	ADJ;NOM;PL	N;INDF;NEUT;SG
internationella	internasjonalt	internationell	internasjonal	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
internationella	internasjonal	internationell	internasjonal	ADJ;NOM;PL	ADJ;INDF;SG
daniel	daniel	daniel	daniel	PROPN;NOM	N;INDF;MASC;SG
mark	merk	mark	merk	N;NOM;INDF;MASC+FEM;SG	V;IMP;FIN
arbetade	jobbet	arbeta	jobb	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
arbetade	funka	arbeta	funke	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
arbetade	funket	arbeta	funke	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
marie	marie	marie	marie	PROPN;NOM	N;INDF;FEM;SG
japan	japan	japa	japan	PROPN;NOM	N;INDF;MASC;SG
förutom	utenom	förutom	utenom	ADP	N;INDF;NEUT;SG
förutom	untatt	förutom	unta	ADP	ADJ;INDF;NEUT;SG
förutom	unntatt	förutom	unnta	ADP	ADJ;INDF;NEUT;SG
förutom	foruten	förutom	forute	ADP	
förutom	dessuten	förutom	dessuten	ADP	ADV
dagar	dagene	dag	dag	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
dagar	days	dag	days	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
församlingen	menighet	församling	menighet	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
församlingen	montering	församling	montering	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
församlingen	forsamling	församling	forsamling	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
direkt	direkte	direkt	direkte	ADV	ADJ;INDF;NEUT;SG
direkt	direct	direkt	direct	ADV	N
direkt	direkte	direkt	direkte	ADV	ADJ;INDF;NEUT;SG
records	plater	records	plate	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;PL
lund	lund	lund	lund	PROPN;NOM	PROPN
politiska	politisk	politisk	politisk	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
mitten	middle	mitt	middle	N;NOM;DEF;MASC+FEM;SG	PROPN
mitten	midtre	mitt	midtre	N;NOM;DEF;MASC+FEM;SG	ADJ;CMPR
mitten	sentrum	mitt	sentrum	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
mitten	center	mitt	cente	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
mitten	senter	mitt	senter	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
georg	george	georg	george	PROPN;NOM	N;INDF;MASC;SG
georg	georg	georg	georg	PROPN;NOM	N;INDF;MASC;SG
georg	georg	georg	georg	PROPN;NOM	N;INDF;MASC;SG
alltid	always	alltid	always	ADV	N
alltid	bestandig	alltid	bestandig	ADV	ADJ;INDF;NEUT;SG
alltid	altid	alltid	altid	ADV	N;INDF;MASC;SG
otto	otto	otto	otto	PROPN;NOM	N;INDF;MASC;SG
united	united	united	unite	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
aktiv	aktive	aktiv	aktiv	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;PL
aktiv	active	aktiv	activ	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
henrik	henrik	henrik	henrik	PROPN;NOM	N;INDF;MASC;SG
henrik	henry	henrik	henry	PROPN;NOM	N;INDF;MASC;SG
walker	walker	walker	walker	PROPN;NOM	N;INDF;MASC;SG
walker	rusler	walker	rusle	PROPN;NOM	N;INDF;FEM;PL
karriär	karrieren	karriär	karriere	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
karriär	karrierer	karriär	karriere	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;PL
president	president	president	president	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
federationen	federation	federation	federation	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
federationen	føderasjon	federation	føderasjon	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
mitt	gruve	jag	gruve	PRO;DEF;NEUT;SG	N;INDF;FEM;SG
mitt	mine	jag	min	PRO;DEF;NEUT;SG	PRO;PL
kungliga	kongelig	kunglig	kongelig	ADJ;NOM;PL	N;INDF;MASC;SG
kungliga	royal	kunglig	royal	ADJ;NOM;PL	N;INDF;MASC;SG
alto	alto	alto	alto	PROPN;NOM	N
nils	nils	nils	nils	PROPN;NOM	N;MASC
liknande	lignende	liknande	lignende	ADJ;NOM;PRS;V.PTCP	N;INDF;MASC;SG
högre	høyere	hög	høyere	ADJ;NOM;CMPR	N;INDF;NEUT;SG
högre	høyere	hög	høyere	ADJ;NOM;CMPR	N;INDF;NEUT;SG
league	liga	league	lige	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG;V.PTCP
johannes	johannes	johan	johannes	PROPN;NOM	N;INDF;MASC;SG
johannes	john	johan	john	PROPN;NOM	N;INDF;MASC;SG
person	personen	person	person	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
anspråk	hevdet	anspråk	hevd	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
anspråk	krevd	anspråk	krevje	N;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG;V.PTCP
anspråk	påsto	anspråk	påsto	N;NOM;INDF;NEUT;SG	V;IND;PST;FIN
anspråk	benyttet	anspråk	benytt	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
anspråk	påstår	anspråk	påstå	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
anspråk	hevder	anspråk	hevde	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
anspråk	påstår	anspråk	påstå	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
anspråk	hevder	anspråk	hevde	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
anspråk	hevder	anspråk	hevde	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
anspråk	kravet	anspråk	krav	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
komma	kommer	komma	kommer	V;IMP;FIN;ACT	
komma	coming	komma	coming	V;IMP;FIN;ACT	N
anses	vurdert	anse	vurdere	V;NFIN;PASS	ADJ;INDF;SG;V.PTCP
små	lite	liten	lite	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
små	small	liten	small	ADJ;NOM;PL	N;INDF;NEUT;SG
små	smått	liten	liten	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
små	liten	liten	liten	ADJ;NOM;PL	ADJ;INDF;MASC;SG
spela	avspilling	spela	avspilling	V;IMP;FIN;ACT	N;INDF;FEM;SG
spela	leke	spela	leke	V;IMP;FIN;ACT	N;INDF;FEM;SG
spela	lek	spela	lek	V;IMP;FIN;ACT	N;INDF;MASC;SG
spela	spill	spela	spill	V;IMP;FIN;ACT	N;INDF;NEUT;SG
spela	spiller	spela	spille	V;IMP;FIN;ACT	V;IND;PRS;FIN
spela	spiler	spela	spile	V;IMP;FIN;ACT	N;INDF;FEM;PL
bilder	pictures	bild	pictures	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
bilder	lysbilder	bild	lysbilder	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
bilder	bilete	bild	bilete	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
länge	lenge	länge	lenge	ADV	ADJ
länge	lang	länge	lang	ADV	ADJ;INDF;SG
länge	lange	länge	lang	ADV	ADJ;PL
länge	lengter	länge	lengt	ADV	N;INDF;MASC;SG
länge	long	länge	long	ADV	N;INDF;NEUT;SG
slaget	kamp	slag	kamp	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
spelet	spill	spel	spill	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
spelet	kampstart	spel	kampstart	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
väg	ruta	väg	rute	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
väg	ruten	väg	rut	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
väg	veien	väg	vie	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
rum	rommet	rum	rom	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
djur	animals	djur	animals	N;NOM;INDF;NEUT;PL	N;INDF;MASC;SG
djur	dyr	djur	dyr	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
djur	animal	djur	animal	N;NOM;INDF;NEUT;PL	N;INDF;MASC;SG
djur	dyrisk	djur	dyrisk	N;NOM;INDF;NEUT;PL	ADJ;INDF;NEUT;SG
djur	dyr	djur	dyr	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
djur	dyret	djur	dyr	N;NOM;INDF;NEUT;PL	N;DEF;NEUT;SG
central	sentral	central	sentral	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
central	sentralt	central	sentral	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
strand	stranda	strand	strand	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
säsong	sesongen	säsong	sesong	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
företaget	firma	företag	firme	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
företaget	selskap	företag	selskap	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
företaget	kompani	företag	kompani	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
företaget	bedrift	företag	bedrift	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
regi	regissert	regi	regissere	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG;V.PTCP
regi	dirigere	regi	dirigere	N;NOM;INDF;MASC+FEM;SG	V;NFIN
regi	regisserer	regi	regissere	N;NOM;INDF;MASC+FEM;SG	V;IND;PRS;FIN
glest	sparsomt	gar	sparsom	ADV;RL	ADJ;INDF;NEUT;SG
glest	sparsom	gar	sparsom	ADV;RL	N;INDF;MASC;SG
punkt	avsnittet	punkt	avsnitt	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
punkt	dot	punkt	dot	N;NOM;INDF;MASC+FEM;SG	V;IND;PRS;FIN
big	store	big	stor	N;NOM;INDF;NEUT;SG	ADJ;PL
big	stor	big	stor	N;NOM;INDF;NEUT;SG	ADJ;INDF;SG
big	stort	big	stor	N;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
områden	områdene	område	område	N;NOM;INDF;NEUT;PL	N;DEF;FEM;PL
gifte	gift	gifte	gift	V;IND;PST;FIN;ACT	ADJ;INDF;SG
europeiska	europeisk	europeisk	europeisk	ADJ;NOM;PL	ADJ;INDF;SG
europeiska	european	europeisk	european	ADJ;NOM;PL	N;INDF;MASC;SG
skriva	skrive	skriva	skrive	V;IMP;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
skriva	skriving	skriva	skriving	V;IMP;FIN;ACT	N;INDF;FEM;SG
skriva	skriver	skriva	skrive	V;IMP;FIN;ACT	V;IND;PRS;FIN
skriva	skriver	skriva	skrive	V;IMP;FIN;ACT	V;IND;PRS;FIN
skriva	skriving	skriva	skriving	V;IMP;FIN;ACT	N;INDF;FEM;SG
international	internasjonalt	international	internasjonal	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
international	internasjonale	international	internasjonal	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
international	internasjonal	international	internasjonal	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
börjar	starts	börja	starts	V;IND;PRS;FIN;ACT	N;INDF
börjar	begynnelsen	börja	begynnels	V;IND;PRS;FIN;ACT	N;DEF;MASC;SG
börjar	begynnelse	börja	begynnelse	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
avsnitt	deler	avsnitt	del	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
avsnitt	seksjonen	avsnitt	seksjon	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
avsnitt	delen	avsnitt	del	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
bas	basen	ba	base	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
serra	serra	serra	serre	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG;V.PTCP
eget	own	egen	own	ADJ;NOM;NEUT;SG	N
eget	eget	egen	eget	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
eget	eie	egen	ein	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
eget	egen	egen	eigen	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
lyckades	administrert	lyckad	administrere	V;IND;PST;FIN;PASS	ADJ;INDF;SG;V.PTCP
lyckades	greide	lyckad	greide	V;IND;PST;FIN;PASS	N;INDF;MASC;SG
lyckades	administrerte	lyckad	administrere	V;IND;PST;FIN;PASS	ADJ;PL;V.PTCP
lyckades	lyktes	lyckad	lykte	V;IND;PST;FIN;PASS	N;INDF;MASC;SG
sven	sven	sven	sven	PROPN;NOM	N;INDF;MASC;SG
ord	ord	ord	ord	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
ord	ord	ord	ord	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
ord	orda	ord	ord	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;PL
fortsatte	fortsettelse	fortsätta	fortsettelse	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
fortsatte	fortsatte	fortsätta	fortsatt	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
delvis	delvis	delvis	delvis	ADV	ADJ;INDF;NEUT;SG
delvis	delvis	delvis	delvis	ADV	ADJ;INDF;NEUT;SG
delvis	delvis	delvis	delvis	ADV	ADJ;INDF;NEUT;SG
sju	seven	sju	seve	NUM;NOM	N;INDF;NEUT;SG
sju	syv	sju	syve	NUM;NOM	
sju	syver	sju	syve	NUM;NOM	N;INDF;MASC;SG
verksamhet	operasjoner	verksamhet	operasjon	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
verksamhet	aktivitetene	verksamhet	aktivitet	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;PL
verksamhet	aktiviteter	verksamhet	aktiviteter	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
lever	leveren	leva	lever	V;IND;PRS;FIN;ACT	N;DEF;MASC;SG
minst	minimum	lite	minimum	ADV;RL	N;INDF;NEUT;SG
minst	minst	lite	liten	ADV;RL	ADJ;INDF;RL
minst	hvertfall	lite	hvertfall	ADV;RL	N;INDF;NEUT;SG
adolf	adolph	adolf	adolph	PROPN;NOM	N;INDF;NEUT;SG
adolf	adolf	adolf	adolf	PROPN;NOM	N;INDF;MASC;SG
albert	albert	albert	albert	PROPN;NOM	N;INDF;MASC;SG
betyder	means	betyda	means	V;IND;PRS;FIN;ACT	N
betyder	middel	betyda	middel	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
ned	ned	ned	ned	ADV	ADP
belgien	belgias	belgien	belgias	PROPN;NOM	N;INDF;MASC;SG
belgien	belgia	belgien	belgi	PROPN;NOM	N;INDF;NEUT;SG
olof	olof	olof	olof	PROPN;NOM	N;INDF;MASC;SG
texas	texas	texa	texas	PROPN;GEN	N;INDF;SG
victoria	victoria	victoria	victorie	PROPN;NOM	N;INDF;MASC;SG
officiella	offisielt	officiell	offisiell	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
officiella	offisiell	officiell	offisiell	ADJ;NOM;PL	ADJ;INDF;SG
officiella	official	officiell	official	ADJ;NOM;PL	N
bakom	behind	bakom	behind	ADP	N;INDF;SG
rev	rev	rev	rev	V;IMP;FIN;ACT	N;INDF;MASC;SG
rev	revet	rev	rev	V;IMP;FIN;ACT	N;INDF;MASC;SG
rev	rev	rev	rev	V;IMP;FIN;ACT	N;INDF;MASC;SG
rev	reef	rev	reef	V;IMP;FIN;ACT	N;INDF;NEUT;SG
långa	ling	lång	ling	ADJ;NOM;PL	N;INDF;MASC;SG
långa	lang	lång	lang	ADJ;NOM;PL	ADJ;INDF;SG
långa	lengter	lång	lengt	ADJ;NOM;PL	N;INDF;MASC;SG
långa	long	lång	long	ADJ;NOM;PL	N;INDF;NEUT;SG
respektive	respektive	respektive	respektiv	ADV	ADJ;PL
heinrich	heinrich	heinrich	heinrich	PROPN;NOM	N;INDF;MASC;SG
fotbollsspelare	fotballspillere	fotbollsspelare	fotballspillere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
fotbollsspelare	fotballspiller	fotbollsspelare	fotballspille	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
solid	solid	solid	solid	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
solid	massivt	solid	massiv	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
solid	solide	solid	solid	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
magnus	magnus	magnus	magnus	PROPN;NOM	N;INDF;MASC;SG
slott	palasset	slott	palass	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
familj	familien	familj	familie	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
huset	house	hus	house	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
huset	hus	hus	hus	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
regeringen	regjering	regering	regjering	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
regeringen	regjering	regering	regjering	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
trummor	trommesett	trummor	trommesett	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
spel	kamper	spel	kamp	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
aten	aten	aten	aten	PROPN;NOM	N
aten	athen	aten	athen	PROPN;NOM	PROPN
svenskt	svenske	svensk	svensk	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
svenskt	svensk	svensk	svensk	ADJ;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
länet	county	län	county	N;NOM;DEF;NEUT;SG	N;INDF;SG
länet	fylke	län	fylke	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
johansson	johansson	johansson	johansson	PROPN;NOM	N;INDF;MASC;SG
hus	huset	hus	hus	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
långt	langt	långt	lang	ADV	ADJ;INDF;NEUT;SG
långt	lenge	långt	lenge	ADV	ADJ
långt	lang	långt	lang	ADV	ADJ;INDF;SG
långt	lange	långt	lang	ADV	ADJ;PL
långt	lengter	långt	lengt	ADV	N;INDF;MASC;SG
långt	long	långt	long	ADV	N;INDF;NEUT;SG
förlorade	mistet	förlora	miste	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;NEUT;SG
förlorade	fortapt	förlora	fortepje	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
förlorade	tapt	förlora	tape	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
förlorade	lost	förlora	lost	ADJ;NOM;PL;PST;V.PTCP	N;INDF;NEUT;SG
tio	tio	tio	tio	NUM;NOM	N;INDF;NEUT;SG
tio	tier	tio	tie	NUM;NOM	N;INDF;MASC;SG
tio	ten	tio	ten	NUM;NOM	N
par	paret	par	par	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
par	parene	par	pare	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
enbart	only	enbart	only	ADV	
enbart	kun	enbart	kun	ADV	N;INDF;NEUT;SG
stefan	stephen	stefan	stephen	PROPN;NOM	N;INDF;MASC;SG
stefan	stefan	stefan	stefan	PROPN;NOM	N;INDF;MASC;SG
fast	stuck	fast	stuck	ADV	N;INDF;MASC;SG
fast	fast	fast	fast	ADV	ADJ;INDF;NEUT;SG
fast	fikset	fast	fiksetje	ADV	N;DEF;NEUT;SG
fast	fast	fast	fast	ADV	ADJ;INDF;NEUT;SG
fast	reparert	fast	reparere	ADV	ADJ;INDF;SG;V.PTCP
åtta	atte	åtta	atte	NUM;NOM	N;INDF;MASC;SG
åtta	eight	åtta	eight	NUM;NOM	N
arabiska	arabiske	arabisk	arabisk	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
bern	bern	bern	bern	PROPN;NOM	PROPN
tror	tro	tro	tro	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
tror	trø	tro	trø	V;IND;PRS;FIN;ACT	V;IMP;FIN
tror	believe	tro	believe	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
tror	tror	tro	tror	V;IND;PRS;FIN;ACT	
peru	peru	peru	peru	PROPN;NOM	N;INDF;SG
côte	côte	côte	côte	PROPN;NOM	PROPN
system	systemet	system	system	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
system	systemene	system	system	N;NOM;INDF;NEUT;SG	N;DEF;MASC;PL
system	systemer	system	system	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
stöd	støtter	stöd	støtte	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
gridcolor	gridcolor	gridcola	gridcolor	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
nilsson	nilsson	nilsson	nilsson	PROPN;NOM	N;INDF;MASC;SG
brukar	vanligvis	bruka	vanligvis	V;IND;PRS;FIN;ACT	ADV
innehåll	innholdet	innehåll	innhold	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
mellersta	middle	mellersta	middle	ADJ;NOM;DEF;RL	PROPN
mellersta	midtre	mellersta	midtre	ADJ;NOM;DEF;RL	ADJ;CMPR
mellersta	midten	mellersta	midt	ADJ;NOM;DEF;RL	N;DEF;MASC;SG
mellersta	central	mellersta	central	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
mellersta	sentral	mellersta	sentral	ADJ;NOM;DEF;RL	ADJ;INDF;SG
mellersta	sentralt	mellersta	sentral	ADJ;NOM;DEF;RL	ADJ;INDF;NEUT;SG
låtar	melodier	låta	melodie	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
låtar	sanger	låta	sanger	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
låtar	songs	låta	song	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
varför	hvorfor	varför	hvorfor	ADV	
varför	why	varför	why	ADV	N
axel	skulder	axel	skulde	PROPN;NOM	N;INDF;FEM;SG
axel	skulderen	axel	skulder	PROPN;NOM	N;DEF;MASC;SG
axel	axel	axel	axel	PROPN;NOM	N;INDF;MASC;SG
axel	aksling	axel	aksling	PROPN;NOM	N;INDF;FEM;SG
axel	akse	axel	akse	PROPN;NOM	N;INDF;MASC;SG
omfattar	dyna	omfatta	dyn	V;IND;PRS;FIN;ACT	N;DEF;FEM;SG
ackumulerade	akkumulert	ackumulera	akkumulere	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
skolan	skole	skola	skole	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
skolan	skule	skola	skule	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
roman	romersk	roman	romersk	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
stadium	scenen	stadium	scene	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
les	les	les	lese	N;NOM;INDF;NEUT;SG	V;IMP;FIN
radio	radioen	radio	radio	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
dansk	danske	dansk	dansk	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;PL
dansk	dansk	dansk	dansk	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dansk	dane	dansk	dane	ADJ;NOM;INDF;MASC+FEM;SG	PROPN
dansk	dansken	dansk	dansk	ADJ;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
företag	bedriften	företag	bedrift	N;NOM;INDF;NEUT;PL	N;DEF;MASC;SG
företag	business	företag	business	N;NOM;INDF;NEUT;PL	N;INDF;MASC;SG
företag	virksomhet	företag	virksomhet	N;NOM;INDF;NEUT;PL	N;INDF;MASC;SG
företag	bedrift	företag	bedrift	N;NOM;INDF;NEUT;PL	N;INDF;FEM;SG
företag	firma	företag	firme	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
företag	selskap	företag	selskap	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
företag	kompani	företag	kompani	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
företag	bedrift	företag	bedrift	N;NOM;INDF;NEUT;PL	N;INDF;FEM;SG
företag	virksomheter	företag	virksomheter	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
företag	enterprise	företag	enterprise	N;NOM;INDF;NEUT;PL	N;INDF;FEM;SG
startade	started	starta	started	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
startade	begynt	starta	begynne	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
startade	startet	starta	start	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
startade	starta	starta	starte	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
gunnar	gunnar	gunnar	gunne	PROPN;NOM	N;INDF;MASC;SG
orten	poststed	ort	poststed	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
orten	by	ort	by	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
orten	ortsteil	ort	ortsteil	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
tillhörde	tilhørte	tillhöra	tilhøre	V;IND;PST;FIN;ACT	ADJ;PL;V.PTCP
tillhörde	tilhørt	tillhöra	tilhøre	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
småland	småland	småland	småland	PROPN;NOM	N;INDF;MASC;SG
nere	down	nere	down	ADV	N;INDF;SG
nere	ned	nere	ned	ADV	ADP
nere	nedover	nere	nedover	ADV	ADP
nere	nede	nere	nede	ADV	ADP
