les	the	le	the	DET;DEF;PL	
noir	đen	noir	đen	N;MASC;SG	ADJ
joue	má	jouer	má	V;IND;SG;3;PRS;FIN	N
londres	london	londre	london	N;MASC;SG	
moment	lát	moment	lát	N;MASC;SG	
russe	nga	russe	nga	ADJ;MASC;SG	N
manière	manière	manière	manière	N;FEM;SG	
malgré	nghênh	malgré	nghênh	ADP	V
sciences	khoa	science	khoa	N;FEM;PL	
radio	radio	radio	radio	N;FEM;SG	
droite	phải	droite	phải	N;FEM;SG	V
droite	đúng	droite	đúng	N;FEM;SG	ADJ
villes	by	ville	by	N;FEM;PL	
fer	fer	fer	fer	N;MASC;SG	NUM
sélection	chọn	sélection	chọn	N;FEM;SG	V
sélection	chọn	sélection	chọn	N;FEM;SG	V
sélection	đặt	sélection	đặt	N;FEM;SG	V
assez	đủ	assez	đủ	ADV	ADJ
james	james	jame	james	PROPN	N
internationale	internationale	international	internationale	ADJ;FEM;SG	N
sept	seven	sept	seven	NUM	
sept	sept	sept	sept	NUM	
télévision	tv	télévision	tv	N;FEM;SG	
télévision	tivi	télévision	tivi	N;FEM;SG	ADJ
précédent	trước	précédent	trước	ADJ;MASC;SG	
richard	richard	richard	richard	PROPN	
william	william	william	william	PROPN	
thomas	thomas	thomas	thomas	PROPN	
ball	bóng	ball	bóng	PROPN	N
ball	banh	ball	banh	PROPN	N
hors	off	hors	off	ADP	
hors	tắt	hors	tắt	ADP	
hors	hors	hors	hors	ADP	
bonne	hay	bon	hay	ADJ;FEM;SG	CONJ
grandes	grandes	grand	grandes	ADJ;FEM;PL	
michael	michael	michael	michael	PROPN	
vol	bay	vol	bay	N;MASC;SG	
vol	trộm	vol	trộm	N;MASC;SG	ADJ
premières	raw	premier	raw	ADJ;FEM;PL	
premières	premieres	premier	premieres	ADJ;FEM;PL	V
premières	trước	premier	trước	ADJ;FEM;PL	
premières	đầu	premier	đầu	ADJ;FEM;PL	N
discussion	chát	discussion	chát	N;FEM;SG	ADJ
dame	tẩy	dame	tẩy	N;FEM;SG	V
épouse	bride	épouse	bride	N;FEM;SG	
épouse	vơ	épouse	vơ	N;FEM;SG	V
épouse	vk	épouse	vk	N;FEM;SG	
axe	rìu	axe	rìu	N;MASC;SG	
mesure	đo	mesure	đo	N;FEM;SG	V
prendre	taking	prendre	taking	V;NFIN	
important	trọng	important	trọng	ADJ;MASC;SG	
données	dữ	donnée	dữ	N;FEM;PL	V
lequel	mà	lequel	mà	PRO;MASC;SG	CONJ
george	george	george	george	PROPN	
force	buộc	force	buộc	N;FEM;SG	V
couleur	nhuộm	couleur	nhuộm	N;FEM;SG	V
bande	ban	bande	ban	N;FEM;SG	
bande	band	bande	band	N;FEM;SG	
bande	manh	bande	manh	N;FEM;SG	
côte	rib	côte	rib	N;FEM;SG	
étape	bước	étape	bước	N;FEM;SG	
plutôt	thà	plutôt	thà	ADV	PART
combat	battle	combat	battle	N;MASC;SG	
combat	fighting	combat	fighting	N;MASC;SG	
royal	royal	royal	royal	ADJ;MASC;SG	N
russie	russie	russie	russie	PROPN	N
russie	nga	russie	nga	PROPN	N
nicolas	nicolas	nicola	nicolas	N;MASC;SG	
nicolas	nicholas	nicola	nicholas	N;MASC;SG	
possède	hữu	posséder	hữu	V;IND;SG;3;PRS;FIN	
presse	nhấn	presse	nhấn	N;FEM;SG	V
presse	bấm	presse	bấm	N;FEM;SG	V
épisodes	tập	épisode	tập	N;MASC;PL	
épisodes	episodes	épisode	episodes	N;MASC;PL	
entrée	entry	entrer	entry	V;FEM;SG;PST;V.PTCP	N
entrée	mục	entrer	mục	V;FEM;SG;PST;V.PTCP	N
revue	revue	revue	revue	N;FEM;SG	
revue	review	revue	review	N;FEM;SG	ADJ
jeunes	trẻ	jeune	trẻ	ADJ;MASC;PL	N
jeunes	young	jeune	young	ADJ;MASC;PL	
course	đua	course	đua	N;FEM;SG	V
course	nhung	course	nhung	N;FEM;SG	
course	đua	course	đua	N;FEM;SG	V
meilleure	nhất	meilleur	nhất	ADJ;FEM;SG	
heures	heures	heure	heures	N;FEM;PL	
marque	mark	marque	mark	N;FEM;SG	
single	single	single	single	N;MASC;SG	
appelé	goi	appeler	goi	V;MASC;SG;PST;V.PTCP	
olympique	olympic	olympique	olympic	ADJ;MASC;SG	N
olympique	olympique	olympique	olympique	ADJ;MASC;SG	N
bernard	bernard	bernard	bernard	PROPN	
propre	chính	propre	chính	ADJ;MASC;SG	PART
propre	cai	propre	cai	ADJ;MASC;SG	N
propre	sạch	propre	sạch	ADJ;MASC;SG	V
com	com	com	com		N
lyon	lyon	lyon	lyon	PROPN	N
généralement	thuồng	généralement	thuồng	ADV	V
généralement	thường	généralement	thường	ADV	
von	von	von	von	PROPN	
amérique	châu	amérique	châu	ADJ;MASC;SG	N
amérique	mỹ	amérique	mỹ	ADJ;MASC;SG	N
mal	sai	mal	sai	ADV	ADJ
mal	lỗi	mal	lỗi	ADV	N
mal	nhầm	mal	nhầm	ADV	V
mal	xấu	mal	xấu	ADV	ADJ
mal	bad	mal	bad	ADV	
mal	kém	mal	kém	ADV	ADJ
mal	khiếp	mal	khiếp	ADV	V
mal	tệ	mal	tệ	ADV	N
mal	mẫu	mal	mẫu	ADV	N
mal	xấu	mal	xấu	ADV	ADJ
mal	ác	mal	ác	ADV	N
abbaye	abbaye	abbaye	abbaye	N;FEM;SG	
principalement	predominantly	principalement	predominantly	ADV	
prise	taken	prendre	taken	V;FEM;SG;PST;V.PTCP	
bretagne	bretagne	bretagne	bretagne	PROPN	NUM
bretagne	bretagne	bretagne	bretagne	PROPN	NUM
bretagne	brittany	bretagne	brittany	PROPN	
avaient	nan	avoir	nan	V;IND;PL;3;IPFV;FIN	N
avaient	xịt	avoir	xịt	V;IND;PL;3;IPFV;FIN	V
générale	tướng	général	tướng	ADJ;FEM;SG	N
chemin	road	chemin	road	N;MASC;SG	
centrale	trung	central	trung	ADJ;FEM;SG	N
centrale	central	central	central	ADJ;FEM;SG	
groupes	bands	groupe	bands	N;MASC;PL	
travers	travers	travers	travers	N;MASC;SG	
utilisation	dùng	utilisation	dùng	N;FEM;SG	V
allemande	đức	allemand	đức	ADJ;FEM;SG	N
allemande	allemande	allemand	allemande	ADJ;FEM;SG	N
composé	compound	composer	compound	V;MASC;SG;PST;V.PTCP	N
court	bài	court	bài	ADJ;MASC;SG	N
court	short	court	short	ADJ;MASC;SG	
court	lá	court	lá	ADJ;MASC;SG	N
anciens	tuổi	ancien	tuổi	ADJ;MASC;PL	N
cité	cité	citer	cité	V;MASC;SG;PST;V.PTCP	
basse	bass	bas	bass	ADJ;FEM;SG	N
basse	low	bas	low	ADJ;FEM;SG	
pro	pro	pro	pro	N;MASC;SG	
nouveaux	new	nouveau	new	ADJ;MASC;PL	
nouveaux	mới	nouveau	mới	ADJ;MASC;PL	
nouveaux	sâm	nouveau	sâm	ADJ;MASC;PL	N
glace	is	glace	is	N;FEM;SG	
originale	gốc	original	gốc	ADJ;FEM;SG	
originale	tác	original	tác	ADJ;FEM;SG	N
proche	close	proche	close	ADJ;MASC;SG	V
proche	đóng	proche	đóng	ADJ;MASC;SG	V
proche	kín	proche	kín	ADJ;MASC;SG	V
mot	từ	mot	từ	N;MASC;SG	ADP
main	chính	main	chính	N;FEM;SG	PART
huit	huit	huit	huit	NUM	
critique	critique	critique	critique	ADJ;MASC;SG	
del	del	del	del	PROPN	
publication	đăng	publication	đăng	N;FEM;SG	V
uni	uni	uni	uni	V;MASC;SG;PST;V.PTCP	
japonais	nhật	japonais	nhật	ADJ;MASC;SG	
australie	australia	australie	australia	PROPN	N
australie	úc	australie	úc	PROPN	N
catholique	catholique	catholique	catholique	ADJ;MASC;SG	
https	https	https	https	N;MASC;SG	
accord	chord	accord	chord	N;MASC;SG	
rapidement	mau	rapidement	mau	ADV	ADJ
rapidement	nhanh	rapidement	nhanh	ADV	ADJ
rapidement	mau	rapidement	mau	ADV	ADJ
rapidement	nhanh	rapidement	nhanh	ADV	ADJ
rapidement	nhanh	rapidement	nhanh	ADV	ADJ
traduction	dịch	traduction	dịch	N;FEM;SG	
traduction	dịch	traduction	dịch	N;FEM;SG	
anne	anne	anne	anne	N;FEM;SG	
étude	học	étude	học	N;FEM;SG	V
montréal	montréal	montréal	montréal	N;MASC;SG	
bgcolor	bgcolor	bgcolor	bgcolor	PROPN	
importante	trọng	important	trọng	ADJ;FEM;SG	
choix	chọn	choix	chọn	N;MASC;SG	V
coup	thổi	coup	thổi	N;MASC;SG	V
coup	phát	coup	phát	N;MASC;SG	V
coup	bắn	coup	bắn	N;MASC;SG	V
vice	phó	vice	phó	N;MASC;SG	
vice	vice	vice	vice	N;MASC;SG	
internet	internet	internet	internet	N;MASC;SG	
hiver	winter	hiver	winter	N;MASC;SG	
antoine	anthony	antoine	anthony	N;MASC;SG	
antoine	antony	antoine	antony	N;MASC;SG	
daniel	daniel	daniel	daniel	PROPN	
cœur	tim	cœur	tim	N;MASC;SG	
cœur	heart	cœur	heart	N;MASC;SG	
cœur	nhân	cœur	nhân	N;MASC;SG	
cœur	hearts	cœur	hearts	N;MASC;SG	
pris	caught	prendre	caught	V;MASC;SG;PST;V.PTCP	
pris	taken	prendre	taken	V;MASC;SG;PST;V.PTCP	
marine	marine	marine	marine	N;FEM;SG	
peter	peter	peter	peter	PROPN	
peter	phêrô	peter	phêrô	PROPN	N
juste	chỉ	juste	chỉ	ADV	
juste	funny	juste	funny	ADV	N
der	der	der	der	PROPN	N
amour	love	amour	love	N;MASC;SG	
amour	yêu	amour	yêu	N;MASC;SG	V
mont	lắp	mont	lắp	N;MASC;SG	V
science	khoa	science	khoa	N;FEM;SG	
bonjour	alo	bonjour	alo	INTJ	V
bonjour	hello	bonjour	hello	INTJ	
marc	marc	marc	marc	N;MASC;SG	
lignes	lignes	ligne	lignes	N;FEM;PL	
lignes	lines	ligne	lines	N;FEM;PL	
montre	pass	montrer	pass	V;IND;SG;3;PRS;FIN	N
montre	hiện	montrer	hiện	V;IND;SG;3;PRS;FIN	N
montre	show	montrer	show	V;IND;SG;3;PRS;FIN	
principaux	chính	principal	chính	ADJ;MASC;PL	PART
principaux	main	principal	main	ADJ;MASC;PL	N
sol	sol	sol	sol	N;MASC;SG	
ouvrage	ouvrage	ouvrage	ouvrage	N;MASC;SG	
fond	bottom	fond	bottom	N;MASC;SG	
fond	nền	fond	nền	N;MASC;SG	
fond	background	fond	background	N;MASC;SG	
original	gốc	original	gốc	ADJ;MASC;SG	
original	tác	original	tác	ADJ;MASC;SG	N
los	los	el	los	PROPN	N
garde	garde	garde	garde	N;FEM;SG	
votre	của	son	của	DET;MASC;SG	ADP
quatrième	mùng	quatrième	mùng	ADJ;MASC;SG	N
junior	junior	junior	junior	ADJ;MASC;SG	N
albert	albert	albert	albert	N;MASC;SG	
bruxelles	bruxelles	bruxelle	bruxelles	ADJ;MASC;PL	N
bruxelles	bruxelles	bruxelle	bruxelles	ADJ;MASC;PL	N
bruxelles	brussels	bruxelle	brussels	ADJ;MASC;PL	N
xxe	twentieth	xxe	twentieth	ADJ;MASC;SG	
chevalier	chevalier	chevalier	chevalier	N;MASC;SG	
livres	livres	livre	livres	N;MASC;PL	
principales	chính	principal	chính	ADJ;FEM;PL	PART
principales	main	principal	main	ADJ;FEM;PL	N
unique	single	unique	single	ADJ;MASC;SG	
unique	đơn	unique	đơn	ADJ;MASC;SG	N
unique	unique	unique	unique	ADJ;MASC;SG	
capitaine	trưởng	capitaine	trưởng	N;MASC;SG	
large	vid	large	vid	ADJ;MASC;SG	
guillaume	william	guillaume	william	PROPN	
guillaume	guillaume	guillaume	guillaume	PROPN	N
tel	tel	tel	tel	ADJ;MASC;SG	
tel	đt	tel	đt	ADJ;MASC;SG	N
parce	vì	parce	vì	ADV	ADP
classique	classic	classique	classic	ADJ;MASC;SG	N
fit	hợp	faire	hợp	V;IND;SG;3;PST;FIN	ADJ
passé	past	passer	past	V;MASC;SG;PST;V.PTCP	
berlin	berlin	berlin	berlin	PROPN	N
isbn	isbn	isbn	isbn		
astéroïde	asteroids	astéroïde	asteroids	N;MASC;SG	
rené	rené	rendre	rené	PROPN	N
rené	rené	rendre	rené	PROPN	N
rené	rene	rendre	rene	PROPN	N
oui	vâng	oui	vâng		
oui	dạ	oui	dạ		N
pièce	xấp	pièce	xấp	N;FEM;SG	
portail	portal	portail	portal	N;MASC;SG	
terrain	đáp	terrain	đáp	N;MASC;SG	V
donner	donner	donner	donner	V;NFIN	
marché	chợ	marcher	chợ	V;MASC;SG;PST;V.PTCP	N
charge	nạp	charge	nạp	N;FEM;SG	V
charge	tải	charge	tải	N;FEM;SG	V
charge	sạc	charge	sạc	N;FEM;SG	V
sites	sites	site	sites	N;MASC;PL	
légende	legend	légende	legend	N;FEM;SG	V
vingt	vingt	vingt	vingt	NUM	
arrivée	đến	arriver	đến	V;FEM;SG;PST;V.PTCP	PART
scénariste	screenwriter	scénariste	screenwriter	N;MASC;SG	ADJ
publique	công	public	công	ADJ;FEM;SG	N
laurent	laurence	laurer	laurence	PROPN	N
laurent	david	laurer	david	PROPN	
laurent	laurent	laurer	laurent	PROPN	
laurent	lawrence	laurer	lawrence	PROPN	
kilomètres	miles	kilomètre	miles	N;MASC;PL	
kilomètres	phít	kilomètre	phít	N;MASC;PL	
passer	đèo	passer	đèo	V;NFIN	N
passer	pass	passer	pass	V;NFIN	N
enseignement	dạy	enseignement	dạy	N;MASC;SG	V
poids	weights	poids	weights	N;MASC;SG	
poids	cân	poids	cân	N;MASC;SG	V
santé	zô	santé	zô	N;FEM;SG	
santé	cạn	santé	cạn	N;FEM;SG	V
santé	khỏe	santé	khỏe	N;FEM;SG	ADJ
feu	cháy	feu	cháy	N;MASC;SG	V
atteint	đa	atteindre	đa	V;MASC;SG;PST;V.PTCP	
atteint	hoài	atteindre	hoài	V;MASC;SG;PST;V.PTCP	N
trouver	finding	trouver	finding	V;NFIN	N
voyage	lượt	voyage	lượt	N;MASC;SG	
voyage	trip	voyage	trip	N;MASC;SG	
supérieur	upper	supérieur	upper	ADJ;MASC;SG	
derniers	cuối	dernier	cuối	ADJ;MASC;PL	N
régime	diêt	régime	diêt	N;MASC;SG	V
henry	henry	henry	henry	PROPN	
autriche	áo	autriche	áo	ADJ;MASC;SG	N
couleurs	nhuộm	couleur	nhuộm	N;FEM;PL	V
comment	bao	comment	bao	ADV	
central	trung	central	trung	ADJ;MASC;SG	N
central	central	central	central	ADJ;MASC;SG	
signe	vẽ	signe	vẽ	N;MASC;SG	V
orchestre	ban	orchestre	ban	N;MASC;SG	
orchestre	band	orchestre	band	N;MASC;SG	
moderne	modem	moderne	modem	ADJ;MASC;SG	N
moderne	bộ	moderne	bộ	ADJ;MASC;SG	N
longue	long	long	long	ADJ;FEM;SG	N
liées	chủa	lier	chủa	V;FEM;PL;PST;V.PTCP	
wikipedia	wikipedia	wikipedia	wikipedia	N;FEM;SG	V
célèbre	nổi	célèbre	nổi	ADJ;MASC;SG	
musical	nhạc	musical	nhạc	ADJ;MASC;SG	V
musical	musical	musical	musical	ADJ;MASC;SG	N
mariage	cưới	mariage	cưới	N;MASC;SG	V
powiat	powiat	powiat	powiat	N;MASC;SG	
nos	plr	son	plr	DET;MASC;PL	
roger	rõ	roger	rõ	N;MASC;SG	ADJ
roger	roger	roger	roger	N;MASC;SG	
presque	sắp	presque	sắp	ADV	
presque	gần	presque	gần	ADV	ADJ
presque	hầu	presque	hầu	ADV	
affaire	case	affaire	case	N;FEM;SG	
esprit	esprit	esprit	esprit	N;MASC;SG	
esprit	phiền	esprit	phiền	N;MASC;SG	V
moteur	motor	moteur	motor	N;MASC;SG	
ouverture	mở	ouverture	mở	N;FEM;SG	V
ouverture	download	ouverture	download	N;FEM;SG	V
ouverture	mở	ouverture	mở	N;FEM;SG	V
désormais	giờ	désormais	giờ	ADV	N
désormais	ngay	désormais	ngay	ADV	PART
alain	michael	alain	michael	PROPN	
alain	alain	alain	alain	PROPN	N
alain	alan	alain	alan	PROPN	
alain	david	alain	david	PROPN	
vienne	viên	venir	viên	ADJ;FEM;SG	N
vienne	vienna	venir	vienna	ADJ;FEM;SG	
découvert	uncovered	découvrir	uncovered	V;MASC;SG;PST;V.PTCP	ADJ
parlement	parlement	parlement	parlement	N;MASC;SG	V
étudiant	bmi	étudiant	bmi	N;MASC;SG	NUM
maria	chư	maria	chư	PROPN	N
maria	maria	maria	maria	PROPN	N
doute	reo	doute	reo	N;MASC;SG	V
suppression	suppression	suppression	suppression	N;FEM;SG	
ami	ami	ami	ami	N;MASC;SG	
super	tuyệt	super	tuyệt	ADV	ADJ
super	super	super	super	ADV	N
super	siêu	super	siêu	ADV	
super	awesome	super	awesome	ADV	N
françaises	pháp	français	pháp	ADJ;FEM;PL	N
françaises	françaises	français	françaises	ADJ;FEM;PL	N
don	don	don	don	N;MASC;SG	
pourquoi	sao	pourquoi	sao	ADV	PROPN
officier	quan	officier	quan	N;MASC;SG	V
note	note	note	note	N;FEM;SG	
probablement	chu	probablement	chu	ADV	
saisons	seasons	saison	seasons	N;FEM;PL	
saisons	season	saison	season	N;FEM;PL	
forêt	forêt	forêt	forêt	N;FEM;SG	
maintenant	giờ	maintenant	giờ	ADV	N
maintenant	ngay	maintenant	ngay	ADV	PART
forte	forte	fort	forte	ADJ;FEM;SG	N
forte	strong	fort	strong	ADJ;FEM;SG	
conflit	xung	conflit	xung	N;MASC;SG	V
christian	nguyen	christian	nguyen	PROPN	N
christian	christian	christian	christian	PROPN	
gouverneur	đốc	gouverneur	đốc	N;MASC;SG	
artistique	art	artistique	art	ADJ;MASC;SG	
artistique	nghệ	artistique	nghệ	ADJ;MASC;SG	N
loin	xa	loin	xa	ADV	ADJ
loin	xa	loin	xa	ADV	ADJ
loin	phí	loin	phí	ADV	N
rend	rend	rendre	rend	V;IND;SG;3;PRS;FIN	
féminin	feminine	féminin	feminine	ADJ;MASC;SG	N
féminin	nữ	féminin	nữ	ADJ;MASC;SG	N
romain	romain	romain	romain	ADJ;MASC;SG	
romain	roman	romain	roman	ADJ;MASC;SG	N
romain	đế	romain	đế	ADJ;MASC;SG	N
marseille	marseille	marseille	marseille	PROPN	N
marseille	marseilles	marseille	marseilles	PROPN	N
marseille	marseille	marseille	marseille	PROPN	N
marseille	marseilles	marseille	marseilles	PROPN	N
directement	direct	directement	direct	ADV	
directement	trực	directement	trực	ADV	V
appel	gọi	appel	gọi	N;MASC;SG	V
appel	call	appel	call	N;MASC;SG	
pied	foot	pied	foot	N;MASC;SG	
you	các	you	các	PRO;SG;2	DET
you	cac	you	cac	PRO;SG;2	
you	bạn	you	bạn	PRO;SG;2	N
you	anh	you	anh	PRO;SG;2	N
you	cô	you	cô	PRO;SG;2	N
neuf	chín	neuf	chín	NUM	ADJ
latin	latin	latin	latin	N;MASC;SG	
victor	victor	victor	victor	N;MASC;SG	
bord	edge	bord	edge	N;MASC;SG	
bord	rìa	bord	rìa	N;MASC;SG	ADJ
bord	bord	bord	bord	N;MASC;SG	
canadien	canadian	canadien	canadian	ADJ;MASC;SG	N
lumière	nhạt	lumière	nhạt	N;FEM;SG	ADJ
supérieure	upper	supérieur	upper	ADJ;FEM;SG	
soviétique	soviet	soviétique	soviet	ADJ;MASC;SG	
royale	royale	royal	royale	ADJ;FEM;SG	
royale	royal	royal	royal	ADJ;FEM;SG	N
moitié	nửa	moitié	nửa	N;FEM;SG	NUM
pilote	pilote	pilote	pilote	N;MASC;SG	
josé	jose	josé	jose	PROPN	N
josé	jose	josé	jose	PROPN	N
josé	josé	josé	josé	PROPN	N
studio	studio	studio	studio	N;MASC;SG	
reine	hậu	reine	hậu	N;FEM;SG	
patrick	patrick	patrick	patrick	PROPN	
chacun	mỗi	chacun	mỗi	PRO;MASC;SG	NUM
étienne	stephen	étien	stephen	N;MASC;SG	
via	qua	via	qua	ADP	V
via	via	via	via	ADP	
via	qua	via	qua	ADP	V
californie	california	californie	california	PROPN	
volume	volume	volume	volume	N;MASC;SG	
pape	pape	pape	pape	N;MASC;SG	
quoi	gì	quoi	gì	PRO	PROPN
parle	parle	parler	parle	V;IND;SG;3;PRS;FIN	
lire	truyện	lire	truyện	V;NFIN	N
terres	đáp	terre	đáp	N;FEM;PL	V
denis	dennis	denis	dennis	PROPN	
denis	denis	denis	denis	PROPN	
brésil	bra	brésil	bra	N;MASC;SG	
brésil	brésil	brésil	brésil	N;MASC;SG	
man	man	man	man	N;MASC;SG	
piste	trail	piste	trail	N;FEM;SG	
vieux	tuổi	vieux	tuổi	ADJ;MASC;SG	N
vieux	vieux	vieux	vieux	ADJ;MASC;SG	
propriétaire	hữu	propriétaire	hữu	N;MASC;SG	
faible	yếu	faible	yếu	ADJ;MASC;SG	N
faible	nhược	faible	nhược	ADJ;MASC;SG	N
faible	low	faible	low	ADJ;MASC;SG	
algérie	algeria	algérie	algeria	ADJ;MASC;SG	N
algérie	algérie	algérie	algérie	ADJ;MASC;SG	N
algérie	algérie	algérie	algérie	ADJ;MASC;SG	N
journée	day	journée	day	N;FEM;SG	
chargé	laden	charger	laden	V;MASC;SG;PST;V.PTCP	N
participation	turnout	participation	turnout	N;FEM;SG	
puissance	sục	puissance	sục	N;FEM;SG	V
final	final	final	final	ADJ;MASC;SG	N
simon	simon	simon	simon	N;MASC;SG	
endémique	endemic	endémique	endemic	ADJ;MASC;SG	V
sœur	sis	sœur	sis	N;FEM;SG	
opéra	opera	opéra	opera	N;MASC;SG	
reçu	rõ	recevoir	rõ	V;MASC;SG;PST;V.PTCP	ADJ
reçu	roger	recevoir	roger	V;MASC;SG;PST;V.PTCP	
gros	đúc	gros	đúc	ADJ;MASC;SG	V
gros	đại	gros	đại	ADJ;MASC;SG	N
gros	big	gros	big	ADJ;MASC;SG	
gros	béo	gros	béo	ADJ;MASC;SG	N
gros	fat	gros	fat	ADJ;MASC;SG	N
gros	sỉ	gros	sỉ	ADJ;MASC;SG	
découverte	discovery	découvrir	discovery	V;FEM;SG;PST;V.PTCP	N
circonscription	constituency	circonscription	constituency	N;FEM;SG	
champ	field	champ	field	N;MASC;SG	
champ	champ	champ	champ	N;MASC;SG	
val	ver	val	ver	N;MASC;SG	
val	val	val	val	N;MASC;SG	
religieux	đạo	religieux	đạo	ADJ;MASC;SG	N
archives	archives	archive	archives	N;FEM;PL	
vote	vote	vote	vote	N;MASC;SG	V
vote	bầu	vote	bầu	N;MASC;SG	V
appelée	goi	appeler	goi	V;FEM;SG;PST;V.PTCP	
romaine	romaine	romain	romaine	ADJ;FEM;SG	
romaine	roman	romain	roman	ADJ;FEM;SG	N
romaine	đế	romain	đế	ADJ;FEM;SG	N
alt	alt	alt	alt		N
obtenir	get	obtenir	get	V;NFIN	
blanche	blanche	blanc	blanche	ADJ;FEM;SG	
blanche	trắng	blanc	trắng	ADJ;FEM;SG	N
blanche	white	blanc	white	ADJ;FEM;SG	
blanche	bạch	blanc	bạch	ADJ;FEM;SG	N
angeles	angeles	angele	angeles	PROPN	N
belle	belle	beau	belle	ADJ;FEM;SG	
motif	pattern	motif	pattern	N;MASC;SG	V
aire	aire	aire	aire	N;FEM;SG	
chant	song	chant	song	N;MASC;SG	CONJ
chant	chant	chant	chant	N;MASC;SG	
chant	thanh	chant	thanh	N;MASC;SG	
chant	hát	chant	hát	N;MASC;SG	V
mondial	giới	mondial	giới	ADJ;MASC;SG	N
mondial	mondial	mondial	mondial	ADJ;MASC;SG	
longtemps	lâu	longtemps	lâu	ADV	ADJ
longtemps	dài	longtemps	dài	ADV	ADJ
longtemps	long	longtemps	long	ADV	N
frédéric	friedrich	frédéric	friedrich	PROPN	
frédéric	friedrich	frédéric	friedrich	PROPN	
frédéric	frederick	frédéric	frederick	PROPN	N
frédéric	frederic	frédéric	frederic	PROPN	
soleil	cn	soleil	cn	N;MASC;SG	
utilisateur	dùng	utilisateur	dùng	N;MASC;SG	V
allemands	đức	allemand	đức	ADJ;MASC;PL	N
moscou	moscow	moscou	moscow	PROPN	N
moscou	moskva	moscou	moskva	PROPN	N
sportif	sport	sportif	sport	ADJ;MASC;SG	N
lnh	nhl	lnh	nhl	N;FEM;SG	
toulouse	toulouse	toulouse	toulouse	N;FEM;SG	NUM
inclinaison	tilt	inclinaison	tilt	N;FEM;SG	
inclinaison	nghiêng	inclinaison	nghiêng	N;FEM;SG	ADJ
inclinaison	incline	inclinaison	incline	N;FEM;SG	
mexique	mexico	mexique	mexico	ADJ;MASC;SG	N
dernières	cuối	dernier	cuối	ADJ;FEM;PL	N
cinquième	fifth	cinquième	fifth	ADJ;MASC;SG	N
liberté	do	liberté	do	N;FEM;SG	CONJ
liberté	liberté	liberté	liberté	N;FEM;SG	
liberté	liberty	liberté	liberty	N;FEM;SG	
contenu	dung	contenir	dung	V;MASC;SG;PST;V.PTCP	
contenu	dung	contenir	dung	V;MASC;SG;PST;V.PTCP	
star	star	star	star	N;FEM;SG	
fête	festival	fête	festival	N;FEM;SG	
fête	party	fête	party	N;FEM;SG	
photo	photo	photo	photo	N;FEM;SG	
vincent	vincent	vincent	vincent	N;MASC;SG	
jouer	at	jouer	at	V;NFIN	
jouer	divx	jouer	divx	V;NFIN	N
précédente	trước	précédent	trước	ADJ;FEM;SG	
polonais	polish	polonais	polish	ADJ;MASC;SG	NUM
polonais	cực	polonais	cực	ADJ;MASC;SG	
polonais	pole	polonais	pole	ADJ;MASC;SG	N
polonais	cột	polonais	cột	ADJ;MASC;SG	N
noire	noire	noir	noire	ADJ;FEM;SG	
recherches	tìm	recherche	tìm	N;FEM;PL	V
sauf	trừ	sauf	trừ	ADP	V
max	đa	max	đa	N;MASC;SG	
max	max	max	max	N;MASC;SG	
américains	american	américain	american	ADJ;MASC;PL	N
américains	mỹ	américain	mỹ	ADJ;MASC;PL	N
love	love	love	love	ADJ;FEM;SG	
love	yêu	love	yêu	ADJ;FEM;SG	V
uniquement	chỉ	uniquement	chỉ	ADV	
uniquement	duy	uniquement	duy	ADV	N
résistance	vây	résistance	vây	N;FEM;SG	V
smith	smith	smith	smith	PROPN	
bleu	bleu	bleu	bleu	N;MASC;SG	
jack	bồi	jack	bồi	PROPN	V
jack	jack	jack	jack	PROPN	
classé	filled	classer	filled	V;MASC;SG;PST;V.PTCP	
classé	tiển	classer	tiển	V;MASC;SG;PST;V.PTCP	
www	www	www	www		N
guy	guy	guy	guy	PROPN	
guy	khứa	guy	khứa	PROPN	N
guy	gã	guy	gã	PROPN	
tome	tome	tome	tome	N;MASC;SG	
faits	sự	faire	sự	V;MASC;PL;PST;V.PTCP	N
juifs	juifs	juif	juifs	N;MASC;PL	
ehess	ehess	ehess	ehess	PROPN	
besoin	thiết	besoin	thiết	N;MASC;SG	V
besoin	cần	besoin	cần	N;MASC;SG	V
mark	mác	mark	mác	PROPN	N
mark	mark	mark	mark	PROPN	
chicago	chicago	chicago	chicago	PROPN	
cimetière	cimetière	cimetière	cimetière	N;MASC;SG	
somme	somme	somme	somme	N;FEM;SG	NUM
somme	sum	somme	sum	N;FEM;SG	
éviter	avoidance	éviter	avoidance	V;NFIN	
défaite	bại	défaite	bại	N;FEM;SG	V
défaite	bại	défaite	bại	N;FEM;SG	V
ceci	này	ceci	này	PRO;SG	PROPN
maritime	maritime	maritime	maritime	ADJ;MASC;SG	N
épreuve	ordeal	épreuve	ordeal	N;FEM;SG	
épreuve	test	épreuve	test	N;FEM;SG	V
épreuve	thử	épreuve	thử	N;FEM;SG	V
voies	voies	voie	voies	N;FEM;PL	
cardinal	cận	cardinal	cận	N;MASC;SG	V
encyclopédie	encyclopédie	encyclopédie	encyclopédie	N;FEM;SG	V
lorraine	lorraine	lorrain	lorraine	ADJ;FEM;SG	NUM
parents	song	parent	song	N;MASC;PL	CONJ
tournée	tour	tourner	tour	V;FEM;SG;PST;V.PTCP	N
