το	az	ο	az	DET;NOM;DEF;NEUT;SG	
προσθήκη	hozzáadása	προσθήκη	hozzáadás	N	V;DEF;IND;SG;3;PRS;FIN;ACT
ισραήλ	izraeli	ισραήλ	izraeli		
ισραήλ	izrael	ισραήλ	izrael		
άρης	aris	άρης	aris	PROPN;NOM;MASC;SG	
άρης	marson	άρης	marson	PROPN;NOM;MASC;SG	N;NOM;SG
άρης	mars	άρης	mars	PROPN;NOM;MASC;SG	
καναδά	kanada	καναδός	kanada	PROPN;NOM;MASC;SG	PROPN;NOM;SG
καναδά	kanadai	καναδός	kanadai	PROPN;NOM;MASC;SG	ADJ;NOM;SG
παιχνίδια	játék	παιχνίδιο	játék	N;NOM;NEUT;PL	N;NOM;SG
κομμάτια	darab	κομμάτι	darab	N;NOM;NEUT;PL	
κομμάτια	darabokban	κομμάτι	darab	N;NOM;NEUT;PL	N;IN+ESS;PL
ανάλυση	bontás	ανάλυση	bontás	N;ACC;FEM;SG	N;NOM;SG
ανάλυση	elemzés	ανάλυση	elemzés	N;ACC;FEM;SG	N;NOM;SG
ανάλυση	elemzések	ανάλυση	elemzés	N;ACC;FEM;SG	N;NOM;PL
ανάλυση	analízis	ανάλυση	analízis	N;ACC;FEM;SG	N;NOM;SG
κόκκινο	piros	κόκκινος	piros	N;NOM;NEUT;SG	
κόκκινο	piroska	κόκκινος	piroska	N;NOM;NEUT;SG	
κόκκινο	vörös	κόκκινος	vörös	N;NOM;NEUT;SG	
δίσκος	korong	δίσκος	korong	N;NOM;MASC;SG	
δίσκος	lemezt	δίσκος	lemez	N;NOM;MASC;SG	N;ACC;SG
δίσκος	korong	δίσκος	korong	N;NOM;MASC;SG	
δίσκος	lemezt	δίσκος	lemez	N;NOM;MASC;SG	N;ACC;SG
ροκ	szikla	ροκ	szikla		N;NOM;SG
ροκ	kő	ροκ	kő		N;NOM;SG
ροκ	rock	ροκ	rock		
ενέργειας	energia	ενέργεια	energia	N;GEN;FEM;SG	N;NOM;SG
σύλλογοι	szövetségek	σύλλογος	szövetség	ADJ;NOM;MASC;PL	N;NOM;PL
σύλλογοι	klubok	σύλλογος	klub	ADJ;NOM;MASC;PL	N;NOM;PL
σχέδια	terveket	σχέδιο	terv	N;NOM;NEUT;PL	N;ACC;PL
σχέδια	rajzokat	σχέδιο	rajz	N;NOM;NEUT;PL	N;ACC;PL
χιλιάδες	ezrek	χιλιάδα	ezer	NUM;NOM;FEM;PL	N;NOM;PL
χιλιάδες	ezer	χιλιάδα	ezer	NUM;NOM;FEM;PL	NUM;NOM;SG
δίκτυο	network	δίκτυο	network	N;NOM;NEUT;SG	
φως	light	φως	light	N;NOM;NEUT;SG	
φως	fényt	φως	fény	N;NOM;NEUT;SG	N;ACC;SG
πραγματικό	real	πραγματικός	real	ADJ;NOM;NEUT;SG	
πραγματικό	igazi	πραγματικός	igazi	ADJ;NOM;NEUT;SG	
πραγματικό	valódi	πραγματικός	valódi	ADJ;NOM;NEUT;SG	
παραπομπές	hivatkozás	παραπομπή	hivatkozás	N;NOM;FEM;PL	N;NOM;SG
παραπομπές	hivatkozásokat	παραπομπή	hivatkozás	N;NOM;FEM;PL	N;ACC;PL
μικρές	kis	μικρός	kis	ADJ;NOM;FEM;PL	ADJ;NOM;SG
μικρές	kicsik	μικρός	kicsik	ADJ;NOM;FEM;PL	
μικρές	kicsi	μικρός	kicsi	ADJ;NOM;FEM;PL	
πίνακας	asztali	πίνακα	asztali	N;NOM;MASC;SG	
απάντηση	válasz	απάντηση	válasz	N;ACC;FEM;SG	N;NOM;SG
απάντηση	válasz	απάντηση	válasz	N;ACC;FEM;SG	N;NOM;SG
παρόμοια	hasonló	παρόμοιος	hasonló	ADV	ADJ;NOM;SG
παρόμοια	hasonlóak	παρόμοιος	hasonló	ADV	ADJ;NOM;PL
παρόμοια	hasonlók	παρόμοιος	hasonló	ADV	N;NOM;PL
απόλυτο	abszolút	απόλυτος	abszolú	ADJ;NOM;NEUT;SG	
περιλαμβάνονται	tartalmazza	περιλαμβάνω	tartalmaz	V;IPFV;IND;PL;3;PRS;FIN;PASS	V;DEF;IND;SG;3;PRS;FIN;ACT
αποκλειστικά	zártkörű	αποκλειστικά	zártkörű	ADV	ADJ;NOM;SG
αποκλειστικά	exkluzív	αποκλειστικά	exkluzív	ADV	
αποκλειστικά	kizárólagos	αποκλειστικά	kizárólagos	ADV	ADJ;NOM;SG
αποκλειστικά	kizárólagosan	αποκλειστικά	kizárólagos	ADV	ADJ;FRML;SG
αποκλειστικά	kizárólag	αποκλειστικά	kizárólag	ADV	
νότιο	dél	νότιος	dél	ADJ;NOM;NEUT;SG	
νότιο	déli	νότιος	déli	ADJ;NOM;NEUT;SG	
νότιο	dél	νότιος	dél	ADJ;NOM;NEUT;SG	
νότιο	délre	νότιος	délre	ADJ;NOM;NEUT;SG	ADV
νότιο	déli	νότιος	déli	ADJ;NOM;NEUT;SG	
νόμος	jogszabályok	νόμος	jogszabály	N;NOM;MASC;SG	N;NOM;PL
νόμος	jogszabály	νόμος	jogszabály	N;NOM;MASC;SG	
πράγματα	dolgokat	πράγμα	dolog	N;NOM;NEUT;PL	N;ACC;PL
πράγματα	cucc	πράγμα	cucc	N;NOM;NEUT;PL	N;NOM;SG
οποιαδήποτε	bármelyik	οποιοσδήποτε	bármelyik	PRO;NOM;FEM;SG;3	
οποιαδήποτε	bármely	οποιοσδήποτε	bármely	PRO;NOM;FEM;SG;3	
οποιαδήποτε	bármilyen	οποιοσδήποτε	bármilyen	PRO;NOM;FEM;SG;3	
άννα	anna	άννος	az	PROPN;NOM;FEM;SG	
άννα	annának	άννος	anna	PROPN;NOM;FEM;SG	N;GEN;SG
έζησε	éltem	φήνω	él	V;PFV;IND;SG;3;PST;FIN;ACT	V;INDF;IND;SG;1;PST;FIN;ACT
ιαπωνία	japán	ιαπωνία	japán	PROPN;ACC;FEM;SG	
σειρές	sorozat	σειρός	sorozat	N;NOM;FEM;PL	N;NOM;SG
φον	von	φον	von	N	
ολυμπιακό	olimpiai	ολυμπιακός	olimpiai		ADJ;NOM;SG
εμφανίστηκε	megjelent	εμφανίζω	megjelent	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
δολάρια	dollárban	δολάριο	dollár	N;NOM;NEUT;PL	N;IN+ESS;SG
δολάρια	dollár	δολάριο	dollár	N;NOM;NEUT;PL	N;NOM;SG
λίγες	kevesen	λίγος	kevés	ADJ;NOM;FEM;PL	ADV
λίγες	pár	λίγος	pár	ADJ;NOM;FEM;PL	
λίγες	kevés	λίγος	kevés	ADJ;NOM;FEM;PL	
λίγες	kevesek	λίγος	kevés	ADJ;NOM;FEM;PL	
λίγες	néhány	λίγος	néhány	ADJ;NOM;FEM;PL	DET;INDF
ακαδημίας	akadémia	ακαδημία	akadémia	N;GEN;FEM;SG	N;NOM;SG
καταστροφή	katasztrófa	καταστροφή	katasztrófa	N;ACC;FEM;SG	N;NOM;SG
καταστροφή	katasztrófa	καταστροφή	katasztrófa	N;ACC;FEM;SG	N;NOM;SG
καταστροφή	pusztulás	καταστροφή	pusztulás	N;ACC;FEM;SG	N;NOM;SG
καταστροφή	pusztítás	καταστροφή	pusztítás	N;ACC;FEM;SG	N;NOM;SG
καταστροφή	megsemmisítés	καταστροφή	megsemmisítés	N;ACC;FEM;SG	N;NOM;SG
ναι	igen	ναι	igen	ADV	
ναι	igen	ναι	igen	ADV	
τιμές	érték	τιμή	ők	N;NOM;FEM;PL	N;NOM;SG
πίεση	nyomás	πίεση	nyomás	N;ACC;FEM;SG	N;NOM;SG
βασίλισσα	queen	βασίλισσα	ő	N;NOM;FEM;SG	
βασίλισσα	dáma	βασίλισσα	dáma	N;NOM;FEM;SG	
πολιτικό	politikusok	πολιτικός	politikus	ADJ;NOM;NEUT;SG	N;NOM;PL
πολιτικό	politikus	πολιτικός	politikus	ADJ;NOM;NEUT;SG	N;NOM;SG
πολιτικό	politika	πολιτικός	politika	ADJ;NOM;NEUT;SG	N;NOM;SG
χημική	kémiai	χημικός	kémiai	ADJ;NOM;FEM;SG	N;NOM;SG
βίντεο	videók	βίντεο	videó	N;NEUT;SG	N;NOM;PL
ασίας	ázsiai	ασία	ázsiai	PROPN;GEN;FEM;SG	ADJ;NOM;SG
ασίας	ázsia	ασία	ázsia	PROPN;GEN;FEM;SG	
ίδρυσε	alapították	ιδρύω	alapít	V;PFV;IND;SG;3;PST;FIN;ACT	V;DEF;IND;PL;3;PST;FIN;ACT
παλιά	idős	παλιός	idős	ADV	
παλιά	régit	παλιός	régit	ADV	N;ACC;SG
παλιά	régi	παλιός	régi	ADV	
παλιά	öreg	παλιός	öreg	ADV	
παλιά	régiek	παλιός	régiek	ADV	N;NOM;PL
μονάδα	unit	μονάδα	únit	N;NOM;FEM;SG	
βρετανία	britannia	βρετανία	britannia	PROPN;ACC;FEM;SG	
στρατηγός	általános	στρατηγός	általános	N;NOM;MASC;SG	
εξαιρετικά	rendkívül	εξαιρετικά	rendkívül	ADV	
εξαιρετικά	kiváló	εξαιρετικά	kiváló	ADV	ADJ;NOM;SG
οικονομικά	közgazdaságtan	οικονομικά	közgazdaság	ADV	N;NOM;SG
οικονομικά	gazdaság	οικονομικά	gazdaság	ADV	N;NOM;SG
οικονομικά	közgazdasági	οικονομικά	közgazdasági	ADV	ADJ;NOM;SG
ίδρυμα	alap	ίδρυμα	alap	N;NOM;NEUT;SG	
ίδρυμα	intézmények	ίδρυμα	intézmény	N;NOM;NEUT;SG	N;NOM;PL
κάποιον	valaki	κάποιος	valaki	PRO;ACC;MASC;SG;3	
κάποιον	valakit	κάποιος	valakit	PRO;ACC;MASC;SG;3	
υπόλοιπα	pihenés	υπόλοιπος	pihenés	ADV	N;NOM;SG
υπόλοιπα	többi	υπόλοιπος	többi	ADV	
υπόλοιπα	pihenő	υπόλοιπος	pihenő	ADV	
πάπας	pápa	πάπας	pápa	N;NOM;MASC;SG	
πάπας	pope	πάπας	pope	N;NOM;MASC;SG	
σταθμό	állomás	σταθμός	állomás	N;ACC;MASC;SG	N;NOM;SG
σταθμό	pályaudvar	σταθμός	pályaudvar	N;ACC;MASC;SG	N;NOM;SG
σχετική	relatív	σχετικός	relatív	ADJ;NOM;FEM;SG	
σχετική	viszonylagos	σχετικός	viszonylagos	ADJ;NOM;FEM;SG	
σχετική	rokon	σχετικός	rokon	ADJ;NOM;FEM;SG	
σχετική	releváns	σχετικός	releváns	ADJ;NOM;FEM;SG	
σχετική	relevánsak	σχετικός	releváns	ADJ;NOM;FEM;SG	ADJ;NOM;PL
σχετική	lényeges	σχετικός	lényeges	ADJ;NOM;FEM;SG	
σχετική	összefüggő	σχετικός	összefüggő	ADJ;NOM;FEM;SG	
σχετική	rokonok	σχετικός	rokon	ADJ;NOM;FEM;SG	N;NOM;PL
σχετική	rokon	σχετικός	rokon	ADJ;NOM;FEM;SG	
σχετική	kapcsolatban	σχετικός	kapcsolat	ADJ;NOM;FEM;SG	N;IN+ESS;SG
αρχιτεκτονική	felépítés	αρχιτεκτονικός	felépítés	ADJ;NOM;FEM;SG	N;NOM;SG
αρχιτεκτονική	építészet	αρχιτεκτονικός	építészet	ADJ;NOM;FEM;SG	N;NOM;SG
δραστηριότητα	tevékenységek	δραστηριότητα	tevékenység	N;ACC;FEM;SG	N;NOM;PL
δραστηριότητα	tevékenység	δραστηριότητα	tevékenység	N;ACC;FEM;SG	N;NOM;SG
δραστηριότητα	aktivitás	δραστηριότητα	aktivitás	N;ACC;FEM;SG	N;NOM;SG
τεχνική	műszaki	τεχνικός	műszaki	ADJ;NOM;FEM;SG	N;NOM;SG
τεχνική	technika	τεχνικός	technika	ADJ;NOM;FEM;SG	N;NOM;SG
διαμέρισμα	lapos	διαμέρισμα	lapos	N;NOM;NEUT;SG	
διαμέρισμα	sík	διαμέρισμα	sík	N;NOM;NEUT;SG	
γράμματα	írás	γράμμα	írás	N;NOM;NEUT;PL	N;NOM;SG
γράμματα	leveleket	γράμμα	levél	N;NOM;NEUT;PL	N;ACC;PL
μακεδονία	macedónia	μακεδονία	macedónia	PROPN;ACC;FEM;SG	
πιθανώς	valószínű	πιθανώς	valószínű	ADV	
πιθανώς	valószínűleg	πιθανώς	valószínűleg	ADV	
ανδρέας	andreas	ανδρέα	andreas	PROPN;NOM;MASC;SG	
κάποιοι	néhány	κάποιος	néhány	PRO;NOM;MASC;PL;3	DET;INDF
εθνικός	national	εθνικός	national	ADJ;NOM;MASC;SG	
υόρκη	yorkban	υόρκη	york	PROPN;NOM;FEM;SG	PROPN;IN+ESS;SG
υόρκη	york	υόρκη	york	PROPN;NOM;FEM;SG	
υόρκη	yorki	υόρκη	yorki	PROPN;NOM;FEM;SG	
βασιλική	bazilika	βασιλικός	bazilika	ADJ;NOM;FEM;SG	N;NOM;SG
βασιλική	királyi	βασιλικός	királyi	ADJ;NOM;FEM;SG	
βασιλική	royal	βασιλικός	royal	ADJ;NOM;FEM;SG	
μνημείο	nevezetesség	μνημείο	nevezetesség	N;NOM;NEUT;SG	ADJ;NOM;SG
τζέιμς	james	τζέιμα	james		
τζέιμς	jakab	τζέιμα	ja		
μονάδες	egység	μονάδα	egység	N;NOM;FEM;PL	N;NOM;SG
είπε	said	λέγω	said	V;PFV;IND;SG;3;PST;FIN;ACT	
μάχες	harcol	μάχη	harcol	N;NOM;FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
μάχες	harc	μάχη	harc	N;NOM;FEM;PL	N;NOM;SG
μάχες	harcol	μάχη	harcol	N;NOM;FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
μάχες	küzdelem	μάχη	küzdelem	N;NOM;FEM;PL	N;NOM;SG
μάχες	verekedés	μάχη	verekedés	N;NOM;FEM;PL	N;NOM;SG
μάχες	harcolni	μάχη	harcol	N;NOM;FEM;PL	V;NFIN;ACT
πολιτικά	politika	πολιτικός	politika	ADV	N;NOM;SG
πολιτικά	politikailag	πολιτικός	politikai	ADV	
καθεστώς	állapot	καθεστώς	állap	N;ACC;NEUT;SG	N;NOM;SG
καθεστώς	státusz	καθεστώς	státusz	N;ACC;NEUT;SG	N;NOM;SG
καθεστώς	séma	καθεστώς	séma	N;ACC;NEUT;SG	N;NOM;SG
καθεστώς	rezsim	καθεστώς	rezsim	N;ACC;NEUT;SG	N;NOM;SG
ρωμαϊκή	roman	ρωμαϊκός	roman	ADJ;NOM;FEM;SG	
λογική	logikai	λογικός	logikai	ADJ;NOM;FEM;SG	N;NOM;SG
λογική	logikus	λογικός	logikus	ADJ;NOM;FEM;SG	
λογική	logika	λογικός	logika	ADJ;NOM;FEM;SG	N;NOM;SG
λογική	logikai	λογικός	logikai	ADJ;NOM;FEM;SG	N;NOM;SG
βυζαντινή	bizánci	βυζαντινός	bizánci	ADJ;NOM;FEM;SG	
ερτ	ert	ερτ	er	N	
αφρικής	afrikai	αφρικός	afrikai	ADJ;GEN;FEM;SG	
κριτήρια	kritérium	κριτήριο	kritérium	N;NOM;NEUT;PL	N;NOM;SG
άμεσα	közvetlenül	άμεσα	közvetlen	ADV	ADJ;FRML;SG
ολυμπιακούς	olimpia	ολυμπιακός	olimpia	ADJ;ACC;MASC;PL	N;NOM;SG
μοναδικό	egyedülálló	μοναδικός	egyedülálló	ADJ;NOM;NEUT;SG	
μοναδικό	páratlan	μοναδικός	páratlan	ADJ;NOM;NEUT;SG	
μοναδικό	egyedi	μοναδικός	egyedi	ADJ;NOM;NEUT;SG	
δικαιωμάτων	jogai	δικαίωμα	jogai	N;GEN;NEUT;PL	N;NOM;PL
δικαιωμάτων	jogokkal	δικαίωμα	jog	N;GEN;NEUT;PL	N;INS;PL
δικαιωμάτων	jogok	δικαίωμα	jog	N;GEN;NEUT;PL	N;NOM;PL
ακολούθησαν	követett	ακολουθώ	követ	V;PFV;IND;PL;3;PST;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
ακολούθησαν	követte	ακολουθώ	követ	V;PFV;IND;PL;3;PST;FIN;ACT	V;DEF;IND;SG;3;PST;FIN;ACT
εσωτερικών	belső	εσωτερικός	belső	N;GEN;FEM;PL	
εσωτερικών	belseje	εσωτερικός	belső	N;GEN;FEM;PL	N;NOM;SG
όρια	határokat	όριο	határ	N;NOM;NEUT;PL	N;ACC;PL
όρια	határokon	όριο	határ	N;NOM;NEUT;PL	N;ON+ESS;PL
όρια	határ	όριο	határ	N;NOM;NEUT;PL	N;NOM;SG
όρια	korlátozás	όριο	korlátozás	N;NOM;NEUT;PL	
όρια	határérték	όριο	határérték	N;NOM;NEUT;PL	N;NOM;SG
όρια	limit	όριο	limi	N;NOM;NEUT;PL	
όρια	korlát	όριο	korlát	N;NOM;NEUT;PL	N;NOM;SG
λύση	megoldást	λύση	megoldás	N;NOM;FEM;SG	N;ACC;SG
αίγυπτο	egyiptom	αίγυπτος	egyiptom	PROPN;ACC;FEM;SG	N;NOM;SG
τρέχουσα	áramlat	τρέχων	áramlat	ADJ;NOM;FEM;SG	N;NOM;SG
τρέχουσα	jelenlegi	τρέχων	jelenlegi	ADJ;NOM;FEM;SG	
αέρα	levegő	αέρας	levegő	N;ACC;MASC;SG	N;NOM;SG
αέρα	air	αέρας	air	N;ACC;MASC;SG	
εύκολα	könnyen	εύκολα	könnyű	ADV	ADJ;FRML;SG
εύκολα	könnyedén	εύκολα	könnyed	ADV	
πτώση	csökkenés	πτώση	csökkenés	N;ACC;FEM;SG	N;NOM;SG
πτώση	visszaesés	πτώση	visszaesés	N;ACC;FEM;SG	N;NOM;SG
πτώση	esés	πτώση	esés	N;ACC;FEM;SG	N;NOM;SG
πτώση	zuhanás	πτώση	zuhanás	N;ACC;FEM;SG	N;NOM;SG
πτώση	zuhan	πτώση	zuhan	N;ACC;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
πτώση	csepp	πτώση	csepp	N;ACC;FEM;SG	N;NOM;SG
πτώση	esés	πτώση	esés	N;ACC;FEM;SG	N;NOM;SG
πτώση	őszi	πτώση	őszi	N;ACC;FEM;SG	
πτώση	zuhanás	πτώση	zuhanás	N;ACC;FEM;SG	N;NOM;SG
πτώση	ősszel	πτώση	ősszel	N;ACC;FEM;SG	ADV
πτώση	ősz	πτώση	ősz	N;ACC;FEM;SG	
ζαν	jean	ζαν	jean	PROPN;NOM;MASC;SG	
ζαν	jeanne	ζαν	jelenik	PROPN;NOM;MASC;SG	
προσωπικό	személyes	προσωπικό	személyes	N;NOM;NEUT;SG	ADJ;NOM;SG
προσωπικό	személyi	προσωπικό	személyi	N;NOM;NEUT;SG	ADJ;NOM;SG
προσωπικό	alkalmazottak	προσωπικό	alkalmazott	N;NOM;NEUT;SG	N;NOM;PL
προσωπικό	munkatársak	προσωπικό	munkatárs	N;NOM;NEUT;SG	N;NOM;PL
αυστραλία	ausztrália	αυστραλία	ausztrália	PROPN;ACC;FEM;SG	N;NOM;SG
κίνα	porcelán	κίνα	porcela	PROPN;ACC;FEM;SG	N;NOM;SG
κίνα	kína	κίνα	kína	PROPN;ACC;FEM;SG	PROPN;NOM;SG
κίνα	china	κίνα	china	PROPN;ACC;FEM;SG	
κοινωνική	szociális	κοινωνικός	szociális	ADJ;NOM;FEM;SG	N;NOM;SG
φεβρουάριο	februári	φεβρουάριο	februári	N	ADJ;NOM;SG
πολιτεία	állapot	πολιτεία	állap	N;ACC;FEM;SG	N;NOM;SG
πολιτεία	állami	πολιτεία	állami	N;ACC;FEM;SG	
πολιτεία	állam	πολιτεία	állam	N;ACC;FEM;SG	N;NOM;SG
μυθιστόρημα	újszerű	μυθιστόρημα	újszerű	N;NOM;NEUT;SG	
κατοχή	birtoklás	κατοχή	birtoklás	N;ACC;FEM;SG	N;NOM;SG
κατοχή	foglalkozása	κατοχή	foglalkozás	N;ACC;FEM;SG	N;NOM;SG
κατοχή	megszállás	κατοχή	megszállás	N;ACC;FEM;SG	N;NOM;SG
κατοχή	foglalkozás	κατοχή	foglalkozás	N;ACC;FEM;SG	N;NOM;SG
πιθανόν	valószínű	πιθανώς	valószínű	ADV	
πιθανόν	valószínűleg	πιθανώς	valószínűleg	ADV	
λειτουργίας	működési	λειτουργία	működési	N;GEN;FEM;SG	N;NOM;SG
πλειοψηφία	többségi	πλειοψηφία	többségi	N;NOM;FEM;SG	ADJ;NOM;SG
πλειοψηφία	többség	πλειοψηφία	többség	N;NOM;FEM;SG	
νόμο	jogszabályok	νόμος	jogszabály	N;ACC;MASC;SG	N;NOM;PL
νόμο	jog	νόμος	jog	N;ACC;MASC;SG	N;NOM;SG
νόμο	jogszabály	νόμος	jogszabály	N;ACC;MASC;SG	
νόμο	törvény	νόμος	törvény	N;ACC;MASC;SG	N;NOM;SG
ζώα	állat	ζώο	állat	N;NOM;NEUT;PL	N;NOM;SG
ζώα	állatállomány	ζώο	állatállomány	N;NOM;NEUT;PL	N;NOM;SG
συμβόλαιο	szerződéssel	συμβόλαιο	szerződés	N;NOM;NEUT;SG	N;INS;SG
συμβόλαιο	szerződés	συμβόλαιο	szerződés	N;NOM;NEUT;SG	
σενάριο	forgatókönyv	σενάριο	forgatókönyv	N;NOM;NEUT;SG	N;NOM;PL
σενάριο	forgatókönyvet	σενάριο	forgatókönyv	N;NOM;NEUT;SG	N;NOM;PL
σενάριο	forgatókönyv	σενάριο	forgatókönyv	N;NOM;NEUT;SG	N;NOM;PL
σενάριο	forgatókönyv	σενάριο	forgatókönyv	N;NOM;NEUT;SG	N;NOM;PL
σενάριο	forgatókönyvet	σενάριο	forgatókönyv	N;NOM;NEUT;SG	N;NOM;PL
ενάντια	ellene	ενάντια	ellen	ADV	PRO;NOM;SG;3
ενάντια	ellen	ενάντια	ellen	ADV	ADP
περαιτέρω	további	περαιτέρω	további	ADV	N;NOM;SG
επαφή	kapcsolatfelvétel	επαφή	kapcsolatfelvétel	N;ACC;FEM;SG	N;NOM;SG
επαφή	kapcsolattartó	επαφή	kapcsolattartó	N;ACC;FEM;SG	N;NOM;SG
επαφή	kontakt	επαφή	kontakt	N;ACC;FEM;SG	
επαφή	érintkezés	επαφή	érintkezés	N;ACC;FEM;SG	N;NOM;SG
επαφή	kapcsolat	επαφή	kapcsolat	N;ACC;FEM;SG	N;NOM;SG
επαφή	kapcsolatba	επαφή	kapcsolat	N;ACC;FEM;SG	N;IN+ALL;SG
μπλε	kék	μπλε	kék	N	
μπλε	blue	μπλε	blue	N	
εργασίες	munkahelyi	εργασία	munkahelyi	N;NOM;FEM;PL	N;NOM;SG
εργασίες	munka	εργασία	munka	N;NOM;FEM;PL	N;NOM;SG
εργασίες	állás	εργασία	állás	N;NOM;FEM;PL	N;NOM;SG
ολόκληρη	egészben	ολόκληρος	egészben	ADJ;NOM;FEM;SG	N;IN+ESS;SG
ολόκληρη	egész	ολόκληρος	egész	ADJ;NOM;FEM;SG	
κινδύνου	kockázat	κίνδυνος	kockázat	N;GEN;MASC;SG	N;NOM;SG
κινδύνου	kockázatos	κίνδυνος	kockázatos	N;GEN;MASC;SG	ADJ;NOM;SG
κινδύνου	veszélyességi	κίνδυνος	veszélyességi	N;GEN;MASC;SG	ADJ;NOM;SG
κινδύνου	veszély	κίνδυνος	veszély	N;GEN;MASC;SG	N;NOM;SG
ρόμπερτ	robert	ρόμπερτ	rober		
ρόμπερτ	róbert	ρόμπερτ	róber		N;NOM;SG
σταδιακά	fokozatosan	σταδιακά	fokozatos	ADV	ADJ;FRML;SG
σταδιακά	fokozatosan	σταδιακά	fokozatos	ADV	ADJ;FRML;SG
επίσημο	tisztviselő	επίσημος	tisztviselő	ADJ;NOM;NEUT;SG	N;NOM;SG
επίσημο	formális	επίσημος	formális	ADJ;NOM;NEUT;SG	
οικονομία	közgazdasági	οικονομία	közgazdasági	N;NOM;FEM;SG	ADJ;NOM;SG
οικονομία	gazdaságos	οικονομία	gazdaságos	N;NOM;FEM;SG	ADJ;NOM;SG
κρήτη	kréta	κρήτος	kréta	PROPN;ACC;FEM;SG	
πλήρη	full	πλήρης	full	ADJ;NOM;FEM;SG	
πλήρη	teljes	πλήρης	teljes	ADJ;NOM;FEM;SG	
πλήρη	komplett	πλήρης	komplett	ADJ;NOM;FEM;SG	
πλήρη	teljes	πλήρης	teljes	ADJ;NOM;FEM;SG	
πλήρη	teljessé	πλήρης	teljessé	ADJ;NOM;FEM;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
ανάγκη	kell	ανάγκη	kell	N;ACC;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
ανάγκη	szükséges	ανάγκη	szükséges	N;ACC;FEM;SG	ADJ;NOM;SG
προϊόντα	termék	προϊόν	termék	N;NOM;NEUT;PL	N;NOM;SG
προϊόντα	termékeket	προϊόν	termék	N;NOM;NEUT;PL	N;ACC;PL
σημειώσεις	jegyzet	σημείωση	jegyzet	N;NOM;FEM;PL	N;NOM;SG
γνώμη	vélemény	γνώμη	vélemény	N;ACC;FEM;SG	
γνώμη	vélemények	γνώμη	vélemény	N;ACC;FEM;SG	N;NOM;PL
ισχύει	érvényes	ισχύω	érvényes	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;SG
οδηγεί	érdeklődők	οδηγώ	érdeklődő	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;PL
οδηγεί	érdeklődő	οδηγώ	érdeklődő	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;SG
ρώμης	róma	Ρώμη	róma	PROPN;GEN;FEM;SG	
πλήθος	tömegek	πλήθος	tömeg	N;NOM;NEUT;SG	N;NOM;PL
ιερά	szent	ιερός	szent	ADV	
ιερά	szent	ιερός	szent	ADV	
πόλεων	városok	πόλη	város	N;GEN;FEM;PL	N;NOM;PL
πόλεων	városokat	πόλη	város	N;GEN;FEM;PL	N;ACC;PL
ηγεσία	vezetői	ηγεσία	vezető	N;ACC;FEM;SG	N;NOM;PL
ηγεσία	vezetés	ηγεσία	vezetés	N;ACC;FEM;SG	N;NOM;SG
συνδυασμό	kombináció	συνδυασμός	kombináció	N;ACC;MASC;SG	N;NOM;SG
συνάρτηση	függvény	συνάρτηση	függvény	N;ACC;FEM;SG	N;NOM;SG
συνάρτηση	funkció	συνάρτηση	funkció	N;ACC;FEM;SG	N;NOM;SG
αξία	érték	αξία	ők	N;ACC;FEM;SG	N;NOM;SG
αξία	értéke	αξία	érték	N;ACC;FEM;SG	N;NOM;SG
μάζα	tömeges	μάζα	tömeges	N;NOM;FEM;SG	ADJ;NOM;SG
φράση	mondat	φράση	mondat	N;ACC;FEM;SG	N;NOM;SG
φράση	kifejezés	φράση	kifejezés	N;ACC;FEM;SG	N;NOM;SG
φυσικής	fizika	φυσικός	fizika	ADJ;GEN;FEM;SG	N;NOM;SG
ειρήνη	béke	ειρήνη	béke	N;NOM;FEM;SG	
φωνή	hangja	φωνή	hang	N;ACC;FEM;SG	N;NOM;SG
φωνή	hang	φωνή	hang	N;ACC;FEM;SG	N;NOM;SG
εντολή	parancsnokság	εντολή	parancsnokság	N;ACC;FEM;SG	N;NOM;SG
εντολή	parancs	εντολή	parancs	N;ACC;FEM;SG	N;NOM;SG
εντολή	megbízás	εντολή	megbízás	N;ACC;FEM;SG	N;NOM;SG
εντολή	megbízatásának	εντολή	megbízatás	N;ACC;FEM;SG	N;GEN;SG
εντολή	felhatalmazás	εντολή	felhatalmazás	N;ACC;FEM;SG	N;NOM;SG
εντολή	megbízatás	εντολή	megbízatás	N;ACC;FEM;SG	N;NOM;SG
γάλλοι	francia	γάλλος	francia	PROPN;NOM;MASC;PL	
γάλλοι	franciák	γάλλος	francia	PROPN;NOM;MASC;PL	N;NOM;PL
γάμο	házasságot	γάμος	házasság	N;NOM;NEUT;SG	N;ACC;SG
