סטודנט	studerande	סטודנט	studerande	N;MASC;SG	ADJ;NOM;PRS;V.PTCP
הבלקן	balkan	הבלקן	balka	PROPN	PROPN;NOM
כומר	pastorn	כומר	pastor	PROPN	N;NOM;DEF;MASC+FEM;SG
כומר	pastor	כומר	pastor	PROPN	N;NOM;INDF;MASC+FEM;SG
כומר	präst	כומר	präst	PROPN	N;NOM;INDF;MASC+FEM;SG
קומית	komiskt	קומי	komisk	ADV	ADJ;NOM;INDF;NEUT;SG
ערפאת	arafat	ערפאת	arafa	PROPN	N;NOM;INDF;NEUT;SG
ביו	bio	ביו	bio		N;NOM;INDF;MASC+FEM;SG
ביו	biografi	ביו	biografi		N;NOM;INDF;MASC+FEM;SG
הוותיקן	vatikanen	הוותיקן	vatikan	PROPN	N;NOM;DEF;MASC+FEM;SG
נמשכת	lockade	נמשך	locka	V;FEM;SG;V.PTCP;MID	V;NOM;PL;PST;V.PTCP
נמשכת	lockat	נמשך	locka	V;FEM;SG;V.PTCP;MID	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
נמשכת	attraherad	נמשך	attrahera	V;FEM;SG;V.PTCP;MID	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
נמשכת	lockas	נמשך	locka	V;FEM;SG;V.PTCP;MID	V;IND;FIN;PASS
גרינברג	greenberg	גרינברג	greenberg	PROPN	PROPN;NOM
צלילים	ljud	צליל	ljud	N;MASC;PL	N;NOM;INDF;NEUT;SG
צלילים	låter	צליל	låta	N;MASC;PL	V;IND;PRS;FIN;ACT
היופי	skönheten	היופי	skönhet	PROPN	N;NOM;DEF;MASC+FEM;SG
היופי	skönhet	היופי	skönhet	PROPN	N;NOM;INDF;MASC+FEM;SG
היופי	beauty	היופי	beauty	PROPN	N;NOM;INDF;MASC+FEM;SG
מורי	maury	מורי	maury		PROPN;NOM
מורי	mori	מורי	mori		N;NOM;INDF;MASC+FEM;SG
מורי	murray	מורי	murray		PROPN;NOM
לפגוש	träffas	פגש	träffa	V;NFIN;ACT	V;NFIN;PASS
לפגוש	mötas	פגש	möta	V;NFIN;ACT	V;NFIN;PASS
לפגוש	möts	פגש	möta	V;NFIN;ACT	V;IND;PRS;FIN;PASS
פלילי	kriminella	פלילי	kriminell	ADJ;MASC;SG	ADJ;NOM;PL
פלילי	brottsling	פלילי	brottsling	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
פלילי	brottmål	פלילי	brottmål	ADJ;MASC;SG	N;NOM;INDF;NEUT;SG
לייק	sjöar	לייק	sjö	PROPN	N;NOM;INDF;MASC+FEM;PL
לייק	sjö	לייק	sjö	PROPN	N;NOM;INDF;MASC+FEM;SG
לייק	lake	לייק	lake	PROPN	N;NOM;INDF;NEUT;SG
לייק	sjön	לייק	sjö	PROPN	N;NOM;DEF;MASC+FEM;SG
המסמך	dokumentera	המסמך	dokumentera	PROPN	V;IMP;FIN;ACT
המסמך	dokumentet	המסמך	dokument	PROPN	N;NOM;DEF;NEUT;SG
המסמך	dokument	המסמך	dokument	PROPN	N;NOM;INDF;NEUT;SG
המסמך	handling	המסמך	handling	PROPN	N;NOM;INDF;MASC+FEM;SG
שותפה	delägare	שותף	delägare	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
שותפה	associerade	שותף	associera	N;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
שותפה	associerad	שותף	associerad	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
שותפה	associera	שותף	associera	N;FEM;SG	V;IMP;FIN;ACT
במימון	finansierade	במימון	finansiera	PROPN	ADJ;NOM;PL;PST;V.PTCP
במימון	finansierat	במימון	finansierad	PROPN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
במימון	finansierad	במימון	finansiera	PROPN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
נסיגה	retirera	נסיגה	retirera	N;FEM;SG	V;IMP;FIN;ACT
נסיגה	tillbakadragande	נסיגה	tillbakadragande	N;FEM;SG	ADJ;NOM;PRS;V.PTCP
פר	per	פר	per		ADP
רפורמה	reformer	רפורמה	reform	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
רפורמה	reformera	רפורמה	reformera	N;FEM;SG	V;IMP;FIN;ACT
הומו	homo	הומה	homo		N;NOM;INDF;MASC+FEM;SG
הומו	bög	הומה	bög		N;NOM;INDF;MASC+FEM;SG
הומו	gay	הומה	gay		N;NOM;INDF;MASC+FEM;SG
ביג	big	ביג	big		N;NOM;INDF;NEUT;SG
ביג	stora	ביג	stor		ADJ;NOM;PL
ביג	stor	ביג	stor		ADJ;NOM;INDF;MASC+FEM;SG
ביג	stort	ביג	stor		ADJ;NOM;INDF;NEUT;SG
גלן	glen	גלן	gl	PROPN	PROPN;NOM
גלן	glenn	גלן	glen	PROPN	PROPN;NOM
הארט	hart	הארט	hart	PROPN	N;NOM;INDF;MASC+FEM;SG
צנחנים	fallskärmsjägare	צנחן	fallskärmsjägare	PROPN	N;NOM;INDF;MASC+FEM;PL
תורמים	donatorer	תרם	donator	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
תורמים	bidragsgivare	תרם	bidragsgivare	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
תורמים	givare	תרם	givare	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
תורמים	bidragsgivare	תרם	bidragsgivare	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
עוקב	följare	עקב	följare	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
עוקב	spårning	עקב	spårning	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
מושפע	påverkade	הושפע	påverka	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
מושפע	påverkad	הושפע	påverka	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
מושפע	påverkat	הושפע	påverka	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
מושפע	påverkad	הושפע	påverka	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
מושפע	påverkade	הושפע	påverka	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
מושפע	berörd	הושפע	berörd	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
מושפע	drabbad	הושפע	drabba	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
מושפע	påverkat	הושפע	påverka	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
פיק	befälhavare	פיק	befälhavare	PROPN	N;NOM;INDF;MASC+FEM;SG
פיק	pic	פיק	pic	PROPN	N;NOM;INDF;NEUT;SG
פיק	plc	פיק	plc	PROPN	PROPN;NOM
גלילי	cylindriska	גלילי	cylindrisk	PROPN	ADJ;NOM;PL
לאונרד	leonard	לאונרד	leonard	PROPN	N;NOM;INDF;MASC+FEM;SG
מסורתיים	traditionellt	מסורתי	traditionell	ADJ;MASC;PL	ADJ;NOM;INDF;NEUT;SG
מסורתיים	traditionell	מסורתי	traditionell	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
מסורתיים	traditionsenligt	מסורתי	traditionsenlig	ADJ;MASC;PL	ADJ;NOM;INDF;NEUT;SG
מלאך	ängeln	מלאך	ängel	PROPN	N;NOM;DEF;MASC+FEM;SG
מלאך	ängel	מלאך	ängel	PROPN	N;NOM;INDF;MASC+FEM;SG
מלאך	angel	מלאך	angel	PROPN	N;NOM;INDF;MASC+FEM;SG
צוואר	hals	צוואר	hals	PROPN	N;NOM;INDF;MASC+FEM;SG
צוואר	nacken	צוואר	nacken	PROPN	N;NOM;DEF;MASC+FEM;SG
צוואר	nacke	צוואר	nacke	PROPN	N;NOM;INDF;MASC+FEM;SG
צוואר	halsar	צוואר	hals	PROPN	N;NOM;INDF;MASC+FEM;PL
רול	rulla	רול	rulla	PROPN	V;IMP;FIN;ACT
רול	rulle	רול	rulle	PROPN	N;NOM;INDF;MASC+FEM;SG
חשף	avslöjats	חשף	avslöja	V;MASC;SG;3;PST;ACT	V;V.CVB;PASS
חשף	avslöjat	חשף	avslöja	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
חשף	avslöjades	חשף	avslöja	V;MASC;SG;3;PST;ACT	V;IND;PST;FIN;PASS
חשף	avslöjad	חשף	avslöja	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
חשף	avslöjas	חשף	avslöja	V;MASC;SG;3;PST;ACT	V;IND;NFIN;PASS
חשף	avslöjade	חשף	avslöja	V;MASC;SG;3;PST;ACT	ADJ;NOM;PL;PST;V.PTCP
חשף	avslöjat	חשף	avslöja	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
חשף	presenterade	חשף	presentera	V;MASC;SG;3;PST;ACT	ADJ;NOM;PL;PST;V.PTCP
מיטשל	mitchell	מיטשל	mitchell	PROPN	PROPN;NOM
מיטשל	mitchel	מיטשל	mitchel	PROPN	PROPN;NOM
קולומבוס	columbus	קולומבוס	columbus	PROPN	PROPN;NOM
מסים	skatt	מס	skatt	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
אמינות	trovärdig	אמינות	trovärdig	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
אמינות	pålitligt	אמינות	pålitlig	N;FEM;SG	ADJ;NOM;INDF;NEUT;SG
אמינות	pålitlig	אמינות	pålitlig	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
אמינות	pålitliga	אמינות	pålitlig	N;FEM;SG	ADJ;NOM;PL
אמינות	tillförlitligt	אמינות	tillförlitlig	N;FEM;SG	ADJ;NOM;INDF;NEUT;SG
אמינות	pålitligt	אמינות	pålitlig	N;FEM;SG	ADJ;NOM;INDF;NEUT;SG
אמינות	tillförlitliga	אמינות	tillförlitlig	N;FEM;SG	ADJ;NOM;PL
אמינות	pålitlig	אמינות	pålitlig	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
אמינות	tillförlitligt	אמינות	tillförlitlig	N;FEM;SG	ADJ;NOM;INDF;NEUT;SG
אמינות	tillförlitlig	אמינות	tillförlitlig	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
קדושה	heliga	קדוש	helig	PROPN	ADJ;NOM;PL
קדושה	helig	קדוש	helig	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
קדושה	heligt	קדוש	helig	PROPN	ADJ;NOM;INDF;NEUT;SG
קדושה	fy	קדוש	fy	PROPN	N;NOM;INDF;MASC+FEM;SG
קדושה	heliga	קדוש	helig	PROPN	ADJ;NOM;PL
קדושה	helig	קדוש	helig	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
קדושה	helige	קדוש	helig	PROPN	ADJ;NOM;DEF;MASC;SG
קדושה	heligt	קדוש	helig	PROPN	ADJ;NOM;INDF;NEUT;SG
קדושה	sankt	קדוש	sankt	PROPN	N;NOM;INDF;MASC+FEM;SG
קדושה	saint	קדוש	saint	PROPN	N;NOM;INDF;MASC+FEM;SG
קדושה	helgon	קדוש	helgon	PROPN	N;NOM;INDF;NEUT;SG
קדושה	helighet	קדוש	helighet	PROPN	N;NOM;INDF;MASC+FEM;SG
המלאכה	verkstad	המלאכה	verkstad	PROPN	N;NOM;INDF;MASC+FEM;SG
המלאכה	workshop	המלאכה	workshop	PROPN	N;NOM;INDF;MASC+FEM;SG
המלאכה	seminarium	המלאכה	seminarium	PROPN	N;NOM;INDF;NEUT;SG
נעורים	ungdom	נעורים	ungdom	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
דירה	platt	דירה	platt	N;FEM;SG	ADV
מניחים	antag	הניח	antag	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;NEUT;SG
לאופולד	leopold	לאופולד	leopold	PROPN	PROPN;NOM
ולטר	walther	ולטר	walther	PROPN	PROPN;NOM
ולטר	walter	ולטר	walter	PROPN	PROPN;NOM
השחר	gryning	השחר	gryning		N;NOM;INDF;MASC+FEM;SG
השחר	dawn	השחר	da		PROPN;NOM
השחר	gryningen	השחר	gryning		N;NOM;DEF;MASC+FEM;SG
ליב	liv	ליב	liv	PROPN	N;NOM;INDF;NEUT;SG
ליב	lib	ליב	lib	PROPN	N;NOM;INDF;MASC+FEM;SG
השקעה	investera	השקעה	investera	N;FEM;SG	V;IMP;FIN;ACT
השקעה	investerar	השקעה	investera	N;FEM;SG	V;IND;PRS;FIN;ACT
השקעה	investeringar	השקעה	investering	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
יוטיוב	youtube	יוטיוב	youtube	PROPN	N;NOM;INDF;NEUT;SG
בבלי	babyloniska	בבלי	babylonisk	PROPN	ADJ;NOM;PL
ממונה	överordnad	מונה	överordnad	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ממונה	överlägsen	מונה	överlägs	V;MASC;SG;V.PTCP;PASS	N;NOM;DEF;MASC+FEM;SG
ממונה	överlägset	מונה	överlägs	V;MASC;SG;V.PTCP;PASS	N;NOM;DEF;NEUT;SG
ממונה	superior	מונה	superio	V;MASC;SG;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;PL
פורה	produktivt	פורה	produktiv		ADJ;NOM;INDF;NEUT;SG
פורה	produktiv	פורה	produktiv		ADJ;NOM;INDF;MASC+FEM;SG
פורה	produktiva	פורה	produktiv		ADJ;NOM;PL
פורה	fertil	פורה	fertil		N;NOM;INDF;MASC+FEM;SG
פורה	bördig	פורה	bördig		ADJ;NOM;INDF;MASC+FEM;SG
פורה	produktiv	פורה	produktiv		ADJ;NOM;INDF;MASC+FEM;SG
פורה	fruktbart	פורה	fruktbar		ADJ;NOM;INDF;NEUT;SG
פורה	fruktbara	פורה	fruktbar		ADJ;NOM;PL
פורה	givande	פורה	givande		ADJ;NOM
פורה	fruktbar	פורה	fruktbar		ADJ;NOM;INDF;MASC+FEM;SG
פטרוס	petrus	פטרוס	petrus	PROPN	PROPN;NOM
פטרוס	peter	פטרוס	peter	PROPN	N;NOM;INDF;MASC+FEM;SG
הווה	nuvarande	הווה	nuvarande	PROPN	ADJ;NOM;PRS;V.PTCP
הווה	närvarande	הווה	närvarande	PROPN	N;NOM;INDF;NEUT;SG
הווה	present	הווה	present	PROPN	N;NOM;INDF;MASC+FEM;SG
הווה	nutid	הווה	nutid	PROPN	N;NOM;INDF;MASC+FEM;SG
גולדמן	goldman	גולדמן	goldman	PROPN	PROPN;NOM
אוריאל	uriel	אוריאל	uriel	PROPN	N;NOM;INDF;MASC+FEM;SG
המלווה	kompanjon	המלווה	kompanjon	PROPN	N;NOM;INDF;MASC+FEM;SG
המלווה	följeslagare	המלווה	följeslagare	PROPN	N;NOM;INDF;MASC+FEM;PL
אירוח	värd	אירוח	värd	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
טורקית	turkiska	תורכי	turkisk	PROPN	ADJ;NOM;PL
טורקית	turkisk	תורכי	turkisk	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
טורקית	turkiskt	תורכי	turkisk	PROPN	ADJ;NOM;INDF;NEUT;SG
הכרזה	tillkännagivande	הכרזה	tillkännagivande	N;FEM;SG	ADJ;NOM;PRS;V.PTCP
ירה	shot	ירה	shot	V;MASC;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
ירה	skjutna	ירה	skjuta	V;MASC;SG;3;PST;ACT	ADJ;NOM;PL;PST;V.PTCP
ירה	skjuten	ירה	skjuta	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ירה	skott	ירה	skott	V;MASC;SG;3;PST;ACT	N;NOM;INDF;NEUT;SG
ירה	sparken	ירה	spark	V;MASC;SG;3;PST;ACT	N;NOM;DEF;MASC+FEM;SG
ירה	avskedad	ירה	avskeda	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ירה	avlossade	ירה	avlossad	V;MASC;SG;3;PST;ACT	ADJ;NOM;PL;PST;V.PTCP
ירה	sparkad	ירה	sparka	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
גרפי	grafik	גרף	grafik	PROPN	N;NOM;INDF;MASC+FEM;SG
גרפי	grafiska	גרף	grafisk	PROPN	ADJ;NOM;PL
גרפי	grafisk	גרף	grafisk	PROPN	N;NOM;INDF;MASC+FEM;SG
גרפי	grafiskt	גרף	grafisk	PROPN	ADJ;NOM;INDF;NEUT;SG
גולדה	golda	גולדה	gold	PROPN	N;NOM;INDF;MASC+FEM;SG
חוש	sinnena	חוש	sinne	PROPN	N;NOM;DEF;NEUT;PL
חוש	sinnen	חוש	sinne	PROPN	N;NOM;INDF;NEUT;PL
חוש	förnuft	חוש	förnuft	PROPN	N;NOM;INDF;NEUT;SG
חוש	vett	חוש	vett	PROPN	N;NOM;INDF;MASC+FEM;SG
איירון	strykjärn	איירון	strykjärn	PROPN	N;NOM;INDF;MASC+FEM;SG
איירון	iron	איירון	iron	PROPN	N;NOM;INDF;NEUT;SG
איירון	järn	איירון	järn	PROPN	N;NOM;INDF;NEUT;SG
ראשוניים	primes	None	primes	ADJ;MASC;PL	N;NOM;INDF;MASC+FEM;SG
אנונימי	anonym	אנונימי	anonym	ADV	ADJ;NOM;INDF;MASC+FEM;SG
אנונימי	anonyma	אנונימי	anonym	ADV	ADJ;NOM;PL
דרווין	darwin	דרווין	darBi	PROPN	PROPN;NOM
שרירים	muskel	שריר	muskel	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
שרירים	muskeln	שריר	muskel	N;MASC;PL	N;NOM;DEF;MASC+FEM;SG
טובי	toby	טוב	toby	PROPN	PROPN;NOM
מוג	moog	מוג	moog		PROPN;NOM
גבעות	hills	גבעות	hills	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
היידן	hayden	היידן	hayd	PROPN	PROPN;NOM
היידן	haydn	היידן	hayd	PROPN	PROPN;NOM
כתום	orange	כתום	ora		N;NOM;INDF;MASC+FEM;SG
כתום	apelsin	כתום	apelsin		N;NOM;INDF;MASC+FEM;SG
הלוואי	önskan	הלוואי	önskan		N;NOM;INDF;MASC+FEM;SG
הלוואי	önskar	הלוואי	önska		V;IND;PRS;FIN;ACT
הלוואי	önska	הלוואי	önska		V;IMP;FIN;ACT
הלוואי	wish	הלוואי	wish		N;NOM;INDF;MASC+FEM;SG
פלוס	plus	None	plus		ADV
האירוויזיון	eurovision	האירוויזיון	eurovision	PROPN	N;NOM;INDF;MASC+FEM;SG
דודה	moster	דוד	moster		N;NOM;INDF;MASC+FEM;SG
דודה	tant	דוד	tant		N;NOM;INDF;MASC+FEM;SG
דודה	faster	דוד	fast		N;NOM;INDF;MASC+FEM;SG
דודה	moster	דוד	moster		N;NOM;INDF;MASC+FEM;SG
דודה	moster	דוד	moster		N;NOM;INDF;MASC+FEM;SG
דודה	tant	דוד	tant		N;NOM;INDF;MASC+FEM;SG
דודה	faster	דוד	fast		N;NOM;INDF;MASC+FEM;SG
בלוג	blog	בלוג	blog		N;NOM;INDF;MASC+FEM;SG
בלוג	bloggen	בלוג	blogg		N;NOM;DEF;MASC+FEM;SG
בלוג	blogg	בלוג	blogg		N;NOM;INDF;MASC+FEM;SG
בלוג	blogga	בלוג	blogga		V;IMP;NFIN;ACT
השלם	kompletta	השלם	komplett		ADJ;NOM;PL
השלם	fullständigt	השלם	fullständig		ADV
השלם	slutför	השלם	slutför		V;IMP;FIN;ACT
השלם	komplett	השלם	komplett		ADJ;NOM;INDF;MASC+FEM;SG
השלם	fullständig	השלם	fullständig		ADJ;NOM;INDF;MASC+FEM;SG
להפיץ	spridning	הפיץ	spridning	V;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
קה	becca	קה	becca	PROPN	N;NOM;INDF;MASC+FEM;SG
ולנסיה	valencia	ולנסיה	valencia	PROPN	N;NOM;DEF;MASC+FEM;SG
ניגריה	nigeria	ניגריה	nigeri	PROPN	PROPN;NOM
טורקי	torquay	תורכי	torquay	PROPN	PROPN;NOM
טורקי	turkiska	תורכי	turkisk	PROPN	ADJ;NOM;PL
טורקי	turkisk	תורכי	turkisk	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
טורקי	turkiskt	תורכי	turkisk	PROPN	ADJ;NOM;INDF;NEUT;SG
פנייה	pena	פנייה	pena	N;FEM;SG	PROPN;NOM
פנייה	peña	פנייה	peña	N;FEM;SG	PROPN;NOM
ייל	yale	ייל	yale	PROPN	PROPN;NOM
פתאום	plötsligt	פתאום	plötslig		ADV
טרנר	turners	טרנר	turn	PROPN	N;GEN;INDF;MASC+FEM;PL
טרנר	turner	טרנר	turner	PROPN	PROPN;NOM
נלחמו	slogs	נלחם	slå	V;PL;3;PST;MID	V;IND;PST;FIN;PASS
נלחמו	kämpat	נלחם	kämpa	V;PL;3;PST;MID	V;V.CVB;ACT
נלחמו	kämpade	נלחם	kämpa	V;PL;3;PST;MID	V;IND;PST;FIN;ACT
נלחמו	slagits	נלחם	sla	V;PL;3;PST;MID	V;V.CVB;PASS
שקול	överväga	שקול	överväga	ADJ;MASC;SG	V;IMP;FIN;ACT
שקול	överväg	שקול	överväg	ADJ;MASC;SG	V;IMP;FIN;ACT
שקול	anse	שקול	anse	ADJ;MASC;SG	V;IMP;FIN;ACT
דוחה	gross	דחה	gross	V;MASC;SG;V.PTCP;ACT	PROPN;NOM
דוחה	brutto	דחה	brutto	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
עמידה	står	עמידה	stå	N;FEM;SG	V;IND;PRS;FIN;ACT
מימוש	gottgöra	מימוש	gottgöra	N;MASC;SG	V;IMP;FIN;ACT
ברברוסה	barbarossa	ברברוסה	barbaross	PROPN	N;NOM;INDF;MASC+FEM;SG
הנחות	rabatt	הנחה	rabatt	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
האורך	längden	האורך	längd	PROPN	N;NOM;DEF;MASC+FEM;SG
האורך	längd	האורך	längd	PROPN	N;NOM;INDF;MASC+FEM;SG
מרפא	bota	מרפא	bota	PROPN	V;IMP;FIN;ACT
מרפא	botar	מרפא	bota	PROPN	V;IND;PRS;FIN;ACT
מרפא	botemedel	מרפא	botemedel	PROPN	N;NOM;INDF;NEUT;SG
מרפא	kur	מרפא	kur	PROPN	N;NOM;INDF;MASC+FEM;SG
השיח	diskurs	השיח	diskurs		N;NOM;INDF;MASC+FEM;SG
נייד	rörlig	נייד	rörlig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
נייד	mobila	נייד	mobil	N;MASC;SG	ADJ;NOM;PL
נייד	bärbara	נייד	bärbar	N;MASC;SG	ADJ;NOM;PL
קשורות	relaterad	קשר	relaterad	V;FEM;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
קשורות	relaterat	קשר	relatera	V;FEM;PL;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
קשורות	släkt	קשר	släkt	V;FEM;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
קשורות	närstående	קשר	närstående	V;FEM;PL;V.PTCP;ACT	ADJ;NOM
קשורות	relaterade	קשר	relatera	V;FEM;PL;V.PTCP;ACT	ADJ;NOM;PL;PST;V.PTCP
מחפשים	sökning	חיפש	sökning	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
איימי	amy	איימי	amy	PROPN	PROPN;NOM
נרכש	förvärvade	נרכש	förvärva	V;MASC;SG;3;PST;MID	V;NOM;PL;PST;V.PTCP;ACT
נרכש	förvärvats	נרכש	förvärva	V;MASC;SG;3;PST;MID	V;V.CVB;PASS
נרכש	förvärvat	נרכש	förvärva	V;MASC;SG;3;PST;MID	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
נרכש	förvärvad	נרכש	förvärvad	V;MASC;SG;3;PST;MID	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
נרכש	inköpt	נרכש	inköpt	V;MASC;SG;3;PST;MID	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
נרכש	inköpta	נרכש	inköpta	V;MASC;SG;3;PST;MID	ADJ;NOM;PL;PST;V.PTCP
נרכש	köpta	נרכש	köpa	V;MASC;SG;3;PST;MID	ADJ;NOM;PL;PST;V.PTCP
נרכש	köpt	נרכש	köpa	V;MASC;SG;3;PST;MID	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
נבון	intelligenta	נבון	intelligent	PROPN	ADJ;NOM;PL
נבון	intelligent	נבון	intelligent	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
נבון	vist	נבון	vist	PROPN	N;NOM;INDF;NEUT;SG
נבון	klokt	נבון	klok	PROPN	ADJ;NOM;INDF;NEUT;SG
נבון	vis	נבון	vis	PROPN	N;NOM;INDF;NEUT;SG
נבון	klok	נבון	klok	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
נבון	kloka	נבון	klok	PROPN	ADJ;NOM;PL
ונצואלה	venezuelanska	ונצואלה	venezuelansk	PROPN	ADJ;NOM;PL
ונצואלה	venezuela	ונצואלה	venezuel	PROPN	PROPN;NOM
אמנויות	arts	אמנות	art	N;FEM;PL	N;GEN;INDF;MASC+FEM;SG
אמנויות	konst	אמנות	konst	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
טכניים	teknisk	טכני	teknisk	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
טכניים	tekniskt	טכני	teknisk	ADJ;MASC;PL	ADV
שומרים	vakter	שמר	vakter	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
שומרים	väktare	שמר	väkt	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
שומרים	vårdnadshavare	שמר	vårdnadshavare	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
הרקולס	hercules	הרקולס	hercule	PROPN	N;NOM;INDF;MASC+FEM;SG
הרקולס	herkules	הרקולס	herkule	PROPN	N;NOM;DEF;MASC+FEM;SG
גופות	lik	גופה	lik	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
גופות	organ	גופה	organ	N;FEM;PL	N;NOM;INDF;NEUT;SG
שמורות	reserverad	שמורה	reserverad	N;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
שמורות	reserverat	שמורה	reserverad	N;FEM;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
שמורות	reserverade	שמורה	reserverad	N;FEM;PL	ADJ;NOM;PL;PST;V.PTCP
פלסטיק	plaster	פלסטיק	plast	PROPN	N;NOM;INDF;MASC+FEM;PL
פלסטיק	plast	פלסטיק	plast	PROPN	N;NOM;INDF;MASC+FEM;SG
פלסטיק	plast	פלסטיק	plast	PROPN	N;NOM;INDF;MASC+FEM;SG
צמצום	reducerande	צמצום	reducerande	N;MASC;SG	ADJ;NOM;PRS;V.PTCP
צמצום	smalt	צמצום	smal	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
צמצום	smala	צמצום	smal	N;MASC;SG	ADJ;NOM;PL
צמצום	smal	צמצום	smal	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
