van	f	van	!	ADP	
stenen	حجر	steen	حَجَر	N;PL	N;NOM;INDF;SG
stenen	الحجارة	steen	حَجَّارَة	N;PL	N;NOM;DEF;SG
stenen	حجارة	steen	حجارة	N;PL	N;NOM;INDF;SG
stenen	الحجر	steen	حَجر	N;PL	N;NOM;DEF;SG
mannelijke	ذكرا	mannelijk	ذِكر	ADJ	N;ACC;INDF;SG
mannelijke	الذكر	mannelijk	ذِكر	ADJ	N;NOM;DEF;SG
mannelijke	ذكر	mannelijk	ذَكَر	ADJ	V;PFV;MASC;SG;3;ACT
mannelijke	الذكور	mannelijk	ذُكُور	ADJ	N;NOM;DEF;PL
mannelijke	ذكور	mannelijk	ذَكّ	ADJ	N;NOM;INDF;PL
theorie	النظرية	theorie	نَظَرِيَّة	N;MASC+FEM;SG	
edward	ادوارد	edward	أَدوَارد	N;MASC+FEM;SG	
zwitserse	السويسرية	zwitsers	سُوِيسرِيَّة	ADJ	N;NOM;DEF;SG
zwitserse	السويسري	zwitsers	سُوِيسرِيّ	ADJ	N;NOM;DEF;SG
zwitserse	سويسري	zwitsers	سُوِيسرِيّ	ADJ	
scott	سكوت	scoten	سَكَو	N;MASC+FEM;SG	
hard	بجد	hard	بَجدَ	ADJ	
zilver	فضي	zilver	فضي	N;NEUT;SG	
zilver	سيلفر	zilver	سيلفر	N;NEUT;SG	
zilver	فضية	zilver	فَضِيَّة	N;NEUT;SG	ADJ;NOM;INDF;FEM;SG
bronzen	البرونز	bronzen	بُرُونز	V;NFIN	N;NOM;DEF;SG
beiden	كلاهما	beide	كلاهما	PRO	
turkije	تركيا	turkije	تُركِيَا	N;NEUT;SG	
nassau	ناسو	nassau	ناسو	N;MASC+FEM;SG	
nassau	ناساو	nassau	ناساو	N;MASC+FEM;SG	
antwoord	رد	antwoord	رَدّ	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
advocaat	محامي	advocaat	مُحَامِي	N;MASC+FEM;SG	N;NOM;INDF;PL
kiezen	الاختيار	kiezen	اِختِيَار	V;NFIN	N;NOM;DEF;SG
kiezen	اختيار	kiezen	اِختِيَار	V;NFIN	N;NOM;INDF;SG
bevatten	احتواء	bevatten	اِحتِوَاء	V;NFIN	N;NOM;INDF;SG
anne	ان	anne	أَنَّ	N;MASC+FEM;SG	CONJ
noemt	اتصالات	noemen	اِتِّصَال	V;SG;PRS;FIN	N;NOM;INDF;PL
noemt	المكالمات	noemen	مُكَالَمَة	V;SG;PRS;FIN	N;NOM;DEF;PL
noemt	النداءات	noemen	نِدَاء	V;SG;PRS;FIN	N;NOM;DEF;PL
noemt	مكالمات	noemen	مُكَالَمَة	V;SG;PRS;FIN	N;NOM;INDF;PL
uitsluitend	حصرا	uitsluitend	حَصر	ADJ	N;ACC;INDF;SG
roger	روجر	roog	رُوجِر	N;MASC+FEM;SG	
coach	كوتش	coach	كوتش	N;MASC+FEM;SG	
opening	فتح	opening	فتح	N;MASC+FEM;SG	
river	ريفر	river	رِيفِر	N;MASC+FEM;SG	
wenen	فيينا	wenen	فِيِينَّا	PROPN;NEUT;SG	
bad	سيئة	bad	سَيِّئ	N;NEUT;SG	ADJ;NOM;INDF;FEM;SG
bad	باد	bad	بَاد	N;NEUT;SG	
bad	سيء	bad	سِيَّة	N;NEUT;SG	ADJ;NOM;INDF;MASC;SG
bad	سيئ	bad	سَيِّئ	N;NEUT;SG	ADJ;NOM;INDF;MASC;SG
bad	سئ	bad	سَأّ	N;NEUT;SG	ADJ;NOM;INDF;MASC;SG
bad	باث	bad	بَاثِي	N;NEUT;SG	
free	مجانا	free	مَجَّان		ADJ;ACC;INDF;MASC;SG
free	حرة	free	حُرّ		ADJ;NOM;INDF;FEM;SG
free	مجاني	free	مَجَّانِيّ		ADJ;NOM;INDF;MASC;SG
free	f	free	!		
free	حر	free	حُرّ		N;NOM;INDF;SG
nou	حسنا	nou	حسنا	ADV	ADJ;ACC;INDF;MASC;SG
verboden	محرم	verboden	محرم	V;V.PTCP	N;NOM;INDF;SG
verboden	ممنوع	verboden	مَمنُوع	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
verboden	حرام	verboden	حَرَام	V;V.PTCP	
verboden	محظور	verboden	مَحظُور	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
verboden	محظورة	verboden	مَحظُور	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
code	كود	code	كود	N;MASC+FEM;SG	
angeles	جليس	angel	جليس	PROPN;NEUT;SG	
ernst	ارنست	ernst	أَرنَس	N;MASC+FEM;SG	
ernst	ايرنست	ernst	أَيرنسِت	N;MASC+FEM;SG	
malen	الطحن	maal	طَحن	N;PL	N;NOM;DEF;SG
malen	طحن	maal	طُحنَة	N;PL	N;NOM;INDF;SG
zichtbaar	مرئي	zichtbaar	مرئي	ADJ	N;NOM;INDF;SG
zichtbaar	ظاهر	zichtbaar	ظاهر	ADJ	
jongen	بوي	jongen	بوي	N;MASC+FEM;SG	
lager	اخفض	laag	خَفض	ADJ;CMPR	
lager	ادنى	laag	أَدنَى	ADJ;CMPR	
vliegen	ذبابة	vliegen	ذَبَّابَة	V;NFIN	N;NOM;INDF;SG
vliegen	طيران	vliegen	طَيَرَان	V;NFIN	N;NOM;INDF;SG
vliegen	الطيران	vliegen	طَيَرَان	V;NFIN	N;NOM;DEF;SG
verslagen	هزم	verslag	هَزم	N;PL	V;PFV;MASC;SG;3;ACT
verslagen	هزمت	verslag	هَزم	N;PL	V;PFV;FEM;SG;3;ACT
veroorzaakt	اسباب	veroorzaken	سَبَب	V;V.PTCP	N;NOM;INDF;SG
veroorzaakt	الاسباب	veroorzaken	سَبَب	V;V.PTCP	N;NOM;DEF;PL
steen	ستون	steen	ستون	N;MASC+FEM;SG	
steen	روك	steen	رُوك	N;MASC+FEM;SG	
steen	الروك	steen	رُوك	N;MASC+FEM;SG	
aangegeven	مبين	aangeven	مبين	V;V.PTCP	
mooi	جميل	mooi	جَمِيل	ADJ	N;NOM;INDF;SG
mooi	جميله	mooi	جميله	ADJ	PRO;NOM;FEM;SG;3
mooi	حلو	mooi	حُلُوّ	ADJ	
mooi	جميل	mooi	جَمِيل	ADJ	N;NOM;INDF;SG
mooi	لطيف	mooi	لطيف	ADJ	N;NOM;INDF;SG
vissen	مكه	vissen	مٰكه	V;NFIN	N;NOM;INDF;SG
vissen	سمكة	vissen	سُمكَة	V;NFIN	N;NOM;INDF;SG
vissen	السمك	vissen	سَمَك	V;NFIN	N;NOM;DEF;SG
vissen	فيش	vissen	فَيشَ	V;NFIN	
vissen	سمك	vissen	سَمَك	V;NFIN	
vissen	الاسماك	vissen	سَمَك	V;NFIN	N;NOM;DEF;SG
vissen	الصيد	vissen	صَيد	V;NFIN	N;NOM;DEF;SG
blauw	بلو	blauw	بِلُو	ADJ	
blauw	ازرق	blauw	أَزرَق	ADJ	
blauw	الزرقاء	blauw	أَزرَق	ADJ	
blauw	الازرق	blauw	أَزرَق	ADJ	N;NOM;DEF;SG
blauw	زرقاء	blauw	زَرِيق	ADJ	N;NOM;INDF;PL
leek	بدت	lijken	بَدَا	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
leek	بدى	lijken	بَدَى	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
oostelijke	شرق	oostelijk	شَرق	ADJ	N;NOM;INDF;SG
griekenland	يونان	griekenland	يونان	N;NEUT;SG	
super	سوبر	super	سُوبَر	ADJ	
super	السوبر	super	سُوبِر	ADJ	N;NOM;DEF;SG
stoppen	وقف	stoppen	وَقف	V;NFIN	N;NOM;INDF;SG
stoppen	توقف	stoppen	تَوَقُّف	V;NFIN	N;NOM;INDF;SG
will	ويل	will	وِيل		
will	راح	will	رَاح		
will	سوف	will	سَوفَ		PART
mike	مايك	mike	مَايك	N;MASC+FEM;SG	
victor	فيكتور	victor	فِيكتُور	N;MASC+FEM;SG	
victor	فكتور	victor	فكتور	N;MASC+FEM;SG	
oscar	اوسكار	oscar	اوسكار	PROPN;NEUT;SG	
oscar	الاوسكار	oscar	وِسكَار	PROPN;NEUT;SG	
gelegenheid	الفرص	gelegenheid	فُرصَة	N;MASC+FEM;SG	N;NOM;DEF;PL
promotie	الترقيات	promotie	تُرقِيّ	N;MASC+FEM;SG	N;NOM;DEF;PL
gewijd	المكرسة	wijden	مُكَرَّس	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
gewijd	مكرسة	wijden	مُكرِس	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
gewijd	مكرس	wijden	مَكرَس	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
gewijd	مكرسة	wijden	مُكرِس	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
gewijd	مكرس	wijden	مَكرَس	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
erin	ايرين	erin	أَيرُون	ADV	
schade	الاضرار	schade	ضَرَر	N;MASC+FEM;SG	N;NOM;DEF;PL
schade	اضرار	schade	ضَرَر	N;MASC+FEM;SG	N;NOM;INDF;PL
schade	الاضرار	schade	ضَرَر	N;MASC+FEM;SG	N;NOM;DEF;PL
schade	اضرار	schade	ضَرَر	N;MASC+FEM;SG	N;NOM;INDF;PL
schade	التعويضات	schade	تَعوِيض	N;MASC+FEM;SG	N;NOM;DEF;PL
leeuw	اسد	leeuw	اسد	N;MASC+FEM;SG	
leeuw	الاسد	leeuw	الاسد	N;MASC+FEM;SG	
onderdelen	الاجزاء	onderdeel	جُزء	N;PL	N;NOM;DEF;SG
loopbaan	المهن	loopbaan	مِهنَة	N;MASC+FEM;SG	N;NOM;DEF;PL
loopbaan	مهن	loopbaan	مهن	N;MASC+FEM;SG	N;NOM;INDF;PL
tony	توني	tony	تُونِي	N;MASC+FEM;SG	
tony	طوني	tony	طُونِي	N;MASC+FEM;SG	
christus	المسيح	christus	المسيح	N;MASC+FEM;SG	
heren	سادة	heer	سَادَة	N;PL	
stemming	صوتوا	stemming	صَوت	N;MASC+FEM;SG	V;PFV;MASC;PL;3;ACT
stemming	مزاجي	stemming	مِزَاج	N;MASC+FEM;SG	
ofwel	فاما	ofwel	فَام	ADV	
ofwel	اما	ofwel	أَمَّا	ADV	PART
tip	تيب	tip	تيب	N;MASC+FEM;SG	
portugese	البرتغالية	portugees	بُرتُغَالِيَّة	ADJ	
portugese	بالبرتغالية	portugees	بالبرتغالية	ADJ	N;NOM;DEF;SG
são	ساو	são	ساو	N;MASC+FEM;SG	
joden	اليهود	jood	يَهُودِيّ	N;PL	ADJ;NOM;DEF;MASC;PL
post	بوست	post	بُوست	N;MASC+FEM;SG	
kosten	الكلفة	kosten	كُلفَة	V;NFIN	N;NOM;DEF;SG
kosten	التكلفة	kosten	تَكلِفَة	V;NFIN	N;NOM;DEF;SG
kosten	التكاليف	kosten	تَكلِيف	V;NFIN	N;NOM;DEF;PL
kosten	تكلفة	kosten	تَكلِفَة	V;NFIN	N;NOM;INDF;SG
kosten	التكاليف	kosten	تَكلِيف	V;NFIN	N;NOM;DEF;PL
kosten	تكاليف	kosten	تَكلِفَة	V;NFIN	N;NOM;INDF;PL
wetenschap	العلوم	wetenschap	عِلم	N;MASC+FEM;SG	N;NOM;DEF;PL
wetenschap	علوم	wetenschap	عِلم	N;MASC+FEM;SG	N;NOM;INDF;PL
eric	ايريك	eric	أَيرِيك	N;MASC+FEM;SG	
eric	اريك	eric	أَرِيك	N;MASC+FEM;SG	
software	برمجيات	softwaar	بَرمَجِيّ	N;MASC+FEM;SG	N;NOM;INDF;PL
software	البرمجيات	softwaar	بَرمَجِيّ	N;MASC+FEM;SG	
software	برامج	softwaar	بَرنَامَج	N;MASC+FEM;SG	N;NOM;INDF;PL
software	البرامج	softwaar	بَرنَامَج	N;MASC+FEM;SG	N;NOM;DEF;PL
fusie	دمج	fusie	دَمج	N;MASC+FEM;SG	
zon	صن	zon	صَن	N;MASC+FEM;SG	
zon	شمس	zon	شمس	N;MASC+FEM;SG	
methode	المنهج	methode	مُنهَج	N;MASC+FEM;SG	
methode	منهج	methode	منهج	N;MASC+FEM;SG	
uitleg	شرح	uitleg	شَرح	N;MASC+FEM;SG	
uitleg	تفسيرات	uitleg	تَفسِير	N;MASC+FEM;SG	N;NOM;INDF;PL
uitleg	توضيحات	uitleg	تَوضِيح	N;MASC+FEM;SG	N;NOM;INDF;PL
uitleg	التفسيرات	uitleg	تَفسِير	N;MASC+FEM;SG	N;NOM;DEF;PL
patrick	باتريك	patrick	بَاترِيك	N;MASC+FEM;SG	
ajax	اياكس	ajax	أَيَاكس	N;NEUT;SG	
piet	بيدرو	piet	بيدرو	PROPN;MASC+FEM;SG	
bier	جعة	bier	جُعَّة	N;NEUT;SG	
viool	كمان	viool	كَمَان	N;MASC+FEM;SG	
tak	برانش	tak	برانش	N;MASC+FEM;SG	
senator	سيناتور	senator	سيناتور	N;MASC+FEM;SG	
senator	السناتور	senator	السناتور	N;MASC+FEM;SG	
senator	السيناتور	senator	سِينَاتُور	N;MASC+FEM;SG	
johann	جوهان	johann	جوهان	N;MASC+FEM;SG	
johann	يوهان	johann	يوهان	N;MASC+FEM;SG	
bewoners	ساكن	bewoner	سَاكِن	N;PL	ADJ;NOM;INDF;MASC;SG
bewoners	المقيمين	bewoner	مُقِيم	N;PL	ADJ;ACC;DEF;MASC;PL
bewoners	شاغلي	bewoner	شاغلي	N;PL	
gridcolor	gridco	gridcolor	مَكبَثَاس	N;MASC+FEM;SG	
brown	اسمر	brown	أَسمَر	N;MASC+FEM;SG	
brown	براون	brown	براون	N;MASC+FEM;SG	
eerdere	سابق	eerder	سَابِق	PRO	ADJ;NOM;INDF;MASC;SG
eerdere	سابقة	eerder	سَابِقَة	PRO	N;NOM;INDF;SG
eerdere	السابق	eerder	سَابِق	PRO	N;NOM;DEF;SG
eerdere	السابقة	eerder	سَابِق	PRO	ADJ;NOM;DEF;FEM;SG
alsnog	متاخرة	alsnog	مُتَاخِر	ADV	ADJ;NOM;INDF;FEM;SG
bladeren	تصفح	blad	تَصَفُّح	N;PL	N;NOM;INDF;SG
bladeren	يترك	blad	تَرَك	N;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
beieren	البافاري	beieren	البافاري	V;NFIN	
beieren	بافاريا	beieren	بَافَارِيَا	V;NFIN	
controle	تحكم	controle	حَكَم	N;MASC+FEM;SG	
mis	m	missen	فَ	V;SG;PRS;FIN	
sluiten	قريب	sluiten	قَرِيب	V;NFIN	ADJ;NOM;INDF;MASC;SG
sluiten	الوثيق	sluiten	وَثِيق	V;NFIN	ADJ;NOM;DEF;MASC;SG
sluiten	مقرب	sluiten	مقرب	V;NFIN	ADJ;NOM;INDF;MASC;SG
sluiten	اغلاق	sluiten	إِغلَاق	V;NFIN	N;NOM;INDF;SG
sluiten	الاغلاق	sluiten	إِغلَاق	V;NFIN	N;NOM;DEF;SG
sluiten	اغلاق	sluiten	إِغلَاق	V;NFIN	N;NOM;INDF;SG
eten	طعام	eten	طَعَام	V;NFIN	N;NOM;INDF;SG
eten	غذاء	eten	غِذَاء	V;NFIN	N;NOM;INDF;SG
eten	الطعام	eten	طَعَام	V;NFIN	N;NOM;DEF;SG
eten	الغذاء	eten	غِذَاء	V;NFIN	N;NOM;DEF;SG
eten	الاكل	eten	أَكل	V;NFIN	N;NOM;DEF;SG
eten	اكل	eten	أَكل	V;NFIN	
eten	اكل	eten	أَكل	V;NFIN	
eten	كلي	eten	كُلِّيّ	V;NFIN	N;NOM;INDF;SG
eten	كل	eten	كُلّ	V;NFIN	N;NOM;INDF;SG
gele	الاصفر	geel	أَصفَر	ADJ	N;NOM;DEF;SG
gele	اصفر	geel	أَصفَر	ADJ	
joe	جو	joe	جُو	N;MASC+FEM;SG	
real	حقيقي	real	حَقِيقِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
real	حقيقية	real	حَقِيقِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
gevolgen	المؤثرات	gevolg	مُؤَثِّر	N;PL	ADJ;NOM;DEF;FEM;PL
wind	رياح	wind	رِيح	N;MASC+FEM;SG	N;NOM;INDF;PL
wind	الرياح	wind	رِيح	N;MASC+FEM;SG	N;NOM;DEF;PL
wind	ريح	wind	ريح	N;MASC+FEM;SG	
wind	رياح	wind	رِيح	N;MASC+FEM;SG	N;NOM;INDF;PL
erik	ايريك	erik	أَيرِيك	N;MASC+FEM;SG	
erik	اريك	erik	أَرِيك	N;MASC+FEM;SG	
sporen	توتنهام	spoor	تُوتِنهَام	N;PL	
geplaatste	نشر	plaatsen	نَشر	V;V.PTCP	N;NOM;INDF;SG
golden	ذهبي	golden	ذهبي	N;PL	ADJ;NOM;INDF;MASC;SG
golden	الذهبي	golden	ذَهَبِيّ	N;PL	ADJ;NOM;DEF;MASC;SG
golden	ذهبية	golden	ذَهَبِيّ	N;PL	ADJ;NOM;INDF;FEM;SG
tweemaal	مرتين	tweemaal	مَرَّة	ADV	N;ACC;INDF;DU
tweemaal	مرتان	tweemaal	مرتان	ADV	N;NOM;INDF;SG
centimeter	سنتيمتر	centimeter	سنتيمتر	N;MASC+FEM;SG	
centimeter	انشات	centimeter	إِنشَات	N;MASC+FEM;SG	V;PFV;FEM;SG;3;ACT
centimeter	بوصات	centimeter	بَوصَة	N;MASC+FEM;SG	N;NOM;INDF;PL
centimeter	سنتيمتر	centimeter	سنتيمتر	N;MASC+FEM;SG	
song	سونغ	song	سونغ	N;MASC+FEM;SG	
song	الاغنيه	song	أَغنِيه	N;MASC+FEM;SG	
song	اغنيه	song	اغنيه	N;MASC+FEM;SG	
breda	بريدا	breda	بَرِيد	PROPN;NEUT;SG	
solo	سولو	solo	سُولُو	N;MASC+FEM;SG	
solo	فردي	solo	فَردِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
solo	منفردة	solo	مُنفَرِد	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
solo	منفرد	solo	مُنفَرِد	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
succesvol	بنجاح	succesvol	بنجاح	ADJ	
non	راهبة	non	رَاهِبَة	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
veranderde	تغير	veranderen	تَغَيُّر	V;SG;PST;FIN	N;NOM;INDF;SG
helaas	للاسف	helaas	للاسف	ADV	
blok	بلوك	blok	بَلوَك	N;NEUT;SG	
gebeurtenissen	مناسبات	gebeurtenis	مُنَاسَبَة	N;PL	ADJ;NOM;INDF;FEM;PL
provincies	الاقاليم	provincie	أَقلَام	N;PL	
kom	تعالي	komen	تَعَالَى	V;SG;PRS;FIN	
kom	تعالى	komen	تَعَالَى	V;SG;PRS;FIN	
kom	تعالوا	komen	تَعَالَى	V;SG;PRS;FIN	V;PFV;MASC;PL;3;ACT
kom	تعال	komen	عَال	V;SG;PRS;FIN	
das	غرير	das	غرير	N;MASC+FEM;SG	
das	داس	das	دَاس	N;MASC+FEM;SG	
actieve	النشطة	actief	نَشَاط	ADJ	N;NOM;DEF;SG
cambridge	كامبريدج	cambridge	كَامبرِيدج	N;MASC+FEM;SG	
cambridge	كمبريدج	cambridge	كمبريدج	N;MASC+FEM;SG	
hongaarse	هنغاريا	hongaars	هِنغَارِيّ	ADJ	
definitief	نهائي	definitief	نِهَائِيّ	ADJ	N;NOM;INDF;SG
bieden	العطاء	bieden	عَطَاء	V;NFIN	N;NOM;DEF;SG
bieden	العطاءات	bieden	عِطَاء	V;NFIN	N;NOM;DEF;PL
bieden	المزايدة	bieden	مُزَايَدَة	V;NFIN	N;NOM;DEF;SG
bieden	العرض	bieden	عَرض	V;NFIN	N;NOM;DEF;SG
fransen	فرنسيا	frans	فَرَنسِيّ	PROPN;MASC+FEM;SG	ADJ;ACC;INDF;MASC;SG
fransen	فرنسية	frans	فَرَنسِيّ	PROPN;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
fransen	بالفرنسية	frans	بالفرنسية	PROPN;MASC+FEM;SG	N;NOM;DEF;SG
fransen	الفرنسية	frans	فَرَنسِيَّة	PROPN;MASC+FEM;SG	N;NOM;DEF;SG
fransen	فرنسي	frans	فَرَنسِيّ	PROPN;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
stam	جذعية	stam	جِذعِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
org	o	org	o	N;MASC+FEM;SG	
twijfel	اشك	twijfel	شَكّ	N;MASC+FEM;SG	
twijfel	شكوك	twijfel	شَكّ	N;MASC+FEM;SG	N;NOM;INDF;PL
twijfel	الشكوك	twijfel	شَكّ	N;MASC+FEM;SG	N;NOM;DEF;PL
hout	وود	hout	وَودَ	N;NEUT;SG	
hout	الاخشاب	hout	خَشَب	N;NEUT;SG	N;NOM;DEF;PL
tsjechische	التشيك	tsjechisch	تشِيكِيّ	ADJ	N;NOM;DEF;PL
tsjechische	التشيكية	tsjechisch	التشيكية	ADJ	
little	الصغير	little	صَغِير		
little	قليل	little	قَلِيل		ADJ;NOM;INDF;MASC;SG
little	القليل	little	قَلِيل		
rand	راند	rand	راند	N;MASC+FEM;SG	
rand	ريم	rand	ريم	N;MASC+FEM;SG	
tropische	الاستوائية	tropisch	اِستِوَائِيّ	ADJ	
personages	الاحرف	personage	أَحرَف	N;PL	N;NOM;DEF;SG
bas	الباس	bas	بَاس	N;MASC+FEM;SG	
bas	باس	bas	بَاس	N;MASC+FEM;SG	
bas	ba	bas	هُوَ	N;MASC+FEM;SG	
rijn	الراين	rijn	رَايِن	N;MASC+FEM;SG	
broers	اخواني	broer	اخواني	N;PL	
broers	الاخوة	broer	أُخُوَّة	N;PL	N;NOM;DEF;SG
broers	اخوة	broer	أُخُوَّة	N;PL	N;NOM;INDF;SG
broers	اخوان	broer	أَخ	N;PL	
zuidelijk	جنوب	zuidelijk	جَنُوب	ADJ	N;NOM;INDF;SG
brief	خطاب	brief	خطاب	N;MASC+FEM;SG	
zweeds	السويدي	zweeds	سوِيدِيّ	ADJ	
aangesloten	المنتسبة	aansluiten	مُنتَسِب	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
aangesloten	متصلة	aansluiten	مُتَّصِل	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
aangesloten	متصل	aansluiten	مُتَّصِل	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
aangesloten	مرتبطة	aansluiten	مُرتَبِط	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
aangesloten	مرتبط	aansluiten	مُرتَبِط	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
hugo	هيوغو	hugo	هيوغو	N;MASC+FEM;SG	
hugo	هوغو	hugo	هُوغُو	N;MASC+FEM;SG	
hugo	هوجو	hugo	هُوجُو	N;MASC+FEM;SG	
roland	رولاند	roland	رولاند	N;MASC+FEM;SG	
populaire	شعبية	populair	شَعبِيَّة	ADJ	N;NOM;INDF;SG
populaire	شعبي	populair	شعبي	ADJ	
hits	يضرب	hits	ضَرَب	N;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
opmerking	علق	opmerking	عَلَّق	N;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
opmerking	ملحوظة	opmerking	مَلحُوظ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
beleid	السياسات	beleid	سِيَاسَة	N;NEUT;SG	N;NOM;DEF;PL
beleid	سياسات	beleid	سِيَاسَة	N;NEUT;SG	N;NOM;INDF;PL
beleid	السياسات	beleid	سِيَاسَة	N;NEUT;SG	N;NOM;DEF;PL
hectare	الهكتارات	hectare	هِكتَار	N;MASC+FEM;SG	N;NOM;DEF;PL
windows	windo	windows	مُثَثَّذ	N;PL	
windows	ويندوز	windows	ويندوز	N;PL	
woont	حيوات	wonen	حَيَاة	V;SG;PRS;FIN	N;NOM;INDF;PL
rollen	المتداول	rol	مُتَدَاوَل	N;PL	ADJ;NOM;DEF;MASC;SG
rollen	رولز	rol	رُولز	N;PL	
rollen	لفات	rol	لفات	N;PL	
rollen	لفة	rol	لِفَة	N;PL	N;NOM;INDF;SG
rollen	رول	rol	رُول	N;PL	
late	تاخر	laat	تَأَخُّر	ADJ	N;NOM;INDF;SG
verspreid	انشر	verspreiden	انشر	V;V.PTCP	
verspreid	انتشار	verspreiden	اِنتِشَار	V;V.PTCP	N;NOM;INDF;SG
verspreid	متفرقة	verspreiden	مُتَفَرِّق	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
ferdinand	فيرديناند	ferdinand	فيرديناند	N;MASC+FEM;SG	
ferdinand	فرديناند	ferdinand	فرديناند	N;MASC+FEM;SG	
ferdinand	فيردناند	ferdinand	فيردناند	N;MASC+FEM;SG	
texas	تكساس	texas	تِكسَاس	N;NEUT;SG	
miljard	بليون	miljard	بِليُون	N;NEUT;SG	NUM;NOM;INDF;SG
miljard	مليار	miljard	مِليَار	N;NEUT;SG	NUM;NOM;INDF;SG
high	عال	high	عَالِي		N;NOM;INDF;SG
high	عالي	high	عَالِي		ADJ;NOM;INDF;MASC;SG
high	مرتفع	high	مُرتَفِع		ADJ;NOM;INDF;MASC;SG
high	عالية	high	عَالِي		ADJ;NOM;INDF;FEM;SG
high	عاليا	high	عَالِي		ADJ;ACC;INDF;MASC;SG
leren	التعلم	leren	تَعَلُّم	V;NFIN	N;NOM;DEF;SG
leren	التعلم	leren	تَعَلُّم	V;NFIN	N;NOM;DEF;SG
storm	ستورم	storm	ستورم	N;MASC+FEM;SG	
taylor	تايلور	taylor	تَايلُور	N;MASC+FEM;SG	
taylor	تيلور	taylor	تَيلُور	N;MASC+FEM;SG	
bezoekers	الزائرين	bezoeker	زَائِر	N;PL	ADJ;ACC;DEF;MASC;PL
bezoekers	الزائر	bezoeker	الزائر	N;PL	
bezoekers	زائر	bezoeker	زَائِر	N;PL	
doe	دو	doen	دُو	V;SG;PRS;FIN	
tonen	اظهار	tonen	اظهار	V;NFIN	N;NOM;INDF;SG
tonen	عرض	tonen	عَرض	V;NFIN	N;NOM;INDF;SG
tonen	العرض	tonen	عَرض	V;NFIN	N;NOM;DEF;SG
tonen	اعرض	tonen	أَعرَض	V;NFIN	
geel	الاصفر	geel	أَصفَر	ADJ	N;NOM;DEF;SG
geel	اصفر	geel	أَصفَر	ADJ	
metro	مترو	metro	مترو	N;MASC+FEM;SG	
metro	ميترو	metro	ميترو	N;MASC+FEM;SG	
chicago	شيكاغو	chicago	شِيكَاغُو	N;MASC+FEM;SG	
chicago	شيكاجو	chicago	شِيكَاجُو	N;MASC+FEM;SG	
data	تواريخ	data	تَورِيخ	N;MASC+FEM;SG	N;NOM;INDF;PL
data	المواعيد	data	مِيعَاد	N;MASC+FEM;SG	N;NOM;DEF;PL
data	مواعيد	data	مَوعِد	N;MASC+FEM;SG	N;NOM;INDF;PL
data	التواريخ	data	تَورِيخ	N;MASC+FEM;SG	N;NOM;DEF;PL
data	البيانات	data	بَيَان	N;MASC+FEM;SG	N;NOM;DEF;PL
data	بيانات	data	بَيَان	N;MASC+FEM;SG	N;NOM;INDF;PL
bedankt	شكر	bedanken	شَكَر	V;V.PTCP	
bedankt	اشكرك	bedanken	اشكرك	V;V.PTCP	
bedankt	شكرا	bedanken	شُكر	V;V.PTCP	N;ACC;INDF;SG
jongere	الاصغر	jongere	أَصغَر	ADJ;CMPR	N;NOM;DEF;SG
neutraal	محايد	neutraal	محايد	ADJ	N;NOM;INDF;SG
neutraal	محايدا	neutraal	مُحَايِد	ADJ	N;ACC;INDF;SG
chad	تشاد	chad	تشَاد	N;MASC+FEM;SG	
chad	شاد	chad	شَادّ	N;MASC+FEM;SG	
argentinië	الارجنتين	argentinië	أَرجَنتِين	PROPN;NEUT;SG	
argentinië	الارجنتين	argentinië	أَرجَنتِين	PROPN;NEUT;SG	
