terry	terry	terry	terry	PROPN	N;MASC;SG
cald	gostosas	cald	gostoso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
cald	quentes	cald	quente	ADJ;INDF;MASC;SG	ADJ;MASC;PL
cald	quente	cald	quente	ADJ;INDF;MASC;SG	N;MASC;SG
adanc	profunda	adanc	profundo		ADJ;FEM;SG
adanc	profundo	adanc	profundo		ADJ;MASC;SG
adanc	deep	adanc	deep		N;MASC;SG
adanc	profunda	adanc	profundo		ADJ;FEM;SG
adanc	profundo	adanc	profundo		ADJ;MASC;SG
adanc	deep	adanc	deep		N;MASC;SG
vacanta	férias	vacanta	férias	N;DEF;FEM;SG	N;FEM;PL
vacanta	férias	vacanta	férias	N;DEF;FEM;SG	N;FEM;PL
vacanta	férias	vacanta	férias	N;DEF;FEM;SG	N;FEM;PL
vacanta	férias	vacanta	férias	N;DEF;FEM;SG	N;FEM;PL
vacanta	férias	vacanta	férias	N;DEF;FEM;SG	N;FEM;PL
malta	malta	malta	malta	PROPN	N;FEM;SG
radical	radical	radical	radical	ADV	ADJ;MASC;SG
radical	radicais	radical	radical	ADV	N;MASC;PL
renault	renault	renault	renault	PROPN	N;FEM;SG
sierra	serra	sierră	serra	PROPN	PROPN;MASC;SG
specializate	especializados	specializat	especializar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
specializate	especializado	specializat	especializar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
specializate	especializada	specializat	especializar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
specializate	especializados	specializat	especializar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
specializate	especializado	specializat	especializar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
specializate	especializada	specializat	especializar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
buenos	buenos	buenos	bueno	N;INDF;MASC;SG	N;MASC;PL
dificultati	dificuldade	dificultati	dificuldade		N;FEM;SG
dificultati	dificuldades	dificultati	dificuldade		N;FEM;PL
dificultati	dificuldades	dificultati	dificuldade		N;FEM;PL
grove	grove	grov	grove	PROPN	N;MASC;SG
grove	bosque	grov	bosque	PROPN	N;MASC;SG
studios	estúdios	studios	estúdio	N;INDF;MASC;SG	N;MASC;PL
vieti	lives	vieti	live		N;MASC;SG
vieti	mora	vieti	morar		V;IND;SG;3;PRS;FIN
vieti	vidas	vieti	vida		N;FEM;PL
vieti	vive	vieti	viver		V;IND;SG;3;PRS;FIN
vieti	lives	vieti	live		N;MASC;SG
vieti	mora	vieti	morar		V;IND;SG;3;PRS;FIN
vieti	vidas	vieti	vida		N;FEM;PL
vieti	vive	vieti	viver		V;IND;SG;3;PRS;FIN
oferind	oferenda	oferi	oferenda	V;V.MSDR	N;FEM;SG
letonia	letónia	letonie	letónia	PROPN	N;FEM;SG
letonia	letônia	letonie	letônia	PROPN	N;FEM;SG
islanda	islândia	islanda	islândia	PROPN	N;FEM;SG
hanovra	hanover	hanovră	hanover	PROPN	N;MASC;SG
hanovra	hanôver	hanovră	hanôver	PROPN	N;MASC;SG
hanovra	hannover	hanovră	hannover	PROPN	N;MASC;SG
hanovra	hanôver	hanovră	hanôver	PROPN	N;MASC;SG
hlist	hlist	hlist	hlist		N;MASC;SG
silva	silva	silvă	silva	PROPN	N;MASC;SG
democratic	democraticamente	democratic	democraticamente	ADJ;INDF;MASC;SG	ADV
democratic	democrata	democratic	democrata	ADJ;INDF;MASC;SG	N;MASC;SG
democratic	democrática	democratic	democrático	ADJ;INDF;MASC;SG	N;FEM;SG
distinge	distinguem	distinge	distinguir	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
vrei	quer	vrea	querer	V;IND;SG;2;PRS;FIN	V;IND;SG;3;PRS;FIN
vrei	queres	vrea	querer	V;IND;SG;2;PRS;FIN	INTJ
vrei	quero	vrea	querer	V;IND;SG;2;PRS;FIN	V;IND;SG;1;PRS;FIN
strategice	estratégico	strategic	estratégico	ADJ;INDF;FEM;PL	ADJ;MASC;SG
strategice	estratégica	strategic	estratégico	ADJ;INDF;FEM;PL	ADJ;FEM;SG
utilizand	utilizar	utiliza	utilizar	ADV	V;NFIN
utilizand	usar	utiliza	usar	ADV	V;NFIN
utilizand	usando	utiliza	usar	ADV	V;V.MSDR
utilizand	utilizando	utiliza	utilizar	ADV	V;V.MSDR
numeric	numérico	numeric	numérico	ADV	N;MASC;SG
numeric	numéricos	numeric	numérico	ADV	N;MASC;PL
numeric	numérica	numeric	numérico	ADV	N;FEM;SG
simte	feel	simți	feel	V;IND;SG;3;PRS;FIN	N;MASC;SG
simte	sinta	simți	sinta	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
lloyd	lloyd	lloyd	lloyd	PROPN	N;MASC;SG
oldenburg	oldemburgo	oldenburg	oldemburgo	PROPN	N;MASC;SG
controverse	controvérsia	controversă	controvérsia	N;INDF;FEM;PL	N;FEM;SG
controverse	polêmica	controversă	polêmica	N;INDF;FEM;PL	N;FEM;SG
bordeaux	bordeaux	bordeaux	bordeaux	PROPN	N;FEM;SG
bordeaux	bordéus	bordeaux	bordéu	PROPN	N;MASC;SG
jay	jay	jay	jay	PROPN	N;MASC;SG
aventuri	adventures	avent	adventure	N;INDF;FEM;PL	N;MASC;SG
aventuri	aventura	avent	aventura	N;INDF;FEM;PL	N;FEM;SG
aventuri	adventure	avent	adventure	N;INDF;FEM;PL	N;MASC;SG
autoritati	autoridades	autoritati	autoridade		N;FEM;PL
estimare	estimar	estimare	estimar	N;INDF;FEM;SG	V;NFIN
comparativ	comparativos	comparativ	comparativo	ADV	N;MASC;PL
comparativ	comparativo	comparativ	comparativo	ADV	N;MASC;SG
comparativ	comparativa	comparativ	comparativa	ADV	N;FEM;SG
comparativ	comparado	comparativ	comparar	ADV	V;MASC;SG;V.PTCP
comparativ	comparada	comparativ	comparar	ADV	V;FEM;SG;V.PTCP
comparativ	comparados	comparativ	comparar	ADV	V;MASC;PL;V.PTCP
islamice	islâmica	islamic	islâmico	ADJ;INDF;FEM;PL	N;FEM;SG
islamice	islâmico	islamic	islâmico	ADJ;INDF;FEM;PL	ADJ;MASC;SG
islamice	islâmicos	islamic	islâmico	ADJ;INDF;FEM;PL	N;MASC;PL
islamice	islâmicas	islamic	islâmico	ADJ;INDF;FEM;PL	N;FEM;PL
salt	saltar	salt	saltar	N;INDF;MASC;SG	V;NFIN
salt	pula	salt	pular	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
salt	pular	salt	pular	N;INDF;MASC;SG	V;NFIN
tensiune	tensões	tensiune	tensão	N;INDF;FEM;SG	N;FEM;PL
pius	pio	pius	pio	PROPN	N;MASC;SG
traiasca	viver	traiască	viver	N;DEF;FEM;SG	V;NFIN
exprimate	gesso	exprima	gesso	ADJ;INDF;FEM;PL	N;MASC;SG
exprimate	elenco	exprima	elenco	ADJ;INDF;FEM;PL	N;MASC;SG
exprimate	expressos	exprima	esprimir	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
exprimate	expresso	exprima	expresso	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
exprimate	expressado	exprima	expressado	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
exprimate	expressas	exprima	esprimir	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
exprimate	expressa	exprima	esprimir	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
romeo	romeu	romeo	romer	PROPN	N;MASC;SG
romeo	romeo	romeo	romeo	PROPN	N;MASC;SG
concomitent	concomitante	concomitent	concomitante	ADV	N;MASC;SG
concomitent	concomitantes	concomitent	concomitante	ADV	N;MASC;PL
arunca	atira	arunca	atirar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
arunca	atira	arunca	atirar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
recenta	recentes	recent	recente	ADJ;DEF;FEM;SG	N;MASC;PL
recenta	recentes	recent	recente	ADJ;DEF;FEM;SG	N;MASC;PL
trenul	treinar	tren	treinar	N;DEF;MASC;SG	V;NFIN
trenul	comboios	tren	comboio	N;DEF;MASC;SG	N;MASC;PL
bate	beat	bate	beat	V;IND;SG;3;PRS;FIN	N;MASC;SG
bate	batidas	bate	batida	V;IND;SG;3;PRS;FIN	V;FEM;PL;V.PTCP
bate	bastões	bate	bastão	V;IND;SG;3;PRS;FIN	N;MASC;PL
bate	morcegos	bate	morcego	V;IND;SG;3;PRS;FIN	N;MASC;PL
propuse	propôs	propus	propor	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
propuse	propostos	propus	propor	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
propuse	propunha	propus	propor	ADJ;INDF;FEM;PL	V;IND;SG;3;IPFV;FIN
propuse	proposta	propus	proposta	ADJ;INDF;FEM;PL	N;FEM;SG
propuse	proposto	propus	propor	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
tanc	tanques	tanc	tanque	N;INDF;MASC;SG	N;MASC;PL
veliko	veliko	veliko	veliko	PROPN	N;MASC;SG
zguduit	abalado	zguduit	abalar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
zguduit	agitado	zguduit	agitar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
zguduit	abalada	zguduit	abalar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
zguduit	abalou	zguduit	abalar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
zguduit	abalou	zguduit	abalar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
zguduit	apertou	zguduit	apertar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
bolnav	enjoado	bolnav	enjoar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
bolnav	doentes	bolnav	doente	ADJ;INDF;MASC;SG	N;MASC;PL
nguyen	nguyen	nguyen	nguyen	PROPN	N;MASC;SG
afecteaza	afeta	afecta	afetar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
afecteaza	afecta	afecta	afectar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
afecteaza	afetam	afecta	afetar	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
afecteaza	afeta	afecta	afetar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
afecteaza	afecta	afecta	afectar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
nigeria	nigéria	nigerie	nigéria	PROPN	N;FEM;SG
gust	provar	gust	provar	N;INDF;MASC;SG	V;NFIN
gust	prove	gust	provar	N;INDF;MASC;SG	V;SBJV;SG;3;PRS;FIN
vizuale	visuais	vizual	visual	ADJ;INDF;FEM;PL	N;MASC;PL
allah	allah	allah	allah		N;MASC;SG
allah	alá	allah	alá		N;MASC;SG
joan	joana	joan	joana	PROPN	N;FEM;SG
joan	joan	joan	joan	PROPN	N;FEM;SG
bor	bor	bor	bor		N;MASC;SG
bor	boro	bor	boro		N;MASC;SG
györgy	györgy	györgy	györgy	PROPN	N;MASC;SG
strategic	estrategicamente	strategic	estrategicamente	ADJ;INDF;MASC;SG	ADV
strategic	estratégicos	strategic	estratégico	ADJ;INDF;MASC;SG	ADJ;MASC;PL
privit	assisti	privi	assistir	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
privit	assistido	privi	assistir	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
privit	assistiu	privi	assistir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
privit	assistiram	privi	assistir	ADJ;INDF;MASC;SG	V;IND;PL;3;FIN
dennis	dennis	dennis	dennis	PROPN	N;MASC;SG
miami	miami	miam	miami	PROPN	N;MASC;SG
lang	lang	lang	lang	PROPN	N;MASC;SG
bugetul	orçamentos	buget	orçamento	N;DEF;MASC;SG	N;MASC;PL
matthew	matthew	matthew	matthew	PROPN	N;MASC;SG
matthew	mateus	matthew	mater	PROPN	N;MASC;SG
wisconsin	wisconsin	wisconsin	wisconsin	PROPN	N;MASC;SG
sunete	soa	sunet	soar	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
cablu	cabos	cablu	cabo	N;INDF;MASC;SG	N;MASC;PL
autonom	autônomo	autonom	autônomo	ADJ;INDF;MASC;SG	N;MASC;SG
autonom	autónoma	autonom	autónomo	ADJ;INDF;MASC;SG	N;FEM;SG
lucas	lucas	lucas	luca	PROPN	N;MASC;PL
justin	justin	justin	justin		N;MASC;SG
laurent	laurent	laurent	laurent	PROPN	N;MASC;SG
lingvistice	linguística	lingvistic	linguística	N;INDF;FEM;PL	N;FEM;SG
northern	norte	northern	norte	PROPN	N;MASC;SG
northern	setentrional	northern	setentrional	PROPN	ADJ;MASC;SG
northern	northern	northern	northern	PROPN	N;MASC;SG
zaharia	zacarias	zaharia	zacaria	N;DEF;FEM;SG	N;FEM;PL
astea	estes	acesta	este	PRO;FEM;PL;3	DET;MASC;PL
astea	esses	acesta	esse	PRO;FEM;PL;3	DET;MASC;PL
caussols	caussols	caussols	caussol		N;MASC;SG
marx	marx	marx	marx	PROPN	N;MASC;SG
gandirea	pensando	gandire	pensar	N;DEF;FEM;SG	V;V.MSDR
gandirea	pensar	gandire	pensar	N;DEF;FEM;SG	V;NFIN
esential	essenciais	esential	essencial	ADJ;INDF;MASC;SG	ADJ;MASC;PL
esential	essenciais	esential	essencial	ADJ;INDF;MASC;SG	ADJ;MASC;PL
consecutive	consecutivas	consecutiv	consecutivo	ADJ;INDF;FEM;PL	N;FEM;PL
consecutive	consecutivo	consecutiv	consecutivo	ADJ;INDF;FEM;PL	ADJ;MASC;SG
consecutive	consecutiva	consecutiv	consecutivo	ADJ;INDF;FEM;PL	N;FEM;SG
consecutive	consecutivos	consecutiv	consecutivo	ADJ;INDF;FEM;PL	N;MASC;PL
navarra	navarra	navarra	navarra	PROPN	N;FEM;SG
asimov	asimov	asimov	asimov	PROPN	N;MASC;SG
carnivore	carnívoro	carnivor	carnívoro	N;INDF;FEM;PL	N;MASC;SG
singapore	singapura	singapore	singapura	N;INDF;FEM;PL	N;FEM;SG
singapore	cingapura	singapore	cingapura	N;INDF;FEM;PL	N;FEM;SG
interpreta	interprete	interpreta	interpretar	V;IND;SG;3;IPFV;FIN	N;MASC;SG
interpreta	interpreta	interpreta	interpretar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
acoperire	revestimentos	acoperire	revestimento	N;INDF;FEM;SG	N;MASC;PL
acoperire	cubra	acoperire	cubrar	N;INDF;FEM;SG	V;SBJV;SG;3;PRS;FIN
acoperire	cobrir	acoperire	cobrir	N;INDF;FEM;SG	V;NFIN
wells	poços	wells	poço	PROPN	N;MASC;PL
wells	wells	wells	well	PROPN	N;MASC;SG
pasare	aves	pasar	ave	N;INDF;FEM;SG	N;FEM;PL
pasare	aves	pasar	ave	N;INDF;FEM;SG	N;FEM;PL
ocazional	ocasional	ocazional	ocasional	ADV	ADJ;MASC;SG
ocazional	ocasionais	ocazional	ocasional	ADV	ADJ;MASC;PL
dedesubt	embaixo	dedesubt	embaixo		ADV
dedesubt	debaixo	dedesubt	debaixo		ADV
dedesubt	abaixo	dedesubt	abaixo		ADV
springs	molas	springs	mola	N;INDF;MASC;SG	N;FEM;PL
springs	nascentes	springs	nascente	N;INDF;MASC;SG	N;MASC;PL
springs	primaveras	springs	primavera	N;INDF;MASC;SG	N;FEM;PL
detaliate	detalhado	detalia	detalhar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
detaliate	pormenorizadas	detalia	pormenorizar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
detaliate	detalhada	detalia	detalhar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
detaliate	detalhadas	detalia	detalhar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
estimat	estimado	estima	estimado	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
estimat	estimados	estima	estimar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
estimat	estimada	estima	estimar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
estimat	estimativa	estima	estimativa	ADJ;INDF;MASC;SG	N;FEM;SG
derivate	derivados	derivat	derivar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
derivate	derivado	derivat	derivado	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
derivate	derivada	derivat	derivar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
derivate	derivadas	derivat	derivar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
derivate	derivado	derivat	derivado	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
derivate	derivada	derivat	derivar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
liban	líbano	liban	líbano	PROPN	N;MASC;SG
béla	béla	bcla	béla	PROPN	N;MASC;SG
regii	kings	regie	kings	N;INDF;MASC;PL	N;MASC;SG
aparand	aparecendo	aparand	aparecer		V;V.MSDR
aparand	defender	aparand	defender		V;NFIN
aparand	defendendo	aparand	defender		V;V.MSDR
emma	emma	emma	emma	PROPN	N;FEM;SG
emma	ema	emma	ema	PROPN	N;MASC;SG
persana	persas	persană	persa	N;DEF;FEM;SG	N;MASC;PL
doyle	doyle	doylu	doyle	PROPN	N;MASC;SG
efectuarea	fazendo	efectuare	fazer	N;DEF;FEM;SG	V;V.MSDR
efectuarea	realizando	efectuare	realizar	N;DEF;FEM;SG	V;V.MSDR
organe	órgão	organ	órgão	N;INDF;FEM;PL	N;MASC;SG
goethe	goethe	goethe	goethe	PROPN	N;MASC;SG
aug	ago	augi	ago		N;MASC;SG
aug	agosto	augi	agosto		N;MASC;SG
bobby	bobby	bobby	bobby	PROPN	N;MASC;SG
sever	severo	sever	severo	ADJ;INDF;MASC;SG	N;MASC;SG
sever	severas	sever	severa	ADJ;INDF;MASC;SG	ADJ;FEM;PL
bretagne	bretagne	bretagnu	bretagne	PROPN	N;MASC;SG
cameron	cameron	cameron	cameron	PROPN	N;MASC;SG
salbatice	selvagem	salbatic	selvagem	ADJ;INDF;FEM;PL	ADJ;MASC;SG
salbatice	wild	salbatic	wild	ADJ;INDF;FEM;PL	N;MASC;SG
salbatice	selvagens	salbatic	selvagem	ADJ;INDF;FEM;PL	N;MASC;PL
noroc	felicidades	noroc	felicidade	N;INDF;MASC;SG	N;FEM;PL
averea	riquezas	avere	riqueza	N;DEF;FEM;SG	N;FEM;PL
practicat	praticada	practica	praticar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
practicat	praticado	practica	praticar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
practicat	praticou	practica	praticar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
dati	dê	da	dar		V;SBJV;SG;3;PRS;FIN
dati	dar	da	dar		V;NFIN
dati	dá	da	dar		V;IND;SG;3;PRS;FIN
cunostinta	conhecido	cunostinta	conhecido	N;DEF;FEM;SG	ADJ;MASC;SG
cunostinta	conhecidos	cunostinta	conhecido	N;DEF;FEM;SG	ADJ;MASC;PL
cunostinta	conhecido	cunostinta	conhecido	N;DEF;FEM;SG	ADJ;MASC;SG
cunostinta	conhecidos	cunostinta	conhecido	N;DEF;FEM;SG	ADJ;MASC;PL
mer	mer	mer	mer		N;MASC;SG
automata	automáticos	automată	automático	N;DEF;FEM;SG	ADJ;MASC;PL
automata	automático	automată	automático	N;DEF;FEM;SG	ADJ;MASC;SG
automata	automática	automată	automático	N;DEF;FEM;SG	ADJ;FEM;SG
automata	automáticas	automată	automático	N;DEF;FEM;SG	N;FEM;PL
refugiati	refugiados	refugia	refugiado	ADJ;INDF;MASC;PL	N;MASC;PL
refugiati	refugiados	refugia	refugiado	ADJ;INDF;MASC;PL	N;MASC;PL
dominat	dominado	domina	dominar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
dominat	dominados	domina	dominar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
dominat	dominadas	domina	dominar	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
dominat	dominou	domina	dominar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
dominat	dominada	domina	dominar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
creasca	crescer	crească	crescer	N;DEF;FEM;SG	V;NFIN
creasca	cresce	crească	crescer	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
creasca	crescem	crească	crescer	N;DEF;FEM;SG	V;IND;PL;3;PRS;FIN
creasca	cresçam	crească	crescer	N;DEF;FEM;SG	V;SBJV;PL;3;PRS;FIN
creasca	cresça	crească	cresco	N;DEF;FEM;SG	V;SBJV;SG;3;PRS;FIN
rebel	rebeldes	rebel	rebelde	ADJ;INDF;MASC;SG	N;MASC;PL
rebel	rebelde	rebel	rebelde	ADJ;INDF;MASC;SG	N;MASC;SG
uruguay	uruguai	uruguay	urugual	PROPN	N;MASC;SG
iugoslaviei	jugoslávia	iugoslavie	jugoslávia	PROPN;DEF;FEM;SG	N;FEM;SG
iugoslaviei	iugoslávia	iugoslavie	iugoslávia	PROPN;DEF;FEM;SG	N;FEM;SG
damian	damian	damian	damian	PROPN	N;MASC;SG
roll	rolar	roll	rolar	N;INDF;MASC;SG	V;NFIN
preluarea	obtendo	preluare	obter	N;DEF;FEM;SG	V;V.MSDR
preluarea	buscando	preluare	buscar	N;DEF;FEM;SG	V;V.MSDR
judecator	julgar	judecator	julgar	N;INDF;MASC;SG	V;NFIN
judecator	julgar	judecator	julgar	N;INDF;MASC;SG	V;NFIN
semneaza	assine	semneaza	assine	V;IND;SG;3;IPFV;FIN	INTJ
semneaza	signo	semneaza	signo	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	assina	semneaza	assinar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
semneaza	sinal	semneaza	sinal	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	assine	semneaza	assine	V;IND;SG;3;IPFV;FIN	INTJ
semneaza	signo	semneaza	signo	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	assina	semneaza	assinar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
semneaza	sinal	semneaza	sinal	V;IND;SG;3;IPFV;FIN	N;MASC;SG
hugh	hugo	hugh	hugo	PROPN	N;MASC;SG
hugh	hugh	hugh	hugh	PROPN	N;MASC;SG
termica	térmicos	termica	térmico	N;DEF;FEM;SG	N;MASC;PL
laos	laos	laos	lao	ADV	N;MASC;SG
argumentele	argumentação	argument	argumentação	N;DEF;FEM;PL	N;FEM;SG
alexandrescu	alexandrescu	alexandrescu	alexandrescar	PROPN	N;MASC;PL
uesac	uesac	uesac	uesac		N;MASC;SG
fir	fios	fir	fio	N;INDF;MASC;SG	N;MASC;PL
localizata	localizada	localizat	localizar	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
localizata	localizado	localizat	localizar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
localizata	localizados	localizat	localizar	ADJ;DEF;FEM;SG	V;MASC;PL;V.PTCP
localizata	localizada	localizat	localizar	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
localizata	localizado	localizat	localizar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
localizata	localizados	localizat	localizar	ADJ;DEF;FEM;SG	V;MASC;PL;V.PTCP
mon	seg	mon	segunda-feira		N;MASC;SG
mon	mon	mon	mon		N;MASC;SG
jpg}}	jpg}}	jpg}}	jpg}}		N;MASC;SG
arcul	curvar	arc	curvar	N;DEF;MASC;SG	V;NFIN
square	quadrados	square	quadrados	N;INDF;MASC;SG	N;MASC;PL
doc	doc	doc	doc		N;MASC;SG
doc	doutora	doc	doutora		N;FEM;SG
doc	doutor	doc	doutor		N;MASC;SG
incet	devagarinho	incet	devagarinho		ADV
incet	lentamente	incet	lentamente		ADV
incet	devagar	incet	devagar		ADV
call	chamada	call	chamar	N;INDF;MASC;SG	V;FEM;SG;V.PTCP
call	ligar	call	ligar	N;INDF;MASC;SG	V;NFIN
call	ligue	call	ligar	N;INDF;MASC;SG	V;SBJV;SG;3;PRS;FIN
call	chama	call	chamar	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
esentiale	essencial	esential	essencial	ADJ;INDF;FEM;PL	ADJ;MASC;SG
transferul	transferir	transfer	transferir	N;DEF;MASC;SG	V;NFIN
creatorul	criadora	creator	criadora	N;DEF;MASC;SG	ADJ;FEM;SG
gibson	gibson	gibson	gibson	PROPN	N;MASC;SG
inconjurata	cercados	inconjurat	cercado	ADJ;DEF;FEM;SG	V;MASC;PL;V.PTCP
inconjurata	cercada	inconjurat	cercar	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
inconjurata	rodeada	inconjurat	rodear	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
inconjurata	rodeado	inconjurat	rodear	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
inconjurata	cercado	inconjurat	cercar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
viktor	vítor	viktor	vítor	PROPN	N;MASC;SG
viktor	viktor	viktor	viktor	PROPN	N;MASC;SG
babes	gatas	babes	gata	N;INDF;MASC;SG	N;FEM;PL
babes	gatinhas	babes	gatinha	N;INDF;MASC;SG	N;FEM;PL
babes	gatas	babes	gata	N;INDF;MASC;SG	N;FEM;PL
babes	gatinhas	babes	gatinha	N;INDF;MASC;SG	N;FEM;PL
adulti	adultos	adult	adulto		N;MASC;PL
adulti	adulto	adult	adulto		N;MASC;SG
adulti	adulta	adult	adulta		N;FEM;SG
adulti	adultos	adult	adulto		N;MASC;PL
adulti	adultos	adult	adulto		N;MASC;PL
estadio	estádio	estadio	estádio	PROPN	N;MASC;SG
atribuita	atribuídos	atribuit	atribuir	N;DEF;FEM;SG	V;MASC;PL;V.PTCP
atribuita	atribuído	atribuit	atribuir	N;DEF;FEM;SG	V;MASC;SG;V.PTCP
atribuita	atribuída	atribuit	atribuir	N;DEF;FEM;SG	V;FEM;SG;V.PTCP
atribuita	atribuídas	atribuit	atribuir	N;DEF;FEM;SG	V;FEM;PL;V.PTCP
atribuita	atribuídos	atribuit	atribuir	N;DEF;FEM;SG	V;MASC;PL;V.PTCP
atribuita	atribuído	atribuit	atribuir	N;DEF;FEM;SG	V;MASC;SG;V.PTCP
atribuita	atribuída	atribuit	atribuir	N;DEF;FEM;SG	V;FEM;SG;V.PTCP
atribuita	atribuídas	atribuit	atribuir	N;DEF;FEM;SG	V;FEM;PL;V.PTCP
wood	madeiras	wood	madeira	PROPN	N;FEM;PL
wood	madeira	wood	madeira	PROPN	N;FEM;SG
coordonatele	coordenadas	coordonată	coordenada	N;DEF;FEM;PL	V;FEM;PL;V.PTCP
johan	johan	johan	johan	PROPN	N;MASC;SG
santos	santos	santos	santo	PROPN	N;MASC;PL
armament	armamentos	armament	armamento	N;INDF;MASC;SG	N;MASC;PL
marcand	pontuação	marcand	pontuação		N;FEM;SG
visul	sonhar	vis	sonhar	N;DEF;MASC;SG	V;NFIN
eddie	eddie	eddie	eddie	PROPN	N;MASC;SG
eddie	eddy	eddie	eddy	PROPN	N;MASC;SG
mir	mir	mir	mir		N;MASC;SG
pescuit	pescarias	pescuit	pescaria	N;INDF;MASC;SG	N;FEM;PL
pescuit	pescas	pescuit	pesca	N;INDF;MASC;SG	N;FEM;PL
pescuit	pescar	pescuit	pescar	N;INDF;MASC;SG	V;NFIN
proportie	proporções	proportie	proporção	N;INDF;FEM;SG	N;FEM;PL
jorge	jorge	jorge	jorge	PROPN	N;MASC;SG
