par	hakkında	par	hak		N;ESS;SG;3
tuvumā	yakın	tuvums	yakın	N;ESS;MASC;SG	
mēneša	aylık	mēnesis	aylık	N;GEN;MASC;SG	
masa	kitle	masa	kitle	N;NOM;FEM;SG	
masa	ayin	masa	ayin	N;NOM;FEM;SG	
masa	toplu	masa	toplu	N;NOM;FEM;SG	
masa	kütle	masa	kütle	N;NOM;FEM;SG	
samērā	nispeten	samērā	nispet	ADV	
trim	three	trīs	three	NUM;DAT;MASC;PL	
nepieciešams	ihtiyaç	nepieciešams	ihtiyaç	ADJ;NOM;MASC;SG	
nepieciešams	lazım	nepieciešams	lazım	ADJ;NOM;MASC;SG	
nepieciešams	ihtiyacım	nepieciešams	ihtiyaç	ADJ;NOM;MASC;SG	N;NOM;SG;3
nepieciešams	gerek	nepieciešams	gerek	ADJ;NOM;MASC;SG	
nepieciešams	ihtiyaç	nepieciešams	ihtiyaç	ADJ;NOM;MASC;SG	
nepieciešams	gerekliydi	nepieciešams	gerekli	ADJ;NOM;MASC;SG	V;PFV;IND;SG;3;POS;PST
nepieciešams	lazımdı	nepieciešams	lazım	ADJ;NOM;MASC;SG	
nepieciešams	gerekli	nepieciešams	gerekli	ADJ;NOM;MASC;SG	
nepieciešams	gerekiyor	nepieciešams	gerek	ADJ;NOM;MASC;SG	V;PROG;IND;SG;3;POS;INFM;PRS
nepieciešams	zorunlu	nepieciešams	zorunlu	ADJ;NOM;MASC;SG	
nepieciešams	gereklidir	nepieciešams	gerekli	ADJ;NOM;MASC;SG	
nepieciešams	gerekli	nepieciešams	gerekli	ADJ;NOM;MASC;SG	
nepieciešams	gerekliydi	nepieciešams	gerekli	ADJ;NOM;MASC;SG	V;PFV;IND;SG;3;POS;PST
nepieciešams	gereklidir	nepieciešams	gerekli	ADJ;NOM;MASC;SG	
visa	all	viss	all	PRO;NOM;FEM;SG	
visa	hepsini	viss	hepsi	PRO;NOM;FEM;SG	PRO;ACC;PL;3
visa	tamamı	viss	tamam	PRO;NOM;FEM;SG	
visa	hepsi	viss	hepsi	PRO;NOM;FEM;SG	PRO;NOM;PL;3
visa	tümü	viss	tümü	PRO;NOM;FEM;SG	
jūra	deniz	jūra	deniz	N;NOM;FEM;SG	
maskavā	moskova	maskava	moskova	PROPN;ESS;FEM;SG	PROPN;NOM;SG;3
foto	fotograf	foto	fotograf	N	
foto	foto	foto	foto	N	
foto	fotoğraf	foto	fotoğraf	N	
iekļauts	dâhil	iekļaut	dâhil	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
iekļauts	dahil	iekļaut	dahil	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
darbinieks	işçi	darbinieks	işçi	N;NOM;MASC;SG	
darbinieks	çalışan	darbinieks	çalış	N;NOM;MASC;SG	
spāņu	ispanyollar	spānis	ispanyol	N;GEN;MASC;PL	N;NOM;PL;3
spāņu	ispanyol	spānis	ispanyol	N;GEN;MASC;PL	
spāņu	ispanyolca	spānis	ispanyolca	N;GEN;MASC;PL	
nokia	nokia	nokis	nokia	N	
uzvarējis	kazanılan	uzvarēt	kazan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
uzvarējis	won	uzvarēt	won	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
atzīts	tanınan	atzīt	tanı	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
atzīts	tanınan	atzīt	tanı	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
minūtes	dakika	minūte	dakika	N;NOM;FEM;PL	
iedalījums	çöküş	iedalījums	çöküş	N;NOM;MASC;SG	
iedalījums	bozulma	iedalījums	boz	N;NOM;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
iedalījums	kırılım	iedalījums	kırılım	N;NOM;MASC;SG	
iedalījums	çöküntü	iedalījums	çöküntü	N;NOM;MASC;SG	
iedalījums	tümen	iedalījums	tümen	N;NOM;MASC;SG	
rodas	karşılaşma	rasties	karşılaşma	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	
rodas	encounters	rasties	encounters	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;NOM;SG;3
paredzēts	amaçlı	paredzēt	amaçlı	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
paredzēts	niyet	paredzēt	niyet	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
viss	herşey	viss	herşey	PRO;NOM;MASC;SG	
viss	herşeyi	viss	herşey	PRO;NOM;MASC;SG	N;ACC;SG;3
viss	hersey	viss	hersey	PRO;NOM;MASC;SG	
lielas	büyük	liela	büyük	ADJ;NOM;FEM;PL	
drošības	güvenlik	drošība	güvenlik	N;NOM;FEM;PL	N;NOM;SG;3
drošības	güvenliği	drošība	güvenlik	N;NOM;FEM;PL	N;NOM;SG;3
drošības	emniyet	drošība	emniyet	N;NOM;FEM;PL	N;NOM;SG;3
drošības	güvenlik	drošība	güvenlik	N;NOM;FEM;PL	N;NOM;SG;3
drošības	emniyeti	drošība	emniyet	N;NOM;FEM;PL	N;ACC;SG;3
mērķis	amaç	mērķis	amaç	N;NOM;MASC;SG	
mērķis	objektif	mērķis	objektif	N;NOM;MASC;SG	
mērķis	nişan	mērķis	nişan	N;NOM;MASC;SG	
mērķis	hedef	mērķis	hedef	N;NOM;MASC;SG	
mērķis	hedefi	mērķis	hedef	N;NOM;MASC;SG	
mērķis	amaç	mērķis	amaç	N;NOM;MASC;SG	
mērķis	hedef	mērķis	hedef	N;NOM;MASC;SG	
mērķis	hedef	mērķis	hedef	N;NOM;MASC;SG	
mērķis	amaç	mērķis	amaç	N;NOM;MASC;SG	
nakts	geceler	nakts	gece	N;NOM;FEM;SG	N;NOM;PL;3
nakts	night	nakts	night	N;NOM;FEM;SG	
zinātnes	fen	zinātne	fen	N;NOM;FEM;PL	
zinātnes	bilimsel	zinātne	bilimsel	N;NOM;FEM;PL	ADJ
zinātnes	bilim	zinātne	bilim	N;NOM;FEM;PL	N;NOM;SG;3
zinātnes	bilimleri	zinātne	bilim	N;NOM;FEM;PL	N;ACC;PL;3
ieskaitot	dahil	ieskaitīt	dahil	V;V.CVB	
kapteinis	yüzbaşı	kapteinis	yüzbaşı	N;NOM;MASC;SG	
kapteinis	kaptan	kapteinis	kaptan	N;NOM;MASC;SG	
kapteinis	usta	kapteinis	us	N;NOM;MASC;SG	
kapteinis	üstad	kapteinis	üstad	N;NOM;MASC;SG	
kapteinis	komutan	kapteinis	komut	N;NOM;MASC;SG	
olas	yumurta	ola	yumurta	N;NOM;FEM;PL	
olas	yumurta	ola	yumurta	N;NOM;FEM;PL	
olas	yumurtalı	ola	yumurtalı	N;NOM;FEM;PL	
marija	marie	marija	marie	N;NOM;FEM;SG	
marija	marija	marija	marija	N;NOM;FEM;SG	PROPN;NOM;SG;3
marija	mary	marija	mary	N;NOM;FEM;SG	
marija	maria	marija	maria	N;NOM;FEM;SG	PROPN;NOM;SG;3
interneta	internet	internets	internet	N;NOM;MASC	N;NOM;SG;3
miljoniem	milyonlar	miljons	milyon	N;DAT;MASC;PL	
miljoniem	milyonlarca	miljons	milyonlarca	N;DAT;MASC;PL	NUM
miljoniem	milyon	miljons	milyon	N;DAT;MASC;PL	
iecelts	atanan	iecelt	ata	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
sarkanā	kirmizi	sarkana	kirmiz	ADJ;NOM;FEM;SG	
sarkanā	kızıl	sarkana	kızıl	ADJ;NOM;FEM;SG	
sarkanā	red	sarkana	red	ADJ;NOM;FEM;SG	
pilnīgi	kesinlikle	pilnīgi	kesinlik	ADV	N;INS;SG;3
pilnīgi	tamamen	pilnīgi	tamamen	ADV	
pilnīgi	tamamiyle	pilnīgi	tamami	ADV	ADJ;INS;SG;3
pilnīgi	tamamıyla	pilnīgi	tamam	ADV	ADJ;INS;SG;3
pilnīgi	tamamen	pilnīgi	tamamen	ADV	
pilnīgi	tamamıyla	pilnīgi	tamam	ADV	ADJ;INS;SG;3
pilnīgi	kesinlikle	pilnīgi	kesinlik	ADV	N;INS;SG;3
pilnīgi	tamamen	pilnīgi	tamamen	ADV	
pilnīgi	tamamiyle	pilnīgi	tamami	ADV	ADJ;INS;SG;3
ātri	hızlı	ātri	hızlı	ADV	ADJ
ātri	çabuk	ātri	çabuk	ADV	
ātri	cabuk	ātri	cabuk	ADV	
ātri	hızlı	ātri	hızlı	ADV	ADJ
ātri	hizli	ātri	hizli	ADV	
ātri	çabuk	ātri	çabuk	ADV	
līgums	sözleşme	līgums	sözleşme	N;NOM;MASC;SG	
līgums	kontrat	līgums	kontrat	N;NOM;MASC;SG	
līgums	anlaşma	līgums	anlaşma	N;NOM;MASC;SG	
līgums	antlaşma	līgums	antlaşma	N;NOM;MASC;SG	
revolūcijas	devrim	revolūcija	devrim	N;NOM;FEM;PL	
vidējā	ortalama	vidējs	ortalama	ADJ;NOM;FEM;SG	
metru	metre	metrs	metre	N;ACC;MASC;SG	
literatūras	edebi	literatūra	et	N;NOM;FEM;PL	
literatūras	edebiyat	literatūra	edebiyat	N;NOM;FEM;PL	N;NOM;SG;3
literatūras	edebiyatı	literatūra	edebiyat	N;NOM;FEM;PL	N;ACC;SG;3
literatūras	edebiyat	literatūra	edebiyat	N;NOM;FEM;PL	N;NOM;SG;3
vides	çevre	vide	çevre	N;NOM;FEM;PL	
vides	çevresel	vide	çevresel	N;NOM;FEM;PL	
biedrs	üye	biedrs	üye	N;NOM;MASC;SG	
biedrs	yoldaş	biedrs	yoldaş	N;NOM;MASC;SG	
dzīvnieki	hayvanlar	dzīvnieks	hayvan	N;NOM;MASC;PL	ADJ;NOM;PL;3
dzīvnieki	hayvan	dzīvnieks	hayvan	N;NOM;MASC;PL	
html	html	html	html	N	
dibināts	kurulan	dibināt	kur	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
šveices	isviçreli	šveice	isviçreli	PROPN;NOM;FEM;SG	
pazīstama	bilinir	pazīt	bil	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS	V;IPFV;IND;SG;3;POS;PASS
tips	tipi	tips	tip	N;NOM;MASC;SG	
tips	tip	tips	tip	N;NOM;MASC;SG	
tips	türü	tips	tür	N;NOM;MASC;SG	
tips	tür	tips	tür	N;NOM;MASC;SG	
tips	type	tips	type	N;NOM;MASC;SG	
zinātne	fen	zinātne	fen	N;NOM;FEM;SG	
zinātne	bilimsel	zinātne	bilimsel	N;NOM;FEM;SG	ADJ
rezultāti	sonuçları	rezultāts	sonuç	N;NOM;MASC;PL	N;ACC;PL;3
rezultāti	sonuç	rezultāts	sonuç	N;NOM;MASC;PL	
rezultāti	sonuçları	rezultāts	sonuç	N;NOM;MASC;PL	N;ACC;PL;3
metri	metre	metrs	metre	N;NOM;MASC;PL	
metri	metre	metrs	metre	N;NOM;MASC;PL	
anna	ann	anna	ann	PROPN;NOM;FEM;SG	
anna	anna	anna	anna	PROPN;NOM;FEM;SG	
ietekmē	etkiler	ietekmēt	etkile	V;FH;IND;3;POS;PRS;FIN;ACT	
abas	ikisi	abas	iki	PRO;NOM;FEM;PL	
abas	darısı	abas	darı	PRO;NOM;FEM;PL	ADJ;NOM;SG;3
abas	ikiside	abas	iki	PRO;NOM;FEM;PL	NUM;ESS;SG;3
iekļāva	dâhil	iekļaut	dâhil	V;FH;IND;3;POS;PST;FIN;ACT	
iekļāva	dahil	iekļaut	dahil	V;FH;IND;3;POS;PST;FIN;ACT	
nat	nat	nat	nat		
bīskaps	piskopos	bīskaps	piskopos	N;NOM;MASC;SG	
bīskaps	bishop	bīskaps	bishop	N;NOM;MASC;SG	PROPN;NOM;SG;3
bīskaps	fil	bīskaps	fil	N;NOM;MASC;SG	
katra	herbiri	katra	herbiri	PRO;NOM;FEM;SG	PRO;NOM;SG;3
vecāki	ebeveyn	vecāks	ebevey	N;NOM;MASC;PL	
vecāki	yaşlı	vecāks	yaşlı	N;NOM;MASC;PL	ADJ
pagaidu	geçici	pagaidīt	geçici	N;ACC;MASC;SG	
pagaidu	geçici	pagaidīt	geçici	N;ACC;MASC;SG	
pagaidu	geçici	pagaidīt	geçici	N;ACC;MASC;SG	
policijas	polislik	policija	polislik	N;NOM;FEM;PL	N;NOM;SG;3
policijas	polis	policija	polis	N;NOM;FEM;PL	
galvas	baş	galva	baş	N;NOM;FEM;PL	N;NOM;SG;3
galvas	kafası	galva	kafa	N;NOM;FEM;PL	N;NOM;SG;3
galvas	kafa	galva	kafa	N;NOM;FEM;PL	
galvas	tura	galva	tur	N;NOM;FEM;PL	N;DAT;SG;3
federācijas	federasyon	federācija	federasyon	N;NOM;FEM;PL	
federācijas	federasyonu	federācija	federasyon	N;NOM;FEM;PL	N;NOM;SG;3
krāsu	renk	krāsa	renk	N;ACC;FEM;SG	
krāsu	rengi	krāsa	renk	N;ACC;FEM;SG	
krāsu	renkli	krāsa	renkli	N;ACC;FEM;SG	
krāsu	renk	krāsa	renk	N;ACC;FEM;SG	
krāsu	rengi	krāsa	renk	N;ACC;FEM;SG	
ungārijas	macar	ungārija	macar	PROPN;NOM;FEM;SG	
ungārijas	macaristan	ungārija	macaristan	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
vienkārši	basit	vienkārši	basit	ADV	ADJ
vienkārši	sade	vienkārši	sade	ADV	
vienkārši	basitçe	vienkārši	basitçe	ADV	
lielās	övünmek	liela	övün	ADJ;NOM;FEM;PL	V;PFV;NOM;IND;POS;PRS;V.MSDR
ministrijas	bakanlıkları	ministrija	bakanlık	N;NOM;FEM;PL	N;ACC;PL;3
ministrijas	bakanlığı	ministrija	bakanlık	N;NOM;FEM;PL	N;NOM;SG;3
ministrijas	bakanlık	ministrija	bakanlık	N;NOM;FEM;PL	N;NOM;SG;3
ekonomikas	ekonomik	ekonomika	ekonomik	N;NOM;FEM;PL	ADJ
tēviņi	erkekler	tēviņš	erkek	N;NOM;MASC;PL	ADJ;NOM;PL;3
tēviņi	erkek	tēviņš	erkek	N;NOM;MASC;PL	
forma	şekil	forma	şekil	N;NOM;FEM;SG	
forma	şekli	forma	şekli	N;NOM;FEM;SG	N;ACC;SG;3
forma	biçim	forma	biçim	N;NOM;FEM;SG	
forma	formu	forma	formu	N;NOM;FEM;SG	
forma	biçim	forma	biçim	N;NOM;FEM;SG	
forma	form	forma	form	N;NOM;FEM;SG	
krāsas	boya	krāsa	boy	N;NOM;FEM;PL	
krāsas	boyama	krāsa	boya	N;NOM;FEM;PL	
krāsas	renk	krāsa	renk	N;NOM;FEM;PL	
nedēļas	hafta	nedēļa	hafta	N;NOM;FEM;PL	N;NOM;SG;3
nedēļas	haftalarca	nedēļa	haftalarca	N;NOM;FEM;PL	ADV
nedēļas	haftalık	nedēļa	haftalık	N;NOM;FEM;PL	
tūkstoši	bin	tūkstoši	bin	NUM;NOM;MASC;PL	
tūkstoši	binlik	tūkstoši	binlik	NUM;NOM;MASC;PL	
tūkstoši	binlercesi	tūkstoši	binle	NUM;NOM;MASC;PL	ADV
garš	uzundu	garš	uzun	ADJ;NOM;MASC;SG	V;PFV;IND;SG;3;POS;PST;PASS
garš	long	garš	long	ADJ;NOM;MASC;SG	
sērijas	serisi	sērija	seri	N;NOM;FEM;PL	PROPN;NOM;SG;3
sērijas	dizi	sērija	dizi	N;NOM;FEM;PL	N;NOM;SG;3
sērijas	seri	sērija	seri	N;NOM;FEM;PL	
desmit	on	desmit	on	NUM;PL	
imperators	imparator	imperators	imparator	N;NOM;MASC;SG	
strauji	hızlı	strauji	hızlı	ADV	ADJ
strauji	hizli	strauji	hizli	ADV	
pāris	çifti	pāris	çift	N;NOM;MASC;SG	ADJ;NOM;SG;3
pāris	çift	pāris	çift	N;NOM;MASC;SG	
pāris	çifti	pāris	çift	N;NOM;MASC;SG	ADJ;NOM;SG;3
pāris	çift	pāris	çift	N;NOM;MASC;SG	
augstākās	yüce	augsta	yüce	ADJ;NOM;CMPR;FEM;PL	
sauszemes	karasal	sauszeme	karasal	N;NOM;FEM;PL	ADJ
barības	akış	barība	akış	N;NOM;FEM;PL	
barības	kaynağı	barība	kaynak	N;NOM;FEM;PL	
barības	yem	barība	ye	N;NOM;FEM;PL	
barības	besleme	barība	besle	N;NOM;FEM;PL	
ūdenī	su	ūdens	su	N;ESS;MASC;SG	
pieņemts	kabul	pieņemt	kabul	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;NOM;SG;3
pieņemts	evlatlık	pieņemt	evlatlık	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;NOM;SG;3
atklāts	açık	atklāt	açık	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ
atklāts	open	atklāt	open	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
atklāts	açın	atklāt	aç	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IMP;PL;2;POS;PRS
atklāts	aç	atklāt	aç	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
atklāts	açıl	atklāt	açıl	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
diezgan	güzel	diezgan	güzel	ADV	ADJ
tilts	köprü	tilts	köprü	N;NOM;MASC;SG	
ielām	sokak	iela	sokak	N;DAT;FEM;PL	N;NOM;SG;3
ielām	sokaklar	iela	sokak	N;DAT;FEM;PL	N;NOM;PL;3
ielām	sokaklarda	iela	sokak	N;DAT;FEM;PL	N;ESS;PL;3
ielām	sokakları	iela	sokak	N;DAT;FEM;PL	N;NOM;PL;3
des	des	des	des		PROPN;NOM;SG;3
tabula	tablo	tabuls	tablo	N;NOM;FEM;SG	
tabula	sofra	tabuls	sofra	N;NOM;FEM;SG	
tabula	masa	tabuls	masa	N;NOM;FEM;SG	
cauri	aracılığıyla	cauri	aracılık	ADV	N;INS;SG;3
cauri	yoluyla	cauri	yol	ADV	N;INS;SG;3
cauri	geçerek	cauri	geç	ADV	V;PFV;IND;POS;PRS;V.CVB
džeimss	james	džeimss	james	N;NOM;MASC;SG	
wikipedia	wikipedia	wikipedia	wikipe	N;NOM;MASC;SG	
wikipedia	vikipedi	wikipedia	vikip	N;NOM;MASC;SG	
blakus	yanında	blakus	yan	ADV	ADJ;ESS;SG;3
blakus	bitişik	blakus	bitişik	ADV	
arhitektūras	mimari	arhitektūra	mimar	N;NOM;FEM;PL	
strādāt	çalışan	strādāt	çalış	V;POS;NFIN	
kom	com	kas	com		
japāņu	japonlar	japānis	japon	N;GEN;MASC;PL	N;NOM;PL;3
japāņu	japon	japānis	japon	N;GEN;MASC;PL	
japāņu	japonca	japānis	japonca	N;GEN;MASC;PL	PROPN;NOM;SG;3
mūzika	music	mūzika	music	N;NOM;FEM;SG	
mūzika	müzik	mūzika	müzik	N;NOM;FEM;SG	
province	il	province	il	N;NOM;FEM;SG	
padome	konsey	padome	konsey	N;NOM;FEM;SG	
padome	konseyi	padome	konse	N;NOM;FEM;SG	
itāļu	italyanca	itālis	italyanca	N;GEN;MASC;PL	ADV
itāļu	italyan	itālis	italyan	N;GEN;MASC;PL	
naudas	para	nauda	para	N;NOM;FEM;PL	
iso	iso	ist	iso	N	
svētku	senlik	svētki	senlik	N;NOM;MASC	
vācija	almanya	vācija	al	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
aleksandra	alexandra	aleksandrs	alefandr	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
aleksandra	aleksandra	aleksandrs	aleksan	PROPN;NOM;FEM;SG	
vārtsargs	kaleci	vārtsargs	kaleci	N;NOM;MASC;SG	
kuģis	gemi	kuģis	gemi	N;NOM;MASC;SG	
kuģis	gemi	kuģis	gemi	N;NOM;MASC;SG	
die	öl	die	öl		
die	geber	die	geber		
iet	yürüyüş	iet	yürüyüş	V;POS;FIN	
marta	marta	marts	marta	N;GEN;MASC;SG	
marta	martha	marts	martha	N;GEN;MASC;SG	
marta	mart	marts	mart	N;GEN;MASC;SG	
marta	marş	marts	marş	N;GEN;MASC;SG	
marta	yürüyüş	marts	yürüyüş	N;GEN;MASC;SG	
mūziķis	müzisyen	mūziķis	müzisyen	N;NOM;MASC;SG	
provinces	illeri	province	il	N;NOM;FEM;PL	N;ACC;PL;3
klubi	kulüpleri	klubi	kulüp	N;NOM;MASC;PL	N;ACC;PL;3
nikolajs	nikolai	nikolajs	nikolai	ADJ;NOM;MASC;SG	PROPN;NOM;SG;3
nikolajs	nicholas	nikolajs	nicholas	ADJ;NOM;MASC;SG	
nikolajs	nikolay	nikolajs	nikolay	ADJ;NOM;MASC;SG	
vara	bakır	vara	bakır	N;NOM;FEM;SG	
vara	power	vara	power	N;NOM;FEM;SG	
vara	güç	vara	güç	N;NOM;FEM;SG	
nacionālais	millî	nacionāls	millî	ADJ;NOM;MASC;SG	
nacionālais	national	nacionāls	national	ADJ;NOM;MASC;SG	N;DAT;SG;3
nacionālais	ulusal	nacionāls	ulusal	ADJ;NOM;MASC;SG	
profesors	profesör	profesors	profesör	N;NOM;MASC;SG	
beidza	çıkmış	beigt	çık	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;NFH;IND;SG;3;POS;PST
organizācija	kuruluş	organizācija	kuruluş	N;NOM;FEM;SG	
organizācija	örgüt	organizācija	örgüt	N;NOM;FEM;SG	
organizācija	örgütü	organizācija	örgüt	N;NOM;FEM;SG	
organizācija	kuruluş	organizācija	kuruluş	N;NOM;FEM;SG	
organizācija	örgüt	organizācija	örgüt	N;NOM;FEM;SG	
wiki	wiki	wiks	wiki	N	
nākamais	sonraki	nākt	sonraki	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	
nākamais	sırada	nākt	sıra	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	N;ESS;SG;3
nākamais	sıradaki	nākt	sıradaki	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	
naktī	gece	nakts	gece	N;ESS;FEM;SG	N;NOM;SG;3
naktī	geceler	nakts	gece	N;ESS;FEM;SG	N;NOM;PL;3
naktī	night	nakts	night	N;ESS;FEM;SG	
kauja	savas	kauja	savas	N;NOM;FEM;SG	
orbītā	yörünge	orbīta	yörünge	N;ESS;FEM;SG	
atbilst	eşleşme	atbilst	eşleş	V;IMP;2;POS;FIN;ACT	
atbilst	maçlar	atbilst	maç	V;IMP;2;POS;FIN;ACT	N;NOM;PL;3
atbilst	kibrit	atbilst	kibrit	V;IMP;2;POS;FIN;ACT	
atbilst	eşleşme	atbilst	eşleş	V;IMP;2;POS;FIN;ACT	
atbilst	karşılaşma	atbilst	karşılaşma	V;IMP;2;POS;FIN;ACT	
atbilst	kibrit	atbilst	kibrit	V;IMP;2;POS;FIN;ACT	
atbilst	maç	atbilst	maç	V;IMP;2;POS;FIN;ACT	N;NOM;SG;3
līguma	sözleşme	līgums	sözleşme	N;GEN;MASC;SG	
līguma	sözleşmesi	līgums	sözleşme	N;GEN;MASC;SG	N;NOM;SG;3
līguma	kontrat	līgums	kontrat	N;GEN;MASC;SG	
reti	seyrek	reti	seyrek	ADV	
reti	ender	reti	ende	ADV	
reti	seyrek	reti	seyrek	ADV	
reti	nadir	reti	nadir	ADV	
reti	ender	reti	ende	ADV	
atpakaļ	geri	atpakaļ	geri	ADV	
atpakaļ	geriye	atpakaļ	geri	ADV	
atpakaļ	geri	atpakaļ	geri	ADV	
atpakaļ	arka	atpakaļ	arka	ADV	
aug	büyüyen	augt	büyü	V;FH;IND;3;POS;PRS;FIN;ACT	
aug	büyüme	augt	büyü	V;FH;IND;3;POS;PRS;FIN;ACT	
aug	yükselen	augt	yüksel	V;FH;IND;3;POS;PRS;FIN;ACT	
aug	büyür	augt	büyür	V;FH;IND;3;POS;PRS;FIN;ACT	
piešķirts	atandı	piešķirt	atan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
piešķirts	atanan	piešķirt	ata	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
piešķirts	ayrılan	piešķirt	ayrıl	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
piešķirts	tahsis	piešķirt	tahsis	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
dinastija	hanedanı	dinastija	hanedan	N;NOM;FEM;SG	N;INS;SG;3
sniega	kar	sniegs	kar	N;GEN;MASC;SG	
sniega	karlı	sniegs	karlı	N;GEN;MASC;SG	
sniega	pamuk	sniegs	pamuk	N;GEN;MASC;SG	
sniega	karlar	sniegs	kar	N;GEN;MASC;SG	N;NOM;PL;3
piekrastes	kıyı	piekraste	kıy	N;NOM;FEM;PL	
vladimirs	vladimir	vladimirs	vladimir	PROPN;NOM;MASC;SG	
punktus	nokta	punkts	nokta	N;ACC;MASC;PL	
punktus	noktalar	punkts	nokta	N;ACC;MASC;PL	N;NOM;PL;3
punktus	puan	punkts	pu	N;ACC;MASC;PL	
punktus	noktalar	punkts	nokta	N;ACC;MASC;PL	N;NOM;PL;3
punktus	puanlar	punkts	puan	N;ACC;MASC;PL	N;NOM;PL;3
rūpniecības	endüstriyel	rūpniecība	endüstriyel	N;NOM;FEM;PL	N;NOM;SG;3
rūpniecības	endüstri	rūpniecība	endüstri	N;NOM;FEM;PL	
rūpniecības	sanayii	rūpniecība	sanayii	N;NOM;FEM;PL	
rūpniecības	sanayi	rūpniecība	sanayi	N;NOM;FEM;PL	
skaņas	sound	skaņa	sound	N;NOM;FEM;PL	
skaņas	sesi	skaņa	ses	N;NOM;FEM;PL	N;NOM;SG;3
skaņas	ses	skaņa	ses	N;NOM;FEM;PL	N;NOM;SG;3
kalns	dağ	kalns	dağ	N;NOM;MASC;SG	
dzīve	life	dzīve	life	N;NOM;FEM;SG	
dzīve	hayat	dzīve	hayat	N;NOM;FEM;SG	
dzīve	ömür	dzīve	ömür	N;NOM;FEM;SG	
spēja	kapasite	spēja	kapasit	N;NOM;FEM;SG	
deju	dance	deja	dance	N;ACC;FEM;SG	
deju	dans	deja	dans	N;ACC;FEM;SG	N;NOM;SG;3
rada	yaratır	radīt	yarat	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS
māja	house	māja	hou	N;NOM;FEM;SG	PROPN;NOM;SG;3
marijas	marie	marija	marie	N;NOM;FEM;PL	
variants	varyantı	variants	varyantı	N;NOM;MASC;SG	
dānijas	danimarkalı	dānija	danimarkalı	PROPN;NOM;FEM;SG	ADJ
dānijas	poğaça	dānija	poğaç	PROPN;NOM;FEM;SG	N;NOM;SG;3
dānijas	danimarka	dānija	danim	PROPN;NOM;FEM;SG	
balss	sesli	balss	sesli	N;NOM;FEM;SG	
varbūt	belki	varbūt	belki	PART	ADV
varbūt	belki	varbūt	belki	PART	ADV
maija	mayalar	maijs	maya	N;GEN;MASC;SG	N;NOM;PL;3
maija	maya	maijs	maya	N;GEN;MASC;SG	
nosaukta	adında	nosaukt	ad	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	N;ESS;SG;3
romāns	romalı	romāns	romalı	N;NOM;MASC;SG	
romāns	roman	romāns	roman	N;NOM;MASC;SG	
romāns	roman	romāns	roman	N;NOM;MASC;SG	
sacelšanās	isyan	sacelšanās	isyan	N;NOM;FEM;SG	
sacelšanās	ayaklanma	sacelšanās	ayaklan	N;NOM;FEM;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
sacelšanās	ayaklanması	sacelšanās	ayakla	N;NOM;FEM;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
sacelšanās	ayaklanma	sacelšanās	ayaklan	N;NOM;FEM;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
