से	din	से	din		ADP;ACC
पार्टी	petrecere	पार्टी	petrecere	N;NOM;FEM;SG;3	N;INDF;FEM;SG
पार्टी	petrecand	पार्टी	petreca	N;NOM;FEM;SG;3	
पार्टी	petreceri	पार्टी	petrecere	N;NOM;FEM;SG;3	N;INDF;FEM;PL
हम	hum	हम	hum	PRO;NOM;PL;1	N;INDF;MASC;SG
रेलवे	ferate	रेलवे	ferată	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पश्चिम	west	पश्चिम	west	PROPN;NOM;MASC;SG;3	PROPN
पश्चिम	vest	पश्चिम	vest	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पश्चिम	occident	पश्चिम	occident	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पश्चिम	vestul	पश्चिम	vest	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
अंत	sfarsit	अंत	sfarsi	N;NOM;MASC;SG;3	
अंत	sfarsit	अंत	sfarsi	N;NOM;MASC;SG;3	
दशक	decada	दशक	decada	N;NOM;MASC;SG;3	N;DEF;FEM;SG
पूरी	intreg	पूरा	intreg	ADJ;NOM;FEM;SG	
पूरी	intreg	पूरा	intreg	ADJ;NOM;FEM;SG	
बिना	fara	बिना	fară	PART	
बिना	fara	बिना	fară	PART	
क्या	ce	क्या	ce	PRO	PRO;3
अगस्त	august	अगस्त	august	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अगस्त	aug	अगस्त	augi	PROPN;NOM;MASC;SG;3	
संबंध	relatii	संबंध	relatie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संबंध	relatiile	संबंध	relatie	N;NOM;MASC;SG;3	N;DEF;FEM;PL
संबंध	relatii	संबंध	relatie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संबंध	relatia	संबंध	relatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संबंध	relatie	संबंध	relatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संबंध	relatie	संबंध	relatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संबंध	relatii	संबंध	relatie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संबंध	relatiile	संबंध	relatie	N;NOM;MASC;SG;3	N;DEF;FEM;PL
संबंध	relatii	संबंध	relatie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संबंध	lipire	संबंध	lipire	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संबंध	lipirea	संबंध	lipire	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संबंध	unire	संबंध	unire	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रदर्शन	performante	प्रदर्शन	performant	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रदर्शन	performanta	प्रदर्शन	performant	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रदर्शन	performanta	प्रदर्शन	performant	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रदर्शन	performanta	प्रदर्शन	performant	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रदर्शन	spectacole	प्रदर्शन	spectacol	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रदर्शन	afisare	प्रदर्शन	afisare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रदर्शन	afiseaza	प्रदर्शन	afisea	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
प्रदर्शन	expunere	प्रदर्शन	expunere	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रदर्शन	expunerea	प्रदर्शन	expunere	N;NOM;MASC;SG;3	N;DEF;FEM;SG
मार्ग	ruta	मार्ग	ruta	N;NOM;MASC;SG;3	N;DEF;FEM;SG
मार्ग	ruta	मार्ग	ruta	N;NOM;MASC;SG;3	N;DEF;FEM;SG
मार्ग	traseul	मार्ग	traseu	N;NOM;MASC;SG;3	N;DEF;MASC;SG
पर्यटन	turismul	पर्यटन	turism	N;NOM;MASC;SG;3	N;DEF;MASC;SG
ज्ञान	cunostinte	ज्ञान	cunoaște	N;NOM;MASC;SG;3	
ज्ञान	cunostinte	ज्ञान	cunoaște	N;NOM;MASC;SG;3	
लगा	simtit	लगा	simți	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
लगा	simtit	लगा	simți	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
दिसम्बर	decembrie	दिसम्बर	decembrie	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दिसम्बर	dec	दिसम्बर	dec	PROPN;NOM;MASC;SG;3	N;INDF;MASC
प्रदर्शित	afisata	प्रदर्शित	afisat	ADJ	N;DEF;FEM;SG
प्रदर्शित	afisare	प्रदर्शित	afisare	ADJ	N;INDF;FEM;SG
प्रदर्शित	afiseaza	प्रदर्शित	afisea	ADJ	V;IND;SG;3;IPFV;FIN
सहायता	ajuta	सहायता	ajuta	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
सहायता	sprijinul	सहायता	sprijin	N;NOM;FEM;SG;3	N;DEF;MASC;SG
सहायता	ajutoare	सहायता	ajutor	N;NOM;FEM;SG;3	N;INDF;FEM;PL
सहायता	asistenta	सहायता	asistentă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
सहायता	asistenta	सहायता	asistentă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
पहला	primii	पहला	prim	ADJ;NOM;MASC;SG	NUM;DEF;MASC;PL
पहला	prima	पहला	prim	ADJ;NOM;MASC;SG	NUM;DEF;FEM;SG
पहला	primul	पहला	prim	ADJ;NOM;MASC;SG	NUM;DEF;MASC;SG
मृत्यु	moartea	मृत्यु	moarte	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मृत्यु	moarte	मृत्यु	moarte	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मृत्यु	mortalitate	मृत्यु	mortalitate	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मृत्यु	mortalitatea	मृत्यु	mortalitate	N;NOM;FEM;SG;3	N;DEF;FEM;SG
स्वयं	proprie	स्वयं	propriu		ADJ;INDF;FEM;SG
स्वयं	proprii	स्वयं	propriu		ADJ;INDF;PL
विकिपीडिया	wiki	विकिपीडिया	wiki	PROPN;NOM;MASC;SG;3	
विकिपीडिया	wikipedia	विकिपीडिया	wikipedia	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
तैयार	gata	तैयार	gata	ADJ	ADV
आवश्यक	obligatoriu	आवश्यक	obligatoriu	ADJ	ADV
आवश्यक	necesar	आवश्यक	necesar	ADJ	ADV
आवश्यक	urgent	आवश्यक	urgent	ADJ	N;INDF;MASC;SG
आवश्यक	urgenta	आवश्यक	urgent	ADJ	N;DEF;FEM;SG
देखा	urmarit	देख	urmarit	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखा	urmarita	देख	urmarita	V;PFV;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
देखा	privit	देख	privi	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखा	supravegheata	देख	supravegheat	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
देखा	vazute	देख	vazut	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;FEM;PL
देखा	vazut	देख	vaz	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखा	vazut	देख	vaz	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखा	vazuta	देख	vazut	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
देखा	vazut	देख	vaz	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखा	fierastrau	देख	fierastra	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PL;3;IPFV;FIN
देखा	ferastrau	देख	ferastra	V;PFV;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
उत्पादन	producere	उत्पादन	producere	N;NOM;MASC;SG;3	N;INDF;FEM;SG
उत्पादन	productie	उत्पादन	productie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
उत्पादन	productia	उत्पादन	productie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
उत्पादन	productie	उत्पादन	productie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
रोग	boala	रोग	boală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
रोग	boli	रोग	boală	N;NOM;MASC;SG;3	N;INDF;FEM;PL
रोग	boala	रोग	boală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
शताब्दी	secolul	शताब्दी	secol	N;NOM;FEM;SG;3	N;DEF;MASC;SG
शताब्दी	century	शताब्दी	century	N;NOM;FEM;SG;3	PROPN
चीन	china	चीन	chină	PROPN;NOM;MASC;SG;3	PROPN
अभी	acum	अभी	acum	PRO;NOM	ADV
संघ	uniunea	संघ	uniune	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	uniunii	संघ	uniune	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	uniune	संघ	uniune	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संघ	sindicatelor	संघ	sindicat	N;NOM;MASC;SG;3	N;DEF;FEM;PL
संघ	uniuni	संघ	uniune	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संघ	sindicatele	संघ	sindicat	N;NOM;MASC;SG;3	N;DEF;FEM;PL
संघ	sindicate	संघ	sindicat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संघ	federatiei	संघ	federatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	federatia	संघ	federatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	federatia	संघ	federatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	asociatia	संघ	asociatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	asociatia	संघ	asociatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	asociatie	संघ	asociatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संघ	asocierea	संघ	asociere	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संघ	asociere	संघ	asociere	N;NOM;MASC;SG;3	N;INDF;FEM;SG
यात्रा	calatorii	यात्रा	calator	N;NOM;FEM;SG;3	N;INDF;FEM;PL
यात्रा	calatorie	यात्रा	calatorie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
यात्रा	calatorie	यात्रा	calatorie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
यात्रा	calatorie	यात्रा	calatorie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
यात्रा	excursie	यात्रा	excursie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
यात्रा	calatorie	यात्रा	calatorie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मात्रा	suma	मात्रा	sumă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मात्रा	cantitate	मात्रा	cantitate	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मात्रा	suma	मात्रा	sumă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मात्रा	cantitatea	मात्रा	cantitate	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मात्रा	cantitate	मात्रा	cantitate	N;NOM;FEM;SG;3	N;INDF;FEM;SG
रचना	crearea	रच	creare	PROPN;NOM;FEM;SG;3	N;DEF;FEM;SG
रचना	creatie	रच	creatie	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
रचना	creare	रच	creare	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
रचना	compozitia	रच	compozitie	PROPN;NOM;FEM;SG;3	N;DEF;FEM;SG
रचना	compozitia	रच	compozitie	PROPN;NOM;FEM;SG;3	N;DEF;FEM;SG
रचना	compozitie	रच	compozitie	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
जगह	locul	जगह	loc	N;NOM;FEM;SG;3	N;DEF;MASC;SG
जगह	spatiul	जगह	spatiu	N;NOM;FEM;SG;3	N;DEF;MASC;SG
जगह	spatiul	जगह	spatiu	N;NOM;FEM;SG;3	N;DEF;MASC;SG
भिन्न	discrete	भिन्न	discret	ADP	ADJ;INDF;FEM;PL
भिन्न	discret	भिन्न	discret	ADP	ADJ;INDF;MASC;SG
भिन्न	discreta	भिन्न	discreta	ADP	ADJ;DEF;FEM;SG
भिन्न	diferit	भिन्न	diferit	ADP	ADJ;INDF;MASC;SG
भिन्न	diferite	भिन्न	diferit	ADP	ADJ;INDF;FEM;PL
भिन्न	diferita	भिन्न	diferita	ADP	ADJ;DEF;FEM;SG
भिन्न	diferita	भिन्न	diferita	ADP	ADJ;DEF;FEM;SG
लोक	loka	लोक	lokă	N;NOM;MASC;SG;3	
लोक	publice	लोक	public	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
लोक	public	लोक	public	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
लोक	publica	लोक	publica	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
सब	sab	सब	sab	N;NOM;MASC;SG;3	
सब	toti	सब	toti	N;NOM;MASC;SG;3	
सब	toti	सब	toti	N;NOM;MASC;SG;3	
सब	toate	सब	tot	N;NOM;MASC;SG;3	PRO;FEM;PL;3
सब	tot	सब	tot	N;NOM;MASC;SG;3	PRO;MASC;SG;3
पूरा	finalizata	पूरा	finalizat	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
पूरा	plina	पूरा	plină	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
पूरा	full	पूरा	full	ADJ;NOM;MASC;SG	
पूरा	plin	पूरा	plin	ADJ;NOM;MASC;SG	ADV
पूरा	plina	पूरा	plină	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
पूरा	intreg	पूरा	intreg	ADJ;NOM;MASC;SG	
पूरा	intreg	पूरा	intreg	ADJ;NOM;MASC;SG	
पूरा	completa	पूरा	completa	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
पूरा	completa	पूरा	completa	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
पूरा	complete	पूरा	complet	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
पूरा	complet	पूरा	complet	ADJ;NOM;MASC;SG	ADV
आवश्यकता	cerinta	आवश्यकता	cerintă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
आवश्यकता	cerinta	आवश्यकता	cerintă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
आवश्यकता	necesita	आवश्यकता	necesita	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
आवश्यकता	necesita	आवश्यकता	necesita	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
प्रकाश	lumina	प्रकाश	lumină	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रकाश	light	प्रकाश	light	PROPN;NOM;MASC;SG;3	
प्रकाश	lumina	प्रकाश	lumină	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रकाश	prakash	प्रकाश	prakash	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रकाश	lumini	प्रकाश	lumină	PROPN;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रकाश	luminile	प्रकाश	lumină	PROPN;NOM;MASC;SG;3	N;DEF;FEM;PL
नई	noua	नया	nou	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
नई	noi	नया	eu	ADJ;NOM;FEM;SG	PRO;PL;1
नई	noua	नया	nou	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
चिकित्सा	medical	चिकित्सा	medical	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
चिकित्सा	medicala	चिकित्सा	medicală	N;NOM;FEM;SG;3	N;DEF;FEM;SG
चिकित्सा	medicale	चिकित्सा	medical	N;NOM;FEM;SG;3	ADJ;INDF;FEM;PL
चिकित्सा	terapie	चिकित्सा	terapie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
चिकित्सा	terapia	चिकित्सा	terapie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
कार्यक्रम	programe	कार्यक्रम	program	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्यक्रम	programele	कार्यक्रम	program	N;NOM;MASC;SG;3	N;DEF;FEM;PL
कार्यक्रम	evenimentele	कार्यक्रम	eveniment	N;NOM;MASC;SG;3	N;DEF;FEM;PL
कार्यक्रम	evenimente	कार्यक्रम	eveniment	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्यक्रम	programul	कार्यक्रम	program	N;NOM;MASC;SG;3	N;DEF;MASC;SG
कार्यक्रम	evenimentul	कार्यक्रम	eveniment	N;NOM;MASC;SG;3	N;DEF;MASC;SG
कार्यक्रम	programul	कार्यक्रम	program	N;NOM;MASC;SG;3	N;DEF;MASC;SG
पुराने	batran	पुराना	batran	ADJ;MASC;PL	N;INDF;MASC;SG
पुराने	vechi	पुराना	vechi	ADJ;MASC;PL	ADJ;INDF;MASC;SG
पुराने	old	पुराना	old	ADJ;MASC;PL	N;INDF;MASC;SG
पुराने	veche	पुराना	vechi	ADJ;MASC;PL	ADJ;INDF;FEM;SG
पुराने	batrane	पुराना	batran	ADJ;MASC;PL	N;INDF;FEM;PL
सदी	secolul	सदी	secol	PROPN;NOM;FEM;SG;3	N;DEF;MASC;SG
सदी	secol	सदी	secol	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
सदी	century	सदी	century	PROPN;NOM;FEM;SG;3	PROPN
भगवान	doamne	भगवान	domn	N;NOM;MASC;SG;3	
भगवान	dumnezeu	भगवान	dumnezeu	N;NOM;MASC;SG;3	PROPN
लिखा	scrisa	लिख	scrisa	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
लिखा	scris	लिख	scris	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
लिखा	scrisa	लिख	scrisa	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
संस्थान	institut	संस्थान	institut	N;NOM;MASC;PL;3	N;INDF;MASC;SG
संस्थान	institutul	संस्थान	institut	N;NOM;MASC;PL;3	N;DEF;MASC;SG
संस्थान	institutele	संस्थान	institut	N;NOM;MASC;PL;3	N;DEF;FEM;PL
संस्कृति	cultura	संस्कृति	cultură	N;NOM;FEM;SG;3	N;DEF;FEM;SG
संस्कृति	cultura	संस्कृति	cultură	N;NOM;FEM;SG;3	N;DEF;FEM;SG
अंग्रेज़ी	engleza	अंग्रेजी	engleza	PROPN;NOM;FEM;SG;3	N;DEF;FEM;SG
अंग्रेज़ी	engleza	अंग्रेजी	engleza	PROPN;NOM;FEM;SG;3	N;DEF;FEM;SG
अंग्रेज़ी	romanian	अंग्रेजी	romanian	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
पूर्ण	perfect	पूर्ण	perfect	PROPN;NOM;MASC;SG;3	ADV
पूर्ण	perfecte	पूर्ण	perfect	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
पूर्ण	perfecta	पूर्ण	perfecta	PROPN;NOM;MASC;SG;3	
पूर्ण	perfecta	पूर्ण	perfecta	PROPN;NOM;MASC;SG;3	
पूर्ण	plina	पूर्ण	plină	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
पूर्ण	full	पूर्ण	full	PROPN;NOM;MASC;SG;3	
पूर्ण	plin	पूर्ण	plin	PROPN;NOM;MASC;SG;3	ADV
पूर्ण	plina	पूर्ण	plină	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
पूर्ण	completa	पूर्ण	completa	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
पूर्ण	completa	पूर्ण	completa	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
पूर्ण	complete	पूर्ण	complet	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
पूर्ण	complet	पूर्ण	complet	PROPN;NOM;MASC;SG;3	ADV
पूर्ण	incheiat	पूर्ण	incheia	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
पूर्ण	finalizat	पूर्ण	finaliza	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
पूर्ण	completat	पूर्ण	completa	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
पूर्ण	finalizata	पूर्ण	finalizat	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
परिवर्तन	conversie	परिवर्तन	conversie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
परिवर्तन	conversia	परिवर्तन	conversie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
परिवर्तन	tranzitie	परिवर्तन	tranzitie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
परिवर्तन	tranzitia	परिवर्तन	tranzitie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
परिवर्तन	modificari	परिवर्तन	modificare	N;NOM;MASC;SG;3	
परिवर्तन	schimbari	परिवर्तन	schimbari	N;NOM;MASC;SG;3	N;INDF;FEM;PL
परिवर्तन	modificari	परिवर्तन	modificare	N;NOM;MASC;SG;3	
परिवर्तन	schimbari	परिवर्तन	schimbari	N;NOM;MASC;SG;3	N;INDF;FEM;PL
परिवर्तन	transformarea	परिवर्तन	transformare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
परिवर्तन	transformare	परिवर्तन	transformare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
परिवर्तन	schimba	परिवर्तन	schimba	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
परिवर्तन	schimbare	परिवर्तन	schimbare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
परिवर्तन	schimba	परिवर्तन	schimba	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
परिवर्तन	schimbarea	परिवर्तन	schimbare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
टीम	echipele	टीम	echipă	N;NOM;FEM;SG;3	N;DEF;FEM;PL
टीम	echipe	टीम	echipă	N;NOM;FEM;SG;3	N;INDF;FEM;PL
टीम	echipa	टीम	echipă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
टीम	echipa	टीम	echipă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
चर्चा	discutii	चर्चा	discut	N;NOM;FEM;SG;3	N;INDF;FEM;PL
चर्चा	discutie	चर्चा	discutie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
चर्चा	discutie	चर्चा	discutie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
चर्चा	discutii	चर्चा	discut	N;NOM;FEM;SG;3	N;INDF;FEM;PL
चर्चा	discutie	चर्चा	discutie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
संगठन	organizare	संगठन	organizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संगठन	organizatia	संगठन	organizatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संगठन	organizatie	संगठन	organizatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संगठन	organizare	संगठन	organizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संगठन	organizatia	संगठन	organizatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संगठन	organizarea	संगठन	organizare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संगठन	organizatie	संगठन	organizatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संगठन	organizatii	संगठन	organizat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संगठन	organizatii	संगठन	organizat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अगर	agar	अगर	agar	CONJ	
शैली	stilul	शैली	stil	N;NOM;FEM;SG;3	N;DEF;MASC;SG
शैली	shelly	शैली	shelly	N;NOM;FEM;SG;3	PROPN
तुलना	comparatia	तुलना	comparatie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
तुलना	comparatie	तुलना	comparatie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
तुलना	comparatie	तुलना	comparatie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
तुलना	comparatie	तुलना	comparatie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
तुलना	compararea	तुलना	comparare	N;NOM;FEM;SG;3	N;DEF;FEM;SG
स्कूल	scoli	स्कूल	scoli	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्कूल	scoli	स्कूल	scoli	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्कूल	scoala	स्कूल	scoală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
स्कूल	scoala	स्कूल	scoală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
स्कूल	scoala	स्कूल	scoală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
स्कूल	scoala	स्कूल	scoală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
स्कूल	scoala	स्कूल	scoală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
पुस्तक	cartii	पुस्तक	carte	N;NOM;FEM;SG;3	N;DEF;FEM;SG
पुस्तक	cartea	पुस्तक	carte	N;NOM;FEM;SG;3	N;DEF;FEM;SG
पुस्तक	carte	पुस्तक	carte	N;NOM;FEM;SG;3	N;INDF;FEM;SG
लेखक	scriitorul	लेखक	scriitor	N;NOM;MASC;SG;3	N;DEF;MASC;SG
लेखक	scriitoare	लेखक	scriitor	N;NOM;MASC;SG;3	ADJ;INDF;FEM
लेखक	autori	लेखक	autor	N;NOM;MASC;SG;3	N;INDF;MASC;PL
लेखक	autorilor	लेखक	autor	N;NOM;MASC;SG;3	N;DEF;MASC;PL
लेखक	autorii	लेखक	autor	N;NOM;MASC;SG;3	N;DEF;MASC;PL
लेखक	scriitorii	लेखक	scriitor	N;NOM;MASC;SG;3	N;DEF;MASC;PL
लेखक	scriitorilor	लेखक	scriitor	N;NOM;MASC;SG;3	N;DEF;MASC;PL
लेखक	scriitori	लेखक	scriitor	N;NOM;MASC;SG;3	N;INDF;MASC;PL
लेखक	autorul	लेखक	autor	N;NOM;MASC;SG;3	N;DEF;MASC;SG
संस्करण	editia	संस्करण	editie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संस्करण	editie	संस्करण	editie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संस्करण	editie	संस्करण	editie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संस्करण	editie	संस्करण	editie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संस्करण	editia	संस्करण	editie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संस्करण	versiunile	संस्करण	versiune	N;NOM;MASC;SG;3	N;DEF;FEM;PL
संस्करण	versiuni	संस्करण	versiune	N;NOM;MASC;SG;3	N;INDF;FEM;PL
संस्करण	versiunea	संस्करण	versiune	N;NOM;MASC;SG;3	N;DEF;FEM;SG
संस्करण	versiune	संस्करण	versiune	N;NOM;MASC;SG;3	N;INDF;FEM;SG
संस्करण	editii	संस्करण	editie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
खिलाड़ी	jucatori	खिलाडी	jucator	N;NOM;MASC;SG;3	N;INDF;MASC;PL
खिलाड़ी	jucatori	खिलाडी	jucator	N;NOM;MASC;SG;3	N;INDF;MASC;PL
खिलाड़ी	jucatorii	खिलाडी	jucator	N;NOM;MASC;SG;3	N;DEF;MASC;PL
खिलाड़ी	sportiv	खिलाडी	sportiv	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
खिलाड़ी	jucatorul	खिलाडी	jucator	N;NOM;MASC;SG;3	N;DEF;MASC;SG
ट्रेन	trenul	ट्रेन	tren	N;NOM;FEM;SG;3	N;DEF;MASC;SG
ट्रेन	trenurile	ट्रेन	tren	N;NOM;FEM;SG;3	N;DEF;FEM;PL
ट्रेन	trenuri	ट्रेन	tren	N;NOM;FEM;SG;3	N;INDF;FEM;PL
