monarchie	monarchia	monarchie	monarchia	PROPN	N;NOM;FEM;SG
theoretisch	teoria	theoretisch	teoria	ADJ	N;NOM;FEM;SG
robinson	robinson	robinson	robinson	PROPN;NOM;SG	N;NOM;MASC;SG
decken	koce	decken	koc	V;NFIN	N;NOM;MASC;PL
decken	okładki	decken	okładka	V;NFIN	N;ACC;FEM;PL
decken	okładka	decken	okładka	V;NFIN	N;NOM;FEM;SG
decken	pokrycie	decken	pokrycie	V;NFIN	
hop	hop	hopen	hop	PROPN;NOM;SG	
legend	legendę	legend	legenda	ADJ	N;ACC;FEM;SG
legend	legendy	legend	legenda	ADJ	
legend	legend	legend	legend	ADJ	
legend	legenda	legend	legenda	ADJ	N;NOM;FEM;SG
wünsche	życzymy	wünschen	życzyć	;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
wünsche	życzy	wünschen	życzyć	;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
wünsche	życzenie	wünschen	życzenie	;SG	N;NOM;NEUT;SG
wünsche	życzę	wünschen	życzyć	;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
wünsche	życzenia	wünschen	życzyć	;SG	N;NOM;NEUT;PL
wünsche	życzy	wünschen	życzyć	;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
wünsche	życzeń	wünschen	życzenie	;SG	N;GEN;NEUT;PL
wünsche	pragnienia	wünschen	pragnienie	;SG	N;NOM;NEUT;PL
wünsche	pragnień	wünschen	pragnienie	;SG	N;GEN;NEUT;PL
dennis	dennisa	dennis	dennis	PROPN;NOM;MASC;SG	N;ACC;MASC;SG
dennis	dennis	dennis	dennis	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
nachbarn	sąsiadów	nachbarn	sąsiad	ADJ	N;ACC;MASC;PL
nachbarn	sąsiedzi	nachbarn	sąsiad	ADJ	N;NOM;MASC;PL
nachbarn	sąsiada	nachbarn	sąsiad	ADJ	N;ACC;MASC;SG
nachbarn	sąsiad	nachbarn	sąsiad	ADJ	N;NOM;MASC;SG
nachbarn	sąsiadka	nachbarn	sąsiadka	ADJ	N;NOM;FEM;SG
nachbarn	sąsiadów	nachbarn	sąsiad	ADJ	N;ACC;MASC;PL
nachbarn	sąsiadami	nachbarn	sąsiad	ADJ	N;INS;FEM;PL
nachbarn	sąsiedzi	nachbarn	sąsiad	ADJ	N;NOM;MASC;PL
nachbarn	sąsiad	nachbarn	sąsiad	ADJ	N;NOM;MASC;SG
nachbarn	sąsiadka	nachbarn	sąsiadka	ADJ	N;NOM;FEM;SG
ernährung	żywieniowe	Ernährung	żywieniowy	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
ernährung	odżywiania	Ernährung	odżywiać	N;NOM;FEM;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
ernährung	żywieniu	Ernährung	żywienie	N;NOM;FEM;SG	N;DAT;NEUT;SG
ernährung	dietetyczne	Ernährung	dietetyczny	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
ernährung	diety	Ernährung	dieta	N;NOM;FEM;SG	N;GEN;FEM;SG
ernährung	odżywcze	Ernährung	odżywczy	N;NOM;FEM;SG	
ernährung	odżywczych	Ernährung	odżywczy	N;NOM;FEM;SG	ADJ;GEN;MASC;PL
ernährung	diety	Ernährung	dieta	N;NOM;FEM;SG	N;GEN;FEM;SG
bologna	bolonii	bologna	bolonia	PROPN	PROPN;NOM;FEM;SG
vergleichen	porównania	vergleichen	porównanie	V;NFIN	N;NOM;NEUT;SG
vergleichen	porównań	vergleichen	porównanie	V;NFIN	N;GEN;NEUT;PL
vergleichen	porównanie	vergleichen	porównać	V;NFIN	N;NOM;NEUT;SG
vergleichen	diff	vergleichen	diff	V;NFIN	
vergleichen	różnica	vergleichen	różnica	V;NFIN	N;NOM;FEM;SG
vergleichen	porównywanie	vergleichen	porównywać	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
vergleichen	porównania	vergleichen	porównanie	V;NFIN	N;NOM;NEUT;SG
vergleichen	porównywanie	vergleichen	porównywać	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
vergleichen	porównanie	vergleichen	porównać	V;NFIN	N;NOM;NEUT;SG
björn	bjorn	björn	bjorny	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
björn	björn	björn	bjórny	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
lebensweise	lifestyle	lebensweise	lifestyla	N	
gestrichen	usunięte	gestrechen	usunąć	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gestrichen	usunięta	gestrechen	usunąć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
gestrichen	usunięty	gestrechen	usunąć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gestrichen	odwołane	gestrechen	odwołać	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gestrichen	odwołany	gestrechen	odwołać	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gestrichen	anulowane	gestrechen	anulować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gestrichen	malowane	gestrechen	malować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gestrichen	zniesione	gestrechen	znieść	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gestrichen	odwołany	gestrechen	odwołać	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gestrichen	odwołane	gestrechen	odwołać	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gestrichen	anulowane	gestrechen	anulować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
kolumbien	columbia	kolumbien	columbiać	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG
kolumbien	kolumbia	kolumbien	kolumbia	PROPN;NOM;NEUT;SG	V;IPFV;IND;SG;PRS;FIN;ACT
kolumbien	kolumbii	kolumbien	kolumbia	PROPN;NOM;NEUT;SG	
kolumbien	kolumbia	kolumbien	kolumbia	PROPN;NOM;NEUT;SG	V;IPFV;IND;SG;PRS;FIN;ACT
tafel	tablicy	tafel	tablica		N;GEN;FEM;SG
tafel	tablica	tafel	tablica		N;NOM;FEM;SG
verabschiedet	przyjęty	verabschieden	przyjąć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
verabschiedet	przyjęta	verabschieden	przyjąć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
verabschiedet	adoptowany	verabschieden	adoptować	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
verabschiedet	przyjęte	verabschieden	przyjąć	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
geistliche	klerycy	geistlich	kleryk	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
geistliche	ksiądz	geistlich	ksiądz	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
geistliche	księdza	geistlich	ksiądz	ADJ;NOM;FEM;PL	N;ACC;MASC;SG
geistliche	kapłan	geistlich	kapłan	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
geistliche	księża	geistlich	ksiądz	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
geistliche	duchowy	geistlich	duchowy	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
geistliche	duchowego	geistlich	duchowy	ADJ;NOM;FEM;PL	ADJ;ACC;MASC;SG
geistliche	duchowym	geistlich	duchowy	ADJ;NOM;FEM;PL	ADJ;INS;MASC;SG
geistliche	duchowej	geistlich	duchowy	ADJ;NOM;FEM;PL	ADJ;GEN;FEM;SG
geistliche	duchowe	geistlich	duchowy	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
geistliche	kapłani	geistlich	kapłan	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
geistliche	księży	geistlich	ksiądz	ADJ;NOM;FEM;PL	
geistliche	księża	geistlich	ksiądz	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
geistliche	kler	geistlich	kler	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
download	pobieranie	download	pobieranie		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
download	pobrać	download	pobrać		V;PFV;NFIN;ACT
download	pobierz	download	pobrać		V;PFV;IMP;SG;2;FIN;ACT
dublin	dublinie	dublin	dublina	PROPN;NOM;SG	
dublin	dublina	dublin	dublina	PROPN;NOM;SG	
dublin	dublin	dublin	dublina	PROPN;NOM;SG	PROPN;NOM;MASC;SG
gabriele	gabriele	gabrielen	gabriel	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
planck	plancka	planck	plancki	PROPN;NOM;SG	ADJ;NOM;FEM;SG
fantasy	fantazji	fantasy	fantazja	PROPN	N;GEN;FEM;SG
fantasy	fantasy	fantasy	fantas	PROPN	
fantasy	fantazja	fantasy	fantazja	PROPN	N;NOM;FEM;SG
fantasy	fantazje	fantasy	fantazja	PROPN	N;NOM;FEM;PL
anerkannte	rozpoznał	anerkannt	rozpoznać	ADJ;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
springen	skok	springen	skok	V;NFIN	N;NOM;MASC;SG
springen	skok	springen	skok	V;NFIN	N;NOM;MASC;SG
springen	skok	springen	skok	V;NFIN	N;NOM;MASC;SG
springen	skoki	springen	skok	V;NFIN	N;NOM;MASC;PL
interessierte	zainteresowanych	interessieren	zainteresować	V;IND;SG;3;PST;FIN	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
interessierte	zainteresowane	interessieren	zainteresować	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
interessierte	zainteresowani	interessieren	zainteresować	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
interessierte	zainteresowana	interessieren	zainteresować	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
interessierte	zainteresowany	interessieren	zainteresować	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
aktivität	aktywność	aktivität	aktywność	ADJ	N;NOM;FEM;SG
aktivität	działalności	aktivität	działalność	ADJ	N;GEN;FEM;SG
aktivität	czynność	aktivität	czynność	ADJ	N;NOM;FEM;SG
aktivität	działalność	aktivität	działalność	ADJ	N;NOM;FEM;SG
aktivität	aktywności	aktivität	aktywność	ADJ	N;GEN;FEM;SG
ära	era	ära	era	N;NOM;FEM;SG	
ära	ery	ära	ery	N;NOM;FEM;SG	
luigi	luigi	luigi	luig	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
gedruckt	drukowane	drucken	drukować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gedruckt	wydrukowane	drucken	wydrukować	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
abteilungen	przegrody	abteilingen	przegroda	N;NOM;FEM;PL	N;ACC;FEM;SG
abteilungen	działy	abteilingen	dziać	N;NOM;FEM;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
abteilungen	departamentów	abteilingen	departament	N;NOM;FEM;PL	N;GEN;MASC;PL
abteilungen	działy	abteilingen	dziać	N;NOM;FEM;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
abteilungen	przedziały	abteilingen	przedział	N;NOM;FEM;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
abteilungen	przedziałów	abteilingen	przedział	N;NOM;FEM;PL	N;GEN;MASC;PL
störungen	usterki	störung	usterka	V;NFIN	N;ACC;FEM;PL
störungen	ingerencji	störung	ingerencja	V;NFIN	N;DAT;FEM;SG
störungen	zakłócenia	störung	zakłócenie	V;NFIN	N;NOM;NEUT;PL
störungen	zaburzenia	störung	zaburzyć	V;NFIN	N;NOM;NEUT;PL
ken	ken	Ken	ken	PROPN;NOM;MASC;SG	
ken	kena	Ken	kena	PROPN;NOM;MASC;SG	
sportarten	sport	sportarten	sport	V;NFIN	
sportarten	sport	sportarten	sport	V;NFIN	
sportarten	sporty	sportarten	sporty	V;NFIN	N;NOM;MASC;PL
sportarten	sportowe	sportarten	sportowy	V;NFIN	ADJ;NOM;NEUT;SG
halbe	połówki	halb	połówka	ADJ;NOM;FEM;PL	N;ACC;FEM;PL
halbe	pół	halb	pół	ADJ;NOM;FEM;PL	
halbe	połowa	halb	połowy	ADJ;NOM;FEM;PL	
louisiana	luizjany	louisiana	luizjany	PROPN;NOM;NEUT;SG	
erläutert	wyjaśnione	erläutern	wyjaśnić	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
taiwan	tajwan	taiwan	tajwan	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
taiwan	tajwanu	taiwan	tajwan	PROPN;NOM;MASC;SG	PROPN;GEN;MASC;SG
vorzeitig	przedwcześnie	vorzeitig	przedwcześnie	ADJ	ADV
vorzeitig	przedwczesne	vorzeitig	przedwczesny	ADJ	
vorzeitig	przedwcześnie	vorzeitig	przedwcześnie	ADJ	ADV
sturz	upadek	sturz	upadek		N;NOM;MASC;SG
sturz	upadku	sturz	upadek		N;GEN;MASC;SG
sturz	obalić	sturz	obalić		V;PFV;NFIN;ACT
sturz	spada	sturz	spadać		V;IPFV;IND;SG;3;PRS;FIN;ACT
sturz	falls	sturz	falls		N;NOM;MASC;SG
sturz	opada	sturz	opadać		V;IPFV;IND;SG;3;PRS;FIN;ACT
sturz	wodospad	sturz	wodospad		N;NOM;MASC;SG
sturz	upadek	sturz	upadek		N;NOM;MASC;SG
erweiterten	rozszerzonej	erweitern	rozszerzyć	V;IND;PL;3;PST;FIN	ADJ;PFV;GEN;FEM;SG;POS;V.PTCP;PASS
erweiterten	powiększone	erweitern	powiększyć	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
erweiterten	rozszerzona	erweitern	rozszerzyć	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
aufzeichnungen	records	aufzeichnangen	records	V;NFIN	
aufzeichnungen	rekordy	aufzeichnangen	rekorda	V;NFIN	N;NOM;MASC;PL
aufzeichnungen	zapisy	aufzeichnangen	zapis	V;NFIN	N;NOM;MASC;PL
aufzeichnungen	nagrania	aufzeichnangen	nagranie	V;NFIN	N;NOM;NEUT;PL
befestigt	wzmocnione	befestigen	wzmocnić	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
befestigt	dołączony	befestigen	dołączyć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
befestigt	załączony	befestigen	załączyć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
befestigt	dołączone	befestigen	dołączyć	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
administrative	administracyjna	administrativ	administracyjny	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
administrative	administracyjny	administrativ	administracyjny	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
administrative	administracyjne	administrativ	administracyjny	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
shakespeare	szekspira	shakespeare	szekspira	N;NOM;MASC;SG	
shakespeare	shakespeare	shakespeare	shakespeare	N;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
forst	leśnictwa	forsen	leśnictwo	PROPN;NOM;SG	N;GEN;NEUT;SG
forst	forst	forsen	forst	PROPN;NOM;SG	
forst	lasy	forsen	las	PROPN;NOM;SG	N;NOM;MASC;PL
forst	leśne	forsen	leśny	PROPN;NOM;SG	ADJ;NOM;NEUT;SG
forst	lasu	forsen	las	PROPN;NOM;SG	N;GEN;MASC;SG
forst	leśny	forsen	leśny	PROPN;NOM;SG	ADJ;NOM;MASC;SG
forst	las	forsen	las	PROPN;NOM;SG	N;NOM;MASC;SG
hang	powiesić	hang	powiesić	N	V;PFV;NFIN;ACT
stadtmauer	mury	stadtmau	mur		N;NOM;MASC;PL
stadtmauer	ścian	stadtmau	ściana		
stadtmauer	ściany	stadtmau	ściana		N;ACC;FEM;PL
labor	laboratoria	labor	laboratoria		N;NOM;NEUT;PL
labor	laboratorium	labor	laboratorium		N;NOM;NEUT;SG
labor	laboratoryjne	labor	laboratoryjny		ADJ;NOM;NEUT;SG
labor	laboratorium	labor	laboratorium		N;NOM;NEUT;SG
samstag	soboty	samstag	sobota	ADV	N;NOM;FEM;PL
samstag	sobotę	samstag	sobota	ADV	N;ACC;FEM;SG
samstag	sobota	samstag	sobota	ADV	
samstag	soboty	samstag	sobota	ADV	N;NOM;FEM;PL
lehmann	lehmann	lehmann	lehmanny	PROPN;NOM;SG	PROPN;NOM;MASC;SG
classic	klasyk	classic	klasyk	PROPN	N;NOM;MASC;SG
classic	klasyka	classic	klasyka	PROPN	
classic	klasyczny	classic	klasyczny	PROPN	ADJ;NOM;MASC;SG
classic	classic	classic	classicie	PROPN	
classic	klasyczne	classic	klasyczny	PROPN	ADJ;NOM;NEUT;SG
wirtschafts	gospodarcza	wirtschafts	gospodarczy	PROPN	ADJ;NOM;FEM;SG
wirtschafts	ekonomiczne	wirtschafts	ekonomiczny	PROPN	ADJ;NOM;NEUT;SG
wirtschafts	gospodarcze	wirtschafts	gospodarczy	PROPN	ADJ;NOM;NEUT;SG
wirtschafts	ekonomiczna	wirtschafts	ekonomiczny	PROPN	ADJ;NOM;FEM;SG
wirtschafts	ekonomiczny	wirtschafts	ekonomiczny	PROPN	ADJ;NOM;MASC;SG
hiermit	niniejszym	hiermit	niniejszy	ADV	ADJ;INS;CMPR;MASC;SG
herausragende	wybitny	herausragend	wybitny	ADJ;NOM;FEM;PL	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
herausragende	zaległ	herausragend	zalec	ADJ;NOM;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
herausragende	wybitny	herausragend	wybitny	ADJ;NOM;FEM;PL	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
med	med	med	med		
schwäbisch	schwäbisch	schwäbisch	schwóbisch	ADJ	V;PFV;IND;SG;2;FIN;ACT
berühmt	znana	berühmt	znany	ADJ	V;IPFV;IND;SG;PRS;FIN;ACT
berühmt	znany	berühmt	znany	ADJ	V;IPFV;MASC;IND;SG;PST;FIN;ACT
berühmt	sława	berühmt	sława	ADJ	N;NOM;FEM;SG
berühmt	gwiazda	berühmt	gwiazda	ADJ	N;NOM;FEM;SG
berühmt	sława	berühmt	sława	ADJ	N;NOM;FEM;SG
berühmt	sławę	berühmt	sława	ADJ	N;ACC;FEM;SG
berühmt	sławy	berühmt	sława	ADJ	
berühmt	znana	berühmt	znany	ADJ	V;IPFV;IND;SG;PRS;FIN;ACT
restaurierung	odbudowa	restaurierung	odbudowy	N;NOM;FEM;SG	
restaurierung	przywrócenia	restaurierung	przywrócić	N;NOM;FEM;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
restaurierung	renowacji	restaurierung	renowacja	N;NOM;FEM;SG	N;GEN;FEM;SG
geehrt	zaszczyt	ehren	zaszczyt	V;V.PTCP	N;ACC;MASC;SG
jonas	jonas	jonas	jonas	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
jonas	jonah	jonas	jonah	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
umzug	przeprowadzki	umzugen	przeprowadzki	N;SG	N;NOM;FEM;PL
umzug	przeprowadzki	umzugen	przeprowadzki	N;SG	N;NOM;FEM;PL
umzug	parady	umzugen	parada	N;SG	
niedrigen	niska	niedrig	niska	ADJ	
niedrigen	low	niedrig	low	ADJ	
niedrigen	nisko	niedrig	nisko	ADJ	ADV
weichen	przełączniki	weichen	przełącznik	V;NFIN	N;NOM;MASC;PL
ansprechen	odpowiedź	ansprechen	odpowiedź	V;NFIN	N;NOM;FEM;SG
ansprechen	odpowiedzi	ansprechen	odpowiedź	V;NFIN	N;ACC;FEM;PL
ansprechen	reakcja	ansprechen	reakcja	V;NFIN	N;NOM;FEM;SG
ansprechen	reagowanie	ansprechen	reagować	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
gezielt	celowo	gezielt	celowo	ADJ	ADV
held	bohatera	held	bohatera	PROPN;SG	N;ACC;MASC;SG
held	hero	held	hero	PROPN;SG	
held	bohater	held	bohater	PROPN;SG	N;NOM;MASC;SG
held	bohaterze	held	bohatera	PROPN;SG	N;DAT;MASC;SG
kfz	samochodowe	kfz	samochodowy		ADJ;NOM;NEUT;SG
kfz	samochodowych	kfz	samochodowy		ADJ;GEN;MASC;PL
wüste	dziczy	wüst	dziczyć		N;GEN;FEM;SG
verkauften	sprzedane	verkaufen	sprzedać	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
verkauften	sprzedano	verkaufen	sprzedać	V;IND;PL;3;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
verkauften	sprzedany	verkaufen	sprzedać	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
verkauften	sprzedana	verkaufen	sprzedać	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
adolph	adolph	adolph	adolph	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
adolph	adolf	adolph	adolf	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
polizisten	gliny	polizist	glina	N;PL	
polizisten	policja	polizist	policja	N;PL	N;NOM;FEM;SG
polizisten	police	polizist	polic	N;PL	
polizisten	policji	polizist	policja	N;PL	N;GEN;FEM;SG
polizisten	policjant	polizist	policjant	N;PL	N;NOM;MASC;SG
mhz	mhz	mhz	mhz		
uci	uci	uci	ucieć	PROPN;NOM;SG	
carter	carter	carter	carter	PROPN;NOM;SG	
princeton	princeton	princeton	princeton	PROPN;NOM;SG	
tschechische	czech	tschechisch	czech	ADJ;NOM;FEM;PL	
tschechische	czeski	tschechisch	czeski	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
tschechische	czeskiej	tschechisch	czeski	ADJ;NOM;FEM;PL	ADJ;GEN;FEM;SG
tschechische	czeskie	tschechisch	czeski	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
tschechische	czeska	tschechisch	czeski	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
fortgesetzt	kontynuacja	fortsetzen	kontynuacja	V;V.PTCP	N;NOM;FEM;SG
fortgesetzt	dalszy	fortsetzen	daleki	V;V.PTCP	ADJ;NOM;CMPR;MASC;SG
politisches	politycznych	politisch	polityczny	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
atlanta	atlanta	atlanta	atlant	PROPN	N;NOM;MASC;SG
atlanta	atlanty	atlanta	atlant	PROPN	
atlanta	atlancie	atlanta	atlant	PROPN	N;DAT;MASC;SG
hip	hip	hip	hip	ADJ	
hip	biodra	hip	biodro	ADJ	N;NOM;NEUT;PL
hip	biodro	hip	biodro	ADJ	N;NOM;NEUT;SG
antwerpen	antwerpii	antwerpen	antwerpia		PROPN;NOM;MASC;SG
kaiserslautern	kaiserslautern	kaiserslaut	kaiserslauterny	PROPN;NOM;SG	N;NOM;MASC;SG
bks	bks	bks	bks	;SG	
invasion	inwazja	invasion	inwazja		N;NOM;FEM;SG
invasion	inwazji	invasion	inwazja		N;GEN;FEM;SG
antonius	anthony	antonius	anthon	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
antonius	antoni	antonius	antoni	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
antonius	antoniusz	antonius	antoniusz	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
muhammad	muhammad	muhammad	muhammad	PROPN;NOM;SG	N;NOM;MASC;SG
gegenwärtig	obecnie	gegenwärtig	obecnie	ADJ	ADV
gegenwärtig	aktualnie	gegenwärtig	aktualnie	ADJ	ADV
northern	północ	northern	północ	PROPN	N;NOM;FEM;SG
northern	północna	northern	północny	PROPN	
northern	północne	northern	północny	PROPN	ADJ;NOM;NEUT;SG
northern	północnej	northern	północny	PROPN	ADJ;GEN;FEM;SG
northern	północny	northern	północny	PROPN	N;ACC;MASC;SG
julian	julian	julian	julianin	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
julian	juliana	julian	juliany	PROPN;NOM;MASC;SG	
nil	nilu	nil	nil	PROPN;NOM;MASC;SG	
selbständige	niezależny	selbständig	niezależny	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
selbständige	niezależnych	selbständig	niezależny	ADJ;NOM;FEM;PL	ADJ;GEN;MASC;PL
selbständige	niezależni	selbständig	niezależni	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
selbständige	niezależna	selbständig	niezależny	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
selbständige	niezależne	selbständig	niezależny	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
alternativen	alternatywa	alternativ	alternatywa	ADJ	N;NOM;FEM;SG
alternativen	alternatywnie	alternativ	alternatywnie	ADJ	ADV
alternativen	alternatywy	alternativ	alternatywa	ADJ	N;ACC;FEM;PL
alternativen	alternatywa	alternativ	alternatywa	ADJ	N;NOM;FEM;SG
sant	sant	senen	sant	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
altenburg	altenburg	altenburg	altenburg	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG
bestritten	kwestionowane	bestreiten	kwestionować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
bestritten	spór	bestreiten	spór	V;V.PTCP	N;NOM;MASC;SG
bestritten	sporne	bestreiten	sporny	V;V.PTCP	
kiew	kijów	keißen	kij		N;GEN;MASC;PL
kiew	kijów	keißen	kij		N;GEN;MASC;PL
kiew	kijowie	keißen	kij		N;ACC;MASC;SG
hard	twardy	hard	twardy	PROPN	N;NOM;MASC;SG
hard	hard	hard	hard	PROPN	
hard	ciężko	hard	ciężko	PROPN	ADV
hard	twarde	hard	twardy	PROPN	
hard	twarda	hard	twarda	PROPN	N;NOM;FEM;SG
faust	pięścią	fausen	pięść		N;INS;FEM;SG
evans	evans	evans	evans	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
anlehnung	przynależność	anlehnung	przynależność	ADJ	N;NOM;FEM;SG
interessante	interesujące	interessant	interesujący	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
interessante	ciekawe	interessant	ciekawy	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
interessante	interesujący	interessant	interesujący	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
interessante	ciekawie	interessant	ciekawie	ADJ;NOM;FEM;PL	ADV
holding	trzymanie	holding	trzymać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
holding	gospodarstwa	holding	gospodarstwo		N;NOM;NEUT;SG
holding	gospodarstwo	holding	gospodarstwo		N;NOM;NEUT;SG
ausserdem	także	ausserdem	także	ADV	PART
ausserdem	też	ausserdem	też	ADV	PART
ausserdem	również	ausserdem	również	ADV	PART
apple	jabłko	applen	jabłko		N;NOM;NEUT;SG
apple	jabłka	applen	jabłka		N;NOM;NEUT;PL
schlage	sugerują	schlage	sugerować	V;SG;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
schwanz	ogon	schwanzen	ogon	N	
schwanz	tail	schwanzen	tail	N	
