το	на	ο	на	DET;NOM;DEF;NEUT;SG	ADP
τέταρτη	четвърти	τέταρτος	четвърти	NUM;NOM;FEM;SG	ADJ;INDF;MASC;SG
αιγαίου	егейско	αιγαίος	егейски	PROPN;GEN;NEUT;SG	ADV
χώρους	интервали	χώρος	интервам	N;ACC;MASC;PL	V;IPFV;INDF;PL;PST;V.PTCP;ACT
τούρκοι	турците	τούρκος	турчин	PROPN;NOM;MASC;PL	N;DEF;MASC;PL
τούρκοι	турци	τούρκος	турчин	PROPN;NOM;MASC;PL	N;INDF;MASC;PL
παραστάσεις	показва	παράσταση	показвам-(се)	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
περιοδικά	списанията	περιοδικά	списание	ADV	N;DEF;NEUT;PL
περιοδικά	списания	περιοδικά	списание	ADV	N;INDF;NEUT;PL
τεχνικές	техники	τεχνικός	техника	ADJ;NOM;FEM;PL	N;INDF;FEM;PL
αστέρας	звезден	αστέρα	звезден	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
τεχνολογία	технологии	τεχνολογία	технология	N;NOM;FEM;SG	N;INDF;FEM;PL
όπλα	оръжие	όπλο	оръжие	N;NOM;NEUT;PL	N;INDF;NEUT;SG
όπλα	оръжие	όπλο	оръжие	N;NOM;NEUT;PL	N;INDF;NEUT;SG
βασιλικό	базил	βασιλικός	базя-(се)	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
βασιλικό	босилек	βασιλικός	босилек	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
βασιλικό	роял	βασιλικός	роя-(се)	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
βασιλικό	кралско	βασιλικός	кралски	ADJ;NOM;NEUT;SG	ADV
βασιλικό	royal	βασιλικός	royal	ADJ;NOM;NEUT;SG	N
πάρκο	park	πάρκο	park	N;NOM;NEUT;SG	ADJ
ποίηση	стихове	ποίηση	стих	N;NOM;FEM;SG	N;INDF;MASC;PL
ανατολικό	източно	ανατολικός	източно	ADJ;NOM;NEUT;SG	ADV
ανατολικό	изток	ανατολικός	изток	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
ανατολικό	източно	ανατολικός	източно	ADJ;NOM;NEUT;SG	ADV
ανατολικό	източни	ανατολικός	източен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
ανατολικό	изток	ανατολικός	изток	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
ανατολικό	източен	ανατολικός	източа-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
διαστάσεις	измерение	διάσταση	измерение	N;NOM;FEM;PL	N;INDF;NEUT;SG
ασφάλεια	застраховки	ασφάλεια	застраховка	N;NOM;FEM;SG	N;INDF;FEM;PL
καθημερινή	ежедневно	καθημερινός	ежедневно	ADJ;NOM;FEM;SG	ADV
καθημερινή	дневно	καθημερινός	дневен	ADJ;NOM;FEM;SG	ADV
καθημερινή	делник	καθημερινός	делник	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
εσωτερική	вътрешно	εσωτερικός	вътрешен	ADJ;NOM;FEM;SG	ADV
εσωτερική	вътрешни	εσωτερικός	вътрешен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
απλή	прости	απλός	прост	ADJ;NOM;FEM;SG	ADJ;INDF;PL
απλή	простичко	απλός	простичка	ADJ;NOM;FEM;SG	ADV
αρχεία	архив	αρχείο	архив	N;NOM;NEUT;PL	N;INDF;MASC;SG
συνεισφορά	вноски	συνεισφορά	вноска	N;ACC;FEM;SG	N;INDF;FEM;PL
ιταλικά	италианска	ιταλικά	италиански	ADV	ADJ;INDF;FEM;SG
ιταλικά	италианец	ιταλικά	италианец	ADV	N;INDF;MASC;SG
ιταλικά	италиански	ιταλικά	италиански	ADV	ADJ;INDF;MASC;SG
μόσχα	москва	μόσχα	москва	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
εξέδωσε	издадена	εκδίδω	издам-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
εξέδωσε	издаден	εκδίδω	издам-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
εξέδωσε	емитирани	εκδίδω	емитирам	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
εξέδωσε	издадени	εκδίδω	издам-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
εξέδωσε	издадено	εκδίδω	издам-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ηρακλή	херкулес	ηρακλή	херкулес	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
καλιφόρνια	калифорния	καλιφόρνια	калифорния	PROPN;NOM;FEM;SG	ADJ;DEF;MASC;SG
καλιφόρνια	калифорнийски	καλιφόρνια	калифорнийски	PROPN;NOM;FEM;SG	ADJ;INDF;MASC;SG
πέρασμα	мине	πέρασμα	мина-(се)	N;NOM;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
γύρος	кръгли	γύρος	кръгъл	N;NOM;MASC;SG	ADJ;INDF;PL
γύρος	кръгло	γύρος	кръг	N;NOM;MASC;SG	ADV
παύλος	пол	παύλος	пол	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
παύλος	паул	παύλος	паул	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
παύλος	павлос	παύλος	павлос	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
γερμανικό	германец	γερμανικός	германец	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
βρετανική	британско	βρετανικός	британски	ADJ;NOM;FEM;SG	ADV
βρετανική	британци	βρετανικός	британец	ADJ;NOM;FEM;SG	N;INDF;MASC;PL
βρετανική	британец	βρετανικός	британец	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
καλλικράτης	каликратис	καλλικράτης	каликратис	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
συγκρούσεις	конфликт	σύγκρουση	конфликт	N;NOM;FEM;PL	N;INDF;MASC;SG
προ	пре	προ	пре	ADP	ADV
προ	предварително	προ	предварително	ADP	ADV
χειμώνα	зима	χειμώνω	зима	N;NOM;NEUT;PL	N;INDF;FEM;SG
χειμώνα	зимата	χειμώνω	зима	N;NOM;NEUT;PL	N;DEF;FEM;SG
πράσινο	грийн	πράσινο	грийн	PROPN;NOM;NEUT;SG	PROPN;INDF;MASC;SG
πράσινο	зелено	πράσινο	зелено	PROPN;NOM;NEUT;SG	ADV
πράσινο	зелен	πράσινο	зелен	PROPN;NOM;NEUT;SG	ADJ;INDF;MASC;SG
πράσινο	зелена	πράσινο	зелен	PROPN;NOM;NEUT;SG	ADJ;INDF;FEM;SG
πράσινο	зелени	πράσινο	зелен	PROPN;NOM;NEUT;SG	ADJ;INDF;PL
εφημερίδες	вестник	εφημερίδα	вестник	N;NOM;FEM;PL	N;INDF;MASC;SG
μουσικός	музикант	μουσικός	музикант	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
βερολίνο	берлин	βερολίνο	берлин	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
ανέβηκε	качих	αναβέκω	кача-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;IND;SG;1;PST;FIN;ACT
ανέβηκε	качени	αναβέκω	кача-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;PL;V.PTCP;PASS
μέλλον	бъдещ	μέλλον	бъдещ	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
μέλλον	бъдещи	μέλλον	бъдещ	N;NOM;NEUT;SG	ADJ;INDF;PL
μέλλον	бъдеща	μέλλον	бъдещ	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
βιέννη	виена	βιέννος	виен	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
σκοτώθηκε	убити	σκοτώνω	убия	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;PL;V.PTCP;PASS
δεδομένου	дадени	δεδομένο	дам-(се)	ADV	V;PFV;INDF;PL;V.PTCP;PASS
δεδομένου	дадена	δεδομένο	даден	ADV	ADJ;INDF;FEM;SG
πρότεινε	предложен	προτείνω	предложа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
πρότεινε	предложени	προτείνω	предложа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
πρότεινε	предложено	προτείνω	предложа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
βασιλείας	базел	βασιλεία	базел	N;GEN;FEM;SG	PROPN;INDF;MASC;SG
αλλάξει	променена	αλλάζω	променя-(се)	V;PFV;NFIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
αλλάξει	променени	αλλάζω	променя-(се)	V;PFV;NFIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
αλλάξει	променен	αλλάζω	променя-(се)	V;PFV;NFIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
αλλάξει	променено	αλλάζω	променя-(се)	V;PFV;NFIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
χτίστηκε	построени	χτίζω	построя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;PL;V.PTCP;PASS
ισπανικά	испанци	ισπανικά	испанец	ADV	N;INDF;MASC;PL
ισπανικά	испанска	ισπανικά	испански	ADV	ADJ;INDF;FEM;SG
ισπανικά	испански	ισπανικά	испански	ADV	ADJ;INDF;MASC;SG
βρετανικό	британско	βρετανικός	британски	ADJ;NOM;NEUT;SG	ADV
βρετανικό	британци	βρετανικός	британец	ADJ;NOM;NEUT;SG	N;INDF;MASC;PL
βρετανικό	британец	βρετανικός	британец	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
έρευνες	разследване	έρευνα	разследване	N;NOM;FEM;PL	N;INDF;NEUT;SG
έρευνες	проучване	έρευνα	проучване	N;NOM;FEM;PL	N;INDF;NEUT;SG
έρευνες	изследване	έρευνα	изследване	N;NOM;FEM;PL	N;INDF;NEUT;SG
εκλογή	изборите	εκλογή	избор	N;NOM;FEM;SG	N;DEF;MASC;PL
εκλογή	избори	εκλογή	избор	N;NOM;FEM;SG	N;INDF;MASC;PL
κάνοντας	правене	κάνω	правене	V;IPFV;V.CVB;ACT	N;INDF;NEUT;SG
πρακτική	практично	πρακτικός	практичен	ADJ;NOM;FEM;SG	ADV
πρακτική	практическо	πρακτικός	практически	ADJ;NOM;FEM;SG	ADV
πρακτική	тренировка	πρακτικός	тренировка	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
πρακτική	практика	πρακτικός	практика	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
ποιητές	поетите	ποιητής	поема	N;NOM;MASC;PL	ADJ;PFV;DEF;PL;V.PTCP;PASS
ποιητές	поети	ποιητής	поема	N;NOM;MASC;PL	V;PFV;INDF;PL;V.PTCP;PASS
σύνδεση	свързващи	σύνδεση	свързвам-(се)	N;NOM;FEM;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
σύνδεση	свържете	σύνδεση	свържа	N;NOM;FEM;SG	V;PFV;IMP;PL;2;FIN
τεράστια	огромно	τεράστιος	огромен	ADJ;NOM;FEM;SG	ADV
τεράστια	огромни	τεράστιος	огромен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
τεράστια	огромни	τεράστιος	огромен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
δίνοντας	даване	δίνω	даване	V;IPFV;V.CVB;ACT	N;INDF;NEUT;SG
καφέ	кафяв	καφένας	кафяв	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
καφέ	кафяви	καφένας	кафяв	N;NOM;NEUT;SG	ADJ;INDF;PL
καφέ	браун	καφένας	браун	N;NOM;NEUT;SG	PROPN;INDF;MASC;SG
καφέ	кафява	καφένας	кафявам	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
καφέ	кафяво	καφένας	кафяво	N;NOM;NEUT;SG	ADV
οδός	street	οδός	street	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
συμπεριλαμβανομένων	включително	συμπεριλαμβανόμενος	включително	V;PFV;GEN;FEM;PL;V.PTCP;PASS	ADV
λος	лос	λος	лос		PROPN;INDF;MASC;SG
γνωστές	позната	γνωστός	познат	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
γνωστές	познат	γνωστός	познат	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
γνωστές	известна	γνωστός	известен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
γνωστές	известен	γνωστός	известен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
σερβία	сърбия	σερβία	сърбия	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
βαν	микробус	βαν	микробус		N;INDF;MASC;SG
βαν	бус	βαν	бус		N;INDF;MASC;SG
βαν	van	βαν	van		PROPN;INDF;MASC;SG
βαν	ван	βαν	ван		PROPN
βαν	вана	βαν	вана		N;INDF;FEM;SG
εσσδ	ссср	εσσδ	ссср	N	PROPN;INDF;MASC;SG
κώστα	костас	κώστα	костас	PROPN;ACC;MASC;SG	N;INDF;FEM;SG
κώστα	коста	κώστα	коста	PROPN;ACC;MASC;SG	N;INDF;FEM;SG
χρονικά	хрониките	χρονικά	хроника	ADV	N;DEF;FEM;PL
δολοφονία	убийства	δολοφονία	убийство	N;NOM;FEM;SG	N;INDF;NEUT;PL
απώλειες	загуба	απώλεια	загуба	N;NOM;FEM;PL	N;INDF;FEM;SG
απώλειες	загубата	απώλεια	загуба	N;NOM;FEM;PL	N;DEF;FEM;SG
εκπομπή	емисии	εκπομπή	емисия	N;ACC;FEM;SG	N;INDF;FEM;PL
κινητήρα	двигатели	κινητήρας	двигател	N;ACC;MASC;SG	N;INDF;MASC;PL
κινητήρα	моторни	κινητήρας	моторен	N;ACC;MASC;SG	ADJ;INDF;PL
αντικαταστάθηκε	сменени	αντικαθιστώ	сменя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;PL;V.PTCP;PASS
τόμας	томас	τόμας	томас	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
τόμας	тома	τόμας	том	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
απλό	прости	απλός	прост	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
απλό	простичко	απλός	простичка	ADJ;NOM;NEUT;SG	ADV
απλό	равнина	απλός	равнина	ADJ;NOM;NEUT;SG	N;INDF;FEM;SG
απλό	plain	απλός	plain	ADJ;NOM;NEUT;SG	N
έρχεται	очаквайте	έρχομαι	очаквам	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IMP;PL;2;FIN
έρχεται	идва	έρχομαι	идвам	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
έρχεται	идвам	έρχομαι	идвам	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;1;PRS;FIN;ACT
επιστήμες	науката	επιστήμα	наука	N;NOM;FEM;PL	N;DEF;FEM;SG
επιστήμες	наука	επιστήμα	наука	N;NOM;FEM;PL	N;INDF;FEM;SG
αυλή	ярд	αυλός	ярд	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
επαγγελματική	професионални	επαγγελματικός	професионален	ADJ;NOM;FEM;SG	ADJ;INDF;PL
επαγγελματική	професионалист	επαγγελματικός	професионалист	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
επαγγελματική	професионално	επαγγελματικός	професионално	ADJ;NOM;FEM;SG	ADV
γαλλικό	френско	γαλλικός	френски	ADJ;NOM;NEUT;SG	ADV
γαλλικό	французи	γαλλικός	француга	ADJ;NOM;NEUT;SG	N;INDF;MASC;PL
γαλλικό	французин	γαλλικός	французин	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
δημοσίευσε	публикуван	δημοσιεύω	публикувам	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
δημοσίευσε	публикувано	δημοσιεύω	публикувам	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
τύμπανα	барабан	τύμπανο	барабан	N;NOM;NEUT;PL	N;INDF;MASC;SG
ανακάλυψη	открийте	ανακάλυψη	открия-(се)	N;ACC;FEM;SG	V;PFV;IMP;PL;2;FIN
ανακάλυψη	открие	ανακάλυψη	открия-(се)	N;ACC;FEM;SG	V;PFV;IMP;SG;2;PST;FIN
πυρήνα	ядро	πυρήνας	ядро	N;ACC;MASC;SG	ADV
πυρήνα	ядрото	πυρήνας	ядро	N;ACC;MASC;SG	ADJ;DEF;NEUT;SG
πυρήνα	ядрото	πυρήνας	ядро	N;ACC;MASC;SG	ADJ;DEF;NEUT;SG
ποιος	кой	ποιος	кой	DET;NOM;DEF;MASC;SG	PRO;NOM;MASC;SG
νόμπελ	нобелова	νόμπελ	нобелова	N;NOM;NEUT;SG	PROPN;INDF;FEM;SG
κανονική	редовно	κανονικός	редовно	ADJ;NOM;FEM;SG	ADV
κανονική	редовни	κανονικός	редовен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
κανονική	нормално	κανονικός	нормално	ADJ;NOM;FEM;SG	ADV
κανονική	нормални	κανονικός	нормален	ADJ;NOM;FEM;SG	ADJ;INDF;PL
βραζιλία	бразилия	βραζιλία	бразилия	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
βορρά	северно	βορράς	северно	N;ACC;MASC;SG	ADV
βορρά	северна	βορράς	северен	N;ACC;MASC;SG	ADJ;INDF;FEM;SG
δύσκολο	трудно	δύσκολος	трудно	ADJ;NOM;NEUT;SG	ADV
δύσκολο	силно	δύσκολος	силно	ADJ;NOM;NEUT;SG	ADV
δύσκολο	здраво	δύσκολος	здраво	ADJ;NOM;NEUT;SG	ADV
δύσκολο	твърдо	δύσκολος	твърдо	ADJ;NOM;NEUT;SG	ADV
δύσκολο	трудно	δύσκολος	трудно	ADJ;NOM;NEUT;SG	ADV
δύσκολο	трудни	δύσκολος	труден	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
συνεργάστηκε	сътрудничил	συνεργώ	сътруднича	V;PFV;IND;SG;3;PST;FIN;PASS	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
ιερουσαλήμ	йерусалим	ιερουσαλήμ	йерусалим	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
ιερουσαλήμ	ерусалим	ιερουσαλήμ	ерусалим	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
εννέα	nine	εννέα	nine	NUM;NOM;NEUT;PL	PROPN;INDF;MASC;SG
διαφορετικό	различно	διαφορετικός	различно	ADJ;NOM;NEUT;SG	ADV
διαφορετικό	различни	διαφορετικός	различен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
αλήθεια	верни	αλήθεια	верен	N;NOM;FEM;SG	ADJ;INDF;PL
αλήθεια	вярно	αλήθεια	верен	N;NOM;FEM;SG	ADV
αλήθεια	наистина	αλήθεια	наистина	N;NOM;FEM;SG	ADV
νερά	води	νερό	водя	N;NOM;NEUT;PL	V;IPFV;IMP;SG;2;FIN
νερά	уотърс	νερό	уотърс	N;NOM;NEUT;PL	PROPN;INDF;MASC;SG
σουηδία	швеция	σουηδία	швеция	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
γνωστοί	позната	γνωστός	познат	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
γνωστοί	познат	γνωστός	познат	ADJ;NOM;MASC;PL	N;INDF;MASC;SG
γνωστοί	известна	γνωστός	известен	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
γνωστοί	известен	γνωστός	известен	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
προσφορά	предложи	προσφορά	предложа	N;ACC;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
παρατηρήσεις	мнение	παρατήρηση	мнение	N;NOM;FEM;PL	N;INDF;NEUT;SG
σχόλια	мнение	σχόλιο	мнение	N;NOM;NEUT;PL	N;INDF;NEUT;SG
άξονα	оста	άξονας	остам	N;ACC;MASC;SG	ADV
άξονα	оси	άξονας	ося-се	N;ACC;MASC;SG	N;INDF;FEM;PL
άξονα	оста	άξονας	остам	N;ACC;MASC;SG	ADV
νομική	правно	νομικός	правен	ADJ;NOM;FEM;SG	ADV
νομική	правни	νομικός	правен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
νομική	правен	νομικός	правя-(се)	ADJ;NOM;FEM;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
νομική	законно	νομικός	законен	ADJ;NOM;FEM;SG	ADV
παλιό	старо	παλιός	стар	ADJ;NOM;NEUT;SG	ADV
παλιό	стари	παλιός	стар	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
συμφωνώ	съгласна	συμφωνώ	съгласен	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ;INDF;FEM;SG
συμφωνώ	съгласен	συμφωνώ	съгласен	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ;INDF;MASC;SG
συρία	сирия	συρία	сир	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
στίχους	текст	στίχος	текст	N;ACC;MASC;PL	N;INDF;MASC;SG
κλειστό	затворен	κλειστός	затворен	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
κλειστό	затворена	κλειστός	затворя-(се)	N;NOM;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
κλειστό	затворено	κλειστός	затворя-(се)	N;NOM;NEUT;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
κλειστό	затворени	κλειστός	затворя-(се)	N;NOM;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
εξαρτάται	зависи	εξαρτώ	завися	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
μεξικό	мексико	μεξικό	мексико	PROPN;NOM;NEUT;SG	N;INDF;NEUT;SG
φυσικός	натурални	φυσικός	натурален	ADJ;NOM;MASC;SG	ADJ;INDF;PL
φυσικός	естествени	φυσικός	естествен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
φυσικός	физик	φυσικός	физик	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
τουρνουά	турнири	τουρνο	турнир	N;NOM;NEUT;SG	N;INDF;MASC;PL
στατιστικά	статистика	στατιστικός	статистика	ADV	N;INDF;FEM;SG
στατιστικά	статистики	στατιστικός	статистика	ADV	N;INDF;FEM;PL
στατιστικά	статистиката	στατιστικός	статистика	ADV	N;DEF;FEM;SG
συμβολή	вноски	συμβολή	вноска	N;ACC;FEM;SG	N;INDF;FEM;PL
βασικές	основна	βασικός	основен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
βασικές	основен	βασικός	основен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
στυλ	стилове	στυλ	стил	N;NOM;NEUT;SG	N;INDF;MASC;PL
τοπικές	локална	τοπικός	локален	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
τοπικές	местна	τοπικός	местен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
τοπικές	локално	τοπικός	локално	ADJ;NOM;FEM;PL	ADV
τοπικές	местно	τοπικός	местен	ADJ;NOM;FEM;PL	ADV
τοπικές	местен	τοπικός	местя-(се)	ADJ;NOM;FEM;PL	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
ρεάλ	истинско	ρεάλ	истински		ADV
ρεάλ	реал	ρεάλ	реал		PROPN;INDF;MASC;SG
ρεάλ	истинска	ρεάλ	истински		ADJ;INDF;FEM;SG
ρεάλ	реално	ρεάλ	реално		ADV
ρεάλ	истински	ρεάλ	истински		ADJ;INDF;MASC;SG
γράφτηκε	писмено	γράφτω	писмен	V;PFV;IND;SG;3;PST;FIN;PASS	ADV
γράφτηκε	писмен	γράφτω	писмен	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
γράφτηκε	писмена	γράφτω	писмен	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;FEM;SG
ελβετία	швейцария	ελβετία	швейцария	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
αναζήτηση	търси	αναζήτηση	търся	N;NOM;FEM;SG	V;IPFV;IMP;SG;3;PRS;FIN
υποστήριξε	подкрепен	υποστηρίζω	подкрепя	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
υποστήριξε	подкрепена	υποστηρίζω	подкрепя	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
υποστήριξε	поддържани	υποστηρίζω	поддържам	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;INDF;PL;V.PTCP;PASS
υποστήριξε	подкрепено	υποστηρίζω	подкрепя	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
καλλιτεχνικό	артистично	καλλιτεχνικός	артистичен	ADJ;NOM;NEUT;SG	ADV
εσύ	си	εσύ	съм	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
εσύ	ти	εσύ	аз	V;IPFV;IND;SG;1;PRS;FIN;ACT	PRO;NOM;SG;2
εσύ	ви	εσύ	аз	V;IPFV;IND;SG;1;PRS;FIN;ACT	PRO;ACC;SG;2
μπάσκετ	баскетбол	μπάσκετ	баскетбол		N;INDF;MASC;SG
μπάσκετ	баскетбола	μπάσκετ	баскетбол		N;DEF;MASC;SG
μπάσκετ	баскетболен	μπάσκετ	баскетболен		ADJ;INDF;MASC;SG
επιστρέφει	възвръщаемост	επιστρέφω	възвръщаемост	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
επιστρέφει	връщане	επιστρέφω	връщане	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
μουσικοί	музиканти	μουσικός	музикант	ADJ;NOM;MASC;PL	N;INDF;MASC;PL
κοιλάδα	вали	κοιλάδα	вали	N;ACC;FEM;SG	V;IPFV;IMP;SG;3;PRS;FIN
προϊόν	продукти	προϊόν	продукт	N;NOM;NEUT;SG	N;INDF;MASC;PL
καθ	кат	καθ	кат	ADP	N;INDF;MASC;SG
αθλητικά	маратонки	αθλητικά	маратонка	ADV	N;INDF;FEM;PL
αθλητικά	кецове	αθλητικά	кец	ADV	N;INDF;MASC;PL
αθλητικά	спортни	αθλητικά	спортен	ADV	ADJ;INDF;PL
αθλητικά	спортен	αθλητικά	спортен	ADV	ADJ;INDF;MASC;SG
αθλητικά	спорт	αθλητικά	спорт	ADV	N;INDF;MASC;SG
αθλητικά	спортове	αθλητικά	спорт	ADV	N;INDF;MASC;PL
χρυσός	златен	χρυσός	златен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
χρυσός	златни	χρυσός	златен	N;NOM;MASC;SG	ADJ;INDF;PL
χρυσός	златно	χρυσός	златен	N;NOM;MASC;SG	ADV
χρυσός	златна	χρυσός	златен	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
χρυσός	златен	χρυσός	златен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
χρυσός	златни	χρυσός	златен	N;NOM;MASC;SG	ADJ;INDF;PL
χρυσός	златно	χρυσός	златен	N;NOM;MASC;SG	ADV
