और	وال	और	وَال		N;NOM;DEF;SG
शीर्षक	العناوين	शीर्षक	عُنوَان	N;NOM;MASC;SG;3	N;NOM;DEF;PL
शीर्षक	الالقاب	शीर्षक	لَقب	N;NOM;MASC;SG;3	N;NOM;DEF;PL
शीर्षक	عناوين	शीर्षक	عُنوَان	N;NOM;MASC;SG;3	N;NOM;INDF;PL
अवसर	الفرص	अवसर	فُرصَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अवसर	فرص	अवसर	فُرصَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
अवसर	الفرص	अवसर	فُرصَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अंक	النقاط	अंक	نُقطَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अंक	نقاط	अंक	نُقطَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
शोध	بحوث	शोध	بَحث	N;NOM;MASC;SG;3	N;NOM;INDF;PL
शोध	الابحاث	शोध	بَحث	N;NOM;MASC;SG;3	N;NOM;DEF;PL
शोध	ابحاث	शोध	بَحث	N;NOM;MASC;SG;3	N;NOM;INDF;PL
शोध	بحث	शोध	بَحَث	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
शोध	البحوث	शोध	بَحث	N;NOM;MASC;SG;3	N;NOM;DEF;PL
स्पेन	اسبانيا	स्पेन	إِسبَانِيَا	PROPN;NOM;MASC;SG;3	
गांधी	غاندي	गांधी	غاندي	PROPN;NOM;SG;3	
हमेशा	دايما	हमेशा	دَايمَا	ADV	
हमेशा	دائما	हमेशा	دَائِم	ADV	ADJ;ACC;INDF;MASC;SG
हमेशा	دوما	हमेशा	دَوم	ADV	N;ACC;INDF;SG
जोखिम	المخاطر	जोखिम	مَخَاطِر	N;NOM;MASC;SG;3	N;NOM;DEF;PL
शाखा	الفروع	शाखा	فَرع	N;NOM;FEM;SG;3	N;NOM;DEF;PL
शाखा	فروع	शाखा	فَرع	N;NOM;FEM;SG;3	N;NOM;INDF;PL
शाखा	برانش	शाखा	برانش	N;NOM;FEM;SG;3	
इत्यादि	الخ	इत्यादि	خَىخ		
प्रतीक	رموز	प्रतीक	رَمز	N;NOM;MASC;SG;3	N;NOM;INDF;PL
प्रतीक	الرموز	प्रतीक	رَمز	N;NOM;MASC;SG;3	N;NOM;DEF;PL
प्रतीक	رمزا	प्रतीक	رَمز	N;NOM;MASC;SG;3	N;ACC;INDF;SG
प्रतीक	الايقونات	प्रतीक	إِيقُونَات	N;NOM;MASC;SG;3	N;NOM;DEF;PL
संदर्भ	المراجع	संदर्भ	المراجع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
संदर्भ	مراجع	संदर्भ	مَرجَع	N;NOM;MASC;SG;3	N;NOM;INDF;PL
करीब	اقرب	करीब	اقرب	PART	
करीब	قريب	करीब	قَرِيب	PART	ADJ;NOM;INDF;MASC;SG
करीब	الوثيق	करीब	وَثِيق	PART	ADJ;NOM;DEF;MASC;SG
करीब	مقرب	करीब	مقرب	PART	ADJ;NOM;INDF;MASC;SG
करीब	اغلاق	करीब	إِغلَاق	PART	N;NOM;INDF;SG
करीब	اغلق	करीब	أَغلَق	PART	V;PFV;MASC;SG;3;ACT
चक्र	شقرا	चक्र	شَقر	N;NOM;MASC;SG;3	N;ACC;INDF;SG
चक्र	شاكرا	चक्र	شاكرا	N;NOM;MASC;SG;3	ADJ;ACC;INDF;MASC;SG
चक्र	دورات	चक्र	دَورَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
प्राथमिक	الابتدائي	प्राथमिक	اِبتِدَائِيّ	N;NOM	ADJ;NOM;DEF;MASC;SG
प्राथमिक	الابتدائية	प्राथमिक	اِبتِدَائِيّ	N;NOM	ADJ;NOM;DEF;FEM;SG
प्राथमिक	ابتدائي	प्राथमिक	اِبتِدَائِيّ	N;NOM	N;ACC;INDF;SG
प्राथमिक	تمهيدي	प्राथमिक	تَمهِيدِيّ	N;NOM	
प्राथमिक	اولية	प्राथमिक	أَوَّلِيّ	N;NOM	ADJ;NOM;INDF;FEM;SG
प्राथमिक	اولي	प्राथमिक	أَوَّلِيّ	N;NOM	
प्राथमिक	اوليا	प्राथमिक	أَوَّلِيّ	N;NOM	ADJ;ACC;INDF;MASC;SG
गुण	الممتلكات	गुण	مُمتَلَكَات	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गुण	ممتلكات	गुण	مُمتَلَكَات	N;NOM;MASC;SG;3	N;NOM;INDF;PL
गुण	خصائص	गुण	خَصِيصَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
गुण	خواص	गुण	خَوَاص	N;NOM;MASC;SG;3	N;NOM;INDF;PL
गुण	الخصائص	गुण	خَصِيصَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गुण	الممتلكات	गुण	مُمتَلَكَات	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गुण	الخواص	गुण	خَوَاص	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गुण	صفات	गुण	صِفَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
गुण	السمات	गुण	سَمَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गुण	الصفات	गुण	صِفَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गुण	سمات	गुण	سِمَّة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
ग्रह	كوكب	ग्रह	كَوكَب	N;NOM;MASC;SG;3	
ग्रह	كواكب	ग्रह	كَاكِب	N;NOM;MASC;SG;3	N;NOM;INDF;PL
ग्रह	الكواكب	ग्रह	كَاكِب	N;NOM;MASC;SG;3	N;NOM;DEF;PL
महल	القلاع	महल	قَلَاع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
बजाय	بالاحرى	बजाय	بالاحرى		N;NOM;DEF;SG
निधन	موت	निधन	مَوت	N;NOM;MASC;SG;3	
भूषण	بوشان	भूषण	بوشان	PROPN;NOM;MASC;SG;3	
बराबर	يساوي	बराबर	سَاوَى	CONJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
बराबर	متساوية	बराबर	مُتَسَاوِي	CONJ	ADJ;NOM;INDF;FEM;SG
बराबर	متساو	बराबर	مُتسَاو	CONJ	ADJ;NOM;INDF;MASC;SG
बराबर	مساو	बराबर	مَسَاو	CONJ	ADJ;NOM;INDF;MASC;SG
बराबर	تساوي	बराबर	تَسَاوِي	CONJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
मिनट	الدقائق	मिनट	دِقَاقَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
मिनट	دقائق	मिनट	دَقِيقَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
मिनट	مين	मिनट	مين	N;NOM;MASC;SG;3	
फिल्मों	الافلام	फिल्म	فِيلم	N;ACC;FEM;PL;3	N;NOM;DEF;PL
फिल्मों	افلام	फिल्म	فِيلم	N;ACC;FEM;PL;3	N;NOM;INDF;PL
व्यवसाय	الاعمال	व्यवसाय	عَمَل	N;NOM;MASC;SG;3	N;NOM;DEF;PL
शो	اظهر	शो	أَظهَر	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
शो	اعرض	शो	أَعرَض	N;NOM;MASC;SG;3	
प्रस्ताव	المقترح	प्रस्ताव	مُقتَرَح	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
प्रस्ताव	اقتراحات	प्रस्ताव	اِقتِرَاح	N;NOM;MASC;SG;3	N;NOM;INDF;PL
प्रस्ताव	مقترحات	प्रस्ताव	مُقتَرَح	N;NOM;MASC;SG;3	N;NOM;INDF;PL
प्रस्ताव	الاقتراحات	प्रस्ताव	اِقتِرَاح	N;NOM;MASC;SG;3	N;NOM;DEF;PL
प्रस्ताव	المقترحات	प्रस्ताव	مُقتَرَح	N;NOM;MASC;SG;3	N;NOM;DEF;PL
रिपोर्ट	تقارير	रिपोर्ट	تَقرِير	N;NOM;FEM;SG;3	N;NOM;INDF;PL
रिपोर्ट	التقارير	रिपोर्ट	تَقرِير	N;NOM;FEM;SG;3	N;NOM;DEF;PL
मुस्लिम	اسلامي	मुस्लिम	إِسلَامِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
मुस्लिम	مسلمة	मुस्लिम	مُسلِم	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
रिकॉर्ड	سجل	रिकॉर्ड	سَجَّل	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
रिकॉर्ड	السجلات	रिकॉर्ड	سِجِلّ	N;NOM;MASC;SG;3	N;NOM;DEF;PL
रिकॉर्ड	سجلات	रिकॉर्ड	سِجِلّ	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सरल	بسيطه	सरल	بسيطه		PRO;NOM;MASC;SG;3
सरल	بسيط	सरल	بَسِيط		ADJ;NOM;INDF;MASC;SG
सरल	البسيط	सरल	بَسِيط		
सरल	بسيطة	सरल	بَسِيط		ADJ;NOM;INDF;FEM;SG
धातु	معادن	धातु	مَعدِن	N;NOM;MASC;SG;3	N;NOM;INDF;PL
धातु	معدني	धातु	معدني	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
धातु	المعادن	धातु	مَعدِن	N;NOM;MASC;SG;3	N;NOM;DEF;PL
धातु	معادن	धातु	مَعدِن	N;NOM;MASC;SG;3	N;NOM;INDF;PL
धातु	الفلزات	धातु	فَلزَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
धातु	المعادن	धातु	مَعدِن	N;NOM;MASC;SG;3	N;NOM;DEF;PL
शारीरिक	جسدية	शारीरिक	جَسَدِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
शारीरिक	بدني	शारीरिक	بدني	N;NOM;MASC;SG;3	
शारीरिक	المادية	शारीरिक	مَادِّيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
संघर्ष	نضال	संघर्ष	نِضَال	N;NOM;MASC;SG;3	
संघर्ष	كفاح	संघर्ष	كَفَاح	N;NOM;MASC;SG;3	
संघर्ष	تنازع	संघर्ष	نَازَع	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
संघर्ष	الصراعات	संघर्ष	صِرَاع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
तकनीक	تيك	तकनीक	كَاك	N;NOM;FEM;SG;3	
तकनीक	التقنيات	तकनीक	تَقنِيَّة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
तकनीक	تقنيات	तकनीक	تَقنِيَّة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
फल	فواكه	फल	فَاكِه	N;NOM;MASC;SG;3	
फल	الفواكه	फल	فَاكِهَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
फल	فواكه	फल	فَاكِه	N;NOM;MASC;SG;3	
फल	الفواكه	फल	فَاكِهَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
फल	ثمار	फल	ثَمَر	N;NOM;MASC;SG;3	N;NOM;INDF;PL
कैसे	ازاي	कैसे	إِزَايَ	PRO	
कैसे	شلون	कैसे	شَلّ	PRO	
कैसे	كيف	कैसे	كَيفَ	PRO	DET
प्रकट	تكشف	प्रकट	كَشَف	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
कार्बनिक	عضوي	कार्बनिक	عُضوِيّ	N;NOM;MASC;SG;3	
शाह	شاه	शाह	شاه	PROPN;NOM;MASC;SG;3	
विवरण	وصف	विवरण	وَصَف	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
विवरण	تفاصيل	विवरण	تَفصِيل	N;NOM;MASC;SG;3	N;NOM;INDF;PL
विवरण	التفاصيل	विवरण	تَفصِيل	N;NOM;MASC;SG;3	N;NOM;DEF;PL
विवरण	للتفاصيل	विवरण	للتفاصيل	N;NOM;MASC;SG;3	N;GEN;DEF;SG
विवरण	تفاصيل	विवरण	تَفصِيل	N;NOM;MASC;SG;3	N;NOM;INDF;PL
विवरण	التفاصيل	विवरण	تَفصِيل	N;NOM;MASC;SG;3	N;NOM;DEF;PL
उप	فرعي	उप	فَرعِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
उप	الباطن	उप	بَاطِن	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
पात्र	حاويات	पात्र	حَاوِيَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वेब	ويب	वेब	وِيب	N;NOM;MASC;SG;3	
सन्दर्भ	المراجع	संदर्भ	المراجع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
सन्दर्भ	مراجع	संदर्भ	مَرجَع	N;NOM;MASC;SG;3	N;NOM;INDF;PL
चेन्नई	تشيناي	चेन्नई	تشيناي	PROPN;NOM;MASC;SG;3	
परमाणु	نووية	परमाणु	نَوَوِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
परमाणु	نووي	परमाणु	نَوَوِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
परमाणु	النووية	परमाणु	نَوَوِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
परमाणु	جزيء	परमाणु	جُزيُو	N;NOM;MASC;SG;3	
परमाणु	الذرية	परमाणु	ذُريَة	N;NOM;MASC;SG;3	
परमाणु	ذرية	परमाणु	ذُرِّيَّة	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
कार	السيارات	कार	سَيَّارَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
कार	سيارات	कार	سَيَّارَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
केरल	كيرالا	केरल	كيرالا	PROPN;NOM;MASC;SG;3	
केरल	كيرلا	केरल	كيرلا	PROPN;NOM;MASC;SG;3	
जांच	مسبار	जांच	مِسبَار	N;NOM;FEM;SG;3	
जांच	التحقيقات	जांच	تَحقِيق	N;NOM;FEM;SG;3	N;NOM;DEF;PL
जांच	اختبر	जांच	اِختَبَر	N;NOM;FEM;SG;3	
पत्थर	ستون	पत्थर	ستون	N;NOM;MASC;PL;3	
पत्थर	حجر	पत्थर	حَجَر	N;NOM;MASC;PL;3	N;NOM;INDF;SG
पत्थर	الحجارة	पत्थर	حَجَّارَة	N;NOM;MASC;PL;3	N;NOM;DEF;SG
पत्थर	حجارة	पत्थर	حجارة	N;NOM;MASC;PL;3	N;NOM;INDF;SG
पत्थर	الحجر	पत्थर	حَجر	N;NOM;MASC;PL;3	N;NOM;DEF;SG
आठ	eig	आठ	كَثَّم	NUM	
विषयों	مواضيع	विषय	مَوضُوع	N;ACC;MASC;PL;3	N;NOM;INDF;PL
विषयों	موضوعات	विषय	موضوعات	N;ACC;MASC;PL;3	N;NOM;INDF;PL
विषयों	المواضيع	विषय	مَوضُوع	N;ACC;MASC;PL;3	N;NOM;DEF;PL
विषयों	الموضوعات	विषय	مَوضُوع	N;ACC;MASC;PL;3	N;NOM;DEF;PL
टेनिस	تنس	टेनिस	نَسّ	PROPN;NOM;MASC;SG;3	
टेनिस	التنس	टेनिस	تَنسّ	PROPN;NOM;MASC;SG;3	
पारंपरिक	التقليدي	पारंपरिक	تَقلِيدِيّ	PROPN;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
पारंपरिक	التقليدية	पारंपरिक	تَقلِيدِيّ	PROPN;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
पारंपरिक	تقليدية	पारंपरिक	تَقلِيدِيّ	PROPN;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
पारंपरिक	تقليدي	पारंपरिक	تَقلِيدِيّ	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
अकादमी	الاكاديمية	अकादमी	إِكَادِيمِيّ	N;NOM;FEM;SG;3	
सतह	سطح	सतह	سَطح	N;NOM;FEM;SG;3	
देव	ديف	देव	دَيفَ	PROPN;NOM;MASC;SG;3	
देव	ديو	देव	دَيو	PROPN;NOM;MASC;SG;3	
युक्त	اوكرانيا	युक्त	اوكرانيا		
अभियान	الحملات	अभियान	حَملَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अभियान	حملات	अभियान	حَملَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
घोषित	اعلنت	घोषित	أَعلَن	ADJ	V;PFV;FEM;SG;3;ACT
घोषित	تعلن	घोषित	أَعلَن	ADJ	V;IPFV;FEM;IND;SG;3;FIN;PASS
घोषित	اعلن	घोषित	أَعلَن	ADJ	V;PFV;MASC;SG;3;ACT
घोषित	نعلن	घोषित	نعلن	ADJ	
घोषित	يعلن	घोषित	أَعلَن	ADJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
घोषित	اعلن	घोषित	أَعلَن	ADJ	V;PFV;MASC;SG;3;ACT
घोषित	اعلنت	घोषित	أَعلَن	ADJ	V;PFV;FEM;SG;3;ACT
लिखी	مكتوب	लिख	مَكتُوب	V;PFV;FEM;SG;V.PTCP;ACT	
लिखी	خطية	लिख	خَطِّيّ	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
लिखी	مكتوبة	लिख	مَكتُوب	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
सिस्टम	نظم	सिस्टम	نَظَّم	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
सिस्टम	الانظمة	सिस्टम	نِظَام	N;NOM;MASC;SG;3	N;NOM;DEF;PL
सिस्टम	النظم	सिस्टम	نِظَام	N;NOM;MASC;SG;3	N;NOM;DEF;PL
सिस्टम	انظمة	सिस्टम	نِظَام	N;NOM;MASC;SG;3	N;NOM;INDF;PL
किनारे	الزوايا	किनारा	زَاوِيَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
किनारे	الاركان	किनारा	رُكن	N;NOM;MASC;SG;3	N;NOM;DEF;PL
किनारे	اركان	किनारा	رُكن	N;NOM;MASC;SG;3	N;NOM;INDF;PL
किनारे	زوايا	किनारा	زَاءِي	N;NOM;MASC;SG;3	N;NOM;INDF;PL
कार्बन	الكربون	कार्बन	الكربون	N;NOM;MASC;SG;3	
कार्बन	كربون	कार्बन	كربون	N;NOM;MASC;SG;3	
कार्बन	الكربوني	कार्बन	الكربوني	N;NOM;MASC;SG;3	
प्रतिक्रिया	ملاحظات	प्रतिक्रिया	مُلَاحَظَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
प्रतिक्रिया	تتفاعل	प्रतिक्रिया	تَفَاعَل	N;NOM;FEM;SG;3	V;IPFV;FEM;IND;SG;3;FIN;ACT
प्रतिक्रिया	تفاعلي	प्रतिक्रिया	تفاعلي	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG
प्रतिक्रिया	رد	प्रतिक्रिया	رَدّ	N;NOM;FEM;SG;3	V;PFV;MASC;SG;3;ACT
गणित	رياضيات	गणित	رياضيات		N;NOM;INDF;PL
गणित	الرياضيات	गणित	رِيَاضِيّ		N;NOM;DEF;PL
गणित	رياضيات	गणित	رياضيات		N;NOM;INDF;PL
गणित	الرياضيات	गणित	رِيَاضِيّ		N;NOM;DEF;PL
गणित	الحساب	गणित	حِسَاب		N;NOM;DEF;SG
गणित	رياضيات	गणित	رياضيات		N;NOM;INDF;PL
गणित	الرياضيات	गणित	رِيَاضِيّ		N;NOM;DEF;PL
मौत	موت	मौत	مَوت	N;NOM;FEM;SG;3	
विवाद	منازعات	विवाद	مُنَازَعَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
विवाद	النزاعات	विवाद	نِزَاع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
विवाद	المنازعات	विवाद	مُنَازَعَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
विवाद	نزاعات	विवाद	نِزَاع	N;NOM;MASC;SG;3	N;NOM;INDF;PL
अली	الي	अली	اليّ	PROPN;NOM;MASC;SG;3	
अली	علي	अली	علي	PROPN;NOM;MASC;SG;3	
अली	ali	अली	شَضَم	PROPN;NOM;MASC;SG;3	
ग्रहण	الكسوف	ग्रहण	كَسف	N;NOM;MASC;SG;3	
तकनीकी	فني	तकनीकी	فَنِّيّ	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG
माँ	امهات	माँ	أُمّ		
माँ	الامهات	माँ	مِهَة		N;NOM;DEF;SG
माँ	امي	माँ	امي		
माँ	ام	माँ	إِم		
माँ	الام	माँ	أُمّ		N;NOM;DEF;SG
विष्णु	فيشنو	विष्णु	فيشنو	PROPN;NOM;MASC;SG;3	
मैदान	السهول	मैदान	سُهُول	N;NOM;MASC;SG;3	N;NOM;DEF;PL
मैदान	التضاريس	मैदान	تَضرِيس	N;NOM;MASC;SG;3	N;NOM;DEF;PL
विमान	طائرات	विमान	طَائِرَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
विमान	الطائرات	विमान	طَائِرَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
सक्षम	مكن	सक्षम	مَكَّن	ADJ	V;PFV;MASC;SG;3;ACT
वातावरण	الاجواء	वातावरण	جَوّ	N;NOM;MASC;SG;3	N;NOM;DEF;PL
वातावरण	اجواء	वातावरण	جَوّ	N;NOM;MASC;SG;3	N;NOM;INDF;PL
लागत	التكاليف	लागत	تَكلِيف	N;NOM;FEM;SG;3	N;NOM;DEF;PL
लागत	التكاليف	लागत	تَكلِيف	N;NOM;FEM;SG;3	N;NOM;DEF;PL
लागत	تكاليف	लागत	تَكلِفَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
सीधे	مباشرة	सीधे	مُبَاشَرَة	ADV	N;NOM;INDF;SG
सीधे	مستقيم	सीधे	مُستَقِيم	ADV	
सीधे	مباشرة	सीधे	مُبَاشَرَة	ADV	N;NOM;INDF;SG
प्रेस	اضغط	प्रेस	اِضغَطّ	N;NOM;FEM;SG;3	
रोमन	روماني	रोमन	رُومَانِيّ		ADJ;NOM;INDF;MASC;SG
रोमन	رومان	रोमन	رُومَان		
रोमन	الروماني	रोमन	رُومَانِيّ		ADJ;NOM;DEF;MASC;SG
रोमन	الرومانية	रोमन	رُومَانِيّ		ADJ;NOM;DEF;FEM;SG
मील	ميل	मील	مِيل	N;NOM;MASC;SG;3	
मील	مايل	मील	مَايِل	N;NOM;MASC;SG;3	
मील	ميل	मील	مِيل	N;NOM;MASC;SG;3	
मील	مايلز	मील	مايلز	N;NOM;MASC;SG;3	
मील	اميال	मील	مِيل	N;NOM;MASC;SG;3	N;NOM;INDF;PL
पार	كروس	पार	كروس	N;NOM;MASC;SG;3	
लेखन	الكتابات	लेखन	الكتابات		N;NOM;DEF;PL
लेखन	كتابات	लेखन	كِتَابَة		N;NOM;INDF;PL
लेखन	الكتابه	लेखन	الكتابه		
लेखन	كتابة	लेखन	كِتَابَة		N;NOM;INDF;SG
लेखन	اكتب	लेखन	كِتَاب		
लेखन	الكتابة	लेखन	كِتَابَة		N;NOM;DEF;SG
सेंट	سنتا	सेंट	سِنت	PROPN;NOM;MASC;SG;3	
बोली	عروض	बोली	عَرض	N;NOM;FEM;SG;3	N;NOM;INDF;PL
बोली	عطاءات	बोली	عَطَاء	N;NOM;FEM;SG;3	N;NOM;INDF;PL
बोली	العطاءات	बोली	عِطَاء	N;NOM;FEM;SG;3	N;NOM;DEF;PL
नष्ट	دمر	नष्ट	دَمَّر	PROPN;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
नष्ट	دمرت	नष्ट	دَمَّر	PROPN;NOM;MASC;SG;3	V;PFV;FEM;SG;3;ACT
नष्ट	دمر	नष्ट	دَمَّر	PROPN;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
नष्ट	تدمير	नष्ट	تَدمِير	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
नष्ट	تدمر	नष्ट	دَمَّر	PROPN;NOM;MASC;SG;3	
परंपरा	التقاليد	परंपरा	تَقلِيد	N;NOM;FEM;SG;3	N;NOM;DEF;PL
परंपरा	تقاليد	परंपरा	تَقلِيد	N;NOM;FEM;SG;3	N;NOM;INDF;PL
भाव	عواطف	भाव	عَاطِفَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
भाव	المشاعر	भाव	مَشعَر	N;NOM;MASC;SG;3	N;NOM;DEF;PL
भाव	العواطف	भाव	عَاطِفَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
हवा	النسيم	हवा	النسيم	N;NOM;FEM;SG;3	
हवा	نسيم	हवा	نسيم	N;NOM;FEM;SG;3	
हवा	الرياح	हवा	رِيح	N;NOM;FEM;SG;3	N;NOM;DEF;PL
हवा	ريح	हवा	ريح	N;NOM;FEM;SG;3	
हवा	رياح	हवा	رِيح	N;NOM;FEM;SG;3	N;NOM;INDF;PL
पाठ	نصوص	पाठ	نَصّ	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वैदिक	الفيدية	वैदिक	فِيدِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
गठन	الاطارات	गठन	إِطَار	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गठन	اطر	गठन	أَطَرّ	N;NOM;MASC;SG;3	N;NOM;INDF;PL
गठन	الاطر	गठन	أَطَرّ	N;NOM;MASC;SG;3	N;NOM;DEF;PL
गठन	اطارات	गठन	إِطَار	N;NOM;MASC;SG;3	N;NOM;INDF;PL
नागरिक	مدنية	नागरिक	مَدَنِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
नागरिक	مدني	नागरिक	مَدَنِيّ	N;NOM;MASC;SG;3	
नागरिक	المدنية	नागरिक	مَدَنِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
नागरिक	المدني	नागरिक	مَدَنِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
अस्तित्व	وجودي	अस्तित्व	وجودي	N;NOM;MASC;SG;3	
गंभीर	جاد	गंभीर	جاد	ADJ	
गंभीर	الحرجة	गंभीर	حَرِج	ADJ	N;NOM;DEF;SG
गंभीर	حرج	गंभीर	حَرِج	ADJ	N;NOM;INDF;SG
समझ	افهم	समझ	أَفهَم	V;ACT	
समझ	فاهم	समझ	فَاهَم	V;ACT	
समझ	التفاهم	समझ	تَفَاهُم	V;ACT	N;NOM;DEF;SG
समझ	التفهم	समझ	تَفَهُّم	V;ACT	N;NOM;DEF;SG
समझ	الفهم	समझ	فَهم	V;ACT	N;NOM;DEF;SG
समझ	تفاهم	समझ	تَفَاهُم	V;ACT	N;NOM;INDF;SG
किस	قبله	कौन	قبله	PRO	PRO;NOM;MASC;SG;3
किस	قبلة	कौन	قَبلَة	PRO	N;NOM;INDF;SG
आदेश	الطلبات	आदेश	طَلَب	N;NOM;MASC;SG;3	N;NOM;DEF;PL
आदेश	الاوامر	आदेश	الاوامر	N;NOM;MASC;SG;3	N;NOM;DEF;PL
आदेश	اوامر	आदेश	أَمر	N;NOM;MASC;SG;3	N;NOM;INDF;PL
आदेश	طلبات	आदेश	طَلَب	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सैन्य	عسكرية	सैन्य	عَسكَرِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
सैन्य	العسكري	सैन्य	عَسكَرِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
सैन्य	عسكري	सैन्य	عَسكَرِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
अंदर	داخل	अंदर	دَاخِلَ	ADV;NOM;MASC;SG;3	ADP;ACC
अंदर	للداخل	अंदर	لِ	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
अंदर	داخلي	अंदर	دَاخِلِيّ	ADV;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
अंदर	بالداخل	अंदर	بِ	ADV;NOM;MASC;SG;3	N;GEN;DEF;SG
