月	moon	月	moko	N	
限制	rajoitukset	限制	rajoitus	V	N;NOM;PL
限制	rajoitus	限制	rajoitus	V	N;NOM;SG
限制	rajoittaminen	限制	rajoittaminen	V	N;NOM;SG
限制	raja	限制	raja	V	N;NOM;SG
限制	rajoitus	限制	rajoitus	V	N;NOM;SG
限制	rajaa	限制	raja	V	N;PRT;SG
如何	miten	如何	miten		ADV
如何	kuinka	如何	kuinka		ADV
創作	luomuksia	創作	luomus	V	N;PRT;PL
創作	luominen	創作	luominen	V	N;NOM;SG
創作	perustaminen	創作	perustaminen	V	N;NOM;SG
創作	luonti	創作	luonti	V	N;NOM;SG
創作	luova	創作	luova	V	ADJ;NOM;SG
創作	luovaa	創作	luova	V	ADJ;PRT;SG
執行	toteuttaminen	執行	toteuttaminen	V	N;NOM;SG
執行	teloitus	執行	teloitus	V	N;NOM;SG
執行	suoritus	執行	suoritus	V	N;NOM;SG
執行	toteutus	執行	toteutus	V	N;NOM;SG
執行	täytäntöönpano	執行	täytäntöönpano	V	N;NOM;SG
透過	kautta	透過	kautta	ADP	ADV
透過	läpi	透過	läpi	ADP	ADV
反對	vastalause	反對	vasta#lause	V	N;NOM;SG
反對	vastustus	反對	vastustus	V	N;NOM;SG
反對	opposition	反對	oppositio	V	N;GEN;SG
反對	oppositio	反對	oppositio	V	N;NOM;SG
興	xing	興	xing	N	PROPN;NOM;SG
昂	ang	昂	ang		N;NOM;SG
昂	aung	昂	aung		PROPN;GEN;SG
不足	riittämättömyyden	不足	riittämättömyys	ADJ	N;GEN;SG
洲	chau	洲	chau	N	PROPN;NOM;SG
投入	syöte	投入	syöte	V	N;NOM;SG
投入	syöttö	投入	syöttö	V	N;NOM;SG
投入	panos	投入	panos	V	N;NOM;SG
投入	tuotantopanosten	投入	tuotanto#panos	V	N;GEN;PL
有些	osa	有些	osa	V	N;NOM;SG
有些	joitakin	有些	jokin	V	PRO;PRT;PL
有些	jotkut	有些	joku	V	PRO;NOM;PL
宇	woo	宇	woo	PROPN	N;NOM;SG
任命	tapaamisia	任命	tapaaminen	V	N;PRT;PL
任命	tapaamiset	任命	tapaaminen	V	N;NOM;PL
任命	nimityksiä	任命	nimitys	V	N;PRT;PL
任命	nimitykset	任命	nimitys	V	N;NOM;PL
任命	nimittäminen	任命	nimittäminen	V	N;NOM;SG
任命	tapaaminen	任命	tapaaminen	V	N;NOM;SG
任命	nimeäminen	任命	nimeäminen	V	N;NOM;SG
任命	nimitys	任命	nimitys	V	N;NOM;SG
解	ratkaista	解	ratkaista		V;SG;NFIN;ACT
解	ratkaise	解	ratkaise		V;IMP;SG;2;FIN;ACT
解	ratkaisee	解	ratkaista		V;IND;SG;3;PRS;FIN;ACT
跨	trans	跨	trans		N;NOM;SG
以前	ennen	以前	ennen	N	ADV
孫	aurinkoa	孫	aurinko	PROPN	N;PRT;SG
孫	sun	孫	sinä	PROPN	PRO;GEN;SG;2
孫	auringon	孫	aurinko	PROPN	N;GEN;SG
孫	aurinko	孫	aurinko	PROPN	N;NOM;SG
崔	choi	崔	choi	PROPN	N;NOM;SG
崔	cui	崔	cui	PROPN	N;NOM;SG
禮	riitti	禮	riittää	N	V;IND;SG;3;PST;FIN;ACT
申	shin	申	shin	PROPN	PROPN;NOM;SG
有效	pätevä	有效	pätevä	V	ADJ;NOM;SG
有效	voimassa	有效	voimassa	V	ADV
有效	kelvollinen	有效	kelvollinen	V	ADJ;NOM;SG
有效	tehokasta	有效	tehokas	V	ADJ;PRT;SG
有效	tehokas	有效	tehokas	V	ADJ;NOM;SG
有效	tehokkaat	有效	tehokas	V	ADJ;NOM;PL
傳統	perinteisiä	傳統	perinteinen	N	ADJ;PRT;PL
傳統	perinteiset	傳統	perinteinen	N	ADJ;NOM;PL
傳統	perinteinen	傳統	perinteinen	N	ADJ;NOM;SG
夏季	suvi	夏季	suvi	N	PROPN;NOM;SG
更名	uudelleennimeäminen	更名	uudelleennimeäminen	V	N;NOM;SG
公開	julkinen	公開	julkinen	V	ADJ;NOM;SG
公開	julkisen	公開	julkinen	V	ADJ;GEN;SG
公開	julkiset	公開	julkinen	V	ADJ;NOM;PL
仙	keiju	仙	keiju	PROPN	N;NOM;SG
仙	xian	仙	xian	PROPN	PROPN;NOM;SG
帶	tuo	帶	tuo	V	PRO;NOM;SG
帶	vyö	帶	vyö	V	N;NOM;SG
帶	vyön	帶	vyö	V	N;GEN;SG
操作	toiminta	操作	toiminta	V	N;NOM;SG
操作	toimenpide	操作	toimen#pide	V	N;NOM;SG
操作	toiminto	操作	toiminto	V	N;NOM;SG
操作	operaatio	操作	operaatio	V	N;NOM;SG
取消	peru	取消	perua	V	INTJ
取消	peruuttaminen	取消	peruuttaminen	V	N;NOM;SG
人類	inhimillinen	人類	inhimillinen	N	ADJ;NOM;SG
飛	lennä	飛	lennä	N	V;IMP;SG;2;FIN;ACT
飛	lentää	飛	lentää	N	V;IND;SG;3;PRS;FIN;ACT
飛	lentävä	飛	lentää	N	V;NOM;SG;V.PTCP;ACT
飛	lentää	飛	lentää	N	V;IND;SG;3;PRS;FIN;ACT
飛	lentävät	飛	lentää	N	V;IND;PL;3;PRS;FIN;ACT
軍事	sotilaallinen	軍事	sotilaallinen	N	ADJ;NOM;SG
協助	avustaminen	協助	avustaminen	V	N;NOM;SG
協助	avustus	協助	avustus	V	N;NOM;SG
協助	avustaminen	協助	avustaminen	V	N;NOM;SG
協助	apu	協助	apu	V	N;NOM;SG
協助	avustaminen	協助	avustaminen	V	N;NOM;SG
協助	avustuksella	協助	avustus	V	N;AT+ESS
;SG
橋	bridge	橋	bridge	N	
調查	selvitykset	調查	selvitys	V	N;NOM;PL
調查	tutkimusten	調查	tutkimus	V	N;GEN;PL
調查	tutkimus	調查	tutkimus	V	N;NOM;SG
調查	tutkinta	調查	tutkinta	V	N;NOM;SG
調查	tutkimuksen	調查	tutkimus	V	N;GEN;SG
調查	kysely	調查	kysely	V	N;NOM;SG
調查	tutkimus	調查	tutkimus	V	N;NOM;SG
調查	tutkimukset	調查	tutkimus	V	N;NOM;PL
投	heitetty	投	heittää	N	V;NOM;SG;V.PTCP;PASS
忠	chung	忠	chung	PROPN	PROPN;NOM;SG
澳洲	australian	澳洲	australia	PROPN	N;GEN;SG
主教	bishop	主教	bishop	N	
孟	meng	孟	meng	PROPN	N;NOM;SG
紀念	muistomerkki	紀念	muisto#merkki	V	N;NOM;SG
紀念	memorial	紀念	memorial	V	N;NOM;SG
地點	place	地點	place	N	
決賽	lopullinen	決賽	lopullinen	N	ADJ;NOM;SG
柳	yoo	柳	yoo	PROPN	N;NOM;SG
柳	ryu	柳	ryu	PROPN	N;NOM;SG
沈	shen	沈	shen	PROPN	PROPN;NOM;SG
人工	keinotekoisia	人工	keino#tekoinen	N	ADJ;PRT;PL
人工	keinotekoinen	人工	keino#tekoinen	N	ADJ;NOM;SG
電	sähköinen	電	sähköinen	N	ADJ;NOM;SG
電	sähköiset	電	sähköinen	N	ADJ;NOM;PL
運動	urheilija	運動	urheilija	V	N;NOM;SG
運動	urheilijoita	運動	urheilija	V	N;PRT;PL
運動	urheilijat	運動	urheilija	V	N;NOM;PL
夢	haaveilla	夢	haaveilla	N	V;SG;NFIN;ACT
夢	dream	夢	dream	N	
祥	xiang	祥	xiang	PROPN	PROPN;NOM;SG
羅馬	roomaa	羅馬	rooma	PROPN	N;PRT;SG
羅馬	roomaan	羅馬	rooma	PROPN	N;IN+ALL;SG
羅馬	rooman	羅馬	rooma	PROPN	N;GEN;SG
羅馬	rooma	羅馬	rooma	PROPN	PROPN;NOM;SG
烏克蘭	ukrainassa	烏克蘭	ukraina	PROPN	N;IN+ESS;SG
烏克蘭	ukraina	烏克蘭	ukraina	PROPN	N;NOM;SG
烏克蘭	ukrainasta	烏克蘭	ukraina	PROPN	N;IN+ABL;SG
烏克蘭	ukrainan	烏克蘭	ukraina	PROPN	N;GEN;SG
皇后	queen	皇后	queki	N	
肯	ken	肯	ken		N;NOM;SG
九龍	kowloon	九龍	kowlo	PROPN	N;NOM;SG
佛教	buddhalainen	佛教	buddhalainen	N	ADJ;NOM;SG
精神	henkinen	精神	henkinen	N	ADJ;NOM;SG
精神	hengellinen	精神	hengellinen	N	ADJ;NOM;SG
精神	henkinen	精神	henkinen	N	ADJ;NOM;SG
精神	psyykkinen	精神	psyykkinen	N	ADJ;NOM;SG
企業	enterprise	企業	enterprise	N	
冰	jää	冰	jäädä	N	V;IND;SG;3;PRS;FIN;ACT
第七	seitsemäs	第七	seitsemäs	NUM	ADJ;NOM;SG
甘	gan	甘	gan	PROPN	PROPN;NOM;SG
太陽	sun	太陽	sinä	N	PRO;GEN;SG;2
深圳	shenzhen	深圳	shenzhi	PROPN	PROPN;NOM;SG
瑞典	ruotsissa	瑞典	ruotsi	PROPN	N;IN+ESS;SG
瑞典	ruotsi	瑞典	ruotsi	PROPN	N;NOM;SG
廳	hall	廳	hall	N	
關	guan	關	guan	PROPN	N;NOM;SG
竹	bamboo	竹	bamboo	N	
選擇	valikoima	選擇	valikoima	V	N;NOM;SG
選擇	valinta	選擇	valinta	V	N;NOM;SG
選擇	valinta	選擇	valinta	V	N;NOM;SG
陶	tao	陶	tao	PROPN	N;NOM;SG
比較	vertailua	比較	vertailu	ADV	N;PRT;SG
比較	vertailu	比較	vertailu	ADV	N;NOM;SG
比較	vertaa	比較	vertaa	ADV	V;IMP;SG;2;FIN;ACT
比較	vertailla	比較	vertailla	ADV	V;SG;NFIN;ACT
比較	verrata	比較	verrata	ADV	V;SG;NFIN;ACT
比較	vertaileva	比較	vertaileva	ADV	V;NOM;SG;V.PTCP;ACT
比較	vertailuja	比較	vertailu	ADV	N;PRT;PL
類似	samanlaisia	類似	samanlainen	V	ADJ;PRT;PL
類似	samankaltaiset	類似	samankaltainen	V	ADJ;NOM;PL
類似	samankaltaista	類似	samankaltainen	V	ADJ;PRT;SG
類似	samanlaiset	類似	samanlainen	V	ADJ;NOM;PL
類似	samanlainen	類似	samanlainen	V	ADJ;NOM;SG
類似	samankaltainen	類似	samankaltainen	V	ADJ;NOM;SG
眼	eye	眼	eye	N	
澤	chak	澤	chak	PROPN	N;NOM;SG
秋	syksyllä	秋	syksy	PROPN	N;AT+ESS
;SG
秋	syksy	秋	syksy	PROPN	N;NOM;SG
秋	syksyn	秋	syksy	PROPN	N;GEN;SG
雨	rain	雨	rain	N	
溫	wen	溫	wen	N	PROPN;NOM;SG
思想	luulin	思想	luulla	N	V;IND;SG;1;PST;FIN;ACT
思想	luuli	思想	luulla	N	V;IND;SG;3;PST;FIN;ACT
破壞	hävittäminen	破壞	hävittäminen	V	N;NOM;SG
破壞	tuho	破壞	tuho	V	N;NOM;SG
破壞	tuhoa	破壞	tuho	V	N;PRT;SG
破壞	tuhoaminen	破壞	tuhoaminen	V	N;NOM;SG
重建	jälleenrakennus	重建	jälleen#rakennus	V	N;NOM;SG
重建	jälleenrakentamiseen	重建	jälleen#rakentaminen	V	N;IN+ALL;SG
重建	jälleenrakennus	重建	jälleen#rakennus	V	N;NOM;SG
重建	jälleenrakentamiseen	重建	jälleen#rakentaminen	V	N;IN+ALL;SG
第六	kuudennen	第六	kuudes	NUM	ADJ;GEN;SG
第六	kuudes	第六	kuudes	NUM	ADJ;NOM;SG
基督	kristityt	基督	kristityt	PROPN	N;NOM;PL
基督	kristitty	基督	kristitty	PROPN	ADJ;NOM;SG
基督	christian	基督	christian	PROPN	N;NOM;SG
基督	kristillinen	基督	kristillinen	PROPN	ADJ;NOM;SG
基督	kristian	基督	kristian	PROPN	N;NOM;SG
基督	kristinusko	基督	kristinus	PROPN	N;NOM;SG
南方	etelä	南方	etelä	PROPN	N;NOM;SG
南方	etelän	南方	etelä	PROPN	N;GEN;SG
南方	eteläinen	南方	eteläinen	PROPN	ADJ;NOM;SG
南方	etelä	南方	etelä	PROPN	N;NOM;SG
南方	etelään	南方	etelä	PROPN	N;IN+ALL;SG
洋	ocean	洋	ocea	N	
公民	civic	公民	civic	N	
公民	kansalaisena	公民	kansalainen	N	ADJ;FRML;SG
燕	niellä	燕	se	PROPN	V;SG;NFIN;ACT
燕	yan	燕	yan	PROPN	N;NOM;SG
改善	parantaminen	改善	parantaminen	V	N;NOM;SG
改善	parannuksia	改善	parannus	V	N;PRT;PL
改善	parannukset	改善	parannus	V	N;NOM;PL
改善	parantaminen	改善	parantaminen	V	N;NOM;SG
改善	parannuksia	改善	parannus	V	N;PRT;PL
改善	parannukset	改善	parannus	V	N;NOM;PL
改善	paraneminen	改善	paraneminen	V	N;NOM;SG
改善	parannus	改善	parannus	V	N;NOM;SG
蘇聯	neuvostoliiton	蘇聯	neuvosto#liitto	PROPN	N;GEN;SG
蘇聯	neuvostoliitto	蘇聯	neuvosto#liitto	PROPN	N;NOM;SG
製造	valmistus	製造	valmistus	V	N;NOM;SG
製造	valmistus	製造	valmistus	V	N;NOM;SG
敏	min	敏	min	PROPN	N;NOM;SG
岩	rokkaa	岩	rokka	N	V;IMP;SG;2;FIN;ACT
岩	rock	岩	rock	N	
離開	lähde	離開	lähde	V	N;NOM;SG
十六	xvi	十六	xvi	PROPN	ADJ
十六	kuusitoista	十六	kuusitto	PROPN	NUM;NOM;SG
十六	sixteen	十六	sixteen	PROPN	
有	joku	有	joku	V	PRO;NOM;SG
有	jonkun	有	joku	V	PRO;GEN;SG
生命	life	生命	life	N	
調	sävelmä	調	sävelmä		N;NOM;SG
賢	hyun	賢	hyun	PROPN	N;NOM;SG
更	päivitettiin	更	päivittää	ADV	V;IND;PST;FIN;PASS
更	päivitetty	更	päivittää	ADV	V;NOM;SG;V.PTCP;PASS
更	päivitetään	更	päivittää	ADV	V;IND;PRS;FIN;PASS
更	päivittää	更	päivittää	ADV	V;SG;NFIN;ACT
更	päivitä	更	päivä	ADV	V;IMP;SG;2;FIN;ACT
更	päivitys	更	päivitys	ADV	N;NOM;SG
更	päivitystä	更	päivitys	ADV	N;PRT;SG
更	päivitetään	更	päivittää	ADV	V;IND;PRS;FIN;PASS
更	päivittäminen	更	päivittäminen	ADV	N;NOM;SG
更	päivitys	更	päivitys	ADV	N;NOM;SG
更	päivityksiä	更	päivitys	ADV	N;PRT;PL
更	päivitykset	更	päivitys	ADV	N;NOM;PL
降	laskeva	降	laskea		V;NOM;SG;V.PTCP;ACT
彈	soita	彈	soittaa	N	V;IMP;SG;2;FIN;ACT
彈	pelata	彈	pelata	N	V;SG;NFIN;ACT
彈	pelaa	彈	pelata	N	V;IMP;SG;2;FIN;ACT
彈	play	彈	play	N	
返回	paluu	返回	paluu	V	N;NOM;SG
返回	palautus	返回	palautus	V	N;NOM;SG
宇宙	kosminen	宇宙	kosminen	N	ADJ;NOM;SG
批准	ratifiointi	批准	ratifiointi	V	N;NOM;SG
批准	hyväksynnän	批准	hyväksyntä	V	N;GEN;SG
批准	hyväksyntää	批准	hyväksyntä	V	N;PRT;SG
批准	hyväksyminen	批准	hyväksyminen	V	N;NOM;SG
批准	hyväksyntä	批准	hyväksyntä	V	N;NOM;SG
瑞士	sveitsissä	瑞士	sveitsi	PROPN	PROPN;IN+ESS;SG
瑞士	sveitsi	瑞士	sveitsi	PROPN	N;NOM;SG
瑞士	sveitsin	瑞士	sveitsi	PROPN	N;GEN;SG
順	shun	順	shun		N;NOM;SG
西方	west	西方	west	PROPN	PROPN;NOM;SG
西方	lännessä	西方	länsi	PROPN	N;IN+ESS;SG
西方	läntinen	西方	läntinen	PROPN	ADJ;NOM;SG
西方	länsi	西方	länteä	PROPN	N;NOM;SG
西方	western	西方	western	PROPN	
西方	läntinen	西方	läntinen	PROPN	ADJ;NOM;SG
西方	länsi	西方	länteä	PROPN	N;NOM;SG
現代	moderni	現代	moderni	N	ADJ;NOM;SG
現代	modernia	現代	moderni	N	ADJ;PRT;SG
現代	modernit	現代	moderni	N	ADJ;NOM;PL
現代	nykyaikainen	現代	nykyaikainen	N	ADJ;NOM;SG
未來	tuleva	未來	tulla	N	ADJ;NOM;SG
芳	fang	芳	fang	PROPN	N;NOM;SG
著	kirjoitukset	著	kirjoitus	PART;PROG	N;NOM;PL
著	kirjoituksia	著	kirjoitus	PART;PROG	N;PRT;PL
金融	taloudellista	金融	taloudellinen	N	ADJ;PRT;SG
商業	kaupallista	商業	kaupallinen	N	ADJ;PRT;SG
商業	kaupalliset	商業	kaupallinen	N	ADJ;NOM;PL
商業	kaupallinen	商業	kaupallinen	N	ADJ;NOM;SG
空間	space	空間	space	N	
零	zero	零	zero	NUM	
零	nolla	零	nolla	NUM	N;NOM;SG
慶	kyung	慶	kyung	PROPN	N;NOM;SG
巨	jättiläinen	巨	jättiläinen		N;NOM;SG
過去	mennyttä	過去	mennyt	N	ADJ;PRT;SG
過去	menneet	過去	mennä	N	V;NOM;PL;V.PTCP;ACT
過去	ohi	過去	ohi	N	ADV
董	tung	董	tung	PROPN	PROPN;NOM;SG
董	dong	董	dong	PROPN	PROPN;NOM;SG
存	talletus	存	talletus	V	N;NOM;SG
提高	lisäys	提高	lisäys	V	N;NOM;SG
提高	kasvu	提高	kasvu	V	N;NOM;SG
提高	korotus	提高	korotus	V	N;NOM;SG
俊	jun	俊	juno	PROPN	PROPN;NOM;SG
訓練	koulutus	訓練	koulutus	V	N;NOM;SG
熙	hee	熙	hen	PROPN	INTJ
葡萄牙	portugalia	葡萄牙	portugali	PROPN	N;PRT;SG
葡萄牙	portugali	葡萄牙	portugali	PROPN	N;NOM;SG
葡萄牙	portugalin	葡萄牙	portugali	PROPN	N;GEN;SG
葡萄牙	portugalissa	葡萄牙	portugali	PROPN	N;IN+ESS;SG
葡萄牙	portugali	葡萄牙	portugali	PROPN	N;NOM;SG
葡萄牙	portugalin	葡萄牙	portugali	PROPN	N;GEN;SG
喬	joen	喬	joki	PROPN	N;GEN;SG
喬	joe	喬	joe	PROPN	PROPN;NOM;SG
朝鮮	korean	朝鮮	korea	PROPN	N;GEN;SG
朝鮮	korea	朝鮮	korea	PROPN	N;NOM;SG
工業	teollinen	工業	teollinen	N	ADJ;NOM;SG
蓋	gai	蓋	gai		N;NOM;SG
慧	hye	慧	hyn	PROPN	N;NOM;SG
舒	shu	舒	shu	PROPN	N;NOM;SG
授予	palkintoa	授予	palkinto	V	N;PRT;SG
授予	palkinto	授予	palkinto	V	N;NOM;SG
茂	mau	茂	mau	PROPN	N;NOM;SG
茂	shigeru	茂	shigeru	PROPN	N;NOM;SG
茂	moo	茂	moo	PROPN	N;NOM;SG
參考	viittaus	參考	viittaus	V	N;NOM;SG
參考	viite	參考	viite	V	N;NOM;SG
韓	han	韓	han	PROPN	N;NOM;SG
台北	taipei	台北	taipea	PROPN	N;NOM;SG
珍	jane	珍	jane	PROPN	PROPN;NOM;SG
珍	janea	珍	janea	PROPN	N;PRT;SG
盛	sheng	盛	sheng	PROPN	N;NOM;SG
古代	muinainen	古代	muinainen	N	ADJ;NOM;SG
古代	muinaiset	古代	muinainen	N	ADJ;NOM;PL
古代	ikivanha	古代	iki#vanha	N	ADJ;NOM;SG
灰	gray	灰	gray	N	PROPN;NOM;SG
灰	harmaata	灰	harmaa	N	ADJ;PRT;SG
灰	harmaa	灰	harmaa	N	ADJ;NOM;SG
灰	ash	灰	ash	N	PROPN;NOM;SG
灰	harmaita	灰	harmaa	N	ADJ;PRT;PL
灰	harmaata	灰	harmaa	N	ADJ;PRT;SG
灰	harmaa	灰	harmaa	N	ADJ;NOM;SG
灰	grey	灰	grey	N	
寬	leveys	寬	leveys	PART	N;NOM;SG
寬	laaja	寬	laaja	PART	ADJ;NOM;SG
寬	laaja	寬	laaja	PART	ADJ;NOM;SG
寬	leveä	寬	leveä	PART	ADJ;NOM;SG
提升	päivitys	提升	päivitys	V	N;NOM;SG
提升	parannus	提升	parannus	V	N;NOM;SG
提升	parantaminen	提升	parantaminen	V	N;NOM;SG
提升	nosto	提升	nosto	V	N;NOM;SG
提升	tankkauksen	提升	tankkaus	V	N;GEN;SG
楚	chu	楚	chu	PROPN	N;NOM;SG
新疆	xinjiangin	新疆	xinjianki	PROPN	N;GEN;SG
持續	jatkuva	持續	jatkuva	V	ADJ;NOM;SG
持續	jatkuvaa	持續	jatkuva	V	ADJ;PRT;SG
品牌	brand	品牌	brand	N	
翻譯	käännöksiä	翻譯	käännös	V	N;PRT;PL
翻譯	käännökset	翻譯	käännös	V	N;NOM;PL
翻譯	kääntäminen	翻譯	kääntäminen	V	N;NOM;SG
翻譯	käännös	翻譯	käännös	V	N;NOM;SG
翻譯	kääntäminen	翻譯	kääntäminen	V	N;NOM;SG
翻譯	käännökset	翻譯	käännös	V	N;NOM;PL
翻譯	käännöstä	翻譯	kääntö	V	N;IN+ABL;SG
自動	automaattinen	自動	automaattinen	N	ADJ;NOM;SG
自動	automaattisesti	自動	automaattisesti	N	ADV
自動	automaattinen	自動	automaattinen	N	ADJ;NOM;SG
自動	automaattisesti	自動	automaattisesti	N	ADV
自動	automaattiset	自動	automaattinen	N	ADJ;NOM;PL
自動	automaattisesti	自動	automaattisesti	N	ADV
自動	automaattinen	自動	automaattinen	N	ADJ;NOM;SG
自動	automatisoitu	自動	automatis#oitu	N	V;NOM;SG;V.PTCP;PASS
宣	xuan	宣	xuan	PROPN	N;NOM;SG
注意	huomio	注意	huomio	V	N;NOM;SG
出口	poistu	出口	poistua	N	V;IMP;SG;2;FIN;ACT
出口	vie	出口	vie	N	INTJ
出口	poistuu	出口	poistua	N	V;IND;SG;3;PRS;FIN;ACT
關於	noin	關於	noin	ADP	ADV
海外	offshore	海外	offshore	N	PROPN;NOM;SG
高速	moottoritie	高速	moottori#tie	ADJ	N;NOM;SG
高速	valtatiet	高速	valta#tie	ADJ	N;NOM;PL
高速	valtatie	高速	valta#tie	ADJ	N;NOM;SG
高速	maantie	高速	maantie	ADJ	N;NOM;SG
高速	highway	高速	highway	ADJ	N;NOM;SG
高速	moottoritie	高速	moottori#tie	ADJ	N;NOM;SG
畫	maalaa	畫	maalata	N	V;IMP;SG;2;FIN;ACT
畫	piirrä	畫	piirrä	N	V;IMP;SG;2;FIN;ACT
畫	piirtää	畫	piirtää	N	V;IND;SG;FIN;ACT
舞	tanssia	舞	tanssia	N	V;SG;NFIN;ACT
舞	tanssii	舞	tanssia	N	V;IND;SG;2;PRS;FIN;ACT
舞	tanssia	舞	tanssia	N	V;SG;NFIN;ACT
荷蘭	alankomaat	荷蘭	alan#komaat	PROPN	N;NOM;SG
避免	välttäminen	避免	välttäminen	V	N;NOM;SG
命令	komento	命令	komento	V	N;NOM;SG
命令	komentoa	命令	komento	V	N;PRT;SG
命令	komennon	命令	komento	V	N;GEN;SG
命令	tilaus	命令	tilaus	V	N;NOM;SG
命令	järjestys	命令	järjestys	V	N;NOM;SG
命令	tilaa	命令	tila	V	N;PRT;SG
命令	käsky	命令	käsky	V	N;NOM;SG
命令	määräys	命令	määräys	V	N;NOM;SG
命令	tilaukset	命令	tilaus	V	N;NOM;PL
命令	määräykset	命令	määräys	V	N;NOM;PL
命令	käskyjä	命令	käsky	V	N;PRT;PL
命令	tilauksia	命令	tilaus	V	N;PRT;PL
遠	kauas	遠	kauas		ADV
遠	kaukana	遠	kaukana		ADV
遠	pitkälle	遠	pitkälle		ADV
埃及	egypti	埃及	egypti	PROPN	N;NOM;SG
埃及	egyptin	埃及	egypti	PROPN	N;GEN;SG
埃及	egyptissä	埃及	egypti	PROPN	N;IN+ESS;SG
埃及	egyptiin	埃及	egypti	PROPN	N;IN+ALL;SG
可	coco	可	coco	V	
可	kaakaota	可	kaakao	V	N;PRT;SG
可	kaakao	可	kaakaa	V	N;NOM;SG
海岸	shore	海岸	shore	N	
水平	horisontaalinen	水平	horisontaalinen	N	ADJ;NOM;SG
輝	fai	輝	fai	PROPN	N;NOM;SG
輝	huy	輝	huy	PROPN	PROPN;NOM;SG
墨西哥	meksikossa	墨西哥	meksikko	PROPN	N;IN+ESS;SG
墨西哥	meksiko	墨西哥	meksiko	PROPN	N;NOM;SG
墨西哥	meksikoon	墨西哥	meksi#koko	PROPN	N;IN+ALL;SG
墨西哥	meksikon	墨西哥	meksikko	PROPN	N;GEN;SG
都市	metropolisin	都市	metro#polisin	N	ADV
學習	opiskelu	學習	opiskelu	V	N;NOM;SG
學習	tutkimus	學習	tutkimus	V	N;NOM;SG
學習	tutkimuksen	學習	tutkimus	V	N;GEN;SG
學習	opiskelu	學習	opiskelu	V	N;NOM;SG
學習	tutkimuksessa	學習	tutkimus	V	N;IN+ESS;SG
學習	oppiminen	學習	oppiminen	V	N;NOM;SG
學習	oppimista	學習	oppiminen	V	N;PRT;SG
學習	opiskelu	學習	opiskelu	V	N;NOM;SG
學習	oppimisen	學習	oppiminen	V	N;GEN;SG
賴	lai	賴	lai	PROPN	N;NOM;SG
阮	nguyen	阮	nguy	PROPN	N;GEN;SG
動	siirrä	動	siirtä	N	V;IMP;SG;2;FIN;ACT
動	siirry	動	siirtyä	N	V;IMP;SG;2;FIN;ACT
那些	nuo	那些	tuo	DET	PRO;NOM;PL
那些	noi	那些	tuo	DET	PRO;NOM;PL
以後	myöhemmin	以後	myöhemmin	N	ADV
以後	myöhempi	以後	myöhä	N	ADJ;NOM;CMPR;SG
容易	helppo	容易	helppo	ADV	ADJ;NOM;SG
容易	helppoa	容易	helppo	ADV	ADJ;PRT;SG
魔法	magic	魔法	magic	N	
彼得	pekka	彼得	pekka	PROPN	PROPN;NOM;SG
彼得	petteri	彼得	petteri	PROPN	N;NOM;SG
彼得	peter	彼得	peter	PROPN	PROPN;NOM;SG
彼得	pietari	彼得	pietari	PROPN	N;NOM;SG
大阪	osaka	大阪	osa	PROPN	N;NOM;SG
茶	tee	茶	tehdä	N	V;IMP;SG;2;FIN;ACT
代理	agentti	代理	agentti	V	N;NOM;SG
代理	näyttelemistä	代理	näytellä	V	N;PRT;SG
代理	asiamies	代理	asia#mies	V	N;NOM;SG
代理	proxy	代理	proxy	V	N;NOM;SG
組合	sekoita	組合	sekoittaa	N	V;IMP;SG;2;FIN;ACT
組合	sekoitetaan	組合	sekoittaa	N	V;IND;PRS;FIN;PASS
正常	tavallinen	正常	tavallinen	N	ADJ;NOM;SG
正常	normaali	正常	normaali	N	ADJ;NOM;SG
正常	normaalia	正常	normaali	N	ADJ;PRT;SG
正常	tavanomainen	正常	tavan#omainen	N	ADJ;NOM;SG
北京	pekingin	北京	pekinki	PROPN	N;GEN;SG
北京	pekingissä	北京	pekinki	PROPN	N;IN+ESS;SG
王子	prince	王子	prince	N	
夜	night	夜	nightä	N	
禁止	kielto	禁止	kielto	V	N;NOM;SG
禁止	kieltäminen	禁止	kieltäminen	V	N;NOM;SG
禁止	kielto	禁止	kielto	V	N;NOM;SG
禁止	kieltäminen	禁止	kieltäminen	V	N;NOM;SG
重播	uusinta	重播	uusi	V	ADJ;PRT;RL;SG
重播	soitto	重播	soitto	V	N;NOM;SG
重播	toisto	重播	toisto	V	N;NOM;SG
重播	uusintana	重播	uusinta	V	N;FRML;SG
蛇	snake	蛇	snake	N	
完整	täyden	完整	täysi	N	ADJ;GEN;SG
完整	täys	完整	täys	N	INTJ
完整	täydet	完整	täysi	N	ADJ;NOM;PL
完整	täysi	完整	täysi	N	ADJ;NOM;SG
完整	täynnä	完整	täynnä	N	ADV
完整	täydelliset	完整	täydellinen	N	ADJ;NOM;PL
完整	täydellinen	完整	täydellinen	N	ADJ;NOM;SG
完整	täytetään	完整	täyttää	N	V;IND;PRS;FIN;PASS
爆	räjähdys	爆	räjähdys	V	N;NOM;SG
翁	weng	翁	weng	PROPN	N;NOM;SG
德里	delhin	德里	delh	PROPN	PROPN;GEN;SG
介紹	esittelyssä	介紹	esittely	V	N;IN+ESS;SG
介紹	intro	介紹	intro	V	N;NOM;SG
介紹	esittely	介紹	esittely	V	N;NOM;SG
