през	through	през	through	ADP	
убити	assassinato	убия	assassinare	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
убити	assassinata	убия	assassinare	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
убити	ucciso	убия	uccidere	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
петков	petkov	петков	petkov	PROPN;INDF;MASC;SG	ADJ;SG
избрана	prescelto	избера	prescelto	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;SG
избрана	scelti	избера	scegliere	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
избрана	selezionati	избера	selezionato	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;PL
избрана	selezionate	избера	selezionato	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PL;PST;V.PTCP
стар	old	стар	old	ADJ;INDF;MASC;SG	N
стар	vecchi	стар	vecchio	ADJ;INDF;MASC;SG	ADJ;MASC;PL
стар	starr	стар	stare	ADJ;INDF;MASC;SG	N;MASC
планини	montagna	планина	montagna	N;INDF;FEM;PL	N;FEM;SG
сравнение	confrontare	сравнение	confrontare	N;INDF;NEUT;SG	V;NFIN
сравнение	confronta	сравнение	confrontare	N;INDF;NEUT;SG	V;IND;SG;2;PRS;FIN
бира	birre	бира	birra	N;INDF;FEM;SG	N;FEM;PL
художествена	artistiche	художествен	artistico	ADJ;INDF;FEM;SG	ADJ;FEM;PL
художествена	artistici	художествен	artistico	ADJ;INDF;FEM;SG	ADJ;MASC;PL
сътрудничество	collaborazioni	сътрудничество	collaborazione	N;INDF;NEUT;SG	N;FEM;PL
ръка	armare	ръка	armare	N;INDF;FEM;SG	V;NFIN
симеон	simeon	симеон	simeon	PROPN;INDF;MASC;SG	N;MASC;SG
симеон	simeone	симеон	simeone	PROPN;INDF;MASC;SG	N;MASC;SG
сливен	sliven	сливен	sliven	PROPN;INDF;MASC;SG	ADJ;FEM;SG
изградена	costruite	изградя	costruire	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
изградена	costruiti	изградя	costruire	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
дадена	dato	даден	dare	ADJ;INDF;FEM;SG	V;MASC;SG;PST;V.PTCP
драма	drammi	драма	dramma	N;INDF;FEM;SG	N;MASC;PL
архитектура	architetture	архитектура	architettura	N;INDF;FEM;SG	N;FEM;PL
христос	christ	христос	christ	N;INDF;MASC;SG	
указ	decreti	указ	decreto	N;INDF;MASC;SG	N;MASC;PL
годишен	annuali	годишен	annuale	ADJ;INDF;MASC;SG	ADJ;PL
старши	senior	старши	seniore	ADJ;INDF;MASC;SG	N;MASC;SG
японски	giapponesi	японски	giapponese	ADJ;INDF;MASC;SG	N;PL
местни	locale	местен	locale	ADJ;INDF;PL	ADJ;SG
местни	local	местен	local	ADJ;INDF;PL	N
местни	nativi	местен	nativo	ADJ;INDF;PL	N;MASC;PL
местни	nativo	местен	nativo	ADJ;INDF;PL	ADJ;MASC;SG
местни	indigeno	местен	indigeno	ADJ;INDF;PL	ADJ;MASC;SG
погребан	sepolte	погребан	sepolto	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;PL
погребан	sepolto	погребан	sepolto	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG
погребан	sepolti	погребан	seppellire	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL
луис	lewis	луис	lewis	PROPN;INDF;MASC;SG	N
луис	luis	луис	luis	PROPN;INDF;MASC;SG	N;MASC;SG
луис	luigi	луис	luigi	PROPN;INDF;MASC;SG	N;MASC;SG
учен	scienziati	учен	scienziato	N;INDF;MASC;SG	N;MASC;PL
наса	nasa	наса	nasa	PROPN;INDF;MASC;SG	N;FEM;SG
кара	kara	карам-се	kara	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;SG
кара	azionamenti	карам-се	azionamento	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
кара	cara	карам-се	caro	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;FEM;SG
дания	danimarca	дания	danimarco	PROPN;INDF;FEM;SG	N;FEM;SG
конфликт	conflitti	конфликт	conflitto	N;INDF;MASC;SG	N;MASC;PL
запазени	riservata	запазя-(се)	riservare	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
запазени	riservato	запазя-(се)	riservato	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG
запазени	conservato	запазя-(се)	conservare	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
запазени	conservata	запазя-(се)	conservare	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
мнение	osservazioni	мнение	osservazione	N;INDF;NEUT;SG	N;FEM;PL
мнение	commenti	мнение	commento	N;INDF;NEUT;SG	N;MASC;PL
мнение	opinioni	мнение	opinione	N;INDF;NEUT;SG	N;FEM;PL
мнение	pareri	мнение	parere	N;INDF;NEUT;SG	N;MASC;PL
осем	eight	осем	eight	NUM;INDF;PL	N;SG
югоизточна	sudest	югоизточен	sudest	ADJ;INDF;FEM;SG	N;MASC;SG
петербург	pietroburgo	петербург	pietroburgo	PROPN;INDF;MASC;SG	N;MASC;SG
фердинанд	ferdinando	фердинанд	ferdinare	N;INDF;MASC;SG	V;V.MSDR
празник	festeggiamenti	празник	festeggiamento	N;INDF;MASC;SG	N;MASC;PL
празник	celebrazioni	празник	celebrazione	N;INDF;MASC;SG	N;FEM;PL
квинт	quinto	квинт	quinto	PROPN;INDF;MASC;SG	ADJ;MASC;SG
символ	simboli	символ	simbolo	N;INDF;MASC;SG	N;MASC;PL
млади	giovani	млад	giovane	ADJ;INDF;PL	N;PL
млади	giovane	млад	giovane	ADJ;INDF;PL	N;SG
млади	young	млад	young	ADJ;INDF;PL	N
открита	scoperti	открия-(се)	scoprire	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
открита	scoperta	открия-(се)	scoperta	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;FEM;SG
открита	scoperte	открия-(се)	scoprire	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;FEM;PL
изпратен	inviato	изпратя	inviato	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;SG
изпратен	inviati	изпратя	inviare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
сирия	siria	сир	siria	PROPN;INDF;FEM;SG	N;FEM;SG
обновяване	aggiorna	обновяване	aggiornare	N;INDF;NEUT;SG	V;IMP;SG;2;PRS;FIN
обновяване	aggiornamenti	обновяване	aggiornamento	N;INDF;NEUT;SG	N;MASC;PL
обновяване	aggiornare	обновяване	aggiornare	N;INDF;NEUT;SG	V;NFIN
обновяване	aggiorna	обновяване	aggiornare	N;INDF;NEUT;SG	V;IMP;SG;2;PRS;FIN
дял	partizioni	дял	partizione	N;INDF;MASC;SG	N;FEM;PL
дял	tagliata	дял	tagliare	N;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
дял	tagliare	дял	tagliare	N;INDF;MASC;SG	V;NFIN
дял	condividi	дял	condividere	N;INDF;MASC;SG	V;IMP;SG;2;PRS;FIN
дял	condividere	дял	condividere	N;INDF;MASC;SG	V;NFIN
самолети	aeromobile	самолет	aeromobile	N;INDF;MASC;PL	N;MASC;SG
никой	nessuno	никой	nessuno	PRO;NOM;MASC;SG	PRO;MASC;SG
обхваща	copertine	обхващам	copertina	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
обхваща	coperture	обхващам	copertura	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
големина	dimensioni	големина	dimensione	N;INDF;FEM;SG	N;FEM;PL
историк	storico	историк	storico	N;INDF;MASC;SG	ADJ;MASC;SG
каза	said	кажа	said	V;PFV;IND;SG;3;PST;FIN;ACT	
обявен	dichiarate	обявя-(се)	dichiarare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
обявен	dichiarati	обявя-(се)	dichiarare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
обявен	annunciati	обявя-(се)	annunciare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
танзания	tanzania	танзания	tanzania	PROPN;INDF;FEM;SG	N;FEM;SG
музикален	musical	музикален	musical	ADJ;INDF;MASC;SG	N;MASC
музикален	musicali	музикален	musicale	ADJ;INDF;MASC;SG	N;MASC;PL
археологически	archeologici	археологически	archeologico	ADJ;INDF;MASC;SG	ADJ;MASC;PL
археологически	archeologici	археологически	archeologico	ADJ;INDF;MASC;SG	ADJ;MASC;PL
тайланд	thailandia	тайланд	thailandia	PROPN;INDF;MASC;SG	N;FEM;SG
тайланд	tailandia	тайланд	tailandia	PROPN;INDF;MASC;SG	N;FEM;SG
работил	lavorate	работя	lavorare	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
работил	lavorati	работя	lavorato	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
религия	religioni	религия	religione	N;INDF;FEM;SG	N;FEM;PL
веднъж	once	веднъж	oncia	ADV	N;MASC;SG
хърватия	croazia	хърват	croazia	PROPN;INDF;FEM;SG	N;FEM;SG
херцеговина	erzegovina	херцеговина	erzegovinare	N;INDF;FEM;SG	ADJ;FEM;SG
въоръжени	armata	въоръжа	armata	V;PFV;INDF;PL;V.PTCP;PASS	N;FEM;SG
въоръжени	armati	въоръжа	armato	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;PL
въоръжени	armato	въоръжа	armato	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG
бавария	baviera	бавария	baviera	PROPN;INDF;FEM;SG	N;FEM;SG
подготовка	prepararsi	подготовка	preparsii	N;INDF;FEM;SG	
подготовка	preparativi	подготовка	preparativo	N;INDF;FEM;SG	N;MASC;PL
подготовка	preparati	подготовка	preparare	N;INDF;FEM;SG	ADJ;MASC;PL
подготовка	preparazioni	подготовка	preparazione	N;INDF;FEM;SG	N;FEM;PL
публий	publio	публий	publio	PROPN;INDF;MASC;SG	N;MASC;SG
народ	persone	народ	persona	N;INDF;MASC;SG	N;FEM;PL
отговор	rispondi	отговор	rispondere	N;INDF;MASC;SG	V;IND;SG;2;PRS;FIN
отговор	rispondi	отговор	rispondere	N;INDF;MASC;SG	V;IND;SG;2;PRS;FIN
отговор	rispondete	отговор	rispondere	N;INDF;MASC;SG	V;IND;PL;2;PRS;FIN
технологии	tecnologia	технология	tecnologia	N;INDF;FEM;PL	N;FEM;SG
общи	generica	общ	generico	ADJ;INDF;PL	ADJ;FEM;SG
общи	generico	общ	generico	ADJ;INDF;PL	N;MASC;SG
общи	comune	общ	comune	ADJ;INDF;PL	ADJ;SG
общи	comuni	общ	comune	ADJ;INDF;PL	N;MASC;PL
общи	common	общ	common	ADJ;INDF;PL	N
общи	generali	общ	generale	ADJ;INDF;PL	N;MASC;PL
общи	general	общ	general	ADJ;INDF;PL	N;FEM;SG
общи	generale	общ	generale	ADJ;INDF;PL	ADJ;SG
общи	generalità	общ	generalità	ADJ;INDF;PL	N;FEM
поведение	comportamenti	поведение	comportamento	N;INDF;NEUT;SG	N;MASC;PL
поведение	comportamenti	поведение	comportamento	N;INDF;NEUT;SG	N;MASC;PL
знак	firmare	знак	firmare	N;INDF;MASC;SG	V;NFIN
функция	funzioni	функция	funzione	N;INDF;FEM;SG	N;FEM;PL
тодоров	todorov	тодоров	todorov	PROPN;INDF;MASC;SG	N;MASC;SG
приет	accettate	приема	accettare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
приет	accettati	приема	accettare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
приет	adottati	приема	adottare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
приет	ammessi	приема	ammettere	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
ранен	feriti	раня	ferito	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;PL
ранен	feriti	раня	ferito	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;PL
десет	ten	десет	ten	NUM;INDF;PL	N
михайлов	mikhailov	михайлов	mikhailov	PROPN;INDF;MASC;SG	N;MASC;SG
зимата	invernali	зима	invernale	N;DEF;FEM;SG	N;MASC;PL
загуба	perdite	загуба	perdita	N;INDF;FEM;SG	N;FEM;PL
видин	vidin	видин	vidin	PROPN;INDF;MASC;SG	N;MASC;SG
формат	formato	формат	formare	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
културно	culturale	културно	culturale	ADV	ADJ;SG
светлина	leggero	светлина	leggero	N;INDF;FEM;SG	ADJ;MASC;SG
светлина	leggeri	светлина	leggero	N;INDF;FEM;SG	ADJ;MASC;PL
светлина	leggera	светлина	leggero	N;INDF;FEM;SG	ADJ;FEM;SG
залива	golfo	заливам	golfo	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
допълнителни	addizionale	допълнителен	addizionale	ADJ;INDF;PL	ADJ;SG
допълнителни	aggiuntivo	допълнителен	aggiuntivo	ADJ;INDF;PL	ADJ;MASC;SG
допълнителни	extra	допълнителен	extra	ADJ;INDF;PL	N
обществени	pubblica	обществен	pubblico	ADJ;INDF;PL	ADJ;FEM;SG
обществени	public	обществен	public	ADJ;INDF;PL	N
обществени	pubblico	обществен	pubblico	ADJ;INDF;PL	ADJ;MASC;SG
юлий	julius	юлий	julius	PROPN;INDF;MASC;SG	N;MASC
юлий	giulio	юлий	giulio	PROPN;INDF;MASC;SG	N;MASC;SG
червен	red	червен	red	ADJ;INDF;MASC;SG	N
хасково	haskovo	хасково	haskovo	ADV	N;MASC;SG
важно	importante	важно	importante	ADV	ADJ;SG
важно	importanti	важно	importante	ADV	ADJ;PL
намалява	diminuzioni	намалявам	diminuzione	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
армения	armenia	армения	armenia	PROPN;INDF;FEM;SG	N;FEM;SG
поети	poeti	поема	poeta	V;PFV;INDF;PL;V.PTCP;PASS	N;MASC;PL
търси	ricerca	търся	ricerca	V;IPFV;IMP;SG;3;PRS;FIN	N;FEM;SG
търси	cerca	търся	cercare	V;IPFV;IMP;SG;3;PRS;FIN	V;IMP;SG;2;PRS;FIN
сериозно	serietà	сериозно	serietà	ADV	N;FEM
сериозно	serio	сериозно	serio	ADV	ADJ;MASC;SG
сериозно	grave	сериозно	grave	ADV	ADJ;SG
сериозно	seri	сериозно	serio	ADV	ADJ;MASC;PL
включени	compreso	включа-(се)	comprendere	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
включени	incluso	включа-(се)	includere	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
включени	inclusa	включа-(се)	includere	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
включени	incluse	включа-(се)	incluso	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;PL
произвежда	manufatti	произвеждам	manufatto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
холандия	olanda	холандия	olanda	PROPN;INDF;FEM;SG	N;FEM;SG
холандия	holland	холандия	holland	PROPN;INDF;FEM;SG	N
арестуван	arresti	арестувам	arresto	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;PL
арестуван	arresto	арестувам	arresto	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;SG
арестуван	arrestati	арестувам	arrestare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
свободен	gratis	свободен	gratis	ADJ;INDF;MASC;SG	N
свободен	liberi	свободен	libero	ADJ;INDF;MASC;SG	ADJ;MASC;PL
свободен	free	свободен	frendere	ADJ;INDF;MASC;SG	N
свързана	correlati	свържа	correlato	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
свързана	correlato	свържа	correlato	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;SG
свързана	connesso	свържа	connesso	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;SG
свързана	collegati	свържа	collegare	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
свързана	connessa	свържа	connessare	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;SG
гласуване	vota	гласуване	votare	N;INDF;NEUT;SG	V;IND;SG;2;PRS;FIN
гласуване	votate	гласуване	votare	N;INDF;NEUT;SG	V;IND;PL;2;PST;FIN
гласуване	votazioni	гласуване	votazione	N;INDF;NEUT;SG	N;FEM;PL
речник	dizionari	речник	dizionario	N;INDF;MASC;SG	N;MASC;PL
атака	attaccare	атака	attaccare	N;INDF;FEM;SG	V;NFIN
мъжка	maschile	мъжка	maschile	N;INDF;FEM;SG	ADJ;SG
мъжка	maschi	мъжка	maschio	N;INDF;FEM;SG	N;MASC;PL
чужбина	oltreoceano	чужбина	oltreoceano	N;INDF;FEM;SG	N;MASC;PL
ляв	lasciato	ляв	lasciare	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
създадени	creato	създам	creare	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
създадени	creata	създам	creare	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
финал	finale	финал	finale	N;INDF;MASC;SG	ADJ;SG
финал	finali	финал	finale	N;INDF;MASC;SG	ADJ;PL
финал	finale	финал	finale	N;INDF;MASC;SG	ADJ;SG
изборите	elezione	избор	elezione	N;DEF;MASC;PL	N;FEM;SG
ресурси	risorsa	ресурс	risorsa	N;INDF;MASC;PL	N;FEM;SG
сен	sen	сен	sen	PROPN	N;MASC;SG
самолет	aereo	самолет	aereo	N;INDF;MASC;SG	ADJ;MASC;SG
самолет	aereo	самолет	aereo	N;INDF;MASC;SG	ADJ;MASC;SG
самолет	aereo	самолет	aereo	N;INDF;MASC;SG	ADJ;MASC;SG
чили	peperoncini	чила	peperoncino	PROPN;INDF;MASC;SG	N;MASC;PL
чили	peperoncino	чила	peperoncino	PROPN;INDF;MASC;SG	N;MASC;SG
чили	chili	чила	chilo	PROPN;INDF;MASC;SG	N;MASC;PL
чили	cile	чила	cila	PROPN;INDF;MASC;SG	N;MASC;SG
предава	trasmetta	предавам-(се)	trasmettere	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
предава	trasmettono	предавам-(се)	trasmettere	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
македонска	macedoni	македонски	macedone	ADJ;INDF;FEM;SG	N;MASC;PL
науката	scienze	наука	scienza	N;DEF;FEM;SG	N;FEM;PL
ниска	bassi	нисък	basso	ADJ;INDF;FEM;SG	ADJ;MASC;PL
ниска	low	нисък	low	ADJ;INDF;FEM;SG	V;IND;SG;2;PRS;FIN
научно	scientifico	научно	scientifico	ADV	ADJ;MASC;SG
научно	scientifica	научно	scientifico	ADV	ADJ;FEM;SG
приблизително	approssimativo	приблизително	approssimativo	ADV	ADJ;MASC;SG
приблизително	approssimativa	приблизително	approssimativo	ADV	ADJ;FEM;SG
централен	central	централен	central	ADJ;INDF;MASC;SG	N
централен	centrale	централен	centrale	ADJ;INDF;MASC;SG	N;MASC;SG
бяха	erano	съм	essere	V;IPFV;IND;PL;3;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
дел	del	дел	di	PROPN	ADJ;SG
дел	dell	дел	di	PROPN	ADJ;SG
австрийски	austriaci	австрийски	austriaco	PROPN;INDF;MASC;SG	N;MASC;PL
австрийски	austriaco	австрийски	austriaco	PROPN;INDF;MASC;SG	ADJ;MASC;SG
австрийски	austriaca	австрийски	austriaco	PROPN;INDF;MASC;SG	ADJ;FEM;SG
австрийски	austrian	австрийски	austrian	PROPN;INDF;MASC;SG	N
важен	importanti	важен	importante	ADJ;INDF;MASC;SG	ADJ;PL
ернст	ernst	ернст	ernst	PROPN;INDF;MASC;SG	N;MASC;SG
вестници	quotidiano	вестник	quotidiano	N;INDF;MASC;PL	ADJ;MASC;SG
вестници	giornale	вестник	giornale	N;INDF;MASC;PL	N;MASC;SG
марко	marko	марко	marko	PROPN;INDF;MASC;SG	N;MASC;SG
марко	marco	марко	marco	PROPN;INDF;MASC;SG	N;MASC;SG
бозайник	mammifero	бозайник	mammifero	N;INDF;MASC;SG	ADJ;MASC;SG
бозайник	mammiferi	бозайник	mammifero	N;INDF;MASC;SG	N;MASC;PL
необходимо	necessario	необходимо	necessario	ADV	ADJ;MASC;SG
необходимо	necessari	необходимо	necessario	ADV	ADJ;MASC;PL
необходимо	necessarie	необходимо	necessario	ADV	ADJ;FEM;PL
необходимо	necessaria	необходимо	necessario	ADV	ADJ;FEM;SG
сваляне	scarica	сваляне	scarica	N;INDF;NEUT;SG	V;IMP;SG;2;PRS;FIN
сваляне	scaricare	сваляне	scaricare	N;INDF;NEUT;SG	V;NFIN
киселина	acidi	киселина	acido	N;INDF;FEM;SG	N;MASC;PL
оставя	foglie	оставям-(се)	foglia	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
традиция	tradizioni	традиция	tradizione	N;INDF;FEM;SG	N;FEM;PL
слабо	debole	слабо	debole	ADV	ADJ;SG
слабо	deboli	слабо	debole	ADV	ADJ;PL
свързан	associati	свържа	associare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
свързан	associate	свържа	associare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
свързан	correlati	свържа	correlato	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
свързан	correlato	свържа	correlato	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG
свързан	connesso	свържа	connesso	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG
свързан	collegati	свържа	collegare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
свързан	connessa	свържа	connessare	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG
финландия	finlandia	финландия	finlandia	PROPN;INDF;FEM;SG	N;FEM;SG
франц	franz	франц	franz	PROPN;INDF;MASC;SG	N;MASC;SG
монтана	montana	монтана	montano	PROPN;INDF;FEM;SG	ADJ;FEM;SG
милано	milan	милано	milan	PROPN;INDF;MASC;SG	N;MASC
милано	milano	милано	milano	PROPN;INDF;MASC;SG	ADJ;MASC;SG
сценарий	scenari	сценарий	scenario	N;INDF;MASC;SG	N;MASC;PL
шарл	carlo	шарл	carlo	PROPN;INDF;MASC;SG	N;MASC;SG
сръбска	serbi	сръбски	serbo	ADJ;INDF;FEM;SG	N;MASC;PL
увеличава	aumenti	увеличавам-(се)	aumento	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
тежки	heavy	тежък	heavy	ADJ;INDF;PL	N
тежки	pesante	тежък	pesante	ADJ;INDF;PL	ADJ;SG
тежки	severo	тежък	severo	ADJ;INDF;PL	ADJ;MASC;SG
тежки	severa	тежък	severo	ADJ;INDF;PL	ADJ;FEM;SG
тежки	grave	тежък	grave	ADJ;INDF;PL	ADJ;SG
враца	vraca	враца	vraca	N;INDF;FEM;SG	ADJ;SG
международна	internazionali	международен	internazionale	ADJ;INDF;FEM;SG	ADJ;PL
международна	international	международен	international	ADJ;INDF;FEM;SG	N;FEM
горно	gorno	горен	gornare	ADV	N;MASC;SG
нобелова	nobel	нобелова	nobel	PROPN;INDF;FEM;SG	N;MASC;SG
британска	british	британски	british	ADJ;INDF;FEM;SG	N;MASC
британска	inglesi	британски	inglese	ADJ;INDF;FEM;SG	N;PL
британска	britannici	британски	britannico	ADJ;INDF;FEM;SG	ADJ;MASC;PL
черни	neri	черен	nero	ADJ;INDF;PL	N;MASC;PL
черни	nera	черен	nero	ADJ;INDF;PL	ADJ;FEM;SG
черни	black	черен	black	ADJ;INDF;PL	N
черни	nero	черен	nero	ADJ;INDF;PL	ADJ;MASC;SG
черни	neri	черен	nero	ADJ;INDF;PL	N;MASC;PL
картата	mappa	карта	mappa	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
търсене	cercare	търсене	cercare	N;INDF;NEUT;SG	V;NFIN
търсене	cerca	търсене	cercare	N;INDF;NEUT;SG	V;IMP;SG;2;PRS;FIN
директно	diretta	директно	diretta	ADV	N;FEM;SG
директно	direct	директно	direct	ADV	N
директно	diretto	директно	diretto	ADV	ADJ;MASC;SG
надпис	iscrizioni	надпис	iscrizione	N;INDF;MASC;SG	N;FEM;PL
личен	personal	личен	personal	ADJ;INDF;MASC;SG	N
личен	personali	личен	personale	ADJ;INDF;MASC;SG	ADJ;PL
личен	privati	личен	privato	ADJ;INDF;MASC;SG	ADJ;MASC;PL
личен	private	личен	privato	ADJ;INDF;MASC;SG	ADJ;FEM;PL
личен	soldato	личен	soldato	ADJ;INDF;MASC;SG	N;MASC;SG
рудолф	rodolfo	рудолф	rodolfo	PROPN;INDF;MASC;SG	N;MASC;SG
рудолф	rudolph	рудолф	rudolph	PROPN;INDF;MASC;SG	N;MASC;SG
рудолф	rodolfo	рудолф	rodolfo	PROPN;INDF;MASC;SG	N;MASC;SG
рудолф	rudolf	рудолф	rudolf	PROPN;INDF;MASC;SG	N;MASC;SG
разделя	suddivisioni	разделя-(се)	suddivisione	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
разстояние	distanze	разстояние	distanza	N;INDF;NEUT;SG	N;FEM;PL
червено	rosso	червено	rosso	ADV	ADJ;MASC;SG
червено	rossa	червено	rosso	ADV	ADJ;FEM;SG
червено	red	червено	red	ADV	N
удар	soffia	удар	soffiare	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
приложение	allegato	приложение	allegare	N;INDF;NEUT;SG	V;MASC;SG;PST;V.PTCP
външна	esterni	външен	esterno	ADJ;INDF;FEM;SG	ADJ;MASC;PL
демократична	democratiche	демократичен	democratico	ADJ;INDF;FEM;SG	ADJ;FEM;PL
демократична	democratici	демократичен	democratico	ADJ;INDF;FEM;SG	N;MASC;PL
херман	hermann	херман	hermann	PROPN;INDF;MASC;SG	N;MASC;SG
херман	ermanno	херман	essere	PROPN;INDF;MASC;SG	N;MASC;SG
херман	ermanno	херман	essere	PROPN;INDF;MASC;SG	N;MASC;SG
херман	herman	херман	herman	PROPN;INDF;MASC;SG	N;MASC;SG
херман	herrmann	херман	herrmann	PROPN;INDF;MASC;SG	N;FEM;SG
останки	rimane	останка	rimanere	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
останки	relitto	останка	relitto	N;INDF;FEM;PL	N;MASC;SG
пълна	full	пълен	full	ADJ;INDF;FEM;SG	N
пълна	complete	пълен	completo	ADJ;INDF;FEM;SG	ADJ;FEM;PL
пълна	completata	пълен	completare	ADJ;INDF;FEM;SG	V;FEM;SG;PST;V.PTCP
пълна	completato	пълен	completare	ADJ;INDF;FEM;SG	V;MASC;SG;PST;V.PTCP
пълна	completi	пълен	completo	ADJ;INDF;FEM;SG	ADJ;MASC;PL
