astronomie	astronomii	astronomie	astronomia	N;FEM;SG	
hôte	przyjmujące	hôte	przyjmujący	N;MASC;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
revers	backhand	revers	backhand	N;MASC;SG	
sergio	sergio	sergio	sergio	PROPN	
calme	cicho	calme	cicho	ADJ;MASC;SG	ADV
calme	cisza	calme	cisza	ADJ;MASC;SG	N;NOM;FEM;SG
organe	body	organe	bód	N;MASC;SG	
organe	nadwozia	organe	nadwóziać	N;MASC;SG	
organe	narządów	organe	narząd	N;MASC;SG	N;GEN;MASC;PL
organe	narządy	organe	narząd	N;MASC;SG	N;NOM;MASC;PL
organe	organy	organe	organa	N;MASC;SG	N;NOM;MASC;PL
todd	todda	todd	todd	PROPN	N;ACC;MASC;SG
todd	todd	todd	todd	PROPN	PROPN;NOM;MASC;SG
panama	panama	panama	pan	PROPN	N;NOM;MASC;SG
panama	panamy	panama	pan	PROPN	N;GEN;FEM;PL
enregistrements	records	enregistrement	records	N;MASC;PL	
enregistrements	rejestracji	enregistrement	rejestracja	N;MASC;PL	N;GEN;FEM;SG
globale	ogólnie	global	ogólnie	ADJ;FEM;SG	ADV
#aaaaaa	#aaaaaa	#aaaaaa	Saaaaa	PROPN	
hunter	łowca	hunter	łowiec	PROPN	N;NOM;MASC;SG
hunter	hunter	hunter	hunter	PROPN	
hunter	myśliwy	hunter	myśliwy	PROPN	N;NOM;MASC;SG
heureux	szczęśliwi	heureux	szczęśliwy	ADJ;MASC;SG	ADJ;NOM;MASC;PL
heureux	wszystkiego	heureux	wszystko	ADJ;MASC;SG	PRO;GEN;NEUT;SG
alaska	alaska	alaska	alaska	PROPN	
alaska	alaski	alaska	alaski	PROPN	
perdues	zagubiona	perdre	zagubić	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
perdues	zagubiony	perdre	zagubić	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
perdues	stracił	perdre	stracić	V;FEM;PL;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
perdues	stracone	perdre	stracić	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
perdues	utracone	perdre	utracić	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
bébé	baby	bébé	baba	N;MASC;SG	
bébé	babe	bébé	baba	N;MASC;SG	
entré	wprowadzone	entrer	wprowadzić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
entré	wpisane	entrer	wpisać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
entré	wprowadzony	entrer	wprowadzić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
moments	moments	moment	moments	N;MASC;PL	
moments	chwile	moment	chwila	N;MASC;PL	N;NOM;FEM;SG
dépendant	zależny	dépendre	zależny	V;PRS;V.PTCP	ADJ;NOM;MASC;SG
dépendant	zależne	dépendre	zależny	V;PRS;V.PTCP	ADJ;NOM;NEUT;SG
perse	perski	perse	perski	PROPN	ADJ;NOM;MASC;SG
perse	persji	perse	persja	PROPN	
perse	perse	perse	perse	PROPN	
diesel	diesel	diesel	diesel	N;MASC;SG	
diesel	diesla	diesel	diesla	N;MASC;SG	
indiquant	wskazujące	indiquer	wskazywać	V;PRS;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
phoenix	feniks	phoenix	feniks	PROPN	
phoenix	phoenix	phoenix	phoenik	PROPN	N;NOM;MASC;SG
valley	doliny	valley	dolina	PROPN	
valley	valley	valley	valley	PROPN	
valley	dolina	valley	dolinać	PROPN	
valley	dolinie	valley	dolin	PROPN	
lópez	lópez	lópez	lópez	PROPN	PROPN;NOM;MASC;SG
lópez	lópez	lópez	lópez	PROPN	PROPN;NOM;MASC;SG
lópez	lopez	lópez	lopez	PROPN	
erik	eryk	erik	eryk	PROPN	PROPN;NOM;MASC;SG
erik	erik	erik	erik	PROPN	PROPN;NOM;MASC;SG
comprennent	dołącz	comprendre	dołączyć	V;IND;PL;3;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
délai	przerwa	délai	przerwa	N;MASC;SG	
magic	magiczne	magic	magiczny	PROPN	ADJ;NOM;NEUT;SG
magic	czary	magic	czar	PROPN	N;NOM;MASC;PL
magic	magic	magic	magica	PROPN	
magic	magii	magic	magaia	PROPN	N;GEN;FEM;SG
magic	magia	magic	magia	PROPN	N;NOM;FEM;SG
peugeot	peugeot	peugeot	peugeot	N;MASC;SG	
chapeau	kapelusze	chapeau	kapelusz	N;MASC;SG	N;ACC;MASC;PL
chapeau	czapki	chapeau	czapka	N;MASC;SG	N;NOM;FEM;PL
vénus	venus	vénu	venus	PROPN	
vénus	wenus	vénu	wenus	PROPN	
portait	nosił	porter	nosić	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
portait	nosiła	porter	nosić	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
comptant	kasy	compter	kasa	V;PRS;V.PTCP	N;ACC;FEM;SG
comptant	gotówką	compter	gotówka	V;PRS;V.PTCP	N;INS;FEM;SG
comptant	gotówkę	compter	gotówka	V;PRS;V.PTCP	N;ACC;FEM;SG
comptant	cash	compter	cashać	V;PRS;V.PTCP	
comptant	gotówka	compter	gotówka	V;PRS;V.PTCP	N;NOM;FEM;SG
ted	ted	ted	ted	PROPN	
uniforme	mundury	uniforme	mundur	ADJ;MASC;SG	N;NOM;MASC;PL
uniforme	jednolite	uniforme	jednolity	ADJ;MASC;SG	
uniforme	uniform	uniforme	uniforma	ADJ;MASC;SG	
uniforme	mundur	uniforme	mundur	ADJ;MASC;SG	N;NOM;MASC;SG
libéraux	liberalne	libéral	liberalny	N;MASC;PL	ADJ;NOM;NEUT;SG
éliminé	wyeliminowane	éliminer	wyeliminować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
éliminé	wyeliminowany	éliminer	wyeliminować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
portugaise	portugalii	portugais	portugalia	ADJ;FEM;SG	
edition	wyd	edition	wyd	N;FEM;SG	
supérieurs	superior	supérieur	superior	ADJ;MASC;PL	
supérieurs	przełożony	supérieur	przełożyć	ADJ;MASC;PL	N;NOM;MASC;SG
supérieurs	przełożonych	supérieur	przełożony	ADJ;MASC;PL	N;GEN;MASC;PL
festivals	festiwale	festival	festiwal	N;MASC;PL	N;NOM;MASC;SG
wta	wta	wta	wtać	N;MASC;SG	PROPN;NOM;FEM;SG
isle	isle	isle	isle	N;FEM;SG	
sebastian	sebastian	sebastian	sebastianin	PROPN	N;NOM;MASC;SG
sebastian	sebastiana	sebastian	sebastiany	PROPN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
ducs	dukes	duc	dukes	N;MASC;PL	
alphabétique	alfabetycznie	alphabétique	alfabetycznie	ADJ;MASC;SG	ADV
juliette	juliette	juliette	juliett	N;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
juliette	julia	juliette	julia	N;FEM;SG	PROPN;NOM;FEM;SG
juliette	juliet	juliette	juliet	N;FEM;SG	PROPN;NOM;FEM;SG
attribution	przydziały	attribution	przydział	N;FEM;SG	N;NOM;MASC;PL
attribution	atrybucji	attribution	atrybucja	N;FEM;SG	
harmattan	harmattan	harmattan	harmattan	PROPN	
protestants	protestanci	protestant	protestant	ADJ;MASC;PL	N;NOM;MASC;PL
protestants	protestancki	protestant	protestancki	ADJ;MASC;PL	ADJ;NOM;MASC;SG
arrestation	aresztowany	arrestation	aresztować	N;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
cristal	crystal	cristal	crystal	N;MASC;SG	
cristal	kryształy	cristal	kryształ	N;MASC;SG	N;NOM;MASC;PL
cristal	cristal	cristal	cristal	N;MASC;SG	
combinaison	kombinacje	combinaison	kombinacja	N;FEM;SG	N;ACC;FEM;PL
combinaison	combo	combinaison	combo	N;FEM;SG	
taxe	podatki	taxe	podatek	N;FEM;SG	N;NOM;MASC;PL
jouée	zagrali	jouer	zagrać	V;FEM;SG;PST;V.PTCP	V;PFV;MASC;IND;PL;PST;FIN;ACT
malaisie	malezja	malaisie	malezja	PROPN	
malaisie	malezji	malaisie	malezja	PROPN	
malaisie	malaya	malaisie	malay	PROPN	
nominations	nominacji	nomination	nominacja	N;FEM;PL	N;GEN;FEM;SG
nominations	kandydatury	nomination	kandydatura	N;FEM;PL	N;GEN;FEM;SG
terminée	zakończony	terminer	zakończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terminée	zrealizowane	terminer	zrealizować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terminée	zakończone	terminer	zakończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terminée	zakończona	terminer	zakończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
terminée	zaliczone	terminer	zaliczyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terminée	ukończone	terminer	ukończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terminée	skończony	terminer	skończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terminée	zakończone	terminer	zakończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terminée	skończone	terminer	skończyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
insurrection	powstania	insurrection	powstanie	N;FEM;SG	
insurrection	powstanie	insurrection	powstać	N;FEM;SG	
repas	posiłki	repas	posiłek	N;MASC;SG	N;NOM;MASC;PL
repas	posiłków	repas	posiłek	N;MASC;SG	N;GEN;MASC;PL
éthique	etycznych	éthique	etyczny	ADJ;MASC;SG	ADJ;GEN;MASC;PL
éthique	etyka	éthique	etyka	ADJ;MASC;SG	N;NOM;FEM;SG
éthique	etyki	éthique	etyk	ADJ;MASC;SG	
hesse	hesji	hesse	hesja	PROPN	PROPN;NOM;FEM;SG
hesse	hesse	hesse	hess	PROPN	PROPN;NOM;MASC;SG
bâti	zbudowany	bâtir	zbudować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
bâti	wybudowany	bâtir	wybudować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
bâti	zbudowane	bâtir	zbudować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
bâti	zbudowana	bâtir	zbudować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
halle	halle	halle	hall	N;FEM;SG	
luxe	deluxe	luxe	deluka	N;MASC;SG	
luxe	luksusowy	luxe	luksusowy	N;MASC;SG	ADJ;NOM;MASC;SG
luxe	luksusowy	luxe	luksusowy	N;MASC;SG	ADJ;NOM;MASC;SG
luxe	luksusowe	luxe	luksusowy	N;MASC;SG	ADJ;NOM;NEUT;SG
estimée	szacowana	estimer	szacować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
estimée	szacowany	estimer	szacować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
estimée	szacunkowy	estimer	szacunkowy	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
lorenzo	lorenzo	lorenzo	lorenzo	PROPN	PROPN;NOM;MASC;SG
grenade	grenada	grenade	grenadać	N;FEM;SG	
grenade	granada	grenade	granada	N;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
rob	rob	rob	rob	PROPN	V;PFV;IMP;SG;2;FIN;ACT
rob	roba	rob	roba	PROPN	
casablanca	casablance	casablanca	casablanka	PROPN	N;GEN;FEM;SG
dennis	dennisa	dennis	dennis	PROPN	N;ACC;MASC;SG
dennis	dennis	dennis	dennis	PROPN	PROPN;NOM;MASC;SG
mail	mail	mail	mail	N;MASC;SG	
mobilier	meble	mobilier	mebel	N;MASC;SG	N;NOM;MASC;PL
cat	kotek	cat	kotek		N;NOM;MASC;SG
cat	kotka	cat	kotka		N;NOM;FEM;SG
cat	kot	cat	kot		N;NOM;MASC;SG
cat	kocie	cat	kociać		
cat	cat	cat	cat		
bourges	bourges	bourge	bourges	PROPN	
tâches	zadania	tâche	zadanie	N;FEM;PL	N;NOM;NEUT;SG
impératrice	cesarzowa	empereur	cesarz	N;FEM;SG	ADJ;NOM;FEM;SG
ressort	wiosenny	ressort	wiosenny	N;MASC;SG	ADJ;NOM;MASC;SG
ressort	spring	ressort	spring	N;MASC;SG	
ressort	wiosna	ressort	wiosna	N;MASC;SG	
marquer	punktacji	marquer	punktacja	V;NFIN	N;GEN;FEM;SG
marquer	znak	marquer	znak	V;NFIN	N;NOM;MASC;SG
marquer	marka	marquer	marka	V;NFIN	
marquer	mark	marquer	mark	V;NFIN	PROPN;NOM;MASC;SG
marquer	wynik	marquer	wynik	V;NFIN	N;NOM;MASC;SG
chartres	chartres	chartre	chartres	N;MASC;SG	
décoré	urządzone	décorer	urządzić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
décoré	odznaczony	décorer	odznaczyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
humides	wilgotna	humide	wilgotny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	wilgotne	humide	wilgotny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
humides	wilgotna	humide	wilgotny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	wilgotne	humide	wilgotny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
humides	wilgoć	humide	wilgoć	ADJ;MASC;PL	
humides	mokre	humide	mokry	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
humides	wilgotna	humide	wilgotny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	mokro	humide	mokro	ADJ;MASC;PL	
humides	mokra	humide	mokry	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	mokry	humide	mokry	ADJ;MASC;PL	ADJ;NOM;MASC;SG
léo	léo	léo	léo	PROPN	
léo	leo	léo	leo	PROPN	
hof	hof	hof	hof	N;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
condé	conde	conder	condy	PROPN	
condé	condé	conder	condzić	PROPN	
contraintes	ograniczenia	contrainte	ograniczenie	N;FEM;PL	N;NOM;NEUT;SG
détective	detektywie	détective	detektywie	N;MASC;SG	
cohen	cohen	cohen	cohen	PROPN	
conçue	zaprojektowane	concevoir	zaprojektować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
conçue	zaprojektowana	concevoir	zaprojektować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
conçue	zaprojektowany	concevoir	zaprojektować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
conçue	zaprojektowanych	concevoir	zaprojektować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
sarkozy	sarkozy	sarkozy	sarkoza	PROPN	
wagner	wagner	wagner	wagner	PROPN	PROPN;NOM;MASC;SG
wurtemberg	wirtembergia	wurtemberg	wirtembergia	N;MASC;SG	
truc	rzecz	truc	rzecz	N;MASC;SG	
salomon	salomon	salomon	salomon	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
salomon	salomon	salomon	salomon	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
salomon	solomon	salomon	solomon	PROPN	N;NOM;MASC;SG
salomon	salomona	salomon	salomon	PROPN	
barbe	barbe	barbe	barbe	N;FEM;SG	
allié	allied	allié	allied	V;MASC;SG;PST;V.PTCP	
allié	ally	allié	ally	V;MASC;SG;PST;V.PTCP	N;NOM;FEM;SG
prouver	udowodnienie	prouver	udowodnić	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
proposant	oświadczyny	proposer	oświadczyna	V;PRS;V.PTCP	N;NOM;FEM;PL
dette	długi	dette	długi	N;FEM;SG	
dream	marzenie	dream	marzenie	PROPN	N;NOM;NEUT;SG
dream	dream	dream	drwać	PROPN	
dream	marzenia	dream	marzenie	PROPN	N;NOM;NEUT;PL
dream	sen	dream	sen	PROPN	N;ACC;MASC;SG
moyennes	średnio	moyen	średnio	ADJ;FEM;PL	
moyennes	średnie	moyen	średnie	ADJ;FEM;PL	
moyennes	średni	moyen	średnia	ADJ;FEM;PL	ADJ;NOM;MASC;SG
moyennes	przeciętny	moyen	przeciętny	ADJ;FEM;PL	ADJ;NOM;MASC;SG
moyennes	średnia	moyen	średnia	ADJ;FEM;PL	N;NOM;FEM;SG
moyennes	średnio	moyen	średnio	ADJ;FEM;PL	
moyennes	średnie	moyen	średnie	ADJ;FEM;PL	
moyennes	średni	moyen	średnia	ADJ;FEM;PL	ADJ;NOM;MASC;SG
moyennes	średnia	moyen	średnia	ADJ;FEM;PL	N;NOM;FEM;SG
meurthe	meurthe	meurthe	meurto	N;FEM;SG	
bibliothèques	biblioteki	bibliothèque	biblioteka	N;FEM;PL	N;GEN;FEM;SG
cru	surowy	cru	surowy	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
cru	surowego	cru	surowy	V;MASC;SG;PST;V.PTCP	ADJ;ACC;MASC;SG
cru	surowe	cru	surowy	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
cru	surowa	cru	surowy	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
cru	cru	cru	cruć	V;MASC;SG;PST;V.PTCP	
dessert	desery	dessert	deser	N;MASC;SG	N;NOM;MASC;PL
dessert	desery	dessert	deser	N;MASC;SG	N;NOM;MASC;PL
blake	blake	blake	blaka	PROPN	
nationaliste	narodowców	nationaliste	narodowiec	ADJ;MASC;SG	N;ACC;MASC;PL
peuplée	zaludnionych	peupler	zaludnić	V;FEM;SG;PST;V.PTCP	ADJ;GEN;MASC;PL
expert	biegły	expert	biec	N;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
expert	ekspert	expert	ekspert	N;MASC;SG	
expert	eksperta	expert	ekspert	N;MASC;SG	
expert	ekspertów	expert	ekspert	N;MASC;SG	N;ACC;MASC;PL
normand	normand	normand	normand	N;MASC;SG	
normand	norman	normand	norman	N;MASC;SG	PROPN;NOM;MASC;SG
normand	normana	normand	norman	N;MASC;SG	
lourde	heavy	lourd	heav	ADJ;FEM;SG	
holmes	holmes	holme	holmes	PROPN	
holmes	holmesa	holme	holmes	PROPN	
renard	renard	renard	renard	N;MASC;SG	
renard	lisie	renard	lisa	N;MASC;SG	
renard	fox	renard	fox	N;MASC;SG	
renard	lis	renard	lis	N;MASC;SG	
video	video	video	video	N;FEM;SG	
video	wideo	video	wideo	N;FEM;SG	
mississippi	missisipi	mississippi	missisipa	N;MASC;SG	
mississippi	mississippi	mississippi	mississippa	N;MASC;SG	
ille	ille	ille	ille	PROPN	
attire	przyciągają	attirer	przyciągać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
graines	ziarna	graine	ziarny	N;FEM;PL	
graines	nasion	graine	nasiono	N;FEM;PL	
graines	nasion	graine	nasiono	N;FEM;PL	
graines	nasienie	graine	nasienie	N;FEM;PL	N;NOM;NEUT;SG
graines	ziarno	graine	ziarno	N;FEM;PL	
républicaine	republikanów	républicain	republikanin	ADJ;FEM;SG	N;GEN;MASC;PL
républicaine	republikanie	républicain	republikanie	ADJ;FEM;SG	N;NOM;MASC;SG
rtl	rtl	rtl	rtl	PROPN	
nova	nova	nova	nova	PROPN	
réputé	renomowanych	réputer	renomować	V;MASC;SG;PST;V.PTCP	ADJ;IPFV;GEN;MASC;PL;POS;V.PTCP;PASS
isolées	izolowane	isoler	izolować	V;FEM;PL;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
isolées	odizolowane	isoler	odizolować	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
percussions	perkusja	percussion	perkusja	N;FEM;PL	N;NOM;FEM;SG
fixé	stały	fixer	stać	V;MASC;SG;PST;V.PTCP	V;IPFV;MASC;IND;PL;PST;FIN;ACT
fixé	ustalone	fixer	ustalić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
fixé	ustalona	fixer	ustalić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
tueur	zabójczy	tueur	zabójczyć	N;MASC;SG	
tueur	zabójcze	tueur	zabójcze	N;MASC;SG	
envoyés	wysłannicy	envoyer	wysłannik	V;MASC;PL;PST;V.PTCP	N;NOM;MASC;PL
envoyés	wysłany	envoyer	wysłać	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
envoyés	wysłane	envoyer	wysłać	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
galeries	galerie	galerie	galeria	N;FEM;PL	N;NOM;MASC;SG
galeries	galerii	galerie	galeria	N;FEM;PL	N;GEN;FEM;SG
galeries	galeria	galerie	galeria	N;FEM;PL	
apparente	oczywista	apparenter	oczywistać	ADJ;FEM;SG	
provincial	prowincji	provincial	prowincja	ADJ;MASC;SG	N;GEN;FEM;SG
évident	oczywista	évident	oczywistać	ADJ;MASC;SG	
évident	oczywiste	évident	oczywisty	ADJ;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
coûts	koszt	coût	koszt	N;MASC;PL	N;NOM;MASC;SG
auxerre	auxerre	auxerre	auxerka	PROPN	PROPN;NOM;MASC;SG
munitions	amunicja	munition	amunicja	N;FEM;PL	N;NOM;FEM;SG
munitions	amunicję	munition	amunicja	N;FEM;PL	N;ACC;FEM;SG
munitions	amunicji	munition	amunicja	N;FEM;PL	N;GEN;FEM;SG
munitions	amunicja	munition	amunicja	N;FEM;PL	N;NOM;FEM;SG
munitions	amunicję	munition	amunicja	N;FEM;PL	N;ACC;FEM;SG
munitions	amunicji	munition	amunicja	N;FEM;PL	N;GEN;FEM;SG
divine	bosko	divin	bosko	ADJ;FEM;SG	
divine	boska	divin	boska	ADJ;FEM;SG	
warren	warren	warren	warren	PROPN	PROPN;NOM;MASC;SG
observe	obserwuj	observer	obserwować	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
bouddhisme	buddyjskich	bouddhisme	buddyjski	N;MASC;SG	ADJ;GEN;MASC;PL
présentés	przedstawiona	présenter	przedstawić	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
présentés	przedstawiony	présenter	przedstawić	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
présentés	prezentowane	présenter	prezentować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
présentés	przedstawione	présenter	przedstawić	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
aidé	pomogły	aider	pomóc	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;PL;PST;FIN;ACT
aidé	wspomagana	aider	wspomagać	V;MASC;SG;PST;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
concepts	koncepcji	concept	koncepcja	N;MASC;PL	N;GEN;FEM;SG
concepts	pojęcia	concept	pojęcie	N;MASC;PL	N;NOM;NEUT;SG
harmonie	harmony	harmonie	harmon	N;FEM;SG	
magnus	magnus	magnu	magnus	PROPN	N;NOM;MASC;SG
révélé	ujawnione	révéler	ujawnić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
révélé	ujawnione	révéler	ujawnić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
parlementaires	mps	parlementaire	mps	ADJ;MASC;PL	
parlementaires	parlamentarzystów	parlementaire	parlamentarzysta	ADJ;MASC;PL	N;ACC;MASC;PL
renseignements	informacja	renseignement	informacja	N;MASC;PL	N;NOM;FEM;SG
collins	collins	collin	collins	PROPN	PROPN;NOM;MASC;SG
collins	collinsa	collin	collins	PROPN	
acheté	kupione	acheter	kupić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
acheté	kupiony	acheter	kupić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
acheté	zakupione	acheter	zakupić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
acheté	kupione	acheter	kupić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
acheté	kupiony	acheter	kupić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
bolivie	boliwii	bolivie	boliwia	PROPN	
bolivie	boliwii	bolivie	boliwia	PROPN	
coupé	cięcie	couper	cięcie	V;MASC;SG;PST;V.PTCP	
coupé	coupé	couper	coupy	V;MASC;SG;PST;V.PTCP	
coupé	coupe	couper	coupy	V;MASC;SG;PST;V.PTCP	
#aaa	#aaa	#aaa	#aaa	PROPN	
cerf	cerf	cerf	cerfa	N;MASC;SG	
cerf	jelenia	cerf	jeleń	N;MASC;SG	
cerf	jelenie	cerf	jelenie	N;MASC;SG	N;NOM;MASC;PL
cerf	jelenia	cerf	jeleń	N;MASC;SG	
courtes	krótki	court	krótki	ADJ;FEM;PL	ADJ;NOM;MASC;SG
courtes	krótkie	court	krótki	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
courtes	short	court	short	ADJ;FEM;PL	
courtes	krótko	court	krótko	ADJ;FEM;PL	ADV
courtes	krótka	court	krótki	ADJ;FEM;PL	ADJ;NOM;FEM;SG
révolutionnaires	rewolucyjny	révolutionnaire	rewolucyjny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
révolutionnaires	rewolucjonistów	révolutionnaire	rewolucjonista	ADJ;MASC;PL	N;ACC;MASC;PL
proportion	proporcjonalnie	proportion	proporcjonalnie	N;FEM;SG	ADV
proportion	proporcje	proportion	proporcja	N;FEM;SG	N;NOM;FEM;PL
noces	ślub	noce	ślub	N;FEM;PL	N;NOM;MASC;SG
noces	wesele	noce	wesele	N;FEM;PL	N;NOM;NEUT;SG
noces	weselny	noce	weselny	N;FEM;PL	ADJ;NOM;MASC;SG
poméranie	pomorskie	poméranie	pomorski	N;FEM;SG	ADJ;NOM;NEUT;SG
poméranie	pomorza	poméranie	pomorze	N;FEM;SG	
