oklahoma	οκλαχόμα	oklahoma	οκλαχόμα		PROPN;NOM;FEM;SG
batteri	μπαταρίες	batteri	μπαταρία	N;INDF;NEUT;SG	N;NOM;FEM;PL
batteri	συσσωρευτές	batteri	συσσωρευτής	N;INDF;NEUT;SG	N;NOM;MASC;PL
seg	seg	seg	seg		
omkostninger	κόστος	omkostning	κόστος	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
omkostninger	cost	omkostning	cost	N;INDF;MASC+FEM;PL	
omkostninger	κόστος	omkostning	κόστος	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
mur	wall	mur	wall	N;INDF;MASC+FEM;SG	
mur	γουόλ	mur	γουόλ	N;INDF;MASC+FEM;SG	
motors	motors	motors	motors		
passede	ταιριάζει	passe	ταιριάζω	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
cia	cia	cia	cia		N
cia	σια	cia	σια		PROPN;NOM;FEM;SG
cia	cia	cia	cia		N
cia	σια	cia	σια		PROPN;NOM;FEM;SG
forberede	προετοιμασία	forbere	προετοιμασία	V;NFIN;ACT	N;ACC;FEM;SG
richmond	ρίτσμοντ	richmond	ρίτσμοντ	N;INDF;NEUT;SG	PROPN;NOM;MASC;SG
lissabon	λισαβόνα	lissabon	λισαβόνα		
lissabon	λισσαβόνα	lissabon	λισσαβόνα		N;SG
lissabon	λισαβόνας	lissabon	λισσαβώνα		PROPN;GEN;FEM;SG
lissabon	λισσαβώνα	lissabon	λισσαβώνα		N;NOM;FEM;SG
grace	γκρέις	grace	γκρέι		PROPN;NOM;FEM;SG
skandinavisk	σκανδιναβικές	skandinavisk	σκανδιναβικός	ADJ;INDF;SG	ADJ;NOM;FEM;PL
sct	sct	sct	sct	N;INDF;MASC+FEM;SG	
templet	τεμπλ	temple	τεμπλ	N;DEF;NEUT;SG	
håbet	ελπίζοντας	håb	ελπίζω	N;DEF;NEUT;SG	V;IPFV;V.CVB;ACT
håbet	χόουπ	håb	χόουπ	N;DEF;NEUT;SG	PROPN;NOM;MASC;SG
indlagt	ψηφιδωτά	indlægge	ψηφιδωτός	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;PL
reform	μεταρρυθμίσεις	reform	μεταρρύθμιση	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
videnskabeligt	επιστημονική	videnskabelig	επιστημονικός	ADV	ADJ;NOM;FEM;SG
videnskabeligt	επιστημονικό	videnskabelig	επιστημονικός	ADV	ADJ;NOM;NEUT;SG
psykisk	ψυχολογικά	psykisk	ψυχολογικά	ADJ;INDF;SG	ADV
psykisk	μέντιουμ	psykisk	μέντιουμ	ADJ;INDF;SG	N;NOM;NEUT;SG
psykisk	ψυχικά	psykisk	ψυχικά	ADJ;INDF;SG	ADV
psykisk	διανοητικά	psykisk	διανοητικά	ADJ;INDF;SG	ADV
psykisk	πνευματικά	psykisk	πνευματικά	ADJ;INDF;SG	ADV
clara	clara	clara	clara		
clara	κλάρα	clara	κλάρα		PROPN;NOM;FEM;SG
beskadiget	βλάβη	beskadige	βλάβη	V;INDF;SG;PST;V.PTCP	N;ACC;FEM;SG
beskadiget	ζημιά	beskadige	ζημιά	V;INDF;SG;PST;V.PTCP	N;ACC;FEM;SG
rudolph	ρούντολφ	rudolph	ρούντολφ	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
pinyin	pinyin	pinyin	pinyin	N;INDF;NEUT;SG	
ward	πτέρυγα	ward	πτέρυγα		N;NOM;FEM;SG
ward	γουόρντ	ward	γουόρντ		
stribe	ρίγα	stribe	ρίγος	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
hævet	πρησμένο	hæve	πρησμένος	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;SG
manuelt	χειροκίνητο	manuel	χειροκίνητο	ADJ;INDF;SG	N;NOM;NEUT;SG
manuelt	χειροκίνητα	manuel	χειροκίνητο	ADJ;INDF;SG	N;NOM;NEUT;PL
manuelt	εγχειρίδιο	manuel	εγχειρίδιο	ADJ;INDF;SG	N;NOM;NEUT;SG
manuelt	χειροκίνητα	manuel	χειροκίνητο	ADJ;INDF;SG	N;NOM;NEUT;PL
inn	inn	inn	inn		
inn	ιν	inn	ιν		
inn	πανδοχείο	inn	πανδοχείο		N;NOM;NEUT;SG
inn	πανδοχεία	inn	πανδοχείο		
præstation	επιδόσεων	præstation	επίδοση	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
præstation	επιδόσεις	præstation	επίδοση	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
magic	μαγική	magic	μαγικός		ADJ;NOM;FEM;SG
magic	μαγεία	magic	μαγείο		N;ACC;FEM;SG
magic	μαγικά	magic	μαγικά		ADV
magic	μαγικό	magic	μαγικός		ADJ;NOM;NEUT;SG
betragtede	θεωρείται	betragte	θεωρώ	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
boksning	μποξ	boksning	μποξ	N;INDF;MASC+FEM;SG	
specialiseret	εξειδικευμένες	specialisere	εξειδικεύω	V;INDF;SG;PST;V.PTCP	V;PFV;NOM;FEM;PL;V.PTCP;PASS
voice	φωνή	voice	φωνή		N;ACC;FEM;SG
voice	φωνη	voice	φωνη		N;NOM;FEM;SG
cameron	κάμερον	cameron	κάμερον	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
fastholdt	διατηρήθηκαν	fastholde	διατηρώ	V;INDF;SG;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
fastholdt	διατηρείται	fastholde	διατηρώ	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
badminton	μπάντμιντον	badminton	μπάντμιντον	N;INDF;MASC+FEM;SG	
øre	αυτιά	øre	αυτιό	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
øre	αφτιά	øre	αφτιό	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
walt	γουόλτ	walt	γουόλτ		
hudson	χάντσον	hudson	χάντσον		PROPN;NOM;MASC;SG
schwerin	schwerin	schwerin	schwerin	N;INDF;MASC+FEM;SG	
rapporterede	αναφέρθηκε	rapportere	αναφέρω	V;IND;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
rapporterede	αναφέρθηκαν	rapportere	αναφέρω	V;IND;PST;FIN;ACT	V;PFV;IND;PL;3;PST;FIN;PASS
løvfældende	φυλλοβόλα	løvfældende	φυλλοβόλο	ADJ	N;NOM;NEUT;PL
susan	σούζαν	susan	σούζαν	N;INDF;MASC+FEM;SG	
susan	susan	susan	susan	N;INDF;MASC+FEM;SG	
elben	έλβα	elben	έλβος	PROPN	
karsten	κάρστεν	karsten	κάρσω	N;DEF;MASC+FEM;SG	V;IPFV;IND;PL;3;PST;FIN;PASS
triple	τριπλά	triple	τριπλά		ADV
triple	τριπλό	triple	τριπλός		NUM;NOM;NEUT;SG
triple	τριπλή	triple	τριπλή		N;NOM;FEM;SG
klassificeret	απόρρητα	klassificere	απόρρητος	V;INDF;SG;PST;V.PTCP	ADV
klassificeret	απόρρητο	klassificere	απόρρητος	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;SG
sædvanlige	συνήθης	sædvanlig	συνήθης	ADJ;PL	ADJ;NOM;FEM;SG
sædvanlige	σύνηθες	sædvanlig	σύνηθος	ADJ;PL	ADJ;NOM;NEUT;SG
currentclub	currentclub	currentclub	currentclub	N;INDF;MASC+FEM;SG	
taber	αποτυχημένος	tabe	αποτυχημένος	V;IND;PRS;FIN;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
taber	χαμένος	tabe	χαμένος	V;IND;PRS;FIN;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
broadway	μπρόντγουεϊ	broadway	μπρόντγουεϊ	N;INDF;MASC+FEM;SG	
armenien	αρμενίων	armenie	αρμένιος	N;DEF;MASC+FEM;SG	PROPN;GEN;MASC;PL
armenien	αρμενία	armenie	αρμενία	N;DEF;MASC+FEM;SG	PROPN;ACC;FEM;SG
tropiske	τροπικό	tropisk	τροπικός	ADJ;PL	ADJ;NOM;NEUT;SG
tropiske	τροπικά	tropisk	τροπικά	ADJ;PL	ADV
tropiske	τροπική	tropisk	τροπικός	ADJ;PL	ADJ;NOM;FEM;SG
hand	χέρι	hand	χέρι		N;NOM;NEUT;SG
indstilling	ρυθμίσεις	indstilling	ρύθμιση	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
lød	ακούστηκε	lyde	ακούω	V;IND;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
lød	ακουγόταν	lyde	ακούω	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
munch	μουνκ	munch	μουνκ		N;NOM;MASC;SG
busk	bush	busk	bush	N;INDF;MASC+FEM;SG	
busk	μπους	busk	μπου	N;INDF;MASC+FEM;SG	
rapporter	έκθεση	rapport	έκθεση	N;INDF;MASC+FEM;PL	N;ACC;FEM;SG
rapporter	εκθεση	rapport	εκθεση	N;INDF;MASC+FEM;PL	N;ACC;FEM;SG
rapporter	αναφορα	rapport	αναφορά	N;INDF;MASC+FEM;PL	N;ACC;FEM;SG
rapporter	αναφορά	rapport	αναφορά	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
kompleks	σύνθετη	kompleks	σύνθετος	ADJ;INDF;SG	ADV
kompleks	συγκρότημα	kompleks	συγκρότημα	ADJ;INDF;SG	N;NOM;NEUT;SG
kompleks	σύνθετα	kompleks	σύνθετος	ADJ;INDF;SG	ADJ;NOM;NEUT;PL
wallace	wallace	wallace	wallace	N;INDF;MASC+FEM;SG	
wallace	γουάλας	wallace	γουάλα	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
redigere	επεξεργασία	redig	επεξεργασία	V;NFIN;ACT	
glenn	γκλεν	glenn	γκλεν		
eksport	εξαγωγές	eksport	εξαγωγή	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
eksport	εξαγωγές	eksport	εξαγωγή	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
nedsatte	μειωμένη	nedsat	μειώνω	V;PL;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
nedsatte	μειωμένο	nedsat	μειώνω	V;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
jules	τζουλς	jules	τζουλς	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
legendariske	θρυλικός	legendarisk	θρυλικός	ADJ;PL	ADJ;NOM;MASC;SG
legendariske	μυθικό	legendarisk	μυθικός	ADJ;PL	ADJ;NOM;NEUT;SG
legendariske	θρυλική	legendarisk	θρυλικός	ADJ;PL	ADJ;NOM;FEM;SG
legendariske	θρυλικό	legendarisk	θρυλικός	ADJ;PL	ADJ;NOM;NEUT;SG
memorial	μνημείο	memorial	μνημείο		N;NOM;NEUT;SG
memorial	μεμόριαλ	memorial	μεμόριαλ		N;NOM;NEUT;SG
frugter	καρπός	frugte	καρπός	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
frugter	φρούτο	frugte	φρούτος	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
tunesien	τυνησίας	tunesien	τυνησία	PROPN	N;GEN;FEM;SG
tunesien	τυνησία	tunesien	τυνησία	PROPN	PROPN;ACC;FEM;SG
tunesien	τυνησίας	tunesien	τυνησία	PROPN	N;GEN;FEM;SG
hood	χουντ	hood	χουντ	N;INDF;MASC+FEM;SG	
indvandrere	μετανάστης	indvandrer	μετανάστης	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
anklager	εισαγγελέας	anklage	εισαγγελέας	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
anklager	εισαγγελέα	anklage	εισαγγελέας	N;INDF;MASC+FEM;PL	N;GEN;MASC;SG
anklager	κατήγορος	anklage	κατήγορος	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
peters	πίτερς	peters	πίτερς		
venezuela	βενεζουέλας	venezuela	βενεζουέλα		PROPN;GEN;FEM;SG
venezuela	βενεζουέλας	venezuela	βενεζουέλα		PROPN;GEN;FEM;SG
venezuela	βενεζουέλα	venezuela	βενεζουέλα		PROPN;ACC;FEM;SG
alexandria	αλεξάνδρεια	alexandria	αλεξάνδρεια		N;NOM;FEM;SG
ride	ιππασία	ride	ιππασία	V;NFIN;ACT	N;NOM;FEM;SG
ride	καβάλα	ride	καβάλος	V;NFIN;ACT	PROPN;ACC;FEM;SG
ride	βολτα	ride	βολτα	V;NFIN;ACT	N;ACC;FEM;SG
ride	βόλτα	ride	βόλτα	V;NFIN;ACT	N;NOM;FEM;SG
ride	καβάλα	ride	καβάλος	V;NFIN;ACT	PROPN;ACC;FEM;SG
forklarede	εξήγησαν	forklare	εξηγώ	V;IND;PST;FIN;ACT	V;PFV;IND;PL;3;PST;FIN;PASS
forklarede	εξηγήθηκε	forklare	εξηγώ	V;IND;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
ridge	κορυφογραμμή	ridge	κορυφογραμμή		N;NOM;FEM;SG
ridge	ριτζ	ridge	ριτζ		
classic	κλασσικά	classic	κλασσικός		ADV
classic	κλασικά	classic	κλασικός		ADV
classic	κλασσικό	classic	κλασσικός		ADJ;NOM;NEUT;SG
classic	κλασική	classic	κλασικός		ADJ;NOM;FEM;SG
classic	κλασικό	classic	κλασικός		ADJ;NOM;NEUT;SG
ritualer	τελετουργικά	ritual	τελετουργικά	N;INDF;NEUT;PL	ADV
ritualer	τελετουργικό	ritual	τελετουργικός	N;INDF;NEUT;PL	ADJ;NOM;NEUT;SG
ritualer	τελετουργία	ritual	τελετουργία	N;INDF;NEUT;PL	N;NOM;FEM;SG
ritualer	ιεροτελεστία	ritual	ιεροτελεστία	N;INDF;NEUT;PL	N;NOM;FEM;SG
sekund	δεύτερο	sekund	δεύτερος	N;INDF;NEUT;SG	NUM;NOM;NEUT;SG
sekund	δεύτερος	sekund	δεύτερος	N;INDF;NEUT;SG	NUM;NOM;MASC;SG
sekund	δεύτερη	sekund	δεύτερος	N;INDF;NEUT;SG	NUM;NOM;FEM;SG
newcastle	newcastle	newcastel	newcastle		
fyldte	γεμιστά	fylde	γεμιστώ	V;PST;V.PTCP	N;NOM;NEUT;PL
fyldte	γεμάτο	fylde	γεμάτος	V;PST;V.PTCP	NUM;NOM;NEUT;SG
ontario	οντάριο	ontario	οντάριο		PROPN;NOM;FEM;SG
åndelige	πνευματικά	åndelig	πνευματικά	ADJ;PL	ADV
åndelige	πνευματική	åndelig	πνευματικός	ADJ;PL	ADJ;NOM;FEM;SG
åndelige	πνευματικός	åndelig	πνευματικός	ADJ;PL	ADJ;NOM;MASC;SG
åndelige	πνευματικό	åndelig	πνευματικός	ADJ;PL	ADJ;NOM;NEUT;SG
tropperne	στράτευμα	trop	στράτευμα	N;DEF;MASC+FEM;PL	N;NOM;NEUT;SG
tibet	θιβέτ	tibet	θιβέτ	N;DEF;NEUT;SG	
gottorp	γκότορπ	gottorp	γκότορπ	PROPN	N
særskilt	ξεχωριστά	særskilt	ξεχωριστώ	ADJ;INDF;SG	ADV
særskilt	χωριστά	særskilt	χωριστώ	ADJ;INDF;SG	ADV
særskilt	ξεχωριστά	særskilt	ξεχωριστώ	ADJ;INDF;SG	ADV
særskilt	χωριστά	særskilt	χωριστώ	ADJ;INDF;SG	ADV
højdepunkt	επισημάνω	højdepunkt	επισημαίνω	N;INDF;NEUT;SG	V;PFV;IND;SG;1;FIN;ACT
formodes	εικαζόμενη	formode	εικαζόμενος	V;PRS;NFIN;PASS	ADJ;NOM;FEM;SG
kommunistisk	κομμουνιστικό	kommunistisk	κομμουνιστικός	ADV	ADJ;NOM;NEUT;SG
kommunistisk	κομμουνιστική	kommunistisk	κομμουνιστικός	ADV	ADJ;NOM;FEM;SG
kommunistisk	κομμουνιστής	kommunistisk	κομμουνιστής	ADV	N;NOM;MASC;SG
sko	παπούτσι	sko	παπούτσι	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
bakken	χιλ	bakke	χιλ	N;DEF;MASC+FEM;SG	
bakken	hill	bakke	hill	N;DEF;MASC+FEM;SG	
gengivet	αναπαράγεται	gengive	αναπαράγω	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
opererer	λειτουργίας	operere	λειτουργία	V;IND;PRS;FIN;ACT	N;GEN;FEM;SG
opererer	λειτουργικό	operere	λειτουργικός	V;IND;PRS;FIN;ACT	ADJ;NOM;NEUT;SG
track	τροχιά	track	τροχιά		N;NOM;FEM;SG
track	πίστα	track	πίστα		N;ACC;FEM;SG
intelligens	εξυπνάδα	intellig	εξυπνάδα	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
intelligens	ευφυία	intellig	ευφυία	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
intelligens	νοημοσύνη	intellig	νοημοσύνη	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
eastwood	ίστγουντ	eastwood	ίστγουντ		PROPN;NOM;MASC;SG
virus	ιοί	virus	ιοί	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
virus	ιών	virus	ιών	N;INDF;MASC+FEM;SG	N;GEN;NEUT;PL
virus	ιούς	virus	ιούς	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
marcel	marcel	marcel	marcel		
marcel	μαρσέλ	marcel	μαρσέλ		
leonard	λέοναρντ	leonard	λέοναρντ		PROPN;NOM;MASC;SG
leonard	leonard	leonard	leonard		
halle	halle	halle	halle	N;INDF;MASC+FEM;SG	
seattle	σηάτλ	seattle	σηάτλ		N;NOM;NEUT;SG
seattle	σιάτλ	seattle	σιάτλ		
mozart	μότσαρτ	mozart	μότσαρτ		
adm	adm	adm	adm	N;INDF;MASC+FEM;SG	
korstog	σταυροφορίες	korstog	σταυροφορία	N;INDF;NEUT;SG	N;NOM;FEM;PL
evil	σατανικό	evil	σατανικός		ADJ;NOM;NEUT;SG
evil	κακό	evil	κακός		ADJ;NOM;NEUT;SG
dylan	dylan	dylan	dylan		
dylan	ντίλαν	dylan	ντίλω		
dylan	ντύλαν	dylan	ντύλλω		
gæst	φιλοξενούμενος	gæst	φιλοξενούμενος	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
gæst	καλεσμένος	gæst	καλεσμένος	N;INDF;MASC+FEM;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
statsborger	πολίτη	statsborger	πολίτης	ADJ;INDF;MASC+FEM;SG	N;VOC;MASC;SG
statsborger	πολίτης	statsborger	πολίτης	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ugift	ανύπαντρη	ugift	ανύπαντρος	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
ugift	ανύπαντρος	ugift	ανύπαντρος	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
brasilianske	βραζιλίας	brasiliansk	βραζιλία	ADJ;PL	PROPN;GEN;FEM;SG
vestindien	καραϊβικής	vestindie	καραϊβικός	N;DEF;MASC+FEM;SG	ADJ;GEN;FEM;SG
vestindien	καραϊβική	vestindie	καραϊβικός	N;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
zulu	ζουλού	zulu	ζουλό		N;NOM;MASC;PL
beat	νικήσει	beat	νικώ	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
gradvis	σταδιακή	gradvis	σταδιακός	ADV	ADJ;NOM;FEM;SG
gradvis	προοδευτική	gradvis	προοδευτικός	ADV	ADJ;NOM;FEM;SG
gradvis	προοδευτικό	gradvis	προοδευτικός	ADV	ADJ;NOM;NEUT;SG
winter	χειμώνα	winter	χειμώνω		N;NOM;NEUT;PL
winter	χειμώνας	winter	χειμώνας		N;NOM;MASC;SG
winter	γουίντερ	winter	γουίντερ		
vinden	αιολική	vind	αιολικός	N;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
gert	γκερτ	gern	γκερτ		N
peace	ειρήνη	peace	ειρήνη		N;NOM;FEM;SG
peace	ειρηνη	peace	ειρηνη		PROPN;NOM;FEM;SG
peace	γαλήνη	peace	γαλήνω		N;NOM;FEM;SG
ralph	ράλφ	ralph	ράλφ		N
ralph	ραλφ	ralph	ραλφ		
percussion	κρουστά	percussion	κρουστός	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
matcher	αγώνες	matcher	αγώνας	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
matcher	σπίρτα	matcher	σπίρτα	V;IND;PRS;FIN;ACT	N;NOM;NEUT;PL
matcher	ταίριασμα	matcher	ταίριασμα	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
matcher	αντιστοιχία	matcher	αντιστοιχία	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
matcher	ματς	matcher	ματός	V;IND;PRS;FIN;ACT	
matcher	αγώνα	matcher	αγώνας	V;IND;PRS;FIN;ACT	N;ACC;MASC;SG
matcher	ταίριασμα	matcher	ταίριασμα	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
matcher	αγώνας	matcher	αγώνας	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
vedrører	ανησυχίες	vedrøre	ανησυχία	V;IND;PRS;FIN;ACT	N;NOM;FEM;PL
vedrører	ανησυχιών	vedrøre	ανησυχία	V;IND;PRS;FIN;ACT	N;GEN;FEM;PL
tilbyde	προσφορά	tilbyde	προσφορά	V;NFIN;ACT	N;ACC;FEM;SG
hope	ελπίδα	hope	ελπίδα		N;NOM;FEM;SG
hope	χόουπ	hope	χόουπ		PROPN;NOM;MASC;SG
hope	ελπιδα	hope	ελπιδα		N;NOM;FEM;SG
regelmæssigt	τακτική	regelmæssigt	τακτικός	ADV	ADJ;NOM;FEM;SG
regelmæssigt	κανονική	regelmæssigt	κανονικός	ADV	ADJ;NOM;FEM;SG
regelmæssigt	κανονικός	regelmæssigt	κανονικός	ADV	ADJ;NOM;MASC;SG
regelmæssigt	κανονικό	regelmæssigt	κανονικός	ADV	ADJ;NOM;NEUT;SG
rigdom	πλούτος	rigdom	πλούτος	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
rigdom	πλούτη	rigdom	πλούτος	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
finansieret	χρηματοδοτούνται	finansiere	χρηματοδοτώ	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
finansieret	χρηματοδοτείται	finansiere	χρηματοδοτώ	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
finansieret	χρηματοδοτήθηκαν	finansiere	χρηματοδοτώ	V;INDF;SG;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
finansieret	χρηματοδοτείται	finansiere	χρηματοδοτώ	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
akt	act	akt	act	N;INDF;MASC+FEM;SG	
personale	προσωπικό	personal	προσωπικό	ADJ;PL	N;NOM;NEUT;SG
personale	προσωπικού	personal	προσωπικό	ADJ;PL	N;GEN;NEUT;SG
personale	προσωπικό	personal	προσωπικό	ADJ;PL	N;NOM;NEUT;SG
happy	ευτυχής	happy	ευτυχής		ADJ;NOM;MASC;SG
happy	ευτυχισμένη	happy	ευτυχίζω		V;PFV;NOM;FEM;SG;V.PTCP;PASS
happy	χαρούμενος	happy	χαρούμενος		ADJ;NOM;MASC;SG
happy	χαρούμενη	happy	χαρούμενος		ADJ;NOM;FEM;SG
happy	ευτυχισμένος	happy	ευτυχισμένος		V;PFV;NOM;MASC;SG;V.PTCP;PASS
ansøgning	εφαρμογές	ansøgning	εφαρμογή	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ansøgning	αιτήσεις	ansøgning	αίτηση	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
command	διοίκηση	command	διοίκηση		N;ACC;FEM;SG
command	εντολή	command	εντολή		N;ACC;FEM;SG
joakim	σκρουτζ	joakim	σκρουτζ		N;NOM;MASC;SG
joakim	σκρούτζ	joakim	σκρούτζ		
hemmelig	μυστικό	hemmelig	μυστικός	ADJ;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
følges	ακολούθησαν	følges	ακολουθώ	V;NFIN;PASS	V;PFV;IND;PL;3;PST;FIN;ACT
følges	ακολούθησε	følges	ακολουθώ	V;NFIN;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
bue	arc	bue	arc	N;INDF;MASC+FEM;SG	
christoph	κριστόφ	christoph	κριστόφ	N;INDF;MASC+FEM;SG	
christoph	christoph	christoph	christoph	N;INDF;MASC+FEM;SG	
værksted	ημερίδα	værksted	ημερίδα	N;INDF;NEUT;SG	PROPN;ACC;FEM;SG
simpsons	σίμσονς	simpsons	σίμσονς	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
simpsons	σίμπσον	simpsons	σίμπσον	N;GEN;INDF;MASC+FEM;SG	
simpsons	simpson	simpsons	simpson	N;GEN;INDF;MASC+FEM;SG	
simpsons	σίμσον	simpsons	σίμσον	N;GEN;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
weekend	σκ	weekend	σκ	N;INDF;MASC+FEM;SG	
madison	μάντισον	madison	μάντισον		
sørger	πένθος	sørge	πένθος	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
sørger	πένθος	sørge	πένθος	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
atlético	ατλέτικο	atlético	ατλέτικο	N;INDF;MASC+FEM;SG	
brugernavn	username	brugernavn	username	N;INDF;NEUT;SG	
glimrende	εξαιρετικά	glimrende	εξαιρετικά	ADJ	ADV
devil	διάβολος	devil	διάβολος		N;NOM;MASC;SG
ungdoms	νέων	ungdom	νέος	N;GEN;INDF;MASC+FEM;SG	ADJ;GEN;FEM;PL
ungdoms	νέοι	ungdom	νέος	N;GEN;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
ungdoms	νιότη	ungdom	νιότης	N;GEN;INDF;MASC+FEM;SG	N;ACC;FEM;SG
ungdoms	νεολαία	ungdom	νεολαία	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
ungdoms	νιάτα	ungdom	νιάτα	N;GEN;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
ungdoms	νεότητα	ungdom	νεότητα	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
søgning	αναζητήστε	søgning	αναζητώ	N;INDF;MASC+FEM;SG	V;PFV;IND;PL;2;PRS;FIN;ACT
seksuel	σεξουαλικά	seksuel	σεξουαλικά	ADJ;INDF;MASC+FEM;SG	ADV
landede	landed	lande	landed	V;IND;PST;FIN;ACT	
landede	προσγειώθηκε	lande	προσγειώνω	V;IND;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
beskeden	μήνυμα	beskeden	μήνυμα	ADJ;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
beskeden	μετριόφρων	beskeden	μετριόφρος	ADJ;INDF;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
zar	τσάρου	zar	τσάρος	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
lead	οδηγήσει	lead	οδηγώ		V;PFV;NFIN;ACT
lead	μόλυβδο	lead	μόλυβδος		N;NOM;NEUT;PL
lead	μόλυβδος	lead	μόλυβδος		N;NOM;MASC;SG
krydsere	καταδρομικά	krydser	καταδρομικά	N;INDF;NEUT;PL	ADV
montana	μοντάνα	montana	μοντάνα		
brock	μπροκ	brock	μπροκ	N;INDF;MASC+FEM;SG	
falsk	ψευδή	falsk	ψευδή	ADJ;INDF;SG	PRO;NOM;FEM;SG;3
