les	os	le	o	DET;DEF;PL	PRO;ACC;MASC;PL;3
diverses	vários	divers	vários	ADJ;FEM;PL	PRO;MASC;PL
diverses	várias	divers	várias	ADJ;FEM;PL	PRO;FEM;PL
diverses	diverso	divers	diverso	ADJ;FEM;PL	ADJ;MASC;SG
diverses	diversa	divers	diversa	ADJ;FEM;PL	ADJ;FEM;SG
diverses	diversificado	divers	diversificar	ADJ;FEM;PL	V;MASC;SG;V.PTCP
découverte	descubra	découvrir	descubrar	V;FEM;SG;PST;V.PTCP	V;SBJV;SG;3;PRS;FIN
découverte	descobre	découvrir	descobrir	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
découverte	descubram	découvrir	descubrar	V;FEM;SG;PST;V.PTCP	V;SBJV;PL;3;PRS;FIN
découverte	descobertas	découvrir	descobrir	V;FEM;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
découverte	descoberta	découvrir	descoberta	V;FEM;SG;PST;V.PTCP	N;FEM;SG
découverte	discovery	découvrir	discovery	V;FEM;SG;PST;V.PTCP	N;MASC;SG
front	frente	front	frente	N;MASC;SG	ADV
religieux	religiões	religieux	religião	ADJ;MASC;SG	N;FEM;PL
religieux	religião	religieux	religião	ADJ;MASC;SG	N;FEM;SG
religieux	religiosos	religieux	religioso	ADJ;MASC;SG	ADJ;MASC;PL
religieux	religiosas	religieux	religioso	ADJ;MASC;SG	ADJ;FEM;PL
archives	arquivo	archive	arquivo	N;FEM;PL	N;MASC;SG
archives	arquivo	archive	arquivo	N;FEM;PL	N;MASC;SG
archives	arquivar	archive	arquivar	N;FEM;PL	V;NFIN
vote	vote	vote	vote	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
vote	votem	vote	votar	N;MASC;SG	V;SBJV;PL;3;PRS;FIN
vote	votar	vote	votar	N;MASC;SG	V;NFIN
vote	votações	vote	votação	N;MASC;SG	N;FEM;PL
vote	votos	vote	voto	N;MASC;SG	N;MASC;PL
vote	vota	vote	vota	N;MASC;SG	V;IND;SG;3;PRS;FIN
vote	votando	vote	votar	N;MASC;SG	V;V.MSDR
vote	votações	vote	votação	N;MASC;SG	N;FEM;PL
vote	votar	vote	votar	N;MASC;SG	V;NFIN
proximité	imediações	proximité	imediação	N;FEM;SG	N;FEM;PL
appelée	chamados	appeler	chamar	V;FEM;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
romaine	romaine	romain	romaine	ADJ;FEM;SG	N;MASC;SG
romaine	romana	romain	romano	ADJ;FEM;SG	N;FEM;SG
romaine	romanas	romain	romano	ADJ;FEM;SG	N;FEM;PL
romaine	roman	romain	roman	ADJ;FEM;SG	N;MASC;SG
romaine	romano	romain	romano	ADJ;FEM;SG	N;MASC;SG
romaine	romanos	romain	romano	ADJ;FEM;SG	N;MASC;PL
alt	alt	alt	alt		N;MASC;SG
blanche	blanche	blanc	blanche	ADJ;FEM;SG	N;FEM;SG
blanche	brancos	blanc	branco	ADJ;FEM;SG	N;MASC;PL
blanche	branco	blanc	branco	ADJ;FEM;SG	N;MASC;SG
blanche	white	blanc	white	ADJ;FEM;SG	N;MASC;SG
blanche	brancas	blanc	branco	ADJ;FEM;SG	N;FEM;PL
blanche	branca	blanc	branco	ADJ;FEM;SG	N;FEM;SG
angeles	angeles	angele	angele	PROPN	N;MASC;PL
belle	belle	beau	belle	ADJ;FEM;SG	N;MASC;SG
continue	continua	continu	continuar	ADJ;FEM;SG	V;IND;SG;3;PRS;FIN
continue	contínua	continu	contínuo	ADJ;FEM;SG	N;FEM;SG
continue	contínuo	continu	contínuo	ADJ;FEM;SG	N;MASC;SG
continue	contínuas	continu	contínuo	ADJ;FEM;SG	ADJ;FEM;PL
continue	contínuos	continu	contínuo	ADJ;FEM;SG	N;MASC;PL
continue	continuar	continu	continuar	ADJ;FEM;SG	V;NFIN
continue	continuando	continu	continuar	ADJ;FEM;SG	V;V.MSDR
continue	continue	continu	continuar	ADJ;FEM;SG	V;SBJV;SG;3;PRS;FIN
continue	continuem	continu	continuar	ADJ;FEM;SG	V;SBJV;PL;3;PRS;FIN
continue	continuar	continu	continuar	ADJ;FEM;SG	V;NFIN
continue	continua	continu	continuar	ADJ;FEM;SG	V;IND;SG;3;PRS;FIN
chant	vocais	chant	vocal	N;MASC;SG	N;MASC;PL
chant	vocais	chant	vocal	N;MASC;SG	N;MASC;PL
chant	cantando	chant	cantar	N;MASC;SG	V;V.MSDR
chant	cantar	chant	cantar	N;MASC;SG	V;NFIN
mondial	worldwide	mondial	worldwide	ADJ;MASC;SG	N;MASC;SG
mondial	mundialmente	mondial	mundialmente	ADJ;MASC;SG	ADV
mondial	world	mondial	world	ADJ;MASC;SG	N;MASC;SG
mondial	mundo	mondial	mundo	ADJ;MASC;SG	N;MASC;SG
mondial	mondial	mondial	mondial	ADJ;MASC;SG	N;MASC;SG
mondial	globais	mondial	global	ADJ;MASC;SG	ADJ;MASC;PL
longtemps	longa	longtemps	longo	ADV	ADJ;FEM;SG
longtemps	longos	longtemps	longo	ADV	ADJ;MASC;PL
longtemps	comprido	longtemps	comprido	ADV	N;MASC;SG
longtemps	long	longtemps	long	ADV	N;MASC;SG
congrès	congressos	congrès	congresso	N;MASC;SG	N;MASC;PL
congrès	congressos	congrès	congresso	N;MASC;SG	N;MASC;PL
chinois	chineses	chinois	chinês	ADJ;MASC;SG	N;MASC;PL
chinois	chinesa	chinois	chinês	ADJ;MASC;SG	N;FEM;SG
chinois	chinês	chinois	chinês	ADJ;MASC;SG	N;MASC;SG
frédéric	frederico	frédéric	frederico	PROPN	N;MASC;SG
frédéric	friedrich	frédéric	friedrich	PROPN	N;MASC;SG
frédéric	frédéric	frédéric	frédéric	PROPN	N;MASC;SG
frédéric	frederico	frédéric	frederico	PROPN	N;MASC;SG
frédéric	frederick	frédéric	frederick	PROPN	N;MASC;SG
frédéric	frederic	frédéric	frederic	PROPN	N;MASC;SG
utilisateur	usuários	utilisateur	usuário	N;MASC;SG	N;MASC;PL
allemands	alemã	allemand	alemã	ADJ;MASC;PL	N;FEM;SG
allemands	alemães	allemand	alemão	ADJ;MASC;PL	N;MASC;PL
allemands	alemão	allemand	alemão	ADJ;MASC;PL	N;MASC;SG
allemands	alemães	allemand	alemão	ADJ;MASC;PL	N;MASC;PL
moscou	moscou	moscou	moscar	PROPN	N;MASC;SG
moscou	moscovo	moscou	moscovo	PROPN	N;MASC;SG
sportif	desporto	sportif	desporto	ADJ;MASC;SG	N;MASC;SG
sportif	esporte	sportif	esporte	ADJ;MASC;SG	N;MASC;SG
amis	friends	ami	friend	N;MASC;PL	N;MASC;SG
amis	amigo	ami	amigo	N;MASC;PL	N;MASC;SG
amis	amiga	ami	amiga	N;MASC;PL	N;FEM;SG
peinture	pintar	peinture	pintar	N;FEM;SG	V;NFIN
peinture	pintar	peinture	pintar	N;FEM;SG	V;NFIN
peinture	pintando	peinture	pintar	N;FEM;SG	V;V.MSDR
inclinaison	inclinar	inclinaison	inclinar	N;FEM;SG	V;NFIN
inclinaison	incline	inclinaison	incline	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
inclinaison	incline	inclinaison	incline	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
mexique	méxico	mexique	méxico	ADJ;MASC;SG	N;MASC;SG
mexique	mexico	mexique	mexico	ADJ;MASC;SG	N;MASC;SG
limite	limites	limite	limite	N;FEM;SG	N;MASC;PL
limite	limitar	limite	limitar	N;FEM;SG	V;NFIN
dernières	último	dernier	último	ADJ;FEM;PL	ADJ;MASC;SG
dernières	last	dernier	last	ADJ;FEM;PL	N;MASC;SG
dernières	última	dernier	último	ADJ;FEM;PL	ADJ;FEM;SG
cinquième	quinta	cinquième	quinta	ADJ;MASC;SG	N;FEM;SG
gens	povo	gens	povo	N;MASC;PL	N;MASC;SG
gens	gente	gens	gente	N;MASC;PL	N;FEM;SG
liberté	liberdades	liberté	liberdade	N;FEM;SG	N;FEM;PL
contenu	conteúdos	contenir	conteúdo	V;MASC;SG;PST;V.PTCP	N;MASC;PL
contenu	teor	contenir	teor	V;MASC;SG;PST;V.PTCP	N;MASC;SG
contenu	conteúdo	contenir	conteúdo	V;MASC;SG;PST;V.PTCP	N;MASC;SG
contenu	conteúdos	contenir	conteúdo	V;MASC;SG;PST;V.PTCP	N;MASC;PL
contenu	conteúdo	contenir	conteúdo	V;MASC;SG;PST;V.PTCP	N;MASC;SG
star	estrelas	star	estrela	N;FEM;SG	N;FEM;PL
jouer	play	jouer	play	V;NFIN	N;MASC;SG
précédente	anteriores	précédent	anterior	ADJ;FEM;SG	ADJ;MASC;PL
polonais	polonês	polonais	polonês	ADJ;MASC;SG	N;MASC;SG
polonais	polaco	polonais	polaco	ADJ;MASC;SG	N;MASC;SG
polonais	polonesa	polonais	polonesa	ADJ;MASC;SG	N;FEM;SG
polonais	postes	polonais	poste	ADJ;MASC;SG	N;MASC;PL
polonais	polos	polonais	polo	ADJ;MASC;SG	N;MASC;PL
polonais	poloneses	polonais	polonês	ADJ;MASC;SG	N;MASC;PL
polonais	polacos	polonais	polaco	ADJ;MASC;SG	N;MASC;PL
polonais	pólos	polonais	pólo	ADJ;MASC;SG	N;MASC;PL
polonais	pólo	polonais	pólo	ADJ;MASC;SG	N;MASC;SG
polonais	pole	polonais	pole	ADJ;MASC;SG	N;MASC;SG
polonais	polo	polonais	polo	ADJ;MASC;SG	N;MASC;SG
polonais	poste	polonais	poste	ADJ;MASC;SG	N;MASC;SG
polonais	varão	polonais	varão	ADJ;MASC;SG	N;MASC;SG
analyse	análises	analyse	análise	N;FEM;SG	N;FEM;PL
noire	noire	noir	noire	ADJ;FEM;SG	N;MASC;SG
noire	preta	noir	preto	ADJ;FEM;SG	N;FEM;SG
noire	black	noir	black	ADJ;FEM;SG	N;MASC;SG
noire	preto	noir	preto	ADJ;FEM;SG	N;MASC;SG
noire	pretas	noir	preto	ADJ;FEM;SG	N;FEM;PL
recherches	procurar	recherche	procurar	N;FEM;PL	V;NFIN
recherches	pesquisar	recherche	pesquisar	N;FEM;PL	V;NFIN
recherches	pesquisa	recherche	pesquisa	N;FEM;PL	N;FEM;SG
recherches	busca	recherche	busca	N;FEM;PL	N;FEM;SG
recherches	investigação	recherche	investigação	N;FEM;PL	N;FEM;SG
recherches	pesquisa	recherche	pesquisa	N;FEM;PL	N;FEM;SG
offre	oferece	offre	oferecer	N;FEM;SG	V;IND;SG;3;PRS;FIN
offre	ofertas	offre	oferta	N;FEM;SG	N;FEM;PL
offre	ofereça	offre	oferecer	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
offre	oferecer	offre	oferecer	N;FEM;SG	V;NFIN
sauf	excepto	sauf	excepto	ADP	ADV
américains	americano	américain	americano	ADJ;MASC;PL	N;MASC;SG
américains	americanos	américain	americano	ADJ;MASC;PL	N;MASC;PL
américains	american	américain	american	ADJ;MASC;PL	N;MASC;SG
américains	americana	américain	americana	ADJ;MASC;PL	N;FEM;SG
américains	americanos	américain	americano	ADJ;MASC;PL	N;MASC;PL
eaux	agua	eau	agua	N;FEM;PL	N;FEM;SG
eaux	água	eau	água	N;FEM;PL	N;FEM;SG
love	amor	love	amor	ADJ;FEM;SG	N;MASC;SG
love	love	love	love	ADJ;FEM;SG	N;MASC;SG
love	amo	love	amo	ADJ;FEM;SG	V;IND;SG;1;PRS;FIN
entière	inteiros	entier	inteiro	ADJ;FEM;SG	N;MASC;PL
résistance	forças	résistance	força	N;FEM;SG	N;FEM;PL
résistance	resistências	résistance	resistência	N;FEM;SG	N;FEM;PL
dessous	dessous	dessous	dessou	N;MASC;SG	V;IND;SG;3;PST;FIN
dessous	abaixo	dessous	abaixo	N;MASC;SG	ADV
smith	silva	smith	silva	PROPN	N;MASC;SG
smith	smith	smith	smith	PROPN	N;MASC;SG
bleu	azuis	bleu	azul	N;MASC;SG	N;MASC;PL
asie	ásia	asie	ásia	PROPN	N;FEM;SG
jack	valete	jack	valete	PROPN	N;MASC;SG
jack	jack	jack	jack	PROPN	N;MASC;SG
classé	nominal	classer	nominal	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG
classé	classificados	classer	classificar	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
classé	classificadas	classer	classificar	V;MASC;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
classé	confidencial	classer	confidencial	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG
classé	classificados	classer	classificar	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
www	www	www	www		N;MASC;SG
guy	guy	guy	guy	PROPN	N;MASC;SG
signifie	meios	signifier	meio	V;IND;SG;3;PRS;FIN	N;MASC;PL
sommet	cimeiras	sommet	cimeira	N;MASC;SG	N;FEM;PL
faits	fatos	faire	fato	V;MASC;PL;PST;V.PTCP	N;MASC;PL
faits	factos	faire	facto	V;MASC;PL;PST;V.PTCP	N;MASC;PL
construite	construídos	construire	construir	V;FEM;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
construite	construídas	construire	construir	V;FEM;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
construite	construídos	construire	construir	V;FEM;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
licence	licenças	licence	licença	N;FEM;SG	N;FEM;PL
juifs	judaica	juif	judaica	N;MASC;PL	N;FEM;SG
juifs	judia	juif	judia	N;MASC;PL	N;FEM;SG
juifs	judeu	juif	judeu	N;MASC;PL	N;MASC;SG
juifs	judaico	juif	judaico	N;MASC;PL	N;MASC;SG
juifs	juifs	juif	juif	N;MASC;PL	N;MASC;SG
écrire	escrita	écrire	escrita	V;NFIN	N;FEM;SG
lance	lança	lance	lançar	N;FEM;SG	V;IND;SG;3;PRS;FIN
lance	lança	lance	lançar	N;FEM;SG	V;IND;SG;3;PRS;FIN
fonds	fundos	fonds	fundo	N;MASC;SG	N;MASC;PL
besoin	precisei	besoin	precisar	N;MASC;SG	V;IND;SG;1;PST;FIN
besoin	necessário	besoin	necessário	N;MASC;SG	ADJ;MASC;SG
besoin	necessária	besoin	necessário	N;MASC;SG	ADJ;FEM;SG
besoin	precisava	besoin	precisar	N;MASC;SG	V;IND;SG;3;IPFV;FIN
besoin	preciso	besoin	preciso	N;MASC;SG	ADJ;MASC;SG
besoin	precisa	besoin	precisar	N;MASC;SG	V;IND;SG;3;PRS;FIN
avance	avançar	avance	avançar	N;FEM;SG	V;NFIN
grec	grega	grec	grego	ADJ;MASC;SG	N;FEM;SG
grec	grécia	grec	grécia	ADJ;MASC;SG	N;FEM;SG
grec	gregos	grec	grego	ADJ;MASC;SG	N;MASC;PL
grec	grego	grec	grego	ADJ;MASC;SG	N;MASC;SG
bordeaux	bordeaux	bordeau	bordeaux	N;MASC;PL	N;FEM;SG
bordeaux	bordéus	bordeau	bordéu	N;MASC;PL	N;MASC;SG
mark	mark	mark	mark	PROPN	N;MASC;SG
mark	marcar	mark	marcar	PROPN	V;NFIN
mark	marca	mark	marca	PROPN	N;FEM;SG
mark	marcos	mark	marco	PROPN	N;MASC;PL
chicago	chicago	chicago	chicago	PROPN	N;MASC;SG
religion	religiões	religion	religião	N;FEM;SG	N;FEM;PL
formé	formados	former	formar	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
formé	treinados	former	treinar	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
éviter	evasão	éviter	evasão	V;NFIN	N;FEM;SG
réserve	reservas	réserve	reserva	N;FEM;SG	N;FEM;PL
réserve	reservas	réserve	reserva	N;FEM;SG	N;FEM;PL
réserve	reserve	réserve	reserver	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
réserve	reservar	réserve	reservar	N;FEM;SG	V;NFIN
défaite	derrotou	défaite	derrotar	N;FEM;SG	V;IND;SG;3;PST;FIN
défaite	derrotado	défaite	derrotar	N;FEM;SG	V;MASC;SG;V.PTCP
défaite	vencido	défaite	vencer	N;FEM;SG	V;MASC;SG;V.PTCP
défaite	derrotada	défaite	derrotar	N;FEM;SG	V;FEM;SG;V.PTCP
défaite	derrotados	défaite	derrotar	N;FEM;SG	V;MASC;PL;V.PTCP
défaite	derrotas	défaite	derrota	N;FEM;SG	N;FEM;PL
défaite	derrotar	défaite	derrotar	N;FEM;SG	V;NFIN
sports	desporto	sport	desporto	N;MASC;PL	N;MASC;SG
ceci	este	ceci	este	PRO;SG	DET;MASC;SG
ceci	esse	ceci	esse	PRO;SG	DET;MASC;SG
maritime	marítimo	maritime	marítimo	ADJ;MASC;SG	N;MASC;SG
maritime	maritime	maritime	maritime	ADJ;MASC;SG	N;MASC;SG
maritime	marítima	maritime	marítimo	ADJ;MASC;SG	N;FEM;SG
épreuve	testar	épreuve	testar	N;FEM;SG	V;NFIN
résumé	abstrato	résumé	abstrato	V;MASC;SG;PST;V.PTCP	N;MASC;SG
résumé	abstracto	résumé	abstracto	V;MASC;SG;PST;V.PTCP	N;MASC;SG
résumé	abstracta	résumé	abstracta	V;MASC;SG;PST;V.PTCP	N;FEM;SG
résumé	resumo	résumé	resumo	V;MASC;SG;PST;V.PTCP	N;MASC;SG
résumé	abstrata	résumé	abstrato	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG
résumé	síntese	résumé	síntese	V;MASC;SG;PST;V.PTCP	N;FEM;SG
résumé	resumo	résumé	resumo	V;MASC;SG;PST;V.PTCP	N;MASC;SG
résumé	sumário	résumé	sumário	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG
lorraine	lorena	lorrain	lorena	ADJ;FEM;SG	N;FEM;SG
lorraine	lorraine	lorrain	lorraine	ADJ;FEM;SG	N;MASC;SG
lutte	lute	lutte	lute	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
tournée	tour	tourner	tour	V;FEM;SG;PST;V.PTCP	N;MASC;SG
rose	pink	rose	pink	ADJ;FEM;SG	N;MASC;SG
rose	rosa	rose	rosa	ADJ;FEM;SG	N;FEM;SG
rose	rose	rose	rose	ADJ;FEM;SG	N;FEM;SG
rose	rosa	rose	rosa	ADJ;FEM;SG	N;FEM;SG
hôpital	hospitalares	hôpital	hospitalar	N;MASC;SG	N;MASC;PL
hôpital	hospitalar	hôpital	hospitalar	N;MASC;SG	ADJ;MASC;SG
hôpital	hospitais	hôpital	hospital	N;MASC;SG	N;MASC;PL
propriété	propriedades	propriété	propriedade	N;FEM;SG	N;FEM;PL
cycliste	ciclista	cycliste	ciclista	ADJ;MASC;SG	N;MASC;SG
ouvert	abre	ouvrir	abrir	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
ouvert	abra	ouvrir	abrir	V;MASC;SG;PST;V.PTCP	V;SBJV;SG;3;PRS;FIN
ouvert	open	ouvrir	open	V;MASC;SG;PST;V.PTCP	N;MASC;SG
parler	conversa	parler	conversa	V;NFIN	N;FEM;SG
astéroïdes	asteróide	astéroïde	asteróide	N;MASC;PL	N;MASC;SG
astéroïdes	asteroide	astéroïde	asteroider	N;MASC;PL	N;MASC;SG
nécessaire	precisei	nécessaire	precisar	ADJ;MASC;SG	V;IND;SG;1;PST;FIN
nécessaire	precisava	nécessaire	precisar	ADJ;MASC;SG	V;IND;SG;3;IPFV;FIN
nécessaire	exigido	nécessaire	exigir	ADJ;MASC;SG	V;MASC;SG;V.PTCP
nécessaire	requerido	nécessaire	requerer	ADJ;MASC;SG	V;MASC;SG;V.PTCP
nécessaire	necessários	nécessaire	necessário	ADJ;MASC;SG	ADJ;MASC;PL
nécessaire	necessario	nécessaire	necessario	ADJ;MASC;SG	N;MASC;SG
règne	reina	règne	reina	N;MASC;SG	V;IND;SG;3;PRS;FIN
règne	reinar	règne	reinar	N;MASC;SG	V;NFIN
difficile	hard	difficile	hard	ADJ;MASC;SG	N;MASC;SG
difficile	dura	difficile	durar	ADJ;MASC;SG	V;IND;SG;3;PRS;FIN
difficile	difíceis	difficile	difícil	ADJ;MASC;SG	ADJ;MASC;PL
inconnu	desconhecida	inconnu	desconhecer	ADJ;MASC;SG	V;FEM;SG;V.PTCP
inconnu	desconhecidos	inconnu	desconhecer	ADJ;MASC;SG	V;MASC;PL;V.PTCP
inconnu	desconhecidas	inconnu	desconhecer	ADJ;MASC;SG	V;FEM;PL;V.PTCP
inconnu	desconhecido	inconnu	desconhecer	ADJ;MASC;SG	V;MASC;SG;V.PTCP
tom	tom	tom	tom	PROPN	N;MASC;SG
champions	champions	champion	champions	N;MASC;PL	N;MASC;SG
modèles	models	modèle	model	N;MASC;PL	N;MASC;SG
meilleurs	melhor	meilleur	melhor	ADJ;MASC;PL	ADV
meilleurs	melhor	meilleur	melhor	ADJ;MASC;PL	ADV
meilleurs	best	meilleur	best	ADJ;MASC;PL	N;MASC;SG
cheval	cavalos	cheval	cavalo	N;MASC;SG	N;MASC;PL
cheval	cavalos	cheval	cavalo	N;MASC;SG	N;MASC;PL
soutien	apoios	soutien	apoio	N;MASC;SG	N;MASC;PL
débuts	estréia	début	estréia	N;MASC;PL	N;FEM;SG
débuts	estreia	début	estreia	N;MASC;PL	N;FEM;SG
milan	milão	milan	milão	PROPN	N;MASC;SG
milan	milan	milan	milan	PROPN	N;MASC;SG
milan	milão	milan	milão	PROPN	N;MASC;SG
milan	milano	milan	milano	PROPN	N;MASC;SG
raymond	raymond	raymond	raymond	PROPN	N;MASC;SG
raymond	raimundo	raymond	raimundo	PROPN	N;MASC;SG
petites	small	petit	small	ADJ;FEM;PL	N;MASC;SG
petites	pequeno	petit	pequeno	ADJ;FEM;PL	ADJ;MASC;SG
petites	pequena	petit	pequeno	ADJ;FEM;PL	ADJ;FEM;SG
commun	frequentes	commun	frequente	ADJ;MASC;SG	ADJ;MASC;PL
commun	common	commun	common	ADJ;MASC;SG	N;MASC;SG
min	min	minute	min	N;MASC;SG	N;MASC;PL
avion	aviões	avion	avião	N;MASC;SG	N;MASC;PL
avion	aeronaves	avion	aeronave	N;MASC;SG	N;FEM;PL
internes	internos	interne	interno	ADJ;MASC;PL	N;MASC;PL
internes	estagiários	interne	estagiário	ADJ;MASC;PL	N;MASC;PL
internes	internas	interne	interno	ADJ;MASC;PL	N;FEM;PL
internes	internos	interne	interno	ADJ;MASC;PL	N;MASC;PL
internes	interno	interne	interno	ADJ;MASC;PL	ADJ;MASC;SG
internes	interna	interne	interno	ADJ;MASC;PL	ADJ;FEM;SG
portugal	portugal	portugal	portugal	ADJ;MASC;SG	N;MASC;SG
vert	green	vert	green	ADJ;MASC;SG	N;MASC;SG
vert	verdes	vert	verdes	ADJ;MASC;SG	N;MASC;PL
vert	vert	vert	vert	ADJ;MASC;SG	N;MASC;SG
strasbourg	estrasburgo	strasbourg	estrasburgo	PROPN	N;MASC;SG
personnel	pessoais	personnel	pessoal	N;MASC;SG	ADJ;MASC;PL
local	locais	local	local	ADJ;MASC;SG	N;MASC;PL
local	local	local	local	ADJ;MASC;SG	N;MASC;SG
frank	frank	frank	frank	PROPN	N;MASC;SG
olivier	oliver	olivier	oliver	PROPN	N;MASC;SG
olivier	olivier	olivier	olivier	PROPN	N;MASC;SG
inde	índia	inde	índia	PROPN	N;FEM;SG
inde	india	inde	india	PROPN	N;MASC;SG
relation	relacionamentos	relation	relacionamento	N;FEM;SG	N;MASC;PL
crée	cria	créer	criar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
crée	crie	créer	criar	V;FEM;SG;PST;V.PTCP	V;SBJV;SG;3;PRS;FIN
crée	cria	créer	criar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
crée	criadas	créer	criar	V;FEM;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
crée	criados	créer	criar	V;FEM;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
suivantes	seguindo	suivant	seguir	ADJ;FEM;PL	V;V.MSDR
suivantes	seguintes	suivant	seguinte	ADJ;FEM;PL	N;MASC;PL
étudiants	aluno	étudiant	aluno	N;MASC;PL	N;MASC;SG
étudiants	aluna	étudiant	aluna	N;MASC;PL	N;FEM;SG
étudiants	estudante	étudiant	estudante	N;MASC;PL	N;MASC;SG
étudiants	student	étudiant	student	N;MASC;PL	N;MASC;SG
manque	ausente	manque	ausente	N;MASC;SG	ADJ;MASC;SG
manque	faltam	manque	faltar	N;MASC;SG	V;IND;PL;3;PRS;FIN
manque	faltando	manque	faltar	N;MASC;SG	V;V.MSDR
plein	full	plein	full	ADJ;MASC;SG	N;MASC;SG
naturel	naturais	naturel	natural	ADJ;MASC;SG	N;MASC;PL
gérard	gérard	gérard	gérard	PROPN	N;MASC;SG
gérard	gérard	gérard	gérard	PROPN	N;MASC;SG
gérard	gerard	gérard	gerard	PROPN	N;MASC;SG
argument	argumentar	argument	argumentar	N;MASC;SG	V;NFIN
argument	argumentos	argument	argumento	N;MASC;SG	N;MASC;PL
semaines	semana	semaine	semana	N;FEM;PL	N;FEM;SG
familles	família	famille	família	N;FEM;PL	N;FEM;SG
familles	familia	famille	familia	N;FEM;PL	N;FEM;SG
expérience	experiências	expérience	experiência	N;FEM;SG	N;FEM;PL
appelle	ligue	appeler	ligar	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
dramatique	dramatique	dramatique	dramatique	ADJ;MASC;SG	N;MASC;SG
dramatique	drama	dramatique	drama	ADJ;MASC;SG	N;MASC;SG
dramatique	dramas	dramatique	drama	ADJ;MASC;SG	N;MASC;PL
dramatique	dramática	dramatique	dramático	ADJ;MASC;SG	N;FEM;SG
dramatique	dramáticos	dramatique	dramático	ADJ;MASC;SG	ADJ;MASC;PL
dramatique	dramáticas	dramatique	dramático	ADJ;MASC;SG	ADJ;FEM;PL
extérieur	fora	extérieur	fora	N;MASC;SG	ADV
extérieur	externas	extérieur	externo	N;MASC;SG	N;FEM;PL
extérieur	externo	extérieur	externo	N;MASC;SG	ADJ;MASC;SG
extérieur	externos	extérieur	externo	N;MASC;SG	ADJ;MASC;PL
extérieur	exteriores	extérieur	exterior	N;MASC;SG	N;MASC;PL
draft	rascunho	draft	rascunho	PROPN	N;MASC;SG
draft	draft	draft	draft	PROPN	N;MASC;SG
régional	regionais	régional	regional	ADJ;MASC;SG	N;MASC;PL
régional	regional	régional	regional	ADJ;MASC;SG	N;MASC;SG
thème	tópicos	thème	tópico	N;MASC;SG	N;MASC;PL
distance	distâncias	distance	distância	N;FEM;SG	N;FEM;PL
littéraire	literários	littéraire	literário	ADJ;MASC;SG	N;MASC;PL
littéraire	littéraire	littéraire	littéraire	ADJ;MASC;SG	N;MASC;SG
arrêté	presos	arrêter	preso	V;MASC;SG;PST;V.PTCP	N;MASC;PL
tradition	tradições	tradition	tradição	N;FEM;SG	N;FEM;PL
connaissance	conhecido	connaissance	conhecido	N;FEM;SG	ADJ;MASC;SG
connaissance	conhecidos	connaissance	conhecido	N;FEM;SG	ADJ;MASC;PL
connaissance	conhecimentos	connaissance	conhecimento	N;FEM;SG	N;MASC;PL
étoile	estrelas	étoile	estrela	N;FEM;SG	N;FEM;PL
marche	marche	marche	marche	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
marche	passear	marche	passear	N;FEM;SG	V;NFIN
marche	andar	marche	andar	N;FEM;SG	V;NFIN
marche	caminhar	marche	caminhar	N;FEM;SG	V;NFIN
marche	marchar	marche	marchar	N;FEM;SG	V;NFIN
marche	passear	marche	passear	N;FEM;SG	V;NFIN
marche	andar	marche	andar	N;FEM;SG	V;NFIN
marche	caminhar	marche	caminhar	N;FEM;SG	V;NFIN
jaune	amarelos	jaune	amarelo	ADJ;MASC;SG	N;MASC;PL
jaune	amarela	jaune	amarela	ADJ;MASC;SG	N;FEM;SG
serbie	sérvia	serbier	sérvio	PROPN	N;FEM;SG
permettent	permita	permettre	permitir	V;IND;PL;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
