den	az	den	az	PRO;DEF;MASC+FEM;SG	
drog	drogok	drog	drog	V;IMP;PST;FIN;ACT	N;NOM;PL
drog	drog	drog	drog	V;IMP;PST;FIN;ACT	N;NOM;SG
eau	eau	eau	eau	V;IMP;FIN;ACT	
professionell	szakmai	professionell	szakmai	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
professionell	profi	professionell	profi	N;NOM;INDF;MASC+FEM;SG	
professionell	professzionális	professionell	professzionális	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
rollen	szerepet	roll	szerep	N;NOM;DEF;MASC+FEM;SG	N;ACC;SG
anton	anton	anton	az	PROPN;NOM	PROPN;NOM;SG
ung	fiatalok	ung	fiatal	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;PL
ung	fiatal	ung	fiatal	ADJ;NOM;INDF;MASC+FEM;SG	
nicaragua	nicaragua	nicaraguum	nicarag	PROPN;NOM	N;NOM;SG
ton	tonnában	ton	tonna	N;NOM;INDF;NEUT;SG	N;IN+ESS;SG
ton	tonnányi	ton	tonnányi	N;NOM;INDF;NEUT;SG	
ton	tone	ton	tone	N;NOM;INDF;NEUT;SG	
mats	mats	mats	mats	PROPN;NOM	
inflytande	befolyással	inflytande	befolyás	N;NOM;INDF;NEUT;SG	N;INS;SG
gabriel	gabriel	gabriel	gabriel	PROPN;NOM	
gabriel	gábriel	gabriel	gábriel	PROPN;NOM	
fria	ingyenes	fri	ingyenes	ADJ;NOM;PL	
fria	ingyen	fri	ingyen	ADJ;NOM;PL	
fria	free	fri	free	ADJ;NOM;PL	
fria	szabad	fri	szabad	ADJ;NOM;PL	
fri	ingyenes	fri	ingyenes	ADJ;NOM;INDF;MASC+FEM;SG	
fri	ingyen	fri	ingyen	ADJ;NOM;INDF;MASC+FEM;SG	
fri	free	fri	free	ADJ;NOM;INDF;MASC+FEM;SG	
fri	szabad	fri	szabad	ADJ;NOM;INDF;MASC+FEM;SG	
serier	képregény	serie	képregény	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
serier	képregényeket	serie	képregény	N;NOM;INDF;MASC+FEM;PL	N;ACC;PL
serier	sorozat	serie	sorozat	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
fred	béke	fred	béke	N;NOM;INDF;MASC+FEM;SG	
fred	fred	fred	fred	N;NOM;INDF;MASC+FEM;SG	
bakgrund	háttérben	bakgrund	háttér	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
linné	linné	linné	linné	PROPN;NOM	
höger	jobbra	höger	jobbra	N;NOM;INDF;MASC+FEM;SG	ADV
mina	mina	jag	mina	PRO;DEF;PL	
mina	enyém	jag	enyém	PRO;DEF;PL	N;NOM;SG
maine	maine	maine	maine	N;NOM;INDF;MASC+FEM;SG	
plan	sík	plan	sík	N;NOM;INDF;NEUT;SG	
plan	repülővel	plan	repülő	N;NOM;INDF;NEUT;SG	N;INS;SG
plan	repülő	plan	repülő	N;NOM;INDF;NEUT;SG	
plan	repülők	plan	repülő	N;NOM;INDF;NEUT;SG	N;NOM;PL
plan	repülőgépek	plan	repülőgép	N;NOM;INDF;NEUT;SG	N;NOM;PL
day	napon	day	nap	N;NOM;INDF;NEUT;SG	N;ON+ESS;SG
day	nappal	day	nap	N;NOM;INDF;NEUT;SG	N;INS;SG
day	napot	day	nap	N;NOM;INDF;NEUT;SG	N;ACC;SG
litet	kis	litet	kis	ADV	ADJ;NOM;SG
litet	kicsik	litet	kicsik	ADV	
litet	kicsi	litet	kicsi	ADV	
litet	kis	litet	kis	ADV	ADJ;NOM;SG
litet	kicsi	litet	kicsi	ADV	
litet	kevés	litet	kevés	ADV	
vanligtvis	általában	vanligtvis	általában	ADV	
vanligtvis	rendszerint	vanligtvis	rendszerint	ADV	
vanligtvis	általában	vanligtvis	általában	ADV	
gott	jó	god	jó	ADV	
gott	finom	god	finom	ADV	
bou	bou	bou	bou	N;NOM;INDF;MASC+FEM;SG	
data	adat	data	adat	N;NOM;INDF;NEUT;PL	N;NOM;SG
data	adatforgalom	data	adatforgalom	N;NOM;INDF;NEUT;PL	N;NOM;SG
adam	ádám	adam	ádám	PROPN;NOM	N;NOM;SG
adam	adam	adam	adam	PROPN;NOM	
betydligt	jelentősen	betydlig	jelentős	ADV	ADJ;FRML;SG
betydligt	jelentősen	betydlig	jelentős	ADV	ADJ;FRML;SG
steg	lépcsők	steg	lépcső	N;NOM;INDF;NEUT;SG	N;NOM;PL
steg	lépések	steg	lépés	N;NOM;INDF;NEUT;SG	N;NOM;PL
steg	lépéseket	steg	lépés	N;NOM;INDF;NEUT;SG	N;ACC;PL
svensson	svensson	svensson	svensson	PROPN;NOM	
svensson	kovács	svensson	kovács	PROPN;NOM	
svensson	smith	svensson	smith	PROPN;NOM	
hugo	hugo	hugo	hugo	PROPN;NOM	PROPN;NOM;SG
rör	pipa	röra	pipa	N;NOM;INDF;NEUT;SG	
rör	csövek	röra	csövek	N;NOM;INDF;NEUT;SG	N;NOM;PL
rör	csövek	röra	csövek	N;NOM;INDF;NEUT;SG	N;NOM;PL
rör	csöveket	röra	csöv	N;NOM;INDF;NEUT;SG	N;ACC;PL
infördes	bevezetett	införa	bevezetett	V;IND;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
infördes	bemutatott	införa	bemutatott	V;IND;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
fort	fort	fort	for	N;NOM;INDF;NEUT;SG	
ljus	light	ljus	light	N;NOM;INDF;NEUT;SG	
ljus	fényt	ljus	fény	N;NOM;INDF;NEUT;SG	N;ACC;SG
ljus	gyertyákat	ljus	gyertya	N;NOM;INDF;NEUT;SG	N;ACC;PL
ljus	gyertyát	ljus	gyertya	N;NOM;INDF;NEUT;SG	N;ACC;SG
ljus	gyertyák	ljus	gyertya	N;NOM;INDF;NEUT;SG	N;NOM;PL
ljus	lámpák	ljus	lámpa	N;NOM;INDF;NEUT;SG	N;NOM;PL
ljus	fények	ljus	fény	N;NOM;INDF;NEUT;SG	N;NOM;PL
ljus	gyertyát	ljus	gyertya	N;NOM;INDF;NEUT;SG	N;ACC;SG
möjlighet	lehetőséget	möjlighet	lehetőség	N;NOM;INDF;MASC+FEM;SG	N;ACC;SG
charlotte	charlotte	charlotte	charl	PROPN;NOM	
satt	ültem	sitta	ül	V;IMP;FIN;ACT	V;INDF;IND;SG;1;PST;FIN;ACT
satt	ült	sitta	ül	V;IMP;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
vrh	vrh	vrh	vrh	N;NOM;INDF;MASC+FEM;SG	
romerska	római	romersk	római	ADJ;NOM;PL	ADJ;NOM;SG
romerska	roman	romersk	roman	ADJ;NOM;PL	
high	high	high	high	N;NOM;INDF;MASC+FEM;SG	
high	magas	high	magas	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
high	magasan	high	magasan	N;NOM;INDF;MASC+FEM;SG	
bois	bois	boi	bois	N;NOM;INDF;MASC+FEM;SG	
biskop	futó	biskop	futó	N;NOM;INDF;MASC+FEM;SG	
biskop	bishop	biskop	bishop	N;NOM;INDF;MASC+FEM;SG	
sådant	ilyen	sån	ilyen	PRO;INDF;NEUT;SG	
tillstånd	engedély	tillstånd	engedély	N;NOM;INDF;NEUT;SG	
tillstånd	engedélyek	tillstånd	engedély	N;NOM;INDF;NEUT;SG	N;NOM;PL
tillstånd	engedély	tillstånd	engedély	N;NOM;INDF;NEUT;SG	
tillstånd	engedélyben	tillstånd	engedély	N;NOM;INDF;NEUT;SG	N;IN+ESS;SG
tillstånd	engedély	tillstånd	engedély	N;NOM;INDF;NEUT;SG	
tillstånd	engedélyt	tillstånd	engedély	N;NOM;INDF;NEUT;SG	N;ACC;SG
sitter	ülve	sitta	ülve	V;IND;PRS;FIN;ACT	
real	real	real	real	N;NOM;INDF;MASC+FEM;SG	
real	valós	real	valós	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
real	igazi	real	igazi	N;NOM;INDF;MASC+FEM;SG	
real	valódi	real	valódi	N;NOM;INDF;MASC+FEM;SG	
högst	legmagasabb	hög	nagmagas	ADV;RL	ADJ;NOM;RL;SG
rhône	rhône	rhône	rhône	N;NOM;INDF;MASC+FEM;SG	
vecka	héten	vecka	hét	N;NOM;INDF;MASC+FEM;SG	N;ON+ESS;SG
vecka	heti	vecka	heti	N;NOM;INDF;MASC+FEM;SG	
normandie	normandie	normandie	normandie	PROPN;NOM	
normandie	normandia	normandie	normandia	PROPN;NOM	N;NOM;SG
karlsson	karlsson	karlsson	karlsson	PROPN;NOM	N;NOM;SG
anges	felsorolt	ange	fel+sorol	V;NFIN;PASS	
dan	dan	dan	dan	PROPN;NOM	PROPN;NOM;SG
bob	bob	bob	bob	PROPN;NOM	
skapades	létrehozott	skapa	létrehozott	V;IND;PST;FIN;PASS	N;ACC;SG
skapades	létrehozva	skapa	létrehozva	V;IND;PST;FIN;PASS	N;NOM;SG
skapades	teremtett	skapa	teremtett	V;IND;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
normalt	általában	normal	általában	ADV	
normalt	szokásos	normal	szokásos	ADV	ADJ;NOM;SG
normalt	normális	normal	normális	ADV	
normalt	normál	normal	normál	ADV	
kap	cape	kap	cap	N;NOM;INDF;NEUT;SG	
sachsen	sachsen	sachsen	sachsen	PROPN;NOM	
sachsen	szászország	sachsen	szászország	PROPN;NOM	
sachsen	szász	sachsen	szász	PROPN;NOM	
administrativa	igazgatási	administrativ	igazgatási	ADJ;NOM;PL	ADJ;NOM;SG
administrativa	adminisztratív	administrativ	adminisztratív	ADJ;NOM;PL	N;NOM;SG
israel	izraeli	israel	izraeli	PROPN;NOM	
israel	izrael	israel	izrael	PROPN;NOM	
stanley	stanley	stanley	stanley	PROPN;NOM	
utmärkelser	kitüntetés	utmärkelse	kitüntetés	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
utmärkelser	gála	utmärkelse	gála	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
utmärkelser	dekoráció	utmärkelse	dekoráció	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
utmärkelser	jelvény	utmärkelse	jelvény	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
vinna	win	vinna	win	V;IMP;FIN;ACT	
vinna	győzelem	vinna	győzelem	V;IMP;FIN;ACT	N;NOM;SG
vinna	nyerj	vinna	nyerj	V;IMP;FIN;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
vinna	győzelem	vinna	győzelem	V;IMP;FIN;ACT	N;NOM;SG
vinna	nyerő	vinna	nyerő	V;IMP;FIN;ACT	
målare	festők	mål	festő	N;NOM;INDF;MASC+FEM;SG	N;NOM;PL
saker	dolgokat	sak	dolog	N;NOM;INDF;MASC+FEM;PL	N;ACC;PL
saker	cucc	sak	cucc	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
projektet	projekt	projekt	projekt	N;NOM;DEF;NEUT;SG	
projektet	project	projekt	projec	N;NOM;DEF;NEUT;SG	
bildar	képező	bilda	képező	V;IND;PRS;FIN;ACT	ADJ;NOM;SG
användning	használni	användning	használ	N;NOM;INDF;MASC+FEM;SG	V;NFIN;ACT
brunswick	brunswick	brunswick	brunswick	N;NOM;INDF;MASC+FEM;SG	
vänner	barátokkal	vänna	barát	N;NOM;INDF;MASC+FEM;PL	N;INS;PL
joe	joe	joe	joe	PROPN;NOM	
roger	roger	roga	roger	N;NOM;INDF;MASC+FEM;SG	
förenade	united	förenade	united	ADJ;NOM;PL;PST;V.PTCP	
förenade	egyesült	förenade	egyesül	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
greve	gróf	grev	gróf	PROPN;NOM	
internet	interneten	intern	internet	N;NOM;DEF;NEUT;SG	N;ON+ESS;SG
emil	emil	emil	emil	PROPN;NOM	PROPN;NOM;SG
ilha	ilha	ilha	ilha	V;IMP;FIN;ACT	
polska	lengyel	polsk	lengyel	N;NOM;INDF;MASC+FEM;SG	
tecken	karakterek	tecken	karakter	N;NOM;INDF;NEUT;SG	N;NOM;PL
tecken	szereplők	tecken	szereplő	N;NOM;INDF;NEUT;SG	N;NOM;PL
tecken	jelek	tecken	jelek	N;NOM;INDF;NEUT;SG	N;NOM;PL
tecken	jelzések	tecken	jelzés	N;NOM;INDF;NEUT;SG	N;NOM;PL
tecken	táblák	tecken	táblák	N;NOM;INDF;NEUT;SG	N;NOM;PL
tillräckligt	kellően	tillräcklig	kellő	ADV	ADJ;FRML;SG
tillräckligt	elég	tillräcklig	elég	ADV	
tillräckligt	elégséges	tillräcklig	elégséges	ADV	ADJ;NOM;SG
tillräckligt	elegendő	tillräcklig	elegendő	ADV	
open	nyitva	open	nyitva	PROPN;NOM	ADV;V.CVB
lägger	rakd	lägga	rakd	V;IND;PRS;FIN;ACT	V;DEF;IMP;SG;1;PRS;FIN;ACT
lägger	tedd	lägga	tedd	V;IND;PRS;FIN;ACT	V;DEF;IMP;SG;2;PRS;FIN;ACT
shi	shi	shi	shi	V;IMP;FIN;ACT	
sjöar	tó	sjö	tó	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
sjöar	tavi	sjö	tavi	N;NOM;INDF;MASC+FEM;PL	
sjöar	tavon	sjö	tavon	N;NOM;INDF;MASC+FEM;PL	N;ON+ESS;SG
ämnen	anyagokra	ämne	anyag	N;NOM;INDF;NEUT;PL	N;ON+ALL;PL
forskare	kutató	forskare	kutató	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
forskare	tudós	forskare	tudós	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
barcelona	barcelonában	barcelon	barcelon	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
barcelona	barcelonai	barcelon	barcelonai	N;NOM;INDF;MASC+FEM;SG	V;DEF;IND;PL;3;PRS;FIN;ACT
barcelona	barcelona	barcelon	barcelona	N;NOM;INDF;MASC+FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
väst	nyugat	väst	nyugat	N;NOM;INDF;MASC+FEM;SG	
väst	nyugati	väst	nyugati	N;NOM;INDF;MASC+FEM;SG	
permanent	állandó	permanent	állandó	ADJ;NOM;INDF;MASC+FEM;SG	
permanent	végleges	permanent	végleges	ADJ;NOM;INDF;MASC+FEM;SG	
permanent	tartós	permanent	tartós	ADJ;NOM;INDF;MASC+FEM;SG	
permanent	maradandó	permanent	maradandó	ADJ;NOM;INDF;MASC+FEM;SG	
permanent	tartósan	permanent	tartós	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FRML;SG
permanent	véglegesen	permanent	végleges	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FRML;SG
sånger	dalokat	sång	dalok	N;NOM;INDF;MASC+FEM;PL	N;ACC;PL
politiskt	politikailag	politisk	politikai	ADJ;NOM;INDF;NEUT;SG	
politiskt	politika	politisk	politika	ADJ;NOM;INDF;NEUT;SG	N;NOM;SG
theodor	theodor	theodor	theodor	PROPN;NOM	
theodor	theodore	theodor	theodor	PROPN;NOM	
etc	stb	etc	stb	ADV	
krav	követelmény	krav	követelmény	N;NOM;INDF;NEUT;PL	N;NOM;SG
krav	követelmény	krav	követelmény	N;NOM;INDF;NEUT;PL	N;NOM;SG
krav	követel	krav	követel	N;NOM;INDF;NEUT;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
krav	követelés	krav	követelés	N;NOM;INDF;NEUT;PL	N;NOM;SG
personen	személy	person	személy	N;NOM;DEF;MASC+FEM;SG	
personen	személyre	person	személy	N;NOM;DEF;MASC+FEM;SG	
commons	commons	common	commons	N;NOM;INDF;MASC+FEM;SG	ADP
brott	bűncselekmények	brott	bűncselekmény	N;NOM;INDF;NEUT;SG	N;NOM;PL
brott	jogsértések	brott	jogsértés	N;NOM;INDF;NEUT;SG	N;NOM;PL
brott	bűncselekmények	brott	bűncselekmény	N;NOM;INDF;NEUT;SG	N;NOM;PL
brott	bűnök	brott	bűnök	N;NOM;INDF;NEUT;SG	N;NOM;PL
brott	bűncselekmények	brott	bűncselekmény	N;NOM;INDF;NEUT;SG	N;NOM;PL
användaren	felhasználó	användare	felhasználó	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;SG
användaren	felhasználói	användare	felhasználói	N;NOM;DEF;MASC+FEM;SG	N;NOM;PL
anderson	anderson	anderson	anders	PROPN;NOM	
harris	harris	harris	harris	N;NOM;INDF;MASC+FEM;SG	
rekord	rekord	rekord	rekord	N;NOM;INDF;NEUT;SG	
nedre	alsó	nedre	alsó	ADJ;NOM;CMPR	
nedre	lejjebb	nedre	lejj	ADJ;NOM;CMPR	ADV
nedre	alul	nedre	alul	ADJ;NOM;CMPR	
nedre	alja	nedre	al	ADJ;NOM;CMPR	N;NOM;SG
nedre	alsó	nedre	alsó	ADJ;NOM;CMPR	
nedre	fenék	nedre	fene	ADJ;NOM;CMPR	N;NOM;SG
bill	bill	bill	bill	PROPN;NOM	
bill	számla	bill	számla	PROPN;NOM	N;NOM;SG
bil	autóval	bil	autó	N;NOM;INDF;MASC+FEM;SG	N;INS;SG
bil	kocsival	bil	kocsi	N;NOM;INDF;MASC+FEM;SG	
khor	khor	khor	khor	N;NOM;INDF;NEUT;SG	
annars	másképpen	annars	másképpen	ADV	
annars	másképp	annars	másképp	ADV	
bilden	képet	bild	kép	N;NOM;DEF;MASC+FEM;SG	N;ACC;SG
bilden	képet	bild	kép	N;NOM;DEF;MASC+FEM;SG	N;ACC;SG
prix	prix	prix	prix	N;NOM;INDF;MASC+FEM;SG	
ökade	fokozott	öka	fokozik	ADJ;NOM;PL;PST;V.PTCP	
ökade	emelkedett	öka	emelkedik	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ökade	megnövelt	öka	megnövel	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ökade	megnőtt	öka	megnőtt	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ökade	megnövekedett	öka	megnövekedik	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ökade	nőtt	öka	nő	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
bär	bogyókat	bära	bogyó	V;IMP;FIN;ACT	N;ACC;PL
bär	bogyók	bära	bogyók	V;IMP;FIN;ACT	N;NOM;PL
bär	bogyó	bära	bogyó	V;IMP;FIN;ACT	N;NOM;SG
bär	bogyó	bära	bogyó	V;IMP;FIN;ACT	N;NOM;SG
bär	berry	bära	berry	V;IMP;FIN;ACT	
budapest	budapest	budapest	budapest	PROPN;NOM	PROPN;NOM;SG
budapest	budapesten	budapest	budapest	PROPN;NOM	N;ON+ESS;SG
budapest	budapesti	budapest	budapesti	PROPN;NOM	ADJ;NOM;SG
röd	piros	röd	piros	ADJ;NOM;INDF;MASC+FEM;SG	
röd	piroska	röd	piroska	ADJ;NOM;INDF;MASC+FEM;SG	
röd	vörös	röd	vörös	ADJ;NOM;INDF;MASC+FEM;SG	
turkiet	pulyka	turkiet	pulyka	PROPN;NOM	N;NOM;SG
turkiet	törökország	turkiet	törökország	PROPN;NOM	N;NOM;SG
nelson	nelson	nelson	nelson	PROPN;NOM	
känner	érezd	känna	érez	V;IND;PRS;FIN;ACT	V;DEF;IMP;SG;1;PRS;FIN;ACT
känner	érzés	känna	érzés	V;IND;PRS;FIN;ACT	
känner	érzéssel	känna	érzés	V;IND;PRS;FIN;ACT	N;INS;SG
produktion	termelési	produktion	termelési	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
omfattning	mértékben	omfattning	mérték	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
internationell	international	internationell	international	ADJ;NOM;INDF;MASC+FEM;SG	
utom	kivéve	utom	kivév	ADP	
portugal	portugália	portugal	portugália	PROPN;NOM	N;NOM;SG
cours	cours	cours	cours	N;NOM;INDF;MASC+FEM;SG	
romanen	újszerű	roman	újszerű	N;NOM;DEF;MASC+FEM;SG	
timmar	órákban	timme	óra	N;NOM;INDF;MASC+FEM;PL	N;IN+ESS;PL
timmar	óra	timme	óra	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
gilbert	gilbert	gilbert	gilber	PROPN;NOM	
frederick	frederick	frederick	frederick	PROPN;NOM	
post	mail	post	mail	N;NOM;INDF;MASC+FEM;SG	
post	levelek	post	levél	N;NOM;INDF;MASC+FEM;SG	N;NOM;PL
post	posta	post	posta	N;NOM;INDF;MASC+FEM;SG	
post	posta	post	posta	N;NOM;INDF;MASC+FEM;SG	
post	post	post	post	N;NOM;INDF;MASC+FEM;SG	
post	bejegyzést	post	bejegyzés	N;NOM;INDF;MASC+FEM;SG	N;ACC;SG
post	bejegyzésre	post	bejegyzés	N;NOM;INDF;MASC+FEM;SG	N;ON+ALL;SG
post	belépés	post	belépés	N;NOM;INDF;MASC+FEM;SG	
sund	egészségesek	sund	egészséges	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
sund	egészségesen	sund	egészséges	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FRML;SG
sund	szoros	sund	szoros	ADJ;NOM;INDF;MASC+FEM;SG	
beskrivs	leírja	beskriva	leír	V;IND;PRS;FIN;PASS	V;DEF;IND;SG;3;PRS;FIN;ACT
beskrivs	leírt	beskriva	leírt	V;IND;PRS;FIN;PASS	
bissau	bissau	bissau	bissau	N;NOM;INDF;MASC+FEM;SG	
föremål	tárgyak	föremål	tárgy	N;NOM;INDF;NEUT;SG	N;NOM;PL
föremål	tételek	föremål	tétel	N;NOM;INDF;NEUT;SG	N;NOM;PL
föremål	elemek	föremål	elem	N;NOM;INDF;NEUT;SG	N;NOM;PL
föremål	tárgyak	föremål	tárgy	N;NOM;INDF;NEUT;SG	N;NOM;PL
föremål	objektumok	föremål	ob	N;NOM;INDF;NEUT;SG	N;NOM;PL
föremål	figyelemmel	föremål	figyelem	N;NOM;INDF;NEUT;SG	N;INS;SG
relevant	relevánsak	relevant	releváns	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;PL
relevant	jelentősége	relevant	jelentőség	ADJ;NOM;INDF;NEUT;SG	N;NOM;SG
relevant	releváns	relevant	releváns	ADJ;NOM;INDF;NEUT;SG	
relevant	relevánsak	relevant	releváns	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;PL
relevant	lényeges	relevant	lényeges	ADJ;NOM;INDF;NEUT;SG	
ishockey	hoki	ishockey	hoki	N;NOM;INDF;MASC+FEM;SG	
total	teljes	total	teljes	ADJ;NOM;INDF;MASC+FEM;SG	
total	összesen	total	összesen	ADJ;NOM;INDF;MASC+FEM;SG	
sammanhang	összefüggésben	sammanhang	összefüggés	N;NOM;INDF;NEUT;SG	N;IN+ESS;SG
röster	szavazat	röst	szavazat	N;NOM;INDF;MASC+FEM;PL	
röster	hangokat	röst	hang	N;NOM;INDF;MASC+FEM;PL	N;ACC;PL
mali	mali	mali	mali	PROPN;NOM	
lopp	races	lopp	races	N;NOM;INDF;NEUT;SG	
lopp	versenyek	lopp	verseny	N;NOM;INDF;NEUT;SG	N;NOM;PL
linje	line	linje	line	N;NOM;INDF;MASC+FEM;SG	
linje	sor	linje	sor	N;NOM;INDF;MASC+FEM;SG	
sociala	társadalmi	social	társadalmi	ADJ;NOM;PL	ADJ;NOM;SG
sociala	szociális	social	szociális	ADJ;NOM;PL	N;NOM;SG
undantag	kivételek	undantag	kivétel	N;NOM;INDF;NEUT;SG	N;NOM;PL
undantag	kivétel	undantag	kivétel	N;NOM;INDF;NEUT;SG	
undantag	kivételek	undantag	kivétel	N;NOM;INDF;NEUT;SG	N;NOM;PL
undantag	kivétel	undantag	kivétel	N;NOM;INDF;NEUT;SG	
undantag	eltérést	undantag	eltérés	N;NOM;INDF;NEUT;SG	N;ACC;SG
undantag	kivételek	undantag	kivétel	N;NOM;INDF;NEUT;SG	N;NOM;PL
dur	dur	dur	dur	N;NOM;INDF;NEUT;SG	
sydafrika	afrikai	sydafrika	afrikai	N;NOM;INDF;MASC+FEM;SG	
sydafrika	afrika	sydafrika	afrika	N;NOM;INDF;MASC+FEM;SG	
kraftigt	erősen	kraftig	erős	ADV	ADJ;FRML;SG
kraftigt	erősen	kraftig	erős	ADV	ADJ;FRML;SG
kraftigt	erőteljesen	kraftig	erőteljes	ADV	ADJ;FRML;SG
horn	szarvak	horn	szarv	PROPN;NOM	N;NOM;PL
horn	szarva	horn	szarva	PROPN;NOM	N;NOM;SG
horn	kürt	horn	kür	PROPN;NOM	
horn	horn	horn	hor	PROPN;NOM	
internationellt	international	internationell	international	ADJ;NOM;INDF;NEUT;SG	
internationellt	nemzetközileg	internationell	nemzetközileg	ADJ;NOM;INDF;NEUT;SG	
gordon	gordon	gordon	gord	PROPN;NOM	
vetenskapliga	tudományos	vetenskaplig	tudományos	ADJ;NOM;PL	ADJ;NOM;SG
nivå	szintű	nivå	szintű	N;NOM;INDF;MASC+FEM;SG	
norrköping	norrköping	norrköping	norrköping	PROPN;NOM	N;NOM;SG
flygplan	repülőgépek	flygplan	repülőgép	N;NOM;INDF;NEUT;SG	N;NOM;PL
flygplan	repülőgépek	flygplan	repülőgép	N;NOM;INDF;NEUT;SG	N;NOM;PL
flygplan	repülő	flygplan	repülő	N;NOM;INDF;NEUT;SG	
burundi	burundi	burundi	burundi	PROPN;NOM	
allmänt	általános	allmän	általános	ADV	
allmänt	tábornok	allmän	tábornok	ADV	N;NOM;SG
förening	összetett	förening	összetett	N;NOM;INDF;MASC+FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
riktigt	real	riktig	real	ADV	
riktigt	valós	riktig	valós	ADV	ADJ;NOM;SG
riktigt	igazi	riktig	igazi	ADV	
riktigt	valódi	riktig	valódi	ADV	
pedro	pedro	pedro	pedro	PROPN;NOM	
nordisk	skandináv	nordisk	skandináv	N;NOM;INDF;MASC+FEM;SG	
nordisk	északi	nordisk	északi	N;NOM;INDF;MASC+FEM;SG	
senast	last	senast	last	ADV;RL	
senast	utolsó	senast	utolsó	ADV;RL	
senast	legújabb	senast	legújabb	ADV;RL	ADJ;NOM;RL;SG
senast	legutóbbi	senast	legutóbbi	ADV;RL	
senast	legfrissebb	senast	fons	ADV;RL	ADJ;NOM;RL;SG
bryssel	brüsszelben	bryssel	brüsszel	PROPN;NOM	N;IN+ESS;SG
bryssel	brüsszeli	bryssel	brüsszeli	PROPN;NOM	ADJ;NOM;SG
bryssel	brüsszel	bryssel	brüsszel	PROPN;NOM	N;NOM;SG
läsning	olvasok	läsning	olvas	N;NOM;INDF;MASC+FEM;SG	V;INDF;IND;SG;1;PRS;FIN;ACT
läsning	olvasni	läsning	olvas	N;NOM;INDF;MASC+FEM;SG	V;NFIN;ACT
carlos	carlos	carlos	carlos	PROPN;NOM	
politik	politikák	politik	politika	N;NOM;INDF;MASC+FEM;SG	N;NOM;PL
växjö	växjö	växjö	växjö	PROPN;NOM	
levande	élni	levande	él	ADJ;NOM;PRS;V.PTCP	V;NFIN;ACT
levande	élő	levande	élő	ADJ;NOM;PRS;V.PTCP	
levande	live	levande	live	ADJ;NOM;PRS;V.PTCP	
levande	élni	levande	él	ADJ;NOM;PRS;V.PTCP	V;NFIN;ACT
levande	élőben	levande	élő	ADJ;NOM;PRS;V.PTCP	N;IN+ESS;SG
levande	élő	levande	élő	ADJ;NOM;PRS;V.PTCP	
levande	élve	levande	élve	ADJ;NOM;PRS;V.PTCP	
levande	életben	levande	élet	ADJ;NOM;PRS;V.PTCP	N;IN+ESS;SG
levande	él	levande	él	ADJ;NOM;PRS;V.PTCP	V;INDF;IND;SG;3;PRS;FIN;ACT
