der	het	der	het	DET;NOM;DEF;MASC;SG	PRO;3
schnell	vasten	schnell	vast	ADJ	V;NFIN
schnell	fast	schnell	fast	ADJ	N;MASC+FEM;SG
einzelnen	individu	einzeln	individu	ADJ	N;NEUT;SG
teile	porties	teilen	portie	ADV	N;PL
teile	onderdelen	teilen	onderdeel	ADV	N;PL
teile	delen	teilen	delen	ADV	V;NFIN
teile	deel	teilen	deel	ADV	N;NEUT;SG
teile	delen	teilen	delen	ADV	V;NFIN
teile	stuks	teilen	stuk	ADV	N;PL
teile	stukken	teilen	stuk	ADV	N;PL
teile	stukjes	teilen	stuk	ADV	N;PL
machte	made	machen	made	V;IND;SG;3;PST;FIN	
josef	jozef	josef	jozef	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
josef	joseph	josef	joseph	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
josef	josef	josef	josef	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
josef	jozef	josef	jozef	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
gmbh	ltd	gmbh	ltden	N;NOM;FEM;SG	
google	google	google	goog	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
italien	italië	italien	italië	PROPN;NOM;NEUT;SG	PROPN;NEUT;SG
italien	italia	italien	italia	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
fragen	ask	fragen	ask	V;NFIN	INTJ
fragen	vraag	fragen	vraag	V;NFIN	N;MASC+FEM;SG
fragen	vraagje	fragen	vraag	V;NFIN	N;NEUT;SG
fragen	vraag	fragen	vraag	V;NFIN	N;MASC+FEM;SG
hälfte	helft	Hälfte	helft	ADJ	N;MASC+FEM;SG
euro	euros	euro	euros	PROPN;NOM;MASC;SG	N;PL
euro	euro	euro	euro	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
euro	euro	euro	euro	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
verbindung	aansluiting	verbindung	aansluiting	ADJ	N;MASC+FEM;SG
verbindung	verbinding	verbindung	verbinding	ADJ	N;MASC+FEM;SG
verbindung	connectie	verbindung	connectie	ADJ	N;MASC+FEM;SG
verbindung	link	verbindung	link	ADJ	N;MASC+FEM;SG
verbindung	koppeling	verbindung	koppeling	ADJ	N;MASC+FEM;SG
verbindung	verbind	verbindung	verbind	ADJ	V;SG;PRS;FIN
verbindung	verbinden	verbindung	verbinden	ADJ	V;NFIN
nähe	afsluiten	nähe	afsluiten	N;NOM;FEM;SG	V;NFIN
nähe	sluiten	nähe	sluiten	N;NOM;FEM;SG	V;NFIN
nähe	sluit	nähe	sluiten	N;NOM;FEM;SG	V;SG;PRS;FIN
nähe	dichtbij	nähe	dichtbij	N;NOM;FEM;SG	ADJ
nähe	nabijgelegen	nähe	nabijgelegen	N;NOM;FEM;SG	ADV
nähe	dichtbij	nähe	dichtbij	N;NOM;FEM;SG	ADJ
vertrag	covenant	vertragen	covenant	V;IND;SG;3;PST;FIN	N;MASC+FEM;SG
vertrag	convenant	vertragen	convenant	V;IND;SG;3;PST;FIN	N;NEUT;SG
vertrag	overeenkomst	vertragen	overeenkomst	V;IND;SG;3;PST;FIN	N;MASC+FEM;SG
vertrag	akkoord	vertragen	akkoord	V;IND;SG;3;PST;FIN	ADJ
vertrag	contract	vertragen	contract	V;IND;SG;3;PST;FIN	N;NEUT;SG
vertrag	verdrag	vertragen	verdrag	V;IND;SG;3;PST;FIN	N;NEUT;SG
besuchte	bezochten	besuchen	bezoeken	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
james	james	james	jame	PROPN;NOM;MASC;SG	N;PL
james	jacobus	james	jacobus	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
top	top	top	top	ADV	N;MASC+FEM;SG
top	bovenste	top	boven	ADV	ADJ;RL
top	bovenkant	top	bovenkant	ADV	N;MASC+FEM;SG
bruder	bro	bruder	bro	ADJ	N;MASC+FEM;SG
bruder	broeder	bruder	broed	ADJ	N;MASC+FEM;SG
bruder	broer	bruder	broer	ADJ	N;MASC+FEM;SG
bruder	broertje	bruder	broer	ADJ	N;NEUT;SG
künstler	kunstenares	künstler	kunstenares		N;MASC+FEM;SG
künstler	artiest	künstler	artiest		N;MASC+FEM;SG
künstler	kunstenaar	künstler	kunstenaar		N;MASC+FEM;SG
künstler	artist	künstler	artist		N;MASC+FEM;SG
künstler	artiesten	künstler	artiest		N;PL
künstler	kunstenaars	künstler	kunstenaar		N;PL
künstler	artiesten	künstler	artiest		N;PL
england	engeland	england	engeland	PROPN;NOM;NEUT;SG	PROPN;NEUT;SG
england	england	england	england	PROPN;NOM;NEUT;SG	
erfolg	successen	erfolg	succes	ADJ	N;PL
erfolg	succes	erfolg	succes	ADJ	N;NEUT;SG
erfolg	success	erfolg	success	ADJ	
politische	politiek	politisch	politiek	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
früher	eerder	früher	eerder	ADJ	ADV
früher	voordien	früher	voordien	ADJ	ADV
früher	voorheen	früher	voorheen	ADJ	ADV
früher	early	früher	early	ADJ	
früher	eerder	früher	eerder	ADJ	ADV
früher	voorheen	früher	voorheen	ADJ	ADV
wissen	kennis	wissen	kennis	V;NFIN	N;MASC+FEM;SG
länge	lengtes	länge	lengte	ADJ	N;PL
länge	lengte	länge	lengte	ADJ	N;MASC+FEM;SG
länge	lengtegraad	länge	lengtegraad	ADJ	N;MASC+FEM;SG
groß	large	groß	larg	ADJ	
groß	big	groß	big	ADJ	N;MASC+FEM;SG
groß	groß	groß	groß	ADJ	PROPN;MASC+FEM;SG
groß	tall	groß	tall	ADJ	N;MASC+FEM;SG
geschrieben	schriftelijke	schreiben	schriftelijk	V;V.PTCP	ADJ
beiträge	premies	beitragen	premie	ADJ	N;PL
beiträge	bijdragen	beitragen	bijdrage	ADJ	N;PL
beiträge	inzendingen	beitragen	inzending	ADJ	N;PL
beiträge	posten	beitragen	post	ADJ	N;PL
beiträge	berichten	beitragen	bericht	ADJ	N;PL
beiträge	artikelen	beitragen	artikel	ADJ	N;PL
beiträge	artikels	beitragen	artikel	ADJ	N;PL
abschnitt	afdeling	abschneiden	afdeling	ADV	N;MASC+FEM;SG
abschnitt	sectie	abschneiden	sectie	ADV	N;MASC+FEM;SG
möchte	wil	mögen	willen	V;SBJV;SG;3;PST;FIN	V;SG;PRS;FIN
rechts	recht	rechts	recht	ADV	ADJ
rechts	rechts	rechts	rechts	ADV	ADJ
trainer	trainer	Trainer	trainer	ADJ	N;MASC+FEM;SG
trainer	opleider	Trainer	opleider	ADJ	N;MASC+FEM;SG
trainer	coaches	Trainer	coaches	ADJ	N;PL
trainer	trainers	Trainer	trainer	ADJ	N;PL
trainer	trainer	Trainer	trainer	ADJ	N;MASC+FEM;SG
trainer	coach	Trainer	coach	ADJ	N;MASC+FEM;SG
trainer	coachen	Trainer	coachen	ADJ	V;NFIN
trainer	koets	Trainer	koets	ADJ	N;MASC+FEM;SG
trainer	trainers	Trainer	trainer	ADJ	N;PL
gerne	vrolijk	gerne	vrolijk	ADV	ADJ
gerne	happy	gerne	happy	ADV	N;MASC+FEM;SG
gerne	blij	gerne	blij	ADV	ADJ
gerne	tevreden	gerne	tevreden	ADV	ADJ
gerne	gelukkig	gerne	gelukkig	ADV	ADJ
see	zien	see	zien		V;NFIN
see	zie	see	zien		V;SG;PRS;FIN
see	meer	see	veel		PRO
spielt	toneelstukken	spielen	toneelstuk	V;IND;SG;3;PRS;FIN	N;PL
französische	frans	französisch	frans	ADJ;NOM;FEM;PL	PROPN;MASC+FEM;SG
französische	fransen	französisch	frans	ADJ;NOM;FEM;PL	PROPN;MASC+FEM;SG
hohen	high	hoch	high	ADJ;PL	
hohen	hoher	hoch	hoher	ADJ;PL	N;MASC+FEM;SG
hohen	hohe	hoch	hohe	ADJ;PL	N;MASC+FEM;SG
südlich	zuiden	südlich	zuiden	ADJ	N;NEUT;SG
zeitschrift	tijdschrift	zeitschrefen	tijdschrift	ADJ	N;NEUT;SG
zeitschrift	journal	zeitschrefen	journal	ADJ	
zeitschrift	dagboek	zeitschrefen	dagboek	ADJ	N;NEUT;SG
zeitschrift	tijdschrift	zeitschrefen	tijdschrift	ADJ	N;NEUT;SG
zeitschrift	magazine	zeitschrefen	magazine	ADJ	N;NEUT;SG
finde	zoek	finden	zoek	V;IND;SG;2;PRS;FIN	ADJ
führen	lood	führen	lood	V;NFIN	N;NEUT;SG
führen	lead	führen	lead	V;NFIN	N;MASC+FEM;SG
etc	etc	etc	etc		ADV
etc	enz	etc	enz		ADV
etc	etc	etc	etc		ADV
etc	etcetera	etc	etcetera		ADV
studium	studeer	studium	studeer	N;NOM;NEUT;SG	V;SG;PRS;FIN
studium	studeren	studium	studeren	N;NOM;NEUT;SG	V;NFIN
studium	bestuderen	studium	bestuderen	N;NOM;NEUT;SG	V;NFIN
studium	studies	studium	studie	N;NOM;NEUT;SG	N;PL
ausbildung	trainen	ausbildung	trainen	N;FEM;SG	V;NFIN
park	parkeren	park	parkeren	PROPN;NOM;SG	V;NFIN
park	park	park	park	PROPN;NOM;SG	N;NEUT;SG
george	joris	george	joris	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
george	george	george	georg	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
wappen	vacht	wappen	vacht		N;MASC+FEM;SG
wappen	jas	wappen	jas		N;MASC+FEM;SG
wappen	embleem	wappen	embleem		N;NEUT;SG
wappen	wapens	wappen	wapen		N;PL
wappen	armen	wappen	arm		N;PL
wappen	crest	wappen	crest		N;NEUT;SG
zürich	zürich	zürich	zürich	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
zürich	zürich	zürich	zürich	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
zürich	zurich	zürich	zurich	PROPN;NOM;MASC;SG	ADJ
bahn	bahn	bahnen	bahn		N;MASC+FEM;SG
bahn	trein	bahnen	trein		N;MASC+FEM;SG
bahn	spoorweg	bahnen	spoorweg		N;MASC+FEM;SG
bahn	spoorweg	bahnen	spoorweg		N;MASC+FEM;SG
bahn	spoorwegen	bahnen	spoorwegen		N;PL
komponist	componist	komponist	componist	ADJ	N;MASC+FEM;SG
mindestens	minimaal	mindestens	minimaal	ADV	ADJ
mindestens	minimum	mindestens	minimum	ADV	N;NEUT;SG
award	onderscheiding	award	onderscheiding	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
award	gunning	award	gunning	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
zahl	integer	zahl	integer	N;NOM;FEM;SG	ADJ
zahl	staarten	zahl	staarten	N;NOM;FEM;SG	N;PL
zusätzlich	bijkomend	zusätzlich	bijkomend	ADJ	V;V.PTCP
zusätzlich	bijkomende	zusätzlich	bijkomen	ADJ	V;V.PTCP
zusätzlich	aanvullend	zusätzlich	aanvullen	ADJ	V;V.PTCP
zusätzlich	aanvullende	zusätzlich	aanvullen	ADJ	V;V.PTCP
dresden	dresden	dresden	drezden	PROPN;NOM;NEUT;SG	PROPN;NEUT;SG
homepage	homepage	homepage	homepage		N;MASC+FEM;SG
homepage	startpagina	homepage	startpagina		N;MASC+FEM;SG
schreiben	brief	schreiben	brief	V;NFIN	N;MASC+FEM;SG
schreiben	letter	schreiben	letter	V;NFIN	N;MASC+FEM;SG
darstellung	weergeven	darstellung	weergeven	N;NOM;FEM;SG	N;PL
rudolf	rudolph	rudolf	rudolph	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
rudolf	rudolf	rudolf	rudolf	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
rudolf	rudolf	rudolf	rudolf	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
tatsächlich	inderdaad	tatsächlich	inderdaad	ADJ	ADV
nahe	close	nahe	close		N;MASC+FEM;SG
nahe	afsluiten	nahe	afsluiten		V;NFIN
nahe	sluiten	nahe	sluiten		V;NFIN
nahe	sluit	nahe	sluiten		V;SG;PRS;FIN
nahe	dichtbij	nahe	dichtbij		ADJ
nahe	nahe	nahe	nah		N;MASC+FEM;SG
nahe	nabijgelegen	nahe	nabijgelegen		ADV
nahe	dichtbij	nahe	dichtbij		ADJ
league	league	league	league	PROPN;SG	N;MASC+FEM;SG
league	liga	league	liga	PROPN;SG	N;MASC+FEM;SG
tore	scheurde	tor	scheuren	N;NOM;NEUT;PL	V;SG;PST;FIN
politischen	politiek	politisch	politiek	ADJ;NOM;MASC;PL	N;MASC+FEM;SG
wahl	verkiezing	wahl	verkiezing		N;MASC+FEM;SG
wahl	verkiezingen	wahl	verkiezing		N;PL
wahl	keuze	wahl	keuze		N;MASC+FEM;SG
wahl	keus	wahl	keus		N;MASC+FEM;SG
darf	mogen	dürfen	mogen	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
darf	may	dürfen	may	V;IND;SG;3;PRS;FIN	
darf	mei	dürfen	mei	V;IND;SG;3;PRS;FIN	PROPN;MASC+FEM;SG
männer	mannelijk	männer	mannelijk	N;NOM;MASC;PL	ADJ
männer	male	männer	maal	N;NOM;MASC;PL	N;MASC+FEM;SG
männer	mannetje	männer	mannetje	N;NOM;MASC;PL	N;NEUT;SG
männer	mannelijke	männer	mannelijk	N;NOM;MASC;PL	ADJ
männer	mens	männer	mens	N;NOM;MASC;PL	N;MASC+FEM;SG
schauspielerin	actrice	schauspielerin	actrice	ADJ	N;MASC+FEM;SG
wiener	weense	wiener	weens		N;MASC+FEM;SG
wiener	wiener	wiener	wiener		N;MASC+FEM;SG
hannover	hanover	hannover	hanover	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
hannover	newport	hannover	newport	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
werde	will	werden	will	V;SBJV;SG;3;PRS;FIN	
werde	zullen	werden	zullen	V;SBJV;SG;3;PRS;FIN	V;PL;PRS;FIN
werde	worden	werden	worden	V;SBJV;SG;3;PRS;FIN	V;PL;PRS;FIN
gründung	stichting	gründung	stichting	ADJ	N;MASC+FEM;SG
gründung	fundering	gründung	fundering	ADJ	N;MASC+FEM;SG
gründung	schepping	gründung	schepping	ADJ	N;MASC+FEM;SG
gründung	creatie	gründung	creatie	ADJ	N;MASC+FEM;SG
gründung	oprichting	gründung	oprichting	ADJ	N;MASC+FEM;SG
gründung	formatie	gründung	formatie	ADJ	N;MASC+FEM;SG
gründung	vorming	gründung	vorming	ADJ	N;MASC+FEM;SG
gründung	vestiging	gründung	vestiging	ADJ	N;MASC+FEM;SG
dar	dar	dar	dar	ADV	N;MASC+FEM;SG
zeitung	krant	zeitung	krant		N;MASC+FEM;SG
zeitung	kranten	zeitung	krant		N;PL
zeitung	dagblad	zeitung	dagblad		N;NEUT;SG
zeitung	kranten	zeitung	krant		N;PL
zeitung	dagbladen	zeitung	dagblad		N;PL
zeitung	paper	zeitung	paper		
zeitung	papier	zeitung	papier		N;NEUT;SG
zeitung	zeitung	zeitung	zeitung		N;MASC+FEM;SG
spd	gpd	spd	gpd	PROPN;NOM;SG	N;MASC+FEM;SG
spd	epd	spd	epd	PROPN;NOM;SG	N;NEUT;SG
spd	spd	spd	spd	PROPN;NOM;SG	N;MASC+FEM;SG
schlacht	veldslagen	schlacht	veldslaan	N;NOM;FEM;SG	N;PL
schlacht	gevechten	schlacht	gevecht	N;NOM;FEM;SG	N;PL
richtig	recht	richtig	recht	ADV	ADJ
richtig	rechts	richtig	rechts	ADV	ADJ
richtig	true	richtig	true	ADV	
richtig	klopt	richtig	kloppen	ADV	V;SG;PRS;FIN
richtig	correcte	richtig	correct	ADV	ADJ
richtig	corrigeren	richtig	corrigeren	ADV	V;NFIN
richtig	correct	richtig	correct	ADV	ADJ
gehen	going	gehen	going	V;NFIN	
gehen	wandeling	gehen	wandeling	V;NFIN	N;MASC+FEM;SG
gehen	walk	gehen	walk	V;NFIN	N;MASC+FEM;SG
division	divisie	division	divisie		N;MASC+FEM;SG
division	afdeling	division	afdeling		N;MASC+FEM;SG
division	deling	division	deling		N;MASC+FEM;SG
division	division	division	division		N;MASC+FEM;SG
olympischen	olympic	olympisch	olympic	ADJ;NOM;MASC;PL	N;MASC+FEM;SG
stil	styles	stil	style	ADJ	N;NEUT;SG
stil	stijlen	stil	stijl	ADJ	N;PL
stil	stijl	stil	stijl	ADJ	N;MASC+FEM;SG
stil	style	stil	style	ADJ	
deine	uwe	dein	uw	PRO;NOM;MASC;SG	N;MASC+FEM;SG
deine	jouw	dein	jou	PRO;NOM;MASC;SG	PRO;ACC;2
sagen	gezegde	sagen	zeggen	V;NFIN	N;MASC+FEM;SG
sagen	say	sagen	say	V;NFIN	
sagen	tell	sagen	tell	V;NFIN	
charles	karel	charles	karel	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
charles	charles	charles	charles	PROPN;NOM;MASC;SG	N;PL
funktion	functies	Funktion	functie	N;SG	N;PL
funktion	functionaliteiten	Funktion	functionaliteit	N;SG	N;PL
erreichen	bereik	erreichen	bereik	V;NFIN	N;NEUT;SG
erreichen	reach	erreichen	reach	V;NFIN	
till	till	till	till	PROPN;SG	N;MASC+FEM;SG
herzog	herzog	herziehen	herzog	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
herzog	duke	herziehen	duk	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
herzog	hertog	herziehen	hertog	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
zentrum	zentrum	zentrum	zentrum	PROPN;NOM;SG	N;MASC+FEM;SG
zentrum	centrum	zentrum	centrum	PROPN;NOM;SG	N;NEUT;SG
zentrum	centreren	zentrum	centreren	PROPN;NOM;SG	V;NFIN
zentrum	centrum	zentrum	centrum	PROPN;NOM;SG	N;NEUT;SG
zentrum	centreren	zentrum	centreren	PROPN;NOM;SG	V;NFIN
jede	iedere	jed	ieder	PRO;NOM;INDF;FEM;SG	DET
jede	elke	jed	elk	PRO;NOM;INDF;FEM;SG	DET
jede	elke	jed	elk	PRO;NOM;INDF;FEM;SG	DET
jede	elke	jed	elk	PRO;NOM;INDF;FEM;SG	DET
dagegen	omgekeerd	dagegen	omkeren	ADV	V;V.PTCP
dagegen	tegen	dagegen	tegen	ADV	ADP
liebe	lieve	lieb	lief	PROPN;NOM;SG	ADJ
liebe	dear	lieb	dear	PROPN;NOM;SG	N;MASC+FEM;SG
liebe	liefste	lieb	liefst	PROPN;NOM;SG	ADJ;RL
liebe	love	lieb	love	PROPN;NOM;SG	
liebe	liefs	lieb	lief	PROPN;NOM;SG	N;PL
liebe	liefde	lieb	liefde	PROPN;NOM;SG	N;MASC+FEM;SG
rom	rome	rom	rome	PROPN;NOM;NEUT;SG	PROPN;NEUT;SG
rom	rom	rom	rom	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
ihres	hare	ihr	hare	DET;GEN;MASC;SG	PRO;GEN;3
umfasst	covers	umfassen	cover	V;IND;SG;3;PRS;FIN	N;PL
umfasst	omslagen	umfassen	omslaan	V;IND;SG;3;PRS;FIN	N;PL
umfasst	inclusief	umfassen	inclusief	V;IND;SG;3;PRS;FIN	ADJ
nachfolger	opvolgers	nachfolg	opvolger	ADJ	N;PL
nachfolger	opvolger	nachfolg	opvolger	ADJ	N;MASC+FEM;SG
wenige	weinigen	wenig	weinig	ADJ;NOM;INDF;PL	PRO
wenige	paar	wenig	paar	ADJ;NOM;INDF;PL	N;NEUT;SG
wenige	weinig	wenig	weinig	ADJ;NOM;INDF;PL	PRO
grenze	beperken	grenze	beperken	ADJ	V;NFIN
grenze	limiet	grenze	limiet	ADJ	N;MASC+FEM;SG
grenze	limieten	grenze	limiet	ADJ	N;PL
grenze	grens	grenze	grens	ADJ	N;MASC+FEM;SG
grenze	begrenzing	grenze	begrenzing	ADJ	N;MASC+FEM;SG
grenze	grens	grenze	grens	ADJ	N;MASC+FEM;SG
grenze	borderline	grenze	borderline	ADJ	N;MASC+FEM;SG
grenze	grens	grenze	grens	ADJ	N;MASC+FEM;SG
nächsten	volgende	nah	volgen	ADJ;PL	V;V.PTCP
nächsten	volgend	nah	volgen	ADJ;PL	V;V.PTCP
truppen	troepen	truppen	troep	V;NFIN	N;PL
mitarbeiter	werknemer	Mitarbeiter	werknemer	ADJ	N;MASC+FEM;SG
mitarbeiter	medewerker	Mitarbeiter	medewerker	ADJ	N;MASC+FEM;SG
mitarbeiter	medewerkers	Mitarbeiter	medewerker	ADJ	N;PL
mitarbeiter	werknemers	Mitarbeiter	werknemer	ADJ	N;PL
mitarbeiter	associates	Mitarbeiter	associate	ADJ	N;PL
mitarbeiter	vennoten	Mitarbeiter	vennoot	ADJ	N;PL
mitarbeiter	medewerkers	Mitarbeiter	medewerker	ADJ	N;PL
mitarbeiter	compagnons	Mitarbeiter	compagnon	ADJ	N;PL
mitarbeiter	personeel	Mitarbeiter	personeel	ADJ	N;NEUT;SG
britischen	britten	britisch	brit	ADJ;NOM;MASC;PL	N;PL
werner	werner	wern	werner	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
verwendung	gebruiken	verwendung	gebruiken	N;SG	V;NFIN
sieg	win	seigen	winnen	N;NOM;SG	V;SG;PRS;FIN
sieg	winnen	seigen	winnen	N;NOM;SG	V;NFIN
china	china	china	china	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
china	porselein	china	porselein	PROPN;NOM;MASC;SG	N;NEUT;SG
hohe	high	hoch	high	ADJ;NOM;FEM;PL	
hohe	hohe	hoch	hohe	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
falls	vallen	falls	vallen	CONJ	V;NFIN
falls	waterval	falls	waterval	CONJ	N;MASC+FEM;SG
falls	valt	falls	vallen	CONJ	V;SG;PRS;FIN
falls	watervallen	falls	waterval	CONJ	N;PL
falls	falls	falls	falls	CONJ	N;PL
leicht	light	leicht	light	ADJ	N;MASC+FEM;SG
leicht	licht	leicht	licht	ADJ	N;NEUT;SG
leicht	easy	leicht	easy	ADJ	N;MASC+FEM;SG
leicht	lichtjes	leicht	licht	ADJ	N;PL
leicht	enigszins	leicht	enigszins	ADJ	ADV
besitz	bezit	besitz	bezitten	N	V;SG;PRS;FIN
verbunden	geassocieerd	verbinden	associëren	ADJ;V.PTCP	V;V.PTCP
verbunden	geassocieerde	verbinden	geassocieerd	ADJ;V.PTCP	V;V.PTCP
verbunden	bijgevoegd	verbinden	bijvoegen	ADJ;V.PTCP	V;V.PTCP
verbunden	bijgevoegde	verbinden	bijvoegevoen	ADJ;V.PTCP	V;V.PTCP
verbunden	gehecht	verbinden	hechten	ADJ;V.PTCP	V;V.PTCP
verbunden	verbonden	verbinden	verbinden	ADJ;V.PTCP	V;V.PTCP
verbunden	aangesloten	verbinden	aansluiten	ADJ;V.PTCP	V;V.PTCP
verbunden	verbonden	verbinden	verbinden	ADJ;V.PTCP	V;V.PTCP
verbunden	gelieerd	verbinden	liëren	ADJ;V.PTCP	V;V.PTCP
verbunden	aangesloten	verbinden	aansluiten	ADJ;V.PTCP	V;V.PTCP
verbunden	gekoppelde	verbinden	koppelen	ADJ;V.PTCP	V;V.PTCP
verbunden	gelinkt	verbinden	gelinken	ADJ;V.PTCP	V;V.PTCP
verbunden	verbonden	verbinden	verbinden	ADJ;V.PTCP	V;V.PTCP
verbunden	gekoppeld	verbinden	koppelen	ADJ;V.PTCP	V;V.PTCP
bald	kaal	bald	kaal	ADV	ADJ
bald	kale	bald	kaal	ADV	ADJ
bald	snel	bald	snel	ADV	ADJ
bald	spoedig	bald	spoedig	ADV	ADJ
bald	soon	bald	soon	ADV	N;MASC+FEM;SG
autoren	schrijvers	autor	schrijver		N;PL
autoren	auteur	autor	auteur		N;MASC+FEM;SG
autoren	schrijver	autor	schrijver		N;MASC+FEM;SG
autoren	auteurs	autor	auteur		N;PL
autoren	schrijvers	autor	schrijver		N;PL
all	allen	all	al	ADV	PRO
all	alle	all	al	ADV	DET
all	alles	all	alles	ADV	PRO;3
tiefe	diepten	tief	diepte		N;PL
tiefe	diepte	tief	diepte		N;MASC+FEM;SG
tiefe	diepgang	tief	diepgang		N;MASC+FEM;SG
tiefe	diep	tief	diep		ADJ
tiefe	diepe	tief	diep		ADJ
tiefe	deep	tief	deep		N;MASC+FEM;SG
press	pers	press	pers	PROPN	N;MASC+FEM;SG
press	druk	press	druk	PROPN	ADJ
gattung	diersoort	gattung	diersoort	ADJ	N;MASC+FEM;SG
gattung	diersoorten	gattung	diersoort	ADJ	N;PL
gattung	soorten	gattung	soort	ADJ	N;PL
gattung	soort	gattung	soort	ADJ	N;SG
allein	alone	allein	alone	ADV	
allein	solo	allein	solo	ADV	N;MASC+FEM;SG
bürgermeister	burgemeester	bürgermeister	burgemeester	ADJ	N;MASC+FEM;SG
bürgermeister	burgemeesters	bürgermeister	burgemeester	ADJ	N;PL
polen	polen	polen	polen		PROPN;NEUT;SG
polen	polen	polen	polen		PROPN;NEUT;SG
polen	palen	polen	paal		N;PL
nord	noorden	nord	noorden	ADJ	N;NEUT;SG
nord	noord	nord	noord	ADJ	N;NEUT;SG
nord	nord	nord	nord	ADJ	N;MASC+FEM;SG
zuletzt	laatste	zuletzt	laat	ADV	ADJ;RL
verheiratet	gehuwd	verheiraten	huwen	ADJ;V.PTCP	V;V.PTCP
verheiratet	getrouwd	verheiraten	trouwen	ADJ;V.PTCP	V;V.PTCP
verheiratet	trouwen	verheiraten	trouwen	ADJ;V.PTCP	V;NFIN
km	km²	km	km²	N;NOM;MASC;PL	N;MASC+FEM;SG
entwickelte	ontwikkelden	entwickeln	ontwikkelen	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
produktion	uitvoer	produktion	uitvoer		N;MASC+FEM;SG
produktion	output	produktion	outputten		N;MASC+FEM;SG
produktion	produktie	produktion	produktie		N;MASC+FEM;SG
produktion	productie	produktion	productie		N;MASC+FEM;SG
produktion	produkties	produktion	produktie		N;PL
produktion	productions	produktion	production		N;PL
produktion	producties	produktion	productie		N;PL
produktion	fabricage	produktion	fabricage		N;MASC+FEM;SG
herrschaft	dominantie	herrschaft	dominantie	ADJ	N;MASC+FEM;SG
herrschaft	overheersing	herrschaft	overheersing	ADJ	N;MASC+FEM;SG
herrschaft	regeren	herrschaft	regeren	ADJ	V;NFIN
herrschaft	heerschappij	herrschaft	heerschappij	ADJ	N;MASC+FEM;SG
herrschaft	regeerperiode	herrschaft	regeerperiode	ADJ	N;MASC+FEM;SG
herrschaft	dominion	herrschaft	dominion	ADJ	N;MASC+FEM;SG
berg	berg	berg	berg	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
berg	berg	berg	berg	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
berg	mount	berg	mounen	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
berg	aankoppelen	berg	aankoppelen	PROPN;NOM;MASC;SG	V;NFIN
berg	heuvel	berg	heuvel	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
berg	hill	berg	hill	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
alt	alto	alt	alto	ADJ	N;MASC+FEM;SG
alt	alt	alt	alt	ADJ	N;MASC+FEM;SG
punkt	item	punken	item		N;NEUT;SG
punkt	puntje	punken	punt		N;NEUT;SG
punkt	dot	punken	dot		N;MASC+FEM;SG
punkt	stip	punken	stip		N;MASC+FEM;SG
punkt	punt	punken	punt		N;NEUT;SG
punkt	point	punken	point		N;MASC+FEM;SG
andreas	andreas	andreas	andreas	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
andreas	andrew	andreas	andrew	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
aktiv	active	aktiv	active	ADJ	N;MASC+FEM;SG
familienname	achternamen	familiennam	achternamen	ADJ	N;PL
familienname	familienaam	familiennam	familienaam	ADJ	N;MASC+FEM;SG
