घोटाले	skandal	घोटाला	skandal	N;NOM;MASC;SG;3	
हक	huck	हक	huck	N;NOM;MASC;SG;3	
हक	haque	हक	haque	N;NOM;MASC;SG;3	
संस्थागत	kurumsal	संस्थागत	kurumsal	N;NOM;3	ADJ
ठंड	soğuk	ठंड	soğuk	N;NOM;FEM;SG;3	ADJ
ठंड	soguk	ठंड	soguk	N;NOM;FEM;SG;3	
चूहे	fare	चूह	fare	V;PFV;MASC;SG;V.PTCP;ACT	
चूहे	fareler	चूह	fare	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;PL;3
चूहे	fareler	चूह	fare	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;PL;3
चूहे	sıçanlar	चूह	sıçan	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;PL;3
दरार	rift	दरार	rift	N;NOM;FEM;SG;3	
दरार	yarık	दरार	yarık	N;NOM;FEM;SG;3	
दरार	çatlak	दरार	çatlak	N;NOM;FEM;SG;3	
दार्शनिकों	filozoflar	दार्शनिक	filozof	N;ACC;MASC;PL;3	N;NOM;PL;3
नेहरु	nehru	नेहरु	nehir	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
संवेदना	başsağlığı	संवेदना	başsağlık	N;NOM;FEM;SG;3	N;ACC;SG;3
परवाह	bakım	परवाह	bakım	N;NOM;FEM;SG;3	
परवाह	umurumda	परवाह	umur	N;NOM;FEM;SG;3	N;ESS;SG;3
परवाह	özen	परवाह	özen	N;NOM;FEM;SG;3	
बमबारी	bombardıman	बमबारी	bombar	N;NOM;FEM;SG;3	
बमबारी	bomba	बमबारी	bomba	N;NOM;FEM;SG;3	
कठपुतली	kukla	कठपुतली	kuk	N;NOM;FEM;SG;3	
ग्रीनहाउस	sera	ग्रीनहाउस	sera	N;NOM;MASC;SG;3	
कैम्प	kampı	कैम्प	kampı	N;NOM;MASC;SG;3	N;ACC;SG;3
कैम्प	kamp	कैम्प	kamp	N;NOM;MASC;SG;3	
कैम्प	kampta	कैम्प	kamp	N;NOM;MASC;SG;3	N;ESS;SG;3
कैम्प	kampları	कैम्प	kamp	N;NOM;MASC;SG;3	N;ACC;PL;3
किस्में	çeşitleri	कौन्म	çeşit	N;NOM;FEM;PL;3	N;ACC;PL;3
किस्में	çeşitlilik	कौन्म	çeşitlilik	N;NOM;FEM;PL;3	N;NOM;SG;3
किस्में	çeşitli	कौन्म	çeşitli	N;NOM;FEM;PL;3	
किस्में	çeşitliliği	कौन्म	çeşitlilik	N;NOM;FEM;PL;3	N;NOM;SG;3
विषाक्तता	zehirlenme	विषाक्तता	zehirlenme	N;NOM;FEM;SG;3	
विषाक्तता	zehirlenmesi	विषाक्तता	zehirle	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
खोजी	keşif	खोज	keşif	V;SG;V.PTCP;ACT	
सम्मेलनों	konferans	सम्मेलन	konferans	N;ACC;MASC;PL;3	
सम्मेलनों	konferanslar	सम्मेलन	konferans	N;ACC;MASC;PL;3	N;NOM;PL;3
चिंतित	endişeli	चिंतित	endişeli	ADJ	
चिंतित	tedirgin	चिंतित	tedirgin	ADJ	
चिंतित	kaygılı	चिंतित	kaygılı	ADJ	
चिंतित	endişeli	चिंतित	endişeli	ADJ	
चिंतित	endişe	चिंतित	endiş	ADJ	
चिंतित	kaygılı	चिंतित	kaygılı	ADJ	
चिंतित	endişeli	चिंतित	endişeli	ADJ	
चिंतित	endişe	चिंतित	endiş	ADJ	
चिंतित	kaygılı	चिंतित	kaygılı	ADJ	
स्टारबक्स	starbucks	स्टारबक्स	starbucks	N;NOM;MASC;SG;3	
छुटकारा	kurtarır	छुटकारा	kurtar	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;POS
जॉर्डन	ürdün	जॉर्डन	ürdün	PROPN;NOM;MASC;SG;3	
जॉर्डन	jordan	जॉर्डन	jordan	PROPN;NOM;MASC;SG;3	
एथलीट	sporcu	एथलीट	sporcu	PROPN;NOM;MASC;SG;3	
एथलीट	atlet	एथलीट	atlet	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
एथलीट	sporcular	एथलीट	sporcu	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
विधिक	yasal	विधिक	yasal	N;NOM;MASC;SG;3	
विधिक	kanuni	विधिक	kanun	N;NOM;MASC;SG;3	
विधिक	hukuki	विधिक	hukuki	N;NOM;MASC;SG;3	
रेखीय	doğrusal	रेखीय	doğrusal		ADJ
शहद	tatlım	शहद	tatlım	N;NOM;MASC;SG;3	
शहद	bal	शहद	bal	N;NOM;MASC;SG;3	
शहद	balım	शहद	balım	N;NOM;MASC;SG;3	
अम्लीय	asidik	अम्लीय	asidik	N;NOM;MASC;SG;3	ADJ
ऑपरेटर	santral	ऑपरेटर	santral	N;NOM;MASC;SG;3	
ऑपरेटर	operatörü	ऑपरेटर	operatörü	N;NOM;MASC;SG;3	
ऑपरेटर	operatör	ऑपरेटर	operatör	N;NOM;MASC;SG;3	
ऑपरेटर	operatörleri	ऑपरेटर	operatör	N;NOM;MASC;SG;3	ADJ;ACC;PL;3
कुक	cook	कुक	cook	PROPN;NOM;MASC;SG;3	
कुक	çook	कुक	çook	PROPN;NOM;MASC;SG;3	
कुक	aşçı	कुक	aşç	PROPN;NOM;MASC;SG;3	
नारा	slogan	नारा	slogan	N;NOM;MASC;SG;3	
चढ़	pas	चढ	pas	V;ACT	
सेक्टर	sektörü	सेक्टर	sektör	N;NOM;MASC;SG;3	
सेक्टर	sektör	सेक्टर	sektör	N;NOM;MASC;SG;3	
सेक्टर	sektörleri	सेक्टर	sektör	N;NOM;MASC;SG;3	N;ACC;PL;3
बैठकों	görüşmeler	बैठक	görüşme	N;ACC;FEM;PL;3	N;NOM;PL;3
बैठकों	toplantı	बैठक	toplantı	N;ACC;FEM;PL;3	N;NOM;SG;3
बैठकों	toplantılar	बैठक	toplantı	N;ACC;FEM;PL;3	N;NOM;PL;3
कारें	araba	कार	araba	N;NOM;FEM;PL;3	
क्योकि	çünkü	क्योकि	çünkü		CONJ
सभ्य	terbiyeli	सभ्य	terbiyeli		ADJ
दरिया	darya	दरिया	darya	PROPN;NOM;MASC;SG;3	
अनजाने	bilmeden	अनजाना	bil	N;NOM;MASC;SG;3	V;PFV;IND;NEG;PRS;V.CVB
नोट्स	not	नोट्स	not	N;NOM;MASC;SG;3	
नोट्स	notları	नोट्स	not	N;NOM;MASC;SG;3	N;ACC;PL;3
नोट्स	notlar	नोट्स	not	N;NOM;MASC;SG;3	N;NOM;PL;3
विलास	vilas	विलास	vilas	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
कहें	söyle	कह	söyle	V;SBJV;PL;FIN;ACT	
कहें	de	कह	de	V;SBJV;PL;FIN;ACT	
कहें	söyleyin	कह	söyle	V;SBJV;PL;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
सामी	sami	सामी	sami	PROPN;NOM;MASC;SG;3	
धर्मशास्त्र	teoloji	धर्मशास्त्र	teoloji	N;NOM;MASC;SG;3	
ट्रम्प	koz	ट्रम्प	koz	PROPN;NOM;MASC;SG;3	
ट्रम्प	trump	ट्रम्प	trump	PROPN;NOM;MASC;SG;3	
मौद्रिक	parasal	मौद्रिक	parasal	N;NOM;FEM;SG;3	
यीशु	isa	यीशु	isa	PROPN;NOM;MASC;SG;3	
चश्मे	gözlükler	चश्मा	gözlük	N;NOM;MASC;SG;3	N;NOM;PL;3
चश्मे	gözlükler	चश्मा	gözlük	N;NOM;MASC;SG;3	N;NOM;PL;3
चश्मे	bardaklar	चश्मा	bardak	N;NOM;MASC;SG;3	N;NOM;PL;3
चश्मे	gözlüklü	चश्मा	gözlüklü	N;NOM;MASC;SG;3	ADJ
प्लूटो	pluto	प्लूटो	pluto	N;NOM;MASC;SG;3	
डेनियल	daniel	डेनियल	daniel	PROPN;NOM;MASC;SG;3	
डेनियल	danilo	डेनियल	danilo	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
थोक	toptan	थोक	toptan	N;NOM;MASC;SG;3	ADV
पैरिस	paris	पैरिस	paris	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
कामयाबी	başarılar	कामयाबी	başarı	N;NOM;FEM;SG;3	N;NOM;PL;3
कामयाबी	başarılı	कामयाबी	başarılı	N;NOM;FEM;SG;3	
कामयाबी	başarı	कामयाबी	başarı	N;NOM;FEM;SG;3	
प्रोटोटाइप	prototip	प्रोटोटाइप	protot	N;NOM;MASC;SG;3	
प्रोटोटाइप	prototipi	प्रोटोटाइप	prototip	N;NOM;MASC;SG;3	
सिलसिले	silas	सिलसिला	silas	N;NOM;MASC;PL;3	
कुरु	kuru	कुरु	kuru	PROPN;NOM;MASC;SG;3	
फर्क	fark	फर्क	fark		N;NOM;SG;3
इयान	lan	इयान	la	PROPN;NOM;MASC;SG;3	
इयान	ian	इयान	ian	PROPN;NOM;MASC;SG;3	
दुग्ध	süt	दुग्ध	süt	N;NOM;MASC;SG;3	
भयभीत	korkmak	भयभीत	kork	ADJ	V;PFV;NOM;IND;POS;PRS;V.MSDR
भयभीत	korkmuş	भयभीत	kork	ADJ	V;PFV;NFH;IND;SG;3;POS;PST
भयभीत	korktum	भयभीत	kork	ADJ	V;PFV;IND;SG;1;POS;PST
भयभीत	korkuyor	भयभीत	kork	ADJ	V;PROG;IND;SG;3;POS;INFM;PRS
भयभीत	korkmuş	भयभीत	kork	ADJ	V;PFV;NFH;IND;SG;3;POS;PST
वसूली	iyileşme	वसूली	iyileş	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
वसूली	kurtarma	वसूली	kurtarma	N;NOM;FEM;SG;3	
मौन	sessiz	मौन	sessiz		ADJ
मौन	sessizlik	मौन	sessizlik		N;NOM;SG;3
मौन	sessiz	मौन	sessiz		ADJ
घटा	düşüş	घटा	düşüş	V;MASC;SG;V.PTCP;ACT	
घटा	azalma	घटा	azal	V;MASC;SG;V.PTCP;ACT	
पॉइंट	puan	पॉइंट	pu	N;NOM;MASC;SG;3	
पॉइंट	noktalar	पॉइंट	nokta	N;NOM;MASC;SG;3	N;NOM;PL;3
पॉइंट	puanlar	पॉइंट	puan	N;NOM;MASC;SG;3	N;NOM;PL;3
पॉइंट	puan	पॉइंट	pu	N;NOM;MASC;SG;3	
पॉइंट	nokta	पॉइंट	nokta	N;NOM;MASC;SG;3	
त्वरण	hızlanma	त्वरण	hızlan	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
जमैका	jamaika	जमैका	jamaika	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
स्केल	ölçek	स्केल	ölçek	N;NOM;MASC;SG;3	
स्केल	ölçekli	स्केल	ölçekli	N;NOM;MASC;SG;3	
मक्खन	yağ	मक्खन	yağ	PROPN;NOM;MASC;SG;3	
मक्खन	tereyağı	मक्खन	tere	PROPN;NOM;MASC;SG;3	N;ACC;SG;3
सूत	iplik	सूत	iplik		N;NOM;SG;3
इज़राइल	israil	इज़राइल	israil	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
वैधता	geçerliliği	वैधता	geçerlilik	N;NOM;FEM;SG;3	N;ACC;SG;3
अनन्य	ayrıcalıklı	अनन्य	ayrıcalıklı		N;NOM;SG;3
अनन्य	özel	अनन्य	özel		ADJ
सीना	cena	सीना	cena	N;NOM;FEM;SG;3	
मिथक	efsane	मिथक	efsane	N;NOM;MASC;SG;3	
मिथक	mit	मिथक	mit	N;NOM;MASC;SG;3	
श्रृंगार	makyaj	श्रृंगार	makyaj	N;NOM;MASC;SG;3	
प्रावधानों	erzak	प्रावधान	erzak	N;ACC;MASC;PL;3	
प्रावधानों	hükümler	प्रावधान	hüküm	N;ACC;MASC;PL;3	N;NOM;PL;3
नतीजा	serpinti	नतीजा	serpint	N;NOM;MASC;SG;3	
अर्ल	earl	अर्ल	earl	N;NOM;MASC;SG;3	
अर्ल	reis	अर्ल	reis	N;NOM;MASC;SG;3	
वेदान्त	vedanta	वेदान्त	vedanta	N;NOM;MASC;SG;3	
निर्देशिका	dizin	निर्देशिका	diz	N;NOM;FEM;SG;3	
निर्देशिका	dizini	निर्देशिका	diz	N;NOM;FEM;SG;3	N;ACC;SG;3
निर्देशिका	işaret	निर्देशिका	işaret	N;NOM;FEM;SG;3	
समता	eşitlik	समता	eşitlik	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
समता	eşitlik	समता	eşitlik	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
समता	eşitliği	समता	eşitlik	PROPN;NOM;FEM;SG;3	N;ACC;SG;3
एवेन्यू	bulvarı	एवेन्यू	bulvar	N;NOM;MASC;SG;3	
एवेन्यू	bulvar	एवेन्यू	bulvar	N;NOM;MASC;SG;3	
एवेन्यू	avenue	एवेन्यू	avenue	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
लत	bağımlılığı	लत	bağımlılık	N;NOM;FEM;SG;3	N;ACC;SG;3
जुर्माना	iyi	जुर्माना	iyi	N;NOM;MASC;SG;3	
क़ुरान	kuran	क़ुरान	kur	PROPN;NOM;MASC;SG;3	
क़ुरान	kur	क़ुरान	kur	PROPN;NOM;MASC;SG;3	
पूर्णता	tamamlanması	पूर्णता	tamamla	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
पूर्णता	tamamlama	पूर्णता	tamamla	N;NOM;FEM;SG;3	
ओमान	umman	ओमान	umman	PROPN;NOM;MASC;SG;3	
मार्केटिंग	pazarlama	मार्केटिंग	pazarlama	N;NOM;FEM;SG;3	
पीड़ितों	kurbanlar	पीड़ित	kurban	N;ACC;MASC;PL;3	N;NOM;PL;3
शक्तियां	güçleri	शक्ति	güç	N;NOM;FEM;PL;3	ADJ;ACC;PL;3
शक्तियां	güçler	शक्ति	güç	N;NOM;FEM;PL;3	ADJ;NOM;PL;3
शक्तियां	powers	शक्ति	powers	N;NOM;FEM;PL;3	
शक्तियां	güçler	शक्ति	güç	N;NOM;FEM;PL;3	ADJ;NOM;PL;3
शक्तियां	kuvvetleri	शक्ति	kuvvet	N;NOM;FEM;PL;3	N;ACC;PL;3
बादलों	bulutların	बादल	bulut	N;ACC;MASC;PL;3	N;GEN;PL;3
बादलों	bulut	बादल	bulut	N;ACC;MASC;PL;3	
बादलों	bulutlara	बादल	bulut	N;ACC;MASC;PL;3	N;DAT;PL;3
बादलों	bulutlar	बादल	bulut	N;ACC;MASC;PL;3	N;NOM;PL;3
चीता	çita	चीत	çita	N;NOM;MASC;SG;3	
चीता	çıta	चीत	çıt	N;NOM;MASC;SG;3	
चीता	leopar	चीत	leop	N;NOM;MASC;SG;3	
मूक	sessiz	मूक	sessiz		ADJ
मूक	sessiz	मूक	sessiz		ADJ
प्रतिभाशाली	dahi	प्रतिभाशाली	dahi	N;NOM;MASC;SG;3	
प्रतिभाशाली	dâhi	प्रतिभाशाली	dâhi	N;NOM;MASC;SG;3	
प्रतिभाशाली	deha	प्रतिभाशाली	deha	N;NOM;MASC;SG;3	
प्रतिभाशाली	dahice	प्रतिभाशाली	dahice	N;NOM;MASC;SG;3	
प्रतिभाशाली	yetenekli	प्रतिभाशाली	yetenekli	N;NOM;MASC;SG;3	ADJ
पनीर	peynirli	पनीर	peynirli	N;NOM;MASC;SG;3	N;ACC;SG;3
स्मार्ट	zeki	स्मार्ट	zeki	N;NOM;MASC;SG;3	
स्मार्ट	akıllı	स्मार्ट	akıllı	N;NOM;MASC;SG;3	
स्मार्ट	akıllıca	स्मार्ट	akıllıca	N;NOM;MASC;SG;3	ADV
नियोक्ता	işverenler	नियोक्ता	işveren	N;NOM;MASC;SG;3	N;NOM;PL;3
नियोक्ता	işveren	नियोक्ता	işver	N;NOM;MASC;SG;3	
पश्तो	peştuca	पश्तो	peştuca	N;NOM;MASC;SG;3	
मैडोना	madonna	मैडो	madon	PROPN;NOM;FEM;SG;3	
मैडोना	meryem	मैडो	meryem	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
बराक	barack	बराक	barack	PROPN;NOM;MASC;SG;3	
बराक	barak	बराक	barak	PROPN;NOM;MASC;SG;3	
चमकदार	parlak	चमकदार	parlak	N;NOM;MASC;SG;3	
नाड़ी	nabzı	नाड़ी	nabzı	N;NOM;FEM;SG;3	
नाड़ी	nabız	नाड़ी	nabız	N;NOM;FEM;SG;3	
स्पीकर	konuşmacı	स्पीकर	konuş	N;NOM;MASC;SG;3	
सहभागिता	nişan	सहभागिता	nişan	N;NOM;FEM;SG;3	
सहभागिता	etkileşim	सहभागिता	etkileş	N;NOM;FEM;SG;3	
सहभागिता	etkileşimi	सहभागिता	etkileş	N;NOM;FEM;SG;3	N;ACC;SG;3
सहभागिता	etkileşim	सहभागिता	etkileş	N;NOM;FEM;SG;3	
इसराइल	israil	इसराइल	israil	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
कोच्चि	kochi	कोच्चि	kochi	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
कृषक	çiftçiler	कृषक	çiftçi	N;NOM;MASC;SG;3	ADJ;NOM;PL;3
कृषक	çiftçi	कृषक	çiftçi	N;NOM;MASC;SG;3	
कृषक	çiftçilerin	कृषक	çiftçi	N;NOM;MASC;SG;3	N;GEN;PL;3
गुदा	anüs	गुदा	anüs	N;NOM;MASC;SG;3	
गुदा	anal	गुदा	anal	N;NOM;MASC;SG;3	
मूर्तिकला	heykel	मूर्तिकला	heykel	N;NOM;FEM;SG;3	
शाश्वत	sonsuzluk	शाश्वत	sonsuzluk		N;NOM;SG;3
किरणें	işınları	किरण	işın	N;NOM;FEM;PL;3	N;ACC;PL;3
वैश्वीकरण	küreselleşme	वैश्वीकरण	küreselleş	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
बैग	poşet	बैग	poşet	N;NOM;MASC;SG;3	
बैग	torba	बैग	torba	N;NOM;MASC;SG;3	
बैग	çantalar	बैग	çanta	N;NOM;MASC;SG;3	N;NOM;PL;3
बैग	torba	बैग	torba	N;NOM;MASC;SG;3	
नर्तक	dansçılar	नर्तक	dansç	N;NOM;MASC;SG;3	N;NOM;PL;3
नर्तक	dansçı	नर्तक	dansçı	N;NOM;MASC;SG;3	
प्रतिभागियों	katılanlar	प्रतिभागी	katılan	N;ACC;FEM;PL;3	N;NOM;PL;3
प्रतिभागियों	katılımcılar	प्रतिभागी	katılımcı	N;ACC;FEM;PL;3	N;NOM;PL;3
दत्ता	dutta	दत्ता	dut	PROPN;NOM;MASC;SG;3	
आपरेशन	işlem	आपरेशन	işlem	N;NOM;MASC;SG;3	
आपरेशन	operasyonu	आपरेशन	operasyon	N;NOM;MASC;SG;3	N;ACC;SG;3
आपरेशन	operasyon	आपरेशन	operasyon	N;NOM;MASC;SG;3	
मैनुअल	manuel	मैनुअल	manuel	N;NOM;MASC;SG;3	
मैनुअल	elle	मैनुअल	el	N;NOM;MASC;SG;3	
मैनुअल	kılavuz	मैनुअल	kılavuz	N;NOM;MASC;SG;3	
दर्जन	düzine	दर्जन	düz	N;NOM;MASC;SG;3	
सस्ती	ucuz	सस्ती	ucuz	ADJ;NOM;FEM;SG	
सस्ती	ucuza	सस्ती	uçuz	ADJ;NOM;FEM;SG	
गन्ना	şekerkamışı	गन्ना	şek	N;NOM;MASC;SG;3	V;PFV;NFH;IND;SG;3;POS;PST
बेखम	beckham	बेखम	beckham	PROPN;NOM;MASC;SG;3	
रॉस	ross	रॉस	ross	PROPN;NOM;MASC;SG;3	
हल्दी	zerdeçal	हल्दी	zerdeçal	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
हवाओं	rüzgarları	हवा	rüzgar	N;ACC;FEM;PL;3	N;NOM;PL;3
हवाओं	rüzgar	हवा	rüzgar	N;ACC;FEM;PL;3	
हवाओं	rüzgâr	हवा	rüzgâr	N;ACC;FEM;PL;3	
हवाओं	rüzgarlar	हवा	rüzgar	N;ACC;FEM;PL;3	N;NOM;PL;3
परम्पराओं	gelenek	परम्परा	gelenek	N;ACC;FEM;PL;3	N;NOM;SG;3
परम्पराओं	gelenekler	परम्परा	gelenek	N;ACC;FEM;PL;3	N;NOM;PL;3
पूछे	soruyor	पूछ	sor	V;PFV;MASC;PL;V.PTCP;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
पूछे	soran	पूछ	sor	V;PFV;MASC;PL;V.PTCP;ACT	
पूछे	sordu	पूछ	sor	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
पूछे	sordum	पूछ	sor	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;1;POS;PST
पूछे	soran	पूछ	sor	V;PFV;MASC;PL;V.PTCP;ACT	
पूछे	istedi	पूछ	iste	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
पूछे	sormuş	पूछ	sor	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST
सेब	elma	सेब	elma	N;NOM;MASC;SG;3	
सेब	apple	सेब	appl	N;NOM;MASC;SG;3	
सेब	elmalı	सेब	el	N;NOM;MASC;SG;3	
शत्रुओं	nefret	शत्रु	nefret	N;ACC;MASC;PL;3	
रो	rho	रो	rho		PROPN;NOM;SG;3
रो	ağlıyorum	रो	ağla		V;PROG;IND;SG;1;POS;INFM;PRS
रो	ağlıyor	रो	ağla		V;PROG;IND;SG;3;POS;INFM;PRS
पुस्तकालयों	kütüphane	पुस्तकाल	kütüphane	N;ACC;MASC;PL;3	N;NOM;SG;3
पुस्तकालयों	kütüphaneler	पुस्तकाल	kütüphane	N;ACC;MASC;PL;3	N;NOM;PL;3
पुस्तकालयों	kütüphane	पुस्तकाल	kütüphane	N;ACC;MASC;PL;3	N;NOM;SG;3
पुस्तकालयों	kütüphanesi	पुस्तकाल	kütüphane	N;ACC;MASC;PL;3	N;NOM;SG;3
पांडवों	pandava	पांडव	pandav	N;ACC;MASC;PL;3	
चौकी	karakol	चौकी	karakol	N;NOM;FEM;SG;3	
बहनों	kız	बहन	kız	N;ACC;FEM;PL;3	
बहनों	kardeşler	बहन	kardeş	N;ACC;FEM;PL;3	N;NOM;PL;3
बहनों	rahibeler	बहन	rahibe	N;ACC;FEM;PL;3	N;NOM;PL;3
अश्लील	porno	अश्लील	porno	ADJ	
आपात	acil	आपात	acil	N;NOM;MASC;SG;3	
रेसलमेनिया	wrestlemania	रेसलमेनिया	orestleman	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
नामीबिया	namibya	नामीबिया	namibya	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
स्त्रियाँ	kadınları	स्त्री	kadın	N;NOM;FEM;PL;3	ADJ;ACC;PL;3
स्त्रियाँ	kadın	स्त्री	kadın	N;NOM;FEM;PL;3	
स्त्रियाँ	kadinlar	स्त्री	kadin	N;NOM;FEM;PL;3	ADJ;NOM;PL;3
स्त्रियाँ	kadınlar	स्त्री	kadın	N;NOM;FEM;PL;3	ADJ;NOM;PL;3
एनी	annie	एनी	annie	PROPN;NOM;MASC;SG;3	
मामा	mama	मामा	mama	N;NOM;MASC;SG;3	
मामा	anam	मामा	anam	N;NOM;MASC;SG;3	
मामा	amca	मामा	amca	N;NOM;MASC;SG;3	
मामा	dayı	मामा	day	N;NOM;MASC;SG;3	
रूपांतर	varyantı	रूपांतर	varyantı	N;NOM;MASC;SG;3	
नगरीय	şehirli	नगरीय	şehirli	N;NOM;MASC;SG;3	
नगरीय	şehir	नगरीय	şehir	N;NOM;MASC;SG;3	
जैकी	jackie	जैकी	jackie	PROPN;NOM;MASC;SG;3	
जैकी	jacky	जैकी	jacky	PROPN;NOM;MASC;SG;3	
क्रोधित	öfkeli	क्रोधित	öfkeli	ADJ	
क्रोधित	sinirli	क्रोधित	sinirli	ADJ	
क्रोधित	öfkeli	क्रोधित	öfkeli	ADJ	
क्रोधित	kızgın	क्रोधित	kızgın	ADJ	
तात्कालिक	acil	तात्कालिक	acil	PROPN;NOM;SG;3	
तांत्रिक	tantrik	तांत्रिक	tantrik	PROPN;NOM;MASC;SG;3	
हुक्म	nod	हुक्म	nod	N;NOM;MASC;SG;3	
हलके	hafifçe	हलका	hafifçe	N;NOM;MASC;SG;3	
कमांड	komut	कमांड	komut	N;NOM;MASC;SG;3	
कमांड	emrediyor	कमांड	emret	N;NOM;MASC;SG;3	V;PROG;IND;SG;3;POS;INFM;PRS
कमांड	komut	कमांड	komut	N;NOM;MASC;SG;3	
कोबेन	cobain	कोबेन	cobain	PROPN;NOM;MASC;SG;3	
विवेकानन्द	vivekananda	विवेकानन्द	vivekan	PROPN;NOM;MASC;SG;3	V;PFV;ESS;IND;POS;PRS;V.MSDR;PASS
बुराई	kötü	बुराई	kötü	N;NOM;FEM;SG;3	
बुराई	şeytan	बुराई	şeytan	N;NOM;FEM;SG;3	
बुराई	evil	बुराई	evil	N;NOM;FEM;SG;3	
बुराई	şer	बुराई	şer	N;NOM;FEM;SG;3	
टाइपिंग	daktilo	टाइपिंग	daktilo	N;NOM;FEM;SG;3	
टाइपिंग	yazma	टाइपिंग	yazma	N;NOM;FEM;SG;3	
उत्तेजक	kışkırtıcı	उत्तेजक	kışkırtıcı	PROPN;NOM;SG;3	
उत्तेजक	uyarıcı	उत्तेजक	uyarıcı	PROPN;NOM;SG;3	
क्रूर	zalimce	क्रूर	zalimce	PROPN;NOM;MASC;SG;3	ADJ
क्रूर	zalim	क्रूर	zalim	PROPN;NOM;MASC;SG;3	
क्रूर	acımasız	क्रूर	acımasız	PROPN;NOM;MASC;SG;3	ADJ
क्रूर	acımasız	क्रूर	acımasız	PROPN;NOM;MASC;SG;3	ADJ
जोनाथन	jonathan	जोनाथन	jonathan	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
फ्लाइट	uçuş	फ्लाइट	uçuş	N;NOM;FEM;SG;3	
सैर	yürür	सैर	yürür	N;NOM;FEM;SG;3	
सैर	yürüyor	सैर	yürü	N;NOM;FEM;SG;3	V;PROG;IND;SG;3;POS;INFM;PRS
सैर	yürü	सैर	yürü	N;NOM;FEM;SG;3	V;PFV;IMP;SG;2;POS;PRS
सैर	yürüyüş	सैर	yürüyüş	N;NOM;FEM;SG;3	
चिकनी	yumuşak	चिकना	yumuşak	ADJ;NOM;FEM;SG	
चिकनी	yağlı	चिकना	yağlı	ADJ;NOM;FEM;SG	
कैनेडी	kennedy	कैनेडी	kenne	PROPN;NOM;MASC;SG;3	
टाई	beraberlik	टाई	beraberlik		N;NOM;SG;3
टाई	kravat	टाई	kravat		N;NOM;SG;3
टाई	berabere	टाई	beraber		N;NOM;SG;3
विदेशियों	yabancılar	विदेशी	yabancı	N;ACC;MASC;PL;3	ADJ;NOM;PL;3
अनुवादित	çevrildi	अनुवादित	çevir	ADJ	V;PFV;IND;SG;3;POS;PST;PASS
अनुवादित	çevrilmiş	अनुवादित	çevir	ADJ	V;PFV;NFH;IND;SG;3;POS;PST;PASS
करोड़ों	sayısız	करोड	sayısız	N;ACC;MASC;PL;3	
इंजीनियरों	mühendisler	इंजीनियर	mühendis	N;ACC;MASC;PL;3	N;NOM;PL;3
पूछताछ	soruşturma	पूछताछ	soruşturma	N;NOM;FEM;SG;3	
पूछताछ	sorgu	पूछताछ	sorgu	N;NOM;FEM;SG;3	
पूछताछ	sorgulama	पूछताछ	sorgulama	N;NOM;FEM;SG;3	
पूछताछ	araştırma	पूछताछ	araştır	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
पूछताछ	sorularınız	पूछताछ	soru	N;NOM;FEM;SG;3	N;NOM;PL;3
