funkcjonowanie	العمليات	funkcjonowanie	عَمَلِيَّة	N;NOM;NEUT;SG	N;NOM;DEF;PL
zmiennych	متغيرات	zmienny	مُتَغَيِّر	ADJ;GEN;MASC;PL	ADJ;NOM;INDF;FEM;PL
zmiennych	المتغيرات	zmienny	مُتَغَيِّر	ADJ;GEN;MASC;PL	ADJ;NOM;DEF;FEM;PL
prześladowań	اضطهاد	prześladowanie	اِضطِهَاد	N;GEN;NEUT;PL	N;NOM;INDF;SG
prześladowań	الاضطهاد	prześladowanie	اِضطِهَاد	N;GEN;NEUT;PL	N;NOM;DEF;SG
pułków	افواج	pułka	فَوج	N;GEN;MASC;PL	N;NOM;INDF;PL
kolorado	كولورادو	kolorado	كُولُورَادُو		
kolorado	كلورادو	kolorado	كلُورَادُو		
mks	m	mksieć	فَ		
bezpośredni	مباشرة	bezpośredni	مُبَاشَرَة		N;NOM;INDF;SG
bezpośredni	مباشر	bezpośredni	مُبَاشِر		ADJ;NOM;INDF;MASC;SG
bezpośredni	المباشر	bezpośredni	مُبَاشِر		ADJ;NOM;DEF;MASC;SG
bezpośredni	di	bezpośredni	مَثّ		
błony	الاغشية	błon	أَغشِيّ		N;NOM;DEF;PL
derby	الدربي	derba	دَربِيّ		
derby	ديربي	derba	ديربي		
głębokie	عميقا	głęboki	عَمِيق	ADJ;NOM;NEUT;SG	ADJ;ACC;INDF;MASC;SG
głębokie	عمق	głęboki	عُمق	ADJ;NOM;NEUT;SG	N;NOM;INDF;SG
laurent	لوران	laurent	لُورَان	PROPN;NOM;MASC;SG	
laurent	لورينت	laurent	لُورِينت	PROPN;NOM;MASC;SG	
palermo	باليرمو	palermo	بِ	PROPN;NOM;MASC;SG	
wdowa	الارملة	wdowa	أَرمَلَة	N;NOM;FEM;SG	
wdowa	ارملة	wdowa	أَرمَلَة	N;NOM;FEM;SG	
cole	كول	cól	كُول		
prywatny	خاصة	prywatny	خَاصّ	ADJ;NOM;MASC;SG	ADJ;ACC;INDF;FEM;SG
usuwania	التخلص	usuwać	تَخَلُّص	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;DEF;SG
boliwii	البوليفية	boliwia	بُولِيفِيّ		
boliwii	بوليفي	boliwia	بوليفي		
boliwii	بوليفية	boliwia	بُولِيفِيَّة		ADJ;NOM;INDF;FEM;SG
boliwii	بوليفيا	boliwia	بُولِيفِيَا		
wyrażenia	العبارات	wyrażenie	عِبَارَة	N;NOM;NEUT;SG	N;NOM;DEF;PL
wyrażenia	عبارات	wyrażenie	عِبَارَة	N;NOM;NEUT;SG	N;NOM;INDF;PL
wyrażenia	التعابير	wyrażenie	تَعبِير	N;NOM;NEUT;SG	N;NOM;DEF;PL
wyrażenia	تعابير	wyrażenie	تَعبِير	N;NOM;NEUT;SG	N;NOM;INDF;PL
gazy	غزة	gaz	غَزَّة	N;NOM;MASC;PL	N;NOM;INDF;SG
nasion	بذور	nasiono	بَذر		N;NOM;INDF;PL
nasion	البذور	nasiono	بَذر		N;NOM;DEF;PL
nasion	البذور	nasiono	بَذر		N;NOM;DEF;PL
nasion	بذرة	nasiono	بِذرَة		N;NOM;INDF;SG
flora	فلورا	flor	فُلُورَا		
siódme	السابع	siódmy	سَابِع		ADJ;NOM;DEF;MASC;SG
siódme	سابع	siódmy	سَابِع		ADJ;NOM;INDF;MASC;SG
siódme	السابعة	siódmy	سَابِع		ADJ;NOM;DEF;FEM;SG
siódme	سابعا	siódmy	سَابِع		ADJ;ACC;INDF;MASC;SG
starsza	الدر	stary	دَرّ	ADJ;NOM;CMPR;FEM;SG	
starsza	الاقدم	stary	أَقدَم	ADJ;NOM;CMPR;FEM;SG	N;NOM;DEF;SG
esp	e	espy	هُوَ		
porównania	مقارنة	porównanie	مُقَارَنَة	N;NOM;NEUT;SG	N;ACC;INDF;SG
porównania	المقارنات	porównanie	مُقَارَنَة	N;NOM;NEUT;SG	
porównania	مقارنات	porównanie	مُقَارَن	N;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;PL
phillips	فيليبس	phillips	فِيلِيبس	PROPN;NOM;MASC;SG	
seine	السين	seiny	سَين		N;NOM;DEF;SG
antwerpii	انتويرب	antwerpia	انتويرب	PROPN;NOM;MASC;SG	
chaos	فوضى	chaos	فوضى	N;NOM;MASC;SG	
ustaw	ضبط	ustawa	ضَبط	V;IPFV;IMP;SG;2;FIN;ACT	N;NOM;INDF;SG
ustaw	تعيين	ustawa	تَعيِين	V;IPFV;IMP;SG;2;FIN;ACT	N;NOM;INDF;SG
sztuczne	الاصطناعي	sztuczny	اِصطِنَاعِيّ	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
baltimore	بالتيمور	baltimor	بِ	N;NOM;MASC;SG	
uwięziony	محاصرة	uwięzić	مُحَاصَرَة	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;INDF;SG
ogrodzie	حديقة	ogród	حَدِيقَة	N;DAT;MASC;SG	N;NOM;INDF;SG
ogrodzie	الحديقة	ogród	حَدِيقَة	N;DAT;MASC;SG	N;NOM;DEF;SG
robertson	روبرتسون	robertson	رُوبِرتسُون	PROPN;NOM;MASC;SG	
apple	ابل	appo	أَبل		
apple	التفاحة	appo	تَفَاحَة		N;NOM;DEF;SG
apple	تفاحة	appo	تَفَاحَة		N;NOM;INDF;SG
apple	تفاح	appo	تَفَاحِي		
iwona	ايفون	iwon	ايفون	PROPN;NOM;FEM;SG	
galaktyk	المجرات	galaktyk	مَجرَة	N;GEN;MASC;PL	N;NOM;DEF;PL
wiosna	ربيع	wiosna	ربيع		
wiosna	الربيع	wiosna	رَبِيع		N;NOM;DEF;SG
rządowe	الحكومة	rządowy	حُكُومَة	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
rządowe	الحكومات	rządowy	حُكُومَة	ADJ;NOM;NEUT;SG	N;NOM;DEF;PL
rządowe	حكومة	rządowy	حُكُومَة	ADJ;NOM;NEUT;SG	N;NOM;INDF;SG
śpiewa	غناء	śpiewać	غناء	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;SG
śpiewa	اغني	śpiewać	اغني	V;IPFV;IND;SG;3;PRS;FIN;ACT	
śpiewa	الغناء	śpiewać	غِنَاء	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;DEF;SG
przekonany	اقتنع	przekonany	اِقتَنَع	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
kaliber	العيار	kaliber	عِيَار		N;NOM;DEF;SG
kaliber	العيار	kaliber	عِيَار		N;NOM;DEF;SG
jessica	جيسيكا	jessica	جِيسِيكَا	N;NOM;FEM;SG	
bibliotekę	مكتبة	biblioteka	مَكتَبَة	N;ACC;FEM;SG	N;NOM;INDF;SG
bibliotekę	المكتبة	biblioteka	مَكتَبَة	N;ACC;FEM;SG	N;NOM;DEF;SG
wyjaśnić	شرح	wyjaśnić	شَرح	V;PFV;NFIN;ACT	
orbitę	مدار	orbić	مَدَار	N;ACC;FEM;SG	N;NOM;INDF;SG
orbitę	المدار	orbić	مَدَار	N;ACC;FEM;SG	N;NOM;DEF;SG
mohamed	محمد	mohamed	محمد	N;NOM;MASC;SG	
mohamed	moham	mohamed	moham	N;NOM;MASC;SG	
osobowość	شخصيه	osobowość	شخصيه	N;NOM;FEM;SG	
osobowość	الشخصية	osobowość	شَخصِيّ	N;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
ciężki	الثقيل	ciężki	ثَقِيل	ADJ;NOM;MASC;SG	
ciężki	الثقيلة	ciężki	ثَقِيل	ADJ;NOM;MASC;SG	N;NOM;DEF;SG
child	الطفلة	child	طِفلَة		N;NOM;DEF;SG
child	طفل	child	طِفل		N;NOM;INDF;SG
child	طفلة	child	طِفلَة		N;NOM;INDF;SG
child	الطفل	child	طِفل		N;NOM;DEF;SG
podejścia	نهج	podejść	نَهج	N;GEN;NEUT;SG	N;NOM;INDF;SG
podejścia	النهج	podejść	نَهج	N;GEN;NEUT;SG	N;NOM;DEF;SG
podejścia	نهج	podejść	نَهج	N;GEN;NEUT;SG	N;NOM;INDF;SG
podejścia	النهج	podejść	نَهج	N;GEN;NEUT;SG	N;NOM;DEF;SG
podejścia	الاقتراب	podejść	اِقتِرَاب	N;GEN;NEUT;SG	N;NOM;DEF;SG
okładki	غطاء	okładka	غِطَاء	N;ACC;FEM;PL	N;NOM;INDF;SG
okładki	الغطاء	okładka	غِطَاء	N;ACC;FEM;PL	N;NOM;DEF;SG
okładki	تغطية	okładka	تَغطِيَة	N;ACC;FEM;PL	N;NOM;INDF;SG
okładki	غلاف	okładka	غِلَاف	N;ACC;FEM;PL	N;NOM;INDF;SG
okładki	الغلاف	okładka	غِلَاف	N;ACC;FEM;PL	N;NOM;DEF;SG
okładki	يغطي	okładka	غَطَّى	N;ACC;FEM;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
rzymian	الرومان	rzymianin	رُومَان		N;NOM;DEF;SG
zaproszony	دعا	zaprosić	دَعَا	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
zaproszony	دعيت	zaprosić	دَعَا	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
zaproszony	مدعو	zaprosić	مَدعُوّ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;INDF;SG
wież	الابراج	wież	بَرَج	N;GEN;FEM;PL	N;NOM;DEF;SG
wież	ابراج	wież	إِبرَاج	N;GEN;FEM;PL	N;NOM;INDF;PL
ostro	الخام	ostro	خَام		ADJ;NOM;DEF;MASC;SG
ostro	خشن	ostro	خَشن		N;NOM;INDF;SG
kość	عظم	kość	عَظَم	N;NOM;FEM;SG	
sucha	الجافة	suchy	جَافّ		N;NOM;DEF;SG
sucha	جاف	suchy	جاف		N;NOM;INDF;SG
sucha	جافة	suchy	جَافّ		ADJ;NOM;INDF;FEM;SG
lokomotywy	القاطرات	lokomotywa	قَاطِرَة	N;ACC;FEM;PL	N;NOM;DEF;PL
lokomotywy	القاطرة	lokomotywa	قَاطِرَة	N;ACC;FEM;PL	N;NOM;DEF;SG
zagrzeb	زغرب	zagrzeb	زَغرَب	PROPN;NOM;MASC;SG	
bibliotek	المكتبات	bibliotek	مَكتَبَة	N;GEN;FEM;PL	N;NOM;DEF;PL
bibliotek	مكتبات	bibliotek	مُكتَبَّات	N;GEN;FEM;PL	N;NOM;INDF;PL
stawy	البرك	stawa	بَرَك	N;NOM;MASC;PL	
skamieniałości	الحفريات	skamieniałość	حَفرِيَّات	N;ACC;FEM;PL	
księżniczki	الاميرة	księżniczka	أَمِيرَة	N;GEN;FEM;SG	N;NOM;DEF;SG
księżniczki	اميرة	księżniczka	أَمِيرَة	N;GEN;FEM;SG	N;NOM;INDF;SG
księżniczki	الاميره	księżniczka	الاميره	N;GEN;FEM;SG	
kopiowania	نسخ	kopiować	نُسخَة	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;INDF;SG
kopiowania	النسخ	kopiować	نُسخَة	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;DEF;PL
techniczna	تقنية	techniczny	تَقنِيَّة	ADJ;NOM;FEM;SG	N;NOM;INDF;SG
techniczna	تقني	techniczny	تَقنِيّ	ADJ;NOM;FEM;SG	N;NOM;INDF;SG
techniczna	التقنية	techniczny	تَقنِيَّة	ADJ;NOM;FEM;SG	N;NOM;DEF;SG
miles	ميل	miles	مِيل		
miles	مايلز	miles	مايلز		
miles	اميال	miles	مِيل		N;NOM;INDF;PL
piechota	المشاة	piechoty	مَاشِي	N;NOM;FEM;SG	N;NOM;DEF;PL
piechota	مشاة	piechoty	مَاشِي	N;NOM;FEM;SG	N;NOM;INDF;PL
mongolii	منغوليا	mongolia	مُنغُولِيَا		
smak	تذوق	smak	عَاق	N;NOM;MASC;SG	
utrata	خسارة	utratać	خَسَارَة	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;SG
utrata	الخسارة	utratać	خَسَارَة	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;DEF;SG
michelle	ميشيل	michelle	ميشيل	PROPN;NOM;FEM;SG	
baden	بادن	baden	بَادِن		
przestępstwa	الجرائم	przestępstwo	جَرِيمَة	N;NOM;NEUT;SG	N;NOM;DEF;PL
przestępstwa	جرائم	przestępstwo	جَرِيمَة	N;NOM;NEUT;SG	N;NOM;INDF;PL
przestępstwa	الجرائم	przestępstwo	جَرِيمَة	N;NOM;NEUT;SG	N;NOM;DEF;PL
przestępstwa	الجرائم	przestępstwo	جَرِيمَة	N;NOM;NEUT;SG	N;NOM;DEF;PL
alma	الما	alma	أَلِمّ		
jutro	الغد	jutro	غَد	ADV	N;NOM;DEF;SG
jutro	بكره	jutro	بكره	ADV	PRO;ACC;MASC;SG;3
jutro	بكرا	jutro	بكرا	ADV	N;ACC;INDF;SG
jutro	بكرة	jutro	بَكرَة	ADV	N;NOM;INDF;SG
jutro	غدا	jutro	غَد	ADV	N;ACC;INDF;SG
ostre	حادة	ostry	حَادّ		ADJ;NOM;INDF;FEM;SG
ostre	شارب	ostry	شَارِب		
ostre	حاد	ostry	حَادّ		ADJ;NOM;INDF;MASC;SG
szybkość	سبيد	szybkość	سبيد	N;ACC;FEM;SG	
szybkość	السرعة	szybkość	سُرعَة	N;ACC;FEM;SG	N;NOM;DEF;SG
szybkość	سرعة	szybkość	سُرعَة	N;ACC;FEM;SG	N;NOM;INDF;SG
zrozumieć	افهم	zrozumieć	أَفهَم	V;PFV;NFIN;ACT	
zrozumieć	فاهم	zrozumieć	فَاهَم	V;PFV;NFIN;ACT	
zrozumieć	تفهم	zrozumieć	أَفهَم	V;PFV;NFIN;ACT	V;IPFV;MASC;IMP;SG;FIN
pytań	الاسئلة	pytanie	سُؤَال	N;GEN;NEUT;PL	N;NOM;DEF;PL
pytań	اسئلة	pytanie	سُؤَال	N;GEN;NEUT;PL	N;NOM;INDF;PL
software	برمجيات	softwary	بَرمَجِيّ		N;NOM;INDF;PL
software	البرمجيات	softwary	بَرمَجِيّ		
software	برامج	softwary	بَرنَامَج		N;NOM;INDF;PL
software	البرامج	softwary	بَرنَامَج		N;NOM;DEF;PL
software	برنامج	softwary	بَرنَامَج		N;NOM;INDF;SG
zatopiony	الغارقة	zatopić	غَارِق	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;DEF;SG
wiktorii	فكتوريا	wiktoria	فكتوريا	N;GEN;FEM;SG	
wiktorii	فيكتوريا	wiktoria	فيكتوريا	N;GEN;FEM;SG	
giorgio	جيورجيو	giorgio	جيورجيو		
giorgio	جورجيو	giorgio	جُورجِيُو		
alejandro	اليخاندرو	alejandro	اليخاندرو	N;NOM;MASC;SG	
sandra	ساندرا	sandra	ساندرا	PROPN;NOM;FEM;SG	
wallace	والاس	wallace	وَالَاس		
wallace	والس	wallace	والس		
wallace	ولاس	wallace	وَلَاس		
wellington	ولينغتون	wellington	ولينغتون		
zakonnica	راهبة	zakonnica	رَاهِبَة	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
następna	التالية	następny	تَالِي		
następna	القادم	następny	قَادِم		ADJ;NOM;DEF;MASC;SG
następna	التالي	następny	تَالِي		ADJ;NOM;DEF;MASC;SG
następna	التالى	następny	تَالِي		
strategii	استراتيجيات	strategia	إِسترَاتِيجِيَّة	N;GEN;FEM;SG	N;NOM;INDF;PL
strategii	الاستراتيجيات	strategia	إِسترَاتِيجِيَّة	N;GEN;FEM;SG	N;NOM;DEF;PL
strategii	استراتيجية	strategia	إِسترَاتِيجِيَّة	N;GEN;FEM;SG	N;NOM;INDF;SG
strategii	الاستراتيجية	strategia	إِسترَاتِيجِيَّة	N;GEN;FEM;SG	N;NOM;DEF;SG
świeckich	العلمانية	świecki	عِلمَانِيَّة	ADJ;GEN;MASC;PL	N;NOM;DEF;SG
nadzoru	الاشراف	nadzór	إِشرَاف	N;GEN;MASC;SG	N;NOM;DEF;SG
nadzoru	اشراف	nadzór	اشراف	N;GEN;MASC;SG	
nadzoru	المراقبة	nadzór	مُرَاقَبَة	N;GEN;MASC;SG	N;NOM;DEF;SG
nadzoru	مراقبة	nadzór	مُرَاقَبَة	N;GEN;MASC;SG	N;NOM;INDF;SG
nadzoru	رقابة	nadzór	رَقَابَة	N;GEN;MASC;SG	N;NOM;INDF;SG
nadzoru	الاشراف	nadzór	إِشرَاف	N;GEN;MASC;SG	N;NOM;DEF;SG
nadzoru	الرقابة	nadzór	رَقَابَة	N;GEN;MASC;SG	N;NOM;DEF;SG
nadzoru	اشراف	nadzór	اشراف	N;GEN;MASC;SG	
satelitarne	ساتل	satelitarny	سَاتِل	ADJ;NOM;NEUT;SG	
satelitarne	السواتل	satelitarny	سُوَاتِل	ADJ;NOM;NEUT;SG	N;NOM;DEF;PL
satelitarne	الساتل	satelitarny	سَاتِل	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
zabawy	ممتع	zabawa	مُمتَع	N;ACC;FEM;SG	ADJ;NOM;INDF;MASC;SG
zabawy	المرح	zabawa	مَرح	N;ACC;FEM;SG	N;NOM;DEF;SG
zabawy	مرح	zabawa	مَرح	N;ACC;FEM;SG	
zabawy	متعة	zabawa	مُتعَة	N;ACC;FEM;SG	N;NOM;INDF;SG
tajemnicy	السرية	tajemnica	سِرِّيَّة	N;GEN;FEM;SG	N;NOM;DEF;SG
operatora	مشغل	operator	مُشَغِّل	N;ACC;MASC;SG	N;NOM;INDF;SG
operatora	المشغل	operator	مُشَغَّل	N;ACC;MASC;SG	N;NOM;DEF;SG
ćwiczeń	التمارين	ćwiczenie	تَمرِين	N;GEN;NEUT;PL	N;NOM;DEF;PL
ćwiczeń	تمارين	ćwiczenie	تَمرِين	N;GEN;NEUT;PL	N;NOM;INDF;PL
nico	نيكو	nico	نِيكُو		
przeznaczenia	القدر	przeznaczenie	قَدر	N;GEN;NEUT;SG	N;NOM;DEF;SG
przeznaczenia	قدر	przeznaczenie	قَدر	N;GEN;NEUT;SG	N;NOM;INDF;SG
przeznaczenia	المصير	przeznaczenie	مَصِير	N;GEN;NEUT;SG	N;NOM;DEF;SG
przeznaczenia	القدر	przeznaczenie	قَدر	N;GEN;NEUT;SG	N;NOM;DEF;SG
przeznaczenia	مصير	przeznaczenie	مَصِير	N;GEN;NEUT;SG	N;NOM;INDF;SG
przeznaczenia	المصير	przeznaczenie	مَصِير	N;GEN;NEUT;SG	N;NOM;DEF;SG
atlancie	اتلانتا	atlant	اِتِّلَان	N;DAT;MASC;SG	
smoka	تنين	smoka	تَنَيَّن	N;ACC;MASC;SG	
smoka	التنين	smoka	تَنَيَّن	N;ACC;MASC;SG	N;NOM;DEF;SG
opisano	وصفت	opisać	وَصَف	V;PFV;IND;0;PST;FIN;ACT	V;PFV;FEM;SG;3;PASS
kwatera	ارباع	kwater	رِبع	N;NOM;FEM;SG	N;NOM;INDF;PL
tajne	سر	tajny	سر		
tajne	سري	tajny	سري		
tajne	السر	tajny	سُرّ		N;NOM;DEF;SG
tajne	سرية	tajny	سِرِّيّ		ADJ;NOM;INDF;FEM;SG
tajne	مصنف	tajny	مَصنَف		N;NOM;INDF;SG
julius	جوليوس	julius	جُولِيُوس	PROPN;NOM;MASC;SG	
ciepło	الحراره	ciepło	حَرَارُه		
ciepło	هيت	ciepło	هيت		
ciepło	حرارة	ciepło	حَرَارَة		N;NOM;INDF;SG
ciepło	الحرارة	ciepło	حَرَارَة		N;NOM;DEF;SG
ciepło	دافئة	ciepło	دَافِئ		ADJ;NOM;INDF;FEM;SG
ciepło	دافئ	ciepło	دَافِئ		N;NOM;INDF;SG
ciepło	الدفء	ciepło	دَفء		N;NOM;DEF;SG
rozwiązać	حسم	rozwiązać	حَسم	V;PFV;NFIN;ACT	N;NOM;INDF;SG
rozwiązać	العزيمة	rozwiązać	عَزِيمَة	V;PFV;NFIN;ACT	N;NOM;DEF;SG
rozwiązać	عزم	rozwiązać	عَزم	V;PFV;NFIN;ACT	N;NOM;INDF;SG
rozwiązać	عزيمة	rozwiązać	عَزِيم	V;PFV;NFIN;ACT	N;NOM;INDF;SG
rozwiązać	حل	rozwiązać	حَلّ	V;PFV;NFIN;ACT	N;NOM;INDF;SG
aniołów	الملائكة	anioł	مُلَائَكَة	N;GEN;MASC;PL	N;NOM;DEF;SG
aniołów	ملائكة	anioł	مَلأَك	N;GEN;MASC;PL	N;NOM;INDF;PL
gość	الزائر	gość	الزائر	V;IPFV;IND;SG;PST;FIN;ACT	
gość	زائر	gość	زَائِر	V;IPFV;IND;SG;PST;FIN;ACT	
gość	غاي	gość	غاي	V;IPFV;IND;SG;PST;FIN;ACT	
gość	الرجل	gość	رَجُل	V;IPFV;IND;SG;PST;FIN;ACT	N;NOM;DEF;SG
gość	ضيف	gość	ضِيف	V;IPFV;IND;SG;PST;FIN;ACT	
gość	الضيف	gość	ضِيف	V;IPFV;IND;SG;PST;FIN;ACT	N;NOM;DEF;SG
gość	ضيفة	gość	ضَيفَة	V;IPFV;IND;SG;PST;FIN;ACT	N;NOM;INDF;SG
fale	الموجة	fala	مُوجَة	N;NOM;FEM;PL	N;NOM;DEF;SG
fale	لوح	fala	لَوح	N;NOM;FEM;PL	
fale	موجة	fala	مَوجَة	N;NOM;FEM;PL	N;NOM;INDF;SG
fale	موج	fala	مَوج	N;NOM;FEM;PL	N;NOM;INDF;SG
fale	امواج	fala	امواج	N;NOM;FEM;PL	
dochodów	ايرادات	dochód	إِيرَاد	N;GEN;MASC;PL	N;NOM;INDF;PL
dochodów	الايرادات	dochód	إِيرَاد	N;GEN;MASC;PL	N;NOM;DEF;PL
dochodów	دخل	dochód	دَخَل	N;GEN;MASC;PL	V;PFV;MASC;SG;3;ACT
dochodów	الدخل	dochód	دَخل	N;GEN;MASC;PL	N;NOM;DEF;SG
strażnik	وصي	strażnik	وَصي	N;NOM;MASC;SG	
szerokiej	واسعة	szeroki	وَاسِع	ADJ;GEN;FEM;SG	ADJ;NOM;INDF;FEM;SG
szerokiej	عريض	szeroki	عَرِيض	ADJ;GEN;FEM;SG	ADJ;NOM;INDF;MASC;SG
szerokiej	واسع	szeroki	وَاسِع	ADJ;GEN;FEM;SG	ADJ;NOM;INDF;MASC;SG
dyplomatyczne	الدبلوماسي	dyplomatyczny	دِبلُومَاسِيّ	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
dyplomatyczne	الدبلوماسية	dyplomatyczny	دِبلُومَاسِيَّة	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
too	ايضا	too	أَيضًا		ADV
matematyka	رياضيات	matematyka	رياضيات	N;NOM;FEM;SG	N;NOM;INDF;PL
matematyka	الرياضيات	matematyka	رِيَاضِيّ	N;NOM;FEM;SG	N;NOM;DEF;PL
matematyka	رياضيات	matematyka	رياضيات	N;NOM;FEM;SG	N;NOM;INDF;PL
matematyka	الرياضيات	matematyka	رِيَاضِيّ	N;NOM;FEM;SG	N;NOM;DEF;PL
matematyka	رياضية	matematyka	رِيَاضِيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
matematyka	رياضيات	matematyka	رياضيات	N;NOM;FEM;SG	N;NOM;INDF;PL
matematyka	الرياضيات	matematyka	رِيَاضِيّ	N;NOM;FEM;SG	N;NOM;DEF;PL
berkeley	بيركيلي	berkeley	بِيركِيلِي	N;NOM;MASC;SG	
berkeley	بيركلي	berkeley	بيركلي	N;NOM;MASC;SG	
rydze	ريغا	ryda	ريغا		
poznaje	التعرف	poznawać	تَعَرُّف	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;DEF;SG
wiarę	فيث	wiara	فَيثُ	N;ACC;FEM;SG	
wiarę	ايمان	wiara	إِيمَان	N;ACC;FEM;SG	
wiarę	الايمان	wiara	إِيمَان	N;ACC;FEM;SG	N;NOM;DEF;SG
kostki	الكاحل	kostka	كَاحِل		N;NOM;DEF;SG
kostki	كاحل	kostka	كَاحِلَ		
kostki	مكعبات	kostka	مُكَعِّبَة		N;NOM;INDF;PL
rozbudowa	تمديد	rozbudowy	تَمدِيد		N;NOM;INDF;SG
rozbudowa	امتداد	rozbudowy	اِمتِدَاد		N;NOM;INDF;SG
rozbudowa	التمديد	rozbudowy	تَمدِيد		N;NOM;DEF;SG
rozbudowa	التوسع	rozbudowy	تَوَسُّع		N;NOM;DEF;SG
rozbudowa	التوسع	rozbudowy	تَوَسُّع		N;NOM;DEF;SG
rozbudowa	التوسيع	rozbudowy	تَوسِيع		N;NOM;DEF;SG
rozbudowa	توسع	rozbudowy	تَوَسُّع		N;NOM;INDF;SG
rozbudowa	توسيع	rozbudowy	تَوسِيع		N;NOM;INDF;SG
emily	اميلي	emil	أَمِيلِيّ	V;IPFV;IND;SG;PRS;FIN;ACT	
emily	ايميلي	emil	أَيمِيلِي	V;IPFV;IND;SG;PRS;FIN;ACT	
ostateczny	نهائي	ostateczny	نِهَائِيّ	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
fin	fin	fina	مُثَّة		
clinton	كلينتون	clinton	كلِينتُون	V;IPFV;IND;SG;PRS;FIN;ACT	
clinton	كلنتون	clinton	كلنتون	V;IPFV;IND;SG;PRS;FIN;ACT	
czwartek	الخميس	czwartek	خَمِيس	N;NOM;MASC;SG	N;ACC;DEF;SG
czwartek	خميس	czwartek	خميس	N;NOM;MASC;SG	
rejestr	سجل	rejestr	سَجَّل	N;NOM;MASC;SG	V;PFV;MASC;SG;3;ACT
słup	قطب	słup	قطب	N;NOM;MASC;SG	
doradca	استشاري	doradca	اِستِشَارِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
uderzył	ضرب	uderzyć	ضَرب	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;NOM;INDF;SG
audi	اودي	audia	أَودَى		
oskarżenia	الاتهام	oskarżenie	اِتِّهَام	N;NOM;NEUT;PL	N;NOM;DEF;SG
oskarżenia	اتهام	oskarżenie	اِتِّهَام	N;NOM;NEUT;PL	N;NOM;INDF;SG
rejs	كروز	rejs	كروز	N;NOM;MASC;SG	
panie	ربي	pan	ربي		
panie	رب	pan	رَبّ		
panie	لورد	pan	لورد		
panie	سيدات	pan	سَيِّدَة		N;NOM;INDF;PL
panie	السيدات	pan	سَيِّدَة		N;NOM;DEF;PL
panie	سيداتي	pan	سيداتي		
kong	كونغ	kong	كُونغ	PROPN;NOM;MASC;SG	
kong	كونج	kong	كُونج	PROPN;NOM;MASC;SG	
tradycję	التقاليد	tradycja	تَقلِيد	N;ACC;FEM;SG	N;NOM;DEF;PL
tradycję	تقليد	tradycja	تَقلِيد	N;ACC;FEM;SG	N;NOM;INDF;SG
tradycję	التقليد	tradycja	تَقلِيد	N;ACC;FEM;SG	N;NOM;DEF;SG
tradycję	تقاليد	tradycja	تَقلِيد	N;ACC;FEM;SG	N;NOM;INDF;PL
cali	بوصة	cala	بُوصَة		N;NOM;INDF;SG
cali	انشات	cala	إِنشَات		V;PFV;FEM;SG;3;ACT
cali	بوصات	cala	بَوصَة		N;NOM;INDF;PL
edgar	ادغار	edgar	اِدغَار	PROPN;NOM;MASC;SG	
edgar	ادجار	edgar	ادجار	PROPN;NOM;MASC;SG	
twoja	تك	twój	تك	DET;NOM;FEM;SG;2	
twoja	ملكك	twój	ملكك	DET;NOM;FEM;SG;2	
twoja	لك	twój	لِكَ	DET;NOM;FEM;SG;2	
jensen	ينسن	jensen	نَسَن	PROPN;NOM;MASC;SG	
jensen	جنسن	jensen	جنسن	PROPN;NOM;MASC;SG	
jensen	جينسن	jensen	جينسن	PROPN;NOM;MASC;SG	
england	انجلترا	england	إِنجِلتِرَا		
england	انكلترا	england	انكلترا		
