nie	no	nie	no	PART;NEG	ADV;NEG
rzeczywistości	realitat	rzeczywistość	realitat	N;GEN;FEM;SG	
informacja	info	informacja	info	N;NOM;FEM;SG	
metody	mètode	metoda	mètode	N;ACC;FEM;PL	N;MASC;SG
chicago	chicago	chicago	chicago	V;IPFV;IND;SG;PRS;FIN;ACT	PROPN
będąc	essent	być	ser	V;IPFV;PRS;V.CVB;ACT	V;V.MSDR
będąc	being	być	being	V;IPFV;PRS;V.CVB;ACT	PROPN
frank	frank	frank	frank	PROPN;NOM;MASC;SG	
wydawnictwa	editorials	wydawnictwo	editorial	N;NOM;NEUT;SG	N;FEM;PL
wydawnictwa	publicant	wydawnictwo	publicar	N;NOM;NEUT;SG	V;V.MSDR
trasy	ruta	trasa	ruta	N;ACC;FEM;PL	N;FEM;SG
ofiar	víctimes	ofiara	víctima		N;FEM;PL
albert	albert	albert	albert	PROPN;NOM;MASC;SG	
nazwiska	cognom	nazwisko	cognom	N;NOM;NEUT;PL	N;MASC;SG
walczył	lluitat	walczyć	lluitar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
czech	txeca	czech	txec		ADJ;FEM;SG
czech	txec	czech	txec		ADJ;MASC;SG
sprawa	cas	sprawa	cas	N;NOM;FEM;SG	
określenie	definint	określenie	definir	N;NOM;NEUT;SG	V;V.MSDR
głowy	head	głowa	head	N;ACC;FEM;SG	
głowy	caps	głowa	cap	N;ACC;FEM;SG	N;MASC;PL
biblioteki	biblioteques	biblioteka	biblioteca	N;GEN;FEM;SG	N;FEM;PL
królowej	queen	królowa	quear	N;GEN;FEM;SG	
królowej	reina	królowa	reina	N;GEN;FEM;SG	
bydgoszcz	bydgoszcz	bydgoszcz	bydgoszcz		PROPN
zdanie	frase	zdanie	frase	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
mieczysław	mieczysław	mieczysław	mieczysław	PROPN;NOM;MASC;SG	
rzeszy	reich	rzeszyć	reich		PROPN
antonio	antonio	antonio	antonio	PROPN;NOM;MASC;SG	
super	impressionant	super	impressionant		ADJ;SG
super	gran	super	gran		ADJ;SG
zasięg	interval	zasięg	interval	N;NOM;MASC;SG	
błędy	bugs	błąd	bug	N;NOM;MASC;PL	
błędy	bitxos	błąd	bitx	N;NOM;MASC;PL	ADJ;MASC;PL
bad	bad	bad	bad		PROPN
bułgarii	bulgària	bułgaria	bulgari	N;GEN;FEM;SG	ADJ;FEM;SG
sport	esport	sport	esport		N;MASC;SG
sport	sport	sport	sport		N;MASC;SG
sport	esports	sport	esport		N;MASC;PL
renault	renault	renault	renault		N;MASC;SG
posiadał	posseït	posiadać	posseir	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
pytanie	pregunta	pytanie	preguntar	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
przedsiębiorstwo	enterprise	przedsiębiorstwo	enterprise	N;NOM;NEUT;SG	
grecji	grècia	grecja	grècia	N;GEN;FEM;SG	ADJ;FEM;SG
katarzyna	caterina	katarzyno	caterina	N;NOM;FEM;SG	
katarzyna	catherine	katarzyno	catherine	N;NOM;FEM;SG	PROPN
katarzyna	katarzyna	katarzyno	katarzyna	N;NOM;FEM;SG	
korpus	corpus	korpus	corpus	N;NOM;MASC;SG	
korpus	tors	korpus	tor	N;NOM;MASC;SG	
połączenie	connecta	połączenie	connectar	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
jarosław	jarosław	jarosław	jarosław	PROPN;NOM;MASC;SG	
rzadko	rars	rzadko	rar	ADV	ADJ;MASC;PL
rzadko	rares	rzadko	rara	ADV	ADJ;FEM;PL
niewoli	captiva	niewola	captivar	N;GEN;FEM;SG	V;IND;SG;3;PRS;FIN
następnym	next	następny	next	ADJ;INS;MASC;SG	
jones	jones	jones	jo	V;IPFV;IND;SG;PRS;FIN;ACT	
samoloty	aeronau	samolot	aeronau	N;NOM;MASC;PL	V;IND;SG;3;PRS;FIN
odkrył	descobert	odkryć	descobert	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
bank	bank	bank	bank	N;NOM;MASC;SG	ADJ;MASC;SG
teatrze	theater	teatr	theater	N;DAT;MASC;SG	PROPN
fundacji	fundacions	fundacja	fundació	N;GEN;FEM;SG	N;FEM;PL
słońca	sol	słońce	sol	N;GEN;NEUT;SG	
johna	john	johny	john		PROPN
mieszka	vides	mieszkać	vida	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
sprzedaży	vendes	sprzedaż	venda		N;FEM;PL
sprzedaży	surts	sprzedaż	sort		V;IND;SG;1;PRS;FIN
sprzedaży	sale	sprzedaż	sale		INTJ
sprzedaży	venda	sprzedaż	venda		N;FEM;SG
pgc	pgc	pgcieć	pgc		
naprawdę	realment	naprawdę	realment	PART	ADV
irlandii	irlanda	irlandia	irlanda	N;GEN;FEM;SG	
irlandii	bellvís	irlandia	bellvís	N;GEN;FEM;SG	
ogłosił	anunciada	ogłosić	anunciat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
ogłosił	anunciat	ogłosić	anunciat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
spotkanie	cita	spotkanie	citar	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
spotkanie	conèixer	spotkanie	conèixer	N;NOM;NEUT;SG	V;NFIN
politechniki	politècnica	politechnik	politècnic	N;GEN;MASC;SG	ADJ;FEM;SG
jack	jack	jack	jack	PROPN;NOM;MASC;SG	PROPN
hans	hans	hans	haver	PROPN;NOM;MASC;SG	PROPN
decyzji	decisions	decyzja	decisió	N;GEN;FEM;SG	N;FEM;PL
stosowane	aplicats	stosować	aplicat	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
stosowane	utilitzats	stosować	utilitzat	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
braci	germans	brat	germà		N;MASC;PL
związki	sindicatura	związek	sindicatura	N;NOM;MASC;PL	N;FEM;SG
związki	compostos	związek	compost	N;NOM;MASC;PL	ADJ;MASC;PL
znaczenia	significats	znaczenie	significat	N;NOM;NEUT;SG	N;MASC;PL
grafika	gràfics	grafika	gràfic	N;NOM;FEM;SG	ADJ;MASC;PL
cał	sencer	cał	sencer	ADV	ADJ;MASC;SG
cał	sencera	cał	sencer	ADV	ADJ;FEM;SG
pomocnika	ajudant	pomocnik	ajudar	N;ACC;MASC;SG	V;V.MSDR
cześć	hola	cześć	hol	N;NOM;FEM;SG	
radia	radio	radio	radio	N;GEN;NEUT;SG	
radia	ràdios	radio	ràdio	N;GEN;NEUT;SG	N;FEM;PL
łączności	comunicacions	łączność	comunicació	N;GEN;FEM;SG	N;FEM;PL
pewne	certes	pewny	cert		ADJ;FEM;PL
pewne	determinats	pewny	determinat		ADJ;MASC;PL;V.PTCP
małych	petita	mały	petit	N;GEN;MASC;PL	ADJ;FEM;SG
małych	petites	mały	petit	N;GEN;MASC;PL	ADJ;FEM;PL
london	london	london	londondre		PROPN
london	alpicat	london	alpicar		ADJ;MASC;SG;V.PTCP
london	londres	london	londre		PROPN
lotu	vol	lot	voler	N;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
krwi	sang	krew	sang		N;FEM;SG
gór	muntanyes	gór	muntanya		N;FEM;PL
transportu	transports	transport	transport	N;GEN;MASC;SG	N;MASC;PL
zmienił	canviades	zmienić	canviat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;FEM;PL;V.PTCP
zmienił	canviat	zmienić	canviar	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
zmienił	canviada	zmienić	canviada	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
wieża	tower	wieża	tower	N;NOM;FEM;SG	
lemmon	lemmon	lemmon	lemmó		
alpy	alps	alpy	alp	V;IPFV;IND;PL;PRS;FIN;ACT	
średnia	mitjà	średnia	mitjà	N;NOM;FEM;SG	ADJ;MASC;SG
średnia	mitjana	średnia	mitjà	N;NOM;FEM;SG	ADJ;FEM;SG
średnia	mean	średnia	mean	N;NOM;FEM;SG	
zbudowano	construït	zbudować	construït	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
zbudowano	construit	zbudować	construir	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
zbudowano	edificat	zbudować	edificat	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
steve	steve	steve	steve	PROPN;NOM;MASC;SG	PROPN
twórca	creador	twórca	creador	N;NOM;MASC;SG	ADJ;MASC;SG
najwyższy	suprem	wysoki	suprem	ADJ;NOM;CMPR;MASC;SG	N;MASC;SG
najwyższy	suprema	wysoki	suprema	ADJ;NOM;CMPR;MASC;SG	
mary	maría	mary	maría	PROPN;NOM;FEM;SG	
mary	mary	mary	mary	PROPN;NOM;FEM;SG	
marka	marca	marka	marcar		V;IND;SG;3;PRS;FIN
marka	mark	marka	mark		PROPN
joe	joe	joe	joe	PROPN;NOM;MASC;SG	PROPN
siedem	set	siedem	set		NUM;PL
studentów	alumnat	student	alumnat	N;ACC;MASC;PL	N;MASC;SG
znak	marca	znak	marcar	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
znak	mark	znak	mark	N;NOM;MASC;SG	PROPN
znak	signa	znak	signar	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
znak	signar	znak	signar	N;NOM;MASC;SG	V;NFIN
biały	white	biały	white		PROPN
biały	blanc	biały	blanc		ADJ;MASC;SG
remix	remix	remin	remix		PROPN
lublin	lublin	lublin	lublir		PROPN
dróg	camins	droga	camí		N;MASC;PL
rozwiązania	solució	rozwiązanie	solució	N;NOM;NEUT;PL	N;FEM;SG
grafiki	gràfics	grafika	gràfic	N;GEN;FEM;PL	ADJ;MASC;PL
dolna	bottom	dolny	bottom		PROPN
dolna	fons	dolny	fon		N;MASC;PL
copa	copa	copa	copa	PROPN;NOM;MASC;SG	N;FEM;SG
wprowadzono	introduïdes	wprowadzić	introduir	V;PFV;IND;0;PST;FIN;ACT	ADJ;FEM;PL;V.PTCP
wprowadzono	introduït	wprowadzić	introduir	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
wprowadzono	introduïda	wprowadzić	introduir	V;PFV;IND;0;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
wprowadzono	introduïts	wprowadzić	introduir	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
hrabstwa	comarques	hrabstwo	comarca	N;ACC;NEUT;SG	N;FEM;PL
klubów	trèvols	klub	trèvol	N;GEN;MASC;PL	
floty	flotes	flota	flota	N;GEN;FEM;SG	N;FEM;PL
architektury	arquitectòniques	architektura	arquitectònic	N;GEN;FEM;SG	ADJ;FEM;PL
architektury	arquitectures	architektura	arquitectura	N;GEN;FEM;SG	N;FEM;PL
sieć	net	sieć	net	N;NOM;FEM;SG	ADJ;MASC;SG
księga	llibre	ksiągać	llibre		N;MASC;SG
dolina	vall	dolinać	vall		N;FEM;SG
tle	antecedents	tło	antecedent		N;MASC;PL
tle	fons	tło	fon		N;MASC;PL
zwycięzca	guanyadora	zwycięzca	guanyador	N;NOM;MASC;SG	ADJ;FEM;SG
elżbieta	elizabeth	elżbieta	elizabeth	PROPN;NOM;FEM;SG	
elżbieta	elisabet	elżbieta	elisabet	PROPN;NOM;FEM;SG	
włochy	italià	włochy	italià		ADJ;MASC;SG
karl	karl	karla	karl	PROPN;NOM;MASC;SG	PROPN
rumunii	romania	rumunia	romania		ADJ;FEM;SG
major	major	major	major	N;NOM;MASC;SG	ADJ;SG
ford	ford	ford	ford		PROPN
ewa	eva	ewa	ser	PROPN;NOM;FEM;SG	
ewa	ewa	ewa	ew	PROPN;NOM;FEM;SG	PROPN
ewa	eve	ewa	eve	PROPN;NOM;FEM;SG	PROPN
north	nord	north	nord		N;MASC;SG
więzienia	presons	więzienie	presó	N;GEN;NEUT;SG	N;FEM;PL
czeski	bohemian	czeski	bohemir	ADJ;NOM;MASC;SG	
walter	walter	walter	walter	N;NOM;MASC;SG	PROPN
pozostaje	restes	pozostawać	resta	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
samochodów	cars	samochód	car	N;GEN;MASC;PL	ADJ;MASC;PL
materiały	material	materiał	material	N;NOM;MASC;PL	N;MASC;SG
navy	armada	navy	armat		N;FEM;SG
wiedniu	viena	wieśń	viè	PROPN;DAT;MASC;SG	
são	são	são	são	PROPN;NOM;MASC;SG	PROPN
skrzydła	wings	skrzydło	wings	N;NOM;NEUT;PL	PROPN
skrzydła	ales	skrzydło	ala	N;NOM;NEUT;PL	
scott	scott	scott	scott	PROPN;NOM;MASC;SG	PROPN
max	max	max	max		PROPN
max	màx	max	màx		ADJ;MASC;SG
kobieta	dona	kobieta	donar	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
kobieta	femení	kobieta	femení	N;NOM;FEM;SG	
kobieta	femella	kobieta	femella	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
kiedyś	once	kiedyś	once	ADV	PROPN
wieży	torre	wieża	torre	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
wieży	tower	wieża	tower	V;IPFV;IND;SG;3;PRS;FIN;ACT	
słowacji	eslovàquia	słowacja	eslovàquia	PROPN;GEN;FEM;SG	ADJ;FEM;SG
windows	finestres	windows	finestra		N;FEM;PL
zwycięzcy	premiats	zwycięzca	premiat	N;NOM;MASC;SG	ADJ;MASC;PL;V.PTCP
zwycięzcy	guanyadores	zwycięzca	guanyadora	N;NOM;MASC;SG	ADJ;FEM;PL
zwycięzcy	guanyadors	zwycięzca	guanyador	N;NOM;MASC;SG	N;MASC;PL
struktury	estructura	struktura	estructurar	N;ACC;FEM;PL	V;IND;SG;3;PRS;FIN
niektórzy	alguns	niektóry	algun	DET;NOM;MASC;PL	PRO;MASC;PL
niektórzy	algunes	niektóry	algun	DET;NOM;MASC;PL	PRO;FEM;PL
broń	armes	broń	arma	V;IPFV;IMP;SG;2;FIN;ACT	N;FEM;PL
broń	braços	broń	braç	V;IPFV;IMP;SG;2;FIN;ACT	
broń	arma	broń	arma	V;IPFV;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
broń	pistola	broń	pistola	V;IPFV;IMP;SG;2;FIN;ACT	N;FEM;SG
broń	arma	broń	arma	V;IPFV;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
broń	armes	broń	arma	V;IPFV;IMP;SG;2;FIN;ACT	N;FEM;PL
broń	guns	broń	guns	V;IPFV;IMP;SG;2;FIN;ACT	N;MASC
carlos	carlos	carlos	carlo	PROPN;NOM;MASC;SG	PROPN
odległość	interval	odległość	interval	N;ACC;FEM;SG	
myśli	pensant	myśleć	pensar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
myśli	pensaments	myśleć	pensament	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
wyborów	eleccions	wybory	elecció		N;FEM;PL
chciał	volia	chcieć	voler	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
chciał	volien	chcieć	voler	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
augusta	agost	augusta	agost		N
augusta	augusta	augusta	augusta		ADJ;FEM;SG
belgii	bèlgica	belgia	bèlgic		ADJ;FEM;SG
zaczyna	començant	zaczynać	començar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
leon	leon	leon	leon	PROPN;NOM;MASC;SG	PROPN
street	carrer	street	carrer		N;MASC;SG
france	frança	franka	frança	PROPN;NOM;MASC;SG	
wątpliwości	dubte	wątpliwość	dubte	N;ACC;FEM;SG	
wątpliwości	dubtes	wątpliwość	dubte	N;ACC;FEM;SG	N;MASC;PL
chris	chris	chris	chri	PROPN;NOM;MASC;SG	PROPN
football	futbol	football	futbol		N;MASC;SG
joanna	joan	joanna	joan	ADJ;NOM;FEM;SG	
kolejno	successiva	kolejno	successiu		ADJ;FEM;SG
kolejno	successivament	kolejno	successivament		ADV
biografia	biografia	biografium	biografia	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
godzin	hores	godzina	hora	N;GEN;FEM;PL	
obowiązki	deure	obowiązek	deure	N;NOM;MASC;PL	
piosenkarka	singer	piosenkarka	singer	N;NOM;FEM;SG	PROPN
harry	harry	harr	harry	N;NOM;MASC;SG	
ostatnia	darrer	ostatni	darrer		ADJ;MASC;SG
ostatnia	últim	ostatni	últim		ADJ;MASC;SG
ostatnia	última	ostatni	últim		ADJ;FEM;SG
ostatnia	darrera	ostatni	darrer		ADJ;FEM;SG
ręce	braços	ręka	braç	N;NOM;FEM;PL	
kary	càstig	kara	càstig	N;ACC;FEM;PL	
czarny	black	czarny	black	ADJ;NOM;MASC;SG	
czarny	negre	czarny	negre	ADJ;NOM;MASC;SG	
powrót	regressió	powrót	regressió		N;FEM;SG
powrót	remuntada	powrót	remuntat		N;FEM;SG
powrót	retornar	powrót	retornar		V;NFIN
powrót	retorn	powrót	retorn		N;MASC;SG
powrót	devolució	powrót	devolució		N;FEM;SG
powrót	esquena	powrót	esquena		N;FEM;SG
węgla	carbó	węgiel	carbó		N;MASC;SG
węgla	carboni	węgiel	carboni		ADJ;MASC;SG
koła	roda	koło	rodar	N;ACC;NEUT;SG	V;IND;SG;3;PRS;FIN
koła	rodes	koło	roda	N;ACC;NEUT;SG	
londyn	london	londyn	londondre		PROPN
londyn	alpicat	londyn	alpicar		ADJ;MASC;SG;V.PTCP
londyn	londres	londyn	londre		PROPN
wysokie	alta	wysoki	alt	V;PFV;IND;SG;FIN;ACT	ADJ;FEM;SG
wysokie	high	wysoki	high	V;PFV;IND;SG;FIN;ACT	N;SG
wysokie	alt	wysoki	alt	V;PFV;IND;SG;FIN;ACT	ADJ;MASC;SG
techniki	tècnica	technika	tècnic	N;ACC;FEM;SG	ADJ;FEM;SG
techniki	tècniques	technika	tècnic	N;ACC;FEM;SG	ADJ;FEM;PL
zakłady	apostant	zakład	apostar	N;NOM;MASC;PL	V;V.MSDR
biura	oficines	biuro	oficina	N;NOM;NEUT;SG	N;FEM;PL
biura	office	biuro	office	N;NOM;NEUT;SG	
treść	contingut	treść	contingut		N;MASC;SG
treść	continguts	treść	contingut		N;MASC;PL
simon	simó	simon	simó	PROPN;NOM;MASC;SG	
simon	simon	simon	simon	PROPN;NOM;MASC;SG	PROPN
simon	simón	simon	simón	PROPN;NOM;MASC;SG	
pozdrawiam	salutacions	pozdrawiać	salutació	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;FEM;PL
obrońca	protector	obrońca	protector	N;NOM;MASC;SG	ADJ;MASC;SG
obrońca	protectora	obrońca	protectora	N;NOM;MASC;SG	ADJ;FEM;SG
best	millor	best	millor		ADJ;SG
silniki	motor	silnik	motor	N;NOM;MASC;PL	N;MASC;SG
silniki	dorsal	silnik	dorsal	N;NOM;MASC;PL	ADJ;SG
silniki	dorsals	silnik	dorsal	N;NOM;MASC;PL	ADJ;PL
alexander	alexandre	alexander	alexandre	N;NOM;MASC;SG	
alexander	alexander	alexander	alexander	N;NOM;MASC;SG	
nba	nba	nba	nba		N;MASC;SG
władcy	regles	władka	regla	N;NOM;MASC;SG	N;FEM;PL
władcy	governants	władka	governant	N;NOM;MASC;SG	N;PL
światła	llums	światło	llum	N;NOM;NEUT;SG	
światła	llum	światło	llum	N;NOM;NEUT;SG	
ton	tones	ton	tona		N;FEM;PL
ton	matís	ton	matís		N;MASC;SG
ton	tona	ton	tona		N;FEM;SG
fragmenty	extractes	fragment	extracte	N;ACC;MASC;PL	
ghs	sga	ghs	sga		N;MASC;SG
wiktor	viktor	wiktor	viktor	PROPN;NOM;MASC;SG	PROPN
wiktor	víctor	wiktor	víctor	PROPN;NOM;MASC;SG	
wiktor	victor	wiktor	victor	PROPN;NOM;MASC;SG	
żołnierz	soldat	żołnierz	soldat	N;NOM;MASC;SG	
głosu	veu	głos	veure	N;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
lwów	lions	lwów	lió		N;MASC;PL
lwów	lleons	lwów	lleó		N;MASC;PL
lwów	lviv	lwów	lviv		PROPN
marie	marie	mara	marie	PROPN;NOM;FEM;SG	
technologii	tecnologies	technologia	tecnologia	N;GEN;FEM;SG	N;FEM;PL
wojnę	guerra	wojna	guerra	N;ACC;FEM;SG	
czwarty	quart	czwarty	quart	ADJ;NOM;MASC;SG	
głosowanie	vota	głosować	votar	N;NOM;NEUT;SG;POS;V.MSDR	V;IND;SG;3;PRS;FIN
głosowanie	votacions	głosować	votació	N;NOM;NEUT;SG;POS;V.MSDR	N;FEM;PL
pomocnik	ajudant	pomocnik	ajudar	N;NOM;MASC;SG	V;V.MSDR
pomocnik	ajudant	pomocnik	ajudar	N;NOM;MASC;SG	V;V.MSDR
bob	bob	bob	bob		PROPN
pary	parelles	para	parella		ADJ;FEM;PL
pary	parelles	para	parella		ADJ;FEM;PL
pary	vapor	para	vapor		N;MASC;SG
szczególności	particular	szczególność	particular	N;GEN;FEM;SG	ADJ;SG
międzynarodowe	internacionals	międzynarodowy	internacional	ADJ;NOM;NEUT;SG	ADJ;PL
terenu	terreny	teren	terreny	N;GEN;MASC;SG	
rodzin	famílies	rodzina	família		N;FEM;PL
wiadomości	notícia	wiadomość	notícia	N;ACC;FEM;PL	N;FEM;SG
wiadomości	missatge	wiadomość	missatge	N;ACC;FEM;PL	N;MASC;SG
tworzenia	creant	tworzyć	crear	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	V;V.MSDR
upadku	plega	upadek	plega	N;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
małgorzata	margaret	małgorzata	margaret	PROPN;NOM;FEM;SG	
małgorzata	margarita	małgorzata	margarita	PROPN;NOM;FEM;SG	N;FEM;SG
wybrzeża	costes	wybrzeże	costa	N;GEN;NEUT;SG	N;FEM;PL
ustalono	establerta	ustalić	establert	V;PFV;IND;0;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
witold	witold	witold	witold	PROPN;NOM;MASC;SG	PROPN
kolonii	colònia	kolonia	colònia		N;FEM;SG
kolonii	colònies	kolonia	colònia		N;FEM;PL
kolonii	colònia	kolonia	colònia		N;FEM;SG
podstawowe	primària	podstawowy	primària	ADJ;NOM;NEUT;SG	
podstawowe	bàsics	podstawowy	bàsic	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
podstawowe	bàsiques	podstawowy	bàsic	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
finlandii	finlàndia	finlandia	finlàndia	PROPN;GEN;FEM;SG	ADJ;FEM;SG
poznania	poznań	poznanie	poznań	N;PFV;GEN;NEUT;SG;POS;V.MSDR	PROPN
moje	mina	mój	mina	DET;NOM;NEUT;SG;1	N;FEM;SG
ulic	carrers	ulica	carrer		N;MASC;PL
house	casa	housy	casa		N;FEM;SG
metal	metal	metal	metal	N;NOM;MASC;SG	ADJ;SG
series	sèries	series	sèrie		N;FEM;PL
series	sèrie	series	sèrie		
używa	usos	używać	ús	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
christian	christian	christianin	christian	N;NOM;MASC;SG	
christian	cristià	christianin	cristià	N;NOM;MASC;SG	ADJ;MASC;SG
niewielkie	petites	niewielki	petit	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
następca	successor	następca	successor	N;NOM;MASC;SG	
potok	torrent	potok	torrent		N;MASC;SG
potok	riera	potok	riera		N;FEM;SG
artur	arthur	artura	arthur	PROPN;NOM;MASC;SG	PROPN
artur	artur	artura	artur	PROPN;NOM;MASC;SG	
zadania	assignacions	zadanie	assignació	N;NOM;NEUT;SG	N;FEM;PL
zadania	cessions	zadanie	cessió	N;NOM;NEUT;SG	N;FEM;PL
zadania	tasques	zadanie	tasca	N;NOM;NEUT;SG	N;FEM;PL
young	joves	young	jove		N;PL
young	young	young	young		PROPN
young	jove	young	jove		N;SG
miejski	urban	miejski	urban	ADJ;NOM;MASC;SG	
sydney	sydney	sydney	sydney		N;MASC;SG
populacji	poblacions	populacja	població	N;GEN;FEM;SG	N;FEM;PL
waga	balança	waga	balança		N;FEM;SG
waga	lliura	waga	lliurar		V;IND;SG;3;PRS;FIN
waga	pes	waga	pes		
mając	havent	mieć	haver	V;IPFV;PRS;V.CVB;ACT	V;V.MSDR
roberta	roberta	robert	robert	N;ACC;MASC;SG	ADJ;FEM;SG
turcji	turquia	turcja	turquia	PROPN;GEN;FEM;SG	ADJ;FEM;SG
dziecko	baby	dziecko	baby	N;NOM;NEUT;SG	
dziecko	infant	dziecko	infant	N;NOM;NEUT;SG	
zanim	abans	zanim	abans	CONJ	ADV
podstawowa	primària	podstawowy	primària		
podstawowa	primari	podstawowy	primari		ADJ;MASC;SG
podstawowa	bàsic	podstawowy	bàsic		ADJ;MASC;SG
podstawowa	bàsics	podstawowy	bàsic		ADJ;MASC;PL
podstawowa	bàsiques	podstawowy	bàsic		ADJ;FEM;PL
podstawowa	basic	podstawowy	basic		ADJ;MASC;SG
lake	llac	raka	llac	V;IPFV;IND;SG;PRS;FIN;ACT	N;MASC;SG
dostępne	disponibles	dostępny	disponible	ADJ;NOM;NEUT;SG	ADJ;PL
przyszłości	futur	przyszłość	futur	N;DAT;FEM;SG	ADJ;MASC;SG
rozgrywki	jugabilitat	rozgrywka	jugabilitat	N;ACC;FEM;PL	N;FEM;SG
wolny	lliures	wolny	lliure	ADJ;NOM;MASC;SG	ADJ;PL
jakości	qualitat	jakość	qualitat		N;FEM;SG
kop	puntada	kop	puntada		N;FEM;SG
ben	ben	ben	ben		ADV
jakuba	james	jakub	jama		PROPN
przeszłości	passat	przeszłość	passat	N;GEN;FEM;SG	ADJ;MASC;SG;V.PTCP
plac	quadrat	plac	quadrat	N;NOM;MASC;SG	
powietrza	air	powietrze	air	N;GEN;NEUT;SG	PROPN
teksty	lletra	tekst	lletra	N;NOM;MASC;PL	N;FEM;SG
bazy	bases	baza	base	N;GEN;FEM;SG	N;FEM;PL
bazy	base	baza	base	N;GEN;FEM;SG	
czerwone	red	czerwony	red	ADJ;NOM;NEUT;SG	
portugalii	portuguès	portugalia	portuguès		ADJ;MASC;SG
trenerem	formador	trener	formador	N;INS;MASC;SG	ADJ;MASC;SG
klasa	aula	klasa	aula	V;IPFV;IND;SG;2;FIN;ACT	N;FEM;SG
klasa	classe	klasa	classe	V;IPFV;IND;SG;2;FIN;ACT	N;FEM;SG
kontynuował	continuat	kontynuować	continuat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
kontynuował	continuada	kontynuować	continuat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
oznaczenie	marcatge	oznaczenie	marcatge	N;NOM;NEUT;SG	
pewnie	probablement	pewnie	probablement	PART	ADV
wykonane	fetes	wykonać	fet	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
prędkości	velocitats	prędkość	velocitat	N;GEN;FEM;SG	N;FEM;PL
zastąpił	substituït	zastąpić	substituir	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
für	für	fra	für	V;IPFV;IND;SG;2;PRS;FIN;ACT	PROPN
korei	coreà	korea	córer		ADJ;MASC;SG
lasy	woods	las	wood	N;NOM;MASC;PL	
lasy	bosc	las	bosc	N;NOM;MASC;PL	N;MASC;SG
