категорія	kategorii	категорія	kategorie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
засновано	založená	засновати	založený	V;PFV;IND;0;FIN	ADJ;NOM;FEM;SG;POS
засновано	založen	засновати	založený	V;PFV;IND;0;FIN	ADJ;MASC;SG;POS;V.PTCP;PASS
засновано	založený	засновати	založený	V;PFV;IND;0;FIN	ADJ;INAN;NOM;MASC;SG;POS
засновано	založeno	засновати	založený	V;PFV;IND;0;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
двигун	motoru	двигун	motor	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
чорний	black	чорний	black	ADJ;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
захоплення	zachytit	захоплення	zachytit	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
захоплення	zajmout	захоплення	zajmout	N;INAN;NOM;NEUT;SG	V;POS;NFIN
турнір	turnaje	турнір	turnaj	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
виникнення	vzniknout	виникнення	vzniknout	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
зміг	mohla	змогти	moci	V;PFV;MASC;IND;SG;PST;FIN	V;POS;PST;V.PTCP;ACT
зміг	schopný	змогти	schopný	V;PFV;MASC;IND;SG;PST;FIN	ADJ;ANIM;NOM;MASC;SG;POS
зміг	schopné	змогти	schopný	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;NEUT;SG;POS
шкіл	školy	школа	škola	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL;POS
порядок	objednat	порядок	objednat	N;INAN;NOM;MASC;SG	V;PFV;POS;NFIN
матеріал	záběry	матеріал	záběr	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
миру	míru	мир	míra	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG;POS
миру	mír	мир	mír	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
канада	kanada	канада	kanada	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
канада	kanady	канада	kanada	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
поза	vně	поза	vně		N;NOM;FEM;SG;POS
поза	mimo	поза	mimo		ADP;ACC
поза	venku	поза	venku		ADV
поза	postoj	поза	postoj		N;INAN;NOM;MASC;SG;POS
костянтин	konstantin	костянтина	konstantina	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
тов	tov	тов	tov	N;INAN;NOM;NEUT;SG	PROPN;ANIM;NOM;MASC;SG;POS
досвід	zkušenosti	досвід	zkušenost	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL;POS
фірми	firma	фірма	firma	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
фірми	pevná	фірма	pevný	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;SG;POS
фірми	pevné	фірма	pevný	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;PL;POS
фірми	pevný	фірма	pevný	N;INAN;NOM;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
операцій	úkony	операція	úkon	N;INAN;GEN;FEM;PL	N;INAN;NOM;MASC;PL;POS
операцій	operace	операція	operace	N;INAN;GEN;FEM;PL	N;NOM;FEM;SG;POS
операцій	transakce	операція	transakce	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL;POS
дорога	silniční	дорога	silniční	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
дорога	road	дорога	road	N;INAN;NOM;FEM;SG	PROPN;INAN;NOM;MASC;SG;POS
театрі	divadla	театр	divadlo	N;INAN;DAT;MASC;SG	N;NOM;NEUT;PL;POS
театрі	divadlo	театр	divadlo	N;INAN;DAT;MASC;SG	N;NOM;NEUT;SG;POS
бароко	barokní	бароко	barokní	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
творчість	kreativitu	творчість	kreativita	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
користь	přínos	користь	přínos	N;INAN;ACC;FEM;SG	N;INAN;NOM;MASC;SG;POS
користь	prospěch	користь	prospěch	N;INAN;ACC;FEM;SG	N;INAN;NOM;MASC;SG;POS
користь	strádání	користь	strádání	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG;POS
цар	king	цар	king	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
цар	krále	цар	král	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
цар	králi	цар	král	N;ANIM;NOM;MASC;SG	N;ANIM;DAT;MASC;SG;POS
цар	car	цар	car	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
єпископ	bishop	єпископ	bishop	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
важко	obtížné	важко	obtížný	ADV	ADJ;NOM;NEUT;SG;POS
важко	obtížná	важко	obtížný	ADV	ADJ;NOM;FEM;SG;POS
важко	obtížný	важко	obtížný	ADV	ADJ;INAN;NOM;MASC;SG;POS
місяця	měsíc	місяць	měsíc	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
місяця	měsíční	місяць	měsíční	N;INAN;GEN;MASC;SG	ADJ;NOM;MASC;SG;POS
місяця	měsíci	місяць	měsíc	N;INAN;GEN;MASC;SG	N;INAN;INS;MASC;PL;POS
місяця	měsíc	місяць	měsíc	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
місяця	moon	місяць	moon	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG;POS
документи	dokumentů	документ	dokument	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
усе	všechno	усе	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
усе	vše	усе	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
заявив	trvaly	заявити	trvat	V;PFV;MASC;IND;SG;PST;FIN	V;INAN;IPFV;PL;POS;PST;V.PTCP;ACT
заявив	trval	заявити	trvat	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
заявив	trvala	заявити	trvat	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;POS;PST;V.PTCP;ACT
заявив	svědčila	заявити	svědčit	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;POS;PST;V.PTCP;ACT
заявив	svědčil	заявити	svědčit	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
захворювання	choroby	захворювання	choroba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
захворювання	nemoci	захворювання	nemoc	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
захворювання	choroby	захворювання	choroba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
захворювання	nemoci	захворювання	nemoc	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
вільям	william	вільям	william	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
сучасні	moderní	сучасний	moderní	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
переможець	vítězem	переможець	vítěz	N;ANIM;NOM;MASC;SG	N;ANIM;INS;MASC;SG;POS
переможець	vítěze	переможець	vítěz	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
літаків	letoun	літак	letoun	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;SG;POS
літаків	letadla	літак	letadlo	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL;POS
літаків	letadlo	літак	letadlo	N;INAN;GEN;MASC;PL	N;NOM;NEUT;SG;POS
змагань	soutěže	змагання	soutěž	N;INAN;GEN;NEUT;PL	N;NOM;FEM;PL;POS
фортеці	citadela	фортека	citadet	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
піренеї	pyreneje	піренея	pyrenej	PROPN;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
піренеї	pyrénées	піренея	pyrénées	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG;POS
матеріалу	úcta	матеріал	úcta	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG;POS
закладів	instituce	заклад	instituce	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL;POS
хмельницької	chmelnyckyj	хмельницький	chmelnyckyj	ADJ;GEN;FEM;SG	ADV;POS
кольори	barev	колір	barva	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL;POS
кольори	barev	колір	barva	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL;POS
спорт	sportu	спорт	sport	N;INAN;NOM;MASC;SG	N;INAN;DAT;MASC;SG;POS
спорт	sportovní	спорт	sportovní	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
спорт	sportovní	спорт	sportovní	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
спорт	sporty	спорт	sport	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
брата	bratře	брат	bratr	N;ANIM;ACC;MASC;SG	N;ANIM;NOM;MASC;SG;POS
брата	bratr	брат	bratr	N;ANIM;ACC;MASC;SG	N;ANIM;NOM;MASC;SG;POS
порт	přístavu	порт	přístav	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
участю	zahrnující	участь	zahrnující	N;INAN;INS;FEM;SG	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
петербург	petersburgu	петербург	petersburg	PROPN;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
вздовж	podél	вздовж	podél		ADP;GEN
кораблів	lodě	корабель	loď	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL;POS
кораблів	lodí	корабель	loď	N;INAN;GEN;MASC;PL	N;INS;FEM;SG;POS
канал	kanálu	канал	kanál	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
бельгії	belgie	бельгія	belgie	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;FEM;SG;POS
бельгії	belgii	бельгія	belgie	PROPN;INAN;GEN;FEM;SG	PROPN;DAT;FEM;SG;POS
звільнення	propustit	звільнення	propustit	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
звільнення	uvolnit	звільнення	uvolnit	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
звільнення	rezignaci	звільнення	rezignace	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG;POS
економіка	ekonomická	економіка	ekonomický	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
прийняття	adopci	прийняття	adopce	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG;POS
білі	bílá	білий	bílý	ADJ;NOM;PL	ADJ;NOM;FEM;SG;POS
білі	white	білий	white	ADJ;NOM;PL	PROPN;ANIM;NOM;MASC;SG;POS
білі	bílý	білий	bílý	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;SG;POS
чоловіка	manžel	чоловік	manžel	N;ANIM;ACC;MASC;SG	N;ANIM;NOM;MASC;SG;POS
чоловіка	manželi	чоловік	manžel	N;ANIM;ACC;MASC;SG	N;ANIM;INS;MASC;PL;POS
запропонував	nabízené	запропонувати	nabízený	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;NEUT;SG;POS
запропонував	nabízená	запропонувати	nabízený	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;FEM;SG;POS
запропонував	nabízených	запропонувати	nabízený	V;PFV;MASC;IND;SG;PST;FIN	ADJ;GEN;MASC;PL;POS
математики	matematici	математика	matematik	N;INAN;NOM;FEM;PL	N;ANIM;NOM;MASC;PL;POS
математики	matematiku	математика	matematika	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
математики	matice	математика	matika	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
математики	matematika	математика	matematika	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
молодший	mladších	молодший	mladý	ADJ;NOM;CMPR;MASC;SG	ADJ;GEN;CMPR;MASC;PL;POS
молодший	nezletilý	молодший	zletilý	ADJ;NOM;CMPR;MASC;SG	ADJ;ANIM;NOM;MASC;SG;NEG
значну	značná	значний	značný	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG;POS
значну	podstatné	значний	podstatný	ADJ;ACC;FEM;SG	ADJ;NOM;NEUT;SG;POS
значну	podstatná	значний	podstatný	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG;POS
нижня	níže	нижній	nízko	ADJ;NOM;FEM;SG	ADV;CMPR;POS
нижня	níž	нижній	jenž	ADJ;NOM;FEM;SG	PRO;DAT;FEM;SG
визначається	vymezené	визначатися	vymezený	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG;POS
визначається	definovaný	визначатися	definovaný	V;IPFV;IND;SG;3;PRS;FIN	ADJ;INAN;NOM;MASC;SG;POS
визначається	definováno	визначатися	definovaný	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
визначається	definovaná	визначатися	definovaný	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG;POS
визначається	definované	визначатися	definovaný	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;PL;POS
обслуговування	údržbu	обслуговування	údržba	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG;POS
обслуговування	servisu	обслуговування	servis	N;INAN;NOM;NEUT;SG	N;INAN;GEN;MASC;SG;POS
проектів	projekty	проект	projekt	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL;POS
віталій	vitali	віталії	vitat	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
віталій	vitalis	віталії	vitalis	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
віталій	vitalij	віталії	vitalij	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
групу	skupiny	група	skupina	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL;POS
групу	skupina	група	skupina	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG;POS
біла	white	білий	white	ADJ;NOM;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
біла	bílé	білий	bílý	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL;POS
біла	belaja	білий	belaja	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;POS
власні	vlastní	власний	vlastní	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
власні	vlastni	власний	vlastní	ADJ;NOM;PL	PROPN;ANIM;NOM;MASC;SG;POS
власні	vlastnit	власний	vlastnit	ADJ;NOM;PL	V;IPFV;POS;NFIN
православної	ortodoxní	православний	ortodoxní	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG;POS
кордон	cordon	кордон	cordon	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
кордон	hranici	кордон	hranice	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG;POS
місцеві	lokální	місцевий	lokální	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
місцеві	místní	місцевий	místní	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
місцеві	místní	місцевий	místní	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
клубів	kluby	клуб	klub	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL;POS
клубів	hole	клуб	hůl	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL;POS
типи	typů	тип	typ	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
веде	vodítka	вести	vodítka	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;NEUT;PL;POS
білецький	bielecki	білецький	bielecký	ADJ;NOM;MASC;SG	ADV;POS
казахстан	kazachstán	казахстан	kazachstán	PROPN;INAN;NOM	N;INAN;NOM;MASC;SG;POS
червона	červeně	червоний	červen	ADJ;NOM;FEM;SG	ADV;POS
провулок	uličky	провулок	ulička	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL;POS
провулок	uličce	провулок	ulička	N;INAN;NOM;MASC;SG	N;DAT;FEM;SG;POS
причини	způsobuje	причина	způsobovat	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
проводиться	bytí	проводитися	bytí	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG;POS
проводиться	být	проводитися	být	V;IPFV;IND;SG;3;PRS;FIN	V;POS;NFIN
степан	stjepan	степан	stjepan	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
степан	stepan	степан	stepaný	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
степан	stephen	степан	stephen	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
степан	stephena	степан	stephený	PROPN;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
працівників	pracovníci	працівник	pracovník	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
працівників	dělníci	працівник	dělník	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
працівників	zaměstnanců	працівник	zaměstnanec	N;ANIM;ACC;MASC;PL	N;ANIM;GEN;MASC;PL;POS
працівників	zaměstnancům	працівник	zaměstnanec	N;ANIM;ACC;MASC;PL	N;ANIM;DAT;MASC;PL;POS
працівників	zaměstnanci	працівник	zaměstnanec	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
євреїв	židům	єврей	žid	N;ANIM;ACC;MASC;PL	N;INAN;DAT;MASC;PL;POS
євреїв	židé	єврей	žid	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
євреїв	židů	єврей	žid	N;ANIM;ACC;MASC;PL	N;ANIM;GEN;MASC;PL;POS
конструкції	konstrukce	конструкція	konstrukce	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
примітки	poznámka	примітка	poznámka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
сад	zahrady	сад	zahrada	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL;POS
сад	zahradní	сад	zahradní	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
сад	sade	сад	sada	N;INAN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
ніч	noční	ніч	noční	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
німецька	německy	німецький	německy	ADJ;NOM;FEM;SG	ADV;POS
німецька	němčina	німецький	němčina	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;POS
німецька	němec	німецький	němec	ADJ;NOM;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
німецька	německé	німецький	německý	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL;POS
окупації	zaměstnání	окупація	zaměstnání	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
окупації	povolání	окупація	povolání	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
окупації	okupace	окупація	okupace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
заходи	opatření	захід	opatření	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG;POS
заходи	postupů	захід	postup	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
марк	marcu	марк	marka	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
марк	marc	марк	marc	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
вища	vyšší	вищий	vysoký	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG;POS
вища	vyšší	вищий	vysoký	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG;POS
вища	výše	вищий	výše	ADJ;NOM;RL;FEM;SG	N;NOM;FEM;SG;POS
вища	výš	вищий	vysoko	ADJ;NOM;RL;FEM;SG	ADV;POS
лікар	doktore	лікар	doktor	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
лікар	doctor	лікар	doctor	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
пар	dvojice	пар	dvojice		N;NOM;FEM;SG;POS
пар	páry	пар	pár		N;INAN;NOM;MASC;PL;POS
пар	pari	пар	pari		PROPN;MASC;SG;POS
лев	lva	лев	lev	PROPN;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
лев	lev	лев	lev	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
лев	lev	лев	lev	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
лев	lea	лев	lea	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;FEM;SG;POS
лев	leo	лев	leo	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
валерій	valerij	валерій	valerij	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
валерій	valeri	валерій	valer	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
валерій	valerius	валерій	valerius	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
довгий	dlouho	довгий	dlouho	ADJ;NOM;MASC;SG	ADV;POS
драми	drama	драма	drama	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
польоту	létání	політ	létání	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG;POS
польоту	létající	політ	létající	N;INAN;GEN;MASC;SG	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
польоту	lítání	політ	lítání	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG;POS
польоту	letu	політ	let	N;INAN;GEN;MASC;SG	N;INAN;DAT;MASC;SG;POS
польоту	letová	політ	letový	N;INAN;GEN;MASC;SG	ADJ;NOM;FEM;SG;POS
польоту	let	політ	rok	N;INAN;GEN;MASC;SG	N;GEN;NEUT;PL;POS
змі	media	змо	medium	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
змі	média	змо	médium	PROPN;INAN;NOM;MASC;SG	N;NOM;NEUT;PL;POS
змі	mediální	змо	mediální	PROPN;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
богородиці	panenské	богородика	panenský	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;PL;POS
богородиці	panic	богородика	panic	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
богородиці	panna	богородика	panna	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
богородиці	bohorodice	богородика	bohorodice	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
споруд	přemístění	споруда	přemístění	N;INAN;GEN;FEM;PL	N;NOM;NEUT;SG;POS
слави	sláva	слава	sláva	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
слави	slávu	слава	sláva	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
перетворення	proměny	перетворення	proměna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
перетворення	proměnit	перетворення	proměnit	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
перетворення	konverzi	перетворення	konverze	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG;POS
перетворення	proměny	перетворення	proměna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
реалізації	implementace	реалізація	implementace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
реалізації	provedení	реалізація	provedení	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
реалізації	provádění	реалізація	provádění	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
реалізації	realizace	реалізація	realizace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
реалізації	prováděcí	реалізація	prováděcí	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG;POS
реалізації	poznání	реалізація	poznání	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
реалізації	realizaci	реалізація	realizace	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
реалізації	uskutečnění	реалізація	uskutečnění	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
реалізації	realizace	реалізація	realizace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
боротьбі	boj	боротьба	boj	N;INAN;DAT;FEM;SG	N;INAN;NOM;MASC;SG;POS
боротьбі	boje	боротьба	boj	N;INAN;DAT;FEM;SG	N;INAN;NOM;MASC;PL;POS
газ	plynové	газ	plynový	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
газ	plyny	газ	plyn	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
газ	gazi	газ	gaze	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG;POS
аеропорт	letištní	аеропорт	letištní	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
здатність	schopnosti	здатність	schopnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
костел	kostela	костел	kostel	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
героїв	hrdinů	герой	hrdina	N;ANIM;ACC;MASC;PL	N;ANIM;GEN;MASC;PL;POS
героїв	hrdinové	герой	hrdina	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
жили	žila	жити	žít	V;IPFV;IND;PL;PST;FIN	V;POS;PST;V.PTCP;ACT
жили	žilo	жити	žít	V;IPFV;IND;PL;PST;FIN	V;NEUT;SG;POS;PST;V.PTCP;ACT
жили	žil	жити	žít	V;IPFV;IND;PL;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
залізнична	železnice	залізничний	železnice	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;POS
альпи	alpes	альпа	alpes	N;INAN;NOM;FEM;PL	PROPN;INAN;NOM;MASC;SG;POS
жінка	ženská	жінка	ženský	N;ANIM;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
жінка	ženská	жінка	ženský	N;ANIM;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
дійсно	fakt	дійсно	fakt	ADV	N;INAN;NOM;MASC;SG;POS
португалії	portugalsko	португалія	portugalský	PROPN;INAN;GEN;FEM;SG	ADJ;POS
назад	pozpátku	назад	pozpátku	ADV	N;INAN;GEN;MASC;SG;POS
назад	vzad	назад	vzad	ADV	N;NOM;FEM;SG;POS
назад	záda	назад	záda	ADV	N;NOM;NEUT;PL;POS
органи	orgánů	орган	orgán	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
хвороби	nemoc	хвороба	nemoc	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
хвороби	onemocnění	хвороба	onemocnění	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
хвороби	nákaza	хвороба	nákaza	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
хвороби	nemoc	хвороба	nemoc	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
хвороби	onemocnění	хвороба	onemocnění	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
процеси	procesů	процес	proces	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
наступних	nadcházející	наступний	nadcházející	ADJ;GEN;PL	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
угоди	výhodné	угода	výhodný	N;INAN;NOM;FEM;PL	ADJ;NOM;NEUT;SG;POS
