per	za	per	za	ADP	
tradició	tradície	tradició	tradícia	N;FEM;SG	N;NOM;FEM;PL
federació	federácie	federació	federácia	N;FEM;SG	N;NOM;FEM;PL
charles	charles	charla	charles		PROPN;ANIM;NOM;MASC;SG
formant	tvarovanie	formar	tvarovanie	V;V.MSDR	N;NOM;NEUT;SG
formant	tvoriace	formar	tvoriaci	V;V.MSDR	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
inc	inc	inc	inc	PROPN	
mercat	trhová	mercat	trhový	N;MASC;SG	ADJ;NOM;FEM;SG
evitar	zabrániť	evitar	zabrániť	V;NFIN	V;PFV;POS;NFIN
grau	grau	grau	grau	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
compte	účtom	compte	účet		N;INAN;INS;MASC;SG
compte	konto	compte	konto		N;NOM;NEUT;SG
compte	ucet	compte	ucet		INTJ
compte	účet	compte	účet		N;INAN;NOM;MASC;SG
compte	účte	compte	účiť		N;INAN;NOM;MASC;SG
creat	vytvorili	creat	vytvoriť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
creat	vytvoril	creat	vytvoriť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
nit	nočná	nit	nočný		ADJ;NOM;FEM;SG
nit	nočné	nit	nočný		ADJ;NOM;NEUT;SG
nit	noc	nit	noc		N;NOM;FEM;SG
llac	jazera	llac	jazero	N;MASC;SG	N;NOM;NEUT;PL
llac	lake	llac	laka	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
favor	láskavosť	favor	láskavosť		N;NOM;FEM;SG
favor	uprednostňovať	favor	uprednostňovať		V;IPFV;POS;NFIN
ajuda	pomoc	ajudar	pomoc	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
ajuda	pomôžte	ajudar	pomôcť	V;IND;SG;3;PRS;FIN	V;PFV;IMP;PL;2;POS;FIN
generals	generáli	general	generál	ADJ;PL	N;ANIM;NOM;MASC;PL
generals	generálov	general	generál	ADJ;PL	N;ANIM;ACC;MASC;PL
dur	tvrdá	dur	tvrdý		ADJ;NOM;FEM;SG
dur	tvrdo	dur	tvrdo		ADV
dur	silno	dur	silno		ADV
dur	ťažké	dur	ťažký		ADJ;NOM;NEUT;SG
dur	ťažko	dur	ťažko		ADV
americà	američan	americà	američan	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
americà	american	americà	american	ADJ;MASC;SG	N;NOM;FEM;SG
paraula	slovo	paraula	slovo	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
paraula	slovom	paraula	slovo	V;IND;SG;3;PRS;FIN	N;INS;NEUT;SG
paraula	slova	paraula	slovo	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;PL
donat	donat	donat	donat	ADJ;MASC;SG;V.PTCP	N;ANIM;NOM;MASC;SG
sanitaris	záchody	sanitari	záchod	ADJ;MASC;PL	N;NOM;FEM;PL
sanitaris	toalety	sanitari	toalet	ADJ;MASC;PL	N;INAN;NOM;MASC;PL
net	net	net	net	ADJ;MASC;SG	N;INAN;NOM;MASC;SG
net	sieť	net	sieť	ADJ;MASC;SG	N;NOM;FEM;SG
net	netto	net	netto	ADJ;MASC;SG	
problema	problem	problema	problem	N;MASC;SG	INTJ
propietat	nehnuteľnosti	propietat	nehnuteľnosť	N;FEM;SG	N;NOM;FEM;PL
freshwater	sladkovodných	freshwater	sladkovodný	N;SG	ADJ;GEN;MASC;PL
frontera	hraníc	frontera	hranica	N;FEM;SG	N;GEN;FEM;PL
frontera	hranice	frontera	hranica	N;FEM;SG	N;NOM;FEM;PL
frontera	hraničné	frontera	hraničný	N;FEM;SG	ADJ;NOM;NEUT;SG
històric	historicky	històric	historicky	ADJ;MASC;SG	ADV
egipte	egypt	egipte	egypt		N;INAN;NOM;MASC;SG
egipte	egypte	egipte	egypiť		N;INAN;NOM;MASC;SG
egipte	egypta	egipte	egypta		N;INAN;GEN;MASC;SG
pocs	málokto	poc	málokto	PRO;MASC;PL	PRO;ANIM;NOM;MASC;SG
pocs	málo	poc	málo	PRO;MASC;PL	ADV
pocs	pár	poc	pár	PRO;MASC;PL	NUM;NOM;NEUT;SG
pocs	mála	poc	málo	PRO;MASC;PL	N;NOM;FEM;SG
conèixer	stretnúť	conèixer	stretnúť	V;NFIN	V;PFV;POS;NFIN
conèixer	spoznať	conèixer	spoznať	V;NFIN	V;PFV;POS;NFIN
escrit	napísal	escrit	napísať	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
escrit	napísali	escrit	napísať	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
xvii	xvii	xvii	xvii		NUM
diferent	iný	diferent	iný	ADJ;SG	DET;ANIM;NOM;MASC;SG
diferent	rozdielne	diferent	rozdielny	ADJ;SG	ADV
diferent	iná	diferent	iný	ADJ;SG	DET;NOM;FEM;SG
trobat	našiel	trobar	nájsť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
trobat	našli	trobar	nájsť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
trobat	našlo	trobar	nájsť	ADJ;MASC;SG;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
george	george	george	georga	PROPN	PROPN;ANIM;NOM;MASC;SG
bretanya	brittany	bretanya	brittan	ADJ;FEM;SG	N;INAN;NOM;MASC;PL
vuit	eight	vuit	eight	NUM;PL	PROPN;ANIM;NOM;MASC;SG
vuit	osem	vuit	osem	NUM;PL	NUM;NOM;NEUT;SG
passat	minulých	passat	minulý	ADJ;MASC;SG;V.PTCP	ADJ;GEN;MASC;PL
passat	minulosť	passat	minulosť	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
passat	minulosťou	passat	minulosť	ADJ;MASC;SG;V.PTCP	N;INS;FEM;SG
passat	minulosti	passat	minulosť	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;PL
nombrosos	početné	nombrós	početný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
revolució	revolúcie	revolució	revolúcia	N;FEM;SG	N;NOM;FEM;PL
coberta	paluba	cobert	paluba	ADJ;FEM;SG;V.PTCP	N;NOM;FEM;SG
coberta	palubu	cobert	paluba	ADJ;FEM;SG;V.PTCP	N;ACC;FEM;SG
coberta	palube	cobert	paluba	ADJ;FEM;SG;V.PTCP	N;NOM;FEM;SG
coberta	paluby	cobert	paluba	ADJ;FEM;SG;V.PTCP	N;NOM;FEM;PL
competició	súťaže	competició	súťaž	N;FEM;SG	N;NOM;FEM;PL
competició	sutaz	competició	sutaz	N;FEM;SG	INTJ
arquitectura	architektúry	arquitectura	architektúra	N;FEM;SG	N;NOM;FEM;PL
luis	luis	luis	luis	PROPN	PROPN;ANIM;NOM;MASC;SG
peu	nohu	peu	noha		N;ACC;FEM;SG
peu	noha	peu	noha		N;NOM;FEM;SG
peu	pešo	peu	pešo		ADV
peu	chodidlo	peu	chodidlo		N;NOM;NEUT;SG
peu	peši	peu	pešiť		N;GEN;FEM;PL
locals	lokálny	local	lokálny	ADJ;PL	ADJ;INAN;NOM;MASC;SG
locals	miestna	local	miestny	ADJ;PL	ADJ;NOM;FEM;SG
locals	miestne	local	miestne	ADJ;PL	ADV
locals	lokálna	local	lokálny	ADJ;PL	ADJ;NOM;FEM;SG
locals	miestny	local	miestny	ADJ;PL	ADJ;INAN;NOM;MASC;SG
locals	lokálne	local	lokálny	ADJ;PL	ADJ;NOM;NEUT;SG
gen	gene	gen	gena	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
utilitzat	používali	utilitzat	používať	ADJ;MASC;SG;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
realitat	skutočnosť	realitat	skutočnosť		N;NOM;FEM;SG
realitat	realita	realitat	realita		N;NOM;FEM;SG
realitat	realitu	realitat	realita		N;ACC;FEM;SG
realitat	reality	realitat	realita		N;NOM;FEM;PL
aquells	tý	aquell	tý	DET;MASC;PL	N;ANIM;NOM;MASC;PL
martí	marti	martí	marť		INTJ
martí	martí	martí	marť		N;ANIM;NOM;MASC;SG
martí	martina	martí	martina		N;ANIM;ACC;MASC;SG
martí	martin	martí	martin		PROPN;ANIM;NOM;MASC;SG
mica	sľudy	mica	sľuda	N;SG	N;NOM;FEM;PL
seguretat	bezpečnosti	seguretat	bezpečnosť	N;FEM;SG	N;NOM;FEM;PL
seguretat	bezpečnosti	seguretat	bezpečnosť	N;FEM;SG	N;NOM;FEM;PL
www	www	www	www		N;INAN;NOM;MASC;SG
militars	armáda	militar	armáda	ADJ;PL	N;NOM;FEM;SG
militars	vojsko	militar	vojsko	ADJ;PL	N;NOM;NEUT;SG
militars	vojenský	militar	vojenský	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
militars	vojenské	militar	vojenský	ADJ;PL	ADJ;NOM;NEUT;SG
present	prítomnosť	present	prítomnosť	ADJ;SG	N;NOM;FEM;SG
present	prezentovať	present	prezentovať	ADJ;SG	V;IPFV;POS;NFIN
present	darček	present	darček	ADJ;SG	N;INAN;NOM;MASC;SG
pes	závažie	pes	závažie		N;NOM;FEM;PL
pes	hmotnosti	pes	hmotnosť		N;NOM;FEM;PL
pes	hmotnosť	pes	hmotnosť		N;NOM;FEM;SG
pes	váha	pes	váha		N;NOM;FEM;SG
camps	políčka	camp	políček	N;MASC;PL	N;INAN;NOM;MASC;SG
autors	autorom	autor	autor	N;MASC;PL	N;ANIM;INS;MASC;SG
festa	party	festa	part	N;FEM;SG	N;NOM;FEM;PL
festa	párty	festa	párt	N;FEM;SG	N;INAN;NOM;MASC;PL
comissió	komisie	comissió	komisť	N;FEM;SG	N;NOM;FEM;PL
portugal	portugalsko	portugal	portugalsko	ADJ;SG	ADV
xiii	xiii	xiii	xii		NUM
canadà	kanada	canadà	kanada	ADJ;MASC;SG	PROPN;ANIM;NOM;MASC;SG
canadà	kanady	canadà	kanada	ADJ;MASC;SG	N;NOM;FEM;PL
canadà	kanade	canadà	kanada	ADJ;MASC;SG	N;NOM;FEM;SG
màxim	maximálne	màxim	maximálne	ADJ;MASC;SG	ADV
màxim	maximum	màxim	maximum	ADJ;MASC;SG	N;INAN;NOM;MASC;SG
germans	brothers	germà	brothers	N;MASC;PL	N;NOM;MASC;SG
marca	značka	marcar	značka	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
marca	mark	marcar	mark	V;IND;SG;3;PRS;FIN	PROPN;ANIM;NOM;MASC;SG
fase	fázy	fase	fáza	N;FEM;SG	N;NOM;FEM;PL
amor	love	amor	lov	N;MASC;SG	
amor	lásky	amor	láska	N;MASC;SG	N;NOM;FEM;PL
amor	milovať	amor	milovať	N;MASC;SG	V;IPFV;POS;NFIN
ciències	vedu	ciència	veda	N;FEM;PL	N;ACC;FEM;SG
ciències	veda	ciència	veda	N;FEM;PL	N;NOM;FEM;SG
pis	podlahové	pis	podlahový	N;MASC;SG	ADJ;NOM;NEUT;SG
darrer	naposledy	darrer	naposledy	ADJ;MASC;SG	ADV
darrer	posledná	darrer	posledný	ADJ;MASC;SG	N;NOM;FEM;SG
defunció	death	defunció	death	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
defunció	úmrtia	defunció	úmrtie	N;FEM;SG	N;NOM;NEUT;PL
hores	hodín	hora	hodiny		N;GEN;FEM;PL
hores	hodiny	hora	hodina		N;NOM;FEM;PL
cursa	preteky	cursa	preteky	N;FEM;SG	N;INAN;NOM;MASC;PL
cursa	rasy	cursa	rasa	N;FEM;SG	N;NOM;FEM;PL
doble	dvojitá	doble	dvojitý	ADJ;SG	N;NOM;FEM;SG
doble	zdvojnásobiť	doble	zdvojnásobiť	ADJ;SG	V;IPFV;POS;NFIN
doble	double	doble	doubľať	ADJ;SG	N;INAN;NOM;MASC;SG
àsia	ázii	àsia	ázii	N;FEM;SG	PROPN;NOM;FEM;SG
àsia	ázie	àsia	ázia	N;FEM;SG	N;NOM;FEM;PL
anderson	anderson	andersor	anderson	PROPN	PROPN;ANIM;NOM;MASC;SG
península	polostrove	península	polostrov		ADV
distància	vzdialenosti	distància	vzdialenosť	N;FEM;SG	N;NOM;FEM;PL
tarragona	tarragona	tarragona	tarragon		N;INAN;NOM;MASC;SG
oscar	oscar	oscar	oscar	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
traducció	preklady	traducció	preklad	N;FEM;SG	N;INAN;NOM;MASC;PL
termes	termes	terme	termes	N;MASC;PL	N;NOM;FEM;SG
joves	mladé	jove	mladý	N;PL	ADJ;NOM;NEUT;SG
joves	mlada	jove	mlada	N;PL	N;NOM;FEM;SG
joves	mladí	jove	mladý	N;PL	ADJ;ANIM;NOM;MASC;PL
joves	young	jove	young	N;PL	PROPN;ANIM;NOM;MASC;SG
joves	mladá	jove	mladý	N;PL	ADJ;NOM;FEM;SG
normal	normálne	normal	normálne	ADJ;SG	ADV
normal	normalne	normal	normalne	ADJ;SG	ADV
felip	filipa	felip	filipa		N;ANIM;ACC;MASC;SG
felip	philip	felip	philip		PROPN;ANIM;NOM;MASC;SG
felip	filip	felip	filip		PROPN;ANIM;NOM;MASC;SG
botiga	shop	botiga	shop	N;FEM;SG	INTJ
botiga	nakupovať	botiga	nakupovať	N;FEM;SG	V;IPFV;POS;NFIN
botiga	uchovávať	botiga	uchovávať	N;FEM;SG	V;IPFV;POS;NFIN
botiga	skladovať	botiga	skladovať	N;FEM;SG	V;IPFV;POS;NFIN
richard	richard	richard	richard	PROPN	N;ANIM;NOM;MASC;SG
puig	puig	puig	puíg	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
llarga	dlho	llarg	dlho	ADJ;FEM;SG	ADV
llarga	long	llarg	long	ADJ;FEM;SG	PROPN;ANIM;NOM;MASC;SG
destaca	najdôležitejšie	destacar	dôležitý	V;IND;SG;3;PRS;FIN	ADV;RL
nombroses	početné	nombrós	početný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
taula	stôl	taula	stôl	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
taula	tabuľke	taula	tabuľka	V;IND;SG;3;PRS;FIN	N;DAT;FEM;SG
taula	tabuľka	taula	tabuľka	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
jesús	ježiš	jesús	ježiš		PROPN;ANIM;NOM;MASC;SG
jesús	ježiša	jesús	ježiš		N;ANIM;ACC;MASC;SG
jesús	jesus	jesús	jesus		PROPN;ANIM;NOM;MASC;SG
física	fyziky	físic	fyzika	ADJ;FEM;SG	N;NOM;FEM;PL
física	fyziku	físic	fyzika	ADJ;FEM;SG	N;ACC;FEM;SG
física	fyzika	físic	fyzika	ADJ;FEM;SG	N;NOM;FEM;SG
ferro	železný	ferro	železný		ADJ;ANIM;NOM;MASC;SG
ferro	železo	ferro	železo		N;INAN;NOM;MASC;SG
ferro	železné	ferro	železný		ADJ;NOM;NEUT;SG
ferro	iron	ferro	iron		PROPN;ANIM;NOM;MASC;SG
ferro	železa	ferro	železa		N;NOM;FEM;PL
mida	veľkosti	mida	veľkosť	N;FEM;SG	N;NOM;FEM;PL
enciclopèdia	encyklopédia	enciclopèdia	encyklopédiť		N;NOM;NEUT;PL
socials	sociálne	social	sociálny	ADJ;PL	ADJ;NOM;NEUT;SG
socials	spoločenské	social	spoločenský	ADJ;PL	ADJ;NOM;NEUT;SG
socials	sociálny	social	sociálny	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
socials	sociálna	social	sociálny	ADJ;PL	ADJ;NOM;FEM;SG
socials	spoločenský	social	spoločenský	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
objecte	namietať	objecte	namietať	N;MASC;SG	V;IPFV;POS;NFIN
esposa	zena	esposar	zena	N;FEM;SG	
albert	albert	albert	albert		PROPN;ANIM;NOM;MASC;SG
materials	materiál	material	materiál	N;MASC;PL	N;INAN;NOM;MASC;SG
roca	skaly	roca	skala	N;FEM;SG	N;NOM;FEM;PL
notes	poznamenáva	nota	poznamenavať	N;FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
comercials	komerčné	comercial	komerčný	ADJ;PL	ADJ;NOM;NEUT;SG
comercials	obchodný	comercial	obchodný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
comercials	obchodná	comercial	obchodný	ADJ;PL	ADJ;NOM;FEM;SG
comercials	komerčný	comercial	komerčný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
comercials	obchodné	comercial	obchodný	ADJ;PL	ADJ;NOM;NEUT;SG
marina	marina	marina	marina		N;NOM;FEM;SG
salvador	salvador	salvador	salvador		N;ANIM;NOM;MASC;SG
usuari	užívateľské	usuari	užívateľský	N;MASC;SG	ADJ;NOM;NEUT;SG
cort	dvor	cort	dvor		N;INAN;NOM;MASC;SG
cort	súd	cort	súd		N;INAN;NOM;MASC;SG
plata	strieborný	plata	strieborný		ADJ;ANIM;NOM;MASC;SG
plata	striebro	plata	striebro		N;NOM;NEUT;SG
plata	strieborná	plata	strieborný		ADJ;NOM;FEM;SG
plata	silver	plata	silver		N;ANIM;NOM;MASC;SG
comandant	veliteľ	comandant	veliteľ		N;ANIM;NOM;MASC;SG
comandant	veliteľka	comandant	veliteľka		N;NOM;FEM;SG
hivern	zime	hivern	zimať	N;MASC;SG	ADV
hivern	zimný	hivern	zimný	N;MASC;SG	ADJ;INAN;NOM;MASC;SG
hivern	zimná	hivern	zimný	N;MASC;SG	ADJ;NOM;FEM;SG
hivern	zimné	hivern	zimný	N;MASC;SG	ADJ;NOM;NEUT;SG
temperatura	teploty	temperatura	teplota	N;FEM;SG	N;INAN;NOM;MASC;PL
romans	rimania	romà	rimanie	ADJ;MASC;PL	N;ANIM;NOM;MASC;PL
contingut	spokojná	contingut	spokojný	N;MASC;SG	ADJ;NOM;FEM;SG
suïssa	švajčiarsko	suís	švajčiarsko	ADJ;FEM;SG	PROPN;NOM;NEUT;SG
suïssa	švajčiarska	suís	švajčiarsky	ADJ;FEM;SG	N;NOM;NEUT;PL
evolució	evolúcie	evolució	evolúcia	N;FEM;SG	N;NOM;FEM;PL
representació	zastúpenia	representació	zastúpenie	N;FEM;SG	N;NOM;NEUT;PL
comandament	veliteľstvo	comandament	veliteľstvo		N;NOM;NEUT;SG
comandament	príkaz	comandament	príkaz		N;INAN;NOM;MASC;SG
comandament	velenie	comandament	velenie		N;NOM;NEUT;SG
vora	hrane	vora	hraň		N;NOM;FEM;SG
vora	okraja	vora	okraj		N;INAN;GEN;MASC;SG
vora	okraj	vora	okraj		N;INAN;NOM;MASC;SG
vora	hrany	vora	hrana		N;NOM;FEM;PL
vora	hraníc	vora	hranica		N;GEN;FEM;PL
vora	hranicu	vora	hranica		N;ACC;FEM;SG
vora	hranice	vora	hranica		N;NOM;FEM;PL
vora	hraničné	vora	hraničný		ADJ;NOM;NEUT;SG
vora	hranica	vora	hranica		N;NOM;FEM;SG
xii	xii	xii	Xii		NUM
cantant	singer	cantant	singer	N;SG	PROPN;ANIM;NOM;MASC;SG
existència	existencie	existència	existencia	N;FEM;SG	N;NOM;FEM;PL
llibertat	slobody	llibertat	sloboda	N;FEM;SG	N;NOM;FEM;PL
llibertat	slobody	llibertat	sloboda	N;FEM;SG	N;NOM;FEM;PL
plantilla	šablóny	plantilla	šablón	N;FEM;SG	N;INAN;NOM;MASC;PL
malaltia	choroby	malaltia	choroba	N;FEM;SG	N;NOM;FEM;PL
malaltia	ochorenia	malaltia	ochorenie	N;FEM;SG	N;NOM;NEUT;PL
michael	michaela	michael	michail	N;SG	PROPN;NOM;FEM;SG
michael	michal	michael	michať	N;SG	PROPN;ANIM;NOM;MASC;SG
michael	michael	michael	michael	N;SG	PROPN;ANIM;NOM;MASC;SG
ambdós	oboje	ambdós	oboj	NUM;MASC;PL	N;NOM;MASC;SG
salut	zdravotné	salut	zdravotný	N;FEM;SG	ADJ;NOM;NEUT;SG
prou	stačí	prou	stačiť	ADV	V;IPFV;IND;SG;3;POS;PRS;FIN
prou	dost	prou	dost	ADV	INTJ
oficina	kancelárie	oficina	kancelária	N;FEM;SG	N;NOM;FEM;PL
oficina	kancelárske	oficina	kancelársky	N;FEM;SG	ADJ;NOM;NEUT;PL
oficina	pracovne	oficina	pracovne	N;FEM;SG	N;NOM;FEM;PL
assassinat	vraždiť	assassinat	vraždiť	ADJ;MASC;SG;V.PTCP	V;IPFV;POS;NFIN
assassinat	vraždenie	assassinat	vraždenie	ADJ;MASC;SG;V.PTCP	N;NOM;NEUT;SG
assassinat	zavraždiť	assassinat	zavraždiť	ADJ;MASC;SG;V.PTCP	V;PFV;POS;NFIN
assassinat	vražda	assassinat	vražda	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
assassinat	vraždy	assassinat	vražda	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;PL
assassinat	vraždu	assassinat	vražda	ADJ;MASC;SG;V.PTCP	N;ACC;FEM;SG
oficials	úradníci	oficial	úradník	ADJ;PL	N;ANIM;NOM;MASC;PL
oficials	dôstojníkov	oficial	dôstojník	ADJ;PL	N;ANIM;ACC;MASC;PL
oficials	dôstojníci	oficial	dôstojník	ADJ;PL	N;ANIM;NOM;MASC;PL
marine	morské	marine	morský	N;SG	ADJ;NOM;NEUT;SG
marine	morských	marine	morský	N;SG	ADJ;GEN;MASC;PL
marine	morský	marine	morský	N;SG	ADJ;ANIM;NOM;MASC;SG
xiv	xiv	xiv	xiv		NUM
hora	hodinový	hora	hodinový	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
química	chémia	químic	chémiť	ADJ;FEM;SG	N;NOM;FEM;SG
barranc	rokliny	barranc	roklina	N;MASC;SG	N;NOM;FEM;PL
hospital	nemocnice	hospital	nemocnica	N;MASC;SG	N;NOM;FEM;PL
investigació	výskumné	investigació	výskumný	N;FEM;SG	ADJ;NOM;NEUT;SG
investigació	výskumy	investigació	výskum	N;FEM;SG	N;INAN;NOM;MASC;PL
escacs	šach	escacs	šach	N;MASC;PL	N;INAN;NOM;MASC;SG
escacs	šachu	escacs	šach	N;MASC;PL	N;INAN;GEN;MASC;SG
publicació	uverejnení	publicació	uverejnenie	N;FEM;SG	N;NOM;NEUT;PL
publicació	uverejniť	publicació	uverejniť	N;FEM;SG	V;PFV;POS;NFIN
construït	postavili	construït	postaviť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
construït	stavali	construït	stavať	ADJ;MASC;SG;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
carta	carta	carta	carta	N;FEM;SG	
foc	oheň	foc	oheň		N;INAN;NOM;MASC;SG
foc	horí	foc	horieť		V;IPFV;IND;SG;3;POS;PRS;FIN
foc	požiar	foc	požiar		N;INAN;NOM;MASC;SG
grècia	grécko	grècia	grécko	ADJ;FEM;SG	N;NOM;NEUT;SG
grècia	grécka	grècia	grécka	ADJ;FEM;SG	N;NOM;NEUT;SG
viatge	trip	viatge	trip	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
carlos	carlosa	carlo	carlos	PROPN	N;ANIM;ACC;MASC;SG
carlos	carlos	carlo	carlos	PROPN	PROPN;ANIM;NOM;MASC;SG
garcía	garcia	garcía	garcia		PROPN;ANIM;NOM;MASC;SG
garcía	garcía	garcía	garcí		N;ANIM;NOM;MASC;SG
àmbit	oblasti	àmbit	oblasť	N;MASC;SG	N;NOM;FEM;PL
àmbit	pôsobnosti	àmbit	pôsobnosť	N;MASC;SG	N;NOM;FEM;PL
sap	sap	saber	sap	V;IND;SG;3;PRS;FIN	
constitució	ústavy	constitució	ústav	N;FEM;SG	N;INAN;NOM;MASC;PL
torres	torres	torre	torres	N;FEM;PL	PROPN;ANIM;NOM;MASC;SG
mur	steny	mur	stena		N;NOM;FEM;PL
mur	múr	mur	múr		N;INAN;NOM;MASC;SG
mur	wall	mur	wall		
mur	stenu	mur	stena		N;ACC;FEM;SG
mur	stene	mur	stena		N;DAT;FEM;SG
mur	stena	mur	stena		N;NOM;FEM;SG
mur	mur	mur	mur		PROPN;INAN;NOM;MASC;SG
animal	zvieratá	animal	zviera	N;SG	N;NOM;NEUT;PL
animal	živočíšne	animal	živočíšny	N;SG	ADJ;NOM;NEUT;SG
animal	zvierat	animal	zviera	N;SG	N;GEN;NEUT;PL
animal	zvieracie	animal	zvierací	N;SG	ADJ;NOM;NEUT;SG
animal	zvieraťa	animal	zviera	N;SG	N;NOM;NEUT;PL
ràdio	rádia	ràdio	rádio	N;FEM;SG	N;NOM;NEUT;PL
pierre	pierre	pierre	pierry		PROPN;ANIM;NOM;MASC;SG
memòria	pamäte	memòria	pamäť		N;NOM;FEM;PL
memòria	pamäť	memòria	pamäť		N;NOM;FEM;SG
memòria	spomienka	memòria	spomienka		N;NOM;FEM;SG
memòria	spomienku	memòria	spomienka		N;ACC;FEM;SG
cara	tvárou	cara	tvár		N;INS;FEM;SG
cara	tvár	cara	tvár		N;NOM;FEM;SG
cara	face	cara	faca		
quart	štvrtá	quart	štvrť		ADJ;NOM;FEM;SG
quart	štvrté	quart	štvrť		ADJ;NOM;NEUT;SG
quart	štvrtý	quart	štvrtý		ADJ;ANIM;NOM;MASC;SG
quart	štvrtého	quart	štvrtý		ADJ;GEN;MASC;SG
actes	koná	acte	kono	N;MASC;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
quilòmetres	míľ	quilòmetre	míľ	N;MASC;PL	N;GEN;FEM;SG
quilòmetres	miles	quilòmetre	miles	N;MASC;PL	PROPN;ANIM;NOM;MASC;SG
inventari	zásob	inventari	zásob	N;MASC;SG	N;GEN;FEM;PL
martin	martina	martar	martina	PROPN	N;ANIM;ACC;MASC;SG
martin	martin	martar	martin	PROPN	PROPN;ANIM;NOM;MASC;SG
blanca	blanca	blanc	blanca	ADJ;FEM;SG	N;ANIM;ACC;MASC;SG
missió	misie	missió	misia	N;FEM;SG	N;NOM;FEM;PL
concepte	koncepcie	concepte	koncepcia	N;MASC;SG	N;NOM;FEM;PL
polítiques	politiky	polític	politika	ADJ;FEM;PL	N;NOM;FEM;PL
polítiques	politík	polític	politík	ADJ;FEM;PL	N;GEN;FEM;PL
rock	skaly	rock	skala	N;MASC;SG	N;NOM;FEM;PL
pràctica	prax	pràctic	prax	ADJ;FEM;SG	N;NOM;FEM;SG
pràctica	praxi	pràctic	prax	ADJ;FEM;SG	N;DAT;FEM;SG
anna	anna	anna	anno		PROPN;NOM;FEM;SG
setmana	tyzden	setmana	tyzden	N;FEM;SG	INTJ
smith	smitha	smit	smitha	PROPN	N;ANIM;ACC;MASC;SG
smith	smith	smit	smith	PROPN	PROPN;ANIM;NOM;MASC;SG
segueix	sledovanie	seguir	sledovanie	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
segueix	follow	seguir	follow	V;IND;SG;3;PRS;FIN	
segueix	sledujte	seguir	sledovať	V;IND;SG;3;PRS;FIN	V;IPFV;IMP;PL;2;POS;FIN
vii	vii	vii	via		NUM
futur	budúca	futur	budúci	ADJ;MASC;SG	N;NOM;FEM;SG
futur	budúcnosti	futur	budúcnosť	ADJ;MASC;SG	N;DAT;FEM;SG
futur	budúcnosť	futur	budúcnosť	ADJ;MASC;SG	N;NOM;FEM;SG
futur	budúce	futur	budúci	ADJ;MASC;SG	N;NOM;NEUT;SG
individual	individuálne	individual	individuálne	ADJ;SG	ADV
individual	jednotlivec	individual	jednotlivec	ADJ;SG	N;ANIM;NOM;MASC;SG
individual	jednotlivca	individual	jednotlivec	ADJ;SG	N;ANIM;ACC;MASC;SG
individual	jednotlivých	individual	jednotlivý	ADJ;SG	ADJ;GEN;MASC;PL
