gestapo	الجستابو	gestapo	جِستَابُو	N;INDF;NEUT;SG	
positioner	المناصب	position	مُنَاصِب	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
positioner	المواقف	position	مَوقِف	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
positioner	المواقع	position	مَوقِع	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
lægen	طبيب	læge	طبيب	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
lægen	دكتور	læge	دُكتُور	N;DEF;MASC+FEM;SG	
lægen	دكتورة	læge	دُكتُورَة	N;DEF;MASC+FEM;SG	
taktik	الاساليب	taktik	أُسلُوب	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
taktik	التكتيكات	taktik	تَكتِيك	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
taktik	التكتيك	taktik	تَكتِيك	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
medina	مدينا	medina	مَدِين		N;ACC;INDF;SG
munden	فم	mund	فَمّ	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
demonstrationer	الاحتجاجات	demonstration	اِحتِجَاج	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
demonstrationer	المظاهرات	demonstration	المظاهرات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
demonstrationer	المظاهرات	demonstration	المظاهرات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
rocky	روكي	rocky	رُوكِي	N;INDF;MASC+FEM;SG	
footballdatabase	footbal	footballdatabase	هُوَ	N;INDF;MASC+FEM;SG	
bemærkede	لوحظ	bemærket	لَاحَظ	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;3;PASS
sorg	الحزن	sorg	حُزن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sorg	حزن	sorg	حُزن	N;INDF;MASC+FEM;SG	
sorg	الحزن	sorg	حُزن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sorg	الحزن	sorg	حُزن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sorg	الحداد	sorg	حِدَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sorg	حداد	sorg	حداد	N;INDF;MASC+FEM;SG	
anseelse	السمعة	anseelse	سُمعَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
smed	الحداد	smide	حِدَاد	V;IND;PST;FIN;ACT	N;NOM;DEF;SG
malere	الرسامين	male	رَسمُون	N;INDF;MASC+FEM;PL	N;ACC;DEF;DU
absolutte	المطلق	absolutte	مُطلَق	ADJ;PL	ADJ;NOM;DEF;MASC;SG
absolutte	مطلقة	absolutte	مُطلَق	ADJ;PL	ADJ;NOM;INDF;FEM;SG
aske	الرماد	aske	رَمَاد	N;INDF;NEUT;SG	N;NOM;DEF;SG
aske	الرماد	aske	رَمَاد	N;INDF;NEUT;SG	N;NOM;DEF;SG
aske	اش	aske	أَش	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
kardinal	الكاردينال	kardinal	كَارِدِينَال	N;INDF;MASC+FEM;SG	
kardinal	كاردينال	kardinal	كاردينال	N;INDF;MASC+FEM;SG	
sår	الجرح	sår	جُرح	N;INDF;NEUT;SG	N;NOM;DEF;SG
sår	جروح	sår	جُرح	N;INDF;NEUT;SG	N;NOM;INDF;PL
sår	الجروح	sår	جُرح	N;INDF;NEUT;SG	N;NOM;DEF;SG
kulturarv	التراث	kulturarv	تُرَاث	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
trine	كيت	trine	كَيت		
trine	كايت	trine	كَاي		
alliancen	تحالف	alliance	تَحَالُف	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
money	فلوس	money	فِلم		
money	نقود	money	نقود		N;NOM;INDF;PL
money	اموال	money	مَال		N;NOM;INDF;PL
money	المال	money	مَال		N;NOM;DEF;SG
money	مال	money	مَال		
knut	كنوت	knut	كَنَات		
udfordringer	التحديات	udfordring	تَحَدِّي	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
leeds	ليدز	leeds	ليدز		
protein	بروتين	protein	برِوتِين	N;INDF;NEUT;SG	N;NOM;INDF;DU
protein	البروتين	protein	بُرُوت	N;INDF;NEUT;SG	N;NOM;DEF;DU
protein	البروتينات	protein	برُوتِينَات	N;INDF;NEUT;SG	N;NOM;DEF;PL
netværket	شبكة	netværk	شَبَكَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
klipper	المنحدرات	klippe	مُنحَدِر	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
klipper	الصخور	klippe	صُخُور	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
roberto	روبرتو	roberto	رُوبِرتُو		
roberto	روبيرتو	roberto	رُوبِيرتُو		
ekspansion	التوسع	ekspansion	تَوَسُّع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ekspansion	التوسيع	ekspansion	تَوسِيع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
genetisk	وراثي	genetisk	وراثي	ADJ;INDF;SG	
tømmer	خشب	tømme	خشب	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
tømmer	الاخشاب	tømme	خَشَب	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
tømmer	الخشب	tømme	خَشَب	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
intellektuelle	المثقفين	intellektuel	مُثَقَّف	ADJ;PL	N;NOM;DEF;PL
intellektuelle	الفكرية	intellektuel	فِكرِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
intellektuelle	فكرية	intellektuel	فِكرِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
hellig	المقدس	hellig	مُقَدَّس	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;SG
hellig	المقدسة	hellig	مُقَدَّس	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
digtere	الشعراء	digter	شَاعِر	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
terminal	طرفية	terminal	طَرَفِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
terminal	الطرفية	terminal	طَرَفِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
berkeley	بيركيلي	berkeley	بِيركِيلِي		
berkeley	بيركلي	berkeley	بيركلي		
indkomst	ايرادات	indkomst	إِيرَاد	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
indkomst	الايرادات	indkomst	إِيرَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
indkomst	دخل	indkomst	دَخَل	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
indkomst	الدخل	indkomst	دَخل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tegneserie	الهزلية	tegneserie	هُزلِيَّة	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
tegneserie	هزلي	tegneserie	هُزَل	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
tegneserie	كرتون	tegneserie	كرتون	N;INDF;MASC+FEM;SG	
bedrifter	المنجزات	bedrifter	مُنَجِّز	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bedrifter	الانجازات	bedrifter	الانجازات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
koalition	الائتلاف	koalition	اِئتِلَاف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
koalition	التحالف	koalition	تَحَالُف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forever	للابد	foreve	للابد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forever	الابد	foreve	الابد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
dynamo	دينامو	dynamo	دِينَامُو	N;INDF;MASC+FEM;SG	
perron	المنصة	perron	مِنَصَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
perron	الرصيف	perron	رَصِيف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
omar	عمر	omar	عمر	PROPN	
blok	بلوك	blok	بَلوَك	N;INDF;MASC+FEM;SG	
klinisk	السريرية	klinisk	سَرِيرِيّ	ADV	
klinisk	سريريا	klinisk	سَرِير	ADV	ADJ;ACC;INDF;MASC;SG
word	الكلمة	word	كَلِمَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
allmusic	allmu	allmusic	allmu	N;INDF;NEUT;SG	
manuskripter	المخطوطات	manuskript	مَخطُوط	N;INDF;NEUT;PL	N;NOM;DEF;PL
koppel	كوبل	koppel	كُوبل	N;INDF;MASC+FEM;SG	
pligt	الواجب	pligt	وَاجِب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
pligt	الالتزام	pligt	اِلتِزَام	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
onsdag	الاربعاء	onsdag	أَربِعَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gult	الاصفر	gult	أَصفَر	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
gult	اصفر	gult	أَصفَر	ADJ;INDF;NEUT;SG	
palme	النخيل	palme	نَخل	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
palme	الكف	palme	كَفّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
frekvens	التردد	frekve	تَرَدُّد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
frekvens	التكرار	frekve	تَكرَر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
opad	الارتقاء	opad	اِرتِقَاء	ADV	N;NOM;DEF;SG
opad	الصاعد	opad	صَاعِد	ADV	N;NOM;DEF;SG
opad	صعود	opad	صُعُود	ADV	N;NOM;INDF;SG
maksimalt	الاقصى	maksimalt	أَقصَى	ADV	N;NOM;DEF;SG
præsidenter	الرئيسان	præsident	رَئِيسَان	N;INDF;MASC+FEM;PL	N;NOM;DEF;DU
præsidenter	الرؤساء	præsident	رَئِيس	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
defensiv	دفاعية	defensiv	دِفَاعِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
defensiv	دفاعي	defensiv	دِفَاعِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
monumenter	الاثار	monument	أَثَر	N;INDF;NEUT;PL	N;NOM;DEF;PL
patienten	مريض	patient	مَرِيض	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
patienten	صبور	patient	صُبُور	N;DEF;MASC+FEM;SG	
hannibal	هانيبال	hannibal	هانيبال	N;INDF;MASC+FEM;SG	
købes	اشتري	købe	أَشتَر	V;IND;PRS;NFIN;PASS	
købes	شراء	købe	شِرَاء	V;IND;PRS;NFIN;PASS	N;NOM;INDF;SG
købes	اشترى	købe	اِشتَرَى	V;IND;PRS;NFIN;PASS	V;PFV;MASC;SG;3;ACT
forbeholdt	محفوظة	forbeholde	مَحفُوظ	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
forbeholdt	محجوز	forbeholde	محجوز	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
forbeholdt	محجوزة	forbeholde	مَحجُوز	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
indvandring	الهجرة	indvandring	هِجرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indvandring	الهجرة	indvandring	هِجرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
derby	الدربي	derby	دَربِيّ	N;INDF;MASC+FEM;SG	
derby	ديربي	derby	ديربي	N;INDF;MASC+FEM;SG	
helte	الابطال	helt	بَطَل	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
salvador	سالفادور	salvador	سالفادور		
salvador	سلفادور	salvador	سلفادور		
duke	ديوك	duke	دَيك		
duke	دوق	duke	دَوق		
isaac	ايزاك	isaac	إِيزَاك		
isaac	اسحاق	isaac	سِحق		
myspace	myspa	myspace	myspa	N;INDF;NEUT;SG	
step	الخطوة	step	خَطوَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
forhandle	التفاوض	forhandle	تَفَاوُض	V;NFIN;ACT	N;NOM;DEF;SG
forhandle	تفاوض	forhandle	تَفَاوُض	V;NFIN;ACT	N;NOM;INDF;SG
forhandle	للتفاوض	forhandle	للتفاوض	V;NFIN;ACT	N;NOM;DEF;SG
forhandle	التفاوض	forhandle	تَفَاوُض	V;NFIN;ACT	N;NOM;DEF;SG
forhandle	تفاوض	forhandle	تَفَاوُض	V;NFIN;ACT	N;NOM;INDF;SG
seværdigheder	الجذب	seværdighed	جَذب	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
seværdigheder	المناظر	seværdighed	مُنَاظِر	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
lis	ليز	lis	ليز		
parterne	حفلات	part	حَفلَة	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
parterne	اطراف	part	طَرَف	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
parterne	احزاب	part	حِزب	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
pour	صب	pour	صَبّ		
indtjening	ارباح	indtjening	رِبح	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
indtjening	الارباح	indtjening	إِربَاح	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
påvirkede	المتضررة	påvirke	مُتَضَرِّر	V;PL;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG
påvirkede	يتاثر	påvirke	تَاثَر	V;PL;PST;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
fejde	العداء	fejde	عَدَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bachelor	البكالوريوس	bachelor	البكالوريوس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bachelor	بكالوريوس	bachelor	بكالوريوس	N;INDF;MASC+FEM;SG	
bachelor	عازب	bachelor	عَازَب	N;INDF;MASC+FEM;SG	
grafik	تصويري	grafik	تصويري	N;INDF;MASC+FEM;SG	
grafik	الفني	grafik	فَنِّيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
grafik	رسومات	grafik	رَسم	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
grafik	الرسومات	grafik	رَسمَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
fantasi	الخيال	fantasi	خِيَال	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
fantasi	الخيال	fantasi	خِيَال	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
mos	موس	mos	موس	N;INDF;MASC+FEM;SG	
farvel	باى	farvel	باى	N;INDF;NEUT;SG	
farvel	باي	farvel	باي	N;INDF;NEUT;SG	
specialiserede	متخصص	specialisere	مُتَخَصِّص	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
specialiserede	متخصصة	specialisere	مُتَخَصِّص	V;PL;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
vandret	افقيا	vandret	أَفقِيّ	V;INDF;SG;PST;V.PTCP	ADJ;ACC;INDF;MASC;SG
vandret	افقي	vandret	أُفقِيّ	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
vandret	افقيا	vandret	أَفقِيّ	V;INDF;SG;PST;V.PTCP	ADJ;ACC;INDF;MASC;SG
vandret	افقية	vandret	افقية	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
homoseksuelle	المثليين	homoseksuel	مُثَلِّي	ADJ;PL	N;NOM;DEF;PL
homoseksuelle	الشواذ	homoseksuel	شَوَاذ	ADJ;PL	N;NOM;DEF;PL
gennemgået	استعرض	gennemgå	اِستَعرَض	V;INDF;SG;PST;V.PTCP	
aluminium	الالومنيوم	aluminium	الالومنيوم	N;INDF;NEUT;SG	
aluminium	الالمنيوم	aluminium	الالمنيوم	N;INDF;NEUT;SG	N;NOM;DEF;SG
aluminium	الالومنيوم	aluminium	الالومنيوم	N;INDF;NEUT;SG	
ukrainsk	الاوكرانية	ukrainsk	الاوكرانية	ADJ;INDF;SG	
ukrainsk	اوكرانيا	ukrainsk	اوكرانيا	ADJ;INDF;SG	
tanzania	التنزانية	tanzania	تَنزَانِيّ		
tanzania	تنزانيا	tanzania	تنزانيا		
tanzania	تنزانيا	tanzania	تنزانيا		
miguel	ميجيل	miguel	ميجيل		
miguel	ميغيل	miguel	مِيغِيل		
rosen	روزين	rose	رُوزِين	N;DEF;MASC+FEM;SG	
rosen	روزن	rose	رُوزن	N;DEF;MASC+FEM;SG	
kollega	زميل	kollega	زَمِيل	N;INDF;MASC+FEM;SG	
udbygning	التوسع	udbygning	تَوَسُّع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
udbygning	التوسيع	udbygning	تَوسِيع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
lokaliteter	المحليات	lokalitet	مَحَلِّيّ	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
lokaliteter	المواقع	lokalitet	مَوقِع	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
lokaliteter	المواقع	lokalitet	مَوقِع	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
clinton	كلينتون	clinton	كلِينتُون		
clinton	كلنتون	clinton	كلنتون		
videoer	الفيديوهات	video	الفيديوهات	N;INDF;NEUT;PL	N;NOM;DEF;PL
bordet	جدول	bord	جَدوَل	N;DEF;NEUT;SG	N;NOM;INDF;SG
uddrag	مقتطفات	uddrag	مُقتَطَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
uddrag	مقتطفات	uddrag	مُقتَطَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
uddrag	الاستخراج	uddrag	اِستِخرَاج	N;INDF;NEUT;SG	N;NOM;DEF;SG
uddrag	استخرج	uddrag	اِستَخرَج	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
uddrag	مقتطفات	uddrag	مُقتَطَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
rimelig	عادل	rimelig	عادل	ADJ;INDF;MASC+FEM;SG	
rimelig	عدل	rimelig	عدل	ADJ;INDF;MASC+FEM;SG	
rimelig	منصف	rimelig	مَنصِف	ADJ;INDF;MASC+FEM;SG	
rimelig	المعقول	rimelig	مَعقُول	ADJ;INDF;MASC+FEM;SG	
ødelæggelse	الدمار	ødelæggelse	دَمَار	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ødelæggelse	التدمير	ødelæggelse	تَدمِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sæder	المقاعد	sæde	مَقعَد	N;INDF;NEUT;PL	N;NOM;DEF;PL
lander	اراضي	land	أَرض	V;IND;PRS;FIN;ACT	N;NOM;INDF;PL
lander	اراض	land	أَرض	V;IND;PRS;FIN;ACT	N;NOM;INDF;PL
lander	الاراضي	land	أَرض	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
lander	الهبوط	land	هُبُوط	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
lander	هبوط	land	هُبُوط	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
lander	ارض	land	ارض	V;IND;PRS;FIN;ACT	
lander	اراض	land	أَرض	V;IND;PRS;FIN;ACT	N;NOM;INDF;PL
lander	الارض	land	أَرض	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
lander	الاراضي	land	أَرض	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
kids	الاولاد	kids	وَلَد	N;INDF;NEUT;SG	N;NOM;DEF;PL
kids	الاطفال	kids	طِفل	N;INDF;NEUT;SG	N;NOM;DEF;PL
kids	اطفال	kids	اطفال	N;INDF;NEUT;SG	
hang	هونغ	hænge	هُونغ	V;IMP	
hang	الشنق	hænge	شَنق	V;IMP	N;NOM;DEF;SG
mai	الماي	mai	مَاي		
mai	ماي	mai	مَاي		
udrustet	مجهزة	udruste	مُجَهَّز	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
udrustet	مجهز	udruste	مَجهَز	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
tænkning	افكر	tænkning	افكر	N;INDF;MASC+FEM;SG	
tænkning	التفكير	tænkning	تَفكِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tænkning	تفكر	tænkning	فَكَّر	N;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;2;FIN;ACT
indretning	ديكور	indretning	ديكور	N;INDF;MASC+FEM;SG	
indretning	الديكور	indretning	الديكور	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indretning	التصميم	indretning	تَصمِيم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indretning	التخطيط	indretning	تَخطِيط	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stabilitet	الاستقرار	stabilitet	اِستِقرَار	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tilhørsforhold	الانتماء	tilhørsforhold	اِنتِمَاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
tilhørsforhold	الانتساب	tilhørsforhold	اِنتِسَاب	N;INDF;NEUT;SG	N;NOM;DEF;SG
tilhørsforhold	القرابة	tilhørsforhold	قُرَابَةَ	N;INDF;NEUT;SG	N;NOM;DEF;SG
village	قرية	villag	قَريَة		N;NOM;INDF;SG
village	القرية	villag	قَريَة		N;NOM;DEF;SG
straffe	الجزاء	straffe	جَزَاء	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
straffe	العقوبة	straffe	عُقُوبَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
straffe	عقوبة	straffe	عُقُوبَة	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
straffe	العقوبات	straffe	عُقُوبَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
straffe	العقاب	straffe	عِقَاب	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
straffe	عقاب	straffe	عَقَاب	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
straffe	العقوبة	straffe	عُقُوبَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
straffe	عقوبة	straffe	عُقُوبَة	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
fladt	مسطح	fladt	مَسطَح	ADV	ADJ;NOM;INDF;MASC;SG
fladt	شقة	fladt	شَقَّة	ADV	N;NOM;INDF;SG
fladt	مسطحة	fladt	مسطحة	ADV	ADJ;NOM;INDF;FEM;SG
raw	الخام	raw	خَام		ADJ;NOM;DEF;MASC;SG
raw	خام	raw	خَام		ADJ;NOM;INDF;MASC;SG
raw	نيئة	raw	نَيئَة		N;NOM;INDF;SG
psykiske	نفسية	psykisk	نَفسِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
psykiske	النفسية	psykisk	النفسية	ADJ;PL	
psykiske	العقلية	psykisk	عَقلِيَّة	ADJ;PL	N;NOM;DEF;SG
psykiske	عقلية	psykisk	عقلية	ADJ;PL	ADJ;NOM;INDF;FEM;SG
georgien	جورجيا	georgi	جُورجِيَا	PROPN	
krigere	المحاربين	krig	مُحَارِب	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
krigere	المحاربون	krig	مُحَارِب	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
krigere	المقاتلين	krig	مُقَاتِل	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
krigere	المقاتلون	krig	مُقَاتِل	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
krigere	المقاتلات	krig	مُقَاتِلَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
jefferson	جيفرسون	jefferson	جيفرسون	N;INDF;MASC+FEM;SG	
jefferson	جيفيرسون	jefferson	جيفيرسون	N;INDF;MASC+FEM;SG	
aps	l	aps	l	N;INDF;NEUT;SG	
francesco	فرانشيسكو	francesco	فرَانشِيسكُو	N;INDF;MASC+FEM;SG	
kommercielt	التجاري	kommercielt	تِجَارِيّ	ADV	ADJ;NOM;DEF;MASC;SG
kommercielt	تجاري	kommercielt	تِجَارِيّ	ADV	ADJ;NOM;INDF;MASC;SG
kommercielt	تجارية	kommercielt	تِجَارِيّ	ADV	ADJ;NOM;INDF;FEM;SG
ørkenen	صحراء	ørken	صَحرَاء	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
værelse	الغرفة	værelse	غُرفَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
monroe	مونرو	monroe	مونرو		
connecticut	كونيتيكت	connecticut	كُونِيتِيكت	N;INDF;MASC+FEM;SG	
gudinde	الهة	gudinde	هَة	N;INDF;MASC+FEM;SG	
gudinde	الالهة	gudinde	أَلَّه	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
frataget	المحرومين	fratag	مَحرُوم	V;INDF;SG;PST;V.PTCP	ADJ;ACC;DEF;MASC;PL
flok	الحشد	flok	حَشد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
flok	القطيع	flok	قَطِيع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
flok	باقة	flok	بَاقّ	N;INDF;MASC+FEM;SG	
produktioner	للانتاج	produktion	للانتاج	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
dawn	داون	dawn	دَان	N;INDF;MASC+FEM;SG	
dawn	الفجر	dawn	فَجر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gennemsnitlig	المتوسط	gennemsnitlig	مُتَوَسِّط	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
mile	ميل	mil	مِيل		
mile	الميل	mil	مِيل		N;NOM;DEF;SG
mile	مايل	mil	مَايِل		
klostre	الاديرة	kloster	دَيرَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
katedralen	كاتدرائية	katedral	كَاتِدرَائِيَّة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
bristol	بريستول	bristol	برِيستُول		
grundstof	العنصر	grundstof	عُنصُر	N;INDF;NEUT;SG	N;NOM;DEF;SG
blokere	كتلة	blok	كُتلَة	V;NFIN;ACT	N;NOM;INDF;SG
blokere	بلوك	blok	بَلوَك	V;NFIN;ACT	
blokere	حظر	blok	حَظر	V;NFIN;ACT	N;NOM;INDF;SG
rimeligt	عادل	rimelig	عادل	ADJ;INDF;NEUT;SG	
rimeligt	عدل	rimelig	عدل	ADJ;INDF;NEUT;SG	
rimeligt	منصف	rimelig	مَنصِف	ADJ;INDF;NEUT;SG	
rimeligt	المعقول	rimelig	مَعقُول	ADJ;INDF;NEUT;SG	
distance	المسافة	distance	مَسَافَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
distance	البعد	distance	بُعد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forberedt	استعداد	forberede	اِستِعدَاد	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
negativt	سلبية	negativt	سَلبِيّ	ADV	ADJ;NOM;INDF;FEM;SG
negativt	سلبي	negativt	سَلبِيّ	ADV	ADJ;NOM;INDF;MASC;SG
negativt	السلبية	negativt	سَلبِيّ	ADV	ADJ;NOM;DEF;FEM;SG
negativt	سالب	negativt	سالب	ADV	N;NOM;INDF;SG
efterladte	الناجين	efterlade	الناجين	V;PL;PST;V.PTCP	N;NOM;DEF;PL
efterladte	الناجون	efterlade	نَاجُون	V;PL;PST;V.PTCP	N;NOM;DEF;PL
kompliceret	مجمع	kompliceret	مَجمَع	ADJ;INDF;SG	N;NOM;INDF;SG
bonus	العلاوة	bonus	عِلَاوَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ghana	غانا	ghana	غَانَا	PROPN	
giuseppe	جيوسيبي	giuseppe	جيوسيبي	N;INDF;MASC+FEM;SG	
giuseppe	جوسيبي	giuseppe	جوسيبي	N;INDF;MASC+FEM;SG	
giuseppe	جوزيبي	giuseppe	جُوزِيبِي	N;INDF;MASC+FEM;SG	
