hugh	hugh	hugh	hugh		
marsilya	marseille	marsilya	marseille	N;NOM;SG;3	
marsilya	marseilles	marsilya	marseil	N;NOM;SG;3	N;GEN;INDF;MASC+FEM;SG
asil	noble	asil	noben		N;INDF;MASC+FEM;SG
asil	ædelt	asil	ædele		ADJ;INDF;NEUT;SG
asil	ædle	asil	gol		ADJ;PL
asil	ædel	asil	ædel		ADJ;INDF;MASC+FEM;SG
asil	nobel	asil	nobel		
sürpriz	overraskelse	sürpriz	overraskelse		N;INDF;MASC+FEM;SG
sürpriz	surprise	sürpriz	surpris		
sürpriz	overraske	sürpriz	overrask		V;NFIN;ACT
hotspur	hotspur	hotspur	hotspur	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
biter	slutter	bit	slutte	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN;ACT
biter	ender	bit	ende	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN;ACT
esnek	fleksibilitet	esnek	fleksibilitet		N;INDF;MASC+FEM;SG
esnek	fleksibelt	esnek	fleksibelt		ADJ;INDF;NEUT;SG
esnek	fleksible	esnek	fleksible		ADJ;PL
esnek	fleksibel	esnek	fleksibel		ADJ;INDF;MASC+FEM;SG
esnek	fleksibiliteten	esnek	fleksibilitet		N;DEF;MASC+FEM;SG
esnek	fleksibilitet	esnek	fleksibilitet		N;INDF;MASC+FEM;SG
esnek	smidighed	esnek	smidighed		N;INDF;MASC+FEM;SG
esnek	elastisk	esnek	elastisk		ADJ;INDF;SG
esnek	elastiske	esnek	elastisk		ADJ;PL
esnek	elastik	esnek	elastik		N;INDF;MASC+FEM;SG
esnek	flex	esnek	flex		N;INDF;NEUT;SG
cameron	cameron	cameron	cameron	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
lopez	lópez	lopez	lópez		
lopez	lopez	lopez	lop		
şikâyet	klagen	şikâyet	klag		N;DEF;MASC+FEM;SG
şikâyet	klage	şikâyet	klag		N;INDF;MASC+FEM;SG
kalıntılar	forbliver	kalıntı	forblive	N;NOM;PL;3	V;IND;PRS;FIN;ACT
kalıntılar	rest	kalıntı	rest	N;NOM;PL;3	N;INDF;MASC+FEM;SG
kalıntılar	ruin	kalıntı	ruin	N;NOM;PL;3	N;INDF;MASC+FEM;SG
günah	synder	günah	synde		N;INDF;MASC+FEM;PL
günah	synd	günah	synd		ADJ
günah	synder	günah	synde		N;INDF;MASC+FEM;PL
mide	maven	mide	mave		N;DEF;MASC+FEM;SG
mide	mave	mide	mave		N;INDF;MASC+FEM;SG
parma	parma	parma	parma	PROPN;NOM;SG;3	
mehdi	mehdi	mehdi	mehdi		PROPN
denizci	søfolk	denizci	søfolk		N;INDF;NEUT;PL
denizci	sømænd	denizci	sømænd		N;INDF;MASC+FEM;PL
denizci	matros	denizci	matros		N;INDF;MASC+FEM;SG
denizci	sømand	denizci	sømand		N;INDF;MASC+FEM;SG
denizci	marinesoldat	denizci	marinesoldat		N;INDF;MASC+FEM;SG
denizci	marine	denizci	marine		N;INDF;MASC+FEM;SG
denizci	matros	denizci	matros		N;INDF;MASC+FEM;SG
denizci	sømand	denizci	sømand		N;INDF;MASC+FEM;SG
rika	rika	rika	rika	PROPN;NOM;SG;3	
ömrü	livscyklus	ömrü	livscyklus		N;INDF;MASC+FEM;SG
joel	joel	joel	joel		
elena	elena	elen	elena		
volga	volga	volga	volga		N;INDF;MASC+FEM;SG
kanatlı	bevingede	kanatlı	bevinget		ADJ;PL
vestfalya	westfalen	vestfalya	westfale	PROPN;NOM;SG;3	N;DEF;MASC+FEM;SG
crystal	krystal	crystal	krystal	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
crystal	crystal	crystal	crystal	PROPN;NOM;SG;3	
julian	julian	julian	julian		
beklenmedik	uventede	bekle	uventet	V;PFV;POT;PL;1;NEG;PST	ADJ;PL
beklenmedik	uforudset	bekle	uforudse	V;PFV;POT;PL;1;NEG;PST	ADJ;INDF;SG
beklenmedik	uventet	bekle	uventet	V;PFV;POT;PL;1;NEG;PST	ADJ;INDF;SG
pasaportu	passet	pasaport	passe	N;ACC;SG;3	V;INDF;SG;PST;V.PTCP
duyarlı	lydhør	duyarlı	lydhør		ADJ;INDF;MASC+FEM;SG
duyarlı	følsomme	duyarlı	følsom		ADJ;PL
duyarlı	følsom	duyarlı	følsom		ADJ;INDF;MASC+FEM;SG
duyarlı	følsomt	duyarlı	følsom		ADJ;INDF;NEUT;SG
şampiyonları	champions	şampiyon	champions	N;NOM;PL;3	N;INDF;MASC+FEM;SG
fritz	fritz	fritz	fritz	PROPN;NOM;SG;3	
etken	factor	etken	factor		N;INDF;MASC+FEM;SG
etken	faktoren	etken	faktor		N;DEF;MASC+FEM;SG
etken	faktor	etken	faktor		N;INDF;MASC+FEM;SG
zincir	lænker	zincir	lænke	N;NOM;SG;3	N;INDF;MASC+FEM;PL
zincir	kæder	zincir	kæde	N;NOM;SG;3	N;INDF;MASC+FEM;PL
zincir	kæder	zincir	kæde	N;NOM;SG;3	N;INDF;MASC+FEM;PL
depo	lager	depo	lage		N;INDF;MASC+FEM;PL
depo	oplag	depo	oplag		N;INDF;NEUT;SG
depo	pakhus	depo	pakhus		N;INDF;NEUT;SG
depo	lageret	depo	lagere		N;DEF;NEUT;SG
depo	oplagring	depo	oplagring		N;INDF;MASC+FEM;SG
depo	lagring	depo	lagring		N;INDF;MASC+FEM;SG
depo	lager	depo	lage		N;INDF;MASC+FEM;PL
depo	opbevaring	depo	opbevaring		N;INDF;MASC+FEM;SG
depo	lager	depo	lage		N;INDF;MASC+FEM;PL
depo	depot	depo	depot		N;INDF;NEUT;SG
nişan	aim	nişan	aim		
nişan	sigt	nişan	sigt		N;INDF;MASC+FEM;SG
nişan	april	nişan	april		N;INDF;MASC+FEM;SG
nişan	engagement	nişan	engagement		N;INDF;NEUT;SG
nişan	interaktion	nişan	interaktion		N;INDF;MASC+FEM;SG
nişan	forlovelse	nişan	forlovelse		N;INDF;MASC+FEM;SG
burton	burton	burton	burton		
stanford	stanford	stanford	stanford	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
hac	pilgrimsrejse	hac	pilgrimsrejse		N;INDF;MASC+FEM;SG
hac	hajj	hac	hajj		N;INDF;MASC+FEM;SG
planlı	planlagte	planlı	planlægge		V;PL;PST;V.PTCP
planlı	planlagt	planlı	planlægge		V;INDF;SG;PST;V.PTCP
planlı	planlagte	planlı	planlægge		V;PL;PST;V.PTCP
planlı	planlagt	planlı	planlægge		V;INDF;SG;PST;V.PTCP
planlı	påtænkt	planlı	påtænke		V;INDF;SG;PST;V.PTCP
çerçeve	rammer	çerçev	ramme	N;NOM;SG;3	V;IND;PRS;FIN;ACT
çerçeve	rammer	çerçev	ramme	N;NOM;SG;3	V;IND;PRS;FIN;ACT
artı	arti	artı	arti		N;INDF;NEUT;SG
artı	plus	artı	plus		N;INDF;MASC+FEM;SG
protokol	protokollen	protokol	protokol		N;DEF;MASC+FEM;SG
protokol	protokol	protokol	protokol		N;INDF;MASC+FEM;SG
edinburgh	edinburgh	edinburgh	edinburgh	PROPN;NOM;SG;3	PROPN
tanımlama	definition	tanımla	definition	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
tanımlama	identificering	tanımla	identificering	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
tanımlama	identifikation	tanımla	identifikation	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
tanımlama	beskrivelse	tanımla	beskrivelse	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
tanımlama	karakteristik	tanımla	karakteristik	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
tanımlama	karakterisering	tanımla	karakterisering	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
rovers	rovers	rovers	rove		N;GEN;INDF;MASC+FEM;PL
yatan	æglæggende	yat	æglægge		ADJ
disiplin	disciplinære	dis	disciplinær	N;NOM;SG;3	ADJ;PL
tutulması	eclipse	tut	eclips	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
jedi	jedi	jedi	jedi		N;INDF;MASC+FEM;SG
torres	torres	torres	tor	PROPN;NOM;SG;3	N;GEN;INDF;MASC+FEM;SG
kompleks	kompliceret	kompleks	kompliceret		ADJ;INDF;SG
kompleks	indviklet	kompleks	indviklet		ADJ;INDF;SG
kompleks	komplekse	kompleks	komplekse		ADJ;PL
kompleks	kompleks	kompleks	kompleks		ADJ;INDF;SG
kompleks	komplekst	kompleks	komplekst		ADJ;INDF;NEUT;SG
lazio	lazio	lazio	lazio	PROPN;NOM;SG;3	
nevada	nevada	neva	nevada	PROPN;NOM;SG;3	
eskimo	eskimoer	eskimo	eskimo		N;INDF;MASC+FEM;PL
eskimo	eskimo	eskimo	eskimo		N;INDF;MASC+FEM;SG
eskimo	inuit	eskimo	inuit		N;INDF;NEUT;SG
ekvador	ecuador	ekvador	ecuador	PROPN;NOM;SG;3	
çeşitlilik	sort	çeşitlilik	sort	N;NOM;SG;3	ADJ;INDF;SG
barselona	barcelona	barselon	barcelona	PROPN;NOM;SG;3	
çekilmesi	inddragelse	çek	inddragelse	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;MASC+FEM;SG
çekilmesi	tilbagetrækning	çek	tilbagetrækning	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;MASC+FEM;SG
çekilmesi	udtræden	çek	udtræden	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;MASC+FEM;SG
honda	honda	hon	honda	N;NOM;SG;3	
fosil	fossiler	fosil	fossil		N;INDF;MASC+FEM;PL
fosil	fossile	fosil	fossile		N;INDF;MASC+FEM;PL
fosil	fossilt	fosil	fossille		N;INDF;NEUT;SG
fosil	fossil	fosil	fossil		N;INDF;NEUT;SG
hüsrev	khosrau	hüsrev	khosrau		N;INDF;MASC+FEM;SG
tevrat	torah	tevrat	torah		
silindir	cylinder	sil	cylinde	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC+FEM;SG
silindir	flaske	sil	flaske	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC+FEM;SG
silindir	cylinderen	sil	cylinder	V;PFV;IND;SG;3;POS;PST;PASS	N;DEF;MASC+FEM;SG
silindir	cylindre	sil	cylindre	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC+FEM;PL
silindir	flasker	sil	flaske	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC+FEM;PL
market	markedet	market	marked		N;DEF;NEUT;SG
market	market	market	mark		
market	marked	market	marked		N;INDF;NEUT;SG
milas	milas	milas	milas	PROPN;NOM;SG;3	
chi	chi	chi	chi		
nitelikli	kvalificeret	nitelikli	kvalificere		V;INDF;SG;PST;V.PTCP
azalır	aftager	azal	aftage	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN;ACT
nbc	nbc	nbc	nbc		N;INDF;MASC+FEM;SG
milyonlarca	millioner	milyonlarca	million	NUM	N;INDF;MASC+FEM;PL
dâhil	omfattet	dâhil	omfatte		N;DEF;NEUT;SG
dâhil	inkluderet	dâhil	inkludere		V;INDF;SG;PST;V.PTCP
dâhil	omfattede	dâhil	omfatte		V;IND;PST;FIN;ACT
dâhil	inkluderede	dâhil	inkludere		V;PL;PST;V.PTCP
dâhil	medtaget	dâhil	medtage		V;INDF;SG;PST;V.PTCP
savcı	anklagemyndighed	savcı	anklagemyndighed		N;INDF;MASC+FEM;SG
savcı	anklager	savcı	anklage		N;INDF;MASC+FEM;PL
savcı	anklagemyndigheden	savcı	anklagemyndighed		N;DEF;MASC+FEM;SG
savcı	anklageren	savcı	anklager		N;DEF;MASC+FEM;SG
winter	vinteren	winte	vinter	PROPN;NOM;SG;3	N;DEF;MASC+FEM;SG
winter	winter	winte	winter	PROPN;NOM;SG;3	
winter	vinter	winte	vinter	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
israilli	israelske	israilli	israelsk		ADJ;PL
israilli	israelsk	israilli	israelsk		ADJ;INDF;SG
israilli	israelere	israilli	israelere		N;INDF;MASC+FEM;PL
iade	tilbagebetaling	iade	tilbagebetaling		N;INDF;MASC+FEM;SG
iade	restitution	iade	restitution		N;INDF;MASC+FEM;SG
iade	returnerer	iade	returnere		V;IND;PRS;FIN;ACT
iade	afkast	iade	afkast		N;INDF;NEUT;SG
iade	retur	iade	retur		N;INDF;MASC+FEM;SG
iade	returnere	iade	returnere		V;NFIN;ACT
iade	afkast	iade	afkast		N;INDF;NEUT;SG
iade	udlevering	iade	udlevering		N;INDF;MASC+FEM;SG
sola	venstre	sola	venstre		ADJ
yükselir	stiger	yüksel	stige	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN;ACT
maggie	maggie	maggie	maggie		N;INDF;MASC+FEM;SG
bıçak	klinge	bıçak	klinge		N;INDF;MASC+FEM;SG
bıçak	blade	bıçak	blad		N;INDF;NEUT;PL
bıçak	blad	bıçak	blad		N;INDF;NEUT;SG
bıçak	knive	bıçak	knive		N;INDF;MASC+FEM;PL
bıçak	kniven	bıçak	kniv		N;DEF;MASC+FEM;SG
bıçak	kniv	bıçak	kniv		N;INDF;MASC+FEM;SG
nikola	nicola	nikol	nicola		
nikola	nikola	nikol	nikola		
kaldırmak	fjerne	kal	fjerne	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V;NFIN;ACT
kaldırmak	fjernelse	kal	fjernelse	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;INDF;MASC+FEM;SG
kaldırmak	fjerner	kal	fjerne	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V;IND;PRS;FIN;ACT
kaldırmak	løfte	kal	løfte	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V;NFIN;ACT
kaldırmak	løft	kal	løft	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;INDF;NEUT;SG
desteklenen	bakket	destekle	bakke	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
desteklenen	støttede	destekle	støtte	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PST;FIN;ACT
desteklenen	understøttet	destekle	understøtte	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
desteklenen	støttet	destekle	støtte	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
desteklenen	understøttede	destekle	understøttet	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PL;PST;V.PTCP
nietzsche	nietzsche	nietzsche	nietzsche		N;INDF;MASC+FEM;SG
ntv	ntv	itv	ntv		
komut	kommandoer	komut	kommando		N;INDF;MASC+FEM;PL
komut	kommandoen	komut	kommando		N;DEF;MASC+FEM;SG
komut	command	komut	command		
komut	kommando	komut	kommando		N;INDF;MASC+FEM;SG
kayalık	rocky	kayalık	rocky		N;INDF;MASC+FEM;SG
görüşme	interview	görüşme	interview		N;INDF;NEUT;SG
görüşme	jobsamtale	görüşme	jobsamtale		N;INDF;MASC+FEM;SG
görüşme	interviewet	görüşme	interviewet		N;DEF;NEUT;SG
statik	statisk	statik	statisk		ADJ;INDF;SG
statik	statiske	statik	statisk		ADJ;PL
lima	lima	lima	lima	PROPN;NOM;SG;3	
baltimore	baltimore	baltimore	baltimor	PROPN;NOM;SG;3	
pazarı	market	pazar	mark	N;ACC;SG;3	
diferansiyel	differentieret	diferansiyel	differentiere	N;NOM;SG;3	V;INDF;SG;PST;V.PTCP
aydınlık	tænd	aydınlık	tænd	N;NOM;SG;3	V;IMP
aydınlık	light	aydınlık	light	N;NOM;SG;3	
aydınlık	let	aydınlık	let	N;NOM;SG;3	ADJ;INDF;SG
aydınlık	lyse	aydınlık	lyse	N;NOM;SG;3	ADJ;PL
ine	ine	in	ine		NUM
felix	felix	felix	felix		
neolitik	neolitisk	neolitik	neolitisk		ADJ;INDF;SG
maryland	maryland	marylan	maryland	PROPN;NOM;SG;3	
glory	hæder	glory	hæde		N;INDF;MASC+FEM;SG
glory	herlighed	glory	herlighed		N;INDF;MASC+FEM;SG
glory	ære	glory	ære		N;INDF;MASC+FEM;SG
glory	pragt	glory	pragt		N;INDF;MASC+FEM;SG
sorar	spørger	sor	spørge		V;IND;PRS;FIN;ACT
brad	brad	brad	brad		
randy	randy	randy	randy		PROPN
kilit	låse	kilit	låse		V;NFIN;ACT
kilit	lås	kilit	lås		N;INDF;MASC+FEM;SG
kilit	låser	kilit	låse		V;IND;PRS;FIN;ACT
kilit	låser	kilit	låse		V;IND;PRS;FIN;ACT
kilit	låse	kilit	låse		V;NFIN;ACT
kıdemli	anciennitet	kıdemli	anciennitet		N;INDF;MASC+FEM;SG
kıdemli	senior	kıdemli	senior		N;INDF;MASC+FEM;SG
kıdemli	højtstående	kıdemli	højtstående		ADJ
sektörü	sektor	sektör	sektor		N;INDF;MASC+FEM;SG
sektörü	sektoren	sektör	sektor		N;DEF;MASC+FEM;SG
igor	igor	igor	igor		
miles	miles	miles	mile		N;GEN;INDF;MASC+FEM;SG
miles	kilometer	miles	kilometer		N;INDF;MASC+FEM;PL
miles	km	miles	kilometer		N;INDF;MASC+FEM;PL
miles	mil	miles	mil		N;INDF;MASC+FEM;SG
tecrübeli	erfaren	tecrübeli	erfare		ADJ;INDF;MASC+FEM;SG
tecrübeli	oplevet	tecrübeli	opleve		V;INDF;SG;PST;V.PTCP
tecrübeli	oplevede	tecrübeli	opleve		V;IND;PST;FIN;ACT
tecrübeli	opleves	tecrübeli	opleve		V;NFIN;PASS
borç	gæld	borç	gæld		N;INDF;MASC+FEM;SG
borç	låne	borç	lån		V;NFIN;ACT
borç	lån	borç	lån		N;INDF;NEUT;PL
borç	lånet	borç	lån		N;DEF;NEUT;SG
borç	gælden	borç	gælde		N;DEF;MASC+FEM;SG
borç	gæld	borç	gæld		N;INDF;MASC+FEM;SG
yönetmenlik	instruerer	yönetmenlik	instruere	N;NOM;SG;3	V;IND;PRS;FIN;ACT
yönetmenlik	instruere	yönetmenlik	instruere	N;NOM;SG;3	V;NFIN;ACT
çekme	slæbe	çek	slæbe		V;NFIN;ACT
çekme	trækkende	çek	trække		V;PRS;V.PTCP
çekme	slæb	çek	slæb		N;INDF;NEUT;SG
viktor	viktor	viktor	viktor		N;INDF;MASC+FEM;SG
sincan	xinjiang	sincan	xinjiang	PROPN;NOM;SG;3	
claire	claire	claire	claire		N;INDF;MASC+FEM;SG
étienne	étienne	üt	ktie		
spurs	sporer	spurs	spore	PROPN;NOM;SG;3	V;IND;PRS;FIN;ACT
spurs	spurs	spurs	spurs	PROPN;NOM;SG;3	
çifti	pair	çift	pair	ADJ;NOM;SG;3	N;INDF;MASC+FEM;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;INDF;NEUT;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;INDF;NEUT;SG
tanık	vidner	tanık	vidne		N;INDF;NEUT;PL
tanık	vidnerne	tanık	vidne		N;DEF;NEUT;PL
tanık	vidnet	tanık	vidne		V;INDF;SG;PST;V.PTCP
tanık	vidne	tanık	vidne		N;INDF;NEUT;SG
tanık	vidner	tanık	vidne		N;INDF;NEUT;PL
hafız	hafiz	hafız	hafiz		
belarus	belarus	belarus	belarus	PROPN;NOM;SG;3	
belarus	hviderusland	belarus	hviderusland	PROPN;NOM;SG;3	N;INDF;NEUT;SG
periyodik	periodiske	periyodik	periodisk		ADJ;PL
periyodik	periodisk	periyodik	periodisk		ADV
periyodik	periodiske	periyodik	periodisk		ADJ;PL
periyodik	periodisk	periyodik	periodisk		ADV
çömlek	keramik	çömlek	keramik		N;INDF;NEUT;SG
diziler	arrays	dizi	array	N;NOM;PL;3	N;INDF;MASC+FEM;SG
asistanı	assisterende	asistan	assistere	N;ACC;SG;3	V;PRS;V.PTCP
falcon	falk	falcon	falk		
falcon	falcon	falcon	falcon		
falcon	falken	falcon	falk		
jamie	jamie	jamie	jamie		
boğa	taurus	boğa	taurus		
boğa	bull	boğa	bull		N;INDF;MASC+FEM;SG
oranları	satser	oran	satse	N;ACC;PL;3	V;IND;PRS;FIN;ACT
oranları	nøgletal	oran	nøgletal	N;ACC;PL;3	N;INDF;MASC+FEM;SG
norveçli	norsk	norveçli	norsk		N;INDF;NEUT;SG
norveçli	norges	norveçli	norgen		N;GEN;INDF;MASC+FEM;SG
norveçli	norske	norveçli	norsk		ADJ;PL
mutfak	gastronomi	mutfak	gastronomi		N;INDF;MASC+FEM;SG
mutfak	køkken	mutfak	køkke		N;INDF;NEUT;SG
mutfak	køkken	mutfak	køkke		N;INDF;NEUT;SG
mutfak	køkkenet	mutfak	køkken		N;DEF;NEUT;SG
eleştirmen	kritiker	eleştir	kritik		N;INDF;MASC+FEM;SG
gilbert	gilbert	gilbert	gilbert		N;INDF;MASC+FEM;SG
spartak	spartak	spartak	spartak		
carolina	carolina	carol	carolina	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
janet	janet	janet	jane		
okumak	læs	oku	læs	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IMP
okumak	læst	oku	læse	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;INDF;SG;PST;V.PTCP
okumak	læsning	oku	læsning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
okumak	aflæsning	oku	aflæsning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
ural	ural	ural	ural		
sembol	symbol	sembol	symbol		N;INDF;NEUT;SG
sembol	symbolet	sembol	symbol		N;DEF;NEUT;SG
sembol	sparre	sembol	sparre		V;NFIN;ACT
sembol	spærre	sembol	spær		V;NFIN;ACT
sembol	vinkel	sembol	vinkel		N;INDF;MASC+FEM;SG
christina	christina	christin	christina	PROPN;DAT;SG;3	N;INDF;MASC+FEM;SG
barbaros	barbaros	barbaros	barbaros		N;INDF;NEUT;SG
mesih	messias	mesih	messias		N;INDF;MASC+FEM;SG
keşfi	opdagelser	keşif	opdagelse		N;INDF;MASC+FEM;PL
keşfi	opdagelse	keşif	opdagelse		N;INDF;MASC+FEM;SG
keşfi	discovery	keşif	discovery		
chaplin	chaplin	chaplin	chaplin		N;INDF;MASC+FEM;SG
tay	colt	tay	colt		N;INDF;MASC+FEM;SG
tay	tay	tay	tay		
johan	johan	johan	johan		
olivier	olivier	olivier	olivium		N;INDF;MASC+FEM;SG
çete	slænget	çete	slænge		N;DEF;NEUT;SG
çete	banden	çete	band		N;DEF;MASC+FEM;SG
çete	bande	çete	bande		N;INDF;MASC+FEM;SG
foster	foster	foster	foste	PROPN;NOM;SG;3	N;INDF;MASC+FEM;PL
fotoğrafçı	fotograf	fotoğrafçı	fotograf		N;INDF;MASC+FEM;SG
fotoğrafçı	fotografen	fotoğrafçı	fotograf		N;DEF;MASC+FEM;SG
grönland	grønland	grönla	grønland		N;INDF;NEUT;SG
grönland	grønlands	grönla	grønlands		N;GEN;INDF;MASC+FEM;SG
grönland	grønlandske	grönla	grønlandsk		ADJ;PL
soykırım	folkedrabet	soykırım	folkedrab		N;DEF;NEUT;SG
soykırım	folkedrab	soykırım	folkedrab		N;INDF;NEUT;SG
soykırım	folkemord	soykırım	folkemord		N;INDF;NEUT;SG
soykırım	holocaust	soykırım	holocaust		N;INDF;MASC+FEM;SG
ibm	ibm	ibm	ibm		N;INDF;MASC+FEM;SG
faith	faith	faith	faith		
faith	troen	faith	tro		N;DEF;MASC+FEM;SG
faith	tro	faith	tro		V;NFIN;ACT
key	nøglen	key	nøgle		N;DEF;MASC+FEM;SG
key	tast	key	taste		V;IMP
key	nøgle	key	nøgen		N;INDF;MASC+FEM;SG
peri	nymfe	peri	nymfe		N;INDF;MASC+FEM;SG
peri	feen	peri	feen		N;INDF;MASC+FEM;SG
peri	fe	peri	fe		PROPN
çizim	skitse	çiz	skitse		N;INDF;MASC+FEM;SG
çizim	tegning	çiz	tegning		N;INDF;MASC+FEM;SG
çizim	tegner	çiz	tegne		V;IND;PRS;FIN;ACT
çizim	tegne	çiz	tegne		V;NFIN;ACT
çizim	trækning	çiz	trækning		N;INDF;MASC+FEM;SG
ihracat	eksport	ihracat	eksport		N;INDF;MASC+FEM;SG
ihracat	eksporten	ihracat	eksport		N;DEF;MASC+FEM;SG
ihracat	udførsel	ihracat	udførsel		N;INDF;MASC+FEM;SG
ihracat	eksport	ihracat	eksport		N;INDF;MASC+FEM;SG
ihracat	eksportere	ihracat	eksportere		V;NFIN;ACT
ihracat	udførsel	ihracat	udførsel		N;INDF;MASC+FEM;SG
shane	shane	shane	shane		N;INDF;MASC+FEM;SG
simetrik	symmetrisk	simetrik	symmetrisk		ADJ;INDF;SG
simetrik	symmetriske	simetrik	symmetrisk		ADJ;PL
infaz	henrettet	infaz	henrette		V;INDF;SG;PST;V.PTCP
infaz	henrettede	infaz	henrettet		V;PST;V.PTCP;ACT
infaz	gennemførelse	infaz	gennemførelse		N;INDF;MASC+FEM;SG
infaz	fuldbyrdelse	infaz	fuldbyrdelse		N;INDF;MASC+FEM;SG
infaz	udførelse	infaz	udførelse		N;INDF;MASC+FEM;SG
infaz	henrettelse	infaz	henrettelse		N;INDF;MASC+FEM;SG
infaz	henrettelser	infaz	henrettelse		N;INDF;MASC+FEM;PL
yüzük	ring	yüzük	ring	N;NOM;SG;3	V;IMP
yüzük	ringe	yüzük	ringe	N;NOM;SG;3	V;NFIN;ACT
yüzük	ringe	yüzük	ringe	N;NOM;SG;3	V;NFIN;ACT
deneyimi	erfaringer	deney	erfaring	N;ACC;SG;3	N;INDF;MASC+FEM;PL
deneyimi	oplev	deney	opleve	N;ACC;SG;3	V;IMP
genişleme	udvidelse	genişle	udvidelse	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
genişleme	udvidelsen	genişle	udvidelse	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;MASC+FEM;SG
genişleme	udvidelse	genişle	udvidelse	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
genişleme	udbygning	genişle	udbygning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
genişleme	ekspansion	genişle	ekspansion	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
tekke	tekke	tekke	tekke		
bağlanmış	vedføjet	bağla	vedføjet	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	forbundne	bağla	forbundne	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;PL;PST;V.PTCP
bağlanmış	forbundet	bağla	forbund	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	forbundet	bağla	forbund	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	bundne	bağla	bundne	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;PL;PST;V.PTCP
bağlanmış	bundne	bağla	bundne	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;PL;PST;V.PTCP
aramaya	søgning	ara	søgning	V;PFV;DAT;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
yanlışlıkla	fejlagtigt	yanlışlık	fejlagtigt	N;INS;SG;3	ADV
lezbiyen	lesbiske	lezbiyen	lesbisk		ADJ;PL
lezbiyen	lesbisk	lezbiyen	lesbisk		ADJ;INDF;SG
lezbiyen	lesbiske	lezbiyen	lesbisk		ADJ;PL
tutsak	fangen	tutsak	fange		N;DEF;MASC+FEM;SG
tutsak	fange	tutsak	fange		V;NFIN;ACT
