और	och	और	och		CONJ
जनता	offentligt	जनता	offentlig	N;NOM;FEM;SG;3	ADV
जनता	offentlig	जनता	offentlig	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
विस्तार	förlängningar	विस्तार	förlängning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
विस्तार	utvidgningar	विस्तार	utvidgning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
विस्तार	utökningar	विस्तार	utökning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
विस्तार	utvidga	विस्तार	utvidga	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
विस्तार	utöka	विस्तार	utöka	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
विस्तार	expandera	विस्तार	expandera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
पूरे	hel	पूरा	hel	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
पूरे	hela	पूरा	hel	ADJ;MASC;PL	ADJ;NOM;DEF;SG
द्वितीय	sekund	द्वितीय	sekund	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
द्वितीय	andra	द्वितीय	annan	PROPN;NOM;MASC;SG;3	PRO;INDF;PL
व्यक्तिगत	individuellt	व्यक्तिगत	individuell	ADJ	ADV
व्यक्तिगत	individ	व्यक्तिगत	individ	ADJ	N;NOM;INDF;MASC+FEM;SG
व्यक्तिगत	individualism	व्यक्तिगत	individualism	ADJ	N;NOM;INDF;MASC+FEM;SG
मेल	posta	मेल	posta	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
दूसरा	sekund	दूसरा	sekund	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
दूसरा	andra	दूसरा	annan	ADJ;NOM;MASC;SG	PRO;INDF;PL
यूरोप	eu	यूरोप	eu	PROPN;NOM;MASC;SG;3	PROPN;NOM
यूरोप	europe	यूरोप	europe	PROPN;NOM;MASC;SG;3	N;NOM
यूरोप	europa	यूरोप	europa	PROPN;NOM;MASC;SG;3	PROPN;NOM
शुरुआत	börjar	शुरुआत	börja	N;NOM;FEM;SG;3	V;IND;PRS;FIN;ACT
निर्मित	byggde	निर्मित	bygga	ADJ	V;IND;PST;FIN;ACT
निर्मित	skapade	निर्मित	skapa	ADJ	V;IND;PST;FIN;ACT
निर्मित	skapats	निर्मित	skapa	ADJ	V;V.CVB;PASS
निर्मित	skapades	निर्मित	skapa	ADJ	V;IND;PST;FIN;PASS
सामग्री	materiellt	सामग्री	materiell	N;NOM;FEM;SG;3	ADJ;NOM;INDF;NEUT;SG
घटनाएँ	evenemang	घटना	evenemang	N;NOM;FEM;PL;3	N;NOM;INDF;NEUT;SG
ली	lee	ले	lee	V;PFV;FEM;SG;V.PTCP;ACT	PROPN;NOM
वैज्ञानिक	vetenskapsman	वैज्ञानिक	vetenskapsman	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
वैज्ञानिक	vetenskapligt	वैज्ञानिक	vetenskaplig	N;NOM;MASC;PL;3	ADJ;NOM;INDF;NEUT;SG
वैज्ञानिक	vetenskapliga	वैज्ञानिक	vetenskaplig	N;NOM;MASC;PL;3	ADJ;NOM;PL
वैज्ञानिक	vetenskaplig	वैज्ञानिक	vetenskaplig	N;NOM;MASC;PL;3	ADJ;NOM;INDF;MASC+FEM;SG
वैज्ञानिक	vetenskapsmän	वैज्ञानिक	vetenskapsman	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
कुमार	kumar	कुमार	kumma	PROPN;NOM;MASC;SG;3	PROPN;NOM
उद्देश्य	syften	उद्देश्य	syfte	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
उद्देश्य	målsättningar	उद्देश्य	målsättning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
उद्देश्य	syften	उद्देश्य	syfte	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
उद्देश्य	sikta	उद्देश्य	sikta	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
उद्देश्य	objektivt	उद्देश्य	objektiv	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
प्रस्तुत	presenteras	प्रस्तुत	presentera	ADJ	V;IND;PRS;FIN;PASS
सर्वश्रेष्ठ	bästa	सर्वश्रेष्ठ	bra	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;RL
सर्वश्रेष्ठ	bäst	सर्वश्रेष्ठ	bra	PROPN;NOM;MASC;SG;3	ADV;RL
केंद्र	centrum	केंद्र	centrum	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
केंद्र	center	केंद्र	cent	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
केंद्र	mitten	केंद्र	mitt	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
केंद्र	centrumet	केंद्र	centrum	PROPN;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
केंद्र	centrum	केंद्र	centrum	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
केंद्र	centre	केंद्र	cena	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
यही	prejudikat	यह	prejudika	PRO;NOM;SG;3	N;NOM;INDF;NEUT;SG
सामने	front	सामने	front	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सामने	främre	सामने	främra	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR
सामने	framsidan	सामने	framsida	ADV;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
सामने	framsida	सामने	framsida	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
ठीक	okej	ठीक	okej	PART	INTJ
ठीक	fine	ठीक	få	PART	N;NOM;INDF;MASC+FEM;SG
रेल	järnvägar	रेल	järnväg	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
रेल	tågen	रेल	tågen	N;NOM;FEM;SG;3	N;NOM;DEF;NEUT;PL
दिए	givet	दे	giv	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
दिए	given	दे	given	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
दिए	givna	दे	givna	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;PL;PST;V.PTCP
पदार्थ	materiellt	पदार्थ	materiell	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
तथ्य	fakta	तथ्य	faktum	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
तथ्य	fakta	तथ्य	faktum	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
लाभ	fördelar	लाभ	fördel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
लाभ	förmåner	लाभ	förmån	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
लाभ	fördelar	लाभ	fördel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
लाभ	fördelar	लाभ	fördel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
सदस्यों	medlemmars	सदस्य	medlem	N;ACC;MASC;PL;3	N;GEN;INDF;MASC+FEM;PL
सदस्यों	medlemmarna	सदस्य	medlem	N;ACC;MASC;PL;3	N;NOM;DEF;MASC+FEM;PL
सदस्यों	medlemmar	सदस्य	medlem	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
सदस्यों	ledamöter	सदस्य	ledamot	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
देवी	gudinna	देवी	gudinn	PROPN;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
देवी	gudinnan	देवी	gudinna	PROPN;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
देवी	devi	देवी	devi	PROPN;NOM;FEM;SG;3	PROPN;NOM
भूमि	landa	भूमि	landa	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
व्यापक	uttömmande	व्यापक	uttömmande	PROPN;NOM;SG;3	ADJ;NOM;PRS;V.PTCP
व्यापक	omfattande	व्यापक	omfattande	PROPN;NOM;SG;3	ADJ;NOM;PRS;V.PTCP
व्यापक	heltäckande	व्यापक	heltäckande	PROPN;NOM;SG;3	ADJ;NOM;PRS;V.PTCP
व्यापक	utarbeta	व्यापक	utarbeta	PROPN;NOM;SG;3	V;IMP;FIN;ACT
व्यापक	breda	व्यापक	bred	PROPN;NOM;SG;3	ADJ;NOM;PL
व्यापक	bred	व्यापक	bred	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
व्यापक	brett	व्यापक	bred	PROPN;NOM;SG;3	ADJ;NOM;INDF;NEUT;SG
व्यापक	wide	व्यापक	wide	PROPN;NOM;SG;3	N;NOM;INDF;NEUT;SG
व्यापक	breda	व्यापक	bred	PROPN;NOM;SG;3	ADJ;NOM;PL
व्यापक	bred	व्यापक	bred	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
व्यापक	brett	व्यापक	bred	PROPN;NOM;SG;3	ADJ;NOM;INDF;NEUT;SG
किमी	mph	किमी	mph	N;NOM;MASC;SG;3	PROPN;NOM
प्रबंधन	hantera	प्रबंधन	hantera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
परीक्षण	testa	परीक्षण	testa	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
परीक्षण	testar	परीक्षण	testa	N;NOM;MASC;SG;3	V;IMP;PRS;FIN;ACT
परीक्षण	tester	परीक्षण	test	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
परीक्षण	testa	परीक्षण	testa	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
परीक्षण	testar	परीक्षण	testa	N;NOM;MASC;SG;3	V;IMP;PRS;FIN;ACT
अनुसंधान	forska	अनुसंधान	forsk	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
आन्ध्र	andhra	आन्ध्र	andhra	PROPN;NOM;MASC;SG;3	PROPN;NOM
गीत	låten	गीत	låt	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;SG
गीत	sång	गीत	sång	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
गीत	song	गीत	song	N;NOM;MASC;PL;3	PROPN;NOM
गणना	greve	गणना	grev	N;NOM;FEM;SG;3	PROPN;NOM
गणना	räkna	गणना	räkna	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
गणना	beräknat	गणना	beräkna	N;NOM;FEM;SG;3	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
गणना	beräknade	गणना	beräkna	N;NOM;FEM;SG;3	ADJ;NOM;PL;PST;V.PTCP
गणना	beräknas	गणना	beräkna	N;NOM;FEM;SG;3	V;IND;PRS;FIN;PASS
गणना	beräknad	गणना	beräkna	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
गणना	beräkna	गणना	beräkna	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
निम्न	låga	निम्न	låg		ADJ;NOM;PL
निम्न	lågt	निम्न	låg		ADJ;NOM;INDF;NEUT;SG
निम्न	low	निम्न	low		N;NOM;INDF;MASC+FEM;SG
निम्न	låg	निम्न	låg		INTJ
खोज	sökningar	खोज	sökning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
खोज	sök	खोज	sök	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
खोज	söka	खोज	söka	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
खोज	upptäck	खोज	upptäck	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
खोज	upptäcker	खोज	upptäcka	N;NOM;FEM;SG;3	V;IND;PRS;FIN;ACT
खोज	upptäcka	खोज	upptäcka	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
खोज	upptäckt	खोज	upptäcka	N;NOM;FEM;SG;3	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
खोज	upptäckter	खोज	upptäckt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
सांस्कृतिक	human	सांस्कृतिक	huma	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
जाति	genrer	जाति	genre	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
जाति	tävla	जाति	tävla	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
व्यवहार	beteenden	व्यवहार	beteende	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
व्यवहार	beteenden	व्यवहार	beteende	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
व्यवहार	beteenden	व्यवहार	beteende	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
योगदान	bidra	योगदान	bidra	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
सही	perfect	सही	perfect	ADJ	N;NOM;INDF;NEUT;SG
सही	höger	सही	höger	ADJ	N;NOM;INDF;MASC+FEM;SG
सही	rätt	सही	rätt	ADJ	N;NOM;INDF;MASC+FEM;SG
सही	sanna	सही	sanna	ADJ	N;NOM;INDF;MASC+FEM;SG
सही	sant	सही	sant	ADJ	N;NOM;INDF;NEUT;SG
सही	true	सही	true	ADJ	N;NOM;INDF;NEUT;SG
सही	korrigera	सही	korrigera	ADJ	V;IMP;FIN;ACT
सही	rätta	सही	rätta	ADJ	N;MASC+FEM
सही	rätt	सही	rätt	ADJ	N;NOM;INDF;MASC+FEM;SG
पुरुष	karlar	पुरुष	karla	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
पुरुष	män	पुरुष	man	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
पुरुष	manliga	पुरुष	manlig	N;NOM;MASC;SG;3	ADJ;NOM;PL
पुरुष	manligt	पुरुष	manlig	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
पुरुष	man	पुरुष	man	N;NOM;MASC;SG;3	PRO;NOM;INDF;MASC+FEM;SG
मिल	kvarn	मिल	kvarn	V;ACT	N;NOM;INDF;MASC+FEM;SG
मिल	mill	मिल	mill	V;ACT	PROPN;NOM
मिल	kvarnen	मिल	kvarn	V;ACT	N;NOM;DEF;MASC+FEM;SG
संबंधी	relativt	संबंधी	relativt	ADJ	ADV
संबंधी	släkting	संबंधी	släkting	ADJ	N;NOM;INDF;MASC+FEM;SG
अंतर्गत	under	अंतर्गत	under	CONJ	ADP
उद्योग	branscher	उद्योग	bransch	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
उद्योग	industrier	उद्योग	industri	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
छोटी	small	छोटा	small	ADJ;FEM;SG	N;NOM;INDF;NEUT;SG
छोटी	små	छोटा	liten	ADJ;FEM;SG	ADJ;NOM;PL
छोटी	litet	छोटा	litet	ADJ;FEM;SG	ADV
छोटी	little	छोटा	littal	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
छोटी	litet	छोटा	litet	ADJ;FEM;SG	ADV
छोटी	kort	छोटा	kort	ADJ;FEM;SG	ADV
छोटी	korta	छोटा	kort	ADJ;FEM;SG	ADJ;NOM;PL
छोटी	short	छोटा	short	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
छोटी	mindre	छोटा	lite	ADJ;FEM;SG	ADV;CMPR
सूचना	märka	सूचना	märka	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
सूचना	upplysningar	सूचना	upplysning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
सूचना	uppgifter	सूचना	uppgift	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
कमी	avsaknad	कमी	avsakna	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
राम	ram	राम	ram	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
राम	rama	राम	rama	PROPN;NOM;MASC;SG;3	V;IMP;FIN;ACT
नवम्बर	november	नवंबर	november	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
नवम्बर	nov	नवंबर	nov	PROPN;NOM;MASC;SG;3	N
माता	mata	माता	mata	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
पीछे	rygg	पीछे	rygg	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
पीछे	backa	पीछे	backa	ADV;NOM;MASC;SG;3	V;IMP;FIN;ACT
पीछे	bakom	पीछे	bakom	ADV;NOM;MASC;SG;3	ADP
पीछे	bakre	पीछे	bakre	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR
पीछे	bak	पीछे	bak	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
राष्ट्रपति	president	राष्ट्रपति	president	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
राष्ट्रपति	ordförande	राष्ट्रपति	ordförande	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
राष्ट्रपति	ordföranden	राष्ट्रपति	ordförande	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
राष्ट्रपति	talmannen	राष्ट्रपति	talman	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
दल	fester	दल	fest	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
दल	parter	दल	part	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
दल	partier	दल	parti	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
दल	parterna	दल	part	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
मीटर	mts	मीटर	mts	N;NOM;MASC;SG;3	NUM;NOM
मीटर	mätare	मीटर	mäta	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
मीटर	meter	मीटर	meter	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
मीटर	mätare	मीटर	mäta	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
मीटर	meter	मीटर	meter	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
मीटर	meter	मीटर	meter	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
मीटर	meter	मीटर	meter	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
क्रिया	åtgärder	क्रिया	åtgärd	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
क्रिया	agerande	क्रिया	agerande	N;NOM;FEM;SG;3	ADJ;NOM;PRS;V.PTCP
क्रिया	åtgärder	क्रिया	åtgärd	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
क्रिया	insatser	क्रिया	insats	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
गूगल	google	गूगल	google	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
गूगल	googles	गूगल	googles	PROPN;NOM;MASC;SG;3	PROPN;GEN
गूगल	googla	गूगल	googel	PROPN;NOM;MASC;SG;3	V;IMP;FIN;ACT
गूगल	google+	गूगल	google+	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कॉलेज	högskolor	कॉलेज	högskola	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
कॉलेज	college	कॉलेज	college	N;NOM;MASC;SG;3	PROPN;NOM
मैच	matchar	मैच	matcha	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
मैच	matcha	मैच	matcha	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
बनाए	skapad	बना	skapa	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
बनाए	skapat	बना	skapa	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
बनाए	skapats	बना	skapa	V;PFV;MASC;PL;V.PTCP;ACT	V;V.CVB;PASS
बनाए	skapades	बना	skapa	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;PST;FIN;PASS
सुधार	förbättringar	सुधार	förbättring	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
सुधार	förbättringarna	सुधार	förbättring	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
सुधार	rättelser	सुधार	rättelse	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
सुधार	reformer	सुधार	reform	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
सुधार	reformera	सुधार	reformera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
सुधार	förbättringar	सुधार	förbättring	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
समाप्त	slutför	समाप्त	slutför	ADJ	V;IMP;FIN;ACT
समाप्त	avsluta	समाप्त	avsluta	ADJ	V;IMP;FIN;ACT
समाप्त	slutet	समाप्त	slut	ADJ	N;NOM;DEF;NEUT;SG
समाप्त	end	समाप्त	end	ADJ	N;NOM;INDF;MASC+FEM;SG
समाप्त	slut	समाप्त	slut	ADJ	N;NOM;INDF;NEUT;SG
समाप्त	avsluta	समाप्त	avsluta	ADJ	V;IMP;FIN;ACT
समाप्त	avslutade	समाप्त	avsluta	ADJ	V;IND;PST;FIN;ACT
समाप्त	avslutade	समाप्त	avsluta	ADJ	V;IND;PST;FIN;ACT
समाप्त	upphörde	समाप्त	upphöra	ADJ	V;IND;PST;FIN;ACT
करें	toc	कर	toc	V;SBJV;PL;3;FIN;ACT	N;NOM;INDF;NEUT;SG
दिनों	days	दिन	days	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;SG
बच्चों	ungar	बच्चा	unge	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
बच्चों	kids	बच्चा	kida	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
बच्चों	barn	बच्चा	barn	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;PL
रह	reh	रह	reh	V;ACT	N;NOM;INDF;MASC+FEM;SG
नियम	regler	नियम	regel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
नियम	bestämmelser	नियम	bestämmelse	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
नियम	härska	नियम	härsk	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
जन्मे	född	जन्मा	född	V;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
जन्मे	born	जन्मा	born	V;MASC;IND;SG;3;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
जन्मे	födda	जन्मा	född	V;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
शब्दों	ord	शब्द	ord	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
चीनी	kineser	चीनी	kines		N;NOM;INDF;MASC+FEM;PL
चीनी	kinesiskt	चीनी	kinesisk		N;NOM;INDF;NEUT;SG
चीनी	kines	चीनी	kines		N;NOM;INDF;MASC+FEM;SG
चीनी	kinesisk	चीनी	kinesisk		ADJ;NOM;INDF;MASC+FEM;SG
चीनी	kinesiska	चीनी	kinesisk		N;NOM;INDF;MASC+FEM;SG
सहायक	assisterande	सहायक	assistera	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
सहायक	hjälpare	सहायक	hjälpare	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
घोषणा	tillkännagivande	घोषणा	tillkännagivande	N;NOM;FEM;SG;3	ADJ;NOM;PRS;V.PTCP
प्रयुक्त	använda	प्रयुक्त	använda	ADP	V;IMP;FIN;ACT
प्रयुक्त	använt	प्रयुक्त	använda	ADP	V;V.CVB;ACT
प्रयुक्त	begagnad	प्रयुक्त	begagnad	ADP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
प्रयुक्त	används	प्रयुक्त	använda	ADP	V;IND;PRS;FIN;PASS
प्रयुक्त	begagnade	प्रयुक्त	begagnad	ADP	ADJ;NOM;PL;PST;V.PTCP
प्रयुक्त	praetor	प्रयुक्त	praetor	ADP	N;NOM;INDF;NEUT;SG
उल्लेख	nämner	उल्लेख	namn	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
उल्लेख	nämna	उल्लेख	nämna	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
उल्लेख	nämner	उल्लेख	namn	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
कहीं	nånstans	कहीं	nånstans	PRO;NOM	ADV
कहीं	någonstans	कहीं	någonstans	PRO;NOM	ADV
बंद	stänga	बंद	stänga	ADJ	V;IMP;NFIN;ACT
बंद	nära	बंद	nära	ADJ	ADV
बंद	stäng	बंद	stäng	ADJ	V;IMP;FIN;ACT
बंद	iväg	बंद	iväg	ADJ	ADV
बंद	off	बंद	off	ADJ	N;NOM;INDF;MASC+FEM;SG
किलोमीटर	kilometer	किलोमीटर	kilomet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
किलोमीटर	kilometer	किलोमीटर	kilomet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
किलोमीटर	kilometer	किलोमीटर	kilomet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
जिसने	vilka	जो	vilken	PRO;SG;3	PRO;INDF;PL
जिसने	vem	जो	vem	PRO;SG;3	PRO;INDF;MASC+FEM;SG
जिसने	who	जो	who	PRO;SG;3	N;NOM;INDF;NEUT;SG
इंग्लैंड	england	इंग्लैंड	england	PROPN;NOM;MASC;SG;3	PROPN;NOM
इंग्लैंड	eng	इंग्लैंड	eng	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
धीरे	sakta	धीरे	sakta	ADV	V;IMP;FIN;ACT
सार्वजनिक	offentligt	सार्वजनिक	offentlig	ADJ	ADV
लाख	miljon	लाख	miljon	NUM	N;NOM;INDF;MASC+FEM;SG
लाख	miljoner	लाख	miljon	NUM	N;NOM;INDF;MASC+FEM;PL
लाख	lacs	लाख	lacs	NUM	V;IMP;FIN;ACT
लाख	lac	लाख	lac	NUM	V;IMP;FIN;ACT
खिलाफ	emot	खिलाफ	emot	ADP	ADV
सफल	framgångsrikt	सफल	framgångsrikt	ADJ	N;NOM;INDF;NEUT;SG
सफल	blomstra	सफल	blomstra	ADJ	V;IMP;FIN;ACT
सफल	lyckas	सफल	lycka	ADJ	V;NFIN;PASS
सफल	framgångar	सफल	framgång	ADJ	N;NOM;INDF;MASC+FEM;PL
सफल	succé	सफल	succé	ADJ	N;NOM;INDF;MASC+FEM;SG
सफल	framgång	सफल	framgång	ADJ	N;NOM;INDF;MASC+FEM;SG
पहचान	identifiera	पहचान	identifiera	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
पहचान	identiteter	पहचान	identitet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
राष्ट्र	nationer	राष्ट्र	nation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
राष्ट्र	nationerna	राष्ट्र	nation	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
संग्रह	samlingar	संग्रह	samling	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
संग्रह	arkiverar	संग्रह	arkivera	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
संग्रह	arkivera	संग्रह	arkivera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
भीतर	inside	भीतर	inside	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
