月	μουν	月	μουν	N	
直	ίσια	直	ίσιος		ADV
直	στρέιτ	直	στρέιτ		N;NOM;MASC;SG
直	κατευθείαν	直	κατεύθεια		ADV
生產	κατασκευή	生產	κατασκευή	V	N;NOM;FEM;SG
生產	παραγωγή	生產	παραγωγή	V	N;NOM;FEM;SG
生產	παραγωγής	生產	παραγωγή	V	N;GEN;FEM;SG
申請	εφαρμογές	申請	εφαρμογή	V	N;NOM;FEM;PL
申請	αιτήσεις	申請	αίτηση	V	N;NOM;FEM;PL
申請	αίτηση	申請	αίτηση	V	N;NOM;FEM;SG
申請	εφαρμογή	申請	εφαρμογή	V	N;NOM;FEM;SG
單	single	單	single	NUM	
單	ενιαία	單	ενιαίος	NUM	ADJ;NOM;FEM;SG
谷	valley	谷	valley	N	
谷	βάλεϊ	谷	βάλεϊ	N	
魏	γουέι	魏	γουέι	PROPN	
巴黎	paris	巴黎	paris	PROPN	
巴黎	πάρις	巴黎	πάρις	PROPN	PROPN;NOM;MASC;SG
巴黎	παρίσι	巴黎	παρίσι	PROPN	PROPN;NOM;NEUT;SG
宗教	θρησκευτικά	宗教	θρησκευτικά	N	ADV
宗教	θρησκευτικά	宗教	θρησκευτικά	N	ADV
宗教	θρησκευτική	宗教	θρησκευτικός	N	ADJ;NOM;FEM;SG
宗教	θρησκευτικές	宗教	θρησκευτικός	N	ADJ;NOM;FEM;PL
宗教	θρησκευτικό	宗教	θρησκευτικός	N	ADJ;NOM;NEUT;SG
英格蘭	αγγλία	英格蘭	αγγλία	PROPN	PROPN;ACC;FEM;SG
拜	αντίο	拜	αντίο	PROPN	N
聯合	άρθρωση	聯合	άρθρωση	V	N;ACC;FEM;SG
當地	τοπικά	當地	τοπικά	N	ADV
當地	τοπικός	當地	τοπικός	N	ADJ;NOM;MASC;SG
當地	τοπική	當地	τοπικός	N	ADJ;NOM;FEM;SG
當地	τοπικά	當地	τοπικά	N	ADV
當地	τοπικό	當地	τοπικός	N	ADJ;NOM;NEUT;SG
當地	τοπικές	當地	τοπικός	N	ADJ;NOM;FEM;PL
不久	σύντομα	不久	σύντομα	N	ADV
改革	μεταρρύθμιση	改革	μεταρρύθμιση	V	N;NOM;FEM;SG
改革	αναμόρφωση	改革	αναμόρφωση	V	N;ACC;FEM;SG
改革	μεταρρυθμίσεις	改革	μεταρρύθμιση	V	N;NOM;FEM;PL
改革	μεταρρυθμίσεις	改革	μεταρρύθμιση	V	N;NOM;FEM;PL
改革	αναμόρφωση	改革	αναμόρφωση	V	N;ACC;FEM;SG
藝術	art	藝術	art	N	
藝術	αρτ	藝術	αρτ	N	
藝術	καλλιτεχνική	藝術	καλλιτεχνικός	N	ADJ;NOM;FEM;SG
藝術	καλλιτεχνικό	藝術	καλλιτεχνικός	N	ADJ;NOM;NEUT;SG
藝術	καλλιτεχνικές	藝術	καλλιτεχνικός	N	ADJ;NOM;FEM;PL
藝術	καλλιτεχνικά	藝術	καλλιτεχνικά	N	ADV
處理	χειρισμός	處理	χειρισμός	V	N;NOM;MASC;SG
處理	χειρισμό	處理	χειρισμός	V	N;ACC;MASC;SG
處理	λαβή	處理	λαβή	V	N;NOM;FEM;SG
處理	χερούλι	處理	χερούλι	V	N;NOM;NEUT;SG
處理	μεταποίηση	處理	μεταποίηση	V	N;NOM;FEM;SG
處理	επεξεργασία	處理	επεξεργασία	V	
建議	συμβουλές	建議	συμβουλής	V	N;NOM;FEM;PL
建議	συμβουλή	建議	συμβουλής	V	N;NOM;FEM;SG
建議	προτάσεις	建議	πρόταση	V	N;NOM;FEM;PL
建議	συστάσεις	建議	σύσταση	V	N;NOM;FEM;PL
建議	προτάσεις	建議	πρόταση	V	N;NOM;FEM;PL
建議	σύσταση	建議	σύσταση	V	N;NOM;FEM;SG
建議	προταση	建議	προταση	V	N;ACC;FEM;SG
建議	πρόταση	建議	πρόταση	V	N;NOM;FEM;SG
全國	πανελλαδικά	全國	πανελλαδικά	N	ADV
超級	σούπερ	超級	σούπερ	ADJ	N;FEM;SG
超級	super	超級	super	ADJ	
超級	υπερ	超級	υπερ	ADJ	ADP
超級	σουπερ	超級	σουπερ	ADJ	N;NOM;SG
土地	land	土地	land	N	
四川	σιτσουάν	四川	σιτσουά	PROPN	
曹	τσάο	曹	τσάος	PROPN	
曹	cao	曹	cao	PROPN	
公園	παρκ	公園	παρκ	N	
公園	park	公園	park	N	
公園	παρκς	公園	παρκς	N	
包	σακούλα	包	σακούλα	PROPN	N;NOM;FEM;SG
包	σάκο	包	σάκος	PROPN	N;NOM;NEUT;SG
包	τσάντα	包	τσάντα	PROPN	N;NOM;FEM;SG
包	σάκος	包	σάκος	PROPN	N;NOM;MASC;SG
包	δέμα	包	δέμα	PROPN	N;NOM;NEUT;SG
包	πακέτο	包	πακέτος	PROPN	N;NOM;NEUT;SG
包	συσκευασία	包	συσκευασία	PROPN	N;NOM;FEM;SG
包	bao	包	bao	PROPN	
包	πακέτο	包	πακέτος	PROPN	N;NOM;NEUT;SG
包	αγέλη	包	αγέλος	PROPN	N;NOM;FEM;SG
包	συσκευασία	包	συσκευασία	PROPN	N;NOM;FEM;SG
中部	midlands	中部	midlands	N	
西南	νοτιοδυτικά	西南	νοτιοδυτικά	N	ADV
西南	νοτιοδυτική	西南	νοτιοδυτικός	N	ADJ;NOM;FEM;SG
韋	γουέι	韋	γουέι	PROPN	
翼	tsubasa	翼	tsubasa	N	
翼	wing	翼	wing	N	
孔	κόνγκ	孔	κόνγκ	PROPN	
孔	κονγκ	孔	κονγκ	PROPN	
孔	kong	孔	kong	PROPN	
孔	οπή	孔	οπή	PROPN	N;NOM;FEM;SG
孔	τρύπα	孔	τρύπα	PROPN	N;NOM;FEM;SG
盧	λου	盧	λου	PROPN	
盧	lou	盧	lou	PROPN	
十一	eleven	十一	eleven	NUM	
十一	ένδεκα	十一	ένδεκα	NUM	ADV
研究	ινστιτούτο	研究	ινστιτούτο	V	N;NOM;NEUT;SG
研究	institute	研究	institute	V	
研究	ινστιτούτα	研究	ινστιτούτα	V	N;NOM;NEUT;PL
協會	association	協會	association	N	
文學	λογοτεχνικό	文學	λογοτεχνικός	N	ADJ;NOM;NEUT;SG
頻道	channel	頻道	channel	N	
少年	teen	少年	teen	N	
少年	νεανική	少年	νεανικός	N	ADJ;NOM;FEM;SG
少年	ανήλικος	少年	ανήλικος	N	ADJ;NOM;MASC;SG
少年	τζούνιορ	少年	τζούνιορ	N	PROPN;NOM;NEUT;PL
少年	junior	少年	junior	N	
舊	παλαιά	舊	παλιός	PART	ADV
舊	παλιό	舊	παλιός	PART	ADJ;NOM;NEUT;SG
舊	παλαιό	舊	παλιός	PART	ADJ;NOM;NEUT;SG
舊	παλιά	舊	παλιός	PART	ADV
舊	γέρος	舊	γέρος	PART	N;NOM;MASC;SG
大家	όλοι	大家	όλος	PRO	ADJ;NOM;MASC;PL
紀錄	ρεκόρ	紀錄	ρεκόρ	N	
影片	video	影片	video	N	
必須	πρέπει	必須	πρέπει	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
文件	file	文件	file	N	
更多	περισσότερο	更多	πολύ	ADJ	ADV;CMPR
更多	πιο	更多	πιο	ADJ	ADV
居住	κατοικία	居住	κατοικία	V	N;NOM;FEM;SG
居住	διαμονής	居住	διαμονή	V	N;GEN;FEM;SG
居住	οικία	居住	οικία	V	N;NOM;FEM;SG
秦	κιν	秦	κιν	PROPN	
禁	απαγορεύεται	禁	απαγορεύω		V;IPFV;IND;SG;3;PRS;FIN;PASS
禁	απαγορευμένα	禁	απαγορεύω		V;PFV;NOM;NEUT;PL;V.PTCP;PASS
禁	απαγορευμένη	禁	απαγορεύω		V;PFV;NOM;FEM;SG;V.PTCP;PASS
禁	απαγορευμένο	禁	απαγορεύω		V;PFV;NOM;NEUT;SG;V.PTCP;PASS
文章	αρθρα	文章	άρθρο	N	
同意	σύμφωνοι	同意	σύμφωνος	V	ADJ;NOM;MASC;PL
最多	max	最多	max	ADJ	
最多	μαξ	最多	μαξ	ADJ	
地下	υπογείως	地下	υπογείως	N	ADV
十	ten	十	ten	NUM	
銀行	μπανκς	銀行	μπανκς	N	PROPN;NOM;MASC;SG
銀行	bank	銀行	bank	N	
非洲	αφρικη	非洲	αφρικός	PROPN	N;NOM;FEM;SG
非洲	αφρική	非洲	αφρικός	PROPN	PROPN;NOM;FEM;SG
非洲	αφρικής	非洲	αφρικός	PROPN	ADJ;GEN;FEM;SG
非洲	αφρικανική	非洲	αφρικάνικος	PROPN	ADJ;NOM;FEM;SG
媒體	media	媒體	media	N	
支援	στήριξη	支援	στήριξη	V	N;ACC;FEM;SG
支援	υποστήριξη	支援	υποστήριξη	V	N;ACC;FEM;SG
第十	δέκατο	第十	δέκατος	NUM	NUM;NOM;NEUT;SG
第十	δέκατη	第十	δέκατος	NUM	ADJ;NOM;FEM;SG
拍攝	πυροβόλα	拍攝	πυροβόλο	V	N;NOM;NEUT;PL
拍攝	γυρίσματα	拍攝	γύρισμα	V	N;NOM;NEUT;PL
拍攝	γύρισμα	拍攝	γύρισμα	V	N;NOM;NEUT;SG
拍攝	γυρισμάτων	拍攝	γύρισμα	V	N;GEN;NEUT;PL
拍攝	σκοποβολή	拍攝	σκοποβολή	V	
拍攝	πυροβολισμοί	拍攝	πυροβολισμός	V	N;NOM;MASC;PL
拍攝	γυρίσματα	拍攝	γύρισμα	V	N;NOM;NEUT;PL
拍攝	πυροβολισμός	拍攝	πυροβολισμός	V	N;NOM;MASC;SG
拍攝	πυροβολισμό	拍攝	πυροβολισμός	V	N;ACC;MASC;SG
還	και	還	και	ADV	CONJ
西藏	θιβέτ	西藏	θιβέτ	PROPN	
俄羅斯	ρωσία	俄羅斯	ρωσία	PROPN	PROPN;ACC;FEM;SG
俄羅斯	ρωσίας	俄羅斯	ρωσία	PROPN	PROPN;GEN;FEM;SG
節	φεστιβάλ	節	φεστιβάλ	PROPN	N;NOM;NEUT;SG
分析	αναλυτικό	分析	αναλυτικός	V	ADJ;NOM;NEUT;SG
分析	αναλυτικές	分析	αναλυτικός	V	ADJ;NOM;FEM;PL
分析	αναλυτική	分析	αναλυτικός	V	ADJ;NOM;FEM;SG
分析	analy	分析	analy	V	
分析	ανάλυση	分析	ανάλυση	V	N;ACC;FEM;SG
偉	wai	偉	wai	PROPN	
行星	πλανητική	行星	πλανητικός	N	ADJ;NOM;FEM;SG
北海	χοκάιντο	北海	χοκάιντος	PROPN	PROPN;NOM;FEM;SG
皇家	βασιλικός	皇家	βασιλικός	N	ADJ;NOM;MASC;SG
皇家	βασιλικό	皇家	βασιλικός	N	ADJ;NOM;NEUT;SG
皇家	βασιλική	皇家	βασιλικός	N	ADJ;NOM;FEM;SG
皇家	royal	皇家	royal	N	
皇家	ρόγιαλ	皇家	ρόγιαλ	N	
電子	ηλεκτρονική	電子	ηλεκτρονικός	N	ADJ;NOM;FEM;SG
電子	ηλεκτρονικό	電子	ηλεκτρονικός	N	ADJ;NOM;NEUT;SG
電子	ηλεκτρονικά	電子	ηλεκτρονικά	N	ADV
電子	ηλεκτρονική	電子	ηλεκτρονικός	N	ADJ;NOM;FEM;SG
電子	ηλεκτρονικά	電子	ηλεκτρονικά	N	ADV
三十	thirty	三十	thirty	NUM	
倫敦	λονδίνο	倫敦	λονδίνο	PROPN	PROPN;NOM;NEUT;SG
倫敦	london	倫敦	london	PROPN	
範圍	κυμαίνεται	範圍	κυμαίνω	N	V;IPFV;IND;SG;3;PRS;FIN;PASS
黨	party	黨	party	N	
微	μικρο	微	μικρος		N;NOM;NEUT;SG
微	micro	微	micro		
絲	μετάξι	絲	μετάξι	PROPN	N;NOM;NEUT;SG
絲	μεταξωτό	絲	μεταξωτός	PROPN	N;NOM;NEUT;SG
絲	μεταξωτά	絲	μεταξωτά	PROPN	N;NOM;NEUT;PL
趙	ζάο	趙	ζάος	PROPN	N
趙	τσο	趙	τσο	PROPN	
趙	cho	趙	cho	PROPN	
帝國	empire	帝國	empire	N	
娛樂	διασκεδάσει	娛樂	διασκεδώ	N	V;PFV;NFIN;ACT
娛樂	διασκεδαστική	娛樂	διασκεδαστικός	N	ADJ;NOM;FEM;SG
坡	πόε	坡	πόε	N	
屋	χάουζ	屋	χάουζ	N	
屋	house	屋	house	N	
洞	οπή	洞	οπή	PROPN	N;NOM;FEM;SG
洞	τρύπα	洞	τρύπα	PROPN	N;NOM;FEM;SG
洞	σπήλαιο	洞	σπήλαιο	PROPN	N;NOM;NEUT;SG
洞	σπηλιά	洞	σπηλία	PROPN	N;NOM;FEM;SG
洞	ντονγκ	洞	ντονγκ	PROPN	
宮	palace	宮	palace	N	
黎	λάι	黎	λαι	PROPN	
戰鬥	πολεμώντας	戰鬥	πολεμώ	N	V;IPFV;V.CVB;ACT
限制	περιορισμούς	限制	περιορισμός	V	N;ACC;MASC;PL
限制	περιορισμοί	限制	περιορισμός	V	N;NOM;MASC;PL
限制	περιορισμούς	限制	περιορισμός	V	N;ACC;MASC;PL
限制	περιορισμοί	限制	περιορισμός	V	N;NOM;MASC;PL
限制	περιορισμός	限制	περιορισμός	V	N;NOM;MASC;SG
限制	περιορισμός	限制	περιορισμός	V	N;NOM;MASC;SG
限制	περιορισμό	限制	περιορισμός	V	N;ACC;MASC;SG
限制	όριο	限制	όριο	V	N;NOM;NEUT;SG
限制	όρια	限制	όριο	V	N;NOM;NEUT;PL
如何	πως	如何	πως		CONJ
如何	πώς	如何	πώς		ADV
創作	δημιουργίες	創作	δημιουργία	V	N;NOM;FEM;PL
創作	δημιουργία	創作	δημιουργία	V	N;ACC;FEM;SG
創作	δημιουργικός	創作	δημιουργικός	V	ADJ;NOM;MASC;SG
創作	δημιουργική	創作	δημιουργικός	V	ADJ;NOM;FEM;SG
創作	δημιουργικό	創作	δημιουργικός	V	ADJ;NOM;NEUT;SG
創作	creative	創作	creative	V	
執行	εκτέλεση	執行	εκτέλεση	V	N;ACC;FEM;SG
執行	εκτέλεση	執行	εκτέλεση	V	N;ACC;FEM;SG
反對	ένσταση	反對	ένσταση	V	N;ACC;FEM;SG
反對	αντιπολίτευσης	反對	αντιπολίτευση	V	N;GEN;FEM;SG
反對	αντίθεση	反對	αντίθεση	V	N;ACC;FEM;SG
反對	αντιπολίτευση	反對	αντιπολίτευση	V	N;NOM;FEM;SG
不足	ανεπαρκή	不足	ανεπαρκής	ADJ	ADV
不足	ανεπαρκές	不足	ανεπαρκής	ADJ	ADV
不足	ανεπάρκεια	不足	ανεπάρκεια	ADJ	N;NOM;FEM;SG
不足	ανεπαρκές	不足	ανεπαρκής	ADJ	ADV
不足	ανεπαρκή	不足	ανεπαρκής	ADJ	ADV
體育	αθλητικά	體育	αθλητικά	N	ADV
投入	είσοδος	投入	είσοδος	V	N;NOM;FEM;SG
投入	εισροές	投入	εισρός	V	N;NOM;FEM;PL
投入	εισόδου	投入	είσοδος	V	N;GEN;FEM;SG
投入	εισροή	投入	εισροή	V	N;ACC;FEM;SG
投入	εισροές	投入	εισρός	V	N;NOM;FEM;PL
有些	μερικές	有些	μερικοί	V	PRO;NOM;FEM;PL;3
有些	κάποια	有些	κάποιος	V	PRO;NOM;NEUT;PL;3
有些	κάποιοι	有些	κάποιος	V	PRO;NOM;MASC;PL;3
有些	μερικοί	有些	μερικοί	V	PRO;NOM;MASC;PL;3
有些	μερικά	有些	μερικοί	V	PRO;NOM;NEUT;PL;3
元素	στοιχειακό	元素	στοιχειακός	N	ADJ;NOM;NEUT;SG
宇	γου	宇	γου	PROPN	N
任命	ραντεβού	任命	ραντεβός	V	N;NOM;NEUT;SG
任命	διορισμός	任命	διορισμός	V	N;NOM;MASC;SG
解	λύσει	解	λύνω		V;PFV;NFIN;ACT
解	επίλυση	解	επίλυση		N;ACC;FEM;SG
跨	τρανς	跨	τρανς		N
跨	trans	跨	trans		
以前	πριν	以前	πριν	N	ADV
分子	μοριακή	分子	μοριακή	N	ADJ;NOM;FEM;SG
分子	μοριακό	分子	μοριακός	N	ADJ;NOM;NEUT;SG
孫	σουν	孫	σε	PROPN	N
孫	κυρ	孫	κυρ	PROPN	
孫	ήλιος	孫	ήλιος	PROPN	PROPN;NOM;MASC;SG
崔	τσόι	崔	τσός	PROPN	N
崔	cui	崔	cui	PROPN	
申	σιν	申	σιν	PROPN	N;NOM;MASC;SG
湖南	χουνάν	湖南	χουνό	PROPN	
雜誌	περιοδικά	雜誌	περιοδικά	N	ADV
有效	έγκυρο	有效	έγκυρος	V	ADJ;NOM;NEUT;SG
有效	έγκυρη	有效	έγκυρος	V	ADJ;NOM;FEM;SG
有效	αποτελεσματική	有效	αποτελεσματικός	V	ADJ;NOM;FEM;SG
有效	αποτελεσματικός	有效	αποτελεσματικός	V	ADJ;NOM;MASC;SG
有效	αποτελεσματικό	有效	αποτελεσματικός	V	ADJ;NOM;NEUT;SG
有效	αποτελεσματικά	有效	αποτελεσματικά	V	ADV
平台	πλατφόρμες	平台	πλατφόρμος	N	ADJ;NOM;FEM;PL
概念	έννοιες	概念	έννοιος	N	ADJ;NOM;FEM;PL
傳統	παραδοσιακό	傳統	παραδοσιακός	N	ADJ;NOM;NEUT;SG
傳統	παραδοσιακά	傳統	παραδοσιακός	N	ADV
傳統	παραδοσιακή	傳統	παραδοσιακός	N	ADJ;NOM;FEM;SG
傳統	παραδοσιακές	傳統	παραδοσιακός	N	ADJ;NOM;FEM;PL
傳統	παραδοσιακός	傳統	παραδοσιακός	N	ADJ;NOM;MASC;SG
夏季	σάμερ	夏季	σάμερ	N	
照片	photo	照片	photo	N	
照片	φωτο	照片	φωτος	N	
核	πυρηνικός	核	πυρηνικός	N	ADJ;NOM;MASC;SG
核	πυρηνικά	核	πυρηνικός	N	ADV
核	πυρηνική	核	πυρηνικός	N	ADJ;NOM;FEM;SG
公開	δημόσιες	公開	δημόσιος	V	ADJ;NOM;FEM;PL
公開	δημόσια	公開	δημόσιος	V	ADJ;NOM;FEM;SG
公開	δημόσιος	公開	δημόσιος	V	ADJ;NOM;MASC;SG
仙	νεράιδα	仙	νεράιδα	PROPN	N;NOM;FEM;SG
帶	ζώνη	帶	ζώνη	V	N;NOM;FEM;SG
帶	ζωνη	帶	ζωνη	V	N;NOM;FEM;SG
操作	επιχειρηση	操作	επιχειρηση	V	N;ACC;FEM;SG
操作	εγχείρηση	操作	εγχείρηση	V	N;ACC;FEM;SG
操作	λειτουργία	操作	λειτουργία	V	N;ACC;FEM;SG
操作	επιχείρηση	操作	επιχείρηση	V	N;ACC;FEM;SG
取消	ακύρωση	取消	ακύρωση	V	N;ACC;FEM;SG
取消	ακύρωση	取消	ακύρωση	V	N;ACC;FEM;SG
人類	ανθρώπινα	人類	ανθρώπινος	N	ADJ;NOM;NEUT;PL
人類	ανθρώπινη	人類	ανθρώπινος	N	ADJ;NOM;FEM;SG
人類	ανθρώπινο	人類	ανθρώπινος	N	ADJ;NOM;NEUT;SG
人類	ανθρωπίνων	人類	ανθρώπινος	N	ADJ;GEN;NEUT;PL
人類	ανθρώπινος	人類	ανθρώπινος	N	ADJ;NOM;MASC;SG
飛	πετάξει	飛	πετώ	N	V;PFV;NFIN;ACT
飛	πέταξε	飛	πετώ	N	V;PFV;IND;SG;3;PST;FIN;ACT
飛	πετώντας	飛	πετώ	N	V;IPFV;V.CVB;ACT
軍事	στρατιωτικός	軍事	στρατιωτικός	N	ADJ;NOM;MASC;SG
軍事	στρατιωτική	軍事	στρατιωτικός	N	ADJ;NOM;FEM;SG
軍事	στρατιωτικοί	軍事	στρατιωτικός	N	ADJ;NOM;MASC;PL
軍事	στρατιωτικά	軍事	στρατιωτικά	N	ADV
協助	συνδρομή	協助	συνδρομή	V	N;ACC;FEM;SG
協助	βοήθεια	協助	βοήθεια	V	N;ACC;FEM;SG
橋	μπριτζ	橋	μπριτζ	N	
調查	έρευνες	調查	έρευνα	V	N;NOM;FEM;PL
調查	έρευνα	調查	έρευνα	V	N;NOM;FEM;SG
調查	διερεύνηση	調查	διερεύνηση	V	N;ACC;FEM;SG
調查	έρευνα	調查	έρευνα	V	N;NOM;FEM;SG
調查	ερευνα	調查	ερευνα	V	N;NOM;FEM;SG
調查	δημοσκόπηση	調查	δημοσκόπηση	V	N;NOM;FEM;SG
調查	έρευνες	調查	έρευνα	V	N;NOM;FEM;PL
投	καστ	投	καστ	N	
忠	τσουνγκ	忠	τσουνγκ	PROPN	
忠	τσανγκ	忠	τσανγκ	PROPN	
澳洲	αυστραλός	澳洲	αυστραλός	PROPN	ADJ;NOM;MASC;SG
主教	μπίσοπ	主教	μπίσοπ	N	
紀念	μνημείο	紀念	μνημείο	V	N;NOM;NEUT;SG
紀念	μεμόριαλ	紀念	μεμόριαλ	V	N;NOM;NEUT;SG
紀念	αναμνηστικό	紀念	αναμνηστικός	V	N;NOM;NEUT;SG
紀念	σουβενίρ	紀念	σουβενίρ	V	N;NOM;NEUT;PL
紀念	ενθύμιο	紀念	ενθύμιο	V	N;NOM;NEUT;SG
紀念	αναμνηστικό	紀念	αναμνηστικός	V	N;NOM;NEUT;SG
紀念	αναμνηστικά	紀念	αναμνηστικά	V	ADV
決賽	τελικός	決賽	τελικός	N	ADJ;NOM;MASC;SG
決賽	τελικό	決賽	τελικός	N	ADJ;NOM;NEUT;SG
決賽	τελική	決賽	τελικός	N	ADJ;NOM;FEM;SG
決賽	τελικοί	決賽	τελικός	N	ADJ;NOM;MASC;PL
柳	γιου	柳	γιος	PROPN	N;GEN;MASC;SG
柳	ρίου	柳	ρίος	PROPN	PROPN;NOM;MASC;SG
沈	σεν	沈	σεν	PROPN	
沈	σιμ	沈	σιμ	PROPN	N
人工	τεχνητή	人工	τεχνητός	N	ADJ;NOM;FEM;SG
人工	τεχνητά	人工	τεχνητός	N	ADV
人工	τεχνητό	人工	τεχνητός	N	ADJ;NOM;NEUT;SG
人工	τεχνητές	人工	τεχνητής	N	ADJ;NOM;FEM;PL
移動	μετακίνηση	移動	μετακίνηση	V	N;ACC;FEM;SG
移動	κίνηση	移動	κίνηση	V	N;ACC;FEM;SG
法院	κορτ	法院	κορτ	N	
留	παραμονή	留	παραμονή	V	N;ACC;FEM;SG
電	ηλεκτρικά	電	ηλεκτρικά	N	ADV
電	ηλεκτρικό	電	ηλεκτρικός	N	ADJ;NOM;NEUT;SG
電	ηλεκτρική	電	ηλεκτρικός	N	ADJ;NOM;FEM;SG
電	ηλεκτρικός	電	ηλεκτρικός	N	ADJ;NOM;MASC;SG
運動	αθλήτρια	運動	αθλήτρια	V	N;NOM;FEM;SG
運動	αθλητής	運動	αθλητής	V	N;NOM;MASC;SG
運動	αθλητή	運動	αθλητός	V	N;ACC;MASC;SG
運動	αθλητές	運動	αθλητός	V	N;NOM;MASC;PL
夢	dream	夢	dream	N	
羅馬	ρώμη	羅馬	ρώμη	PROPN	PROPN;ACC;FEM;SG
羅馬	ρωμη	羅馬	ρωμη	PROPN	N;NOM;FEM;SG
羅馬	ρώμης	羅馬	Ρώμη	PROPN	PROPN;GEN;FEM;SG
科學	επιστημονική	科學	επιστημονικός	N	ADJ;NOM;FEM;SG
科學	επιστημονικά	科學	επιστημονικά	N	ADV
科學	επιστημονικό	科學	επιστημονικός	N	ADJ;NOM;NEUT;SG
東北	βορειοανατολική	東北	βορειοανατολικός	N	ADJ;NOM;FEM;SG
東北	βορειοανατολικά	東北	βορειοανατολικά	N	ADV
東北	βορειοανατολική	東北	βορειοανατολικός	N	ADJ;NOM;FEM;SG
烏克蘭	ουκρανίας	烏克蘭	ουκρανία	PROPN	PROPN;GEN;FEM;SG
烏克蘭	ουκρανία	烏克蘭	ουκρανία	PROPN	PROPN;ACC;FEM;SG
啟用	ενεργοποίηση	啟用	ενεργοποίηση	V	N;ACC;FEM;SG
啟用	ενεργοποίηση	啟用	ενεργοποίηση	V	N;ACC;FEM;SG
皇后	queen	皇后	queen	N	
皇后	ντάμα	皇后	ντάμα	N	
肯	ken	肯	ken		
肯	κεν	肯	κεν		
佛教	βουδιστής	佛教	βουδιστής	N	ADJ;NOM;MASC;SG
精神	πνευματικά	精神	πνευματικά	N	ADV
精神	πνευματική	精神	πνευματικός	N	ADJ;NOM;FEM;SG
精神	πνευματικός	精神	πνευματικός	N	ADJ;NOM;MASC;SG
精神	πνευματικό	精神	πνευματικός	N	ADJ;NOM;NEUT;SG
精神	ψυχική	精神	ψυχικός	N	ADJ;NOM;FEM;SG
精神	νοητική	精神	νοητικός	N	ADJ;NOM;FEM;SG
企業	business	企業	business	N	
冰	πάγο	冰	πάγος	N	ADV
冰	ice	冰	ice	N	
第七	έβδομη	第七	έβδομος	NUM	PROPN;NOM;FEM;SG
第七	έβδομο	第七	έβδομος	NUM	NUM;NOM;NEUT;SG
甘	gan	甘	gan	PROPN	
甘	γκαν	甘	γκαν	PROPN	
太陽	κυρ	太陽	κυρ	N	
太陽	ήλιος	太陽	ήλιος	N	PROPN;NOM;MASC;SG
深圳	σενζέν	深圳	σενζέν	PROPN	
瑞典	σουηδία	瑞典	σουηδία	PROPN	PROPN;ACC;FEM;SG
廳	hall	廳	hall	N	
廳	χολ	廳	χολ	N	
關	off	關	off	PROPN	
福建	φουτζιάν	福建	φουτζιάν	PROPN	
選擇	επιλογή	選擇	επιλογή	V	N;NOM;FEM;SG
選擇	επιλογή	選擇	επιλογή	V	N;NOM;FEM;SG
選擇	επιλογή	選擇	επιλογή	V	N;NOM;FEM;SG
選擇	επιλογή	選擇	επιλογή	V	N;NOM;FEM;SG
陶	τάο	陶	ο	PROPN	
比較	σύγκριση	比較	σύγκριση	ADV	N;NOM;FEM;SG
比較	συγκρίνετε	比較	συγκρίνω	ADV	V;IPFV;IND;PL;2;PRS;FIN;ACT
比較	συγκρίνουμε	比較	συγκρίνω	ADV	V;IPFV;IND;PL;1;PRS;FIN;ACT
比較	συγκριτικό	比較	συγκριτικός	ADV	ADJ;NOM;NEUT;SG
比較	συγκριτική	比較	συγκριτικός	ADV	ADJ;NOM;FEM;SG
比較	συγκριτικές	比較	συγκριτικός	ADV	ADJ;NOM;FEM;PL
比較	συγκρίσεις	比較	σύγκριση	ADV	N;NOM;FEM;PL
類似	παρόμοιο	類似	παρόμοιος	V	N;NOM;NEUT;SG
類似	παρόμοιες	類似	παρόμοιος	V	ADJ;NOM;FEM;PL
類似	παρόμοιος	類似	παρόμοιος	V	ADJ;NOM;MASC;SG
類似	παρόμοια	類似	παρόμοιος	V	ADV
眼	eye	眼	eye	N	
秋	φθινόπωρο	秋	φθινόπωρος	PROPN	N;NOM;NEUT;SG
雨	ρέιν	雨	ρέιν	N	
破壞	σαμποτάζ	破壞	σαμποτάζ	V	N;NOM;NEUT;SG
破壞	καταστροφή	破壞	καταστροφή	V	N;ACC;FEM;SG
重建	ανοικοδόμηση	重建	ανοικοδόμηση	V	N;ACC;FEM;SG
重建	ανακατασκευή	重建	ανακατασκευή	V	N;NOM;FEM;SG
重建	ανακατασκευή	重建	ανακατασκευή	V	N;NOM;FEM;SG
重建	ανασυγκρότηση	重建	ανασυγκρότηση	V	N;ACC;FEM;SG
重建	ανοικοδόμηση	重建	ανοικοδόμηση	V	N;ACC;FEM;SG
第六	έκτη	第六	έκτος	NUM	NUM;NOM;FEM;SG
第六	έκτος	第六	έκτος	NUM	N;NOM;MASC;SG
第六	έκτο	第六	έκτος	NUM	NUM;NOM;NEUT;SG
基督	κριστιάν	基督	κριστιάν	PROPN	
基督	christian	基督	christian	PROPN	
基督	χριστιανοί	基督	χριστιανός	PROPN	N;NOM;MASC;PL
基督	κρίστιαν	基督	κρίστιαν	PROPN	
基督	χριστιανός	基督	χριστιανός	PROPN	N;NOM;MASC;SG
基督	χριστιανισμού	基督	χριστιανισμός	PROPN	N;GEN;MASC;SG
南方	νότιο	南方	νότιος	PROPN	ADJ;NOM;NEUT;SG
