right	prawo	righta	prawo		N;NOM;NEUT;SG
oblika	formy	oblika	forma	N;NOM;FEM;SG	N;ACC;FEM;PL
oblika	formularza	oblika	formularz	N;NOM;FEM;SG	N;GEN;MASC;SG
oblika	formatu	oblika	format	N;NOM;FEM;SG	N;GEN;MASC;SG
oblika	formacie	oblika	format	N;NOM;FEM;SG	N;DAT;MASC;SG
mest	miasta	mesto	miasto	N;GEN;NEUT;PL	N;GEN;NEUT;SG
mest	miejscowości	mesto	miejscowość	N;GEN;NEUT;PL	N;GEN;FEM;SG
mest	miasteczka	mesto	miasteczko	N;GEN;NEUT;PL	N;NOM;NEUT;SG
mest	miasta	mesto	miasto	N;GEN;NEUT;PL	N;GEN;NEUT;SG
znotraj	wewnątrz	znotraj	wewnątrz	ADP;GEN	
lastnosti	charakterystyka	lastnost	charakterystyka	N;NOM;FEM;PL	N;NOM;FEM;SG
lastnosti	właściwości	lastnost	właściwość	N;NOM;FEM;PL	N;ACC;FEM;PL
lastnosti	właściwości	lastnost	właściwość	N;NOM;FEM;PL	N;ACC;FEM;PL
lastnosti	właściwości	lastnost	właściwość	N;NOM;FEM;PL	N;ACC;FEM;PL
top	armaty	top	armata	N;NOM;MASC;SG	N;ACC;FEM;SG
top	działo	top	dziać	N;NOM;MASC;SG	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
top	top	top	top	N;NOM;MASC;SG	
top	góra	top	góra	N;NOM;MASC;SG	
knjige	książek	knjiga	książka	N;NOM;FEM;PL	N;GEN;FEM;PL
črni	black	črn	black	ADJ;NOM;MASC;SG	
črni	czerń	črn	czerń	ADJ;NOM;MASC;SG	
družina	rodziny	družina	rodzina	N;NOM;FEM;SG	N;NOM;FEM;PL
družina	rodzinne	družina	rodzinny	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
družina	rodzinnie	družina	rodzinnie	N;NOM;FEM;SG	ADV
oznaka	kodu	oznakati	koda	N;NOM;FEM;SG	N;GEN;MASC;SG
oznaka	code	oznakati	cod	N;NOM;FEM;SG	
oznaka	kod	oznakati	kod	N;NOM;FEM;SG	N;ACC;MASC;SG
oznaka	tag	oznakati	tag	N;NOM;FEM;SG	
oznaka	oznacz	oznakati	oznaczyć	N;NOM;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
oznaka	etykiety	oznakati	etykiet	N;NOM;FEM;SG	N;ACC;MASC;PL
oznaka	etykiecie	oznakati	etykiet	N;NOM;FEM;SG	N;GEN;MASC;SG
nemška	niemcy	nemški	niemiec	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;PL
nemška	niemieckim	nemški	niemiecki	ADJ;NOM;FEM;SG	ADJ;INS;MASC;SG
vodil	doprowadziło	voditi	doprowadzić	V;IPFV;MASC;SG;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN;ACT
vodil	led	voditi	led	V;IPFV;MASC;SG;V.PTCP	
južni	południowej	južen	południowy	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;SG
južni	southern	južen	southerny	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
šola	szkoły	šola	szkoła	N;NOM;FEM;SG	N;GEN;FEM;SG
pomoč	pomoc	pomoč	pomoc	N;NOM;FEM;SG	V;IPFV;IND;SG;2;FIN;ACT
pomoč	pomocy	pomoč	pomoc	N;NOM;FEM;SG	N;GEN;FEM;SG
pomoč	pomoc	pomoč	pomoc	N;NOM;FEM;SG	V;IPFV;IND;SG;2;FIN;ACT
pomoč	pomocy	pomoč	pomoc	N;NOM;FEM;SG	N;GEN;FEM;SG
pomoč	pomoc	pomoč	pomoc	N;NOM;FEM;SG	V;IPFV;IND;SG;2;FIN;ACT
pomoč	pomocy	pomoč	pomoc	N;NOM;FEM;SG	N;GEN;FEM;SG
prebivalci	mieszkańców	prebivalec	mieszkaniec	N;NOM;MASC;PL	N;ACC;MASC;PL
prebivalci	rezydentów	prebivalec	rezydent	N;NOM;MASC;PL	N;ACC;MASC;PL
prebivalci	mieszkańców	prebivalec	mieszkaniec	N;NOM;MASC;PL	N;ACC;MASC;PL
deli	części	del	część	N;NOM;MASC;PL	N;ACC;FEM;PL
deli	udostępnić	del	udostępnić	N;NOM;MASC;PL	V;PFV;NFIN;ACT
deli	udostępnianie	del	udostępniać	N;NOM;MASC;PL	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
deli	udział	del	udział	N;NOM;MASC;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
društvo	society	društvo	societa	N;NOM;NEUT;SG	
društvo	społeczeństwa	društvo	społeczeństwo	N;NOM;NEUT;SG	N;GEN;NEUT;SG
najboljši	najlepsza	dober	dobry	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;FEM;SG
najboljši	najlepszy	dober	dobry	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
najboljši	najlepiej	dober	dobrze	ADJ;NOM;DEF;RL;MASC;SG	ADV;RL
najboljši	best	dober	best	ADJ;NOM;DEF;RL;MASC;SG	
najboljši	najlepsze	dober	dobry	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
regije	regionów	regija	region	N;NOM;FEM;PL	N;GEN;MASC;PL
največji	największym	velik	duży	ADJ;NOM;DEF;RL;MASC;SG	ADJ;INS;CMPR;MASC;SG
največji	największa	velik	duży	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;FEM;SG
največji	najwięksi	velik	wielki	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;MASC;PL
največji	największe	velik	duży	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
največji	największy	velik	duży	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
vojaška	wojsko	vojaški	wojsko	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
vojaška	wojska	vojaški	wojsko	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
severni	północnej	severen	północny	ADJ;NOM;DEF;MASC;SG	ADJ;GEN;FEM;SG
severni	północ	severen	północ	ADJ;NOM;DEF;MASC;SG	N;NOM;FEM;SG
severni	north	severen	north	ADJ;NOM;DEF;MASC;SG	
severni	północ	severen	północ	ADJ;NOM;DEF;MASC;SG	N;NOM;FEM;SG
severni	północna	severen	północny	ADJ;NOM;DEF;MASC;SG	
severni	północnej	severen	północny	ADJ;NOM;DEF;MASC;SG	ADJ;GEN;FEM;SG
severni	północny	severen	północny	ADJ;NOM;DEF;MASC;SG	N;ACC;MASC;SG
slike	obrazów	slika	obraz	N;NOM;FEM;PL	N;GEN;MASC;PL
slike	zdjęć	slika	zdjęcie	N;NOM;FEM;PL	N;GEN;NEUT;PL
slike	zdjecia	slika	zdjecie	N;NOM;FEM;PL	V;PFV;IND;SG;FIN;ACT
slike	zdjecia	slika	zdjecie	N;NOM;FEM;PL	V;PFV;IND;SG;FIN;ACT
michael	michael	michael	michael		PROPN;NOM;MASC;SG
michael	michał	michael	michać		PROPN;NOM;MASC;SG
sur	sur	sur	sura	PROPN;NOM;MASC;SG	
namesto	zamiast	namesto	zamiast	ADP;GEN	
rodil	urodzony	roditi	urodzić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
rodil	urodzona	roditi	urodzić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
rodil	urodzone	roditi	urodzić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
zssr	zsrr	zssra	zsrr	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
asteroid	asteroid	asteroid	asteroid	N;NOM;MASC;SG	
blizu	blisko	blizu	blisko	ADV	
blizu	niedaleko	blizu	niedaleko	ADV	
njeno	jej	njen	on	DET;NOM;NEUT;SG;3	PRO;GEN;FEM;SG;3
okrožje	hrabstwa	okrožje	hrabstwo	N;NOM;NEUT;SG	N;ACC;NEUT;SG
okrožje	powiat	okrožje	powiat	N;NOM;NEUT;SG	
okrožje	dzielnicy	okrožje	dzielnica	N;NOM;NEUT;SG	N;GEN;FEM;SG
okrožje	powiat	okrožje	powiat	N;NOM;NEUT;SG	
pregled	przegląd	pregled	przegląd	N;NOM;MASC;SG	
pregled	przeglądu	pregled	przegląd	N;NOM;MASC;SG	N;GEN;MASC;SG
pregled	przegląd	pregled	przegląd	N;NOM;MASC;SG	
večje	większej	velik	duży	ADJ;NOM;CMPR;NEUT;SG	ADJ;GEN;CMPR;FEM;SG
večje	większego	velik	duży	ADJ;NOM;CMPR;NEUT;SG	ADJ;ACC;CMPR;MASC;SG
finska	finlandii	finski	finlandia	ADJ;NOM;FEM;SG	PROPN;GEN;FEM;SG
finska	finlandia	finski	finlandia	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
organizacije	organizacji	organizacija	organizacja	N;NOM;FEM;PL	N;GEN;FEM;SG
naselja	osiedla	naselje	osiedle	N;NOM;NEUT;PL	
naselja	osady	naselje	osada	N;NOM;NEUT;PL	
naselja	ugody	naselje	ugoda	N;NOM;NEUT;PL	
največ	max	največ	max	DET	
največ	maks	največ	maks	DET	
največ	większość	največ	większość	DET	N;NOM;FEM;SG
največ	najczęściej	največ	często	DET	ADV;RL
največ	większości	največ	większość	DET	N;GEN;FEM;SG
največ	najbardziej	največ	bardzo	DET	ADV;RL
vojsko	army	vojska	arma	N;ACC;FEM;SG	
vojsko	wojska	vojska	wojsko	N;ACC;FEM;SG	N;NOM;NEUT;SG
vojsko	wojsko	vojska	wojsko	N;ACC;FEM;SG	N;NOM;NEUT;SG
vojsko	armia	vojska	armia	N;ACC;FEM;SG	N;NOM;FEM;SG
vojsko	armii	vojska	armia	N;ACC;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
stoji	stałego	stati	stały	V;IPFV;IND;SG;3;PRS;FIN	ADJ;ACC;MASC;SG
stoji	stały	stati	stać	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;PL;PST;FIN;ACT
stoji	stojący	stati	stać	V;IPFV;IND;SG;3;PRS;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
stoji	stoiska	stati	stoisko	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
njihovo	ich	njihov	on	DET;NOM;NEUT;SG;3	PRO;GEN;MASC;PL;3
muzej	muzeum	muzej	muzeum	N;NOM;MASC;SG	N;ACC;NEUT;SG
muzej	museum	muzej	museum	N;NOM;MASC;SG	
thomas	tomasz	thomas	tomasz	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
thomas	tomaszu	thomas	tomasz	N;NOM;MASC;SG	N;VOC;MASC;SG
thomas	thomas	thomas	thomas	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
last	własności	last	własność	N;NOM;FEM;SG	N;ACC;FEM;SG
last	nieruchomości	last	nieruchomość	N;NOM;FEM;SG	N;GEN;FEM;SG
last	własność	last	własność	N;NOM;FEM;SG	N;ACC;FEM;SG
navadno	zazwyczaj	navadno	zazwyczaj	ADV	
navadno	zwykle	navadno	zwykle	ADV	
navadno	przeważnie	navadno	przeważnie	ADV	
osebno	osobiscie	oseben	osobiscie	ADJ;NOM;NEUT;SG	
osebno	osobiście	oseben	osobiście	ADJ;NOM;NEUT;SG	ADV
sile	sił	sila	siła	N;NOM;FEM;PL	N;GEN;FEM;PL
sile	siły	sila	siła	N;NOM;FEM;PL	N;ACC;FEM;SG
gori	spalanie	goreti	spalać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
gori	pali	goreti	palić		V;IPFV;IND;SG;3;PRS;FIN;ACT
gori	płonie	goreti	płonąć		V;IPFV;IND;SG;3;PRS;FIN;ACT
gori	palenie	goreti	palen		N;NOM;NEUT;SG
gori	spalenie	goreti	spalenie		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
gori	pieczenie	goreti	pieczenie		N;NOM;NEUT;SG
gori	burns	goreti	burns		PROPN;NOM;MASC;SG
gori	oparzenia	goreti	oparzenie		N;NOM;NEUT;PL
gori	poparzenia	goreti	poparzyć		N;NOM;NEUT;SG
letala	samolotów	letalo	samolot	N;NOM;NEUT;PL	N;GEN;MASC;PL
letala	samolotów	letalo	samolot	N;NOM;NEUT;PL	N;GEN;MASC;PL
letala	samolot	letalo	samolot	N;NOM;NEUT;PL	N;NOM;MASC;SG
letala	samolotów	letalo	samolot	N;NOM;NEUT;PL	N;GEN;MASC;PL
letala	płaszczyzny	letalo	płaszczyzna	N;NOM;NEUT;PL	N;ACC;FEM;PL
oblasti	władzom	oblast	władza	N;NOM;FEM;PL	N;DAT;FEM;PL
more	koszmary	moči	koszmar	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
more	koszmarów	moči	koszmar	V;IPFV;IND;SG;3;PRS;FIN	N;GEN;MASC;PL
karl	karla	karla	karla	PROPN;NOM;MASC;SG	
karl	karol	karla	karol	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
karl	karl	karla	karla	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
net	net	net	net	N;NOM;MASC;SG	
net	netto	net	netto	N;NOM;MASC;SG	
cesarstva	imperia	cesarstvo	imperia	N;GEN;NEUT;SG	
nazaj	back	nazaj	back	ADV	
nazaj	wstecz	nazaj	wstecz	ADV	
nazaj	powrót	nazaj	powrót	ADV	
profesor	profesorze	profesor	profesor	N;NOM;MASC;SG	N;VOC;MASC;SG
šole	szkół	šola	szkół	N;NOM;FEM;PL	
šole	szkoły	šola	szkoła	N;NOM;FEM;PL	N;GEN;FEM;SG
šole	szkoły	šola	szkoła	N;NOM;FEM;PL	N;GEN;FEM;SG
šole	szkoła	šola	szkoła	N;NOM;FEM;PL	N;NOM;FEM;SG
hitrost	prędkości	hitrost	prędkość	N;NOM;FEM;SG	N;GEN;FEM;SG
hitrost	speed	hitrost	speed	N;NOM;FEM;SG	
hitrost	szybkość	hitrost	szybkość	N;NOM;FEM;SG	N;ACC;FEM;SG
dolgo	długi	dolgo	długi	ADV	
dolgo	długa	dolgo	długi	ADV	ADJ;NOM;FEM;SG
dolgo	długie	dolgo	długi	ADV	ADJ;NOM;NEUT;SG
dolgo	long	dolgo	long	ADV	
študij	studia	študij	studia	N;NOM;MASC;SG	N;NOM;NEUT;PL
študij	badania	študij	badanie	N;NOM;MASC;SG	N;NOM;NEUT;PL
študij	studiów	študij	studia	N;NOM;MASC;SG	N;GEN;NEUT;PL
pokal	trophy	pokal	trophy	N;NOM;MASC;SG	
pokal	trofea	pokal	trofe	N;NOM;MASC;SG	N;NOM;MASC;PL
pokal	trofeum	pokal	trofeum	N;NOM;MASC;SG	N;ACC;MASC;SG
pokal	puchar	pokal	puchar	N;NOM;MASC;SG	N;ACC;MASC;SG
pokal	cup	pokal	cup	N;NOM;MASC;SG	
hrvaška	chorwacji	hrvaški	chorwacja	ADJ;NOM;FEM;SG	N;GEN;FEM;SG
hrvaška	chorwacja	hrvaški	chorwacja	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
uporabe	wykorzystuje	uporaba	wykorzystywać	N;GEN;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
uporabe	używa	uporaba	używać	N;GEN;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
uporabe	zastosowań	uporaba	zastosowanie	N;GEN;FEM;SG	N;GEN;NEUT;PL
gora	gora	gora	gora	N;NOM;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
gora	górski	gora	górski	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
gora	mountain	gora	mountain	N;NOM;FEM;SG	
gora	góra	gora	góra	N;NOM;FEM;SG	
gora	góry	gora	góra	N;NOM;FEM;SG	N;NOM;FEM;PL
des	des	des	des		
mercedes	mercedes	mercedes	mercedes	N;NOM;MASC;SG	
mercedes	mercedesa	mercedes	mercedes	N;NOM;MASC;SG	N;ACC;MASC;SG
ret	ret	reta	ret	N;NOM;MASC;SG	
stoletje	wieku	stoletje	wiek	N;NOM;NEUT;SG	N;GEN;MASC;SG
vpliv	uderzenia	vpliv	uderzenie	N;NOM;MASC;SG	N;NOM;NEUT;PL
vpliv	wpływy	vpliv	wpływ	N;NOM;MASC;SG	N;NOM;MASC;PL
vodo	woda	voda	woda	N;ACC;FEM;SG	N;NOM;FEM;SG
vodo	wody	voda	woda	N;ACC;FEM;SG	N;GEN;FEM;SG
ustanovil	założone	ustanoviti	założyć	V;PFV;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ustanovil	założony	ustanoviti	założyć	V;PFV;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ustanovil	założona	ustanoviti	założyć	V;PFV;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
nagrade	nagród	nagrada	nagroda	N;NOM;FEM;PL	
nagrade	nagród	nagrada	nagroda	N;NOM;FEM;PL	
nagrade	nagród	nagrada	nagroda	N;NOM;FEM;PL	
morda	może	morda	móc	PART	V;IPFV;IND;SG;3;PRS;FIN;ACT
postane	staje	postati	stawać	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
obliko	kształt	oblika	kształt	N;ACC;FEM;SG	N;NOM;MASC;SG
obliko	kształtu	oblika	kształt	N;ACC;FEM;SG	N;GEN;MASC;SG
obliko	postać	oblika	postać	N;ACC;FEM;SG	N;NOM;FEM;SG
obliko	forma	oblika	forma	N;ACC;FEM;SG	N;NOM;FEM;SG
obliko	formy	oblika	forma	N;ACC;FEM;SG	N;ACC;FEM;PL
obliko	formularza	oblika	formularz	N;ACC;FEM;SG	N;GEN;MASC;SG
severno	północnej	severen	północny	ADV	ADJ;GEN;FEM;SG
severno	północ	severen	północ	ADV	N;NOM;FEM;SG
severno	north	severen	north	ADV	
severno	północ	severen	północ	ADV	N;NOM;FEM;SG
severno	północna	severen	północny	ADV	
severno	północne	severen	północny	ADV	ADJ;NOM;NEUT;SG
severno	północnej	severen	północny	ADV	ADJ;GEN;FEM;SG
severno	północny	severen	północny	ADV	N;ACC;MASC;SG
enako	równo	enako	równo	ADV	
enako	nawzajem	enako	nawzaj	ADV	V;IPFV;IND;PL;2;PRS;FIN;ACT
enako	ditto	enako	ditto	ADV	
enako	równe	enako	równy	ADV	
enako	równa	enako	równać	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
enako	równy	enako	równy	ADV	
skupnosti	społeczności	skupnost	społeczność	N;GEN;FEM;PL	N;GEN;FEM;SG
skupnosti	wspólnot	skupnost	wspólnot	N;GEN;FEM;PL	
skupnosti	wspólnoty	skupnost	wspólnota	N;GEN;FEM;PL	N;GEN;FEM;SG
skupnosti	społeczność	skupnost	społeczność	N;GEN;FEM;PL	N;NOM;FEM;SG
skupnosti	społeczności	skupnost	społeczność	N;GEN;FEM;PL	N;GEN;FEM;SG
skupnosti	wspólnoty	skupnost	wspólnota	N;GEN;FEM;PL	N;GEN;FEM;SG
skupnosti	wspólnota	skupnost	wspólnota	N;GEN;FEM;PL	N;NOM;FEM;SG
milijonov	milion	milijon	milion	N;GEN;MASC;PL	
milijonov	mln	milijon	mlna	N;GEN;MASC;PL	
milijonov	miliony	milijon	miliony	N;GEN;MASC;PL	
področja	domeny	področje	domen	N;NOM;NEUT;PL	
področja	dziedziny	področje	dziedzina	N;NOM;NEUT;PL	N;GEN;FEM;PL
področja	obszarach	področje	obszary	N;NOM;NEUT;PL	N;GEN;MASC;PL
društva	społeczeństw	društvo	społeczeństwo	N;NOM;NEUT;PL	N;GEN;NEUT;PL
društva	społeczeństwa	društvo	społeczeństwo	N;NOM;NEUT;PL	N;GEN;NEUT;SG
smrt	śmierci	smrt	śmierć	N;NOM;FEM;SG	N;GEN;FEM;SG
smrt	death	smrt	death	N;NOM;FEM;SG	
france	francji	franca	francja	N;NOM;MASC;SG	PROPN;GEN;FEM;SG
france	france	franca	franka	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
und	und	und	unda		V;IPFV;IMP;SG;2;FIN;ACT
smeri	kierunki	smer	kierunek	N;NOM;FEM;SG	N;NOM;MASC;PL
voda	wody	voda	woda	N;NOM;FEM;SG	N;GEN;FEM;SG
podjetja	spółki	podjetje	spółka	N;NOM;NEUT;PL	
podjetja	przedsiębiorstw	podjetje	przedsiębiorstwo	N;NOM;NEUT;PL	
podjetja	przedsiębiorstwa	podjetje	przedsiębiorstwa	N;NOM;NEUT;PL	N;NOM;NEUT;SG
podjetja	firm	podjetje	firma	N;NOM;NEUT;PL	
podjetja	przedsiębiorstw	podjetje	przedsiębiorstwo	N;NOM;NEUT;PL	
podjetja	przedsiębiorstwa	podjetje	przedsiębiorstwa	N;NOM;NEUT;PL	N;NOM;NEUT;SG
podjetja	przedsiębiorstwa	podjetje	przedsiębiorstwa	N;NOM;NEUT;PL	N;NOM;NEUT;SG
podjetja	firm	podjetje	firma	N;NOM;NEUT;PL	
podjetja	firm	podjetje	firma	N;NOM;NEUT;PL	
angleško	angielski	angleško	angielski	ADV	ADJ;NOM;MASC;SG
angleško	anglik	angleško	anglik	ADV	N;NOM;MASC;SG
uradno	oficjalne	uradno	oficjalny	ADV	ADJ;NOM;NEUT;SG
uradno	oficjalna	uradno	oficjalny	ADV	ADJ;NOM;FEM;SG
uradno	urzędnik	uradno	urzędnik	ADV	N;NOM;MASC;SG
uradno	urzędowym	uradno	urzędowy	ADV	ADJ;INS;MASC;SG
uradno	oficjalny	uradno	oficjalny	ADV	ADJ;NOM;MASC;SG
glavna	główna	glaven	główna	ADJ;NOM;FEM;SG	
glavna	main	glaven	main	ADJ;NOM;FEM;SG	
delovanje	operacje	delovanje	operacja	N;NOM;NEUT;SG	N;NOM;FEM;PL
delovanje	funkcjonuje	delovanje	funkcjonować	N;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
delovanje	funkcjonowaniu	delovanje	funkcjonować	N;NOM;NEUT;SG	N;DAT;NEUT;SG
renault	renault	renaulta	renault	N;NOM;MASC;SG	
izvor	pochodzenia	izvor	pochodzić	N;NOM;MASC;SG	N;GEN;NEUT;SG
gehrels	gehrels	gehrels	gehrels	N;NOM;MASC;SG	
vsem	wszystkie	ves	wszystek	DET;DAT;MASC;PL	DET;NOM;MASC;PL
vsem	wszystko	ves	wszystko	DET;DAT;MASC;PL	PRO;NOM;NEUT;SG
vsem	all	ves	all	DET;DAT;MASC;PL	
vsem	wszyscy	ves	wszyscy	DET;DAT;MASC;PL	PRO;NOM;MASC;PL
zakon	prawa	zakon	prawo	N;NOM;MASC;SG	
barve	kolor	barva	kolor	N;NOM;FEM;PL	N;NOM;MASC;SG
barve	barwa	barva	barwa	N;NOM;FEM;PL	N;NOM;FEM;SG
barve	koloru	barva	kolor	N;NOM;FEM;PL	N;GEN;MASC;SG
barve	barwy	barva	barwa	N;NOM;FEM;PL	
barve	barwy	barva	barwa	N;NOM;FEM;PL	
barve	kolorów	barva	kolor	N;NOM;FEM;PL	N;GEN;MASC;PL
barve	kolor	barva	kolor	N;NOM;FEM;PL	N;NOM;MASC;SG
barve	barwa	barva	barwa	N;NOM;FEM;PL	N;NOM;FEM;SG
barve	kolorowy	barva	kolorowy	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
barve	farba	barva	farba	N;NOM;FEM;PL	N;NOM;FEM;SG
barve	farby	barva	farba	N;NOM;FEM;PL	N;ACC;FEM;PL
družba	society	družba	societa	N;NOM;FEM;SG	
družba	społeczeństwa	družba	społeczeństwo	N;NOM;FEM;SG	N;GEN;NEUT;SG
družba	firmy	družba	firma	N;NOM;FEM;SG	N;NOM;FEM;PL
družba	spółka	družba	spółka	N;NOM;FEM;SG	
posledica	konsekwencje	posledica	konsekwencja	N;NOM;FEM;SG	N;NOM;FEM;PL
posledica	konsekwencją	posledica	konsekwencja	N;NOM;FEM;SG	N;INS;FEM;SG
telo	body	telo	bód	N;NOM;NEUT;SG	
telo	nadwozia	telo	nadwóziać	N;NOM;NEUT;SG	
telo	ciała	telo	ciało	N;NOM;NEUT;SG	N;GEN;NEUT;SG
groeneveld	groeneveld	groeneveld	groeneveld	N;NOM;MASC;SG	
korpus	korpusu	korpus	korpus	N;NOM;MASC;SG	N;GEN;MASC;SG
vrednost	wartości	vrednost	wartość	N;NOM;FEM;SG	N;GEN;FEM;SG
splošno	generalnie	splošen	generalnie	ADJ;NOM;NEUT;SG	ADV
splošno	ogólnie	splošen	ogólnie	ADJ;NOM;NEUT;SG	ADV
splošno	ogólnie	splošen	ogólnie	ADJ;NOM;NEUT;SG	ADV
splošno	ogólnej	splošen	ogólny	ADJ;NOM;NEUT;SG	ADJ;GEN;FEM;SG
splošno	generał	splošen	generał	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
splošno	ogólnie	splošen	ogólnie	ADJ;NOM;NEUT;SG	ADV
world	świat	world	świat		N;NOM;MASC;SG
world	swiat	world	swiat		V;IPFV;MASC;IND;SG;PST;FIN;ACT
world	świata	world	świat		N;GEN;MASC;SG
world	świecie	world	świat		N;DAT;MASC;SG
world	world	world	world		
reki	rzeki	reka	rzeka	N;DAT;FEM;SG	
reki	river	reka	river	N;DAT;FEM;SG	
reki	rzeka	reka	rzeka	N;DAT;FEM;SG	N;NOM;FEM;SG
visoko	wysoka	visoko	wysoki	ADV	
visoko	wysokie	visoko	wysoki	ADV	V;PFV;IND;SG;FIN;ACT
visoko	high	visoko	high	ADV	
visoko	wysoki	visoko	wysoki	ADV	
posebno	specjalna	posebno	specjalny	ADV	ADJ;NOM;FEM;SG
posebno	specjalny	posebno	specjalny	ADV	ADJ;NOM;MASC;SG
posebno	specjalne	posebno	specjalny	ADV	ADJ;NOM;NEUT;SG
posebno	wyjątkowy	posebno	wyjątkowy	ADV	ADJ;NOM;MASC;SG
posebno	szczególne	posebno	szczególny	ADV	ADJ;NOM;NEUT;SG
reference	odniesienia	referenca	odnieść	N;NOM;FEM;PL	N;GEN;NEUT;SG
reference	referencji	referenca	referencja	N;NOM;FEM;PL	N;GEN;FEM;SG
reference	odnośniki	referenca	odnośnik	N;NOM;FEM;PL	N;ACC;MASC;PL
dal	dal	dati	dal	V;PFV;MASC;SG;V.PTCP	V;IPFV;IMP;SG;2;FIN;ACT
dal	dały	dati	dać	V;PFV;MASC;SG;V.PTCP	V;PFV;FEM;IND;PL;PST;FIN;ACT
meri	meri	mera	merieć	N;DAT;FEM;SG	PROPN;NOM;MASC;SG
ustanovljen	ustanowiono	ustanovljen	ustanowić	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
ustanovljen	ustalono	ustanovljen	ustalić	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
cesta	drogowy	cesta	drogowy	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
cesta	drogi	cesta	droga	N;NOM;FEM;SG	
cesta	drodze	cesta	droga	N;NOM;FEM;SG	N;DAT;FEM;SG
cesta	road	cesta	road	N;NOM;FEM;SG	
večkrat	wielokrotnie	večkrat	wielokrotnie	ADV;CMPR	ADV
kariere	kariera	kariera	kariera	N;NOM;FEM;PL	N;NOM;FEM;SG
kariere	kariery	kariera	kariera	N;NOM;FEM;PL	N;GEN;FEM;SG
kariere	karierę	kariera	kariera	N;NOM;FEM;PL	N;ACC;FEM;SG
kariere	kariera	kariera	kariera	N;NOM;FEM;PL	N;NOM;FEM;SG
kariere	kariery	kariera	kariera	N;NOM;FEM;PL	N;GEN;FEM;SG
dirkač	racer	dirkač	racer	N;NOM;MASC;SG	
