maurice	maurice	maurizar	maurice	PROPN	
pendiente	afventer	pendiente	afvente	ADJ;SG	V;IND;PRS;FIN;ACT
realista	realist	realista	realist	ADJ;SG	N;INDF;MASC+FEM;SG
realista	realistiske	realista	realistisk	ADJ;SG	ADJ;PL
century	århundrede	century	århundrede	PROPN	N;INDF;NEUT;SG
definitivo	afsluttende	definitivo	afslutte	ADJ;MASC;SG	V;PRS;V.PTCP
definitivo	endeligt	definitivo	endelig	ADJ;MASC;SG	ADV
definitivo	endelige	definitivo	endelig	ADJ;MASC;SG	ADJ;PL
definitivo	endelig	definitivo	endelig	ADJ;MASC;SG	ADV
definitivo	definitive	definitivo	definitiv	ADJ;MASC;SG	ADJ;PL
recordar	tilbagekaldelse	recordar	tilbagekaldelse	V;NFIN	N;INDF;MASC+FEM;SG
comenzando	begyndelse	comenzar	begyndelse	V;V.MSDR	N;INDF;MASC+FEM;SG
comenzando	begyndelsen	comenzar	begyndelse	V;V.MSDR	N;DEF;MASC+FEM;SG
comenzando	start	comenzar	start	V;V.MSDR	N;INDF;MASC+FEM;SG
testimonio	vidnet	testimonio	vidne	N;MASC;SG	V;INDF;SG;PST;V.PTCP
testimonio	vidner	testimonio	vidne	N;MASC;SG	N;INDF;NEUT;PL
aerolíneas	airlines	aerolínea	airline	N;FEM;PL	N;INDF;MASC+FEM;SG
aerolíneas	luftfartsselskab	aerolínea	luftfartsselskab	N;FEM;PL	N;INDF;NEUT;SG
aerolíneas	flyselskab	aerolínea	flyselskab	N;FEM;PL	N;INDF;NEUT;SG
bloques	blokke	bloque	blok	N;MASC;PL	N;INDF;NEUT;SG
positiva	positive	positivo	positiv	ADJ;FEM;SG	ADJ;PL
vidal	vidal	vidal	vidal	PROPN	
tomada	indtaget	tomado	indtage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
tomada	udtaget	tomado	udtage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
tomada	taget	tomado	tage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
balón	ball	balón	ball	N;MASC;SG	
fija	rettelser	fijo	rettelse	ADJ;FEM;SG	N;INDF;MASC+FEM;PL
alegría	joy	alegría	joy	N;FEM;SG	
alegría	juble	alegría	juble	N;FEM;SG	V;NFIN;ACT
luxemburgo	luxembourg	luxemburgo	luxembourg	N;MASC;SG	
prusia	preussiske	prusia	preussisk	N;FEM;SG	ADJ;PL
reconoció	anerkendte	reconocer	anerkende	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
cría	avlsdyr	cría	avlsdyr	N;FEM;SG	N;INDF;NEUT;PL
cross	cross	cross	cross	N	
cross	krydse	cross	krydse	N	V;NFIN;ACT
cross	krydser	cross	krydse	N	V;IND;PRS;FIN;ACT
ron	ron	ron	ron	N;MASC;SG	
ron	rom	ron	rom	N;MASC;SG	PROPN
estrada	estrada	estrada	estrada	N;SG	
vital	vitale	vital	vital	ADJ;SG	ADJ;PL
phoenix	phoenix	phoenix	phoenix	N;MASC;SG	
semi	semi	semi	semi		
varsovia	warszawa	varsovia	warszawa	N;FEM;SG	
masacre	massakrer	masacre	massakre	N;FEM;SG	N;INDF;MASC+FEM;PL
vinos	vin	vino	vin	N;MASC;PL	N;INDF;MASC+FEM;SG
vinos	vin	vino	vin	N;MASC;PL	N;INDF;MASC+FEM;SG
nominada	nominerede	nominado	nominere	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
nominada	udnævnt	nominado	udnævne	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
nominada	nomineret	nominado	nominere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
nominada	nominerede	nominado	nominere	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
nominada	udpeget	nominado	udpege	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
denuncia	rapporter	denuncia	rapport	N;FEM;SG	N;INDF;MASC+FEM;PL
denuncia	anmelde	denuncia	anmelde	N;FEM;SG	V;NFIN;ACT
frutas	frugt	fruta	frugt	N;FEM;PL	N;INDF;MASC+FEM;SG
frutas	frugt	fruta	frugt	N;FEM;PL	N;INDF;MASC+FEM;SG
obtenidos	opnåede	obtenido	opnå	ADJ;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
obtenidos	opnået	obtenido	opnå	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
graham	graham	graham	graham	PROPN	
delito	forbrydelser	delito	forbrydelse	N;MASC;SG	N;INDF;MASC+FEM;PL
preocupación	betænkeligheder	preocupación	betænkelighed	N;FEM;SG	N;INDF;MASC+FEM;PL
preocupación	bekymringer	preocupación	bekymring	N;FEM;SG	N;INDF;MASC+FEM;PL
preocupación	vedrører	preocupación	vedrøre	N;FEM;SG	V;IND;PRS;FIN;ACT
metales	metal	metal	metal	N;MASC;PL	N;INDF;MASC+FEM;SG
metales	metal	metal	metal	N;MASC;PL	N;INDF;MASC+FEM;SG
renfe	renfe	renfe	renfe	N;FEM;SG	
asistencias	bistår	asistencia	bistå	N;FEM;PL	V;IND;PRS;FIN;ACT
asistencias	assisterer	asistencia	assistere	N;FEM;PL	V;IND;PRS;FIN;ACT
creencias	overbevisning	creencia	overbevisning	N;FEM;PL	N;INDF;MASC+FEM;SG
creencias	troen	creencia	tro	N;FEM;PL	N;DEF;MASC+FEM;SG
creencias	tro	creencia	tro	N;FEM;PL	V;NFIN;ACT
sucre	sucre	sucre	sucr	N;MASC;SG	
baltimore	baltimore	baltimore	baltimor	N;MASC;SG	
party	party	party	party	N	
norman	norman	normar	norman	N;MASC;SG	
humberto	humberto	humberto	humberto	PROPN	
humberto	humbert	humberto	humber	PROPN	N;INDF;MASC+FEM;SG
humberto	umberto	humberto	umberto	PROPN	N;INDF;MASC+FEM;SG
humberto	hubert	humberto	hubert	PROPN	N;INDF;MASC+FEM;SG
participante	deltager	participante	deltage	N;SG	V;IND;PRS;FIN;ACT
aurora	aurora	aurora	aurora	N;FEM;SG	
quedarse	bliver	quedar	blive	V;SBJV;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
htm	htm	htm	htm		
australiana	australske	australiano	australsk	ADJ;FEM;SG	ADJ;PL
potosí	potosí	potosí	potosí	N;MASC;PL	
efectiva	effektive	efectivo	effektiv	ADJ;FEM;SG	ADJ;PL
constituyente	konstituerende	constituyente	konstituere	ADJ;SG	V;PRS;V.PTCP
constituyente	bestanddel	constituyente	bestanddel	ADJ;SG	N;INDF;MASC+FEM;SG
convertir	konverter	convertir	konvert	V;NFIN	N;INDF;MASC+FEM;SG
llanura	plain	llanura	plain	N;FEM;SG	
llanura	sletter	llanura	slette	N;FEM;SG	V;IND;PRS;FIN;ACT
levantamiento	løfte	levantamiento	løfte	N;MASC;SG	V;NFIN;ACT
hebreo	hebraisk	hebreo	hebraisk	N;MASC;SG	ADJ;INDF;SG
desea	ønske	desear	ønske	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
desea	wish	desear	wish	V;IND;SG;3;PRS;FIN	
thompson	thompson	thompson	thompson	N;MASC;SG	
jay	jay	jayto	jay	PROPN	
placas	plade	placa	plade	N;FEM;PL	N;INDF;MASC+FEM;SG
placas	nummerplade	placa	nummerplade	N;FEM;PL	N;INDF;MASC+FEM;SG
placas	tallerken	placa	tallerken	N;FEM;PL	N;INDF;MASC+FEM;SG
secreta	hemmelige	secreto	hemmelig	ADJ;FEM;SG	ADJ;PL
secreta	secret	secreto	secret	ADJ;FEM;SG	
secreta	hemmelighed	secreto	hemmelighed	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
comerciantes	erhvervsdrivende	comerciante	erhvervsdrivende	N;PL	ADJ
comerciantes	handlende	comerciante	handle	N;PL	V;PRS;V.PTCP
comerciantes	handlende	comerciante	handle	N;PL	V;PRS;V.PTCP
meseta	mesa	meseta	mesa	N;FEM;SG	
hamburgo	hamborg	hamburgo	hamborg	N;MASC;SG	PROPN
ordenado	ordineret	ordenado	ordinere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ordenado	bestilt	ordenado	bestille	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ordenado	bestilte	ordenado	bestille	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
ordenado	bestilles	ordenado	bestille	ADJ;MASC;SG;V.PTCP	V;IND;PRS;FIN;PASS
pereira	pereira	pereira	pereira	N;MASC;SG	
asociada	associeret	asociado	associere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
asociada	tilknyttet	asociado	tilknytte	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
asociada	medarbejder	asociado	medarbejder	ADJ;FEM;SG;V.PTCP	N;INDF;MASC+FEM;SG
asociada	associeret	asociado	associere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
estimada	skønnet	estimar	skønne	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
estimada	anslået	estimar	anslå	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
estimada	estimeret	estimar	estimere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
interfaz	grænseflader	interfaz	grænseflader	N;FEM;SG	N;INDF;MASC+FEM;PL
correa	correa	correa	correa	N;FEM;SG	
episcopal	episkopale	episcopal	episkopal	ADJ;SG	N;INDF;MASC+FEM;SG
circuitos	kredsløb	circuito	kredsløb	N;MASC;PL	N;INDF;NEUT;SG
circuitos	kredsløbet	circuito	kredsløb	N;MASC;PL	N;DEF;NEUT;SG
circuitos	kredsløb	circuito	kredsløb	N;MASC;PL	N;INDF;NEUT;SG
magallanes	magellan	magallan	magellan	N;MASC;PL	N;INDF;MASC+FEM;SG
auxiliar	medhjælper	auxiliar	medhjælpe	V;NFIN	N;INDF;MASC+FEM;SG
auxiliar	assistent	auxiliar	assistent	V;NFIN	N;INDF;MASC+FEM;SG
auxiliar	medhjælper	auxiliar	medhjælpe	V;NFIN	N;INDF;MASC+FEM;SG
corteza	gø	corteza	gø	N;FEM;SG	V;NFIN;ACT
anónimo	anonyme	anónimo	anonym	ADJ;MASC;SG	ADJ;PL
anónimo	anonymt	anónimo	anonymt	ADJ;MASC;SG	ADV
auge	bum	auge	bum	N;MASC;SG	
encargo	bestilt	encargo	bestille	N;MASC;SG	V;INDF;SG;PST;V.PTCP
encargo	bestilte	encargo	bestille	N;MASC;SG	V;IND;PST;FIN;ACT
encargo	order	encargo	orde	N;MASC;SG	
encargo	bestil	encargo	bestil	N;MASC;SG	V;IMP
sensación	føler	sensación	føle	N;FEM;SG	V;IND;PRS;FIN;ACT
suave	glatte	suave	glatte	ADJ;SG	ADJ;PL
suave	soft	suave	soft	ADJ;SG	
suave	bløde	suave	blød	ADJ;SG	ADJ;PL
suave	milde	suave	milde	ADJ;SG	ADJ;PL
suave	blidt	suave	blidt	ADJ;SG	ADV
suave	blide	suave	blide	ADJ;SG	ADJ;PL
constantes	konstant	constante	konstant	ADJ;PL	ADJ;INDF;SG
constantes	konstanter	constante	konstant	ADJ;PL	N;INDF;MASC+FEM;PL
viaja	rejser	viajar	rejse	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
cbs	centralbanker	cbs	centralbank	N;FEM;SG	N;INDF;MASC+FEM;PL
suizo	schweiz	suizo	schweiz	N;MASC;SG	
suizo	schweizisk	suizo	schweizisk	N;MASC;SG	ADJ;INDF;SG
suizo	schweiziske	suizo	schweizisk	N;MASC;SG	ADJ;PL
jamaica	jamaica	jamaica	jamaica	N;FEM;SG	
jamaica	jamaicanske	jamaica	jamaicansk	N;FEM;SG	ADJ;PL
sencilla	simple	sencillo	simpel	ADJ;FEM;SG	ADJ;PL
censura	ucensureret	censura	ucensurere	N;FEM;SG	ADJ;INDF;SG
censura	censurere	censura	censurere	N;FEM;SG	V;NFIN;ACT
rebelde	rebel	rebelde	rebel	ADJ;SG	N;INDF;MASC+FEM;SG
rebelde	oprører	rebelde	oprøre	ADJ;SG	N;INDF;MASC+FEM;SG
roll	trille	roll	trille	N;MASC;SG	V;NFIN;ACT
roll	rulle	roll	rulle	N;MASC;SG	V;NFIN;ACT
roll	roll	roll	roll	N;MASC;SG	
roll	rul	roll	rul	N;MASC;SG	V;IMP
paco	paco	paco	paco	PROPN	
matías	mathias	matía	mathias	PROPN	
matías	matías	matía	matías	PROPN	
matías	matthias	matía	matthias	PROPN	
nancy	nancy	nancy	nancy	N;FEM;SG	
marítima	maritime	marítimo	maritim	ADJ;FEM;SG	ADJ;PL
crimea	krim	crimea	krim	ADJ;SG	PROPN
crimea	krim	crimea	krim	ADJ;SG	PROPN
liberado	frigjort	liberado	frigjort	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
liberado	udgivet	liberado	udgive	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
liberado	løsladt	liberado	løsladt	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
liberado	frigivet	liberado	frigiv	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
liberado	befriede	liberado	befri	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
liberado	befriet	liberado	befri	ADJ;MASC;SG;V.PTCP	N;DEF;NEUT;SG
liberado	befriet	liberado	befri	ADJ;MASC;SG;V.PTCP	N;DEF;NEUT;SG
liberado	befriede	liberado	befri	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
liberado	frigjort	liberado	frigjort	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
liberado	frigjorte	liberado	frigjort	ADJ;MASC;SG;V.PTCP	ADJ;PL
enciclopédico	encyklopædisk	enciclopédico	encyklopædisk	ADJ;MASC;SG	ADV
libertador	befrier	libertador	befri	N;MASC;SG	V;IND;PRS;FIN;ACT
generalidad	generalitat	generalidad	generalitat	N;FEM;SG	
efectivamente	effektivt	efectivamente	effektiv	ADV	ADJ;INDF;NEUT;SG
seca	tørre	seco	tør	ADJ;FEM;SG	ADJ;PL
seca	tør	seco	turde	ADJ;FEM;SG	V;IND;PRS;FIN;ACT
seca	tørres	seco	tør	ADJ;FEM;SG	V;NFIN;PASS
seca	tørrede	seco	tørre	ADJ;FEM;SG	V;PL;PST;V.PTCP
seca	tørret	seco	tørre	ADJ;FEM;SG	V;INDF;SG;PST;V.PTCP
medir	måling	medir	måling	V;NFIN	N;INDF;MASC+FEM;SG
medir	foranstaltning	medir	foranstaltning	V;NFIN	N;INDF;MASC+FEM;SG
asume	antag	asumir	antag	V;IND;SG;3;PRS;FIN	V;IMP
aparente	tilsyneladende	aparente	tilsyneladende	ADJ;SG	ADV
discusiones	diskussion	discusión	diskussion	N;FEM;PL	N;INDF;MASC+FEM;SG
discusiones	drøftelse	discusión	drøftelse	N;FEM;PL	N;INDF;MASC+FEM;SG
discusiones	debat	discusión	debat	N;FEM;PL	N;INDF;MASC+FEM;SG
discusiones	argumentation	discusión	argumentation	N;FEM;PL	N;INDF;MASC+FEM;SG
stanley	stanley	stanley	stanley	PROPN	N;INDF;MASC+FEM;SG
stanley	gøg	stanley	gøg	PROPN	N;INDF;MASC+FEM;SG
realistas	realistisk	realista	realistisk	N;PL	ADJ;INDF;SG
realistas	realistiske	realista	realistisk	N;PL	ADJ;PL
realistas	realist	realista	realist	N;PL	N;INDF;MASC+FEM;SG
rin	rin	rin	rin	N;MASC;SG	
animada	animeret	animado	animere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
animada	livligt	animado	livligt	ADJ;FEM;SG;V.PTCP	ADV
animada	livlige	animado	livlig	ADJ;FEM;SG;V.PTCP	ADJ;PL
nativa	indfødte	nativo	indføde	ADJ;FEM;SG	V;PL;PST;V.PTCP
intensa	intenst	intenso	intenst	ADJ;FEM;SG	ADV
intensa	intense	intenso	intense	ADJ;FEM;SG	ADJ;PL
duelo	sørgende	duelo	sørge	N;MASC;SG	V;PRS;V.PTCP
duelo	sørger	duelo	sørge	N;MASC;SG	V;IND;PRS;FIN;ACT
duelo	sørger	duelo	sørge	N;MASC;SG	V;IND;PRS;FIN;ACT
legend	legende	legend	lege	N	V;PRS;V.PTCP
seattle	seattle	seattle	seattle	N;MASC;SG	
rectangular	rektangulær	rectangular	rektangulær	ADJ;SG	N;INDF;MASC+FEM;SG
rectangular	rektangulære	rectangular	rektangulær	ADJ;SG	ADJ;PL
acústica	akustik	acústicar	akustik	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
acústica	akustiske	acústicar	akustisk	ADJ;FEM;SG	ADJ;PL
innovación	fornyelser	innovación	fornyelse	N;FEM;SG	N;INDF;MASC+FEM;PL
hueso	bone	hueso	bone	N;MASC;SG	
hueso	knogler	hueso	knogle	N;MASC;SG	N;INDF;MASC+FEM;PL
administrativas	administrativ	administrativo	administrativ	ADJ;FEM;PL	ADJ;INDF;MASC+FEM;SG
administrativas	administrativt	administrativo	administrativt	ADJ;FEM;PL	ADV
donald	donald	donald	donald	N;SG	
rincón	rincón	rincón	rincón	N;MASC;SG	
jacob	jacob	jacob	jacob	PROPN	
jacob	jakob	jacob	jakob	PROPN	
baño	bad	baño	bede	N;MASC;SG	V;IND;PST;FIN;ACT
seguros	forsikring	seguro	forsikring	N;MASC;PL	N;INDF;MASC+FEM;SG
seguros	forsikringen	seguro	forsikring	N;MASC;PL	N;DEF;MASC+FEM;SG
correr	run	correr	run	V;NFIN	
correr	løb	correr	løb	V;NFIN	N;INDF;NEUT;SG
correr	jogging	correr	jogging	V;NFIN	N;INDF;MASC+FEM;SG
telecomunicaciones	telecom	telecomunicación	telecom	N;FEM;PL	
telecomunicaciones	telekom	telecomunicación	telekom	N;FEM;PL	
telecomunicaciones	telekommunikation	telecomunicación	telekommunikation	N;FEM;PL	N;INDF;MASC+FEM;SG
telecomunicaciones	telekom	telecomunicación	telekom	N;FEM;PL	
telecomunicaciones	telekommunikation	telecomunicación	telekommunikation	N;FEM;PL	N;INDF;MASC+FEM;SG
arequipa	arequipa	arequipa	arequipa	N;FEM;SG	
iris	iris	iris	iris	N;MASC;SG	
maldonado	maldonado	maldonar	maldonado	N;MASC;SG	
cantando	messen	cantar	messe	V;V.MSDR	N;DEF;MASC+FEM;SG
cantando	messe	cantar	messe	V;V.MSDR	N;INDF;MASC+FEM;SG
cantando	sang	cantar	sang	V;V.MSDR	N;INDF;MASC+FEM;SG
examen	gennemgå	examen	gennemgå	N;MASC;SG	V;NFIN;ACT
examen	gennemse	examen	gennemse	N;MASC;SG	
depósitos	indskud	depósito	indskud	N;MASC;PL	N;INDF;NEUT;SG
depósitos	deponering	depósito	deponering	N;MASC;PL	N;INDF;MASC+FEM;SG
depósitos	depositum	depósito	depositum	N;MASC;PL	N;INDF;NEUT;SG
ocasionalmente	lejlighedsvise	ocasionalmente	lejlighedsvise	ADV	ADJ;PL
invitada	gæsten	invitada	gæsten	ADJ;FEM;SG;V.PTCP	N;DEF;MASC+FEM;SG
invitada	gæst	invitada	gæst	ADJ;FEM;SG;V.PTCP	N;INDF;MASC+FEM;SG
invitada	indbudt	invitada	indbudt	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
invitada	inviteret	invitada	invitere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
invitada	inviterede	invitada	invitere	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
rap	rappe	rap	rappe	N;MASC;SG	V;NFIN;ACT
respondió	besvarede	responder	besvare	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
respondió	besvarede	responder	besvare	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
turistas	turist	turista	turist	N;PL	N;INDF;MASC+FEM;SG
darío	darío	darío	darío	N;MASC;SG	
actuando	skuespil	actuar	skuespil	V;V.MSDR	N;INDF;NEUT;SG
lituania	litauisk	lituania	litauisk	N;FEM;SG	ADJ;INDF;SG
lituania	litauiske	lituania	litauisk	N;FEM;SG	ADJ;PL
lituania	litauen	lituania	litaue	N;FEM;SG	PROPN
tendencias	trend	tendencia	trend	N;FEM;PL	N;INDF;MASC+FEM;SG
tendencias	tendens	tendencia	tendens	N;FEM;PL	N;INDF;MASC+FEM;SG
tendencias	trends	tendencia	trends	N;FEM;PL	N;INDF;NEUT;SG
tendencias	populært	tendencia	populær	N;FEM;PL	ADJ;INDF;NEUT;SG
tendencias	populære	tendencia	populær	N;FEM;PL	ADJ;PL
secretos	hemmelige	secreto	hemmelig	N;MASC;PL	ADJ;PL
secretos	hemmelig	secreto	hemmelig	N;MASC;PL	ADJ;INDF;MASC+FEM;SG
secretos	secret	secreto	secret	N;MASC;PL	
secretos	hemmelighed	secreto	hemmelighed	N;MASC;PL	N;INDF;MASC+FEM;SG
secretos	hemmeligt	secreto	hemmelig	N;MASC;PL	ADJ;INDF;NEUT;SG
tommy	tommy	tommy	tommy	PROPN	
exhibición	udstille	exhibición	udstille	N;FEM;SG	V;NFIN;ACT
exhibición	udstillinger	exhibición	udstilling	N;FEM;SG	N;INDF;MASC+FEM;PL
amistoso	venlige	amistoso	venlig	ADJ;MASC;SG	ADJ;PL
amistoso	venskabeligt	amistoso	venskabelig	ADJ;MASC;SG	ADV
convenio	covenant	convenio	covenant	N;MASC;SG	
temprano	tidlig	temprano	tidlig	ADV	ADJ;INDF;MASC+FEM;SG
direcciones	adresse	dirección	adresse	N;FEM;PL	N;INDF;MASC+FEM;SG
now	nu	now	nu		ADV
delitos	kriminalitet	delito	kriminalitet	N;MASC;PL	N;INDF;MASC+FEM;SG
sonic	sonic	sonic	sonic	N;MASC;SG	
espectro	specter	espectro	specte	N;MASC;SG	
espectro	wraith	espectro	wraith	N;MASC;SG	
espectro	spektre	espectro	spekter	N;MASC;SG	N;INDF;NEUT;PL
espectro	frekvenser	espectro	frekvens	N;MASC;SG	N;INDF;MASC+FEM;PL
espectro	spectre	espectro	specte	N;MASC;SG	
serio	alvorlige	serio	alvorlig	ADJ;MASC;SG	ADJ;PL
serio	seriøst	serio	seriøst	ADJ;MASC;SG	ADV
serio	alvorligt	serio	alvorligt	ADJ;MASC;SG	ADV
serio	seriøse	serio	seriøs	ADJ;MASC;SG	ADJ;PL
conducción	køre	conducción	køre	N;FEM;SG	V;NFIN;ACT
conducción	kører	conducción	køre	N;FEM;SG	V;IND;PRS;FIN;ACT
capacidades	kapacitet	capacidad	kapacitet	N;FEM;PL	N;INDF;MASC+FEM;SG
inteligente	snedigt	inteligente	snedigt	ADJ;SG	ADV
inteligente	intelligente	inteligente	intelligent	ADJ;SG	ADJ;PL
inteligente	kloge	inteligente	klog	ADJ;SG	ADJ;PL
introducido	indtastede	introducir	indtaste	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
introducido	trådte	introducir	træde	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
introducido	indtastet	introducir	indtaste	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
introducido	introduceret	introducir	introducere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
introducido	introducerede	introducir	introducere	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
introducido	indført	introducir	indføre	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
introducido	indførte	introducir	indføre	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
ficticio	fiktive	ficticio	fiktiv	ADJ;MASC;SG	ADJ;PL
ficticio	opdigtede	ficticio	opdigte	ADJ;MASC;SG	V;PL;PST;V.PTCP
ficticio	fiktive	ficticio	fiktiv	ADJ;MASC;SG	ADJ;PL
cia	cia	cia	cia	N;SG	
cia	cla	cia	cla	N;SG	
cia	cia	cia	cia	N;SG	
cia	cla	cia	cla	N;SG	
abundantes	rigelig	abundante	rigelig	ADJ;PL	ADJ;INDF;MASC+FEM;SG
conocía	vidste	conocer	vide	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
conocía	kendte	conocer	kende	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
cubrir	dækning	cubrir	dækning	V;NFIN	N;INDF;MASC+FEM;SG
cubrir	omslag	cubrir	omslag	V;NFIN	N;INDF;NEUT;SG
cubrir	cover	cubrir	cove	V;NFIN	N;INDF;MASC+FEM;SG
cubrir	dæk	cubrir	dæk	V;NFIN	N;INDF;NEUT;PL
citas	anførselstegn	cita	anførselstegn	N;FEM;PL	N;INDF;MASC+FEM;SG
citas	dating	cita	dating	N;FEM;PL	N;INDF;MASC+FEM;SG
citas	dater	cita	dater	N;FEM;PL	V;IND;PRS;FIN;ACT
aprobada	godkendt	aprobado	godkende	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
aprobada	godkendte	aprobado	godkende	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
filadelfia	philly	filadelfia	philly	N;FEM;SG	
decidido	besluttet	decidido	beslutte	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
decidido	besluttede	decidido	beslutte	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
decidido	fastlagt	decidido	fastlægge	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
decidido	fastslået	decidido	fastslå	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
decidido	bestemt	decidido	bestemt	ADJ;MASC;SG;V.PTCP	ADV
falso	falske	falso	falsk	ADJ;MASC;SG	ADJ;PL
falso	falske	falso	falsk	ADJ;MASC;SG	ADJ;PL
falso	fake	falso	fake	ADJ;MASC;SG	N;INDF;NEUT;SG
jesuitas	jesuit	jesuita	jesuit	N;PL	N;INDF;MASC+FEM;SG
jurídico	lovlige	jurídico	lovlig	ADJ;MASC;SG	ADJ;PL
jurídico	juridiske	jurídico	juridisk	ADJ;MASC;SG	ADJ;PL
destruida	udslettet	destruido	udslette	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
destruida	ødelagt	destruido	ødelægge	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
destruida	tilintetgjort	destruido	tilintetgjort	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
destruida	destrueret	destruido	destruere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
testigo	vidnet	testigo	vidne	N;MASC;SG	V;INDF;SG;PST;V.PTCP
testigo	vidner	testigo	vidne	N;MASC;SG	N;INDF;NEUT;PL
seguida	fulgte	seguido	følge	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
seguida	efterfulgt	seguido	efterfølge	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
seguida	fulgt	seguido	følge	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
seguida	følges	seguido	følges	ADJ;FEM;SG;V.PTCP	V;NFIN;PASS
bros	bros	bros	bros	N;MASC;SG	
kilómetro	mile	kilómetro	mil	N;MASC;SG	
kilómetro	kilometer	kilómetro	kilometer	N;MASC;SG	N;INDF;MASC+FEM;PL
bobby	bobby	bobby	bobby	PROPN	
lugo	lugo	lugo	lugo	N;MASC;SG	
turística	turist	turístico	turist	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
holandés	nederlandske	holandés	nederlandsk	N;MASC;SG	ADJ;PL
holandés	nederlandsk	holandés	nederlandsk	N;MASC;SG	ADJ;INDF;SG
holandés	hollandske	holandés	hollandsk	N;MASC;SG	ADJ;PL
holandés	hollandsk	holandés	hollandsk	N;MASC;SG	ADJ;INDF;SG
