château	σατό	châti	σατός	V;IND;PL;3;IPFV;FIN	N
coroană	στεφάνι	coroană	στεφάνι	N;INDF;FEM;SG	N;NOM;NEUT;SG
coroană	κορώνα	coroană	κορώνας	N;INDF;FEM;SG	N;GEN;FEM;PL
coroană	στέμμα	coroană	στέμμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
coroană	κράουν	coroană	κράω	N;INDF;FEM;SG	
coroană	κορόνα	coroană	κορόνας	N;INDF;FEM;SG	N;NOM;NEUT;SG
localizată	εντοπίστηκε	localiza	εντοπίζω	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
triburile	φυλές	trib	φυλή	N;DEF;FEM;PL	N;NOM;FEM;PL
mon	mon	mon	mon		
mon	μον	mon	μον		N
lisa	λίζα	lisa	λίζος	N;DEF;FEM;SG	N;NOM;FEM;SG
lisa	λίσα	lisa	λίσος	N;DEF;FEM;SG	
lisa	lisa	lisa	lisa	N;DEF;FEM;SG	
platoul	οροπέδιο	platou	οροπέδιο	N;DEF;MASC;SG	N;NOM;NEUT;SG
jpg}}	jpg}}	jpg}}	jpg}}		
păsările	πουλιά	pasăre	πουλί	N;DEF;FEM;PL	N;NOM;NEUT;PL
păsările	πτηνά	pasăre	πτηνώ	N;DEF;FEM;PL	N;NOM;NEUT;PL
arcul	τόξο	arc	τόξο	N;DEF;MASC;SG	N;NOM;NEUT;SG
arcul	υπόκλιση	arc	υπόκλιση	N;DEF;MASC;SG	N;ACC;FEM;SG
doc	doc	doc	doc		
doc	ντοκ	doc	ντοκ		
call	καλέστε	call	καλώ	N;INDF;MASC;SG	V;PFV;IMP;PL;2;FIN;ACT
call	κάλεσε	call	καλώ	N;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
cerul	ουρανού	cer	ουρανός	N;DEF;MASC;SG	N;GEN;NEUT;SG
cerul	ουρανός	cer	ουρανός	N;DEF;MASC;SG	ADJ;NOM;MASC;SG
cerul	ουρανό	cer	ουρανός	N;DEF;MASC;SG	N;ACC;MASC;SG
cerul	s	cer	s	N;DEF;MASC;SG	
cerul	σκάι	cer	σκάι	N;DEF;MASC;SG	
esențiale	απαραίτητος	esențial	απαραίτητος	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
esențiale	ουσιώδης	esențial	ουσιώδης	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
esențiale	απαραίτητο	esențial	απαραίτητος	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
esențiale	ουσιώδες	esențial	ουσιώδης	ADJ;INDF;FEM;PL	ADV
transferul	μεταφορά	transfer	μεταφορά	N;DEF;MASC;SG	N;NOM;FEM;SG
transferul	μετάθεση	transfer	μετάθεση	N;DEF;MASC;SG	N;ACC;FEM;SG
transferul	μεταβίβαση	transfer	μεταβίβαση	N;DEF;MASC;SG	N;ACC;FEM;SG
creatorul	δημιουργού	creator	δημιουργός	N;DEF;MASC;SG	N;GEN;MASC;SG
creatorul	δημιουργός	creator	δημιουργός	N;DEF;MASC;SG	N;NOM;MASC;SG
creatorul	δημιουργό	creator	δημιουργός	N;DEF;MASC;SG	N;ACC;MASC;SG
companiile	εταιρίες	companie	εταιρία	N;DEF;FEM;PL	N;NOM;FEM;PL
companiile	εταιρείες	companie	εταιρεία	N;DEF;FEM;PL	N;NOM;FEM;PL
silvia	σίλβια	silvie	σίλβια	N;DEF;FEM;SG	N;NOM;FEM;SG
silvia	σύλβια	silvie	σύλβια	N;DEF;FEM;SG	N;NOM;FEM;SG
silvia	σίλβια	silvie	σίλβια	N;DEF;FEM;SG	N;NOM;FEM;SG
silvia	σύλβια	silvie	σύλβια	N;DEF;FEM;SG	N;NOM;FEM;SG
gibson	γκίμπσον	gibson	γκίμπσον	PROPN	
înconjurată	περικυκλωμένος	înconjura	περικυκλωμένος	ADJ;INDF;FEM;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
înconjurată	περικυκλωμένοι	înconjura	περικυκλώνω	ADJ;INDF;FEM;SG	V;PFV;NOM;MASC;PL;V.PTCP;PASS
viktor	βίκτορ	viktor	βίκτορ	PROPN	
viktor	βίκτωρ	viktor	βίκτωρ	PROPN	PROPN;NOM;MASC;SG
adulți	ενήλικοι	adult	ενήλικος	N;INDF;MASC;PL	ADJ;NOM;MASC;PL
adulți	ενήλικες	adult	ενήλικος	N;INDF;MASC;PL	ADJ;NOM;FEM;PL
adulți	ενήλικο	adult	ενήλικος	N;INDF;MASC;PL	ADJ;NOM;NEUT;SG
adulți	ενήλικας	adult	ενήλικα	N;INDF;MASC;PL	ADJ;NOM;MASC;SG
adulți	ενήλικα	adult	ενήλικος	N;INDF;MASC;PL	ADV
adulți	ενήλικος	adult	ενήλικος	N;INDF;MASC;PL	ADJ;NOM;MASC;SG
adulți	ενήλικες	adult	ενήλικος	N;INDF;MASC;PL	ADJ;NOM;FEM;PL
copertă	κάλυμμα	copertă	κάλυμμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
copertă	κάλυψη	copertă	κάλυψη	N;INDF;FEM;SG	N;ACC;FEM;SG
copertă	εξώφυλλο	copertă	εξώφυλλο	N;INDF;FEM;SG	N;NOM;NEUT;SG
atribuită	απέδωσε	atribui	αποδίδω	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
atribuită	αποδόθηκε	atribui	αποδίδω	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
atribuită	αποδίδεται	atribui	αποδίδω	ADJ;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
wood	ξύλο	wood	ξύλο	PROPN	N;NOM;NEUT;SG
wood	ξυλεία	wood	ξυλεία	PROPN	N;NOM;FEM;SG
abc	abc	abc	abc	N;INDF;MASC;SG	
geo	geo	geo	geo	N;INDF;MASC;SG	
coordonatele	συντεταγμένες	coordonată	συντεταγμένος	N;DEF;FEM;PL	ADJ;NOM;FEM;PL
johan	γιόχαν	johan	γίοχας	PROPN	
santos	santos	santos	santos	PROPN	
santos	σάντος	santos	σάντος	PROPN	
gif	gif	gif	gif	N;INDF;MASC;SG	
armament	εξοπλισμών	armament	εξοπλισμός	N;INDF;MASC;SG	N;GEN;MASC;PL
credit	πιστωτική	credit	πιστωτικός	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
credit	credit	credit	credit	N;INDF;MASC;SG	
marcând	βαθμολόγησης	marca	βαθμολόγηση	V;V.MSDR	N;GEN;FEM;SG
visul	ονειρο	vis	ονειρο	N;DEF;MASC;SG	N;NOM;NEUT;SG
visul	όνειρο	vis	όνειρο	N;DEF;MASC;SG	N;NOM;NEUT;SG
visul	dream	vis	dream	N;DEF;MASC;SG	
visul	όνειρα	vis	όνειρα	N;DEF;MASC;SG	N;NOM;NEUT;PL
eddie	eddie	eddie	eddie	PROPN	
eddie	έντι	eddie	έντι	PROPN	
eddie	έντυ	eddie	έντυ	PROPN	N
mir	μιρ	mir	μιρ		
proporție	αναλογία	proporție	αναλογία	N;INDF;FEM;SG	N;ACC;FEM;SG
opoziția	αντιπολίτευσης	opoziție	αντιπολίτευση	N;DEF;FEM;SG	N;GEN;FEM;SG
opoziția	αντίθεση	opoziție	αντίθεση	N;DEF;FEM;SG	N;ACC;FEM;SG
opoziția	αντιπολίτευση	opoziție	αντιπολίτευση	N;DEF;FEM;SG	N;NOM;FEM;SG
jorge	χόρχε	jorge	χόρχω	PROPN	
frecvența	συχνότητα	frecvență	συχνότητα	N;DEF;FEM;SG	N;ACC;FEM;SG
atribuite	απέδωσε	atribuit	αποδίδω	ADJ;INDF;FEM;PL	V;PFV;IND;SG;3;PST;FIN;ACT
atribuite	αποδόθηκε	atribuit	αποδίδω	ADJ;INDF;FEM;PL	V;PFV;IND;SG;3;PST;FIN;PASS
atribuite	αποδίδεται	atribuit	αποδίδω	ADJ;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;PASS
bursă	υποτροφία	bursă	υποτροφία	N;INDF;FEM;SG	N;NOM;FEM;SG
rază	ακτίνα	rază	ακτίνα	N;INDF;FEM;SG	N;ACC;FEM;SG
dragomir	ντράγκομιρ	dragomir	ντράγκομιρ	PROPN	
reciproc	αμοιβαία	reciproc	αμοιβαίος	ADV	ADJ;NOM;FEM;SG
reciproc	αμοιβαίο	reciproc	αμοιβαίος	ADV	ADJ;NOM;NEUT;SG
extra	έξτρα	extra	έξτρο		N
extra	extra	extra	extra		
avansate	προηγμένη	avansat	προηγμένος	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
avansate	προχωρημένο	avansat	προχωρώ	ADJ;INDF;FEM;PL	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
avansate	προχωρημένη	avansat	προχωρώ	ADJ;INDF;FEM;PL	V;PFV;NOM;FEM;SG;V.PTCP;PASS
avansate	προηγμένο	avansat	προηγμένος	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
antena	πιάτο	antena	πιάτο	N;DEF;FEM;SG	N;NOM;NEUT;SG
antena	κεραία	antena	κεραίος	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	σκιά	umbră	σκιά	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	σκιά	umbră	σκιά	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	απόχρωση	umbră	απόχρωση	N;DEF;FEM;SG	N;NOM;FEM;SG
vocală	φωνήεν	vocal	φωνήεν	ADJ;INDF;FEM;SG	N;NOM;NEUT;SG
omorât	δολοφονήθηκε	omorât	δολοφονώ	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
omorât	δολοφονήθηκαν	omorât	δολοφονώ	ADJ;INDF;MASC;SG	V;PFV;IND;PL;3;PST;FIN;PASS
omorât	δολοφόνησε	omorât	δολοφονώ	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
omorât	σκότωσε	omorât	σκοτώνω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
omorât	σκοτώθηκε	omorât	σκοτώνω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
omorât	σκοτώθηκαν	omorât	σκοτώνω	ADJ;INDF;MASC;SG	V;PFV;IND;PL;3;PST;FIN;PASS
mărturii	κατάθεση	mărturie	κατάθεση	N;INDF;FEM;PL	N;ACC;FEM;SG
mărturii	μαρτυρία	mărturie	μαρτυρία	N;INDF;FEM;PL	N;NOM;FEM;SG
aaron	ααρών	aaron	ααρός	PROPN	N;NOM;MASC;SG
aaron	aaron	aaron	aaron	PROPN	
aaron	άαρον	aaron	άαρον	PROPN	
falls	πτώσεις	fall	πτώση	PROPN	N;NOM;FEM;PL
falls	καταρράκτες	fall	καταρράκτης	PROPN	N;NOM;MASC;PL
falls	φολς	fall	φολς	PROPN	
falls	πέφτει	fall	πέφτω	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
figură	σχήμα	figură	σχήμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
paraná	παρανά	paraná	παρανός	PROPN	
transformare	μεταμόρφωση	transformare	μεταμόρφωση	N;INDF;FEM;SG	N;NOM;FEM;SG
academică	ακαδημαϊκή	academic	ακαδημαϊκός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
academică	ακαδημαϊκά	academic	ακαδημαϊκός	ADJ;INDF;FEM;SG	ADV
academică	ακαδημαϊκό	academic	ακαδημαϊκός	ADJ;INDF;FEM;SG	N;NOM;NEUT;SG
promovează	προωθήστε	promova	προωθώ	V;IND;3;PRS;FIN	V;PFV;IMP;PL;2;FIN;ACT
promovează	προώθηση	promova	προώθηση	V;IND;3;PRS;FIN	N;ACC;FEM;SG
promovează	ώθηση	promova	ώθηση	V;IND;3;PRS;FIN	N;ACC;FEM;SG
promovează	τόνωση	promova	τόνωση	V;IND;3;PRS;FIN	N;ACC;FEM;SG
promovează	προωθήστε	promova	προωθώ	V;IND;3;PRS;FIN	V;PFV;IMP;PL;2;FIN;ACT
digitale	ψηφιακό	digital	ψηφιακός	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
digitale	ψηφιακά	digital	ψηφιακά	ADJ;INDF;FEM;PL	ADV
digitale	ψηφιακή	digital	ψηφιακός	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
digitale	digital	digital	digital	ADJ;INDF;FEM;PL	
abbas	αμπάς	abbas	αμπάς	N;INDF;MASC;SG	
grafic	γραφική	grafic	γραφικός	ADV	ADJ;NOM;FEM;SG
grafic	γράφημα	grafic	γράφημα	ADV	N;NOM;NEUT;SG
grafic	διάγραμμα	grafic	διάγραμμα	ADV	N;NOM;NEUT;SG
grafic	γραφικό	grafic	γραφικός	ADV	ADJ;NOM;NEUT;SG
grafic	γράφημα	grafic	γράφημα	ADV	N;NOM;NEUT;SG
grafic	διάγραμμα	grafic	διάγραμμα	ADV	N;NOM;NEUT;SG
contul	account	cont	account	N;DEF;MASC;SG	
contul	λογαριασμός	cont	λογαριασμός	N;DEF;MASC;SG	N;NOM;MASC;SG
contul	λογαριασμό	cont	λογαριασμός	N;DEF;MASC;SG	N;ACC;MASC;SG
pedeapsa	ποινή	pedeapsă	ποινή	N;DEF;FEM;SG	N;ACC;FEM;SG
pedeapsa	πέναλτι	pedeapsă	πέναλτι	N;DEF;FEM;SG	
pedeapsa	τιμωρία	pedeapsă	τιμωρία	N;DEF;FEM;SG	N;ACC;FEM;SG
bancă	τράπεζα	bancă	τράπεζα	N;INDF;FEM;SG	N;NOM;FEM;SG
bancă	bank	bancă	bank	N;INDF;FEM;SG	
bancă	πάγκος	bancă	πάγκος	N;INDF;FEM;SG	N;NOM;MASC;SG
bancă	παγκάκι	bancă	παγκάκι	N;INDF;FEM;SG	N;NOM;NEUT;SG
bancă	πάγκο	bancă	πάγκο	N;INDF;FEM;SG	N;ACC;MASC;SG
mei	μέι	meu	μέι	DET;MASC;PL;1	
sevilla	sevilla	sevilla	sevilla	PROPN	
sevilla	σεβίλλη	sevilla	σεβίλλη	PROPN	PROPN;NOM;FEM;SG
sevilla	σεβίλλη	sevilla	σεβίλλη	PROPN	PROPN;NOM;FEM;SG
definite	ορίζεται	definit	ορίζω	ADJ;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;PASS
definite	καθορισμένα	definit	καθορίζω	ADJ;INDF;FEM;PL	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
definite	καθορισμένη	definit	καθορίζω	ADJ;INDF;FEM;PL	V;PFV;NOM;FEM;SG;V.PTCP;PASS
definite	καθορισμένο	definit	καθορίζω	ADJ;INDF;FEM;PL	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
pauză	παύση	pauză	παύση	N;INDF;FEM;SG	N;ACC;FEM;SG
pauză	διάλειμμα	pauză	διάλειμμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
pauză	σπάσε	pauză	σπάω	N;INDF;FEM;SG	V;IPFV;IND;SG;1;PST;FIN;ACT
pauză	διακοπή	pauză	διακοπή	N;INDF;FEM;SG	N;ACC;FEM;SG
pauză	σπάσιμο	pauză	σπάσιμο	N;INDF;FEM;SG	N;NOM;NEUT;SG
allan	άλαν	allan	άλαν	PROPN	PROPN;NOM;MASC;SG
seminarul	σεμινάριο	seminar	σεμινάριο	N;DEF;MASC;SG	N;NOM;NEUT;SG
săptămâna	βδομάδα	săptămână	βδομάδα	N;DEF;FEM;SG	N;ACC;FEM;SG
săptămâna	εβδομάδα	săptămână	εβδομάδα	N;DEF;FEM;SG	N;ACC;FEM;SG
globală	παγκόσμια	global	παγκόσμιος	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
globală	global	global	global	ADJ;INDF;FEM;SG	
globală	παγκόσμιο	global	παγκόσμιος	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
torre	torre	torre	torre	PROPN	
conan	κόναν	conan	κόνω	PROPN	PROPN;NOM;MASC;SG
brescia	brescia	brescie	brescia	PROPN	
circuitul	κύκλωμα	circuit	κύκλωμα	N;DEF;MASC;SG	N;NOM;NEUT;SG
înfrânt	ηττήθηκε	înfrânt	ηττώμαι	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
înfrânt	νίκησε	înfrânt	νικώ	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
hrușciov	χρουστσόφ	hrușciov	χρουστσόφ	PROPN	
ferrara	φεράρα	ferrara	φεράρα	PROPN	PROPN;NOM;FEM;SG
string	χορδή	stringe	χορδή		N;NOM;FEM;SG
julian	τζούλιαν	julian	τζούλιαν	N;INDF;MASC;SG	
julian	julian	julian	julian	N;INDF;MASC;SG	
mandatului	εντολή	mandat	εντολή	N;DEF;MASC;SG	N;ACC;FEM;SG
collins	collins	collins	collins	PROPN	
collins	κόλλινς	collins	κόλλινς	PROPN	N;NOM;MASC;SG
collins	κόλινς	collins	κόλινς	PROPN	
ontario	οντάριο	ontario	οντάριο	PROPN	PROPN;NOM;FEM;SG
valoroase	πολύτιμος	valoros	πολύτιμος	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
valoroase	πολύτιμο	valoros	πολύτιμο	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
valoroase	πολύτιμη	valoros	πολύτιμος	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
manifestat	εκδηλώνεται	manifesta	εκδηλώνω	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
manifestat	εκδηλώθηκε	manifesta	εκδηλώνω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
reclamă	εμπορική	reclama	εμπορικός	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
reclamă	διαφήμιση	reclama	διαφήμιση	N;INDF;FEM;SG	N;NOM;FEM;SG
tong	τονγκ	tong	τονγκ	PROPN	
comunicații	επικοινωνία	comunicație	επικοινωνία	N;INDF;FEM;PL	N;NOM;FEM;SG
manga	manga	manga	manga		
electorală	εκλογική	electoral	εκλογικός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
indo	ινδο	indo	ινδος		N
marketing	marketing	marketing	marketing	N;INDF;MASC;SG	
declara	δηλώνω	declara	δηλώνω	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
montreal	μόντρεαλ	montreal	μόντρεαλ	PROPN	PROPN;NOM;FEM;SG
ribbentrop	ρίμπεντροπ	ribbentrop	ρίμπεντροπ	N;INDF;MASC;SG	
scade	μείωση	scădea	μείωση	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
scade	ελάττωση	scădea	ελάττωση	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
cheia	κλειδί	cheie	κλειδί	N;DEF;FEM;SG	N;NOM;NEUT;SG
cheia	πλήκτρο	cheie	πλήκτρο	N;DEF;FEM;SG	N;NOM;NEUT;SG
cheia	κλείδα	cheie	κλείδα	N;DEF;FEM;SG	N;NOM;FEM;SG
britannica	μπριτάνικα	britannic	μπριτάνικος	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
romanov	ρομανόφ	romanov	ρομανόφ	PROPN	N;MASC;SG
mecanice	μηχανικά	mecanic	μηχανικά	ADJ;INDF;FEM;PL	ADV
mecanice	μηχανικό	mecanic	μηχανικός	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
ascunde	απόκρυψη	ascunde	απόκρυψη	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
mobil	mobile	mobil	mobile	N;INDF;MASC;SG	
mobil	κινητή	mobil	κινητός	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
mobil	κινητά	mobil	κινητός	N;INDF;MASC;SG	N;NOM;NEUT;PL
sean	σον	sean	σον	PROPN	
sean	sean	sean	sean	PROPN	
sean	σων	sean	σε	PROPN	N;NOM;MASC;SG
schi	σκι	schi	σκι	N;INDF;MASC;SG	
schi	σκι	schi	σκι	N;INDF;MASC;SG	
fondarea	ιδρυτικό	fondare	ιδρυτικός	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
fondarea	ίδρυση	fondare	ίδρυση	N;DEF;FEM;SG	N;NOM;FEM;SG
maplandia	maplandia	maplandie	maplandia	N;INDF;MASC;SG	
aeroport	αερολιμένας	aeroport	αερολιμένος	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
talentul	ταλέντο	talent	ταλέντος	N;DEF;MASC;SG	N;NOM;NEUT;SG
talentul	ταλέντα	talent	ταλέντα	N;DEF;MASC;SG	N;NOM;NEUT;PL
oklahoma	οκλαχόμα	oklahoma	οκλαχόμα	PROPN	PROPN;NOM;FEM;SG
terestră	επίγεια	terestră	επίγεια	ADJ;INDF;FEM;SG	N;ACC;FEM;SG
permisiunea	άδεια	permisiune	άδεια	N;DEF;FEM;SG	N;NOM;FEM;SG
permisiunea	αδεια	permisiune	αδεια	N;DEF;FEM;SG	N;NOM;FEM;SG
bernhard	bernhard	bernhard	bernhard	PROPN	
nepoata	εγγονή	nepoată	εγγονή	N;DEF;FEM;SG	N;NOM;FEM;SG
nepoata	ανιψιά	nepoată	ανιψί	N;DEF;FEM;SG	N;NOM;FEM;SG
nepoata	ανηψιά	nepoată	ανηψί	N;DEF;FEM;SG	N;NOM;FEM;SG
bătut	χτυπημένο	bătut	χτυπημένος	ADJ;INDF;MASC;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
bătut	χτυπημένος	bătut	χτυπημένος	ADJ;INDF;MASC;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
pragul	κατώφλι	prag	κατώφλι	N;DEF;MASC;SG	N;NOM;NEUT;SG
ușa	πορτα	ușă	πορτα	N;DEF;FEM;SG	N;NOM;FEM;SG
ușa	πόρτα	ușă	πόρτα	N;DEF;FEM;SG	N;ACC;FEM;SG
alpha	alpha	alpha	alpha		
alpha	άλφα	alpha	άλφος		N
alpha	αλφα	alpha	αλφα		N
atlético	ατλέτικο	atlético	ατλέτικο	PROPN	
sprijină	στηρίγματα	sprijini	στήριγμα	V;IND;3;PRS;FIN	N;NOM;NEUT;PL
tipărită	τυπωμένο	tipărit	τυπωμένος	ADJ;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
tipărită	τυπωμένα	tipărit	τυπωμένος	ADJ;INDF;FEM;SG	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
rica	ρίκα	rica	ρίκα	PROPN	
imnul	ύμνος	imn	ύμνος	N;DEF;MASC;SG	N;NOM;MASC;SG
imnul	ύμνο	imn	ύμνο	N;DEF;MASC;SG	N;ACC;MASC;SG
chirurgie	χειρουργική	chirurgie	χειρουργικός	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
chirurgie	εγχείρηση	chirurgie	εγχείρηση	N;INDF;FEM;SG	N;ACC;FEM;SG
chirurgie	χειρουργείο	chirurgie	χειρουργείο	N;INDF;FEM;SG	N;NOM;NEUT;SG
afecta	επηρεάζουν	afecta	επηρεάζω	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
madison	μάντισον	madison	μάντισον	N;INDF;MASC;SG	
icoana	εικονίδιο	icoană	εικονίδιο	N;DEF;FEM;SG	N;NOM;NEUT;SG
icoana	είδωλο	icoană	είδωλος	N;DEF;FEM;SG	N;NOM;NEUT;SG
amy	amy	amy	amy	PROPN	
amy	έιμυ	amy	έιμυ	PROPN	N
amy	έιμι	amy	έιμι	PROPN	
klaus	κλάους	klaus	κλάος	PROPN	PROPN;NOM;MASC;SG
klaus	klaus	klaus	klaus	PROPN	
adriana	αντριάνα	adriană	αντριάνα	N;DEF;FEM;SG	N;NOM;FEM;SG
spațial	χωρικών	spațial	χωρικός	ADJ;INDF;MASC;SG	ADJ;GEN;FEM;PL
legislația	νομοθεσία	legislație	νομοθεσία	N;DEF;FEM;SG	N;NOM;FEM;SG
butler	μπάτλερ	butler	μπάτλερ	PROPN	
discutat	συζητήθηκε	discuta	συζητώ	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
discutat	συζήτησε	discuta	συζητώ	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
inutil	ανούσιο	inutil	ανούσιος	ADV	ADJ;NOM;NEUT;SG
inutil	άσκοπο	inutil	άσκοπος	ADV	ADJ;NOM;NEUT;SG
inutil	άσκοπη	inutil	άσκοπος	ADV	ADJ;NOM;FEM;SG
inutil	άχρηστο	inutil	άχρηστος	ADV	ADJ;NOM;NEUT;SG
inutil	άχρηστη	inutil	άχρηστος	ADV	ADJ;NOM;FEM;SG
inutil	ανώφελο	inutil	ανώφελος	ADV	N;NOM;NEUT;SG
inutil	άχρηστος	inutil	άχρηστος	ADV	ADJ;NOM;MASC;SG
inutil	χρηστος	inutil	χρηστος	ADV	PROPN;NOM;MASC;SG
rolling	κύλισης	rolling	κύλιση	PROPN	N;GEN;FEM;SG
explicație	επεξήγηση	explicație	επεξήγηση	N;INDF;FEM;SG	N;NOM;FEM;SG
explicație	εξήγηση	explicație	εξήγηση	N;INDF;FEM;SG	N;NOM;FEM;SG
hudson	χάντσον	hudson	χάντσον	PROPN	PROPN;NOM;MASC;SG
placa	πλακέτα	placă	πλακέτα	N;DEF;FEM;SG	N;NOM;FEM;SG
bursa	προύσα	bursă	προύσα	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
bursa	υποτροφία	bursă	υποτροφία	N;DEF;FEM;SG	N;NOM;FEM;SG
nori	συννεφιά	nor	συννεφιά	N;INDF;MASC;PL	N;NOM;FEM;SG
edmund	έντμουντ	edmunde	έντμουντ	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
edmund	έντμοντ	edmunde	έντμοντ	PROPN	PROPN;NOM;MASC;SG
mercedes	mercedes	mercedes	mercedes	N;INDF;MASC;SG	
mercedes	μερσέντες	mercedes	μερσέντης	N;INDF;MASC;SG	PROPN;NOM;FEM;PL
mercedes	μερσεντές	mercedes	μερσεντής	N;INDF;MASC;SG	N;NOM;FEM;PL
intelectuali	διανοούμενοι	intelectual	διανοούμενος	N;INDF;MASC;PL	V;PFV;NOM;MASC;PL;V.PTCP;PASS
intelectuali	πνευματική	intelectual	πνευματικός	N;INDF;MASC;PL	ADJ;NOM;FEM;SG
intelectuali	διανοητική	intelectual	διανοητικός	N;INDF;MASC;PL	ADJ;NOM;FEM;SG
împotrivă	ενάντια	împotriva	ενάντια		ADV
împotrivă	κόντρα	împotriva	κόντρο		N;ACC;FEM;SG
împotrivă	εναντίον	împotriva	εναντίον		ADP
protejat	προστατεύεται	protejat	προστατεύω	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
protejat	προστατευμένο	protejat	προστατεύω	ADJ;INDF;MASC;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
protejat	προστατευμένη	protejat	προστατεύω	ADJ;INDF;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
protejat	προστατευόμενων	protejat	προστατεύω	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL
protejat	προστατευμένος	protejat	προστατευμένος	ADJ;INDF;MASC;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
ronald	ρόναλντ	ronald	ρόναλντ	PROPN	PROPN;NOM;MASC;SG
alin	alin	alin	alin	PROPN	
colective	συλλογική	colectiv	συλλογικός	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
colective	συλλογικό	colectiv	συλλογικός	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
colective	συλλογικά	colectiv	συλλογικά	ADJ;INDF;FEM;PL	ADV
