for	varten	for	varten	ADP	ADV
esbjerg	esbjerg	esbjerg	esbjerg	PROPN	PROPN;NOM;SG
don	don	don	don		PROPN;NOM;SG
start	aloita	start	ala	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
start	alkaa	start	alkaa	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
start	aloittaa	start	aloittaa	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
start	aloitetaan	start	aloittaa	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN;PASS
start	alkaen	start	alkaen	N;INDF;MASC+FEM;SG	ADV
start	alkaa	start	alkaa	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
mexico	meksikossa	mexico	meksikko	PROPN	N;IN+ESS;SG
mexico	meksiko	mexico	meksiko	PROPN	N;NOM;SG
mexico	meksikoon	mexico	meksi#koko	PROPN	N;IN+ALL;SG
mexico	meksikon	mexico	meksikko	PROPN	N;GEN;SG
mistede	hukassa	miste	hukassa	V;IND;PST;FIN;ACT	ADV
mistede	menetetty	miste	menettää	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
kim	kimi	kim	kimi	PROPN	PROPN;NOM;SG
kim	kim	kim	kim	PROPN	PROPN;NOM;SG
tidligt	varhainen	tidligt	varhainen	ADV	ADJ;NOM;SG
tidligt	aikainen	tidligt	aikainen	ADV	ADJ;NOM;SG
taler	puhuminen	tale	puhuminen	V;IND;PRS;FIN;ACT	N;NOM;SG
taler	puhetta	tale	puhe	V;IND;PRS;FIN;ACT	N;PRT;SG
taler	puheita	tale	puhe	V;IND;PRS;FIN;ACT	N;PRT;PL
taler	puheenvuorot	tale	puheen#vuoro	V;IND;PRS;FIN;ACT	N;NOM;PL
taler	puheet	tale	puhe	V;IND;PRS;FIN;ACT	N;NOM;PL
taler	kaiutin	tale	kaiuti	V;IND;PRS;FIN;ACT	N;NOM;SG
taler	puhuja	tale	puhuja	V;IND;PRS;FIN;ACT	N;NOM;SG
taler	puhemies	tale	puhe#mies	V;IND;PRS;FIN;ACT	N;NOM;SG
taler	puhuminen	tale	puhuminen	V;IND;PRS;FIN;ACT	N;NOM;SG
oversat	käännös	oversat	käännös	V;INDF;SG;PST;V.PTCP	N;NOM;SG
oversat	kääntäminen	oversat	kääntäminen	V;INDF;SG;PST;V.PTCP	N;NOM;SG
oversat	käännökset	oversat	käännös	V;INDF;SG;PST;V.PTCP	N;NOM;PL
oversat	käännöstä	oversat	kääntö	V;INDF;SG;PST;V.PTCP	N;IN+ABL;SG
møder	kokoukset	møde	kokous	V;IND;PRS;FIN;ACT	N;NOM;PL
møder	tapaamiset	møde	tapaaminen	V;IND;PRS;FIN;ACT	N;NOM;PL
møder	kokouksiin	møde	kokous	V;IND;PRS;FIN;ACT	N;IN+ALL;PL
møder	tapaaminen	møde	tapaaminen	V;IND;PRS;FIN;ACT	N;NOM;SG
møder	kokous	møde	kokous	V;IND;PRS;FIN;ACT	N;NOM;SG
afgørende	ratkaisevat	afgørende	ratkaista	ADJ	V;IND;PL;3;PRS;FIN;ACT
dækker	kannet	dække	kannet	V;IND;PRS;FIN;ACT	N;NOM;PL
populære	suosittu	populær	suosittu	ADJ;PL	ADJ;NOM;SG
populære	suosittua	populær	suosittu	ADJ;PL	ADJ;PRT;SG
populære	ajankohtaista	populær	ajan#kohtainen	ADJ;PL	ADJ;PRT;SG
pris	kustannukset	pris	kustannus	N;INDF;MASC+FEM;SG	N;NOM;PL
pris	maksaa	pris	maksaa	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
pris	kulut	pris	kulu	N;INDF;MASC+FEM;SG	N;NOM;PL
nomineret	ehdolla	nominere	ehto	V;INDF;SG;PST;V.PTCP	N;AT+ESS
;SG
nomineret	nimetyt	nominere	nimetty	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
ungarn	unkari	ungarn	unkari		PROPN;NOM;SG
ungarn	unkarin	ungarn	unkari		N;GEN;SG
stærk	vahvat	stærk	vahva	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
albert	albert	albert	albert		N;NOM;SG
harald	harald	harald	harald		PROPN;NOM;SG
harald	jon	harald	joka		PROPN;NOM;SG
uger	viikkoa	uge	viikko	N;INDF;MASC+FEM;PL	N;PRT;SG
vokal	laulut	vokal	laulu	N;INDF;MASC+FEM;SG	N;NOM;PL
sjælland	seelannin	sjælland	seelanti		N;GEN;SG
sjælland	seelanti	sjælland	seelanti		N;NOM;SG
problem	ongelmia	problem	ongelma	N;INDF;NEUT;SG	N;PRT;PL
institut	institut	institut	instittu	N;INDF;MASC+FEM;SG	
bidrag	osuudet	bidrag	osuus	N;INDF;NEUT;SG	N;NOM;PL
hotel	hotellit	hotel	hotelli	N;INDF;NEUT;SG	N;NOM;PL
tilknyttet	liittyvät	tilknytte	liittyä	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
tilknyttet	liitteenä	tilknytte	liite	V;INDF;SG;PST;V.PTCP	N;FRML;SG
tilknyttet	sidoksissa	tilknytte	sidos	V;INDF;SG;PST;V.PTCP	N;IN+ESS;PL
søen	lake	søe	lake	N;DEF;MASC+FEM;SG	
post	julkaise	post	julkaise	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
will	will	will	will		
will	tahto	will	tahto		N;NOM;SG
afrika	afrikka	afrika	afrikka		N;NOM;SG
afrika	afrikan	afrika	afrikka		N;GEN;SG
afrika	afrikkalainen	afrika	afrikkalainen		ADJ;NOM;SG
afrika	afrikkalaiset	afrika	afrikka#lainen		N;NOM;PL
afrika	afrikka	afrika	afrikka		N;NOM;SG
afrika	afrikan	afrika	afrikka		N;GEN;SG
greve	laske	grev	laskea	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
adam	adam	adam	adam	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
sendte	lähetetty	sende	lähettää	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
sendte	lähetetyt	sende	lähettää	V;IND;PST;FIN;ACT	V;NOM;PL;V.PTCP;PASS
sendte	lähetti	sende	lähettää	V;IND;PST;FIN;ACT	N;NOM;SG
landsby	kyl	landsby	kyllä	N;INDF;MASC+FEM;SG	ADV
svend	svend	svend	svend		N;NOM;SG
grækenland	kreikka	grækenland	kreikka	PROPN	N;NOM;SG
virker	teokset	virke	teos	V;IND;PRS;FIN;ACT	N;NOM;PL
japansk	japanilaista	japansk	japanilainen	ADJ;INDF;SG	N;PRT;SG
japansk	japani	japansk	japani	ADJ;INDF;SG	N;NOM;SG
japansk	japanin	japansk	japani	ADJ;INDF;SG	N;GEN;SG
japansk	japanilaiset	japansk	japanilainen	ADJ;INDF;SG	N;NOM;PL
militær	armeija	militær	armeija	ADJ;INDF;MASC+FEM;SG	N;NOM;SG
militær	sotilas	militær	sotilas	ADJ;INDF;MASC+FEM;SG	N;NOM;SG
militær	armeijan	militær	armeija	ADJ;INDF;MASC+FEM;SG	N;GEN;SG
knyttet	solmitut	knytte	solmia	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
knyttet	liitteenä	knytte	liite	V;INDF;SG;PST;V.PTCP	N;FRML;SG
knyttet	yhteydessä	knytte	yhteys	V;INDF;SG;PST;V.PTCP	N;IN+ESS;SG
nærheden	lähellä	nærhed	lähellä	N;DEF;MASC+FEM;SG	ADV
udenfor	ulkopuolelle	udenfor	ulko#puoli	ADV	N;AT+ALL;SG
tror	ajattele	tro	ajatella	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
tror	mieti	tro	mieti	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
can	voi	cinke	voi		INTJ
beskæftigelse	työpaikat	beskæftigelse	työ#paikka	N;INDF;MASC+FEM;SG	N;NOM;PL
digte	runoutta	digte	runous	N;INDF;MASC+FEM;PL	N;PRT;SG
kolding	kolding	kolding	kolding		N;NOM;SG
grundlag	säätiöiden	grundlag	säätiö	N;INDF;NEUT;SG	N;GEN;PL
tider	kertaa	tid	kerta	N;INDF;MASC+FEM;PL	N;PRT;SG
tider	times	tid	times	N;INDF;MASC+FEM;PL	
fred	peace	fred	peace	N;INDF;MASC+FEM;SG	
fred	fred	fred	fred	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
forskning	tutkimukset	forskning	tutkimus	N;INDF;MASC+FEM;SG	N;NOM;PL
tæthed	runsaasti	tæthed	runsaasti	N;INDF;MASC+FEM;SG	ADV
kaldte	kutsuttu	kalde	kutsua	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
kaldte	nimeltään	kalde	nimi	V;IND;PST;FIN;ACT	N;AT+ABL;SG
spansk	espanjalaiset	spansk	espanja#lainen	N;INDF;NEUT;SG	N;NOM;PL
spansk	espanjalainen	spansk	espanjalainen	N;INDF;NEUT;SG	ADJ;NOM;SG
river	joen	rive	joki	N;INDF;MASC+FEM;PL	N;GEN;SG
river	joki	rive	joki	N;INDF;MASC+FEM;PL	N;NOM;SG
aktive	aktiivinen	aktiv	aktiivinen	ADJ;PL	ADJ;NOM;SG
aktive	aktiivisena	aktiv	aktiivinen	ADJ;PL	ADJ;FRML;SG
rent	puhtaat	ren	puhdas	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
rent	puhtaat	ren	puhdas	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
sandsynligvis	todennäköinen	sandsynligvis	toden#näköinen	ADV	ADJ;NOM;SG
sandsynligvis	todennäköistä	sandsynligvis	toden#näköinen	ADV	ADJ;PRT;SG
page	sivu	page	sivu		N;NOM;SG
page	sivulla	page	sivu		N;AT+ESS
;SG
kor	kuorojen	kor	kuora	N;INDF;NEUT;SG	N;GEN;PL
priser	hinta	pris	hinta	N;INDF;MASC+FEM;PL	N;NOM;SG
farve	värit	farve	väri	N;INDF;MASC+FEM;SG	N;NOM;PL
farve	värit	farve	väri	N;INDF;MASC+FEM;SG	N;NOM;PL
skotland	scotland	skotland	scotland	PROPN	
skotland	skotlannissa	skotland	skotlanti	PROPN	N;IN+ESS;SG
skotland	skotlanti	skotland	skotlanti	PROPN	N;NOM;SG
skotland	skotlannin	skotland	skotlanti	PROPN	N;GEN;SG
råd	neuvoja	råd	neuvo	N;INDF;NEUT;SG	N;PRT;PL
råd	neuvot	råd	neuvo	N;INDF;NEUT;SG	N;NOM;PL
horsens	horsens	horsens	horsens	PROPN	
hall	sali	hall	sali		N;NOM;SG
hall	halliin	hall	halli		N;IN+ALL;SG
hall	hall	hall	hall		
hall	halli	hall	halli		N;NOM;SG
angeles	angeles	angeles	angeles	N;INDF;MASC+FEM;SG	
købte	hankittu	købe	hankkia	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
købte	ostettu	købe	ostaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
købte	ostettu	købe	ostaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
modtaget	saadut	modtage	saada	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
tegn	piirrä	tegn	piirrä	N;INDF;NEUT;SG	V;IMP;SG;2;FIN;ACT
tegn	piirtää	tegn	piirtää	N;INDF;NEUT;SG	V;IND;SG;FIN;ACT
tegn	allekirjoittaa	tegn	alle#kirjoittaa	N;INDF;NEUT;SG	V;SG;NFIN;ACT
tegn	allekirjoita	tegn	allekirja	N;INDF;NEUT;SG	N;PRT;PL
tegn	merkkejä	tegn	merkki	N;INDF;NEUT;SG	N;PRT;PL
tegn	hahmot	tegn	hahmo	N;INDF;NEUT;SG	N;NOM;PL
tegn	merkit	tegn	merkki	N;INDF;NEUT;SG	N;NOM;PL
tegn	merkkejä	tegn	merkki	N;INDF;NEUT;SG	N;PRT;PL
tegn	merkit	tegn	merkki	N;INDF;NEUT;SG	N;NOM;PL
fremstillet	tuotetut	fremstille	tuotettu	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
fremstillet	valmistetut	fremstille	valmistaa	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
simon	simon	simon	simo		N;GEN;SG
simon	simo	simon	simo		PROPN;NOM;SG
erstattet	tilalle	erstatte	tilalle	V;INDF;SG;PST;V.PTCP	ADP
undgå	välttäminen	undgå	välttäminen	V;NFIN;ACT	N;NOM;SG
undgå	vältetään	undgå	välttää	V;NFIN;ACT	V;IND;PRS;FIN;PASS
undgå	vältettävä	undgå	välttää	V;NFIN;ACT	V;NOM;SG;V.PTCP;PASS
øverste	ylempi	øvre	ylempi	ADJ;DEF;RL	ADJ;NOM;SG
øverste	ylä	øvre	ylä	ADJ;DEF;RL	N;NOM;SG
øverste	huippu	øvre	huippu	ADJ;DEF;RL	N;NOM;SG
øverste	top	øvre	top	ADJ;DEF;RL	PROPN;NOM;SG
øverste	huippua	øvre	huippu	ADJ;DEF;RL	N;PRT;SG
øverste	ylä	øvre	ylä	ADJ;DEF;RL	N;NOM;SG
jakob	jakob	jakob	jakob		N;NOM;SG
jakob	jacob	jakob	jacob		N;NOM;SG
jakob	jacobin	jakob	jacob		N;GEN;SG
kræver	vaadi	kræve	vaatia	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
kræver	edellytä	kræve	edellyttää	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
elisabeth	elizabeth	elisabeth	elizabeth	N;INDF;MASC+FEM;SG	
ansatte	työntekijöitä	ansætte	työ#tekijä	V;PL;PST;V.PTCP	N;PRT;PL
ansatte	työntekijöiden	ansætte	työ#tekijä	V;PL;PST;V.PTCP	N;GEN;PL
ansatte	työntekijät	ansætte	työn#tekijä	V;PL;PST;V.PTCP	N;NOM;PL
ansatte	henkilöstö	ansætte	henkilöstö	V;PL;PST;V.PTCP	N;NOM;SG
ansatte	henkilöstön	ansætte	henkilöstö	V;PL;PST;V.PTCP	N;GEN;SG
ansatte	henkilökunta	ansætte	henkilö#kunta	V;PL;PST;V.PTCP	N;NOM;SG
scorede	maalin	score	maali	V;IND;PST;FIN;ACT	N;GEN;SG
blade	lähtee	blad	lähteä	N;INDF;NEUT;PL	V;IND;SG;3;PRS;FIN;ACT
blade	blade	blad	blade	N;INDF;NEUT;PL	
blade	terä	blad	terä	N;INDF;NEUT;PL	N;NOM;SG
blade	lehti	blad	lehti	N;INDF;NEUT;PL	N;NOM;SG
levende	asuminen	levende	asuminen	ADJ	N;NOM;SG
levende	elää	levende	elää	ADJ	V;IND;SG;3;PRS;FIN;ACT
levende	eläminen	levende	eläminen	ADJ	N;NOM;SG
levende	elävät	levende	elää	ADJ	V;IND;PL;3;PRS;FIN;ACT
levende	live	levende	live	ADJ	N;NOM;SG
levende	livenä	levende	livi	ADJ	N;FRML;SG
levende	elä	levende	elää	ADJ	V;IMP;SG;2;FIN;ACT
levende	elää	levende	elää	ADJ	V;IND;SG;3;PRS;FIN;ACT
rød	punaiset	rød	punainen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
rød	red	rød	red	ADJ;INDF;MASC+FEM;SG	
kvindelige	naaras	kvindelig	naaras	ADJ;PL	N;NOM;SG
kvindelige	nainen	kvindelig	nainen	ADJ;PL	N;NOM;SG
kvindelige	naisten	kvindelig	nainen	ADJ;PL	N;GEN;PL
kører	ajettu	køre	ajaa	V;IND;PRS;FIN;ACT	V;NOM;SG;V.PTCP;PASS
kører	ajaminen	køre	ajaminen	V;IND;PRS;FIN;ACT	N;NOM;SG
kører	ajo	køre	ajo	V;IND;PRS;FIN;ACT	N;NOM;SG
kører	juoksu	køre	juoksu	V;IND;PRS;FIN;ACT	N;NOM;SG
kører	käynnissä	køre	käynti	V;IND;PRS;FIN;ACT	N;IN+ESS;SG
beskriver	kuvataan	beskrive	kuvata	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;PASS
beskriver	kuvaillaan	beskrive	kuvailla	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;PASS
betydelig	huomattavat	betydelig	huomattava	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
betydelig	huomattavia	betydelig	huomattava	ADJ;INDF;MASC+FEM;SG	ADJ;PRT;PL
betydelig	huomattavat	betydelig	huomattava	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
betydelig	huomattavia	betydelig	huomattava	ADJ;INDF;MASC+FEM;SG	ADJ;PRT;PL
betydelig	merkittävät	betydelig	merkittävä	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
betydelig	merkittäviä	betydelig	merkittävä	ADJ;INDF;MASC+FEM;SG	ADJ;PRT;PL
louise	louise	louis	louise	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
jones	jones	jone	jones	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
jones	jonesin	jone	jonen	N;INDF;MASC+FEM;SG	PROPN;GEN;SG
stille	äänetön	stille	äänetön	ADJ	N;NOM;SG
omgang	pyöreä	omgang	pyöreä	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
vigtigt	tärkeät	vigtig	tärkeä	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
vigtigt	tärkeitä	vigtig	tärkeä	ADJ;INDF;NEUT;SG	ADJ;PRT;PL
mesterskaber	mestaruutta	mesterskab	mestaruus	N;INDF;NEUT;PL	N;PRT;SG
trække	vetäminen	trække	vetäminen	V;NFIN;ACT	N;NOM;SG
traditionelle	perinteinen	traditionel	perinteinen	ADJ;PL	ADJ;NOM;SG
korte	lyhyt	kort	lyhyt	ADJ;PL	ADJ;NOM;SG
opnå	hankittava	opnå	hankkia	V;NFIN;ACT	V;NOM;SG;V.PTCP;PASS
læge	lääketieteelliset	læge	lääke#tieteellinen	N;INDF;MASC+FEM;SG	ADJ;NOM;PL
læge	lääketieteellinen	læge	lääke#tieteellinen	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
kanal	channel	kanal	channel	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
out	ulos	out	ulos		ADV
indspillet	kirjatut	indspille	kirjata	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
indspillet	kirjataan	indspille	kirjata	V;INDF;SG;PST;V.PTCP	V;IND;PRS;FIN;PASS
mangler	kadoksissa	mangle	kadoksissa	V;IND;PRS;FIN;ACT	ADV
irland	irlanti	irland	irlanti	PROPN	N;NOM;SG
irland	irlannissa	irland	irlanti	PROPN	N;IN+ESS;SG
irland	irlannin	irland	irlanti	PROPN	N;GEN;SG
religiøse	uskonnollinen	religiøs	uskonnollinen	ADJ;PL	ADJ;NOM;SG
big	iso	big	iso		ADJ;NOM;SG
big	isot	big	iso		ADJ;NOM;PL
big	suuri	big	suuri		ADJ;NOM;SG
rejser	matkustaa	rejse	matkustaa	N;INDF;MASC+FEM;PL	V;IND;SG;FIN;ACT
rejser	matkustaminen	rejse	matkustaminen	N;INDF;MASC+FEM;PL	N;NOM;SG
rejser	matkailu	rejse	matkailu	N;INDF;MASC+FEM;PL	N;NOM;SG
rejser	matka	rejse	matka	N;INDF;MASC+FEM;PL	N;NOM;SG
rejser	matkustaa	rejse	matkustaa	N;INDF;MASC+FEM;PL	V;IND;SG;FIN;ACT
rejser	matkustaminen	rejse	matkustaminen	N;INDF;MASC+FEM;PL	N;NOM;SG
rejser	matkustaa	rejse	matkustaa	N;INDF;MASC+FEM;PL	V;IND;SG;FIN;ACT
rejser	matkustaminen	rejse	matkustaminen	N;INDF;MASC+FEM;PL	N;NOM;SG
mary	mary	mary	mary	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
ender	ender	ende	ender	V;IND;PRS;FIN;ACT	N;NOM;SG
lære	oppia	lære	oppia	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
lære	oppia	lære	oppia	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
lære	opi	lære	oppia	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
havn	satamat	havn	satama	N;INDF;MASC+FEM;SG	N;NOM;PL
havn	harbour	havn	harbour	N;INDF;MASC+FEM;SG	
nærmest	lähin	nærmest	lähin	ADV;RL	ADJ;NOM;RL;SG
nærmest	lähimpään	nærmest	lähin	ADV;RL	ADJ;IN+ALL;SG
nærmest	lähimmän	nærmest	lähin	ADV;RL	N;GEN;SG
nærmest	lähin	nærmest	lähin	ADV;RL	ADJ;NOM;RL;SG
awards	palkintoja	award	palkinta		N;PRT;PL
awards	palkinnot	award	palkinto		N;NOM;PL
org	org	org	org		N;NOM;SG
katolske	katolinen	katolsk	kato#linen	ADJ;PL	ADJ;NOM;SG
katolske	katolilainen	katolsk	katolilainen	ADJ;PL	N;NOM;SG
song	biisi	song	biisi		N;NOM;SG
song	song	song	song		
song	laulua	song	laulu		N;PRT;SG
song	laulu	song	laulu		N;NOM;SG
song	kappale	song	kappale		N;NOM;SG
systemet	system	system	system	N;DEF;NEUT;SG	
begrænset	rajoitetut	begrænse	rajoittaa	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
begrænset	limited	begrænse	limited	V;INDF;SG;PST;V.PTCP	
begrænset	rajallinen	begrænse	rajallinen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;SG
svarer	vastaaminen	svare	vastaaminen	V;IND;PRS;FIN;ACT	N;NOM;SG
svarer	vastataan	svare	vastata	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;PASS
jacobsen	jacobsen	jacobsen	jacob	N;DEF;MASC+FEM;SG	PROPN;NOM;SG
manchester	manchester	manchester	manchester	N;INDF;MASC+FEM;PL	
hjemme	kotiin	hjemme	koti	ADV	N;IN+ALL;SG
hjemme	kodin	hjemme	koti	ADV	N;GEN;SG
hjemme	koti	hjemme	koti	ADV	N;NOM;SG
social	sosiaaliset	social	sosiaalinen	N;INDF;MASC+FEM;SG	ADJ;NOM;PL
social	sosiaalisen	social	sosiaalinen	N;INDF;MASC+FEM;SG	ADJ;GEN;SG
social	sosiaalinen	social	sosiaalinen	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
social	yhteiskunnallinen	social	yhteis#kunnallinen	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
chris	chris	chris	chris		PROPN;NOM;SG
selvstændig	itsenäiset	selvstændig	itsenäinen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
selvstændig	itsenäiset	selvstændig	itsenäinen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
ray	ray	ray	ray		PROPN;NOM;SG
lyngby	lyngby	lyngby	lyngby	PROPN	PROPN;NOM;SG
sjældent	harvinaiset	sjældent	harvinainen	ADV	ADJ;NOM;PL
sjældent	harvinainen	sjældent	harvinainen	ADV	ADJ;NOM;SG
bas	bass	bas	bass	N;INDF;MASC+FEM;SG	
bas	bas	bas	bas	N;INDF;MASC+FEM;SG	INTJ
behov	tarvitaan	behov	tarvita	N;INDF;NEUT;SG	V;IND;PRS;FIN;PASS
behov	tarpeen	behov	tarpeen	N;INDF;NEUT;SG	ADV
behov	tarvita	behov	tarvita	N;INDF;NEUT;SG	V;IMP;SG;2;FIN;ACT
behov	tarvitsee	behov	tarvita	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN;ACT
behov	tarpeet	behov	tarve	N;INDF;NEUT;SG	N;NOM;PL
behov	kaipaa	behov	kaivata	N;INDF;NEUT;SG	V;IMP;SG;2;FIN;ACT
hill	kukkulalle	hill	kukkula		N;AT+ALL;SG
hill	mäki	hill	mäki		N;NOM;SG
hill	hill	hill	hillemmäk		PROPN;NOM;SG
fuld	täys	fuld	täys	ADJ;INDF;MASC+FEM;SG	INTJ
fuld	täydet	fuld	täysi	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
fuld	täynnä	fuld	täynnä	ADJ;INDF;MASC+FEM;SG	ADV
fuld	kännissä	fuld	känni	ADJ;INDF;MASC+FEM;SG	N;IN+ESS;SG
fuld	humalassa	fuld	humala	ADJ;INDF;MASC+FEM;SG	N;IN+ESS;SG
holger	waldo	holge	waldo	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
holger	holger	holge	holger	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
gods	tavarat	gods	tavara	N;INDF;NEUT;SG	N;NOM;PL
gods	tavaroiden	gods	tavara	N;INDF;NEUT;SG	N;GEN;PL
ført	led	føre	led	V;INDF;SG;PST;V.PTCP	N;NOM;SG
ført	johtaneet	føre	johtaa	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
fokus	keskity	fokus	keskity	N;INDF;NEUT;SG	V;IMP;SG;2;FIN;ACT
fokus	focus	fokus	focus	N;INDF;NEUT;SG	
fokus	keskittyä	fokus	keskittyä	N;INDF;NEUT;SG	V;SG;NFIN;ACT
byggede	rakennettu	bygge	rakentaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
edward	edvard	edward	edvard		N;NOM;SG
edward	edward	edward	edward		N;NOM;SG
edward	edwardin	edward	edward		N;GEN;SG
slå	osuma	slå	osuma	V;NFIN;ACT	N;NOM;SG
privat	yksityisesti	privat	yksityisesti	ADJ;INDF;SG	ADV
privat	yksityisiä	privat	yksityinen	ADJ;INDF;SG	ADJ;PRT;PL
privat	yksityiset	privat	yksityinen	ADJ;INDF;SG	ADJ;NOM;PL
privat	sotamies	privat	sota#mies	ADJ;INDF;SG	N;NOM;SG
white	valkoiset	white	valkoinen		ADJ;NOM;PL
white	valkoinen	white	valkoinen		ADJ;NOM;SG
white	valkoista	white	valkoinen		ADJ;PRT;SG
silkeborg	silkeborg	silkeborg	silkeborg		N;NOM;SG
arne	arne	arne	arne	PROPN	PROPN;NOM;SG
kontakt	yhteystiedot	kontakt	yhteys#tieto	N;INDF;MASC+FEM;SG	N;NOM;PL
manglende	puutetta	mangle	puute	V;PRS;V.PTCP	N;PRT;SG
manglende	puute	mangle	puute	V;PRS;V.PTCP	N;NOM;SG
manglende	puuttuminen	mangle	puuttuminen	V;PRS;V.PTCP	N;NOM;SG
manglende	kadoksissa	mangle	kadoksissa	V;PRS;V.PTCP	ADV
klassiske	klassinen	klassisk	klassinen	ADJ;PL	ADJ;NOM;SG
klassiske	classic	klassisk	classic	ADJ;PL	N;NOM;SG
klassiske	klassista	klassisk	klassinen	ADJ;PL	ADJ;PRT;SG
klassiske	klassikko	klassisk	klassikko	ADJ;PL	N;NOM;SG
stigende	nousu	stige	nousu	V;PRS;V.PTCP	N;NOM;SG
stigende	nousussa	stige	nousu	V;PRS;V.PTCP	N;IN+ESS;SG
konservative	konservatiivit	konservativ	konservatiivit	ADJ;PL	N;NOM;PL
konservative	konservatiivien	konservativ	konservatiivi	ADJ;PL	N;GEN;PL
konservative	konservatiivit	konservativ	konservatiivit	ADJ;PL	N;NOM;PL
konservative	konservatiivien	konservativ	konservatiivi	ADJ;PL	N;GEN;PL
konservative	konservatiivinen	konservativ	konservatiivinen	ADJ;PL	ADJ;NOM;SG
konservative	konservatiivit	konservativ	konservatiivit	ADJ;PL	N;NOM;PL
vor	meijän	vores	miejä	DET;MASC+FEM;SG;1	ADV
vor	meidän	vores	minä	DET;MASC+FEM;SG;1	PRO;GEN;PL;1
scott	scott	scott	scott		PROPN;NOM;SG
scott	scottin	scott	scott		N;GEN;SG
super	super	supe	super	N;INDF;MASC+FEM;SG	
føre	lyijyä	føre	lyijyä	V;NFIN;ACT	N;PRT;SG
føre	lyijy	føre	lyijy	V;NFIN;ACT	N;NOM;SG
grænse	rajat	grænse	raja	N;INDF;MASC+FEM;SG	N;NOM;PL
grænse	rajoita	grænse	rajoittaa	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
