और	és	और	és		CONJ
समाप्त	vége	समाप्त	vég	ADJ	N;NOM;SG
समाप्त	vég	समाप्त	vég	ADJ	N;NOM;SG
समाप्त	befejeződött	समाप्त	befejeződik	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
समाप्त	elkészült	समाप्त	elkészült	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
समाप्त	befejezett	समाप्त	befejezett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
समाप्त	lejár	समाप्त	lejár	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
समाप्त	lejárat	समाप्त	lejár	ADJ	N;NOM;SG
समाप्त	elkészült	समाप्त	elkészült	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
समाप्त	befejezett	समाप्त	befejezett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
समाप्त	kész	समाप्त	kész	ADJ	
समाप्त	lejárt	समाप्त	lejárt	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
ब्रिटेन	britannia	ब्रिटेन	britannia	PROPN;NOM;MASC;SG;3	
करें	toc	कर	toc	V;SBJV;PL;3;FIN;ACT	
दिनों	napokban	दिन	nap	N;NOM;MASC;PL;3	N;IN+ESS;PL
दिनों	napokat	दिन	nap	N;NOM;MASC;PL;3	N;ACC;PL
दिनों	napokon	दिन	nap	N;NOM;MASC;PL;3	N;ON+ESS;PL
बच्चों	gyerekek	बच्चा	gyerek	N;ACC;MASC;PL;3	N;NOM;PL
बच्चों	kölykök	बच्चा	kölyk	N;ACC;MASC;PL;3	N;NOM;PL
नियम	szabályok	नियम	szabály	N;NOM;MASC;SG;3	N;NOM;PL
शब्दों	szavak	शब्द	szó	N;ACC;MASC;PL;3	N;NOM;PL
चीनी	kínaiak	चीनी	kínai		N;NOM;PL
स्वास्थ्य	egészségügyi	स्वास्थ्य	egészségügyi	N;NOM;MASC;SG;3	ADJ;NOM;SG
सहायक	segéd	सहायक	segéd	N;NOM;MASC;SG;3	
सहायक	segítőkész	सहायक	segítőkész	N;NOM;MASC;SG;3	
सहायक	hasznos	सहायक	hasznos	N;NOM;MASC;SG;3	
सहायक	segéd	सहायक	segéd	N;NOM;MASC;SG;3	
सहायक	segítő	सहायक	segítő	N;NOM;MASC;SG;3	ADJ;NOM;SG
प्रयुक्त	használt	प्रयुक्त	használt	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
प्रयुक्त	felhasznált	प्रयुक्त	felhasznált	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
प्रयुक्त	praetor	प्रयुक्त	praetor	ADP	
उल्लेख	említ	उल्लेख	említ	N;NOM;MASC;SG;3	V;DEF;IND;SG;3;PRS;FIN;ACT
कहीं	valahol	कहीं	valahol	PRO;NOM	
उपयुक्त	megfelelő	उपयुक्त	megfelelő	ADJ	
उपयुक्त	megfelelő	उपयुक्त	megfelelő	ADJ	
बंद	szoros	बंद	szoros	ADJ	
बंद	közel	बंद	közel	ADJ	
बंद	bezárása	बंद	bezárás	ADJ	N;NOM;SG
बंद	közeli	बंद	közeli	ADJ	
बंद	le	बंद	le	ADJ	ADV
बंद	kikapcsolva	बंद	kikapcsolva	ADJ	ADV;V.CVB
बंद	off	बंद	off	ADJ	
बंद	bezárt	बंद	bezárt	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
बंद	zárva	बंद	zárva	ADJ	ADV;V.CVB
बंद	zárt	बंद	zárt	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
जिसने	ki	जो	ki	PRO;SG;3	PRO;NOM;SG;3
जिसने	aki	जो	aki	PRO;SG;3	PRO;NOM;SG;3
इंग्लैंड	anglia	इंग्लैंड	anglia	PROPN;NOM;MASC;SG;3	N;NOM;SG
इंग्लैंड	england	इंग्लैंड	england	PROPN;NOM;MASC;SG;3	
इंग्लैंड	angliai	इंग्लैंड	angliai	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
इंग्लैंड	eng	इंग्लैंड	eng	PROPN;NOM;MASC;SG;3	
धीरे	fokozatosan	धीरे	fokozatos	ADV	ADJ;FRML;SG
धीरे	lassan	धीरे	lassú	ADV	ADJ;FRML;SG
सार्वजनिक	nyilvánosság	सार्वजनिक	nyilvánosság	ADJ	N;NOM;SG
सार्वजनिक	publikus	सार्वजनिक	publikus	ADJ	
लाख	lac	लाख	lac	NUM	
खिलाफ	ellene	खिलाफ	ellen	ADP	PRO;NOM;SG;3
सफल	sikeres	सफल	sikeres	ADJ	
सफल	prosper	सफल	prosper	ADJ	
सफल	termékeny	सफल	termékeny	ADJ	
सफल	sikeres	सफल	sikeres	ADJ	
सफल	siker	सफल	siker	ADJ	N;NOM;SG
पहचान	azonosító	पहचान	azonosító	N;NOM;FEM;SG;3	ADJ;NOM;SG
पहचान	személyazonosságát	पहचान	személyazosságag	N;NOM;FEM;SG;3	N;ACC;SG
राष्ट्र	nemzetek	राष्ट्र	nemzet	N;NOM;MASC;SG;3	N;NOM;PL
संग्रह	gyűjtemények	संग्रह	gyűjtemény	N;NOM;MASC;SG;3	N;NOM;PL
भीतर	belül	भीतर	belül	ADV;NOM;MASC;SG;3	ADP
भीतर	belül	भीतर	belül	ADV;NOM;MASC;SG;3	ADP
मौजूद	léteznek	मौजूद	létezik	ADJ	V;INDF;IND;PL;3;PRS;FIN;ACT
मौजूद	létezni	मौजूद	létezik	ADJ	V;NFIN;ACT
मौजूद	létezik	मौजूद	létezik	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
मौजूद	ajándék	मौजूद	ajándék	ADJ	N;NOM;SG
मौजूद	jelen	मौजूद	jelen	ADJ	
रक्त	véres	रक्त	véres	N;NOM;MASC;SG;3	
रक्त	blood	रक्त	blood	N;NOM;MASC;SG;3	
कांग्रेस	kongresszus	कांग्रेस	kongresszus	PROPN;NOM;FEM;SG;3	N;NOM;SG
सम्मान	tiszteletet	सम्मान	tisztelet	N;NOM;MASC;SG;3	N;ACC;SG
सम्मान	megtiszteltetés	सम्मान	megtiszteltetés	N;NOM;MASC;SG;3	
नृत्य	dance	नृत्य	dance	N;NOM;MASC;SG;3	
नृत्य	táncolj	नृत्य	táncol	N;NOM;MASC;SG;3	V;DEF;IND;SG;3;PRS;FIN;ACT
नृत्य	táncolni	नृत्य	táncol	N;NOM;MASC;SG;3	V;NFIN;ACT
सामूहिक	kollektív	सामूहिक	kollektív	ADJ;NOM	
स्रोत	források	स्रोत	forrás	N;NOM;MASC;SG;3	N;NOM;PL
लगे	lage	लग	lage	V;PFV;MASC;SG;V.PTCP;ACT	
एकल	egyedülálló	एकल	egyedülálló	N;NOM;MASC;SG;3	
एकल	single	एकल	single	N;NOM;MASC;SG;3	
एकल	egyetlen	एकल	egyetlen	N;NOM;MASC;SG;3	
संकेत	jelet	संकेत	jelet	N;NOM;MASC;SG;3	N;ACC;SG
संकेत	szimbólum	संकेत	szimbólum	N;NOM;MASC;SG;3	N;IN+ABL;SG
मानक	szabványos	मानक	szabványos		N;NOM;SG
मानक	szabvány	मानक	szabvány		N;NOM;SG
यौगिक	összetett	यौगिक	összetett	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
किन्तु	kikap	किन्तु	kikap		V;INDF;IND;SG;3;PRS;FIN;ACT
विकि	wiki	विकि	wiki		N;NOM;SG
विद्यालय	iskolákban	विद्यालय	iskola	N;NOM;MASC;SG;3	N;IN+ESS;PL
विद्यालय	iskolák	विद्यालय	iskolák	N;NOM;MASC;SG;3	N;NOM;PL
विद्यालय	iskolában	विद्यालय	iskolában	N;NOM;MASC;SG;3	N;IN+ESS;SG
विद्यालय	suli	विद्यालय	suli	N;NOM;MASC;SG;3	
अंतर्राष्ट्रीय	international	अंतर्राष्ट्रीय	international	PROPN;NOM;SG;3	
अंतर्राष्ट्रीय	nemzetközi	अंतर्राष्ट्रीय	nemzetközi	PROPN;NOM;SG;3	ADJ;NOM;SG
विशाल	grandiózus	विशाल	grandiózus	ADJ;NOM	
विशाल	nagyok	विशाल	nagy	ADJ;NOM	N;NOM;PL
बंगाल	bengáli	बंगाल	bengáli	PROPN;NOM;MASC;SG;3	
कानून	jogszabályok	कानून	jogszabály	N;NOM;MASC;SG;3	N;NOM;PL
कानून	jogszabály	कानून	jogszabály	N;NOM;MASC;SG;3	
कानून	jogszabályok	कानून	jogszabály	N;NOM;MASC;SG;3	N;NOM;PL
कानून	törvényeket	कानून	törvény	N;NOM;MASC;SG;3	N;ACC;PL
कानून	törvények	कानून	törvény	N;NOM;MASC;SG;3	N;NOM;PL
महान	nagyszerű	महान	nagyszerű	ADJ	
बल	force	बल	force	N;NOM;MASC;SG;3	
भाई	tesó	भाई	tesó	N;NOM;MASC;SG;3	
तहत	alatt	तहत	alatt	CONJ	ADP
तहत	alatta	तहत	alat	CONJ	
तहत	alá	तहत	alá	CONJ	ADP
उपचार	kezelésre	उपचार	kezelés	N;NOM;MASC;SG;3	N;ON+ALL;SG
उपचार	kezelések	उपचार	kezelés	N;NOM;MASC;SG;3	N;NOM;PL
केन्द्र	középre	केंद्र	közép	PROPN;NOM;MASC;SG;3	N;ON+ALL;SG
केन्द्र	központ	केंद्र	központ	PROPN;NOM;MASC;SG;3	N;NOM;SG
केन्द्र	center	केंद्र	center	PROPN;NOM;MASC;SG;3	
केन्द्र	középre	केंद्र	közép	PROPN;NOM;MASC;SG;3	N;ON+ALL;SG
केन्द्र	központ	केंद्र	központ	PROPN;NOM;MASC;SG;3	N;NOM;SG
केन्द्र	centrum	केंद्र	centrum	PROPN;NOM;MASC;SG;3	N;NOM;SG
अवस्था	állami	अवस्था	állami	N;NOM;FEM;SG;3	
लागू	alkalmazták	लागू	alkalmaz	ADJ	V;DEF;IND;PL;3;PST;FIN;ACT
लागू	alkalmazni	लागू	alkalmaz	ADJ	V;NFIN;ACT
लागू	jelentkezz	लागू	jelentkezz	ADJ	
निजी	magán	निजी	maga	ADJ;NOM	
निजी	privát	निजी	priva	ADJ;NOM	
निर्णय	döntések	निर्णय	döntés	N;NOM;MASC;SG;3	N;NOM;PL
निर्णय	határozatok	निर्णय	határozat	N;NOM;MASC;SG;3	N;NOM;PL
जॉन	john	जॉन	john	PROPN;NOM;MASC;SG;3	
जॉन	jános	जॉन	jános	PROPN;NOM;MASC;SG;3	N;NOM;SG
मिला	mila	मिल	mila	V;PFV;MASC;SG;V.PTCP;ACT	
घंटे	órákban	घंटा	óra	N;NOM;MASC;SG;3	N;IN+ESS;PL
घंटे	órák	घंटा	óra	N;NOM;MASC;SG;3	N;NOM;PL
प्रारंभिक	előzetes	प्रारंभिक	előzetes	ADJ;NOM	
मुक्त	ingyenes	मुक्त	ingyenes	ADJ	
मुक्त	ingyen	मुक्त	ingyen	ADJ	
मुक्त	free	मुक्त	free	ADJ	
मुक्त	szabad	मुक्त	szabad	ADJ	
बल्कि	inkább	बल्कि	inkább	CONJ	ADV
परन्तु	de	परन्तु	de		CONJ
मनुष्य	emberi	मनुष्य	emberi	N;NOM;MASC;SG;3	
उपकरण	szerszám	उपकरण	szerszám	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	eszköz	उपकरण	eszköz	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	berendezés	उपकरण	berendezés	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	felszerelés	उपकरण	felszerelés	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	készülék	उपकरण	készülék	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	berendezés	उपकरण	berendezés	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	szerkezet	उपकरण	szerkezet	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	eszköz	उपकरण	eszköz	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	készülék	उपकरण	készülék	N;NOM;MASC;PL;3	N;NOM;SG
उपकरण	szerszám	उपकरण	szerszám	N;NOM;MASC;PL;3	N;NOM;SG
उपन्यास	újszerű	उपन्यास	újszerű	N;NOM;MASC;SG;3	
नेपाल	nepál	नेपाल	nepál	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
बदलाव	megváltozott	बदलाव	megváltozott	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
बदलाव	változások	बदलाव	változás	N;NOM;MASC;SG;3	N;NOM;PL
अनुमति	engedélyek	अनुमति	engedély	N;NOM;FEM;SG;3	N;NOM;PL
अनुमति	jogosultságok	अनुमति	jogosultság	N;NOM;FEM;SG;3	N;NOM;PL
अनुमति	engedélyezett	अनुमति	engedélyezett	N;NOM;FEM;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
अनुमति	engedélyezve	अनुमति	engedélyezve	N;NOM;FEM;SG;3	ADV;V.CVB
अनुमति	megengedett	अनुमति	megengedett	N;NOM;FEM;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
अनुमति	engedély	अनुमति	engedély	N;NOM;FEM;SG;3	
अनुमति	engedélyt	अनुमति	engedély	N;NOM;FEM;SG;3	N;ACC;SG
गांव	falusi	गाँव	falusi	N;NOM;MASC;SG;3	ADJ;NOM;SG
वापस	vissza	वापस	vissza	ADJ	ADV
यूरोपीय	európa	यूरोपीय	európa	PROPN;NOM;SG;3	
यूरोपीय	europe	यूरोपीय	europe	PROPN;NOM;SG;3	
यूरोपीय	európában	यूरोपीय	európa	PROPN;NOM;SG;3	N;IN+ESS;SG
यूरोपीय	európai	यूरोपीय	európai	PROPN;NOM;SG;3	ADJ;NOM;SG
पटना	patna	पटना	patna	PROPN;NOM;MASC;SG;3	
साधारण	egyszerű	साधारण	egyszerű	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
साधारण	szimpla	साधारण	szimpla	PROPN;NOM;MASC;SG;3	
साधारण	középszerű	साधारण	középszerű	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
साधारण	általános	साधारण	általános	PROPN;NOM;MASC;SG;3	
साधारण	tábornok	साधारण	tábornok	PROPN;NOM;MASC;SG;3	N;NOM;SG
देखने	megtekintés	देख	megtekintés	V;ACC;NFIN;ACT	N;NOM;SG
देखने	megtekintése	देख	megtekintés	V;ACC;NFIN;ACT	N;NOM;SG
पंजाब	punjab	पंजाब	pun	PROPN;NOM;MASC;SG;3	
दक्षिणी	dél	दक्षिणी	dél	PROPN;NOM;MASC;SG;3	
दक्षिणी	déli	दक्षिणी	déli	PROPN;NOM;MASC;SG;3	
दक्षिणी	dél	दक्षिणी	dél	PROPN;NOM;MASC;SG;3	
दक्षिणी	délre	दक्षिणी	délre	PROPN;NOM;MASC;SG;3	ADV
दक्षिणी	déli	दक्षिणी	déli	PROPN;NOM;MASC;SG;3	
बैंड	band	बैंड	band	N;NOM;MASC;SG;3	
बैंड	banda	बैंड	banda	N;NOM;MASC;SG;3	
बैंड	együttes	बैंड	együttes	N;NOM;MASC;SG;3	
नया	újdonság	नया	újdonság	ADJ;NOM;MASC;SG	N;NOM;SG
पर्वत	hegyen	पर्वत	hegy	N;NOM;MASC;SG;3	N;ON+ESS;SG
पर्वत	hegyi	पर्वत	hegyi	N;NOM;MASC;SG;3	
पर्वत	hegyek	पर्वत	hegy	N;NOM;MASC;SG;3	N;NOM;PL
सूर्य	sun	सूर्य	sun	N;NOM;MASC;SG;3	
अनुवाद	lefordítani	अनुवाद	lefordít	N;NOM;MASC;SG;3	V;NFIN;ACT
अनुवाद	fordítások	अनुवाद	fordítás	N;NOM;MASC;SG;3	N;NOM;PL
समुदाय	közösségek	समुदाय	közösség	N;NOM;MASC;SG;3	N;NOM;PL
समुदाय	közösségi	समुदाय	közösségi	N;NOM;MASC;SG;3	ADJ;NOM;SG
मान	érték	मान	ők	V;SG;FIN;ACT	N;NOM;SG
मान	értékek	मान	érték	V;SG;FIN;ACT	N;NOM;PL
मान	érték	मान	ők	V;SG;FIN;ACT	N;NOM;SG
मान	értéke	मान	érték	V;SG;FIN;ACT	N;NOM;SG
स्वतंत्र	független	स्वतंत्र	független	ADJ;NOM	
स्वतंत्र	önálló	स्वतंत्र	önálló	ADJ;NOM	
स्वतंत्र	függetlenek	स्वतंत्र	független	ADJ;NOM	V;INDF;IND;PL;3;PRS;FIN;ACT
हाल	nemrég	हाल	nemrég	N;NOM;MASC;SG;3	ADV
हाल	legutóbbi	हाल	legutóbbi	N;NOM;MASC;SG;3	
चला	futás	चल	futás	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;SG
पक्ष	oldalra	पक्ष	oldal	N;NOM;MASC;SG;3	N;ON+ALL;SG
पक्ष	side	पक्ष	side	N;NOM;MASC;SG;3	
दृश्य	látható	दृश्य	látható	N;NOM;MASC;SG;3	ADJ;NOM;SG
भोजन	élelmiszerek	भोजन	élelmiszer	N;NOM;MASC;SG;3	N;NOM;PL
भोजन	élelmiszerek	भोजन	élelmiszer	N;NOM;MASC;SG;3	N;NOM;PL
भोजन	ételek	भोजन	étel	N;NOM;MASC;SG;3	N;NOM;PL
शिव	shiva	शिव	shiva	PROPN;NOM;MASC;SG;3	
मॉडल	modellek	मॉडल	modell	N;NOM;MASC;SG;3	N;NOM;PL
मॉडल	modelleket	मॉडल	modellek	N;NOM;MASC;SG;3	N;ACC;PL
मॉडल	model	मॉडल	model	N;NOM;MASC;SG;3	
मुंबई	mumbai	मुंबई	mumbai	PROPN;NOM;FEM;SG;3	
आयोजित	tartott	आयोजित	tart	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
आयोजित	tartották	आयोजित	tart	ADJ	V;DEF;IND;PL;3;PST;FIN;ACT
आयोजित	tartottak	आयोजित	tart	ADJ	V;INDF;IND;PL;3;PST;FIN;ACT
प्रांत	tartományban	प्रांत	tartomány	N;NOM;MASC;SG;3	N;IN+ESS;SG
अतः	ezért	अतः	ezért		CONJ
मिलियन	milánó	मिलियन	milánó		N;NOM;SG
मिलियन	millió	मिलियन	millió		NUM;NOM;SG
मिलियन	millió	मिलियन	millió		NUM;NOM;SG
पांच	öt	पांच	öt	NUM	
पांच	öten	पांच	öten	NUM	PRO;NOM;PL;3
संचालित	működtetett	संचालित	működtetett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
संचालित	üzemeltetett	संचालित	üzemeltet	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
संचालित	meghajtású	संचालित	meghajtású	ADJ	N;NOM;SG
उससे	őt	वह	ő	PRO;SG;3	PRO;ACC;SG;3
उससे	neki	वह	ő	PRO;SG;3	
वहां	ott	वहाँ	ott	PRO;NOM	ADV
मन	mann	मन	mann	N;NOM;MASC;SG;3	
ऑस्ट्रेलिया	ausztrália	ऑस्ट्रेलिया	ausztrália	PROPN;NOM;MASC;SG;3	N;NOM;SG
सागर	tengeren	सागर	tenger	PROPN;NOM;MASC;SG;3	
सागर	tengeri	सागर	tengeri	PROPN;NOM;MASC;SG;3	
सागर	tenger	सागर	tenger	PROPN;NOM;MASC;SG;3	N;NOM;SG
सक्रिय	engedélyezve	सक्रिय	engedélyezve	ADJ	ADV;V.CVB
सक्रिय	melléknév	सक्रिय	mellék	ADJ	N;NOM;SG
सक्रिय	aktív	सक्रिय	aktív	ADJ	
सक्रिय	aktívak	सक्रिय	aktív	ADJ	N;NOM;PL
आया	aya	आ	aya	V;PFV;MASC;SG;V.PTCP;ACT	
निश्चित	bizonyos	निश्चित	bizonyos	ADJ;NOM	
छोड़	skip	छोड	skip	V;ACT	
जर्मनी	németül	जर्मनी	németül	PROPN;NOM;MASC;SG;3	
जर्मनी	német	जर्मनी	német	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
जर्मनी	németország	जर्मनी	németország	PROPN;NOM;MASC;SG;3	N;NOM;SG
हासिल	teljesült	हासिल	teljesül	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
हासिल	megvalósult	हासिल	meg+valósul	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
हासिल	elért	हासिल	elért	ADJ	
लंदन	londoni	लंदन	londoni	PROPN;NOM;MASC;SG;3	
लंदन	londonban	लंदन	london	PROPN;NOM;MASC;SG;3	N;IN+ESS;SG
लंदन	london	लंदन	london	PROPN;NOM;MASC;SG;3	N;NOM;SG
लंदन	londonba	लंदन	london	PROPN;NOM;MASC;SG;3	
जापान	japán	जापान	japán	PROPN;NOM;MASC;SG;3	
वस्तु	anyagok	वस्तु	anyag	N;NOM;FEM;SG;3	N;NOM;PL
वस्तु	tárgyak	वस्तु	tárgy	N;NOM;FEM;SG;3	N;NOM;PL
वस्तु	objektumok	वस्तु	ob	N;NOM;FEM;SG;3	N;NOM;PL
सम्मानित	megtiszteltetés	सम्मानित	megtiszteltetés	ADJ	
जीत	win	जीत	win	N;NOM;FEM;SG;3	
जीत	nyerni	जीत	nyer	N;NOM;FEM;SG;3	V;NFIN;ACT
जीत	nyerj	जीत	nyerj	N;NOM;FEM;SG;3	V;DEF;IND;SG;3;PRS;FIN;ACT
जीत	győz	जीत	győz	N;NOM;FEM;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
जीत	nyert	जीत	nyert	N;NOM;FEM;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
अध्यक्ष	felszólaló	अध्यक्ष	felszólaló	N;NOM;MASC;SG;3	ADJ;NOM;SG
राज्यों	államok	राज्य	állam	N;ACC;MASC;PL;3	N;NOM;PL
मामले	esetekben	मामला	eset	N;NOM;MASC;PL;3	N;IN+ESS;PL
विजेता	győztes	विजेता	győztes	N;NOM;MASC;SG;3	
विजेता	nyertes	विजेता	nyertes	N;NOM;MASC;SG;3	
विजेता	győztesek	विजेता	győztes	N;NOM;MASC;SG;3	N;NOM;PL
विजेता	nyertesek	विजेता	nyertes	N;NOM;MASC;SG;3	N;NOM;PL
बाजार	bazár	बाजार	bazár	N;NOM;MASC;SG;3	
बाजार	piacokon	बाजार	piac	N;NOM;MASC;SG;3	N;ON+ESS;PL
बाजार	piacok	बाजार	piac	N;NOM;MASC;SG;3	N;NOM;PL
लीग	league	लीग	leag	N;NOM;FEM;SG;3	
कविता	vers	कविता	vers	PROPN;NOM;FEM;SG;3	N;NOM;SG
कविता	verset	कविता	vers	PROPN;NOM;FEM;SG;3	N;ACC;SG
कविता	vers	कविता	vers	PROPN;NOM;FEM;SG;3	N;NOM;SG
कविता	költészet	कविता	költészet	PROPN;NOM;FEM;SG;3	N;NOM;SG
तरफ	oldalra	तरफ	oldal	ADV;NOM;FEM;SG;3	N;ON+ALL;SG
तरफ	oldalam	तरफ	oldal	ADV;NOM;FEM;SG;3	N;NOM;SG
तरफ	side	तरफ	side	ADV;NOM;FEM;SG;3	
दिसंबर	december	दिसंबर	december	PROPN;NOM;MASC;SG;3	N;NOM;SG
दिसंबर	decemberi	दिसंबर	decemberi	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
दिसंबर	decemberben	दिसंबर	december	PROPN;NOM;MASC;SG;3	N;IN+ESS;SG
दिसंबर	dec	दिसंबर	dec	PROPN;NOM;MASC;SG;3	N;NOM;SG
खान	kahn	खान	kahn	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
खान	khan	खान	khan	PROPN;NOM;MASC;SG;3	
खान	kán	खान	kán	PROPN;NOM;MASC;SG;3	N;NOM;SG
वास्तविक	real	वास्तविक	real	ADJ;NOM	
वास्तविक	igazi	वास्तविक	igazi	ADJ;NOM	
वास्तविक	valódi	वास्तविक	valódi	ADJ;NOM	
वास्तविक	tényleges	वास्तविक	tényleges	ADJ;NOM	
वास्तविक	őszinte	वास्तविक	őszinte	ADJ;NOM	
वास्तविक	valódi	वास्तविक	valódi	ADJ;NOM	
चैनल	csatornák	चैनल	csator	N;NOM;MASC;SG;3	N;NOM;PL
उत्पाद	termékek	उत्पाद	termék	N;NOM;MASC;SG;3	N;NOM;PL
उत्पाद	termékeket	उत्पाद	termék	N;NOM;MASC;SG;3	N;ACC;PL
राज	raj	राज	raj	PROPN;NOM;MASC;SG;3	
सात	hetes	सात	hetes	NUM	N;NOM;SG
सात	hét	सात	hét	NUM	N;NOM;SG
सात	vii	सात	vii	NUM	
आरंभ	kezdés	आरम्भ	kezdés		N;NOM;SG
आरंभ	kezdeni	आरम्भ	kezd		V;NFIN;ACT
आरंभ	startup	आरम्भ	startup		N;NOM;SG
योग्य	minősített	योग्य	minősít	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
योग्य	képzett	योग्य	képzett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
योग्य	képesített	योग्य	képesít	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
योग्य	jogosult	योग्य	jogosul	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
समुद्र	tengerek	समुद्र	tengér	N;NOM;MASC;SG;3	N;NOM;PL
समुद्र	tengeren	समुद्र	tenger	N;NOM;MASC;SG;3	
समुद्र	tengeri	समुद्र	tengeri	N;NOM;MASC;SG;3	
प्रारंभ	kezdődött	प्रारंभ	kezdődik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
प्रारंभ	kezdte	प्रारंभ	kezd	N;NOM;MASC;SG;3	V;DEF;IND;SG;3;PST;FIN;ACT
प्रारंभ	elkezdődött	प्रारंभ	elkezdődik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
प्रारंभ	start	प्रारंभ	start	N;NOM;MASC;SG;3	
प्रारंभ	kezdeni	प्रारंभ	kezd	N;NOM;MASC;SG;3	V;NFIN;ACT
प्रारंभ	indító	प्रारंभ	indító	N;NOM;MASC;SG;3	
प्रारंभ	kezdő	प्रारंभ	kezdő	N;NOM;MASC;SG;3	
समाचार	hírek	समाचार	hír	N;NOM;MASC;SG;3	N;NOM;PL
समस्या	gond	समस्या	gond	N;NOM;FEM;SG;3	
समस्या	baj	समस्या	baj	N;NOM;FEM;SG;3	
वीडियो	videót	वीडियो	videó	N;NOM;MASC;SG;3	N;ACC;SG
वीडियो	videók	वीडियो	videó	N;NOM;MASC;SG;3	N;NOM;PL
नही	nem	नही	nem		ADV
वन	erdők	वन	erdő		N;NOM;PL
मत	szavazatok	मत	szavazat		N;NOM;PL
नेटवर्क	network	नेटवर्क	network	N;NOM;MASC;SG;3	
नेटवर्क	hálózatok	नेटवर्क	hálózat	N;NOM;MASC;SG;3	N;NOM;PL
प्रकृति	nauru	प्रकृति	nauru	N;NOM;FEM;SG;3	PROPN;NOM;SG
मूल्य	árak	मूल्य	ár	N;NOM;MASC;SG;3	N;NOM;PL
मूल्य	ár	मूल्य	ár	N;NOM;MASC;SG;3	
रोचक	érdekes	रोचक	érdekes	PROPN;NOM;MASC;SG;3	
क्लब	club	क्लब	club	N;NOM;MASC;SG;3	
क्लब	klubok	क्लब	klub	N;NOM;MASC;SG;3	N;NOM;PL
सर्वाधिक	legtöbb	सर्वाधिक	legtöbb	ADJ;NOM	
अरब	arábia	अरब	arabia	PROPN;NOM;MASC;SG;3	N;NOM;SG
अरब	arab	अरब	arab	PROPN;NOM;MASC;SG;3	
अरब	milliárd	अरब	milliárd	PROPN;NOM;MASC;SG;3	NUM;NOM;SG
अरब	egymilliárd	अरब	egymilliárd	PROPN;NOM;MASC;SG;3	
चरण	szakaszok	चरण	szakasz	N;NOM;MASC;SG;3	N;NOM;PL
चरण	lépcsők	चरण	lépcső	N;NOM;MASC;SG;3	N;NOM;PL
चरण	lépések	चरण	lépés	N;NOM;MASC;SG;3	N;NOM;PL
चरण	lépéseket	चरण	lépés	N;NOM;MASC;SG;3	N;ACC;PL
चरण	színpadon	चरण	színpad	N;NOM;MASC;SG;3	N;ON+ESS;SG
नाटक	drama	नाटक	drama	N;NOM;MASC;SG;3	
विरोध	tiltakozások	विरोध	tiltakozás	N;NOM;MASC;SG;3	N;NOM;PL
विरोध	tüntetések	विरोध	tüntetés	N;NOM;MASC;SG;3	N;NOM;PL
