усвояване	الاستيعاب	усвояване	اِستِيعَاب	N;INDF;NEUT;SG	N;NOM;DEF;SG
повреди	ضرر	повредя	ضَرَّر	N;INDF;MASC;PL	N;NOM;INDF;SG
повреди	الضرر	повредя	ضَرر	N;INDF;MASC;PL	N;NOM;DEF;SG
любима	الحبيب	любим	الحبيب	N;INDF;FEM;SG	N;NOM;DEF;SG
любима	المحبوب	любим	مَحبُوب	N;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
екипировка	المعدات	екипировка	مُعَدَّات	N;INDF;FEM;SG	N;NOM;DEF;PL
екипировка	معدات	екипировка	مُعَدَّات	N;INDF;FEM;SG	N;NOM;INDF;PL
стабилност	الاستقرار	стабилност	اِستِقرَار	N;INDF;FEM;SG	N;NOM;DEF;SG
бедни	مسكين	беден	مسكين	ADJ;INDF;PL	
бедни	الفقراء	беден	فَقِير	ADJ;INDF;PL	N;NOM;DEF;PL
бедни	فقير	беден	فَقِير	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
бедни	فقيرة	беден	فَقِير	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
бедни	الفقير	беден	فَقِير	ADJ;INDF;PL	N;NOM;DEF;SG
бедни	فقراء	беден	فَقِير	ADJ;INDF;PL	N;NOM;INDF;PL
словашки	السلوفاكية	словашки	سلُوفَاكِيَّة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
словашки	سلوفاكيا	словашки	سلُوفَاكِيَا	ADJ;INDF;MASC;SG	
царуването	عهد	царуване	عَهد	N;DEF;NEUT;SG	N;NOM;INDF;SG
тръба	الانبوب	тръба	أُنبُوب	N;INDF;FEM;SG	N;NOM;DEF;SG
тръба	الانابيب	тръба	أُنبُوب	N;INDF;FEM;SG	N;NOM;DEF;PL
тръба	الانبوب	тръба	أُنبُوب	N;INDF;FEM;SG	N;NOM;DEF;SG
месото	لحوم	месо	لَحم	N;DEF;NEUT;SG	N;NOM;INDF;PL
месото	اللحوم	месо	لَحم	N;DEF;NEUT;SG	N;NOM;DEF;PL
месото	لحم	месо	لَحم	N;DEF;NEUT;SG	N;NOM;INDF;SG
такси	تاكسي	такса	تاكسي	N;INDF;FEM;PL	
такси	التاكسي	такса	التاكسي	N;INDF;FEM;PL	
такси	الرسوم	такса	رَسم	N;INDF;FEM;PL	N;NOM;DEF;PL
лош	باد	лош	بَاد	ADJ;INDF;MASC;SG	
докторат	الدكتوراه	доктор	الدكتوراه	N;INDF;FEM;SG	
докторат	دكتوراه	доктор	دكتوراه	N;INDF;FEM;SG	
докторат	الدكتوراة	доктор	دُكتُورَائ	N;INDF;FEM;SG	N;NOM;DEF;SG
разработване	التنمية	разработване	تَنمِيَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
разработване	التطوير	разработване	تَطوِير	N;INDF;NEUT;SG	N;NOM;DEF;SG
разработване	نامية	разработване	نَامِي	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
документа	وثيقة	документ	وَثِيقَة	N;DEF;MASC;SG	N;NOM;INDF;SG
документа	مستند	документ	مُستَنِد	N;DEF;MASC;SG	N;NOM;INDF;SG
запазено	محفوظة	запазя-(се)	مَحفُوظ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	N;NOM;INDF;SG
запазено	محجوز	запазя-(се)	محجوز	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
запазено	محجوزة	запазя-(се)	مَحجُوز	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
статуи	التماثيل	статуя	تَمثِيل	N;INDF;FEM;PL	N;NOM;DEF;PL
айнщайн	اينشتاين	айнщайн	أَينشَة	N;INDF;MASC;SG	
коридор	المدخل	коридор	مَدخَل	N;INDF;MASC;SG	N;NOM;DEF;SG
коридор	الرواق	коридор	رَوَاق	N;INDF;MASC;SG	N;NOM;DEF;SG
коридор	الممر	коридор	مَمر	N;INDF;MASC;SG	N;NOM;DEF;SG
лора	لورا	лора	لورا	N;INDF;FEM;SG	
слухове	الاشاعات	слух	إِشَاعَة	N;INDF;MASC;PL	N;NOM;DEF;PL
плячка	فريس	плячка	فَرِيس	N;INDF;FEM;SG	
плячка	الفريسة	плячка	فَرِيسَة	N;INDF;FEM;SG	N;NOM;DEF;SG
плячка	غنيمة	плячка	غنيمة	N;INDF;FEM;SG	
плячка	الغنيمة	плячка	غَنِيم	N;INDF;FEM;SG	N;NOM;DEF;SG
плячка	الغنائم	плячка	غَنِيمَة	N;INDF;FEM;SG	N;NOM;DEF;PL
плячка	غنيمة	плячка	غنيمة	N;INDF;FEM;SG	
параклиса	شابل	параклис	شَابِل	N;INDF;FEM;SG	
пера	ريش	пера	ريش	N;INDF;NEUT;PL	
пера	الريش	пера	رِيش	N;INDF;NEUT;PL	N;NOM;DEF;SG
противниците	خصوم	противник	خَصم	N;DEF;MASC;PL	
кореспонденти	المراسلين	кореспондент	مُرَاسِل	N;INDF;MASC;PL	N;NOM;DEF;PL
лоша	باد	лош	بَاد	ADJ;INDF;FEM;SG	
зигмунд	سيجموند	зигмунд	سيجموند	N;INDF;MASC;SG	
петрол	البنزين	петрол	بِنزِين	N;INDF;MASC;SG	N;NOM;DEF;SG
петрол	النفط	петрол	نَفط	N;INDF;MASC;SG	N;NOM;DEF;SG
петрол	الزيت	петрол	الزيت	N;INDF;MASC;SG	N;NOM;DEF;SG
петрол	بترول	петрол	بِترُول	N;INDF;MASC;SG	
петрол	النفط	петрол	نَفط	N;INDF;MASC;SG	N;NOM;DEF;SG
петрол	البترول	петрол	بِترُول	N;INDF;MASC;SG	N;NOM;DEF;SG
петрол	بترول	петрол	بِترُول	N;INDF;MASC;SG	
лихтенщайн	ليختنشتاين	лихтенщайн	ليختنشتاين	ADJ;INDF;MASC;SG	
беатрис	بياتريس	беатрис	بَيَاتِرِيس	N;INDF;FEM;SG	
суматра	سومطرة	суматра	سُومطِرَة	N;INDF;FEM;SG	
слива	بلم	сливам	بَلم	V;IPFV;IND;SG;3;PRS;FIN;ACT	
форуми	منتديات	форум	مُنتَدِي	N;INDF;MASC;PL	ADJ;NOM;INDF;FEM;PL
форуми	المنتديات	форум	مُنتَدَى	N;INDF;MASC;PL	N;NOM;DEF;PL
форуми	المحافل	форум	مُحَافِل	N;INDF;MASC;PL	N;NOM;DEF;PL
кадафи	القذافي	кадафи	القذافي	N;INDF;MASC;SG	
зареждане	حمل	зареждане	حَمَل	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
зареждане	التحميل	зареждане	تَحمِيل	N;INDF;NEUT;SG	N;NOM;DEF;SG
зареждане	التهمة	зареждане	تُهمَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
зареждане	التحميل	зареждане	تَحمِيل	N;INDF;NEUT;SG	N;NOM;DEF;SG
зареждане	الشحن	зареждане	شَحن	N;INDF;NEUT;SG	N;NOM;DEF;SG
харисън	هاريسون	харисън	هاريسون	PROPN;INDF;MASC;SG	
добавка	الاضافة	добавка	إِضَافَة	N;INDF;FEM;SG	N;NOM;DEF;SG
добавка	الملحق	добавка	مُلحَق	N;INDF;FEM;SG	N;NOM;DEF;SG
рап	الراب	рап	رَاب	N;INDF;MASC;SG	N;NOM;DEF;SG
моделите	موديلات	модел	مُودِيل	N;DEF;MASC;PL	
моделите	نماذج	модел	نَمُوذَج	N;DEF;MASC;PL	N;NOM;INDF;PL
панорама	بانوراما	панорама	بانوراما	N;INDF;FEM;SG	
хрушчов	خروشوف	хрушчов	خَرشُوف	PROPN;INDF;MASC;SG	
раул	راؤول	раул	رَاؤُول	PROPN;INDF;MASC;SG	
миграция	الهجرة	миграция	هِجرَة	N;INDF;FEM;SG	N;NOM;DEF;SG
мюзикъл	موسيقية	мюзикъл	مُوسِيقِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
работилница	الورشة	работилница	وَرشَة	N;INDF;FEM;SG	N;NOM;DEF;SG
галактика	غالاكسي	галактика	غالاكسي	N;INDF;FEM;SG	
галактика	المجرة	галактика	مَجرَة	N;INDF;FEM;SG	N;NOM;DEF;SG
клиент	الزبون	клиент	زَبن	N;INDF;MASC;SG	N;NOM;DEF;SG
клиент	العميل	клиент	عَمِيل	N;INDF;MASC;SG	N;NOM;DEF;SG
клиент	الزبون	клиент	زَبن	N;INDF;MASC;SG	N;NOM;DEF;SG
завой	بيند	завой	بيند	N;INDF;MASC;SG	
завой	ينحني	завой	ينحني	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
завой	الانحناء	завой	اِنحِنَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
речи	خطب	реч	خَطَب	N;INDF;FEM;PL	V;PFV;MASC;SG;3;ACT
речи	الخطب	реч	خُطبَة	N;INDF;FEM;PL	N;NOM;DEF;PL
речи	الخطابات	реч	خِطَاب	N;INDF;FEM;PL	N;NOM;DEF;PL
емили	اميلي	емил	أَمِيلِيّ	PROPN;INDF;FEM;SG	
емили	ايميلي	емил	أَيمِيلِي	PROPN;INDF;FEM;SG	
светкавица	منورة	светкавица	منورة	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
светкавица	الوميض	светкавица	وَمِيض	N;INDF;FEM;SG	N;NOM;DEF;SG
светкавица	وميض	светкавица	وميض	N;INDF;FEM;SG	
светкавица	فلاش	светкавица	فلاش	N;INDF;FEM;SG	
светкавица	برق	светкавица	برق	N;INDF;FEM;SG	
светкавица	البرق	светкавица	بُرق	N;INDF;FEM;SG	N;NOM;DEF;SG
мазнини	السمين	мазнин	سَمِين	N;INDF;FEM;PL	N;NOM;DEF;SG
мазнини	بدين	мазнин	بدين	N;INDF;FEM;PL	
мазнини	الدهون	мазнин	دَهن	N;INDF;FEM;PL	N;NOM;DEF;PL
мазнини	سمين	мазнин	سَمِين	N;INDF;FEM;PL	
мазнини	دهن	мазнин	دِهن	N;INDF;FEM;PL	
самоубийство	انتحر	самоубийство	اِنتَحَر	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
самоубийство	الانتحار	самоубийство	اِنتِحَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
завършила	تخرج	завърша	خَرَج	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
достигане	الوصول	достигане	وُصُول	N;INDF;NEUT;SG	N;NOM;DEF;SG
крайни	المتطرف	краен	مُتَطَرِّف	ADJ;INDF;PL	N;NOM;DEF;SG
крайни	متطرف	краен	مُتَطَرِّف	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
крайни	المدقع	краен	مُدَقَّع	ADJ;INDF;PL	N;NOM;DEF;SG
крайни	متطرفة	краен	مُتَطَرِّف	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
смесена	المختلطة	смесен	مُختَلِط	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
смесена	المختلط	смесен	مُختَلِط	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
проектиран	صمم	проектирам	صَمَّم	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
проектиран	صممت	проектирам	صَمَّم	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
соломон	سليمان	соломон	سليمان	N;INDF;MASC;SG	
екрана	شاشة	екран	شَاشَة	N;DEF;MASC;SG	N;NOM;INDF;SG
джеси	جيسي	джеса	جيسي	PROPN;INDF;MASC;SG	
преобразува	يحول	преобразувам	حَوَّل	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
глазгоу	جلاسكو	глазгоу	جُلسكُو	PROPN;INDF;MASC;SG	
глазгоу	غلاسكو	глазгоу	غلاسكو	PROPN;INDF;MASC;SG	
растат	ينمو	раста	نَمَا	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
растат	تنمو	раста	نَمَا	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
съкровище	كنز	съкровище	كَنز	N;INDF;NEUT;SG	
съкровище	الكنز	съкровище	كَنز	N;INDF;NEUT;SG	N;NOM;DEF;SG
астероид	الكويكب	астероид	الكويكب	N;INDF;MASC;SG	
астероид	كويكب	астероид	كُوَيكب	N;INDF;MASC;SG	
кейн	كاين	кейн	كَايِن	PROPN;INDF;MASC;SG	
кейн	كائن	кейн	كَائِن	PROPN;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
кейн	قصب	кейн	قُصبَة	PROPN;INDF;MASC;SG	
кейн	عصا	кейн	عَصَا	PROPN;INDF;MASC;SG	
унищожена	دمر	унищожа	دَمَّر	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
унищожена	دمرت	унищожа	دَمَّر	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
положително	ايجابي	положително	إِيجَابِيّ	ADV	ADJ;NOM;INDF;MASC;SG
положително	الايجابي	положително	إِيجَابِيّ	ADV	ADJ;NOM;DEF;MASC;SG
положително	ايجابية	положително	إِيجَابِيّ	ADV	ADJ;NOM;INDF;FEM;SG
положително	الايجابية	положително	إِيجَابِيّ	ADV	ADJ;NOM;DEF;FEM;SG
положително	موجب	положително	مُوجِب	ADV	N;NOM;INDF;SG
заплата	مرتبات	заплата	مُرَتَّب	N;INDF;FEM;SG	N;NOM;INDF;PL
заплата	الراتب	заплата	رَاتِب	N;INDF;FEM;SG	N;NOM;DEF;SG
заплата	المرتب	заплата	مَرتَب	N;INDF;FEM;SG	N;NOM;DEF;SG
моравия	مورافيا	морав	مُورَافِيَا	PROPN;INDF;FEM;SG	
антропология	الانثروبولوجيا	антропология	إِنثَرُولُوجِيَا	N;INDF;FEM;SG	
американци	الاميركيين	американец	أَمِيرِكِيّ	N;INDF;MASC;PL	N;NOM;DEF;PL
богатството	ثروة	богатство	ثَروَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
богатството	الثروات	богатство	ثَروَة	N;DEF;NEUT;SG	N;NOM;DEF;PL
кръгли	مستديرة	кръгъл	مُستَدِير	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
кръгли	الجولة	кръгъл	جَولَة	ADJ;INDF;PL	N;NOM;DEF;SG
лена	لينا	лена	لينا	N;INDF;FEM;SG	
етажа	الطوابق	етаж	طَابِق	N;DEF;MASC;SG	N;NOM;DEF;PL
етажа	طوابق	етаж	طَابِق	N;DEF;MASC;SG	N;NOM;INDF;PL
ограничаване	القيد	ограничаване	قَيد	N;INDF;NEUT;SG	N;NOM;DEF;SG
ограничаване	التقييد	ограничаване	تَقيِيد	N;INDF;NEUT;SG	N;NOM;DEF;SG
ограничаване	الحد	ограничаване	حَدّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
ограничаване	الاحتواء	ограничаване	اِحتِوَاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
доза	الجرعة	доза	جُرعَة	N;INDF;FEM;SG	N;NOM;DEF;SG
хендрикс	هندريكس	хендрикс	هُندرِيكس	N;INDF;MASC;SG	
измервания	القياسات	измерване	قِيَاسَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
измервания	المقاييس	измерване	مِقيَاس	N;INDF;NEUT;PL	N;NOM;DEF;PL
измервания	القياس	измерване	قِيَاس	N;INDF;NEUT;PL	N;NOM;DEF;SG
измервания	قياس	измерване	قِيَاس	N;INDF;NEUT;PL	N;NOM;INDF;SG
емблема	الشعار	емблем	شِعَار	N;INDF;FEM;SG	N;NOM;DEF;SG
пиеро	بييرو	пиеро	بييرو	PROPN;INDF;MASC;SG	
петра	بيترا	петра	بَيترَا	N;INDF;FEM;SG	
мускул	العضلات	мускул	عُضلَة	N;INDF;MASC;SG	N;NOM;DEF;PL
мускул	العضلة	мускул	عُضلَة	N;INDF;MASC;SG	N;NOM;DEF;SG
мускул	عضلات	мускул	عضلات	N;INDF;MASC;SG	N;NOM;INDF;PL
тбилиси	تبليسي	тбилис	تبليسي	N;INDF;FEM;PL	
разкрити	كشفت	разкрия-(се)	كَشَف	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
колонията	مستعمرة	колония	مُستَعمِر	N;DEF;FEM;SG	N;NOM;INDF;SG
сиви	رمادية	сив	رَمَادِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
сиви	الرمادي	сив	رَمَادِيّ	ADJ;INDF;PL	
сиви	جراي	сив	جراي	ADJ;INDF;PL	
сиви	رمادي	сив	رمادي	ADJ;INDF;PL	
сиви	غراي	сив	غِرَاي	ADJ;INDF;PL	
сиви	رمادي	сив	رمادي	ADJ;INDF;PL	
полезна	المفيد	полезен	مُفِيد	ADJ;INDF;FEM;SG	
показани	معروض	покажа-(се)	مَعرُوض	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
показани	معروضة	покажа-(се)	مَعرُوض	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
крайници	الاطراف	крайник	طَرَف	N;INDF;MASC;PL	N;NOM;DEF;PL
размножаване	الانتشار	размножаване	اِنتِشَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
размножаване	التكاثر	размножаване	تَكَاثُر	N;INDF;NEUT;SG	N;NOM;DEF;SG
размножаване	التربية	размножаване	تَربِيَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
размножаване	الاستنساخ	размножаване	اِستِنسَاخ	N;INDF;NEUT;SG	N;NOM;DEF;SG
размножаване	التكاثر	размножаване	تَكَاثُر	N;INDF;NEUT;SG	N;NOM;DEF;SG
статуята	تمثال	статуя	تِمثَال	N;DEF;FEM;SG	N;NOM;INDF;SG
териториално	اقليمي	териториален	إِقلِيمِيّ	ADV	ADJ;NOM;INDF;MASC;SG
верни	مخلص	верен	مُخَلَّص	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
верни	حقيقي	верен	حَقِيقِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
верни	صحيح	верен	صَحِيح	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
верни	مخلص	верен	مُخَلَّص	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
верни	المؤمنين	верен	مُؤَمِّن	ADJ;INDF;PL	ADJ;NOM;DEF;MASC;PL
верни	مخلصة	верен	مخلصة	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
алпите	الالب	алп	أَلب	N;DEF;FEM;PL	
демо	تجريبي	демо	تجريبي	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
демо	التجريبي	демо	تَجرِيبِيّ	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
архиви	السجلات	архив	سِجِلّ	N;INDF;MASC;PL	N;NOM;DEF;PL
архиви	المحاضر	архив	مُحَاضِر	N;INDF;MASC;PL	N;NOM;DEF;SG
архиви	المحفوظات	архив	مَحفُوظ	N;INDF;MASC;PL	N;NOM;DEF;PL
архиви	محفوظات	архив	مَحفُوظ	N;INDF;MASC;PL	ADJ;NOM;INDF;FEM;PL
архиви	الارشيف	архив	اَلأَرشِيف	N;INDF;MASC;PL	N;NOM;DEF;SG
архиви	ارشيف	архив	ارشيف	N;INDF;MASC;PL	
архиви	الارشيف	архив	اَلأَرشِيف	N;INDF;MASC;PL	N;NOM;DEF;SG
документите	وثائق	документ	وَثِيقَة	N;DEF;MASC;PL	N;NOM;INDF;PL
документите	مستندات	документ	مُستَنَد	N;DEF;MASC;PL	N;NOM;INDF;PL
вечеря	العشاء	вечеря	عَشَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
анализи	التحليلات	анализ	تَحلِيل	N;INDF;MASC;PL	N;NOM;DEF;PL
анализи	التحليل	анализ	تَحلِيل	N;INDF;MASC;PL	N;NOM;DEF;SG
анализи	تحليل	анализ	تَحلِيل	N;INDF;MASC;PL	N;NOM;INDF;SG
анализи	الرؤى	анализ	رُؤيَا	N;INDF;MASC;PL	N;NOM;DEF;PL
анализи	رؤى	анализ	رؤى	N;INDF;MASC;PL	N;NOM;INDF;SG
бедствия	الكوارث	бедствие	كَارِثَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
бедствия	الكوارث	бедствие	كَارِثَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
бедствия	كارثة	бедствие	كَارِثَة	N;INDF;NEUT;PL	N;NOM;INDF;SG
бедствия	الكارثة	бедствие	كَارِثَة	N;INDF;NEUT;PL	N;NOM;DEF;SG
производни	المشتقات	производен	مُشتَقّ	ADJ;INDF;PL	N;NOM;DEF;PL
влажни	رطبة	влажен	رُطبَة	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
влажни	رطب	влажен	رَطَب	ADJ;INDF;PL	N;NOM;INDF;SG
подводница	الغواصة	подводница	غَوَّاصَة	N;INDF;FEM;SG	N;NOM;DEF;SG
подводница	الغواصة	подводница	غَوَّاصَة	N;INDF;FEM;SG	N;NOM;DEF;SG
подводница	فرعي	подводница	فَرعِيّ	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
подводница	الباطن	подводница	بَاطِن	N;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
перо	ريشة	перо	ريشة	N;INDF;NEUT;SG	
перо	ريش	перо	ريش	N;INDF;NEUT;SG	
перо	الريشة	перо	رِيشَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
въведение	المقدمة	въведение	مُقَدَّمَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
бара	بارا	бар	بَارَا	N;DEF;MASC;SG	
важност	الاهمية	важност	أَهَمِّيَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
торпедо	الطوربيد	торпедо	طُوربِيد	N;INDF;NEUT;SG	N;NOM;DEF;PL
удря	الضربات	удра	ضَربَة	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;DEF;PL
удря	يضرب	удра	ضَرَب	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
конан	كونان	конан	كُونَان	N;INDF;MASC;SG	
шрифт	الخط	шрифт	خَطّ	N;INDF;MASC;SG	N;NOM;DEF;SG
пустиня	الصحراء	пустиня	صَحرَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
локомотиви	القاطرات	локомотив	قَاطِرَة	N;INDF;FEM;PL	N;NOM;DEF;PL
намален	مخفضة	намаля	مخفضة	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
зърна	الحبوب	зърна-(се)	حَبّ	N;INDF;NEUT;PL	N;NOM;DEF;PL
съображения	الاعتبارات	съображение	اِعتِبَار	N;INDF;NEUT;PL	N;NOM;DEF;PL
утре	الغد	утре	غَد	ADV	N;NOM;DEF;SG
утре	بكره	утре	بكره	ADV	PRO;ACC;MASC;SG;3
утре	بكرا	утре	بكرا	ADV	N;ACC;INDF;SG
утре	بكرة	утре	بَكرَة	ADV	N;NOM;INDF;SG
утре	غدا	утре	غَد	ADV	N;ACC;INDF;SG
проява	مظاهر	проява	مَظهَر	N;INDF;FEM;SG	N;NOM;INDF;PL
авторитет	السلطة	авторитет	سُلطَة	N;INDF;MASC;SG	N;NOM;DEF;SG
японско	ياباني	японски	يَابَانِيّ	ADV	ADJ;NOM;INDF;MASC;SG
японско	الياباني	японски	يَابَانِيّ	ADV	N;NOM;DEF;SG
японско	يابانيون	японски	يَابَانِيّ	ADV	N;NOM;INDF;PL
японско	اليابانية	японски	يَابَانِيّ	ADV	ADJ;NOM;DEF;FEM;SG
преки	مباشرة	преки	مُبَاشَرَة	ADJ;INDF;PL	N;NOM;INDF;SG
преки	مباشر	преки	مُبَاشِر	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
преки	المباشر	преки	مُبَاشِر	ADJ;INDF;PL	ADJ;NOM;DEF;MASC;SG
преки	di	преки	مَثّ	ADJ;INDF;PL	
ваня	فانيا	ваня	فَانِيّ	PROPN;INDF;FEM;SG	ADJ;ACC;INDF;MASC;SG
шведска	السويدية	шведски	سوِيدِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
шведска	السويدي	шведски	سوِيدِيّ	ADJ;INDF;FEM;SG	
цин	كينغ	цин	كينغ	N;INDF;MASC;SG	
тотнъм	توتنهام	тотнъм	تُوتِنهَام	N;INDF;MASC;SG	
атланта	اتلانتا	атлант	اِتِّلَان	N;INDF;FEM;SG	
елит	النخبة	елит	نُخبَة	N;INDF;MASC;SG	N;NOM;DEF;SG
бомбардировач	المفجر	бомбардировач	مُفَجَّر	PROPN;INDF;MASC;SG	N;NOM;DEF;SG
рита	ريتا	ритам	ريتا	N;INDF;FEM;SG	
директорите	المدراء	директор	مِدرَاء	N;DEF;MASC;PL	N;NOM;DEF;SG
рон	رون	рон	رُون	PROPN;INDF;MASC;SG	
стратегическо	الاستراتيجي	стратегически	إِسترَاتِيجِيّ	ADV	ADJ;NOM;DEF;MASC;SG
стратегическо	استراتيجي	стратегически	إِسترَاتِيجِيّ	ADV	ADJ;NOM;INDF;MASC;SG
темите	مواضيع	тема	مَوضُوع	N;DEF;FEM;PL	N;NOM;INDF;PL
темите	موضوعات	тема	موضوعات	N;DEF;FEM;PL	N;NOM;INDF;PL
темите	مواضيع	тема	مَوضُوع	N;DEF;FEM;PL	N;NOM;INDF;PL
темите	موضوعات	тема	موضوعات	N;DEF;FEM;PL	N;NOM;INDF;PL
паскал	باسكال	паскал	باسكال	N;INDF;MASC;SG	
трио	الثلاثي	трио	ثُلَاثِيّ	N;INDF;NEUT;SG	
трио	ثلاثي	трио	ثَلَاثِي	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
указания	التعليمات	указание	تَعلِيم	N;INDF;NEUT;PL	N;NOM;DEF;PL
бунтовниците	متمردة	бунтовник	مُتَمَرِّد	N;DEF;MASC;PL	ADJ;NOM;INDF;FEM;SG
бунтовниците	المتمرد	бунтовник	مُتَمَرِّد	N;DEF;MASC;PL	N;NOM;DEF;SG
бунтовниците	متمرد	бунтовник	مُتَمَرِّد	N;DEF;MASC;PL	ADJ;NOM;INDF;MASC;SG
малцинства	الاقليات	малцинство	أَقلِيّ	N;INDF;NEUT;PL	ADJ;NOM;DEF;FEM;PL
фред	فرد	фред	فَرد	PROPN;INDF;MASC;SG	N;NOM;INDF;SG
фред	فريد	фред	فريد	PROPN;INDF;MASC;SG	
готово	معمول	готов	مَعمُول	ADV	ADJ;NOM;INDF;MASC;SG
готово	فعلت	готов	فَعَل	ADV	V;PFV;FEM;SG;3;ACT
готово	تمت	готов	تَمّ	ADV	V;PFV;FEM;SG;3;ACT
готово	تم	готов	تَمّ	ADV	V;PFV;MASC;SG;3;ACT
готово	انتهيت	готов	اِنتَهَى	ADV	V;PFV;FEM;SG;3;ACT
грозни	قبيح	грозен	قبيح	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
грозни	قبيحة	грозен	قَبِيح	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
грозни	القبيح	грозен	قُبَيح	ADJ;INDF;PL	ADJ;NOM;DEF;MASC;SG
грозни	بشع	грозен	بَشع	ADJ;INDF;PL	N;NOM;INDF;SG
грозни	غروزني	грозен	غرُوزنِي	ADJ;INDF;PL	
железни	حديدي	железен	حديدي	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
железни	حديد	железен	حَدِيد	ADJ;INDF;PL	N;NOM;INDF;SG
железни	الحديد	железен	حَدِيد	ADJ;INDF;PL	N;NOM;DEF;SG
близнаци	توام	близнак	تَوَام	N;INDF;MASC;PL	
