modificación	modifikation	modificación	modifikation	N;FEM;SG	ADJ
testimonio	aussagen	testimonio	aussagen	N;MASC;SG	V;NFIN
testimonio	aussage	testimonio	aussagen	N;MASC;SG	
testimonio	zeugenaussage	testimonio	zeugenaussag	N;MASC;SG	ADJ;NOM;FEM;SG
malta	malt	malta	malt	N;FEM;SG	PROPN
malta	malz	malta	malz	N;FEM;SG	
malta	zypern	malta	zypern	N;FEM;SG	
malta	malta	malta	malta	N;FEM;SG	
aerolíneas	fluggesellschaften	aerolínea	fluggesellschaft	N;FEM;PL	ADJ
aerolíneas	airlines	aerolínea	airlines	N;FEM;PL	PROPN;NOM;NEUT;SG
aerolíneas	fluggesellschaft	aerolínea	fluggesellschaft	N;FEM;PL	ADJ
aerolíneas	fluggesellschaften	aerolínea	fluggesellschaft	N;FEM;PL	ADJ
aerolíneas	fluggesellschaft	aerolínea	fluggesellschaft	N;FEM;PL	ADJ
aerolíneas	fluglinie	aerolínea	fluglinie	N;FEM;PL	PROPN;NOM;SG
aerolíneas	airline	aerolínea	airline	N;FEM;PL	PROPN;NOM;SG
balonmano	handball	balonmano	handball	N;MASC;SG	ADJ
bloques	blocks	bloque	blocks	N;MASC;PL	
bloques	blöcke	bloque	block	N;MASC;PL	ADJ
bloques	bausteine	bloque	bausteine	N;MASC;PL	ADJ;NOM;SG
positiva	positive	positivo	positiv	ADJ;FEM;SG	ADJ;NOM;FEM;PL
turner	turner	turner	turn	N;SG	PROPN;NOM;SG
vidal	vidal	vidal	vidal	PROPN	PROPN;NOM;SG
polvo	stäube	polvo	staub	N;MASC;SG	PROPN
polvo	staub	polvo	staub	N;MASC;SG	
polvo	puder	polvo	puder	N;MASC;SG	
polvo	pulver	polvo	pulv	N;MASC;SG	
polvo	schießpulver	polvo	schießpulver	N;MASC;SG	ADJ
tomada	getroffen	tomado	treffen|triefen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
tomada	genommen	tomado	nehmen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
tomada	mitgenommen	tomado	mitnehmen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
tomada	aufgenommen	tomado	aufnehmen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
balón	ball	balón	ball	N;MASC;SG	PROPN
balón	kugel	balón	kugeln	N;MASC;SG	
balón	bälle	balón	bäll	N;MASC;SG	ADJ
fija	korrekturen	fijo	korrekturen	ADJ;FEM;SG	V;NFIN
fija	behebt	fijo	beheben	ADJ;FEM;SG	V;IND;SG;3;PRS;FIN
declara	deklaration	declarar	deklaration	V;IND;SG;3;PRS;FIN	ADJ
alegría	joy	alegría	joy	N;FEM;SG	PROPN;NOM;SG
alegría	lebensfreude	alegría	lebensfreude	N;FEM;SG	
alegría	freude	alegría	freude	N;FEM;SG	
alegría	jubeln	alegría	jubeln	N;FEM;SG	V;NFIN
luxemburgo	luxemburg	luxemburgo	luxemburg	N;MASC;SG	PROPN;NOM;NEUT;SG
luxemburgo	luxemburg	luxemburgo	luxemburg	N;MASC;SG	PROPN;NOM;NEUT;SG
prusia	preußen	prusia	preußen	N;FEM;SG	
prusia	preußischen	prusia	preußisch	N;FEM;SG	ADJ;NOM;PL
prusia	preußische	prusia	preußisch	N;FEM;SG	ADJ;NOM;FEM;PL
declaraciones	erklärungen	declaración	erklärung	N;FEM;PL	V;NFIN
declaraciones	deklaration	declaración	deklaration	N;FEM;PL	ADJ
declaraciones	erklärungen	declaración	erklärung	N;FEM;PL	V;NFIN
declaraciones	anweisungen	declaración	anweisungen	N;FEM;PL	V;NFIN
declaraciones	aussagen	declaración	aussagen	N;FEM;PL	V;NFIN
reconoció	anerkannte	reconocer	anerkannt	V;IND;SG;3;PST;FIN	ADJ;SG
cronología	chronologisch	cronología	chronologisch	N;FEM;SG	ADJ
cronología	chronik	cronología	chronik	N;FEM;SG	
cronología	chronik	cronología	chronik	N;FEM;SG	
cronología	zeitablauf	cronología	zeitablauf	N;FEM;SG	ADJ
cría	fortpflanzung	cría	fortpflanzung	N;FEM;SG	ADJ
cría	aufzucht	cría	aufzucht	N;FEM;SG	
cría	zucht	cría	zucht	N;FEM;SG	
cría	züchten	cría	zücht	N;FEM;SG	V;NFIN
ilustraciones	abbildungen	ilustración	abbildung	N;FEM;PL	V;NFIN
cross	überqueren	cross	überqueren	N	V;NFIN
cross	kreuz	cross	kreuz	N	ADJ
cross	cross	cross	cross	N	PROPN
ron	ron	ron	ron	N;MASC;SG	PROPN;NOM;MASC;SG
ron	rum	ron	rum	N;MASC;SG	
estrada	estrada	estrada	estrada	N;SG	PROPN
vital	lebenswichtige	vital	lebenswichtig	ADJ;SG	ADJ;NOM;FEM;PL
vital	vital	vital	vital	ADJ;SG	
phoenix	phönix	phoenix	phönix	N;MASC;SG	
phoenix	phoenix	phoenix	phoenix	N;MASC;SG	PROPN;NOM;SG
semi	halbfinale	semi	halbfinale		N;NOM;NEUT;SG
semi	halb	semi	halb		ADJ
maine	maine	maine	mainen	N;MASC;SG	PROPN;NOM;SG
varsovia	warschau	varsovia	warschau	N;FEM;SG	PROPN;NOM;MASC;SG
masacre	blutbad	masacre	blutbad	N;FEM;SG	ADJ
masacre	massaker	masacre	massaker	N;FEM;SG	ADJ
masacre	gemetzel	masacre	gemetzel	N;FEM;SG	ADJ
masacre	schlachten	masacre	schlachten	N;FEM;SG	V;NFIN
masacre	gemetzel	masacre	gemetzel	N;FEM;SG	ADJ
vinos	weinbau	vino	weinbau	N;MASC;PL	
vinos	wein	vino	wein	N;MASC;PL	
vinos	weines	vino	wein	N;MASC;PL	N;NOM;NEUT;SG
vinos	weine	vino	wein	N;MASC;PL	
vinos	wein	vino	wein	N;MASC;PL	
vinos	weines	vino	wein	N;MASC;PL	N;NOM;NEUT;SG
vinos	weinen	vino	wein	N;MASC;PL	V;NFIN
vinos	weine	vino	wein	N;MASC;PL	
nominada	nominierung	nominado	nominierung	ADJ;FEM;SG;V.PTCP	N;NOM;FEM;SG
nominada	ernannt	nominado	ernennen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
nominada	nominiert	nominado	nominieren	ADJ;FEM;SG;V.PTCP	V;V.PTCP
nominada	nominierung	nominado	nominierung	ADJ;FEM;SG;V.PTCP	N;NOM;FEM;SG
nominada	nominierten	nominado	nominiert	ADJ;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
denuncia	berichte	denuncia	bericht	N;FEM;SG	
denuncia	report	denuncia	report	N;FEM;SG	PROPN
denuncia	meldung	denuncia	meldung	N;FEM;SG	ADJ
denuncia	melden	denuncia	melden	N;FEM;SG	V;NFIN
denuncia	beschwerde	denuncia	beschwerde	N;FEM;SG	ADJ
denuncia	antrag	denuncia	antragen	N;FEM;SG	ADJ
denuncia	beschwerden	denuncia	beschwerden	N;FEM;SG	V;NFIN
denuncia	klage	denuncia	klage	N;FEM;SG	ADJ
denuncia	kündigung	denuncia	kündigung	N;FEM;SG	ADJ
frutas	obst	fruta	obst	N;FEM;PL	
frutas	früchte	fruta	früchen	N;FEM;PL	
frutas	fruchtsaft	fruta	fruchtsaft	N;FEM;PL	PROPN
frutas	früchten	fruta	früchten	N;FEM;PL	V;NFIN
frutas	frucht	fruta	fruchen	N;FEM;PL	PROPN
frutas	obst	fruta	obst	N;FEM;PL	
frutas	früchte	fruta	früchen	N;FEM;PL	
frutas	früchten	fruta	früchten	N;FEM;PL	V;NFIN
frutas	frucht	fruta	fruchen	N;FEM;PL	PROPN
periodos	zeiten	periodo	zeiten	N;MASC;PL	V;NFIN
periodos	zeiträume	periodo	zeitraum	N;MASC;PL	
graham	graham	graham	graham	PROPN	PROPN;NOM;SG
duquesa	herzogin	duquesa	herzogin	N;FEM;SG	PROPN;NOM;SG
delito	verbrechen	delito	verbrechen	N;MASC;SG	V;NFIN
delito	straftat	delito	strafta	N;MASC;SG	PROPN
delito	kriminalität	delito	kriminalität	N;MASC;SG	ADJ
delito	verbrechen	delito	verbrechen	N;MASC;SG	V;NFIN
delito	straftat	delito	strafta	N;MASC;SG	PROPN
delito	straftat	delito	strafta	N;MASC;SG	PROPN
preocupación	anliegen	preocupación	anliegen	N;FEM;SG	
preocupación	bedenken	preocupación	bedenken	N;FEM;SG	V;NFIN
preocupación	bedenken	preocupación	bedenken	N;FEM;SG	V;NFIN
preocupación	sorge	preocupación	sorgen	N;FEM;SG	
preocupación	besorgnis	preocupación	besorgnis	N;FEM;SG	
metales	metall	metal	metall	N;MASC;PL	
metales	metallverarbeitung	metal	metallverarbeitung	N;MASC;PL	N;NOM;FEM;SG
metales	metal	metal	metal	N;MASC;PL	PROPN
metales	metallbearbeitung	metal	metallbearbeitung	N;MASC;PL	ADJ
metales	metall	metal	metall	N;MASC;PL	
metales	metallindustrie	metal	metallindustrie	N;MASC;PL	PROPN
metales	metallen	metal	metallen	N;MASC;PL	V;NFIN
renfe	renfe	renfe	renfen	N;FEM;SG	PROPN;NOM;SG
golf	golfplatz	golf	golfplatz	N;MASC	
golf	golf	golf	golf	N;MASC	
golf	golfplätze	golf	golfplätzen	N;MASC	
asistencias	hilft	asistencia	helfen	N;FEM;PL	V;IND;SG;3;PRS;FIN
asistencias	unterstützungen	asistencia	unterstützingen	N;FEM;PL	V;NFIN
creencias	überzeugungen	creencia	überzeugungen	N;FEM;PL	V;NFIN
creencias	ansichten	creencia	ansichten	N;FEM;PL	V;PL;FIN
creencias	glauben	creencia	glauben	N;FEM;PL	V;NFIN
creencias	überzeugung	creencia	überzeugung	N;FEM;PL	ADV
creencias	glaube	creencia	glauben	N;FEM;PL	
creencias	glauben	creencia	glauben	N;FEM;PL	V;NFIN
creencias	überzeugung	creencia	überzeugung	N;FEM;PL	ADV
sucre	sucre	sucre	sucren	N;MASC;SG	PROPN;NOM;SG
baltimore	baltimore	baltimore	baltimore	N;MASC;SG	PROPN;NOM;MASC;SG
stars	sternen	star	sternen	N	V;NFIN
stars	stern	star	stern	N	
stars	sterne	star	stern	N	
stars	stars	star	stars	N	PROPN
stars	sternchen	star	sternch	N	
reputación	bekanntheit	reputación	bekanntheit	N;FEM;SG	ADJ
reputación	reputation	reputación	reputation	N;FEM;SG	
party	feiern	party	feiern	N	V;NFIN
party	feier	party	feier	N	
party	party	party	party	N	PROPN
party	partei	party	partei	N	
norman	norman	normar	norman	N;MASC;SG	PROPN;NOM;SG
humberto	humberto	humberto	humberto	PROPN	PROPN
humberto	humbert	humberto	humbert	PROPN	PROPN
humberto	umberto	humberto	umberto	PROPN	PROPN;SG
humberto	hubert	humberto	hubert	PROPN	PROPN;NOM;SG
participante	teilnehmers	participante	teilnehmers	N;SG	ADV
participante	teilnehmer	participante	teilnehmer	N;SG	
conexiones	anschlüsse	conexión	anschlüssen	N;FEM;PL	
conexiones	verbindungen	conexión	verbindung	N;FEM;PL	V;NFIN
cumplimiento	compliance	cumplimiento	compliance	N;MASC;SG	PROPN;NOM;SG
cumplimiento	konformität	cumplimiento	konformität	N;MASC;SG	ADJ
aurora	aurora	aurora	aurora	N;FEM;SG	PROPN;NOM;SG
quedarse	bleibe	quedar	bleiben	V;SBJV;SG;3;IPFV;FIN	
condujo	fuhren	conducir	fahren	V;IND;SG;3;PST;FIN	V;IND;PL;3;PST;FIN
australiana	australische	australiano	australisch	ADJ;FEM;SG	ADJ;NOM;FEM;PL
australiana	australier	australiano	australier	ADJ;FEM;SG	
australiana	australian	australiano	australian	ADJ;FEM;SG	PROPN;SG
ámsterdam	amsterdam	ámsterdam	amsterdam	N;MASC;SG	PROPN;NOM;NEUT;SG
ilustración	erleuchtung	ilustración	erleuchtung	N;FEM;SG	
ilustración	abbildung	ilustración	abbildung	N;FEM;SG	
ilustración	illustration	ilustración	illustration	N;FEM;SG	PROPN;NOM;SG
potosí	potosi	potosí	potosi	N;MASC;PL	PROPN;NOM;MASC;SG
potosí	potosí	potosí	potosí	N;MASC;PL	PROPN;NOM;MASC;SG
efectiva	effektive	efectivo	effektiv	ADJ;FEM;SG	ADJ;NOM;FEM;PL
efectiva	wirksame	efectivo	wirksam	ADJ;FEM;SG	ADJ;NOM;FEM;PL
constituyente	konstituierenden	constituyente	konstituierend	ADJ;SG	V;PL;FIN
convertir	konvertierung	convertir	konvertierung	V;NFIN	N;NOM;FEM;SG
convertir	konvertierung	convertir	konvertierung	V;NFIN	N;NOM;FEM;SG
convertir	umwandlung	convertir	umwandlung	V;NFIN	N;SG
llanura	plain	llanura	plain	N;FEM;SG	
llanura	schlicht	llanura	schlicht	N;FEM;SG	ADJ
llanura	glatt	llanura	glatt	N;FEM;SG	ADJ
llanura	ebene	llanura	eben	N;FEM;SG	
llanura	plains	llanura	plains	N;FEM;SG	PROPN;NOM;SG
llanura	ebenen	llanura	eben	N;FEM;SG	
levantamiento	aufstand	levantamiento	aufstehen	N;MASC;SG	V;IND;SG;3;PST;FIN
levantamiento	anheben	levantamiento	anheben	N;MASC;SG	V;NFIN
levantamiento	heben	levantamiento	heben	N;MASC;SG	V;NFIN
hebreo	hebräische	hebreo	hebräisch	N;MASC;SG	ADJ;NOM;FEM;PL
hebreo	hebräisch	hebreo	hebräisch	N;MASC;SG	ADJ
propaganda	propaganda	propaganda	propaganda	N;FEM;SG	PROPN
desea	wünsch	desear	wünsch	V;IND;SG;3;PRS;FIN	V;IND;SG;2;PRS;FIN
desea	wünsche	desear	wünschen	V;IND;SG;3;PRS;FIN	;SG
desea	wunsch	desear	wunsch	V;IND;SG;3;PRS;FIN	
desea	wünsche	desear	wünschen	V;IND;SG;3;PRS;FIN	;SG
thompson	thompson	thompson	thompson	N;MASC;SG	PROPN;NOM;SG
jay	jay	jayto	jays	PROPN	PROPN;NOM;MASC;SG
secuela	fortsetzung	secuelo	fortsetzung	N;FEM;SG	
tributo	tribut	tributo	trebun	N;MASC;SG	
placas	kennzeichen	placa	kennzeichen	N;FEM;PL	
placas	teller	placa	teller	N;FEM;PL	
placas	platten	placa	platt	N;FEM;PL	V;NFIN
placas	abzeichen	placa	abzeichen	N;FEM;PL	
placas	kennzeichen	placa	kennzeichen	N;FEM;PL	
placas	platte	placa	platen	N;FEM;PL	
placas	teller	placa	teller	N;FEM;PL	
estructural	strukturelle	estructural	strukturell	ADJ;SG	ADJ;NOM;FEM;PL
culpa	schuld	culpa	schuld	N;FEM;SG	ADJ
culpa	beschuldigen	culpa	beschuldigen	N;FEM;SG	V;NFIN
culpa	schuld	culpa	schuld	N;FEM;SG	ADJ
culpa	schuldgefühle	culpa	schuldgefühle	N;FEM;SG	ADJ;NOM;FEM;PL
concejales	ratsmitglieder	concejal	ratsmitglied	N;MASC;PL	ADJ
singapur	singapur	singapur	singapur	N;MASC;SG	PROPN;NOM;MASC;SG
secreta	geheimnis	secreto	geheimnis	ADJ;FEM;SG	N;NOM;NEUT;SG
secreta	secret	secreto	secren	ADJ;FEM;SG	PROPN;SG
comerciantes	gewerbetreibende	comerciante	gewerbetreibend	N;PL	ADJ;NOM;FEM;SG
comerciantes	händler	comerciante	händler	N;PL	ADJ
comerciantes	kaufleute	comerciante	kaufleut	N;PL	ADJ;NOM;PL
comerciantes	händlern	comerciante	händlern	N;PL	V;NFIN
comerciantes	kaufleute	comerciante	kaufleut	N;PL	ADJ;NOM;PL
comerciantes	fachhandel	comerciante	fachhandel	N;PL	
comerciantes	händler	comerciante	händler	N;PL	ADJ
comerciantes	fachhändler	comerciante	fachhändler	N;PL	ADJ
comerciantes	händlern	comerciante	händlern	N;PL	V;NFIN
bank	bank	bank	bank	N	
meseta	mesa	meseta	mesa	N;FEM;SG	PROPN;NOM;SG
meseta	hochebene	meseta	hocheben	N;FEM;SG	ADJ;NOM;FEM;SG
meseta	plateau	meseta	plateau	N;FEM;SG	ADJ
meseta	hochland	meseta	hochland	N;FEM;SG	ADJ
hamburgo	hamburg	hamburgo	hamburg	N;MASC;SG	PROPN;NOM;NEUT;SG
ordenado	ordiniert	ordenado	ordinieren	ADJ;MASC;SG;V.PTCP	V;V.PTCP
ordenado	geweiht	ordenado	weihen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
ordenado	bestellten	ordenado	bestellt	ADJ;MASC;SG;V.PTCP	V;IND;PL;3;PST;FIN
ordenado	befohlen	ordenado	befohlen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
ordenado	bestellte	ordenado	bestellen	ADJ;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
ordenado	bestellt	ordenado	bestellen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
ordenado	geordnete	ordenado	geordnet	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL
ordenado	pfleger	ordenado	pfleger	ADJ;MASC;SG;V.PTCP	
pereira	pereira	pereira	pereira	N;MASC;SG	PROPN
proporción	relation	proporción	relation	N;FEM;SG	
proporción	ratio	proporción	ratio	N;FEM;SG	PROPN
proporción	verhältnis	proporción	verhältnis	N;FEM;SG	V;NFIN
proporción	quotient	proporción	quotient	N;FEM;SG	ADJ
proporción	proportionen	proporción	proportionen	N;FEM;SG	V;NFIN
proporción	anteil	proporción	anteil	N;FEM;SG	ADV
asociada	assoziierte	asociado	assoziieren	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
asociada	assoziierten	asociado	assoziiert	ADJ;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
asociada	assoziiert	asociado	assoziieren	ADJ;FEM;SG;V.PTCP	V;V.PTCP
asociada	assoziierte	asociado	assoziieren	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
asociada	verknüpfen	asociado	verknüpfen	ADJ;FEM;SG;V.PTCP	V;NFIN
fiat	fiat	fiat	faten	N;MASC;SG	PROPN;NOM;SG
estimada	schätzungsweise	estimar	schätzungsweise	ADJ;FEM;SG;V.PTCP	ADV
estimada	geschätzte	estimar	geschätzt	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
estimada	geschätzt	estimar	schätzen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
estimada	schätzungen	estimar	schätzen	ADJ;FEM;SG;V.PTCP	V;NFIN
estimada	schätzung	estimar	schätzung	ADJ;FEM;SG;V.PTCP	N;NOM;FEM;SG
interfaz	interface	interfaz	interface	N;FEM;SG	
interfaz	benutzeroberfläche	interfaz	benutzeroberfläche	N;FEM;SG	ADJ;NOM;FEM
interfaz	oberfläche	interfaz	oberfläch	N;FEM;SG	ADJ
interfaz	schnittstellen	interfaz	schnittstellen	N;FEM;SG	N;NOM;FEM;PL
interfaz	schnittstelle	interfaz	schnittstellen	N;FEM;SG	ADJ;NOM;FEM;SG
correa	leine	correa	lein	N;FEM;SG	ADJ
correa	halsband	correa	halsband	N;FEM;SG	
correa	correa	correa	correa	N;FEM;SG	PROPN;NOM;MASC;SG
correa	riemen	correa	riemen	N;FEM;SG	V;NFIN
correa	gurt	correa	guren	N;FEM;SG	ADJ
colaborar	mitarbeit	colaborar	mitarbeit	V;NFIN	N;NOM;SG
colaborar	zusammenarbeit	colaborar	zusammenarbeit	V;NFIN	ADJ
colaborar	kooperationen	colaborar	kooperation	V;NFIN	N;NOM;FEM;PL
colaborar	kooperation	colaborar	kooperation	V;NFIN	N;SG
arquidiócesis	erzbistum	arquidiócesis	erzbistum	N;FEM	PROPN
episcopal	episcopal	episcopal	episcopal	ADJ;SG	PROPN
secretaria	sekretärin	secretaria	sekretärin	N;FEM;SG	ADJ
secretaria	generalsekretär	secretaria	generalsekretär	N;FEM;SG	ADJ
circuitos	schaltkreise	circuito	schaltkreise	N;MASC;PL	ADJ
circuitos	kreislauf	circuito	kreislauf	N;MASC;PL	PROPN
circuitos	circuit	circuito	circuit	N;MASC;PL	PROPN
circuitos	rennstrecke	circuito	rennstrecke	N;MASC;PL	ADJ;NOM;FEM;SG
circuitos	schaltung	circuito	schaltung	N;MASC;PL	ADJ
magallanes	magellan	magallan	magellan	N;MASC;PL	PROPN;NOM;SG
concacaf	concacaf	concacaf	concacaf	N;FEM;SG	PROPN
auxiliar	assistentin	auxiliar	assistentin	V;NFIN	ADJ
auxiliar	assistenz	auxiliar	assistenz	V;NFIN	
auxiliar	assistent	auxiliar	assistent	V;NFIN	ADJ
auxiliar	hilfskräfte	auxiliar	hilfskräfen	V;NFIN	
minería	bergbau	minería	bergbau	N;FEM;SG	
corteza	bellt	corteza	bellen	N;FEM;SG	V;IND;SG;3;PRS;FIN
corteza	bellen	corteza	bellen	N;FEM;SG	
corteza	rinde	corteza	rinder	N;FEM;SG	
corteza	kruste	corteza	krusen	N;FEM;SG	
corteza	cortex	corteza	cortex	N;FEM;SG	PROPN;NOM;SG
corteza	rinde	corteza	rinder	N;FEM;SG	
verso	strophe	verso	stroph	N;MASC;SG	
verso	vers	verso	vers	N;MASC;SG	
verso	verse	verso	versen	N;MASC;SG	
anónimo	anonymität	anónimo	anonymität	ADJ;MASC;SG	
anónimo	anonym	anónimo	anonym	ADJ;MASC;SG	
auge	boomenden	auge	boomend	N;MASC;SG	ADJ
auge	ausleger	auge	ausleger	N;MASC;SG	ADJ
auge	boom	auge	boom	N;MASC;SG	PROPN;SG
auge	bumm	auge	bumm	N;MASC;SG	
encargo	beauftragte	encargo	beauftragen	N;MASC;SG	V;IND;SG;3;PST;FIN
encargo	bestellungen	encargo	bestellingen	N;MASC;SG	N;NOM;FEM;PL
encargo	reihenfolge	encargo	reihenfolge	N;MASC;SG	ADJ;NOM;FEM;PL
sensación	gefühle	sensación	gefühlen	N;FEM;SG	ADJ
sensación	feeling	sensación	feeling	N;FEM;SG	
sensación	fühlen	sensación	fühlen	N;FEM;SG	V;NFIN
sensación	empfindungen	sensación	empfindung	N;FEM;SG	V;NFIN
sensación	sensation	sensación	sensation	N;FEM;SG	
afluentes	zuflüsse	afluente	zuflüssen	N;PL	
afluentes	nebenflüsse	afluente	nebenfluß	N;PL	ADJ
suave	glatten	suave	glatten	ADJ;SG	V;NFIN
suave	glätten	suave	glatt	ADJ;SG	V;NFIN
suave	mellow	suave	mellow	ADJ;SG	PROPN
suave	soft	suave	soft	ADJ;SG	
suave	leichte	suave	leicht	ADJ;SG	ADJ;NOM;FEM;PL
suave	milde	suave	milde	ADJ;SG	
constantes	konstante	constante	konstant	ADJ;PL	ADJ;NOM;FEM;SG
constantes	konstanten	constante	konstant	ADJ;PL	
constantes	konstanten	constante	konstant	ADJ;PL	
cbs	cbs	cbs	cbs	N;FEM;SG	PROPN;NOM;SG
cbs	zentralbanken	cbs	zentralbank	N;FEM;SG	ADJ
suizo	swiss	suizo	sweß	N;MASC;SG	
suizo	schweizerische	suizo	schweizerisch	N;MASC;SG	ADJ;NOM;FEM;PL
suizo	schweizer	suizo	schweizer	N;MASC;SG	ADJ
jamaica	jamaika	jamaica	jamaika	N;FEM;SG	PROPN;NOM;MASC;SG
jamaica	jamaica	jamaica	jamaica	N;FEM;SG	PROPN;NOM;MASC;SG
jamaica	jamaika	jamaica	jamaika	N;FEM;SG	PROPN;NOM;MASC;SG
sencilla	einfache	sencillo	einfach	ADJ;FEM;SG	ADJ;NOM;FEM;PL
sencilla	einfach	sencillo	einfach	ADJ;FEM;SG	ADV
sencilla	einfache	sencillo	einfach	ADJ;FEM;SG	ADJ;NOM;FEM;PL
sencilla	einfach	sencillo	einfach	ADJ;FEM;SG	ADV
sencilla	easy	sencillo	easy	ADJ;FEM;SG	
censura	unzensierte	censura	unzensieren	N;FEM;SG	ADJ;NOM;FEM;PL
censura	zensoren	censura	zensor	N;FEM;SG	
censura	zensieren	censura	zensieren	N;FEM;SG	V;NFIN
censura	zensur	censura	zensur	N;FEM;SG	
censura	zensur	censura	zensur	N;FEM;SG	
rebelde	rebellen	rebelde	rebell	ADJ;SG	
roll	rollen	roll	roll	N;MASC;SG	V;NFIN
roll	roll	roll	roll	N;MASC;SG	PROPN
roll	brötchen	roll	brötchen	N;MASC;SG	V;NFIN
roll	würfeln	roll	würfeln	N;MASC;SG	V;NFIN
paco	paco	paco	paco	PROPN	PROPN;NOM;SG
matías	mathias	matía	mathias	PROPN	PROPN;NOM;MASC;SG
matías	matías	matía	matías	PROPN	PROPN;NOM;MASC;SG
matías	matthias	matía	matthias	PROPN	PROPN;NOM;MASC;SG
nancy	nancy	nancy	nancy	N;FEM;SG	PROPN;NOM;SG
marítima	seefahrt	marítimo	seefahren	ADJ;FEM;SG	PROPN
marítima	seeverkehr	marítimo	seeverkehr	ADJ;FEM;SG	
marítima	maritime	marítimo	maritime	ADJ;FEM;SG	ADJ;NOM;FEM;PL
crimea	krim	crimea	krim	ADJ;SG	PROPN;NOM;SG
crimea	krim	crimea	krim	ADJ;SG	PROPN;NOM;SG
liberado	freigelassen	liberado	freilassen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	erschienen	liberado	erscheinen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	freigegeben	liberado	freigeben	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	veröffentlicht	liberado	veröffentlichen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	veröffentlichte	liberado	veröffentlichen	ADJ;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
liberado	befreit	liberado	befreien	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	freigelassen	liberado	freilassen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	befreite	liberado	befreit	ADJ;MASC;SG;V.PTCP	V
liberado	befreit	liberado	befreien	ADJ;MASC;SG;V.PTCP	V;V.PTCP
liberado	befreite	liberado	befreit	ADJ;MASC;SG;V.PTCP	V
narrativa	storytelling	narrativa	storytelling	N;FEM;SG	ADJ
narrativa	geschichten	narrativa	geschecht	N;FEM;SG	V;NFIN
narrativa	erzählungen	narrativa	erzählingen	N;FEM;SG	N;NOM;FEM;PL
gerente	geschäftsführer	gerente	geschäftsführer	N;SG	ADJ
gerente	manager	gerente	manager	N;SG	ADJ
gerente	betriebsleiter	gerente	betriebsleiter	N;SG	ADJ
gerente	geschäftsführerin	gerente	geschäftsführerin	N;SG	ADJ;NOM;SG
encuesta	survey	encuesta	survey	N;FEM;SG	PROPN
encuesta	umfrage	encuesta	umfragen	N;FEM;SG	
encuesta	umfrage	encuesta	umfragen	N;FEM;SG	
encuesta	umfragen	encuesta	umfragen	N;FEM;SG	N;NOM;PL
pokémon	pokémon	pokémon	pokémon	N;MASC	
libertador	befreier	libertador	befreier	N;MASC;SG	ADJ
generalidad	generalitat	generalidad	eralitaen	N;FEM;SG	PROPN;NOM;SG
generalidad	allgemeingültigkeit	generalidad	allgemeingültigkeit	N;FEM;SG	ADJ
efectivamente	effektiv	efectivamente	effektiv	ADV	ADJ
efectivamente	tatsächlich	efectivamente	tatsächlich	ADV	ADJ
virreinato	vizekönigreich	virreinato	vizekönigreich	N;MASC;SG	ADJ
seca	dry	seco	dry	ADJ;FEM;SG	
seca	trocknen	seco	trocknen	ADJ;FEM;SG	V;NFIN
seca	trockene	seco	trocken	ADJ;FEM;SG	ADJ;NOM;FEM;PL
seca	getrocknet	seco	trocknen	ADJ;FEM;SG	V;V.PTCP
seca	getrockneten	seco	getrocknet	ADJ;FEM;SG	ADJ;PL
marchó	marschierten	marchar	marschiert	V;IND;SG;3;PST;FIN	V;IND;PL;3;PST;FIN
medir	vermessung	medir	vermessung	V;NFIN	N;NOM;FEM;SG
medir	messgeräte	medir	meßgerät	V;NFIN	N;NOM;FEM;PL
medir	messung	medir	messung	V;NFIN	N;SG
medir	maßnahme	medir	maßnahmen	V;NFIN	ADJ
medir	massnahme	medir	massnahm	V;NFIN	N;NOM;FEM;SG
dieta	futter	dieta	futter	N;FEM;SG	
dieta	diät	dieta	diet	N;FEM;SG	
aparente	offensichtliche	aparente	offensichtlich	ADJ;SG	ADJ;NOM;FEM;PL
