और	in	और	in		CONJ
यूनाइटेड	združena	यूनाइटेड	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
यूनाइटेड	združene	यूनाइटेड	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL;V.PTCP
यूनाइटेड	united	यूनाइटेड	united	PROPN;NOM;MASC;SG;3	
यूनाइटेड	združeno	यूनाइटेड	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
जापानी	japonska	जापानी	japonski	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
जापानी	japonsko	जापानी	japonski	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
जापानी	japonski	जापानी	japonski	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
जापानी	japonsko	जापानी	japonski	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
जापानी	japonci	जापानी	japonec	N;NOM;MASC;SG;3	N;NOM;MASC;PL
जापानी	japonska	जापानी	japonski	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रॉक	skalo	रॉक	skala	N;NOM;MASC;SG;3	N;ACC;FEM;SG
लंबी	visoki	लंबा	visok	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
लंबी	dolge	लंबा	dolg	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
लंबी	dolgo	लंबा	dolgo	ADJ;NOM;FEM;SG	ADV
गेम	igralni	गेम	igralen	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
गेम	igro	गेम	igra	N;NOM;MASC;SG;3	N;ACC;FEM;SG
गेम	tekmo	गेम	tekma	N;NOM;MASC;SG;3	N;ACC;FEM;SG
गेम	tekme	गेम	tekma	N;NOM;MASC;SG;3	N;NOM;FEM;PL
गेम	igre	गेम	igra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
गेम	igrah	गेम	igra	N;NOM;MASC;SG;3	N;ESS;FEM;PL
गेम	igrice	गेम	igrica	N;NOM;MASC;SG;3	N;NOM;FEM;PL
गेम	iger	गेम	igra	N;NOM;MASC;SG;3	N;GEN;FEM;PL
अन्दर	znotraj	अन्दर	znotraj		ADP;GEN
अन्दर	znotraj	अन्दर	znotraj		ADP;GEN
अन्दर	notri	अन्दर	notri		ADV
संपत्ति	nepremičnine	संपत्ति	nepremičnina	N;NOM;FEM;SG;3	N;NOM;FEM;PL
संपत्ति	sredstva	संपत्ति	sredstvo	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
संक्षिप्त	okrajšava	संक्षिप्त	okrajšava	PROPN;NOM;SG;3	N;NOM;FEM;SG
संक्षिप्त	kratica	संक्षिप्त	kratica	PROPN;NOM;SG;3	N;NOM;FEM;SG
संक्षिप्त	kratek	संक्षिप्त	kratek	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
संक्षिप्त	jedrnato	संक्षिप्त	jedrnati	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
क्यों	zakaj	क्यों	zakaj	PRO	ADV
गलत	nepravilno	गलत	nepravilen	ADJ	ADV
गलत	narobe	गलत	narobe	ADJ	ADV
सर्वोच्च	vrhovnega	सर्वोच्च	vrhoven	PROPN;NOM;MASC;SG;3	ADJ;GEN;NEUT;SG
सर्वोच्च	vrhovni	सर्वोच्च	vrhoven	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
सर्वोच्च	vrhovno	सर्वोच्च	vrhoven	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
सर्वोच्च	najvišjo	सर्वोच्च	visok	PROPN;NOM;MASC;SG;3	ADJ;NOM;RL;NEUT;SG
सर्वोच्च	najvišje	सर्वोच्च	visok	PROPN;NOM;MASC;SG;3	ADJ;NOM;RL;NEUT;SG
सर्वोच्च	najvišji	सर्वोच्च	visok	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;RL;MASC;SG
सर्वोच्च	najvišja	सर्वोच्च	visok	PROPN;NOM;MASC;SG;3	ADJ;NOM;RL;FEM;SG
लेना	lena	ले	len	V;MASC;NFIN;ACT	ADJ;NOM;FEM;SG
भौतिकी	fiziko	भौतिकी	fizika	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वाहन	vozil	वाहन	voziti	N;NOM;MASC;PL;3	V;IPFV;MASC;SG;V.PTCP
वाहन	vozilo	वाहन	vozilo	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
फ़िल्में	kino	फ़िल्म	kino	N;NOM;FEM;PL;3	N;NOM;MASC;SG
फ़िल्में	filme	फ़िल्म	film	N;NOM;FEM;PL;3	N;ACC;MASC;PL
सैनिक	vojaška	सैनिक	vojaški	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सैनिक	vojaški	सैनिक	vojaški	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सैनिक	vojaško	सैनिक	vojaški	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
डेटा	podatki	डेटा	podatek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्थिर	statična	स्थिर	statičen		ADJ;NOM;FEM;SG
स्थिर	statični	स्थिर	statičen		ADJ;NOM;MASC;PL
दूध	mlečni	दूध	mlečen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
दूध	mleka	दूध	mleko	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
विद्वानों	učenjaki	विद्वान	učenjak	N;ACC;MASC;PL;3	N;NOM;MASC;PL
बाह्य	zunanji	बाह्य	zunanji		ADJ;NOM;DEF;MASC;SG
बाह्य	zunanja	बाह्य	zunanji		ADJ;NOM;FEM;SG
बाह्य	zunanje	बाह्य	zunanji		ADJ;NOM;FEM;PL
उपस्थिति	prisotnosti	उपस्थिति	prisotnost	N;NOM;FEM;SG;3	N;GEN;FEM;SG
समूहों	skupine	समूह	skupina	N;ACC;MASC;PL;3	N;NOM;FEM;PL
समूहों	skupin	समूह	skupina	N;ACC;MASC;PL;3	N;GEN;FEM;PL
समूहों	skupinami	समूह	skupina	N;ACC;MASC;PL;3	N;DAT;FEM;PL
समूहों	skupini	समूह	skupina	N;ACC;MASC;PL;3	N;NOM;FEM;DU
होटल	hotel	होटल	hoteti	N;NOM;MASC;SG;3	V;IPFV;MASC;SG;V.PTCP
होटल	hotele	होटल	hoteti	N;NOM;MASC;SG;3	V;IPFV;FEM;PL;V.PTCP
होटल	hoteli	होटल	hoteti	N;NOM;MASC;SG;3	V;IPFV;MASC;PL;V.PTCP
होटल	hotelov	होटल	hotel	N;NOM;MASC;SG;3	N;GEN;MASC;PL
साहित्यिक	literarni	साहित्यिक	literaren	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पुरुषों	moške	पुरुष	moški	N;ACC;MASC;PL;3	ADJ;NOM;FEM;PL
पुरुषों	možje	पुरुष	mož	N;ACC;MASC;PL;3	N;NOM;MASC;PL
पुरुषों	men	पुरुष	mena	N;ACC;MASC;PL;3	N;NOM;MASC;SG
पुरुषों	moški	पुरुष	moški	N;ACC;MASC;PL;3	N;NOM;MASC;PL
पुरुषों	moška	पुरुष	moški	N;ACC;MASC;PL;3	ADJ;NOM;FEM;SG
पुरुषों	mens	पुरुष	mens	N;ACC;MASC;PL;3	N;NOM;MASC;SG
वृक्ष	jelka	वृक्ष	jelka	N;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
वृक्ष	dreves	वृक्ष	drevo	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
वृक्ष	drevesa	वृक्ष	drevo	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
निवेश	naložbe	निवेश	naložba	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निवेश	naložbe	निवेश	naložba	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निवेश	investicije	निवेश	investicija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निवेश	naložbe	निवेश	naložba	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निवेश	investicije	निवेश	investicija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तत्वों	elementi	तत्व	element	N;ACC;MASC;PL;3	N;NOM;MASC;PL
सत्य	resnico	सत्य	resnica		N;ACC;FEM;SG
सत्य	resnice	सत्य	resnica		N;NOM;FEM;PL
सत्य	resnica	सत्य	resnica		N;NOM;FEM;SG
सत्य	vsebinske	सत्य	vsebinski		ADJ;NOM;FEM;PL
सत्य	vsebinsko	सत्य	vsebinsko		ADV
आंतरिक	notranjosti	आंतरिक	notranjost	ADJ;NOM	N;GEN;FEM;SG
आंतरिक	notranjost	आंतरिक	notranjost	ADJ;NOM	N;NOM;FEM;SG
आंतरिक	interno	आंतरिक	interno	ADJ;NOM	ADV
निकल	niklja	निकल	niklja	V;ACT	N;NOM;FEM;SG
निकल	nikelj	निकल	nikelj	V;ACT	N;NOM;MASC;SG
प्रत्यक्ष	očitno	प्रत्यक्ष	očitno	PROPN;NOM;MASC;SG;3	ADV
प्रत्यक्ष	očiten	प्रत्यक्ष	očiten	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
प्रत्यक्ष	očitna	प्रत्यक्ष	očiten	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रत्यक्ष	neposredni	प्रत्यक्ष	neposreden	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
प्रत्यक्ष	neposreden	प्रत्यक्ष	neposreden	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
प्रत्यक्ष	neposredna	प्रत्यक्ष	neposreden	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रत्यक्ष	neposredne	प्रत्यक्ष	neposreden	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
प्रत्यक्ष	neposredno	प्रत्यक्ष	neposredno	PROPN;NOM;MASC;SG;3	ADV
मित्र	prijateljev	मित्र	prijatelj	N;NOM;MASC;SG;3	N;GEN;MASC;PL
मित्र	prijatelji	मित्र	prijatelj	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मित्र	friends	मित्र	friends	N;NOM;MASC;SG;3	
मित्र	prijatelje	मित्र	prijatelj	N;NOM;MASC;SG;3	N;ACC;MASC;PL
मित्र	prijateljico	मित्र	prijateljica	N;NOM;MASC;SG;3	N;ACC;FEM;SG
दर्द	bolečine	दर्द	bolečina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दर्द	bolečino	दर्द	bolečina	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बिजली	elektrike	बिजली	elektrik	N;NOM;FEM;SG;3	N;GEN;FEM;SG
बिजली	strele	बिजली	strela	N;NOM;FEM;SG;3	N;NOM;FEM;PL
बिजली	strelo	बिजली	strela	N;NOM;FEM;SG;3	N;ACC;FEM;SG
कार्ड	kartice	कार्ड	kartica	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्ड	kartic	कार्ड	kartica	N;NOM;MASC;SG;3	N;GEN;FEM;PL
कार्ड	karte	कार्ड	karta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्ड	kartico	कार्ड	kartica	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बिंदु	točki	बिंदु	točka	N;NOM;MASC;SG;3	N;NOM;FEM;DU
बिंदु	točk	बिंदु	točka	N;NOM;MASC;SG;3	N;GEN;FEM;PL
बिंदु	točke	बिंदु	točka	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बिंदु	piko	बिंदु	pika	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बिंदु	točko	बिंदु	točka	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बुद्ध	buda	बुद्ध	buda	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टेडियम	stadioni	स्टेडियम	stadion	N;NOM;MASC;SG;3	N;NOM;MASC;PL
अभाव	odsotnosti	अभाव	odsotnost	N;NOM;MASC;SG;3	N;GEN;FEM;SG
रिलीज़	izpusti	रिलीज़	izpustiti	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
रिलीज़	izpusti	रिलीज़	izpustiti	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
शांति	peace	शान्ति	peac	N;NOM;FEM;SG;3	
वितरण	dostavo	वितरण	dostava	N;NOM;MASC;SG;3	N;ACC;FEM;SG
वितरण	dostavi	वितरण	dostava	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
आय	prihodki	आय	prihodek	N;NOM;FEM;SG;3	N;NOM;MASC;PL
आय	dohodki	आय	dohodek	N;NOM;FEM;SG;3	N;NOM;MASC;PL
आय	dohodki	आय	dohodek	N;NOM;FEM;SG;3	N;NOM;MASC;PL
आय	dohodka	आय	dohodek	N;NOM;FEM;SG;3	N;GEN;MASC;SG
आय	dohodki	आय	dohodek	N;NOM;FEM;SG;3	N;NOM;MASC;PL
आय	prihodki	आय	prihodek	N;NOM;FEM;SG;3	N;NOM;MASC;PL
रन	teče	रन	teči	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
फाइनल	končna	फाइनल	končen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
फाइनल	končni	फाइनल	končen	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
टेलीविजन	televizijo	टेलीविजन	televizija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
दैनिक	dnevno	दैनिक	dnevno	N;NOM;MASC;SG;3	ADV
दैनिक	dnevna	दैनिक	dneven	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
दैनिक	dnevni	दैनिक	dneven	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
फूल	rožice	फूल	rožica	N;NOM;MASC;SG;3	N;NOM;FEM;PL
फूल	cvetovi	फूल	cvetov	N;NOM;MASC;SG;3	N;NOM;MASC;PL
फूल	rože	फूल	roža	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कल्पना	vizualizacijo	कल्पना	vizualizacija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
कल्पना	domišljije	कल्पना	domišljija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
कल्पना	domišljijo	कल्पना	domišljija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
प्रसार	razširi	प्रसार	razšir	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
दिल	srčna	दिल	srčen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
दिल	srčno	दिल	srčno	N;NOM;MASC;SG;3	ADV
सुंदर	prelepi	सुन्दर	prelep	ADJ	N;NOM;FEM;SG
सुंदर	prelepe	सुन्दर	prelep	ADJ	N;NOM;FEM;PL
सुंदर	lepotec	सुन्दर	lepotec	ADJ	N;NOM;MASC;SG
यानि	pomeni	यानि	pomeniti	CONJ	V;IND;SG;3;PRS;FIN
हाउस	house	हाउस	hous	N;NOM;MASC;SG;3	
अफ़्रीका	afriko	अफेरीका	afrika	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
अफ़्रीका	afrika	अफेरीका	afrik	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
इच्छा	željo	इच्छा	želja	N;NOM;FEM;SG;3	N;ACC;FEM;SG
भार	težo	भार	teža	N;NOM;MASC;SG;3	N;ACC;FEM;SG
मिश्रण	premeša	मिश्रण	premešati	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
मिश्रण	mix	मिश्रण	mix	N;NOM;MASC;SG;3	
पहुंच	dostop	पहुंच	dostop	V;ACT	N;NOM;MASC;SG
स्मारक	spomenikov	स्मारक	spomenik	N;NOM;MASC;SG;3	N;GEN;MASC;PL
व्यास	premera	व्यास	premer		N;GEN;MASC;SG
व्यास	premer	व्यास	premer		N;NOM;MASC;SG
प्यार	ljubezni	प्यार	ljubezen	N;NOM;MASC;SG;3	N;GEN;FEM;SG
प्यार	ljubeča	प्यार	ljubeč	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
प्यार	ljubeč	प्यार	ljubeč	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
प्यार	ljubeče	प्यार	ljubeče	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
प्यार	ljubiti	प्यार	ljubiti	N;NOM;MASC;SG;3	V;IPFV;NFIN
आन्दोलन	premiki	आन्दोलन	premik	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आन्दोलन	gibanja	आन्दोलन	gibanje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
आत्मा	duši	आत्मा	dušiti	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
आत्मा	dušo	आत्मा	duša	N;NOM;FEM;SG;3	N;ACC;FEM;SG
पक्षी	bird	पक्षी	bird	N;NOM;MASC;SG;3	
निवासी	prebivalce	निवासी	prebivalec	N;NOM;MASC;SG;3	N;ACC;MASC;PL
निवासी	prebivalcev	निवासी	prebivalec	N;NOM;MASC;SG;3	N;GEN;MASC;PL
निवासी	prebivalci	निवासी	prebivalec	N;NOM;MASC;SG;3	N;NOM;MASC;PL
निवासी	stanovalci	निवासी	stanovalec	N;NOM;MASC;SG;3	N;NOM;MASC;PL
निवासी	prebivalcev	निवासी	prebivalec	N;NOM;MASC;SG;3	N;GEN;MASC;PL
निवासी	prebivalci	निवासी	prebivalec	N;NOM;MASC;SG;3	N;NOM;MASC;PL
डेविड	david	डेविड	david	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
खास	posebno	खास	posebno	ADJ;NOM	ADV
बांग्लादेश	bangladešu	बांग्लादेश	bangladeš	PROPN;NOM;MASC;SG;3	N;DAT;MASC;SG
तय	popravil	तय	popravilo	ADJ	V;PFV;MASC;SG;V.PTCP
धारावाहिक	serijsko	धारावाहिक	serijsko	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
धारावाहिक	zaporedna	धारावाहिक	zaporeden	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
धारावाहिक	serijski	धारावाहिक	serijski	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
धारावाहिक	epizode	धारावाहिक	epizoda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
धारावाहिक	epizod	धारावाहिक	epizod	N;NOM;MASC;SG;3	N;GEN;FEM;PL
तारे	zvezdo	तारा	zvezda	N;NOM;MASC;SG;3	N;ACC;FEM;SG
तारे	zvezde	तारा	zvezda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तारे	zvezdice	तारा	zvezdica	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तारे	zvezd	तारा	zvezda	N;NOM;MASC;SG;3	N;GEN;FEM;PL
बनाना	izdelovanje	बना	izdelovanje	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
बनाना	ustvarjanje	बना	ustvarjanje	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
पौराणिक	mitološko	पौराणिक	mitološki	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
बाकी	ostanki	बाकी	ostanek	ADJ	N;NOM;MASC;PL
बाकी	ostanek	बाकी	ostanek	ADJ	N;NOM;MASC;SG
बाकी	počitka	बाकी	počitek	ADJ	N;NOM;MASC;SG
बाकी	počitek	बाकी	počitek	ADJ	N;NOM;MASC;SG
बाकी	preostalo	बाकी	preostati	ADJ	V;PFV;NEUT;SG;V.PTCP
संत	sant	संत	sant	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
संत	svetniki	संत	svetnik	N;NOM;MASC;SG;3	N;NOM;MASC;PL
संत	sveti	संत	svet	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
संत	saint	संत	saint	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
ऊंचाई	višine	ऊंचाई	višina	N;NOM;FEM;SG;3	N;NOM;FEM;PL
उपग्रह	satelitsko	उपग्रह	satelitski	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
उपग्रह	satelitska	उपग्रह	satelitski	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
तुर्की	turčija	तुर्की	turčija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
तुर्की	turška	तुर्की	turški	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
तुर्की	turški	तुर्की	turški	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
तुर्की	turško	तुर्की	turški	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
संस्कार	obrede	संस्कार	obred	N;NOM;MASC;SG;3	N;ACC;MASC;PL
शंकर	shankar	शंकर	shankar	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
बीमारी	bolezni	बीमारी	bolezen	N;NOM;FEM;SG;3	N;NOM;FEM;PL
बीमारी	bolezni	बीमारी	bolezen	N;NOM;FEM;SG;3	N;NOM;FEM;PL
बीमारी	bolezni	बीमारी	bolezen	N;NOM;FEM;SG;3	N;NOM;FEM;PL
वार्षिक	letno	वार्षिक	letno	PROPN;NOM;MASC;SG;3	ADV
वार्षिक	letna	वार्षिक	leten	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वार्षिक	letne	वार्षिक	leten	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
वार्षिक	letno	वार्षिक	letno	PROPN;NOM;MASC;SG;3	ADV
वार्षिक	letna	वार्षिक	leten	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वार्षिक	letni	वार्षिक	leten	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
परिसर	prostori	परिसर	prostor	N;NOM;MASC;SG;3	N;NOM;MASC;PL
परिसर	zapletena	परिसर	zapleten	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
परिसर	zapleteno	परिसर	zapleten	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
परिसर	kompleksna	परिसर	kompleksen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अधिकतम	max	अधिकतम	maxa	ADJ	N;NOM;MASC;SG
अधिकतम	največ	अधिकतम	največ	ADJ	DET
अधिकतम	maks	अधिकतम	maks	ADJ	PROPN;NOM;MASC;SG
अधिकतम	maksimum	अधिकतम	maksimum	ADJ	N;NOM;MASC;SG
वैश्विक	svetovna	वैश्विक	svetoven	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वैश्विक	globalni	वैश्विक	globalen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वैश्विक	globalno	वैश्विक	globalen	N;NOM;MASC;SG;3	ADV
वैश्विक	svetovno	वैश्विक	svetoven	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
तभी	le	तभी	le	PRO;NOM	PART
तभी	samo	तभी	samo	PRO;NOM	PART
अनिवार्य	obvezen	अनिवार्य	obvezen		ADJ;NOM;INDF;MASC;SG
अनिवार्य	obvezna	अनिवार्य	obvezen		ADJ;NOM;FEM;SG
अनिवार्य	obvezno	अनिवार्य	obvezno		ADV
अनिवार्य	obvezni	अनिवार्य	obvezen		ADJ;NOM;DEF;MASC;SG
अनिवार्य	obvezne	अनिवार्य	obvezen		ADJ;NOM;FEM;PL
अनिवार्य	obvezno	अनिवार्य	obvezno		ADV
अनिवार्य	obvezna	अनिवार्य	obvezen		ADJ;NOM;FEM;SG
अनिवार्य	obvezno	अनिवार्य	obvezno		ADV
अनिवार्य	obvezni	अनिवार्य	obvezen		ADJ;NOM;DEF;MASC;SG
अनिवार्य	obvezne	अनिवार्य	obvezen		ADJ;NOM;FEM;PL
अनिवार्य	bistveno	अनिवार्य	bistveno		ADV
अनिवार्य	bistvene	अनिवार्य	bistven		ADJ;NOM;FEM;PL
अनिवार्य	bistvena	अनिवार्य	bistven		ADJ;NOM;FEM;SG
हरियाणा	haryana	हरियाणा	haryan	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
तारा	stradali	तारा	stradati	PROPN;NOM;MASC;SG;3	V;IPFV;MASC;PL;V.PTCP
तारा	zvezdica	तारा	zvezdica	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
तारा	zvezdo	तारा	zvezda	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
तारा	zvezda	तारा	zvezda	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
द्वार	vrata	द्वार	vrata	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
द्वार	vrata	द्वार	vrata	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
द्वार	vrata	द्वार	vrata	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
मुख्यतः	predvsem	मुख्यतः	predvsem	ADV	PART
आनंद	uživamo	आनंद	uživati	PROPN;NOM;MASC;SG;3	V;IPFV;IND;PL;1;PRS;FIN
आनंद	anand	आनंद	anand	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
आनंद	ananda	आनंद	ananda	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
कम्पनी	družbo	कम्पनी	družba	N;NOM;FEM;SG;3	N;ACC;FEM;SG
रे	ray	रे	ray	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
जिनकी	čigav	जो	čigav	PRO;FEM;PL;3	PRO;NOM;MASC;SG
जिनकी	čigava	जो	čigava	PRO;FEM;PL;3	ADJ;NOM;FEM;SG
जिनकी	čigavo	जो	čigav	PRO;FEM;PL;3	ADV
स्थायी	trajni	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
स्थायी	trajen	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
स्थायी	trajna	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
स्थायी	trajno	स्थायी	trajno	PROPN;NOM;SG;3	ADV
स्थायी	stalna	स्थायी	stalen	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
स्थायी	trajen	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
स्थायी	trajna	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
स्थायी	trajni	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
स्थायी	trajne	स्थायी	trajen	PROPN;NOM;SG;3	ADJ;NOM;FEM;PL
लकड़ी	lesen	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG
लकड़ी	leseno	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
लकड़ी	lesena	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
लकड़ी	leseni	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;MASC;PL
लकड़ी	wood	लकडी	wood	N;NOM;FEM;SG;3	PROPN;NOM;MASC;SG
लकड़ी	lesena	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
लकड़ी	lesa	लकडी	les	N;NOM;FEM;SG;3	N;GEN;MASC;SG
लकड़ी	lesni	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;DEF;MASC;SG
लकड़ी	leseno	लकडी	lesen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
गोल	rand	गोल	rand	N;NOM;MASC;SG;3	
गोल	okrogla	गोल	okrogel	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
गोल	okrogle	गोल	okrogel	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
गोल	rundo	गोल	rundo	N;NOM;MASC;SG;3	N;ACC;FEM;SG
गोल	okrogel	गोल	okrogeti	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
गोल	okroglo	गोल	okrogel	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
