leonor	eleonora	leonor	eleonor	N;FEM;SG	PROPN;NOM;FEM;SG;POS
proibido	zakázáno	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
marine	námořní	marine	námořní	N;MASC;SG	ADJ;NOM;FEM;SG;POS
marine	marine	marine	marine	N;MASC;SG	PROPN;FEM;SG;POS
marine	mořských	marine	mořský	N;MASC;SG	ADJ;ANIM;GEN;MASC;PL;POS
marine	mořská	marine	mořský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
grace	grace	grace	grace	N;FEM;SG	PROPN;NOM;FEM;SG;POS
culinária	kulinářské	culinário	kulinářský	N;FEM;SG	ADJ;NOM;NEUT;SG;POS
arizona	arizoně	arizonar	arizoň	N;MASC;SG	PROPN;DAT;FEM;SG;POS
arizona	arizona	arizonar	arizon	N;MASC;SG	PROPN;NOM;FEM;SG;POS
arizona	arizony	arizonar	arizon	N;MASC;SG	PROPN;NOM;FEM;SG;POS
charlotte	charlotte	charlotte	charlott	N;MASC;SG	PROPN;FEM;SG;POS
químicos	chemická	químico	chemický	N;MASC;PL	ADJ;NOM;FEM;SG;POS
químicos	chemické	químico	chemický	N;MASC;PL	ADJ;NOM;MASC;SG;POS
químicos	chemický	químico	chemický	N;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
uhf	uhf	uhf	uhf	N;MASC;SG	PROPN;NOM;MASC;SG;POS
avó	babičky	avó	babička	N;FEM;SG	N;NOM;FEM;PL;POS
avó	babičky	avó	babička	N;FEM;SG	N;NOM;FEM;PL;POS
usava	nosili	usar	nosit	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP;ACT
usava	nosila	usar	nosit	V;IND;SG;3;IPFV;FIN	V;IPFV;POS;PST;V.PTCP;ACT
usava	nosil	usar	nosit	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
análises	analytics	análise	analytics	N;FEM;PL	N;NOM;MASC;SG;POS
análises	rozbor	análise	rozbor	N;FEM;PL	N;INAN;NOM;MASC;SG;POS
análises	analýza	análise	analýza	N;FEM;PL	N;NOM;FEM;SG;POS
reverter	reverzní	reverter	reverzní	V;NFIN	ADJ;NOM;MASC;SG;POS
reverter	zpětný	reverter	zpětný	V;NFIN	ADJ;INAN;NOM;MASC;SG;POS
aula	třídy	aula	třída	N;FEM;SG	N;NOM;FEM;PL;POS
dramática	dramatický	dramático	dramatický	N;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
dramática	dramatické	dramático	dramatický	N;FEM;SG	ADJ;NOM;NEUT;SG;POS
dramática	dramatická	dramático	dramatický	N;FEM;SG	ADJ;NOM;FEM;SG;POS
matando	zabíjení	matar	zabíjení	V;V.MSDR	N;NOM;NEUT;SG;POS
matando	zabíjení	matar	zabíjení	V;V.MSDR	N;NOM;NEUT;SG;POS
matando	zabití	matar	zabití	V;V.MSDR	N;NOM;NEUT;SG;POS
giro	roztomilý	giro	roztomilý	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
giro	roztomilé	giro	roztomilý	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
giro	roztomilá	giro	roztomilý	N;MASC;SG	ADJ;NOM;FEM;SG;POS
ferrovia	železniční	ferrovia	železniční	N;FEM;SG	ADJ;NOM;FEM;SG;POS
fique	zůstaň	ficar	zůstaň	V;SBJV;SG;3;PRS;FIN	V;IMP;SG;1;POS;FIN
fique	zůstaňte	ficar	zůstat	V;SBJV;SG;3;PRS;FIN	V;PFV;IMP;PL;2;POS;FIN
elias	elias	elia	elias	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
arábia	arábie	arábia	arábie	N;FEM;SG	PROPN;NOM;FEM;SG;POS
arábia	arabský	arábia	arabský	N;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
arábia	arabské	arábia	arabský	N;FEM;SG	ADJ;NOM;MASC;PL;POS
soberano	suverénní	soberano	suverénní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
colocadas	umístěna	colocar	umístěný	V;FEM;PL;V.PTCP	ADJ;POS;V.PTCP;PASS
colocadas	umístěné	colocar	umístěný	V;FEM;PL;V.PTCP	ADJ;NOM;MASC;PL;POS
colocadas	umístěno	colocar	umístěný	V;FEM;PL;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
judeu	židovská	judeu	židovský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
judeu	židovský	judeu	židovský	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
judeu	židovské	judeu	židovský	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
bruxelas	bruselu	bruxela	brusel	N;FEM;PL	PROPN;INAN;GEN;MASC;SG;POS
bruxelas	brusel	bruxela	brus	N;FEM;PL	PROPN;INAN;NOM;MASC;SG;POS
bank	bankovní	bank	bankovní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
bank	banky	bank	banka	N;MASC;SG	N;NOM;FEM;PL;POS
bank	bank	bank	banka	N;MASC;SG	N;GEN;FEM;PL;POS
vegetais	zeleninové	vegetal	zeleninový	N;MASC;PL	ADJ;NOM;MASC;SG;POS
vegetais	zelenina	vegetal	zelenina	N;MASC;PL	N;NOM;FEM;SG;POS
vegetais	zeleninu	vegetal	zelenina	N;MASC;PL	N;ACC;FEM;SG;POS
vegetais	zelenina	vegetal	zelenina	N;MASC;PL	N;NOM;FEM;SG;POS
alimento	jídla	alimento	jídlo	N;MASC;SG	N;NOM;NEUT;PL;POS
alimento	potraviny	alimento	potravina	N;MASC;SG	N;NOM;FEM;PL;POS
elétrons	elektron	elétron	elektron	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
automóvel	car	automóvel	car	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
automóvel	automobilové	automóvel	automobilový	N;MASC;SG	ADJ;NOM;FEM;SG;POS
cana	reed	cana	reed	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
cana	reedová	cana	reedový	N;FEM;SG	ADJ;NOM;FEM;SG;POS
cana	cana	cana	cana	N;FEM;SG	PROPN;NOM;FEM;SG;POS
asiático	asijské	asiático	asijský	ADJ;MASC;SG	ADJ;NOM;MASC;PL;POS
cinquenta	fifty	cinquenta	fift	NUM	N;FEM;POS
estética	estetické	estética	estetický	N;FEM;SG	ADJ;NOM;NEUT;SG;POS
dores	bolest	dor	bolest	N;FEM;PL	N;NOM;FEM;SG;POS
centre	centre	centre	centre	N;MASC;SG	PROPN;NOM;MASC;SG;POS
augusta	augusta	augusta	augusta	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
marta	marta	marta	marta	N;FEM;SG	PROPN;NOM;FEM;SG;POS
marta	marta	marta	marta	N;FEM;SG	PROPN;NOM;FEM;SG;POS
marta	martha	marta	martha	N;FEM;SG	PROPN;NOM;FEM;SG;POS
reduzido	snížené	reduzir	snížený	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
reduzido	snížený	reduzir	snížený	V;MASC;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
reduzido	snížen	reduzir	snížený	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
reduzido	snížená	reduzir	snížený	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
lorenzo	lorenzo	lorenzo	lorenzo	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
legais	zákonné	legal	zákonný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG;POS
legais	zákonný	legal	zákonný	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
legais	právní	legal	právní	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS
legais	legální	legal	legální	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS
mineira	důlní	mineira	důlní	N;FEM;SG	ADJ;NOM;MASC;SG;POS
mineira	těžební	mineira	těžební	N;FEM;SG	ADJ;NOM;MASC;SG;POS
lúcia	lucy	lúcia	luc	N;FEM;SG	PROPN;NOM;FEM;SG;POS
lúcia	lucia	lúcia	lucio	N;FEM;SG	PROPN;NOM;FEM;SG;POS
gustav	gustave	gustav	gustav	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
horta	zahrady	horta	zahrada	N;FEM;SG	N;NOM;FEM;PL;POS
horta	zahradní	horta	zahradní	N;FEM;SG	ADJ;NOM;MASC;SG;POS
horta	horta	horta	horta	N;FEM;SG	PROPN;NOM;MASC;SG;POS
madrugada	dawn	madrugada	dawn	N;FEM;SG	PROPN;NOM;FEM;SG;POS
cbs	cbs	cbs	cbs	N;FEM;SG	PROPN;MASC;SG;POS
vegetal	zeleniny	vegetal	zelenina	ADJ;MASC;SG	N;NOM;FEM;PL;POS
vegetal	zelenina	vegetal	zelenina	ADJ;MASC;SG	N;NOM;FEM;SG;POS
exibidos	zobrazeny	exibir	zobrazený	V;MASC;PL;V.PTCP	ADJ;INAN;PL;POS;V.PTCP;PASS
conteúdos	obsahu	conteúdo	obsah	N;MASC;PL	N;INAN;GEN;MASC;SG;POS
conteúdos	obsah	conteúdo	obsah	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
conteúdos	obsah	conteúdo	obsah	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
correr	běh	correr	běh	V;NFIN	N;INAN;NOM;MASC;SG;POS
georges	georges	georges	georges	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
empregado	zaměstnance	empregado	zaměstnanec	N;MASC;SG	N;ANIM;ACC;MASC;PL;POS
empregado	zaměstnaní	empregado	zaměstnaný	N;MASC;SG	ADJ;ANIM;NOM;MASC;PL;POS
empregado	zaměstnané	empregado	zaměstnaný	N;MASC;SG	ADJ;NOM;MASC;PL;POS
sexuais	pohlavní	sexual	pohlavní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
sexuais	sexuálně	sexual	sexuálně	N;MASC;PL	ADV;POS
sexuais	sexuální	sexual	sexuální	N;MASC;PL	ADJ;NOM;FEM;SG;POS
reduzida	snížené	reduzir	snížený	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
reduzida	snížený	reduzir	snížený	V;FEM;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
reduzida	snížen	reduzir	snížený	V;FEM;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
reduzida	snížená	reduzir	snížený	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
keith	keith	keith	keith	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
funk	funk	funk	funk	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
costume	obvyklé	costume	obvyklý	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
costume	obvyklý	costume	obvyklý	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
costume	obvyklá	costume	obvyklý	N;MASC;SG	ADJ;NOM;FEM;SG;POS
costume	vlastní	costume	vlastní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
ronald	ronald	ronald	ronald	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
horizontal	vodorovně	horizontal	vodorovně	ADJ;MASC;SG	ADV;POS
magic	magic	magic	magic	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
magic	čáry	magic	čára	N;MASC;SG	N;NOM;FEM;PL;POS
magic	kouzelné	magic	kouzelný	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
convidada	pozván	convidar	pozvaný	V;FEM;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
convidada	pozvaní	convidar	pozvaný	V;FEM;SG;V.PTCP	ADJ;ANIM;NOM;MASC;PL;POS
convidada	pozváni	convidar	pozvaný	V;FEM;SG;V.PTCP	ADJ;ANIM;MASC;PL;POS;V.PTCP;PASS
convidada	host	convidar	host	V;FEM;SG;V.PTCP	N;ANIM;NOM;MASC;SG;POS
permanecendo	zbývající	permanecer	zbývající	V;V.MSDR	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
ludwig	ludvík	ludwig	ludvík	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
ludwig	ludwig	ludwig	ludwig	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
pretendia	zamýšlená	pretender	zamýšlený	V;IND;SG;3;IPFV;FIN	ADJ;NOM;FEM;SG;POS
pretendia	zamýšlené	pretender	zamýšlený	V;IND;SG;3;IPFV;FIN	ADJ;NOM;NEUT;SG;POS
pretendia	určeno	pretender	určený	V;IND;SG;3;IPFV;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
pretendia	určena	pretender	určený	V;IND;SG;3;IPFV;FIN	ADJ;POS;V.PTCP;PASS
ron	ron	ron	ron	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
espectro	spectre	espectro	spectre	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
espectro	spektra	espectro	spektrum	N;MASC;SG	N;NOM;NEUT;PL;POS
anunciada	oznámila	anunciar	oznámit	V;FEM;SG;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
anunciada	oznámili	anunciar	oznámit	V;FEM;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
anunciada	oznámeno	anunciar	oznámený	V;FEM;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
fósseis	fosilních	fóssil	fosilní	N;MASC;PL	ADJ;GEN;MASC;PL;POS
fósseis	fosilní	fóssil	fosilní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
iugoslávia	jugoslávie	iugoslávia	jugoslávie	N;FEM;SG	PROPN;NOM;FEM;SG;POS
lloyd	lloyd	lloyd	lloyd	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
currículo	obnovit	currículo	obnovit	N;MASC;SG	V;PFV;POS;NFIN
visuais	vizuální	visual	vizuální	N;MASC;PL	ADJ;NOM;MASC;SG;POS
warren	warren	warren	warren	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
cuidados	péče	cuidado	péče	N;MASC;PL	N;NOM;FEM;SG;POS
cuidados	péči	cuidado	péče	N;MASC;PL	N;ACC;FEM;SG;POS
slam	slam	slam	slam	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
tive	měla	ter	mít	V;IND;SG;1;PST;FIN	V;POS;PST;V.PTCP;ACT
turcos	turecký	turco	turecký	N;MASC;PL	ADJ;ANIM;NOM;MASC;SG;POS
turcos	turecké	turco	turecký	N;MASC;PL	ADJ;NOM;MASC;PL;POS
turcos	turecká	turco	turecký	N;MASC;PL	ADJ;NOM;FEM;SG;POS
colina	kopce	colina	kopec	N;FEM;SG	N;INAN;NOM;MASC;PL;POS
colina	hill	colina	hill	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
conselhos	poradenství	conselho	poradenství	N;MASC;PL	N;NOM;NEUT;SG;POS
conselhos	rada	conselho	rada	N;MASC;PL	N;NOM;FEM;SG;POS
conselhos	radu	conselho	rada	N;MASC;PL	N;ACC;FEM;SG;POS
marítima	námořní	marítimo	námořní	N;FEM;SG	ADJ;NOM;FEM;SG;POS
parou	zastaveno	parar	zastavený	V;IND;SG;3;PST;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
visa	vízum	visar	vízum	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG;POS
visa	víza	visar	vízum	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;PL;POS
escocês	skotské	escocês	skotský	N;MASC;SG	ADJ;NOM;MASC;SG;POS
escocês	skotská	escocês	skotský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
investigações	šetření	investigação	šetření	N;FEM;PL	N;NOM;NEUT;SG;POS
investigações	vyšetřování	investigação	vyšetřování	N;FEM;PL	N;NOM;NEUT;SG;POS
cerebral	mozkové	cerebral	mozkový	N;MASC;SG	ADJ;NOM;FEM;SG;POS
cerebral	mozková	cerebral	mozkový	N;MASC;SG	ADJ;NOM;FEM;SG;POS
mínimos	minima	mínimo	minimum	N;MASC;PL	N;NOM;NEUT;SG;POS
mínimos	minimální	mínimo	minimální	N;MASC;PL	ADJ;NOM;MASC;SG;POS
mínimos	minimum	mínimo	minimum	N;MASC;PL	N;NOM;NEUT;SG;POS
mínimos	minimálně	mínimo	minimálně	N;MASC;PL	ADV;POS
mínimos	minimální	mínimo	minimální	N;MASC;PL	ADJ;NOM;MASC;SG;POS
válidos	platné	válido	platný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG;POS
válidos	platná	válido	platný	ADJ;MASC;PL	ADJ;NOM;FEM;SG;POS
válidos	platný	válido	platný	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
guiana	guyana	guiana	guyan	N;FEM;SG	PROPN;NOM;FEM;SG;POS
make	učinit	make	učinit	N;FEM;SG	V;PFV;POS;NFIN
make	udělat	make	udělat	N;FEM;SG	V;PFV;POS;NFIN
make	vyrobit	make	vyrobit	N;FEM;SG	V;PFV;POS;NFIN
esquadrão	letky	esquadrão	letka	N;MASC;SG	N;NOM;FEM;PL;POS
registo	registrovat	registo	registrovat	N;MASC;SG	V;POS;NFIN
registo	zaregistrovat	registo	zaregistrovat	N;MASC;SG	V;PFV;POS;NFIN
piratas	pirátské	pirata	pirátský	N;MASC;PL	ADJ;NOM;MASC;PL;POS
piratas	pirát	pirata	pirát	N;MASC;PL	N;ANIM;NOM;MASC;SG;POS
kids	děti	kids	dítě	N;MASC;SG	N;NOM;FEM;PL;POS
kids	děcka	kids	děcko	N;MASC;SG	N;NOM;NEUT;PL;POS
corredor	běžce	corredor	běžec	N;MASC;SG	N;ANIM;ACC;MASC;PL;POS
corredor	uličky	corredor	ulička	N;MASC;SG	N;NOM;FEM;PL;POS
vestígios	stopové	vestígio	stopový	N;MASC;PL	ADJ;NOM;MASC;PL;POS
sandra	sandro	sandra	sandro	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
profundo	hluboko	profundo	hluboko	ADJ;MASC;SG	ADV;POS
tanques	tanku	tanque	tank	N;MASC;PL	N;INAN;DAT;MASC;SG;POS
tanques	tank	tanque	tank	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
tanques	nádrž	tanque	nádrž	N;MASC;PL	N;NOM;FEM;SG;POS
arnold	arnold	arnold	arnold	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
gerente	vedoucí	gerente	vedoucí	N;MASC;SG	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
urss	sssr	ur	sssr	N;FEM;SG	PROPN;INAN;MASC;POS
adotou	přijato	adotar	přijatý	V;IND;SG;3;PST;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
adotou	přijata	adotar	přijatý	V;IND;SG;3;PST;FIN	ADJ;POS;V.PTCP;PASS
adotou	přijat	adotar	přijatý	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;POS;V.PTCP;PASS
adotou	přijatá	adotar	přijatý	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;POS
imposto	daně	impor	daň	V;MASC;SG;V.PTCP	N;NOM;FEM;PL;POS
imposto	daň	impor	daň	V;MASC;SG;V.PTCP	N;NOM;FEM;SG;POS
imposto	daňové	impor	daňový	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
rené	rené	rené	rené	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
rené	rené	rené	rené	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
rené	rene	rené	rene	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
actor	herce	actor	herec	N;MASC;SG	N;ANIM;ACC;MASC;PL;POS
assinar	podepsání	assinar	podepsání	V;NFIN	N;NOM;NEUT;SG;POS
assinar	podpisu	assinar	podpis	V;NFIN	N;INAN;GEN;MASC;SG;POS
assinar	znak	assinar	znak	V;NFIN	N;INAN;NOM;MASC;SG;POS
assinar	podpis	assinar	podpis	V;NFIN	N;INAN;NOM;MASC;SG;POS
ofereceu	nabízené	oferecer	nabízený	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;POS
ofereceu	nabízená	oferecer	nabízený	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;POS
ofereceu	nabízených	oferecer	nabízený	V;IND;SG;3;PST;FIN	ADJ;GEN;MASC;PL;POS
intelectuais	duševní	intelectual	duševní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
intelectuais	intelektuální	intelectual	intelektuální	N;MASC;PL	ADJ;NOM;MASC;SG;POS
caridade	charity	caridade	charita	N;FEM;SG	N;NOM;FEM;PL;POS
caridade	charity	caridade	charita	N;FEM;SG	N;NOM;FEM;PL;POS
caridade	charitativní	caridade	charitativní	N;FEM;SG	ADJ;NOM;MASC;SG;POS
integrada	integrovaná	integrar	integrovaný	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
integrada	integrovaný	integrar	integrovaný	V;FEM;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
integrada	integrované	integrar	integrovaný	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
presa	zatčený	presa	zatčený	V;FEM;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
presa	zatčen	presa	zatčený	V;FEM;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
presa	kořisti	presa	kořist	V;FEM;SG;V.PTCP	N;NOM;FEM;PL;POS
presa	kořist	presa	kořist	V;FEM;SG;V.PTCP	N;NOM;FEM;SG;POS
noites	noci	noite	noc	N;FEM;PL	N;NOM;FEM;SG;POS
noites	nocí	noite	noc	N;FEM;PL	N;INS;FEM;SG;POS
amaro	amaro	amaro	amaro	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
arredores	okolí	arredores	okolí	N;MASC;PL	N;NOM;NEUT;SG;POS
malta	malty	malta	malta	N;FEM;SG	N;NOM;FEM;PL;POS
básicos	základní	básico	základní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
raymond	raymond	raymond	raymond	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
hunter	hunter	hunter	hunter	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
iniciando	počátek	iniciar	počátek	V;V.MSDR	N;INAN;NOM;MASC;SG;POS
iniciando	začátek	iniciar	začátek	V;V.MSDR	N;INAN;NOM;MASC;SG;POS
forest	lesní	forest	lesní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
forest	lesy	forest	les	N;MASC;SG	N;INAN;NOM;MASC;PL;POS
episcopal	episkopální	episcopal	episkopální	N;MASC;SG	ADJ;NOM;MASC;SG;POS
visitou	navštívila	visitar	navštívit	V;IND;SG;3;PST;FIN	V;PFV;POS;PST;V.PTCP;ACT
visitou	navštívili	visitar	navštívit	V;IND;SG;3;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
salva	sage	salvar	sage	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;POS
salva	zachránil	salvar	zachránit	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
salva	uložená	salvar	uložený	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG;POS
salva	uložených	salvar	uložený	V;IND;SG;3;PRS;FIN	ADJ;GEN;MASC;PL;POS
salva	zachráněn	salvar	zachráněný	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG;POS;V.PTCP;PASS
salva	uložené	salvar	uložený	V;IND;SG;3;PRS;FIN	ADJ;NOM;MASC;PL;POS
salva	uloženo	salvar	uložený	V;IND;SG;3;PRS;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
premier	premier	premier	premier	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
extensa	rozsáhlé	extenso	rozsáhlý	ADJ;FEM;SG	ADJ;NOM;MASC;PL;POS
her	její	her	jeho	N;MASC;SG	DET;NOM;FEM;SG;3
her	jí	her	on	N;MASC;SG	PRO;DAT;FEM;SG;3
her	ji	her	on	N;MASC;SG	PRO;ACC;FEM;SG;3
her	ní	her	on	N;MASC;SG	PRO;DAT;FEM;SG;3
justo	fér	justo	fér	ADJ;MASC;SG	INTJ
justo	veletrh	justo	veletrh	ADJ;MASC;SG	N;INAN;NOM;MASC;SG;POS
anéis	prsteny	anel	prsten	N;MASC;PL	ADJ;INAN;PL;POS;V.PTCP;PASS
humberto	umberto	humberto	umberto	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
humberto	hubert	humberto	hubert	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
átomos	atom	átomo	atom	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
ernst	ernst	ernst	ernst	PROPN;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
comunistas	komunista	comunista	komunista	N;MASC;PL	N;ANIM;NOM;MASC;SG;POS
comunistas	komunistická	comunista	komunistický	N;MASC;PL	ADJ;NOM;FEM;SG;POS
comunistas	komunistické	comunista	komunistický	N;MASC;PL	ADJ;NOM;FEM;SG;POS
rodovias	dálnice	rodovia	dálnice	N;FEM;PL	N;NOM;FEM;SG;POS
sepultado	pohřbená	sepultado	pohřbený	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
sepultado	pohřbené	sepultado	pohřbený	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
sepultado	pohřbený	sepultado	pohřbený	V;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
sepultado	pohřben	sepultado	pohřbený	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
inspirada	inspirovala	inspirar	inspirovat	V;FEM;SG;V.PTCP	V;POS;PST;V.PTCP;ACT
joan	joan	joan	joan	N;FEM;SG	PROPN;NOM;FEM;SG;POS
absurdo	nesmysl	absurdo	nesmysl	ADJ;MASC;SG	N;INAN;NOM;MASC;SG;POS
inovação	inovační	inovação	inovační	N;FEM;SG	ADJ;NOM;MASC;SG;POS
florida	floridu	florida	florida	N;FEM;SG	PROPN;ACC;FEM;SG;POS
florida	floridy	florida	florida	N;FEM;SG	PROPN;NOM;FEM;SG;POS
florida	florida	florida	florida	N;FEM;SG	PROPN;NOM;FEM;SG;POS
falhas	selhání	falha	selhání	N;FEM;PL	N;NOM;NEUT;SG;POS
nbc	nbc	nbc	nbc	N;FEM;SG	PROPN;FEM;POS
fundir	sloučení	fundir	sloučení	V;NFIN	N;NOM;NEUT;SG;POS
fundir	sloučení	fundir	sloučení	V;NFIN	N;NOM;NEUT;SG;POS
suficientes	dostačující	suficiente	dostačující	ADJ;MASC;PL	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
suficientes	dostatečná	suficiente	dostatečný	ADJ;MASC;PL	ADJ;NOM;FEM;SG;POS
suficientes	postačující	suficiente	postačující	ADJ;MASC;PL	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
suficientes	dostatečný	suficiente	dostatečný	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
suficientes	dostatečné	suficiente	dostatečný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG;POS
canada	kanada	canada	kanada	N;FEM;SG	PROPN;NOM;FEM;SG;POS
canada	kanady	canada	kanada	N;FEM;SG	PROPN;NOM;FEM;SG;POS
norman	norman	norman	norman	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
alternativas	alternativa	alternativa	alternativa	N;FEM;PL	N;NOM;FEM;SG;POS
alternativas	alternativní	alternativa	alternativní	N;FEM;PL	ADJ;NOM;MASC;SG;POS
